
[00:00:00.000 --> 00:00:05.480]   It's time for Mac break weekly Andy and I co Renee rich you'll join me. We got lots to talk about
[00:45:26.700 --> 00:45:30.700]   Like shot in junka or something. Yeah, it's like shot in junka. It is
[00:45:30.700 --> 00:45:33.740]   It's the kidding. It includes eight matches
[00:45:33.740 --> 00:45:39.260]   Georgia gave me a great tip a little while ago because like she said never go through a drawer and just take stuff out
[00:45:39.260 --> 00:45:41.260]   You don't think you want you take everything out of the drawer
[00:45:41.260 --> 00:45:46.140]   Then only put back what you absolutely want to keep and it results in you get rid of way more things in the other way around
[00:45:46.140 --> 00:45:51.260]   I like that. Yeah, Georgia has probably a lot of tricks like that. She's very awesome life hacker
[00:45:51.260 --> 00:45:57.020]   Yeah, that is a good look so that's but so do that with your phone delete stuff or as or better yet
[00:45:57.020 --> 00:46:01.420]   Uh the equivalent of taking everything out and only putting back the stuff you need is
[00:46:01.420 --> 00:46:08.060]   Wipe your phone when you get a new phone wipe it and start from scratch and only install stuff as you as you need it
[00:46:08.700 --> 00:46:11.260]   You'll get from orbit. It's the only way to be sure you get from orbit
[00:46:11.260 --> 00:46:15.100]   Uh
[00:46:15.100 --> 00:46:17.900]   Good news. I guess if you're an apple fan
[00:46:17.900 --> 00:46:20.460]   Uh the average american
[00:46:20.460 --> 00:46:25.740]   If you're a shareholder. Yeah, if you're apple shareholder owns more than two apple products
[00:46:25.740 --> 00:46:33.340]   This is the cnbc whoops first a button and I went to the wrong page. This is the cnbc all america economic survey
[00:46:34.620 --> 00:46:41.980]   64 percent of americans now own at least one apple product the average american household reports owning 2.6
[00:46:41.980 --> 00:46:44.140]   apple products
[00:46:44.140 --> 00:46:45.260]   Of course
[00:46:45.260 --> 00:46:49.100]   Income has something to do with it the wealthiest americans own 4.7
[00:46:49.100 --> 00:46:53.660]   per household the poorest americans won but even they have one
[00:46:53.660 --> 00:46:56.460]   Which is just remarkable
[00:46:56.460 --> 00:46:58.940]   Renee how much are you skewing these results?
[00:47:00.620 --> 00:47:07.100]   I think I think just the three of us alone have pushed this way over illegal to bands count because if bands count we're having
[00:47:07.100 --> 00:47:10.300]   Oh, no, you just totally changed my gotta read through the math
[00:47:10.300 --> 00:47:15.740]   Let's just say all bands cat is one apple product. Yeah, uh, yeah
[00:47:15.740 --> 00:47:18.780]   I'm just sitting here with uh three apple products in my pocket
[00:47:18.780 --> 00:47:25.020]   You know, I have an iPad i phone and apple watch and then there's max at home and there's multiple uh phones multiple ipads
[00:47:25.020 --> 00:47:26.220]   Yeah
[00:47:26.220 --> 00:47:29.340]   So that's uh, that's kind of that's I don't think you could I can't think of
[00:47:30.300 --> 00:47:36.220]   What other category what are their what other company would you say 64 percent of americans own at least one?
[00:47:36.220 --> 00:47:38.780]   Kleenex sony in their heyday
[00:47:38.780 --> 00:47:40.780]   I don't know. Um, I was back in there
[00:47:40.780 --> 00:47:47.260]   I would say if you're if you're gonna include components sam song has to be in there
[00:47:47.260 --> 00:47:51.340]   Because they'll they've got components inside every iphone. Well, that's true so many other
[00:47:51.340 --> 00:47:53.580]   Enan flash belongs to them
[00:47:53.580 --> 00:47:58.400]   Well, we talked about this last week sam song makes more money off the iphone 8 than it does off the note
[00:47:58.400 --> 00:48:02.720]   A to the essay because it makes some like there's like sam song parts
[00:48:02.720 --> 00:48:06.560]   Like google makes so much money off iphone search, you know, it's like everyone's making money off the yeah
[00:48:06.560 --> 00:48:13.440]   It just shows you when you have something this phenomenally successful. It spins off money. Oh, it's like god gravity
[00:48:13.440 --> 00:48:17.840]   His mice falling off it all it's making it rain everywhere it goes
[00:48:17.840 --> 00:48:20.800]   I need that jeff leo with an iphone making it rain
[00:48:20.800 --> 00:48:24.080]   Uh, yeah apple tv at home
[00:48:24.080 --> 00:48:26.480]   Uh, have you got your new apple tv yet rene?
[00:48:26.880 --> 00:48:28.880]   I do yeah, and I have the lg
[00:48:28.880 --> 00:48:31.040]   Seven was it's uh c7 p
[00:48:31.040 --> 00:48:33.920]   Uh, ole at hdr tv you did a review of it
[00:48:33.920 --> 00:48:36.160]   So I think I think we talked about that last week
[00:48:36.160 --> 00:48:40.880]   Can't stop looking at it once you go like it again. It's not the 4k. It's the hdr once you get hdr
[00:48:40.880 --> 00:48:47.920]   You can't go back. Yep. It's like getting yes. It's like a layer of gray has been removed from your world. Yeah. Yeah, it's true
[00:48:47.920 --> 00:48:53.040]   Uh, let's see. I felt the same way when my sister moved out of the house
[00:48:55.120 --> 00:49:00.240]   By the way, 64 percent of american say their time on their smartphone is mostly productive and useful
[00:49:00.240 --> 00:49:03.760]   27 say it's mostly unproductive
[00:49:03.760 --> 00:49:05.680]   and uh
[00:49:05.680 --> 00:49:11.840]   Young people mid-westerners and those with a high school education only are most likely to report wasting time
[00:49:11.840 --> 00:49:17.280]   On their smartphones a lot of that's a lot of uh, candy crush players a lot of
[00:49:17.280 --> 00:49:21.120]   You know, I think the 64 aren't just not being honest with themselves
[00:49:21.200 --> 00:49:27.520]   I think I think it's pretty obvious most of the time you spent on a lot a smartphone is is wasted as for usage is
[00:49:27.520 --> 00:49:30.880]   Dominated by phone calls emails and text followed by social media
[00:49:30.880 --> 00:49:36.880]   Few americans say watching videos playing games and shopping are the main uses for their hand hope
[00:49:36.880 --> 00:49:41.760]   Surprise phone calls are still that high. I am too. I think really social media for me anyway
[00:49:41.760 --> 00:49:46.800]   And messaging and messaging together and I consider messaging kind of like social media, right?
[00:49:46.800 --> 00:49:50.560]   It's it's interesting
[00:49:51.520 --> 00:49:54.800]   But overall it continues to be the case says cnbc
[00:49:54.800 --> 00:49:59.840]   There were 800 respondents by the way in a margin error of plus and minus 3.5 percentage points
[00:49:59.840 --> 00:50:03.040]   Overall it continues to be the case the smartphone is
[00:50:03.040 --> 00:50:08.640]   Really helping the american worker helping the american family be efficient with their time and accomplish more than they could otherwise
[00:50:08.640 --> 00:50:11.040]   And I think people recognize and appreciate that
[00:50:11.040 --> 00:50:15.440]   Well, yeah, they don't understand that we can waste time with anything later. We don't have a smartphone to waste time
[00:50:15.440 --> 00:50:18.000]   I use always time with mud and cardboard, right?
[00:50:20.400 --> 00:50:25.360]   Uh, I thought that was uh, but yeah, that's pretty encouraging news for apple. It just shows
[00:50:25.360 --> 00:50:28.800]   Over and over. I mean that what a dominant
[00:50:28.800 --> 00:50:32.000]   brand apple is
[00:50:32.000 --> 00:50:34.240]   It has become
[00:50:34.240 --> 00:50:36.880]   I think well, it also shows how faithful
[00:50:36.880 --> 00:50:42.480]   Apple users are that I think that they're I think that like first is with android with windows
[00:50:42.480 --> 00:50:45.840]   They're people who use these things and they may even like these things
[00:50:46.240 --> 00:50:52.240]   But they don't feel any sort of emotional attachment to anyone logo. They'll be they'll they'll have they might have a linovo
[00:50:52.240 --> 00:50:54.880]   Lenovo
[00:50:54.880 --> 00:50:56.880]   notebook and but then a del desktop and then
[00:50:56.880 --> 00:51:02.800]   Another device then a smart device made by somebody else with if you had a good start with an iphone you are
[00:51:02.800 --> 00:51:08.800]   Presume you are probably going to think favorably about a macbook and then when apple comes up with their own tv box
[00:51:08.800 --> 00:51:11.200]   You're gonna see it's
[00:51:11.200 --> 00:51:13.040]   You're not you don't have to be a fanboy to think well
[00:51:13.040 --> 00:51:16.480]   Maybe the first thing i'm going to look at is this apple one because I like apple products
[00:51:16.480 --> 00:51:21.520]   They're done right by me, uh, and they'll I know they'll will they'll work well with what I have so
[00:51:21.520 --> 00:51:28.720]   Let's take a little break lots more to talk about andi and akoschicago sun times rene richie i'mor.com or show today
[00:51:28.720 --> 00:51:31.440]   uh brought to you by
[00:51:31.440 --> 00:51:35.200]   I love it. It's like a lottery. It's a mystery. I t
[00:51:35.200 --> 00:51:39.920]   Oh, all right. Just look at the screen. I could have said it pro tv
[00:51:40.480 --> 00:51:45.120]   It pro tv is is one of uh one of twits great success stories
[00:51:45.120 --> 00:51:51.760]   Uh tim broon and uh don pazette came to us. Uh, I had done an nab panel on
[00:51:51.760 --> 00:51:56.240]   Uh twit and what we were doing they were fans of the screen savers. They were also though
[00:51:56.240 --> 00:52:02.400]   It trainers and they've been doing it for a long time after the panel at nab they came up and said
[00:52:02.400 --> 00:52:05.920]   Would you mind if we made an it training?
[00:52:07.120 --> 00:52:12.720]   Business that's similar to twit but it focuses on it and it skills. I said by all means
[00:52:12.720 --> 00:52:14.880]   Go right ahead
[00:52:14.880 --> 00:52:22.160]   And it pro tv was born and I have to say at this point. It's completely eclipsed to it. They now have five
[00:52:22.160 --> 00:52:24.880]   Studios
[00:52:24.880 --> 00:52:30.000]   120 we do twit does about I don't know 30 hours of content a week. They do 125 hours
[00:52:30.000 --> 00:52:32.720]   Every week they have
[00:52:32.720 --> 00:52:38.480]   1000 hours that's got to be out of date. They've got even more now more than 2000 hours of uh
[00:52:38.480 --> 00:52:43.680]   online on demand training in every possible
[00:52:43.680 --> 00:52:48.000]   It field including a lot of max stuff max management basics
[00:52:48.000 --> 00:52:51.600]   apple certified support professional itil
[00:52:51.600 --> 00:52:57.280]   Amazon of course microsoft thing is you can watch these anywhere you can watch them
[00:52:57.280 --> 00:53:02.080]   They have a great apple tv app or chromecast or roku or fire tv
[00:53:02.480 --> 00:53:07.040]   Of course you can watch on your pc. They've got it pro tv apps on ios and android
[00:53:07.040 --> 00:53:09.520]   So you can you can watch it anywhere in fact
[00:53:09.520 --> 00:53:12.320]   I know people who have it on their big screen tv at home
[00:53:12.320 --> 00:53:15.440]   And then they get in the car and they keep listening on their phone and they get to work
[00:53:15.440 --> 00:53:17.520]   And they will stream it on their computer
[00:53:17.520 --> 00:53:22.960]   It's a great way either to get that first job and it to get those certs that make it possible, but also
[00:53:22.960 --> 00:53:29.040]   It's a great way to keep your skills up. And this is where it pro tv's team solution
[00:53:29.040 --> 00:53:31.760]   is so great group pricing
[00:53:32.160 --> 00:53:36.880]   Uh, you'll get a supervisor portal which allows you to keep an eye on how your team is learning
[00:53:36.880 --> 00:53:39.280]   schedule
[00:53:39.280 --> 00:53:43.760]   uh view logins viewing time video downloads course completion tracking
[00:53:43.760 --> 00:53:46.800]   You can create custom groups and training assignments
[00:53:46.800 --> 00:53:49.840]   See individual group analytics. It's a great way to kind of
[00:53:49.840 --> 00:53:53.360]   Keep your team up to date and very affordable
[00:53:53.360 --> 00:53:58.800]   So for individuals but also for teams it pro tv go to it pro
[00:53:59.600 --> 00:54:01.600]   dot tv slash mac break
[00:54:01.600 --> 00:54:09.600]   And find out how it pro tv can help you or your team get the best it training out there engaging it's fun
[00:54:09.600 --> 00:54:15.760]   It's it's easy. It's the easiest possible way to learn and i meet people now all the time
[00:54:15.760 --> 00:54:19.120]   Who got into it thanks to it pro tv
[00:54:19.120 --> 00:54:23.040]   It's kind of a natural segue frankly from uh what we do here
[00:54:23.040 --> 00:54:25.360]   You want to get a free seven-day trial?
[00:54:25.360 --> 00:54:28.160]   You could sign up for an individual monthly membership and use the offer code
[00:54:28.640 --> 00:54:30.960]   mac break 30 mac break 3-0
[00:54:30.960 --> 00:54:36.560]   If you decide to stick around you'll receive 30 off your subscription for the lifetime
[00:54:36.560 --> 00:54:40.800]   Of your active subscription 30 off forever
[00:54:40.800 --> 00:54:44.160]   And if you're interested in the team solution
[00:54:44.160 --> 00:54:50.240]   Go to it pro dot tv slash mac break and sign up for a free demo of their supervisor portal
[00:54:50.240 --> 00:54:56.480]   Or tell you know if if you're in a group and you tell your boss and your boss wants to sign up for it
[00:54:56.560 --> 00:54:58.560]   But please have your boss use that url
[00:54:58.560 --> 00:55:04.160]   Because uh because that's a that's a big deal for us if you go to it pro dot tv slash mac break
[00:55:04.160 --> 00:55:05.920]   It really helps the show
[00:55:05.920 --> 00:55:10.880]   And uh, and helps convince that tim and don should keep buying advertisement on
[00:55:10.880 --> 00:55:15.120]   On our show it pro dot tv slash
[00:55:15.120 --> 00:55:18.800]   Mac break. I feel I feel kind of responsible for them. They've really
[00:55:18.800 --> 00:55:24.880]   Done a great job there in Gainesville, Florida. We went a quick went there for their opening of their new studio boy is it beautiful
[00:55:25.040 --> 00:55:27.040]   It is it is gorgeous
[00:55:27.040 --> 00:55:32.560]   Uh, we thank you for their support it pro dot tv slash mac break
[00:55:32.560 --> 00:55:36.480]   Um
[00:55:36.480 --> 00:55:42.640]   Apple will not give off its uh ambitions for creating great tv content
[00:55:42.640 --> 00:55:47.520]   Haven't done it yet, but they did remember higher two sony executives and now they've done a deal
[00:55:47.520 --> 00:55:50.480]   Was steven spielberg. Okay?
[00:55:51.120 --> 00:55:55.120]   They're gonna be a part of them. Yeah, I've heard of him. Did you see the documentary on spielberg?
[00:55:55.120 --> 00:55:58.560]   Uh, I did not oh on hbo must see
[00:55:58.560 --> 00:56:05.920]   Fantastic. Awesome. And you may or may not remember he did a sci-fi series in the mid-80s called amazing stories
[00:56:05.920 --> 00:56:08.480]   Didn't last that long but did win five me awards
[00:56:08.480 --> 00:56:13.520]   Uh apple's gonna has bought the rights. They're gonna create 10 new episodes
[00:56:13.520 --> 00:56:17.520]   With nbc universal and the spielberg's ambling entertainment
[00:56:18.480 --> 00:56:22.720]   Five million an episode so that's a big 50 million dollar commitment here
[00:56:22.720 --> 00:56:26.880]   spielberg will be executive producer according to the wall street journal
[00:56:26.880 --> 00:56:30.240]   This is the first uh
[00:56:30.240 --> 00:56:37.120]   Series they've taken on since they hired those two zak van amberg and jamerillik from uh from sony
[00:56:37.120 --> 00:56:43.520]   Those those two produce shows like breaking bad the crown better called saul and so they have some pretty good shops
[00:56:43.520 --> 00:56:46.400]   so
[00:56:46.400 --> 00:56:49.600]   Yeah, plan is about this eddy. I'm sorry, uh, lemm
[00:56:49.600 --> 00:56:52.000]   We talked about this years ago. Are you thinking me is eddy q?
[00:56:52.000 --> 00:56:57.440]   Come on don't say that I was gonna say an eddy q thing and then I transitioned and only half of brain transition
[00:56:57.440 --> 00:57:01.600]   But we were talking about this for years on mac break, especially Alex about apple getting into their own
[00:57:01.600 --> 00:57:07.200]   Content well, but then they did plan of the apps and carpool karaoke and that we thought oh jeez
[00:57:07.200 --> 00:57:11.360]   But this will be the first show that is I think a little closer to the mark
[00:57:12.320 --> 00:57:18.560]   Yeah, yeah, also it's it's it leverages what's so important about this kind of television where
[00:57:18.560 --> 00:57:23.200]   Amazing stories. I think it lasted two seasons. Wasn't it? Yeah, only two. Yeah, two or three
[00:57:23.200 --> 00:57:25.600]   And each one was like a little movie
[00:57:25.600 --> 00:57:29.760]   It wasn't like it wasn't like all these reboots of the twilight zone where it's like minimal sets
[00:57:29.760 --> 00:57:36.080]   Let's move the entire production to wherever canada outsources its movie a movie of video production out to
[00:57:36.080 --> 00:57:39.920]   Exactly
[00:57:39.920 --> 00:57:46.480]   And what works great is these series that don't have to return ratings on an episode by episode basis
[00:57:46.480 --> 00:57:53.280]   Where the the idea is in is investing in a collection of episodes that are people going to be coming back to time and time and time again
[00:57:53.280 --> 00:57:58.560]   Me for everyone sakes. We saw cbs to the the entire new series of a star star trek
[00:57:58.560 --> 00:58:05.680]   Directly to streaming because they think they partly because they need something to get to get the the age
[00:58:05.680 --> 00:58:07.760]   the average age of the
[00:58:08.480 --> 00:58:13.360]   CBS CBS viewer on streaming a little bit down. It's all like bob new heart show and csi
[00:58:13.360 --> 00:58:17.600]   But also because this way they can actually shoot the entire the entire series
[00:58:17.600 --> 00:58:22.640]   They know that they're going to have a new thing that they can then sell in per per in perpetuity
[00:58:22.640 --> 00:58:29.200]   Without having to resolve without having to respond to a how come it got beaten by the big bang theory repeats three weeks in
[00:58:29.200 --> 00:58:35.200]   So this is I would much rather see them do something like this which has the possibility if it's like anything like it's
[00:58:35.280 --> 00:58:40.480]   Originator to be interesting and unique and deeply deeply wonderfully weird
[00:58:40.480 --> 00:58:43.600]   Then something knock off of the apprentice
[00:58:43.600 --> 00:58:51.840]   I'm sorry a knockoff of a shark tank and then a for an expanded version of a really funny six minute video thing on
[00:58:51.840 --> 00:58:54.480]   12 30 a.m. Talk show as good as it is
[00:58:54.480 --> 00:58:58.720]   I do I do think that it'll this
[00:58:58.720 --> 00:59:00.480]   This
[00:59:00.480 --> 00:59:07.440]   It all started with HBO really creating that kind of super high quality television and the reason I've talked to creators who
[00:59:07.440 --> 00:59:09.440]   Who have gone to HBO?
[00:59:09.440 --> 00:59:16.400]   The reason people went to HBO is because they got freedom. They got money. They got budget but more importantly for them
[00:59:16.400 --> 00:59:18.400]   They're creatives. They got the freedom
[00:59:18.400 --> 00:59:25.520]   Apple needs to do the same thing it needs to show creatives that this is a good place to bring your projects
[00:59:26.080 --> 00:59:30.560]   That will not just give you money, but that you will have creative freedom
[00:59:30.560 --> 00:59:33.040]   You'll be able to make something high quality you'll get an audience
[00:59:33.040 --> 00:59:39.200]   Although I think audience is almost secondary when you go to you know HBO. You're not you're not you're guaranteed smaller
[00:59:39.200 --> 00:59:44.560]   It's not yes, it's not it's not the audience. It's getting maintaining and increasing subscription basis
[00:59:44.560 --> 00:59:47.520]   Well for Apple's point of view but I'm saying several creators point of view
[00:59:47.520 --> 00:59:52.000]   I'm people like Dana Brunetti who was this close to going with a major
[00:59:52.640 --> 00:59:57.840]   standard network provider but got a call from Netflix the night before they signed the deal and
[00:59:57.840 --> 01:00:02.080]   Decided to sell house of cards and Netflix partly it was a hundred million dollars
[01:00:02.080 --> 01:00:06.800]   But what Dana Brunetti said was he's the producer for trigger Street that produced house of cards
[01:00:06.800 --> 01:00:10.560]   Uh, it was it was the thing that he liked weirdly enough
[01:00:10.560 --> 01:00:15.680]   And that Kevin space he liked was that they would do a whole series at once so people could binge it
[01:00:15.680 --> 01:00:17.680]   They thought that was important
[01:00:17.680 --> 01:00:22.000]   And uh, they really liked that compared to what HBO or whoever else they were talking to would have done
[01:00:22.560 --> 01:00:24.560]   It's that kind of thing that apple can offer them
[01:00:24.560 --> 01:00:28.160]   Uh creatives are so I think getting spielberg
[01:00:28.160 --> 01:00:35.360]   Is a is a very important start now spielberg being executive producer mare may merely mean they write him a check every week
[01:00:35.360 --> 01:00:39.040]   Uh, but if they could get him to direct an episode for instance
[01:00:39.040 --> 01:00:43.520]   If you could really see that somebody likes of spielberg's caliber was just attaching his name
[01:00:43.520 --> 01:00:45.520]   It helps
[01:00:45.520 --> 01:00:48.960]   And get the word out. This is a good place to do content
[01:00:49.440 --> 01:00:53.840]   That's what's going to have to happen before apple can can create these prestige products
[01:00:53.840 --> 01:00:57.760]   They're gonna have to show some shows that's hitting that was the criticism previously is that apple's talking about it
[01:00:57.760 --> 01:01:01.760]   But we don't know what an apple tv show means and this is their chance to show creatives in the industry
[01:01:01.760 --> 01:01:03.600]   What an apple tv show means? Yeah?
[01:01:03.600 --> 01:01:08.160]   Well, well like you said they have to offer these creators something other than an audience and right now
[01:01:08.160 --> 01:01:12.720]   Who looking at the minute audience netflix and given the audience apple tv apple cannot give an audience
[01:01:12.720 --> 01:01:15.920]   But you tell you to give you the worst examples
[01:01:16.160 --> 01:01:20.480]   This is why people are screaming away from from network television. There's a blog that I read
[01:01:20.480 --> 01:01:24.640]   Written by a ken levine might be levi and i'm sorry for pressing this pressing name
[01:01:24.640 --> 01:01:28.160]   But he's been writing and directing tv for the past 20 or 30 years
[01:01:28.160 --> 01:01:32.720]   And he does q&a every single friday and he just it just seems so horrible
[01:01:32.720 --> 01:01:35.840]   What's been happening in network television over the past 10 or 15 years?
[01:01:35.840 --> 01:01:42.080]   He says that so when asked him a question about hey, there's a guy who in this episode of frager who said this one line who was he
[01:01:42.160 --> 01:01:45.760]   Oh, well, that's a friend of the cast or whatever and then he goes on to say that there was a that was that
[01:01:45.760 --> 01:01:49.360]   That was back in the time where if you had if you had an actor who only had to say one line
[01:01:49.360 --> 01:01:52.400]   You could just cast whoever you whoever you thought was going to do a good job
[01:01:52.400 --> 01:01:58.080]   But these days even if it's just one line the network needs to see five choices and needs to approve the choice
[01:01:58.080 --> 01:02:03.120]   And when you in that sort of environment when you give them an option of we will give you your budget
[01:02:03.120 --> 01:02:11.360]   All we ask you to do is to deliver these episodes on time and we don't we we don't even know how to drive from silicon valley to where your studio is
[01:02:11.360 --> 01:02:15.520]   So don't just deliver it on time. That's got to be a huge huge attraction
[01:02:15.520 --> 01:02:20.240]   I wouldn't be surprised if spielberg did direct the first episode. I think there's actually some
[01:02:20.240 --> 01:02:25.760]   Some I remember when boardwalk empire got started produced by martin scur saysy
[01:02:25.760 --> 01:02:30.320]   One of the reasons why he directed the first episode and one of the reasons why is that if you direct the first episode
[01:02:30.320 --> 01:02:32.320]   You have a piece of the entire series
[01:02:32.320 --> 01:02:37.040]   Even if you're even if you're not martin scur saysy even if you're not steven spielberg, but it would also just be
[01:02:37.040 --> 01:02:40.880]   Who's not going to tune in just to see anything directed by steven spielberg?
[01:02:41.040 --> 01:02:43.040]   Yeah, his trail
[01:02:43.040 --> 01:02:45.280]   Yeah, yeah
[01:02:45.280 --> 01:02:47.280]   Yeah, the original director also often shows
[01:02:47.280 --> 01:02:52.960]   Creates the language that other directors follow in doing the show. It's a huge. Yeah. Yeah, yeah
[01:02:52.960 --> 01:02:58.640]   Uh, so good news. I think that's very encouraging news for apples efforts
[01:02:58.640 --> 01:03:00.800]   It's not clear, but I think I hope
[01:03:00.800 --> 01:03:05.840]   They don't do this, but I guess that they'll make it an apple music exclusive right and you have to have apple
[01:03:05.840 --> 01:03:10.320]   At least first then you'll be able to buy it on itunes or something. Oh, maybe it would be nice because I don't
[01:03:10.880 --> 01:03:15.120]   Really don't want apple music. I guess I would subs I guess I would subscribe to it if it was the only way
[01:03:15.120 --> 01:03:19.040]   That's what they want. They want to have enough good content that you subscribe and keep renewing that subscription
[01:03:19.040 --> 01:03:25.360]   I'll need a better name eventually though than well, but it's it's interesting because really there's not much differentiator between spotify
[01:03:25.360 --> 01:03:30.880]   Google music amazon music apple music title diesel all of these and uh
[01:03:30.880 --> 01:03:37.680]   You got to find a differentiator whether it's exclusives or in this case exclusive Netflix raised their prices right before stranger things
[01:03:38.720 --> 01:03:42.160]   I mean, that's what you want. Yeah, you you want that sort of subtractor
[01:03:42.160 --> 01:03:47.920]   Although this is a good time for apple because both netflix and especially amazon are struggling a little bit with their original stuff
[01:03:47.920 --> 01:03:51.040]   It's not as they don't have the breakout things that they had
[01:03:51.040 --> 01:03:54.160]   Last year in the year before amazon
[01:03:54.160 --> 01:03:59.920]   There's been article has no additional businesses like at least amazon has so many other products that they can write micro subs
[01:03:59.920 --> 01:04:03.760]   Yule businesses they want to be in where netflix doesn't have that and apple of course has
[01:04:03.760 --> 01:04:06.400]   More money than the earth
[01:04:06.400 --> 01:04:09.920]   Speaking of amazon here comes the battle of the home of the uh
[01:04:09.920 --> 01:04:14.080]   intelligent assistant enabled home speakers
[01:04:14.080 --> 01:04:19.680]   It's a new category apple of course is going to come out with its home pot in december
[01:04:19.680 --> 01:04:24.960]   Google this week announced that they're going to do the uh at google home
[01:04:24.960 --> 01:04:30.240]   Well two of them one the google home mini that looks like a pink donut
[01:04:30.240 --> 01:04:35.600]   To compete with the amazon dot and then uh google home max
[01:04:36.560 --> 01:04:40.080]   Which looks like it's directly a home pot
[01:04:40.080 --> 01:04:41.840]   It looks like a sonos speaker
[01:04:41.840 --> 01:04:46.080]   But they made a big point about how it will auto tune the sound depending on where it is in the room
[01:04:46.080 --> 01:04:52.240]   That's of course something apple says the home pod will do sonos does it but with the with a little more intervention on your part
[01:04:52.240 --> 01:04:58.080]   You have to you know select it and do all that so and sonos is going to have every assistant on it
[01:04:58.080 --> 01:05:00.480]   So they can just talk to themselves and finally leave you alone
[01:05:01.440 --> 01:05:06.800]   I immediately turned on that sonos said also had an announcement on october 4th and I immediately turned on
[01:05:06.800 --> 01:05:08.400]   uh
[01:05:08.400 --> 01:05:11.600]   Echo integration with sonos. It works great. I mean
[01:05:11.600 --> 01:05:16.000]   It was all that was missing on sonos is the ability to talk to it. That is that is
[01:05:16.000 --> 01:05:19.440]   It's hard to like overestimate how important that is
[01:05:19.440 --> 01:05:23.040]   Yeah, and like like I said, it didn't seem like a when when apple
[01:05:23.040 --> 01:05:26.320]   Introduce the home pod it didn't seem like that
[01:05:26.720 --> 01:05:31.120]   It didn't I couldn't go along the idea that this was a really bad sign for sonos
[01:05:31.120 --> 01:05:34.320]   All they have to do is sign a deal and suddenly they have a home assistant
[01:05:34.320 --> 01:05:36.560]   It's not a problem
[01:05:36.560 --> 01:05:39.200]   Well, there may have been technical issues because they've been talking about this
[01:05:39.200 --> 01:05:42.960]   Amazon integration up this echo integration up for more than a year
[01:05:42.960 --> 01:05:47.120]   So there may have been something about airplay for three years and they finally did that
[01:05:47.120 --> 01:05:51.040]   Well, they haven't done it yet. They said next year airplay support and they're gonna
[01:05:51.040 --> 01:05:52.880]   support
[01:05:52.880 --> 01:05:58.720]   A series I think but google assistant for a series by proxy. Yeah, just sort of likes the food by proxy
[01:05:58.720 --> 01:06:01.120]   Yeah, we'll get into that. Well, it's and technically it's interesting
[01:06:01.120 --> 01:06:05.520]   I don't know exactly I can't actually we should do some digging to figure this out because all you do is you connect
[01:06:05.520 --> 01:06:12.160]   An echo dot to a sonos speaker through the line in and somehow it magically turns lights up the whole
[01:06:12.160 --> 01:06:16.960]   Network and so now I can talk to any of my echoes and command any of my sonos is
[01:06:16.960 --> 01:06:21.600]   All I have to do is have one sonos connected to one dot. I don't understand how that works at all
[01:06:21.600 --> 01:06:24.080]   It's a meshing of the mesh Leo. It's a meshing of the mesh. Yeah
[01:06:24.080 --> 01:06:28.560]   Yeah, all of all of that just to say play me some doobie brothers
[01:06:28.560 --> 01:06:34.400]   There's three people in the house with 19 assistants
[01:06:34.400 --> 01:06:40.080]   Well, one of the things that happens you put the echo at you have the echo app on your iphone
[01:06:40.080 --> 01:06:48.320]   Uh, you say go find devices and all of a sudden magically it finds all the ek all the uh, sonos is what you never saw before
[01:06:49.280 --> 01:06:53.600]   So they're all on the same Wi-Fi and so it says oh I see all these sonos is and now
[01:06:53.600 --> 01:06:57.440]   I ended up renaming my sonos is so that the commands would be
[01:06:57.440 --> 01:07:02.640]   You know play the doobie brothers on the kitchen sonos because it was getting a little confusing
[01:07:02.640 --> 01:07:06.400]   Um because I have echoes everywhere too and uh
[01:07:06.400 --> 01:07:12.880]   So I think I will be buying a home pod and I would and I already put down an order for the uh home max
[01:07:12.880 --> 01:07:18.160]   The echo I mean the google home max. Well, yeah, so I think we're good
[01:07:18.880 --> 01:07:24.640]   What's gonna what's gonna what the pressure is going to be is I think on consumers is pick one pick an ecosystem
[01:07:24.640 --> 01:07:26.800]   increasingly
[01:07:26.800 --> 01:07:31.760]   And neil i patel wrote about this with the uh with bluetooth headphones and uh in the headphone jack
[01:07:31.760 --> 01:07:35.200]   He says well, it's really all about getting you in an ecosystem
[01:07:35.200 --> 01:07:39.040]   Because if you really want your iphone to work great, you're gonna get air pods
[01:07:39.040 --> 01:07:44.000]   If you really want your new pixel to work great, you're gonna get the what are they calling the pixel buds
[01:07:44.000 --> 01:07:45.920]   Buds. Yeah
[01:07:45.920 --> 01:07:50.800]   It's like laying this for cameras all over again is it is? Isn't it you choose an ecosystem?
[01:07:50.800 --> 01:07:56.640]   Yes and no the thing is people aren't gonna buy uh aren't gonna buy a home pod plus a google home
[01:07:56.640 --> 01:08:01.280]   super biggie uh plus a third speed try hit head they're gonna pick it up
[01:08:01.280 --> 01:08:05.760]   They're gonna they're gonna probably buy whatever will fit in with whatever they've got right now
[01:08:05.760 --> 01:08:07.360]   It's gonna sound perfectly fine
[01:08:07.360 --> 01:08:11.120]   And then they're gonna simply go with it and then i'm gonna be disappointed that i'm gonna feel roped at all
[01:08:11.120 --> 01:08:14.720]   Uh because this I think this is what the ante what they're gonna pick is they're gonna say well
