
[00:00:00.000 --> 00:00:05.160]   It's time for Mac break weekly show where we talk about all the apples stuff
[00:44:53.440 --> 00:44:59.120]   And then they own beats they happen to own beats and they can put a whole line of beats with lightning adapters or plugs
[00:44:59.280 --> 00:45:04.320]   They're actually already are I think and the apple sells an app a set of audis headphones for $800
[00:45:04.320 --> 00:45:06.000]   So they're lightning
[00:45:06.000 --> 00:45:11.040]   Uh basically and I think that this I think this this of course makes it thinner and provides more space for battery
[00:45:11.040 --> 00:45:17.040]   But I think it's also important that it closes off the last non, you know licensed connection to the phone
[00:45:17.040 --> 00:45:21.840]   So, you know, I think that that that has a big, you know, uh, you know, there's a lot of us that have hacked
[00:45:21.840 --> 00:45:25.600]   Solutions and don't look at square doesn't square use the headphone jack your lungs
[00:45:27.600 --> 00:45:30.960]   There are a lot of data acquisition and capture devices that that uses it
[00:45:30.960 --> 00:45:33.440]   I have a thermometer that uses the headphone jack
[00:45:33.440 --> 00:45:35.040]   Don't need an mfi license to use it
[00:45:35.040 --> 00:45:39.520]   But the other thing that it like it it probably won't make it thinner because lightning is not that thin a collection
[00:45:39.520 --> 00:45:43.360]   iPod touch is already super thin and a lot of android phones are super thin even with
[00:45:43.360 --> 00:45:47.760]   Jax and battery I mean they they took out battery to put in 3d touch last time
[00:45:47.760 --> 00:45:51.120]   But what it does do is if you look at the phone design now the bottom bezel
[00:45:51.120 --> 00:45:52.160]   Um
[00:45:52.160 --> 00:45:55.920]   It's pretty large and they can afford to have a headphone jack there if you start removing that bezel
[00:45:56.080 --> 00:45:59.760]   That headphone jack has to go underneath the screen and then that creates other engineering problems
[00:45:59.760 --> 00:46:05.200]   So I think about what really does want to make the casing smaller this year or in two years from now and getting rid of the headphone jack
[00:46:05.200 --> 00:46:09.760]   One of the steps to get me. Let me ask you this lightning. Does it have analog audio out of the lightning port?
[00:46:09.760 --> 00:46:11.680]   Is it only digital audio? It's pure digital
[00:46:11.680 --> 00:46:19.200]   So that means that the digital to analog converter the DAC will no longer have to be in the iPhone
[00:46:19.200 --> 00:46:25.040]   That saves space as well, but it will be in the headphones. You'll have to have a DAC in the headphones
[00:46:25.600 --> 00:46:28.040]   Yeah, apple could build it in or they could leave it for external
[00:46:28.040 --> 00:46:33.120]   Manufacturers, I'm not sure which way they would go yet. It might it might be very drastic step to limit it completely
[00:46:33.120 --> 00:46:35.440]   If you're going to have lightning connector headphones
[00:46:35.440 --> 00:46:38.240]   You will have to have you will only be getting bits
[00:46:38.240 --> 00:46:42.880]   So you'll have to have something that convinced can converts to analog so you can hear them
[00:46:42.880 --> 00:46:43.680]   Yes, true
[00:46:43.680 --> 00:46:47.200]   That's going to add to the cost of the headphones because you have to put a chip in there now
[00:46:47.200 --> 00:46:50.320]   I don't know maybe maybe they figured out it doesn't add that much to the cost
[00:46:50.800 --> 00:46:56.640]   There's a lot of potential though on the upside for audio files because now you could put a better DAC
[00:46:56.640 --> 00:47:00.160]   On there that would be better quality could play back for instance
[00:47:00.160 --> 00:47:07.040]   High res music that's just out of apples hands now apple doesn't have to worry about it apple watch hasn't ship without a headset jack
[00:47:07.040 --> 00:47:09.360]   It was one of what I would be in this
[00:47:09.360 --> 00:47:13.120]   No, but I would be surprised we saw something that was that was a like the bows
[00:47:13.120 --> 00:47:18.320]   Um, you know like the bows thing when you have like a little rectangle that they're using you know on the on the little
[00:47:18.320 --> 00:47:24.240]   Have to if you wanted to use standard analog headphones, you'd have to have an a converter. They included a DAC
[00:47:24.240 --> 00:47:26.000]   Right
[00:47:26.000 --> 00:47:29.280]   That wouldn't have been understand that you could put you could have one there that's giving you really
[00:47:29.280 --> 00:47:34.960]   I think there is is doing north cancellation and apple could build the noise cancellation in at least so they'd be taking one thing away and giving you something else
[00:47:34.960 --> 00:47:38.400]   The tax can't be that bigger expensive because things like the braggy
[00:47:38.400 --> 00:47:41.760]   Dash which is an in-ear bluetooth
[00:47:41.760 --> 00:47:46.880]   Headphones very small doesn't have you know, it has five hours battery life just from that
[00:47:47.520 --> 00:47:52.880]   Uh, there's a DAC in that so it can't be that can't be that yeah, it wouldn't it wouldn't be that much bigger
[00:47:52.880 --> 00:47:56.960]   Uh, I mean if you've ever seen a tear down actually of a like no the license light and cable
[00:47:56.960 --> 00:48:02.160]   You will actually see there's actually a there's an interesting computer inside the end of that connector
[00:48:02.160 --> 00:48:05.360]   what what I would have been thinking about though is that um
[00:48:05.360 --> 00:48:10.080]   Apple I feel as though apple would absolutely
[00:48:10.080 --> 00:48:15.600]   Half when they introduce if they were to introduce an iPhone without a headphone jack
[00:48:16.000 --> 00:48:21.760]   They would have to say here is what we're giving you the consumer in exchange
[00:48:21.760 --> 00:48:27.200]   Here's the big upgrade that we're giving you by by taking out that headphone jack
[00:48:27.200 --> 00:48:28.480]   You're welcome
[00:48:28.480 --> 00:48:31.200]   Uh, because if they say if they only say that well
[00:48:31.200 --> 00:48:34.480]   We were able to save ourselves some manufacturing costs
[00:48:34.480 --> 00:48:38.320]   We were able to limit the size of the bezel which we wanted and we were able to make a little bit
[00:48:38.320 --> 00:48:43.920]   The flatter and also it makes it gives us a little less trouble trying to fit all the components inside there
[00:48:44.320 --> 00:48:48.880]   Nobody who is even marginally aware of how successful apple is going to be is going to say well
[00:48:48.880 --> 00:48:51.920]   You've just screwed me over for every pair of headphones that I have
[00:48:51.920 --> 00:48:55.200]   Uh, but i'm glad that you've made things more convenient for you
[00:48:55.200 --> 00:49:01.280]   So they would have to find uh, they would have to find some way to sell it so that it so that they can say here's why
[00:49:01.280 --> 00:49:05.360]   We did it for you not for us for you and I don't know if
[00:49:05.360 --> 00:49:14.160]   Improved audio is going to do it because a mass majority of people are perfectly fine with whatever analog headphones that they have
[00:49:14.640 --> 00:49:19.280]   There you are you already can't sell people on the most exquisite studio production
[00:49:19.280 --> 00:49:22.800]   of a of a completely high bit rate
[00:49:22.800 --> 00:49:25.120]   proprietary album format
[00:49:25.120 --> 00:49:30.640]   I don't think anybody can really sense that one thing that is at least possible is that they could say that
[00:49:30.640 --> 00:49:36.560]   Because of the way that the lightning connector is created we can make it more water resistant
[00:49:36.560 --> 00:49:39.040]   It will be one less point of entry
[00:49:39.040 --> 00:49:43.120]   Um, I was thinking about that and trying to look at that late last week
[00:49:43.520 --> 00:49:48.960]   Um, and I'm not convinced that they couldn't get the exact same sort of solution with a better
[00:49:48.960 --> 00:49:54.080]   Headphone jack and as is a lot of the flagship phones that we have
[00:49:54.080 --> 00:50:00.480]   Uh, they don't want to go so far as to say that this has been certified as being waterproof or weather resistant
[00:50:00.480 --> 00:50:03.280]   But nonetheless you can find no shortage of people who
[00:50:03.280 --> 00:50:06.320]   Uh took like an exes 5x and actually
[00:50:06.320 --> 00:50:12.080]   Started music playing and put it under put it in a bowl of clear water and three hours later
[00:50:12.160 --> 00:50:15.120]   It was still running perfectly fine. Uh, so I'm
[00:50:15.120 --> 00:50:22.240]   This isn't a prediction of how they're going to sell it, but I really am stumped for how they could pull this off and not
[00:50:22.240 --> 00:50:28.400]   Be saying that this is something we did for our own convenience. We're kind of screwing you right in the neck
[00:50:28.400 --> 00:50:30.400]   But hey by
[00:50:30.400 --> 00:50:32.960]   One of the things in the back of your mind or back in my mind
[00:50:32.960 --> 00:50:37.760]   Sometimes is that the knowledge that apple is the only manufacturer of iphones
[00:50:38.080 --> 00:50:43.280]   And the suspicion that every single conversation that they have about a new design is yes
[00:50:43.280 --> 00:50:45.920]   This is going might include the phrase. Yes. This is going to
[00:50:45.920 --> 00:50:49.600]   Inconvenience and steam off a lot of different a lot of our customers
[00:50:49.600 --> 00:50:54.640]   But will they get so angry that they'll switch to android probably no great? So let's go ahead and do it. Yeah
[00:50:54.640 --> 00:51:00.160]   And jim dar bah could take on this and he you know, he he had his he's had his problems with apple music
[00:51:00.160 --> 00:51:03.920]   But he his take at least the way I read it was sort of like and he's got high-end headphones
[00:51:03.920 --> 00:51:07.360]   He was telling us all about his high-end headphones last time that he couldn't wait to get rid of them
[00:51:07.360 --> 00:51:10.560]   And he thought that he would get substantially better audio and I realized that is a niche
[00:51:10.560 --> 00:51:13.920]   But there are going to be people who the jack the headphone jack
[00:51:13.920 --> 00:51:17.680]   I just bought the high-end headphones with the head phone jack he recommended by the way
[00:51:17.680 --> 00:51:20.880]   I know and he's already throwing if might be a scott born when they first announced the iphone
[00:51:20.880 --> 00:51:22.880]   He started jumping on his trio
[00:51:22.880 --> 00:51:27.040]   Sort of like looking forward to the future and sort of things you can get out of them
[00:51:27.040 --> 00:51:31.360]   Yeah, but you can you can have both of those jacks you can still have that super high-end audio through lightning
[00:51:31.360 --> 00:51:36.000]   But still have the headphone jack. I just i'm an adapter too. I mean, it's a dongle, but it's a no
[00:51:36.000 --> 00:51:38.800]   That adapter adapter that's the way they saw that
[00:51:38.800 --> 00:51:44.080]   I'm saying that if any argument here the answer is oh people just get an adapter
[00:51:44.080 --> 00:51:46.640]   That is so non-apple
[00:51:46.640 --> 00:51:50.880]   Excuse me, there's an aspirational aspect to how we see apple
[00:51:50.880 --> 00:51:55.760]   And if apple says that you'll expect lots of people to go out and buy dongles
[00:51:55.760 --> 00:51:59.040]   As opposed to remember years ago when the interest the iMac
[00:51:59.040 --> 00:52:02.560]   They were saying they were saying that we're switching we're no longer using adb
[00:52:02.560 --> 00:52:08.640]   We're now going to use usb for everything they were able to easily say but this is a industry standard
[00:52:08.640 --> 00:52:10.880]   You can buy any keyboard and any mouse and use it with it
[00:52:10.880 --> 00:52:12.960]   This is where the future is going to be
[00:52:12.960 --> 00:52:15.600]   We know it's going to be really a hardship for the first couple years
[00:52:15.600 --> 00:52:19.760]   But eventually the entire industry is going to be using usb not only for keyboards
[00:52:19.760 --> 00:52:24.160]   But also for mass storage trust us you're going to be so much happier with this a year or two from now
[00:52:24.160 --> 00:52:26.880]   I'm trying to figure out what what tail no
[00:52:26.880 --> 00:52:31.040]   Huge backlash on this huge backlash. Yeah, I mean, I do
[00:52:31.040 --> 00:52:34.640]   I definitely think there's going to be a big backlash. I think that
[00:52:34.640 --> 00:52:38.800]   I think what's interesting also though is I wonder if apple is
[00:52:38.800 --> 00:52:44.160]   Is looking at number one controlling the entire ecosystem, but also
[00:52:44.160 --> 00:52:49.040]   What if if 90 percent of the people who buy high-end headphones are
[00:52:49.040 --> 00:52:54.400]   Are only you know iPhone users? Let's say I mean which is quite possible
[00:52:54.400 --> 00:52:59.040]   Uh, do you end up in a situation where these manufacturers stop making?
[00:52:59.840 --> 00:53:04.800]   You know, it's not making the regular headphones because uh, there's just not worth having to you know
[00:53:04.800 --> 00:53:09.600]   It's like there's two parts of that that's really interesting and one is when apple switched from the dock connector to lightning
[00:53:09.600 --> 00:53:12.800]   They did make adapters, but they did not get them into stores in time for launch
[00:53:12.800 --> 00:53:15.040]   It took a week or two and that was the worst part
[00:53:15.040 --> 00:53:18.400]   I mean if you're going to switch a connector on people you have an absolute responsibility
[00:53:18.400 --> 00:53:22.000]   Because those adapters available immediately, especially if you don't put one in the box
[00:53:22.000 --> 00:53:25.120]   Because someone buying the new device having the new cable losing or damaging their cable
[00:53:25.120 --> 00:53:27.200]   They suddenly cannot use that device
[00:53:27.200 --> 00:53:30.640]   Uh, so if they do have adapters available, they have to get them to market
[00:53:30.640 --> 00:53:35.280]   But the other thing was uh, to Andy's point some people were saying if they're going to do this then do it with usbc
[00:53:35.280 --> 00:53:38.720]   Because then you can make the argument that it'll work with anything across any range of device
[00:53:38.720 --> 00:53:44.720]   And don't do it with lightning although it's finally here whether usbc does everything that apple wants lightning to go
[00:53:44.720 --> 00:53:48.480]   And also they don't have control of it. I mean, I just don't think I mean I thought for a long time
[00:53:48.480 --> 00:53:52.640]   Like I kept on thinking the next iPhone is going to have usbc and then the more I thought about it
[00:53:52.640 --> 00:53:56.880]   I just think that that puts them in a situation where they don't really control their ecosystem
[00:53:56.960 --> 00:54:00.480]   And I think the iPhone is too important. I think that's part of it is getting rid of all this
[00:54:00.480 --> 00:54:03.600]   I think really has to do with controlling everything that contacts the phone
[00:54:03.600 --> 00:54:06.640]   But what a terrible terrible reason to do that though
[00:54:06.640 --> 00:54:12.240]   I'm like I said there there has there has to be I don't care how much any manufacturer or software maker
[00:54:12.240 --> 00:54:16.720]   Disrupts the lives of the users so long as they can make the absolutely sincere
[00:54:16.720 --> 00:54:21.280]   Incredible argument that we made this really really horrible change because we know that a year
[00:54:21.280 --> 00:54:25.040]   We have to make this change basically to make sure there's a product you're going to continue to want to use
[00:54:25.360 --> 00:54:28.000]   Over the next two or three years. I am absolutely
[00:54:28.000 --> 00:54:32.880]   Deaf to the argument that we wanted to make things a little bit thinner or we wanted to make
[00:54:32.880 --> 00:54:38.880]   We wanted to knock an extra 82 cents off of our cost to manufacture because something it and I don't think that there's a
[00:54:38.880 --> 00:54:45.200]   I don't think I know that rene wasn't saying that there was an equivalency between deleting the
[00:54:45.200 --> 00:54:51.040]   deleting the the audio port and changing the 30 pin to the lightning dock connector
[00:54:51.760 --> 00:54:55.200]   But to that general point, I just don't think that it's a
[00:54:55.200 --> 00:55:00.000]   Headphones have been unchanged for the past what 30 years century
[00:55:00.000 --> 00:55:03.760]   And then it's that's what I'm getting at is that
[00:55:03.760 --> 00:55:12.720]   This is not and the thing is nobody has delivered an upgrade to headphones yet that justified a totally new digital
[00:55:12.720 --> 00:55:16.720]   Port it has to be stereo and it has to deliver good audio
[00:55:17.360 --> 00:55:22.160]   And given that you're wearing headphones at the bus while waiting for a bus while going for a walk
[00:55:22.160 --> 00:55:25.520]   I'm not like sitting in an anechoic chamber with headphones on
[00:55:25.520 --> 00:55:32.480]   Uh, it's it's such a bad thing to try to disrupt somebody's life that bad to give an
[00:55:32.480 --> 00:55:36.400]   Infinite does some and probably impossible to sense
[00:55:36.400 --> 00:55:40.960]   Improvement and audio quality that I don't think that I think the argument
[00:55:40.960 --> 00:55:42.880]   I think
[00:55:42.880 --> 00:55:47.840]   Possibly the argument there and I I agree with you a lot of I mean if it becomes only because they're trying to control it
[00:55:47.840 --> 00:55:48.880]   I think it's a really bad idea
[00:55:48.880 --> 00:55:50.000]   I think that
[00:55:50.000 --> 00:55:51.920]   Trying to think about what they would do it, you know
[00:55:51.920 --> 00:55:54.400]   It's part of it is is that if you have the connector
[00:55:54.400 --> 00:55:58.400]   And if you force the industry to go down that path where you support that connector
[00:55:58.400 --> 00:56:03.200]   What if you're taking biometric readings all these other things that you could add that are going to be hard to reach critical mass
[00:56:03.200 --> 00:56:05.680]   If you don't get rid of the other option
[00:56:05.680 --> 00:56:09.760]   You know that you know that might be you know part of the part of the thought process
[00:56:09.760 --> 00:56:13.520]   But you know I agree they I definitely agree with you that they have to come up with a
[00:56:13.520 --> 00:56:18.880]   Very very solid, you know reason and a lot of upside to make it worth getting rid of it
[00:56:18.880 --> 00:56:22.720]   But we now know they are right. I mean it's safe to say they are
[00:56:22.720 --> 00:56:27.520]   They've been doing experimenting with it for a while, but this year feels like the year where it that that model finally
[00:56:27.520 --> 00:56:32.640]   Just that one thing that's it a supply chain thing. I mean that confirms it. I think
[00:56:32.640 --> 00:56:37.360]   Well, I'll I'll say in that I actually I've been answering this question a lot over the past couple of weeks
[00:56:37.360 --> 00:56:42.880]   If app if the iPhone 7 were going to have no no traditional headphone jack
[00:56:42.880 --> 00:56:50.720]   In january of that year I would expect to hear the type and velocity of rumors that i'm hearing right now
[00:56:50.720 --> 00:56:53.440]   Yeah, so I don't know if I don't I've still won't say that
[00:56:54.000 --> 00:56:58.800]   Anything is a lock until it's a and things can change like sapphire screens even at the last minute again
[00:56:58.800 --> 00:57:03.280]   Like like when I keep saying apple builds a lot of things and you'd be surprised at how late in the game
[00:57:03.280 --> 00:57:06.560]   They get before they really absolutely commit to one design over another
[00:57:06.560 --> 00:57:11.520]   So it's possible that they really are that far along but there's still a lot of really loud arguments
[00:57:11.520 --> 00:57:16.480]   One's in happening inside one in fit loop about what direction to go whether if they're going to do it
[00:57:16.480 --> 00:57:19.120]   Should they do it in 2016 or should they wait till 2017
[00:57:19.600 --> 00:57:22.240]   For a second I do it eventually right like in 50 years and we're doing the show
[00:57:22.240 --> 00:57:28.480]   We won't have a light any part anymore. Can we get when when human ears have evolved to the point where they they're like more tubular and come to
[00:57:28.480 --> 00:57:31.200]   Points and they're forced to redesign it anyway. Yes
[00:57:31.200 --> 00:57:39.120]   These are the speakers they sell at the apple store the oddies which oddies are very high-end audio file headphones
[00:57:39.120 --> 00:57:46.320]   These are $800 the eLA titanium's by the way they can be used for voice calls as well
[00:57:46.320 --> 00:57:48.000]   um
[00:57:48.000 --> 00:57:53.440]   And uh, the the selling point on these is stunning 24-bit
[00:57:53.440 --> 00:57:56.160]   Audio because they have their built-in
[00:57:56.160 --> 00:58:01.600]   Tips leo or is it only lightning or can you swap the uh, that's an interesting question
[00:58:01.600 --> 00:58:08.080]   That's the interesting thing because if you look at apples devices lightning is everything the magic stuff charges on lightning the pencil charges on lightning
[00:58:08.080 --> 00:58:13.360]   Uh except for the apple tv and the macbook and the macbook makes sense because lives in a pc world in the apple tv
[00:58:13.360 --> 00:58:17.280]   I'm not quite sure why it's usb instead of lightning unless there's data advantages
[00:58:17.360 --> 00:58:21.760]   But this does only for manufacturers this does have an adapter that'll get you to
[00:58:21.760 --> 00:58:24.160]   To a stereo
[00:58:24.160 --> 00:58:27.680]   Headphone a phono jack or I don't know if it'll get you to mini jack
[00:58:27.680 --> 00:58:32.720]   But it'll get you to phono jack because if you pay $800 for these you really want to listen to one your stereo too
[00:58:32.720 --> 00:58:37.040]   Right. That is a lot of people listening to your music for you at that amount of money
[00:58:37.040 --> 00:58:40.080]   No, uh, wow
[00:58:40.080 --> 00:58:45.200]   But so and I don't think so that's the point is I don't think the audio file community is going to not like this effect
[00:58:45.440 --> 00:58:47.440]   They're probably a proof of it because
[00:58:47.440 --> 00:58:52.000]   Those are two groups consumers will just throw like they they're disposable almost you get one with your new iPhone
[00:58:52.000 --> 00:58:54.560]   And if you lose it you get the next one has lightning they may not even notice
[00:58:54.560 --> 00:58:58.480]   They're sort of that huge range of people who who care enough about them
[00:58:58.480 --> 00:59:01.440]   But not enough that they'll see this as an advantage that will get most effective
[00:59:01.440 --> 00:59:07.680]   Like but that's the argument apple has to include lightning headphones in the box. Okay. They can't stiff you
[00:59:07.680 --> 00:59:09.920]   They have to do the lightning headphones
[00:59:09.920 --> 00:59:13.200]   The problem is that it really is a headphones are almost a consumable
[00:59:13.280 --> 00:59:16.320]   I mean you lose them you burn them through the wash you break them
[00:59:16.320 --> 00:59:20.560]   Uh, and so people I would be also interested to see
[00:59:20.560 --> 00:59:28.800]   What the price of a pair of cheap apple branded lightning headphones would be so once I do realize it
[00:59:28.800 --> 00:59:32.000]   Damn it. I left my headphone right back. I'll get another dis another
[00:59:32.000 --> 00:59:32.960]   Can you go to another?
[00:59:32.960 --> 00:59:36.800]   Can you go to the 7-11 or the gas station and get your kids another
[00:59:36.800 --> 00:59:41.760]   But even if like if it costs me $40 to replace them at the apple store
[00:59:42.000 --> 00:59:46.720]   Right that I would be I would feel so horked off and then when it comes time to buy an iPhone 8
[00:59:46.720 --> 00:59:52.800]   I would be saying let's see who else is making well and if you've invested as I just did thank you jim daller
[00:59:52.800 --> 00:59:54.800]   Pulling in you know $200
[00:59:54.800 --> 00:59:58.640]   Mini jack headphones. I guess one answer would be to get a
[00:59:58.640 --> 01:00:00.960]   convertible
[01:00:00.960 --> 01:00:03.520]   uh converter that will take it to from lightning to
[01:00:03.520 --> 01:00:09.680]   Did that when we had those when they when they had uh, what was it that on the original iPhone the first one or two
[01:00:09.760 --> 01:00:13.680]   versions where they had that curve that meant that you couldn't use it so you had to have it
[01:00:13.680 --> 01:00:16.000]   We all had these little
[01:00:16.000 --> 01:00:21.040]   So we're not okay still like that and that was legitimately embarrassing for apple
[01:00:21.040 --> 01:00:26.640]   We should that should be there if there is a wall of shame for apple design. That's absolutely it
[01:00:26.640 --> 01:00:31.040]   I mean we could be good. Let's let's also let's also put the third possibility on the table
[01:00:31.040 --> 01:00:38.480]   What if apple were to decide to jabsulate go for broke saying that with let's test how hard it is for someone to decide to not buy the next
[01:00:38.480 --> 01:00:44.000]   iPhone what if we were to just to hard wire them in and if you break them you have to buy a whole new iPhone
[01:00:44.000 --> 01:00:46.660]   Forget rid of the
[01:00:46.660 --> 01:00:51.760]   No, no such a strain relief either. It'll just be like sort of pushed through a hole in the side and a couple of solder points
[01:00:51.760 --> 01:00:57.680]   Looking to see if mono price or somebody sells a lightning to 3.5 millimeter
[01:00:57.680 --> 01:01:00.000]   It's not the first should you point out that apple is not the first one to do this
[01:01:00.000 --> 01:01:05.520]   HTC a lot of windows mobile and I think even early android phones only had usb out and you get a little break off really
[01:01:05.600 --> 01:01:11.200]   Box that would plug into it. Yeah, I forget the names. That's all gone now. Isn't it? That's telling that was a flop
[01:01:11.200 --> 01:01:16.320]   It goes in and then you get like a stereo out and you'd get a usb out and and something else
[01:01:16.320 --> 01:01:20.560]   It was the slider phones and I think even one of the early HTC android phones did that
[01:01:20.560 --> 01:01:24.160]   We've been a couple of vendors done in the past. That's that those are real
[01:01:24.160 --> 01:01:28.000]   Outlier sort of designs and as I can't remember the name
[01:01:28.000 --> 01:01:33.120]   But there are at least one design where the backstory on that was that they screwed up big time
[01:01:33.200 --> 01:01:37.280]   And they figured the only way that they could make their ship date was to put everything across the usb bus
[01:01:37.280 --> 01:01:44.320]   And it was and it's back in the days where you're making 800 different models of phone and introducing 30 every month
[01:01:44.320 --> 01:01:46.960]   And the person that was
[01:01:46.960 --> 01:01:52.080]   The story that I heard was that the person who was the head of the design team decided to spend more time with his family after that
[01:01:52.080 --> 01:01:59.360]   And I presume that a lot of companies are gearing up because I don't find any lightning to 3.5 millimeter adapters
[01:01:59.360 --> 01:02:01.680]   Or really an it would be a DAC
[01:02:01.680 --> 01:02:04.640]   So I don't know what the price would be but you know what there are cheap decks out there
[01:02:04.640 --> 01:02:06.640]   They probably could do it for 10 bucks. Yeah
[01:02:06.640 --> 01:02:10.000]   Hello kitty on there everyone's happy. Yeah
[01:02:10.000 --> 01:02:16.320]   I think would be interesting if apple were to if part of the discussions if apple that apple might would be having is
[01:02:16.320 --> 01:02:19.120]   Let's make sure that the standard is such that
[01:02:19.120 --> 01:02:27.360]   Uh, if someone wants to if monoprice or alibaba sellers want to make a knockoff pair of headphones that just deliver audio
[01:02:27.760 --> 01:02:35.600]   It will be easy to hack this connector so that people can go to the drugstore and buy us at headphones for 10 dollars
[01:02:35.600 --> 01:02:38.160]   Uh, we're not gonna we're not gonna endorse it. We're not gonna promote it
[01:02:38.160 --> 01:02:39.920]   We're not even gonna say to anybody. This is a feature
[01:02:39.920 --> 01:02:45.840]   But we know that there are engineers out there that can take a look at this connector and find out what signal is going over what
[01:02:45.840 --> 01:02:51.760]   Um, and there's enough power coming off lightning to do the uh, DAC. I presume
[01:02:51.760 --> 01:02:53.200]   Yeah
[01:02:53.200 --> 01:02:55.040]   Yeah, I'm not gonna drain the phone. I hope
[01:02:55.040 --> 01:02:56.640]   Yeah
[01:02:56.640 --> 01:02:59.760]   Again, it's it's amazing the amount of I was absolutely
[01:02:59.760 --> 01:03:06.880]   Gops mac when I saw the first teardown of a lightning cable just to see here is how much here is there's the power of the computer
[01:03:06.880 --> 01:03:08.800]   not like the little not the you know
[01:03:08.800 --> 01:03:15.120]   A couple of diodes like here is the computer that's inside the end of this little cable that doesn't look that much bigger
[01:03:15.120 --> 01:03:18.560]   Uh, and here's how and here's how much it has to do
[01:03:18.560 --> 01:03:24.960]   In order to make it do everything that apple wants it to do so I I've no I've no doubt that uh, did you smart team
[01:03:25.920 --> 01:03:28.960]   Yep, sorry. Alex. I stepped on you. What was what did you want to say?
[01:03:28.960 --> 01:03:36.800]   I don't remember. Oh, I'm sorry. I hate it when that happens sure it wasn't important. Yeah, if I forgot it you could get $10
[01:03:36.800 --> 01:03:41.840]   30 pin connector to mini jack so I can't imagine it's gonna be
[01:03:41.840 --> 01:03:44.720]   For that analog audio on it again
[01:03:44.720 --> 01:03:47.840]   I I I think that the uh, I remember what I was gonna say
[01:03:47.840 --> 01:03:50.400]   I think that the the issue with being a non nfi
[01:03:50.400 --> 01:03:53.280]   Mfi where you're gonna hack it and make it work is that
[01:03:53.600 --> 01:03:59.040]   Updates might break your your headphones. You know like that's the you know, I we definitely with non mfi cables
[01:03:59.040 --> 01:04:00.800]   I've definitely had issues where
[01:04:00.800 --> 01:04:06.560]   Uh, some of my ipads won't see it, you know won't charge with it won't you know, there's all these things that happen
[01:04:06.560 --> 01:04:11.360]   So yeah, you could probably get a cheap one and it'll you'll have the same problem that we have with non mfi right now
[01:04:11.360 --> 01:04:13.440]   Yeah
[01:04:13.440 --> 01:04:15.280]   You can switch it
[01:04:15.280 --> 01:04:21.520]   It'll be pretty disruptive. I was just thinking that one of one of my favorite accessories is just a simple button that plugs into
[01:04:22.000 --> 01:04:24.960]   Uh plugs into the headphone jacked as a remote shutter trigger
[01:04:24.960 --> 01:04:28.800]   Uh, and i'm sure that they'll net well wire up the headphones so that the volume buttons
[01:04:28.800 --> 01:04:34.880]   Maybe the selfie sticks are gonna break all over the world blue tooth blue tooth. They'll be safely. Oh, so there's enough
[01:04:34.880 --> 01:04:36.960]   So there's an upside
[01:04:36.960 --> 01:04:39.920]   I just bought a selfie stick with a mini jack
[01:04:39.920 --> 01:04:42.880]   Damn it
[01:04:42.880 --> 01:04:45.040]   There's eight dollars. I'm not getting back
[01:04:45.040 --> 01:04:48.880]   All right, we're gonna take a break 9.3
[01:04:49.280 --> 01:04:53.840]   Is out the first beta and rene richy is going to tell us all about it, right?
[01:04:53.840 --> 01:04:55.920]   Absolutely. All right
[01:04:55.920 --> 01:05:00.240]   By the way, I like serenity callwell's theory completely unsupported by a fact
[01:05:00.240 --> 01:05:04.480]   That what apple will do is the next ipod will be built into the headphones
[01:05:04.480 --> 01:05:06.480]   They'll be beats headphones with an ipod in it
[01:05:06.480 --> 01:05:11.440]   Yeah, well she was thinking that wearable doesn't have to mean watch it doesn't have to mean risk that apple once they have this technology
[01:05:11.440 --> 01:05:15.280]   And now they have a headphones company. They could start putting it in any other place that makes sense
[01:05:15.440 --> 01:05:20.400]   It seems like an obvious why if you want to get if you want to go down market like we have this fancy apple watch
[01:05:20.400 --> 01:05:24.720]   But if you want to compete if you want the ipod shuffle version of the apple watch then that makes a lot of sense
[01:05:24.720 --> 01:05:28.960]   Ladies and gentlemen, I want to introduce you to my favorite shaving
[01:05:28.960 --> 01:05:34.400]   company harries effect. Let me put on little harries after shave right now harries
[01:05:34.400 --> 01:05:38.880]   Is a brilliant idea a company that has reinvented
[01:05:38.880 --> 01:05:41.920]   shaving by
[01:05:41.920 --> 01:05:44.080]   by making it
[01:05:44.080 --> 01:05:46.080]   affordable and easy
[01:05:46.080 --> 01:05:52.720]   They they bought the factory. I haven't used this yet. So it's not prime. Let me prime the pump and get my aftershave. Oh, yeah
[01:05:52.720 --> 01:05:56.000]   Mmm
[01:05:56.000 --> 01:06:01.760]   What else do we have the daily face wash? But really harries really it all starts with the blades
[01:06:01.760 --> 01:06:05.040]   They bought the factory in germany that makes the best blades in the world
[01:06:05.040 --> 01:06:10.720]   And now they sell them direct to you, which means you save a lot of money. You're going to start with the harries kit
[01:06:11.360 --> 01:06:16.720]   Uh, this is the Truman kit. I believe that's uh, $15. Although we're going to get you five bucks off
[01:06:16.720 --> 01:06:19.840]   So you can get started with harries for little as as 10 bucks
[01:06:19.840 --> 01:06:26.400]   Uh, they come in a variety of colors actually Truman is a really a great idea and uh, make your travel razor
[01:06:26.400 --> 01:06:32.160]   Maybe a Truman and then the true the kit for $10 not just the handle, but three blades
