;FFMETADATA1
title=You Can't Touch This
artist=Leo Laporte, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-05-10
track=817
language=English
genre=Podcast
comment=The history of the iPod, Apple & FIDO, Apple's AR plans
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.340]   It's time for Mac Break Weekly. Alex has the day off Andy and Renee are here as we started the show
[00:48:58.080 --> 00:49:03.680]   System they have a very bad reauthentication system the difference well first they shouldn't have both but they do
[00:49:03.680 --> 00:49:06.080]   They're both separate things and they have separate feature sets
[00:49:06.080 --> 00:49:10.400]   So for example if I go to log into my gmail account and it doesn't recognize me
[00:49:10.400 --> 00:49:12.080]   It'll say do you want to use authenticator?
[00:49:12.080 --> 00:49:14.240]   Do you want to have an SMS if you have that set up?
[00:49:14.240 --> 00:49:18.320]   Do you want to have another device like you want to get your pixel phone or your iPhone?
[00:49:18.320 --> 00:49:24.400]   And that's all great, but for the re-auth it'll just say you need to find iPhone 5 and I have no idea what iPhone 5 is
[00:49:24.400 --> 00:49:26.720]   I've known where it is might be a different part of the world might be in a drawer
[00:49:26.800 --> 00:49:29.440]   I might have sent it back to apple. Do you want to use a different method?
[00:49:29.440 --> 00:49:31.440]   Sorry, you can't well
[00:49:31.440 --> 00:49:36.400]   Like so it's like so it's like so it's obvious and maybe that's maybe I hope Google will go to this
[00:49:36.400 --> 00:49:44.720]   According to the apple press release one of the things phyto does is allow users to automatically access their credentials
[00:49:44.720 --> 00:49:51.680]   Sometimes you use the word passkey on many devices even new ones without having to reenroll every account
[00:49:52.080 --> 00:49:57.600]   So you can I guess apple or google or microsoft would act as a trusted third party
[00:49:57.600 --> 00:50:00.320]   You could say hey microsoft new device
[00:50:00.320 --> 00:50:03.840]   Please authenticate this one and then the authentication goes forwards
[00:50:03.840 --> 00:50:07.840]   It also enables enables users to use phyto authentication on their mobile device
[00:50:07.840 --> 00:50:11.520]   To sign into an app or website on a nearby device
[00:50:11.520 --> 00:50:15.040]   Regardless of independent of it os or browser
[00:50:15.040 --> 00:50:19.680]   So I have my iPhone this is now becoming and I think this is this makes a lot of sense
[00:50:19.680 --> 00:50:25.520]   This is my authenticator and I have my iPhone and I put it near my pc my windows pc
[00:50:25.520 --> 00:50:31.680]   And the pc says I see it's uleo because you've authenticated using face id that's a new that is a
[00:50:31.680 --> 00:50:37.440]   I would love to see that you for like a bank the banks are doing that are either challenging you does that then to get on the device app
[00:50:37.440 --> 00:50:43.120]   Yeah, it does it does also illustrate another possible thing that we need to watch out for that
[00:50:43.120 --> 00:50:45.680]   if government services do
[00:50:46.240 --> 00:50:51.120]   Our thing that is on the surface quite responsible and saying that hey look we're not going to allow people to access your accounts
[00:50:51.120 --> 00:50:55.840]   Access your information unless we're going to demand this higher level of authentication this higher level of security
[00:50:55.840 --> 00:50:59.360]   Which is good for most people but now you can't have a system in which
[00:50:59.360 --> 00:51:04.160]   Uh like the state government for for government benefits for your snap benefits
[00:51:04.160 --> 00:51:10.000]   They can't say oh well we won't authenticate you unless you have a smartphone with these capabilities because a lot of the people
[00:51:10.000 --> 00:51:13.280]   That's right services don't have these things. Yeah, there has to be a fallback
[00:51:13.840 --> 00:51:16.320]   It has to accommodate people who are not going to have the technology
[00:51:16.320 --> 00:51:20.560]   I also be concerned that it's somewhat less secure because it's single factor. It's just
[00:51:20.560 --> 00:51:22.560]   Biometrics
[00:51:22.560 --> 00:51:26.800]   So I I would hope there would be a way to say no and I want a second factor
[00:51:26.800 --> 00:51:31.360]   In addition to the biometric like one and a half because you you have to have the object as well
[00:51:31.360 --> 00:51:34.640]   So you have to be like the thing that you are your fingerprint and object that will
[00:51:34.640 --> 00:51:38.160]   So it is still two factors that you're right. Yeah, you're right. Yeah, you're right. One and a half
[00:51:38.160 --> 00:51:40.160]   I'm not gonna go all the way to do it. Yeah
[00:51:40.160 --> 00:51:43.120]   Yeah, well, I can understand that these companies would like to
[00:51:43.920 --> 00:51:45.920]   Make it easier
[00:51:45.920 --> 00:51:52.560]   They understand the current system is horribly insecure because most users reuse passwords. They don't have good passwords
[00:51:52.560 --> 00:51:57.840]   I mean, it's already so bad always if the anything better is going to be more secure
[00:51:57.840 --> 00:52:04.240]   But it is it as secure as people like us who know what we're doing who use two factors use
[00:52:04.240 --> 00:52:10.560]   A eubiqui for instance and touch id and so can we make it as secure as we want it to be?
[00:52:10.640 --> 00:52:15.120]   Yes, it's better for most people. But is it another factor if he's gonna be dumbing it down
[00:52:15.120 --> 00:52:18.720]   Yeah, my my understanding of the standard is that it's it's agnostic
[00:52:18.720 --> 00:52:23.840]   So that whatever so that if I decide that no, no, I want to have the secure
[00:52:23.840 --> 00:52:28.400]   Key plugged into a USB C port plus this other form of authentication
[00:52:28.400 --> 00:52:31.680]   Because so long as that so long as that step has been achieved
[00:52:31.680 --> 00:52:32.960]   the
[00:52:32.960 --> 00:52:34.720]   Side of the other end doesn't care how it's been achieved
[00:52:34.720 --> 00:52:38.960]   So if I and if I do want to have a password like one two three four five six seven eight and no
[00:52:39.200 --> 00:52:42.080]   Authority is preventing from doing that I could also do that
[00:52:42.080 --> 00:52:48.400]   But as soon as as soon as people say oh look people who have a phone made in the past five six or seven years
[00:52:48.400 --> 00:52:50.720]   As soon as they say well just put touch your
[00:52:50.720 --> 00:52:54.960]   fingerprint authenticate on this device and now you're you're good for pretty much everywhere you go
[00:52:54.960 --> 00:52:57.280]   How do you solve this for people who don't have a phone?
[00:52:57.280 --> 00:53:00.480]   As you as you pointed out, Andy, this is problematic
[00:53:00.480 --> 00:53:05.440]   I think I think you have to I think you have to stick to like old-fashioned like really really strong passwords
[00:53:05.440 --> 00:53:08.480]   It's it's a I don't know what this what the solution would be
[00:53:08.480 --> 00:53:10.320]   a non
[00:53:10.320 --> 00:53:12.800]   This is this is a solution that if you have technology
[00:53:12.800 --> 00:53:16.960]   Your golden if you don't have technology you kind of have to stick with the old stuff
[00:53:16.960 --> 00:53:22.080]   But you have to make sure that there is always that other door just just like every other every time there is a
[00:53:22.080 --> 00:53:30.160]   Big initiative to saying hey from now on all your government benefits can be paid electronically into uh into uh into a bank account
[00:53:30.720 --> 00:53:34.720]   Early we're gonna have a portal website so that you don't have to go to eight different sites to manage
[00:53:34.720 --> 00:53:38.160]   This is one desktop for everything you always have to have that 800 number
[00:53:38.160 --> 00:53:43.200]   You always have to have that phone line for people who just have access to a telephone and are lucky to have that
[00:53:43.200 --> 00:53:49.040]   You have to account for people who don't have a fixed address that or don't even have access to banking
[00:53:49.040 --> 00:53:53.280]   That there it's because it's these one two three percent sometimes 10 percent
[00:53:53.280 --> 00:53:58.960]   Of the population that need the services the most and are going to be suffering the most if they get shut up
[00:53:59.440 --> 00:54:06.000]   I expect to hear something from google tomorrow. We're going to be covering google. I owe keynote 10 am pacific 1 pm eastern
[00:54:06.000 --> 00:54:08.800]   Jeff Jarvis jason howl and I will be
[00:54:08.800 --> 00:54:14.240]   Watching the keynote so I expect google is part of this alliance. I expect to hear them say something
[00:54:14.240 --> 00:54:20.000]   I'm sure apple will as they did by the way last year ww dc. I'm sure they will go further into this
[00:54:20.000 --> 00:54:26.160]   Is amazing like every every week or so you see a twee go by with someone who just figured out that they could do automatic
[00:54:26.160 --> 00:54:28.000]   SMS
[00:54:28.000 --> 00:54:32.720]   Code filling and there's like give a raise to ever invented this and I look over at the guys account to invent it
[00:54:32.720 --> 00:54:36.400]   That is a nice feature. Isn't that a nice feature? I just love that. Yeah
[00:54:36.400 --> 00:54:44.240]   Um, and I hope that companies don't see this as a way to lock people into their devices or their phones or you know
[00:54:44.240 --> 00:54:50.880]   This really needs to be an industry-wide kind of initiative everybody about facebook so far, right?
[00:54:50.880 --> 00:54:54.480]   Yeah, yeah, right facebook and twitter. Where the hell are you?
[00:54:56.080 --> 00:54:59.120]   Make money every time so there's lots of good problems right now. Yeah, you'll have
[00:54:59.120 --> 00:55:04.800]   Musk a little the market is the market is fixing the market is fixing that right now
[00:55:04.800 --> 00:55:11.360]   Yeah, why is it with Tesla stock or twitter stock the stock is so far down. I don't know if i'll have enough money to buy twitter anymore
[00:55:11.360 --> 00:55:14.720]   Oh, yeah, yeah
[00:55:14.720 --> 00:55:16.720]   Hey, yeah, yeah, yeah, yeah
[00:55:16.720 --> 00:55:18.880]   We almost had a must free straighten
[00:55:18.880 --> 00:55:23.440]   The 2020s create and solve their own problems. It's yes. Yeah
[00:55:24.400 --> 00:55:26.400]   Yeah all in one massive stroke
[00:55:26.400 --> 00:55:28.000]   uh
[00:55:28.000 --> 00:55:31.280]   Do you think wwdc will be the uh?
[00:55:31.280 --> 00:55:34.240]   unveil of apples ar
[00:55:34.240 --> 00:55:40.080]   You know, I don't I would love it too, but I I think it's too early. Yeah. Yeah, I think we'll see the mac pro
[00:55:40.080 --> 00:55:45.200]   I just don't think we'll see the I think it's I think that's the only thing that I'd be building to bet for sure is that this
[00:55:45.200 --> 00:55:51.040]   Year there will be outside parties who have been seated with hardware and dev kits so that they can a
[00:55:52.400 --> 00:55:54.400]   dog food test their own
[00:55:54.400 --> 00:55:58.320]   Their own system outside the outside of the the company but also so that
[00:55:58.320 --> 00:56:04.320]   At the time when they first show this this thing they can't just show and here is a box
[00:56:04.320 --> 00:56:07.360]   And now here is a clown sitting on top of the but they have to show
[00:56:07.360 --> 00:56:13.440]   Something real something that is even gonna want developers to invest two or three thousand dollars in advanced hardware
[00:56:13.440 --> 00:56:17.840]   So that they can hopefully chase after the money that comes a year after the developer hardware comes out
[00:56:18.000 --> 00:56:23.920]   Art so that's the only thing that's the only thing I believe for sure article in protocol yanko records writing apple is a massive
[00:56:23.920 --> 00:56:31.360]   Force and ar it's also been holding the technology back. That's not what yanko's saying. That's what some are saying in ar
[00:56:31.360 --> 00:56:39.440]   Uh including immersive computing suspect a specialist christopher lepcrowski who says apple's been a drag on innovation and web ar
[00:56:39.440 --> 00:56:41.360]   primarily because
[00:56:41.360 --> 00:56:44.080]   They haven't put in the i've they haven't put it in the iphone
[00:56:44.080 --> 00:56:46.800]   um web based ar
[00:56:47.040 --> 00:56:49.040]   Support is still lacking
[00:56:49.040 --> 00:56:52.880]   Um yanko says where we need alex the company. I know
[00:56:52.880 --> 00:56:57.920]   Yeah, but he also is so bullish on it that sometimes it's like well, okay, okay
[00:56:57.920 --> 00:57:01.360]   A thousand engineers working on ar glasses at apple
[00:57:01.360 --> 00:57:06.320]   Um plans to release something according to uh everyone included mark
[00:57:06.320 --> 00:57:09.520]   A huge office in boulder colorado now this year or bolder interesting
[00:57:09.520 --> 00:57:15.920]   Uh they have that framework. They have usdz alex is always singing its praises his favorite yep
[00:57:16.800 --> 00:57:18.960]   um
[00:57:18.960 --> 00:57:23.360]   But it's interesting like if they if they were going to release the headset like actually release it in september
[00:57:23.360 --> 00:57:26.080]   I would expect developer announcement in june
[00:57:26.080 --> 00:57:32.640]   But if they're if they're if it's not going to come out until spring 2023 that I don't think we'll get the developer announcement until
[00:57:32.640 --> 00:57:36.000]   Like september or october the way they did with the apple watch
[00:57:36.000 --> 00:57:38.240]   lupress
[00:57:38.240 --> 00:57:40.240]   koski's complaint is
[00:57:40.240 --> 00:57:43.920]   That you that ar works on the iphone, but you have to download an app for it
[00:57:44.000 --> 00:57:49.520]   You have to get the ikea app or the something app he says every click you make consumers go through you lose 50
[00:57:49.520 --> 00:57:52.720]   Percent of your audience. He wants it. He wants web xr
[00:57:52.720 --> 00:57:58.080]   He wants that standard which is was developed by google meta sam san mozilla and magic leap
[00:57:58.080 --> 00:58:01.120]   But is yet to be supported on iphone
[00:58:01.120 --> 00:58:06.640]   Yeah, they supported they just don't support the same framework that everyone else is using which makes it effective
[00:58:06.640 --> 00:58:10.800]   Like you can go to apple.com press a button the utz file opens up and you can yeah, yeah
[00:58:10.800 --> 00:58:13.840]   That's right. They do that all the time with their invitations, right? Yeah
[00:58:13.840 --> 00:58:18.000]   And google is google is doing as you say
[00:58:18.000 --> 00:58:24.400]   Ar through the web or at least excuse me three d through the web where now so many search results will result in hey
[00:58:24.400 --> 00:58:29.280]   Do you want to see if you do for your book report on the on the on the mountain lion?
[00:58:29.280 --> 00:58:32.720]   Hey, do you want to see is not only do you want to hear what a lot mountain lion sounds like?
[00:58:32.720 --> 00:58:36.960]   We'd like a mountain lion on your desktop that you could then play with and and turn around 360 degrees
[00:58:37.360 --> 00:58:41.440]   I think I think it is a sign that even apple and google are kind of struggling to sell
[00:58:41.440 --> 00:58:48.000]   For the moment the public on what ar is going to do for them until until they give them the whole burrito
[00:58:48.000 --> 00:58:52.800]   Where hey, you're here's something that you would want to wear on your face for hours at a time
[00:58:52.800 --> 00:58:59.040]   That will not block you out from reality will simply enhance reality the same way that airbuds will enhance your reality by
[00:58:59.040 --> 00:59:06.000]   Replacing all the street fights that you're hearing outside your door with uh with great music and audiobooks until they find that moment
[00:59:06.240 --> 00:59:10.000]   It's going to be hard to even sell like these 500 dollar headsets that uh oculus is having
[00:59:10.000 --> 00:59:14.320]   There's also there's also this thing where apple is philosophically right but pragmatically wrong
[00:59:14.320 --> 00:59:19.760]   And what I mean by that is there was this big discussion at apple when the iphone was coming out what what it should run like app kit
[00:59:19.760 --> 00:59:25.440]   Or web kit or something new and don melton who ran web kit at the times that it shouldn't be web kit
[00:59:25.440 --> 00:59:27.760]   Because it's like as much as i'm the web guy
[00:59:27.760 --> 00:59:31.760]   Native performance is always going to be better web performance is always going to improve
[00:59:31.760 --> 00:59:35.920]   But you'll always be able to do more with native and you have a native platform
[00:59:36.240 --> 00:59:38.400]   And that has continued over the years like the palm
[00:59:38.400 --> 00:59:41.440]   You know it took 20 seconds to open the palm calendar app back in the day
[00:59:41.440 --> 00:59:44.800]   And it just wasn't acceptable to apple at the time and even now
[00:59:44.800 --> 00:59:50.800]   Web apps can do phenomenal things but native is still faster and apple has two massive native platforms
[00:59:50.800 --> 00:59:56.000]   So from their point of view just running all this stuff natively, especially with a headset about to come out
[00:59:56.000 --> 00:59:57.520]   Makes so much sense
[00:59:57.520 --> 01:00:02.880]   But so few other companies have native platforms that for them the web is a pragmatic solution
[01:00:03.200 --> 01:00:08.560]   It really is code once run everywhere. It's the java. It's the air. It's the it's the electron app
[01:00:08.560 --> 01:00:12.560]   And apple just they can't get over that and the web kit team is doing way better
[01:00:12.560 --> 01:00:17.760]   They've they've announced all its experimental stuff. They're going to start supporting way more technologies and in those streams
[01:00:17.760 --> 01:00:19.680]   And i'm sure they're going to add this to the list
[01:00:19.680 --> 01:00:21.760]   I'm not sure but you know, hopefully they'll add this to the list
[01:00:21.760 --> 01:00:25.600]   But it is that divide between we have this hugely successful native platform
[01:00:25.600 --> 01:00:30.000]   Why are you all screwing around with the web and they're like because we don't we don't have your platform, sir
[01:00:30.240 --> 01:00:36.240]   ma'am, right this will be something to watch deb at wwdc apparently there is some web xr code and web kit
[01:00:36.240 --> 01:00:42.640]   um apple apparent, you know is a member of the you know w3c consortium the immersive web group
[01:00:42.640 --> 01:00:46.560]   uh, so they you know they participate but
[01:00:46.560 --> 01:00:49.280]   according to yankos article
[01:00:49.280 --> 01:00:50.720]   um
[01:00:50.720 --> 01:00:55.760]   apple promoted this new html element to display 3d content and browsers they pushed it
[01:00:55.920 --> 01:01:01.360]   But it's just a narrow part of the spec and people are saying well, why not just implement the whole spec?
[01:01:01.360 --> 01:01:03.040]   Why is apple
[01:01:03.040 --> 01:01:06.160]   Locking it out of the iphone so this would be something to watch
[01:01:06.160 --> 01:01:11.360]   Next month, uh, what apple says about sometimes it's security like they were slow with web gl
[01:01:11.360 --> 01:01:15.520]   But their implementation was the most secure of all the implementations and everybody else caught up
[01:01:15.520 --> 01:01:18.480]   Like they just weren't first but they were best and then everyone else became just as good
[01:01:18.480 --> 01:01:22.400]   Uh, the article concludes whether by choice or under pressure if apple does
[01:01:22.960 --> 01:01:24.960]   Change its heart on supporting web xr
[01:01:24.960 --> 01:01:32.560]   Industry insiders predict a massive shift for the entire industry with a new wave of innovation even before consumer grade
[01:01:32.560 --> 01:01:37.200]   AR glasses or market ready and maybe that's why apple's dragging its feet
[01:01:37.200 --> 01:01:45.120]   Maybe it it doesn't want to undermine its own statement. Yeah, it would be a new dawn for ar you'd see a lot of investment going in this area
[01:01:45.120 --> 01:01:47.600]   uh, so
[01:01:47.600 --> 01:01:49.600]   watch yeah, I
[01:01:50.400 --> 01:01:53.440]   It's either apple says no, we're gonna do something proprietary
[01:01:53.440 --> 01:01:55.600]   Bad
[01:01:55.600 --> 01:02:01.360]   But you know, that's kind of apple's position with progressive web apps as well. They just really don't want those on the apple
[01:02:01.360 --> 01:02:05.360]   Uh platform. They don't want them in web kit or they're holding on
[01:02:05.360 --> 01:02:08.720]   Until they have something really secure. Okay
[01:02:08.720 --> 01:02:12.320]   And just right for maybe a some hardware
[01:02:12.320 --> 01:02:18.720]   But uh, this would be more self-serving like they might wait until they've announced and because native is the only option
[01:02:18.800 --> 01:02:24.240]   Everything will look so silky smooth and fantastic. Nobody will be able to load up a web page to show them a web page
[01:02:24.240 --> 01:02:28.720]   Oh sure you can have it now. Yeah, you can have it now. Yeah, and then and then the next year
[01:02:28.720 --> 01:02:32.640]   They'll announce the web stuff when everyone's already gaga over how well the heck, you know
[01:02:32.640 --> 01:02:37.600]   That it's you know, it's a I mean that was the the home pod the original home pod didn't have bluetooth
[01:02:37.600 --> 01:02:42.320]   And my understanding is because they thought that a bunch of us lazy reviewers wouldn't even try airplay
[01:02:42.320 --> 01:02:47.680]   We would just load up bluetooth and it would sound exactly the same as everybody else's speakers and would not justify the price tag
[01:02:47.920 --> 01:02:52.320]   And so he left it off and forced us to use airplane and say oh, it sounds really good. I kind of understand that actually
[01:02:52.320 --> 01:02:54.320]   I try to use airplane whenever possible
[01:02:54.320 --> 01:02:57.760]   It does sound better right because it's got more bandwidth and bluetooth
[01:02:57.760 --> 01:03:00.720]   All right, let's take a little break when we come back
[01:03:00.720 --> 01:03:04.640]   Will apple employees come back to work
[01:03:04.640 --> 01:03:13.280]   There is a a bit of a um revolt going on before we do that though. I want to talk about
[01:03:13.280 --> 01:03:16.320]   uh earbuds
[01:03:16.560 --> 01:03:21.840]   Everybody says when you get earbuds very important if you want good bass response to get a good fit
[01:03:21.840 --> 01:03:27.200]   But they give you five tips and you're trying the tips and you're putting them in and then they fall out when you shake your head
[01:03:27.200 --> 01:03:29.520]   And you don't know do I have the best seal
[01:03:29.520 --> 01:03:33.360]   I was so excited when ultimate ears, which makes the best
[01:03:33.360 --> 01:03:40.240]   Inear headphones in ear monitors used by musicians all over the world announced ultimate ear fits and that's what i've got in my hand
[01:03:40.240 --> 01:03:42.560]   right now
[01:03:42.560 --> 01:03:44.000]   These are
[01:03:44.000 --> 01:03:46.000]   true wireless
[01:03:46.240 --> 01:03:51.040]   Headphones that are custom fitted to your ear
[01:03:51.040 --> 01:03:56.480]   But you don't have to go to an audiologist audiologist to do this when I when I got my in ear monitors
[01:03:56.480 --> 01:04:02.000]   I went to an audiologist. He fills up your ear with silicone with a little string on it. You sit you have to have
[01:04:02.000 --> 01:04:07.760]   Popsicle sticks in your mouth keep your mouth open while it sets five minutes later
[01:04:07.760 --> 01:04:10.320]   He pulls it out with a giant suction sound
[01:04:11.760 --> 01:04:17.600]   And now they have a mold which you then send to to a company to make in ear monitors with
[01:04:17.600 --> 01:04:22.320]   But you know that's what you choose bono does. That's what all the musicians do
[01:04:22.320 --> 01:04:26.400]   They have custom fit and I tell you with custom fit. Not only are they
[01:04:26.400 --> 01:04:32.400]   Comfort more comfortable. No one else can wear them and the sound is great because they seal your ear
[01:04:32.400 --> 01:04:38.480]   I thought that was impossible without an audiologist's involvement. This is an amazing technology
[01:04:39.120 --> 01:04:44.960]   That you get a guaranteed fit in 60 seconds here. I've got the ultimate ears when you first get the box
[01:04:44.960 --> 01:04:48.960]   They're sealed away from oxygen. You put the ue fits
[01:04:48.960 --> 01:04:51.840]   app on your phone unseal them
[01:04:51.840 --> 01:04:56.240]   So that you know air can hit them you're going to put them in your ear
[01:04:56.240 --> 01:05:00.960]   And they use this groundbreaking light form technology to mold
[01:05:00.960 --> 01:05:03.680]   So the unique contours of your ear
[01:05:03.680 --> 01:05:07.920]   And it does it in about a minute watch i'm going to do it. So don't
[01:05:08.400 --> 01:05:10.400]   Now it's i'm going to put them in my ear
[01:05:10.400 --> 01:05:15.520]   It turns the light turns blue it warms up you can feel it warming up
[01:05:15.520 --> 01:05:19.760]   And by the way, I from long experience did keep my mouth half open
[01:05:19.760 --> 01:05:22.400]   Because apparently that changes the fit
[01:05:22.400 --> 01:05:24.560]   Now
[01:05:24.560 --> 01:05:26.720]   Yeah, once you got them it fits
[01:05:26.720 --> 01:05:31.840]   So perfectly they sound so great and they are so comfortable. It's all I wear now
[01:05:31.840 --> 01:05:37.760]   Is my ue fits with eight hours of continuous playback on a single charge 20 hours
[01:05:38.160 --> 01:05:40.480]   With a charging case a charging case a beautiful
[01:05:40.480 --> 01:05:45.760]   This is built on industry leading expertise after years working with pro musicians and hi-fi
[01:05:45.760 --> 01:05:48.160]   enthusiast 25 years
[01:05:48.160 --> 01:05:50.400]   Engineer to provide a full
[01:05:50.400 --> 01:05:52.160]   warm sound
[01:05:52.160 --> 01:05:54.000]   with a tight punchy low end
[01:05:54.000 --> 01:06:00.080]   It's exactly how I want it to sound but you can also use the app to set custom eq presets
[01:06:00.080 --> 01:06:04.240]   in fact, uh, you know for my older ears. I actually
[01:06:05.280 --> 01:06:09.040]   Modeled it a little bit better to fit my hearing they let you do that too
[01:06:09.040 --> 01:06:14.320]   You could play and pause music you can answer calls with yes, it's got a microphone with built-in controls
[01:06:14.320 --> 01:06:19.600]   Voice assistant volume adjustment and more works with iphones great works with any phone
[01:06:19.600 --> 01:06:21.680]   Any bluetooth
[01:06:21.680 --> 01:06:25.280]   And by the way, if you try fits and you don't love them as much as I do don't worry
[01:06:25.280 --> 01:06:30.400]   Ue offers a 30-day money back guarantee ultimate ears
[01:06:30.400 --> 01:06:32.720]   Ue fits
[01:06:32.720 --> 01:06:36.240]   Plus you'll get free shipping free returns in a one-year warranty
[01:06:36.240 --> 01:06:40.080]   This is the kind of comfort you can leave in all
[01:06:40.080 --> 01:06:43.760]   Day and it sounds so good because it seals properly
[01:06:43.760 --> 01:06:46.800]   And yes, no one else can use my ue fits
[01:06:46.800 --> 01:06:56.240]   Use the promo code macbreak at ue.com/fits to get your pair of ue fits let him know you saw it here
[01:06:56.240 --> 01:07:00.160]   Mac break is the promo code ue.com
[01:07:00.800 --> 01:07:05.280]   Slash fits I think you'll be very pleasantly surprised by the price too
[01:07:05.280 --> 01:07:10.400]   Yeah, it's it's really really good ue.com/fits
[01:07:10.400 --> 01:07:15.840]   Uh the best sounding the best fitting the most comfortable
[01:07:15.840 --> 01:07:22.720]   Earbuds you've ever used ue.com/fits promo code is macbreak. Please use that
[01:07:22.720 --> 01:07:24.720]   Please use that
[01:07:24.720 --> 01:07:28.960]   I should I should try that the reason why i wear headphones is because my i find that my ear
[01:07:29.280 --> 01:07:33.280]   My earbuds stamina is like 42 and a half minutes after a while
[01:07:33.280 --> 01:07:36.240]   And so for after two for two anything's over two hours
[01:07:36.240 --> 01:07:38.240]   I'll be we're over the over the head earbuds
[01:07:38.240 --> 01:07:41.760]   So I you know I should I'm gonna check thank you very much. I and I will use that offer code
[01:07:41.760 --> 01:07:46.480]   Well, we could probably arrange for something for you Andy. Let me let me ask the boss
[01:07:46.480 --> 01:07:53.040]   Um, I can get you a sketch up here because I'd love for you to try these k woods in our at chat room says he saw the ad
[01:07:53.040 --> 01:07:55.920]   Uh a couple of weeks ago ordered him he says yep
[01:07:56.800 --> 01:07:59.360]   Got him in less than a week most comfortable headphones ever
[01:07:59.360 --> 01:08:03.360]   So nice really good berg get a pair for Andy will you
[01:08:03.360 --> 01:08:10.880]   Berg doesn't he has nothing so it's fine sure well, yeah, right? Okay. Yeah. Yeah, yes my how
[01:08:10.880 --> 01:08:20.880]   So, uh, we have we talked about this last week a lot of apples returned to work phase in has begun
[01:08:22.400 --> 01:08:29.360]   Uh, I think in a week or two you're gonna have to as an apple employee spend at least three days on the apple campus or an apple office
[01:08:29.360 --> 01:08:32.560]   Um up from two up from one up from none
[01:08:32.560 --> 01:08:40.080]   lots of people really, uh like the work from home thing and all I think a considerable number of
[01:08:40.080 --> 01:08:42.880]   um
[01:08:42.880 --> 01:08:46.720]   Apple employees have signed a petition somebody said as many as half
[01:08:46.720 --> 01:08:50.800]   Saying you you're not listening. We don't want to come back
[01:08:50.960 --> 01:08:54.080]   I know Steve thought it'd be great. We could all talk out to each other
[01:08:54.080 --> 01:08:59.200]   Except that by the way at apple you can't because no one's allowed to talk to anybody else about what they're working on
[01:08:59.200 --> 01:09:05.360]   Uh to be clear. These are the people who work with bits the people who've worked with atoms have been back for like a year and a half already
[01:09:05.360 --> 01:09:09.920]   The hardware folks. Yeah, this includes retail as well, right?
[01:09:09.920 --> 01:09:12.000]   But I think you couldn't really work for mom
[01:09:12.000 --> 01:09:13.520]   Open and close
[01:09:13.520 --> 01:09:16.160]   Apple was really good at actually opening and closing and staging things up
[01:09:16.160 --> 01:09:19.680]   But you had to have the retail so these are these are programmers essentially coders
[01:09:20.000 --> 01:09:24.720]   Designers that kind of thing marketing marketing PR services
[01:09:24.720 --> 01:09:31.120]   Uh already a high profile departure Ian good fellow who's apple's director of machine learning
[01:09:31.120 --> 01:09:34.560]   Sent in a note to his staff according to zoe shiffer
[01:09:34.560 --> 01:09:39.840]   Said quote I believe strongly that more flexibility would have been the best policy for my team
[01:09:39.840 --> 01:09:44.560]   Um, not exactly the same thing as saying i'm quitting because of it, but he's
[01:09:44.560 --> 01:09:48.240]   He's also been there exactly the right amount of time
[01:09:49.360 --> 01:09:53.200]   It wasn't the only thing on his list. I think it was the highest thing on his list. Yeah. Yeah, that's it
[01:09:53.200 --> 01:09:59.680]   That's a good point Leo like I wonder I wonder if he felt that he would if he would have felt that way as a regular like salaried employee
[01:09:59.680 --> 01:10:02.240]   that you know if I
[01:10:02.240 --> 01:10:03.680]   Who who doesn't have like gee?
[01:10:03.680 --> 01:10:04.080]   I
[01:10:04.080 --> 01:10:06.480]   This is this is around the time where I could start to think about hey
[01:10:06.480 --> 01:10:12.960]   I can take all the money that all the stock money that I was being given to be wooed away from google and now I can take it and go someplace else
[01:10:12.960 --> 01:10:16.080]   Yeah, exactly, but there's also but there's also
[01:10:16.960 --> 01:10:20.000]   I don't know if this is the situation at apple, but I've been hearing about
[01:10:20.000 --> 01:10:24.240]   companies that large companies in the bay area that have like
[01:10:24.240 --> 01:10:29.840]   Part of the tax breaks they got when they bought property where they built like in that area
[01:10:29.840 --> 01:10:34.080]   Was contingent upon them having a certain number of employees on that campus
[01:10:34.080 --> 01:10:41.680]   And that for those few companies that they will actually lose those tax benefits if they were to go to exactly the sort of work from work from home
[01:10:42.000 --> 01:10:46.880]   Split job that that employees really want so possibly part of this could be out of apple
[01:10:46.880 --> 01:10:51.440]   Tans where it would just cause them too much money to let most other people go from work from home
[01:10:51.440 --> 01:10:54.720]   That's interesting. I there it has always been the thesis
[01:10:54.720 --> 01:10:57.200]   the theory as to why
[01:10:57.200 --> 01:11:02.960]   Companies want their employees come back to work because they have leased and rented and bought huge amounts of
[01:11:02.960 --> 01:11:06.640]   office space and damn it we're gonna fill it
[01:11:06.640 --> 01:11:09.200]   You know our offices have been
[01:11:09.200 --> 01:11:15.680]   Mostly empty for two years. We invited people to come back a lot of people felt like they really didn't want to we weren't you know
[01:11:15.680 --> 01:11:22.160]   Adam and about it a lot of our employees can work from home, you know, obviously some people can't studio engineers can't
[01:11:22.160 --> 01:11:24.000]   um
