
[00:00:00.000 --> 00:00:05.160]   It's time for Mac Break Weekly. It looks like we have a date and we have a location
[01:02:29.400 --> 01:02:32.600]   Like it's just like apple working on rocker too. I mean it's like
[01:02:32.600 --> 01:02:36.680]   All of it is sort of like you get a few leaks and then you try to piece them together
[01:02:36.680 --> 01:02:38.680]   But the puzzle looks like a picasso
[01:02:38.680 --> 01:02:44.200]   Right instead of a portrait. Right. Um as far as I know there was always talk of apple shuttles because part of this was autonomy
[01:02:44.200 --> 01:02:45.640]   And that was say, you know
[01:02:45.640 --> 01:02:53.400]   Saving resources and it's a logical. I mean if us bloggers can think of apple putting it in the shuttles apple has thought about that before we even learned about it
[01:02:53.400 --> 01:02:57.000]   Um, but it's mostly a radical part tree like the party got right and I think
[01:02:57.000 --> 01:03:02.680]   Other people have reported it previously is that they were they were working on the whole thing and now they're focusing on the
[01:03:02.680 --> 01:03:08.360]   Core technologies and the one thing that's so cool about that is many of these core technologies are more widely applicable
[01:03:08.600 --> 01:03:12.360]   For example, if you're ingesting vast amounts of data and trying to figure out that's a tree
[01:03:12.360 --> 01:03:15.240]   That's a wall that's just rain you can go through that
[01:03:15.240 --> 01:03:19.560]   All of that computer vision and image awareness technology applies to the photos app
[01:03:19.560 --> 01:03:24.520]   And a lot of the other technology it uses for example identifying planes and spaces applies to the AR and stuff
[01:03:24.520 --> 01:03:27.880]   So a bunch of the technology coming out of this is still super useful
[01:03:27.880 --> 01:03:33.880]   It's just this is a long simmering project that is probably going to change forms multiple times before we get to whatever finish thing
[01:03:34.120 --> 01:03:37.480]   Apple releases, which is kind of what most of the or at least many of their projects
[01:03:37.480 --> 01:03:43.000]   They could have picked a better acronym for it though pale. That's not I mean they're like that's an out
[01:03:43.000 --> 01:03:46.280]   I mean they're they're going to apple park now. They're not going to turn it loops
[01:03:46.280 --> 01:03:51.000]   I don't know how old short for Palo Alto to infinite loop. All right. Well, they have to have apple park. So it's pale app
[01:03:51.000 --> 01:03:54.040]   Yeah, now it's park or something park pack
[01:03:54.040 --> 01:03:57.320]   Pap
[01:03:57.320 --> 01:04:00.600]   I mean it's super smart super good technology and I I um
[01:04:01.080 --> 01:04:04.760]   I don't know other words. I am disappointed that a lot of the original ambitions didn't come through because
[01:04:04.760 --> 01:04:10.360]   I think what they were working on could have been the next next for apple and apple will eventually need a next next like
[01:04:10.360 --> 01:04:14.520]   Eventually you get you you just run out of runway whenever your current platform is and you need a next platform
[01:04:14.520 --> 01:04:19.640]   No pun intended, but you need you need something new a whole new technology to carry you in the next decade
[01:04:19.640 --> 01:04:21.560]   And I think that might have spun out of titan
[01:04:21.560 --> 01:04:26.520]   But you know that there's eight or nine of apple's special projects division has a bunch of stuff going on
[01:04:26.520 --> 01:04:29.400]   It's not it's not a one trick pony to me the more interesting
[01:04:30.200 --> 01:04:35.560]   Parts of the article were down at the bottom where they they quoted five people familiar with apple self driving
[01:04:35.560 --> 01:04:38.440]   car projects saying that the issue really was
[01:04:38.440 --> 01:04:39.800]   uh
[01:04:39.800 --> 01:04:43.240]   Disagreement about whether apple should develop a fully autonomous vehicle
[01:04:43.240 --> 01:04:49.640]   Or a semi-autonomous car that could drive for stretches and allow the driver to retake control kind of like a maybe a tesla
[01:04:49.640 --> 01:04:54.680]   Steve zadeski who was originally in charge of titan wanted the semi-autonomous
[01:04:54.680 --> 01:04:57.160]   option, but johnny ive
[01:04:57.640 --> 01:04:59.960]   Thought that a fully driverless car
[01:04:59.960 --> 01:05:04.520]   Uh needed to be the future and the disagreement was one of the things
[01:05:04.520 --> 01:05:07.160]   um
[01:05:07.160 --> 01:05:12.520]   One of the things is really complicated is really thinking about whether you see car ownership in the future
[01:05:12.520 --> 01:05:18.360]   You know like so if you want semi-autonomous, that's really voting for people are going to own cars and they're going to drive them around
[01:05:18.360 --> 01:05:20.760]   And then they're going to do stuff a fully autonomous
[01:05:20.760 --> 01:05:24.920]   Really is a future that is um a car comes and picks me up. I don't need to own it
[01:05:24.920 --> 01:05:28.600]   I you know it's what johnny was going for johnny said why are we doing this half-assed?
[01:05:28.600 --> 01:05:33.800]   Semi-autonomous right we anybody could do that gm's going to do that ford's going to do that
[01:05:33.800 --> 01:05:39.080]   They're already doing a nissan's was a huge question too like a lot of these discussions exact same discussions
[01:05:39.080 --> 01:05:44.520]   We have are held inside apple another one is is it a hybrid or is it a full electric car because if you want to sell at scale
[01:05:44.520 --> 01:05:48.440]   Which is where a lot of the money is you you just can't make that many electric cars yet
[01:05:48.440 --> 01:05:52.120]   But if you want to do something that's really transformative then electric is absolutely the way to go
[01:05:52.360 --> 01:05:55.800]   And you stack enough of these big decisions and when you're apple releasing a
[01:05:55.800 --> 01:06:00.600]   Amazing your product there a lot of big decisions to make and you have a whole slew of different people's opinions
[01:06:00.600 --> 01:06:03.560]   Well, but and I think there's I still think getting back to the you know
[01:06:03.560 --> 01:06:06.840]   I think that the the question really is whether people are going to want to own their own cars
[01:06:06.840 --> 01:06:12.680]   I mean, I think people don't really want to uh, you know a lot of people not necessarily our age but younger
[01:06:12.680 --> 01:06:17.320]   May uh, they're not interested in getting their driver's licenses. They're not interested
[01:06:17.320 --> 01:06:22.200]   You know that a car is more of a hindrance for them to be able to they now have to get off their phone and
[01:06:22.200 --> 01:06:24.920]   And they have to you know, the phone that they spent $1300 on or whatever
[01:06:24.920 --> 01:06:31.160]   And um, you know, they're not that interested in cars and I think that I think what we're really looking at in a fully autonomous world is
[01:06:31.160 --> 01:06:36.200]   Cars being convenient and taking us where we need to go and not really thinking about us actually
[01:06:36.200 --> 01:06:42.840]   You know owning that car that that comes by especially if it gets cheap enough that you know, it doesn't it's cheaper to just have the car take us
[01:06:42.840 --> 01:06:44.040]   Where we need to go?
[01:06:44.040 --> 01:06:50.760]   Let's take a break. That's where we need to go right now, but we'll come back with more discussion Andy and ico don't hold that thought hold that thought my friend
[01:06:51.400 --> 01:06:56.440]   Renee richy also here for my more calm. I'm helping Andy hold he's holding the thought too
[01:06:56.440 --> 01:07:00.360]   And the Alex Lindsay. He's just holding his head
[01:07:00.360 --> 01:07:07.800]   Trying to keep thought in there. I got something for you a good night's sleep. It'll make you all feel so much better
[01:07:07.800 --> 01:07:11.880]   I have a great night's sleep and I think I can definitely thank my castor, you know
[01:07:11.880 --> 01:07:15.800]   It the the challenge with a great mattress is getting it soft enough
[01:07:16.600 --> 01:07:20.040]   So that your uh your knobby parts can sink into it
[01:07:20.040 --> 01:07:25.400]   But firm enough so that you've got support and your back feels good in the morning and all that and I don't know how they've done it
[01:07:25.400 --> 01:07:30.680]   But castor has with it. I guess obsessive engineering plus it's breathable. It's cool
[01:07:30.680 --> 01:07:33.000]   And you know I love about the castor
[01:07:33.000 --> 01:07:37.800]   It you get it out of the box comes in a surprisingly small box by the way, which is very convenient
[01:07:37.800 --> 01:07:41.720]   It doesn't smell you don't have to air it out. I I had mattresses in the past
[01:07:42.360 --> 01:07:46.520]   That for weeks they kind of smell like rubber not the castor. I don't know what they're doing
[01:07:46.520 --> 01:07:53.480]   Well, they do fortunately long lasting comfort and support and by the way completely risk-free because
[01:07:53.480 --> 01:07:56.280]   When you buy your new castor mattress, it's
[01:07:56.280 --> 01:08:02.600]   You've got a hundred-day return policy free delivery and painless returns within a hundred days
[01:08:02.600 --> 01:08:06.120]   So if you don't like it, you call them up. They'll come back. They'll take it
[01:08:06.120 --> 01:08:10.360]   And uh, you'll get every penny returned castor.com
[01:08:10.840 --> 01:08:13.960]   Slash Mac break by the way good news free shipping and returns
[01:08:13.960 --> 01:08:16.840]   To the us and canada and now the uk
[01:08:16.840 --> 01:08:22.200]   So we have many uk listeners who are always mad at me saying you talk about castor, but you never let us get one
[01:08:22.200 --> 01:08:24.360]   Well now you can
[01:08:24.360 --> 01:08:29.080]   By the way, if you go to the site castor.com slash mac break you can learn about their new wave mattress
[01:08:29.080 --> 01:08:34.200]   They're sending me one because I I don't understand the difference. I love my original castor
[01:08:34.200 --> 01:08:38.920]   This uh, they say has a natural geometry support system and in the new top layer
[01:08:39.000 --> 01:08:41.960]   So I'm gonna check it out and I'll let you I'll get back to you
[01:08:41.960 --> 01:08:47.080]   But you could check it out too a hundred day the same deal right hundred night return policy
[01:08:47.080 --> 01:08:53.880]   And free shipping and returns and it's easy. It comes in a box that you open up and whoosh the mattress is there and
[01:08:53.880 --> 01:08:56.120]   fantastic
[01:08:56.120 --> 01:08:57.480]   castor
[01:08:57.480 --> 01:09:02.600]   Dot com slash mac break get $50 off any mattress when you go to castor.com slash mac break
[01:09:02.600 --> 01:09:06.040]   And use our offer code mac break terms and conditions apply
[01:09:06.760 --> 01:09:09.000]   So now you got a little bit more of a choice. I don't know
[01:09:09.000 --> 01:09:11.960]   There's lots of good stuff at castor
[01:09:11.960 --> 01:09:16.200]   castor dot com slash mac break read all about it
[01:09:16.200 --> 01:09:20.360]   Back to mac break weekly and he held his thought
[01:09:20.360 --> 01:09:24.040]   Did it did it survive or did it melt in your hands?
[01:09:24.040 --> 01:09:27.320]   No, it just started looking a lot more silly the more I thought about it
[01:09:27.320 --> 01:09:33.160]   No, no, they uh, I'll I'll I'll I'm saying that there's a yeah, it's it's no
[01:09:34.040 --> 01:09:41.320]   It's it's uh, no surprise at apples sticking with autonomous vehicles because transportation is there's such a huge revolution coming even
[01:09:41.320 --> 01:09:43.800]   uh, when you talk to
[01:09:43.800 --> 01:09:49.800]   Government transportation people people who are designing cities architects
[01:09:49.800 --> 01:09:53.080]   They're all thinking about the idea of if we can get rid of more cars
[01:09:53.080 --> 01:09:59.240]   Then we can solve so many problems when I mean we're not talking about like hippie crunchy. Oh the planet the planet
[01:09:59.320 --> 01:10:02.120]   We're talking about how do we get more people into this area?
[01:10:02.120 --> 01:10:03.960]   How do we provide services to this area?
[01:10:03.960 --> 01:10:09.720]   And there's a lot of motivation to get that we get that done also as Alex said there's a shift in
[01:10:09.720 --> 01:10:16.840]   People's attitudes towards car ownership where it's no longer kind of the symbol of oh, I'm I'm free
[01:10:16.840 --> 01:10:21.960]   I'm an individual. I'm 16 years old and I have a car. That's kind of been detached
[01:10:21.960 --> 01:10:27.000]   Uh, so the but the big problem is that it's still there's still a huge regulatory
[01:10:27.000 --> 01:10:29.160]   uh
[01:10:29.160 --> 01:10:33.160]   Tarball that uh has to it has to be you know processed and unpacked
[01:10:33.160 --> 01:10:35.400]   Uh, it's going to really takes
[01:10:35.400 --> 01:10:39.880]   Government of vision to simply say here are federal guidelines for autonomous vehicles
[01:10:39.880 --> 01:10:46.120]   Here is here's how we need to now build streets and build street signs so that they can be processed by autonomous vehicles
[01:10:46.120 --> 01:10:51.560]   We also have to get the insurance agencies in line. Uh, there's a huge the thing the thing is
[01:10:51.560 --> 01:10:53.720]   I've had it said that
[01:10:53.720 --> 01:10:55.720]   95 of the problem of
[01:10:55.720 --> 01:10:57.160]   creating
[01:10:57.160 --> 01:11:00.760]   Safe and functional autonomous vehicles involves solving the
[01:11:00.760 --> 01:11:08.120]   Last two percent of the technical problems and then you've got a problem of regulatory problems that are about a thousand times more
[01:11:08.120 --> 01:11:15.240]   More relevant than that. So and so and apple really should be pursuing this because it's going to be like imagine
[01:11:15.240 --> 01:11:17.480]   150 200 years ago
[01:11:17.480 --> 01:11:23.320]   Imagine the late 1800s the idea of electricity that at some point every single town is going to be reconfigured
[01:11:24.200 --> 01:11:29.720]   Based on the idea that we're going to have electricity going places and imagine 50 or 60 or 70 years ago the federal highway system
[01:11:29.720 --> 01:11:36.200]   That imagined that now it's going to be practical for people to live 30 or 40 miles away from work because of cars and highways
[01:11:36.200 --> 01:11:41.320]   That's what these changes the transportation infrastructure are going to have and so apple is very very wise
[01:11:41.320 --> 01:11:43.800]   So try to get their their hand in that till
[01:11:43.800 --> 01:11:51.320]   apple is also uh getting data centers closer to where you want to be they've announced a big data center
[01:11:51.960 --> 01:11:53.960]   in walkie
[01:11:53.960 --> 01:11:57.000]   Right. W a u k e e iowa
[01:11:57.000 --> 01:12:02.840]   Uh, they're going to build a 1.375 billion dollar data center
[01:12:02.840 --> 01:12:08.200]   The city of walkie has agreed to tax property tax rebates of
[01:12:08.200 --> 01:12:11.240]   188.2 million dollars over 20 years
[01:12:11.240 --> 01:12:15.080]   They still will pay you know that doesn't mean they're not going to pay property tax
[01:12:15.080 --> 01:12:19.720]   So just pay 71 less and you know if you're a small town and walkie's a fairly small town
[01:12:20.200 --> 01:12:21.320]   Getting
[01:12:21.320 --> 01:12:24.600]   You know that 29 percent property tax is much
[01:12:24.600 --> 01:12:31.800]   Is very very valuable. So they're going to be very happy. I'm sure to get that they'll also get tax credits from uh,
[01:12:31.800 --> 01:12:34.440]   iowa for creating jobs
[01:12:34.440 --> 01:12:37.560]   19.65 million investment tax credit
[01:12:37.560 --> 01:12:40.280]   uh for creating 50 jobs although
[01:12:40.280 --> 01:12:47.240]   apple said the project will generate more than 550 jobs and construction and operations that didn't specify how they break down though
[01:12:47.240 --> 01:12:50.120]   I imagine far more construction jobs and op jobs. How many
[01:12:50.120 --> 01:12:55.960]   Ops do you need in a data center after all apple will also contribute and I love this
[01:12:55.960 --> 01:13:00.440]   100 million dollars towards a public improvement fund for the city of walkie
[01:13:00.440 --> 01:13:05.080]   Uh, including a youth sports complex. They're going to build that will be open
[01:13:05.080 --> 01:13:08.440]   To all so when it sounds like a win all around
[01:13:08.440 --> 01:13:11.960]   Tim cook uh in demoyne for this
[01:13:11.960 --> 01:13:16.840]   Announcement and that he there he is with the governor of uh, iowa
[01:13:17.720 --> 01:13:20.520]   So it was a great interview that went along with I don't know who was this one
[01:13:20.520 --> 01:13:26.120]   I think it was actually the next one, uh, the next city that he visited where he said that as governments around the world stopped you
[01:13:26.120 --> 01:13:31.880]   I forget the exact they're dysfunctional become dysfunctional. Yeah become dysfunctional. It's up to people
[01:13:31.880 --> 01:13:36.760]   It's up to uh companies like apple and other organizations sort of pick up the slack and continue
[01:13:36.760 --> 01:13:43.640]   Continue us down his favorite golden path. I thought that was very interesting cook was of course on the advisory council that uh,
[01:13:44.040 --> 01:13:48.040]   Trump disbanded right I thought he was so that so that that was that was really weird
[01:13:48.040 --> 01:13:52.360]   So there was he was never on that council. He said that he was too busy to join the council
[01:13:52.360 --> 01:13:56.360]   He did go to the meetings, but then someone else said that no one was actually ever on the council
[01:13:56.360 --> 01:14:00.440]   They all just went to meetings. So sounds like it was something very confusing. Yeah, what a surprise
[01:14:00.440 --> 01:14:05.880]   Uh, and anyway, it's gone now, uh after a number of very high profile resignations
[01:14:05.880 --> 01:14:09.880]   So cook who probably would have resigned if he could never was on it
[01:14:10.680 --> 01:14:16.280]   I said I never joined so I can't resign. Yeah. Yeah darn it. Why didn't they uh, yeah? All right, uh, yeah
[01:14:16.280 --> 01:14:19.720]   I thought that was a really interesting statement. Um, it kind of
[01:14:19.720 --> 01:14:25.880]   You know in a very gentile way because tim tim is is a gentleman if first and foremost
[01:14:25.880 --> 01:14:31.400]   implying that as as worldwide governments become more dysfunctional
[01:14:31.400 --> 01:14:36.120]   I think it he's probably talking about certain specific
[01:14:36.120 --> 01:14:38.760]   uh governments uh
[01:14:38.760 --> 01:14:45.720]   Apple and others need to take up the slack. I don't think anybody would argue especially tim cook that uh giant
[01:14:45.720 --> 01:14:49.080]   multinational corporations should start running the world
[01:14:49.080 --> 01:14:54.840]   But I think that I do I do think that there's going to be a point in time where we start making we start
[01:14:54.840 --> 01:14:57.480]   Thinking about the the role of the nation state
[01:14:57.480 --> 01:15:01.560]   Uh, you know because the nation states in general are continuing to lose
[01:15:01.560 --> 01:15:06.280]   Influence over over what's actually happening. This is his quote
[01:15:06.280 --> 01:15:10.680]   The reality is that government for a long period of time has for whatever set of reasons
[01:15:10.680 --> 01:15:15.720]   Become less functional and isn't working at the speed it once was now
[01:15:15.720 --> 01:15:19.560]   I'm not sure I'd agree with him. I think it was intentionally designed at least in the us not to run
[01:15:19.560 --> 01:15:25.320]   At high speed for very good reasons. Anyway, and so it does fall I think not just on business
[01:15:25.320 --> 01:15:28.360]   But on other areas of society to step up
[01:15:28.360 --> 01:15:31.800]   I'll tell you know
[01:15:31.800 --> 01:15:36.200]   I've been thinking about this a lot lately and I've been reading I think I mentioned it before a fabulous book
[01:15:37.160 --> 01:15:43.240]   Uh called sapiens and if you get a chance go to the bookstore. You have a bookstore in town
[01:15:43.240 --> 01:15:44.360]   Oh, I'm sorry
[01:15:44.360 --> 01:15:48.680]   Well, if you get a chance go to the library and just thumb to chapter six
[01:15:48.680 --> 01:15:53.320]   Because in it he talks about the fact that really all governments
[01:15:53.320 --> 01:15:58.520]   All corporations. Yeah, this is it by uh, you've all know our harari
[01:15:58.520 --> 01:16:04.360]   All governments all corporations are imaginary. They're a ca a social contract
[01:16:05.000 --> 01:16:09.640]   They're not they don't exist in reality. They exist because we agree that they exist
[01:16:09.640 --> 01:16:13.240]   and uh corporations much like governments, but they have different
[01:16:13.240 --> 01:16:21.240]   Reasons for existing in different ways of continuing on he says there's a certain amount of mythology that you have to create around a government
[01:16:21.240 --> 01:16:27.240]   For people to risk their lives to defend it for people to do things that aren't in their personal interest
[01:16:27.240 --> 01:16:29.800]   Uh to support it
[01:16:29.800 --> 01:16:33.000]   And I don't think a company necessarily has those same mythology
[01:16:33.080 --> 01:16:36.840]   So I don't know if a company could just step up and say hey, we'll take it from here
[01:16:36.840 --> 01:16:38.840]   It's not merely about governance
[01:16:38.840 --> 01:16:44.280]   It's about the consent of the governed about the willingness of the governed to buy into those mythologies
[01:16:44.280 --> 01:16:48.520]   We have a wonderful powerful mythology in the united states about you know
[01:16:48.520 --> 01:16:50.440]   liberty and
[01:16:50.440 --> 01:16:55.880]   Freedom and self rule and all of that and then I don't think a company can really replace
[01:16:55.880 --> 01:17:01.800]   So i'm the argument that they would give everyone an iphone and a basic income and then the technocrats would do whatever they want
[01:17:01.880 --> 01:17:05.640]   Well, we plug into the AR kit and forget about our that's wall right?
[01:17:05.640 --> 01:17:09.880]   Well, we're all floating around in our little chairs with our visors and our slurpies and well
[01:17:09.880 --> 01:17:13.720]   Suckaberg and at all do what they will with the planet. Yeah, I don't think it works that way
[01:17:13.720 --> 01:17:16.920]   Uh, I think you need these mythologies. Of course, we've seen you know, I mean
[01:17:16.920 --> 01:17:23.960]   Mythologies tumble and and once the governed don't all buy into the same mythology
[01:17:23.960 --> 01:17:28.280]   Um things can become a little hairy, but it doesn't mean we're all going to go to uh
[01:17:28.760 --> 01:17:31.720]   Apple and say please or mark Zuckerberg, please
[01:17:31.720 --> 01:17:35.800]   Fix this give us our social graph and let us know
[01:17:35.800 --> 01:17:41.080]   I don't think that the I don't think that anyone needs them or necessarily wants to change the infrastructure
[01:17:41.080 --> 01:17:46.280]   I think the the infrastructure underlying it could is eroding. I think that we can see that it's eroding
[01:17:46.280 --> 01:17:51.800]   I mean, we're we're we're thinking more and more about what corporations are doing in less and less about what governments are doing because
[01:17:51.800 --> 01:17:57.880]   The corporations are more agile. They're able to move much faster and the governments are you know tied up in all of this
[01:17:58.200 --> 01:18:01.160]   But they move much faster in the interests of the corporation
[01:18:01.160 --> 01:18:04.120]   Right, but I think that yeah, no, I agree
[01:18:04.120 --> 01:18:07.080]   But I think that the question I'm not saying that people are agreeing with it
[01:18:07.080 --> 01:18:12.360]   I'm not saying that we're gonna change it what I'm saying is is that I think what the reality is is that the corporations are paying a lot more
[01:18:12.360 --> 01:18:17.960]   They have a lot more influence. Um and you know, people aren't really can you convince an 18 year out to to
[01:18:17.960 --> 01:18:20.600]   give his give his life
[01:18:20.600 --> 01:18:23.080]   To get to keep the apple way of life
[01:18:23.080 --> 01:18:27.080]   I don't think you know six colors leo they've lead in six color
[01:18:27.960 --> 01:18:34.040]   Uh, it's interesting. We did also learn that tim cook has a very unusual breakfast to style two scrambled egg whites
[01:18:34.040 --> 01:18:40.120]   Crispy bacon. They didn't have his preferred turkey bacon sugar-free cereal with unsweetened almond milk
[01:18:40.120 --> 01:18:46.440]   Very califl- there's no if there was avocado have been very califlian. That's what he needs. That's what's missing
[01:18:46.440 --> 01:18:52.920]   Yeah, he was at the lbj presidential library said one of the things that hits you is that all of the major acts the legislation that happened
[01:18:52.920 --> 01:18:56.840]   Just during his presidency his eyes widened as he listed some and by the way
[01:18:56.840 --> 01:19:03.160]   Lbj only was president for six years. You have the civil rights act the voting act. You have medicare you have medicaid
[01:19:03.160 --> 01:19:08.120]   You have several national parks. You have head start you have housing discrimination or anti discrimination
[01:19:08.120 --> 01:19:13.480]   You have jury anti discrimination regardless of your politics. You look at it and say my gosh
[01:19:13.480 --> 01:19:18.840]   My gosh says my gosh
[01:19:21.160 --> 01:19:24.920]   Uh, he was vocal and criticizing trump after charlotte's ville
[01:19:24.920 --> 01:19:27.720]   Uh, but he has been kind of a little bit more careful
[01:19:27.720 --> 01:19:32.920]   Uh in his public statements as he tours the country. What is mr. Cook up to? I mean, isn't that what uh,
[01:19:32.920 --> 01:19:36.760]   Mark Zuckerberg's doing touring the country. They ask him that at the very end
[01:19:36.760 --> 01:19:40.760]   Is he oh, let's see what the quote is here. Do you want to be president?
[01:19:40.760 --> 01:19:45.160]   Uh, he says I have a full-time job. I appreciate the compliment
[01:19:45.160 --> 01:19:48.440]   He's added with a rye look if it is a compliment
[01:19:48.440 --> 01:19:50.440]   [Laughing]
[01:19:50.440 --> 01:19:57.560]   Well, I I think I refer
[01:19:57.560 --> 01:20:03.080]   I think it all comes down to the amount of power that a company like apple and google and facebook wield they are now
[01:20:03.080 --> 01:20:09.240]   They they provide so much of the social infrastructure at this point so much that we absolutely rely on that we
[01:20:09.240 --> 01:20:16.200]   I think that it's a good idea to keep ahead of the ball that way to make sure that the
[01:20:16.600 --> 01:20:21.240]   People that are create the message that the people who are running this company are aware of their importance
[01:20:21.240 --> 01:20:26.360]   They are aware that they're not just selling products and services that they if they were to magically go away
[01:20:26.360 --> 01:20:31.000]   If they were to be raptured tomorrow leaving behind a whole bunch of really expensive black
[01:20:31.000 --> 01:20:37.560]   Moktorl neck t-shirts lying on the ground empty that a lot of society would just simply collapse for lack of infrastructure
[01:20:37.560 --> 01:20:40.760]   So whether they like it or not they do have these roles to play
[01:20:40.920 --> 01:20:47.480]   Yeah, and so this is so there is going to be a political part of their job that that no longer is just limited to
[01:20:47.480 --> 01:20:52.680]   Making sure that they they get tax credits for building a certain plant certain places
[01:20:52.680 --> 01:20:58.200]   No one no one sits in Tim Cook's chair without understanding the kind of responsibility
[01:20:58.200 --> 01:21:02.520]   That apple has to the society to the larger world
[01:21:02.520 --> 01:21:04.760]   It's a very it's a very dangerous place
[01:21:04.760 --> 01:21:06.760]   I mean there are governments all over the world that are
[01:21:07.080 --> 01:21:13.720]   Trying to co-op companies like apple and google and facebook into being an extension of their local police force and into the
[01:21:13.720 --> 01:21:15.960]   Their local surveillance state
[01:21:15.960 --> 01:21:21.960]   And not not to the not even to the extent that that america does it but basically say that well if someone is using a phone inside our country
[01:21:21.960 --> 01:21:25.400]   There are citizens. We have the right to take a look at whatever information they're transacting
[01:21:25.400 --> 01:21:30.840]   And it's if these companies are going to have to be able to take a stand that no we don't stand for that
[01:21:30.840 --> 01:21:33.160]   We're not going to let you do that. We're going to be remain
[01:21:33.880 --> 01:21:38.920]   Above geopolitics to that extent where you know you just can't we we will not simply
[01:21:38.920 --> 01:21:46.440]   In the face of trying to sell billions of phones or billions of computers make sure that we're keeping billions of people underneath your heel
[01:21:46.440 --> 01:21:50.680]   Well, another thing to remember is that apple is i think one of the few
[01:21:50.680 --> 01:21:57.080]   Personal technology companies that is in the u.s. It's apple. It's del it's hp
[01:21:57.080 --> 01:22:00.920]   And then the rest are in asia
[01:22:01.240 --> 01:22:04.360]   Or korea on korea japan china taiwan
[01:22:04.360 --> 01:22:10.360]   So apple del hp they have a they have a maybe a heavier burden
[01:22:10.360 --> 01:22:16.280]   Because they're still in the u.s. Even although all their assembly is done out of apple is doing products
[01:22:16.280 --> 01:22:22.040]   But they're also doing the services that a google would do like they're providing email and messaging and and all the stuff that people get the intelligence
[01:22:22.040 --> 01:22:25.880]   Or at least the data they want to from whereas i think del is more transacting hardware
[01:22:26.600 --> 01:22:33.320]   Credit by the way to andrew russ sorkin and deal book and the new york times for that interview and the and quote good article apples
[01:22:33.320 --> 01:22:39.000]   Two breakfast description and breakfast. Thank you air andrew for paying i must call him erin sorkin and q andrew
[01:22:39.000 --> 01:22:42.440]   For paying attention is he in relation to andrew erin sorkin i wonder
[01:22:42.440 --> 01:22:45.080]   Oh, i think his pros would be a little different
[01:22:45.080 --> 01:22:47.960]   Breakfast all the way to the floor
[01:22:47.960 --> 01:22:51.240]   Much like himself
[01:22:51.240 --> 01:22:56.840]   It's a really it's i have to say though. It's a nicely done article and the quotes are great and uh
[01:22:56.840 --> 01:22:59.880]   It's it's quite well done
[01:22:59.880 --> 01:23:04.280]   Circuit is really good. This this circuit is really good. Yeah, it does a great job at deal book
[01:23:04.280 --> 01:23:06.920]   And i do think that that we're seeing more
[01:23:06.920 --> 01:23:11.320]   I think apple's definitely doing this i think a lot of these folks are seeing that that they have to
[01:23:11.320 --> 01:23:17.080]   Play to the public, you know, you know, that's not just them running their running their corporation or having little meetings with the president
[01:23:17.080 --> 01:23:21.240]   Or all those things that that the government's going to make a bunch of decisions and and that
[01:23:21.240 --> 01:23:28.280]   They learned that after sand with the san vernito case, right? Yeah. Yeah, and and i think that that um this ongoing
[01:23:28.280 --> 01:23:33.160]   You know, i think we're going to see more and more of this from all the technology companies of outreach of making a difference of doing
[01:23:33.160 --> 01:23:37.400]   All these things because that helps build that so that when they need to turn people to
[01:23:37.400 --> 01:23:41.240]   You know stop the government from doing xy and z or we're not going to do that
[01:23:41.240 --> 01:23:44.520]   You know, that's not something that you that you can turn on in a week
[01:23:44.760 --> 01:23:50.520]   You might need it in a week how you turn that on is over years of service and years of investment and years of
[01:23:50.520 --> 01:23:58.280]   Of you know working with communities you build those routes that can be used, you know when when needed to you know slow things down
[01:23:58.280 --> 01:24:03.720]   And they also just as part of this they enabled get once again they enabled
[01:24:03.720 --> 01:24:07.480]   Relief gifts through itunes for the hurricane
[01:24:07.480 --> 01:24:11.400]   An apple contributed to million i believe to the relief efforts as well. So he's trying to
[01:24:12.120 --> 01:24:16.760]   Make the most of that might for right right on policy and i think and i think that for for tim cook
[01:24:16.760 --> 01:24:21.560]   I think this is way more than just some calculation. I mean he just really you know, this is something that he believes
[01:24:21.560 --> 01:24:24.360]   Steve wouldn't do it now, but tim cook immediately
[01:24:24.360 --> 01:24:27.720]   Well, steve was very different steve would do it, but he would never let anybody talk about it
[01:24:27.720 --> 01:24:31.880]   And i think the quote was i don't believe in pimping our karma like he did he thought it was utterly displease
[01:24:31.880 --> 01:24:37.720]   So that's interesting because i always got the impression that they that steve did not believe in giving a charity you're saying he did
[01:24:37.720 --> 01:24:40.760]   But he would not talk about it. Yeah, he did not believe in talking about it
[01:24:40.760 --> 01:24:46.040]   Which tim tim believes that you can inspire others by your actions both i think reasonable points of view
[01:24:46.040 --> 01:24:48.920]   Um
[01:24:48.920 --> 01:24:53.000]   What what is the quote from the bible don't let the left hand know what the right hand is doing? Yeah
[01:24:53.000 --> 01:24:59.400]   Congratulations to apple their very first ai research paper
[01:24:59.400 --> 01:25:08.680]   Garned them a prestigious machine learning award best paper at the 2017 conference on computer vision and pattern recognition
[01:25:08.680 --> 01:25:10.680]   This is according to
[01:25:10.680 --> 01:25:14.680]   apple insider one of the most sought after prizes
[01:25:14.680 --> 01:25:22.280]   In the ai field the paper was titled learning from simulated and unsupervised images through adversarial training
[01:25:22.280 --> 01:25:25.320]   Mm-hmm
[01:25:25.320 --> 01:25:28.440]   Hot dog not hot dog not hot are you sure that's not a hot dog?
