
[00:00:00.000 --> 00:00:05.760]   It's time for Mac Break Weekly Andy and Akko's here and it's a rare sighting of Alex Lindsey
[00:44:33.480 --> 00:44:37.800]   Isn't that nice and clean? Yeah, my never done all blue tooth
[00:44:37.800 --> 00:44:42.120]   I don't know what that little screen a little base green a ginormous screen and then a macbook air
[00:44:42.120 --> 00:44:45.160]   He's all set and he's got his ipad there or something
[00:44:45.960 --> 00:44:48.680]   I don't know. That's a great setup. That's a nice site out. So here's a
[00:44:48.680 --> 00:44:51.560]   Magic on play bahoe
[00:44:51.560 --> 00:44:53.880]   From his hummafis
[00:44:53.880 --> 00:44:55.880]   It apparently it's brutally hot in minnesota
[00:44:55.880 --> 00:45:00.760]   So everybody's staying inside. There's Andy and not go on the screen there for matt puckso
[00:45:00.760 --> 00:45:03.160]   Exactly the way to use two screens
[00:45:03.160 --> 00:45:07.720]   Yes side-by-side and then look he's got the ipad if he needs to you know play angry birds
[00:45:07.720 --> 00:45:11.560]   This is this is a guy with a chimpanzee ceramic
[00:45:11.560 --> 00:45:15.960]   He's having a little Chinese food. That's just in clay like after effects
[00:45:15.960 --> 00:45:22.040]   That's an after effects interface. I have opened a can of worms here
[00:45:22.040 --> 00:45:24.040]   It just keeps on coming
[00:45:24.040 --> 00:45:27.880]   We like to hear from all of our listeners inside apple who watch live
[00:45:27.880 --> 00:45:28.680]   Yeah
[00:45:28.680 --> 00:45:31.480]   Let's see some pictures of an iPhone 5
[00:45:31.480 --> 00:45:32.680]   Hardware prototypes
[00:45:32.680 --> 00:45:36.920]   Financial acrobat has a scary dog, but he's got a nice
[00:45:36.920 --> 00:45:41.000]   Lot of people listening at work. Oh look this look that looks like a podcast is Mike Kerr
[00:45:41.480 --> 00:45:43.880]   Is his home studio? He's set up
[00:45:43.880 --> 00:45:47.240]   Joe kunya is making lunch and watching mac break weekly
[00:45:47.240 --> 00:45:49.720]   Hey looks like a
[00:45:49.720 --> 00:45:51.560]   By
[00:45:51.560 --> 00:45:53.480]   You're a big griller
[00:45:53.480 --> 00:45:56.520]   I love the grill. I'm lighting up the big green egg tomorrow
[00:45:56.520 --> 00:45:59.080]   The big green egg. What is that?
[00:45:59.080 --> 00:46:01.480]   That's my that's my that's my that's my that's your grill my grill
[00:46:01.480 --> 00:46:06.760]   Here's a guy watching it in the nursing home sous vide with a big green egg necklace pits watching in the nursing home there
[00:46:07.480 --> 00:46:11.960]   This looks like an apartment where there is probably a bong on the coffee table. I'm just saying
[00:46:11.960 --> 00:46:17.640]   There's a lot of dude. I'm just saying dude. I recognize the bros. Alex is so agro man
[00:46:17.640 --> 00:46:26.680]   Shaggy dog design studios on the line here. This is Thomas lampmen. All right. This is enough
[00:46:26.680 --> 00:46:29.160]   I can't do it. I'm getting I'm getting so many of these now
[00:46:29.160 --> 00:46:33.160]   But this is not we should do that we should show so this is the thing is this this
[00:46:33.400 --> 00:46:38.360]   Look at this guy's desktop. He's got a picture of the moon a big high res picture of the moon
[00:46:38.360 --> 00:46:40.200]   That looks like a 30 inch screen. He's got there
[00:46:40.200 --> 00:46:45.080]   That's nice. That's nice. That's Jason perry. Here's somebody in scotland
[00:46:45.080 --> 00:46:46.760]   Nexus
[00:46:46.760 --> 00:46:50.520]   1974 he says he's watching from a rainy day in scotland
[00:46:50.520 --> 00:46:52.520]   Okay, i'm jealous
[00:46:52.520 --> 00:46:54.680]   That looks nice there. It's a little cooler there
[00:46:54.680 --> 00:47:00.680]   It's for his flat in the rainy scotland some of our team was in scotland last week doing doing a stream and and I was in
[00:47:01.160 --> 00:47:03.160]   Washington DC and it was
[00:47:03.160 --> 00:47:08.280]   104 degrees. Oh, it was brutal. It was brutal last week. I was there for the storm. It was exciting
[00:47:08.280 --> 00:47:13.720]   I hope y'all are gonna have a great independence day holiday now you have to declare your independence from
[00:47:13.720 --> 00:47:16.360]   me.com
[00:47:16.360 --> 00:47:21.560]   Look at this. This is the sign they put on the front page saturday night saturday night. I was like it's like seven o'clock
[00:47:21.560 --> 00:47:25.880]   I'm like oh my gosh it swings when you first get there. That's well well played. That's beautiful
[00:47:26.680 --> 00:47:28.440]   kind of depressing
[00:47:28.440 --> 00:47:34.200]   So for a limited time if you are a mobile me member you can go to me.com and i'm going to do this sign in to download
[00:47:34.200 --> 00:47:37.240]   Your photos from i gallery
[00:47:37.240 --> 00:47:42.600]   So I just want to say this is this is well well done by apple because this could have gone really badly saturday night
[00:47:42.600 --> 00:47:47.880]   I suddenly realized it was the last day and I went up to my mobile me and realized there was like 28 gigs of stuff there
[00:47:47.880 --> 00:47:52.520]   That I had to pull off and i was like no there's no way I can do that from the hotel i'm in so um
[00:47:52.840 --> 00:47:57.720]   Well, it's kind of a cross loading so you log in to your apple account
[00:47:57.720 --> 00:48:04.360]   And then it crossloads it over to uh iCloud that's great if but then what happens if you said 28 gigs
[00:48:04.360 --> 00:48:08.360]   You only have five gigs of iCloud storage would have more than that in iCloud
[00:48:08.360 --> 00:48:11.560]   So I presume I guess you'd buy more I already did
[00:48:11.560 --> 00:48:17.880]   Also congratulations. I've moved it all over. I haven't done that. Just like that. I wasn't I was doing mad
[00:48:17.880 --> 00:48:22.120]   I was doing mad like crazy like i'm just gonna have to pick and choose what i'm gonna keep because everything else is gonna go
[00:48:22.360 --> 00:48:27.160]   Oh, I got more bad news for you and to this month. I work dies. I never used I use it
[00:48:27.160 --> 00:48:31.640]   I use it all the time for keynotes. I would upload keynotes there share them. Okay have them there in case you know
[00:48:31.640 --> 00:48:36.120]   Worst thing that could happen, right? You got a keynote presentation your computer dies your thumb drive dies
[00:48:36.120 --> 00:48:40.840]   You don't have a copy of it, but you could say hey, let me borrow your computer. You go to i work and there it is
[00:48:40.840 --> 00:48:45.240]   That's why I did that I just kept them all on thumb drives. What if you lose your thumb drive?
[00:48:45.240 --> 00:48:47.720]   I know I I guess that would be possible
[00:48:47.720 --> 00:48:52.120]   Any suggestions Andy what are you writing articles for the Chicago Sun times on?
[00:48:52.520 --> 00:48:55.400]   Mobile me replacements if I could
[00:48:55.400 --> 00:49:00.520]   Not not really i'm I have I have some notes on a couple of different things to move to but the thing
[00:49:00.520 --> 00:49:07.960]   But the the reason why i'm mobile me got closed down was because everybody already sort of independently found their own replacements for mobile
[00:49:07.960 --> 00:49:10.040]   Me starting like four years ago
[00:49:10.040 --> 00:49:16.200]   Uh, but you know who did is the most vulnerable among us the the people who weren't sophisticated enough to do that
[00:49:16.200 --> 00:49:21.240]   I talked to somebody a blind user in hawai lovely elderly woman who used iWeb
[00:49:21.960 --> 00:49:25.240]   On the weekend she said what am I gonna do? How do I save my site?
[00:49:25.240 --> 00:49:30.280]   Yeah, and and I there are a couple of good web tools
[00:49:30.280 --> 00:49:33.880]   Of for that I mean sandbox is really great. My matter of fact
[00:49:33.880 --> 00:49:39.720]   It actually also has like a built-in iWeb migration tool. I told you about sandbox good. I'm glad you agree
[00:49:39.720 --> 00:49:42.040]   Yeah, also also it's probably
[00:49:42.040 --> 00:49:47.560]   It's it was the it was the app that I would recommend that I used to recommend people use instead of iWeb
[00:49:47.960 --> 00:49:56.680]   Because it gives you all the flex of all the ease of of setup of uh of a website through iWeb without being nearly as annoying or or as limiting
[00:49:56.680 --> 00:50:03.640]   Um, and also if you're launching i was surprised and pleased the other day when I launched aperture for just note for
[00:50:03.640 --> 00:50:07.720]   An unrelated project and it said oh by the way mobile may has shut down
[00:50:07.720 --> 00:50:13.320]   Do you want me to download all of your photos you put into mobile galleries and then add them to your aperture library?
[00:50:13.320 --> 00:50:16.440]   I already already downloaded everything but i'm like new picture
[00:50:16.920 --> 00:50:18.760]   Yeah, doesn't it?
[00:50:18.760 --> 00:50:26.760]   And it was an interesting experience because I I downloaded everything about three days before the shut the the the announced shut down and it was like
[00:50:26.760 --> 00:50:32.760]   It really was like going through a storage locker that you filled up and sort of abandoned three years ago
[00:50:32.760 --> 00:50:39.560]   Because it was just nothing but like photos and documents of things I was working on like in 2007 2008
[00:50:39.560 --> 00:50:43.080]   Because I really hadn't even touched it outside of outside of
[00:50:43.720 --> 00:50:49.320]   Those hysterically angry days when you really need to share a big file with somebody and for some reason
[00:50:49.320 --> 00:50:54.760]   These seven other ways you would usually do it none of them work. So it's like it's come down to this
[00:50:54.760 --> 00:50:57.880]   I'm actually signing signing in to mobile me
[00:50:57.880 --> 00:51:03.480]   This is the sign that god has not chosen me as one of his beloved on this day
[00:51:03.480 --> 00:51:07.560]   What have the chosen people Andy? Yes, you're a boba beer
[00:51:07.560 --> 00:51:13.480]   That's pretty much the same for me. I mean I had when I was very going through it. It was like I think the latest entry was like fall of 2009
[00:51:13.640 --> 00:51:15.400]   Yeah, so I get it
[00:51:15.400 --> 00:51:18.120]   Um, so what if you had a gallery on there?
[00:51:18.120 --> 00:51:24.040]   Is it analog for that that you could use that's an apple analog or do you have to go to I don't know google pakasa or something?
[00:51:24.040 --> 00:51:31.000]   I think that I think the best choice is going to be flicker pakasa or an independent photo hosting site
[00:51:31.000 --> 00:51:33.320]   I don't think that there's anything
[00:51:33.320 --> 00:51:36.680]   Gotta think that apple has any sort of really happy direct replacement
[00:51:36.680 --> 00:51:40.440]   There is something kind of like that on the ios version of iPhoto
[00:51:41.000 --> 00:51:44.520]   Where you can create journals that are nice free form
[00:51:44.520 --> 00:51:49.960]   Presentations of photos arranged the way that you want them to but that's not on the desktop yet
[00:51:49.960 --> 00:51:53.720]   So I yeah, this is this is the reason why I really never chose
[00:51:53.720 --> 00:52:01.320]   I never really chose idiscra mobile me for my photo sharing it's always been flicker because I like this nice central
[00:52:01.320 --> 00:52:05.880]   Central repository that does a lot more than just allow me to share albums
[00:52:07.160 --> 00:52:14.840]   Uh for the developers using ios 6 mac rumors has a great uh preview some desktop shots of
[00:52:14.840 --> 00:52:25.480]   The web versions of notes and reminders. This is the iCloud beta portal which has been activated for ios 6 beta developers at beta.iCloud.com
[00:52:25.480 --> 00:52:29.240]   Um, here's the new uh find my iphone
[00:52:29.240 --> 00:52:33.160]   It's kind of interesting. There's the map up in the right corner
[00:52:33.240 --> 00:52:38.040]   There's a picture of in this case an ipad and three buttons play sound lock or erase
[00:52:38.040 --> 00:52:42.680]   It's still a google map, which is kind of interesting. I wonder if that'll change
[00:52:42.680 --> 00:52:45.080]   um
[00:52:45.080 --> 00:52:46.120]   Notes
[00:52:46.120 --> 00:52:51.480]   This is notes on the it looks just like actually the notes uh notepad on the iphone except that you have enough room now
[00:52:51.480 --> 00:52:53.560]   You have on the left you have it's kind
[00:52:53.560 --> 00:52:59.000]   It's we we now realize this is a leather folio because it's got the stitching the little pocket
[00:52:59.400 --> 00:53:02.840]   Stuffed in the pocket is your list of uh notes. I'm really kind of over that
[00:53:02.840 --> 00:53:06.760]   That's one thing I have to say about all the apples. This is like I don't really need to make it look like a notebook
[00:53:06.760 --> 00:53:09.800]   Yeah, this kind of drives me crazy. This is almost extreme at this point
[00:53:09.800 --> 00:53:13.400]   Yeah, I know they wanted to feel physical, but the whole thing makes me a little crazy. Yeah
[00:53:13.400 --> 00:53:17.080]   Reminders has been removed from the calendar app and is now in its own
[00:53:17.080 --> 00:53:22.360]   App and there's the reminders. It's not so askewomorphic. It's not so uh realistic
[00:53:22.360 --> 00:53:24.360]   It's just looks like a little bit more digital. Yeah
[00:53:24.360 --> 00:53:26.840]   um
[00:53:26.840 --> 00:53:29.960]   I didn't know there's 125 million iCloud users as of April
[00:53:29.960 --> 00:53:34.120]   125 million
[00:53:34.120 --> 00:53:35.800]   That's a lot of users. Yeah
[00:53:35.800 --> 00:53:38.600]   Well, but remember that remember that whenever you activate a new phone
[00:53:38.600 --> 00:53:43.800]   It pretty much walks you through. Hey touch this button and now we'll give you a free iCloud account, but you don't have to
[00:53:43.800 --> 00:53:47.560]   You don't have to but how many people say no
[00:53:47.560 --> 00:53:52.600]   Yeah, I mean it's worth it. I recommend people do it, but I think I you know
[00:53:52.600 --> 00:53:55.880]   Well, I'm looking like I looked at Jennifer's iPhone the other day to see if it was
[00:53:56.680 --> 00:54:00.920]   Enabled it wasn't I looked at iPad. See if it was enabled. It wasn't I said do you want to back this up?
[00:54:00.920 --> 00:54:02.920]   Then I made a huge mistake
[00:54:02.920 --> 00:54:06.920]   You I logged her into my iCloud account and all my messages
[00:54:06.920 --> 00:54:13.160]   Flooded into her phone. Nice. That was good. Yeah, I made a good friend that way
[00:54:13.160 --> 00:54:19.880]   So don't do that folks give it's free to create an independent account and you get five gigs of storage
[00:54:19.880 --> 00:54:22.360]   You should do that because if you if you share
[00:54:23.080 --> 00:54:29.400]   Accounts then you also are sharing things like messages by the way you cannot now download anymore the messages beta
[00:54:29.400 --> 00:54:31.320]   I tried to the other day on the new retina
[00:54:31.320 --> 00:54:35.160]   Because I wanted on the retina. So I think that's a signal mountain lion, which is gonna
[00:54:35.160 --> 00:54:41.400]   I think feature that it's coming soon app is coming soon. I can't wait turned it off. It was better than lion
[00:54:41.400 --> 00:54:44.760]   Not that I'm bitter
[00:54:44.760 --> 00:54:49.400]   So what do I wait can I can I I talked about something on the last show I was on can I give people an update? Yes
[00:54:50.040 --> 00:54:55.880]   So I um I updated my my tower to lion. It was the last computer left
[00:54:55.880 --> 00:55:00.840]   I had put lion slowly on things carefully and my tower has a software raid
[00:55:00.840 --> 00:55:05.400]   So it has three three drives rated with you know my aperture library and other things on it
[00:55:05.400 --> 00:55:10.520]   And um, and so when the when lion came up. Yeah, the raid was gone
[00:55:10.520 --> 00:55:15.720]   They were just they were just three drives with your data there all the all my data was there
[00:55:15.880 --> 00:55:19.640]   Oh good. No, no, no, no, no, no, no, no, no the day that day it was there, but the drive it
[00:55:19.640 --> 00:55:23.800]   Yeah, when the rate it could read it. You could see three drives, but but it can no longer see the raid
[00:55:23.800 --> 00:55:26.920]   That's not good. And so I you know, I called of course if I called dis savers
[00:55:26.920 --> 00:55:29.880]   I was like getting ready to cause you know, rude and I talked to Brent uh schnar
[00:55:29.880 --> 00:55:33.160]   Who's one of our guys one of our very smart guys at the pixx core?
[00:55:33.160 --> 00:55:37.640]   And um, he's like oh just put snow leopard back on yeah, and uh, he said it'll just find it
[00:55:37.640 --> 00:55:41.160]   It'll just rebuild it immediately. And so just in case you're wondering put a new drive in
[00:55:41.560 --> 00:55:46.120]   Install snow leopard is there was no rebuild as soon as no off the raid. Oh, no, no, I took it all
[00:55:46.120 --> 00:55:50.520]   I mean so just to put it in perspective. The reason I wasn't too stressed about it is up until the last two months
[00:55:50.520 --> 00:55:53.160]   Everything had been and I've been really busy. I've been really busy lately
[00:55:53.160 --> 00:55:56.280]   Everything was completely backed up. So it wasn't it wasn't like I lost a time
[00:55:56.280 --> 00:55:57.160]   You're no fool
[00:55:57.160 --> 00:56:00.600]   But at the same time the last three months of photos were on the aperture
[00:56:00.600 --> 00:56:06.520]   And I hadn't done my little backup thing my vault because I was upgrading some drobos and stuff like that. Anyway, so
[00:56:06.520 --> 00:56:08.840]   um
[00:56:08.840 --> 00:56:13.560]   Anyway, but just if you ever if you ever do that one thing to know is if you go into lion your software raid will be broken
[00:56:13.560 --> 00:56:18.920]   And I don't even know how to fix it and uh, it's terrible snow leopard will just immediately see it again and it's not a problem
[00:56:18.920 --> 00:56:23.000]   So I think some people are asking me on it's a software raid right?
[00:56:23.000 --> 00:56:26.520]   That's part of it. Yeah, but but it's just you just and you know
[00:56:26.520 --> 00:56:31.240]   Obviously the big thing to do is that we call them scary raids in our office for a good reason
[00:56:31.240 --> 00:56:35.880]   All of the raids that we build are called scary raids are not everybody but not reliable fast
[00:56:35.960 --> 00:56:40.200]   Yeah, but don't defend them and the other thing is is that someone asked me like are you gonna build a part of the problem?
[00:56:40.200 --> 00:56:42.360]   Was the raid was really small? It's three gig three terabytes
[00:56:42.360 --> 00:56:47.560]   I don't want to build it any bigger than that because I don't ever want to allow myself to put more than three terabytes on something
[00:56:47.560 --> 00:56:51.320]   That's that's there so you do you're doing a striped raid not a mirrored raid. You're doing it
[00:56:51.320 --> 00:56:55.480]   So that's fast writing 300 megs a sec so you can record your well like when you're well
[00:56:55.480 --> 00:56:58.920]   You can record video, but also you can you know everything runs faster
[00:56:58.920 --> 00:57:03.000]   You know and if you have an ssd startup drive and a and a three drive raid
[00:57:03.640 --> 00:57:08.360]   Um your tower is about you know as fast as it's gonna get I gotta show you something
[00:57:08.360 --> 00:57:10.120]   Ooh, that's pretty
[00:57:10.120 --> 00:57:13.320]   Yeah, by the way, I mentioned this last week in her facelift
[00:57:13.320 --> 00:57:18.760]   So I only have 28 80 by 1800 when you get your new retina. You've got to upgrade all your desktop wallpaper
[00:57:18.760 --> 00:57:22.680]   Nice because but fortunately, I'm never gonna get my new retina. I've given up
[00:57:22.680 --> 00:57:25.880]   How long did you ordered a day of and they say what a minute?
[00:57:25.880 --> 00:57:28.920]   You gotta get we were sitting on the show and i'm sitting there going refresh refresh refresh
[00:57:28.920 --> 00:57:31.720]   As soon as it comes up I went through and it was the amount of time
[00:57:31.720 --> 00:57:36.760]   It took me to run the order and I had and I had ordered it. I was it was a built-to-order had all the stuff in it and
[00:57:36.760 --> 00:57:38.920]   uh
[00:57:38.920 --> 00:57:44.040]   And I just checked the apple and it's like delivery sometime between july 9th and july 20th and
[00:57:44.040 --> 00:57:47.240]   Well, let me just I just not that I'm sitting here. You're gonna get this soon
[00:57:47.240 --> 00:57:50.200]   I just want to show you the usb 3.0
[00:57:50.200 --> 00:57:53.400]   Benchmarks that I did. Oh, is it working now?
[00:57:53.400 --> 00:57:59.640]   So here's the deal this I had to find a u.s. A lot of the usb 3 drivers aren't done yet. Really?
[00:57:59.720 --> 00:58:04.680]   Well, this is definitely usb 3 speed so a lot of the I bought a
[00:58:04.680 --> 00:58:10.600]   Corsair GT that did not live up to its promise in terms of usb 3 speed, but this is a usb thumb drive
[00:58:10.600 --> 00:58:16.680]   Uh using the I like this. This is the black magic. I think you might have even recommended it back speed test
[00:58:16.680 --> 00:58:23.560]   You combine it on the app store because you can see it's from black magic because really what it's saying is how high quality video
[00:58:23.560 --> 00:58:28.600]   Can you read and write but this is a usb thumb drive? This is the hyper x from king's dev
[00:58:29.160 --> 00:58:33.880]   It is 64 gigabytes for about a hundred bucks. It's reading at
[00:58:33.880 --> 00:58:39.480]   250 megabytes a second a thumb drive and it's writing at 109 megabytes a second
[00:58:39.480 --> 00:58:47.480]   But you really want to see something even more awesome awesome. Uh, this is the native ssd built into the retina
[00:58:47.480 --> 00:58:50.600]   So it's using they use a very good sand force controller
[00:58:50.600 --> 00:58:56.920]   It's writing at 383 megabytes a second on sata. This is satas six of course and it's reading
[00:58:57.000 --> 00:58:59.000]   It's redlining the black magic
[00:58:59.000 --> 00:59:04.360]   Uh speed thing at 442 megabytes a second. It was very close to half a gigabyte a second
[00:59:04.360 --> 00:59:07.000]   Is that fast enough? You know, I don't want to sound like an old foggy, but
[00:59:07.000 --> 00:59:13.640]   I remember back when we spent no no we spent we spent $2,000 to build 120 gigabyte drive that could do
[00:59:13.640 --> 00:59:17.400]   190 to 200 megabytes a second
[00:59:17.400 --> 00:59:22.040]   Now you can do it in your laptop on the ssd and in the retina it's crazy
[00:59:22.760 --> 00:59:28.360]   So i'm very happy with that thumb drive, but I would caution that not all usb 3 thumb drives seem to give you the full throughput
[00:59:28.360 --> 00:59:33.160]   I had it. I tried I bought the uh, I bought the course here and I like course here thumb drives
[00:59:33.160 --> 00:59:37.240]   I've had a number of course here thumb drives and uh, its results were not
[00:59:37.240 --> 00:59:41.080]   Quite as fast. Here's the here's the course here results
[00:59:41.080 --> 00:59:45.560]   I got 78.9 megabytes per second right again. I'm just like
[00:59:45.560 --> 00:59:48.200]   100 thumb drive read thumb drive
[00:59:48.200 --> 00:59:53.960]   We used to re-stripe our raids every week to make sure that you do 30 megas a second to do uncompressed sd video
[00:59:53.960 --> 00:59:57.320]   And now there's a thumb drive that's something. It's important. I know i'm sounding like an old foggy
[00:59:57.320 --> 01:00:00.520]   But I just have to keep on reminding people that this is a drive drive. It's a sick
[01:00:00.520 --> 01:00:04.200]   It's a hundred dollars 64 gigabytes around my neck. Yeah
[01:00:04.200 --> 01:00:08.040]   And it and it's at that speed. So what i'm using it for is aperture
[01:00:08.040 --> 01:00:12.360]   That's what I put all my photos on right because I don't want to fill up my internal drive with pictures
[01:00:12.360 --> 01:00:15.560]   The drives that we were re-striping all the time they were six gigabytes
[01:00:16.280 --> 01:00:18.120]   That was
[01:00:18.120 --> 01:00:22.920]   They were anyway, and uh, you know, I don't mind 256 gigs. Well, I bet well, so you did a BTO
[01:00:22.920 --> 01:00:26.280]   You put 16 gigs of ram of course. Yeah, I put the faster processor
[01:00:26.280 --> 01:00:30.440]   I'm having a hard right seven to get the seven fifty six. So it was and you got the top of the line i7
[01:00:30.440 --> 01:00:34.840]   Yes, that's gonna be a screamer. It's fast. Well, he's also got to be four thousand dollars
[01:00:34.840 --> 01:00:40.200]   Almost I was a little bit more than that. It was a little bit with tax and and you know, of course
[01:00:40.200 --> 01:00:44.920]   I got the you know the apple of care stuff and all that other stuff so the but the um
[01:00:45.720 --> 01:00:48.680]   Uh, we already started doing streaming tests with it and it's faster
[01:00:48.680 --> 01:00:55.640]   The laptop is faster than our our desktop when it comes to like wirecast is actually the laptop is actually using less
[01:00:55.640 --> 01:00:58.440]   um, CPU power than our tower
[01:00:58.440 --> 01:01:04.840]   Just saying so I have to log into iWork says to your iWork user
[01:01:04.840 --> 01:01:08.200]   Did you know that this was gonna happen that they were gonna kill this iWork.com?
[01:01:08.200 --> 01:01:11.000]   Uh, there there are rumors about it. And in july
[01:01:11.000 --> 01:01:15.320]   You will no longer be able to access your documents on the iWork.com site or review them on the web
[01:01:15.320 --> 01:01:18.120]   Sign in and download them to your computer
[01:01:18.120 --> 01:01:21.960]   Moving forward you can use iCloud to store your documents
[01:01:21.960 --> 01:01:27.560]   I really liked this uh, iWork, uh system though because it was I don't know it was just seemed nice
[01:01:27.560 --> 01:01:30.200]   But I guess nobody used it. I didn't like it. You didn't like it
[01:01:30.200 --> 01:01:34.120]   I want to be I just wanted to be here's the thing is I want I wanted to be a pretty version of google docs
[01:01:34.120 --> 01:01:39.160]   Like that's like for me. That's what I like what I like well, that's called microsoft's office 365
[01:01:39.720 --> 01:01:43.080]   By the way, yeah, I mean exactly with office 360. I just wanted to be pages
[01:01:43.080 --> 01:01:45.320]   Do you mind using word and i hate excel?
[01:01:45.320 --> 01:01:51.880]   Hate excel like like it like it then the only thing I hate more than excel are the spreadsheets in google
[01:01:51.880 --> 01:01:53.560]   Do you like chrome?
[01:01:53.560 --> 01:01:56.440]   Yeah, I love chrome. How do you like chrome on the iphone on the ipad gentlemen?
[01:01:56.440 --> 01:02:00.600]   I I like it. I don't know if it's compelling enough for me to constantly be you know figuring out
[01:02:00.600 --> 01:02:02.440]   But I thought I thought it's very snappy
[01:02:02.440 --> 01:02:07.400]   I installed it immediately. It's not uh, of course apple will not let any third party browser
[01:02:07.960 --> 01:02:09.960]   Be the default browser, right?
[01:02:09.960 --> 01:02:15.640]   Um, it's very crumish. Yeah, and then you have a menu here new tab new on incognito tab
[01:02:15.640 --> 01:02:18.920]   Bookmarks because it's chroma it syncs all your bookmarks
[01:02:18.920 --> 01:02:20.760]   From
[01:02:20.760 --> 01:02:25.720]   Your desktop it also syncs your tabs. So if I've got a tab open on another device
[01:02:25.720 --> 01:02:29.480]   I can see what these are these are the pages. I should be careful what i'm looking at
[01:02:29.480 --> 01:02:36.840]   These are the pages i've got open on my macbook retina my galaxy s3 my obuntu
[01:02:37.480 --> 01:02:41.880]   My uh macbook air 13 my iphone 4 isn't that nice?
[01:02:41.880 --> 01:02:47.000]   Yeah, it's I think it's those are the pages I have open and especially if you're living in a google environment
[01:02:47.000 --> 01:02:50.520]   We have you know, we're generating five or ten google docs a day
[01:02:50.520 --> 01:02:53.400]   And so, you know all of this stuff works really well
[01:02:53.400 --> 01:02:58.520]   And here's the feature that a lot of people seem to like there's a button on here that says request desktop site
[01:02:58.520 --> 01:03:02.280]   So if you get a mobile site, I should go to uh, you're i'll go to lea ville
[01:03:02.280 --> 01:03:06.520]   That's a good one because I have it I have it mobilized which is by the way no longer the thing to do
[01:03:07.400 --> 01:03:12.920]   uh, you're supposed to uh, be adaptive and and and uh
[01:03:12.920 --> 01:03:18.520]   So you're so hard to use using a keyboard. Oh, look it gave me the desktop site
[01:03:18.520 --> 01:03:20.760]   huh
[01:03:20.760 --> 01:03:24.120]   Huh, so you if you gave if you got the mobile site you can request the desktop site
[01:03:24.120 --> 01:03:28.440]   Um, I guess i'm smart enough not to do that on the ipad. I'm so smart
[01:03:28.440 --> 01:03:35.800]   Um, I've always thought so leo yes voice search built in that's kind of neat probably also violation of apples patterns
[01:03:36.760 --> 01:03:37.800]   Um
[01:03:37.800 --> 01:03:41.240]   So this is I and it feels snappy. What do you think? How do you like chrome on the uh?
[01:03:41.240 --> 01:03:47.160]   On i like it. I like it a lot. I love the way that it organizes open tabs on on the iphone edition
[01:03:47.160 --> 01:03:51.640]   That makes a much better use of uh of the window space. Uh, it's prettier. They're nice
[01:03:51.640 --> 01:03:55.160]   Uh, sense uh comments really really nice
[01:03:55.160 --> 01:04:00.280]   Sensible little graphical flourishes that help you as you move from one part of the app to the other
[01:04:00.280 --> 01:04:01.960]   The only real disadvantage
[01:04:01.960 --> 01:04:07.800]   I the only real thing I don't like about it is that sharing is really very very limited if not non-existent
[01:04:07.800 --> 01:04:12.600]   Um, I I ran into two problems my first day with the with the iphone and the ipad versions
[01:04:12.600 --> 01:04:19.560]   Uh, i'm just using that i'm enjoying it on the iphone going through the things that I use a browser for on the iphone
[01:04:19.560 --> 01:04:23.080]   I hit a page saying oh, I want to tweet out a link to this. Oh, no, sorry
[01:04:23.080 --> 01:04:28.280]   There's no like share there's no sharing button so I can't just simply tweet out a link actually had to go into safari
[01:04:28.360 --> 01:04:33.880]   Reopen it and then hit that button there. Um, that is that is frustrating. Do you think that's an apple thing or a?
[01:04:33.880 --> 01:04:35.880]   chrome thing
[01:04:35.880 --> 01:04:36.760]   I have no idea
[01:04:36.760 --> 01:04:41.240]   I want it's it's it's it's an omission. I think they really should have fixed that yeah, because it's such a useful feature
[01:04:41.240 --> 01:04:46.200]   But then there's another thing that uh, I've gotten used to in safari where I was reading an article
[01:04:46.200 --> 01:04:48.840]   Uh tapped on a link and turned out to be a pdf
[01:04:48.840 --> 01:04:53.880]   And so almost instinctively I wanted to send that into iBook so I could save it for a broffline reading
[01:04:54.040 --> 01:04:59.880]   And of course you can't do that in google chrome you can't just simply funnel something into into iBook star into another pdf reader
[01:04:59.880 --> 01:05:04.760]   So there's that as well. So that's really the only comp the only complaints I was having about it
[01:05:04.760 --> 01:05:09.960]   Uh, of course sharing with google plus works just fine. Oh, of course
[01:05:09.960 --> 01:05:14.760]   It's like it's my point that out. It's no trouble
[01:05:14.760 --> 01:05:22.040]   So so many google products on on every single piece of hardware be it be it windows mac
[01:05:23.160 --> 01:05:25.160]   Android or iOS it's like
[01:05:25.160 --> 01:05:28.440]   You're you're the product is on the top of the hill
[01:05:28.440 --> 01:05:33.320]   And at the bottom of the hill is always google plus so if you just kick one pebble over
[01:05:33.320 --> 01:05:38.840]   Then the natural flow of water is to land it right in the middle google plus yeah, that's true
[01:05:38.840 --> 01:05:44.200]   Um somebody's pointing out and this of course is true that ios 5 does have an api for at least for tweeting
[01:05:44.200 --> 01:05:48.920]   Uh, and so there would it would be an easy thing for google to have added tweet this
[01:05:49.640 --> 01:05:55.240]   Um, so you're right. I think Andy that that's something that google omitted. It does work well with google plus. Did we say that?
[01:05:55.240 --> 01:05:58.440]   Oh by the way
[01:05:58.440 --> 01:06:00.280]   Uh, iphone and uh ipad
