
[00:00:00.000 --> 00:00:05.060]   It's time for Mac break weekly Andy Renee and Alex are all here
[00:45:36.280 --> 00:45:39.720]   But there's a bunch of people for whom those traditional computers and it's a large market
[00:45:39.720 --> 00:45:41.320]   I've just never been accessible to them
[00:45:41.320 --> 00:45:42.760]   They've been confounding
[00:45:42.760 --> 00:45:48.280]   Confusing really smart people who they've been made to feel less than because they didn't understand terminals or file systems
[00:45:48.280 --> 00:45:53.880]   Or just the paradigms that have grown up through geeky computer science hippies that Andy mentioned at the beginning
[00:45:53.880 --> 00:46:00.520]   Now to a massive mainstream audience and to to a large segment of the market and I think that's where you see the sales numbers for ipad
[00:46:00.920 --> 00:46:06.840]   This is a computing device that does not have to be a traditional computer or a laptop and they prefer it that way
[00:46:06.840 --> 00:46:13.400]   My my again, we've talked about this a couple times, but where you really see that as the under 10 and over
[00:46:13.400 --> 00:46:15.320]   60
[00:46:15.320 --> 00:46:18.840]   Range when you're in an airport. Those are all ipads
[00:46:18.840 --> 00:46:22.520]   You know like you know we're all tablets and and there's there's a bunch of us in the middle of that
[00:46:22.520 --> 00:46:25.400]   And I you know that that are using computers
[00:46:25.400 --> 00:46:28.280]   But but it's like it is a replacement for a large portion
[00:46:28.280 --> 00:46:34.200]   My kid, that was Steven Sanofsky's contention is that we only think it's not a full computer because we have preconceived notions
[00:46:34.200 --> 00:46:38.520]   We're the generation that has spent a lot of time on a computer
[00:46:38.520 --> 00:46:41.720]   You know I have been you know so so we you know that that tend to
[00:46:41.720 --> 00:46:48.680]   Or maybe even I would say 15 maybe we're the last generation that wants a command line or the last generation that wants to use a mouse
[00:46:48.680 --> 00:46:52.840]   To edit text or remember the last generation that wants to actually write computer code
[00:46:53.080 --> 00:46:59.400]   But we still want to do those things but but I think that but but my kids are learning my kids are learning swift on on their iPad
[00:46:59.400 --> 00:47:02.600]   You know and they're and they're typing away and and eventually swift is going to be there
[00:47:02.600 --> 00:47:08.040]   I mean I think that for instance we're in an evolution. This is one step towards that that computer
[00:47:08.040 --> 00:47:10.040]   I mean I think that when we look at like Final Cut
[00:47:10.040 --> 00:47:17.400]   They made an announcement last week. I think it was last week that basically Final Cut is not going they said it's gonna be so they're gonna support
[00:47:18.120 --> 00:47:24.040]   The avid formats and some of the other formats for Mojave don't expect to be supported any further than Mojave
[00:47:24.040 --> 00:47:26.360]   You know for your video formats
[00:47:26.360 --> 00:47:30.680]   Now if I were building an iOS version interesting if I was gonna build an iOS version
[00:47:30.680 --> 00:47:34.920]   Or an ARM version of a laptop or an iOS version of Final Cut
[00:47:34.920 --> 00:47:37.640]   That's exactly what I would tell you in the future
[00:47:37.640 --> 00:47:42.920]   You know so I think that there is a you know we're looking at an evolution here of you know
[00:47:42.920 --> 00:47:45.800]   This may not be there yet, but I'm even now
[00:47:46.520 --> 00:47:50.360]   I've I now probably spend 50 percent of my time on my iPad
[00:47:50.360 --> 00:47:56.760]   I mean since I got actually since I got the newer one, you know, I kind of and I admit admit that I'm experimenting with that process
[00:47:56.760 --> 00:47:59.160]   But I'm finding myself much happier
[00:47:59.160 --> 00:48:02.200]   If I'm in a meeting, I don't take my laptop anymore
[00:48:02.200 --> 00:48:04.920]   I just take my lap my you know if I'm having a meeting I don't take my laptop
[00:48:04.920 --> 00:48:07.000]   There are things that I still need to do it on it
[00:48:07.000 --> 00:48:11.720]   Um stuff like omni-graffle and other things like that. I'm still using you know and obviously
[00:48:12.200 --> 00:48:16.680]   Uh final cut and those type those types of things, but I'm finding myself more and more
[00:48:16.680 --> 00:48:20.920]   Happy with that and part of it's just forcing myself to do it as soon as I force myself to
[00:48:20.920 --> 00:48:23.720]   I'm just going to use my iPad for this because I know that it can do it
[00:48:23.720 --> 00:48:30.680]   I immediately find that oh, this is much nicer and I can now draw in the middle of my notes and I can you know the the note taking apps or not
[00:48:30.680 --> 00:48:35.560]   uh perfect, um, but uh, but I think that um
[00:48:35.560 --> 00:48:38.440]   I think that they're getting much better
[00:48:38.840 --> 00:48:43.480]   The other thing like to me is the biggest symbol the biggest sign of all this is that at the same event apple introduced an ipad
[00:48:43.480 --> 00:48:46.600]   Pro and a macbook air because they realize that there are different
[00:48:46.600 --> 00:48:51.160]   Piscigants of the market and both those products will be hugely attractive to different people
[00:48:51.160 --> 00:48:55.720]   And the sort of part where I have a problem is if you say if you can't do all you work on an ipad pro
[00:48:55.720 --> 00:49:00.600]   Then you're just a dummy and you're not trying or if you say like there was this huge controversy and I won't name any names
[00:49:00.600 --> 00:49:02.600]   But it's all over twitter for the last four days
[00:49:02.600 --> 00:49:05.800]   Very popular tech tech media company and some of their people
[00:49:06.040 --> 00:49:09.240]   Basically said if you use an ipad pro then you're not doing f-ing real work
[00:49:09.240 --> 00:49:12.680]   And I think that's huge consulting if you name names and how said that?
[00:49:12.680 --> 00:49:17.000]   No, that's on twitter. I don't want to but it's uh, it's just not
[00:49:17.000 --> 00:49:20.680]   I'm looking on twitter and if I don't do twitter, I'm missing out. I guess
[00:49:20.680 --> 00:49:24.520]   Yeah, no, and I think that you know, but but they work may be different than yours
[00:49:24.520 --> 00:49:28.760]   They might be a real estate agent an architect. They might be the illustrator doing all the stuff for a star trek
[00:49:28.760 --> 00:49:34.440]   They might be uh, just there's so many deejays musicians who are doing amazing work
[00:49:34.440 --> 00:49:39.160]   And just because it's not your work does not mean it is invalid. Well, and I grant I completely grant you that
[00:49:39.160 --> 00:49:41.240]   That's why I want to know who said that and the
[00:49:41.240 --> 00:49:42.440]   the
[00:49:42.440 --> 00:49:45.080]   We should not underestimate they haven't really talked as much about it
[00:49:45.080 --> 00:49:50.920]   But but the the partnerships apple has as built with sales force and ibm have yielded huge returns
[00:49:50.920 --> 00:49:56.360]   You know and and so when you're talking about salespeople and a lot of business organics. Oh, yeah
[00:49:56.360 --> 00:50:01.560]   It's all so microsoft selling that they call them first line workers microsoft's really pushing
[00:50:02.200 --> 00:50:06.840]   It's effectively tablet version of windows right to first line workers
[00:50:06.840 --> 00:50:10.920]   Even the ones with arm processors that are really slow because they don't have the same needs
[00:50:10.920 --> 00:50:14.920]   Right and that something they hold in their hand as they're checking in people at a gate
[00:50:14.920 --> 00:50:19.400]   But it's not even just that it's like sales folks. Uh, we've had people absolutely
[00:50:19.400 --> 00:50:26.040]   Um, I definitely have had people in my company that have just decided they're using an ipad because they're not doing the the technical end
[00:50:26.040 --> 00:50:27.640]   and they're
[00:50:27.640 --> 00:50:31.800]   Totally 100 ipad, you know, so it's it's not it's it's definitely a
[00:50:32.520 --> 00:50:35.960]   Uh, it's definitely possible, you know to do to do all of that
[00:50:35.960 --> 00:50:43.080]   Okay, I've I've found the tweet but unfortunately it uses profanity and I can't read it. Yeah
[00:50:43.080 --> 00:50:51.160]   Tom wern from the verd. Okay, uh says uh, I'm quoting his tweet here niele
[00:50:51.160 --> 00:50:56.360]   Made this point on verd cast. I have not listened to that show so i'm not gonna comment on something i didn't listen to
[00:50:56.360 --> 00:51:00.280]   Uh, but the people who have replaced their laptops with the ipad are people who do
[00:51:00.920 --> 00:51:02.920]   flick all work
[00:51:02.920 --> 00:51:06.440]   Uh the rest of us hardworking people use a laptop because we have real stuff to do
[00:51:06.440 --> 00:51:11.400]   Other than some email is nielei or is this niele? No, this is tom's this tom
[00:51:11.400 --> 00:51:18.120]   Responding to nielei or paraphrasing or paraphrasing or paraphrasing so it was nielei who said it but see that's nielei right there
[00:51:18.120 --> 00:51:20.360]   That's the same. That's how he wants to be
[00:51:20.360 --> 00:51:23.080]   He wants to generate that kind of traffic
[00:51:23.080 --> 00:51:29.320]   I'm not the only reason he said that taking away the headphone jack is a hot hostile anti consumer move right
[00:51:29.640 --> 00:51:34.440]   A user hostile move it's just it's it's it's hyperbole in the service of a point
[00:51:34.440 --> 00:51:37.560]   Okay, but I think it's representative of certain where I to be fair
[00:51:37.560 --> 00:51:42.680]   I have used those exact words that I believe taking away a headphone jack unless it's impossible to include one is
[00:51:42.680 --> 00:51:45.000]   How he was right about that?
[00:51:45.000 --> 00:51:46.840]   I'll grant him on that one
[00:51:46.840 --> 00:51:50.200]   But I think the point being the nielei likes to use strong language
[00:51:50.200 --> 00:51:53.800]   Yeah, but I think it's representative of a certain segment of the tech community who kind of
[00:51:53.800 --> 00:51:58.520]   Like it's like anyone who lives north than you is a northerner anyone who does different work than you
[00:51:58.840 --> 00:52:05.080]   Is not a pro like oh you're just not a pro and it's sort of like how dare apple take fire from the gods and make it accessible to a
[00:52:05.080 --> 00:52:08.280]   Bunch of other people and I want to push back on that because these people are doing work
[00:52:08.280 --> 00:52:11.640]   They could never do before and it is every bit as professional. It's just different
[00:52:11.640 --> 00:52:14.680]   And also let's not let's also point out that
[00:52:14.680 --> 00:52:21.800]   Someone with if someone has three to four hundred dollars to spend on a really good computing solution
[00:52:21.800 --> 00:52:26.840]   Let's just call let's let's cut through the controversy by simply saying for something as a computing solution
[00:52:27.240 --> 00:52:31.160]   Uh, they're gonna get a lot more value from what I've seen out of a
[00:52:31.160 --> 00:52:33.880]   $329 ipad
[00:52:33.880 --> 00:52:35.960]   Then they will out of any
[00:52:35.960 --> 00:52:38.600]   300 $400 windows
[00:52:38.600 --> 00:52:43.320]   Windows notebook and many but not all three to four hundred dollar chromebooks
[00:52:43.320 --> 00:52:46.680]   And it will cover everything that they want to do
[00:52:46.680 --> 00:52:49.160]   just this there's such a
[00:52:49.160 --> 00:52:57.160]   The earlier that as adults we can glom on to one of these really important topics the better the rest of your
[00:52:57.160 --> 00:52:59.320]   Life and the lives of everybody you interact with will be
[00:52:59.320 --> 00:53:05.320]   Don't give people crap for liking the things that they like the things that are working for them
[00:53:05.320 --> 00:53:08.760]   Uh, it's if anything have them explain to you
[00:53:08.760 --> 00:53:15.720]   How excited they are and why they're happy with this thing that you want to hold by one corner because you think it's a filthy
[00:53:15.720 --> 00:53:19.480]   Thing that was swept out of of some sort of a grease trap
[00:53:19.480 --> 00:53:25.560]   It's so horrible because you'll learn something at least about either about that hardware or about how other people use technology
[00:53:26.200 --> 00:53:31.640]   In a i'm not i'm not commenting on this tweet. I want to really make it clear. I'm not commenting on this tweet
[00:53:31.640 --> 00:53:35.240]   Uh, but i'm saying that personally speaking only for myself
[00:53:35.240 --> 00:53:37.560]   Uh, I think that I do a better job
[00:53:37.560 --> 00:53:45.800]   The better I understand how other people use technology that my expectations for indian octos work are not necessarily
[00:53:45.800 --> 00:53:50.920]   Universally applicable to how other people uh approach their work or their goals
[00:53:50.920 --> 00:53:54.840]   and I when I was when I grew up I grew up on a farm and
[00:53:55.880 --> 00:54:01.640]   We all had trucks like everybody has a truck everybody's got a truck and you can't understand how you could live without a household with a truck
[00:54:01.640 --> 00:54:03.880]   That doesn't that you can't put stuff in the back up. You know
[00:54:03.880 --> 00:54:09.640]   Drives a truck. It doesn't drive a truck is doing if all work and that's kind of how we
[00:54:09.640 --> 00:54:14.360]   You know like the only thing that we had a certain area that's true
[00:54:14.360 --> 00:54:18.120]   You know the we're gonna remember the four f 150 is one of the top selling
[00:54:18.120 --> 00:54:20.280]   Cars in the united states
[00:54:20.280 --> 00:54:23.800]   So, you know, there's a lot of us out there that need to haul things we need to put things in the back
[00:54:23.800 --> 00:54:27.640]   We need to you know and but but but my mom didn't need to drive a truck around
[00:54:27.640 --> 00:54:32.840]   Uh, you know and and she she you know, but when we grew up and we I started driving a truck when I was 10
[00:54:32.840 --> 00:54:37.320]   You know like and so it was not mostly not on the road. It's a little on the road
[00:54:37.320 --> 00:54:40.200]   So anyway, so but the but the uh, but you know
[00:54:40.200 --> 00:54:45.720]   I think that we looked at it as something you had to have and no one had a house that household that didn't have a truck
[00:54:45.720 --> 00:54:48.760]   And I'm not everyone drove a truck, but it was something that you all had
[00:54:48.760 --> 00:54:50.760]   You know and because there were things to do with it
[00:54:50.760 --> 00:54:56.120]   And I think in the same way we look at computers is you know, the laptop to me is still the same way Steve jobs at it
[00:54:56.120 --> 00:55:01.880]   It's still the truck, you know, like there are there's heavy lifting that needs to be done by a laptop or a iMac or those things
[00:55:01.880 --> 00:55:07.240]   But the I really do feel like the iPads have become kind of the cars and the and the and the and the
[00:55:07.240 --> 00:55:11.400]   Is that what job said the phone has become kind of the motorcycle. Yeah motorcycle. I like it
[00:55:11.400 --> 00:55:15.960]   A Vespa maybe depending on which one you get and the Chromebooks and SUV and
[00:55:17.320 --> 00:55:23.000]   Surface is like a minivan. I like the iPad. I think the iPad especially the pricing
[00:55:23.000 --> 00:55:26.120]   Well, no, because there's a 329 so I shouldn't say but in general
[00:55:26.120 --> 00:55:31.320]   It's kind of like for most people I think it will be kind of like you're not your only computer
[00:55:31.320 --> 00:55:36.120]   But a second I still and I just I what I'm finding more and more is that I really just enjoy using it
[00:55:36.120 --> 00:55:42.280]   Like I just I I do too, but I find I also find myself frustrated. I've been just doing email just doing simple stuff
[00:55:42.280 --> 00:55:47.000]   I found myself frustrated. I find I find myself frustrated with my with my Mac book because I keep on touching the screen and
[00:55:47.000 --> 00:55:49.000]   That's true and I'm just like oh
[00:55:49.000 --> 00:55:51.000]   Great. Yeah. Yeah
[00:55:51.000 --> 00:55:57.160]   So no apology needed Renee. That's a second day to area updated review
[00:55:57.160 --> 00:56:03.080]   Yeah, and I did list a lot of what I think are still roadblocks to iOS and I didn't want to give
[00:56:03.080 --> 00:56:06.760]   I think one of the biggest problems in tech support and I said this before is people tell you the solutions
[00:56:06.760 --> 00:56:10.280]   They want rather than the problems that they have and quite often there are better solutions
[00:56:10.280 --> 00:56:15.800]   And they've thought of and there are things that I have problems with like I like I can move photos and videos in and out
[00:56:15.960 --> 00:56:20.120]   But not audio files or documents or anything like that over you know over direct connection
[00:56:20.120 --> 00:56:24.440]   And there's just a small list of things that I just keep hitting up against and I think those
[00:56:24.440 --> 00:56:27.880]   I think apple will fix those. I mean all of those could be fixed in software really
[00:56:27.880 --> 00:56:31.160]   Yeah, I mean I think iOS 12 was supposed to have quite a big iPad
[00:56:31.160 --> 00:56:34.520]   Component and it got pushed back to 13 because they did all that performance
[00:56:34.520 --> 00:56:38.840]   Like they literally took the best engineers at the company and said make performance amazing
[00:56:38.840 --> 00:56:43.160]   And that person couldn't fix performance issues and do all the new iPad stuff
[00:56:43.320 --> 00:56:44.920]   So they had to push that off to all this year
[00:56:44.920 --> 00:56:47.880]   So I think in in iOS 13 we'll see a lot of that sort of come
[00:56:47.880 --> 00:56:54.120]   There's a parallel is an earth one where j garrick has an ipad pearl that has marvelous software on it
[00:56:54.120 --> 00:56:56.760]   It just we didn't get it on this earth this year. Yeah
[00:56:56.760 --> 00:57:02.600]   What would I mean this is kind of speculative and I know rene you got to go in about 10 minutes or less
[00:57:02.600 --> 00:57:07.560]   But i got so forth already i got so 130. Okay, good. Thanks another 23 minutes, but um
[00:57:07.560 --> 00:57:10.840]   What would you do?
[00:57:10.840 --> 00:57:14.280]   I'll ask all of you uh to the ipad and to ios
[00:57:14.280 --> 00:57:20.360]   To make it. Mm. I mean I guess if you think it's everything it needs to be your answer would be zero
[00:57:20.360 --> 00:57:22.360]   But if it's not, what would you do?
[00:57:22.360 --> 00:57:27.000]   Well, I have like I made a list of six things for just for that video and one is that you know
[00:57:27.000 --> 00:57:31.400]   You can't plug in a drive and take off anything other than video and image files
[00:57:31.400 --> 00:57:34.840]   And it should you should build import export anything when you're using a keyboard
[00:57:34.840 --> 00:57:38.840]   There's no way to navigate without taking your hands off the keyboard. That's my big and that context switching is bad
[00:57:38.920 --> 00:57:43.640]   Yeah, loading web pages you get the iphone version like you go to reddit and you get the iphone version
[00:57:43.640 --> 00:57:50.360]   Of reddit on an ipad and whether it's like a forced uh desktop version or just a different decorative class for for
[00:57:50.360 --> 00:57:54.360]   ipad safari, but it is safari it should just be allowed to be safari
[00:57:54.360 --> 00:57:59.080]   Because i podcast selfishly. I just want multi track recording the way we have video recording
[00:57:59.080 --> 00:58:01.560]   Um, also you can't deploy app store apps
[00:58:01.560 --> 00:58:07.640]   Using an ipad for ipad and I think if you look at adobe's approach where they take it's real photoshop
[00:58:07.720 --> 00:58:10.040]   It's not full photoshop, but it's real photoshop
[00:58:10.040 --> 00:58:18.520]   And if you had real but not full xcode with some sort of online managed environment and developers could at least access their apps and work on subsets of their projects
[00:58:18.520 --> 00:58:23.240]   That would be tremendous and the last one is that I still can't just lend my ipad to somebody
[00:58:23.240 --> 00:58:25.640]   And I believe apple was working on a guest board
[00:58:25.640 --> 00:58:30.760]   I don't know what the status of it is but just being able to hand off my ipad to a different user and have like icloud user accounts
[00:58:30.760 --> 00:58:33.400]   Those six things would make
[00:58:33.400 --> 00:58:35.560]   And of course, yeah, I want final cut for ipad
[00:58:35.560 --> 00:58:39.480]   But just those six things by themselves would make it infinitely usable for me
[00:58:39.480 --> 00:58:42.200]   Yeah, I think for me the number one thing is mouse
[00:58:42.200 --> 00:58:47.000]   Like I I can't there's just a lot of precision where I need to have the cursor in one place
[00:58:47.000 --> 00:58:49.880]   And I need to be able to see what i'm doing while i'm doing it with the cursor
[00:58:49.880 --> 00:58:55.080]   and there's a there's just um, there are things that i'm doing with applications that
[00:58:55.080 --> 00:59:01.240]   uh require a level of precision that I can't get with the ipad and I think that's the thing that keeps me
[00:59:01.240 --> 00:59:04.520]   That's when I go back because i've been measuring that is like when do I go back to my laptop?
[00:59:04.520 --> 00:59:07.240]   When I go back to my laptop if I need to use a mouse or a trackpad. Yeah
[00:59:07.240 --> 00:59:09.800]   I
[00:59:09.800 --> 00:59:14.680]   Renee really hit it on the head. We could have written this exact same piece and the number one thing is
[00:59:14.680 --> 00:59:18.360]   Some sort I won't say necessarily a trackpad or mouse
[00:59:18.360 --> 00:59:22.120]   But an alternative way of being able to interact with the
[00:59:22.120 --> 00:59:30.920]   with the user interface without necessarily having to reach up and touch the screen because the very very very best apps that are out there
[00:59:30.920 --> 00:59:33.240]   have brilliant multi touch
[00:59:34.440 --> 00:59:35.800]   uh, vocabularies
[00:59:35.800 --> 00:59:40.200]   but also if you're really doing lots of super productive screens things the
[00:59:40.200 --> 00:59:43.560]   Uh, the glass screen the glass keyboard is going to do for it
[00:59:43.560 --> 00:59:45.320]   I really think it is
[00:59:45.320 --> 00:59:47.960]   as some sort of a way of uh of adding trackpad support
[00:59:47.960 --> 00:59:52.200]   But if they were to come up with something that was just as good that would be perfectly fine by me
[00:59:52.200 --> 00:59:54.600]   And also if all they did was have the files app
[00:59:54.600 --> 01:00:01.800]   Make the forgive the files app the own the the the sole power in the entire platform
[01:00:02.040 --> 01:00:05.080]   To simply mount a file system through usb
[01:00:05.080 --> 01:00:12.440]   Uh, if if all if I always had to go to files in order to take this usb key thing that i've got that someone just handed me
[01:00:12.440 --> 01:00:18.760]   Or take this sd card and and basically should have it the the have the files app look at it say that okay
[01:00:18.760 --> 01:00:23.080]   This is ntfs. I can deal with ntfs. Okay. This is my this is a mac file system
[01:00:23.080 --> 01:00:27.160]   I can deal with a mac file system. I don't see that there's anything wrong with this file
[01:00:27.240 --> 01:00:31.560]   I'm going to let this appear to files and then i'm going to let the files share to other apps
[01:00:31.560 --> 01:00:36.920]   I can see that that would also solve all of these like three times a year, but absolutely
[01:00:36.920 --> 01:00:40.200]   brings a workflow to a crushing halt
[01:00:40.200 --> 01:00:45.560]   Problems, uh, and the third thing is I would love to see apple be able to
[01:00:45.560 --> 01:00:47.480]   at least to
[01:00:47.480 --> 01:00:54.280]   Consider different form factors for the ipad the idea of a screen and a keyboard separated by a hinge
[01:00:54.680 --> 01:00:59.160]   Is a super powerful concept that I would love to see apple
[01:00:59.160 --> 01:01:04.200]   Do some work on and I know that there are really great third party alternatives out there
[01:01:04.200 --> 01:01:08.440]   But they almost all use bluetooth and bluetooth is not nearly as good as having a
[01:01:08.440 --> 01:01:13.480]   In having an innate connection between the two things and also the fact that there are so many
[01:01:13.480 --> 01:01:20.360]   Really sophisticated and well developed third party solutions to making an ipad work like a laptop
[01:01:20.600 --> 01:01:24.440]   Only underscores how many people want to use the ipad
[01:01:24.440 --> 01:01:28.440]   in a physical form factor the way that a laptop works so
[01:01:28.440 --> 01:01:36.120]   It's there there's solvable problems. I don't I I wonder if apple is capable of just dogmatically
[01:01:36.120 --> 01:01:44.120]   Creating a trackpad interface to an ipad. I feel as though this is like a
[01:01:44.120 --> 01:01:50.200]   Catholic in the 1950s eating meat on fridays. There's nothing stopping them from doing that
[01:01:50.520 --> 01:01:56.520]   But dogmatically it is a repugnant idea and they just don't see any reason why they would want to do that
[01:01:56.520 --> 01:01:59.000]   Which would be kind of sad
[01:01:59.000 --> 01:02:04.040]   I should point out before we get the emails there is a trackpad on the on-screen keyboard if you press and hold you can
[01:02:04.040 --> 01:02:08.280]   But that's the thing like they have focus ui on apple t like again
[01:02:08.280 --> 01:02:15.240]   I hate presenting solutions, but apple tv has focus ui and you can imagine a world where there are arrow keys and a capacitive touch bar
[01:02:15.640 --> 01:02:19.800]   Facebar that you can use to manipulate it all of these things make it more complex though, right?
[01:02:19.800 --> 01:02:24.520]   I think apple doesn't want to make it more complex. Don't make it more complex. We have a trackpad and software
[01:02:24.520 --> 01:02:26.200]   Yeah
[01:02:26.200 --> 01:02:29.160]   Oh, yeah, but but but the but the correct pads only for like tech selection
[01:02:29.160 --> 01:02:32.760]   It's not as though you can navigate between apps and do things like that
[01:02:32.760 --> 01:02:37.080]   I know apple tv they do because you use this here. I mean they have all these parts
[01:02:37.080 --> 01:02:43.080]   So that these things the correct pad it is it it is there may be this dogmatic thing going up for instance
[01:02:43.720 --> 01:02:46.920]   The things that I have problems with are easily fixed by apple
[01:02:46.920 --> 01:02:52.920]   Like the fact that the apple folio keyboard doesn't light up. It's like yeah, that's kind of bad
[01:02:52.920 --> 01:02:59.640]   But it feels like they intentionally didn't do that. I mean I know that bridge or logic tech and others will make keyboards that light up
[01:02:59.640 --> 01:03:01.640]   But apples does not
[01:03:01.640 --> 01:03:03.640]   It's other things like in apple news
[01:03:03.640 --> 01:03:09.000]   And this is completely personal, but my workflow is to bookmark the stories as i'm reading the news
[01:03:09.000 --> 01:03:13.160]   There's no easy way the share sheet doesn't offer that there's no easy way for me to do that
[01:03:13.560 --> 01:03:15.560]   It makes apple news impossible for my work
[01:03:15.560 --> 01:03:17.480]   Flow
[01:03:17.480 --> 01:03:21.080]   Uh, and actually google news does work. Although it takes an extra step
[01:03:21.080 --> 01:03:23.640]   Didn't they have a star or something that you could tap along the bottom?
[01:03:23.640 --> 01:03:25.560]   Do they take that away because I don't have it in Canada?
[01:03:25.560 --> 01:03:27.480]   I have to double check. I don't know it doesn't
[01:03:27.480 --> 01:03:29.880]   I maybe i'm not looking in the right place
[01:03:29.880 --> 01:03:34.760]   But the the issue for what I want to do is something I can do easily on a laptop
[01:03:34.760 --> 01:03:39.080]   In a browser, which is be reading a new story and then bookmark it in pinboard
[01:03:39.080 --> 01:03:41.400]   Which is the where I put the stories we're going to cover
[01:03:41.880 --> 01:03:44.600]   Uh, and that I've found that impossible do in apple news
[01:03:44.600 --> 01:03:48.920]   But I don't think it's I think it's honestly because they want to keep it simple
[01:03:48.920 --> 01:03:54.760]   They don't want to you know, it's it's more they not that they can't it's not that they can't put a lighted keyboard on the
[01:03:54.760 --> 01:03:57.160]   But for some reason dogmatically
[01:03:57.160 --> 01:03:59.640]   They have a sense of what this should be
[01:03:59.640 --> 01:04:04.520]   They they have a the apple has a point of view and that's something that I absolutely value them for
[01:04:04.520 --> 01:04:08.280]   It's just that sometimes their point of view difference differs from my own
[01:04:08.760 --> 01:04:13.560]   Uh, and unfortunately, I can't fault them and praise them for the same thing
[01:04:13.560 --> 01:04:17.960]   I they they have a good idea in their head of what an ipad is and what it isn't
[01:04:17.960 --> 01:04:22.920]   My opinion is that sometimes that limits the potential of what they could do with this platform
[01:04:22.920 --> 01:04:28.760]   But it also means that we're not going to have the the ipad centros 640 versus the ipad
[01:04:28.760 --> 01:04:33.400]   Centros 670 c version that are is kind of similar but not really
[01:04:33.400 --> 01:04:37.320]   Uh, I do like the fact that ios is really one ecosystem
[01:04:37.560 --> 01:04:41.160]   That can buy one app that works on pretty much everything and gives me the same experience
[01:04:41.160 --> 01:04:44.520]   But like I said, there's there's potential here that if apple
[01:04:44.520 --> 01:04:51.640]   If apple forgot that they ever talked about the the toaster of the the toaster fridge and
[01:04:51.640 --> 01:04:56.600]   Society that a to a fridge with a water dispenser and an ice maker though
[01:04:56.600 --> 01:04:59.240]   That's something maybe you're not actually
[01:04:59.240 --> 01:05:05.480]   Complicating things with features, but you're actually enhancing something in a way that people will actually like apple
[01:05:05.480 --> 01:05:10.520]   I thought they discontinued the think capsule or the time capsule in the airport long ago, but apparently
[01:05:10.520 --> 01:05:16.920]   They have they've they announced that they weren't doing any new development long ago now. They don't even sell it
[01:05:16.920 --> 01:05:21.960]   So which is too bad because there's still people who love that thing and it isn't that far
[01:05:21.960 --> 01:05:24.600]   Out of date or anything. I just think well
[01:05:24.600 --> 01:05:26.920]   Compared to
[01:05:26.920 --> 01:05:31.720]   That was that was a mercy killing because so many companies have been doing so much great work
[01:05:32.040 --> 01:05:36.920]   Like that went so far past what apple was doing and was it wasn't stuff that apple couldn't do
[01:05:36.920 --> 01:05:40.360]   It's just that they really weren't they really weren't interested in doing
[01:05:40.360 --> 01:05:43.240]   Doing with their own networking products
[01:05:43.240 --> 01:05:47.960]   What like makers of mesh products were doing or even just what makers of a modern
[01:05:47.960 --> 01:05:54.600]   Wi-Fi base station we're doing so that's I think these are the it's it's I call them mercy killing because I
[01:05:54.600 --> 01:05:59.400]   Shutter to think about all the people who were just thought that while i'm in the apple store
[01:05:59.400 --> 01:06:02.200]   I need a i'm by i need a Wi-Fi base station web
[01:06:02.200 --> 01:06:07.880]   The apple the apple version must be the best one since i'm also buying this mac book and also buying this mac mini
[01:06:07.880 --> 01:06:13.000]   It's like oh no, you're essentially buying a night stuck at 2015
[01:06:13.000 --> 01:06:21.160]   Wi-Fi router and now we've got we've got warp engines and we've got hollow decks and you're still like on impulse powers
[01:06:21.160 --> 01:06:23.240]   That's for the same amount of money
[01:06:24.440 --> 01:06:27.480]   Our show today brought to you by gazelle if you are ready
[01:06:27.480 --> 01:06:31.720]   You've been listening and you're ready to step up to a new iphone or a new ipad
[01:06:31.720 --> 01:06:39.560]   Why uh, why not sell your old stuff get cash for and then buy the new device gazelle is the trusted
[01:06:39.560 --> 01:06:43.560]   online marketplace for buying and selling use
[01:06:43.560 --> 01:06:49.720]   Electronics really all started with selling it's a great place to go to find it still is to find out what your device is worth
[01:06:49.720 --> 01:06:51.480]   You get a quote right away
[01:06:51.480 --> 01:06:56.760]   Shipping is free payment is fast and they don't just take iphones they take samsung phones
[01:06:56.760 --> 01:07:02.760]   They take ipads they take a lot of so go to s gazelle.com and get a quote at least find out
[01:07:02.760 --> 01:07:08.760]   Now if you're looking that's to sell but if you're looking to buy they also have and this is a great thing for
[01:07:08.760 --> 01:07:15.480]   Kid, uh, you know who might you know not be as careful with the phone as you'd like or maybe you weren't and you need a new
[01:07:15.480 --> 01:07:18.600]   Replacement get a pre-owned device, but it's certified
[01:07:19.160 --> 01:07:22.120]   You choose the quality they have iphone six through ten
[01:07:22.120 --> 01:07:24.440]   iPad airs
[01:07:24.440 --> 01:07:32.360]   Standards minis ipad pros you bet they have macbook air and pro they even cater to and red users with a variety of samsung galaxy phones
[01:07:32.360 --> 01:07:38.120]   It's a great place to get a device fully inspected backed of course by a 30-day return policy
[01:07:38.120 --> 01:07:43.560]   They work on all the major carriers, but they're sold without contract and you can even finance it
[01:07:43.560 --> 01:07:48.600]   They have a firm right at checkout so you can get a instantly improved and paid it off in three six or 12 months
[01:07:49.160 --> 01:07:55.160]   So it's a really simple way to do it by selecting financing with a firm at checkout gazelle.com
