
[00:00:00.000 --> 00:00:03.620]   It's time for Mac break weekly Rene Richie and Andy and not go over here
[00:46:07.960 --> 00:46:13.160]   I see I just also have not very often. I'm super like I'm going in and out there a day with not a day with not a lot of people like us
[00:46:13.160 --> 00:46:15.080]   It doesn't happen very often to people like us
[00:46:15.080 --> 00:46:21.800]   Actually, it's a bike a bike guy named rene richy is not liable to be hassled by I don't know he looks kind of dangerous and
[00:46:21.800 --> 00:46:24.600]   Not carrying bags to me seems like you're more dangerous
[00:46:24.600 --> 00:46:28.600]   Because no so I did I had this for a while when I was transiting like it all
[00:46:28.600 --> 00:46:34.200]   They asked me what you do for a living and previously I was in web development and that would trigger every time I get moved into another room
[00:46:34.280 --> 00:46:38.520]   And interrogated it because really thought I was going to work illegally in the u.s. Oh, they were more worried about that
[00:46:38.520 --> 00:46:46.120]   Yeah, absolutely, but and especially if I didn't shave they were just like, okay, if he get over there until I had that problem going into Canada
[00:46:46.120 --> 00:46:51.960]   Because if you if they think you're going to make money and can't into Canada same problem. They don't want you to do that
[00:46:51.960 --> 00:46:56.280]   So what I was always told is don't don't tell them you're making any money
[00:46:56.280 --> 00:46:59.320]   You're making a television appearance for free
[00:46:59.880 --> 00:47:06.680]   But if I said I am going to go up there's a paid host. It was problematic. I actually had to get a letter and a visa and
[00:47:06.680 --> 00:47:08.680]   I can't they hire a comedian host
[00:47:08.680 --> 00:47:13.400]   Precisely and so what people into tech industry and maybe I shouldn't be saying that people in tech industry in canada
[00:47:13.400 --> 00:47:16.280]   I've learned to do is say that you're going down there to train your american replacement
[00:47:16.280 --> 00:47:19.160]   And then they're super happy to let you in
[00:47:19.160 --> 00:47:25.640]   Okay, good to know I wish I was joking
[00:47:26.040 --> 00:47:31.160]   I was told also never say you're a journalist, but I you know, I don't I always say I'm a journalist. That's okay
[00:47:31.160 --> 00:47:38.520]   I'm gonna celebrate it. All right. We've got a big question here and we talked a little bit about an iOS today
[00:47:38.520 --> 00:47:40.200]   I bet you a
[00:47:40.200 --> 00:47:44.120]   Steve Gibson will talk a little bit about it on a security now later in the day
[00:47:44.120 --> 00:47:52.440]   You know where I'm going with this we're gonna take a little break and then talk about the hacker who says I have decrypted apples secure on clave
[00:47:52.440 --> 00:47:54.600]   is that
[00:47:54.600 --> 00:47:56.600]   problematic
[00:47:56.600 --> 00:48:01.480]   And meanwhile, let's watch an ad from Volvo. I don't know why this is playing on my screen. Thank you
[00:48:01.480 --> 00:48:06.200]   Alio, I just lost electricity, but I have about 45 minutes of backup. You're kidding back
[00:48:06.200 --> 00:48:10.200]   We're having a major storm here and it just everything went out, but I have about 45 minutes of all right
[00:48:10.200 --> 00:48:15.160]   All right. We're gonna move fast here because we need to have Renee's comment on this our show
[00:48:15.160 --> 00:48:17.560]   Yikes
[00:48:17.560 --> 00:48:21.160]   Thank you. You have big battery backup if you get 45 of them. Yeah, wow
[00:48:21.960 --> 00:48:26.120]   Our show today brought to you by cap terra so many times people say you're the tech guy
[00:48:26.120 --> 00:48:30.680]   You're a geek. You should know I have a medical office. What's the best software? I go. I don't know
[00:48:30.680 --> 00:48:34.360]   I am a web designer. What's the best? I don't know
[00:48:34.360 --> 00:48:37.320]   Now I have somewhere I can send them cap terra
[00:48:37.320 --> 00:48:40.360]   t-e-r-r-a
[00:48:40.360 --> 00:48:43.720]   Dot com cap terra is a totally free
[00:48:43.720 --> 00:48:50.920]   Software comparison site for business software and I don't care what business any business
[00:48:51.320 --> 00:48:56.760]   Are you running a church a construction site? Are you doing customer relationship management or e-commerce?
[00:48:56.760 --> 00:49:02.840]   Do you need help with your help desk or do you want to learn how to run a learning management system?
[00:49:02.840 --> 00:49:06.680]   Maybe you're a maintenance worker and you just can't maintain your software
[00:49:06.680 --> 00:49:11.400]   If you go right now to cap terra dot com slash mac break you will find
[00:49:11.400 --> 00:49:21.240]   400 categories of business software to choose from in almost every category hundreds of apps and the information you need to
[00:49:21.320 --> 00:49:23.960]   Choose the right one. Let's say let's say I need
[00:49:23.960 --> 00:49:27.720]   maintenance management. I don't even know what maintenance management is
[00:49:27.720 --> 00:49:31.800]   But let's say I need it go show my screen. There you go
[00:49:31.800 --> 00:49:35.960]   So I just clicked that category now of course immediately I get look at all these apps
[00:49:35.960 --> 00:49:41.080]   Somebody knows what maintenance management is there's hundreds of apps. Well, that's each by the way each
[00:49:41.080 --> 00:49:46.280]   Entry has a description and so forth, but that's not let's make it a little easier. Let's narrow it down
[00:49:46.280 --> 00:49:52.040]   Let's say we only want to see by the way. There's more than 200,000 reviews by real users on this site
[00:49:52.040 --> 00:49:54.280]   so we're gonna narrow it down to only
[00:49:54.280 --> 00:49:58.200]   Only the the apps that have four or more stars
[00:49:58.200 --> 00:49:59.960]   And how many users?
[00:49:59.960 --> 00:50:03.960]   Well, there's only two of us in the department to nine of us or whatever you pick the number of users
[00:50:03.960 --> 00:50:08.600]   Do you want this to be web based or do you want it to be installed in your hard drive?
[00:50:08.600 --> 00:50:15.000]   Let's run a web based one. That's easy. What do you need key in lock management? Sure planning calendar? Yeah preventative maintenance calendar
[00:50:15.400 --> 00:50:19.800]   Purchasing scheduling click the features you want press the filter button
[00:50:19.800 --> 00:50:23.960]   And now you've narrowed it down to just those apps that do exactly what you want
[00:50:23.960 --> 00:50:25.640]   Take a look at them
[00:50:25.640 --> 00:50:30.680]   click the add to compare button to add up to four of them to a comparison chart
[00:50:30.680 --> 00:50:34.280]   And now you can really drill down
[00:50:34.280 --> 00:50:40.920]   And find just oh, how did you hear about it? Oh on a podcast. Oh, oh, oh Mac break
[00:50:40.920 --> 00:50:45.320]   That's what you should do if they ask you. That's all we ask. It's free in every other respect
[00:50:45.720 --> 00:50:50.760]   So look at i've got a comparison chart that says, you know, exactly how much it costs
[00:50:50.760 --> 00:50:55.720]   What it's you know what it runs on what its features are screen shots
[00:50:55.720 --> 00:51:00.520]   But here's the thing that's most useful customer reviews and ratings
[00:51:00.520 --> 00:51:05.400]   You're going to love this. There's no reason to google it to ask somebody
[00:51:05.400 --> 00:51:11.160]   Just go to keptterra.com/macbreak. This is the smartest way to find business software
[00:51:11.720 --> 00:51:15.960]   Millions of people use keptterra every month and i'm i'm i'm on it emphasizes
[00:51:15.960 --> 00:51:17.960]   Not only is it free
[00:51:17.960 --> 00:51:20.840]   You don't give them your email address. You don't have to sign up
[00:51:20.840 --> 00:51:26.600]   It's just a directory of great software with great reviews by people just like you
[00:51:26.600 --> 00:51:31.560]   keptterra if you're looking for business software capterra.com
[00:51:31.560 --> 00:51:38.120]   slash mac break and if the little pop-up comes up as it did for me and they say well how'd you hear about us
[00:51:38.280 --> 00:51:41.800]   You say podcast and mac break right right yes, yes
[00:51:41.800 --> 00:51:47.560]   All right rene richy power almost out. Let's see if we can get this in under the wire
[00:51:47.560 --> 00:51:53.800]   And off again twice so far so my fingers are more. Well, it's good. You have it's actually really good. You have upc's. Yeah, upc
[00:51:53.800 --> 00:51:55.720]   um
[00:51:55.720 --> 00:51:57.240]   Guy named zirib
[00:51:57.240 --> 00:52:00.920]   Has released what he claims to be the decryption key
[00:52:00.920 --> 00:52:04.520]   for apples secure enclave
[00:52:07.080 --> 00:52:11.480]   Well, so the decryption not for the so apple's got a secure encryption processor a sep
[00:52:11.480 --> 00:52:17.720]   And this isn't the key for the sep this is the key for the obfuscation layer around the sep
[00:52:17.720 --> 00:52:22.120]   And the way i tried to describe it is if you imagine apple has this bank vault
[00:52:22.120 --> 00:52:27.160]   They've got a black curtain in front of it so that you can't tell what kind of vault it is and that makes it just much
[00:52:27.160 --> 00:52:31.400]   A little bit harder. There's always security through obscurity is generally derided
[00:52:31.400 --> 00:52:37.000]   But it's it's it's part of a good defense in depth which means you have multi layer multiple layers to your security and one
[00:52:37.080 --> 00:52:42.120]   Of the layers they had was this obfuscation this wrapper around it that made it heart made it impossible for anyone
[00:52:42.120 --> 00:52:46.840]   To see what was going on in the sep and to start poking around in it and he found the key to that
[00:52:46.840 --> 00:52:49.240]   So he's been able to pull off this curtain for example
[00:52:49.240 --> 00:52:55.320]   And now you can see the actual sep none of the security is all still there. No user data was compromised as far as we know
[00:52:55.320 --> 00:53:02.680]   No one's breached it. It's just now he and you know white hat and black hat hacker is alike can actually see what the sep is
[00:53:02.840 --> 00:53:06.040]   Well, but they can see the firmware too, right? And it means they can start to
[00:53:06.040 --> 00:53:10.200]   Bank and they can hack on it. Yeah before it was off you so yeah
[00:53:10.200 --> 00:53:14.920]   So it was obfuscated before now it's revealed and if
[00:53:14.920 --> 00:53:18.680]   I can bet there are hundreds if not thousands of hackers
[00:53:18.680 --> 00:53:24.840]   Looking at it trying to find flaws in it and the reason is there's a lot of money to be made there, right?
[00:53:24.840 --> 00:53:31.880]   Well, it's and it's not necessarily a bad thing of if we if he was able to crack through this
[00:53:32.680 --> 00:53:34.680]   Peel that curtain behind
[00:53:34.680 --> 00:53:39.560]   Peel back that curtain. That's not to say that's other people have not done it previously
[00:53:39.560 --> 00:53:44.600]   But just simply regarded that information as way too valuable to share with anybody so
[00:53:44.600 --> 00:53:53.320]   If it exposes the if it exposes another layer to let the good hackers look for vulnerabilities that apple hasn't found yet
[00:53:53.320 --> 00:53:55.640]   That's not necessarily a bad thing
[00:53:55.640 --> 00:54:01.720]   But it's nothing nothing for anybody to worry about as yet, but it's certainly a landmark data point
[00:54:01.720 --> 00:54:08.600]   Yeah, this is what zerob the checker says the fact that the by the way the secure enclave is where touch ID goes
[00:54:08.600 --> 00:54:13.480]   It's where passwords are stored. It's where all the secret stuff is stored in a secure enclave
[00:54:13.480 --> 00:54:15.480]   So that's separate from the rest of the operating system
[00:54:15.480 --> 00:54:19.400]   It's not it's not it's not the it's not the your secret stuff that could be compromised
[00:54:19.400 --> 00:54:24.360]   It's the code that apple put together to keep the stuff secret that could have been exposed
[00:54:24.840 --> 00:54:28.680]   Which means that if there is a problem in there that can be exploited now
[00:54:28.680 --> 00:54:34.440]   It's one step easier for someone to find that problem. Here's what zerob says the fact that the sep was hidden behind a key
[00:54:34.440 --> 00:54:40.120]   Worries me is apple not confident enough to push the secure enclave
[00:54:40.120 --> 00:54:43.640]   Decrypted as they did with kernals past ios 10
[00:54:43.640 --> 00:54:49.640]   Yes, that's I mean that's a false equivalency the reason they decrypted it was it was a performance enhancement
[00:54:49.640 --> 00:54:54.200]   They they found out that the act of decrypting it was doing just enough to slow down the processes
[00:54:54.200 --> 00:54:55.640]   They wanted they left it decrypted
[00:54:55.640 --> 00:55:00.520]   They thought there was no threat to user data because it didn't touch any user data and it was an advantage to performance
[00:55:00.520 --> 00:55:03.800]   So for them it was a net win where this again is at defense in depth
[00:55:03.800 --> 00:55:07.560]   I mean paradise island has that cloaking device and if you get through that cloaking device
[00:55:07.560 --> 00:55:10.360]   You still got to fight the amazon's and and you know busting to the castle
[00:55:10.360 --> 00:55:12.760]   But that cloaking device stops you from even having to do that
[00:55:12.760 --> 00:55:18.360]   And this is same way you might have a gate before you get to the alarm before you get to the front door before you get to all these other things
[00:55:18.360 --> 00:55:21.160]   It was just one more layer of protection. So now
[00:55:22.520 --> 00:55:27.720]   People will be analyzing the firmware trying to find holes in it. Zareb says I think public scrutiny will add
[00:55:27.720 --> 00:55:31.400]   To the security of the secure enclave in the long run
[00:55:31.400 --> 00:55:37.400]   Because people will be analyzing it and trying to find holes and as they do and you know, I have to point out
[00:55:37.400 --> 00:55:40.440]   It's rare that the piece of software that doesn't have flaws
[00:55:40.440 --> 00:55:43.160]   uh, they can be patched and fixed unless
[00:55:43.160 --> 00:55:50.520]   And this is the reason they'll be a gold rush trying to break this stuff down the hacker sells it to the nsa or the cia
[00:55:50.760 --> 00:55:55.160]   Or to the mafia or somebody who doesn't want to disclose it, but instead wants to use it
[00:55:55.160 --> 00:56:02.920]   Uh, and that's the real risk. This is why apple's bug bounty program is so important and really frankly why they should be spending more money not less
[00:56:02.920 --> 00:56:08.440]   They are not coming even close to you know with a hundred thousand dollars to the millions of dollars that
[00:56:08.440 --> 00:56:11.640]   A bad actor will pay or a government will pay for these
[00:56:11.640 --> 00:56:15.000]   Flaws. Yeah, also not not just paying for those flaws
[00:56:15.000 --> 00:56:20.680]   But also paying for the secrecy of these flaws because remember that if there's if there's a vending machine
[00:56:20.760 --> 00:56:25.000]   Somewhere on campus that will give you three cokes for one dollar instead of one coke for a dollar
[00:56:25.000 --> 00:56:28.280]   You don't want to tell anybody that exists or else they'll fix that machine
[00:56:28.280 --> 00:56:31.480]   So whenever you get a security problem with the device
[00:56:31.480 --> 00:56:37.880]   That's your if my job is to get into people's phones. I want to keep that flaw intact
[00:56:37.880 --> 00:56:41.480]   So I don't I don't want to sell it to anybody. I don't want it to give it away to anybody
[00:56:41.480 --> 00:56:43.000]   I certainly don't want to claim
[00:56:43.000 --> 00:56:48.120]   essentially a tesla s sticker price for uh for it because I could that's basically
[00:56:48.760 --> 00:56:52.920]   That's that's giving away my ability to charge people 300 000 a shot
[00:56:52.920 --> 00:56:56.760]   To get into things and not have to tell anybody how I was doing it
[00:56:56.760 --> 00:56:59.160]   So it's a it's a very very serious problem
[00:56:59.160 --> 00:57:04.120]   And I but I tend to think that the more people know about this flaw the more
[00:57:04.120 --> 00:57:08.520]   The greater the chance that one of the good hackers is going to expose it in such a way
[00:57:08.520 --> 00:57:12.360]   That either people are warned the hell off of trusting this or
[00:57:12.360 --> 00:57:16.280]   The manufacturer is in a position to really not only fix it
[00:57:16.280 --> 00:57:19.560]   But also make sure it's damn fixed and make sure everybody knows it's fixed
[00:57:19.560 --> 00:57:24.360]   The article in tech republic goes on to say that apple has no intention of fixing this
[00:57:24.360 --> 00:57:27.560]   That would be a big deal for apple to do because they would have to
[00:57:27.560 --> 00:57:32.520]   Change the encryption key in in all I mean it just is not going to happen
[00:57:32.520 --> 00:57:38.120]   They'll do a different key in next generation iPhones. I'm sure they'll have a next generation set
[00:57:38.120 --> 00:57:42.040]   I wasn't a big fan of tech tech republic's article on this. I thought the they they fixed it
[00:57:42.040 --> 00:57:44.120]   They they kept fixing it throughout the day, but
[00:57:44.440 --> 00:57:47.880]   It kind of veered towards the wrong story for most of it
[00:57:47.880 --> 00:57:51.240]   I think the thing it's it's it's accurate now, which is
[00:57:51.240 --> 00:57:56.200]   The secure enclave processor handles password touch ID encryption and decryption
[00:57:56.200 --> 00:58:01.160]   It doesn't release any user data or information at all
[00:58:01.160 --> 00:58:07.320]   Yep, but it does give bad guys the opportunity now to start looking at how the secure enclave processor works
[00:58:07.320 --> 00:58:10.840]   And perhaps find holes in it. But as as of right now
[00:58:12.360 --> 00:58:17.560]   It we don't know of any holes that have been apple keeps patching stuff and there'll be a secure enclave of two or three or whatever number
[00:58:17.560 --> 00:58:19.720]   They're on next I mean it's a cat and mouse game
[00:58:19.720 --> 00:58:26.600]   Would government use this could it be a value to the government to get into your phone for instance to
[00:58:26.600 --> 00:58:29.320]   unlock a locked iPhone
[00:58:29.320 --> 00:58:32.200]   I mean usually you need multiple exploits now, right?
[00:58:32.200 --> 00:58:35.160]   Like you need you need what gets you on the device you need what escalates your privilege
[00:58:35.160 --> 00:58:40.120]   You need what releases the right now is a token. It releases a yes or no token if you're if you're authenticated
[00:58:40.120 --> 00:58:45.480]   It's right. It's it's a bunch of stuff they need to do my my understanding is that this alone wouldn't do it
[00:58:45.480 --> 00:58:50.200]   The only the most the greatest use you could get would be to use this
[00:58:50.200 --> 00:58:56.520]   Use the information side of the secure enclave to create a ghost device that could pretend to be
[00:58:56.520 --> 00:58:59.640]   authentication, but it's not it wouldn't be
[00:58:59.640 --> 00:59:05.880]   There are other techniques that would be way way easier than that as far as my knowledge of this system goes
[00:59:06.840 --> 00:59:10.760]   It's too late now, but if you found a hidden apple page
[00:59:10.760 --> 00:59:14.440]   You could get a job
[00:59:14.440 --> 00:59:19.240]   This apple page was hidden in a on a web page where was it hidden?
[00:59:19.240 --> 00:59:22.520]   That's just it wasn't it wasn't really hidden. It was just
[00:59:22.520 --> 00:59:27.480]   There's if you do if you run any utility that basically does web traces that basically says here
[00:59:27.480 --> 00:59:31.320]   Here are the URLs that are being requested from the software that's on your machine
[00:59:31.320 --> 00:59:32.920]   uh
[00:59:32.920 --> 00:59:37.080]   There are a lot of machines that apple uses for iCloud for basically all of its services
[00:59:37.080 --> 00:59:42.760]   And so if you just say oh, I wonder what blah blah blah blah blah for dot apple dot whatever
[00:59:42.760 --> 00:59:48.360]   Funny let's cut that out. Let's paste it into a let's open that URL and that's literally the front page
[00:59:48.360 --> 00:59:52.120]   So it's not like this wasn't matthew broader at getting into ctech
[00:59:52.120 --> 00:59:59.480]   Astronomer anything like that. It was pretty easy. It's pretty cool. The guy who had discovered his equitica used a tool called burp
[00:59:59.960 --> 01:00:05.000]   suite a traffic analyzer intercept data between several iphone apps to see what kind of
[01:00:05.000 --> 01:00:12.120]   Personal data was being sent along to advertisers. That's something that's widely done with wire shark and other analyzers as well
[01:00:12.120 --> 01:00:17.000]   Among the stream of connections to analytics sites and advertisers used to track a user's app consumption
[01:00:17.000 --> 01:00:25.480]   There were several outbound connections to an apple server which the company uses to host iCloud data such as customers photos and videos
[01:00:25.880 --> 01:00:32.280]   And he was just smart enough to say hmm. I wonder what this us east one dot blob store dot apple dot com points to
[01:00:32.280 --> 01:00:37.880]   And it pointed to an ASCII page with a job offer. Hey there. You found us
[01:00:37.880 --> 01:00:42.200]   We're looking for a talented engineer to develop a critical infrastructure component
[01:00:42.200 --> 01:00:45.400]   That is to be a key part of the apple apple ecosystem
[01:00:45.400 --> 01:00:52.280]   How critical data capacity exabytes servers tens of thousands disks millions
[01:00:53.080 --> 01:00:55.080]   So it's a network engineer a
[01:00:55.080 --> 01:00:57.080]   Not hard to imagine
[01:00:57.080 --> 01:01:03.960]   Uh, wow, I think that's actually really clever. I wonder how many companies are doing things like that
[01:01:03.960 --> 01:01:10.120]   You know, I just think it's great. Yeah, like the like the last starfighter like greetings starfighter
[01:01:10.120 --> 01:01:14.280]   Then Robert Preston shows up takes into spaceship literally
[01:01:14.280 --> 01:01:17.000]   Yep, and I love it that has this ASCII apple
[01:01:17.000 --> 01:01:20.840]   And by the way the letter mostly the letters are emms capital
[01:01:22.680 --> 01:01:24.680]   So good is that funny?
[01:01:24.680 --> 01:01:28.280]   That is really cool. What do you do you make anything of that job listing?
[01:01:28.280 --> 01:01:30.920]   Uh, does it mean anything particular to any either of you?
[01:01:30.920 --> 01:01:38.120]   No, I mean anything network engineer. Yeah, good people higher level high level network architect really might be more
[01:01:38.120 --> 01:01:43.160]   Instead of a lousy old journalist, sorry
[01:01:43.160 --> 01:01:47.560]   Did you see will traffic story about acuweather along the lines of packets sniffing? No
[01:01:48.360 --> 01:01:51.160]   So acuweather is a weather app and will traffic
[01:01:51.160 --> 01:01:55.880]   Uh, you know, he's he was chronic. He was a jailbreaker and now he's doing a lot of security analysis for apps
[01:01:55.880 --> 01:02:00.680]   And he found that acuweather was sending your location data to a data uh vending company
[01:02:00.680 --> 01:02:07.160]   Every few hours are we surprised come on. This is a free program. Are you you surprised?
[01:02:07.160 --> 01:02:13.880]   And what I guess disclosure. Yeah, they should probably say but i'm sure somewhere it says your locations being shared, right?
[01:02:13.880 --> 01:02:18.040]   Oh, even when location sharing is off. Yeah
[01:02:18.200 --> 01:02:20.200]   That was the the rub. Oh
[01:02:20.200 --> 01:02:22.440]   Never mind
[01:02:22.440 --> 01:02:24.440]   Yeah, you probably shouldn't do that
[01:02:24.440 --> 01:02:30.520]   Yes, but I mean come on. I mean, we know that most of most of the free apps leak some sort of information about you
[01:02:30.520 --> 01:02:33.000]   Well, he's got a whole program now where he keeps analyzing apps
[01:02:33.000 --> 01:02:35.720]   Or this is kind of stuff and reporting and then at least you can make an informed decision
[01:02:35.720 --> 01:02:39.880]   If acuweather is valuable enough for us for you that you don't care or if you do care you can pick another weather app
[01:02:39.880 --> 01:02:42.520]   Where is that page?
[01:02:42.520 --> 01:02:45.000]   Uh, it's a it's a program i'll find it for you
[01:02:45.000 --> 01:02:49.720]   But it's a it's a service that he set up that just keeps scanning apps for what's this example bad ssl?
[01:02:49.720 --> 01:02:51.960]   What's will's hacker name again?
[01:02:51.960 --> 01:02:53.480]   at chronic on twitter
[01:02:53.480 --> 01:02:54.920]   at chronic
[01:02:54.920 --> 01:02:56.680]   verified.lee
[01:02:56.680 --> 01:02:59.880]   verified.lee. Oh, I know why yeah, I know that page
[01:02:59.880 --> 01:03:04.760]   V-er i-f
[01:03:04.760 --> 01:03:07.320]   Y dot l y or vr
[01:03:07.320 --> 01:03:13.880]   Dot l y yeah, it's v-er i-f y dot l y. There's not much up there right now. Okay, but he's doing a lot of good
[01:03:13.880 --> 01:03:17.160]   Okay allows you to scan the binary code of an iOS application
[01:03:17.160 --> 01:03:20.200]   To produce a human readable report. Oh, this looks good
[01:03:20.200 --> 01:03:25.160]   Yeah, report detailing all detected common security issues and a breakdown
[01:03:25.160 --> 01:03:27.560]   So would you have to jailbreak to use this?
[01:03:27.560 --> 01:03:33.800]   He was providing a lot of information from it, but i'm not sure what his actual model is for this yet
[01:03:33.800 --> 01:03:37.720]   Pre- well, let's see what the pricing is
[01:03:37.720 --> 01:03:40.280]   Yeah
[01:03:40.520 --> 01:03:44.360]   If you have to ask you can't afford it pricing no, it's a hundred bucks a month
[01:03:44.360 --> 01:03:46.360]   Yeah
[01:03:46.360 --> 01:03:50.440]   But I don't think this is this is you know end user facing no I think there's more
[01:03:50.440 --> 01:03:54.360]   Yeah, well, that's a good thank you for that. It's a good service. Yeah
[01:03:54.360 --> 01:03:57.320]   And I did not did not know
[01:03:57.320 --> 01:04:03.800]   And he's very good if you follow him on twitter. He's not sensational at all a lot of times the security stories come out and he says no stop panic
[01:04:03.800 --> 01:04:08.280]   There's no no relationship between these things or there's how do you spell his candle?
[01:04:08.840 --> 01:04:11.800]   H R O N I C. Oh
[01:04:11.800 --> 01:04:15.320]   accurately
[01:04:15.320 --> 01:04:17.960]   There he is
[01:04:17.960 --> 01:04:20.120]   Here and he just published a
[01:04:20.120 --> 01:04:26.840]   Article called 76 popular apps confirmed vulnerable to silent interception of TLS protected data yikes
[01:04:26.840 --> 01:04:31.800]   Yeah, no, it's good stuff. It's great to get like a lot of attention to this following him
[01:04:31.800 --> 01:04:37.240]   And then I always love it when you follow somebody like that you always get some great suggestions for other people
[01:04:38.040 --> 01:04:44.600]   That might be a handy to follow stiff and ester is the opposite. He's also brilliant, but he is so pessimistic. He's gloomy
[01:04:44.600 --> 01:04:50.920]   Yeah, he's like all the seppas got the seppas. You know, we don't know now. Maybe they got the whole thing and the world is ending
[01:04:50.920 --> 01:04:53.240]   It's all over. It's all over
[01:04:53.240 --> 01:04:58.680]   All right, this is good stuff. Good stuff. The info sec world is amazing
[01:04:58.680 --> 01:05:02.680]   I know I love it
[01:05:02.680 --> 01:05:05.560]   Uh
[01:05:06.600 --> 01:05:14.280]   I'm sorry. I was just reading it airpods. Good news. Did you want some? Well now you're only two to three weeks out from your very own
[01:05:14.280 --> 01:05:18.120]   This is it. This has really been an amazing story
[01:05:18.120 --> 01:05:22.920]   And I don't know if the credit goes to the massive success of airpods
[01:05:22.920 --> 01:05:28.680]   I don't see a lot of people walking around with them or just for the incredible difficulty in manufacturing them
[01:05:28.680 --> 01:05:31.400]   Some vendors have them in stock right now
[01:05:32.840 --> 01:05:39.960]   I think it's I think it's reject rate. I think that it's of especially it's a really hard problem to get that battery
[01:05:39.960 --> 01:05:46.200]   Fitting inside there and also making sure that when it's heated up and constructed again. It doesn't
[01:05:46.200 --> 01:05:49.560]   You know pull apart. It doesn't create any problems. I think
[01:05:49.560 --> 01:05:55.320]   They're having a lot of them. Any other company would just ship them all and let let the users test them
[01:05:55.320 --> 01:06:00.360]   I don't yeah, I think I think coming right on the heels of the note seven
[01:06:00.840 --> 01:06:06.920]   Ignition problem when you say oh by the way, we're gonna we have a lot of the battery can put actually inside your ear canal with
[01:06:06.920 --> 01:06:13.000]   Insert it into the thermal exhaust port reading to the core of the reactor so to speak
[01:06:13.000 --> 01:06:15.400]   I think that that's a good reason to be super careful
[01:06:15.400 --> 01:06:18.120]   But I believe it to be a question of yields as opposed to
[01:06:18.120 --> 01:06:23.800]   Strictly being able to turn out as many as they could possibly can but it's amazing. It's a hard product to make. Yeah
[01:06:23.800 --> 01:06:28.040]   Yeah, it's amazing that this thing is almost a year old and it's still not
[01:06:28.360 --> 01:06:35.880]   Welcome to store pick it up and get it next day. So I'm sure that I'm sure that various people inside apple are having kittens over this even still
[01:06:35.880 --> 01:06:41.240]   Hey, by the way, thanks to copy in our chat room who says this is nothing new burying
[01:06:41.240 --> 01:06:45.240]   Wann ads in secret parts of web pages the guardian
[01:06:45.240 --> 01:06:52.920]   Has did it in 2015 with some with a javascript based job ad buried on its page. It's aske art as well
[01:06:52.920 --> 01:06:57.800]   I guess that's the the thing to do and this article says that flicker and uber
[01:06:58.440 --> 01:07:02.040]   Have have also as well as google have also done this hiding
[01:07:02.040 --> 01:07:06.440]   Job listings in there. Here's the new york times in pinterest
[01:07:06.440 --> 01:07:13.080]   Uh have a hidden message for developers. This is cool. And it I guess the thing is you got to do it aske or it's no good, right?
[01:07:13.080 --> 01:07:18.120]   Well, you can't I don't I don't I don't think that java
[01:07:18.120 --> 01:07:22.040]   Dotjs file support emoji yet hip chat has done it
[01:07:22.040 --> 01:07:24.840]   nozilla ebay
[01:07:24.840 --> 01:07:26.840]   Pinterest
[01:07:27.000 --> 01:07:33.720]   Why not it's fantastic. I think it's a great idea if somebody's well so first of all if you're looking for work
[01:07:33.720 --> 01:07:38.200]   And you have some tech skills. I would start looking everywhere for hidden messages
[01:07:38.200 --> 01:07:41.160]   Yep
[01:07:41.160 --> 01:07:43.160]   What a great way to get a job
[01:07:43.160 --> 01:07:45.080]   I found your message
[01:07:45.080 --> 01:07:46.600]   Oh, you're hired
[01:07:46.600 --> 01:07:48.600]   You're hired my friend
[01:07:48.600 --> 01:07:51.320]   So thank you copy for passing that along
[01:07:52.520 --> 01:07:56.840]   And uh, yeah, I love my airpods. I'm very happy with them. I uh, I use them all the time
[01:07:56.840 --> 01:08:00.920]   It's not the sound because a lot of people still bristle at the idea of paying that much for sound
[01:08:00.920 --> 01:08:07.240]   But it's getting the sensors and the accelerometer and the chipsets in there and there's a ton of electronics in those things
[01:08:07.240 --> 01:08:10.120]   Yeah, they don't sound bad. It's not they're not like no
[01:08:10.120 --> 01:08:14.680]   But they're the breakthrough there is not the sound the breakthrough there is getting a lot of stuff stuffed into a tiny little
[01:08:14.680 --> 01:08:17.160]   hearing apparently
[01:08:17.160 --> 01:08:18.600]   yeah
[01:08:18.600 --> 01:08:20.600]   Uh, let's see
[01:08:21.160 --> 01:08:25.000]   We've already talked about the home pod firmware
[01:08:25.000 --> 01:08:30.760]   I give the keeps getting the yeah, the now the setup process has become obvious
[01:08:30.760 --> 01:08:35.320]   This isn't directly germane, but you know with the with a home pod coming along
[01:08:35.320 --> 01:08:40.040]   Um, I think we've talked before about how this must be scary for sonos
[01:08:40.040 --> 01:08:41.720]   Sonos
[01:08:41.720 --> 01:08:45.400]   Did something strange to me and I bet to you the other day
[01:08:46.120 --> 01:08:51.720]   It said it gave me new privacy settings. Yep in preparation for an update to come
[01:08:51.720 --> 01:08:56.680]   And apparently their new privacy policy. It says if you don't accept it
[01:08:56.680 --> 01:08:59.400]   Your device may not function
[01:08:59.400 --> 01:09:01.160]   in the future
[01:09:01.160 --> 01:09:03.160]   uh, the speculation is
[01:09:03.160 --> 01:09:04.360]   uh
[01:09:04.360 --> 01:09:06.360]   That maybe they're getting ready to
[01:09:06.360 --> 01:09:08.600]   Uh put speech in there
[01:09:08.600 --> 01:09:13.160]   Yeah, it's it's always I mean, I've never been terribly worried about
