
[00:00:00.000 --> 00:00:04.240]   It's time for Mac Break Weekly Andy and Alex are here along with Renee Richie
[00:58:33.240 --> 00:58:37.480]   Ways of go. Oh, yeah, oh, yeah, the control systems inside cars
[00:58:37.480 --> 00:58:44.120]   And essentially cars in the steering wheel that jerk to the left or a slam on the brakes or turn off the brakes entirely remotely
[00:58:44.120 --> 00:58:46.920]   I'll leave a lot of people are going to have to become really
[00:58:46.920 --> 00:58:52.360]   Much to have a different relationship with the technology before they'll trust something that's implanted even more at the point
[00:58:52.440 --> 00:58:57.720]   uh, there was going to be a presentation in the black hat hacking pacemakers, yeah
[00:58:57.720 --> 00:59:00.440]   uh, but
[00:59:00.440 --> 00:59:03.480]   You know remember in the early days one of the reasons we have security flaws in
[00:59:03.480 --> 00:59:07.880]   Desktops and we don't have it so much in mobile is because desktops were designed before these were real threats
[00:59:07.880 --> 00:59:11.480]   Right and the mobiles they knew about it and so it's they're much more secure
[00:59:11.480 --> 00:59:16.600]   And I think the medical implant devices, uh, they're going to be aware of it. It's not so hard to make it
[00:59:16.600 --> 00:59:20.840]   But it's also I don't know all this this this may be this may be a rat hole
[00:59:20.840 --> 00:59:22.840]   But it's it's been on my mind that
[00:59:22.840 --> 00:59:25.560]   as annoyed as I am about the idea of
[00:59:25.560 --> 00:59:30.840]   Law enforcement is can is has been routinely saying that well continuing
[00:59:30.840 --> 00:59:35.400]   We're tracking people we're tracking someone because of their of the location from a phone
[00:59:35.400 --> 00:59:40.040]   We believe this is no different than having someone on the ground observing this person so that we don't need a warrant
[00:59:40.040 --> 00:59:44.680]   But at least I have the ability to leave this phone at home or pull out the battery because this is a thing with a
[00:59:45.000 --> 00:59:50.840]   Replicable battery if they simply say that well, you know what because there's a diagnostic mode on this pacemaker that allows
[00:59:50.840 --> 00:59:54.440]   A doctor within four feet with the right device to sense its proximity
[00:59:54.440 --> 00:59:59.480]   We're gonna essentially put that technology in our surveillance devices and now of course just you know
[00:59:59.480 --> 01:00:07.560]   It's just it's perfectly okay for us to simply say that because we were able to detect the presence of this person's pacemaker implanted inside their body
[01:00:07.560 --> 01:00:12.600]   Of device they don't have the they really don't have the option of taking it out or turning it off or shielding it
[01:00:13.240 --> 01:00:18.520]   And it's hurting that they don't need to warrant for that sort of stuff this these are the sort of things are going to keep coming up and coming up and coming up
[01:00:18.520 --> 01:00:22.760]   So i'm not i'm not sure that i and what happens when you get that and sort of implant and
[01:00:22.760 --> 01:00:26.200]   Once again someone just another a future court decides that
[01:00:26.200 --> 01:00:32.040]   A police officer does not need to have a warrant to get access to the audio feed that's coming in through your ears
[01:00:32.040 --> 01:00:35.640]   You know, it's it seemed ridiculous 20 years ago that
[01:00:35.640 --> 01:00:39.240]   That cop would have the ability to simply have that led to
[01:00:40.120 --> 01:00:44.360]   GPS track anybody without without asserting a warrant for for the need for that information
[01:00:44.360 --> 01:00:47.240]   But now it's happening in certain jurisdictions and
[01:00:47.240 --> 01:00:53.240]   Man a lot of stuff is going to have to change a lot of stuff is going to have to be addressed before the good stuff can happen
[01:00:53.240 --> 01:00:55.640]   That's that's what annoys me so much about
[01:00:55.640 --> 01:01:02.040]   The how slowly technology can develop if we were able to build whatever we wanted to build beyond our wow the streams
[01:01:02.040 --> 01:01:09.400]   We could create that utopia, but there's always going to be some individual bad person good person good intention person or other agency
[01:01:09.720 --> 01:01:14.200]   That can screw it all up and make this impossible to adopt on a wide-scale basis
[01:01:14.200 --> 01:01:18.360]   On that note, we're gonna move on
[01:01:18.360 --> 01:01:31.320]   This word from the fbi well the one we just had this uh, kind of a run-in with this in rewanda
[01:01:31.320 --> 01:01:32.920]   Chris
[01:01:32.920 --> 01:01:38.680]   Marlar who who's moved there. He's moved there. Someone stole his his uh his ipad and an iphone
[01:01:39.480 --> 01:01:40.920]   and uh
[01:01:40.920 --> 01:01:44.440]   Uh, they forget they turned off the iphone forgot to turn off the ipad
[01:01:44.440 --> 01:01:51.800]   And so at two o'clock in the morning. He along with the security team, you know like that's where private security really helped
[01:01:51.800 --> 01:01:56.200]   So what it turned out it was what kind of it turned out once more on the security guards
[01:01:56.200 --> 01:02:01.000]   Anyway, so it was one of the guards. Okay. Yeah, we didn't know we didn't know but it was one of those things like they just given up on it
[01:02:01.000 --> 01:02:05.240]   But they he stole a couple of other things and so they there's a story on chris if you go chris marlar and g plus
[01:02:05.240 --> 01:02:09.880]   He wrote it up, but he got it all we're talking about this morning. So they they literally are in the middle of you know
[01:02:09.880 --> 01:02:13.000]   Some little township and you know outside of kagali
[01:02:13.000 --> 01:02:15.240]   uh with an ipad and
[01:02:15.240 --> 01:02:20.200]   And like they're following around like and they get right to where they get right to where um
[01:02:20.200 --> 01:02:21.800]   Uh
[01:02:21.800 --> 01:02:25.400]   The two dots are on top of each other and there's you got to get there's there's chris
[01:02:25.400 --> 01:02:30.520]   There's a there's a there's a there's a um rewanda sitting there with an ipad and there's 12 guys with billy clubs
[01:02:30.520 --> 01:02:33.640]   you know like like you know and um and uh
[01:02:34.200 --> 01:02:36.520]   And uh they um they hit the ring and you're
[01:02:36.520 --> 01:02:40.920]   And he hears the ring, you know like you're gonna go the ring in the house and something guy comes running out and boom
[01:02:40.920 --> 01:02:44.840]   You know suddenly there was chasing after him and and they got him. He didn't get hurt. It's where wanda
[01:02:44.840 --> 01:02:48.040]   It's not other countries and so he you know they they they arrested him
[01:02:48.040 --> 01:02:50.440]   um and um
[01:02:50.440 --> 01:02:54.120]   But they it was funny. It was like the guys call evident like chris said the guys calling he's like
[01:02:54.120 --> 01:02:57.880]   We got him, you know, he's like talking to us boss and he goes and he goes yes
[01:02:57.880 --> 01:02:59.880]   We use the um zungu tracking
[01:03:03.320 --> 01:03:05.800]   Because they had never like it took him like it took him a while
[01:03:05.800 --> 01:03:07.400]   He was he was explaining to me this morning
[01:03:07.400 --> 01:03:10.840]   He said it took a while to explain to them what was happening that that on his ipad
[01:03:10.840 --> 01:03:16.600]   It was I can see the other ipad. Yeah, you know, you know, and uh, but what it was but but now it's been it's been termed in roanda as
[01:03:16.600 --> 01:03:19.160]   Zungu tracking um zungu what is it?
[01:03:19.160 --> 01:03:20.840]   is uh
[01:03:20.840 --> 01:03:25.320]   It's a it's a uh, it's a term for uh white people in in swahili
[01:03:25.320 --> 01:03:28.440]   so
[01:03:28.440 --> 01:03:31.000]   It's honky tracking
[01:03:31.400 --> 01:03:33.400]   That's that's actually a pretty even
[01:03:33.400 --> 01:03:40.200]   That's a pretty even term. Oh, that's funny. Oh, that's funny. We got the the ofe trackers turned on
[01:03:40.200 --> 01:03:42.680]   Turn on
[01:03:42.680 --> 01:03:46.920]   Oh, that is funny. Please use the shine reflecting that they pick up on but
[01:03:46.920 --> 01:03:51.240]   You got the honky tracker. Yeah, I do okay turn it on
[01:03:51.240 --> 01:03:53.080]   Uh, wow
[01:03:53.080 --> 01:03:59.160]   Anyway, so the thing is is that somebody called me by the way in uh on the radio show and said uh my son's
[01:03:59.400 --> 01:04:04.760]   iPhone was stolen and should we uh, is there should we track it down? I said absolutely not
[01:04:04.760 --> 01:04:07.640]   What if the guy has a gun? What if you could track it down?
[01:04:07.640 --> 01:04:12.440]   And then I don't think the police if you go that's why private security force more effective
[01:04:12.440 --> 01:04:17.480]   If you went to the nypd and said hey, I know where my phone is when you go get it. Right. I think they might not
[01:04:17.480 --> 01:04:24.120]   What are you talking? I'm waking here. Um, so I don't know but uh
[01:04:24.120 --> 01:04:27.160]   Maybe the nsa would be the right people to call
[01:04:27.160 --> 01:04:29.400]   They already know they already know where your phone is
[01:04:29.400 --> 01:04:32.680]   Well, there's been people who have I think that have tracked it down and then
[01:04:32.680 --> 01:04:34.680]   You know being able to tell the police exactly who it is
[01:04:34.680 --> 01:04:39.800]   The funniest one is when people when you could control the computer and then you can take pictures of the people and well the cracker tracker
[01:04:39.800 --> 01:04:41.880]   Yeah, that was there's the name
[01:04:41.880 --> 01:04:43.960]   The cracker tracker. Thank you chat room
[01:04:43.960 --> 01:04:48.040]   I would prefer them to cracker. That's all I'm saying
[01:04:48.040 --> 01:04:51.160]   I like to run out and drink like that
[01:04:51.160 --> 01:04:57.000]   All right, we're gonna take a break when we come back we will talk about hacking uh and the
[01:04:57.240 --> 01:05:00.760]   Dev Center hack which has been resolved but the question remains lingering
[01:05:00.760 --> 01:05:06.760]   Right. What are the long-term impacts of all of this our show today brought to you and by the way, we got a great panel
[01:05:06.760 --> 01:05:09.400]   Thank you so much. Andy and aqua from the chicago sun times
[01:05:09.400 --> 01:05:12.920]   He's got his monitor over his left shoulder
[01:05:12.920 --> 01:05:20.840]   And rene richy from i'mor.com. He's got his monitor over his right shoulder. Hi, laks squirrel no squirrel
[01:05:20.840 --> 01:05:23.240]   What is on your monitor?
[01:05:23.240 --> 01:05:25.640]   I have ios 7's uh multitasking
[01:05:26.440 --> 01:05:30.760]   Where did you get a picture of that apple.com? Oh, okay, then it's all right
[01:05:30.760 --> 01:05:36.360]   That's legit. I like it. Did you do were you inspired by Andy or you just thought?
[01:05:36.360 --> 01:05:41.320]   I needed it for other things and I figured that Andy was using it so well. I would try to pay hold it to him
[01:05:41.320 --> 01:05:46.280]   Yeah, what kind of monitor are you using is it 30 27 like apple stores? I'm using a samsung
[01:05:46.280 --> 01:05:53.320]   Really? Yeah, use a samsung in the apple stores for the apple tv demos and for when they make those giant iphone monitors
[01:05:53.320 --> 01:05:56.840]   Oh, yeah, they have to use a big tv till they get the apple tv. Yeah. Yeah. Yeah
[01:05:56.840 --> 01:06:02.840]   Also here from pixacore a second week in a row. I'm blown away. It's crazy. I love it. Alex lindsey
[01:06:02.840 --> 01:06:08.840]   I'll be gone next week. Where you going next week? I'll be in uh, boston. Bastin bastin. It'll be in you'll be where?
[01:06:08.840 --> 01:06:11.240]   Yes
[01:06:11.240 --> 01:06:13.720]   What city will you be in? I will be in boston
[01:06:13.720 --> 01:06:20.200]   We should talk uh that that well unfortunately i'm gonna be in wall fam and that's like 11 miles away
[01:06:20.200 --> 01:06:21.480]   Right
[01:06:21.480 --> 01:06:28.680]   That's not definitely though. Definitely. All right. All right. I mean I could drive but I mean that's like what can you take the mta to waltham water gallon quarter
[01:06:28.680 --> 01:06:31.640]   Gallon, so you should just you should just work on the project with us. You know, Andy
[01:06:31.640 --> 01:06:36.200]   We're looking we actually are looking like awesome. I enjoy projects. All right
[01:06:36.200 --> 01:06:37.880]   This one's fun
[01:06:37.880 --> 01:06:40.840]   Is it like did you buy like the big like huge like lego millennium falcon?
[01:06:40.840 --> 01:06:44.120]   You need people to help you put it together all I can say is at the end of it usually end up with something to eat
[01:06:44.120 --> 01:06:49.240]   I also like something to eat that my favorite style of cuisine is complimentary. Yes
[01:06:49.400 --> 01:06:51.400]   [laughs]
[01:06:51.400 --> 01:06:56.120]   Our show today brought to you by smile software. They do such great programs
[01:06:56.120 --> 01:07:04.600]   I'm a huge tex six bander fan and uh every time I get a new mac or a new iOS device. I always install pdf pen
[01:07:04.600 --> 01:07:08.520]   uh pdf pen six is new it's all powerful
[01:07:08.520 --> 01:07:09.640]   um
[01:07:09.640 --> 01:07:16.600]   Sign a contract without printing it or faxing it. It's really nice. I have my signatures and my initials of everybody in my family
[01:07:16.840 --> 01:07:20.360]   In my library pdf pen. I can just stamp it you just stamp it
[01:07:20.360 --> 01:07:24.760]   And it's signed you can edit pdfs without going back to the original document
[01:07:24.760 --> 01:07:27.400]   You can even create and fill out forms add images
[01:07:27.400 --> 01:07:32.760]   Fix typos resize or delete images. It gives you full control over pdfs
[01:07:32.760 --> 01:07:39.000]   It is just amazing. You can even ocr scanned documents if you do anything with pdfs
[01:07:39.000 --> 01:07:45.800]   Seriously, I know preview is great, but you need pdf pen see what's new in the pdf pen six download a free demo
[01:07:46.360 --> 01:07:49.480]   at smile software.com/macbreak
[01:07:49.480 --> 01:07:54.520]   smile software.com/macbreak
[01:07:54.520 --> 01:07:59.640]   pdf pen look how cool that looks it is really amazing
[01:07:59.640 --> 01:08:04.680]   Um, when you're doing if you're buying a house, you know, they still still fax you stuff
[01:08:04.680 --> 01:08:09.480]   Oh, I use I got a signed PDF all the time. I just I just did it yesterday. Yeah, open up your iPad
[01:08:09.480 --> 01:08:11.720]   Yeah, it's so much. Yeah on the iPad. It's awesome
[01:08:12.280 --> 01:08:17.240]   Um, just so much easier pdf pen mac and iOS get it use it enjoy it
[01:08:17.240 --> 01:08:23.640]   Thank you smile software. Thank you gene mcdonald by the way her dev camp for girls got funded. I don't I think it she did it
[01:08:23.640 --> 01:08:28.440]   Um, let me just check and see I think she did it last month
[01:08:28.440 --> 01:08:35.320]   Uh her idea being to get girls writing software, which is such a great idea
[01:08:35.320 --> 01:08:37.880]   um
[01:08:37.880 --> 01:08:41.160]   Let me see if I got it right here gene mcdonald app camp. That's what it was called
[01:08:41.720 --> 01:08:43.720]   app camp for girls.com
[01:08:43.720 --> 01:08:52.920]   And that makes me really happy. I was I was kind of okay with only 49 percent of the population at age 11 being able to out program me
[01:08:52.920 --> 01:08:55.320]   Now the other
[01:08:55.320 --> 01:09:00.040]   The more focused and mature 51 percent. Okay, great. I'm totally hoes. No, so cool
[01:09:00.040 --> 01:09:06.360]   Uh, they they say inspiring tomorrow's creative software developers here's some of the pictures of some of the girls at app camp
[01:09:06.360 --> 01:09:09.480]   I just think it's a really really neat idea
[01:09:10.120 --> 01:09:16.280]   Uh, and they're continuing to look for support so you can go help them out app camp the number four girls.com
[01:09:16.280 --> 01:09:19.960]   And what's that? That was from a Kickstarter. She yeah, she gets started it. Yeah, I got it. I got it. I got it
[01:09:19.960 --> 01:09:21.960]   Or any go go. Yeah. Yeah, that's right
[01:09:21.960 --> 01:09:24.520]   Um gene is just a really
[01:09:24.520 --> 01:09:28.920]   Wonderful person. She works. Of course. She's one of the partners at smile software. That's maybe think of it
[01:09:28.920 --> 01:09:31.640]   I just think that's so cool
[01:09:31.640 --> 01:09:37.640]   Every kid should go to app developer camp. That's a cool tool. Did you see that it was like a widget tool
[01:09:38.760 --> 01:09:45.480]   Uh, one of those here. Yeah, I'll let you make your iOS layouts. Look at that. That's cool. Isn't that a great idea?
[01:09:45.480 --> 01:09:50.600]   Great spending your spend your summer camp time making friendship apps instead of friendship bracelet
[01:09:50.600 --> 01:09:54.680]   Much better than gimp. Uh, this is from ui stencils
[01:09:54.680 --> 01:09:58.280]   Um, what a neat idea ui stencils.com
[01:09:58.280 --> 01:10:05.880]   They have iphone website ipad android android tablet android donut windows 8 windows phone google chrome stencil
[01:10:06.120 --> 01:10:11.400]   I'm just so afraid of paper now. I know this is very old. I'm gonna lose it. It's so old school
[01:10:11.400 --> 01:10:15.640]   But you know what I see what a good way to do it because that's not up to drop box
[01:10:15.640 --> 01:10:22.280]   Last last week. I added something to my work setup. That is a pad of note paper and a decent pen
[01:10:22.280 --> 01:10:27.080]   And the number of times we're not like instead of having to like wait for the spinning beach ball
[01:10:27.080 --> 01:10:29.240]   So I could write down something that someone is telling me
[01:10:29.240 --> 01:10:33.560]   During an interview is like, oh, I'm just actually jot that down. Oh
[01:10:35.080 --> 01:10:39.880]   I just think it's funny how often how often we uh, we suddenly need a pen to draw on something and no one has one
[01:10:39.880 --> 01:10:43.320]   Like everyone's like, I don't I don't have a pen that actually, you know, make like Andy
[01:10:43.320 --> 01:10:46.920]   I have the notebook, but I photograph every page that I work on because I'm paranoid about backups
[01:10:46.920 --> 01:10:51.000]   Yeah, oh, yeah, so these guys they're they're making these nice metal stencils
[01:10:51.000 --> 01:10:55.480]   And they said you know what else could we do with metal and they started a new company called looks plates
[01:10:55.480 --> 01:10:58.360]   Where they are?
[01:10:58.360 --> 01:11:01.080]   Look at this. I want this for my iphone
[01:11:01.080 --> 01:11:03.640]   Look at that
[01:11:03.640 --> 01:11:07.560]   It looks like a like a elf on the back of your iphone
[01:11:07.560 --> 01:11:13.080]   Cost 1-1-2 even inexpensive. It's 33 bucks and it's metal. It's nice
[01:11:13.080 --> 01:11:17.480]   Protect the back of your yeah for all those you who thought they really should have given you a uh,
[01:11:17.480 --> 01:11:22.600]   Metal backing you could have a dog tag so people could actually get your phone back to you without having to track them down using the
[01:11:22.600 --> 01:11:24.600]   That's a cracker tracker
[01:11:24.600 --> 01:11:27.320]   You know, it's a good tracker
[01:11:27.320 --> 01:11:32.840]   And engraving plate for let's say like a $10 bill. So if you ever like, you know
[01:11:32.840 --> 01:11:36.360]   You're caught without cash you just you know, you're running and yeah
[01:11:36.360 --> 01:11:40.440]   Well, they've kind of got that. This is for if you play a lot of poker you could sprint your own aces
[01:11:40.440 --> 01:11:42.520]   And you had enough phones you could play
[01:11:42.520 --> 01:11:45.960]   52 phones that
[01:11:45.960 --> 01:11:50.680]   Has to be no that's that's they should do the pen and teller edition is the three of clubs
[01:11:50.680 --> 01:11:53.320]   So that the end of every trick was this your card
[01:11:53.320 --> 01:11:56.840]   Um
[01:11:56.840 --> 01:12:01.240]   That's by the way that was right there. That's an example of why the internet is the biggest productivity
[01:12:01.880 --> 01:12:03.880]   History of the world
[01:12:03.880 --> 01:12:06.440]   I got four links deep before I finally caught myself
[01:12:06.440 --> 01:12:09.640]   Uh, eeb-ebra ham balach
[01:12:09.640 --> 01:12:16.600]   Uh fella who uh was the first to publicize the uh app center hack
[01:12:16.600 --> 01:12:18.920]   um
[01:12:18.920 --> 01:12:22.120]   Baloch is an independent security researcher. He
[01:12:22.120 --> 01:12:25.640]   Told apple. There's a problem with your dev center
[01:12:25.640 --> 01:12:30.840]   And uh downloaded uh credentials for a hundred thousand people just to prove it
[01:12:31.320 --> 01:12:33.320]   Right apple got a little miffed
[01:12:33.320 --> 01:12:40.680]   But immediately there immediate responses to take the I remember we talked about this the iOS dev center down
[01:12:40.680 --> 01:12:46.840]   Right it came back after eight days apple said we had to rewrite everything redo our database everything
[01:12:46.840 --> 01:12:48.600]   Um
[01:12:48.600 --> 01:12:53.080]   He says look it was just a proof of concept. I immediately told apple
[01:12:53.080 --> 01:12:59.640]   Uh the real question and I have to say I saw some somebody showed me and I don't know whether it's real or not
[01:13:00.200 --> 01:13:03.960]   But we had a visitor here from a foreign land. Mm-hmm not balach
[01:13:03.960 --> 01:13:11.160]   But somebody I think who knew him who showed me logs that showed apple certificates dev dev certificates the root certificates
[01:13:11.160 --> 01:13:16.040]   Uh, and he says he got the root certificates or not. So whoever hacked he got the root certificates
[01:13:16.040 --> 01:13:18.360]   Now that would be a much more significant
[01:13:18.360 --> 01:13:23.240]   Flaw and we'll know if that happened because apple will have to send out new certificates
[01:13:23.240 --> 01:13:27.160]   And we'll have to refresh the entire app store. Oh man
[01:13:27.640 --> 01:13:34.520]   It's I mean it's it was really complicated and uh nik rnott our security writer interviewed him because it was such a nebulous story to begin with
[01:13:34.520 --> 01:13:40.040]   Right and it turns out that he didn't the original hat he filed a bunch of radars with apple and their bug tracker
[01:13:40.040 --> 01:13:43.800]   And some were for iadd workbench which is a different system
[01:13:43.800 --> 01:13:47.320]   And some of it was for the dev portal and apple took it down
[01:13:47.320 --> 01:13:51.800]   But we don't know if it's because of him because some of the stuff he filed was after apple took it down
[01:13:51.800 --> 01:13:54.280]   Uh, he got a bunch of addresses
[01:13:54.840 --> 01:14:00.200]   And you know the guardian went and looked at some of the addresses and they weren't valid or they didn't return anything
[01:14:00.200 --> 01:14:07.960]   So it's nebulous, but he did find ways into there which could suggest that you know either apple was alerted by him or apple found out that there were other people using
[01:14:07.960 --> 01:14:13.800]   Similar exploits, but it was serious enough that apple took the entire thing offline and kept it offline for a long time
[01:14:13.800 --> 01:14:18.760]   Electronic arts quarterly results came out last week and it reported shock
[01:14:18.760 --> 01:14:23.080]   That it made more money through apple's app store than through its own
[01:14:23.960 --> 01:14:27.480]   Our origin digital download service or any other retailer
[01:14:27.480 --> 01:14:33.720]   That in app purchases and app sales will were the most profitable part of their business
[01:14:33.720 --> 01:14:39.160]   For the first time ever they have racing games real racing three they have the sims free play
[01:14:39.160 --> 01:14:46.040]   But it may well be the game that's hooked me for the last eight months the simpsons tapped out. I swear I it's a bad addiction
[01:14:46.040 --> 01:14:51.880]   Uh, it had it launched in august of last year. So it's been almost exactly a year
[01:14:52.200 --> 01:14:55.400]   They had server problems. They took it down put it back up. That's when I joined
[01:14:55.400 --> 01:15:01.560]   It made more money in the last three months the three three months quarter entering june 30th and in any other quarter
[01:15:01.560 --> 01:15:04.280]   Real racing three generated
[01:15:04.280 --> 01:15:08.520]   45 million downloads about two million daily active users
[01:15:08.520 --> 01:15:12.760]   The sims free play the highest one of the highest grossing games on the ipad
[01:15:12.760 --> 01:15:18.600]   They made 90 million dollars on smartphones and tablets. They don't say how much from my os how much from android
[01:15:19.080 --> 01:15:22.520]   10 million lat in the month of june on simpsons tapped out
[01:15:22.520 --> 01:15:27.560]   50 million dollars total it makes more money for them than their 60 dollar console games
[01:15:27.560 --> 01:15:32.600]   This is huge and a real good example of the shift to mobile gaming
[01:15:32.600 --> 01:15:35.320]   Yeah, and one of the things that happens with all of these things just like whether it's
[01:15:35.320 --> 01:15:39.880]   People going from my space to facebook or or or from you know digital
[01:15:39.880 --> 01:15:44.840]   Projection on theaters or whatever once you reach that point where suddenly people go and we're making more money over here
[01:15:45.320 --> 01:15:49.160]   Then all that investment all the safe money starts going that direction, right?
[01:15:49.160 --> 01:15:52.440]   You know and and once that safe money is I just don't I don't see how consoles
[01:15:52.440 --> 01:15:54.600]   you know
[01:15:54.600 --> 01:15:59.720]   Continue 10 years from now just because I think I just don't think I think we're going to be expecting our phones to be able to do that
[01:15:59.720 --> 01:16:01.720]   Which are going to be almost as powerful at that point
[01:16:01.720 --> 01:16:08.760]   Also, I think the look of the the mechanism of purchase like you don't have to go somewhere and buy a 60 dollar physical
[01:16:08.760 --> 01:16:11.000]   I literally have zero interest in a console. Yeah
[01:16:11.400 --> 01:16:15.080]   You take you take the device that you already have in your pocket or in your bag
[01:16:15.080 --> 01:16:17.960]   You go to a website you download a free app
[01:16:17.960 --> 01:16:22.760]   And then just keeps finding ways to get your get 120 dollars for me instead of 60 dollars
[01:16:22.760 --> 01:16:24.280]   Well, that's the key
[01:16:24.280 --> 01:16:28.680]   You have the you have the what the hell why not sort of reaction that you don't have with a 60 dollar
[01:16:28.680 --> 01:16:32.760]   That's the key its freemium is really proven to be a very good model
[01:16:32.760 --> 01:16:36.520]   The game is free and they just charge you for upgrades and
[01:16:36.920 --> 01:16:41.160]   Importance and even a dollar two dollars three dollars. I mean all of those things are just easy
[01:16:41.160 --> 01:16:45.400]   I mean, you know, it's and I you know, yeah, that maybe that's a better better game on the console
[01:16:45.400 --> 01:16:47.400]   But I can play this one while I'm standing in line right?
[01:16:47.400 --> 01:16:54.440]   You know, by the way is moving towards non-physical media as well both the Xbox one but a station for a really emphasized
[01:16:54.440 --> 01:16:58.840]   I still feel like you spent as much on Simpsons upfront as you spent on it in an app over over the history
[01:16:58.840 --> 01:17:03.000]   Oh hell, I've spent 300 dollars on this game. Right. It's not a 300 dollar game
[01:17:03.000 --> 01:17:08.440]   I would never I hate to even admit that is shameful right but I did it in bits and pieces and
[01:17:08.440 --> 01:17:14.280]   But see that the point is is that but the one thing that I'll say is that is that would you pay 300 dollars for any game?
[01:17:14.280 --> 01:17:17.000]   Never no, I
[01:17:17.000 --> 01:17:21.960]   Hear the here's the thing I spent humans maybe I spent 300 dollars on tempest a long time ago
[01:17:21.960 --> 01:17:27.320]   You know like the good but what I mean what I mean by that is family pinball it might have been it might have been in the three
[01:17:27.320 --> 01:17:30.440]   Oh, I easily dropped 300 dollars in quarters. Yes, right
[01:17:32.040 --> 01:17:34.040]   I'm battle zone
[01:17:34.040 --> 01:17:36.840]   Let's cigarette smoke at home
[01:17:36.840 --> 01:17:43.160]   But but I think that I think that what's interesting about that is that it it's not a it's much easier for us to spend money on
[01:17:43.160 --> 01:17:47.960]   Something that because we're using it the reason we're upgrading it is because we're actually enjoying that time
[01:17:47.960 --> 01:17:54.760]   You know rather than upfront spending $60 to see if we like it or not. I love it. Yeah, it's soothing. I play it every day
[01:17:54.760 --> 01:17:56.840]   probably
[01:17:56.840 --> 01:18:01.960]   Which is which is the worst admission how much money I've spent or how much time because I've probably spent half an hour a day
[01:18:02.040 --> 01:18:05.480]   On that thing over the last year right I could have written a novel right
[01:18:05.480 --> 01:18:10.680]   You know but if you're if you're writing a novel that would have been work and
[01:18:10.680 --> 01:18:15.000]   A kid years ago a kid was trying to explain guitar hero to me
[01:18:15.000 --> 01:18:17.880]   Uh and just came up with a line that was so brilliant
[01:18:17.880 --> 01:18:21.880]   And I've just reflected upon so many times in the past that you don't understand
[01:18:21.880 --> 01:18:27.160]   Yes, I could be spending this time learning to spend real good to play real guitar, but I'm not here
[01:18:27.160 --> 01:18:31.240]   I'm not I'm not investing this hour to learn anything. I learned things all the I'm
[01:18:31.480 --> 01:18:35.320]   I'm here to have fun and do things that are not productive that are just
[01:18:35.320 --> 01:18:40.920]   Lights flashing and sounds playing and my my hands doing cool things with a plastic controller
[01:18:40.920 --> 01:18:47.480]   And I think you almost could argue that I bought the Nexus 7 specifically to play the simpsis tapped out
[01:18:47.480 --> 01:18:52.200]   I have a so add that to the overall cost
[01:18:52.200 --> 01:18:56.280]   But I also think that when we think about games and music I mean to get back to the guitar
[01:18:56.280 --> 01:18:58.600]   um, you know a guitar hero is
[01:18:59.160 --> 01:19:03.960]   Is when what happens when we start just playing games that are the actual instrument?
[01:19:03.960 --> 01:19:08.600]   I mean when you look at some of the stuff that you know, well and that's what rock band did didn't they they added real instruments
[01:19:08.600 --> 01:19:12.840]   Or or that they that that is the instrument, you know, like what you're playing what you're learning how to play
[01:19:12.840 --> 01:19:16.120]   You know is is actually something that when you're not playing the game
[01:19:16.120 --> 01:19:19.720]   You could just go about on your iphone or on your ipad and just play that
[01:19:19.720 --> 01:19:22.840]   You know, maybe we're moving towards it. We're seeing go ahead
[01:19:22.840 --> 01:19:26.200]   We're seeing more of a game in the phrase than so many other things too like
[01:19:26.600 --> 01:19:32.920]   Like hc1 phone has that mode where it will just simply take the video and the pictures that you happen to have collected and produce
[01:19:32.920 --> 01:19:35.560]   its own super cut movie and when you
[01:19:35.560 --> 01:19:41.640]   One of the other things that I'm noticing with the google class is that I don't like shoot
[01:19:41.640 --> 01:19:44.680]   I've never I spent you know, you and I both went on the that
[01:19:44.680 --> 01:19:48.520]   Met geeks cruise around asia brought a really good camcoder
[01:19:48.520 --> 01:19:54.360]   I probably shot maybe 10 minutes of video because I just don't like walking around like this, you know shooting camera about
[01:19:54.360 --> 01:19:56.360]   Tourist in asia
[01:19:56.360 --> 01:20:04.440]   Okay, not gonna say what what defines a tourist if you're am I am I I was a tourist at monobra
[01:20:04.440 --> 01:20:09.320]   Cemetery on sunday because yes, I'm from around here, but never okay. Anyway, but right that's right
[01:20:09.320 --> 01:20:14.280]   But the ability to simply press a bus that's gee that's kind of an interesting scene of people and things moving around
[01:20:14.280 --> 01:20:18.040]   Click i've got now 10 seconds of video and then over the course of a month now
[01:20:18.040 --> 01:20:22.520]   I have like all kinds of things in my library of nice little video clips if they were to create a
[01:20:23.480 --> 01:20:29.160]   Gamify video editing that simply said here is what the here's here's what this game created for you
[01:20:29.160 --> 01:20:36.600]   And now it's your now your fun time is to make this better or to enhance the focus on a certain person or place or an individual
[01:20:36.600 --> 01:20:42.120]   That I mean it's the the real power computing isn't when people like allax have the tools to
[01:20:42.120 --> 01:20:48.440]   In one three thousand dollar computer to produce and and visualize and effect and stream
[01:20:48.840 --> 01:20:55.000]   Uh huge movies. It's when people who have no interest in video can now are now empowered to do that because it's fun
[01:20:55.000 --> 01:20:59.000]   All the technical stuff has been cluttered out of the way and now you can simply look at this thing
[01:20:59.000 --> 01:21:02.600]   This app has given you and said wouldn't it be I really want to see more focus on mom
