;FFMETADATA1
title=Treat It Like a Buritto
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=674
genre=Podcast
comment=http://twit.tv/mbw
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.280]   Hi, I'm Renee Ritchie.
[00:49:50.960 --> 00:49:57.840]   any hardware or software feature that would make a pro version of a phone. Not, you know,
[00:49:57.840 --> 00:50:04.160]   when what we have now, the 10s and the 10s Max, for example, those are kind of what you would
[00:50:04.160 --> 00:50:11.680]   consider to be like the proist of, of an iPhone. So I just, it doesn't make any sense to me. I
[00:50:11.680 --> 00:50:16.640]   don't think that there's a reason to make a phone into a pro device. And I don't think anybody would
[00:50:16.640 --> 00:50:21.440]   be on board with that. And I think that it would, in marketing wise, I think that it would be a
[00:50:21.440 --> 00:50:26.880]   pretty negative on Apple because they would have to prove that this phone is pro worthy,
[00:50:26.880 --> 00:50:32.160]   which I don't think that exists yet. The technology to make something on your phone be something that
[00:50:32.160 --> 00:50:38.080]   is your dedicated everything device that you can stop using your computer to use, you know,
[00:50:38.080 --> 00:50:45.600]   that just doesn't seem possible to me. So I got two suggestions. One, one is your iPhone can
[00:50:45.600 --> 00:50:50.560]   become your computer. You plug it in or you use wireless the way you do with VR systems to go
[00:50:50.560 --> 00:50:55.680]   straight to a display. And then it throws up either the iPad or the Mars a pan version of the OS.
[00:50:55.680 --> 00:51:00.000]   And you can use it with a Bluetooth keyboard and mouse to do like computery things.
[00:51:00.000 --> 00:51:06.080]   And then also like Moto Mods. So you could slap a much better camera or a lens mounting system on
[00:51:06.080 --> 00:51:09.600]   it. I know those things have never worked, but listen, an imaginary universe where they work
[00:51:09.600 --> 00:51:15.200]   amazingly well or an extended battery or an audio DAC or something. Would that tickle the pro
[00:51:15.200 --> 00:51:23.680]   buttons? No, not for what people use iPhones for. It really is a good question.
[00:51:23.680 --> 00:51:28.000]   Because there's so many things you could do to a laptop or a desktop to make it
[00:51:28.000 --> 00:51:33.600]   pro because you kind of understand what is a professional like desktop user. Okay,
[00:51:33.600 --> 00:51:39.920]   image editors, content creators, people who do like server work. What is a professional phone
[00:51:39.920 --> 00:51:44.640]   user? Usually you're talking about like slick hair and car salesman and real estate. Yeah,
[00:51:44.640 --> 00:51:49.600]   exactly. Instagrammers. So basically, how about how about a selfie lens? It's about two inches wide,
[00:51:49.600 --> 00:51:57.840]   F1.1 automatically blurs. I hear what you're saying though, Alex Lindsay would want a terabyte
[00:51:57.840 --> 00:52:02.720]   of RAM and like two terabytes of storage on the phone for it to be pro. Right.
[00:52:02.720 --> 00:52:05.360]   And I'm able to read Windows 10 in emulation. Yeah.
[00:52:05.360 --> 00:52:11.600]   All right. So the other rumor we heard is that the iPad Pro might be getting even more pro
[00:52:11.600 --> 00:52:17.920]   basically by getting the same camera system as the iPhone is rumored to be getting. And that is
[00:52:17.920 --> 00:52:22.720]   either a two lens camera system on the lower end models, which would be the telephoto and the
[00:52:22.720 --> 00:52:26.800]   current wide angle. So it could do portrait mode and it could do all the stuff, the current iPhone
[00:52:26.800 --> 00:52:32.560]   and tennis and tennis max could do. But also the higher end one would be getting the three lens
[00:52:32.560 --> 00:52:39.120]   system that would have that equilateral arrays for fancy math stuff like smart frame where you
[00:52:39.120 --> 00:52:44.320]   could if you cropped Lori out by accident or part of Andy's beard or a bit of that squirrel's tail,
[00:52:44.320 --> 00:52:49.040]   you could reframe it so that it shows all of the all of the frame that you originally intended to
[00:52:49.040 --> 00:52:54.400]   show. But Andy, are we are we at the point where you need that quality of a camera on an iPad or
[00:52:54.400 --> 00:53:01.440]   just want it for your Squirtle photography? Fun. I'd say so because once we talk about iPad Pro,
[00:53:01.440 --> 00:53:08.320]   when you're on like the $329 budget iPad, you really are talking about, oh, why are you taking
[00:53:08.320 --> 00:53:11.440]   pictures with that when you probably have a much better phone in your pocket as much more convenient.
[00:53:11.440 --> 00:53:15.520]   But when you're talking about a pro, there are going to be people who will as soon as you put
[00:53:15.520 --> 00:53:21.280]   that class of a camera on the iPad, someone will come up with a frame rig for it so that you can
[00:53:21.280 --> 00:53:26.720]   really and use it for for a legitimate 4K event photography with it'll be like a aluminum frame
[00:53:26.720 --> 00:53:32.000]   with two handles and a gimbal and a rack for lights and a couple of microphones. There's going to be
[00:53:32.000 --> 00:53:36.800]   people who are going to be using it for AR. So that certainly makes sense. I would love to see Apple
[00:53:36.800 --> 00:53:41.920]   really leverage the idea that this is a huge, huge, huge piece of circuit real estate. Let's
[00:53:41.920 --> 00:53:46.800]   pack it full of as well. Let's not try to and let's not try to guess that people are not going to
[00:53:46.800 --> 00:53:53.520]   need a certain feature. If we have room for it and if we can do it within the price frames that we
[00:53:53.520 --> 00:53:59.040]   have set for this product line, let's give them the better camera. What it will only open this up to
[00:53:59.040 --> 00:54:04.800]   new uses and sell more of them to more of the pocketed people. Yeah, I completely agree with you,
[00:54:04.800 --> 00:54:10.640]   Andy. I'm surprised that Apple hasn't done a better job with the cameras on the iPad.
[00:54:10.640 --> 00:54:18.000]   At first, it made sense that they were keeping them behind the iPhone in terms of pixel quality
[00:54:18.000 --> 00:54:22.560]   and things like that. But it didn't take long to realize that there's a lot of people out there
[00:54:22.560 --> 00:54:30.000]   that are using iPads for photography reasons or for video reasons. I think it's a couple years
[00:54:30.000 --> 00:54:36.960]   behind. I think it's about time Apple kind of push the iPad and iPad Pro camera specs up to
[00:54:36.960 --> 00:54:42.800]   par with the iPhone specs because it's capable of handling it. Why not go ahead and do that? I think
[00:54:42.800 --> 00:54:49.440]   it's a really good idea and it should have been done a long time ago. Especially when you think
[00:54:49.440 --> 00:54:54.400]   about Photoshop is probably going to be available by the time at the end of this year. So when this
[00:54:54.400 --> 00:55:01.360]   new iPad comes out, Procreate is already burn and barn with creatives. Imagine the ability to do the
[00:55:01.360 --> 00:55:07.760]   -- shoot the reference footage or even shoot the primary photo and then edit it completely on this
[00:55:07.760 --> 00:55:14.160]   device and boom, shoot it off without ever having to do an import or ever have to worry about translation.
[00:55:14.160 --> 00:55:20.240]   That's just one way that people could use that. And I really think there's a long list of people
[00:55:20.240 --> 00:55:26.240]   that if they found out that there's a tablet with the same camera system as the latest iPhone,
[00:55:26.240 --> 00:55:30.800]   that would really move them from, you know what? I was thinking about getting a Windows tablet.
[00:55:30.800 --> 00:55:35.680]   I was thinking about getting this device instead. Now I'm definitely getting an iPad because I've
[00:55:35.680 --> 00:55:42.160]   been using the iPad for other things and the ability to put one thing in my bag and carry it
[00:55:42.160 --> 00:55:47.360]   with me on the plane and basically have most of my studio in this one magazine-sized object.
[00:55:47.360 --> 00:55:54.320]   That is a really big attractor. The interesting thing for me is that we shots when we did CES,
[00:55:54.320 --> 00:55:58.480]   we used to shoot with iPads because you would get such a big frame. Like it was just such a big
[00:55:58.480 --> 00:56:02.720]   viewfinder and it was really easy to get everything exactly. You knew it was tack sharp,
[00:56:02.720 --> 00:56:06.640]   you knew it was right there. Then at the same time, you see people walk by going to take a photo
[00:56:06.640 --> 00:56:14.000]   with your iPad and that stigma doesn't go away. But I'm hoping that if it's a "rel-serious" camera
[00:56:14.000 --> 00:56:19.680]   system, then people will be real serious about using it. It could be a PR problem because if
[00:56:19.680 --> 00:56:23.520]   you think it's annoying enough being a concert and people just holding up little phones,
[00:56:23.520 --> 00:56:28.320]   imagine them holding up 8.5 x 11 tablets blocking your view. At least you'll be able to get a better
[00:56:28.320 --> 00:56:36.960]   view off their screen. It's especially annoying when they're using a folio cover that they have
[00:56:36.960 --> 00:56:42.480]   dangling down. They're taking a picture and like there's just this thing dangling that happens.
[00:56:42.480 --> 00:56:47.040]   I see that happen out there. The "your-verse" campaign that Apple had was like,
[00:56:47.040 --> 00:56:51.600]   "Doom, dooom, dooom, dooom." You saw people on top of mountains with their iPads and exactly
[00:56:51.600 --> 00:56:55.680]   those frame setups that Andy was talking about. It just looked like they were carrying Thor's
[00:56:55.680 --> 00:57:02.720]   hammer around from P2P. This is a complete tangent, but it occurred to me while we were talking about
[00:57:02.720 --> 00:57:07.840]   this, Andy's. We've seen some people criticizing Samsung's latest Galaxy Notes, saying they're
[00:57:07.840 --> 00:57:13.840]   falling behind Huawei when it comes to things like sensor size and pixel binning. I think
[00:57:13.840 --> 00:57:19.280]   they have 12 foot size sensors now inside those cameras. But they're doing at least 4 to 1 pixel
[00:57:19.280 --> 00:57:24.240]   binning, like 48 megapixel now to 12 megapixel. We've seen that Apple on the iPhone 11 looks like
[00:57:24.240 --> 00:57:28.720]   they're going to have bigger lenses, but do you think they need to start stretching their physical
[00:57:28.720 --> 00:57:32.800]   camera, their optics to match what Huawei and some of the other Chinese vendors are doing?
[00:57:33.920 --> 00:57:41.280]   Not really. Not until these really, really huge sensors can deliver results that actual regular
[00:57:41.280 --> 00:57:47.440]   users can relate to. You'll see all the photography blogs will do these really nice and detailed
[00:57:47.440 --> 00:57:51.040]   evaluations and all these pixel peeping sort of things about saying, "Oh, well, there's so much
[00:57:51.040 --> 00:57:57.600]   noise in the grays." And here's the gamut of this. When really, phone users are not people who care
[00:57:57.600 --> 00:58:04.240]   about to see spectrographs. They care about seeing here is a picture in this dark bar
[00:58:04.240 --> 00:58:09.760]   with camera A. Here is a picture in this dark bar taken with camera B, while camera B is way,
[00:58:09.760 --> 00:58:13.440]   way better. And that's one of the things that you can do when you have these hyper megapixel
[00:58:13.440 --> 00:58:20.240]   sensors. You have the sensors taking multiple samples, multiple guesses as what should be
[00:58:20.240 --> 00:58:26.880]   in that place that is to the human eye practically blacked out. And Samsung is now coming out. I
[00:58:26.880 --> 00:58:33.120]   think it has come up with a brand new process, excuse me, brand new camera sensor. That's certainly
[00:58:33.120 --> 00:58:38.720]   going to be in next year's Samsung phones. Again, but it would be a more interesting
[00:58:38.720 --> 00:58:44.320]   tidbit if it were in Google's hands or Apple's hands, because Google and Apple, when it comes to
[00:58:44.320 --> 00:58:50.080]   cameras, they are very much fixated on that. I want the user to, there's a reason why the
[00:58:50.080 --> 00:58:55.600]   primary control on this camera is one big round white button that you click and you expect to get
[00:58:55.600 --> 00:59:02.240]   a really great photo of a photo from Google gets it, Apple gets it, Samsung doesn't necessarily get it.
[00:59:02.240 --> 00:59:06.160]   If Apple and Google had their hands on this sensor, if they believe it was worth investing
[00:59:06.160 --> 00:59:10.960]   in this and putting this in their phones, they would figure out a way to combine that with
[00:59:10.960 --> 00:59:18.720]   laser sensors and with multiple cameras and multiple lenses to figure out ways to
[00:59:18.720 --> 00:59:25.520]   turn back time and reshoot something if you mess something up. Like you're indicating
[00:59:25.520 --> 00:59:30.000]   or get pictures where the number of times where I've been walking through the city.
[00:59:30.000 --> 00:59:38.480]   Through my really nice expensive camera in my laptop bag on a whim and I forgot to charge it,
[00:59:38.480 --> 00:59:42.800]   so I only got to take like 10 pictures before the battery crapped out. I spent the rest of the
[00:59:42.800 --> 00:59:48.560]   time with my three year old phone. The number of times I've looked at that, like my camera roll,
[00:59:48.560 --> 00:59:56.080]   that's been on an Adobe Lightroom back home. It sickens me that the pictures that this phone took
[00:59:56.080 --> 01:00:01.920]   because so much of the engineering is in making active decisions on how to fix that sky and how
[01:00:01.920 --> 01:00:06.720]   to deal with that really, really dark foreground and how to freeze that action in that section of the
[01:00:06.720 --> 01:00:12.480]   frame. I almost sickens me that this three year old phone is way better and at these things.
[01:00:12.480 --> 01:00:16.800]   So that's what I'm looking at. I think I'm glad that we're way past the days where
[01:00:18.000 --> 01:00:23.360]   companies used to be able to advertise a camera or phone by, oh, that one had three megapixels.
[01:00:23.360 --> 01:00:28.480]   ours has five megapixels and we have an independent lab that certifies that five is a larger number
[01:00:28.480 --> 01:00:36.720]   than three and then expects that to sell the phone. Now they really are looking forward that time,
[01:00:36.720 --> 01:00:42.800]   that moment during the Apple presentation when they put up on this brilliant and incredibly
[01:00:42.800 --> 01:00:49.680]   expensive 8K projection perfectly tuned screen examples of these phone pictures. Again, on this
[01:00:49.680 --> 01:00:56.160]   amazing billboard type size screen and say yes, not only not only we're showing you AB,
[01:00:56.160 --> 01:01:03.280]   but just look at how good it looks in a professional viewing setting. This could have been a billboard
[01:01:03.280 --> 01:01:09.120]   in Times Square anytime from the 80s to the 90s and would be would kick the butt of any professional
[01:01:09.120 --> 01:01:14.160]   camera that was shooting at that time. Yeah, that's it, Lori. People don't care about megapixels,
[01:01:14.160 --> 01:01:20.800]   they care about having good concert photos. Exactly. Especially when it's in the dark and
[01:01:20.800 --> 01:01:27.520]   there's a lot of movement. So we are here with Lori Gill, managing editor of IMOR and Andy and
[01:01:27.520 --> 01:01:33.600]   NOTCO from the Boston Public Radio. But I'm sure all of us are eager to find out whether Leo is
[01:01:33.600 --> 01:01:38.560]   now buzzing Cupertino and Mountain View in his search for 5G. So Leo, where are you now?
[01:01:38.560 --> 01:01:46.720]   Ah, can you smell the air in the Mac Break Weekly studio? No, that's not Andy and NOTCO. That's
[01:01:46.720 --> 01:01:54.080]   although he is spring fresh. It is our molecule air freshener. I am such a believer in the molecule.
[01:01:54.080 --> 01:01:59.440]   It really was a solution for our house. Lisa, we moved to the country and Lisa got allergies
[01:01:59.440 --> 01:02:03.440]   all of a sudden from all the pollen and dust in the air. She was waking up every morning with a
[01:02:03.440 --> 01:02:09.040]   headache. It was no fun for her. No fun for me either until we got the molecule. A lot
[01:02:09.040 --> 01:02:14.960]   molecule has reinvented how an air purifier works. And man, it really works. When Lisa sleeps
[01:02:14.960 --> 01:02:18.640]   somewhere else, she knows because she gets that headache again, but not in our bedroom. We liked
[01:02:18.640 --> 01:02:22.560]   it so much. We got a molecule for our son, Michael. We have a molecule now in the studio.
[01:02:22.560 --> 01:02:29.280]   Molecule is reimagining the future of clean air with their amazing air purifier. It's not a
[01:02:29.280 --> 01:02:34.080]   HEPA filter. Let me be clear about this. The HEPA filter was invented during World War II.
[01:02:34.080 --> 01:02:41.520]   It really hasn't changed since. It does what it does well, which is basically trap big particles.
[01:02:41.520 --> 01:02:46.160]   But that's not the whole source, not the whole story of air pollution in your house.
[01:02:46.160 --> 01:02:50.960]   It's also really tiny particles that HEPA filters just pass right through viruses,
[01:02:50.960 --> 01:02:57.360]   volatile organic compounds, pain, formaldehyde, mold. These are in fact the most dangerous
[01:02:57.360 --> 01:03:03.520]   pollutants in your home. Molecule uses something they call PICO, photo electrochemical oxidation.
[01:03:03.520 --> 01:03:06.640]   It goes well beyond the HEPA filter. It doesn't just capture
[01:03:06.640 --> 01:03:13.760]   allergens, mold, bacteria, viruses, airborne chemicals. It destroys them. It destroys them,
[01:03:13.760 --> 01:03:17.840]   including pollutants a thousand times smaller than those a HEPA filter can catch.
[01:03:17.840 --> 01:03:22.960]   Molecule's technology has been personally effective in our house, but it's also verified
[01:03:22.960 --> 01:03:27.440]   by science and most importantly tested by real people. Allergy and asthma sufferers around the
[01:03:27.440 --> 01:03:35.280]   country are rejoicing. We are, I know. Molecule's technology was funded by the EPA, extensively
[01:03:35.280 --> 01:03:39.920]   tested not only by people like us, but verified by third parties and university laboratories,
[01:03:39.920 --> 01:03:44.400]   like the University of South Florida's Center for Biological Defense and the University of
[01:03:44.400 --> 01:03:49.680]   Minnesota's Particle Calibration Laboratory. Molecule is very easy to use. It's beautiful.
[01:03:49.680 --> 01:03:54.640]   It's this aluminum tube. It's kind of like the apple of air purifiers.
[01:03:54.640 --> 01:04:01.200]   I love it that it's got a subscription service for the filters. In fact, I paired my phone to
[01:04:01.200 --> 01:04:05.600]   the Molecule and when the Molecule filters get low, it automatically orders new filters. They come
[01:04:05.600 --> 01:04:11.920]   in the mail and I pop them in, so we're always up to date on our Molecule. I think this is fantastic.
[01:04:11.920 --> 01:04:15.600]   By the way, if you don't want to use Wi-Fi or Bluetooth or your Molecule, you don't have to.
[01:04:15.600 --> 01:04:20.080]   It's got a nice control on the top. Really easy to change the filters too. You just pop a button,
[01:04:20.080 --> 01:04:25.360]   raise it up, pop in the new filter. I am such a fan of the Molecule and you better believe we got
[01:04:25.360 --> 01:04:31.680]   it running at home and at work all the time. For $75 off your first order, visit Molecule.com.
[01:04:31.680 --> 01:04:38.400]   That's Molecule with a K-M-O-L-E K-U-L-E.com. Use the promo code MACBRAKE. It's $75 off that
[01:04:38.400 --> 01:04:46.800]   first order. Molecule.com, promo code MACBRAKE. We thank Molecule for the fresh air and for the
[01:04:46.800 --> 01:04:53.040]   support of MACBRAKE weekly. Now back to the show. One of my favorite ongoing narratives is that
[01:04:53.040 --> 01:04:58.160]   Apple keeps canceling special projects. I've joked in the past that if we could have had this
[01:04:58.160 --> 01:05:02.080]   level of scrutiny back when the iPhone was being made, we would have seen headlines like Apple's
[01:05:02.080 --> 01:05:08.880]   shelves, tablet project. Apple destroys Tony Fadal's dreams and doesn't make his iPod phone.
[01:05:08.880 --> 01:05:12.720]   Apple has secret project rooms, smells like pizza where they're working on a Mac phone.
[01:05:12.720 --> 01:05:16.800]   It's just that there's so much you can pull from these, but we keep doing these stories about
[01:05:16.800 --> 01:05:22.320]   stuff being canceled, followed almost immediately by stories of them still being an active development.
[01:05:22.320 --> 01:05:27.120]   And one of the ones we got this week was a story about Apple working on gaze tracking
[01:05:27.120 --> 01:05:32.480]   to make AR and VR faster and more accurate. And I know in the past, we've talked about what is
[01:05:32.480 --> 01:05:39.360]   the killer feature for AR glasses or a VR experience. And if it's just maps, walking around with maps,
[01:05:39.360 --> 01:05:44.800]   probably not enough. But when you start to see different activities like this, what do you think
[01:05:44.800 --> 01:05:49.120]   about how they're shaping these products or if they're still shaping them?
[01:05:49.120 --> 01:05:55.920]   The thing is Apple hasn't released anything. They haven't published any papers. They haven't
[01:05:57.040 --> 01:06:01.920]   done anything. They really have done nothing. They've done nothing but offer their usual
[01:06:01.920 --> 01:06:05.760]   statement that we don't know that we're not commenting on anything that we haven't announced
[01:06:05.760 --> 01:06:10.080]   yet. So they're not moving the needle at all. Everybody knows that they've hired a bunch of
[01:06:10.080 --> 01:06:14.480]   people. Everybody knows that they're working on something, but they could go the way of the
[01:06:14.480 --> 01:06:19.120]   Apple television set where we know that they're developing it. We know that they built it. We
[01:06:19.120 --> 01:06:23.280]   know that they are thinking about what to do with it, but maybe they will just simply
[01:06:23.280 --> 01:06:28.880]   go to the land of ghosts and winds. So they're really having absolutely no influence whatsoever.
[01:06:28.880 --> 01:06:33.280]   Whereas pretty much every other company that knows how to handle a graphics processor
[01:06:33.280 --> 01:06:38.240]   is doing something. They're giving the most important thing that they're doing for the category
[01:06:38.240 --> 01:06:43.680]   is putting hardware in the hands of developers so that they can then figure out ways to use this,
[01:06:43.680 --> 01:06:50.800]   either in gaming and therapy and commerce. All these ways that they can implement these ideas
[01:06:50.800 --> 01:06:54.400]   limited by the hardware or not limited by these new changes in the hardware.
[01:06:54.400 --> 01:06:58.720]   Do people want to wear a pod on their belt with a processor? Do they want to do it all with the phone?
[01:06:58.720 --> 01:07:04.960]   These are all decisions that are being explored and answered actively by all these other solutions
[01:07:04.960 --> 01:07:09.520]   that are out there. Apple really isn't doing anything. I'm sure that they're taking copious notes.
[01:07:09.520 --> 01:07:14.560]   But for now, we can't give them credit for doing anything at this point. Maybe, and again, maybe
[01:07:14.560 --> 01:07:20.400]   it'll be like the iPhone where after sitting out this category for, since the smartphone
[01:07:20.400 --> 01:07:24.400]   category, since it's inception, they suddenly appear because again, they've been watching,
[01:07:24.400 --> 01:07:29.120]   they've been taking notes and they know exactly what not to do. They can avoid all the mistakes
[01:07:29.120 --> 01:07:33.520]   that everybody else made developing their product. Or maybe they'll just figure out that we have
[01:07:33.520 --> 01:07:37.600]   nothing new to offer this category and they'll just sit out. Who knows?
[01:07:37.600 --> 01:07:42.400]   What do you think, Laurie? Do you think Apple should have actual hardware out there, even if
[01:07:42.400 --> 01:07:47.200]   it's not polished and perfect yet? Maybe arguably the first generation Apple watch?
[01:07:47.200 --> 01:07:51.920]   Or are they doing okay just by putting AR kit out, putting it on iPhones, putting on iPads,
[01:07:51.920 --> 01:07:55.920]   and seeing what people do when they're holding it without the benefit of it being on their glasses?
[01:07:55.920 --> 01:08:03.040]   I think Apple would be smart to hold off until they have a hardware product that they can be
[01:08:03.040 --> 01:08:10.640]   proud of, that they can launch and be successful. Apple gets the hardware scrutiny more than a
[01:08:10.640 --> 01:08:15.040]   lot of other companies out there. So if it's not perfect out of the gate, you're going to hear
[01:08:15.040 --> 01:08:19.840]   about it. Apple watches is an example of that. You're right, the first iteration and the second
[01:08:19.840 --> 01:08:25.840]   and the third were probably less than perfect. And then it made it to the fourth iteration and
[01:08:25.840 --> 01:08:34.000]   became the most popular, where a smart watch in the market. And so I think it'd be a good idea
[01:08:34.000 --> 01:08:39.040]   for them to hold off a little bit. I think they are obviously working on AR. That's why I think
[01:08:39.040 --> 01:08:46.080]   they earlier this week, they announced that they were opening a special art installation in a
[01:08:46.080 --> 01:08:51.360]   bunch of different Apple stores around the world. So what they're doing is they're showing us that
[01:08:51.360 --> 01:08:55.360]   right now the phone that you have in your pocket, if you have the iPhone 10 or higher,
[01:08:55.360 --> 01:09:02.000]   is capable of an incredible amount of augmented reality. And here's some incredible things that
[01:09:02.000 --> 01:09:06.960]   can be done with just what's in your pocket. And then in the future, when they feel like they've
[01:09:06.960 --> 01:09:12.320]   got, they've got down. And again, Andy, just like you're saying, if they're taking all the notes,
[01:09:12.320 --> 01:09:16.400]   they're going to know where the pain points are, and they're going to try to make sure that they
[01:09:16.400 --> 01:09:23.600]   adjust for those when they finally do come out with theirs. My very limited experience with VR
[01:09:23.600 --> 01:09:29.280]   would be the Oculus Go, which is a lot of fun. But it's also not super comfortable. And I have a feeling
[01:09:29.280 --> 01:09:36.400]   that Apple would be able to come up with something that would be more comfortable, but also provide
[01:09:36.400 --> 01:09:42.480]   the same amount of technology on the inside as what AR and VR is going to be doing for us in the future.
[01:09:42.480 --> 01:09:50.160]   So I would say they should hold off until they've got what's going on. I want a nice thin pair of
[01:09:50.160 --> 01:09:53.200]   Jordi sunglasses, maybe that kind of wrap around my head a little bit.
[01:09:53.200 --> 01:09:58.000]   I want to eat a thing from the last Spider-Man movie. I think that's my style.
[01:09:58.000 --> 01:10:06.000]   See, we're joking, but that is absolutely part of the problem that people have seen this
[01:10:06.000 --> 01:10:11.200]   technology in so many movies designed by Hollywood scenic designers who build these
[01:10:11.200 --> 01:10:15.300]   beautiful devices. And so maybe people are not necessarily going to be waiting for the
[01:10:15.300 --> 01:10:20.800]   function of Tony star, exirman, soot, then I can expect him to have Jarvis inside there
[01:10:20.800 --> 01:10:25.240]   inside that lens with them. But they know they know they know they know they know they know they know.
[01:10:25.240 --> 01:10:27.320]   They know they know.
[01:10:27.320 --> 01:10:36.840]   So yeah, I think that one amazing thing about science fiction is that they tend to predict
[01:10:36.840 --> 01:10:42.720]   the future for us and to some degree. The Hitchhiker's Guide to the Galaxy has always
[01:10:42.720 --> 01:10:49.800]   been my frame of reference for like the future of technology. That was the smartphone. Dick
[01:10:49.800 --> 01:10:54.920]   Tracy, that was the smartwatch. These are science fiction stories that are now actual
[01:10:54.920 --> 01:11:00.440]   real things that are happening. So the idea that what we see in movies and on TV shows
[01:11:00.440 --> 01:11:07.040]   about the future of AR and VR, I am excited if that means that we're going to get stuff
[01:11:07.040 --> 01:11:11.640]   that looks like that better than what actually exists in the world right now, which is this
[01:11:11.640 --> 01:11:17.680]   massive machine on our faces. So, you know, give me give me the Star Trek future in VR
[01:11:17.680 --> 01:11:20.040]   and I am all on board with that.
[01:11:20.040 --> 01:11:23.480]   Yeah, I don't know if you've seen those movies yet, but a lot of them they put on the glasses
[01:11:23.480 --> 01:11:27.760]   and then they see their world augmented. So like you can put your hand into an Ironman
[01:11:27.760 --> 01:11:31.640]   armor thing and he can tell Jarvis to make tweaks to it. And because I'm still trying
[01:11:31.640 --> 01:11:35.240]   to think of the compelling use case because right now it really is you're just walking
[01:11:35.240 --> 01:11:40.640]   around and maybe it shows you maps or the cliched one where I walk up to Lori Gill and it says
[01:11:40.640 --> 01:11:43.400]   this is her significant other isn't it and this is where she lives. He talked to her
[01:11:43.400 --> 01:11:47.600]   about the rain because it hasn't rained there in six months. And like, those sorts of things.
[01:11:47.600 --> 01:11:53.440]   But to me, the really compelling part is making you interfaces anywhere. You know, you walk
[01:11:53.440 --> 01:11:56.600]   up to something you don't need to pull out a phone, you don't need to pull out an iPad,
[01:11:56.600 --> 01:12:00.600]   you don't all this stuff is just there and available to you opportunistically when you
[01:12:00.600 --> 01:12:05.280]   want to hit. But the science fiction thing does seem to you know, like you're trying
[01:12:05.280 --> 01:12:09.400]   on a new shirt or something, you're not actually trying it on. You're just looking in the mirror
[01:12:09.400 --> 01:12:14.360]   and the AR is layering that shirt over for you. It just seems like there's so much opportunity
[01:12:14.360 --> 01:12:18.320]   when we're no longer tied to those tiny little screens.
[01:12:18.320 --> 01:12:23.720]   Yeah, and you know, some of that's going to come with a little bit of time and a little
[01:12:23.720 --> 01:12:28.360]   bit of research because what just like what you're saying right now, what is the future
[01:12:28.360 --> 01:12:34.240]   of AR and VR. To me, right now, I see it as something that's going to be an AR is going
[01:12:34.240 --> 01:12:41.560]   to be invaluable to research in the future for medical and scientific things. And VR
[01:12:41.560 --> 01:12:46.960]   is games. Right now, I don't see VR being good for anything else but playing video games
[01:12:46.960 --> 01:12:52.280]   on which is awesome. But I don't know, I don't understand, you know, I can't visualize.
[01:12:52.280 --> 01:12:58.080]   You could go to Disney on your couch and VR Lori. I could, I could, I could definitely
[01:12:58.080 --> 01:13:04.840]   do that. But I would rather go to Disneyland in real life and eat their delicious foods.
[01:13:04.840 --> 01:13:08.800]   And the other story which was super similar to this is Apple is again, you know, the car
[01:13:08.800 --> 01:13:12.680]   project was canceled obviously, but Apple is still ramping up the amount of people who
[01:13:12.680 --> 01:13:17.600]   are or testing these things out. And I'm going to throw this one your way first, Lori. I
[01:13:17.600 --> 01:13:21.640]   mean, there's, again, to me, it's like watching the iPhone project from the early days of
[01:13:21.640 --> 01:13:25.240]   Safari, and there's just no way of knowing what's going to come out the other end or
[01:13:25.240 --> 01:13:29.080]   watching the Gizmo project before it became the Apple Watch. It's just hard to see what
[01:13:29.080 --> 01:13:32.840]   the end result is going to be. But when you hear things about Apple getting more testers
[01:13:32.840 --> 01:13:37.640]   on the road, does that sound to you like they're still figuring this out or that they're
[01:13:37.640 --> 01:13:44.160]   starting to get an idea of what they want? And where is this going? Are they going to
[01:13:44.160 --> 01:13:48.600]   have their own Tesla autopilot or are they just going to make a bunch of cool technology
[01:13:48.600 --> 01:13:52.360]   for something, something in the future?
[01:13:52.360 --> 01:13:56.760]   So you think it's going to be a long time before we see Apple VR glasses? It's going
[01:13:56.760 --> 01:14:03.400]   to be way longer before we see cars. That's what I think. I don't think just, at least
[01:14:03.400 --> 01:14:11.160]   we can say that AR and VR exists in commonplace and it's usable and it's not dangerous. Cars
[01:14:11.160 --> 01:14:17.480]   are so far behind. The self-driving car is so far behind right now that it's going to
[01:14:17.480 --> 01:14:25.640]   be quite a while before number one. It's stable enough to be used by people other than testers.
[01:14:25.640 --> 01:14:31.000]   Number two, before people like me and my mom and my next-door neighbor and my best friend
[01:14:31.000 --> 01:14:39.320]   want to even get into one of those because it's such a high risk thing to invest in,
[01:14:39.320 --> 01:14:44.520]   to participate in that you're going to have to make me trust you in a lot of ways that
[01:14:44.520 --> 01:14:48.600]   I don't trust anybody to do right now. I barely even trust humans to do right now,
[01:14:48.600 --> 01:14:54.360]   which is to drive me around. So the fact that Apple is investing in a lot of
[01:14:54.360 --> 01:14:59.880]   research and development for the car of the future, the self-driving car of the future,
