;FFMETADATA1
title=Machine Gun Clippy
artist=Leo Laporte, Alex Lindsay, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-01-18
track=801
language=English
genre=Podcast
comment=Safari bug, Netherlands App Store ruling, Apple Watch ads
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:02.480]   [MUSIC PLAYING]
[00:55:37.200 --> 00:55:44.760]   He's watching the ad, the one where the guy fell down a cliff or something.
[00:55:44.760 --> 00:55:46.640]   Wait, wait, let me see if I can find these.
[00:55:46.640 --> 00:55:49.760]   Because if you haven't seen them, they're really effective.
[00:55:49.760 --> 00:55:52.080]   There's a bunch of them there.
[00:55:52.080 --> 00:55:53.840]   Yeah, here you go.
[00:55:53.840 --> 00:55:56.200]   This is-- and listen to the audio.
[00:55:56.200 --> 00:55:58.440]   I'm going to have to turn it up because that's really what works.
[00:55:58.440 --> 00:55:59.440]   No, no, no, no.
[00:55:59.440 --> 00:56:00.440]   What's your emergency?
[00:56:00.440 --> 00:56:01.440]   I just hit in the car.
[00:56:01.440 --> 00:56:02.440]   I hit my car.
[00:56:02.440 --> 00:56:03.440]   It's flipped.
[00:56:03.440 --> 00:56:04.440]   There's water getting the car.
[00:56:04.440 --> 00:56:05.440]   And I can't get out.
[00:56:05.440 --> 00:56:07.440]   That's all I want.
[00:56:07.440 --> 00:56:08.440]   What is your emergency?
[00:56:08.440 --> 00:56:10.440]   I came out tired of boarding and a hard wind.
[00:56:10.440 --> 00:56:12.440]   It's pushing me out to sea.
[00:56:12.440 --> 00:56:14.440]   OK, do not hang up.
[00:56:14.440 --> 00:56:16.440]   9-1-1, what's your emergency?
[00:56:16.440 --> 00:56:17.440]   I'm here as a farm.
[00:56:17.440 --> 00:56:18.440]   I drove my legs.
[00:56:18.440 --> 00:56:20.440]   They say it's out of 21 feet.
[00:56:20.440 --> 00:56:21.440]   I sure.
[00:56:21.440 --> 00:56:22.440]   I sure need help, please.
[00:56:22.440 --> 00:56:24.440]   Are you by yourself?
[00:56:24.440 --> 00:56:25.440]   Yes.
[00:56:25.440 --> 00:56:26.440]   Have you tried to get out?
[00:56:26.440 --> 00:56:27.440]   You tried to bust the window or something?
[00:56:27.440 --> 00:56:29.440]   I'm pretty far out in the ocean.
[00:56:29.440 --> 00:56:32.440]   In my case, you get to myself, or I'm talking about Apple Watch.
[00:56:32.440 --> 00:56:34.440]   Try to keep talking to me.
[00:56:34.440 --> 00:56:35.440]   OK.
[00:56:35.440 --> 00:56:37.440]   I can't wipe the wind anymore.
[00:56:37.440 --> 00:56:38.440]   It's getting deeper.
[00:56:38.440 --> 00:56:40.440]   Can you come in next?
[00:56:40.440 --> 00:56:41.440]   Please hurry.
[00:56:41.440 --> 00:56:42.440]   I'm working real bad.
[00:56:42.440 --> 00:56:44.440]   You're going to see help, OK?
[00:56:44.440 --> 00:56:45.440]   I see them.
[00:56:45.440 --> 00:56:46.440]   I'm sitting just a...
[00:56:46.440 --> 00:56:47.440]   Hold on.
[00:56:47.440 --> 00:56:48.440]   Are you in here, Bob?
[00:56:48.440 --> 00:56:49.440]   I'm just in the darkness.
[00:56:49.440 --> 00:56:52.440]   OK, so you're headed above water?
[00:56:52.440 --> 00:56:54.440]   Here, sir.
[00:56:54.440 --> 00:56:55.440]   All three of those.
[00:56:55.440 --> 00:56:56.440]   These are real 9-1-1 calls.
[00:56:56.440 --> 00:56:59.440]   All three of them were saved thanks to their Apple Watch.
[00:56:59.440 --> 00:57:03.440]   Mike bought a watch within 60 seconds to see in that ad.
[00:57:03.440 --> 00:57:05.440]   I think he's not alone.
[00:57:05.440 --> 00:57:07.440]   I get teary.
[00:57:07.440 --> 00:57:08.440]   Just watching that.
[00:57:08.440 --> 00:57:10.440]   Have you seen that before Renee?
[00:57:10.440 --> 00:57:11.440]   Is that new to you?
[00:57:11.440 --> 00:57:12.440]   I don't know if they're showing it in camera.
[00:57:12.440 --> 00:57:13.440]   Yeah, no, I saw it.
[00:57:13.440 --> 00:57:16.440]   And there was a bunch of outrage on the Internet too because people couldn't decide if it was
[00:57:16.440 --> 00:57:21.440]   good to promote that Apple saves lives or if Apple was trying to frighten people into buying Apple watches.
[00:57:21.440 --> 00:57:22.440]   No, that's the game a lot.
[00:57:22.440 --> 00:57:26.440]   That is, I think, the closest thing to a perfect ad I've ever seen.
[00:57:26.440 --> 00:57:27.440]   Yeah, it's terrifying.
[00:57:27.440 --> 00:57:28.440]   Yeah, it's amazing.
[00:57:28.440 --> 00:57:31.440]   And I know, you know, somebody in the chatroom said, "I get very...
[00:57:31.440 --> 00:57:33.440]   It's very stressful to hear that."
[00:57:33.440 --> 00:57:37.440]   But boy, they all got hope and they all...
[00:57:37.440 --> 00:57:38.440]   Yeah, yeah.
[00:57:38.440 --> 00:57:40.440]   She says, "I'm on my Apple Watch.
[00:57:40.440 --> 00:57:42.440]   I can't reach my phone."
[00:57:42.440 --> 00:57:44.440]   It makes you want an Apple Watch.
[00:57:44.440 --> 00:57:45.440]   Apple Watch.
[00:57:45.440 --> 00:57:46.440]   Yeah.
[00:57:46.440 --> 00:57:47.440]   Like, what else would you do?
[00:57:47.440 --> 00:57:50.440]   Did you see the other one where I think was a...
[00:57:50.440 --> 00:57:51.440]   A bicyclist.
[00:57:51.440 --> 00:57:53.440]   A biker, exactly.
[00:57:53.440 --> 00:57:54.440]   Who basically...
[00:57:54.440 --> 00:57:56.440]   The watch called...
[00:57:56.440 --> 00:57:58.440]   I guess I should play this too, yeah.
[00:57:58.440 --> 00:57:59.440]   Yeah.
[00:57:59.440 --> 00:58:00.440]   Because that was even more impressive.
[00:58:00.440 --> 00:58:05.440]   Yeah, the watch called for him because he was not unconscious.
[00:58:05.440 --> 00:58:13.440]   It's sense to crash and then it tried to, as the UI is supposed to do, it said, "Hey,
[00:58:13.440 --> 00:58:15.440]   if you're okay, tap this button to let me know you're okay."
[00:58:15.440 --> 00:58:20.440]   And then when it didn't, it automatically dialed 911 and a voice basically walked...
[00:58:20.440 --> 00:58:23.440]   Yeah, let me play the audio.
[00:58:23.440 --> 00:58:24.440]   Why?
[00:58:24.440 --> 00:58:25.440]   Why?
[00:58:25.440 --> 00:58:26.440]   Why can't I find that one?
[00:58:26.440 --> 00:58:31.440]   I'll say in advance, I'm surprised that the voice was that bad.
[00:58:31.440 --> 00:58:33.440]   It was okay.
[00:58:33.440 --> 00:58:36.440]   It's coming from a freaking watch.
[00:58:36.440 --> 00:58:40.440]   No, I know, but...
[00:58:40.440 --> 00:58:42.440]   Okay, let me see.
[00:58:42.440 --> 00:58:44.440]   Apple Watch had 911...
[00:58:44.440 --> 00:58:45.440]   Cyclist, maybe that'll...
[00:58:45.440 --> 00:58:46.440]   Maybe that's Searchal Dude.
[00:58:46.440 --> 00:58:48.440]   It's not on their YouTube page for some reason.
[00:58:48.440 --> 00:58:49.440]   Oh, yeah, here it is.
[00:58:49.440 --> 00:58:52.440]   It's called 911 Bob.
[00:58:52.440 --> 00:58:54.440]   Here you go.
[00:58:54.440 --> 00:59:01.440]   The owner of this Apple Watch has taken a hard fall and is not responding to their watch.
[00:59:01.440 --> 00:59:12.440]   The emergency location is Latitude 47.7, Longitude minus 117.5 with an estimated Search radius of 41 meters.
[00:59:12.440 --> 00:59:15.440]   This message will repeat in five seconds.
[00:59:15.440 --> 00:59:16.440]   Bob fell off his bicycle.
[00:59:16.440 --> 00:59:18.440]   He was knocked unconscious.
[00:59:18.440 --> 00:59:21.440]   His watch automatically called 911 and he was rescued.
[00:59:21.440 --> 00:59:24.440]   I presume, although Apple doesn't say that on this one.
[00:59:24.440 --> 00:59:27.440]   I hope it ended well for Bob.
[00:59:27.440 --> 00:59:29.440]   Hope they found Bob.
[00:59:29.440 --> 00:59:30.440]   You know what?
[00:59:30.440 --> 00:59:31.440]   If you're going to knock it, that is...
[00:59:31.440 --> 00:59:33.440]   The music is...
[00:59:33.440 --> 00:59:34.440]   Very...
[00:59:34.440 --> 00:59:37.440]   Like, oh my God, music.
[00:59:37.440 --> 00:59:41.440]   I think these days, though, to break above, especially when you're watching NFL football
[00:59:41.440 --> 00:59:45.440]   where all the ads are very expensive, to break above the crowd, you've got to do something.
[00:59:45.440 --> 00:59:47.440]   And boy, those ads...
[00:59:47.440 --> 00:59:49.440]   Yeah, really work.
[00:59:49.440 --> 00:59:55.440]   And the other bonus is that we assume that everybody who owns a device knows about all the features on that device.
[00:59:55.440 --> 01:00:02.440]   And I can imagine that there's not a few Apple Watch owners who don't understand that it will call emergency services for you.
[01:00:02.440 --> 01:00:04.440]   And there's a way you can have it...
[01:00:04.440 --> 01:00:09.440]   I'm sure they wouldn't pay the extra for the GSM connection if they hadn't...
[01:00:09.440 --> 01:00:12.440]   You have to have LTE for all of that stuff that we just saw to work.
[01:00:12.440 --> 01:00:13.440]   I guess you do.
[01:00:13.440 --> 01:00:14.440]   I have to have the watch with LTE.
[01:00:14.440 --> 01:00:15.440]   I think so, yeah.
[01:00:15.440 --> 01:00:22.440]   But you don't have to have a plan, as long as you have the watch that has that capabilities anywhere in the world, it'll do emergency calling for you, even if you don't have a plan.
[01:00:22.440 --> 01:00:24.440]   Oh, that's good to know.
[01:00:24.440 --> 01:00:25.440]   Emergency alert.
[01:00:25.440 --> 01:00:29.440]   Because actually, Mike said, "Should I get the LTE?" and I said, "No."
[01:00:29.440 --> 01:00:31.440]   Because I figure he's always going to have his phone with him.
[01:00:31.440 --> 01:00:35.440]   But maybe yes, if he didn't have to spend the $10 a month extra to this...
[01:00:35.440 --> 01:00:40.440]   If you plan on going out without your phone, like if your phone is damaged, it's like an insurance policy.
[01:00:40.440 --> 01:00:42.440]   If you always have your phone with you, maybe it's fine.
[01:00:42.440 --> 01:00:48.440]   But if your phone is damaged, or like people who go paddleboarding and don't have their phone with them, then the LTE is really handy.
[01:00:48.440 --> 01:00:50.440]   Or maybe you're not going to be able...
[01:00:50.440 --> 01:00:57.440]   When the car is turned over three times, maybe you're not going to be able to find the phone in the car, but your wrist is probably still accessible.
[01:00:57.440 --> 01:00:59.440]   It is great.
[01:00:59.440 --> 01:01:04.440]   I think it's reasonable to ask how scary is this for reasonable people.
[01:01:04.440 --> 01:01:06.440]   But the thing is, it is talking about scary situations.
[01:01:06.440 --> 01:01:12.440]   And what sells fire extinguishers is, and hey, now we've got the rainbow colors.
[01:01:12.440 --> 01:01:16.440]   It's that, "Hey, here's a person... I'm dead on his truth.
[01:01:16.440 --> 01:01:24.440]   There's that famous... It's a famous like viral video of a Japanese man who's streaming, and he's showing off his new lighter.
[01:01:24.440 --> 01:01:30.440]   And it's almost... If enough for the fact that if turning to a whole disaster that tore down the entire building,
[01:01:30.440 --> 01:01:33.440]   his attempts to put out the fire, he did everything wrong.
[01:01:33.440 --> 01:01:37.440]   And that's what... And part of it was because he did not have a fire extinguisher handy.
[01:01:37.440 --> 01:01:42.440]   He kept trying to do all these different weird things to try to put out the flames and just made it higher and higher.
[01:01:42.440 --> 01:01:48.440]   And that was one of the things that made me... At the time, I didn't have a current fire extinguisher,
[01:01:48.440 --> 01:01:54.440]   and that's when I just went out to Amazon, clicked on a new window and ordered three right there,
[01:01:54.440 --> 01:01:56.440]   and made sure that there's always a fire.
[01:01:56.440 --> 01:02:01.440]   So yeah, it's not the happy Teletubbies message that gets people to buy the thing,
[01:02:01.440 --> 01:02:04.440]   the emergency equipment they need to have on hand before the emergency happens.
[01:02:04.440 --> 01:02:08.440]   Your response also that... And I'm sure this is Apple's intent.
[01:02:08.440 --> 01:02:13.440]   These ads not only sell the product, but they teach people who have the product about capabilities.
[01:02:13.440 --> 01:02:18.440]   This is cinematic mode, and Alex, I think you probably... I don't have you seen this one, the detectives.
[01:02:18.440 --> 01:02:21.440]   I don't... It's really good.
[01:02:21.440 --> 01:02:28.440]   This is really good. Two detectives. It looks like a traditional gritty cop show.
[01:02:28.440 --> 01:02:32.440]   They're sitting in a beat up Ford Taurus in a beat up location.
[01:02:32.440 --> 01:02:34.440]   Can I ask you a question?
[01:02:34.440 --> 01:02:36.440]   And I had a focus.
[01:02:36.440 --> 01:02:38.440]   They're fine.
[01:02:38.440 --> 01:02:40.440]   That's the cop in the back.
[01:02:40.440 --> 01:02:44.440]   Yeah, but look at me, I'm all blurry.
[01:02:44.440 --> 01:02:47.440]   Mom? You're supporting cast.
[01:02:47.440 --> 01:02:49.440]   What?
[01:02:49.440 --> 01:02:54.440]   The camera focus on the most important character, Rich, is me.
[01:02:55.440 --> 01:03:04.440]   What if my character had a big reveal?
[01:03:04.440 --> 01:03:06.440]   Like what?
[01:03:06.440 --> 01:03:11.440]   Like maybe I'm the killer?
[01:03:11.440 --> 01:03:13.440]   Are you?
[01:03:13.440 --> 01:03:15.440]   Now he's in focus, all of a sudden.
[01:03:15.440 --> 01:03:17.440]   Right, focus.
[01:03:21.440 --> 01:03:24.440]   No.
[01:03:24.440 --> 01:03:27.440]   Back to the background.
[01:03:27.440 --> 01:03:34.440]   A couple of things I know it on this ad. First of all, the lead cop, greatest actor ever.
[01:03:34.440 --> 01:03:37.440]   Very good, subtle gestures.
[01:03:37.440 --> 01:03:40.440]   I mean, just beautifully act. Both of them actually did a great job.
[01:03:40.440 --> 01:03:47.440]   But also just a really perfect example of cinema mode.
[01:03:47.440 --> 01:03:51.440]   And the most cinematic mode of racked focus, it's perfect.
[01:03:51.440 --> 01:03:53.440]   Yeah, yeah.
[01:03:53.440 --> 01:03:55.440]   The phone has come along.
[01:03:55.440 --> 01:03:57.440]   I'm not saying you shoot a feature phone with it.
[01:03:57.440 --> 01:03:59.440]   I mean, I know that's the sound.
[01:03:59.440 --> 01:04:02.440]   No, and in fact, I think a lot of people will never use cinematic mode, but it's just cool.
[01:04:02.440 --> 01:04:07.440]   But if you want to do, you know, if you want to, there are a lot of places you could use that.
[01:04:07.440 --> 01:04:11.440]   And especially fun places to use it that I think are great in the fact that you just do it with your phone.
[01:04:11.440 --> 01:04:13.440]   Yeah, it's just really cool.
[01:04:13.440 --> 01:04:17.440]   Yeah, as that feature really been really been working out the one thing that I was curious about.
[01:04:17.440 --> 01:04:20.440]   I still don't have the new iPhone. I still don't have it.
[01:04:20.440 --> 01:04:37.440]   But the one thing that I was curious about seeing the demos and seeing the release was that how if you've got three kids who are all acting like a bunch of squirrels jumping in and out, how is it possible to make sure that like they doesn't just keep like switching focus and giving you a heading trying to watch the thing.
[01:04:37.440 --> 01:04:39.440]   Is it capable of it?
[01:04:39.440 --> 01:04:45.440]   Yeah, it'll go to the first person and it'll lock on their eye line. And then if that eye line moves, it'll go to the next closest person.
[01:04:45.440 --> 01:04:54.440]   You can manually override it. I think the issues a lot of people had those that Apple deliberately chose to put it on all iPhone. So they didn't include any of the LiDAR in it.
[01:04:54.440 --> 01:04:58.440]   And that would have improved low light performance, but they wanted to make it ubiquitous for everybody.
[01:04:58.440 --> 01:05:03.440]   So the first version doesn't include any LiDAR. So if you go to low light, you have the same problem that you had with the traditional portrait mode.
[01:05:03.440 --> 01:05:06.440]   And that is, there's just not enough for it to actually understand the scene.
[01:05:06.440 --> 01:05:10.440]   So it works really well right now in daylight and it's going to get better every year, obviously.
[01:05:10.440 --> 01:05:24.440]   That is the limitation. And the cool thing is that it goes beyond the main sensor. Like you use this ultra wide angle sort of preload what gazes are coming into the frame so that if it sees someone else coming in closer, it's already on them by the time they enter into the frame.
[01:05:24.440 --> 01:05:26.440]   And that makes it very, very smooth.
[01:05:26.440 --> 01:05:35.440]   And if you look at like what DGI is doing with their, some of their new cameras, that's probably a preview of where Apple could go, which is the idea that using the LiDAR,
[01:05:35.440 --> 01:05:47.440]   the way DGI is using it, they're using LiDAR to literally show you as a focus puller, you can be looking on an iPad and on the touchscreen there and making, you know, controlling it,
[01:05:47.440 --> 01:05:52.440]   but you see the outline of the person inside of the focus of what you're doing.
[01:05:52.440 --> 01:06:02.440]   And I think that Filmic Pro, you know, once they get, they could probably build that into it to make sure that the remote control actually had a lot of control over what it's doing.
[01:06:02.440 --> 01:06:07.440]   And I think that that's probably not too far away. I'm guessing, you know, within the next year, we'll start seeing it.
[01:06:07.440 --> 01:06:14.440]   And that starts to be where, yeah, you could get an expensive camera, but if you're not going to get an expensive camera, you could do an enormous amount of damage.
[01:06:14.440 --> 01:06:15.440]   Yeah.
[01:06:15.440 --> 01:06:16.440]   Yeah.
[01:06:16.440 --> 01:06:28.440]   That's always my, one of my hottest buttons on technology is when I find myself, like something screwing up and I find myself saying, wow, this would be a great piece of software or a great feature or a great piece of hardware.
[01:06:28.440 --> 01:06:38.440]   If it didn't keep trying to make, trying to work better on its own regard without asking me, hey, do you, do you really, do you want the background to be completely washed out?
[01:06:38.440 --> 01:06:57.440]   Because I could do that. And I imagine the cinematic mode saying, you are never, I know that there's a dude walking behind like my friend who's singing the song, but the fact that he looked into the camera and her eyes were closed doesn't mean please change the focus to the dude walking behind her in the camera.
[01:06:57.440 --> 01:06:58.440]   I just, I just want to.
[01:06:58.440 --> 01:07:00.440]   Which is my favorite thing.
[01:07:00.440 --> 01:07:01.440]   Right.
[01:07:01.440 --> 01:07:07.440]   That's going to be truly revolutionary is that you can just go in afterwards, not only change the focal point, but also change the amount of depth effect.
[01:07:07.440 --> 01:07:11.440]   You can change it from like F two point something to F four point five.
[01:07:11.440 --> 01:07:13.440]   And focus, focus was doing that.
[01:07:13.440 --> 01:07:14.440]   Yeah.
[01:07:14.440 --> 01:07:18.440]   Focus was doing that with, you know, with the photos for a long time.
[01:07:18.440 --> 01:07:20.440]   And yeah, I just wanted to work.
[01:07:20.440 --> 01:07:24.440]   Whatever it does automatically, I just need to do better than my air club pro.
[01:07:24.440 --> 01:07:28.440]   Yeah, deciding which, which Apple device I would like to attach to.
[01:07:28.440 --> 01:07:30.440]   That's the, that's the low bar.
[01:07:30.440 --> 01:07:31.440]   Oh, God.
[01:07:31.440 --> 01:07:32.440]   That's it.
[01:07:32.440 --> 01:07:34.440]   That's been coming up in my life too.
[01:07:34.440 --> 01:07:50.440]   Now that I'm doing a little bit more things in public, I don't, I don't have air pods, but it's like, I was, last time I was on Amtrak, I was like, I really wish that my iPad wouldn't keep informing me that somebody on this train has just opened up an iPod, a pair of an AirPods because that's not relevant to me.
[01:07:50.440 --> 01:07:51.440]   It really isn't.
[01:07:51.440 --> 01:07:52.440]   Yeah.
[01:07:52.440 --> 01:08:01.440]   Speaking of rumors, where we, I didn't think we are, but I will now say let's speak of rumors.
[01:08:01.440 --> 01:08:10.440]   Analysts, Ross Young on Twitter and others now are saying that the next iPhone 14 will have a whole plus pill.
[01:08:10.440 --> 01:08:11.440]   Punch out.
[01:08:11.440 --> 01:08:14.440]   Next, the mission mark, whole and pill.
[01:08:14.440 --> 01:08:27.440]   Smaller hole will not be visible, will not be invisible, the two whole concept will be unique to Apple like the notch, not similar to all the pill models from Huawei. Is Ross reliable?
[01:08:27.440 --> 01:08:28.440]   Yes.
[01:08:28.440 --> 01:08:31.440]   He's very reliable because he just sits there and looks at the supply chain.
[01:08:31.440 --> 01:08:39.440]   And it really looks like, honestly, it looks like, you know, it's got a little stamp on it, little Chinese on the stamp. Definitely looks like something might have leaked out of.
[01:08:39.440 --> 01:08:40.440]   And that's backwards.
[01:08:40.440 --> 01:08:43.440]   So you flipped that around and that's what it's going to look like on the phone.
[01:08:43.440 --> 01:08:44.440]   Ah.
[01:08:44.440 --> 01:08:45.440]   Okay.
[01:08:45.440 --> 01:08:46.440]   Okay.
[01:08:46.440 --> 01:09:00.440]   I'm just glad that Apple's finally addressing this because as we all know, there were so many people, I think it's actually double digit percentage of iPhone users that just as they said on social media when the first renders of the of the eyebrow were first, were first, the notch first appeared.
[01:09:00.440 --> 01:09:02.440]   They were, they can't look at it without vomiting.
[01:09:02.440 --> 01:09:06.440]   So every time they're using their phone, they're just vomiting right onto the screen.
[01:09:06.440 --> 01:09:10.440]   And now I can't imagine what after two or three years that's done to the RPG I system.
[01:09:10.440 --> 01:09:13.440]   So this is a very, very humanist sort of approach from Apple.
[01:09:13.440 --> 01:09:17.440]   Actually, you know, then not, I thought I would really hate the notch on the Mac book.
[01:09:17.440 --> 01:09:20.440]   And I've gotten used to that even, although it does occasionally.
[01:09:20.440 --> 01:09:24.440]   I think fantastical because I have so much stuff in my menu.
[01:09:24.440 --> 01:09:26.440]   I don't, I think fantastical is actually, I can't see it.
[01:09:26.440 --> 01:09:28.440]   I think it must be under the notch.
[01:09:28.440 --> 01:09:32.440]   So I'm sure Flexi bits will figure that out and move it.
[01:09:32.440 --> 01:09:39.440]   But other than that, there's a lot of stuff like that where it's not that, it's not that you are, you know, you're not going to see it.
[01:09:39.440 --> 01:09:41.440]   But you ever think it's a good idea?
[01:09:41.440 --> 01:09:45.440]   It's not that you necessarily don't wish that you could have the old way back.
[01:09:45.440 --> 01:09:47.440]   But okay, you'll get over it.
[01:09:47.440 --> 01:09:49.440]   It'll, it won't ruin the experience experience.
[01:09:49.440 --> 01:09:54.440]   You really have to break it hard, compound fracture in order to say, okay, guess what?
[01:09:54.440 --> 01:09:58.440]   I'm going to look at Windows or Linux right now because I just can't deal with this anymore.
[01:09:58.440 --> 01:09:59.440]   Yeah.
[01:09:59.440 --> 01:10:01.440]   No, it's really the other direction.
[01:10:01.440 --> 01:10:04.440]   That's what Microsoft is pretty much done with Windows.
[01:10:04.440 --> 01:10:06.440]   And it was flowing in the opposite direction.
[01:10:06.440 --> 01:10:11.440]   Actually, PC sales were up big time last year.
[01:10:11.440 --> 01:10:17.440]   And Apple, the biggest growth, they're old, still only 8.5% of overall PC sales, according to analysts.
[01:10:17.440 --> 01:10:21.440]   But the fan firing on all cylinders over the last two years.
[01:10:21.440 --> 01:10:22.440]   A lot of people buying those Macs.
[01:10:22.440 --> 01:10:23.440]   So good.
[01:10:23.440 --> 01:10:23.440]   Yeah.
[01:10:23.440 --> 01:10:35.440]   And I have to say, you know, I mean, we are starting to hear rumors about, well, one rumor I just read, and I think it's kind of what you've already said Renee, not so much as a rumor is just, you know, likely is that the Mac Pro will actually be able to see it.
[01:10:35.440 --> 01:10:43.440]   The Mac Pro will actually be just a beefed up M1 and that the LBM2 is coming out this year for probably for Mac Books, that air.
[01:10:43.440 --> 01:10:45.440]   Well, that'll be the low end one.
[01:10:45.440 --> 01:10:47.440]   Like Apple previously had that.
[01:10:47.440 --> 01:10:51.440]   This is the MacBook Pro for people who like the MacBook Air, but want the Pro brand.
[01:10:51.440 --> 01:10:53.440]   And that was the one that didn't have the touch bar at first.
[01:10:53.440 --> 01:10:55.440]   And now ironically, it's the only one with the touch bar.
[01:10:55.440 --> 01:10:57.440]   And that's going to be replaced by an M2 version.
[01:10:57.440 --> 01:11:02.440]   So you'll have the M2 MacBook Air and then the M2 MacBook Pro.
[01:11:02.440 --> 01:11:04.440]   The difference being the air is going to have no fan.
[01:11:04.440 --> 01:11:09.440]   So it's going to have like a limit of 15, 20 minutes of like full out heavy workload.
[01:11:09.440 --> 01:11:17.440]   And then if you do want to sustain longer than that, you can get the MacBook Pro M2 and that'll just have a, what Apple calls an active cooling system, but it's a fan.
[01:11:17.440 --> 01:11:18.440]   Yeah.
[01:11:18.440 --> 01:11:20.440]   So you can do a lot of harder workloads.
[01:11:20.440 --> 01:11:24.440]   Should I get silly to ask.
[01:11:24.440 --> 01:11:26.440]   But I didn't buy it.
[01:11:26.440 --> 01:11:36.440]   Well, no, I was thinking, should I get a beefed up Mac mini, which I could likely get in the next six months or wait till the fall for a little mini Mac Pro, which sounds so cute on my desk.
[01:11:36.440 --> 01:11:38.440]   I, you're going to fall anywhere.
[01:11:38.440 --> 01:11:40.440]   You'll use them all.
[01:11:40.440 --> 01:11:47.440]   I mean, the great thing about the Mac mini is you have, I mean, I have a five inch, Alex is sitting on four of them right now.
[01:11:47.440 --> 01:11:48.440]   I have a 55.
[01:11:48.440 --> 01:11:51.440]   I have a OLED gaming monitor from Alienware.
[01:11:51.440 --> 01:11:54.440]   Right now it's running Linux, you know, in Valheim.
[01:11:54.440 --> 01:11:56.440]   But I would really like to attach a Mac to it.
[01:11:56.440 --> 01:12:01.440]   I don't know if a 55 inch Mac experience would be very good or not, but I'd like to try.
[01:12:01.440 --> 01:12:05.440]   And so the mini be fine for that, right?
[01:12:05.440 --> 01:12:06.440]   Yeah.
[01:12:06.440 --> 01:12:08.440]   I have three, I have three Mac minis in my space right now.
[01:12:08.440 --> 01:12:16.440]   Like literally in my system is three, you know, and the thing is, is at that price point, it is, you know, you don't feel bad about putting it and using something else.
[01:12:16.440 --> 01:12:17.440]   And it's so powerful.
[01:12:17.440 --> 01:12:18.440]   The M1 is.
[01:12:18.440 --> 01:12:19.440]   I think it's really, yeah.
[01:12:19.440 --> 01:12:20.440]   I'm very.
[01:12:20.440 --> 01:12:27.440]   I'm very, the coolest, the M1 mini Mac mini is the coolest Mac I bought.
[01:12:27.440 --> 01:12:29.440]   I'm super happy with the M1 Pro laptop.
[01:12:29.440 --> 01:12:31.440]   Yeah, it's amazing.
[01:12:31.440 --> 01:12:32.440]   It's incredible.
[01:12:32.440 --> 01:12:38.440]   I'm running a very, very, very slow brute force search online right now.
[01:12:38.440 --> 01:12:42.440]   And it's using 11 cores, 97% of 11 cores.
[01:12:42.440 --> 01:12:44.440]   And it has the fans not on.
[01:12:44.440 --> 01:12:45.440]   It's not hot.
[01:12:45.440 --> 01:12:46.440]   It's a hundred percent.
[01:12:46.440 --> 01:12:50.440]   The CPUs cannot, cannot saturate that machine.
[01:12:50.440 --> 01:12:52.440]   If you're just running CPUs, you will never saturate.
[01:12:52.440 --> 01:12:54.440]   You will never deflauce something like that.
[01:12:54.440 --> 01:12:55.440]   Really?
[01:12:55.440 --> 01:12:56.440]   Wow.
[01:12:56.440 --> 01:12:57.440]   Yeah.
[01:12:57.440 --> 01:12:58.440]   The envelope is big enough.
[01:12:58.440 --> 01:13:00.440]   You have to hit the GPUs if you want to start hurting that machine.
[01:13:00.440 --> 01:13:01.440]   Yeah.
[01:13:01.440 --> 01:13:02.440]   This is all CPU.
[01:13:02.440 --> 01:13:03.440]   Wow.
[01:13:03.440 --> 01:13:05.440]   That's really interesting.
[01:13:05.440 --> 01:13:12.440]   Because remember those i7 machines, even the i9 Macbook Pro you had to put in the freezer, it would, it would throttle.
[01:13:12.440 --> 01:13:18.440]   It got to 100 degrees Celsius and it would throttle and it would do that in seconds.
[01:13:18.440 --> 01:13:23.440]   Intel changed the definition of turbo to accommodate what, because they could no longer keep a heat envelope.
[01:13:23.440 --> 01:13:29.440]   They would say that it was opportunistic and it would just go like this every millisecond trying to get as much frequency as they could.
[01:13:29.440 --> 01:13:30.440]   It was crazy.
[01:13:30.440 --> 01:13:31.440]   The downs are going.
[01:13:31.440 --> 01:13:32.440]   Crazy.
[01:13:32.440 --> 01:13:33.440]   And the fans are going and the whole thing.
[01:13:33.440 --> 01:13:37.440]   This thing is just, you know, it's, it's, it doesn't keep me warm though.
[01:13:37.440 --> 01:13:39.440]   And like the Macbook doesn't do my coffee high anymore.
[01:13:39.440 --> 01:13:41.440]   It's like the biggest downgrade of these machines.
[01:13:41.440 --> 01:13:44.440]   I lose my free space heater.
[01:13:44.440 --> 01:13:52.440]   The European as we always, the, the, the European FCC database, what do they call it?
[01:13:52.440 --> 01:13:53.440]   Yeah.
[01:13:53.440 --> 01:14:00.440]   It's the gift that keeps on giving cons so Mac.
[01:14:00.440 --> 01:14:08.440]   The new iPhone model numbers, the Eurasian Economic Commission has, has been a good source in past
[01:14:08.440 --> 01:14:11.440]   and apparently has some new model numbers.
[01:14:11.440 --> 01:14:14.440]   Looks like iPhones and iPads.
