;FFMETADATA1
title=He Left in a Hurry-cane
artist=Leo Laporte, Andy Ihnatko, Stephen Robles, Mikah Sargent
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-09-27
track=837
language=English
genre=Podcast
comment=Apple Watch Ultra, Super Bowl, Apple Pay Later
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.680]   It's time for Mac break weekly and Ian Ocko's here Mike as Sargent's filling in for Jason Snell
[01:16:37.000 --> 01:16:42.840]   It's kind of a lot of devices potential devices to be announced in just press release form
[01:16:42.840 --> 01:16:45.480]   um, so it just
[01:16:45.480 --> 01:16:47.720]   It runs contrary to
[01:16:47.720 --> 01:16:54.840]   What I would expect and in that way I find it interesting if what he's saying is is true
[01:16:54.840 --> 01:16:58.840]   But yes, of course always with the caveat that this was one of those
[01:16:58.840 --> 01:17:04.280]   I think that they may not because of this that and the other I just I don't know. I think they still will
[01:17:04.280 --> 01:17:08.760]   Uh, he says apple might have not have enough fair left
[01:17:08.760 --> 01:17:14.040]   In 2022 for another big event not enough gas in the tank and it's true that those are
[01:17:14.760 --> 01:17:18.920]   You know, those are big productions. They've got to do a lot of filming and they've got to do a lot of you know
[01:17:18.920 --> 01:17:21.400]   Production and getting people out there
[01:17:21.400 --> 01:17:27.160]   Um, he does agree with you, Andy that you know, there'll be a m2 and m2 pro mac minis
[01:17:27.160 --> 01:17:29.720]   That's good news for all of us mac mini lovers
[01:17:29.720 --> 01:17:33.560]   M2 pro and m2 max 14 and 16-inch macbook pros
[01:17:33.560 --> 01:17:37.080]   M2 11 inch and 12.9 inch ipad
[01:17:37.080 --> 01:17:43.240]   Pros he also says it might be an update to the apple tv with an a14 and a ram boost
[01:17:43.960 --> 01:17:49.000]   Um, he does say I don't think the m2 based mac pro will be released
[01:17:49.000 --> 01:17:53.240]   In 2023. This is contrary to what apple's already promised but
[01:17:53.240 --> 01:17:57.880]   You know, he says none of these new projects products is a major departure
[01:17:57.880 --> 01:18:00.120]   from apple
[01:18:00.120 --> 01:18:03.560]   So so that's why he says he's thinking but again
[01:18:03.560 --> 01:18:07.400]   The fact that he says is so close to when we would start getting invitations
[01:18:07.400 --> 01:18:12.200]   Uh, it makes me give to think there's a higher level of certainty
[01:18:12.440 --> 01:18:15.960]   Now i've also heard from people who were at the apple event that there were winks and nudges
[01:18:15.960 --> 01:18:20.280]   That from apple employees like see you next month kind of thing
[01:18:20.280 --> 01:18:23.480]   So I so you know, I don't know what to think
[01:18:23.480 --> 01:18:27.800]   Um apple certainly could do another event they get a lot of attention for another event
[01:18:27.800 --> 01:18:29.800]   But
[01:18:29.800 --> 01:18:31.800]   You know, maybe they're tired
[01:18:31.800 --> 01:18:38.440]   Yeah, I mean it's also possible that this was given when mark is talking about this that it was a change in the plans
[01:18:38.440 --> 01:18:41.240]   It could be that uh originally that was in
[01:18:41.240 --> 01:18:47.720]   Because of the the fact that they can pre-record these and that they can you know set them up
[01:18:47.720 --> 01:18:53.720]   Uh, that part of it at least had a moments notice and because it would in theory be on their own campus
[01:18:53.720 --> 01:18:59.640]   They're not having to uh fit it around some large venue that doesn't belong to them that they have to plan out even more
[01:18:59.640 --> 01:19:01.480]   And I guess
[01:19:01.480 --> 01:19:03.160]   If you've just done it
[01:19:03.160 --> 01:19:06.440]   Then you know the logistics of how to make it happen
[01:19:06.440 --> 01:19:10.120]   So it's not as difficult to do it again. And then I guess in that way
[01:19:10.120 --> 01:19:15.160]   There's not as much what's that term when you buy a thing and then you feel like you have to buy yours for morse
[01:19:15.160 --> 01:19:22.920]   No, no, it's it's um sunk cost sunk cost. Yeah. Yeah, so there maybe is not as much sunk cost feeling about it
[01:19:22.920 --> 01:19:25.400]   They're like, yeah, we don't need to do this. So let's not do it
[01:19:25.400 --> 01:19:31.400]   They can certainly get attention. I think it's interesting what you said, Andy and mark kind of says this as well
[01:19:31.800 --> 01:19:33.000]   that
[01:19:33.000 --> 01:19:35.800]   And maybe this is a test for apple. What if we release
[01:19:35.800 --> 01:19:40.680]   early versions to mark has brownly and and iJustine and
[01:19:40.680 --> 01:19:46.360]   And let them do big splashy reveals on their channel
[01:19:46.360 --> 01:19:52.920]   Will we get enough as much attention? Will we get it as much and maybe it's a test, you know the times change
[01:19:52.920 --> 01:19:59.640]   And uh, it might be that those marquee names can bring a lot of attention that you don't have to bring people out
[01:19:59.880 --> 01:20:04.760]   Yeah, I have to I have to say that if you look at the track of who gets pre-release hardware
[01:20:04.760 --> 01:20:08.120]   It used to be okay. Well, usa today is definitely gonna get it
[01:20:08.120 --> 01:20:11.160]   Yeah, well, the while phosphor is gonna get it. Your time's gonna get it
[01:20:11.160 --> 01:20:15.480]   And now it really is like which really really popular youtube's or youtuber
[01:20:15.480 --> 01:20:21.720]   Youtubers are gonna get it and then which other and maybe joanna sternet the journal and uh, yeah
[01:20:21.720 --> 01:20:26.200]   No, which is which i want to make sure i don't that's not but they're focused on video
[01:20:26.360 --> 01:20:31.880]   No, no, no, but they're focused on people who are doing video and i think producers that they may say to themselves
[01:20:31.880 --> 01:20:36.200]   Yeah, especially for these pro devices. That's what we want to give these two
[01:20:36.200 --> 01:20:43.080]   Uh, and let them do a splashy roll out all at the same time for it. I think that's kind of intriguing by the way
[01:20:43.080 --> 01:20:45.080]   I also appreciate mark putting in
[01:20:45.080 --> 01:20:52.840]   Completely random reasons a picture of eddy q on the floor of the warriors chase arena yelling at steff curry
[01:20:53.320 --> 01:21:01.080]   And by the way speaking of courage eddy's wearing flip flops now wearing flip flops courtside is a very courageous
[01:21:01.080 --> 01:21:03.320]   That is a thing to do. Yeah
[01:21:03.320 --> 01:21:09.640]   You got to be a brave man. It bear your toes in front of steff curry and a bunch of other eight foot tall people
[01:21:09.640 --> 01:21:17.640]   That's i said i said once 20 years ago and they're bigger than you realize when you're right there
[01:21:17.640 --> 01:21:21.560]   Uh, they're huge and bare feet. I don't know
[01:21:23.160 --> 01:21:25.400]   Yeah, god god god love them
[01:21:25.400 --> 01:21:31.400]   As my as my as my mom would say or anybody at her parish would say god god
[01:21:31.400 --> 01:21:37.720]   God bless bless his heart actually eddy has a big victory to talk about i've been noticing a lot of ads
[01:21:37.720 --> 01:21:43.160]   Yeah, the super bowl halftime show featuring taylor swift brought to you by
[01:21:43.160 --> 01:21:45.560]   apple
[01:21:45.560 --> 01:21:47.720]   Apple music usually it's pepsi
[01:21:47.720 --> 01:21:51.160]   Usually it's a i mean these are that's a marquee
[01:21:52.360 --> 01:21:56.120]   Precision for a brand apple music not just apple but apple music
[01:21:56.120 --> 01:22:01.640]   So they so they basically gave the nfl the same talk that steve jobs gave to scully saying
[01:22:01.640 --> 01:22:06.120]   Do you want to do you want to sell sugar water to take little kids or do you want to help change the world?
[01:22:06.120 --> 01:22:12.760]   Yeah, ryan is also headlining so maybe say all that matters to me is that apple music was able to get riana to perform it
[01:22:12.760 --> 01:22:18.040]   Super bowl that's incredible that i mean if eddy q needed to bear his toes to make that happen
[01:22:18.040 --> 01:22:20.840]   Fantastic. Yeah, do you think that was the
[01:22:22.120 --> 01:22:24.120]   The stipulation i don't want to speculate
[01:22:24.120 --> 01:22:26.120]   Yeah
[01:22:26.120 --> 01:22:26.920]   surprising
[01:22:26.920 --> 01:22:31.080]   It's surprising this is the first time that like a a music streamer
[01:22:31.080 --> 01:22:38.200]   Uh is the first time to pran this show because they can the the reason why like pepsi and these other really big brands is because they already
[01:22:38.200 --> 01:22:43.080]   Had marketing agreements going on with prince with all these like huge huge marquee groups
[01:22:43.080 --> 01:22:49.800]   But apple music they can bring in the absolute top of the list people you're not going to have a vega stage magician
[01:22:50.280 --> 01:22:53.240]   Doing the halftime show which is what used to happen in the early 80s
[01:22:53.240 --> 01:22:58.760]   And you should definitely look up early 80s nfl halftime show if you wanted to see the epitome of okay
[01:22:58.760 --> 01:23:03.080]   Well clearly nobody's watching tv during the halftime show. It doesn't matter what we put on there
[01:23:03.080 --> 01:23:08.600]   Uh, so this yeah, that could be why did i think taylor so i saw swear to god i saw her in the ad
[01:23:08.600 --> 01:23:13.400]   But i don't see her name on here. It's ryan i think she has something to do with apple music
[01:23:13.400 --> 01:23:19.160]   Oh, maybe this like i love apple music so much and now i'm glad to see that do the host the halftime show
[01:23:19.560 --> 01:23:25.000]   Unfox featuring not me. I don't know i saw her in the ad maybe i wasn't paying close attention
[01:23:25.000 --> 01:23:30.120]   I will tell you you're not alone. I did see something about taylor swift and and apple music and stuff too
[01:23:30.120 --> 01:23:35.000]   So that came from somewhere. It's not just you didn't make it up i promise all of our schuster
[01:23:35.000 --> 01:23:40.200]   Whose apple's vice president of apple music and beat says ryan is an incredible according artist
[01:23:40.200 --> 01:23:44.200]   Is a favorite for many millions of apple music customers around the world?
[01:23:44.200 --> 01:23:47.240]   We're excited to partner with ryan a rock nation
[01:23:48.120 --> 01:23:50.120]   And the nfl
[01:23:50.120 --> 01:23:54.920]   To bring music and sports fans and mementis show what an incredible artist for the inogural
[01:23:54.920 --> 01:23:59.800]   That's interesting apple music super bowl halftime show the inogural
[01:23:59.800 --> 01:24:07.720]   First and many so over the coming months expect to see exclusive deals and sneak peeks leading up to the apple music super bowl halftime show
[01:24:07.720 --> 01:24:10.840]   By following apple music on tiktok instagram and twitter
[01:24:12.520 --> 01:24:16.840]   Yeah, and apple is also one of the one the groups that is actively actively
[01:24:16.840 --> 01:24:20.200]   Fighting to get nfl shows for their streaming platform
[01:24:20.200 --> 01:24:24.440]   Yeah, maybe this is maybe this was one of the sweeteners to the deal saying by the way
[01:24:24.440 --> 01:24:29.240]   That's why we'll be able to give you super bowl halftime shows like you wouldn't believe that's how you get in the river
[01:24:29.240 --> 01:24:33.880]   And we will be the underwriting sponsor for the next x years. No matter how this deal goes
[01:24:33.880 --> 01:24:37.240]   Maybe they're relegating so many the jettress says
[01:24:37.640 --> 01:24:41.800]   Uh, maybe they're really getting tailored to the you know the pregame tailgate party
[01:24:41.800 --> 01:24:48.680]   That would be she's done. She's done a halftime show. I'm sure before I'm pretty sure I remember her
[01:24:48.680 --> 01:24:53.720]   Uh, anyway riana. So that's a big deal. You're telling me young person. Yeah, riana
[01:24:53.720 --> 01:25:01.240]   Yes, so riana has not released a new album in a long long time and because she's been so focused on both her
[01:25:01.240 --> 01:25:03.880]   cosmetics line and her
[01:25:04.280 --> 01:25:10.520]   Fashion line. She has not done a lot of music stuff in a long time. So this is actually a huge deal that she's going to be performing
[01:25:10.520 --> 01:25:14.760]   Live for the first time in forever. Here is her tweet that kind of broke the news
[01:25:14.760 --> 01:25:17.480]   Oh
[01:25:17.480 --> 01:25:22.760]   Cool for the folks who are listening it is a football in the hand of a person who it has some
[01:25:22.760 --> 01:25:26.360]   Significant hint of to it. Yeah, and a tattoo
[01:25:26.360 --> 01:25:33.480]   I suppose that's riana's got to be riana's hand. I mean, I must be recognizable as as riana's hand
[01:25:34.040 --> 01:25:39.400]   Uh, it got 283 000 retweets 119 quote tweets and 1.8 million likes
[01:25:39.400 --> 01:25:42.040]   So obviously people looked at that and went oh
[01:25:42.040 --> 01:25:46.280]   Riana's gonna be at the halftime show
[01:25:46.280 --> 01:25:52.360]   And anybody anybody wants to throw shade at taylor swift the you're you're not me
[01:25:52.360 --> 01:25:55.480]   You're looking for you're looking forward to her october her october album as much as pretty much
[01:25:55.480 --> 01:25:58.680]   Not me. I wouldn't in a million years
[01:25:58.680 --> 01:26:03.560]   Uh, so all right. Yeah, i'm just gonna be remain puzzled by that
[01:26:03.880 --> 01:26:05.880]   Uh, let's see what else
[01:26:05.880 --> 01:26:07.880]   Uh, i'm just looking at bloomberg
[01:26:07.880 --> 01:26:14.120]   Mark's bloomberg newsletter because there was a lot of juice in this newsletter and another another news
[01:26:14.120 --> 01:26:22.040]   He says the by now pay later feature that apple announced at wwdc is mysteriously delayed
[01:26:22.040 --> 01:26:25.480]   What's the story there morning glory?
[01:26:25.480 --> 01:26:26.840]   So
[01:26:26.840 --> 01:26:32.200]   This is so for folks who may not remember apple did announce that they would be doing the thing
[01:26:32.600 --> 01:26:37.640]   That a lot of different fin tech companies are doing where you are able to
[01:26:37.640 --> 01:26:40.920]   Go online and when you find an item that is
[01:26:40.920 --> 01:26:43.080]   costly
[01:26:43.080 --> 01:26:45.480]   Say, you know $300. We'll just go with that
[01:26:45.480 --> 01:26:54.600]   The different fin tech companies will help you split that up into a certain number of payments and depending on who you use for that
[01:26:54.600 --> 01:26:59.080]   Uh, they may charge you some interest on those payments
[01:26:59.560 --> 01:27:03.160]   So it basically evens out to a loan that you're paying over time or
[01:27:03.160 --> 01:27:09.320]   Many of them do interest-free loans where you just split up the payments into a certain number of
[01:27:09.320 --> 01:27:12.600]   Actual payments paid out
[01:27:12.600 --> 01:27:17.320]   Apple said that they would be doing this with apple pay itself
[01:27:17.320 --> 01:27:21.960]   So you could uh go and anywhere where you would do an apple pay payment
[01:27:21.960 --> 01:27:28.760]   It's unclear sort of the the limits because some services will do even payments as small as like 40 bucks
[01:27:29.400 --> 01:27:30.520]   Or rather
[01:27:30.520 --> 01:27:32.600]   Full purchases as small as 40 bucks
[01:27:32.600 --> 01:27:37.640]   In this case you go through you make an apple pay payment and then instead of paying for it all right there up front
[01:27:37.640 --> 01:27:44.280]   Apple would give you an option to pay out in four equal installments with 0% APR
[01:27:44.280 --> 01:27:48.920]   So basically you would not be paying extra for it just the cost itself
[01:27:48.920 --> 01:27:55.800]   And now it seems like uh while that was meant to release with uh, ios 16
[01:27:56.520 --> 01:28:02.520]   It is and there's a setting that's available in your phone already to turn on that allow payments option
[01:28:02.520 --> 01:28:05.240]   It is not there and apparently
[01:28:05.240 --> 01:28:08.680]   Uh apple is still working to make it possible
[01:28:08.680 --> 01:28:11.000]   So coming in a future update
[01:28:11.000 --> 01:28:13.480]   They say may not be available in all states
[01:28:13.480 --> 01:28:18.920]   I wonder if they're legal issues or maybe they're sensitive to the fact that especially in an economic downturn
[01:28:18.920 --> 01:28:21.000]   Bnpl
[01:28:21.000 --> 01:28:25.800]   Can be a bad thing for some people yeah, excuse to buy stuff
[01:28:25.800 --> 01:28:27.400]   They can't afford well
[01:28:27.400 --> 01:28:33.560]   Another thing could be that they're part of what what's going to make this work for them is the ability to basically oh you're you'd have
[01:28:33.560 --> 01:28:39.480]   Made payments guess what your phone has been deactivated until you resume your payments kind of like what kind of weather was really chintzy
[01:28:39.480 --> 01:28:47.160]   Uh, we finance anybody car loan companies do where they put a tracker then and a disruptor on the car that says oh by the way
[01:28:47.160 --> 01:28:52.280]   We've disrupted your two days late. We're gonna give you charge you a $500 extra fee and you're stranded in the middle of nowhere
[01:28:52.680 --> 01:28:59.240]   So that's we you know, it's it's a weird thing as it'd be interesting. It would be more interesting if they made that a benefit of
[01:28:59.240 --> 01:29:05.400]   Actually, maybe it is that that's not a benefit of uh of having the apple bang for something on the apple card is it
[01:29:05.400 --> 01:29:10.040]   I know this is a separate. Yeah, this is okay as part of apple pay
[01:29:10.040 --> 01:29:15.480]   So yeah, you could yeah, you could not have an apple card and still be able to do these people would still have to qualify
[01:29:15.480 --> 01:29:18.760]   So yeah, yeah, they yes the qualification is separate
[01:29:18.760 --> 01:29:22.680]   So basically even if you didn't qualify for the full-on apple card
[01:29:22.680 --> 01:29:25.480]   It is possible that you could qualify for one of these but then again
[01:29:25.480 --> 01:29:30.840]   That's where we're looking at that sort of moral issue of they couldn't qualify for the card should we you know
[01:29:30.840 --> 01:29:37.960]   Caught the card you don't you don't have you don't have a hundred dollars to spend on a new phone. Yeah, that's
[01:29:37.960 --> 01:29:46.840]   And I don't I don't want to be make the sound condescending at all because I mean there there are a lot of reasons why people don't don't carry a credit card
[01:29:47.320 --> 01:29:50.840]   Uh, there are people who can absolutely afford a brand new iPhone
[01:29:50.840 --> 01:29:59.480]   But you're right everybody everybody who's talked about this and thinking about this that the first time that apple gets associated with payday car loans
[01:29:59.480 --> 01:30:02.120]   That's not a good look for apple
[01:30:02.120 --> 01:30:08.680]   That's the same reason why I was wondering why they really wanted to be to get into banking why they really wanted to get into having their own credit card
[01:30:08.680 --> 01:30:16.600]   It's like the first time that someone they approved someone that got in over their head that and objectively another commentator would say
[01:30:16.600 --> 01:30:23.320]   Yeah, there's a reason there's someone almost they almost almost anybody else who they would have applied to they would have given them a lower credit
[01:30:23.320 --> 01:30:26.600]   Remit limit or basically made it harder for them to get themselves in
[01:30:26.600 --> 01:30:35.080]   $3,000 worth of debt that they can't pay back. That's that when that starts happening. That's a bad bad look for apple german says i'm hearing
[01:30:35.080 --> 01:30:43.560]   That's that's versus i'm thinking i'm hearing there have been fairly significant technical and engineering challenges in rolling out the service
[01:30:44.040 --> 01:30:47.560]   And that's leading to the delay. So I don't know we'll see
[01:30:47.560 --> 01:30:50.920]   So apparently there's it's not on the sort of should we do this side?
[01:30:50.920 --> 01:30:56.040]   No, we can't make this happen for some reason. We already talked about should we do it? We just can't do it. Yeah
[01:30:56.040 --> 01:31:02.120]   Yeah, we're worried about what happens to our tires when we run over people like that over and over and over again
[01:31:02.120 --> 01:31:05.560]   Should we have metal should the boot on their necks?
[01:31:05.560 --> 01:31:10.600]   Should it be more of a pressure thing or should it be more of a spikes on it that they're inflicting the pain?
[01:31:10.840 --> 01:31:16.120]   We just don't know yet. Uh bait a lot of the block of back and forth. No bad idea. This just in
[01:31:16.120 --> 01:31:18.680]   According to tmz and people
[01:31:18.680 --> 01:31:23.880]   Taylor Swift was offered the 2023 Super Bowl halftime show but turned it down
[01:31:23.880 --> 01:31:27.000]   So riana was a second choice
[01:31:27.000 --> 01:31:32.840]   Oh, that breaks my heart or third. We don't know there could have been others, but she was at least a second or
[01:31:32.840 --> 01:31:37.240]   Okay, here's what here's what really happened and by the way when I say what it really happened
[01:31:37.240 --> 01:31:41.640]   What I'm saying is this is what happened in my mind in my head makes me happier. Yes in my head
[01:31:41.640 --> 01:31:45.960]   This is what really happened. Yes riana was asked first
[01:31:45.960 --> 01:31:50.120]   And her people were like because of course they didn't get to talk to riana face-to-face
[01:31:50.120 --> 01:31:53.480]   They her people were like uh, we'll we'll we'll run it up the chain
[01:31:53.480 --> 01:31:57.640]   Well, you know, we'll see maybe maybe and while they were doing that they're like, oh man
[01:31:57.640 --> 01:32:03.000]   We got to find somebody else and of course taylor swift is a great second choice because biancé was not going to do it again
[01:32:03.000 --> 01:32:06.600]   She's too busy. So they went to taylor swift to next
[01:32:06.680 --> 01:32:08.680]   If you can't get the queen get the princess
[01:32:08.680 --> 01:32:16.040]   Yes, and then taylor swift was like, uh, no because i'm still kind of weird about streaming music services and how you devalue my music and
[01:32:16.040 --> 01:32:20.120]   Yeah, I like you pay people more apple, but still not so great about that
[01:32:20.120 --> 01:32:24.520]   And also i've got a tour to do and while she was in the middle of saying no with this long reason
[01:32:24.520 --> 01:32:28.760]   Why because of course you wrote like a letter that's whenever riana's people came back and said actually
[01:32:28.760 --> 01:32:35.240]   Rihanna's uh ready to do this as long as uh, we can talk a lot about her cosmetics that she tells in her fashion
[01:32:36.040 --> 01:32:38.040]   large oh lord
[01:32:38.040 --> 01:32:40.280]   Regulators are according
[01:32:40.280 --> 01:32:47.960]   Uh to pew earlier in the year scrutinizing bnpl by now pay later. So maybe it's good. Yeah as they should
[01:32:47.960 --> 01:32:50.440]   Yeah, you're seeing it everywhere. I've got a family member
[01:32:50.440 --> 01:32:54.920]   Who uh, i got him. Sorry. I was just really quick anecdote
[01:32:54.920 --> 01:32:59.960]   I have a family member who a younger family member and didn't quite grasp the
[01:32:59.960 --> 01:33:02.360]   seriousness of the situation
[01:33:02.360 --> 01:33:07.080]   I didn't know that they had this because I knew about by now pay later, but I didn't know it went as far as
[01:33:07.080 --> 01:33:10.760]   Essentially an app that is a payday loan service
[01:33:10.760 --> 01:33:15.720]   Like they had to set up. Yeah, and so they ended up getting you know
[01:33:15.720 --> 01:33:21.240]   Some of their paychecks completely taken away because they had signed up for this thing and I was so
[01:33:21.240 --> 01:33:27.960]   I was very upset not at them, but at the fact that this even existed that there apparently payday loan
[01:33:28.680 --> 01:33:33.080]   Apps essentially that are out there. That's ridiculous. Go ahead. No, no, I
[01:33:33.080 --> 01:33:36.520]   I'm 100 with you. What gets me mad is that now they're sort of
[01:33:36.520 --> 01:33:40.840]   The thing is like a lot of these shifty finance financial operators
[01:33:40.840 --> 01:33:45.080]   They look shifty like you drive you realize that when you're shopping for a new car
[01:33:45.080 --> 01:33:47.400]   You wonder why one is
[01:33:47.400 --> 01:33:55.000]   in what used to be a mcdonald's that went out of business in 1978 and one is a big building with a big lot and big
[01:33:55.160 --> 01:33:58.680]   And waiting for stuff like that and maybe the payday loan the payday loan
[01:33:58.680 --> 01:34:00.680]   Operator looks a little bit shifty
[01:34:00.680 --> 01:34:04.040]   It's when like you're checking out on just making a purchase on ebay
[01:34:04.040 --> 01:34:08.840]   And it's offering to split a payment into like X portions like oh wow, that's a really great feature ebay
[01:34:08.840 --> 01:34:12.120]   Thank you. I was gonna spend 400 dollars for this thing that I needed
[01:34:12.120 --> 01:34:15.400]   But yeah, it would be easier for us to spend it in in different payments
[01:34:15.400 --> 01:34:20.520]   And then like I've never I'm not speaking ill of whatever the service ebay is using
[01:34:20.520 --> 01:34:21.640]   I've never used it myself
[01:34:21.640 --> 01:34:27.800]   But the thing is like it feels like you trust ebay you trust apple you trust this operation
[01:34:27.800 --> 01:34:31.480]   And this and this and this feels like oh if I just click this checkbox
[01:34:31.480 --> 01:34:36.920]   I was worrying about how much i'm who's gonna have to like cut back in order to afford this and all in one thing
[01:34:36.920 --> 01:34:43.880]   Great. I'll do it this way without really appreciating that well here are things that this they're not actually offering this financial service themselves
[01:34:43.880 --> 01:34:47.160]   They are basically taking a commission on another company
[01:34:47.160 --> 01:34:51.160]   That doesn't care that you can't make your rent this week because they decided that
[01:34:51.320 --> 01:34:53.960]   Hey, we've been paying on time, but you're a little bit
[01:34:53.960 --> 01:34:56.200]   You're not really getting ahead of much
[01:34:56.200 --> 01:35:01.720]   We have the ability to simply take all the money out of your account to cover the balance and the future interest
[01:35:01.720 --> 01:35:05.240]   So that's what we did good luck paying your paying your rent this month because we just took
[01:35:05.240 --> 01:35:07.720]   We just took a hundred dollars out of your account right now
[01:35:07.720 --> 01:35:12.840]   That's the sort of stuff that people are going to get get hooked by as well as mica's situation where
[01:35:12.840 --> 01:35:16.920]   You have little kids who don't you know, they they go you have kids in school
[01:35:16.920 --> 01:35:21.000]   They learn how to they learn how to maybe survive an active shooter
[01:35:21.160 --> 01:35:24.840]   They do not learn how like interest works. They don't learn how loans work
[01:35:24.840 --> 01:35:30.280]   They don't learn how personal finance works and that's a doubly a problem in our society. Yeah
[01:35:30.280 --> 01:35:33.880]   I have one word for that tree parumpa bidur
[01:35:33.880 --> 01:35:37.240]   and
[01:35:37.240 --> 01:35:40.040]   Tree parumpa bidur
[01:35:40.040 --> 01:35:46.040]   Tree parumpa bidur is the factory on the outskirts of chanai, india where apple is now manufacturing
[01:35:46.120 --> 01:35:53.240]   It's iphone 14 for the first time ever. This is the beginning of apple transferring out of china
[01:35:53.240 --> 01:35:59.080]   Uh as we've been talking about for some time now how urgent that is. It's just the 14
[01:35:59.080 --> 01:36:05.320]   It's kind of driven by the fact that india has additional terrace for phones that are not manufactured in country
[01:36:05.320 --> 01:36:10.360]   So I suspect that has something to do with that as well foxcon will though is the manufacturer
[01:36:10.360 --> 01:36:12.920]   So it will be making devices
[01:36:13.720 --> 01:36:17.320]   And it's tree parumpa bidur factory in the outskirts of chanai
[01:36:17.320 --> 01:36:23.480]   This is the big this is going to eventually lead to them fully leaving china or is this a diversify?
[01:36:23.480 --> 01:36:27.960]   Other options. We know they're going to do vietnam plants, right uh brazil
[01:36:27.960 --> 01:36:30.600]   Plants, I think it's diversifying
[01:36:30.600 --> 01:36:35.320]   Got it. Absolutely. And also this is this is significant because they've they have been doing
[01:36:35.320 --> 01:36:39.000]   Indian manufacturing before to as you say comply with tariffs
[01:36:39.000 --> 01:36:43.640]   I think this is the first time that they've been doing no the brand new current phone that was just what it is this year
[01:36:43.960 --> 01:36:52.200]   Is being is being done locally and that's that's that is a scary thing if you are a chinese manufacturer because once you start demonstrating that no
[01:36:52.200 --> 01:37:00.600]   Manufacturing in vietnam vietnam factoring in india manufacturing brazil is absolutely in the same level of quality precision and reject rate
[01:37:00.600 --> 01:37:04.200]   As we've been doing and we've been doing it for 12 or 13 years on this line of phones
[01:37:04.200 --> 01:37:09.080]   That becomes scary when when apple cra apple and foxcon they crack the formula
[01:37:09.320 --> 01:37:16.920]   Here is how to build a factory literally anywhere in the world and build things to apples apples demands and apples tolerances apples labor rules
[01:37:16.920 --> 01:37:25.480]   Absolutely everything then suddenly they're not quite looking as a superstars that are indispensable as they have been for the past 12 years 13 years
[01:37:25.480 --> 01:37:27.560]   And it's clear apple knows how to take
[01:37:27.560 --> 01:37:35.320]   A manufacturing process and bring it up to its standard. I mean, you know for a long time stuff made in china was considered cheesy, right?
[01:37:36.120 --> 01:37:42.920]   Not anymore in fact all of our iphone 14 pros both the pros and the max are still made exclusively in china
[01:37:42.920 --> 01:37:46.280]   So yeah, but to but to I mean to chinese credit like
[01:37:46.280 --> 01:37:53.160]   Manufacturing for a for a decade and a half was that was their their their their Apollo program. That was their moon shot
[01:37:53.160 --> 01:38:01.240]   They were they were investing in that part of of of the economy's future and they did and do take great pride and no
[01:38:01.240 --> 01:38:04.920]   We're yes, yes, if you buy something a cheap knockoff from all the express
[01:38:04.920 --> 01:38:07.960]   It probably was manufactured in china for next to nothing
[01:38:07.960 --> 01:38:15.320]   But we are also the same manufacturers that can do spacecraft components to the talk to to the tolerances of any requirement whatsoever
[01:38:15.320 --> 01:38:18.840]   At a speed that has never been seen before south korea did the same thing in fact
[01:38:18.840 --> 01:38:20.280]   I think it was
[01:38:20.280 --> 01:38:22.600]   That was the model for the chinese government
[01:38:22.600 --> 01:38:30.600]   They looked at how south korea went from being the back of the drugstore crappy stuff to premiere quality stuff and they said we should we can do that too
[01:38:31.320 --> 01:38:37.240]   And they start and to be and also do they they started off by taking all of the every time that american companies for instance
[01:38:37.240 --> 01:38:44.200]   Decided to shut down and move their manufacturing elsewhere guess who was buying all of their factories and buying all of their machinery and shipping it back home
[01:38:44.200 --> 01:38:46.840]   it was again the
[01:38:46.840 --> 01:38:51.000]   The expanding chinese manufacturing sector. They mean this
[01:38:51.000 --> 01:38:59.720]   They again it's too bad that that it's often that it's often associated with cheap tachy knockoff stuff because they really are the crème dill or crème
[01:38:59.800 --> 01:39:06.520]   In terms of we need something that's manufactured for on a certain budget to an extreme tolerance to an amount of reliability
[01:39:06.520 --> 01:39:12.360]   And we need to be able to pivot very very quickly who can do that and the answer is almost always chinese fat manufacturing
[01:39:12.360 --> 01:39:14.680]   um
[01:39:14.680 --> 01:39:16.280]   We have talked
[01:39:16.280 --> 01:39:19.240]   Months ago about app tracking transparency
[01:39:19.240 --> 01:39:23.080]   Facebook's whining about apple turning that switch on
[01:39:23.080 --> 01:39:28.440]   Uh, we'd also mentioned that facebook has other ways around it as does as do other companies
[01:39:28.440 --> 01:39:32.920]   It's just one thing that apple's turning off the apple id for advertisers idfa
[01:39:32.920 --> 01:39:37.080]   Uh, well it turns out facebook was in fact getting around it
[01:39:37.080 --> 01:39:43.400]   Uh, and they are now being sued security researcher phillics crèce found that facebook
[01:39:43.400 --> 01:39:50.600]   Was getting around apple system. Oh, this is so evil by directing any link a user clicks in the app
[01:39:50.600 --> 01:39:54.040]   To a new in app browser window
[01:39:54.040 --> 01:39:56.680]   Where meta could inject code
[01:39:57.320 --> 01:40:01.960]   Alter the external websites track user behavior online without your consent or awareness
[01:40:01.960 --> 01:40:06.760]   as a result meta is facing two class action lawsuits
