
[00:00:00.000 --> 00:00:05.480]   It's time for Mac break weekly. I'm back. I miss you guys Renee Richie's here Alex Lindsey's here
[00:45:10.700 --> 00:45:15.740]   Overall 33 million he says apple watch units he estimates have been sold since lost
[00:45:15.740 --> 00:45:18.460]   launch a 12 billion dollar
[00:45:18.460 --> 00:45:22.860]   Business that is quite a success story that is quite a trajectory
[00:45:22.860 --> 00:45:26.540]   And I see nothing wrong with those numbers. They all seem to work
[00:45:26.540 --> 00:45:34.860]   A lot of watches that's a lot of watches. I'm watching and I see more of and I see more and more of them all the time
[00:45:35.180 --> 00:45:38.860]   Uh, the funniest thing for me is the people that used to see me wearing apple watches
[00:45:38.860 --> 00:45:43.100]   Like I'll go into pay for something at a restaurant or I'll go to use my boarding pass at an airport
[00:45:43.100 --> 00:45:48.060]   Or I'll go to pick up something and the person at the counter now like holds up their apple watch. I got one too now
[00:45:48.060 --> 00:45:51.660]   Yeah, that was a big shift here. I think partly because the price went down
[00:45:51.660 --> 00:45:58.300]   Uh, you're you're just seeing them everywhere now. I'm serious one is way down now. Yeah. Yeah. Yeah, that's that was one
[00:45:58.300 --> 00:46:02.700]   That was one of my favorite announcements that now that they're a lot of companies have are sort of
[00:46:03.500 --> 00:46:09.660]   Been alerted to the fact that you can sell a really good fitness device that wears like a watch for
[00:46:09.660 --> 00:46:12.060]   200 to 280
[00:46:12.060 --> 00:46:17.740]   And that's where a lot of the cool stuff with fitbit stuff and garment stuff and other makers are really going
[00:46:17.740 --> 00:46:20.300]   So the fact that apple is right there in the middle of it
[00:46:20.300 --> 00:46:25.340]   That's they're they're they're charging no more for the apple watch if you want even if you want to get in just on the ground floor
[00:46:25.340 --> 00:46:28.540]   That any other maker is is charging and that's
[00:46:28.540 --> 00:46:32.460]   Even the minimum buy-in is one of the best
[00:46:33.420 --> 00:46:36.300]   Devices in this category you can possibly buy that's that's exciting
[00:46:36.300 --> 00:46:42.460]   I love this story from uh in the wall street journal
[00:46:42.460 --> 00:46:49.820]   Samsung makes about four billion dollars more a year making iPhone 10 parts than it does for the galaxy s8
[00:46:49.820 --> 00:46:52.140]   There's a story like two years ago
[00:46:52.140 --> 00:46:56.860]   Yeah, where they did uh they did a samsung event they announced a phone and the people there said it was it looked more like
[00:46:56.860 --> 00:46:59.740]   A parts demo for apple than an actual phone event
[00:47:00.060 --> 00:47:04.700]   And I keep remit thinking back to that because now you have the iphone 10 which uses quite a lot of samsung again
[00:47:04.700 --> 00:47:07.820]   Well, it's the samsung screen right although they're trying to second source it with lg
[00:47:07.820 --> 00:47:10.380]   I think it's a sam the panel is samsung
[00:47:10.380 --> 00:47:14.700]   Yeah, they're doing a lot of other stuff underneath it, but the the raw all that is right is samsung
[00:47:14.700 --> 00:47:19.980]   Just I mean again this has to do with the vast number of phones apple cells
[00:47:19.980 --> 00:47:23.500]   Um the s8 will sell about 50 million phones
[00:47:23.500 --> 00:47:26.300]   in in uh in this first year
[00:47:26.860 --> 00:47:30.060]   Uh, but that's I mean that's a that's probably you know
[00:47:30.060 --> 00:47:34.380]   A half or you know a third what apple's gonna sell
[00:47:34.380 --> 00:47:40.220]   Yeah, that's why and I think that we I mean it it seems like it's a good business model for samsung at the moment
[00:47:40.220 --> 00:47:46.780]   But if if you want to ask imagine technology imagination technologies, uh, you know how it looked yeah, they relied on apple
[00:47:46.780 --> 00:47:49.260]   They were the gpu manufacturer till apple said
[00:47:49.260 --> 00:47:51.740]   And nevermind
[00:47:51.740 --> 00:47:54.220]   And now they're and I think they basically bust right
[00:47:55.020 --> 00:48:01.260]   You feel like apple would love to not be you know sharing ideas or talking to samsung about anything
[00:48:01.260 --> 00:48:07.980]   Uh, and you know at some point that could slide out from under my think that the the sheer numbers that they have to produce still
[00:48:07.980 --> 00:48:11.740]   And still leaves them dependent on samsung, but I don't know if it'll be like that forever
[00:48:11.740 --> 00:48:16.460]   Oh malach had a great uh post on his blog ome.com
[00:48:16.460 --> 00:48:21.100]   about when when the i when the iphone was announced on just
[00:48:22.220 --> 00:48:27.340]   Something we don't really pay that much attention to with the but the the chip fab
[00:48:27.340 --> 00:48:33.420]   That what apple is done with custom silicon is kind of remarkable really
[00:48:33.420 --> 00:48:41.100]   Um, this is an incredibly fast chip. I don't know if you need a chip with the speed of an a11 bionic in any phone
[00:48:41.100 --> 00:48:46.460]   But you notice it but you just like on the or the a 10 on an iphone 7 if you went into portrait motor
[00:48:46.460 --> 00:48:49.500]   You did some really intense ar you'd feel it pegging the processor
[00:48:49.740 --> 00:48:52.140]   I say I assume it was pegging least because the phone would get hot
[00:48:52.140 --> 00:48:55.420]   And you might have some issues with like not deal breaker issues
[00:48:55.420 --> 00:48:58.940]   But it would just like you'd feel like you were pushing that thing into the red as hard as you could go
[00:48:58.940 --> 00:49:01.980]   We're on iphone 8. It just it feels like it's about halfway
[00:49:01.980 --> 00:49:06.860]   Maybe like you're you're just cruising along and you're doing portrait mode and portrait lighting and ar you're letting the cpu
[00:49:06.860 --> 00:49:11.180]   Handle all the scaling and all the you know, and you're letting the jeep you render all those textures
[00:49:11.180 --> 00:49:17.980]   And it's just fine. I think the overhead is what's really nice with the a11. Yeah as well as all the neural nets the head the headroom
[00:49:18.700 --> 00:49:24.220]   Yeah, yeah, there's a lot of headroom you have a lot more processor than you'll like the neural net scare me leo
[00:49:24.220 --> 00:49:27.980]   I heard them describing the neural nets. This was like the I don't want to say creepy because that's not the right word
[00:49:27.980 --> 00:49:31.980]   But the most uh thought provoking moment from you when they were talking about the
[00:49:31.980 --> 00:49:36.540]   a11 chip was they were talking about training it and they had two different neural networks
[00:49:36.540 --> 00:49:43.980]   One that would identify faces and one that would try to fool it and they're basically training each other and no one is talking about coding machines here
[00:49:43.980 --> 00:49:46.220]   They're talking about these things like they're training pets
[00:49:46.620 --> 00:49:50.940]   And they're they're just talking that and there was another article about it would not relate to apple
[00:49:50.940 --> 00:49:56.060]   But where someone's like it's gotten way more accurate, but we have no idea how anymore because they're basically just talking to each other
[00:49:56.060 --> 00:50:01.660]   Well, and i worked in it. I worked in a life company
[00:50:01.660 --> 00:50:04.300]   um in the 90s early 90s
[00:50:04.300 --> 00:50:09.660]   I'm in 90s. Um, and you know a lot of it. Uh, we we were training training pets
[00:50:09.660 --> 00:50:13.500]   The problem is you just give it goals you say, okay
[00:50:13.500 --> 00:50:19.420]   I want I'm gonna give you a goal of what you what you need to do and you allow it to um, you know, uh
[00:50:19.420 --> 00:50:24.060]   Non-entropic reduction mapping if we've been my friends from an arca
[00:50:24.060 --> 00:50:30.140]   Um or listening but but it um, but basically how do you derive a solution that makes that go away?
[00:50:30.140 --> 00:50:36.300]   You know and but it but it is beyond a person because it's calculating so fast. It's trying to figure out
[00:50:36.300 --> 00:50:38.620]   You know and it may come up with entirely
[00:50:38.620 --> 00:50:42.060]   Uh novel solutions to something that may to be good and maybe bad
[00:50:42.220 --> 00:50:47.980]   You know that might may do something completely off the because it's decided that because you didn't create another constraint that says
[00:50:47.980 --> 00:50:50.460]   Yeah, but don't you know don't kill all your friends
[00:50:50.460 --> 00:50:56.060]   You do the best you can but don't kill it because you know, you know, not that it did it this in this case
[00:50:56.060 --> 00:50:59.260]   But you know when you talk about it like you know an organism you just be said
[00:50:59.260 --> 00:51:03.340]   You know stay alive as long as you can and it may decide that the best thing to do is to you know
[00:51:03.340 --> 00:51:08.140]   You know eat all its friends and and do all the other things and and so so and that's that makes sense
[00:51:08.140 --> 00:51:12.060]   So you have to build a constraint that says that and so that defines that but it is
[00:51:12.060 --> 00:51:15.580]   Anytime you're working with neural networks or artificial life
[00:51:15.580 --> 00:51:17.580]   especially
[00:51:17.580 --> 00:51:21.980]   You are definitely dealing with some kind of bionic organism that is
[00:51:21.980 --> 00:51:27.500]   Uh making calculations about it from its from its from its own personal point of view
[00:51:27.500 --> 00:51:30.220]   Um at a rate that you can't do from the outside
[00:51:30.220 --> 00:51:33.660]   I do have to say that this is apple secret sauce because
[00:51:33.660 --> 00:51:37.260]   Uh, I think they would love to make every single piece
[00:51:37.900 --> 00:51:40.540]   Inside the phone and uh to quote ohm
[00:51:40.540 --> 00:51:44.940]   Every single event leaves me more in awe of apple's semiconductor group
[00:51:44.940 --> 00:51:50.540]   Apples ability to design custom silicon its new a 11 bionic processing unit a new gpu
[00:51:50.540 --> 00:51:56.780]   That's the one they took off of uh imagines shoulders new image processing chips that we we should mention this new
[00:51:56.780 --> 00:51:59.260]   One thing about the series three watch is
[00:51:59.260 --> 00:52:03.180]   Mon noticeably faster. Yeah, it now has uh, its own s3
[00:52:03.820 --> 00:52:10.300]   Dual core processor which makes a huge difference low power wireless chips the w2 chip true depth camera system
[00:52:10.300 --> 00:52:13.420]   Uh, there's 21 letters in the alphabet left leo
[00:52:13.420 --> 00:52:18.380]   It's it's really remarkable and I think that if if you
[00:52:18.380 --> 00:52:22.780]   As as much as I carp on apple for non innovating and so forth the
[00:52:22.780 --> 00:52:28.380]   The one thing that apple really has shown and I guess this is really where tim cook strength is because he comes from
[00:52:28.380 --> 00:52:32.460]   You know a production point of view and and logistics point of view
[00:52:32.700 --> 00:52:40.060]   Is their ability to make it more and more and more of this phone and they've really become a a giant in terms of
[00:52:40.060 --> 00:52:47.340]   Controlors econ's they just every all the clue and sign. Yeah, ultimately. That's the goal, right? They would prefer not to buy anything from sam's song
[00:52:47.340 --> 00:52:50.700]   They'd love not to buy anything from quarkam right at quarkam especially
[00:52:50.700 --> 00:52:56.220]   Does the eight have any quarkam processors? Yeah, because it still has to run on verizon and sprint in the us
[00:52:56.220 --> 00:52:58.620]   Same quarkam boat. Yeah
[00:52:59.340 --> 00:53:04.300]   That was another argument about the including fm capabilities that they were using intel and quarkam
[00:53:04.300 --> 00:53:07.020]   Chips on depending on the model
[00:53:07.020 --> 00:53:11.740]   Even within the iphone eight would say and the other the other problem is remember that there was a
[00:53:11.740 --> 00:53:15.660]   I think with the seven I think was with the seven people were noticing the other gosh
[00:53:15.660 --> 00:53:18.540]   How come these how come this these two exact same?
[00:53:18.540 --> 00:53:23.340]   iPhones are benchmarking differently from the same location on lte speeds
[00:53:23.340 --> 00:53:29.180]   And was because the I think was the intel chips were faster than they were much slower. They were half as fast
[00:53:29.660 --> 00:53:32.060]   I'm sorry the other way around but the and so
[00:53:32.060 --> 00:53:36.780]   Apples apples answer. I think was to slow down the quarkam's motor
[00:53:36.780 --> 00:53:40.060]   So make sure that all of iphones would perform the same way
[00:53:40.060 --> 00:53:45.100]   It's actually one of the points in quarkam's lawsuit against apple. Yeah, they're not too happy about that
[00:53:45.100 --> 00:53:49.420]   Well, I happen a lot. I know one thing to know about one would be too happy
[00:53:49.420 --> 00:53:54.220]   I know I mean by the way, I should mention quarkam's a sponsor. So I have a dog in this hunt that but uh
[00:53:55.500 --> 00:53:58.860]   That happens often with our our chips as well, you know, the chips are
[00:53:58.860 --> 00:54:02.380]   You know the chips that we have in our computers a lot of times can go faster than that
[00:54:02.380 --> 00:54:03.980]   You know, we overclock them and do all kinds of things
[00:54:03.980 --> 00:54:12.700]   But but a lot of times the chips they'll decide that the reason one chips more expensive or or less expensive is because as they tested it
[00:54:12.700 --> 00:54:17.900]   It tested it made it through all the tests at this speed. They're all coming out of the same fab
[00:54:17.900 --> 00:54:20.220]   It's just like they they but they well worse than that
[00:54:20.220 --> 00:54:24.700]   I've learned not I'm gonna stop by an i7 processors for laptops
[00:54:25.100 --> 00:54:27.100]   because of thermal constraints the
[00:54:27.100 --> 00:54:31.340]   The general the latest generations of i7s are so hot that they've
[00:54:31.340 --> 00:54:34.300]   Rarely if ever run at full speed
[00:54:34.300 --> 00:54:39.820]   So you're if you look at the clocks the nominal clock speed of an i7 processor in a lap top
[00:54:39.820 --> 00:54:44.060]   Almost immediately you're never going to hit that because they be it's just too hot
[00:54:44.060 --> 00:54:50.460]   So uh, I'm I'm realized i'm wasting i always buy my sevens and i'm realized i think i'm wasting money
[00:54:50.460 --> 00:54:52.860]   Because i'm never really getting the speed that you're supposed to get
[00:54:53.100 --> 00:54:55.100]   You mean an apple thing with like when they dual score
[00:54:55.100 --> 00:54:58.220]   Yeah, I just use an i5
[00:54:58.220 --> 00:55:00.540]   Uh, I don't think I don't think that evens out over
[00:55:00.540 --> 00:55:05.020]   You should look you should look at what happens because of the not true in desktops
[00:55:05.020 --> 00:55:09.180]   But if thermal constraints within laptops, you should look at what happens to these i7s
[00:55:09.180 --> 00:55:14.060]   They're rarely running at full clock speed because I know with video with some video especially real-time video
[00:55:14.060 --> 00:55:17.900]   We definitely could see the difference between i5s and i7s. Are you using laptops?
[00:55:17.900 --> 00:55:22.380]   Yeah, yeah, yeah, laptops. Yeah. I mean it was definitely like a night and day
[00:55:23.180 --> 00:55:27.900]   Really kind of problem. It shouldn't even be night and day. I mean it's the that's the long time ago. It wasn't
[00:55:27.900 --> 00:55:34.060]   Yeah, well, that's right. Oh, no. I'm not talking about the the latest the skylakes the cave. Yeah, the coffee likes
[00:55:34.060 --> 00:55:39.420]   The latest processors a lot of people will just tell you not to give until the extra money and you're fine
[00:55:39.420 --> 00:55:43.420]   Yeah, uh, the one thing though, uh
[00:55:43.420 --> 00:55:47.340]   The one apple bite when apple does multi source things because they make things at such huge scale
[00:55:47.420 --> 00:55:53.180]   So sometimes they've multi source the or dual source the processor or the screens or other source of technology is they set
[00:55:53.180 --> 00:55:59.260]   Uh, they set a sort of a spec that they need and some manufacturers blow right past that spec and some just achieve it
[00:55:59.260 --> 00:56:01.260]   But for apple as long as they meet that spec
[00:56:01.260 --> 00:56:05.020]   So it's almost like if the world if the if to qualify for the olympics
[00:56:05.020 --> 00:56:06.860]   You've got to run a hundred meters in 10 seconds
[00:56:06.860 --> 00:56:10.300]   They don't care if you run at nine or eight to them as long as you run in 10 seconds
[00:56:10.300 --> 00:56:15.020]   You're qualified for iphone. So whether the chipset is more powerful or the modem is faster
[00:56:15.420 --> 00:56:20.940]   They they have set a limit in what they want for that phone and that is what they are going to ship with so the individual parts
[00:56:20.940 --> 00:56:26.300]   It's an it's like an implementation detail and it's a super nerdy detail, but they just lock that down way in advance
[00:56:26.300 --> 00:56:34.220]   So let's take a break when we come back apples created a new page on its website that will make many people feel good until they
[00:56:34.220 --> 00:56:38.860]   See the transparency reports and learn what the governments have been asking apple for lately
[00:56:38.860 --> 00:56:43.820]   We'll talk about that in just a second, but first a word from our sponsor word press dot com
[00:56:44.380 --> 00:56:47.100]   8% of the web runs word press
[00:56:47.100 --> 00:56:52.780]   That's that's dominant. That's dominant and there's good reason for it
[00:56:52.780 --> 00:56:59.980]   WordPress is the best way to create your next website if you're a business and you don't have your own website
[00:56:59.980 --> 00:57:04.060]   I don't mean your own facebook page. I don't mean your own twitter account. I mean your own
[00:57:04.060 --> 00:57:06.380]   domain your own
[00:57:06.380 --> 00:57:10.460]   Website you're missing the boat. You're really uh, you're not modern
[00:57:10.460 --> 00:57:13.340]   It's like not having a phone
[00:57:13.660 --> 00:57:16.860]   Everyday millions of people go online to search for local businesses
[00:57:16.860 --> 00:57:22.460]   You know it doesn't have to be a tech company could be a wedding photographer could be a restaurant could be a plumber
[00:57:22.460 --> 00:57:24.940]   You have to be online
[00:57:24.940 --> 00:57:29.420]   And it is a great way to generate more business and more traffic and more loyalty
[00:57:29.420 --> 00:57:33.900]   And I know why you haven't done it because it's you don't want to be a web designer
[00:57:33.900 --> 00:57:38.460]   But you don't have to be with wordpress.com wordpress.com makes it easier
[00:57:39.980 --> 00:57:45.340]   For you to create a beautiful website that matches your business
[00:57:45.340 --> 00:57:51.020]   And makes it easier for your customers to find you to connect with you to hear how you can help them
[00:57:51.020 --> 00:57:54.380]   It's just good business your business needs an online home
[00:57:54.380 --> 00:57:59.580]   And the easiest fastest most affordable way to do it wordpress.com
[00:57:59.580 --> 00:58:04.060]   You don't have to hire somebody you don't need prior experience. You just go there right now
[00:58:04.060 --> 00:58:06.620]   Start up a page pick a design
[00:58:07.260 --> 00:58:11.740]   Boost your it's automatically going to boost your visibility with built-in search engine optimization
[00:58:11.740 --> 00:58:20.140]   Social sharing so your customers can help promote your business by sharing it on their facebook page their twitter account
[00:58:20.140 --> 00:58:24.060]   You can activate other wordpress plugins for the functionality your business is I use a lot of
[00:58:24.060 --> 00:58:29.660]   wordpress plugins I get amp for instance the google speed up that makes out my pages of my uh wordpress
[00:58:29.660 --> 00:58:32.380]   site leo loport.com load faster on mobile
[00:58:32.380 --> 00:58:35.500]   I use a actually use a ton of plugins. I really love
[00:58:36.220 --> 00:58:40.300]   WordPress. I'm a I'm familiar with WordPress. I've been using it for more than 10 years
[00:58:40.300 --> 00:58:44.620]   And I'm really glad now. I used to have a self-hosted WordPress now
[00:58:44.620 --> 00:58:47.740]   I love wordpress.com because they do all the work they keep it up to date
[00:58:47.740 --> 00:58:51.660]   They keep it secure. You get expert support whenever you have a problem
[00:58:51.660 --> 00:58:56.860]   Find out why 28 percent of all the websites run on wordpress including some of the best
[00:58:56.860 --> 00:58:59.660]   Journalism and the best professional sites
[00:58:59.660 --> 00:59:03.100]   wordpress.com/macbreak
[00:59:03.820 --> 00:59:09.100]   You get 15 percent off on any new plan purchase right now if you go to wordpress.com/macbreak
[00:59:09.100 --> 00:59:14.940]   Don't delay create a great site for your business with that a lot of hassle without a lot of trouble at wordpress
[00:59:14.940 --> 00:59:17.820]   Dot com slash mac break you'll even save
[00:59:17.820 --> 00:59:20.460]   15 percent we thank wordpress
[00:59:20.460 --> 00:59:26.060]   For hosting my blog for so many years and for supporting mac break weekly
[00:59:26.060 --> 00:59:32.140]   Uh, I'm really you know, I've I've given apple a hard time on privacy
[00:59:32.780 --> 00:59:36.140]   You know, sometimes they they always I think their heart's always in the right place
[00:59:36.140 --> 00:59:44.940]   But sometimes their actions aren't quite the same, but I think this is exactly what a company like apple needs to do apple dot com slash
[00:59:44.940 --> 00:59:47.020]   privacy
[00:59:47.020 --> 00:59:51.020]   Where it's not just add copy about privacy, but it really tells you
[00:59:51.020 --> 00:59:56.780]   Uh, what apple's philosophy is about privacy their approach to privacy
[00:59:56.780 --> 00:59:59.740]   It has a tab to manage your privacy
[01:00:00.220 --> 01:00:03.420]   Which is really important how to secure your device
[01:00:03.420 --> 01:00:08.380]   Uh, this is the kind of thing with videos and instructions that everybody
[01:00:08.380 --> 01:00:12.460]   You know, you get you get your uh less techy friends to go
[01:00:12.460 --> 01:00:17.260]   Visit this why to factor is important how to turn it on
[01:00:17.260 --> 01:00:21.820]   All of that stuff and then of course you go to the transparency report
[01:00:21.820 --> 01:00:25.500]   And you and you find out oh my god
[01:00:26.460 --> 01:00:31.500]   Despite all the things apple's doing it's it's getting harder and harder for a tech company these days
[01:00:31.500 --> 01:00:35.500]   Uh to stay private we've we've the number of
[01:00:35.500 --> 01:00:41.180]   Requests for information by government from uh from apple has
[01:00:41.180 --> 01:00:48.860]   Doubled this year and it's not those that's not those kind of average everyday requests that uh, you know
[01:00:48.860 --> 01:00:52.220]   Those have actually gone down the it's received
[01:00:52.860 --> 01:00:57.580]   Uh, 6% reduction in the request to access devices
[01:00:57.580 --> 01:01:04.380]   But the national security orders those are the scary ones the ones apple can't even tell you about
[01:01:04.380 --> 01:01:10.300]   Those are spiking i'm sorry what i say doubled tripled
[01:01:10.300 --> 01:01:17.820]   Triple the secret and classified orders have tripled over the last year and this comes from apple's own transparency report
[01:01:17.820 --> 01:01:21.420]   Uh, i believe they were low previously and now they're coming closer to the industry
[01:01:21.420 --> 01:01:23.420]   They were low before yeah
[01:01:23.420 --> 01:01:27.980]   They were getting roughly one third. What a microsoft or a google didn't that might make sense because they're not a server company
[01:01:27.980 --> 01:01:30.620]   Right by nature, but now they're they're getting up to those
[01:01:30.620 --> 01:01:37.740]   It is in a huge number you're right so apple got 30 000 demands to access 233 000 devices in the first half of the year
[01:01:37.740 --> 01:01:39.500]   That's down 6%
[01:01:39.500 --> 01:01:46.460]   But they got 3000 requests for data on 43 000 accounts like icloud content stored photos email context
[01:01:46.940 --> 01:01:51.340]   Device backups those are down by 15 compared to last year
[01:01:51.340 --> 01:01:55.820]   They can't say exactly how many national security orders
[01:01:55.820 --> 01:02:02.380]   They've received of course that's forbidden allowed they're not allowed to so they have to give you a range
[01:02:02.380 --> 01:02:04.780]   13,000
[01:02:04.780 --> 01:02:06.780]   250 to 13,499
[01:02:06.780 --> 01:02:15.340]   Uh nsl's affecting between 9 000 and 9,249 accounts and that is tripling
[01:02:16.140 --> 01:02:21.100]   That is the largest number of national security orders apple has ever reported in five years of transparency
[01:02:21.100 --> 01:02:23.980]   reports
[01:02:23.980 --> 01:02:27.020]   All the companies are now doing these transparency reports so we can at least know
[01:02:27.020 --> 01:02:30.780]   That's not just us government by the way. This is worldwide, right?
[01:02:30.780 --> 01:02:34.300]   Lots of i'm not sure i didn't check
[01:02:34.300 --> 01:02:39.660]   Think so is it i don't know now that's a good you're right let me uh
[01:02:39.660 --> 01:02:43.740]   This is their first biannual transparency
[01:02:43.740 --> 01:02:46.540]   I know they have separate websites up for different countries
[01:02:46.540 --> 01:02:52.380]   But I don't know if it what the requirement the legal requirements or or legal restrictions are in reporting on the country by country basis
[01:02:52.380 --> 01:02:55.500]   Well, here's the good news apple.com/privacy you can read it
[01:02:55.500 --> 01:03:00.300]   They would if they're being honest who would probably have to make it international because
[01:03:00.300 --> 01:03:03.820]   Remember that a lot of the government the us government has a lot of like
[01:03:03.820 --> 01:03:11.180]   A lot of mutual agreements with other agent other international agencies that says that if you we're not allowed to surveil our people
[01:03:11.260 --> 01:03:16.060]   But hey france would be really nice if you were to surveil these four people and tell us what you find out
[01:03:16.060 --> 01:03:21.420]   Well, actually the nsl's are us only because because that's that we're the ones who us else
[01:03:21.420 --> 01:03:24.460]   But there is a table in here that breaks it down country by country
[01:03:24.460 --> 01:03:29.420]   So you can you can read that and find out if which countries are asking for your information
[01:03:29.420 --> 01:03:34.700]   Does it kind of I think that's why increasingly they're doing like a lot of the new stuff they've built out
[01:03:34.700 --> 01:03:37.980]   It whatever the data you have like for example, they don't want to know it
[01:03:37.980 --> 01:03:41.900]   For the upcoming iMessage think yeah, absolutely or the the syri data sync
[01:03:41.900 --> 01:03:44.940]   They encrypt it on your device using the keys on that device
[01:03:44.940 --> 01:03:46.780]   They transit it through apple service
[01:03:46.780 --> 01:03:52.620]   But it is a it is a binary blob that they have absolutely no insight into and then they give it to your other device
[01:03:52.620 --> 01:03:57.980]   And they delete it from their servers as rapidly as possible so that there is absolutely nothing of yours that is maintained on there
[01:03:57.980 --> 01:04:06.220]   Yeah, read read. This is a really well done. I encourage other companies to do what to step beyond a transparent support. It's a full kind of privacy page
[01:04:06.780 --> 01:04:07.740]   uh
[01:04:07.740 --> 01:04:12.060]   Much more than a privacy policy about what apple does apple.com/privacy
[01:04:12.060 --> 01:04:18.700]   Another thing that's really cool is that they are built like as they are doing new product development and they highlighted this with things like face ID
[01:04:18.700 --> 01:04:24.940]   It's not that at the very end they say we've made face ID here lawyers go go and give us a yula that makes us private
[01:04:24.940 --> 01:04:30.380]   It's they have the privacy team in there from the beginning of this of the idea for the product
[01:04:30.380 --> 01:04:34.700]   Challenging it along the ways and all the different ways that they have to do it and maintain privacy
[01:04:35.260 --> 01:04:41.500]   Up to and including things like you cannot report that you have this type of data on your device because someone would know that that data exists then
[01:04:41.500 --> 01:04:46.140]   On that device and that's information and you have to make sure that you know there's zero knowledge coming out of this
[01:04:46.140 --> 01:04:49.660]   So they're designing it to be as much as this design first is privacy first
[01:04:49.660 --> 01:04:52.620]   And I think that apple really views privacy
[01:04:52.620 --> 01:05:00.300]   As a you know key differentiator because they can do things because they're not running advertising they can do things that that their competitors
[01:05:00.300 --> 01:05:03.260]   Yeah, it's a market it's like really on the platform. Yeah
[01:05:03.740 --> 01:05:06.540]   On the other hand it's a disadvantage because Siri isn't as smart
[01:05:06.540 --> 01:05:11.820]   They can't do a google now style informational page things like that because they don't know enough
[01:05:11.820 --> 01:05:12.860]   Yeah
[01:05:12.860 --> 01:05:18.300]   Well, and and they and they know that they're stepping away from those markets thinking that they you know, the decision is definitely
[01:05:18.300 --> 01:05:25.340]   I think made that that privacy is more important to their consumers than necessarily being smarter and people will make their their own decision about that
[01:05:25.340 --> 01:05:29.020]   But I think the fewer windows users created over Cortana
[01:05:30.060 --> 01:05:34.540]   Microsoft's speech assistant because in order if you were going to use Cortana on windows 10
[01:05:34.540 --> 01:05:39.980]   You had to create all sorts of information going back to the servers because that's how Cortana needed to work
[01:05:39.980 --> 01:05:42.460]   And people really resented that they turn it off
[01:05:42.460 --> 01:05:47.980]   And you know, they're able to do things like for instance, uh, you know, they're they're starting to turn off the tracking
[01:05:47.980 --> 01:05:49.980]   So it's throwing throwing tracking away
[01:05:49.980 --> 01:05:51.980]   Um, you know after a day
[01:05:51.980 --> 01:05:55.980]   They are also turning off auto play on the videos
[01:05:55.980 --> 01:06:00.780]   I mean and I have to admit that I don't use safari that often and now I find myself every morning
[01:06:00.780 --> 01:06:06.220]   I've kind of moved a lot of my stuff over to you know, I get up really early and and I kind of surf around the web and
[01:06:06.220 --> 01:06:11.020]   And uh, and I have suddenly realized oh my gosh if I use safari, I don't have to there's no
[01:06:11.020 --> 01:06:15.500]   No video playing ever and there's per site settings you can tell it to remember
[01:06:15.500 --> 01:06:17.980]   Reader mode for this one site. How do you hate this site?
[01:06:17.980 --> 01:06:21.820]   You can tell to always show me this site in reader mode, which is oh, I love that too
[01:06:22.060 --> 01:06:27.180]   See that's enough to make me want to abandon my microsoft surface studio as much as I love this screen
[01:06:27.180 --> 01:06:31.100]   Because I can't run safari on it and I would love to have those features. It's a
[01:06:31.100 --> 01:06:34.060]   The auto start video by itself is
[01:06:34.060 --> 01:06:41.580]   This is cute. It'll be okay, but but I was like, but now I'm just like finding myself. Oh, no
[01:06:41.580 --> 01:06:43.180]   It's
[01:06:43.180 --> 01:06:44.220]   Crazy
[01:06:44.220 --> 01:06:48.300]   Yes, you open up chrome and you're like oh my gosh. I can't handle it like then you get overwhelmed
[01:06:48.300 --> 01:06:51.340]   You get overwhelmed as soon as you're used to silence suddenly. It's like everyone's yelling at me
[01:06:51.340 --> 01:06:55.020]   I don't understand. Yeah, yeah, I don't know what happened, but it's like
[01:06:55.020 --> 01:06:59.180]   All at once maybe seven to nine months ago
[01:06:59.180 --> 01:07:04.140]   It must have been like what it was like in 70s when like venereal disease suddenly like made
[01:07:04.140 --> 01:07:10.780]   I don't want raps, cuz there are drugs anymore people are I mean because it's not it's not just it's not just the desktop stuff
[01:07:10.780 --> 01:07:13.100]   I used a year ago today
[01:07:13.100 --> 01:07:15.740]   I would be on my ipad pro
[01:07:15.740 --> 01:07:20.620]   Listening to music like in the background while I'm working and I'm doing research like on the way
[01:07:20.620 --> 01:07:24.060]   But I can't do that anymore because I will be going to some
[01:07:24.060 --> 01:07:31.660]   Completely legitimate site and some ad will auto play and then grab the the grab the speaker away from my music app
[01:07:31.660 --> 01:07:39.580]   And because the music app doesn't have a setting that says essentially be aware of when you've had your you've had control the speaker taken away from you
[01:07:39.580 --> 01:07:42.060]   And then grab it back at first opportunity
[01:07:42.060 --> 01:07:48.700]   I then have to tab back into that music app restart the the music playing and this is why like now I have to listen to this again
[01:07:48.780 --> 01:07:51.340]   It's not the worst worst burden in the world
[01:07:51.340 --> 01:07:57.660]   But it annoys me that now I have to listen to music through a separate device because otherwise these stupid ads that I don't care about
[01:07:57.660 --> 01:08:04.860]   Never once watched more than two seconds of how long it took to figure out where the close button is and then click the damn thing
[01:08:04.860 --> 01:08:07.660]   It's I don't I don't
[01:08:07.660 --> 01:08:15.900]   I really want a a good discussion with the people who sell these ads that tell me why is there anybody who doesn't
[01:08:16.220 --> 01:08:23.340]   Hate these things. Does it make me if if I were within if I were if there's a hundred point scale of buying product day and product be
