;FFMETADATA1
title=It's Not a Clown, Bill
artist=Leo Laporte, Alex Lindsay, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-08-17
track=779
language=English
genre=Podcast
comment=Apple CSAM updates, Safari updates, Apple TV's value
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.200]   It's time for Mac break weekly Andy Renee Alex. They're all here lots to talk about
[01:15:38.980 --> 01:15:42.980]   Apple uh, iOS 14.7.1
[01:15:42.980 --> 01:15:50.580]   Which came out a few weeks ago it uh, if solved the apple watch unlock bug and uh, fixed a
[01:15:51.460 --> 01:15:53.300]   zero day
[01:15:53.300 --> 01:15:59.540]   Some sir some users are saying uh is causing a no service message from their carriers
[01:15:59.540 --> 01:16:03.940]   I don't know how widespread this is widespread enough that it's made the news anyway
[01:16:03.940 --> 01:16:09.700]   Users are saying restarting the phone removing the sim even resetting network settings did not fix
[01:16:09.700 --> 01:16:12.500]   this
[01:16:12.500 --> 01:16:17.380]   So I don't know I haven't experienced it. Um, but I guess some people are
[01:16:19.460 --> 01:16:25.300]   So the user base is so big now and the amount of variables that everybody has on their device is so big now that it seems like every time
[01:16:25.300 --> 01:16:30.740]   There's an update some people get better Wi-Fi some get worse some get better Bluetooth some get worse some get and that's not an excuse
[01:16:30.740 --> 01:16:35.620]   It's just like it's it's butterfly effect. It's uncertainty principle is just so complicated now. Yeah
[01:16:35.620 --> 01:16:42.100]   Apple has uh lost a wireless patent suit
[01:16:42.100 --> 01:16:48.580]   We reported last week they they'd want a big big decision now. They've been told to pay
[01:16:49.540 --> 01:16:52.100]   uh a marshal texas same old place
[01:16:52.100 --> 01:16:57.860]   Pan optis patent management and it's optis cellular and unwired planet units
[01:16:57.860 --> 01:17:01.940]   a uh award of 300 million dollars
[01:17:01.940 --> 01:17:04.740]   in royalties
[01:17:04.740 --> 01:17:07.860]   This was a retrial a second trial. They were originally ordered to pay
[01:17:07.860 --> 01:17:11.860]   506 million so I guess you could consider that an improvement
[01:17:11.860 --> 01:17:14.260]   um
[01:17:14.260 --> 01:17:17.140]   Rodney gill strap added again us district court judge
[01:17:18.260 --> 01:17:22.660]   Uh said the jury should have been allowed to consider whether the royalty demand was consistent with frand
[01:17:22.660 --> 01:17:25.620]   So they they thought it over again
[01:17:25.620 --> 01:17:28.900]   Uh optis was trying to get seven billion
[01:17:28.900 --> 01:17:31.780]   Yeah
[01:17:31.780 --> 01:17:33.060]   So
[01:17:33.060 --> 01:17:36.260]   I remember this is the beginning because it still has to be appeal which
[01:17:36.260 --> 01:17:40.260]   Yeah, I wish the appeals courts would just go hey came out of east texas. We're just gonna throw it in
[01:17:40.260 --> 01:17:45.540]   No, like we're just like if they just started doing that or they just started throwing them out like like not even like we don't want to listen
[01:17:45.700 --> 01:17:50.100]   Anyone we'll listen to you talk for a little while then we're gonna throw it out because it came from that location
[01:17:50.100 --> 01:17:52.260]   We would probably find more sanity
[01:17:52.260 --> 01:17:58.740]   Optuses as they say a non practicing entity, but they got the patents from panasonic sam sanghan lg
[01:17:58.740 --> 01:18:01.860]   uh originally
[01:18:01.860 --> 01:18:03.860]   Um, that's who had the original patents
[01:18:03.860 --> 01:18:07.060]   so
[01:18:07.060 --> 01:18:09.620]   There you go
[01:18:09.620 --> 01:18:12.580]   Optis says apple has had refused all fair offers
[01:18:13.620 --> 01:18:16.660]   And has accused the company of being an unwilling licensee
[01:18:16.660 --> 01:18:20.100]   I don't even
[01:18:20.100 --> 01:18:23.780]   We didn't license it. We didn't want to license it. We we don't need the license
[01:18:23.780 --> 01:18:25.780]   So
[01:18:25.780 --> 01:18:28.980]   Why are you interfering with our sole purpose and like we're here to sue really
[01:18:28.980 --> 01:18:34.100]   There was this really great and he knows this there's really great comic strip by grant morris and all star superman where
[01:18:34.100 --> 01:18:36.660]   There's this living bomb and superman tries to save the world
[01:18:36.660 --> 01:18:41.700]   He's like you're interfering with my right to exist as a bomb to be to unlive my potential to be all that I can be
[01:18:41.780 --> 01:18:46.420]   How dare you stop me in this way? That's what it sounds like he's be pretty a bomb just be a bomb on mars
[01:18:46.420 --> 01:18:52.180]   How about that? Yes, exactly. I think that was actual solution. Oh, yeah, there you go. Yes, it's fine. No problem
[01:18:52.180 --> 01:18:57.380]   Uh, let's uh, let's see what else we're gonna take a little break come back and talk about apple
[01:18:57.380 --> 01:19:01.860]   TV if you're a ted lasso fan get ready
[01:19:01.860 --> 01:19:05.220]   I don't want to steal anybody's pick or anything
[01:19:05.220 --> 01:19:07.060]   Nope
[01:19:07.060 --> 01:19:09.060]   apple tv talk
[01:19:09.380 --> 01:19:14.340]   apples released at ted lasso sticco sticker pack for iMessage and clips
[01:19:14.340 --> 01:19:17.380]   You got believe
[01:19:17.380 --> 01:19:20.500]   The sign you got a soccer ball. You got a footballs life scarf
[01:19:20.500 --> 01:19:24.980]   couple of pictures of ted and some of the other cast members too
[01:19:24.980 --> 01:19:27.380]   Which is nice
[01:19:27.380 --> 01:19:33.060]   I hear that uh, this guy i can remember his name, uh, is is be a big part of season two
[01:19:33.060 --> 01:19:34.580]   Yeah
[01:19:34.580 --> 01:19:38.500]   I just I just want an animated thing of ted lasso's cabbage patch dance
[01:19:38.820 --> 01:19:40.820]   [laughs]
[01:19:40.820 --> 01:19:47.140]   If you go to the apple store, you might be able to get a sticker pack an actual physical
[01:19:47.140 --> 01:19:49.860]   sticker pack which would be very awesome
[01:19:49.860 --> 01:19:55.620]   Like the animated gift gifs and the stickers everything just has ted lasso on it and it takes me out of it out of the moment
[01:19:55.620 --> 01:19:59.940]   You know, it's just his head you have to put the name on it. We know we can recognize that what it is. No, it is
[01:19:59.940 --> 01:20:06.820]   Yeah, that's a good an excellent point. It's like if every baby yoda sticker had star wars on it. They don't like just relax
[01:20:07.780 --> 01:20:12.340]   uh, when hbo max launched it was in every respect a mess
[01:20:12.340 --> 01:20:18.660]   A mess nobody could figure out what it was. Do I get it for free? Who do I get it from?
[01:20:18.660 --> 01:20:25.060]   But not to mention the fact that the app was really not very good apparently hbo max is working
[01:20:25.060 --> 01:20:32.740]   Uh to update its app on the apple tv and everywhere else. So if you are suffering through the hbo max app
[01:20:34.820 --> 01:20:40.340]   Some some sort of there are some the contents great, but you couldn't fast forward very well or rewind and
[01:20:40.340 --> 01:20:44.660]   There are a bunch of big media companies that like not at the developer the developer level
[01:20:44.660 --> 01:20:48.100]   They're all angry about this, but there's some product managers who decide that
[01:20:48.100 --> 01:20:52.740]   Making it easy to cross port is the number one priority not making it the best experience
[01:20:52.740 --> 01:20:58.020]   They'll use their open gl app. They'll use their tv o at like whatever they've compiled for tv
[01:20:58.020 --> 01:21:01.940]   And like the amazon app is horrible the youtube app varies between states of
[01:21:02.420 --> 01:21:08.260]   Peopleness but you can easily tell what's a native app and what was like the worst tv like smart tv app that they could possibly put on the platform
[01:21:08.260 --> 01:21:10.980]   Yeah, because I always feel like the the youtube tv app
[01:21:10.980 --> 01:21:14.740]   I think that they they make it hard to scroll just so you don't you can't go through the ads
[01:21:14.740 --> 01:21:20.660]   Because it's just so painful like it just you're like it's just easier to watch the ads than it is to like try to find the other
[01:21:20.660 --> 01:21:25.540]   And it couldn't move tabs on the original apple tv controller you like it would skip eight tabs anytime you twitched on it
[01:21:27.300 --> 01:21:33.860]   But but isn't it isn't it funny that now like apple and the apple community knows what's like to be like blackberry
[01:21:33.860 --> 01:21:38.100]   I think a few years after the the iPhone took over because like you realize that you're like
[01:21:38.100 --> 01:21:43.940]   The this platform is all roku and it's all amazon as far as streaming devices go
[01:21:43.940 --> 01:21:50.340]   You realize you're making us do wanting to do a whole lot of work for a tiny tiny sliver of the market you'd be happy
[01:21:50.340 --> 01:21:52.420]   You even have an app to deliver
[01:21:52.900 --> 01:21:58.500]   And you were an tolerant sliver you were used to you're used to getting our way except for getting our way when we talked to apple
[01:21:58.500 --> 01:22:00.500]   But otherwise we're used to getting our way
[01:22:00.500 --> 01:22:07.620]   Uh, so anyway, I guess it'll get better. What's the content you like uh, Alex on hbmx. What are you watching?
[01:22:07.620 --> 01:22:12.260]   Oh, but you know you always if I don't have it in front of you. I can't remember what it is
[01:22:12.260 --> 01:22:17.540]   We watch the white lotus and don't watch it. This is it. It's terrible. It's uh, very disappointing
[01:22:17.540 --> 01:22:21.700]   I think I just want to surprise that how often i'm at hbm xwajis so good
[01:22:22.180 --> 01:22:24.180]   Do you do patrol?
[01:22:24.180 --> 01:22:25.940]   Yeah, this is is that like rapskroll?
[01:22:25.940 --> 01:22:31.140]   No, no, it's it's a dc comics. It's uh, it is a superhero
[01:22:31.140 --> 01:22:36.500]   Technically, it was a par let's say parahuman series, but it is so niche
[01:22:36.500 --> 01:22:40.180]   It's not about like let's introduce this thing that's going to become a movie
[01:22:40.180 --> 01:22:44.820]   It really is about personal stories about five people who were turned into freaks by
[01:22:44.820 --> 01:22:49.700]   Circumstance and by science and whatever and are just trying to figure out how to live their lives
[01:22:50.260 --> 01:22:56.180]   Uh, and it's they're just episodes that are like, oh man. I'd i'm very happy. They're not being attacked by
[01:22:56.180 --> 01:22:59.700]   Whoever on whatever dimension and whatever reality
[01:22:59.700 --> 01:23:05.220]   It's just it's okay to just have them be an episode where they're in the mansion and they're just superhero
[01:23:05.220 --> 01:23:07.780]   They don't want to leave superhero
[01:23:07.780 --> 01:23:14.100]   It's about it's about people right it's about it's about people fighting their own internal battles and that's that's always
[01:23:14.580 --> 01:23:19.540]   Easy being a superhero you guys you don't appreciate how hard we work. Yeah
[01:23:19.540 --> 01:23:23.060]   Also based on grant Morrison like all star superman. He's a really good writer
[01:23:23.060 --> 01:23:28.340]   All right. I'll have to okay good recommendation. I didn't even I mean that's part of the problem with the app
[01:23:28.340 --> 01:23:30.020]   You can't find anything
[01:23:30.020 --> 01:23:31.460]   so uh
[01:23:31.460 --> 01:23:35.300]   Even the thing you're watching it's like you have to I know i'm watching this show
[01:23:35.300 --> 01:23:42.020]   Why don't you show me the next episode, please? Also also starring Brendan Fraser. Oh, I like him. Yeah. Yeah
[01:23:42.500 --> 01:23:47.780]   He's he's aging a little which is nice. He plays robot man. Yeah. Yeah, yeah
[01:23:47.780 --> 01:23:53.220]   He you know, he's he really is like a like a jean hackman sort of actor where he's gonna be good in this 20
[01:23:53.220 --> 01:23:57.780]   He's gonna be good in his 30s 40s 50s. He used to be a hunk, right? And now he's like
[01:23:57.780 --> 01:24:02.100]   bombs leo just for warning. They just dropped that bomb with wanton abandoned. Oh, I don't mind that
[01:24:02.100 --> 01:24:04.900]   I've heard right Morrison. I've heard it before
[01:24:04.900 --> 01:24:08.580]   um bloomberg
[01:24:09.700 --> 01:24:15.540]   apple tv's mark german even apple tv's box is now mostly pointless
[01:24:15.540 --> 01:24:22.020]   This is from his power on newsletter, which is getting a lot of play. It's uh clearly a big hit
[01:24:22.020 --> 01:24:27.140]   Um, he says it's lost his purpose his content moves to more devices
[01:24:27.140 --> 01:24:29.860]   Uh
[01:24:29.860 --> 01:24:34.100]   It's a little expensive. Yes, it's about twice as much as what everybody else
[01:24:34.100 --> 01:24:37.140]   offers
[01:24:37.140 --> 01:24:39.140]   um it it
[01:24:39.540 --> 01:24:44.340]   You know the phone wasn't gonna work the the you know apple was you know, they're they're a little you know,
[01:24:44.340 --> 01:24:47.060]   as a
[01:24:47.060 --> 01:24:50.900]   Incurrently sure it's not that competitive when most of the content is pretty
[01:24:50.900 --> 01:24:57.220]   Low grade from a technical you don't even need it anymore to watch apple tv. So well, yeah, I mean
[01:24:57.220 --> 01:24:59.460]   So so here's the thing
[01:24:59.460 --> 01:25:06.420]   Someone who develops content for all these devices who streams to these all all these devices the apple tv is 10 times better than everybody else
[01:25:06.980 --> 01:25:11.940]   So how about the um, how about the uh, Nvidia shield? Do you ever do you get any feedback from that?
[01:25:11.940 --> 01:25:14.740]   Because that's also we want users. Yeah, so i'm powerful
[01:25:14.740 --> 01:25:15.860]   I mean, we don't i don't see it
[01:25:15.860 --> 01:25:21.860]   So we the the main thing is is that is like when we wanted to develop really high quality content
[01:25:21.860 --> 01:25:24.820]   I'm not talking about the flock that you get on Netflix or
[01:25:24.820 --> 01:25:31.700]   HBO or whatever like from i'm not talking about the content i'm talking about the video the video quality
[01:25:31.700 --> 01:25:35.620]   When we go, hey, we want to put something up really nice and we just wanted to work
[01:25:35.700 --> 01:25:38.740]   You just want it on the apple platform like like the rest of them are just worthless
[01:25:38.740 --> 01:25:42.900]   And so the so the thing is that they're so hard to deal with they they can't read the manifests
[01:25:42.900 --> 01:25:47.220]   They can't do all this other stuff. They can't you know and so the apple just works and
[01:25:47.220 --> 01:25:52.740]   You're gonna you want to keep watching how often apple says high frame rate hfr high frame
[01:25:52.740 --> 01:25:56.340]   Right, they're giving it a name. They're not talking 120 frame per second
[01:25:56.340 --> 01:26:01.140]   But you want to notice that the pixel high end pixels are 120 samsung's going to 120
[01:26:01.140 --> 01:26:03.140]   That's interesting every tv we make is 120
[01:26:03.540 --> 01:26:08.500]   And when you if when you turn up the dial and right now with 5g
[01:26:08.500 --> 01:26:13.220]   You'll be able to turn the dial up, you know, you can't end with fiber and people getting faster connection
[01:26:13.220 --> 01:26:15.220]   You'll be able to turn that dial up
[01:26:15.220 --> 01:26:19.700]   I I will say as someone who spends a lot of time looking at 120 frames a second
[01:26:19.700 --> 01:26:21.700]   uh that
[01:26:21.700 --> 01:26:24.500]   It changes the way you look at everything else, you know
[01:26:24.500 --> 01:26:27.380]   And so the thing is is that there i believe that there is going to be some point
[01:26:27.380 --> 01:26:31.540]   Where apple starts developing content and so having apple tv apple tv plus
[01:26:32.260 --> 01:26:36.420]   And having uh 120 frame having some content coming out
[01:26:36.420 --> 01:26:41.140]   And most likely the the the the areas that we think are the most interesting are concerts
[01:26:41.140 --> 01:26:42.580]   um
[01:26:42.580 --> 01:26:49.300]   Sports and horror films of all things because it really scares you so it's because it's basically in hdr
[01:26:49.300 --> 01:26:53.940]   At 120 frame per second you have a window in your house into something else
[01:26:53.940 --> 01:26:59.860]   Like it your brain looks at it differently than it does at 60 or 30 or 24
[01:27:00.500 --> 01:27:05.940]   Now I wouldn't create features this way because it actually uh I find that features at 120 making really uncomfortable
[01:27:05.940 --> 01:27:09.860]   And so so they um they so there's great documentaries
[01:27:09.860 --> 01:27:13.060]   Great for sport you can see the makeup like you can see it makeup
[01:27:13.060 --> 01:27:15.620]   And that's why i'm not in resolution
[01:27:15.620 --> 01:27:17.460]   When on late did uh, no
[01:27:17.460 --> 01:27:22.260]   Did uh billy lens long time half long half time mark he didn't have the artists wear makeup
[01:27:22.260 --> 01:27:24.340]   Which was even more disturbing
[01:27:24.340 --> 01:27:27.460]   Because you don't see these people with their real things
[01:27:27.700 --> 01:27:33.300]   Right like in the hobbit at high frame when you watch it at 30 like it seems like like a fantasy when you watch it at 60
[01:27:33.300 --> 01:27:36.580]   Yes, everything is so instant like you can see like that's not a nose
[01:27:36.580 --> 01:27:44.180]   Yeah, there's actually there's actual science. There's actual science behind this that at a lower frame rate particularly at a film film
[01:27:44.180 --> 01:27:50.260]   frame rate it actually turns the the brain switches into a different cognitive mode that makes you
[01:27:50.260 --> 01:27:57.300]   More more accessible possibly because we've been trained to that right so I don't I don't think that it's good for everything
[01:27:57.300 --> 01:28:00.740]   But again, I think that horror films are gonna be at 120 are gonna be really scary
[01:28:00.740 --> 01:28:05.300]   And because they're very real. Yeah, I guess it's gonna be a realism
[01:28:05.300 --> 01:28:10.260]   Documentaries sports concerts great for documentaries and concerts and sports
[01:28:10.260 --> 01:28:14.340]   I mean the I gotta tell you when you watch there's so much fast moving things going on
[01:28:14.340 --> 01:28:17.620]   I watch some baseball at 8k 120
[01:28:17.620 --> 01:28:19.220]   And
[01:28:19.220 --> 01:28:22.820]   It's just like you're there like you are there and and there's some point
[01:28:23.380 --> 01:28:28.900]   We found that between 90 and 120 frames per second that something in your brain like goes quick
[01:28:28.900 --> 01:28:30.580]   You know and it's a different
[01:28:30.580 --> 01:28:32.260]   It just now looks like a window
[01:28:32.260 --> 01:28:36.820]   You know and people can talk about and you know, there's been patents that have already been done for 240 480
[01:28:36.820 --> 01:28:42.180]   You know these these higher frame rates are gonna keep going because it's gonna create that I but I think from a practical perspective
[01:28:42.180 --> 01:28:43.540]   Is there a limit though?
[01:28:43.540 --> 01:28:48.260]   Does it get much better after 240? I think I think that the I think the the I think
[01:28:48.260 --> 01:28:49.620]   um
[01:28:49.620 --> 01:28:50.820]   You get much
[01:28:50.900 --> 01:28:53.380]   It's so much effort over 120. I think 120
[01:28:53.380 --> 01:28:56.180]   120 so I don't think it's
[01:28:56.180 --> 01:28:59.540]   480 is the barrier for human perception. They did a bunch of green
[01:28:59.540 --> 01:29:02.660]   480 humans can't tell anymore
[01:29:02.660 --> 01:29:05.700]   But this is completely consistent with what Andy just said
[01:29:05.700 --> 01:29:11.540]   Which is if we if we want to be in a suspended state of suspended disbelief a dream state
[01:29:11.540 --> 01:29:15.060]   Make it dreamy, but if you want to think you're actually at the ball game
[01:29:15.060 --> 01:29:17.460]   But if you look at like small world that it does
[01:29:18.260 --> 01:29:24.180]   Small world at 120 frames per second would be amazing because you think you were in a plant, right?
[01:29:24.180 --> 01:29:26.900]   But what you would forget
[01:29:26.900 --> 01:29:30.740]   We're getting off the point. I think that that's great
[01:29:30.740 --> 01:29:34.820]   But apple can't sell a one the most expensive streaming boxes
[01:29:34.820 --> 01:29:39.140]   On the market today on the basis that someday in the future
[01:29:39.140 --> 01:29:41.700]   Undetermined there will be high frame rate video
[01:29:41.700 --> 01:29:48.020]   But that may be you will enjoy and it and apple knows that this is a market in which you can you can walk into Walmart
[01:29:48.020 --> 01:29:51.300]   With $25 and get a very competent streaming device
[01:29:51.300 --> 01:29:55.220]   You can walk into any other store with $50 and get a very good streaming device
[01:29:55.220 --> 01:29:58.020]   And the amount of money that you would spend on an apple tv
[01:29:58.020 --> 01:30:05.620]   You can get a computer that can act as a server for all of your media and can stream games and can do all these other great things
[01:30:05.620 --> 01:30:08.020]   Sure, but apple needs to make apple needs to make
[01:30:08.020 --> 01:30:12.660]   Something that's that's competent for people who are walking to a store with $50
[01:30:12.660 --> 01:30:16.340]   In a way they are by putting apple tv on samsung
[01:30:16.740 --> 01:30:18.900]   Yeah, they do so the that's the answer to that
[01:30:18.900 --> 01:30:22.580]   What what will happen is isn't in the manifest in the manifest?
[01:30:22.580 --> 01:30:29.380]   We'll just tell tell you if you're going to not to an apple tv give you 30, you know, like like here's 30 frames a second, you know, enjoy
[01:30:29.380 --> 01:30:34.580]   And more on but again, no, it's fine and again and again
[01:30:34.580 --> 01:30:40.820]   The point is is that the problem is that you can't you have to control
[01:30:41.620 --> 01:30:47.060]   The the reason that everything works on on apple products and this is not because we're talking about 120
[01:30:47.060 --> 01:30:52.660]   We're not talking about the apple tv. We're talking about the ipad the matt all the max all of the phones
[01:30:52.660 --> 01:30:58.260]   Everything being at 120 it's a big market that can that can theoretically watch this in the in the main thing
[01:30:58.260 --> 01:31:02.660]   Is is that the apple tv is one of those and it needs to be part of that ecosystem because we're going to go
[01:31:02.660 --> 01:31:05.540]   Hey, we really want to watch this great video on our tv
[01:31:05.540 --> 01:31:09.540]   You know and so the thing is is that so apple by controlling that controls that
[01:31:10.020 --> 01:31:12.740]   They're able to develop it and they're not and they're able to not be
[01:31:12.740 --> 01:31:16.100]   Basically kneecapped by the cheap
[01:31:16.100 --> 01:31:22.740]   Television acres who are trying to shave pennies off of it and so they won't get they won't put the extra chipsets in
[01:31:22.740 --> 01:31:26.180]   They won't do all the other is in a mistake for apple to offer at something
[01:31:26.180 --> 01:31:31.540]   I can tell you what is a cheap sets. It's a mistake. I can tell you what I hate it. Yeah
[01:31:31.540 --> 01:31:32.980]   Yeah
[01:31:32.980 --> 01:31:35.300]   Like I think I think both are important like I
[01:31:35.940 --> 01:31:41.300]   I think both are actually important like for a long time. I want to low-end apple tv like an i like not an apple tv shuffle
[01:31:41.300 --> 01:31:45.300]   That'd be horrible, but an apple tv nano where you just plug it into the back like a google chrome cast
[01:31:45.300 --> 01:31:48.580]   That's actually because it felt like there was a huge a fifty dollar forecast
[01:31:48.580 --> 01:31:51.780]   I mean like you've been calling on that we've been calling on that for five years
[01:31:51.780 --> 01:31:53.940]   I mean that's that's the lowest hanging food at this point
[01:31:53.940 --> 01:31:57.860]   But I think apple addressed that with doing the samsung tv app and doing the smart tv apps
[01:31:57.860 --> 01:32:02.180]   And what they've what they have right now is something that really serves their core prime audience
[01:32:02.420 --> 01:32:08.580]   Which is also people who like I was surprised when I turned it on last year and all those ad tracking things popped up to see
[01:32:08.580 --> 01:32:10.900]   All these tv apps always is that amazing?
[01:32:10.900 --> 01:32:14.260]   That's my day every app. Yes every website. I went I just went nope
[01:32:14.260 --> 01:32:17.620]   Nope, nope, and apple tv is the only thing I can do that on
[01:32:17.620 --> 01:32:19.780]   And that may not matter to some people at all
[01:32:19.780 --> 01:32:24.900]   But I like the option and it's also not just about the tv like some of the a lot of the apple tv apps
[01:32:24.900 --> 01:32:26.900]   Like the netflix team takes huge pride in it
[01:32:26.900 --> 01:32:30.420]   They're the best quality some of them have the best quality apps you can get apple
[01:32:30.420 --> 01:32:35.220]   Arcade is only because it still uses all the native apple frameworks. It's only available in apple tv
[01:32:35.220 --> 01:32:38.980]   You can use a sony controller and xbox controller. They're getting better and better games
[01:32:38.980 --> 01:32:41.860]   You know now that they're putting a lot more effort and money behind it
[01:32:41.860 --> 01:32:46.980]   So to me the total package is still incredibly valuable and it's it's a niche for sure
[01:32:46.980 --> 01:32:52.340]   But it's a niche. I don't think apple wants to abandon especially as they build out towards vr like I said before
[01:32:52.340 --> 01:32:57.620]   Ar is going to build off the apple watch. It's a very similar experience with air pods and apple watch and all that
[01:32:57.860 --> 01:33:03.300]   But vr is going to build off the apple tv everything we do now in the apple tv will be available in ultra premium
[01:33:03.300 --> 01:33:08.660]   One per customer form on the vr box and we need we apple still needs to ramp up to that
[01:33:08.660 --> 01:33:10.740]   So I think it's absolutely worthy
[01:33:10.740 --> 01:33:13.860]   It's worthy of their attention and worthy of their continual development
[01:33:13.860 --> 01:33:19.300]   I I think that if you look at it as just a video as just a video platform then then you're probably right
[01:33:19.300 --> 01:33:21.940]   But I just don't think apple should spend build another skew
[01:33:21.940 --> 01:33:25.540]   You know like I just think that they you know they should they should do what they do well
[01:33:26.020 --> 01:33:28.820]   They don't do cheap well, you know, they don't they just don't do that
[01:33:28.820 --> 01:33:33.780]   Do cheap little things well and they're going to go into a competition where there's keep on fiddling around with little chips
[01:33:33.780 --> 01:33:36.900]   Then it won't really work and you know, it'll it'll be problematic
[01:33:36.900 --> 01:33:41.620]   You know, I think they should just let people have that market and continue to build the best in class
[01:33:41.620 --> 01:33:44.420]   Um because it is the best in class by far
[01:33:44.420 --> 01:33:48.340]   Like it's you know the the the chip set the power and what it can do
[01:33:48.340 --> 01:33:55.460]   And the games are just starting like the apple arcade games are just and other games are just starting to
[01:33:56.100 --> 01:34:00.420]   Go, you know, just starting to touch on what the apple tv is capable of, you know, and so
[01:34:00.420 --> 01:34:04.260]   And it's a lot more than these stupid little um thumb drives
[01:34:04.260 --> 01:34:10.100]   I respect what both of you are saying, but what I keep hearing you say over and over again is that
[01:34:10.100 --> 01:34:14.500]   They're it's good to spend an extra hundred dollars for things that don't exist
[01:34:14.500 --> 01:34:17.460]   But you hope will exist someday well the games exist now will be relevant someday
[01:34:17.460 --> 01:34:20.180]   The we're talking about there again
[01:34:20.580 --> 01:34:24.660]   You're gonna you're gonna talk kids into saying we see all these games that you're enjoying on your phone right now
[01:34:24.660 --> 01:34:27.860]   Well now you can enjoy it through this through the big screen
[01:34:27.860 --> 01:34:33.940]   Maybe they don't want to join it through the big screen again, but i'm not i'm not saying that i'm not saying that apple should cancel the
[01:34:33.940 --> 01:34:38.580]   the expensive one and and switch to something else i'm not saying that everybody else is stupid
[01:34:38.580 --> 01:34:43.300]   I'm saying that it see apple has to i think i think that it's
[01:34:43.300 --> 01:34:44.580]   very
[01:34:44.580 --> 01:34:50.500]   Short-sided and misguided for apple to say that we're only going we're going to sell this hundred fifty dollar box that today
[01:34:50.500 --> 01:34:54.740]   Side by side by side by side the way that people are using these devices
[01:34:54.740 --> 01:34:58.180]   Put if it costs a hundred dollars more is delivering
[01:34:58.180 --> 01:35:02.500]   $18 maybe more worth of value to to actual users
[01:35:02.500 --> 01:35:06.180]   I'm not i'm not talking about dopes who just are taking up to an 80 dollar tv
[01:35:06.180 --> 01:35:08.900]   Uh that they they they wanted bingo i'm talking about
[01:35:08.900 --> 01:35:14.340]   Typical users are connecting these things i've got i've my own videos connected up to a very very nice mid-range tv
[01:35:14.660 --> 01:35:18.820]   I can't tell the difference between really on this on this thousand dollar tv
[01:35:18.820 --> 01:35:27.460]   Uh 4k hdr. I can't really tell the difference between an apple tv my and vidya and uh and a 50 dollar google dongle
[01:35:27.460 --> 01:35:33.380]   That's the problem apple and i've got all three hooked up to the same the same tv because i'm using them as a test bed
[01:35:33.380 --> 01:35:36.180]   That's why i'm disappointed by the price of this again
[01:35:36.180 --> 01:35:38.660]   I appreciate that when i look at the engineering behind it
[01:35:38.660 --> 01:35:41.860]   I see that this is built for a built definitely built for the future and I
[01:35:42.500 --> 01:35:48.180]   Absolutely accept your expertise and from the developer point of view what is what is the greatest streaming target?
[01:35:48.180 --> 01:35:53.140]   I'm saying when I pick up the remote control in my in my living room sit on the sofa
[01:35:53.140 --> 01:35:55.700]   I do not see the extra hundred dollars
[01:35:55.700 --> 01:36:00.420]   Between the thing of the dog. I don't see the parody between this and the nvidia shield
[01:36:00.420 --> 01:36:05.700]   Which operates which is the hdmi one device because it does it's a hundred and fifty dollar device
[01:36:05.700 --> 01:36:12.340]   But it does great things and that money the main the main thing is is you start you you build the spec for what you what you where you're trying to go
[01:36:12.900 --> 01:36:17.700]   You're allowed you're able to now test it in mass because people buy their apple tv's and and so on so forth
[01:36:17.700 --> 01:36:22.260]   You're able to test the product about a hundred dollars to help apple test products that they need to show me in the future
[01:36:22.260 --> 01:36:24.500]   No, no, just get a yes i do
[01:36:24.500 --> 01:36:32.660]   Care apple is not apple is not apple is not putting that i'll stamp on the box saying the reason why we're charging a hundred and fifty dollars
[01:36:32.660 --> 01:36:37.700]   For this is that no i'm saying that that is that is i feel is that that's such a such a weird
[01:36:38.100 --> 01:36:42.100]   Thing to say that you have if you're selling something to a user for a hundred and fifty dollars
[01:36:42.100 --> 01:36:47.540]   You have to your goal your dream your ideal is to deliver a hundred and fifty dollars worth of value
[01:36:47.540 --> 01:36:55.460]   That means that if someone else is has a competing product for a hundred dollars less you have to explain why you're true what they're getting for that extra
[01:36:55.460 --> 01:36:59.940]   Dollars i think that all matters does not make that argument this one saying well i mean
[01:36:59.940 --> 01:37:05.060]   The gap but make sure it shirts for four dollars and sells them to the were sixty
[01:37:05.300 --> 01:37:09.860]   We've decided that we're willing to pay that i as an as an apple tv user i'm willing to
[01:37:09.860 --> 01:37:15.780]   As an apple tv user i'm i'm willing to continue to invest in that process
[01:37:15.780 --> 01:37:18.900]   It is i don't trust any of the other ones i won't let them touch the internet i won't
[01:37:18.900 --> 01:37:26.420]   Like i you know to me i i want there's only one thing that touches the internet that brings me content and that's my apple tv
[01:37:26.420 --> 01:37:29.780]   And so for this tiny little market that is me
[01:37:30.420 --> 01:37:36.420]   You know and the people that buy apple tv's evidently is this tiny tiny little market that probably sells only a couple million of of these
[01:37:36.420 --> 01:37:43.060]   Out out there so i wish me more than numbers. I think that would be the answer to the question. Well i can
[01:37:43.060 --> 01:37:50.660]   You kind of know you know a percentage you know the number is the numbers are pretty big
[01:37:50.660 --> 01:37:52.660]   Yeah
