;FFMETADATA1
album=MacBreak Weekly October 2007
artist=Leo Laporte, Scott Bourne, Andy Ihnatko, and John Siracusa
comment=http://twit.tv/mbw64
genre=Podcast
title=MacBreak Weekly 64: Hello Leopard
date=2007

[00:00:00.000 --> 00:00:06.120]   Netcast you love.
[00:34:11.640 --> 00:34:14.320]   to get this sort of broad based networking on it.
[00:34:14.320 --> 00:34:15.320]   Now it's trivial.
[00:34:15.320 --> 00:34:20.240]   It's like three lines if that, and if that's just to correct bad mistakes that I was making
[00:34:20.240 --> 00:34:22.160]   and doing things in a non standard way before.
[00:34:22.160 --> 00:34:24.680]   Scott's not too far off when he's talking about the screen savers.
[00:34:24.680 --> 00:34:28.120]   In fact, you said this yourself, John, you said the animation age begins.
[00:34:28.120 --> 00:34:31.600]   We're going to start to see all sorts of, because of core animation, all sorts of animation
[00:34:31.600 --> 00:34:33.760]   in every part of the computer.
[00:34:33.760 --> 00:34:34.760]   Yeah, definitely.
[00:34:34.760 --> 00:34:39.240]   I mean, they made it so, they made it so easy to do something that was previously such
[00:34:39.240 --> 00:34:40.240]   a pain.
[00:34:40.240 --> 00:34:43.320]   Like the reason only Apple's application had that extra polish is because they had like
[00:34:43.320 --> 00:34:47.000]   the open jail guys and the core graphics guys who could program, you know, these fancy
[00:34:47.000 --> 00:34:50.120]   transitions and no, that's not your area of expertise.
[00:34:50.120 --> 00:34:52.800]   If you're a developer developing some other kind of application, you don't want to learn
[00:34:52.800 --> 00:34:53.800]   graphics API.
[00:34:53.800 --> 00:34:54.800]   You don't want to learn open jail.
[00:34:54.800 --> 00:34:56.080]   You don't even know what open jail is.
[00:34:56.080 --> 00:34:58.320]   Like I'm writing, you know, a text editor.
[00:34:58.320 --> 00:35:00.720]   I don't care about open jail, but you want it to look cool.
[00:35:00.720 --> 00:35:02.160]   Like, you know, Apple's cool transition.
[00:35:02.160 --> 00:35:05.880]   So you'd spend the time and it was just a waste of time and energy and, you know, now
[00:35:05.880 --> 00:35:06.880]   they've got core animation.
[00:35:06.880 --> 00:35:08.360]   So look, we know you want to look cool.
[00:35:08.360 --> 00:35:11.120]   You know you want to look slick, but you don't want to learn any of this complicated stuff.
[00:35:11.120 --> 00:35:12.440]   Here's an easy way to do it.
[00:35:12.440 --> 00:35:13.880]   So how does it relate to quartz?
[00:35:13.880 --> 00:35:18.240]   I mean, for us, when I look at Shell, the screensaver, Scott Likes or Arabesque, which
[00:35:18.240 --> 00:35:23.840]   they're clearly quartz screensavers, how does core animation relate to quartz?
[00:35:23.840 --> 00:35:28.880]   Well, quartz is the umbrella name for all sort of screen drawing and Mac OS 10.
[00:35:28.880 --> 00:35:31.680]   Core animation is a framework of quartz.
[00:35:31.680 --> 00:35:32.680]   Yeah.
[00:35:32.680 --> 00:35:36.160]   Core animation is a framework in cocoa that takes advantage of quartz.
[00:35:36.160 --> 00:35:41.360]   So basically the big feature of it is that it has all these abstractions for animation
[00:35:41.360 --> 00:35:43.520]   for things that are animated, for these layers that are animated.
[00:35:43.520 --> 00:35:47.520]   But anything you want on a layer, and here's the simple way to make it animate.
[00:35:47.520 --> 00:35:52.360]   And what they've done in cocoa is take all the things that you can do that are conceivably
[00:35:52.360 --> 00:35:56.080]   animatable, moving something, resizing something, making something appear, making something
[00:35:56.080 --> 00:35:59.680]   disappear, and where something is basically anything in the entire framework.
[00:35:59.680 --> 00:36:03.440]   And I said, oh, all those things that you can do, now you can make them appear as an
[00:36:03.440 --> 00:36:06.160]   animation instead of instantly going from one state to the other.
[00:36:06.160 --> 00:36:07.160]   And you can do it easily.
[00:36:07.160 --> 00:36:11.720]   So underneath that's using quartz, using OpenGL, using core graphics, but you never
[00:36:11.720 --> 00:36:12.720]   need to know that.
[00:36:12.720 --> 00:36:17.160]   You just need to say, yeah, before I was moving this window, now when I move the window, please
[00:36:17.160 --> 00:36:20.560]   make it animated from point A to point B instead of just moving instantly.
[00:36:20.560 --> 00:36:24.240]   And that's why I feel great for developers because it removes the burden of having to
[00:36:24.240 --> 00:36:25.240]   learn that though.
[00:36:25.240 --> 00:36:26.240]   Right.
[00:36:26.240 --> 00:36:27.880]   Leo, you want to know my developers, please?
[00:36:27.880 --> 00:36:28.880]   Yeah.
[00:36:28.880 --> 00:36:31.720]   It's the Danish spell checker.
[00:36:31.720 --> 00:36:33.840]   You have a Danish girlfriend you haven't told us about?
[00:36:33.840 --> 00:36:37.120]   No, but I mean, the developers have been clamoring for a Danish spell checker.
[00:36:37.120 --> 00:36:38.120]   I happen to know too.
[00:36:38.120 --> 00:36:44.120]   Who are Danish who wanted to say, you know, they were, they were just tired of not having
[00:36:44.120 --> 00:36:45.600]   a Danish spell checker.
[00:36:45.600 --> 00:36:46.760]   Thank God.
[00:36:46.760 --> 00:36:51.720]   You know, I noticed that getting back to something, go ahead, Annie, I'll get to my
[00:36:51.720 --> 00:36:53.560]   house going to make us more to ask for market.
[00:36:53.560 --> 00:36:55.200]   I'm glad I didn't make because it was.
[00:36:55.200 --> 00:37:00.960]   And Randy, by the way, there's Russian localization in where Russian localization in where you
[00:37:00.960 --> 00:37:01.960]   can do.
[00:37:01.960 --> 00:37:04.680]   Oh, West 10 leopard is fully localized in the Russian language.
[00:37:04.680 --> 00:37:05.680]   And we all know that.
[00:37:05.680 --> 00:37:06.680]   Even better.
[00:37:06.680 --> 00:37:10.960]   Like I said, last week, it has a not go localization.
[00:37:10.960 --> 00:37:12.560]   It pronounces my last name correctly.
[00:37:12.560 --> 00:37:14.160]   When you use that, go.
[00:37:14.160 --> 00:37:16.000]   Alex does a not go right.
[00:37:16.000 --> 00:37:17.000]   Wow.
[00:37:17.000 --> 00:37:18.000]   I'm going to have to.
[00:37:18.000 --> 00:37:19.000]   Did you try?
[00:37:19.000 --> 00:37:20.000]   Did you try your name, Leo?
[00:37:20.000 --> 00:37:21.000]   I'm sure it does my name wrong.
[00:37:21.000 --> 00:37:22.480]   I tried my name and it improves.
[00:37:22.480 --> 00:37:24.560]   Does not get it right, but it's an improvement.
[00:37:24.560 --> 00:37:25.560]   Oh, that's interesting.
[00:37:25.560 --> 00:37:26.560]   All right.
[00:37:26.560 --> 00:37:27.560]   Well, let me launch stickies here.
[00:37:27.560 --> 00:37:28.560]   Okay.
[00:37:28.560 --> 00:37:29.560]   I'm going to try John.
[00:37:29.560 --> 00:37:30.560]   Sarah.
[00:37:30.560 --> 00:37:31.560]   How could it not pronounce your name?
[00:37:31.560 --> 00:37:32.560]   Sarah Qsa is how you pronounce it.
[00:37:32.560 --> 00:37:33.560]   Sarah Qsa.
[00:37:33.560 --> 00:37:34.560]   I guessed right.
[00:37:34.560 --> 00:37:37.880]   Alex guesses on John Sarah Qsa.
[00:37:37.880 --> 00:37:38.880]   John Syracuse.
[00:37:38.880 --> 00:37:39.880]   Cuse.
[00:37:39.880 --> 00:37:40.880]   Cuse.
[00:37:40.880 --> 00:37:41.880]   That's quite good.
[00:37:41.880 --> 00:37:44.080]   If you tried in Tiger, you'll see the big difference.
[00:37:44.080 --> 00:37:45.080]   Yeah.
[00:37:45.080 --> 00:37:46.880]   Does it call me borny?
[00:37:46.880 --> 00:37:47.880]   I don't know.
[00:37:47.880 --> 00:37:48.880]   Let me do Andy first.
[00:37:48.880 --> 00:37:51.320]   It's I H N A T K O right?
[00:37:51.320 --> 00:37:55.000]   Andy, I always can't remember where that I know there's a stray H floating through your
[00:37:55.000 --> 00:37:57.280]   name, but I can never remember exactly where.
[00:37:57.280 --> 00:37:58.280]   Is that right?
[00:37:58.280 --> 00:37:59.760]   I H N gypsy blood.
[00:37:59.760 --> 00:38:00.760]   Good wonders.
[00:38:00.760 --> 00:38:01.760]   I H N A T K O correct.
[00:38:01.760 --> 00:38:02.760]   All right.
[00:38:02.760 --> 00:38:03.760]   Let's see.
[00:38:03.760 --> 00:38:04.760]   That's pretty good.
[00:38:04.760 --> 00:38:06.680]   That's really good.
[00:38:06.680 --> 00:38:08.080]   Let's see Scott boy.
[00:38:08.080 --> 00:38:09.080]   This is silly.
[00:38:09.080 --> 00:38:11.080]   I'm wasting your time here.
[00:38:11.080 --> 00:38:12.080]   I'm sorry.
[00:38:12.080 --> 00:38:15.240]   This is the kind of thing that really this is what really people care about in operating
[00:38:15.240 --> 00:38:16.400]   systems.
[00:38:16.400 --> 00:38:18.000]   These are the important things.
[00:38:18.000 --> 00:38:19.520]   Guys, you're stuck in traffic.
[00:38:19.520 --> 00:38:22.160]   What the hell else you're going to listen to?
[00:38:22.160 --> 00:38:24.720]   Scott Born is right.
[00:38:24.720 --> 00:38:28.200]   All that money I paid turned out to be worth it.
[00:38:28.200 --> 00:38:29.200]   Okay.
[00:38:29.200 --> 00:38:30.520]   Well, this will be the final test.
[00:38:30.520 --> 00:38:31.960]   Let's see if it gets my name right.
[00:38:31.960 --> 00:38:32.960]   I like Alex.
[00:38:32.960 --> 00:38:34.560]   Now, is this one of the AT&T voices?
[00:38:34.560 --> 00:38:35.760]   It must be.
[00:38:35.760 --> 00:38:36.760]   Yeah.
[00:38:36.760 --> 00:38:38.760]   The natural voices.
[00:38:38.760 --> 00:38:40.320]   I think I think so.
[00:38:40.320 --> 00:38:43.160]   I'm not sure whether it's something they licensed or whether they actually built it
[00:38:43.160 --> 00:38:44.160]   themselves.
[00:38:44.160 --> 00:38:47.520]   You know, it's funny because Apple's always done this speech recognition, all this stuff
[00:38:47.520 --> 00:38:50.120]   in the background, Casper and all this stuff.
[00:38:50.120 --> 00:38:52.040]   And it never really made it to the forefront.
[00:38:52.040 --> 00:38:54.960]   But I think that they've got a department doing this all the time.
[00:38:54.960 --> 00:38:57.880]   I mean, if you I mean, if you miss these sort of voices, you can get them you can get
[00:38:57.880 --> 00:39:04.880]   voices as good as this in Tiger.
[00:39:04.880 --> 00:39:09.480]   If you are a bit of a pig and you much rather have like an Australian woman speaking to
[00:39:09.480 --> 00:39:10.480]   a natural voice.
[00:39:10.480 --> 00:39:13.280]   I mean, no, no, no, it'll cost you 30 bucks.
[00:39:13.280 --> 00:39:16.440]   You know, there's always cash involved in the transaction, but you can make an app.
[00:39:16.440 --> 00:39:17.440]   Leo Laportz, Leo.
[00:39:17.440 --> 00:39:18.720]   Yeah, it doesn't get my name right.
[00:39:18.720 --> 00:39:19.720]   It blows it.
[00:39:19.720 --> 00:39:20.720]   It says Laportz.
[00:39:20.720 --> 00:39:21.720]   It says Laportz.
[00:39:21.720 --> 00:39:24.120]   Hey, it's it does better than the iPhone.
[00:39:24.120 --> 00:39:26.200]   That's all I can say.
[00:39:26.200 --> 00:39:27.200]   Leo Laportz.
[00:39:27.200 --> 00:39:28.200]   That's pretty good.
[00:39:28.200 --> 00:39:29.440]   That's not too bad.
[00:39:29.440 --> 00:39:30.440]   That's pretty good.
[00:39:30.440 --> 00:39:32.280]   Okay, I'm done.
[00:39:32.280 --> 00:39:33.280]   Resolution independence.
[00:39:33.280 --> 00:39:35.200]   I don't know what the hell you're talking about.
[00:39:35.200 --> 00:39:38.120]   John Syracuse, but apparently it's a good thing.
[00:39:38.120 --> 00:39:39.120]   But it's not here yet.
[00:39:39.120 --> 00:39:40.120]   Right.
[00:39:40.120 --> 00:39:45.080]   Well, the idea is that someday, someday in the distant future, we're going to have screens
[00:39:45.080 --> 00:39:48.800]   whose dots per inch is close to that of printed paper.
[00:39:48.800 --> 00:39:51.880]   You know, you can right now you see the difference when you either print something, the text
[00:39:51.880 --> 00:39:55.160]   looks very, very sharp and on your screen even with anti-aliasing is kind of fuzzy.
[00:39:55.160 --> 00:39:56.160]   So that's the idea.
[00:39:56.160 --> 00:39:57.680]   We're going to go try these great screens.
[00:39:57.680 --> 00:40:01.320]   But if you ever had a screen like that today, everything would be unclickably small, you
[00:40:01.320 --> 00:40:04.720]   know, the menus would be microscopic, which check boxes would be a little dot.
[00:40:04.720 --> 00:40:05.720]   It needs to scale up, obviously.
[00:40:05.720 --> 00:40:06.720]   Yeah.
[00:40:06.720 --> 00:40:09.600]   So you need some way to draw the same things, but with more pixels.
[00:40:09.600 --> 00:40:11.960]   And that's what resolution is all independence is all about.
[00:40:11.960 --> 00:40:12.960]   So is that not?
[00:40:12.960 --> 00:40:16.640]   I mean, you mentioned in your leopard review, is that not in leopard yet or are we making
[00:40:16.640 --> 00:40:17.640]   a step story?
[00:40:17.640 --> 00:40:22.440]   But there's no user facing way to change the user interface scale.
[00:40:22.440 --> 00:40:25.440]   You have to load a developer tool and you can crank it up and then you can see how many
[00:40:25.440 --> 00:40:28.760]   your applications break horribly when you try to do that.
[00:40:28.760 --> 00:40:31.560]   The Apple date is 2008, they say.
[00:40:31.560 --> 00:40:33.560]   Well, it's fuzzy off in the distance.
[00:40:33.560 --> 00:40:37.200]   Then that's around the time that developers should be ready with their applications to
[00:40:37.200 --> 00:40:38.200]   go resolution.
[00:40:38.200 --> 00:40:39.760]   Doesn't mean that there's going to be user visual feature then.
[00:40:39.760 --> 00:40:44.280]   That's just what they've told developers to shoot for, you know.
[00:40:44.280 --> 00:40:45.280]   Let me see.
[00:40:45.280 --> 00:40:46.280]   What else?
[00:40:46.280 --> 00:40:47.280]   You know, I'm surprised.
[00:40:47.280 --> 00:40:48.960]   Have you played with spaces, Scott, born at all?
[00:40:48.960 --> 00:40:50.040]   I was actually having that.
[00:40:50.040 --> 00:40:52.240]   That's actually my favorite thing that I like.
[00:40:52.240 --> 00:40:54.480]   Yeah, I didn't expect to like it and I love it.
[00:40:54.480 --> 00:41:03.320]   Yeah, because you know, the thing is that I got used to having dual monitors and I realized
[00:41:03.320 --> 00:41:08.560]   that when people are working on a laptop or something, this really is the answer.
[00:41:08.560 --> 00:41:13.000]   A lot of folks are used to this kind of thing that have done some high-end work and you can
[00:41:13.000 --> 00:41:18.720]   have one space that's just for word processing, one just for the web, one for graphics.
[00:41:18.720 --> 00:41:19.800]   It's really easy to work.
[00:41:19.800 --> 00:41:23.680]   You just click a little arrow and that was the first thing that really caught my eye.
[00:41:23.680 --> 00:41:29.720]   I've actually cared about that.
[00:41:29.720 --> 00:41:35.040]   I've played with other spaces-type programs on Tiger and I always abandoned them because
[00:41:35.040 --> 00:41:39.200]   it wasn't easy to use and they're made a couple of changes that make it more easy.
[00:41:39.200 --> 00:41:43.640]   One is that you can assign applications to a space so that it automatically opens there
[00:41:43.640 --> 00:41:47.480]   and that by itself kind of solves my issues with it because they automatically kind of
[00:41:47.480 --> 00:41:48.760]   organize themselves.
[00:41:48.760 --> 00:41:53.720]   Now, once you turn on spaces, turning it off causes issues.
[00:41:53.720 --> 00:41:58.120]   Applications will still open in some space somewhere that you can't get to.
[00:41:58.120 --> 00:42:00.560]   We haven't had that problem.
[00:42:00.560 --> 00:42:03.960]   You can reorganize things.
[00:42:03.960 --> 00:42:04.960]   I like it.
[00:42:04.960 --> 00:42:08.400]   Even though the 30-year-old works better than- it definitely works better than some of those
[00:42:08.400 --> 00:42:10.920]   third-party apps that tried to do the same thing.
[00:42:10.920 --> 00:42:11.920]   I should hope so.
[00:42:11.920 --> 00:42:15.320]   I mean, Apple threading in those third-party apps were just like crossing their fingers
[00:42:15.320 --> 00:42:17.160]   and then I hope this works.
[00:42:17.160 --> 00:42:18.160]   It's very fast.
[00:42:18.160 --> 00:42:21.760]   If you use the control arrows to move through it, the animation is great.
[00:42:21.760 --> 00:42:25.120]   When you open an application in a different space, when you click on it in the dock, it
[00:42:25.120 --> 00:42:30.040]   scrolls over to that application smoothly and quickly.
[00:42:30.040 --> 00:42:31.600]   It makes it very usable.
[00:42:31.600 --> 00:42:34.000]   But no, John and Andy, they're pros.
[00:42:34.000 --> 00:42:36.040]   Do you think spaces is a good idea, John?
[00:42:36.040 --> 00:42:37.040]   Do you use it?
[00:42:37.040 --> 00:42:39.320]   Unquestionably a good idea.
[00:42:39.320 --> 00:42:40.760]   I think it came at just the right time.
[00:42:40.760 --> 00:42:44.400]   Unlike many other features in Mac OS X, this one came at just the right time because for
[00:42:44.400 --> 00:42:47.480]   the first couple versions, this is not an essential feature for everybody.
[00:42:47.480 --> 00:42:50.640]   But there's a certain class of people that are interested in it and it's nice to see
[00:42:50.640 --> 00:42:53.280]   a supported version of it that Apple will continue to do.
[00:42:53.280 --> 00:42:54.280]   Well implemented too.
[00:42:54.280 --> 00:42:55.280]   Right.
[00:42:55.280 --> 00:42:56.280]   Yeah.
[00:42:56.280 --> 00:42:57.280]   It's workmen-like.
[00:42:57.280 --> 00:42:59.920]   It's not the best virtual desktop feature in any operating system, but it gets the job
[00:42:59.920 --> 00:43:00.920]   done.
[00:43:00.920 --> 00:43:01.920]   It does pretty much everything you want to do.
[00:43:01.920 --> 00:43:04.960]   The only thing that they're really missing is the different desktop backgrounds in space
[00:43:04.960 --> 00:43:07.080]   because that'll visually differentiate them.
[00:43:07.080 --> 00:43:09.320]   But after that, it's good to go.
[00:43:09.320 --> 00:43:11.640]   Somebody will write a little hack to do that.
[00:43:11.640 --> 00:43:12.640]   Right, eventually.
[00:43:12.640 --> 00:43:15.040]   Andy, I'm using a 30-inch display and I still use it.
[00:43:15.040 --> 00:43:17.400]   It's great on a laptop, but even on a 30-inch display.
[00:43:17.400 --> 00:43:18.400]   It's useful.
[00:43:18.400 --> 00:43:21.280]   Andy, is this eye candy or something you like?
[00:43:21.280 --> 00:43:22.600]   I really like it.
[00:43:22.600 --> 00:43:26.680]   I think that it's one of the smartest things that Apple did because they knew when to back
[00:43:26.680 --> 00:43:32.360]   off and simply they designed it like a really well-made toggle switch where they gave minimal
[00:43:32.360 --> 00:43:35.400]   controls just enough to make it clear and effective.
[00:43:35.400 --> 00:43:39.960]   They made it flexible enough so that you can use this feature for whatever makes sense
[00:43:39.960 --> 00:43:41.240]   to you.
[00:43:41.240 --> 00:43:46.840]   For me, I find myself, every time I'm using an application that has a really good full-screen
[00:43:46.840 --> 00:43:52.440]   mode like Aperture or iMovie, I find myself giving it its own space so that I can go into
[00:43:52.440 --> 00:43:56.520]   Aperture mode, turn this into an Aperture computer as opposed to a computer that has
[00:43:56.520 --> 00:43:58.560]   Aperture as a running application.
[00:43:58.560 --> 00:44:05.280]   As a matter of fact, I'm looking forward to seeing developers create applications that
[00:44:05.280 --> 00:44:09.480]   are not designed to be really used as regular applications, but applications that are designed
[00:44:09.480 --> 00:44:12.440]   to fill out an entire space on their own.
[00:44:12.440 --> 00:44:20.920]   One of my dream apps has always been a full-screen, no-user interface, huge status board with
[00:44:20.920 --> 00:44:25.840]   big letters and big icons so that from across the room I can see what my latest three emails
[00:44:25.840 --> 00:44:30.040]   were, what the network is, the latest three headlines.
[00:44:30.040 --> 00:44:33.440]   Basically, if I'm across the room doing something else, I just want to see, oh, is there something
[00:44:33.440 --> 00:44:34.720]   I need to keep an eye on?
[00:44:34.720 --> 00:44:40.240]   If I see an email that's outlined in red and glowing like a Star Trek red alert indicator,
[00:44:40.240 --> 00:44:43.760]   I'll know that, okay, you know what, I'm putting down the model kit and I'm coming over here,
[00:44:43.760 --> 00:44:45.240]   I'm going to answer that.
[00:44:45.240 --> 00:44:47.840]   It's not just that, but all kinds of little things like that.
[00:44:47.840 --> 00:44:53.440]   It really allows the, it gives a really interesting mechanism for an entirely different approach
[00:44:53.440 --> 00:44:55.520]   to how I interact with the Macintosh.
[00:44:55.520 --> 00:44:58.160]   I'm really looking forward to seeing how people exploit that.
[00:44:58.160 --> 00:44:59.880]   John, is there an API for Spaces?
[00:44:59.880 --> 00:45:01.400]   Can developers write to it?
[00:45:01.400 --> 00:45:03.920]   No, that would not be very Apple-like with it.
[00:45:03.920 --> 00:45:10.120]   There's no public API for saying you may like Spaces, but now here's a third-party opportunity
[00:45:10.120 --> 00:45:11.480]   to enhance Spaces to make it better.
[00:45:11.480 --> 00:45:13.880]   No, Spaces is what I can provide to you on a set.
[00:45:13.880 --> 00:45:14.880]   It doesn't have to be that complicated.
[00:45:14.880 --> 00:45:19.000]   All you have to do is create a window that's larger than the monitor area, just like you
[00:45:19.000 --> 00:45:20.000]   have.
[00:45:20.000 --> 00:45:22.600]   Yeah, it's taking advantage of Spaces by filling up a Space, no problem.
[00:45:22.600 --> 00:45:23.600]   That's the easy way.
[00:45:23.600 --> 00:45:24.600]   That's right.
[00:45:24.600 --> 00:45:27.000]   But, you know, enhancing Spaces to do things that Spaces currently doesn't do, like, you
[00:45:27.000 --> 00:45:31.560]   know, make it drag items from one Space to the other in a slightly different way or,
[00:45:31.560 --> 00:45:33.480]   you know, the custom does that better.
[00:45:33.480 --> 00:45:35.240]   They should make it work like an 8-track tape player.
[00:45:35.240 --> 00:45:37.800]   You just push a button, it'll send you to a random Space.
[00:45:37.800 --> 00:45:39.800]   Oh, it's not worth it.
[00:45:39.800 --> 00:45:41.240]   Random Space.
[00:45:41.240 --> 00:45:42.560]   I like the new doc.
[00:45:42.560 --> 00:45:44.160]   I've heard people complain about it.
[00:45:44.160 --> 00:45:45.160]   It's aesthetics.
[00:45:45.160 --> 00:45:48.200]   In fact, I usually had the doc on the left, but I've actually moved it to the bottom just
[00:45:48.200 --> 00:45:53.000]   because I want to have that pretty glue and the reflections and the runway going off into
[00:45:53.000 --> 00:45:54.000]   Space.
[00:45:54.000 --> 00:45:58.600]   I think this is pretty opinions, comments, suggestions.
[00:45:58.600 --> 00:46:04.480]   The worst thing you can do is make something that I like, that I use a lot, not do the
[00:46:04.480 --> 00:46:06.720]   thing that I rely upon for you.
[00:46:06.720 --> 00:46:11.360]   I mean, I've always used it as a document launcher, an application launcher, as a hard
[00:46:11.360 --> 00:46:12.360]   drive browser.
[00:46:12.360 --> 00:46:17.880]   The single feature that I've always loved about it is that I can drag my documents folder
[00:46:17.880 --> 00:46:22.360]   into it and now suddenly I can navigate the entire documents folder through...
[00:46:22.360 --> 00:46:23.840]   You can't do it anymore?
[00:46:23.840 --> 00:46:25.640]   No, you can't do it exactly.
[00:46:25.640 --> 00:46:26.640]   Not limited to the greater.
[00:46:26.640 --> 00:46:28.400]   I'm limited to the fan.
[00:46:28.400 --> 00:46:33.440]   Worst of all, again, there's a handful of features because I've been using the seeds for
[00:46:33.440 --> 00:46:34.440]   about...
[00:46:34.440 --> 00:46:35.600]   Must be closed for a year now.
[00:46:35.600 --> 00:46:39.240]   There are a bunch of features where as soon as this feature appeared, I'm like, "Oh,
[00:46:39.240 --> 00:46:40.880]   well, geez, it's a beta.
[00:46:40.880 --> 00:46:42.480]   Clearly, this is a bug.
[00:46:42.480 --> 00:46:44.280]   Look how they messed up this doc icon."
[00:46:44.280 --> 00:46:46.400]   Now, it just looks like a random stack of icons.
[00:46:46.400 --> 00:46:48.680]   They're just dog-piling one on top of the other.
[00:46:48.680 --> 00:46:49.680]   That's not intentional.
[00:46:49.680 --> 00:46:51.040]   Oh, yes it is.
[00:46:51.040 --> 00:46:52.040]   No.
[00:46:52.040 --> 00:46:58.280]   Instead of saying, there's a conference room meeting and they put these two ideas on the
[00:46:58.280 --> 00:47:03.320]   whiteboard and they said, "Okay, what if we simply have a folder that says documents
[00:47:03.320 --> 00:47:05.440]   on it so that people can look at it and say, "Yes.
[00:47:05.440 --> 00:47:06.880]   This is the documents folder."
[00:47:06.880 --> 00:47:11.880]   Over here, we have the idea of having every single icon inside that folder stacked one
[00:47:11.880 --> 00:47:17.200]   on top of the other so that the documents folder stack looks identical to the movies folder
[00:47:17.200 --> 00:47:19.800]   stack which looks identical to the hard drive.
[00:47:19.800 --> 00:47:24.680]   Those have big whopping piles of junk right there in the doc that no one can tell the
[00:47:24.680 --> 00:47:25.780]   difference between.
[00:47:25.780 --> 00:47:27.480]   We can go one way or another.
[00:47:27.480 --> 00:47:29.960]   I say we go for the worst choice possible consensus.
[00:47:29.960 --> 00:47:30.960]   Yes, good.
[00:47:30.960 --> 00:47:31.960]   Let's go with the worst place possible.
[00:47:31.960 --> 00:47:36.960]   I agree with you.
[00:47:36.960 --> 00:47:38.960]   It's confusing.
[00:47:38.960 --> 00:47:39.960]   It's confusing.
[00:47:39.960 --> 00:47:42.440]   It's like two bullets for me.
[00:47:42.440 --> 00:47:44.280]   I don't mind stacks so much.
[00:47:44.280 --> 00:47:47.320]   The idea of stacks is it certainly works for a download folder.
[00:47:47.320 --> 00:47:48.320]   It doesn't work as well.
[00:47:48.320 --> 00:47:49.480]   You think it works for a download folder.
[00:47:49.480 --> 00:47:52.600]   Now you've got something on your doc that constantly looks like a disk image.
[00:47:52.600 --> 00:47:53.600]   I may be.
[00:47:53.600 --> 00:47:57.240]   I can learn to identify that until I download the packet maker and follow it.
[00:47:57.240 --> 00:47:58.240]   Yes, right.
[00:47:58.240 --> 00:48:05.200]   You've got to read the applications folder in your doc which I do.
[00:48:05.200 --> 00:48:08.440]   You're going to be staring at that automated robot for the rest of your life.
[00:48:08.440 --> 00:48:14.880]   I have one password that will never be superseded by anything.
[00:48:14.880 --> 00:48:18.320]   It's always going to be my applications folder unfortunately.
[00:48:18.320 --> 00:48:19.320]   You're right.
[00:48:19.320 --> 00:48:22.640]   I have so many applications in my applications folder that grid fills the screen.
[00:48:22.640 --> 00:48:23.640]   It's useless.
[00:48:23.640 --> 00:48:27.440]   It's just like starting up in System 7 now.
[00:48:27.440 --> 00:48:32.840]   Like Andy said, the ultimate thing is to take something that people use before and just remove
[00:48:32.840 --> 00:48:33.840]   it for no good reason.
[00:48:33.840 --> 00:48:36.160]   You can remove it because you think you have a better replacement?
[00:48:36.160 --> 00:48:37.160]   Fine.
[00:48:37.160 --> 00:48:39.280]   No one can argue and say, "Oh, this is a better replacement."
[00:48:39.280 --> 00:48:40.720]   You have the old thing in there.
[00:48:40.720 --> 00:48:42.440]   Make it off by default.
[00:48:42.440 --> 00:48:44.560]   I've never been a fan of the doc.
[00:48:44.560 --> 00:48:47.960]   My big complaint is that I have to use it because there are things that it does that nothing
[00:48:47.960 --> 00:48:49.880]   else can do which drives me nuts.
[00:48:49.880 --> 00:48:50.880]   I'm fine with the doc.
[00:48:50.880 --> 00:48:52.360]   It's good for most people.
[00:48:52.360 --> 00:48:55.080]   I just do not like it and I can't get rid of it.
[00:48:55.080 --> 00:48:59.320]   I think the way they implemented the stacks in applications like Aputure makes sense.
[00:48:59.320 --> 00:49:01.320]   I don't think it makes sense in the doc.
[00:49:01.320 --> 00:49:05.320]   Yeah, I was really surprised to find that it was just going to be a doc thing because
[00:49:05.320 --> 00:49:10.680]   as soon as I saw it in the new iPhoto and in the new iMovie, the ability to simply casually
[00:49:10.680 --> 00:49:14.360]   scrub through the contents of a folder, I thought, "My God, I could really see myself
[00:49:14.360 --> 00:49:15.840]   using that in the Finder."
[00:49:15.840 --> 00:49:19.520]   So I was looking forward to when I see them using stacks, stacks, stacks, stacks, the
[00:49:19.520 --> 00:49:21.400]   same word they're using in these other applications.
[00:49:21.400 --> 00:49:24.160]   I was looking forward to seeing it in the Finder in other places.
[00:49:24.160 --> 00:49:27.640]   But this is just a colossal disappointment.
[00:49:27.640 --> 00:49:31.280]   Well we found one big negative.
[00:49:31.280 --> 00:49:32.840]   Any other negatives?
[00:49:32.840 --> 00:49:33.840]   People are things you're having.
[00:49:33.840 --> 00:49:35.840]   Menu bar, menu bar, menu bar.
[00:49:35.840 --> 00:49:37.880]   You don't like the translucent menu bar?
[00:49:37.880 --> 00:49:41.280]   I'll tell you all the other reasons why it fails for me.
[00:49:41.280 --> 00:49:46.040]   But the number one is, you know, I've been, that's not one of those features where when
[00:49:46.040 --> 00:49:50.640]   it first showed up in one of the seeds, first of all, it was a lot more aggressively translucent
[00:49:50.640 --> 00:49:51.640]   than it was before.
[00:49:51.640 --> 00:49:54.400]   So that you couldn't see the clouds of it.
[00:49:54.400 --> 00:49:58.080]   And again, I thought, "Okay, geez, they must have done something weird to the menu system
[00:49:58.080 --> 00:49:59.920]   and now if that's a bug, okay, well they'll fix it."
