
[00:00:00.000 --> 00:00:06.000]   Hey, it's time for Mac Break weekly and well one week into the new iPad Air era
[00:46:46.600 --> 00:46:49.320]   I mean who I mean you can buy you get an iPhone
[00:46:49.320 --> 00:46:52.600]   I I think the losing the iPod touch would be a deal
[00:46:53.160 --> 00:46:58.120]   A not a good thing because there are a lot of sales are so far down. I guess nobody's buying it, but I thought for kids
[00:46:58.120 --> 00:47:02.840]   I don't know I've had minis or I've had my baby. I'm gonna make a mini. I guess you're right. Yeah
[00:47:02.840 --> 00:47:08.440]   Max sales. This might be more. Uh, it feels that role. This might be a more concerned if you're a truck driver
[00:47:08.440 --> 00:47:10.920]   Max sales down 7%
[00:47:10.920 --> 00:47:15.160]   No new products until ww dc and that was only the air
[00:47:15.160 --> 00:47:20.680]   So we'll see what the max sales are like when the new macbook pros and then ui max and then u mac pro hit the market
[00:47:20.680 --> 00:47:26.680]   Okay, ipad sales flat and that's because there's new new ipads obviously this is year over year
[00:47:26.680 --> 00:47:30.120]   Um iTunes and software revenues up 22%
[00:47:30.120 --> 00:47:32.920]   That looks good on the bottom of course
[00:47:32.920 --> 00:47:36.760]   Did you tweeted out that apple made more money off accessories and motor oil made off hardware last time
[00:47:36.760 --> 00:47:38.440]   5%
[00:47:38.440 --> 00:47:42.760]   Increase in accessory sales apple finally recognized that it's you know, it's accessory
[00:47:42.760 --> 00:47:45.880]   Why should everybody else be making money making that cases?
[00:47:45.880 --> 00:47:48.600]   That's such a profit high profit margin
[00:47:49.240 --> 00:47:50.520]   um
[00:47:50.520 --> 00:47:56.920]   iPhone 5s sales 5c sales too for that matter had only been on for a couple of weeks in this quarter
[00:47:56.920 --> 00:48:00.680]   And yet accounted for 50 for 2% of apples overall sales
[00:48:00.680 --> 00:48:05.480]   So that's why you know, you'll wait for a new product to really look at this
[00:48:05.480 --> 00:48:08.040]   In fact, we I think we said last week or the week before that
[00:48:08.040 --> 00:48:12.520]   It's going to be the next quarter q1 that will be the quarter to watch as always
[00:48:12.520 --> 00:48:15.960]   Leo ipad christmas. Yeah, it's going to be and that's what tim's
[00:48:16.600 --> 00:48:21.240]   Response to all this was what just stay tuned. It's going to be an ipad christmas. Is it though?
[00:48:21.240 --> 00:48:25.240]   I mean aren't uh tablet sales way up from other companies
[00:48:25.240 --> 00:48:32.680]   Evans had an awesome post on this where he he actually went and tried to find out where all these tablet sales were originating from
[00:48:32.680 --> 00:48:34.680]   And he said you mostly have the ipad
[00:48:34.680 --> 00:48:39.320]   That people are buying to use as a tablet then you have a plethora of $50 to $100
[00:48:39.320 --> 00:48:45.240]   Android tablets mostly sold in china or asia that people are using to watch primarily video
[00:48:45.720 --> 00:48:48.760]   I mean, that's why you don't get web usage or other usage statistics off of them
[00:48:48.760 --> 00:48:53.720]   So those are such different markets that at least he contends that they should be measured separately
[00:48:53.720 --> 00:48:57.720]   And that's why you see apple's market share not reflective of their usage share
[00:48:57.720 --> 00:49:03.640]   Sand what was uh, I saw the number and i'm trying to remember what it was. I think
[00:49:03.640 --> 00:49:06.840]   160 million
[00:49:06.840 --> 00:49:08.840]   tablets sold in that in this quarter
[00:49:08.840 --> 00:49:14.760]   Something like that it was a large number a useless amount. Yeah, so somebody's buying tablets
[00:49:15.720 --> 00:49:18.920]   I imagine that the the kindle fire is a big one, right?
[00:49:18.920 --> 00:49:22.520]   Nexus perhaps kindle fire is us mostly other tab
[00:49:22.520 --> 00:49:29.880]   Us do not sell well. Yeah, because the kindle is very few markets google is not historically good at pushing their own hardware
[00:49:29.880 --> 00:49:33.240]   I mean, it's popular, but they just don't have retail. They don't have a lot of other things
[00:49:33.240 --> 00:49:38.520]   So it's mostly ipads and these really really cheap blank black slab and white tablets
[00:49:38.520 --> 00:49:41.640]   That's why i've always i've always thought that
[00:49:42.360 --> 00:49:47.240]   Apple usually kicks off every media event with that number of hey, we have 80 percent of all usage out there
[00:49:47.240 --> 00:49:53.240]   Of of tablets worldwide. I'm I really do think they should break that number apart
[00:49:53.240 --> 00:49:55.720]   And look at how people are using those tablets
[00:49:55.720 --> 00:50:03.000]   I I think that's i've gotten to a one of those one of those days on twitter where and I had to say
[00:50:03.000 --> 00:50:07.080]   Okay, i'm going to turn off twitter for the rest of the day now because i'm
[00:50:07.080 --> 00:50:10.520]   Because every time every time you try it seems as though
[00:50:10.760 --> 00:50:14.200]   It's very difficult to defend the statement that there are other
[00:50:14.200 --> 00:50:20.200]   Many tablets out there that are serving purposes that are different from the purposes that the ipad mini serves
[00:50:20.200 --> 00:50:25.560]   And people will not come back with well, here's how well the ipad mini
[00:50:25.560 --> 00:50:31.480]   Performs in the user's hands versus a kindle fire tablet versus a google nexus tablet
[00:50:31.480 --> 00:50:34.920]   They always say well here is the internet here's the international sales numbers and then
[00:50:34.920 --> 00:50:40.600]   Not replying but thinking yeah, but how about you break it down by actual countries in which both can both
[00:50:40.680 --> 00:50:43.640]   Devices are readily available. It's just such a complicated
[00:50:43.640 --> 00:50:49.560]   Metric that it's hard to predict a winner or simply say that this is the best tablet out there because
[00:50:49.560 --> 00:50:53.400]   Especially when you look at these seven inch these mini tablet forms
[00:50:53.400 --> 00:50:59.880]   These guys these these makers of these tablets are not making them for the same markets
[00:50:59.880 --> 00:51:04.280]   They know exactly who's money they want to get and they're going after those wallets. So
[00:51:05.720 --> 00:51:12.760]   Tim cook said ipads are doing well in one category better than anybody else education
[00:51:12.760 --> 00:51:15.960]   90 they said
[00:51:15.960 --> 00:51:22.040]   Tim said ipads make up 94 percent of the market for tablets in education 94
[00:51:22.040 --> 00:51:28.920]   Percent those are those boxes of 20 ipad 2s. That's where those are going. Yeah, that's there's the ipad 2 market
[00:51:28.920 --> 00:51:31.480]   um
[00:51:31.480 --> 00:51:35.560]   Especially if you feel at schools are price sensitive and you're afraid they might look at an x is seven
[00:51:36.360 --> 00:51:40.680]   Something like that, which is only 229 bucks. Hey 299 bucks
[00:51:40.680 --> 00:51:43.560]   We're so don't also
[00:51:43.560 --> 00:51:46.040]   That's 299 for the mini
[00:51:46.040 --> 00:51:52.680]   But but really it's it's so it's so hard to make that that case when you're trying even if even if I were even if you're trying to
[00:51:52.680 --> 00:51:55.320]   Sorry rewind playback
[00:51:55.320 --> 00:52:00.200]   It's it's it's it's so it's so hard to make that case of any other tablet but iOS for education
[00:52:00.200 --> 00:52:00.680]   I mean
[00:52:00.680 --> 00:52:05.480]   This is one area in which you if you don't have the apps and you don't have the ability to build a custom
[00:52:05.560 --> 00:52:09.240]   App for the purpose that for the educational track that you're supporting it for
[00:52:09.240 --> 00:52:12.680]   There's just no point in going for an x's tablet. There's almost no point
[00:52:12.680 --> 00:52:15.000]   There's certainly no point in going for a kindle tablet
[00:52:15.000 --> 00:52:19.400]   Which is designed to be bought in groups of one at a time for individual consumers
[00:52:19.400 --> 00:52:25.080]   Right now the only company that's doing anything that's an attractive option for school systems is is apple
[00:52:25.080 --> 00:52:27.240]   And their management stuff is pretty good for it
[00:52:27.240 --> 00:52:35.000]   It's not great, but it's pretty good for schools and and enterprise that level two and you can provision vast amounts of devices and put vast amounts of apps on them fairly easily
[00:52:35.480 --> 00:52:39.640]   Yeah, you can buy carts that let you administer 20 of them at a time like a like a
[00:52:39.640 --> 00:52:42.280]   Massive toaster toaster factory
[00:52:42.280 --> 00:52:45.800]   There's again. This just no it's so hard to make that that use case
[00:52:45.800 --> 00:52:51.880]   So the only other option when I would talk to educators about buying moving into tablets and moving into multi-touch devices
[00:52:51.880 --> 00:52:56.360]   The only option that they that is even remotely attractive to them is windows
[00:52:56.360 --> 00:52:58.840]   And that's not because I think it's necessarily better
[00:52:58.840 --> 00:53:04.040]   But because it's very very easy in every single school system and every single department to find people who are trained up
[00:53:04.440 --> 00:53:07.480]   in administrating windows windows clients and also this
[00:53:07.480 --> 00:53:10.840]   It's there. There's a lot of experience in how to prevent
[00:53:10.840 --> 00:53:15.560]   100 arbitrary users that you're giving these tablets to into getting into mischief
[00:53:15.560 --> 00:53:21.240]   But even that that's not a perfect perfect device everybody if they're buying tablets. They're buying iPads. Yeah
[00:53:21.240 --> 00:53:24.920]   I bookery asked in the chat room a great question
[00:53:24.920 --> 00:53:30.840]   Is there a height it wouldn't be great if there were a hypercard like program for the iPad that teachers could use to create their own course wearing stuff
[00:53:30.840 --> 00:53:32.760]   is there such a
[00:53:32.760 --> 00:53:37.160]   Such a thing. I don't want to say itunes author. I'm really trying hard not to say it
[00:53:37.160 --> 00:53:39.240]   Books
[00:53:39.240 --> 00:53:44.680]   Filemaker is the closest thing they've got to that and I do know some teachers that are using it for that purposes, but it's
[00:53:44.680 --> 00:53:48.280]   Good a cyber card hypercard. I agree with that
[00:53:48.280 --> 00:53:53.000]   I mean, it's like wouldn't that would be the most interesting as you could possibly get because
[00:53:53.000 --> 00:53:56.520]   It's just to be not only for what it could actually do
[00:53:56.520 --> 00:54:02.120]   But because the way it presented itself to the user it didn't say here is a programming language
[00:54:02.200 --> 00:54:05.480]   Right, well developed backed by a scripting for thing for a presentation
[00:54:05.480 --> 00:54:10.920]   It is there is a stack of cards if all you want to do is create and type a stack of recipes
[00:54:10.920 --> 00:54:13.080]   That have no relationship to each other people let you do that
[00:54:13.080 --> 00:54:16.520]   If at one point you decide that you would like to easily navigate
[00:54:16.520 --> 00:54:20.360]   We will make it very easy if you don't navigate and then you learn to put scripts behind those buttons and then
[00:54:20.360 --> 00:54:24.600]   Then you've just like alien pods have taken over your brain
[00:54:24.600 --> 00:54:29.320]   You have been turned into a programmer would be without your will knowledge or intent
[00:54:29.800 --> 00:54:35.160]   Uh, so the closest I think the closest thing that we have to that right now is probably keynote believe it or not
[00:54:35.160 --> 00:54:37.320]   Because there's so much interactivity that you can
[00:54:37.320 --> 00:54:41.880]   Explore you can figure out in that if you want to apply yourself, but not as easy though
[00:54:41.880 --> 00:54:48.360]   There's even my dad did a hypercard stack the void darwin's voyages of the of the beagle
[00:54:48.360 --> 00:54:49.960]   and uh
[00:54:49.960 --> 00:54:54.920]   You know, he's a professor and and it was great educate. It was great way to do curricula
[00:54:54.920 --> 00:54:57.400]   Without being a programmer
[00:54:57.400 --> 00:55:03.560]   I think this would be a great effort app some skunk works at apple somewhere in kubertino get just five
[00:55:03.560 --> 00:55:08.280]   Maybe four maybe three maybe one great programmer and just start working on that
[00:55:08.280 --> 00:55:11.720]   It'd be such a good thing to add to an education
[00:55:11.720 --> 00:55:15.240]   Platform do you think maybe they've just sort of internally
[00:55:15.240 --> 00:55:24.200]   Unofficially defined hypercards type stuff as a pro app sort of thing where they're not well, but but but i'm saying that in terms of
[00:55:24.760 --> 00:55:31.320]   Creating populist software they put putting uh creative people creative people who are non programmers and giving them the ability to create
[00:55:31.320 --> 00:55:36.200]   Software-like things. I do think that they're they say that we've got two products before that
[00:55:36.200 --> 00:55:40.200]   We've got xcode for people who uh who want to enter with intent
[00:55:40.200 --> 00:55:45.560]   And then there are apps like uh like ibupx author and apps like keynote
[00:55:45.560 --> 00:55:49.160]   That if you don't want to if you don't want to have that burden of learning
[00:55:49.160 --> 00:55:52.200]   We will give you tools that let you sort of fake the sort of thing you want to do
[00:55:52.520 --> 00:55:56.840]   Maybe hypercard is sort of in that middle because truth be told unless they were to
[00:55:56.840 --> 00:56:02.360]   Really, but let's apple really believed in this product where it's not just something
[00:56:02.360 --> 00:56:05.320]   They're going to put out there to maybe fill in a blank in their in their product line
[00:56:05.320 --> 00:56:07.480]   But someone there believes
[00:56:07.480 --> 00:56:12.040]   Passionately that this is going to be a defining moment for the ipad and for the future of apple
[00:56:12.040 --> 00:56:17.560]   They could easily create something that will let you do things that are not quite as slick as what you could do in keynote
[00:56:17.560 --> 00:56:21.240]   If you spent the that same amount of time and effort and and learning into developing it
[00:56:21.640 --> 00:56:25.160]   And would never ever ever let you do something as flexible as what you can do with xcode
[00:56:25.160 --> 00:56:29.960]   And right now they are saying that they're they're at least making the statement that it is not that difficult to learn how to
[00:56:29.960 --> 00:56:32.200]   How to build apps in xcode?
[00:56:32.200 --> 00:56:35.160]   It's not hypercard easy though
[00:56:35.160 --> 00:56:41.800]   It's not nowhere near that but maybe they believe that it's it's like uh, there's i've always i've always thought that there's i've
[00:56:41.800 --> 00:56:43.960]   I've got room in my life for two different kinds of burgers
[00:56:43.960 --> 00:56:49.880]   I for the cheap drive-through greasy sack of burgers and fries that cost you five bucks
[00:56:50.360 --> 00:56:53.960]   But delivers the delivers you carbohydrate sugar and protein
[00:56:53.960 --> 00:56:58.200]   And salt in quantities that you're programmed to like and chossy next to nothing
[00:56:58.200 --> 00:57:03.160]   I can i've got i've got a purpose for that or going to that burger place that caught the charges
[00:57:03.160 --> 00:57:06.520]   You may be 12 13 14 sometimes even 20 dollars for a burger
[00:57:06.520 --> 00:57:13.160]   But it's grass fed beef and they've got these three different kinds of cheeses on it and they source their own big energy
[00:57:13.160 --> 00:57:19.560]   Delicious thing ever right i don't i don't have any use whatsoever for a five guys five guys burger
[00:57:19.800 --> 00:57:25.240]   For me, it's like, okay, it's not good enough to be a great burger. It's not cheap enough to be a casual burger
[00:57:25.240 --> 00:57:28.920]   I have no use for you in my life. It's possible that at least from apple's point of view
[00:57:28.920 --> 00:57:33.400]   Hypercard is the five guys burger no point to it. No use for it. Why bother with it
[00:57:33.400 --> 00:57:40.440]   I think if I were I the problem is that young folks today do not
[00:57:40.440 --> 00:57:45.880]   Um, remember hypercard i never probably encountered it, but if I were a 22 year old
[00:57:46.520 --> 00:57:49.560]   computer science graduate adept in javascript
[00:57:49.560 --> 00:57:53.560]   And uh html 5 technologies I would right now
[00:57:53.560 --> 00:57:57.000]   Run out and make a hypercard for html 5
[00:57:57.000 --> 00:58:02.360]   Because it's because that'd be totally cross platform and uh and uh
[00:58:02.360 --> 00:58:05.320]   boy
[00:58:05.320 --> 00:58:11.400]   I think the opportunity is limitless put army make it happen. I saw you know one one smart
[00:58:12.120 --> 00:58:18.120]   You know comps I graduate could do it. It'd be a great startup easy pitch to venture capitalists who remember hypercard
[00:58:18.120 --> 00:58:22.440]   Mm, but app but would apple allow it into the into the app store. It would would
[00:58:22.440 --> 00:58:29.320]   No, that's why you do it as html 5. It's not an app you do it as html 5 you do it. It's so so so build it on the web deploy it on the web and
[00:58:29.320 --> 00:58:34.040]   Use yeah, yeah, because there's so far he actually allows so much
[00:58:34.040 --> 00:58:39.160]   Untapped potential for creating user interfaces that you can actually do that quite well. Yep
[00:58:40.680 --> 00:58:43.240]   This is uh people who do remember missed
[00:58:43.240 --> 00:58:46.840]   But probably have forgotten that that's written in hypercard
[00:58:46.840 --> 00:58:53.480]   This was the predecessor science predecessor to mr. It was called the manhole remember this
[00:58:53.480 --> 00:58:59.480]   Uh very missed like this also was done in hypercard now the thing you could do in hypercard is you could create
[00:58:59.480 --> 00:59:06.120]   Binary blobs with a programming language that you would add to it. I forgot the name of they were called
[00:59:06.120 --> 00:59:09.640]   No, no, no, no, no, no
[00:59:10.360 --> 00:59:15.160]   No, no, no, you could actually do it in in c or c plus plus and add it as a
[00:59:15.160 --> 00:59:20.840]   X I can't remember what it was called but an extension is in effect a binary extension
[00:59:20.840 --> 00:59:26.200]   I'm sure that that's right the miller brothers did with this lady had plugins. Yeah, um, but yeah, I mean
[00:59:26.200 --> 00:59:30.760]   Danny Goodman X. How hypercard by goal. Yeah, Danny Goodman remember that class
[00:59:30.760 --> 00:59:35.000]   So somewhere there's there are a few programming books that I will never throw away
[00:59:35.000 --> 00:59:40.280]   One is my beneath apple doss beneath apple protos and the other one is danny goodman's book on hypercard
[00:59:40.280 --> 00:59:45.480]   Because I have such an emotional attachment to this book that I carried everywhere and marked up
[00:59:45.480 --> 00:59:51.880]   Everywhere and they've got food stains of every like job the the cafeteria every job that I had when hypercard was out
[00:59:51.880 --> 00:59:55.720]   I'm telling you some there's some kid out there
[00:59:55.720 --> 00:59:58.440]   You're watching right now
[00:59:58.440 --> 01:00:04.680]   Do a little research find out what hypercard was written by the immortal bill Atkinson one of the greatest programmers who ever lived
[01:00:04.680 --> 01:00:07.400]   all by his self
[01:00:07.400 --> 01:00:12.760]   and and think about that kind of functionality what today's world would need an easy to use
[01:00:12.760 --> 01:00:18.520]   Kind of way to build it's not I don't want to say apps because it's not an app because it's really stack based
[01:00:18.520 --> 01:00:22.280]   But if you could make that an HTML5, I'm telling you
[01:00:22.280 --> 01:00:25.080]   billions
[01:00:25.080 --> 01:00:31.720]   Well, actually goop hasn't didn't google released something a couple of weeks ago that was an app for creating html
[01:00:31.720 --> 01:00:36.760]   That was actually really so much stuff. You can't keep track of it
[01:00:37.560 --> 01:00:43.720]   Today this morning they basically said give us all your pictures from now on forever and you
[01:00:43.720 --> 01:00:47.400]   Give us give a scary thing though is that like
[01:00:47.400 --> 01:00:52.360]   We imagine that the the kids today require something as
[01:00:52.360 --> 01:00:57.640]   Clear and as uncluttered as hypercard in order to get into programming and goodness
[01:00:57.640 --> 01:01:00.280]   the the the the years the the ages of
[01:01:01.000 --> 01:01:06.600]   People that can act who actually learn objective c and actually learn how to do something productive in xcode
[01:01:06.600 --> 01:01:11.400]   It's like the the age drops by 10 months every single year
[01:01:11.400 --> 01:01:18.040]   Uh, and I am meeting people who are nine 10 years old who are showing me a credible ios app
[01:01:18.040 --> 01:01:21.560]   That's not it's not just I know it's not a hello world app. It's not a flat
[01:01:21.560 --> 01:01:24.280]   I have it actually does something finish like oh
[01:01:24.280 --> 01:01:30.040]   I award this year and I forget how old ryan is but he must be in high school. Who's this the app finish
[01:01:30.280 --> 01:01:33.480]   Uh, it helps you do project planning for school like for homework and
[01:01:33.480 --> 01:01:38.520]   And things like that and I won the apple design award this year and I'm sure ryan must be you know in his
[01:01:38.520 --> 01:01:44.200]   It feels like he must be 12. I know he's not 12. That's what feels like by basil limited this one. Yes
[01:01:44.200 --> 01:01:46.840]   2013 apple design winner
[01:01:46.840 --> 01:01:50.680]   I wonder if he did it in straight up xcode c
[01:01:50.680 --> 01:01:57.000]   Objective c or if he had used a you know one of those right or use the job or something else. Yeah
[01:01:59.160 --> 01:02:00.440]   That is pretty
[01:02:00.440 --> 01:02:05.800]   It was pretty awesome. Yeah, that is pretty maybe maybe what we're advocating is that you know
[01:02:05.800 --> 01:02:11.320]   I think the teens today they should actually make bicycles with training wheels so they could learn and meanwhile
[01:02:11.320 --> 01:02:13.320]   They're zipping by all like these super bikes
[01:02:13.320 --> 01:02:16.680]   Like see a grandpa
[01:02:16.680 --> 01:02:21.320]   I could write one of those
[01:02:21.320 --> 01:02:26.920]   So we got x we got xcode grams. We're fine. Exactly. They are 16 years old
[01:02:27.560 --> 01:02:31.320]   Yes, uh michael hanson and uh ryan or buck
[01:02:31.320 --> 01:02:34.120]   16 years old
[01:02:34.120 --> 01:02:37.080]   And that's the first time they ever wore a tie right there
[01:02:37.080 --> 01:02:42.920]   They look very they they didn't get the memo that you're allowed to wear t-shirts. It's fine
[01:02:42.920 --> 01:02:45.560]   Oh, they're on fock. They're on fock. They had a word
[01:02:45.560 --> 01:02:51.160]   I think that I think I don't want to presume but I I can totally see like them saying mom
[01:02:51.160 --> 01:02:54.520]   You're gonna look like dorks. You are going to be on television mr
[01:02:54.600 --> 01:02:59.800]   You're wearing a your grandpa your grandma are gonna be staying up to watch you. You're gonna be watching wearing a tie
[01:02:59.800 --> 01:03:04.520]   Hey, it's your dad's playing doing the interview. Here is a very dapper fella
[01:03:04.520 --> 01:03:08.760]   Yes, so I would wear a tie if I knew clinton morris was interviewing me. I'd wear a tie
[01:03:08.760 --> 01:03:13.080]   He he wears those british collars is mean he's very dapper
[01:03:13.080 --> 01:03:15.640]   There you go very attractive man
[01:03:15.640 --> 01:03:17.560]   Uh
[01:03:17.560 --> 01:03:20.120]   Look at him. Yes. He's like a male model
[01:03:20.120 --> 01:03:23.400]   You can't hear directly ottom is like the sun
[01:03:24.200 --> 01:03:28.120]   Yeah, I have to like just look away glance quickly at him
[01:03:28.120 --> 01:03:31.480]   Uh, we love you clinton. We just like to tease you
[01:03:31.480 --> 01:03:37.400]   Uh, let's take a break come back lots more to talk about we also have our picks of the week
[01:03:37.400 --> 01:03:45.560]   Um, I'll tell you let's start our picks of the week you guys by you picking each of you a story that we haven't because there's still quite a
[01:03:45.560 --> 01:03:49.480]   Few stories in the rundown that maybe you would like to talk about
[01:03:50.680 --> 01:03:58.200]   I can tell I will talk about the fact that my ios 7.0.3 5 s iPhone reboots a lot
[01:03:58.200 --> 01:04:01.240]   Is it reboot or respring leo?
[01:04:01.240 --> 01:04:06.680]   Uh, it reboots and I can tell you why it's it does respring as well respring is restarting springboard
[01:04:06.680 --> 01:04:11.320]   Yeah, but it uh, the reason I know it does a reboot is because the first time after a restart
[01:04:11.320 --> 01:04:14.120]   You try to use the fingerprint reader. It says no no you have to enter your code
[01:04:14.120 --> 01:04:17.000]   And that happens to me several times a day all of a sudden
[01:04:17.640 --> 01:04:20.680]   So it's without I don't know why but it's rebooting when i'm not around
[01:04:20.680 --> 01:04:23.080]   Don't you dare go to apple discussions to talk about it
[01:04:23.080 --> 01:04:29.720]   You know, I can make it happen by plugging it in uh to my you know, uh to my uh
[01:04:29.720 --> 01:04:36.120]   My my macbook retina with itunes running when itunes is running and it's plugged in and I choose of course launches
[01:04:36.120 --> 01:04:41.080]   It reboots it reboots randomly and it not randomly continually reboots
[01:04:41.080 --> 01:04:45.640]   703 yes
[01:04:46.360 --> 01:04:48.360]   7.1 hurry up. I should bring it in, huh?
[01:04:48.360 --> 01:04:51.640]   I should just say hey, it's rebooting
[01:04:51.640 --> 01:04:54.040]   Would I have to demonstrate it?
[01:04:54.040 --> 01:04:59.160]   If I brought it to the apple store or would they just I would try reinstalling first and then if it's just to a dfu
[01:04:59.160 --> 01:05:02.520]   Yeah, I don't even a dfu just to still clean install it
[01:05:02.520 --> 01:05:07.400]   Does why we can't have nice software leo? Oh, that's a lot of work
[01:05:07.400 --> 01:05:14.040]   You would think about it's responding because it has you could have had a dead phone, but then it went back to the respawn
[01:05:14.040 --> 01:05:18.520]   But I can't I can't back up and restore I have to do it rebuild by hand, right?
[01:05:18.520 --> 01:05:21.400]   You can try the easy way first just
[01:05:21.400 --> 01:05:23.880]   Reinstall it and then when you get frustrated again
[01:05:23.880 --> 01:05:27.880]   I spent so much time getting everything into folders so I only have two pages on my springboard
[01:05:27.880 --> 01:05:32.520]   I have to time to spring clean you can get it out of abs until you need them again
[01:05:32.520 --> 01:05:35.480]   I did that when I got the five s yeah
[01:05:35.480 --> 01:05:39.480]   Now you have two pages of folders again
[01:05:43.640 --> 01:05:45.640]   Should I just wait for 704 and then see?
[01:05:45.640 --> 01:05:50.200]   7.1 it shouldn't be too too much longer. It's in pretty good testing just around the corner
[01:05:50.200 --> 01:05:54.440]   Okay, there's this been that's been a pretty fast velocity for for dot updates on seven
[01:05:54.440 --> 01:05:57.880]   Yeah, I think given how big it was because a lot of problems
[01:05:57.880 --> 01:06:04.840]   Well, it wasn't you. I mean they had compared to other iOS builds. It really started in in November instead of back in June. So yeah
[01:06:04.840 --> 01:06:08.280]   It came in hot
[01:06:08.280 --> 01:06:11.000]   Let us uh, let us take a break
[01:06:11.800 --> 01:06:15.240]   And talk about let us talk about shutter stock dot com
[01:06:15.240 --> 01:06:18.040]   the world's most amazing
[01:06:18.040 --> 01:06:23.560]   Website for stock royalty free stock images. I like I like
[01:06:23.560 --> 01:06:29.640]   Just checking let me just see because you know the copy says 28 million high quality stock photos
[01:06:29.640 --> 01:06:34.840]   The copy is out of date almost invariably. Yes. Now it is 30.5 million
[01:06:34.840 --> 01:06:41.560]   Royalty free stock images. That's because they added almost 200,000 this week alone. They uh, there's always new stuff
[01:06:42.040 --> 01:06:43.960]   at shutter stock
[01:06:43.960 --> 01:06:48.760]   And what I love about shutter stock is their very powerful search engine which allows you to find
[01:06:48.760 --> 01:06:50.840]   not only
[01:06:50.840 --> 01:06:52.840]   not only images
[01:06:52.840 --> 01:06:54.120]   but uh
[01:06:54.120 --> 01:06:58.360]   You can modify the noun like okay, so i'm going to search for airplane
[01:06:58.360 --> 01:07:04.440]   So then it'll give me some airplane images, but I could say um, I could say what? Um upside down
[01:07:04.440 --> 01:07:07.320]   airplane for instance
[01:07:08.200 --> 01:07:13.560]   Will that work because sometimes you you really don't want to yeah, these are all upside down airplanes
[01:07:13.560 --> 01:07:24.040]   Now if you want to play with shutter stock like this, it's fun and you don't have to even give them a credit card
[01:07:24.040 --> 01:07:26.040]   You could just make a free account
[01:07:26.040 --> 01:07:31.160]   Uh, that way not only can you search and have lots of fun doing it actually you could search him without the account
[01:07:31.160 --> 01:07:33.960]   But after a few searches it says make an account so go ahead and do that
[01:07:34.120 --> 01:07:41.480]   Because then you could put those images in light boxes, which is nice because that means you could save them for future reference for inspiration or even share them with the colleagues
[01:07:41.480 --> 01:07:47.240]   Um, when you decide you want to buy an image you can buy individual image packs or a monthly subscription
[01:07:47.240 --> 01:07:52.840]   That's the one we have the 25 images a day. That's great for any publication. That's the standard subscription
[01:07:52.840 --> 01:07:57.480]   You can download any image in any size you pay one price, which is really fabulous
[01:07:57.480 --> 01:08:01.320]   Um, the ipad app if you haven't played with it is beautiful
[01:08:01.800 --> 01:08:08.760]   I mean, it's like 500 pixels or something. It's just it's beautiful image after image because these images are taken by some of the best photographers artists
[01:08:08.760 --> 01:08:13.480]   There's also click the footage tab. I think people sometimes forget to do this right at the top
[01:08:13.480 --> 01:08:16.520]   It says photos, but next to it says footage and there's a lot of
[01:08:16.520 --> 01:08:21.720]   Video as well 1.3 million royalty free stock videos in super high quality
[01:08:21.720 --> 01:08:28.200]   Um, they have a featured clip every week just as they have a featured photo that you can download for free
[01:08:28.920 --> 01:08:33.720]   This is our featured clip today little girl running across the wheat field at sunset
[01:08:33.720 --> 01:08:36.440]   With a shot with a high speed camera
[01:08:36.440 --> 01:08:42.040]   So I can I can say speed it up. I can say slow it down
[01:08:42.040 --> 01:08:55.240]   Let's go at normal speed. This is really gorgeous stuff
[01:08:56.440 --> 01:09:01.320]   Shutters stock by the way, you want a little girl in a red dress. Oh, sorry. We got that too
[01:09:01.320 --> 01:09:07.720]   You want an unhappy little girl. You want a scared little whatever you want shutters stocks got it
[01:09:07.720 --> 01:09:12.120]   Shutters stock calm when you do decide to buy we're going to give you a great deal
[01:09:12.120 --> 01:09:19.880]   25% off your new account when you use the offer code macbreak 1013 because we are in the month of october 1013
[01:09:19.880 --> 01:09:22.280]   Macbreak 1013 all one word
[01:09:22.280 --> 01:09:26.360]   Uh for 25% off your new account shutters stock
[01:09:27.160 --> 01:09:29.160]   Rock
[01:09:29.160 --> 01:09:34.680]   I'll run through the field the children of the corn
[01:09:34.680 --> 01:09:41.160]   Um, there's a lot of those images. I don't know if it's the same guy or
[01:09:41.160 --> 01:09:44.120]   Uh
[01:09:44.120 --> 01:09:51.560]   By some of the keywords on this arms out stretched arms raised cheerful childhood children only comfortable crop cross cultivated land curly hair
[01:09:52.360 --> 01:09:59.880]   And that's a good idea to do it. Feel freedom full length fun gold happiness healthy lifestyle. I love it
[01:09:59.880 --> 01:10:08.280]   Enjoy your healthy lifestyle eat more captain crunch made from fine grains like these
[01:10:08.280 --> 01:10:13.080]   I love my captain crunchy delicious
[01:10:13.080 --> 01:10:19.640]   Global cameras genetically modified weeds are feeding more children worldwide
[01:10:20.280 --> 01:10:24.600]   More likely more likely, right? Um or fleet
[01:10:24.600 --> 01:10:31.960]   You did an article on i'm or was it you or somebody else and i'm more who about the iWork apps a big step back in work
[01:10:31.960 --> 01:10:34.280]   Automation, you know why
[01:10:34.280 --> 01:10:38.040]   This is annoying peter kon pin pointed. I think a very big problem
[01:10:38.040 --> 01:10:41.400]   Uh, they took out apple script
[01:10:41.400 --> 01:10:47.400]   They they sort of didn't add it. So what happened is they the the code for iWork is really old
