;FFMETADATA1
title=TASTE THE MUSTARD!
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=718
genre=Podcast
comment=https://twit.tv/mbw
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2020
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.040]   It's time for Mac break weekly and he's here Alex is here Lori's here
[01:10:10.240 --> 01:10:15.440]   I'm not anxious to change it. I don't feel like it's any slower or anything, but uh
[01:10:15.440 --> 01:10:18.560]   although now that I have
[01:10:18.560 --> 01:10:25.600]   Kind of zoom and big blue button and all that crap install on and I just want to wipe the drive off and start over
[01:10:25.600 --> 01:10:29.440]   I can't wait till covid's over because so I could throw out zoom
[01:10:31.840 --> 01:10:36.320]   But come on my god first thank god for coming on your shoe fries. Yeah. Yeah, oh
[01:10:36.320 --> 01:10:38.800]   aika vanga
[01:10:38.800 --> 01:10:43.920]   All right, I think we're gonna see a new iMac. Well, we soon knew apple tv on monday
[01:10:43.920 --> 01:10:47.040]   I you know
[01:10:47.040 --> 01:10:53.040]   I would have thought that if they were going to put out a new apple tv like a something big and different
[01:10:53.040 --> 01:10:57.600]   It was gonna happen last fall or last march when when they talked about
[01:10:57.920 --> 01:11:02.240]   You know all the new stuff coming to tv plus and they didn't do it last year
[01:11:02.240 --> 01:11:06.640]   So I think if we see anything it's just gonna be a refresh
[01:11:06.640 --> 01:11:12.800]   It's you know slightly faster processor blah blah blah little boring stuff. It's not going to be a complete overhaul
[01:11:12.800 --> 01:11:16.240]   What about a developer?
[01:11:16.240 --> 01:11:19.120]   kit with arm in it
[01:11:19.120 --> 01:11:21.760]   Some special that is
[01:11:21.760 --> 01:11:29.040]   Absolutely possible in fact some of the rumors that of coming out about the new iMac that's that may or may not happen
[01:11:29.040 --> 01:11:32.560]   one of the possibilities is that it's a
[01:11:32.560 --> 01:11:35.360]   arm mac for developers that's
[01:11:35.360 --> 01:11:38.160]   A dual processor something
[01:11:38.160 --> 01:11:45.120]   It's definitely a possibility and if that's the if that's the case we didn't we won't get that new iMac with the pretty bezels this year
[01:11:45.120 --> 01:11:51.680]   Right. All right. I do think a mac a mac mini that was just that that ran on arm would be incredibly useful for developers
[01:11:52.000 --> 01:11:56.080]   You know just that like right we're not gonna promise anything. We're just releasing this it's got arm
[01:11:56.080 --> 01:12:01.760]   You can start working on it. You know that gives you a computer, you know a base state to you know more a um
[01:12:01.760 --> 01:12:07.040]   Reference, you know to start working again. There's a precedent really I'll go that before right? Yeah
[01:12:07.040 --> 01:12:13.760]   Yeah, but for the if the intel transition they basically they seeded a lot of developers with intel based max
[01:12:13.760 --> 01:12:18.480]   The first time I used one as my effect was at the mac hack conference. It was in a power during the
[01:12:18.960 --> 01:12:25.360]   Yeah, as in the power mac case and there was a thousand bucks and you had to send it back. I'm reading the john groover
[01:12:25.360 --> 01:12:29.280]   Story about it. You had to send it back by the end of 2006
[01:12:29.280 --> 01:12:33.600]   But then you got a first generation until iMac in return
[01:12:33.600 --> 01:12:38.320]   Um, so that that's they did that with the intel transition
[01:12:38.320 --> 01:12:43.040]   Could they could they do it with virtualization on an apple server?
[01:12:43.040 --> 01:12:46.080]   Do you think that for as a method of testing?
[01:12:46.720 --> 01:12:50.480]   Could you uh when connect connect code build it and then run it
[01:12:50.480 --> 01:12:52.000]   uh
[01:12:52.000 --> 01:12:57.120]   Remotely on a locally virtualized machine that's actually running on an apple server somewhere. I think so
[01:12:57.120 --> 01:13:00.880]   Absolutely, we're seeing that we're seeing. I mean look if you can play
[01:13:00.880 --> 01:13:04.960]   high quality high frame a video games office server
[01:13:04.960 --> 01:13:08.080]   See no reason why you couldn't do mac
[01:13:08.080 --> 01:13:11.040]   Arm and that's that's what from what Alex said
[01:13:11.520 --> 01:13:16.480]   What I would love to see is I already talked about one dream arm mac being a thin tablet
[01:13:16.480 --> 01:13:21.040]   Even if it's not nullity touch just the ability to have the super light super mac book helium
[01:13:21.040 --> 01:13:26.960]   Would be would be a big win if apple because of the thermal profile of lower thermal
[01:13:26.960 --> 01:13:34.080]   Thermal profile of an arm processor if they could put a mac nano inside an apple tv size box
[01:13:34.080 --> 01:13:36.800]   And reduce the price further
[01:13:36.960 --> 01:13:41.280]   It would be if they could find a way to get back to I think that wasn't the lowest price for a mac
[01:13:41.280 --> 01:13:45.760]   Many originally 500 or am I think it started for 99? I think you're right. Yeah, yeah
[01:13:45.760 --> 01:13:48.160]   And they could create one that is still
[01:13:48.160 --> 01:13:52.720]   Wonderful usable for games. Wonderful usable for what most uh home you
[01:13:52.720 --> 01:13:57.760]   Let's say 80 percent of what the most mac users would want to do
[01:13:57.760 --> 01:14:02.240]   And as a second mac or as a starter mac, uh, that would be a hell of a product
[01:14:02.240 --> 01:14:05.520]   I don't know if apple would be willing to sabotage their higher price points for it
[01:14:05.600 --> 01:14:11.600]   But that would be such a super interesting product, especially in a world where you can buy pretty good
[01:14:11.600 --> 01:14:16.240]   Intel machines for nooks for about two or three or four hundred dollars. I mean that
[01:14:16.240 --> 01:14:18.400]   The current yeah
[01:14:18.400 --> 01:14:22.400]   Absolutely the current uh apple tv has plenty of power to do a lot
[01:14:22.400 --> 01:14:26.800]   That the average person is to do on a day-to-day basis if they if they put that out there
[01:14:26.800 --> 01:14:28.880]   I could see a lot of people doing it
[01:14:28.880 --> 01:14:34.720]   Especially especially if they locked it to the app store if they said that there is absolutely no way you can run unsigned apps on this
[01:14:34.800 --> 01:14:36.800]   Everything you rerun half
[01:14:36.800 --> 01:14:42.720]   You have to be access through the app store and apple now has let's say a year from now even tighter restrictions
[01:14:42.720 --> 01:14:49.600]   That makes sure that the apis that everyone is using are optimized for what apple for c perceives as the future
[01:14:49.600 --> 01:14:54.400]   That again, that could be a super super hot idea. I get yeah
[01:14:54.400 --> 01:14:58.320]   I think people I think you see people putting those little apple apple tv's everywhere
[01:14:58.320 --> 01:15:02.480]   If they were able to do that. I mean because that's what we use we use mac minis for little
[01:15:02.960 --> 01:15:06.880]   Like little servers and little things they do and and you know all kinds of you know glue
[01:15:06.880 --> 01:15:10.720]   And at two or three hundred dollar piece of glue would be amazing
[01:15:10.720 --> 01:15:16.720]   You know we would and I think that it would be a huge boom for for app developers even if it's all inside of a really interesting
[01:15:16.720 --> 01:15:22.720]   The app store it would be it'd be super exciting big difference you'd have to put in a more a lot more ram right
[01:15:22.720 --> 01:15:27.600]   Maybe I mean there's still a lot of assets. Yeah, those games
[01:15:27.600 --> 01:15:32.240]   Those games are going a lot on that machine. I mean there that I watch what my kids are playing
[01:15:32.240 --> 01:15:37.360]   They love apple arcade and so they I think they have almost all the games they're they're playing through and and they
[01:15:37.360 --> 01:15:41.840]   Uh, you know, those are pretty I look at it as someone who used to work on games like wow
[01:15:41.840 --> 01:15:43.840]   That's a lot to put into a little box
[01:15:43.840 --> 01:15:51.200]   I wonder how much of that actually is server side come to think of it because there's a certain it's so obviously a lot of libraries
[01:15:51.200 --> 01:15:54.400]   Right that developers using because there's a certain common look
[01:15:54.400 --> 01:15:59.680]   Um, I want that's interesting question. How are they getting those games on that apple tv?
[01:16:00.880 --> 01:16:02.880]   server side you think
[01:16:02.880 --> 01:16:07.440]   They sneakily do the mixture. I think it's loading. I don't think I don't think it tries to hold the whole you know
[01:16:07.440 --> 01:16:12.160]   Um more than one level at a time. Well, that's for sure. You know, so I think that it's so I think that it can it can
[01:16:12.160 --> 01:16:16.560]   It definitely a lot that I don't think it's doing really server size gaming like
[01:16:16.560 --> 01:16:23.520]   Um, like google is I think it's still a loading asset. You know what this arm transition is going to be the end of bootcamp
[01:16:23.520 --> 01:16:27.120]   Yeah, true, right
[01:16:27.280 --> 01:16:31.680]   People are actually using it though now. Well, that's a good question. I mean they'd had to do bootcamp before
[01:16:31.680 --> 01:16:35.840]   Right now that I don't know if they do and windows on arm. I think it's probably awful
[01:16:35.840 --> 01:16:42.960]   I think that I'd be surprised if that's the other you can run windows on on arm. Yeah, not just bootcamp
[01:16:42.960 --> 01:16:46.320]   I think it'd be well. I don't like ourselves. They actually have whoa
[01:16:46.320 --> 01:16:50.240]   Windows on arm, but it's so slow, but Chris is running on comp chips
[01:16:50.240 --> 01:16:56.160]   I don't know apple might be and also there's a huge expense in making sure all the drivers are updated and work
[01:16:56.480 --> 01:16:58.480]   on
[01:16:58.480 --> 01:17:04.320]   That the exactly yeah, it was it was a great value add for the intel transition because now you could sell
[01:17:04.320 --> 01:17:09.360]   Uh, you could people who wanted a macbook, but had to were only allowed to buy
[01:17:09.360 --> 01:17:15.200]   uh windows windows laptop for work or they had that one instance which they had to use a use a macbook for work
[01:17:15.200 --> 01:17:19.200]   Uh, it was a great way to sell people a macbook that he couldn't sell before now
[01:17:19.200 --> 01:17:22.240]   I think people are just buying macbooks because they want macbooks
[01:17:24.480 --> 01:17:30.160]   Are show today brought to you by worldwide technology if you are a enterprise
[01:17:30.160 --> 01:17:38.400]   If you have technology are you in the cloud or you have enterprise security? Do you have enterprise servers and in on prem or in the cloud
[01:17:38.400 --> 01:17:41.680]   You probably know about ww t if you don't you really need to
[01:17:41.680 --> 01:17:48.880]   And you need to know about ww t's advanced technology centers started in one rack and one building 10 years ago
[01:17:49.360 --> 01:17:56.240]   It has grown into it's in multiple buildings now many many racks more than half a billion dollars of equipment
[01:17:56.240 --> 01:18:00.640]   The reason for the atc is they've got all the oem's in there
[01:18:00.640 --> 01:18:07.200]   So their engineers can spin up proofs of concept pilots learn how stuff works show how stuff interacts
[01:18:07.200 --> 01:18:14.320]   It's pretty darn cool half a billion dollars of equipment from hundreds of oem's and key partners
[01:18:14.800 --> 01:18:19.200]   ranging from heavyweights like net app and sisco and vmware to
[01:18:19.200 --> 01:18:24.080]   The emerging disruptors are changing everything like tanium and equinex and expanse
[01:18:24.080 --> 01:18:29.520]   It is we we visited it was actually the last trip before uh covid hit
[01:18:29.520 --> 01:18:36.000]   At least that I went out there in march early march and I was out there. I was amazing. That's like incredible
[01:18:36.000 --> 01:18:39.360]   Yeah
[01:18:39.360 --> 01:18:43.440]   They have a whole like note. It's like it's like they have the cloud in a in a little box
[01:18:44.400 --> 01:18:49.280]   A giant building. Yeah, so it's it's it is it was stunning to visit
[01:18:49.280 --> 01:18:53.760]   It was it's really neat that they think that way because you know and the other thing there were other things like
[01:18:53.760 --> 01:18:57.760]   They have distribution centers all over the world of course because they have their global company
[01:18:57.760 --> 01:19:00.080]   They're out of st louis, but they have customers all over the world
[01:19:00.080 --> 01:19:02.960]   But unlike other enterprise vendors
[01:19:02.960 --> 01:19:08.800]   They integrated all before they ship it to you so every I was watching the they have cameras
[01:19:08.800 --> 01:19:13.040]   You know on the on the fulfillment floors and I was watching I said what's that guy doing?
[01:19:13.280 --> 01:19:18.480]   He said oh, he's the carpenter every single distribution center has a full-time
[01:19:18.480 --> 01:19:24.400]   Carpenter in there building custom crates for shipping because when you buy from wwt
[01:19:24.400 --> 01:19:28.160]   They integrate it all they get all working and then they have a custom
[01:19:28.160 --> 01:19:32.560]   Special shock absorber crate. They ship it to you and so that all you do is open it up
[01:19:32.560 --> 01:19:38.400]   Plug it in it's good to go. It's little things like that that makes it's blow me away wwt
[01:19:38.400 --> 01:19:44.160]   Operates at a scale. I've never seen anything like it before they do everything
[01:19:44.160 --> 01:19:48.080]   app development analytics cloud services
[01:19:48.080 --> 01:19:52.880]   They're the best consultants in the world because they know everything and this a tc
[01:19:52.880 --> 01:19:56.480]   You're gonna want to be able to use it and by the way you can I'll explain that in a second
[01:19:56.480 --> 01:19:58.960]   They actually well I'll tell you now. Well, I'll keep it a secret
[01:19:58.960 --> 01:20:03.680]   They actually not only use it themselves for their proofs of concept and pilots
[01:20:03.680 --> 01:20:06.800]   They have created they started this last summer on demand
[01:20:07.600 --> 01:20:09.600]   Scheduleable labs
[01:20:09.600 --> 01:20:11.680]   That you can try
[01:20:11.680 --> 01:20:15.120]   24/7 from anywhere in the world. You don't have to come to st. Louis. Although
[01:20:15.120 --> 01:20:18.720]   If you do try the toasted ravioli, it's fantastic
[01:20:18.720 --> 01:20:24.320]   They have they have on-demand and schedulable labs like net app cloud volumes on tap
[01:20:24.320 --> 01:20:28.640]   They have on tap on flash net app disaster recovery as a service
[01:20:28.640 --> 01:20:34.320]   Hundreds of labs representing the newest advances and everything. I mean not just storage, but
[01:20:35.120 --> 01:20:40.000]   multi cloud hyper converged infrastructure cloud data management security
[01:20:40.000 --> 01:20:47.440]   This lab is a service is so cool. It's a dedicated lab space within the atc where you can perform your own programmatic testing
[01:20:47.440 --> 01:20:51.440]   And and that half billion dollars with equipment. It's all available to you
[01:20:51.440 --> 01:20:58.240]   And you can do it anywhere in the world. I think this is wonderful. This is what ww t's engineers use you can use it too
[01:20:58.240 --> 01:21:01.280]   And it's more than just labs. I mean this this
[01:21:01.280 --> 01:21:03.440]   platform
[01:21:03.440 --> 01:21:10.240]   Creates a multiplier effective knowledge speed and agility anytime anywhere around the world for ww t customers
[01:21:10.240 --> 01:21:16.640]   You get the labs, but you also get access to articles and case studies. You can actually go there right now ww t.com/twit
[01:21:16.640 --> 01:21:20.160]   And start learning ww t.com/twit
[01:21:20.160 --> 01:21:26.400]   Enterprise technology moves so fast and so much is at stake, especially now
[01:21:26.400 --> 01:21:32.000]   That you you know, if you're a hospital they have lots of health care
[01:21:32.880 --> 01:21:33.920]   clients
[01:21:33.920 --> 01:21:37.200]   You're you're dealing with a whole new world. They can help you
[01:21:37.200 --> 01:21:40.880]   They've got the tools to make a difference in in the
[01:21:40.880 --> 01:21:43.280]   very fast moving
[01:21:43.280 --> 01:21:48.640]   high stakes world of enterprise computing to learn more about ww t the atc and you know someday
[01:21:48.640 --> 01:21:56.800]   I hope you get to go to st. Louis and see it, but you don't have to now ww t.com/twit create an account set up some on-demand labs
[01:21:56.800 --> 01:22:02.560]   And learn ww t's the kind of partner you want. That's why their customers stay with them year after year after year
[01:22:03.040 --> 01:22:05.680]   Many for more than 10 years ww t.com
[01:22:05.680 --> 01:22:10.320]   Slash twit worldwide technology delivering business and technology outcomes
[01:22:10.320 --> 01:22:18.400]   Around the world. We're big fans. We did a panel. I forgot you were at you were out there for the panel Alex. Yeah, I was super impressed
[01:22:18.400 --> 01:22:24.560]   Yeah, it was it was a lot of fun and and I just like who are these guys? I know I never heard of them
[01:22:24.560 --> 01:22:30.400]   And then and they had this I mean the AV set up alone. They it was perfect. They had everything
[01:22:30.960 --> 01:22:32.960]   they had a beautiful auditorium they
[01:22:32.960 --> 01:22:34.960]   and
[01:22:34.960 --> 01:22:42.000]   Do you you came in while we were getting the the tour and they had the big screen and they have cameras everywhere? It was amazing
[01:22:42.000 --> 01:22:44.960]   Now it's blown away. It really amazing. Yeah, yeah
[01:22:44.960 --> 01:22:52.080]   Uh, but it but do put do put do yes, I will be on office hours. I don't know what I'm gonna talk about on thursday
[01:22:52.080 --> 01:22:59.200]   It's like I don't we were talking about it this morning. I really see it as kind of a reverse triangulation. I get to interview you so so it's uh
[01:23:00.640 --> 01:23:03.200]   Yes, so I so what will happen is is that I'll
[01:23:03.200 --> 01:23:09.360]   Are the second hour you don't have to think about it too much because you get about there's a couple minutes that you and I will talk
[01:23:09.360 --> 01:23:15.040]   And we'll talk a little bit about uh, you you know how you got to where you're at and how you approach things and then
[01:23:15.040 --> 01:23:21.600]   The the audience really just takes over so so then there's just a lot of questions and so they'll they'll just start asking questions
[01:23:21.600 --> 01:23:24.720]   We call it good hit so so you don't wait to get the bit
[01:23:24.720 --> 01:23:27.600]   Yeah, yeah, oh we're a helmet
[01:23:28.320 --> 01:23:30.640]   Uh, bit.ly it's a zoom call
[01:23:30.640 --> 01:23:37.840]   B it.ly/capital th e capital o f i c e capital h o u r s
[01:23:37.840 --> 01:23:41.440]   I had no idea like I just made it easier to read. I didn't realize that it was a case sensitive
[01:23:41.440 --> 01:23:46.000]   It's camel case. I was like the office. I was like I had no idea. So so anyway, please
[01:23:46.000 --> 01:23:48.720]   I'd love to uh love to talk to you and see and i'll be there
[01:23:48.720 --> 01:23:55.680]   Uh, it's gonna be great. I gotta I got my a7s. I got the little dummy batteries. I got the tripods
[01:23:56.080 --> 01:23:58.960]   I got i'm ready. I'm gonna. I'm gonna. I got my a10 mini
[01:23:58.960 --> 01:24:02.880]   I'm gonna be ready. Excellent. I might be ready for all I need is like
[01:24:02.880 --> 01:24:05.040]   That's all started at a five thousand what?
[01:24:05.040 --> 01:24:06.080]   Yeah, that's pretty much
[01:24:06.080 --> 01:24:13.040]   I'm uh, I'm ted to uh, what is his name? Ted Baxter. Ted Baxter. That's me. Hello, mr
[01:24:13.040 --> 01:24:16.320]   I got a smear
[01:24:16.320 --> 01:24:22.960]   It was so broad we're talking about the mary tylenmore show and uh
[01:24:23.440 --> 01:24:27.840]   But it was so broad, but I guess it was you know we that's that's how we liked it in those days
[01:24:27.840 --> 01:24:31.360]   Now you could turn their wall down with her smile. Yes, she could
[01:24:31.360 --> 01:24:38.000]   She was lorry gill before lorry. Do you ever wear a little beret lorry and just spin around and throw it in the air
[01:24:38.000 --> 01:24:40.800]   You ever do that?
[01:24:40.800 --> 01:24:44.480]   Of course, this is kind of a kind of a different place to
[01:24:44.480 --> 01:24:46.880]   It's a different place now. Isn't it? Yeah, yeah
[01:24:46.880 --> 01:24:52.000]   That's for sure. I want to be careful as you're spinning around. Yeah, watch the watch for the rubber bullets
[01:24:52.880 --> 01:24:55.600]   Uh apple the big reopening is starting
[01:24:55.600 --> 01:24:59.120]   Scares the pants off of me, but not the mask
[01:24:59.120 --> 01:25:01.840]   Not the mask
[01:25:01.840 --> 01:25:04.400]   I may be going around pantless, but i'm never going around mask
[01:25:04.400 --> 01:25:09.840]   Uh, the question is going to be how are they going to deal with the jerks?
[01:25:09.840 --> 01:25:14.880]   How are they gonna say no all the people that are wearing a mask that yeah, yeah, exactly. Well, I have a mask
[01:25:14.880 --> 01:25:17.520]   I'm fine. Are they
[01:25:17.520 --> 01:25:19.040]   Mike is uh
[01:25:19.040 --> 01:25:22.320]   Mike is a significant other works at starbucks
[01:25:23.280 --> 01:25:25.120]   and uh
[01:25:25.120 --> 01:25:29.360]   They don't they wear masks and they require customers coming in the store to wear a mask
[01:25:29.360 --> 01:25:31.520]   Guys says no
[01:25:31.520 --> 01:25:35.440]   And says i'm sorry. You can't come in you have to wear a mask to come in. He said i'm gonna cough on you
[01:25:35.440 --> 01:25:38.080]   and he coughs on yeah, it's like
[01:25:38.080 --> 01:25:41.040]   Why are people such jerks?
[01:25:41.040 --> 01:25:45.600]   Yeah, what the hell wear a mask? It's not such a big deal. In fact, they're kind of nice
[01:25:45.600 --> 01:25:48.080]   You had no face recognition works anymore
[01:25:48.080 --> 01:25:49.760]   Yeah
[01:25:49.760 --> 01:25:56.800]   It's great. No, no one knows if you live in a place like Sacramento, uh, it's but it's good for allergies too. Oh, man
[01:25:56.800 --> 01:26:04.000]   We need them here. We need them here. Yeah, so apple will be reopening 70 plus stores in the us in canada this week
[01:26:04.000 --> 01:26:09.760]   Uh, and yes, they're gonna you're there'll be a questionnaire when you come to the store are you feeling okay?
[01:26:09.760 --> 01:26:13.840]   any temperature any as uh temperature or sniffles a
[01:26:13.840 --> 01:26:17.440]   Taste this hot dog. Can you taste the mustard that kind of thing?
[01:26:18.080 --> 01:26:23.440]   Uh, there are employees and customers will have temperature checks face coverings are required
[01:26:23.440 --> 01:26:27.760]   Social distancing they're gonna limit the number of people come in. They're doing everything right
[01:26:27.760 --> 01:26:31.200]   They're doing everything right. Yeah, but all I can think of is
[01:26:31.200 --> 01:26:33.760]   To some apple boy going
[01:26:33.760 --> 01:26:42.720]   Is this muster catch up? What do you think close your eyes close your eyes hot dog or not hot dog
[01:26:45.920 --> 01:26:50.080]   Um actually as of as of today 154 of apples
[01:26:50.080 --> 01:26:52.480]   271 stores in the us have reopened
[01:26:52.480 --> 01:26:56.480]   365 stores around the world are open they've done
[01:26:56.480 --> 01:27:01.520]   Uh, you know, they've done a pretty good job of drop off and pick up curbside
[01:27:01.520 --> 01:27:06.160]   I my iPhone need to be fixed. I just shipped it to them that worked fine. It was very quick
[01:27:06.160 --> 01:27:09.040]   Um, but I guess peep I guess
[01:27:09.040 --> 01:27:14.480]   Why reopen because people have to see this stuff or something
[01:27:14.480 --> 01:27:16.480]   Um
[01:27:16.480 --> 01:27:22.160]   I there's a lot of service issues. There's there's you know, there's service issues as people who do want to get something faster than apples
[01:27:22.160 --> 01:27:27.440]   Ready to send it to them. I mean, there's a bunch of I think there's a bunch of reasons to go ahead and open it if you're in within a
[01:27:27.440 --> 01:27:29.920]   um
[01:27:29.920 --> 01:27:32.320]   You know if if if it if you can do it carefully
[01:27:32.320 --> 01:27:36.240]   I also think that there's just a general sort of
[01:27:36.240 --> 01:27:39.120]   social
[01:27:39.120 --> 01:27:44.320]   Construct of stores being open that make us feel better and even though right now
[01:27:44.320 --> 01:27:51.280]   We have a lot of fear about the economy opening back up and going into stores and the dangers that come along with that
[01:27:51.280 --> 01:27:54.560]   We're more comfortable
[01:27:54.560 --> 01:27:58.080]   When our economy is open and we'll spend more money and
[01:27:58.080 --> 01:28:00.800]   maybe apple is just kind of
[01:28:00.800 --> 01:28:02.880]   just going with the flow
[01:28:02.880 --> 01:28:04.640]   because
[01:28:04.640 --> 01:28:05.920]   you know
[01:28:05.920 --> 01:28:12.720]   Everybody like not everybody but a lot of people want to open the economy back up and and the the normalcy of it is a
[01:28:12.720 --> 01:28:16.640]   Sense of comfort even though we're afraid of it, you know
[01:28:16.640 --> 01:28:23.520]   I think I think another factor is that you really want to get those employees back and getting them paid
[01:28:23.520 --> 01:28:28.000]   Before they leave for other jobs because they got to make money somewhere
[01:28:28.000 --> 01:28:32.720]   Uh, and if you if you lose half of your employees and then you have to retrain half of them
[01:28:33.040 --> 01:28:36.400]   Uh by the time you by the time the the Christmas season rolls around
[01:28:36.400 --> 01:28:42.880]   That's a super bad thing on top of simply wanting to get your employees back to work and paying them and getting them
[01:28:42.880 --> 01:28:47.040]   Making sure that you're there. They're still on health coverage and everything else that they're they count on
[01:28:47.040 --> 01:28:52.240]   Uh, it's a it's a it's an odd calculus and like I said, I'm the
[01:28:52.240 --> 01:28:59.040]   The only thing that I'm afraid I'm not afraid of stores being able to make sure that social distancing
[01:28:59.360 --> 01:29:02.880]   Make sure they're they're they're moving tables apart so that people are not going to be
[01:29:02.880 --> 01:29:08.880]   Close together making sure that everybody who enters wears a mask even taking temperatures of people coming in
[01:29:08.880 --> 01:29:15.840]   I'm just concerned about jerks who are going to try to make this into an untenable situation for everybody
[01:29:15.840 --> 01:29:21.280]   I was I went food shopping yesterday and you have to have a mask to get in and a lot of people just
[01:29:21.280 --> 01:29:25.680]   You seem to think that that that that that mask is simply their entrance ticket
[01:29:26.000 --> 01:29:30.320]   And once they are inside with it, it doesn't matter if they wear it or not and they're inside a grocery store
[01:29:30.320 --> 01:29:32.560]   and
[01:29:32.560 --> 01:29:34.400]   I'm and this and this and we're not talking about like
[01:29:34.400 --> 01:29:37.840]   an avenue of total jerks. They're just people who
[01:29:37.840 --> 01:29:43.360]   Seem to think that the the emergency is over just like we're in new england
[01:29:43.360 --> 01:29:45.760]   They're we're they're using the same mental software
[01:29:45.760 --> 01:29:48.720]   We use when there's a hurricane or a snowstorm that oh gosh
[01:29:48.720 --> 01:29:54.960]   Well, that was a bad one. We we had to stay inside the house for three four days while it snowed and then it was a whole week before power got back on
[01:29:55.040 --> 01:29:58.560]   But well, we're out of it now and now everything's everything's back to normal. It isn't
[01:29:58.560 --> 01:30:03.280]   I think there was a lot of people that were impatient, you know to get back into it
[01:30:03.280 --> 01:30:07.120]   And I think that while the protests had a lot of valid reasons for them
[01:30:07.120 --> 01:30:10.720]   I think that they just they broke the window open, you know, they broke that that dam
[01:30:10.720 --> 01:30:14.800]   And uh, and I think at this point we're never going back. There won't be any more
[01:30:14.800 --> 01:30:17.760]   I don't think we'll ever go back to stay at home no matter what happens
[01:30:17.760 --> 01:30:22.560]   Like I I just think that there's a bunch of people that have that you know, uh, you know from
[01:30:23.280 --> 01:30:28.640]   Not not the cities that that just we're ready to go back to doing with them and a lot of them that are in the cities
[01:30:28.640 --> 01:30:31.280]   We have to remember that a lot of people are so I think that apple
[01:30:31.280 --> 01:30:33.200]   I think that a lot of companies are taking that into account
[01:30:33.200 --> 01:30:35.040]   They're going to try to do it as as carefully as they can
[01:30:35.040 --> 01:30:37.360]   But I think whatever we were doing to be safe
[01:30:37.360 --> 01:30:41.760]   I think we're you know, we're gonna we want to keep doing it and we want to keep on putting those on
[01:30:41.760 --> 01:30:45.360]   But I think that we've turned a corner where we're not I don't think that it's going to reverse
[01:30:45.360 --> 01:30:48.720]   You know, and so I think the protests broke the
[01:30:49.840 --> 01:30:53.840]   I think this was starting before the protests. I I think just people were fed up
[01:30:53.840 --> 01:30:56.240]   They were done people were people were fed up and tired of it
[01:30:56.240 --> 01:30:59.360]   But it was a lot of folks that just said well if they can do it, I can do it
[01:30:59.360 --> 01:31:03.840]   And once they started going back to it they're they're not I don't think we can put the bottle
[01:31:03.840 --> 01:31:05.680]   I don't think we can put the genie back in the bottom
[01:31:05.680 --> 01:31:09.120]   And I think that the protests were had a lot of valid
[01:31:09.120 --> 01:31:12.160]   Foundations, so I'm not I'm not saying that people shouldn't protest it
[01:31:12.160 --> 01:31:16.800]   I'm just saying that when when we get once we turn that corner, it was it was over
[01:31:17.120 --> 01:31:21.600]   You know like an and it and I don't think I don't think the protest has anything to do with that though
[01:31:21.600 --> 01:31:24.160]   I'm not sure if that's what you're
[01:31:24.160 --> 01:31:26.640]   Like that that's kind of where you're standing with that
[01:31:26.640 --> 01:31:30.560]   I think if there was not a single protest that happened in the last three weeks
[01:31:30.560 --> 01:31:33.440]   We would be in this exact same place with people
[01:31:33.440 --> 01:31:38.560]   Yeah, I mean I kind of I agree with you Alex. I saw this coming
[01:31:38.560 --> 01:31:42.160]   That I just because there was no other way, right?
[01:31:42.160 --> 01:31:46.080]   Uh, it was like nobody's gonna put up with this for another year. It's just not gonna
[01:31:46.080 --> 01:31:47.280]   You know, it's
[01:31:47.280 --> 01:31:51.600]   And now I think that there's still going to be companies that don't want to put you know, we're not bringing our employees back
[01:31:51.600 --> 01:31:56.400]   You know hell no well and and also there's and there's also going to be you know, I don't think I don't want to die
[01:31:56.400 --> 01:32:00.960]   And I don't think we're going to see a big um, I don't think we're going to see a big events
[01:32:00.960 --> 01:32:04.480]   You know, and I don't think that companies are going to fill back up to 100 percent in their thing
[01:32:04.480 --> 01:32:06.560]   So though that all I think is still going to happen
[01:32:06.560 --> 01:32:09.680]   But I think as far as retail outlets, I think the problem you get into is
[01:32:09.680 --> 01:32:15.040]   Why do you open one and not the other? I mean, why do you not have an apple store open but have a grocery store open?
[01:32:15.040 --> 01:32:17.040]   I mean the grocery store talked
[01:32:17.040 --> 01:32:20.960]   Because people have to eat. Yeah, they don't have to buy a Mac
[01:32:20.960 --> 01:32:23.680]   I mean, I might but most people don't have to
[01:32:23.680 --> 01:32:30.320]   But I think that for not just for apple but and I think apple could afford to you know, have this have this move forward
[01:32:30.320 --> 01:32:34.480]   But I think for a lot of companies, you know, they're the I don't know. I mean the numbers are
[01:32:34.480 --> 01:32:38.640]   Stunning you know for a small business. Oh, yeah, I agree half
[01:32:38.640 --> 01:32:41.120]   You know, it's a high price that aren't gonna ever
[01:32:41.920 --> 01:32:45.040]   120,000 people dead is a high price to pay so you could sell your
[01:32:45.040 --> 01:32:47.040]   apples in the apple stand
[01:32:47.040 --> 01:32:51.120]   I mean, I'm not gonna I'm not gonna argue about about what what we should or shouldn't do in that area
