;FFMETADATA1
title=Foursquare for Drunks
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=717
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.800]   It's time for Twit this week in tech. We have a great panel for you a first-timer
[01:18:12.400 --> 01:18:13.920]   I think is
[01:18:13.920 --> 01:18:17.840]   Something the next stage for these devices and it's a little bit more interesting
[01:18:17.840 --> 01:18:24.880]   Um, especially as we get more more smart homes and connect things up to each other a centralized repository is interesting
[01:18:24.880 --> 01:18:27.280]   I wish michael's off was
[01:18:27.280 --> 01:18:29.440]   Going to do they were supposed to do something care
[01:18:29.440 --> 01:18:35.280]   I'm not sure if they're still going to because again if I have to choose between companies, you know apple for security
[01:18:35.280 --> 01:18:41.600]   Microsoft next for privacy and then it's like I really don't want to do google or amazon little sketchy of their stuff
[01:18:41.680 --> 01:18:43.680]   So, what do you worry about?
[01:18:43.680 --> 01:18:46.240]   These go ahead and then i'll talk to luis go ahead dan
[01:18:46.240 --> 01:18:53.680]   If you're going to add these these home services or what have you and put screens on them put screens on them that are more than 2%
[01:18:53.680 --> 01:18:56.560]   Larger than my phone. Well, that was the google home hub
[01:18:56.560 --> 01:19:00.960]   That really was tiny. It makes no sense. They're all voice activated and whatnot
[01:19:00.960 --> 01:19:06.320]   But you can't see the screen from the other side. There are larger ones Lenovo and uh, they're there are large
[01:19:06.320 --> 01:19:09.840]   JBL they're larger screens. We'll see what google's supposed to do not something
[01:19:10.560 --> 01:19:17.600]   Uh, tuesday, luis you said that they surprised me you have privacy concerns about having a voice assistant in your house
[01:19:17.600 --> 01:19:20.160]   Yeah, I definitely don't want a smart speaker in my house
[01:19:20.160 --> 01:19:24.720]   I think that we just saw that report in bloomberg that they did not have them properly
[01:19:24.720 --> 01:19:31.280]   Anonymize and they were having people listen to these for to improve their uh voice recognition software
[01:19:31.280 --> 01:19:34.400]   Which is fine. I think you should be doing that but they weren't even properly
[01:19:34.400 --> 01:19:38.960]   You know it was attached you could have some someone's home address and the recording inside their house
[01:19:39.200 --> 01:19:41.200]   And you know there was that extremely disturbing
[01:19:41.200 --> 01:19:47.360]   Uh anecdote in the bloomberg story where they said that someone who was listening to these their job is to you know
[01:19:47.360 --> 01:19:53.760]   Listen to these recordings overheard a sexual assault. That's horrifying. Yeah, and what do you do when that happens?
[01:19:53.760 --> 01:19:56.640]   Yeah, they basically amazon the
[01:19:56.640 --> 01:20:02.000]   Anonymous employees said that amazon's response is that son of our business and I just don't think I don't really see the
[01:20:02.000 --> 01:20:04.640]   I don't see the um
[01:20:04.640 --> 01:20:06.640]   You know, we're just talking about I don't I just don't see the uh
[01:20:07.680 --> 01:20:11.360]   Exchange here. Like what am I really getting in return? I totally agree having a screen
[01:20:11.360 --> 01:20:14.240]   But then there's this weird question of like where does that go?
[01:20:14.240 --> 01:20:19.680]   We don't really have like it's not very cute to have like this kind of ugly bulky screen on your counter
[01:20:19.680 --> 01:20:26.080]   Kind of reminds me of like uh a desktop phone like that's kind of what we kind of removed from our kitchen counter, you know
[01:20:26.080 --> 01:20:30.800]   Yeah, I'm hoping that we get to the point where I would like a screen where I can just be like, you know
[01:20:30.800 --> 01:20:35.120]   Show me the best apple pie recipe and something comes up that would be nice or you know
[01:20:35.120 --> 01:20:39.280]   Tell me the weather and it comes up like that, but I kind of want that I want the movie fantasy
[01:20:39.280 --> 01:20:43.440]   I want it built into the the wall. I don't really want like this ugly Lenovo
[01:20:43.440 --> 01:20:46.960]   Screen or the facebook portal or whatever. That's like on my table
[01:20:46.960 --> 01:20:52.400]   You're not doing your first step install you have to buy these crappy versions
[01:20:52.400 --> 01:20:56.480]   Because report development so that you can eventually get the magical version
[01:20:56.480 --> 01:21:02.320]   Yeah, I just don't think it's there yet. I consider this my job. I have to use all these things
[01:21:03.120 --> 01:21:06.640]   It's the same reason I bought a Tesla. It's not because I thought this is the greatest thing ever
[01:21:06.640 --> 01:21:09.600]   But I want to support the future. They're of electric cars
[01:21:09.600 --> 01:21:12.400]   Like honestly though, I'm a good person
[01:21:12.400 --> 01:21:14.320]   That's like
[01:21:14.320 --> 01:21:19.840]   If you have $250 or something to spend on one of these things 300 bucks, I would much rather get a really nice
[01:21:19.840 --> 01:21:25.520]   Looking a bow speaker or a really nice one of those like long whatever those bar speakers and have that in my house
[01:21:25.520 --> 01:21:27.840]   Be able to play really nice music in the sound bars
[01:21:28.000 --> 01:21:32.560]   That's just a nicer item. I think to have then like a facebook portal on my
[01:21:32.560 --> 01:21:37.360]   You know kitchen counter. I can talk to grandma like I just don't have a facebook portal on my kitchen counter
[01:21:37.360 --> 01:21:38.960]   Wow
[01:21:38.960 --> 01:21:41.920]   I hear they're pretty good. I haven't tried one, but I hear that they're actually pretty good
[01:21:41.920 --> 01:21:45.280]   Yeah, there's one drive motion tracking is pretty cool. I give them that
[01:21:45.280 --> 01:21:52.320]   Yeah, I gave him both to berk to take apart and he broke one right you couldn't take it apart without smashing it
[01:21:52.320 --> 01:21:54.320]   It wasn't waiting. Oh berg's glued
[01:21:54.960 --> 01:22:01.440]   I was hoping we could do something. I don't know. I wanted to hear I wanted to put you guys in facebook portals instead of these tv screens
[01:22:01.440 --> 01:22:03.680]   I just have three facebook portals on here
[01:22:03.680 --> 01:22:08.640]   I want that snowed in what does that see like rolls out in a little robot? Yeah, I want one of those
[01:22:08.640 --> 01:22:10.480]   Yeah, I bought one of those too. They don't
[01:22:10.480 --> 01:22:12.480]   Jesus
[01:22:12.480 --> 01:22:16.480]   With regards to the to this earning call in q1
[01:22:16.480 --> 01:22:23.920]   It's it's still q1. I don't think it's enough to to to to be all panicky about it the way
[01:22:24.560 --> 01:22:31.440]   Wall Street tends to be the way Wall Street is. Yeah, you know, I I will never understand that and we go through this
[01:22:31.440 --> 01:22:36.640]   Every single year even with apple as they sit on a bank road
[01:22:36.640 --> 01:22:40.000]   That's more money than anybody else on the planet it seems like
[01:22:40.000 --> 01:22:45.920]   And it was stressed out and say oh my goodness apple is in trouble and then when q4 rolls around like whoa apple
[01:22:45.920 --> 01:22:51.920]   It's just so awesome and so great. It's because it's because no they're doing most of these companies know what they're doing
[01:22:52.560 --> 01:22:55.600]   Finally, it's a real precious. It's real precious with apple though
[01:22:55.600 --> 01:23:02.880]   There's a reason I paid more taxes this last April than google paid. There's a reason for that
[01:23:02.880 --> 01:23:06.480]   They know it's a good thing. I really don't amazon paid zero taxes
[01:23:06.480 --> 01:23:11.920]   Halliburton paid zero taxes don't get me started on amazon in taxes
[01:23:11.920 --> 01:23:15.040]   Like i just like i'll that's makes me so angry
[01:23:15.040 --> 01:23:21.040]   But but yeah, I mean but the thing about you know q1 for google versus you know q1 for apple is that
[01:23:21.440 --> 01:23:28.080]   You know the part of the reason that you might not be seeing these things in q1 is that apple will have you know black friday and
[01:23:28.080 --> 01:23:29.600]   holiday season
[01:23:29.600 --> 01:23:33.280]   They have giant fourth quarters when or whatever I guess it's jack q1
[01:23:33.280 --> 01:23:37.600]   It always happens because that's when all the new iPhones come out and then the q2 is a little bit of a slowdown
[01:23:37.600 --> 01:23:43.600]   All right, exactly, but honestly that is a that I think is a malign influence on the way these companies work
[01:23:43.600 --> 01:23:51.280]   Is that there is so much pressure in the stock market to show the super high growth levels that the market really will will ding them for even
[01:23:51.280 --> 01:23:53.280]   The slightest infraction makes these companies
[01:23:53.280 --> 01:23:56.880]   Pushing in the wrong direction in many cases
[01:23:56.880 --> 01:24:01.440]   Trying to appease the market instead of innovator or or do the right thing
[01:24:01.440 --> 01:24:06.880]   I mean, you know tesla is a good example this recently although people could argue about
[01:24:06.880 --> 01:24:14.560]   Elon musk, but like the fact is it's like they shipped way more cars this year the same time this year than they did last year
[01:24:14.560 --> 01:24:20.160]   And so they they're having significant growth, but they're not able to meet sort of the numbers
[01:24:20.400 --> 01:24:23.120]   Some of them some of the numbers they set themselves internally, but
[01:24:23.120 --> 01:24:30.640]   You know it's there is this pressure, but then again their stock hasn't suffered as much as nearly as much as the shorts would want them to suffer
[01:24:30.640 --> 01:24:31.920]   So
[01:24:31.920 --> 01:24:37.760]   You know their stock is actually doing all right considering the bad news that they had in the last few days as far as apple though
[01:24:37.760 --> 01:24:40.880]   I do see apple is sitting on a ton of money. So that's good
[01:24:40.880 --> 01:24:41.680]   but
[01:24:41.680 --> 01:24:47.520]   You know as a publicly traded company that it is about what comes next and this issue with the iPhone
[01:24:47.520 --> 01:24:53.040]   I think is really interesting because I've been saying for two years now the smartphones they're plateauing we're leveling off and this is
[01:24:53.040 --> 01:24:59.840]   This is a good thing. This isn't bad news. It's a commodification of the these devices as they reach a maturity level
[01:24:59.840 --> 01:25:04.880]   Just like how we don't really do this podcast. We don't talk about like refrigerators the latest tech and refrigerate
[01:25:04.880 --> 01:25:09.600]   Even though I guarantee you samsung has a brand new refrigerator at best by right now. That's like really neat
[01:25:09.600 --> 01:25:15.360]   But it's because it's just technology stuff we get used to and phones are going through this right now
[01:25:15.760 --> 01:25:19.600]   And apple is seeing you know facing the pressure to most if you look at china
[01:25:19.600 --> 01:25:27.600]   They're having problems there. They've had a cut prices. You have companies like Huawei who i've been saying the chinese companies for years were accused of copying
[01:25:27.600 --> 01:25:30.240]   Apple and samsung and they were blatantly
[01:25:30.240 --> 01:25:37.520]   But they've gone now from that to like now they're surpassing apple and samsung at a lower cost and I see what china is doing
[01:25:37.520 --> 01:25:42.560]   In tech especially mobile. It's going to be one of the biggest threats probably more for so korea
[01:25:43.040 --> 01:25:47.520]   I see lg exiting smartphones eventually samsung i think it's got a real challenge
[01:25:47.520 --> 01:25:51.200]   They they're chasing apple and now they're getting from behinds in the low
[01:25:51.200 --> 01:25:55.840]   Low to mid range smartphone segment and you're going to see you know apple
[01:25:55.840 --> 01:26:02.160]   Have to and they they're pivoting what services but their services are solely dependent on the devices
[01:26:02.160 --> 01:26:06.480]   They sell themselves because if you're on if you have a windows pc in an android phone
[01:26:06.480 --> 01:26:08.720]   You're probably not using a lot of apple services
[01:26:08.720 --> 01:26:14.240]   And so they're going to have to find this balance between growing their services but keeping they have to keep device sales
[01:26:14.240 --> 01:26:18.400]   Going out and it can't be just enough to be chugging along
[01:26:18.400 --> 01:26:21.200]   So I don't know how they get around them
[01:26:21.200 --> 01:26:25.200]   And the problem with apple is that you we don't we don't really think about this when you live in the us
[01:26:25.200 --> 01:26:29.360]   But an iphone is a luxury product and I think that that market
[01:26:29.360 --> 01:26:32.240]   Tops out somewhere, you know if you're in a third world country
[01:26:32.240 --> 01:26:33.840]   You're not getting an iphone
[01:26:33.840 --> 01:26:37.200]   You just aren't and that and they don't have any interest in tapping into those markets
[01:26:37.200 --> 01:26:40.960]   You know they kind of tried with the se that was supposed to be for the brick countries
[01:26:40.960 --> 01:26:42.400]   You know they've they've done a little bit of that
[01:26:42.400 --> 01:26:45.280]   But I don't think they have much interest in developing a mid-tier
[01:26:45.280 --> 01:26:48.080]   iPhone that's going to cost $400 or something
[01:26:48.080 --> 01:26:53.120]   They don't want to do that and there's only you know so much they can grow and people are holding on to their iphones longer
[01:26:53.120 --> 01:26:57.760]   Which apple hates it's really great for the environment. I've had my iphone seven for almost 24 months now
[01:26:57.760 --> 01:27:02.720]   I have no intention of getting a new phone because why would I I think the difference between the seven
[01:27:03.280 --> 01:27:06.640]   And the latest phones that are out right now is just not that meaningful because you're right
[01:27:06.640 --> 01:27:09.840]   I'm not going to replace my fridge every year. That's insane the same
[01:27:09.840 --> 01:27:12.560]   Same price
[01:27:12.560 --> 01:27:14.960]   You get a fridge for less than a iphone
[01:27:14.960 --> 01:27:17.600]   True right right exactly
[01:27:17.600 --> 01:27:19.920]   I I think this
[01:27:19.920 --> 01:27:23.120]   Has created a little psychosis in apple though
[01:27:23.120 --> 01:27:27.200]   Uh, and this worries me a little bit and this is from a personal experience. So we
[01:27:27.200 --> 01:27:30.560]   uh, prat-pactict Ella hanny one of our great engineers
[01:27:30.960 --> 01:27:35.520]   Uh wrote a very simple program for the apple tv
[01:27:35.520 --> 01:27:38.720]   Uh that allows you to watch and stream
[01:27:38.720 --> 01:27:45.200]   Uh a new show of ours called hands-on tech. It's a review show and it reviews everything not just apple stuff
[01:27:45.200 --> 01:27:48.080]   It reviews android stuff and windows laptops and other stuff
[01:27:48.080 --> 01:27:52.880]   The when he submitted it to apple apple sent it back
[01:27:52.880 --> 01:27:58.560]   Saying yeah, you can't have images of non apple products
[01:27:59.360 --> 01:28:01.040]   in the images
[01:28:01.040 --> 01:28:03.040]   the promo images of your
[01:28:03.040 --> 01:28:04.800]   Show
[01:28:04.800 --> 01:28:07.200]   They rejected it and we've actually heard from other apple
[01:28:07.200 --> 01:28:14.320]   Brother developers who write stuff for our network that yeah anytime they have an android phone or an laptop from windows
[01:28:14.320 --> 01:28:18.960]   In any of the collateral material they have to delete it before apple accept the
[01:28:18.960 --> 01:28:23.520]   Program and i'm i think that we deleted it and apple accepted it. It was like
[01:28:23.520 --> 01:28:29.280]   But but what kind of weird paranoia is is that where oh we don't want anybody
[01:28:29.520 --> 01:28:32.160]   to know that there's anything besides apple products
[01:28:32.160 --> 01:28:35.600]   That's like no it's real level. So that's why you let's see
[01:28:35.600 --> 01:28:41.120]   Now the stream will have reviews of other products. Are they gonna not like that? I don't understand
[01:28:41.120 --> 01:28:43.760]   They said well
[01:28:43.760 --> 01:28:47.520]   We just don't want any pictures of other people's devices and our materials
[01:28:47.520 --> 01:28:53.120]   Well, remember my favorite example of kind of app store insanity is camera. What it's called
[01:28:53.120 --> 01:28:58.560]   But it's supposed to have been like 2014 there was a mobile game about working in foxcon
[01:28:58.560 --> 01:29:02.800]   Right, it was like a social commentary on how awful it was to make iPhones and boxcon
[01:29:02.800 --> 01:29:06.880]   And they wouldn't let that game in the app store and there have been a lot of cases like that
[01:29:06.880 --> 01:29:11.920]   You know steve jobs famously didn't want porn on the iphone. There was no however
[01:29:11.920 --> 01:29:17.680]   They promoted the sports illustrated bikini edition app which is more exploitive
[01:29:17.680 --> 01:29:20.480]   Then some porn apps
[01:29:20.480 --> 01:29:24.880]   Right and there's that place they wouldn't allow third party bikini calendar apps
[01:29:24.880 --> 01:29:28.480]   Sports illustrate things fine and i think there's and now there's going to be a case before
[01:29:29.040 --> 01:29:34.320]   The supreme court about whether the app store is a monopoly and i think that they've been really tightly controlling that
[01:29:34.320 --> 01:29:39.280]   I think it's some good ways and you can guarantee that for the most part the apps you downloaded from the app store are going to be safe
[01:29:39.280 --> 01:29:42.560]   Which is a good thing, you know, you can't really say that about google play. However
[01:29:42.560 --> 01:29:48.720]   I think that they're now running into issues where yeah, you have these insane rules that really seem
[01:29:48.720 --> 01:29:55.360]   You know, they invoke antitrust questions about how closely are they guarding that and that's a good really good sorts of money
[01:29:55.440 --> 01:30:00.000]   It's you know, a 30 revenue share of every subscription everything that's bought in there
[01:30:00.000 --> 01:30:06.320]   Which is something that spotify and nephlix are resentful of because apple won't let you won't let those companies take the full share of
[01:30:06.320 --> 01:30:08.960]   the subscription yeah, I
[01:30:08.960 --> 01:30:11.520]   think I think
[01:30:11.520 --> 01:30:13.920]   sometimes companies
[01:30:13.920 --> 01:30:15.920]   are worried about the wrong thing
[01:30:15.920 --> 01:30:18.880]   and uh
[01:30:18.880 --> 01:30:20.880]   I still have the whole
[01:30:20.880 --> 01:30:28.320]   Environmental talk from apple with using all of those quote unquote recycled parts for the last iphone
[01:30:28.320 --> 01:30:31.760]   Yeah, uh, they do have a robot that could take them apart
[01:30:31.760 --> 01:30:35.920]   Right using all of these recycled parts
[01:30:35.920 --> 01:30:43.600]   But your margins are still huge on far as what people are going to pay to get that you know, it just blows my mind
[01:30:43.600 --> 01:30:44.800]   apples
[01:30:44.800 --> 01:30:46.800]   financial results for q2
[01:30:48.080 --> 01:30:52.960]   Quarterly revenue they still make a lot of money 58 billion dollars. Okay. Yeah a decline
[01:30:52.960 --> 01:30:59.840]   Here over year of 5 percent quarterly earnings $2.46. That was down 10 percent
[01:30:59.840 --> 01:31:08.240]   International sales counted for 61 percent of the quarters revenue. That's kind of interesting more than half of apples revenue comes from overseas
[01:31:08.240 --> 01:31:12.240]   Wow, one point that's why china was a big deal. Yeah, right
[01:31:12.240 --> 01:31:17.360]   Uh, and they say china's coming back at least tim cooked as 1.4
[01:31:17.760 --> 01:31:18.880]   billion
[01:31:18.880 --> 01:31:20.880]   active devices
[01:31:20.880 --> 01:31:25.120]   That's what oprah said right a billion phones in a billion pockets y'all
[01:31:25.120 --> 01:31:29.120]   Uh strongest ipad growth in six years
[01:31:29.120 --> 01:31:32.560]   That's I guess good. I mean
[01:31:32.560 --> 01:31:37.280]   I when you have comparatives like this is like well, yeah, it's it's the strongest in six years
[01:31:37.280 --> 01:31:39.280]   It's been pretty weak for six years. So
[01:31:39.280 --> 01:31:44.480]   That and let's be honest. I mean android. They're just they're just not there. There's no competition
[01:31:45.120 --> 01:31:49.680]   There's no they own the tablet market. Yeah, do you think surface?
[01:31:49.680 --> 01:31:56.080]   Computes a little bit against the ipad market. They want to definitely I mean every time we we do a surface review
[01:31:56.080 --> 01:32:01.680]   We always compare to the ipad even though there's like our core audience or like why would you compare those two things?
[01:32:01.680 --> 01:32:04.080]   They're vastly different and I think that's arguably true
[01:32:04.080 --> 01:32:10.000]   But uh if you're just entering the market there's obviously a lot of similarities and pros and cons to each one
[01:32:11.360 --> 01:32:17.520]   You know so far it's been working our favorite for surface which you can do more with but ipad has its definite usability
[01:32:17.520 --> 01:32:21.760]   Uh, I'm really really concerned for microsoft sake that once
[01:32:21.760 --> 01:32:29.040]   Apple phonic gets around and the rumor is for iOS 13. They're going to add mouse and trackpad support to ipad
[01:32:29.040 --> 01:32:34.160]   That's going to be the real threat because for me I have an ipad I try to use it
[01:32:34.160 --> 01:32:40.640]   Um, but it's limitation for me is I wish I had a trackpad or mouse support because I'd be so much more for productivity
[01:32:41.280 --> 01:32:46.800]   Once they finally add that I think it's going to be a real, you know, challenge to microsoft in this area for surface
[01:32:46.800 --> 01:32:53.520]   There's still service could do way more on a pc end, but that's for a lot of regular people. That's actually going to matter
[01:32:53.520 --> 01:32:55.280]   I think quite a bit. Yeah
[01:32:55.280 --> 01:33:01.040]   The problem I've always had with the surface line is it was touted as being something that creators could use
[01:33:01.040 --> 01:33:03.520]   um, but
[01:33:03.520 --> 01:33:10.400]   You want to run 20 layers of photoshop on a you know a graphic project is it's just not going to hold
[01:33:10.400 --> 01:33:13.680]   I have the surface go and I really like it, but it's too slow to really
[01:33:13.680 --> 01:33:20.320]   Commit and that's because of intel and apple nicely chided intel, uh, you know, and so we talked about that
[01:33:20.320 --> 01:33:22.320]   I mean so definitely the surface go
[01:33:22.320 --> 01:33:26.640]   Foreign factor is awesome operating system is you know, all right for its size
[01:33:26.640 --> 01:33:30.240]   Bezels too big battery not great processor weak spot
[01:33:30.240 --> 01:33:35.520]   And that's only because marks office be holding to intel and they didn't have any choice really the intel pentium gold
[01:33:35.520 --> 01:33:40.240]   Was like literally the only option they had to go with and arm isn't quite ready for mainstream
[01:33:40.560 --> 01:33:43.760]   Now apple cited intel too for their laptop sales
[01:33:43.760 --> 01:33:50.240]   Which to give apple credit and credence it as markersoft just the quarter before when windows 10 sales were down
[01:33:50.240 --> 01:33:55.680]   Sided also intel unable to deliver chips to its partners to get out enough laptop
[01:33:55.680 --> 01:34:01.120]   So there's definitely truth to this and we saw intel recently the rumors are circulating now that they're 10 nanometer move
[01:34:01.120 --> 01:34:08.560]   Is also being slightly pushed into 2020 which is what I've heard along with some devices that uh, i've seen prototypes that will be
[01:34:09.200 --> 01:34:12.400]   Watching with that and it's gonna be I think in my opinion worth the weight
[01:34:12.400 --> 01:34:16.720]   But this but that gets beside a point that intel has problems here with
[01:34:16.720 --> 01:34:21.200]   Manufacturing and getting past 14 nanometer and you know meeting it the needs of its partners
[01:34:21.200 --> 01:34:25.120]   It's pretty clear apple wants to just wean itself off of intel entirely absolutely
[01:34:25.120 --> 01:34:27.360]   Yeah, they just want to go make their own chips and they should
[01:34:27.360 --> 01:34:34.480]   A few years i think they will i will see you know, their developer conferences next month june 7th, uh, they're going all arm eventually
[01:34:34.480 --> 01:34:38.560]   That's the case. Yeah, yeah, will microsoft do the same with windows with surface
[01:34:39.440 --> 01:34:42.080]   Yes, um interesting. Yeah, I think
[01:34:42.080 --> 01:34:44.960]   Is the this the goin 50 so the so the problem
[01:34:44.960 --> 01:34:48.800]   Which was I used the I had the nvx 2 which was an 835
[01:34:48.800 --> 01:34:56.080]   Some people are saying the uh, the yoga c6 30 you liked that great device. Yeah, and that's an 850
[01:34:56.080 --> 01:34:57.920]   It's fast enough
[01:34:57.920 --> 01:35:02.480]   It's getting there. I think for a lot of people it's equipment's like a core i3 processor
[01:35:02.480 --> 01:35:06.000]   But it has a 8 gigs of ram on it. So that also helps
[01:35:06.480 --> 01:35:12.240]   It's right at that cusp where you know if you use it for productivity for like word web browsing email
[01:35:12.240 --> 01:35:14.880]   Office stuff. It's totally fine
[01:35:14.880 --> 01:35:19.520]   If it starts to if you want to play video games also, it's not very good now you have the 8cx
[01:35:19.520 --> 01:35:22.800]   Which should be out around july august which start to see devices there
[01:35:22.800 --> 01:35:28.960]   Um, the long-term play though is for microsoft switching to what we've been calling windows light or windows core o s
[01:35:28.960 --> 01:35:33.280]   Which is sort of this next iterative version of windows. It's a new skew. That's gonna be
[01:35:33.920 --> 01:35:39.440]   Compable to what chrome o s is but right windows 10 and so that's gonna be their real big push into
[01:35:39.440 --> 01:35:44.880]   Next-gen light computing. Uh, it's also holland surface up to we'll be running it and all this kind of stuff
[01:35:44.880 --> 01:35:49.440]   But desktop will exist for hardcore desktop users legacy gamers
[01:35:49.440 --> 01:35:53.520]   But as we move to and I think the world is moving towards light computing the ipad
[01:35:53.520 --> 01:36:00.240]   Essails continue to demonstrate is just this device. We we want a device ironically the ipad is
[01:36:00.240 --> 01:36:03.520]   Incredibly overpowered for the iOS. It's running
[01:36:03.520 --> 01:36:06.960]   Right that thing is a computer. I feel like I got a computer from the future
[01:36:06.960 --> 01:36:09.520]   Yep running an operating system from the past
[01:36:09.520 --> 01:36:12.800]   Exactly and they added like I said trackpad or mouse support
[01:36:12.800 --> 01:36:16.800]   It starts to bridge that gap between computers and I think that's they're going down that path
[01:36:16.800 --> 01:36:22.800]   The eventually iOS will replace and displace macOS at least on its mainline consumer products
[01:36:22.800 --> 01:36:26.080]   I think you're right. I think you're I used to leave macOS for the developer
[01:36:26.080 --> 01:36:32.080]   People like aunt the professional professionals creators, but that's a tiny fraction of the overall audience
[01:36:32.720 --> 01:36:35.200]   Yeah, and the world is moving towards this light computing
[01:36:35.200 --> 01:36:41.280]   We do more in our smartphones today than we did years ago and that that's affected laptop sales and tablet sales
[01:36:41.280 --> 01:36:47.360]   Right, so the idea is like could you create a device like this big that folds and what about a folding device?
[01:36:47.360 --> 01:36:50.080]   Yeah, I thought that was a let's make folding phones
[01:36:50.080 --> 01:36:53.120]   Really hard
[01:36:53.120 --> 01:36:59.760]   I'm waiting out for glass. I'm waiting for glass. I don't want an olead
[01:36:59.760 --> 01:37:04.320]   I don't want I want a glass screen and that's what I will get a folding phone
[01:37:04.320 --> 01:37:08.880]   It's fiction. They always have phones that are clear. They're a little piece of glass that you see through
[01:37:08.880 --> 01:37:13.120]   That's what they do in science fiction. Oh, I like those. It's cool. Yeah, I think that's cool
[01:37:13.120 --> 01:37:17.760]   Yeah, it's right all the way is gonna. Okay, so there was the royal
[01:37:17.760 --> 01:37:24.480]   That they announced and showed it. See yes, okay throw that out the samsung galaxy fold. Well, you know what happened there
[01:37:24.480 --> 01:37:29.200]   So now we're waiting this summer, uh, the third folding phone the wah way
[01:37:29.920 --> 01:37:31.920]   Which is a tri fold?
[01:37:31.920 --> 01:37:34.240]   Yes, do you think they'll get that out?
[01:37:34.240 --> 01:37:41.040]   So, okay, what I will say is that I think folding the other way is smarter than what the galaxy did actually right?
[01:37:41.040 --> 01:37:44.400]   So the galaxy like if this is the screen they folded this way
[01:37:44.400 --> 01:37:50.320]   Whereas the wall is going that way. Yeah, and I think like just physically with the physics that you're working with
[01:37:50.320 --> 01:37:55.120]   Folding over itself having the screen folder itself is better than having it fold in
[01:37:56.240 --> 01:37:58.240]   I just think that's a better model
[01:37:58.240 --> 01:38:04.160]   There's definitely I think that's gonna be the fun part to see which this is just like the early days when mark itself was
[01:38:04.160 --> 01:38:07.120]   Trying to get transforming devices on the market to in once
[01:38:07.120 --> 01:38:14.400]   Uh, we saw so many weird creations. We had screens that flipped around and spun around and so that was sort of fun to see
[01:38:14.400 --> 01:38:19.840]   Which is the best design and there will be a couple of these on the market. Well, some will work some won't
[01:38:19.840 --> 01:38:22.160]   Uh, there's definitely trade-offs at the wah way one. It's
[01:38:23.280 --> 01:38:26.400]   And you mentioned it's luise like they're not glass screens they're plastic screens
[01:38:26.400 --> 01:38:30.880]   So they're way more prone to scratching and so when you have the screen now on the outside and you put it in your pocket
[01:38:30.880 --> 01:38:32.880]   Like how is that last in six months?
[01:38:32.880 --> 01:38:39.200]   Um, these are solvable problems like we'll figure this stuff out, but uh, this technology is definitely here to stay
[01:38:39.200 --> 01:38:41.200]   It's just going to take a few years for us to
[01:38:41.200 --> 01:38:46.080]   For price to come down and to see what consumers enjoy as soon as we get settled with that
[01:38:46.080 --> 01:38:48.320]   Someone's gonna come out with a trifold device like three screens
[01:38:49.440 --> 01:38:52.880]   I could see people trying to innovate, you know, because
[01:38:52.880 --> 01:38:57.840]   I'm tired of the the same old what do you call them candy bar?
[01:38:57.840 --> 01:39:02.480]   I want the hank brag. I want a screen that you fold up like a hankerchief
[01:39:02.480 --> 01:39:07.760]   And they just don't fold it and then it's a big screen. That's what I want the hanker phones
[01:39:07.760 --> 01:39:10.800]   Yes, can we get that?
[01:39:10.800 --> 01:39:16.480]   Yeah, I just think I we got to give it to these companies. That's easy to make fun of Samsung for what happened with the fold
[01:39:16.480 --> 01:39:18.480]   but I will say like
[01:39:18.480 --> 01:39:20.480]   Yeah, I felt bad for them too, but I I
[01:39:20.480 --> 01:39:23.360]   Give them a lot more credit
[01:39:23.360 --> 01:39:28.640]   Then I do apple when you know the batteries are dying like I think that
[01:39:28.640 --> 01:39:31.920]   They're really innovating or trying something
[01:39:31.920 --> 01:39:36.160]   Yeah versus like oh these batteries like died on purpose
[01:39:36.160 --> 01:39:39.440]   You know what I mean? Like that kind of thing like it's like hardware is really hard
[01:39:39.440 --> 01:39:42.000]   And I feel like you got to get these companies a lot of credit when they're trying
[01:39:42.000 --> 01:39:46.320]   But i'm not going to give you credit when you're doing something. That's just shady or stupid
[01:39:46.400 --> 01:39:48.480]   But this is like I think actually really interesting
[01:39:48.480 --> 01:39:55.120]   It is. I mean and we're going to see this beyond phones soon. I'm just going to say that
[01:39:55.120 --> 01:39:59.840]   I don't think the tech will be ready till next year, but we're going to start to see this
[01:39:59.840 --> 01:40:02.880]   What are you saying? What are you saying? What do you know?
[01:40:02.880 --> 01:40:06.000]   I think he's going to bar go. I think that's what he's got. I think he's going to say
[01:40:06.000 --> 01:40:10.240]   Beyond phones. What refrigerators. What are you talking about?
[01:40:10.240 --> 01:40:14.160]   Yeah, it's refrigerators. I want a folding refrigerator. Yes, it pops out now
[01:40:14.560 --> 01:40:18.560]   But this stuff I think is really interesting because it does open up new thought scenarios
[01:40:18.560 --> 01:40:22.000]   I mean there there is this issue in computing which is where we're kind of
[01:40:22.000 --> 01:40:25.520]   We're all over the place like if you remember smartphones years ago
[01:40:25.520 --> 01:40:27.520]   We had the flip phone. It was the motor eraser
