;FFMETADATA1
title=Who Owns the Clone
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=816
genre=Podcast
comment=https://twit.tv/twit
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.680]   It's time for Twit this week in tech. You are in luck a great show to come
[01:18:48.840 --> 01:18:55.480]   Um, I wish it was still up. I guess they took it. It says starting march 19th. Yeah, I guess they only did it for a week
[01:18:55.480 --> 01:18:58.840]   Uh, yeah, I closed monday april 12
[01:18:58.840 --> 01:19:02.200]   Uh, did you had you seen it? Had you taken it?
[01:19:03.400 --> 01:19:07.320]   Um, I don't think that they care about the answer. That's what my point was they don't
[01:19:07.320 --> 01:19:10.440]   Right that they they just wanted you to understand how
[01:19:10.440 --> 01:19:12.360]   And I also
[01:19:12.360 --> 01:19:18.280]   Right. I don't think they care about my answer to that survey. I also think they don't care about capital T capital Ava answer, right?
[01:19:18.280 --> 01:19:21.720]   Um, these the truth is that um
[01:19:21.720 --> 01:19:27.560]   These platforms have undermined public health and safety
[01:19:27.560 --> 01:19:31.240]   um in our country and in other countries
[01:19:32.120 --> 01:19:36.440]   And there are address there are ways to address those problems, but
[01:19:36.440 --> 01:19:41.960]   Nobody has addressed them not in a meaningful substantive way for a very long time
[01:19:41.960 --> 01:19:50.200]   And so the challenge now is that you've I had a conversation with some of the execs. I don't know deck 10 years ago
[01:19:50.200 --> 01:19:58.520]   Um, I didn't see how twitter was going to make was going to earn the kind of revenue it was going to need to survive over the long term
[01:19:58.520 --> 01:20:01.640]   And it seemed to me like um
[01:20:01.960 --> 01:20:04.600]   There were alternative paths forward, but
[01:20:04.600 --> 01:20:08.200]   Too often I hear from folks
[01:20:08.200 --> 01:20:13.080]   You know, we're just focused on the product. We just want to work on the product and and that's what we're doing
[01:20:13.080 --> 01:20:17.400]   You know, the problem is you can't just focus on the product. You also have to think about the next order impacts
[01:20:17.400 --> 01:20:21.720]   Because at some point, you know, you could face a problem
[01:20:21.720 --> 01:20:24.360]   Um, I have to say ever since twitter
[01:20:24.360 --> 01:20:30.040]   Finally did the right thing with trump's account. It's been nice and quiet around here
[01:20:30.840 --> 01:20:32.840]   Uh, and it makes you wonder why
[01:20:32.840 --> 01:20:35.880]   They didn't do it for four years
[01:20:35.880 --> 01:20:39.240]   Uh, it was there were speech implications. There were there were all I mean
[01:20:39.240 --> 01:20:43.560]   It should not have gotten to that point, right because because
[01:20:43.560 --> 01:20:50.600]   In waiting that long now you yes, you're a platform, but you're also a platform with world leaders who are clearly
[01:20:50.600 --> 01:20:57.160]   It wasn't it would not have been easy to just shut off that pipeline at the beginning
[01:20:57.560 --> 01:21:02.360]   Because because of escalated it gotten you know, yeah, I understand initially they were
[01:21:02.360 --> 01:21:07.480]   He's the president of the United States. You know, we're gonna give him a bully pulpit. He got elected
[01:21:07.480 --> 01:21:10.280]   He he deserves the right to free speech
[01:21:10.280 --> 01:21:14.520]   Although he said things that other people would have immediately been banned for
[01:21:14.520 --> 01:21:20.120]   Right, but you can't for 10 years say we're just a platform. We're not making editorial comments
[01:21:20.120 --> 01:21:24.360]   We're not making comments on speech and then deplatform the president of the United States
[01:21:24.520 --> 01:21:27.640]   Even though he is you know was saying should they've done nothing? I'm true
[01:21:27.640 --> 01:21:31.000]   No, I mean I here's what I'm saying
[01:21:31.000 --> 01:21:36.440]   I'm saying you don't want to be a company where you get to the position that decision period
[01:21:36.440 --> 01:21:41.800]   Yeah, you don't want to have to make these decisions under duress. It's not good for your employees
[01:21:41.800 --> 01:21:43.880]   It's not good for the executives
[01:21:43.880 --> 01:21:47.800]   Um, you you wind up having to make decisions for wrong reasons. My point is
[01:21:47.800 --> 01:21:51.240]   Well before you get to that point you need to be thinking
[01:21:52.600 --> 01:21:57.080]   Smarter about your financials and about your long-term survivability and what makes you vulnerable
[01:21:57.080 --> 01:22:00.040]   And what makes you know what what parts of business or brittle?
[01:22:00.040 --> 01:22:07.080]   They should have been thinking ahead about what they were getting in themselves. I think that's a it's pretty it's pretty easy to say
[01:22:07.080 --> 01:22:10.040]   Uh, it was starting to be new today and hindsight
[01:22:10.040 --> 01:22:13.400]   But if you look back on when when twitter was from skiing out the ground
[01:22:13.400 --> 01:22:18.440]   Um, you know, we were all I remember some of a very first week just being like hey
[01:22:18.440 --> 01:22:23.080]   Where are we all going to meet up at south by saying last it was like it was like let's just get together and hanging out
[01:22:23.080 --> 01:22:26.600]   That's totally fine, but like three years post south by in 20. Oh
[01:22:26.600 --> 01:22:30.040]   I don't know several years. Then
[01:22:30.040 --> 01:22:34.520]   I was just because then you had the fail will right because they couldn't scale it because right
[01:22:34.520 --> 01:22:38.760]   Growing so fast and so it wasn't like they were always behind
[01:22:38.760 --> 01:22:42.360]   On in terms of the tech stack and always playing catch up, right?
[01:22:42.360 --> 01:22:46.520]   And then all of a sudden politicians came online hate speech came online
[01:22:47.000 --> 01:22:50.120]   I'm not I just think it's a very very tough
[01:22:50.120 --> 01:22:55.880]   Challenge when you have literally millions of users joining per day. There are going to be a ton of bad actors in there
[01:22:55.880 --> 01:22:59.480]   Like how do you fix that? Look? I'm curious. Amy. What would you do to fix it?
[01:22:59.480 --> 01:23:01.160]   So
[01:23:01.160 --> 01:23:07.720]   I'm I don't want to say the year because I don't remember what year it was if it was 2012 sometime between 2012 and 2014
[01:23:07.720 --> 01:23:12.840]   Um, I I had this conversation with of and the challenge is that
[01:23:12.840 --> 01:23:15.560]   um
[01:23:15.560 --> 01:23:18.440]   You have to figure out a way. I mean you have to you have to do
[01:23:18.440 --> 01:23:25.560]   You have every company has to build risk modeling into their product process. It has to be part of the road map
[01:23:25.560 --> 01:23:32.920]   Um because otherwise you get to a place where you can you can no longer make the decisions that would have been easy
[01:23:32.920 --> 01:23:35.240]   You're a while ago. So
[01:23:35.240 --> 01:23:42.680]   By 2015 it was pretty obvious that there were bad actors using the platform as you know, um and and bots
[01:23:43.400 --> 01:23:45.880]   Maybe it was before then because I was at state talking about this
[01:23:45.880 --> 01:23:51.080]   But you want to be in a position where you've got some alternatives and contingencies
[01:23:51.080 --> 01:23:53.480]   I just don't think they did
[01:23:53.480 --> 01:23:57.800]   Yeah, but when you have I mean so back then they had rails was falling over
[01:23:57.800 --> 01:24:00.760]   They were trying to get Cassandra off the ground as a database structure
[01:24:00.760 --> 01:24:02.760]   Cassandra as it was in its alpha
[01:24:02.760 --> 01:24:07.240]   Like they couldn't even like how can you build anything to go after users when you can't even stand up?
[01:24:07.240 --> 01:24:09.240]   There were more immediate
[01:24:09.880 --> 01:24:14.040]   I hear you what 10 years from now a president of the United States might do on the platform
[01:24:14.040 --> 01:24:16.920]   There were they couldn't keep their tech stack working right
[01:24:16.920 --> 01:24:23.240]   I totally seen the last three years. They should have done a lot more because they did figure out all those problems
[01:24:23.240 --> 01:24:26.040]   Yeah, it's a well long gone. Yeah. Yeah, yeah, run gone
[01:24:26.040 --> 01:24:30.920]   But I think I totally is that generally Kevin you'd work with a lot of startups. I don't think startups
[01:24:30.920 --> 01:24:35.480]   Are thinking that way they're hoping they can survive
[01:24:36.120 --> 01:24:42.440]   They're just hoping they can get the minimum viable product working. They're not thinking. What are the risks down the road?
[01:24:42.440 --> 01:24:47.160]   Yeah, unfortunately to Amy's point. Sorry, Amy. I'll let you go. Sorry. You go ahead. Sorry
[01:24:47.160 --> 01:24:49.720]   I keep I keep interjecting you go and then I'll I'll say what I was going to say
[01:24:49.720 --> 01:24:51.880]   I was just I was just going to say that
[01:24:51.880 --> 01:24:57.560]   To your point they need to be thinking about this from from day one and honestly most entrepreneurs are thinking
[01:24:57.560 --> 01:25:01.960]   How can I even get viral to begin with? You know, how can I get those first million users?
[01:25:02.280 --> 01:25:07.800]   They're they're not thinking about about risk or what happens if this is, you know, 50 million people 100 million people are using this product
[01:25:07.800 --> 01:25:13.400]   Right, so this is like I you know, this is not me with a crystal ball
[01:25:13.400 --> 01:25:17.320]   Using hindsight to say what they should have like it's easy for me to now say what they should have done
[01:25:17.320 --> 01:25:24.520]   I have been tracking this as one of the early early early users and I've been tracking this for whatever 13 years 14 years
[01:25:24.520 --> 01:25:27.240]   the point is that
[01:25:27.240 --> 01:25:30.200]   Even in the day even in the fail will days
[01:25:31.000 --> 01:25:32.760]   um
[01:25:32.760 --> 01:25:36.040]   Even when you're just trying to get the products to scale even when you've got people
[01:25:36.040 --> 01:25:37.560]   uh
[01:25:37.560 --> 01:25:41.320]   Coming out of the platform because it's exciting and there's all kinds of interesting things happening
[01:25:41.320 --> 01:25:50.280]   You somebody in the organization still needs to be in charge of doing the longer range forecasting and you said this to be fair
[01:25:50.280 --> 01:25:52.680]   I've known you
[01:25:52.680 --> 01:25:56.440]   To say this for years the companies don't think strategically
[01:25:56.920 --> 01:26:02.120]   And that's one of the things you really have long pushed for is they have to start look medium
[01:26:02.120 --> 01:26:07.240]   And yeah, I mean if we want to stick within the mediums having the same problem. Yeah, mediums
[01:26:07.240 --> 01:26:12.680]   Right. Why are they having that same problem? Uh because the financials don't work. Why do the financials don't work?
[01:26:12.680 --> 01:26:18.920]   You know, you so medium just we should just say for people who don't know medium just pivoted have williams who founded twitter
[01:26:18.920 --> 01:26:24.520]   When went off founded medium which originally looked like just a black a blogging platform
[01:26:25.080 --> 01:26:28.280]   But uh, they decided that they they wanted to have an in-house
[01:26:28.280 --> 01:26:33.720]   journalistic publications so that they could charge a five dollar a month subscription fee
[01:26:33.720 --> 01:26:39.960]   Uh, and this week, uh, have essentially laid everybody off. He didn't lay them off
[01:26:39.960 --> 01:26:43.000]   He gave him buyouts and encouraged them to take off
[01:26:43.000 --> 01:26:46.440]   But I think effectively medium has shuttered its
[01:26:46.440 --> 01:26:48.920]   journalistic
[01:26:48.920 --> 01:26:51.720]   Arm and they're just going to now be a blog platform again
[01:26:52.280 --> 01:26:57.480]   And that's a pivot ebbs known for his pivots. He's famous for his pivots. I don't know if it's failure
[01:26:57.480 --> 01:27:01.240]   Now so that's the other so
[01:27:01.240 --> 01:27:03.640]   There's a couple of things
[01:27:03.640 --> 01:27:09.320]   If you are running a company with a very long term in mind and I don't know a lot of executives that do this well
[01:27:09.320 --> 01:27:14.360]   Um, you have to be operating across different time zones sort of simultaneously meaning
[01:27:14.360 --> 01:27:19.960]   You have to have a strong sense of what you're doing in the further future like 10 years down the road which feels
[01:27:20.600 --> 01:27:23.160]   Pointless, but you there are still data that you can track
[01:27:23.160 --> 01:27:30.760]   Um and in the in the present you have to make tactical decisions using data that you do have access to and then strategy and then
[01:27:30.760 --> 01:27:38.040]   shifting your your vision on you know on on where you're headed and you have to be able to recalibrate and you have to
[01:27:38.040 --> 01:27:39.160]   to
[01:27:39.160 --> 01:27:44.680]   You have to be able to do this pretty regularly. The problem is that I think a lot of companies you've got products separate
[01:27:44.680 --> 01:27:49.240]   You've got executives looking at adoption cycles. You've certainly got investors looking at what probable
[01:27:50.040 --> 01:27:53.800]   Adoption cycles look like which are always slower than people think they should be
[01:27:53.800 --> 01:27:56.680]   You try to build financial models
[01:27:56.680 --> 01:27:59.400]   To to match those adoption cycles and
[01:27:59.400 --> 01:28:04.520]   You know all of these sort of things start to fall apart part of the reason is that
[01:28:04.520 --> 01:28:05.800]   Um
[01:28:05.800 --> 01:28:13.560]   I don't think people are taking in enough outside data like when when they are looking at whether or not something could succeed and what the factors are
[01:28:13.560 --> 01:28:19.960]   There's they're not using a big enough data set and there and then there's a lot of teams that aren't doing this using data at all
[01:28:20.200 --> 01:28:25.960]   Um or more methodically at all. You just wind up with belief. It's fiat. Everybody gets really excited about something and then
[01:28:25.960 --> 01:28:28.760]   That's that and in the middle of all this
[01:28:28.760 --> 01:28:31.640]   You need to have somebody who is
[01:28:31.640 --> 01:28:35.880]   Um asking some is really difficult questions and building a risk model doesn't need
[01:28:35.880 --> 01:28:40.360]   You know a month and a half. It sometimes just means needs like a couple of hours
[01:28:40.360 --> 01:28:44.680]   To think things through and if you wait and by the way, there are tools to do this
[01:28:44.680 --> 01:28:46.760]   It's not like idle brainstorming
[01:28:47.240 --> 01:28:51.000]   But if you identify that risk early enough in in
[01:28:51.000 --> 01:28:54.440]   That could result from the normal cycle of product development
[01:28:54.440 --> 01:28:58.040]   You mitigate that early and you turn that into a strategic advantage
[01:28:58.040 --> 01:29:02.920]   Or you deal with it or at least you know that it's plausible on the horizon
[01:29:02.920 --> 01:29:09.080]   And I just I think that sometimes people get very stuck in doing what they know how to do especially if they came out of
[01:29:09.080 --> 01:29:11.560]   development, um or product space
[01:29:11.560 --> 01:29:16.120]   And the rest of this work given how little most
[01:29:17.080 --> 01:29:19.080]   Companies and most people control
[01:29:19.080 --> 01:29:23.480]   Outside, it's like this is really challenging stuff to do but you have to do it
[01:29:23.480 --> 01:29:26.360]   Uh
[01:29:26.360 --> 01:29:33.560]   Jack dorsey along with uh sundar patchiah mark succuburg testified to the house energy and commerce
[01:29:33.560 --> 01:29:36.440]   uh committee this week
[01:29:36.440 --> 01:29:39.000]   at one point
[01:29:39.000 --> 01:29:41.400]   Dorsey was asked by uh mike doil of
[01:29:42.120 --> 01:29:47.000]   Pennsylvania whether social media services contributed to the spread of misinformation
[01:29:47.000 --> 01:29:50.280]   That led to the january sixth insurrection
[01:29:50.280 --> 01:29:54.280]   Actually asked all three executives dorsey was the only one to say yes
[01:29:54.280 --> 01:29:58.600]   He said uh, uh, we did contribute to that
[01:29:58.600 --> 01:30:05.400]   But he also said you have to take into consideration the broader ecosystem. It's not just the technological systems we use
[01:30:05.400 --> 01:30:06.840]   but
[01:30:06.840 --> 01:30:10.840]   Yeah, it'd be interesting if there is anything twitter could have done back in 2006
[01:30:11.640 --> 01:30:17.240]   To avoid their ceo happening to sit in front of congress saying yeah, I thought would have been that would have been early
[01:30:17.240 --> 01:30:22.840]   Yeah, 20. Oh, it would have been early. You know, but they would start when they first started up
[01:30:22.840 --> 01:30:27.480]   They would they would after they started succeeding what what point did they start thinking about?
[01:30:27.480 --> 01:30:34.200]   At some point if you are working on a serious business model and you're you know, your your goal is to grow a business
[01:30:34.200 --> 01:30:41.000]   I think um then then you have to start prioritizing and one of the things you have to prioritize is you know
[01:30:41.560 --> 01:30:45.640]   How do some of these potentially how do some of these things go wrong? I mean I again I
[01:30:45.640 --> 01:30:48.440]   I can't I can't say the companies
[01:30:48.440 --> 01:30:55.080]   But we work with a lot of these companies on strategy on planning on their strategy
[01:30:55.080 --> 01:30:58.600]   And it's totally appropriate to factor in risk
[01:30:58.600 --> 01:31:02.840]   In a way that doesn't set you up to a future class class action lawsuit
[01:31:02.840 --> 01:31:07.640]   Which you don't want a way that doesn't stymie your product development on the other hand, you know if mark zuckerberg
[01:31:08.040 --> 01:31:14.120]   When he's at harvard planning facebook or or have williams when he's you know sitting in south park thinking about twitter
[01:31:14.120 --> 01:31:18.200]   Imagining the success and all of that
[01:31:18.200 --> 01:31:23.720]   It's it's hard to imagine them also imagining sitting in front of a congressional
[01:31:23.720 --> 01:31:25.560]   committee
[01:31:25.560 --> 01:31:32.360]   Having to justify how their products use and and if they had the the answer they might have come up with is oh, we shouldn't do this
[01:31:32.360 --> 01:31:35.480]   We shouldn't start facing we shouldn't start we knew
[01:31:36.360 --> 01:31:41.400]   We knew that that twitter is being used for russian propaganda pretty early on in the process. How do you stop that?
[01:31:41.400 --> 01:31:44.360]   Well, you
[01:31:44.360 --> 01:31:47.000]   You make a rule no russian propaganda
[01:31:47.000 --> 01:31:51.000]   You can block ip's I mean there's a lot of things that could have been done
[01:31:51.000 --> 01:31:55.320]   It's very
[01:31:55.320 --> 01:32:02.440]   I'm not saying it's an easy solution. I am saying you got to be aware of the thing not to do is just pretend like it's not happening
[01:32:02.440 --> 01:32:03.720]   Yeah
[01:32:03.720 --> 01:32:07.000]   Does that make sense kevin? I mean you work with a lot of startups and a lot of companies
[01:32:07.000 --> 01:32:12.440]   Yeah, I agree 100% that you you have to first come out and say this is happening and this is an issue
[01:32:12.440 --> 01:32:16.360]   You can't pretend and just kind of you know shove it under the rug
[01:32:16.360 --> 01:32:20.920]   They kind of they kind of they kind of bit and I don't want to think about this
[01:32:20.920 --> 01:32:28.440]   I think in you know after it happened they came out and reluctantly said, you know, it's probably a bigger problem than we first said
[01:32:28.440 --> 01:32:31.480]   But I I just don't know the solution
[01:32:31.800 --> 01:32:37.400]   Like I just I don't know even a technology standpoint. I can't even imagine there's just ways around everything
[01:32:37.400 --> 01:32:41.480]   When you allow everyone to have a microphone the second they confirm an email address
[01:32:41.480 --> 01:32:47.160]   I just don't like how do you fix the nature of the business? That's what I mean when I say maybe had they really thought about it
[01:32:47.160 --> 01:32:51.640]   They said well, we should we should have a dog walking company instead. I mean it's not no
[01:32:51.640 --> 01:32:56.440]   It's it's being willing so this this brings me back to pivot because I know pivots kind of a bad word
[01:32:56.440 --> 01:32:59.080]   Right and then and the assumption is that there's a failure
[01:32:59.560 --> 01:33:01.560]   Um, I think if you're a really really smart
[01:33:01.560 --> 01:33:06.920]   Leader if you're a smart executive you should be micro pivoting all the time because what does that mean?
[01:33:06.920 --> 01:33:11.240]   It means your take it means that you acknowledge you don't have certainty over everything
[01:33:11.240 --> 01:33:18.600]   There are new data that present themselves all the time and you are reacting to those data by recalibrating your march to the future
[01:33:18.600 --> 01:33:23.720]   So like really really great ceos are constantly making adjustments
[01:33:23.720 --> 01:33:24.920]   um
[01:33:24.920 --> 01:33:26.920]   I think the issue is
[01:33:27.080 --> 01:33:32.360]   And that's what you do. I mean that I think marx Zuckerberg is constantly making adjustments
[01:33:32.360 --> 01:33:37.000]   To the algorithm to what facebook means. I mean you could see it over and over again new products
[01:33:37.000 --> 01:33:42.360]   Abandoned products. There's no question mark is micro pivoting every day of his life
[01:33:42.360 --> 01:33:47.480]   But my I think the problem with marx Zuckerberg is what his priorities are
[01:33:47.480 --> 01:33:52.040]   What to what end is are those micro pivots? Uh, you know
[01:33:52.040 --> 01:33:56.120]   Being accomplished there now. He's not trying to figure out how to be a better
[01:33:57.000 --> 01:33:59.000]   global citizen
[01:33:59.000 --> 01:34:01.000]   He's trying to make up more profitable company
[01:34:01.000 --> 01:34:04.520]   Right is is
[01:34:04.520 --> 01:34:07.160]   That's actually a fundamental
[01:34:07.160 --> 01:34:12.200]   Uh question that we ask all the time is is the nature of business?
[01:34:12.200 --> 01:34:18.680]   I mean, is it not your your you know responsibility to your stakeholders to maximize profit?
[01:34:18.680 --> 01:34:21.080]   Is the nature of any business enterprise?
[01:34:21.080 --> 01:34:26.120]   Essentially a moral that your job is to maximize profit and nothing else
[01:34:27.080 --> 01:34:29.320]   I mean, it does is a mark
[01:34:29.320 --> 01:34:31.160]   I do think that's because that's what he does
[01:34:31.160 --> 01:34:33.720]   Do you so?
[01:34:33.720 --> 01:34:37.160]   Do you think that that's the same is true for amazon if you look at your thing returns
[01:34:37.160 --> 01:34:39.640]   And we may as this is yes
[01:34:39.640 --> 01:34:42.520]   Bezos is brown off or was brilliant. He's retired
[01:34:42.520 --> 01:34:48.360]   Yeah, but I don't know if Bezos is like 100% modus operandi is returning value to shareholders
[01:34:48.360 --> 01:34:54.920]   Oh, I guarantee. Oh, I guarantee I don't I don't know they got they got spanked pretty hard for a pretty big rnd investment
[01:34:55.960 --> 01:34:59.480]   I think I don't know. I have a different opinion than most people on Bezos and I
[01:34:59.480 --> 01:35:04.360]   I have no horse and in any of these races amazon's not a client. I'm not trying to impress anybody
[01:35:04.360 --> 01:35:07.960]   It's not that I think he's operating on a completely different
[01:35:07.960 --> 01:35:12.040]   He's strategic playing field. He's strategic, right?
[01:35:12.040 --> 01:35:16.040]   I think he's one of the greatest long-term thinkers alive. No question. That's probably
[01:35:16.040 --> 01:35:18.040]   And to what end is he strategic?
[01:35:18.040 --> 01:35:20.760]   um
[01:35:20.760 --> 01:35:24.600]   if you look at the constellation of investments and
[01:35:25.320 --> 01:35:27.000]   businesses and
[01:35:27.000 --> 01:35:30.760]   all the varied things that amazon has its fingers and
[01:35:30.760 --> 01:35:34.040]   It is very clear to me that these aren't crapshoots
[01:35:34.040 --> 01:35:40.520]   And I don't think it's about returning maximum value shareholders. I think they are building something dominant
[01:35:40.520 --> 01:35:44.680]   Bigger dominant dominant. Yeah. Yeah, but to what end?
[01:35:44.680 --> 01:35:49.480]   To be the most successful corporation in the history of the world
[01:35:49.480 --> 01:35:52.520]   and to and what is success
[01:35:53.320 --> 01:35:58.280]   Or is it about changing the way that society functions? Do you think he you think he's thinking that?
[01:35:58.280 --> 01:36:01.640]   I do. I think part of that is
[01:36:01.640 --> 01:36:06.360]   Um more optimized place maybe optimized
[01:36:06.360 --> 01:36:09.640]   um optimized for
[01:36:09.640 --> 01:36:11.640]   happiness
[01:36:11.640 --> 01:36:12.840]   um
[01:36:12.840 --> 01:36:16.360]   I think that given given what I know about his
[01:36:16.360 --> 01:36:19.560]   love of star trek
[01:36:19.560 --> 01:36:22.520]   Um, yeah, he wants to go to he wants to go to space
[01:36:23.160 --> 01:36:28.760]   Well, it's not just that uh the original star trek what had imagined a truly utopian. Yeah
[01:36:28.760 --> 01:36:33.480]   a better a better society you could see that in the selections of the cast
[01:36:33.480 --> 01:36:37.400]   No, I totally can believe that that's what jeff bazos is trying to do
[01:36:37.400 --> 01:36:43.720]   The problem is there's a lot of hubris involved and he's an individual and his own personality
[01:36:43.720 --> 01:36:50.600]   Brings his own judgment to this and maybe what he's not saying it's perfect
[01:36:51.240 --> 01:36:55.080]   You know, I'm just saying if I look at his utopia drivers might be peeing in their vans is all i'm saying
[01:36:55.080 --> 01:36:59.480]   Oh, yeah, no in his utopia. It may be uh, it may be like
[01:36:59.480 --> 01:37:06.280]   Slaughter everybody who gets them into in the way of this dream. Yeah, so i'm not saying that that's yeah
[01:37:06.280 --> 01:37:14.360]   Um, but but I am saying I don't think I don't know. I don't know him personally. So I don't know what his actual
[01:37:14.360 --> 01:37:20.760]   His actual desire is but he looks brilliant. That's no there's no question. It seems to me given what I
[01:37:21.240 --> 01:37:25.320]   Observe the company doing and how they are doing it that there are other factors in play
[01:37:25.320 --> 01:37:31.320]   This is not about building just money most lucrative. I don't think it's that I don't I don't know that I would say it's an eyesight effect
[01:37:31.320 --> 01:37:37.240]   Yeah, yeah, sure it's pretty good side effect. He's the richest man in the world
[01:37:37.240 --> 01:37:45.480]   Right, but if you it's it's not money at that point once you have no I understand he after the first billion
[01:37:45.480 --> 01:37:50.600]   It's as bill gates once said it's your infinitely. It doesn't matter. It doesn't matter. Right. It's what you can
[01:37:50.840 --> 01:37:55.240]   Do and at that level you can make fundamental
[01:37:55.240 --> 01:37:59.400]   Decision you can make decisions that change the course of all of humanity
[01:37:59.400 --> 01:38:04.360]   And I think that's what he is you think kevin. I think that's what the what the jeff bazors was up to you
[01:38:04.360 --> 01:38:08.680]   Yeah, I mean, I I believe that um in terms of
[01:38:08.680 --> 01:38:11.480]   I think that
[01:38:11.480 --> 01:38:16.760]   You're absolutely right in that these are not just random lucky events like he's one of the best long-term thinkers
[01:38:16.840 --> 01:38:20.200]   Like there's no doubt. I believe that five 10 years from now
[01:38:20.200 --> 01:38:22.200]   It will be the most valuable company in the world
[01:38:22.200 --> 01:38:27.880]   then I think it'll hold that position for quite some time they've they've built out the infrastructure for the future and
[01:38:27.880 --> 01:38:35.000]   Uh, yeah, I don't see it as an evil corporation as much as I do like a facebook though for some reason
[01:38:35.000 --> 01:38:37.640]   uh, no, I don't either although
[01:38:37.640 --> 01:38:41.400]   Having watched a lot of star trek
[01:38:41.400 --> 01:38:46.120]   Uh, I do understand that no wait a minute. Which star trek? I love the original
[01:38:46.120 --> 01:38:53.960]   Let's get this out of the way the original star. Okay. Okay. You know that no single human should have the right to decide how
[01:38:53.960 --> 01:38:58.760]   Life is lived. No human has sufficient perspective to do that
[01:38:58.760 --> 01:39:03.480]   and so uh a jeff bazors designed utopia is
[01:39:03.480 --> 01:39:06.520]   I think by definition
[01:39:06.520 --> 01:39:12.120]   Not going to be ideal for every human alive and he should know better than to say I can do that
[01:39:12.680 --> 01:39:16.520]   That's fine. What I would say back to you is are we not already living in part of that?
[01:39:16.520 --> 01:39:19.160]   Well, maybe yeah, maybe he's in the United States
[01:39:19.160 --> 01:39:25.640]   Okay, can I just operate at companies, right? Yeah, it's like three tech companies that control everything we do
[01:39:25.640 --> 01:39:29.240]   Yeah, that's that's why congress is a little late to the game
[01:39:29.240 --> 01:39:36.760]   If i'm finding these people in to talk to us. It might be more than three. I think uh, I think you amie and your book identified
[01:39:36.760 --> 01:39:41.320]   Five right six uh six that's called the jeem offia. Yeah, google
[01:39:42.200 --> 01:39:43.480]   Microsoft
[01:39:43.480 --> 01:39:47.800]   apple facebook ibm and amazon is ibm still in that list
[01:39:47.800 --> 01:39:52.680]   ibm is is starting to fall now that watson has been uh, uh,
[01:39:52.680 --> 01:39:55.960]   relegated to the closet
[01:39:55.960 --> 01:39:58.200]   Can I can I tell you about a garbage can yes
[01:39:58.200 --> 01:40:04.200]   Okay, so there's this little device that you can hook onto your garbage can that is powered
[01:40:04.200 --> 01:40:09.880]   And you scan it so that's a garbage scanner. So when you throw something away, you scan whatever it is
[01:40:10.680 --> 01:40:12.680]   um, and then
[01:40:12.680 --> 01:40:14.520]   poof magically
[01:40:14.520 --> 01:40:17.480]   Uh, a replacement of that shows back up at your house
[01:40:17.480 --> 01:40:24.920]   So you watch is this like is this the genie can it is it is what?
[01:40:24.920 --> 01:40:27.000]   Now
[01:40:27.000 --> 01:40:30.360]   Bear with me for a moment with this little tiny thought exercise
[01:40:30.360 --> 01:40:34.040]   So what do we know to be true of amazon? We know that at the moment?
[01:40:34.040 --> 01:40:38.840]   Amazon is not the backbone of our health care. However, we do know it sure want to be yeah
[01:40:38.920 --> 01:40:43.080]   They sure they sure want to be a big player one of our advertisers amazon pharmacy
[01:40:43.080 --> 01:40:48.280]   So, okay, they want to be which was pill pack which was right so that has changed the name by the way
[01:40:48.280 --> 01:40:51.800]   Very good at creating anybody who wants to advertise on twitter
[01:40:51.800 --> 01:40:57.160]   I just want to give you a little heads up pretty much half the companies of advertise here were bought by amazon
[01:40:57.160 --> 01:41:03.080]   So I don't know what that is but I can give you a list including pill pack and audible and on and on
[01:41:03.640 --> 01:41:07.560]   So, okay, so so you've got this genie cam thing
[01:41:07.560 --> 01:41:12.200]   Right, you've got this little attachment on your garbage can and you don't ever have to shut us and
[01:41:12.200 --> 01:41:15.560]   So we know that amazon's in logistics. We know that they're getting into
[01:41:15.560 --> 01:41:19.720]   Not just pharmaceuticals, but health care records management
[01:41:19.720 --> 01:41:22.760]   management um ehr's emr's
[01:41:22.760 --> 01:41:30.600]   Uh ai to help doctors transcribe things brick and mortar health care all of these logistics right all of these different things
[01:41:30.680 --> 01:41:33.960]   So could we imagine a future in which if you are
[01:41:33.960 --> 01:41:39.720]   Receiving some type of public health care
[01:41:39.720 --> 01:41:47.000]   Public insurance that you throw away that bag of cheetos and a replacement bag of carrots shows up instead
[01:41:47.000 --> 01:41:53.240]   Right they look similar, but one is arguably much more healthy and it's an effort to optimize your life
[01:41:53.240 --> 01:41:56.600]   so
[01:41:56.600 --> 01:41:59.160]   And maybe maybe at some point
[01:41:59.880 --> 01:42:04.200]   Food assistance programs become too expensive in this country given our current levels of debt
[01:42:04.200 --> 01:42:07.000]   And it makes more sense to start privatizing that
[01:42:07.000 --> 01:42:13.960]   People are paying using their data instead of you know, I mean there's there's a lot of different ways that the future unfolds
[01:42:13.960 --> 01:42:20.040]   Um, and and we don't know what course we're on but it's useful to to ask some of these questions
[01:42:20.040 --> 01:42:23.560]   Did you know about the genie cam Kevin?
