;FFMETADATA1
title=TWiT 48: Apple's 30th Anniversary
comment=http://twit.tv/48
album=TWiT April 2006
TYER=2006-04-02
genre=Podcast
artist=Leo Laporte
encoder=Lavf58.76.100
;FFMETADATA1
title=TWiT 48: Apple's 30th Anniversary
comment=http://twit.tv/48
album=TWiT April 2006
TYER=2006-04-02
genre=Podcast
artist=Leo Laporte
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:06.000]   This is Twit, this weekend tech, episode 48 for April 2nd, 2006.
[00:35:30.000 --> 00:35:31.000]   I'm number four.
[00:35:31.000 --> 00:35:32.000]   I'm number four.
[00:35:32.000 --> 00:35:33.000]   I'm number four.
[00:35:33.000 --> 00:35:34.000]   I'm number four.
[00:35:34.000 --> 00:35:35.000]   I'm number four.
[00:35:35.000 --> 00:35:36.000]   I'm number four.
[00:35:36.000 --> 00:35:37.000]   I'm number four.
[00:35:37.000 --> 00:35:38.000]   I'm number four.
[00:35:38.000 --> 00:35:39.000]   I'm number four.
[00:35:39.000 --> 00:35:40.000]   I'm number four.
[00:35:40.000 --> 00:35:41.000]   I'm number four.
[00:35:41.000 --> 00:35:42.000]   I'm number four.
[00:35:42.000 --> 00:35:43.000]   I'm number four.
[00:35:43.000 --> 00:35:44.000]   I'm number four.
[00:35:44.000 --> 00:35:45.000]   I'm number four.
[00:35:45.000 --> 00:35:46.000]   I'm number four.
[00:35:46.000 --> 00:35:47.000]   I'm number four.
[00:35:47.000 --> 00:35:48.000]   I'm number four.
[00:35:48.000 --> 00:35:49.000]   I'm number four.
[00:35:49.000 --> 00:35:50.000]   I'm number four.
[00:35:50.000 --> 00:35:51.000]   I'm number four.
[00:35:51.000 --> 00:35:52.000]   I'm number four.
[00:35:52.000 --> 00:35:53.000]   I'm number four.
[00:35:53.000 --> 00:35:54.000]   I'm number four.
[00:35:54.000 --> 00:35:55.000]   I'm number four.
[00:35:55.000 --> 00:35:56.000]   I'm number four.
[00:35:56.000 --> 00:35:57.000]   I'm number four.
[00:35:57.000 --> 00:35:58.000]   I'm number four.
[00:35:58.000 --> 00:35:59.000]   I'm number four.
[00:35:59.000 --> 00:36:00.000]   I'm number four.
[00:36:00.000 --> 00:36:01.000]   I'm number four.
[00:36:01.000 --> 00:36:02.000]   I'm number four.
[00:36:02.000 --> 00:36:03.000]   I'm number four.
[00:36:03.000 --> 00:36:04.000]   I'm number four.
[00:36:04.000 --> 00:36:05.000]   I'm number four.
[00:36:05.000 --> 00:36:06.000]   I'm number four.
[00:36:06.000 --> 00:36:07.000]   I'm number four.
[00:36:07.000 --> 00:36:08.000]   I'm number four.
[00:36:08.000 --> 00:36:09.000]   I'm number four.
[00:36:09.000 --> 00:36:10.000]   I'm number four.
[00:36:10.000 --> 00:36:11.000]   I'm number four.
[00:36:11.000 --> 00:36:12.000]   I'm number four.
[00:36:12.000 --> 00:36:13.000]   I'm number four.
[00:36:13.000 --> 00:36:14.000]   I'm number four.
[00:36:14.000 --> 00:36:15.000]   I'm number four.
[00:36:15.000 --> 00:36:16.000]   I'm number four.
[00:36:16.000 --> 00:36:17.000]   I'm number four.
[00:36:17.000 --> 00:36:18.000]   I'm number four.
[00:36:18.000 --> 00:36:19.000]   I'm number four.
[00:36:19.000 --> 00:36:20.000]   I'm number four.
[00:36:20.000 --> 00:36:21.000]   I'm number four.
[00:36:21.000 --> 00:36:22.000]   I'm number four.
[00:36:22.000 --> 00:36:23.000]   I'm number four.
[00:36:23.000 --> 00:36:24.000]   I'm number four.
[00:36:24.000 --> 00:36:25.000]   I'm number four.
[00:36:25.000 --> 00:36:26.000]   I'm number four.
[00:36:26.000 --> 00:36:27.000]   I'm number four.
[00:36:27.000 --> 00:36:28.000]   I'm number four.
[00:36:28.000 --> 00:36:29.000]   I'm number four.
[00:36:29.000 --> 00:36:30.000]   I'm number four.
[00:36:30.000 --> 00:36:31.000]   I'm number four.
[00:36:31.000 --> 00:36:32.000]   I'm number four.
[00:36:32.000 --> 00:36:33.000]   I'm number four.
[00:36:33.000 --> 00:36:34.000]   I'm number four.
[00:36:34.000 --> 00:36:35.000]   I'm number four.
[00:36:35.000 --> 00:36:36.000]   I'm number four.
[00:36:36.000 --> 00:36:37.000]   I'm number four.
[00:36:37.000 --> 00:36:38.000]   I'm number four.
[00:36:38.000 --> 00:36:39.000]   I'm number four.
[00:36:39.000 --> 00:36:40.000]   I'm number four.
[00:36:40.000 --> 00:36:41.000]   I'm number four.
[00:36:41.000 --> 00:36:42.000]   I'm number four.
[00:36:42.000 --> 00:36:43.000]   I'm number four.
[00:36:43.000 --> 00:36:44.000]   I'm number four.
[00:36:44.000 --> 00:36:45.000]   I'm number four.
[00:36:45.000 --> 00:36:46.000]   I'm number four.
[00:36:46.000 --> 00:36:47.000]   I'm number four.
[00:36:47.000 --> 00:36:48.000]   I'm number four.
[00:36:48.000 --> 00:36:49.000]   I'm number four.
[00:36:49.000 --> 00:36:50.000]   I'm number four.
[00:36:50.000 --> 00:36:51.000]   I'm number four.
[00:36:51.000 --> 00:36:52.000]   I'm number four.
[00:36:52.000 --> 00:36:53.000]   I'm number four.
[00:36:53.000 --> 00:36:54.000]   I'm number four.
[00:36:54.000 --> 00:36:55.000]   I'm number four.
[00:36:55.000 --> 00:36:56.000]   I'm number four.
[00:36:56.000 --> 00:36:57.000]   I'm number four.
[00:36:57.000 --> 00:36:58.000]   I'm number four.
[00:36:58.000 --> 00:36:59.000]   I'm number four.
[00:36:59.000 --> 00:37:00.000]   I'm number four.
[00:37:00.000 --> 00:37:01.000]   I'm number four.
[00:37:01.000 --> 00:37:02.000]   I'm number four.
[00:37:02.000 --> 00:37:03.000]   I'm number four.
[00:37:03.000 --> 00:37:04.000]   I'm number four.
[00:37:04.000 --> 00:37:05.000]   I'm number four.
[00:37:05.000 --> 00:37:06.000]   I'm number four.
[00:37:06.000 --> 00:37:07.000]   I'm number four.
[00:37:07.000 --> 00:37:08.000]   I'm number four.
[00:37:08.000 --> 00:37:09.000]   I'm number four.
[00:37:09.000 --> 00:37:10.000]   I'm number four.
[00:37:10.000 --> 00:37:11.000]   I'm number four.
[00:37:11.000 --> 00:37:12.000]   I'm number four.
[00:37:12.000 --> 00:37:13.000]   I'm number four.
[00:37:13.000 --> 00:37:14.000]   I'm number four.
[00:37:14.000 --> 00:37:15.000]   I'm number four.
[00:37:15.000 --> 00:37:16.000]   I'm number four.
[00:37:16.000 --> 00:37:17.000]   I'm number four.
[00:37:17.000 --> 00:37:18.000]   I'm number four.
[00:37:18.000 --> 00:37:19.000]   I'm number four.
[00:37:19.000 --> 00:37:20.000]   I'm number four.
[00:37:20.000 --> 00:37:21.000]   I'm number four.
[00:37:21.000 --> 00:37:22.000]   I'm number four.
[00:37:22.000 --> 00:37:23.000]   I'm number four.
[00:37:23.000 --> 00:37:24.000]   I'm number four.
[00:37:24.000 --> 00:37:25.000]   I'm number four.
[00:37:25.000 --> 00:37:26.000]   I'm number four.
[00:37:26.000 --> 00:37:27.000]   I'm number four.
[00:37:27.000 --> 00:37:28.000]   I'm number four.
[00:37:28.000 --> 00:37:29.000]   I'm number four.
[00:37:29.000 --> 00:37:30.000]   I'm number four.
[00:37:30.000 --> 00:37:31.000]   I'm number four.
[00:37:31.000 --> 00:37:32.000]   I'm number four.
[00:37:32.000 --> 00:37:33.000]   I'm number four.
[00:37:33.000 --> 00:37:34.000]   I'm number four.
[00:37:34.000 --> 00:37:35.000]   I'm number four.
[00:37:35.000 --> 00:37:36.000]   I'm number four.
[00:37:36.000 --> 00:37:37.000]   I'm number four.
[00:37:37.000 --> 00:37:38.000]   I'm number four.
[00:37:38.000 --> 00:37:39.000]   I'm number four.
[00:37:39.000 --> 00:37:40.000]   I'm number four.
[00:37:40.000 --> 00:37:41.000]   I'm number four.
[00:37:41.000 --> 00:37:42.000]   I'm number four.
[00:37:42.000 --> 00:37:43.000]   I'm number four.
[00:37:43.000 --> 00:37:44.000]   I'm number four.
[00:37:44.000 --> 00:37:45.000]   I'm number four.
[00:37:45.000 --> 00:37:46.000]   I'm number four.
[00:37:46.000 --> 00:37:47.000]   I'm number four.
[00:37:47.000 --> 00:37:48.000]   I'm number four.
[00:37:48.000 --> 00:37:49.000]   I'm number four.
[00:37:49.000 --> 00:37:50.000]   I'm number four.
[00:37:50.000 --> 00:37:51.000]   I'm number four.
[00:37:51.000 --> 00:37:52.000]   I'm number four.
[00:37:52.000 --> 00:37:53.000]   I'm number four.
[00:37:53.000 --> 00:37:54.000]   I'm number four.
[00:37:54.000 --> 00:37:55.000]   I'm number four.
[00:37:55.000 --> 00:37:56.000]   I'm number four.
[00:37:56.000 --> 00:37:57.000]   I'm number four.
[00:37:57.000 --> 00:37:58.000]   I'm number four.
[00:37:58.000 --> 00:37:59.000]   I'm number four.
[00:37:59.000 --> 00:38:00.000]   I'm number four.
[00:38:00.000 --> 00:38:01.000]   I'm number four.
[00:38:01.000 --> 00:38:02.000]   I'm number four.
[00:38:02.000 --> 00:38:03.000]   I'm number four.
[00:38:03.000 --> 00:38:04.000]   I'm number four.
[00:38:04.000 --> 00:38:05.000]   I'm number four.
[00:38:05.000 --> 00:38:06.000]   I'm number four.
[00:38:06.000 --> 00:38:07.000]   I'm number four.
[00:38:07.000 --> 00:38:08.000]   I'm number four.
[00:38:08.000 --> 00:38:09.000]   I'm number four.
[00:38:09.000 --> 00:38:10.000]   I'm number four.
[00:38:10.000 --> 00:38:11.000]   I'm number four.
[00:38:11.000 --> 00:38:12.000]   I'm number four.
[00:38:12.000 --> 00:38:13.000]   I'm number four.
[00:38:13.000 --> 00:38:14.000]   I'm number four.
[00:38:14.000 --> 00:38:15.000]   I'm number four.
[00:38:15.000 --> 00:38:16.000]   I'm number four.
[00:38:16.000 --> 00:38:17.000]   I'm number four.
[00:38:17.000 --> 00:38:18.000]   I'm number four.
[00:38:18.000 --> 00:38:19.000]   I'm number four.
[00:38:19.000 --> 00:38:20.000]   I'm number four.
[00:38:20.000 --> 00:38:21.000]   I'm number four.
[00:38:21.000 --> 00:38:22.000]   I'm number four.
[00:38:22.000 --> 00:38:23.000]   I'm number four.
[00:38:23.000 --> 00:38:24.000]   I'm number four.
[00:38:24.000 --> 00:38:25.000]   I'm number four.
[00:38:25.000 --> 00:38:26.000]   I'm number four.
[00:38:26.000 --> 00:38:27.000]   I'm number four.
[00:38:27.000 --> 00:38:28.000]   I'm number four.
[00:38:28.000 --> 00:38:29.000]   I'm number four.
[00:38:29.000 --> 00:38:30.000]   I'm number four.
[00:38:30.000 --> 00:38:31.000]   I'm number four.
[00:38:31.000 --> 00:38:32.000]   I'm number four.
[00:38:32.000 --> 00:38:33.000]   I'm number four.
[00:38:33.000 --> 00:38:34.000]   I'm number four.
[00:38:34.000 --> 00:38:35.000]   I'm number four.
[00:38:35.000 --> 00:38:36.000]   I'm number four.
[00:38:36.000 --> 00:38:37.000]   I'm number four.
[00:38:37.000 --> 00:38:38.000]   I'm number four.
[00:38:38.000 --> 00:38:39.000]   I'm number four.
[00:38:39.000 --> 00:38:40.000]   I'm number four.
[00:38:40.000 --> 00:38:41.000]   I'm number four.
[00:38:41.000 --> 00:38:42.000]   I'm number four.
[00:38:42.000 --> 00:38:43.000]   I'm number four.
[00:38:43.000 --> 00:38:44.000]   I'm number four.
[00:38:44.000 --> 00:38:45.000]   I'm number four.
[00:38:45.000 --> 00:38:46.000]   I'm number four.
[00:38:46.000 --> 00:38:47.000]   I'm number four.
[00:38:47.000 --> 00:38:48.000]   I'm number four.
[00:38:48.000 --> 00:38:49.000]   I'm number four.
[00:38:49.000 --> 00:38:50.000]   I'm number four.
[00:38:50.000 --> 00:38:51.000]   I'm number four.
[00:38:51.000 --> 00:38:52.000]   I'm number four.
[00:38:52.000 --> 00:38:53.000]   I'm number four.
[00:38:53.000 --> 00:38:54.000]   I'm number four.
[00:38:54.000 --> 00:38:55.000]   I'm number four.
[00:38:55.000 --> 00:38:56.000]   I'm number four.
[00:38:56.000 --> 00:38:57.000]   I'm number four.
[00:38:57.000 --> 00:38:58.000]   I'm number four.
[00:38:58.000 --> 00:38:59.000]   I'm number four.
[00:38:59.000 --> 00:39:00.000]   I'm number four.
[00:39:00.000 --> 00:39:01.000]   I'm number four.
[00:39:01.000 --> 00:39:02.000]   I'm number four.
[00:39:02.000 --> 00:39:03.000]   I'm number four.
[00:39:03.000 --> 00:39:04.000]   I'm number four.
[00:39:04.000 --> 00:39:05.000]   I'm number four.
[00:39:05.000 --> 00:39:06.000]   I'm number four.
[00:39:06.000 --> 00:39:07.000]   I'm number four.
[00:39:07.000 --> 00:39:08.000]   I'm number four.
[00:39:08.000 --> 00:39:09.000]   I'm number four.
[00:39:09.000 --> 00:39:10.000]   I'm number four.
[00:39:10.000 --> 00:39:11.000]   I'm number four.
[00:39:11.000 --> 00:39:12.000]   I'm number four.
[00:39:12.000 --> 00:39:13.000]   I'm number four.
[00:39:13.000 --> 00:39:14.000]   I'm number four.
[00:39:14.000 --> 00:39:15.000]   I'm number four.
[00:39:15.000 --> 00:39:16.000]   I'm number four.
[00:39:16.000 --> 00:39:17.000]   I'm number four.
[00:39:17.000 --> 00:39:18.000]   I'm number four.
[00:39:18.000 --> 00:39:19.000]   I'm number four.
[00:39:19.000 --> 00:39:20.000]   I'm number four.
[00:39:20.000 --> 00:39:21.000]   I'm number four.
[00:39:21.000 --> 00:39:22.000]   I'm number four.
[00:39:22.000 --> 00:39:23.000]   I'm number four.
[00:39:23.000 --> 00:39:24.000]   I'm number four.
[00:39:24.000 --> 00:39:25.000]   I'm number four.
[00:39:25.000 --> 00:39:26.000]   I'm number four.
[00:39:26.000 --> 00:39:27.000]   I'm number four.
[00:39:27.000 --> 00:39:28.000]   I'm number four.
[00:39:28.000 --> 00:39:29.000]   I'm number four.
[00:39:29.000 --> 00:39:30.000]   I'm number four.
[00:39:30.000 --> 00:39:31.000]   I'm number four.
[00:39:31.000 --> 00:39:32.000]   I'm number four.
[00:39:32.000 --> 00:39:33.000]   I'm number four.
[00:39:33.000 --> 00:39:34.000]   I'm number four.
[00:39:34.000 --> 00:39:35.000]   I'm number four.
[00:39:35.000 --> 00:39:36.000]   I'm number four.
[00:39:36.000 --> 00:39:37.000]   I'm number four.
[00:39:37.000 --> 00:39:38.000]   I'm number four.
[00:39:38.000 --> 00:39:39.000]   I'm number four.
[00:39:39.000 --> 00:39:40.000]   I'm number four.
[00:39:40.000 --> 00:39:41.000]   I'm number four.
[00:39:41.000 --> 00:39:42.000]   I'm number four.
[00:39:42.000 --> 00:39:46.720]   I started describing a bunch of mine because I had just done dozens of pranks and he described
[00:39:46.720 --> 00:39:51.000]   some of his client going into the tunnels under the school and finding phone lines.
[00:39:51.000 --> 00:39:53.000]   That was real.
[00:39:53.000 --> 00:39:54.000]   Did you know at the time?
[00:39:54.000 --> 00:39:58.640]   This wouldn't be sizing up people in the kind of macho male sense of who's more powerful.
[00:39:58.640 --> 00:40:01.000]   This would be more in finding points of commonality.
[00:40:01.000 --> 00:40:02.000]   Yes.
[00:40:02.000 --> 00:40:03.680]   That was how we got together.
[00:40:03.680 --> 00:40:08.120]   We sort of had common interests in pranks that we could both laugh at the same things.
[00:40:08.120 --> 00:40:09.480]   We talked about music.
[00:40:09.480 --> 00:40:15.360]   We both liked the same music for the same reason, the wordy type folk stuff.
[00:40:15.360 --> 00:40:20.000]   We also liked talking electronics and counter chips hooked up in a chain with drivers to
[00:40:20.000 --> 00:40:21.000]   drive LED.
[00:40:21.000 --> 00:40:27.280]   We both done that sort of thing to make displays and things like frequency counters.
[00:40:27.280 --> 00:40:31.000]   There weren't that many people in high school that had been near that sort of thing.
[00:40:31.000 --> 00:40:32.280]   Personally, hit it off.
[00:40:32.280 --> 00:40:33.280]   Come on, guys.
[00:40:33.280 --> 00:40:35.480]   I'm looking for soap opera stories here.
[00:40:35.480 --> 00:40:36.480]   Big fights.
[00:40:36.480 --> 00:40:39.240]   No, trouble.
[00:40:39.240 --> 00:40:42.200]   It sounds like an almost idyllic time.
[00:40:42.200 --> 00:40:44.120]   You know what?
[00:40:44.120 --> 00:40:45.120]   That's true.
[00:40:45.120 --> 00:40:51.320]   The press always tries to find some way to point and they get things very wrong.
[00:40:51.320 --> 00:40:54.400]   Something was against Apple or against something Apple's doing.
[00:40:54.400 --> 00:40:56.120]   They try to make a fight.
[00:40:56.120 --> 00:41:00.120]   When there isn't any, actually no one's ever seen me argue or fight with Steve Jobs ever
[00:41:00.120 --> 00:41:04.320]   despite the fact he's known for other people saying rough crude things to them, not really
[00:41:04.320 --> 00:41:05.320]   with me.
[00:41:05.320 --> 00:41:08.640]   There are a few unknown incidences, but they're very, very minor.
[00:41:08.640 --> 00:41:12.680]   It's almost like, do we have two slots or eight slots?
[00:41:12.680 --> 00:41:17.840]   And oh, man, if you want two slots, find another computer.
[00:41:17.840 --> 00:41:23.240]   It wasn't because I believe eight slots was critical to our success and growth and it
[00:41:23.240 --> 00:41:24.600]   turned out that it was.
[00:41:24.600 --> 00:41:25.600]   It was for a different reason.
[00:41:25.600 --> 00:41:30.440]   That I had a clever design that two chips decoded, all these address ranges for eight
[00:41:30.440 --> 00:41:31.440]   slots.
[00:41:31.440 --> 00:41:35.600]   Whereas the other approach being used by the all-terre computers, the other little cheap
[00:41:35.600 --> 00:41:37.120]   computers, they weren't really computers.
[00:41:37.120 --> 00:41:40.960]   They were just processors, but they weren't a computer with a keyboard, a programming
[00:41:40.960 --> 00:41:42.760]   language, and enough memory.
[00:41:42.760 --> 00:41:46.520]   But anyway, what they did was they had a bunch of dials on every board you plugged in that
[00:41:46.520 --> 00:41:51.080]   dialed what addresses it had, like a street address, you dial in your address.
[00:41:51.080 --> 00:41:55.920]   This board is going to be address 5A00 and it looks for those addresses with comparator
[00:41:55.920 --> 00:42:01.120]   chips of, it took, you know, for eight slots on that type of computer to take 40 chips
[00:42:01.120 --> 00:42:03.400]   for what I had a clever way to do in two chips.
[00:42:03.400 --> 00:42:06.600]   I think they've been suggested by my friend Alan Baum.
[00:42:06.600 --> 00:42:07.600]   Isn't it?
[00:42:07.600 --> 00:42:11.640]   I remember we did a homebrew segment on the screen.
[00:42:11.640 --> 00:42:14.240]   It was Alan was there and all the old.
[00:42:14.240 --> 00:42:17.640]   Actually, Alan, yeah, Alan was really the only other person who designed part of the
[00:42:17.640 --> 00:42:18.640]   computer software.
[00:42:18.640 --> 00:42:24.800]   We did some of the software of the monitor, Ron, me that is part of the Apple II design.
[00:42:24.800 --> 00:42:25.800]   Isn't it interesting?
[00:42:25.800 --> 00:42:27.040]   We should have him here.
[00:42:27.040 --> 00:42:33.600]   It's kind of interesting, Daniel and Bill, to hear, was, has lost none of his enthusiasm
[00:42:33.600 --> 00:42:34.600]   for this stuff.
[00:42:34.600 --> 00:42:36.800]   I mean, he still loves it, doesn't he?
[00:42:36.800 --> 00:42:37.800]   Oh yeah.
[00:42:37.800 --> 00:42:42.600]   But young kids, young kids that age, young kids that age in high school, I want to encourage
[00:42:42.600 --> 00:42:46.200]   them as much as possible to go out and try to build your own things, you know, because
[00:42:46.200 --> 00:42:49.440]   they're the ones that are going to find the interesting solutions we've never think of.
[00:42:49.440 --> 00:42:52.200]   You know, they're the ones that are going to find the way to get, you know, people to
[00:42:52.200 --> 00:42:55.680]   Mars and, you know, maybe invent devices that make weapons obsolete.
[00:42:55.680 --> 00:42:57.360]   Well, it is, you're right.
[00:42:57.360 --> 00:43:03.280]   We're commemorating really a business event, not a significant technical achievement.
[00:43:03.280 --> 00:43:05.200]   But you have to pick a day.
[00:43:05.200 --> 00:43:08.600]   And as I was saying at the beginning, I think it's more than just the founding of Apple
[00:43:08.600 --> 00:43:09.600]   Computer.
[00:43:09.600 --> 00:43:11.720]   It's really the founding of the personal computer revolution.
[00:43:11.720 --> 00:43:15.520]   I mean, this is, this is, if you're going to pick one day, this is the day it began 30
[00:43:15.520 --> 00:43:16.520]   years ago.
[00:43:16.520 --> 00:43:20.520]   I'm going to look at the start of Apple II at a later date as the, as the key element
[00:43:20.520 --> 00:43:24.040]   and the real corporate corporations coming in 77.
[00:43:24.040 --> 00:43:28.160]   So, so 77, you would say really is the, it's a good, we can do this again in a year.
[00:43:28.160 --> 00:43:31.480]   77 was, would you say was really the beginning?
[00:43:31.480 --> 00:43:32.480]   Was that the really?
[00:43:32.480 --> 00:43:34.560]   Two, two, I have two sides to this one.
[00:43:34.560 --> 00:43:37.840]   Every computer before the Apple I, especially at the low cost of the world, came with one
[00:43:37.840 --> 00:43:41.720]   of those airplane, cockpit, front-houses, switches and whites and rectangular and look
[00:43:41.720 --> 00:43:42.720]   ugly.
[00:43:42.720 --> 00:43:47.560]   Every single computer since the Apple I came with a human keyboard, there was a distinct
[00:43:47.560 --> 00:43:49.960]   split right then that was going to make it happen.
[00:43:49.960 --> 00:43:50.960]   Yeah.
[00:43:50.960 --> 00:43:53.560]   And people were going to figure out, you had to come with a little bit of wrong to run
[00:43:53.560 --> 00:43:54.560]   that sort of a machine.
[00:43:54.560 --> 00:43:58.000]   Well, we used ROMs in our calculators at Hewlett Packard.
[00:43:58.000 --> 00:44:01.800]   So I had a little advantage when it occurred to me that you could just build in a ROM and
[00:44:01.800 --> 00:44:04.560]   get rid of the front panel and have a human keyboard.
[00:44:04.560 --> 00:44:09.800]   But, you know, but a real computer needed a certain amount of memory enough that you
[00:44:09.800 --> 00:44:12.480]   could sit down and type into a programming language.
[00:44:12.480 --> 00:44:14.560]   To me anything less than that wasn't really a computer.
[00:44:14.560 --> 00:44:18.920]   It was just a processor and a few of us who could read data sheets knew what a processor
[00:44:18.920 --> 00:44:23.080]   was and it's a processor that the alter, it was a processor surrounded by some voltage
[00:44:23.080 --> 00:44:25.400]   resistance protection chips and a bus.
[00:44:25.400 --> 00:44:29.120]   And yeah, if you do enough, you could do a bunch of right things and make it compute.
[00:44:29.120 --> 00:44:30.120]   Well, it took a lot.
[00:44:30.120 --> 00:44:31.880]   Well, of course, it mitts out there and have a computer.
[00:44:31.880 --> 00:44:34.360]   It just had switches on the front and you had a...
[00:44:34.360 --> 00:44:35.360]   Right.
[00:44:35.360 --> 00:44:38.280]   And by the time you got to a computer that could run a programming language, it cost a
[00:44:38.280 --> 00:44:39.640]   lot of money.
[00:44:39.640 --> 00:44:43.480]   The type of RAMs they use, static RAMs were so expensive.
[00:44:43.480 --> 00:44:47.640]   So having a ROM, having a keyboard, having a monitor...
[00:44:47.640 --> 00:44:49.840]   Dynamic RAM was a key also.
[00:44:49.840 --> 00:44:50.840]   Dynamic RAM.
[00:44:50.840 --> 00:44:54.320]   The first 4K dynamic RAM in '75, that was the first time ever.
[00:44:54.320 --> 00:44:56.520]   It was cheaper than cord memory.
[00:44:56.520 --> 00:44:57.520]   Really?
[00:44:57.520 --> 00:44:59.520]   As late as '75, wow.
[00:44:59.520 --> 00:45:06.440]   Yeah, so I jumped right on to that is my God, that's the way to make it affordable.
[00:45:06.440 --> 00:45:08.680]   I was thinking just for myself to afford.
[00:45:08.680 --> 00:45:11.880]   What was the price point that you hope to get this out of?
[00:45:11.880 --> 00:45:15.320]   Oh, I never thought of it as a product when I built it.
[00:45:15.320 --> 00:45:19.680]   I just thought of what I could afford to pay and that was probably up to maybe a couple
[00:45:19.680 --> 00:45:24.840]   hundred bucks or I'd have to wait six months to save 400 bucks.
[00:45:24.840 --> 00:45:27.480]   The amount of money to even buy an all-terre was a lot for me.
[00:45:27.480 --> 00:45:31.240]   A lot of my income was going into a thing I ran called Dialogio.
[00:45:31.240 --> 00:45:32.240]   Yeah.
[00:45:32.240 --> 00:45:35.720]   That was back before you were allowed to own an answering machine or a telephone.
[00:45:35.720 --> 00:45:39.360]   So it cost a ton of money to get the only machine being read by the phone company.
[00:45:39.360 --> 00:45:42.320]   And it really did eat up all my spare money.
[00:45:42.320 --> 00:45:45.960]   Your dedication between computer Dialogio.
[00:45:45.960 --> 00:45:46.960]   Computer Dialogio.
[00:45:46.960 --> 00:45:51.600]   It must have been a tough choice.
[00:45:51.600 --> 00:45:57.000]   Was Waz a prankster in those early days, Bill, do you remember pranks from either Waz or
[00:45:57.000 --> 00:45:58.000]   Jobs?
[00:45:58.000 --> 00:46:01.680]   Well, I remember that Waz was always pulling pranks.
[00:46:01.680 --> 00:46:05.040]   I don't remember any particular ones except for the big one that he and Jobs did together
[00:46:05.040 --> 00:46:10.640]   where they tried to pull a prank on the graduating class of 1972 at Homestead High School.
[00:46:10.640 --> 00:46:11.640]   Tell us about that.
[00:46:11.640 --> 00:46:13.320]   I don't think I've ever read about that.
[00:46:13.320 --> 00:46:16.760]   You know, this is one, a couple of my best pranks ever are two or two or two jobs that
[00:46:16.760 --> 00:46:19.560]   didn't come off, but I'll let Bill tell this one.
[00:46:19.560 --> 00:46:20.560]   Okay.
[00:46:20.560 --> 00:46:27.080]   So the Homestead High School has these big rectangular concrete block two-story buildings.
[00:46:27.080 --> 00:46:32.080]   And behind them they have this, the big soccer field and the bleachers.
[00:46:32.080 --> 00:46:36.720]   And so think of the soccer field where all the parents would be sitting in chairs facing
[00:46:36.720 --> 00:46:40.680]   the bleachers where all the graduating students would be and behind them one of these big
[00:46:40.680 --> 00:46:43.160]   monolithic concrete block buildings.
[00:46:43.160 --> 00:46:44.160]   Okay.
[00:46:44.160 --> 00:46:48.400]   They made this giant canvas flag that was, I don't know, maybe 10 feet wide by eight
[00:46:48.400 --> 00:46:50.040]   feet tall.
[00:46:50.040 --> 00:46:54.800]   And they made it, had it set up with pulleys and ropes so that when everyone was assembled
[00:46:54.800 --> 00:46:59.080]   in the graduating class of the parents were looking out beyond their kids at this building,
[00:46:59.080 --> 00:47:03.880]   the flag would roll down the face of the building and give a pleasant message to the
[00:47:03.880 --> 00:47:04.880]   apparent--
[00:47:04.880 --> 00:47:05.880]   Not exactly.
[00:47:05.880 --> 00:47:06.880]   Well, not exactly.
[00:47:06.880 --> 00:47:08.880]   I can correct that a little.
[00:47:08.880 --> 00:47:14.760]   I would unravel off to the top of this one building as the students exited the graduation.
[00:47:14.760 --> 00:47:20.520]   Half the students, the half coming out of, say, caught the stage right side for the students,
[00:47:20.520 --> 00:47:24.120]   those half the students would see the sign that had a Brazilian best wishes sign.
[00:47:24.120 --> 00:47:27.800]   Although I have to say I talked to some people from Brazil and that was just a phony joke
[00:47:27.800 --> 00:47:29.160]   that Steve and I made up.
[00:47:29.160 --> 00:47:30.160]   I take it.
[00:47:30.160 --> 00:47:31.160]   You're--
[00:47:31.160 --> 00:47:32.160]   We call it flipping off.
[00:47:32.160 --> 00:47:33.160]   We call it a hand flipping them off.
[00:47:33.160 --> 00:47:34.160]   Flipping the best wishes.
[00:47:34.160 --> 00:47:37.080]   So you are saying back with the best wishes on it.
[00:47:37.080 --> 00:47:39.200]   You painted a giant hand--
[00:47:39.200 --> 00:47:42.640]   And the giant hand with a finger and the worst best wishes.
[00:47:42.640 --> 00:47:46.560]   Ellen Baum's mother was an artist who helped us get the hand shading right.
[00:47:46.560 --> 00:47:48.480]   His mom helped you.
[00:47:48.480 --> 00:47:52.760]   His parents were so great at Kim's doing jokes was funny to them and I love that.
[00:47:52.760 --> 00:47:53.760]   Oh, that's hysterical.
[00:47:53.760 --> 00:47:55.280]   Now, did it actually happen?
[00:47:55.280 --> 00:47:56.280]   Did it work?
[00:47:56.280 --> 00:47:59.960]   No, Steve Jobs told some other seniors that we're trying to do a prank to like fill up
[00:47:59.960 --> 00:48:01.760]   the student vlog with water or something.
[00:48:01.760 --> 00:48:05.480]   He told them where our little fishing line, 40 pound fishing line ran.
[00:48:05.480 --> 00:48:07.520]   And the next morning it had been cut.
[00:48:07.520 --> 00:48:10.400]   We could tell it had been cut and not strained and stretched.
