;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Elon's Little Chisel
language=English
artist=Leo Laporte, Alex Kantrowitz, Ranjan Roy
album_artist=TWiT
publisher=TWiT
track=937
date=2023
TRDA=2023-07-24
comment=<p>Twitter to X, FedNow, Meta&\#039\;s LLaMA 2, riding in a Waymo, Kevin Mitnick</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:04.560]   It's time for Twit this week in Tech. It's a big technology takeover this week on
[01:11:10.520 --> 01:11:15.320]   Uh unless the supreme court immediately says screw it get out of here go away
[01:11:16.040 --> 01:11:18.040]   And uh then they're gonna have to do it
[01:11:18.040 --> 01:11:24.520]   Why is apple fighting this so hard? It's how hard could it be to say all right fine put a link to the kindle store
[01:11:24.520 --> 01:11:30.920]   They really want i'll go ahead around john they want their 30 percent. That's what they want
[01:11:30.920 --> 01:11:37.880]   It changes everything because I think there was a long period of time where apple was able to sell the idea that
[01:11:37.880 --> 01:11:39.640]   security
[01:11:39.640 --> 01:11:44.200]   You know like a predictability that the app store brought something really specific
[01:11:44.600 --> 01:11:48.040]   But now we're at a point that you know again buying a book on a kindle
[01:11:48.040 --> 01:11:54.600]   Why does it need to be so difficult once you're trained to know to go out and go to the website and buy the book
[01:11:54.600 --> 01:11:57.720]   Then go back to your kindle you start to figure it out
[01:11:57.720 --> 01:12:04.840]   But maybe maybe this one's gonna hit hard because every supreme court justice has a kindle and has not figured out how to buy a book on their uh
[01:12:04.840 --> 01:12:11.240]   On their ipad or iphone so maybe it'll hit but but I think it is just a reminder that
[01:12:11.960 --> 01:12:16.520]   They if they give an inch they're worried about the overall app store tax
[01:12:16.520 --> 01:12:19.560]   And it just goes to show you like they've been so
[01:12:19.560 --> 01:12:25.480]   Admit that the reason why you have to go through apples and app payments is because they're protecting you against counterfeiters
[01:12:25.480 --> 01:12:31.080]   And or or fraud or whatever it is and this whole idea of like letting spotify say
[01:12:31.080 --> 01:12:38.280]   Um, you know you can't subscribe here, but if you want to subscribe go to spotify.com like they have such a problem with that
[01:12:39.000 --> 01:12:42.520]   Like it does go to show you that it really is about the 30 percent that they're gonna make
[01:12:42.520 --> 01:12:47.880]   Yeah, you know credit cards like they're their intermediate areas are there a service. They charge like 3 percent
[01:12:47.880 --> 01:12:53.320]   Um, that's like a normal transaction fee for the transaction fee on the apple sort of be 30 percent
[01:12:53.320 --> 01:12:57.320]   You know that something's wrong and that actually going back to our theme. That is what you know
[01:12:57.320 --> 01:13:04.120]   And he trusts should be addressing and uh and instead we have courts saying yeah go keep keep doing this like i'll let
[01:13:04.120 --> 01:13:08.360]   Was a did you take consumers from figuring out where they can go to actually buy the services?
[01:13:08.360 --> 01:13:12.200]   So do you think the ftc should take on the 30 percent tax?
[01:13:12.200 --> 01:13:18.520]   I think they if they can win by the way, my whole point in this has not been the ftc shouldn't take these things on
[01:13:18.520 --> 01:13:20.760]   It's that the ftc should be
[01:13:20.760 --> 01:13:27.400]   Less grounded in the ideology and more grounded in the legal facts when they come out to these case and just like their track record shows that they haven't been
[01:13:27.400 --> 01:13:29.560]   They should have like a prosecutor
[01:13:30.040 --> 01:13:35.960]   Like a prosecutor does where a prosecutor assesses the likelihood of winning the case before actually pursuing the case
[01:13:35.960 --> 01:13:40.600]   Or deciding deciding what type of case to bring based off of the law, right?
[01:13:40.600 --> 01:13:44.200]   Yeah, but I think the the difference here as a prosecutor
[01:13:44.200 --> 01:13:49.560]   Is not being mindful of how they're shaping the law overall, right?
[01:13:49.560 --> 01:13:55.160]   Prosecutor should prosecuting an individual case is just thinking about that individual case. They're not thinking about
[01:13:55.640 --> 01:14:00.760]   How do I shape the entire economy and and you know rule of law going forward?
[01:14:00.760 --> 01:14:05.880]   Yeah, so I'll concede that that we don't have good enough anti trust law to actually commit and bring this stuff
[01:14:05.880 --> 01:14:10.840]   And you know if congress decided that it wanted to act maybe we could change that but it hasn't decided that so
[01:14:10.840 --> 01:14:15.560]   We're left with this but that being said like I don't think that's a blanket excuse for all these losses
[01:14:15.560 --> 01:14:19.240]   The ninth circuit judge however
[01:14:19.720 --> 01:14:26.840]   Even though they did grant the stay the 90 day stay to apple was not at all happy about apple's arguments
[01:14:26.840 --> 01:14:28.360]   uh
[01:14:28.360 --> 01:14:34.360]   Judge milan d smith writes while the arguments in apple's motion may not be technically frivolous
[01:14:34.360 --> 01:14:44.440]   They ignore key aspects of the panels reasoning and key factual findings by the district court remember apple one everything except this in district court
[01:14:44.440 --> 01:14:47.560]   uh apple appealed to the ninth circuit
[01:14:47.960 --> 01:14:49.960]   ninth circuit also upheld
[01:14:49.960 --> 01:14:52.680]   uh the the ruling
[01:14:52.680 --> 01:14:56.120]   But
[01:14:56.120 --> 01:15:00.360]   Subsequently has granted them 90s days to uh to to appeal
[01:15:00.360 --> 01:15:06.120]   apple ignores the panel key aspects of the panels reasoning and key factual findings by the district court
[01:15:06.120 --> 01:15:14.200]   When are reasoning and the district court's findings are considered apple's arguments cannot withstand even the slightest scrutiny
[01:15:15.480 --> 01:15:19.400]   apple's standing in scope of the injunction argument simply masquerade
[01:15:19.400 --> 01:15:26.520]   It's disagreement with the district court's findings and objection to state law liability as contentions of legal
[01:15:26.520 --> 01:15:32.040]   Error they kapples arguments cannot withstand even the slightest scrutiny
[01:15:32.040 --> 01:15:35.160]   So he spanked apple even while giving them the 90 days
[01:15:35.160 --> 01:15:39.160]   To appeal it to the supreme court. I guess he felt like he had to give him that
[01:15:39.160 --> 01:15:43.240]   I am so curious if this goes to the supreme court
[01:15:43.880 --> 01:15:49.080]   Who leans in which direction because I feel the fascinating these these cases
[01:15:49.080 --> 01:15:52.680]   You know breakdown any normal
[01:15:52.680 --> 01:15:59.160]   Interpretation of or conventional interpretation of left and right, you know, there's so many nuances
[01:15:59.160 --> 01:16:04.440]   What's in support of business or free markets or I don't know this will be an interesting
[01:16:04.440 --> 01:16:07.240]   I think it's unpredictable, but I do think tim cook should invite
[01:16:07.240 --> 01:16:12.760]   Clarence thomas and justice robs on his yacht and take him for a little ride just you know
[01:16:13.560 --> 01:16:18.520]   Press the flesh greek talk to him. Yeah, let them see his side. You know what i'm saying
[01:16:18.520 --> 01:16:24.360]   Uh, no, I mean that has an already happened. Yeah, I know what can he do does does
[01:16:24.360 --> 01:16:29.480]   Turns thomas is on the phone with apple hq being like hey, so what type of trips can you
[01:16:29.480 --> 01:16:35.000]   Early access to the vision pro. That's it. That's right. They want augments in virtual reality
[01:16:35.000 --> 01:16:40.840]   Justice perhaps you would like a a tour of our vision pro and uh, and it's fine. It's amazing
[01:16:40.840 --> 01:16:44.120]   It's a computer on your face. Give us all the rulings in our favorite police
[01:16:44.120 --> 01:16:49.160]   I don't yeah, I don't know how well the supreme. I don't think you have any indicator of how the supreme court might roll on this
[01:16:49.160 --> 01:16:51.240]   It's just gonna be uh, you know
[01:16:51.240 --> 01:16:55.240]   Catch us catch can we'll see we'll see what happens
[01:16:55.240 --> 01:17:00.920]   Uh, you were excited. Uh, I think uh ronjana about meta and microsoft introducing
[01:17:00.920 --> 01:17:03.800]   llamas into the world
[01:17:03.800 --> 01:17:05.400]   Uh
[01:17:05.400 --> 01:17:07.880]   We talk a lot about artificial intelligence
[01:17:08.840 --> 01:17:13.400]   Uh, we haven't talked a whole lot about this llama is the large language model meta
[01:17:13.400 --> 01:17:19.480]   Has been working on and the next generation is llama too. Of course. You notice microsoft got in there real quick
[01:17:19.480 --> 01:17:23.640]   Uh, microsoft wants to make sure if it's ai that microsoft is there
[01:17:23.640 --> 01:17:26.040]   um
[01:17:26.040 --> 01:17:29.480]   I saw one headline saying
[01:17:29.480 --> 01:17:36.520]   meta opens up llama to everybody except the corporations that might compete directly with this business model
[01:17:38.440 --> 01:17:40.440]   Yeah, I think
[01:17:40.440 --> 01:17:44.360]   This is this is really really interesting because
[01:17:44.360 --> 01:17:48.600]   Having done a good amount of work with generative ai for a while
[01:17:48.600 --> 01:17:50.920]   I've been realizing that again
[01:17:50.920 --> 01:17:56.600]   The largest only working with the largest models or the most expensive models or directly with open ai
[01:17:56.600 --> 01:17:58.600]   You can get
[01:17:58.600 --> 01:18:05.000]   Very very good results for solving very specific problems with much smaller models open source models
[01:18:05.400 --> 01:18:09.560]   So I think it's very smart meta coming in late to the game here
[01:18:09.560 --> 01:18:14.120]   They probably are not going to build some large api driven business like
[01:18:14.120 --> 01:18:17.800]   Open i open ai is doing like google's opening to do
[01:18:17.800 --> 01:18:20.760]   So I think this was the smartest play that they could make and again
[01:18:20.760 --> 01:18:25.400]   We've seen that you know meta has been well ahead from the technology perspective
[01:18:25.400 --> 01:18:30.280]   Beyond lakoon has driven a lot of this research and has been on the big technology podcast
[01:18:30.680 --> 01:18:34.440]   Believe a number of times. I uh, I think this is very interesting
[01:18:34.440 --> 01:18:35.960]   It is funny to me
[01:18:35.960 --> 01:18:41.400]   As you said the fact that microsoft had to get into this press release because all they're doing is saying
[01:18:41.400 --> 01:18:45.240]   It's compatible on the azure eco system. Right?
[01:18:45.240 --> 01:18:47.880]   Yes
[01:18:47.880 --> 01:18:49.880]   Also work on google cloud on
[01:18:49.880 --> 01:18:57.880]   Yes, it's a standard open source model you can go on hugging face and pull a hundred other ones
[01:18:57.960 --> 01:19:04.760]   So like I was very intrigued by the communications element of how that came together
[01:19:04.760 --> 01:19:09.400]   Do you think microsoft gave them some azure credits because generating these models is very expensive
[01:19:09.400 --> 01:19:14.440]   That maybe maybe that's what microsoft did is say well here. We're gonna help you out here
[01:19:14.440 --> 01:19:17.400]   tomato tomatoes research department
[01:19:17.400 --> 01:19:19.400]   Metas got the money. I mean if
[01:19:19.400 --> 01:19:24.120]   This is in some start is scaling startup
[01:19:24.760 --> 01:19:28.440]   What does it mean for microsoft and an open AI right like does it change?
[01:19:28.440 --> 01:19:34.280]   If it microsoft is huge partners with open AI, so I that's sort of what surprised me was to see them
[01:19:34.280 --> 01:19:38.440]   Had uh, you know front and center on the med Microsoft got something for this
[01:19:38.440 --> 01:19:39.800]   I'm I mean
[01:19:39.800 --> 01:19:43.320]   Clearly microsoft wanted to make sure that you understood that this will work on azure right
[01:19:43.320 --> 01:19:44.680]   that
[01:19:44.680 --> 01:19:50.120]   So what what what facebook has done is uh, they have open sourced llama to which is their next
[01:19:50.760 --> 01:19:55.480]   Big large language model and they're making available free of charge for research and commercial use
[01:19:55.480 --> 01:19:58.360]   um, and of course
[01:19:58.360 --> 01:20:05.240]   Versace and Adelek says oh, yeah, by the way, this will run in the azure we actually it's in the azure AI model catalog
[01:20:05.240 --> 01:20:10.760]   Uh, but but then facebook said yep, but it'll also run an aws and hugging face and elsewhere
[01:20:10.760 --> 01:20:17.480]   Well, they didn't mention google cloud. So that's like the dark theory here is that like maybe this is just something that they decided to
[01:20:17.880 --> 01:20:20.760]   The enemy of my kind of mess enemy is my
[01:20:20.760 --> 01:20:24.600]   Okay, is that because like google?
[01:20:24.600 --> 01:20:31.560]   This is like one of the big business lines that google might have is like, you know opens or charging for their their uh, lm's and
[01:20:31.560 --> 01:20:37.400]   Medi comes in and says all right. Well here you could just have is that when you guys do you think that's a legitimate like
[01:20:37.400 --> 01:20:43.960]   Possibility here. Yeah, because if you think google could do it integrated across their ecosystem
[01:20:43.960 --> 01:20:49.640]   They have lllms they have the cloud infrastructure. They have the cons the business consumer side
[01:20:49.640 --> 01:20:52.920]   Of everything so so that's an interesting theory
[01:20:52.920 --> 01:20:58.680]   The restriction is that you can't you have if you have more than seven of any products with more than 700 million users
[01:20:58.680 --> 01:21:04.040]   You have to ask uh meta for permission to use this and it's not so open anymore. So it's like who does that
[01:21:04.040 --> 01:21:07.240]   Who also is included in that?
[01:21:07.240 --> 01:21:09.560]   Ah, let me see it might not be twitter
[01:21:09.560 --> 01:21:12.520]   Maybe definitely not twitter not twitter
[01:21:13.240 --> 01:21:20.280]   But you get to count the bots or not so you guys know all this you've you've interviewed yon lacun. What is what is this thing this
[01:21:20.280 --> 01:21:23.720]   Lama too. What are they giving away?
[01:21:23.720 --> 01:21:27.480]   That they're giving away
[01:21:27.480 --> 01:21:31.400]   Essentially the same infrastructure as a gpt 3.5 or four
[01:21:31.400 --> 01:21:38.680]   Smaller in scope in parameters potentially but still you can fine tune your own models off of them
[01:21:38.680 --> 01:21:45.080]   These are foundation models that allow any company to do all the work of generative AI that we all want to do
[01:21:45.080 --> 01:21:49.560]   It's just free and open and as i was like i'm thinking is this like
[01:21:49.560 --> 01:21:54.760]   Um, so they in other words facebook has done the hard work of creating these models
[01:21:54.760 --> 01:21:59.560]   That's the hard part and now you can play with it to to create your own
[01:21:59.560 --> 01:22:06.440]   Layers on top of it is this processes around it and the thing is all these things
[01:22:06.440 --> 01:22:12.360]   There have been tons and tons of other open source models or free models like this if you go to a hugging face
[01:22:12.360 --> 01:22:15.960]   It's there's a whole community built around this the home of stable diffusion
[01:22:15.960 --> 01:22:21.160]   And if you have a stable diffusion i've been running at my house you can download different models right different
[01:22:21.160 --> 01:22:22.840]   um
[01:22:22.840 --> 01:22:30.120]   Things yeah, it's it but it's it's an entire community of open sourced llms and and for different purposes different models
[01:22:30.120 --> 01:22:36.360]   So so as we're talking i'm starting to think like maybe microsoft also realize and there's a lot of people who have
[01:22:36.360 --> 01:22:42.440]   Said this really is an industry and an ecosystem that can move more towards open source
[01:22:42.440 --> 01:22:50.440]   So maybe microsoft is hedging their bets as well with open AI that you know, that's their bet on closed and this is their bet on open and there
[01:22:50.440 --> 01:22:55.560]   That's a great point. They're making sure their sautia is everywhere at the same time
[01:22:55.560 --> 01:23:00.440]   Well, this was also the week that microsoft announced that they were going to offer
[01:23:01.240 --> 01:23:06.840]   uh chat gpt being chat whatever they call it in uh microsoft 365
[01:23:06.840 --> 01:23:11.000]   And it would only be 30 per seat per per month
[01:23:11.000 --> 01:23:17.800]   Uh, which sounds a little expensive to me, but uh, yeah, there's a definitely commercial side of what microsoft's doing with open AI
[01:23:17.800 --> 01:23:22.520]   Of your google you use google docs you can get all these things for free
[01:23:22.520 --> 01:23:28.360]   So right now google docs has like all the all the same is like what one a Cadillac and one evokes wagon
[01:23:28.360 --> 01:23:33.240]   What's I don't understand no this so that this is where I then competitively gets interesting
[01:23:33.240 --> 01:23:35.640]   Alex and I talked about this last friday
[01:23:35.640 --> 01:23:43.240]   If anyone is a chat gpt plus subscriber, I subscribe to it just to try this new code interpreter tool
[01:23:43.240 --> 01:23:51.000]   It's insane. It's like you can upload massive data sets to it of your own things that would break excel in an instant
[01:23:51.000 --> 01:23:54.920]   And then you just say actually I want to organize the data this way
[01:23:55.320 --> 01:24:01.000]   Can you query what's the average of anything that has like things you would write complex excel functions in the past?
[01:24:01.000 --> 01:24:03.480]   You can literally watch it
[01:24:03.480 --> 01:24:10.520]   Creating python code to actually do that analysis for you things you would have had a data scientist full time for before
[01:24:10.520 --> 01:24:18.680]   So, so I mean I was this is one of the coolest things. I've seen in this whole generative. Is it good code? Is it usable code?
[01:24:18.680 --> 01:24:25.000]   Yeah, it it gets you the right answers and it works and it works on you know instead of there's no hallucination
[01:24:25.080 --> 01:24:30.120]   This isn't standard LLM where it's to you know like working off a giant foundation model
[01:24:30.120 --> 01:24:36.840]   And it's not even sure what it's saying. It's just creating python code that gives you an answer to a data query
[01:24:36.840 --> 01:24:43.000]   But the thing is again right now. It's worth me paying 20 bucks a month to open AI
[01:24:43.000 --> 01:24:47.000]   Is someone going to come along and do this open source very soon?
[01:24:47.000 --> 01:24:51.880]   I think very likely so so I agree with you that I think a lot of this stuff
[01:24:52.440 --> 01:24:57.560]   Is going to just be the same across and it's going to be awesome for for users and businesses
[01:24:57.560 --> 01:25:02.040]   But how this plays out from a business perspective? I think this is uh,
[01:25:02.040 --> 01:25:07.400]   This is anyone's game, which is maybe why satya is again everywhere
[01:25:07.400 --> 01:25:09.640]   So we've used
[01:25:09.640 --> 01:25:11.640]   I'm trying to understand this we've used
[01:25:11.640 --> 01:25:16.280]   uh thing called whisper AI to do uh transcripts friend of mine uses it to
[01:25:16.760 --> 01:25:22.760]   Transcribe conversations feeds the transcript into chat gpt which generates an action item list
[01:25:22.760 --> 01:25:26.360]   uh based on uh, you know a recorded conversation
[01:25:26.360 --> 01:25:29.320]   Whisper is using models
[01:25:29.320 --> 01:25:31.240]   Uh
[01:25:31.240 --> 01:25:35.960]   Of it can use different models right it could use and it could use in theory. It could use llama right
[01:25:35.960 --> 01:25:39.480]   Is that the idea is that that that's a front end
[01:25:39.480 --> 01:25:46.280]   To do let's say transcription or in your case to do python code and it sits on top of a large language model
[01:25:47.240 --> 01:25:50.840]   Yeah, I mean depending on per we don't know whatever it was built on
[01:25:50.840 --> 01:25:53.480]   I would say like people who got in early on this
[01:25:53.480 --> 01:25:58.680]   Mostly we're using a gpt3 or paying open AI for the api access
[01:25:58.680 --> 01:26:05.560]   But any any service like that can definitely it's I mean as of now, maybe it's not completely but you know
[01:26:05.560 --> 01:26:08.280]   Google has models like text bison
[01:26:08.280 --> 01:26:09.960]   uh
[01:26:09.960 --> 01:26:15.160]   Open AI has gpt 3.5 and 4 facebook is now introduced llama for free
[01:26:15.640 --> 01:26:21.240]   All of those things could theoretically be somewhat interchangeable to do that kind of job, especially
[01:26:21.240 --> 01:26:24.280]   Transcribing creating action items
[01:26:24.280 --> 01:26:29.320]   Summarization like you don't necessarily need them 175
[01:26:29.320 --> 01:26:31.980]   Billion parameter
[01:26:31.980 --> 01:26:37.000]   Gigantic model to do this kind of thing but you still end up paying amazon or microsoft to use it
[01:26:37.000 --> 01:26:42.920]   So it is interesting. It's like well big tech is gonna win you pay them for uh azure minutes or hoes cloud
[01:26:43.080 --> 01:26:46.200]   Yeah, yeah, yeah, yeah, yeah, you're still paying a lot for compute
[01:26:46.200 --> 01:26:49.640]   Oh, you okay. So there's still a lot of computing going on using it
[01:26:49.640 --> 01:26:54.280]   Yeah, it's just the actual code element of how this all works can be open source
[01:26:54.280 --> 01:27:00.520]   So so yeah, Alex is right big tech wins again. Yeah, you could well. I could run it if I have a powerful machine
[01:27:00.520 --> 01:27:03.160]   You can run locally. Yeah. Yeah. Yeah
[01:27:03.160 --> 01:27:07.880]   Give it a call up and video and get a couple more. Oh, there's another win for me. I need another 40
[01:27:07.880 --> 01:27:11.880]   Five 40 90s how dang it we thought we were out of the woods
[01:27:12.680 --> 01:27:13.480]   Uh
[01:27:13.480 --> 01:27:20.840]   Do so do we know what llamas trained on is it trained on the same data that chat gpt is
[01:27:20.840 --> 01:27:24.840]   Do are they they say anything about that?
[01:27:24.840 --> 01:27:30.360]   I mean, I'm not sure I know the models that they proudly said are smaller
[01:27:30.360 --> 01:27:32.040]   I think they have like an again
[01:27:32.040 --> 01:27:35.960]   You can try I think it's like a five billion parameter the biggest one was 70 billion
[01:27:35.960 --> 01:27:40.840]   So these are smaller than gpt for gpt 3.5
[01:27:41.320 --> 01:27:45.880]   I mean, then even within those open AI models they have different levels as well. They have like
[01:27:45.880 --> 01:27:53.880]   Ada babbage kirry da Vinci of different sizes. So so in terms of what exactly it's trained on. I'm not sure is this
[01:27:53.880 --> 01:27:57.800]   Model dumber than a bigger model
[01:27:57.800 --> 01:28:05.080]   So my contention here is that like they've been the advance is that they've been able to train an on par model with
[01:28:05.080 --> 01:28:08.920]   A smaller set of data. It's a smaller set of data, but it's just as good
[01:28:09.880 --> 01:28:12.920]   It's been trained only on your facebook messages lea
[01:28:12.920 --> 01:28:16.600]   Well, that's the question
[01:28:16.600 --> 01:28:19.240]   I mean facebook has access to the entire corpus of
[01:28:19.240 --> 01:28:24.840]   Facebook messages. Is that what it's being trained on? No, probably we don't know the full details
[01:28:24.840 --> 01:28:28.280]   We don't know obviously a lot of the stuff is going to be on open source data sets
[01:28:28.280 --> 01:28:30.200]   but
[01:28:30.200 --> 01:28:37.560]   You know, they have the next is that the next front line in in ai in the battle over ai is where you get in this data
[01:28:38.200 --> 01:28:41.800]   You know, we saw that sarah silverman the comic is suing
[01:28:41.800 --> 01:28:49.720]   Open AI because she says it knows my book you must have given it my book because it can summarize it
[01:28:49.720 --> 01:28:52.280]   Number of authors are also suing
[01:28:52.280 --> 01:28:58.280]   Uh, is that the next front line of battles? Uh, we're just gonna see people saying well wait a minute you can't train on
[01:28:58.280 --> 01:29:05.400]   Copyright data you have to have a process. Where did this where did this come from as a legitimate question?
[01:29:06.280 --> 01:29:12.840]   Yeah, I think both from a copyright perspective it gets more interesting because all it takes is one case and then suddenly
[01:29:12.840 --> 01:29:20.920]   Trying to understand what a gigantic data set was actually trained on suddenly that could become a liability instead of just
[01:29:20.920 --> 01:29:23.480]   You know unending profit, but I also think
[01:29:23.480 --> 01:29:28.600]   It and again like i'm almost hopeful or optimistic around this you start to get more
[01:29:28.600 --> 01:29:34.840]   smaller verticalized models that are more geared towards solving specific problems again like a
[01:29:35.640 --> 01:29:37.880]   transcription model that's trained on
[01:29:37.880 --> 01:29:46.680]   HODECasts only could potentially be a lot smaller more efficient and and do that job better than a gigantic model
[01:29:46.680 --> 01:29:52.280]   So so I think it's it's if it moves in that direction. I think that's a good thing. Okay
[01:29:52.280 --> 01:29:55.240]   I obviously have a lot to learn
[01:29:55.240 --> 01:29:57.960]   about all of this
[01:29:57.960 --> 01:30:02.840]   By the way, and throughout our conversation. I keep checking to see if twitter has gotten rid of bloopers
[01:30:03.800 --> 01:30:09.160]   One thing that has happened is you can now go to x.com and it will redirect you to twitter
[01:30:09.160 --> 01:30:13.880]   elon's own decks calm since the days of paypal
[01:30:13.880 --> 01:30:17.480]   In fact somebody in our chat room is saying that paypal
[01:30:17.480 --> 01:30:22.440]   Peter teal took over from elon when elon tried to rename paypal to
[01:30:22.440 --> 01:30:25.240]   x
[01:30:25.240 --> 01:30:27.720]   So this is a long standing battle
[01:30:27.720 --> 01:30:31.000]   How do you get a one letter domain?
[01:30:31.720 --> 01:30:34.120]   Well, you had to buy it in the very early days. I think
[01:30:34.120 --> 01:30:36.840]   You can't get one now
[01:30:36.840 --> 01:30:42.360]   Are there any are there any others that are active? I actually I went to try a dot com b.com and
[01:30:42.360 --> 01:30:46.360]   At least those didn't work. And I was trying to think is this some kind of I can like
[01:30:46.360 --> 01:30:51.400]   I'm on c.com right now. It's japan's number one internet group. So
[01:30:51.400 --> 01:30:58.200]   All right.com and everyone's been saying on twitter that now zuckerberg is gonna buy y.com and named threads
[01:30:58.200 --> 01:31:00.760]   Why not calm can't be reached?
[01:31:00.760 --> 01:31:02.760]   Why not is the question
[01:31:02.760 --> 01:31:07.400]   Maybe it's because it's because in the middle of fin finalizing that purchase
[01:31:07.400 --> 01:31:14.840]   Wow, what a what a world we live in I swear it's just fascinating and that's so i'm i'm in it's wild
[01:31:14.840 --> 01:31:16.280]   Like i'm in san francisco right now
[01:31:16.280 --> 01:31:21.560]   And I just walked by the twitter ran by the twitter headquarters this morning and saw that elon has indeed
[01:31:21.560 --> 01:31:29.960]   Painted the w on the side of the building white can you believe what a nitwit i mean that is like the worst like stupid is jubin
[01:31:29.960 --> 01:31:30.840]   aisle
[01:31:30.840 --> 01:31:37.080]   Jokey embarrassing it's embarrassing. I lived here for six and a half years and to come back and just to see this
[01:31:37.080 --> 01:31:41.640]   You know kind of it's a disgrace really it's a disgrace and the and the same time he's not paying rent
[01:31:41.640 --> 01:31:43.720]   so
[01:31:43.720 --> 01:31:47.800]   They better at least paint that w blue if he's not going to pay for a rent on the building
[01:31:47.800 --> 01:31:52.440]   But who might have said he said in his midnight tweets this morning
[01:31:52.440 --> 01:31:59.000]   That he was going to chisel the twitter off the building they were just going to jack her and write right off the building
[01:31:59.960 --> 01:32:05.480]   I'd like to see he line up there with the you know the harness scaffolding and his own little chisel just taking
[01:32:05.480 --> 01:32:09.080]   I could totally say name on that are you kidding i could do see i'm doing that
[01:32:09.080 --> 01:32:14.920]   Yeah, do you think we'll never know the will we ever know the real story of like what
[01:32:14.920 --> 01:32:21.880]   Went on with these late night tweets or what he i think michael lewis is going to have to write the book and uh, i hope he does
[01:32:21.880 --> 01:32:23.080]   uh
[01:32:23.080 --> 01:32:29.320]   lewis who of course wrote money ball and so many great books about well he wrote about the finance industry was his first
[01:32:29.320 --> 01:32:34.680]   uh first book liars poker liars poker was such a classic so good
[01:32:34.680 --> 01:32:40.280]   Um, he was not gonna suggest that it was mushrooms. I won't suggest that
[01:32:40.280 --> 01:32:45.080]   I think it was though. I think you'd be right. I think you'd be exactly right
[01:32:45.080 --> 01:32:50.760]   Uh, let's take a break. We'll come back. We have a great panel. It is the big tech
[01:32:51.320 --> 01:32:56.440]   Podcast the big technology big technology. I'm sorry. I keep saying tech. Yeah. Yeah, why do you care?
[01:32:56.440 --> 01:33:02.920]   Because there's a big tech podcast and we're big if you put big tech podcast then it will get some wrong to show
[01:33:02.920 --> 01:33:05.000]   So we're big technology big technology
[01:33:05.000 --> 01:33:07.640]   Spell it out all the way, baby
[01:33:07.640 --> 01:33:12.680]   The big technology podcast and sub stack. Alex kantar wits is great to have you
[01:33:12.680 --> 01:33:16.840]   Uh ron john's great to meet you and have you ron john roy his friday
[01:33:17.320 --> 01:33:22.280]   Cohost on the show and man the interviews they get as you heard they've talked a lot yon la koon several times
[01:33:22.280 --> 01:33:24.200]   Just
[01:33:24.200 --> 01:33:28.840]   Fantastic you're you just knock it out of the park. We're glad to thank you leon here
[01:33:28.840 --> 01:33:32.920]   Our show day brought to you by collide speaking of knocking out of the park
[01:33:32.920 --> 01:33:37.480]   Collide is the thing you need a device trust solution if you're using octa
[01:33:37.480 --> 01:33:43.800]   Octa's great for authentication, but octa needs collide because collide
[01:33:45.000 --> 01:33:50.440]   ensures that if a device isn't trusted and secure it can't log into your cloud apps
[01:33:50.440 --> 01:33:57.080]   It's not enough just to have a authentication you need to know that that person is not bringing a payload in with them
[01:33:57.080 --> 01:34:03.160]   If you work in security or it and you use octa this message is for you
[01:34:03.160 --> 01:34:10.040]   There's one thing in common in all the big data breaches and hacks we've been reading about of the last few years
[01:34:10.040 --> 01:34:13.480]   It's the employees now. I'm not knocking the employees
[01:34:14.440 --> 01:34:19.560]   But it's often that's the way that bad guys get in sometimes an employee's device gets hacked
[01:34:19.560 --> 01:34:23.160]   Because maybe of unpatch software they've got oh, I don't know
[01:34:23.160 --> 01:34:27.960]   A copy of the plex server that hasn't been patched in three years on their laptop
[01:34:27.960 --> 01:34:34.600]   And then oh lo and behold somebody uses that to steal their AWS credentials and
[01:34:34.600 --> 01:34:39.560]   It's a huge cost in reputation and money to your company
[01:34:40.200 --> 01:34:45.160]   Maybe sometimes an employee would leave I don't know sensitive data in an unsecured place the ssh
[01:34:45.160 --> 01:34:49.400]   private keys in the download folder maybe
[01:34:49.400 --> 01:34:55.160]   And then of course it's practically every day a hacker breaks in using credentials fished
[01:34:55.160 --> 01:35:02.840]   From an employee now the problem isn't your end users the problem is those solutions that you're using they're supposed to prevent all of this
[01:35:02.840 --> 01:35:04.600]   They're not
[01:35:04.600 --> 01:35:09.400]   But doesn't have to be this way imagine a world just imagine this we're only secure devices
[01:35:09.880 --> 01:35:11.880]   Can access your cloud apps
[01:35:11.880 --> 01:35:15.000]   In this world fished credentials useless to hackers
[01:35:15.000 --> 01:35:21.240]   And you can manage every os windows max even linux all from a single dashboard in this world
[01:35:21.240 --> 01:35:28.760]   This is heaven you can get employees to fix their own device security issues without creating more for your it team
[01:35:28.760 --> 01:35:33.800]   Good news. You don't have to imagine it. Just start using collide
[01:35:34.520 --> 01:35:41.160]   K-O-L-I-D-E collide.com/twit booking on demand demo today see how it works for yourself
[01:35:41.160 --> 01:35:47.960]   This isn't just a must for any company that uses octa. It's the it's the second piece of the authentication
[01:35:47.960 --> 01:35:55.880]   K-O-L-I-D-E collide.com/twit we thank them so much for their support of this week in tech
