;FFMETADATA1
title=Live from Lake Tinky Winky
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=400
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100
;FFMETADATA1
title=Live from Lake Tinky Winky
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=400
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.940]   It's time for Treadt this week in Tech Plate Morris is here along with Scott Johnson
[01:07:16.060 --> 01:07:18.140]   He makes everything funny
[01:07:18.140 --> 01:07:23.500]   Yeah, in fact in uh in one of his books. He almost does read the phone book. He reads a list of like 400 hobo names
[01:07:23.500 --> 01:07:30.300]   It's fantastic. It's hysterical. John jonathan colton behind him playing music. That way. It's awesome. Yeah, amazing
[01:07:30.300 --> 01:07:33.340]   I think that's areas of my expertise. I think i'm not sure it's one of the three
[01:07:33.340 --> 01:07:39.100]   Yep, uh, that's also an audible also a great also all three of them. Um
[01:07:39.100 --> 01:07:44.140]   See now here's the problem. This is the big problem with audible. You can't it's so hard to pick a couple of books
[01:07:45.500 --> 01:07:52.940]   Here we go. You got it. Yeah, hobo names number one stu builder Dennis number two
[01:07:52.940 --> 01:07:55.660]   cholly the egg
[01:07:55.660 --> 01:07:57.100]   number three
[01:07:57.100 --> 01:07:59.100]   hold in the expert dream cluster
[01:07:59.100 --> 01:08:03.900]   Number four the risk this is like a half hour. Uh, no
[01:08:03.900 --> 01:08:09.020]   No, there's 700 names. Yeah, it is an hour long
[01:08:09.020 --> 01:08:11.660]   55
[01:08:11.660 --> 01:08:13.340]   minutes and
[01:08:13.340 --> 01:08:16.300]   50 yours free 54 seconds. Yes
[01:08:16.300 --> 01:08:19.500]   56 minutes long
[01:08:19.500 --> 01:08:22.700]   So reading the phone book this is very much yeah
[01:08:22.700 --> 01:08:28.860]   Like that music, but I would wait I would I would park my car in the driveway and listen to all of these names
[01:08:28.860 --> 01:08:32.860]   Because it's john hodge is that why you have this is just on your audible account
[01:08:32.860 --> 01:08:35.900]   I love this hobo zero
[01:08:39.340 --> 01:08:44.620]   Okay, is that areas of my expertise? Is that the book that that one's on? I'm not sure which I forget first I forget
[01:08:44.620 --> 01:08:47.020]   Anyway, I think it's the first one. It's the first one
[01:08:47.020 --> 01:08:48.620]   Uh
[01:08:48.620 --> 01:08:55.420]   Look you could see we love audible audible.com slash twit to to celebrate the release of dimension and miracles audibles having a sweepstakes
[01:08:55.420 --> 01:08:59.420]   That will send you to new york kamakan in october
[01:08:59.420 --> 01:09:05.100]   Uh, you're gonna get two free round trip airfare four nights hotel in new york city and
[01:09:05.820 --> 01:09:10.700]   Four day passes two four day passes to kamakan new york, which is coming up in october
[01:09:10.700 --> 01:09:14.860]   Uh, the way you participate in this very simple. You don't have to be a member
[01:09:14.860 --> 01:09:20.700]   You know you can of course go to audible.com slash sweeps you have it now through april 12th
[01:09:20.700 --> 01:09:27.100]   So don't waste time get over there audible dot com slash sweeps and end of that drawing for uh
[01:09:27.100 --> 01:09:31.580]   A trip for two to new york city for kamakan october
[01:09:31.580 --> 01:09:34.060]   You guys go to kamakan. Of course you do
[01:09:35.020 --> 01:09:38.460]   Yeah, I try to I you know stuff here and there i'm going to blizz con this year
[01:09:38.460 --> 01:09:41.100]   I don't have any fun. I like yeah
[01:09:41.100 --> 01:09:43.740]   So yeah, you try to get around to do these nerds by the way
[01:09:43.740 --> 01:09:48.860]   I can't let this go the first book you played the audio from it was read by the dad from lost boys
[01:09:48.860 --> 01:09:52.060]   You're kidding. Yeah, just a little nerd comment
[01:09:52.060 --> 01:09:55.900]   Edward hermit dad. Yeah. Yeah, well, no, I just wondered who that was
[01:09:55.900 --> 01:10:00.140]   That's him. Yeah, Edward hermit. It has a little david makoa thing going on
[01:10:00.140 --> 01:10:04.380]   You will recognize let me show you a picture because you're recognizing immediately he is uh
[01:10:05.020 --> 01:10:09.500]   He is well the more more recent pictures actually, uh, he doesn't look like he used to
[01:10:09.500 --> 01:10:12.540]   He's kind of he looks kind of crazy actually
[01:10:12.540 --> 01:10:19.420]   Uh, but you he's been in so yeah, he's he kind of he's played rosabelle. He has that kind of patrician
[01:10:19.420 --> 01:10:25.900]   Uh new england style. He was in the gilmore girls. A lost boys the aviator reds very well known
[01:10:25.900 --> 01:10:31.420]   I character he's great. I could love him speak. Yeah, and he has that that voice
[01:10:32.060 --> 01:10:34.060]   Yeah, yeah, he was the villain
[01:10:34.060 --> 01:10:39.420]   He was a vampire. Yeah. Wow. Hey, no spoilers spoilers shoot
[01:10:39.420 --> 01:10:42.140]   statute of limitations
[01:10:42.140 --> 01:10:48.460]   Is there such a thing really you gotta get? I don't know what was it 86? I think that maybe came out
[01:10:48.460 --> 01:10:54.460]   There should be how what is the what is the statute of limitations for spoilers? I don't know now a day use
[01:10:54.460 --> 01:10:56.940]   You know, it's because I think we're in a weird
[01:10:56.940 --> 01:10:59.260]   Medicis this is a good topic for the show by the way
[01:10:59.260 --> 01:11:03.980]   But I think we're in this weird space now where like we just started watching house of cards last night
[01:11:03.980 --> 01:11:06.220]   Oh, yeah, I can spoil that for you big time
[01:11:06.220 --> 01:11:10.940]   Yeah, and you know people I think are becoming very aware that we're not living in a
[01:11:10.940 --> 01:11:14.380]   Living a once broadcast everyone saw it last night
[01:11:14.380 --> 01:11:17.260]   Everyone knows who shot jr around the water cooler now
[01:11:17.260 --> 01:11:22.540]   Everyone kind of just assumes you haven't seen it yet. Oh, by the way, have you started watching madmen?
[01:11:22.540 --> 01:11:27.980]   Have you started watching house of cards yet? So, um, I don't know. I don't think there is a statute anymore
[01:11:27.980 --> 01:11:33.260]   I think you gotta even a few years like if you haven't caught up after five years five years to me is the cutoff
[01:11:33.260 --> 01:11:35.740]   If you're not a lawyer or admin
[01:11:35.740 --> 01:11:38.620]   Right
[01:11:38.620 --> 01:11:42.460]   Now because now you've got okay. Have you seen house of cards yet?
[01:11:42.460 --> 01:11:42.860]   Right?
[01:11:42.860 --> 01:11:46.620]   No, because I've got four billion other series. I haven't caught up on yet
[01:11:46.620 --> 01:11:52.780]   And back in the day you had dallas and you had three other things that dallas competed with and probably back then two other things
[01:11:52.780 --> 01:11:56.860]   It competed with and so you only had the one thing to talk about the next day and now there's so much
[01:11:57.020 --> 01:11:59.820]   Just too much there's is tv better than ever
[01:11:59.820 --> 01:12:03.980]   I think it is. I I really do I really think tv is better
[01:12:03.980 --> 01:12:10.140]   It's amazing rattle off the names justified one of the best shows on television right season four just wrapped up fantastic
[01:12:10.140 --> 01:12:15.020]   I don't know that there's a better character than rail and givens anywhere on television. I haven't seen any of those
[01:12:15.020 --> 01:12:20.380]   That's great now. I can add that to my list. Listen clay and it's based on an award leonards
[01:12:20.380 --> 01:12:25.340]   Read and if you get a chance you can read them separate from it. You don't even need to read them at the same time
[01:12:25.420 --> 01:12:28.300]   There's another great audible books railin givens
[01:12:28.300 --> 01:12:33.580]   From elmore leonard me the character is based on an elmore leonard short story. I love elmore leonard
[01:12:33.580 --> 01:12:38.780]   So I know i'm oh my god. Yeah, and it's hilarious. He's a fallible, you know now
[01:12:38.780 --> 01:12:41.660]   Here's the tech here's the cord cutter problem though
[01:12:41.660 --> 01:12:46.140]   How do I find out where I could see that it's probably in various places right?
[01:12:46.140 --> 01:12:50.060]   I could probably buy it on iTunes maybe on amazon maybe vdo the new rdo
[01:12:50.060 --> 01:12:53.500]   Thing, but you don't know there's needs to be a way to search for that
[01:12:54.460 --> 01:12:59.340]   Right so that when we last year started using that app called can you stream
[01:12:59.340 --> 01:13:04.620]   Dot it can you stream dot it and it's an app for ios and android
[01:13:04.620 --> 01:13:09.660]   And yeah, you plug in what you're looking for and it'll show you on what services it's available
[01:13:09.660 --> 01:13:12.940]   You want to run amazon prime is it free on amazon prime?
[01:13:12.940 --> 01:13:13.420]   Oh, that's cool
[01:13:13.420 --> 01:13:19.100]   You know the other day I was about to buy some justice league unlimited episodes that I had already started investing in for my son
[01:13:19.100 --> 01:13:23.020]   And then someone tweeted me. I would have known about it otherwise and said hey by the way
[01:13:23.900 --> 01:13:28.060]   There's this just as league unlimited the original justice league series
[01:13:28.060 --> 01:13:33.100]   Batman brave and the bold are all now available streaming on netflix for free and I was gonna buy some of it
[01:13:33.100 --> 01:13:35.820]   That's also on the web can I can I stream dot it?
[01:13:35.820 --> 01:13:37.980]   Oh, it's great
[01:13:37.980 --> 01:13:42.380]   By the way justified is available at least the pilot for free
[01:13:42.380 --> 01:13:45.260]   on amazon prime
[01:13:45.260 --> 01:13:49.580]   And it's very rare that a show will suck me in on the very first episode and justified
[01:13:49.660 --> 01:13:55.740]   Pilot will do that to you just like the house of cars first episode will suck you in if you are not a fan of justified after the first
[01:13:55.740 --> 01:13:59.660]   Episode something you're not hooked up, right? Okay. I don't claim and I know this is right for real house
[01:13:59.660 --> 01:14:05.340]   Something's going on we were separated at birth or something. That is the best show on tv right now and it really
[01:14:05.340 --> 01:14:10.380]   If you're a fan of westerns, you're gonna get something you want out of the show if you're a fan of
[01:14:10.380 --> 01:14:14.780]   I don't know just good writing and dialogue like it isn't it isn't an insanely good
[01:14:14.780 --> 01:14:17.420]   television program and um
[01:14:17.420 --> 01:14:21.500]   Yeah, I echo everything you just said it's everyone should bought that show so good
[01:14:21.500 --> 01:14:24.140]   But even from there then you go to down to nabby, right?
[01:14:24.140 --> 01:14:30.380]   So everyone's talking about down nabby. So we finally started watching that about now. There's a big big spoiler on that one
[01:14:30.380 --> 01:14:33.020]   Oh sure. Yeah, it's really good too
[01:14:33.020 --> 01:14:37.980]   You know, I still haven't seen the crying game
[01:14:37.980 --> 01:14:42.380]   Because I it was spoiled for me. I don't want to see it because it was spoiled for me
[01:14:43.660 --> 01:14:49.900]   No, that's so how long ago was that that there is a statue to 92. Okay, so it's 21 years
[01:14:49.900 --> 01:14:56.940]   Yeah after 21 years. Okay, but but no sooner. Yeah, it was a bullet. There you go
[01:14:56.940 --> 01:14:59.900]   Yeah
[01:14:59.900 --> 01:15:01.900]   The Maltese falcon up it
[01:15:01.900 --> 01:15:07.820]   Maltese falcon is not really a bird. Okay. That's all I'm gonna say rose bud
[01:15:07.820 --> 01:15:10.940]   Citizen cane a slayer
[01:15:11.260 --> 01:15:14.620]   Oh, I just ruined a movie for you. Oh, the guys upset in the back
[01:15:14.620 --> 01:15:18.060]   For crying out loud
[01:15:18.060 --> 01:15:23.020]   But all this I mean what else down to nabby justified the wire
[01:15:23.020 --> 01:15:27.180]   I mean every every h hbo series, you know
[01:15:27.180 --> 01:15:29.420]   bathrooms
[01:15:29.420 --> 01:15:33.820]   TV has gotten much better. I don't understand it because I don't have enough time to watch all this crap
[01:15:33.820 --> 01:15:39.100]   Life has gotten life has gotten very very uh, there's a lot to do now
[01:15:39.420 --> 01:15:43.580]   If you're bored if you're bored in the 21st century, you're not paying attention
[01:15:43.580 --> 01:15:48.380]   Anytime there's a story about the way in which people are trying to cut capel
[01:15:48.380 --> 01:15:54.220]   They can't yet do it because they can't do x y and z or they this show is here. They're trying to get it here
[01:15:54.220 --> 01:16:00.940]   I'm fascinated by this because I think we're on the verge of a major major shift in the next few years and the way in which we consume content
[01:16:00.940 --> 01:16:05.180]   Uh, so to me very few topics are as interesting as the living room, right?
[01:16:05.180 --> 01:16:08.300]   It's the it's the hours you spend with your family at night watching television
[01:16:08.300 --> 01:16:11.340]   You gather around this particular place and I think it's a mess
[01:16:11.340 --> 01:16:15.100]   It's a muddled mess right now and I think we're on the verge
[01:16:15.100 --> 01:16:19.900]   We're we're on a tipping point. We're approaching that tipping point when how we're going to be able to consume all of this
[01:16:19.900 --> 01:16:26.380]   I know like people like to think that somehow the the apple tv is going to ride in on the white horse and save everyone
[01:16:26.380 --> 01:16:29.180]   I want the way in which we're going to be able to consume content
[01:16:29.180 --> 01:16:33.260]   I've given up on i've given up on on all of that. I you know
[01:16:34.140 --> 01:16:38.540]   By the way, this is another topic, but i'm starting to really think apple is uh is over
[01:16:38.540 --> 01:16:45.980]   It really is over. There's not there's no magical apple tv. There's nothing magical even an i watch it isn't magical. It's over
[01:16:45.980 --> 01:16:50.060]   Well, I think there's a difference between saying it's over and there's no apple tv
[01:16:50.060 --> 01:16:55.340]   Right. I I know I think I think that all the magic sauce is gone
[01:16:55.340 --> 01:17:03.100]   Well, we're in that cycle, right? It's gone apple always has the cycle. It's gone. Well, maybe it's only been gone when steve jobs isn't there but
[01:17:03.900 --> 01:17:09.660]   Well, I got bad news for you. He ain't coming back. I know it's it's not like a marvel hero. You can bring him back
[01:17:09.660 --> 01:17:14.220]   It's it is it is a little bit weird in this particular moment, but some would argue
[01:17:14.220 --> 01:17:20.380]   Everyone's at a transitional point right now. That's all about iteration. There is no innovation for a little bit until the next big thing
[01:17:20.380 --> 01:17:22.860]   Will they be the next big thing?
[01:17:22.860 --> 01:17:26.540]   If that is very good knows what that you know everyone people don't know right?
[01:17:26.540 --> 01:17:30.940]   It's this sort of argument that people don't know what they want until suddenly they're presented with it, right?
[01:17:30.940 --> 01:17:35.500]   People were writing off the iPad remember after the iPad event everyone was saying what really it's just a lot
[01:17:35.500 --> 01:17:41.660]   I'm coming from is it coming from apple from google from facebook or somebody we've never heard of like, you know, maybe this
[01:17:41.660 --> 01:17:48.060]   You know gesture thing. I mean the leep Packard Bell is not I can guarantee you
[01:17:48.060 --> 01:17:52.940]   The source it's nice to think that it comes from a startup, right?
[01:17:52.940 --> 01:17:56.140]   It's nice to think that that happens but apple very often, you know
[01:17:56.540 --> 01:18:01.660]   Takes technology a few years down the line once it's been tried out in the marketplace and gives it a shot
[01:18:01.660 --> 01:18:06.380]   But apple has all of these suppliers tied up, you know apple has these partnerships
[01:18:06.380 --> 01:18:12.140]   And so it's very difficult for some sort of startup to come in with a pebble watch and shake things up playing with the pebble watch last week
[01:18:12.140 --> 01:18:13.740]   I was
[01:18:13.740 --> 01:18:17.260]   Wohfully disappointed. Yeah, I could have told you that
[01:18:17.260 --> 01:18:22.300]   Yeah, I ordered one and still have a gut, but I could have told you that you knew it was yeah, it's
[01:18:23.820 --> 01:18:27.500]   Occasionally like the oculus rift is is the fine finally
[01:18:27.500 --> 01:18:30.700]   We have confirmation that VR can work and that it's cool
[01:18:30.700 --> 01:18:36.780]   And that we've got other technologies in place that have killed things like lag and other issues that we're gonna always have with these headsets
[01:18:36.780 --> 01:18:38.940]   And it's finally this viable affordable
[01:18:38.940 --> 01:18:41.100]   idea
[01:18:41.100 --> 01:18:46.300]   I think it comes in forms of things like that those are the things that come along and go oh the way we've been doing things
[01:18:46.300 --> 01:18:48.380]   Like tablets are good example
[01:18:48.380 --> 01:18:51.180]   That's going to change the way I compute or consume or whatever
[01:18:51.660 --> 01:18:57.900]   And I don't know who the next guy is but oculus rift is just a dude who got a lot of good backing and a big kickstarter success
[01:18:57.900 --> 01:19:00.540]   And but it doesn't change the fact that it came from a dude
[01:19:00.540 --> 01:19:04.140]   There's no reason Sony or a million other companies shouldn't have had that thing on the market first
[01:19:04.140 --> 01:19:06.540]   And they all have garbage for VR. Yeah
[01:19:06.540 --> 01:19:11.580]   No, I think the iPad was a revolution that smart the uh iphone was a revolution
[01:19:11.580 --> 01:19:16.620]   But I wouldn't expect anything at that revolutionary from apple again. Maybe google glass will be
[01:19:16.620 --> 01:19:19.420]   I think oculus rift is a very interesting
[01:19:19.900 --> 01:19:23.020]   Product from everything I've heard I haven't tried it. You guys have tried it obviously
[01:19:23.020 --> 01:19:26.540]   Well, I've never mind as we have a beatle man. I want one
[01:19:26.540 --> 01:19:33.820]   Yeah, so you've used it. I'm curious. How how was the were you dizzy? Did you get sick? Like what's the
[01:19:33.820 --> 01:19:39.740]   Well, my eyes are my eyes have been progressively getting worse, but I you know it was
[01:19:39.740 --> 01:19:42.220]   awe inspiring
[01:19:42.220 --> 01:19:45.900]   I mean, I just you it reminded me that you guys see the movie the surrogate's
[01:19:45.900 --> 01:19:48.620]   based on the great comic book
[01:19:49.580 --> 01:19:51.580]   Is the Bruce Willis movie
[01:19:51.580 --> 01:19:57.260]   Chad, so yeah, you basically sit in this like pod and you can be as obese and
[01:19:57.260 --> 01:20:03.500]   Slovenly as you want to be and you basically put on an oculus rift and you get to live the life that you should be living
[01:20:03.500 --> 01:20:09.660]   That's what I've been waiting for women. I'm going in the nursing home right at the same time as that technology comes out
[01:20:09.660 --> 01:20:12.700]   Right. It's like lucid dreaming
[01:20:12.700 --> 01:20:18.460]   I mean you can go out, you know and just live the life you want to live through the oculus rift and what's who's to say?
[01:20:18.620 --> 01:20:21.980]   What's reality and what's fake and you kind of feel like that you're like? Oh my god
[01:20:21.980 --> 01:20:28.140]   This is really what it's like and it's the same feeling our first had the first time I ever played like wolfenstein in 3d
[01:20:28.140 --> 01:20:35.420]   I'm going down a hallway. Yeah, well down a hallway and shooting Nazis. That was pretty amazing going down the hallway
[01:20:35.420 --> 01:20:39.820]   So but how much suspension of disbelief did you have to do with the oculus rift?
[01:20:39.820 --> 01:20:43.660]   Was it really that vivid or are you saying hey? It's pretty good because I think I'm wearing a helmet
[01:20:43.660 --> 01:20:47.180]   No, it is pretty vivid. It is really good and
[01:20:47.820 --> 01:20:51.340]   Yeah, it is and I wonder for you know, you don't get much time
[01:20:51.340 --> 01:20:56.300]   I wonder how much like a prolonged period of time would I start to feel like queasy and what I come out of it?
[01:20:56.300 --> 01:20:57.740]   You know because
[01:20:57.740 --> 01:21:01.820]   Was like seven years old you're not supposed to have kids go see 3d movies right like this right?
[01:21:01.820 --> 01:21:04.460]   I think this started when it's like seven years old and that's why the
[01:21:04.460 --> 01:21:07.980]   I can only play bio shocking infinite for 45 minutes before I vomit
[01:21:07.980 --> 01:21:12.540]   But it's such a good game that an hour later. I'm playing it again
[01:21:13.340 --> 01:21:17.100]   Yeah, it is true when you play call of duty or names games where it's immersive
[01:21:17.100 --> 01:21:19.740]   Yeah in front of a big screen you get a little woozy
[01:21:19.740 --> 01:21:26.140]   They're recommending so there's two there's two things to play at play here. They're recommending you don't play for more than 10 or 15 minutes at a time
[01:21:26.140 --> 01:21:28.940]   What that's that's what they're saying at first till you get used to it
[01:21:28.940 --> 01:21:32.060]   Because it will cause kind of some of this disorientation
[01:21:32.060 --> 01:21:36.780]   But the other problem is there are ways to play it where the head tracking is your movement depends on the game, right?
[01:21:36.780 --> 01:21:41.900]   But there are other games where the mouse or the controller are what are controlling your left or right or your up or down
[01:21:42.540 --> 01:21:48.220]   And when you're moving on those axes with the controller yet, you're so immersed and it isn't your head that's doing it
[01:21:48.220 --> 01:21:51.580]   They're having people get like violently ill from that
[01:21:51.580 --> 01:21:56.300]   That experience hey and you know, you're in a helmet. So when you
[01:21:56.300 --> 01:21:59.020]   when you hear all
[01:21:59.020 --> 01:22:03.580]   Well, it's just eyes so you could be very realistic. Yeah, so I'm a backer
[01:22:03.580 --> 01:22:06.460]   I I don't know when do we get when do we backers get ours? I don't know
[01:22:06.460 --> 01:22:11.340]   All of the you should be getting actually depends on when you got in but you should be getting them pretty quick most of the
[01:22:11.900 --> 01:22:15.020]   Dev kit versions of this which really it is a dev kit at this point
[01:22:15.020 --> 01:22:20.860]   But it is shipping to early backers and people have already gotten them so it's so excited next few weeks
[01:22:20.860 --> 01:22:24.140]   Yeah, well, I'll be wearing it for the next to it for sure
[01:22:24.140 --> 01:22:27.580]   Barzan all of your deaths
[01:22:27.580 --> 01:22:34.140]   So you could you could mentally be on a beach, but still doing a show. I'm already doing that
[01:22:34.140 --> 01:22:41.180]   I wouldn't be the different. Oh, I'm already doing that. I got sand up my butt right now
[01:22:41.900 --> 01:22:46.220]   So so no, that's I'm excited and you're right. I think I think innovation
[01:22:46.220 --> 01:22:52.300]   Uh comes in unpredictable ways and and and often the best innovations are complete paradigm shifts
[01:22:52.300 --> 01:22:57.340]   They're discontinuities that are unpredictable and I think they rarely come from big companies
[01:22:57.340 --> 01:23:04.460]   Yeah, I don't know. I was saying I was making my Beatles analogy because I there's we want that sort of
[01:23:04.460 --> 01:23:07.260]   The guy that we're counting out to come back right?
[01:23:07.660 --> 01:23:11.980]   Beatles have their they're never reunited. They never did they're big american
[01:23:11.980 --> 01:23:17.980]   They're big american triumph right and then they kind of then they kind of fizzled a little bit and then they came back with a rubber
[01:23:17.980 --> 01:23:20.700]   Soul and those in those songs, you know top 10
[01:23:20.700 --> 01:23:26.060]   You know number one hits number one hits and then everyone ran them off the thought the Beatles are done and the press was writing about
[01:23:26.060 --> 01:23:29.420]   They're all done. They're gone. They're gone, but they were all the the entire time
[01:23:29.420 --> 01:23:33.980]   They were in the studio recording sergeant peppers and everyone's like beetles are done. They're not touring anymore
[01:23:33.980 --> 01:23:35.740]   They stopped touring they're gone. They're gone. They're gone
[01:23:35.740 --> 01:23:39.020]   And then suddenly they really sergeant peppers everyone's like holy crap
[01:23:39.020 --> 01:23:40.300]   Why is this?
[01:23:40.300 --> 01:23:45.660]   Paul and Ringo Paul and Ringo ever just grab a donut or something just hang out. They got together for something
[01:23:45.660 --> 01:23:47.420]   They played together for something
[01:23:47.420 --> 01:23:50.460]   Uh, well, you know, I saw him at the it was at the microsoft
[01:23:50.460 --> 01:23:55.100]   What was it the connect launch at e3?
[01:23:55.100 --> 01:23:58.620]   That's all the Ringo walk out on the stage
[01:23:58.620 --> 01:24:05.420]   No wonder security was locked down totally. Yeah, Paul and Ringo walk down. They wait at a hello
[01:24:05.420 --> 01:24:12.780]   And remember that you know the Beatles was it good to a rock band or um, they launched it there. Yeah, we're probably rock band. Yeah. Yeah
[01:24:12.780 --> 01:24:19.340]   Huh rock band Beatles. I remember that. Yeah, that's another example of the connect by the way is another example of
[01:24:19.340 --> 01:24:24.700]   Of innovation or could have been truly innovative. It just wasn't there. Right
[01:24:24.700 --> 01:24:27.500]   Well, I think Oculus Rift
[01:24:27.500 --> 01:24:30.540]   So this is something that we've been wearing these VR helmets for 20 years
[01:24:30.540 --> 01:24:34.940]   But now that the technology's finally caught up they actually can do something
[01:24:35.340 --> 01:24:37.660]   Yeah, you have one-to-one movement and you've got you know
[01:24:37.660 --> 01:24:44.380]   All the stuff that we've been doing with our phones with with motion and 360 degree motion and stuff those have all contributed to this
[01:24:44.380 --> 01:24:49.660]   So it is in a way. It's iterative, but it's also kind of innovative and those sorts of things really excite me
[01:24:49.660 --> 01:24:52.220]   They usually they're usually usually around gaming
[01:24:52.220 --> 01:24:54.620]   It's usually where these big innovations seem to pop for me
[01:24:54.620 --> 01:24:59.180]   The big question is will the Oculus Rift become a standard display type for a lot of things that we do
[01:24:59.180 --> 01:25:01.740]   That's really an untold story yet
[01:25:01.740 --> 01:25:05.740]   And usually it's the porn industry that has to determine that anyway, so let's see how that goes
[01:25:05.740 --> 01:25:09.260]   Wow, that'll be interesting. Oh, will it though? Yeah
[01:25:09.260 --> 01:25:14.220]   I don't know. I mean you see the line at CES for the Oculus Rift. I mean it was
[01:25:14.220 --> 01:25:19.580]   What is one woman two women in the eye? It's one of them said no
[01:25:19.580 --> 01:25:23.180]   Boys blue ray eyes are here. Yes
[01:25:23.180 --> 01:25:26.620]   Why did they go away? My eyes are up here
[01:25:26.620 --> 01:25:30.860]   All right, the Oculus Rift no one would know no one knows you keep looking them
[01:25:30.860 --> 01:25:33.180]   We're gonna take a break
[01:25:33.180 --> 01:25:39.180]   Clayton Morris is here from Fox and Friends and from frog pants.com Scott Johnson
[01:25:39.180 --> 01:25:44.620]   I apologize for those of you who tuned in for Tim Stevens. We just really couldn't keep him online
[01:25:44.620 --> 01:25:50.060]   I guess the windstorm was affecting his bandwidth. So we'll get Tim back from Engadget another time
[01:25:50.060 --> 01:25:54.220]   I'm gonna play the trailer in a moment for funnier dies Steve Jobs movie
[01:25:54.220 --> 01:25:56.460]   That'll be fun
[01:25:56.460 --> 01:25:58.380]   And we'll talk about the iPhone 5
[01:25:58.380 --> 01:26:00.380]   I mean if you think Apple's still innovative
[01:26:00.380 --> 01:26:03.420]   My question for you. I'll give you guys some time to think about it
[01:26:03.420 --> 01:26:07.180]   What could the iPhone 5s have that would suddenly change
[01:26:07.180 --> 01:26:10.140]   everything
[01:26:10.140 --> 01:26:10.860]   Let's talk about it
[01:26:10.860 --> 01:26:15.740]   But first a word from squarespace.com the secret behind exceptional websites
[01:26:15.740 --> 01:26:22.060]   If you visit squarespace.com right now, you can try it out absolutely free you get all the features of squarespace
[01:26:22.060 --> 01:26:28.140]   Just by for two weeks without a credit card just by clicking get started you can try the templates
[01:26:28.380 --> 01:26:30.780]   You can try the beautiful mobile responsive design
[01:26:30.780 --> 01:26:35.020]   It's hosting plus the best software in the world to make a website
[01:26:35.020 --> 01:26:37.180]   If you're a blogger, you'll love it
[01:26:37.180 --> 01:26:42.060]   If you're a photographer or an artist you'll love it because it's a great way to kind of do a portfolio
[01:26:42.060 --> 01:26:48.380]   And now if you're interested in selling you'll love it because squarespace has just added ecommerce
[01:26:48.380 --> 01:26:50.460]   This is so exciting
[01:26:50.460 --> 01:26:52.780]   To the squarespace platform
[01:26:52.780 --> 01:26:57.020]   Every existing squarespace type plate has the ability to add ecommerce
[01:26:57.260 --> 01:27:00.700]   You'll be taking credit cards in minutes. You'll be able to sell not only
[01:27:00.700 --> 01:27:04.860]   Digital goods like mp3s and ebooks, but physical goods as well
[01:27:04.860 --> 01:27:09.420]   In fact, they'll even handle the tax the calculated at all
[01:27:09.420 --> 01:27:12.860]   They'll set up your merchant account in 30 seconds using stripe
[01:27:12.860 --> 01:27:18.540]   Just fantastic and there are no squarespace and post transaction fees. It's very simple
[01:27:18.540 --> 01:27:21.500]   It's part of the business plan get this ecommerce
[01:27:21.500 --> 01:27:23.900]   $24 a month with the yearly plan
[01:27:23.900 --> 01:27:26.700]   $30 a month for month to month. That's it
[01:27:27.180 --> 01:27:28.220]   That's it
[01:27:28.220 --> 01:27:29.580]   I know
[01:27:29.580 --> 01:27:33.900]   Shopping cart everything all the functionality if you've been thinking this is time to start a business
[01:27:33.900 --> 01:27:37.660]   This is time to try this. This would be a great way to do it unlimited SKUs
[01:27:37.660 --> 01:27:42.300]   unlimited bandwidth unlimited content storage
[01:27:42.300 --> 01:27:48.860]   You they've even got inventory management coupons you create coupons
[01:27:48.860 --> 01:27:53.580]   Um, so, you know, you're on the show and you say hey, I want to make a special deal
[01:27:54.220 --> 01:27:58.620]   Uh for people watching the show make it easy for them to get 20% off
[01:27:58.620 --> 01:28:00.540]   You can do it while you're sitting here talking to us
[01:28:00.540 --> 01:28:07.900]   Gotta tell you squarespace. They're not gonna know the park visit squarespace.com try it free if you decide you want to buy
[01:28:07.900 --> 01:28:12.460]   Um, we got a special deal for you will give you 10% off your first purchase
[01:28:12.460 --> 01:28:15.260]   Which is why it's probably worth buying the annual plan
[01:28:15.260 --> 01:28:20.940]   Uh, but you have to use our offer code twit and the number four for the month of april twit for
[01:28:21.500 --> 01:28:27.820]   squarespace.com offer code twit for this is time to try squarespace free for two weeks
[01:28:27.820 --> 01:28:30.380]   It is amazing
[01:28:30.380 --> 01:28:34.300]   Tom merit is here. We're gonna find out what's coming up in the week ahead, Tom
[01:28:34.300 --> 01:28:40.780]   Hey, lee, oh congratulations on the 400th episode of twit here's thank you
[01:28:40.780 --> 01:28:42.700]   And the things will be keeping an eye on in the week ahead
[01:28:42.700 --> 01:28:46.700]   Uh monday april 8th the chrome book pixel with lte
[01:28:47.100 --> 01:28:54.380]   Begins to ship also messenger transitions into skype and mip cube happens at mip tv
