;FFMETADATA1
album=This Week In Tech 2012
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/343
encoded_by=iTunes v7.0
genre=Podcast
title=TWiT 343: Small Dog Big Phone
track=343
date=2012
encoder=Lavf58.76.100
;FFMETADATA1
album=This Week In Tech 2012
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/343
encoded_by=iTunes v7.0
genre=Podcast
title=TWiT 343: Small Dog Big Phone
track=343
date=2012
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.760]   It's time for Twit this weekend tech white Silverman joins John C. Devorak and Jolie Odell
[00:45:09.540 --> 00:45:17.220]   This is a terrible joke. It's not a joke. It's actually true sister sister. I might not I'm not Frank Frank
[00:45:17.220 --> 00:45:22.300]   Go back me up Frank was here also sister Jody was here and she posed with the dog cuz they're wearing a shame outfit
[00:45:22.300 --> 00:45:25.060]   That's so cute G a z e l l e
[00:45:25.060 --> 00:45:29.160]   Recycled easy way don't sell it cuz sell it really is a great deal
[00:45:29.160 --> 00:45:33.300]   And I just I just love them and I know you will too. So give him a try today
[00:45:33.300 --> 00:45:37.180]   You almost lost your spot John the dog was saying some sassy things
[00:45:37.180 --> 00:45:40.620]   Jumped yes, the dog and I have a having issue
[00:45:40.620 --> 00:45:47.960]   Either that or he likes the smell of your bottom. I don't think so well he might so look at this
[00:45:48.260 --> 00:45:52.540]   That is what you have to do you do it come on do do do do you know what they call it?
[00:45:52.540 --> 00:45:57.980]   They call it CW a key. Yeah, it's a Morse code that you ever see the speed keys or you should get a
[00:45:57.980 --> 00:46:03.740]   Yeah, yeah, are you gonna learn Morse code cuz you're a ham many people don't know this but John is a ham as well
[00:46:03.740 --> 00:46:08.180]   Are you gonna learn the Morse? I think I should I think if there's a real because if you're like in jail
[00:46:08.180 --> 00:46:11.180]   You got a tap on the thing and that's you know believe it or not
[00:46:11.180 --> 00:46:14.100]   That's the example when they say you should learn Morse code
[00:46:14.100 --> 00:46:18.300]   They tell the story of some guy was like stuck in a Spanish jail and there was a something
[00:46:18.300 --> 00:46:20.060]   There's a fire something they didn't know he was in there
[00:46:20.060 --> 00:46:25.180]   Oh, no, maybe it was an earthquake. No, that's what it was was an earthquake and he tapped out on the pipe and they found him
[00:46:25.180 --> 00:46:31.340]   So there you go. So now you're a prince your way ahead of me on this. What's the got one of these? Oh, yeah, absolutely
[00:46:31.340 --> 00:46:37.420]   This one what is your radio emergency service California rescue communications as you know
[00:46:37.420 --> 00:46:40.880]   Hands are very focused on emergency services. Yeah
[00:46:41.860 --> 00:46:46.440]   Hands are very focused on emergency services and we have a really great ham shack here
[00:46:46.440 --> 00:46:53.420]   So we absolutely are participants and all of that and if there is if the world comes to an end you and Adam should come here
[00:46:53.420 --> 00:46:59.020]   No problem. This place is a bomb shelter. You didn't know that but we have reinforced it
[00:46:59.020 --> 00:47:03.580]   And also it's brick actually do is get across the Golden Gate Bridge, which should be no
[00:47:03.580 --> 00:47:10.500]   Actually, you you can't well you can't go up and around
[00:47:11.300 --> 00:47:16.260]   But there's another bridge up there on where to go so I could go out to Rio Vista and
[00:47:16.260 --> 00:47:18.820]   Then all the way around the Delta
[00:47:18.820 --> 00:47:24.780]   I probably take a barge and then come over the other side and then I can come down that black whatever that thing is
[00:47:24.780 --> 00:47:28.420]   The middle of nowhere's and then come up I can make it take about three days
[00:47:28.420 --> 00:47:32.700]   Actually after major disasters those are the kinds of things that happen
[00:47:32.700 --> 00:47:36.860]   I mean people do have to do that and we know there's gonna be a bad earthquake sometimes
[00:47:36.860 --> 00:47:38.860]   I've always told you from California originally
[00:47:39.900 --> 00:47:42.140]   More or less so you're ready for the bad earthquake
[00:47:42.140 --> 00:47:50.100]   Ready. Yeah as ready as you can be. Hey John. Come on here. I get so dark. It's called nighttime. No
[00:47:50.100 --> 00:47:57.700]   What do you mean it gets so dark? Oh, you mean we get emotional start talking about earthquakes and doom
[00:47:57.700 --> 00:48:02.660]   Is that true really first time I came on we started talking about someone who would just pass oh it was Steve Jobs
[00:48:02.660 --> 00:48:08.820]   Bless his heart. He had just passed and I came on and you opened with that and I was like well this could only get better
[00:48:09.820 --> 00:48:12.500]   What's a big story in tech?
[00:48:12.500 --> 00:48:15.220]   Terry's I'm a natural pessimist
[00:48:15.220 --> 00:48:23.700]   Who says this guy like I'm a natural pessimist 18 t all right this picking of dark this pisses me off
[00:48:23.700 --> 00:48:27.260]   Yeah, the dark empire this is dark so 18 t
[00:48:27.260 --> 00:48:30.900]   Promised am I wrong?
[00:48:30.900 --> 00:48:34.660]   Promised that they would continue to offer unlimited
[00:48:35.300 --> 00:48:42.020]   mobile bandwidth for people who have purchased it with their original off phones and many of us including I have it
[00:48:42.020 --> 00:48:44.620]   how are still on this plan of unlimited and
[00:48:44.620 --> 00:48:50.900]   First they throttle so we get we talked to this guy last week Matt's back a rally who sued him got
[00:48:50.900 --> 00:48:55.000]   $850 a small claims court. We talked about it last week. So what's their response?
[00:48:55.000 --> 00:48:58.260]   Alright screw you no more unlimited
[00:48:58.260 --> 00:49:02.300]   They pull that's not
[00:49:02.300 --> 00:49:04.500]   That's not what they said that's not
[00:49:04.900 --> 00:49:10.140]   The the wall that Wall Street Journal story kind of cast it probably and not the right way it says 18
[00:49:10.140 --> 00:49:14.740]   This is another bad headline from the journal AT&T ends all you can eat. That's not what they did
[00:49:14.740 --> 00:49:20.420]   That's not what they did because you can what happened was AT&T had been throttling users
[00:49:20.420 --> 00:49:24.100]   who had fallen into the top 5% of
[00:49:24.100 --> 00:49:28.420]   Of data users which doesn't take doesn't take much effect
[00:49:30.420 --> 00:49:36.420]   As more people use it that level was coming down so we started hearing from people who were
[00:49:36.420 --> 00:49:42.940]   Hitting it at two gigabytes right which is less than the three gigabytes that they sell now for 30 bucks
[00:49:42.940 --> 00:49:48.820]   Same price you pay for that so that's still unlimited they argue but it's like through a straw right and
[00:49:48.820 --> 00:49:52.380]   You want and they said of this double bucks
[00:49:52.380 --> 00:49:59.900]   They said it was for network management, but it's clearly trying to drive people to offer that to the tier
[00:49:59.900 --> 00:50:04.060]   They don't have the progressive its passive. Very nice. That's exactly what it is
[00:50:04.060 --> 00:50:10.780]   And so what they've done now is they've gotten so much heat that they've essentially moved the bar up to three gigabytes
[00:50:10.780 --> 00:50:13.900]   Which is at parity with thirty dollar?
[00:50:13.900 --> 00:50:21.460]   So a dollar tiered amount so they take away the fairness issue and people will not get there as quickly
[00:50:21.460 --> 00:50:24.980]   So they won't have as much screaming but it's still unlimited
[00:50:25.380 --> 00:50:30.820]   But it is unlimited through a soda straw when you get past three and we talked about this last week
[00:50:30.820 --> 00:50:32.340]   I think you were here John
[00:50:32.340 --> 00:50:39.500]   There's ample evidence that the that this kind of throttling does not help you with network congestion
[00:50:39.500 --> 00:50:46.940]   No, not at all. So it I think it's pretty clear. I mean the evidence is just mean spirited it is it's yeah
[00:50:46.940 --> 00:50:48.380]   They're just
[00:50:48.380 --> 00:50:52.300]   Bastards there you have it and that's from Leo la Porte
[00:50:53.260 --> 00:50:58.260]   Okay, okay any time a company makes a decision that doesn't seem to make sense
[00:50:58.260 --> 00:51:02.060]   We follow the money. Well, of course, there's money involved
[00:51:02.060 --> 00:51:08.940]   Well, if there is they're going to have to ask people to pay more what makes a company a bastard is when they promise something
[00:51:08.940 --> 00:51:12.220]   To get your money and then decide
[00:51:12.220 --> 00:51:15.620]   You can't believe someone that you're giving your money to to keep their promises
[00:51:15.620 --> 00:51:19.940]   You can only count on them to want more money. Yeah. Well, that's not a good
[00:51:19.940 --> 00:51:26.180]   America man welcome to America. She says we're dark. Yeah, really what a negative attitude
[00:51:26.180 --> 00:51:31.420]   So Verizon my motto is if you have nothing nice to say don't say anything at all
[00:51:31.420 --> 00:51:34.300]   More's code
[00:51:34.300 --> 00:51:39.100]   All right, so so for rise it in the fight Verizon does throttling right?
[00:51:39.100 --> 00:51:46.900]   They have the same policy. They have a top 5% policy to but what they do is they don't invoke it until you're actually at
[00:51:47.500 --> 00:51:53.460]   Network tower that is congested. I'll you while you're connected to that or while it's congested
[00:51:53.460 --> 00:51:58.300]   And then when situation normalizes your speed comes back or if you moved to a different tower
[00:51:58.300 --> 00:52:03.420]   That's a good idea. That's how you manage your network not the way AT&T is doing it
[00:52:03.420 --> 00:52:07.380]   So but it makes perfect sense and it's so straightforward
[00:52:07.380 --> 00:52:14.580]   Well, and it may be that that with the way AT&T is doing it is technologically limited in other words
[00:52:14.580 --> 00:52:18.980]   They can't do what Verizon is doing, but what's interesting is that T-Mobile
[00:52:18.980 --> 00:52:25.940]   Does almost the exact same thing AT&T does but what they do is they say we'll sell you five gigabytes
[00:52:25.940 --> 00:52:28.860]   And when you get to five gigabytes, we won't charge you over
[00:52:28.860 --> 00:52:34.100]   But we will throttle you and they say that up front right and it's different when you say it up front and say okay
[00:52:34.100 --> 00:52:37.700]   We're gonna be cool about it AT&T is kind of moving to the T-Mobile
[00:52:37.700 --> 00:52:43.980]   approach where they're staying up front at three your throttle now what about this
[00:52:44.940 --> 00:52:47.540]   I want to call you Angelina Jolie Odell
[00:52:47.540 --> 00:52:54.620]   Where's your leg? Oh, she's cute. She's beautiful. So
[00:52:54.620 --> 00:52:59.540]   Get back to the subject
[00:52:59.540 --> 00:53:05.540]   All right, so
[00:53:05.540 --> 00:53:09.900]   Here's so this is to me. This is just pure greed
[00:53:10.740 --> 00:53:16.340]   AT&T now says they're going to let some application providers pay for your bandwidth
[00:53:16.340 --> 00:53:19.340]   Mmm, that's so smart. So
[00:53:19.340 --> 00:53:22.540]   They'll will be this class of apps
[00:53:22.540 --> 00:53:30.380]   That you download that it doesn't use any of your bandwidth because Comcast pays for it or whoever that makes so much sense
[00:53:30.380 --> 00:53:35.540]   So they make they're basically double dipping zinga pays or zinga or whatever. They're double dipping now
[00:53:35.540 --> 00:53:39.100]   Because they're getting you know, they're I'm paying them
[00:53:39.540 --> 00:53:44.020]   For free and open access to the internet what a fool I was because now
[00:53:44.020 --> 00:53:47.420]   They're also charging companies to get to me
[00:53:47.420 --> 00:53:51.980]   Disadvantaging people like me because it's never gonna be able to pay for your bandwidth
[00:53:51.980 --> 00:53:54.700]   so you're gonna so if if
[00:53:54.700 --> 00:54:02.500]   Adam Curry says hey me view will pay for your bandwidth. That's it for me. Bye. Bye. You know what they say the rich get richer and the poor get
[00:54:02.500 --> 00:54:04.900]   Future phones screwed
[00:54:08.900 --> 00:54:10.900]   So
[00:54:10.900 --> 00:54:16.820]   So is this a net neutrality issue? Yes violation of net neutrality because you argue that to the FCC
[00:54:16.820 --> 00:54:24.900]   Oh, are you it's it couldn't be more clear that some if you're if you decide to pay for the bandwidth for your customers
[00:54:24.900 --> 00:54:30.500]   You'll get preferred access won't you in effect and don't you think AT&T will feature you?
[00:54:30.500 --> 00:54:37.500]   Customers are certainly gonna be aware of this if I have a choice between let's say Netflix streaming video that uses my bandwidth and
[00:54:37.740 --> 00:54:41.420]   Amazon streaming video that doesn't what am I gonna use? I'm gonna use Amazon, right?
[00:54:41.420 --> 00:54:47.940]   That's that's what net neutrality is all about that everybody should have free and equal access to customers. So has the I
[00:54:47.940 --> 00:54:57.380]   Don't know the federal communications commission or the FTC or whomever looked into this proposed practice the FCC
[00:54:57.380 --> 00:55:04.580]   Public knowledge is saying it's going to be tough to challenge the plan under the net neutrality rules
[00:55:05.900 --> 00:55:10.020]   Because basically AT&T has been so creative in the phrasing
[00:55:10.020 --> 00:55:15.300]   That the FCC hasn't had says declined to comment according to the Wall Street Journal
[00:55:15.300 --> 00:55:20.780]   But they have been clever in effect because I am I wrong does this not seem like a net neutrality issue?
[00:55:20.780 --> 00:55:24.660]   It seems like they're giving certain businesses and
[00:55:24.660 --> 00:55:31.300]   Competitive advantage of some kind that seems a little bit unfair to other businesses that can't pay that much money
[00:55:31.300 --> 00:55:35.140]   This has happened before I didn't know this but Metro PCS do this with YouTube day
[00:55:35.140 --> 00:55:37.500]   Huh last year net
[00:55:37.500 --> 00:55:43.420]   Metro PCS offered unlimited YouTube usage if you got a smartphone plan they stop doing that
[00:55:43.420 --> 00:55:49.460]   They stop because of the FCC or did they stop because it was people paying them for that
[00:55:49.460 --> 00:55:56.940]   Somebody said a spokesman I guess from YouTube said that they never paid Metro PT at PCS to subsidize
[00:55:56.940 --> 00:56:01.620]   So Metro PCS was just doing it as a promotion. It's a good promotion. They weren't getting subsidized, right?
[00:56:01.780 --> 00:56:08.340]   Okay, so I think does that make a difference? I would think so. I think that this is something regulators would have to take a look at yeah
[00:56:08.340 --> 00:56:15.100]   I hope they do it's comp. Yeah, you're you're obviously a pie eyed optimist
[00:56:15.100 --> 00:56:22.260]   Comcast I'm sorry comm score. I'm seeing the Comcast state of mind comm score says 50% of
[00:56:22.260 --> 00:56:28.380]   Local mobile searching is now happening in apps. This is why mobile is such an important platform
[00:56:29.900 --> 00:56:35.100]   Consumers now look for local businesses on their phone on apps. They don't go to their computer
[00:56:35.100 --> 00:56:40.020]   49% of smartphone and tablet owners are using apps to find local information
[00:56:40.020 --> 00:56:46.820]   Makes sense. Yeah, it's probably not even surprised Lee, but it just shows you that you're mocking me. Aren't you?
[00:56:46.820 --> 00:56:54.300]   No, you're mocking me on to so so does this mean that they're primarily using like the Google Maps app or they talking about things
[00:56:54.300 --> 00:56:57.980]   Yeah, where and yeah, we're sure all of the above
[00:56:58.620 --> 00:57:04.940]   But now you see why Google is so big on local and mobile why Facebook wants to get into this business
[00:57:04.940 --> 00:57:10.460]   Why Apple's being very clever about how they who they support on the on their phones and so forth
[00:57:10.460 --> 00:57:15.940]   Lou MM has just signaled you of with some thoughts and dashes. I hope you can read that I can as a matter of fact
[00:57:15.940 --> 00:57:17.940]   Yes, it's a good way to encrypt
[00:57:17.940 --> 00:57:25.420]   You have another you have another escape from the prison. Yeah, you have another story in your list. We have out smartphones
[00:57:26.580 --> 00:57:32.580]   That they're now in the US that more than half of people have smartphones that they've kind of hit the tipping point and gone over
[00:57:32.580 --> 00:57:38.300]   So if you look at that in combination with searching on apps it becomes an even bigger
[00:57:38.300 --> 00:57:44.700]   Market it's growing really fast. In fact. Yeah, this was a survey from the Pew
[00:57:44.700 --> 00:57:52.660]   What do they call it the American research you internet they have a new American American life?
[00:57:53.860 --> 00:57:57.660]   They interviewed 2,253 adults for as of February
[00:57:57.660 --> 00:58:03.420]   46% said they had smartphones versus 41% with feature phones and
[00:58:03.420 --> 00:58:07.980]   That's grown 11% in the last month. I think I think that nine months
[00:58:07.980 --> 00:58:14.580]   I think that that's that's obviously a trend what it does show. I mean these these they're get obviously because these are not getting any cheaper
[00:58:14.580 --> 00:58:21.020]   You're making a commitment to spend a thousand dollars a year if you buy a smartphone. I think smartphones are getting cheaper. Are they yes?
[00:58:21.020 --> 00:58:23.420]   Yes, are the data plans going down?
[00:58:23.700 --> 00:58:29.060]   No data plans are the same across the board, but you can buy a feature phone the hardware itself is getting cheaper and cheaper
[00:58:29.060 --> 00:58:34.220]   You could buy a $50 three GS for instance, but you're still gonna be into AT&T for
[00:58:34.220 --> 00:58:40.520]   80 or 90 dollars a month, but you can get other plans on other carriers Metro PCS for example has smart
[00:58:40.520 --> 00:58:44.500]   I'm just saying you know I hear they have for YouTube who aren't buying AT&T iPhones
[00:58:44.500 --> 00:58:49.780]   There's why maybe that's it. So maybe that's why because there are more low cost offers
[00:58:49.780 --> 00:58:53.700]   I think that and if I may say this without being an Android fan girl
[00:58:53.700 --> 00:59:01.940]   I think that Android and the you call it fragmentation. I call it choice of the Android ecosystem has made this possible
[00:59:01.940 --> 00:59:06.340]   You wouldn't be seeing numbers like this if it weren't I think you're absolutely right because I Apple's not gonna do that
[00:59:06.340 --> 00:59:11.980]   Although 3GS is 50. Well, they don't want to be accessible. What's the name of your Android book? It's an app book Android
[00:59:11.980 --> 00:59:17.780]   Photography photography. Yeah, I am a big fan of this note. Now. This is the no really
[00:59:18.500 --> 00:59:20.500]   This is a stunning revelation
[00:59:20.500 --> 00:59:26.500]   We're trying to make a phone call with that thing. I love it. Do you feel like you didn't answer her question?
[00:59:26.500 --> 00:59:28.500]   Let's go. Let's let's read it. I never
[00:59:28.500 --> 00:59:34.180]   I never feel like a goober. Do I look like a goober?
[00:59:34.180 --> 00:59:37.860]   Mom hello Angelina
[00:59:37.860 --> 00:59:45.740]   Yes, see my dog is tiny, but my phone is big and and my heart is huge as the
[00:59:46.100 --> 00:59:50.660]   Material in the spot and I think it's a good choice for what do you use Dwight are using a note?
[00:59:50.660 --> 00:59:52.660]   I'm no I'm using an iPhone
[00:59:52.660 --> 00:59:55.180]   But I reviewed a note and I really liked it
[00:59:55.180 --> 01:00:01.040]   I was I think it should be Android 4.0 and I think they made a big mistake and not releasing
[01:00:01.040 --> 01:00:03.820]   I think all Android phone should be 4.0 at this point
[01:00:03.820 --> 01:00:09.820]   You said yourself Leo that you didn't like 4.0. I don't I prefer it, but this this will go 4.0 in a couple months
[01:00:09.820 --> 01:00:14.620]   Dwight you're gonna want this was announced at mobile world Congress the HTC one
[01:00:15.540 --> 01:00:17.100]   This is
[01:00:17.100 --> 01:00:22.580]   Cool very sweet. So quad core is amazing. What do you need quad core? No?
[01:00:22.580 --> 01:00:27.340]   For now this isn't quite as big, but it's big. It's 4.7 inches
[01:00:27.340 --> 01:00:32.580]   So it's the biggest phone after the note so how big 4.7 huh? This is fine
[01:00:32.580 --> 01:00:39.700]   They notice 5 3 and something like the galaxy s2 on sprint is 4 6 so it's I'm sorry for 3 right
[01:00:41.300 --> 01:00:45.220]   4 3 and 4 6 on the sprint one so 4 7 is big
[01:00:45.220 --> 01:00:48.140]   It's it's full HD. It's
[01:00:48.140 --> 01:00:51.380]   10 220 what is it? It's
[01:00:51.380 --> 01:00:54.500]   Anyway, it's full HD
[01:00:54.500 --> 01:00:59.420]   1920 by 1080 yes, thank you. No, it's not well, then it's not full. What is it?
[01:00:59.420 --> 01:01:02.780]   Well, you get your specs tab right let's look yes, it is
[01:01:02.780 --> 01:01:09.860]   720p it's 1280 by 720 so it's HD reasonable yeah, this is same as this but it's in this so in this
[01:01:09.860 --> 01:01:14.740]   That means it's a retina display by the way it is you know a Panasonic that studies on this and when it comes looking at an HD
[01:01:14.740 --> 01:01:18.160]   Movie they say unless the screen size is bigger than 50 inches
[01:01:18.160 --> 01:01:24.420]   I know you cannot see that there's from a distance from 720 to 1080 I completely agree apple even said that and watch on Wednesday
[01:01:24.420 --> 01:01:29.060]   Apple's gonna all of a sudden say something else 1080p is beautiful on a 9 inch
[01:01:29.060 --> 01:01:33.500]   It's much better so this is a Android 4.0. It's ice cream sandwich
[01:01:33.500 --> 01:01:39.100]   I think this is gonna be a very it's interesting is HTC has been kind of lagging behind
[01:01:39.100 --> 01:01:40.980]   I think they're gonna make a big jump forward with this
[01:01:40.980 --> 01:01:46.020]   I think the battery life will probably last about an hour if you're trying to watch the question
[01:01:46.020 --> 01:01:53.660]   Are you get the quad core a quad core on LTE with a screen that size battery life is gonna be awful quad core what arm?
[01:01:53.660 --> 01:01:59.260]   Yeah, I think it probably shut down the cores from for the most AT&T will be dual core
[01:01:59.260 --> 01:02:01.540]   But there will be a quad core version of real
[01:02:05.020 --> 01:02:09.780]   You know the thing about getting a bigger phone is you do get better battery life because you have more space for battery
[01:02:09.780 --> 01:02:12.380]   So this note for instance is very good battery life. So
[01:02:12.380 --> 01:02:20.720]   Well, we'll see I this is gonna be a very exciting phone Samsung did not announce their Galaxy 3 which S3 which surprises me
[01:02:20.720 --> 01:02:25.220]   That is correct. The rumor is April. That's gonna be a another
[01:02:25.220 --> 01:02:30.620]   You're gonna see Android again outpace the iPhone by several laps
[01:02:30.620 --> 01:02:36.180]   I mean the iPhone by coming out once a year apples really starting to miss the boat on innovation a little bit
[01:02:36.180 --> 01:02:38.180]   Well, also they have one hardware
[01:02:38.180 --> 01:02:40.140]   Manufacturing
[01:02:40.140 --> 01:02:42.700]   Right and you only have one group of ideas
[01:02:42.700 --> 01:02:47.180]   I think you when you have more ideas some of them tend to be better there's a lot of cross-pondylization
[01:02:47.180 --> 01:02:49.820]   You really like my dog
[01:02:58.100 --> 01:03:00.980]   Was that you knows a dog lips didn't even
[01:03:00.980 --> 01:03:07.060]   First I thought it can't be John. I'm looking straight at it must be Dwight, but Dwight wouldn't do that no
[01:03:07.060 --> 01:03:09.060]   I would never do that
[01:03:09.060 --> 01:03:12.860]   I'm a cat person
[01:03:12.860 --> 01:03:24.820]   Houston's Apple store is opening March 16th. That's what you said. Yeah, that would make sense that that would be the release
[01:03:24.820 --> 01:03:29.820]   What's the deal with the Apple store in Palo Alto when's that gonna open they have a new one don't they that's a different store?
[01:03:29.820 --> 01:03:31.820]   Yeah, they're closed kind of a magic
[01:03:31.820 --> 01:03:35.740]   Apple store they're closing the old one. Yeah, they're closing the old one opening a new one
[01:03:35.740 --> 01:03:41.420]   And this one yeah, and this was gonna be the this is gonna be supposed to be a pewter an experimental store though, right?
[01:03:41.420 --> 01:03:44.020]   Yes, yeah
[01:03:44.020 --> 01:03:49.980]   The one they go in and they drug you the minute you go in they club you okay, so far nothing new
[01:03:49.980 --> 01:03:54.620]   What else and then they start yelling at you about how great Apple is oh that is new
[01:03:54.620 --> 01:04:01.500]   I thought the one the one here in Houston is gonna be all glass glass front glass back and a glass roof in
[01:04:01.500 --> 01:04:04.140]   Texas in August
[01:04:04.140 --> 01:04:07.860]   Degrees I'm really looking forward to see how that works
[01:04:07.860 --> 01:04:11.820]   It's about a mile from the Galleria store
[01:04:11.820 --> 01:04:19.420]   Which was the first one that opened here and it's in a shopping center that is notorious for having traffic problems and congestion
[01:04:19.420 --> 01:04:24.820]   I think Jolie hit the thing there's a real the real attraction is gonna be the women's restroom
[01:04:24.820 --> 01:04:29.940]   All glass get it joke. I got it all right all right
[01:04:29.940 --> 01:04:38.460]   Wish I didn't I tried I tried it was funny was it a story that Apple had 25 billion downloads this week of apps
[01:04:38.460 --> 01:04:42.740]   No, no onward onward. I don't love stats
[01:04:42.740 --> 01:04:47.100]   Somebody we don't know who got ten thousand dollars worth of apps
[01:04:47.780 --> 01:04:51.520]   For being the 22nd 20 dollars worth of apps
[01:04:51.520 --> 01:04:58.420]   We a consumer yeah, so whoever bought the thousand dollars worth of apps apps a lot of apps
[01:04:58.420 --> 01:05:03.820]   You can also spend it on music, so oh, okay. There you go a ten thousand dollar gift card
[01:05:03.820 --> 01:05:06.700]   I'm a lot of crap music and a lot of terrible apps. Wow
[01:05:06.700 --> 01:05:10.980]   Just the I think just the beetle box. They could have given some money
[01:05:11.780 --> 01:05:17.500]   That in 2009 the billionth app was downloaded by a 13 year old Connor McCauley
[01:05:17.500 --> 01:05:23.200]   He nabbed a ten thousand dollar iTunes gift card along with an iPod touch MacBook Pro and a time capsule
[01:05:23.200 --> 01:05:26.080]   I they're getting cheap now. They're only doing a ten thousand dollar
[01:05:26.080 --> 01:05:30.700]   Gift card we don't know yet who had the 25th billion download next
[01:05:30.700 --> 01:05:35.380]   You know the only thing that was funny about it is like well
[01:05:35.380 --> 01:05:39.940]   How would you win this contest where you like just keep buying apps like you they have these teams in Vegas?
[01:05:39.940 --> 01:05:45.100]   You know with these machines and they bring the team in at the last minute when they know the thing is should hit
[01:05:45.100 --> 01:05:50.060]   It's like there's usually it they they hog all the machines on those you know progressive slot machines
[01:05:50.060 --> 01:05:55.380]   And they start pounding them and then somebody wins and they all split it. Hmm. It's very it's look it up
[01:05:55.380 --> 01:06:00.260]   You can look it on Google. I thought that was fascinating Apple is now
[01:06:00.260 --> 01:06:03.300]   I think they changed this policy, but maybe this is still the case blocking
[01:06:03.300 --> 01:06:05.820]   Books that link to Amazon
[01:06:06.180 --> 01:06:10.100]   Seth Goden just don't want anything. They want programs inside of programs. Yeah
[01:06:10.100 --> 01:06:14.940]   He wrote a book called stop stealing dreams and stop stealing my book and
[01:06:14.940 --> 01:06:23.500]   And it has links within the book to Amazon and as a result Apple says we're not gonna sell it. Sorry. I
[01:06:23.500 --> 01:06:28.380]   Mean they have the right to do that it you can't say censorship, but it is a little
[01:06:28.380 --> 01:06:31.300]   Come on a little petty
[01:06:32.340 --> 01:06:39.020]   That one person chew gum everybody will chew and then the next thing you know every app's gonna have links outside of the apples
[01:06:39.020 --> 01:06:42.980]   environment what a horrible world that would be it would
[01:06:42.980 --> 01:06:46.580]   of gum
[01:06:46.580 --> 01:06:50.580]   People walking in the street
[01:06:50.580 --> 01:06:55.340]   I'm gonna write a new song right now as we speak all what a horrible world it would be
[01:06:55.340 --> 01:06:58.220]   What do you think I think you're gone to something?
[01:06:58.220 --> 01:07:00.860]   I'm encouraging it
[01:07:01.140 --> 01:07:07.060]   Bad people doing bad things companies making money talking about that say to myself
[01:07:07.060 --> 01:07:12.340]   What a crappy world I think making money is the key is the cue
[01:07:12.340 --> 01:07:19.060]   For an ad no, you're do you have to pee? No, I just got a big glass bathrooms down the street
[01:07:19.060 --> 01:07:24.540]   I'm I'm just wanted to check in on the Cal Stanford basketball game. This is their losing go right ahead
[01:07:24.540 --> 01:07:30.260]   I will be my guess while I talk about audible dot car. Oh, and this is my favorite company
[01:07:30.260 --> 01:07:36.500]   It is it is a great company. They're fantastic. They did what they should have done which is do what they did
[01:07:36.500 --> 01:07:41.100]   That's what they should have done. No, I agree. It's interesting because I was an audible
[01:07:41.100 --> 01:07:46.700]   Subscriber back in 2000. It was kind of new. They didn't have a lot of stuff and what they were really missing was sci-fi
[01:07:46.700 --> 01:07:48.780]   I was very disappointed and they had no Stephen King
[01:07:48.780 --> 01:07:54.340]   They like one Stephen King book, but I listened because I was a big book on tape listener and there was a lot more convenient
[01:07:54.340 --> 01:07:56.340]   They need a box of cassettes
[01:07:56.340 --> 01:08:00.540]   And man, I mean the talk about transformation a hundred thousand books now every Stephen King book
[01:08:00.540 --> 01:08:06.620]   Including the new one that just came out. They've just released the number one download right now is an old Stephen King book
[01:08:06.620 --> 01:08:10.860]   Which has never been available in audio. I downloaded it the stand is out on audio
[01:08:10.860 --> 01:08:18.500]   46 hours and 56 minutes 47 hours of 56 minutes. What a great book and Grover gardeners reading it
[01:08:18.500 --> 01:08:25.060]   Just some really wonderful stuff at audible dot com. I have to have to send you there right now
[01:08:25.220 --> 01:08:30.620]   You're gonna tell you we're gonna do we're set you up with a platinum account. That's two books a month your first month is free
[01:08:30.620 --> 01:08:32.620]   Your first two books are free
[01:08:32.620 --> 01:08:35.980]   I cancel anytime pay nothing
[01:08:35.980 --> 01:08:39.480]   You do that at audible dot com slash twit to
[01:08:39.480 --> 01:08:46.340]   Some books are some of the longer books are two credits so you can get a big book or you can get a couple of little books
[01:08:46.340 --> 01:08:48.340]   I don't think the stand is just one credit
[01:08:48.340 --> 01:08:52.020]   How about the Lorax? Have you seen that yet? I?
[01:08:52.780 --> 01:08:58.700]   Want to see this I'm a big dr. Seuss fan. It was his hundred eighth birthday two days ago on Friday
[01:08:58.700 --> 01:09:04.220]   So they got kids books and I mentioned they didn't have a lot of sci-fi when I joined man
[01:09:04.220 --> 01:09:10.620]   They turned that around and they did it with in a way that I really admire they created an audible frontiers program and started recording on themselves
[01:09:10.620 --> 01:09:16.380]   They realized that a lot of sci-fi especially early sci-fi, you know, it was pulp pulp publishers
[01:09:16.380 --> 01:09:20.660]   They weren't gonna get audiobooks. So they're just gonna have to do it themselves and so
[01:09:21.380 --> 01:09:24.220]   There's a hundred ninety-eight doctor who titles alone
[01:09:24.220 --> 01:09:30.060]   Holy moly
[01:09:30.060 --> 01:09:32.060]   classic sci-fi
[01:09:32.060 --> 01:09:40.700]   422 classic sci-fi novels including a new edition of George Orwell's 1984 just in time the moon is a harsh mistress by Robert Heinlein
[01:09:40.700 --> 01:09:42.700]   That was a great book
[01:09:42.700 --> 01:09:45.900]   1259 contemporary titles in sci-fi
