;FFMETADATA1
title=Like a Fine Cheese
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=472
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2014
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.340]   It's time for "Twit!"
[01:06:12.680 --> 01:06:13.760]   - Isn't that part of the problem
[01:06:13.760 --> 01:06:17.720]   is that Apple wants to keep it all to itself,
[01:06:17.720 --> 01:06:18.680]   and it doesn't work that way?
[01:06:18.680 --> 01:06:20.840]   Although, as Jeff Nino points out,
[01:06:20.840 --> 01:06:22.560]   this is endemic in the tech industry.
[01:06:22.560 --> 01:06:24.160]   Google has an issue,
[01:06:24.160 --> 01:06:25.680]   how many initiatives is Google announced
[01:06:25.680 --> 01:06:27.680]   and then just forgotten about?
[01:06:27.680 --> 01:06:29.480]   - I think there's a lack of follow through in general.
[01:06:29.480 --> 01:06:31.400]   All these companies are ADD,
[01:06:31.400 --> 01:06:33.080]   and they just go, what?
[01:06:33.080 --> 01:06:34.480]   Oh, squirrel.
[01:06:34.480 --> 01:06:35.920]   And then they're off doing something else.
[01:06:35.920 --> 01:06:39.120]   - It's hard, these technologies need time
[01:06:39.120 --> 01:06:43.560]   to get rolled out and get people to understand their value.
[01:06:43.560 --> 01:06:47.720]   Most, I've given several speeches in the last couple months,
[01:06:47.720 --> 01:06:50.520]   some to computer science people,
[01:06:50.520 --> 01:06:52.760]   and they have no idea what beacons are.
[01:06:52.760 --> 01:06:56.880]   And so, it's an education process.
[01:06:56.880 --> 01:06:58.400]   It takes time.
[01:06:58.400 --> 01:07:00.520]   This is why Doug Engelbart got kicked out
[01:07:00.520 --> 01:07:02.320]   of his own research lab in the 1970s.
[01:07:02.320 --> 01:07:04.520]   - He's better than the mouse in the window.
[01:07:04.520 --> 01:07:07.080]   - Yeah, 'cause his ideas were too ahead
[01:07:07.080 --> 01:07:10.480]   of even his friends at the research lab.
[01:07:10.480 --> 01:07:13.040]   - Well, even though the companies like Delta United
[01:07:13.040 --> 01:07:14.920]   and those would roll out these apps,
[01:07:14.920 --> 01:07:16.600]   so you could have mobile boarding passes
[01:07:16.600 --> 01:07:18.560]   that weren't pass booked necessarily enabled,
[01:07:18.560 --> 01:07:20.240]   but even when they integrated with pass booked later,
[01:07:20.240 --> 01:07:21.560]   and you would go up to the attendance,
[01:07:21.560 --> 01:07:22.480]   I don't know if you would notice that
[01:07:22.480 --> 01:07:23.720]   when you go to the different gates,
[01:07:23.720 --> 01:07:25.480]   and they would look at you like you were an idiot.
[01:07:25.480 --> 01:07:27.320]   - What do you mean, you have a boarding pass?
[01:07:27.320 --> 01:07:28.160]   No?
[01:07:28.160 --> 01:07:29.520]   - Right, you have a boarding pass on your phone.
[01:07:29.520 --> 01:07:30.360]   What is that?
[01:07:30.360 --> 01:07:31.400]   You gotta go back to the counter-making.
[01:07:31.400 --> 01:07:32.880]   - Now I do it on my watch,
[01:07:32.880 --> 01:07:35.760]   and they ignore me there.
[01:07:35.760 --> 01:07:38.800]   - Yeah, I guess it looks when I do that too.
[01:07:38.800 --> 01:07:39.640]   Especially when it doesn't,
[01:07:39.640 --> 01:07:40.720]   when it's the wrong boarding pass,
[01:07:40.720 --> 01:07:41.560]   when you're watching, you have no words.
[01:07:41.560 --> 01:07:42.400]   - You have no words.
[01:07:42.400 --> 01:07:43.240]   - You have no words.
[01:07:43.240 --> 01:07:46.480]   - I get stuck at a TSA kiosk,
[01:07:46.480 --> 01:07:49.040]   because it wouldn't work.
[01:07:49.040 --> 01:07:51.080]   And they said, "Well, and you have the email that came in,
[01:07:51.080 --> 01:07:53.800]   "I'm going like this on my phone.
[01:07:53.800 --> 01:07:55.880]   "Everybody's going by me, I know."
[01:07:55.880 --> 01:07:56.880]   Well, Nien, yeah.
[01:07:56.880 --> 01:07:58.960]   It was like, "Oh, I finally got in though."
[01:07:58.960 --> 01:08:00.080]   I did.
[01:08:00.080 --> 01:08:02.100]   It's not, it's flaky.
[01:08:02.100 --> 01:08:05.280]   Speaking of, you mentioned coin,
[01:08:05.280 --> 01:08:09.480]   how many of you bought the $55 one card to rule them all?
[01:08:09.480 --> 01:08:12.080]   Robert, of course you love every new technology.
[01:08:12.080 --> 01:08:15.200]   - Yeah, anything new is really great.
[01:08:15.200 --> 01:08:16.240]   - Yeah, I love it.
[01:08:16.240 --> 01:08:18.760]   Clayton, you didn't buy it, but you reported on it.
[01:08:19.160 --> 01:08:20.440]   - Yeah, I didn't buy it yet, but I--
[01:08:20.440 --> 01:08:22.440]   - Yeah, it's a very important word,
[01:08:22.440 --> 01:08:24.840]   and you want to keep that yet going.
[01:08:24.840 --> 01:08:27.520]   Tim, did you fall for coin?
[01:08:27.520 --> 01:08:28.360]   - I have not invested yet.
[01:08:28.360 --> 01:08:30.400]   No, I'm fascinated by the concept,
[01:08:30.400 --> 01:08:33.080]   but I'm still optimistic that credit cards in general
[01:08:33.080 --> 01:08:35.360]   are going to be retired in the not-to-distant future.
[01:08:35.360 --> 01:08:36.640]   So I'm holding out on for them.
[01:08:36.640 --> 01:08:39.240]   - So they took $55 from lots of people.
[01:08:39.240 --> 01:08:41.120]   We don't know how many total, but lots of people.
[01:08:41.120 --> 01:08:43.040]   And they charged them.
[01:08:43.040 --> 01:08:46.240]   Coin is delayed now, at least until spring 2015.
[01:08:46.240 --> 01:08:47.800]   So--
[01:08:47.800 --> 01:08:50.520]   - By the way, there's a couple companies.
[01:08:50.520 --> 01:08:53.240]   Tappingo is one of them.
[01:08:53.240 --> 01:08:55.160]   - I think it's Tappingo.
[01:08:55.160 --> 01:08:57.360]   - The guy who invented it says it's Tappingo, so--
[01:08:57.360 --> 01:08:58.200]   - What?
[01:08:58.200 --> 01:08:59.520]   (laughs)
[01:08:59.520 --> 01:09:01.160]   - It's Tappingo?
[01:09:01.160 --> 01:09:02.960]   Tappingo is how he says it.
[01:09:02.960 --> 01:09:04.320]   - Oh, Lord.
[01:09:04.320 --> 01:09:05.600]   'Cause I called it Tappingo.
[01:09:05.600 --> 01:09:07.200]   - It's Tappingo. - It's Tappingo.
[01:09:07.200 --> 01:09:09.120]   You tap it and you go.
[01:09:09.120 --> 01:09:10.160]   - He said no, it's Tappingo.
[01:09:10.160 --> 01:09:12.080]   - It's Tappingo.
[01:09:12.080 --> 01:09:13.920]   - Ralph LaRuella School.
[01:09:13.920 --> 01:09:14.760]   - It's Tappingo.
[01:09:14.760 --> 01:09:16.240]   - Is it Jeff or is it--
[01:09:16.240 --> 01:09:18.440]   - It's gift. - Jeff, everybody knows it's gift.
[01:09:18.440 --> 01:09:20.720]   It doesn't matter what Tappingo says.
[01:09:20.720 --> 01:09:22.520]   - I know, it's the same argument, right?
[01:09:22.520 --> 01:09:23.800]   - Tappingo. - We're on this argument
[01:09:23.800 --> 01:09:25.000]   for 20 years.
[01:09:25.000 --> 01:09:28.880]   They, if you're a college kid at Santa Clara University,
[01:09:28.880 --> 01:09:30.280]   you use it to buy everything.
[01:09:30.280 --> 01:09:33.760]   Your sandwich, your coffee in the morning, your books.
[01:09:33.760 --> 01:09:36.320]   And there's a machine in the sandwich shop.
[01:09:36.320 --> 01:09:38.080]   So when you say I want a sandwich,
[01:09:38.080 --> 01:09:39.480]   it sends the order to the machine.
[01:09:39.480 --> 01:09:42.600]   It lights up, it beeps and it spits out a receipt.
[01:09:42.600 --> 01:09:45.280]   The receipt goes into the workflow of the restaurant.
[01:09:45.280 --> 01:09:47.560]   And you walk in and pick up your sandwich and you leave.
[01:09:47.560 --> 01:09:49.560]   You don't hand them a credit card.
[01:09:49.560 --> 01:09:52.760]   And already 70% of all the transactions
[01:09:52.760 --> 01:09:56.000]   at Santa Clara University are going through Tappingo.
[01:09:56.000 --> 01:09:57.760]   - And is that an NFC technology?
[01:09:57.760 --> 01:09:59.560]   What is the technology?
[01:09:59.560 --> 01:10:03.160]   - No, it's, you don't even need that
[01:10:03.160 --> 01:10:05.440]   because you know you're there at the store, right?
[01:10:05.440 --> 01:10:07.000]   - It's geofencing.
[01:10:07.000 --> 01:10:08.520]   - Geofencing, right?
[01:10:08.520 --> 01:10:09.360]   - And see, that's what's shared--
[01:10:09.360 --> 01:10:11.240]   - I thought was the problem with sandwich.
[01:10:11.240 --> 01:10:13.000]   - I thought that was the problem with square wallet.
[01:10:13.000 --> 01:10:16.440]   And was that the geofencing was so inaccurate
[01:10:16.440 --> 01:10:19.280]   that you couldn't have two stores next to each other use it.
[01:10:19.280 --> 01:10:20.200]   - Yeah.
[01:10:20.200 --> 01:10:21.040]   - Yeah.
[01:10:21.040 --> 01:10:24.640]   This works and it's working at scale
[01:10:24.640 --> 01:10:27.160]   for Santa Clara University in 25 other campuses.
[01:10:27.160 --> 01:10:29.880]   I think 75 campuses are getting it this fall.
[01:10:29.880 --> 01:10:33.840]   So he's growing like a weed, like a virus.
[01:10:33.840 --> 01:10:37.400]   And in six years, I bet we're all gonna be using it
[01:10:37.400 --> 01:10:38.240]   for everything.
[01:10:38.240 --> 01:10:39.240]   - That's pretty cool.
[01:10:39.240 --> 01:10:42.280]   - And he's gonna own a cut of every transaction
[01:10:42.280 --> 01:10:43.280]   on the internet.
[01:10:43.280 --> 01:10:47.800]   So he could be a trillionaire if he is successful.
[01:10:47.800 --> 01:10:51.920]   - You know what's amazing is that he came out of nowhere.
[01:10:51.920 --> 01:10:52.760]   - Yeah.
[01:10:52.760 --> 01:10:55.600]   - I mean, his career is going out of this business.
[01:10:55.600 --> 01:10:57.480]   - His dad's a famous entrepreneur,
[01:10:57.480 --> 01:11:01.200]   his dad started Zorran, and his family has a lot of--
[01:11:01.200 --> 01:11:03.120]   - I think that's pronounced sharday.
[01:11:03.120 --> 01:11:06.080]   I'm just joking.
[01:11:06.080 --> 01:11:07.400]   That's boy, that's an old joke.
[01:11:07.400 --> 01:11:08.240]   I'm sorry.
[01:11:08.240 --> 01:11:09.080]   - I got it, Leo.
[01:11:09.080 --> 01:11:09.920]   - Thank you.
[01:11:09.920 --> 01:11:12.520]   - Anyways, he's a smart kid.
[01:11:12.520 --> 01:11:13.360]   - Yeah.
[01:11:13.360 --> 01:11:14.200]   - He's a smart guy.
[01:11:14.200 --> 01:11:16.560]   - Tap and go, AKA Topingo.
[01:11:16.560 --> 01:11:17.640]   - Topingo!
[01:11:17.640 --> 01:11:19.120]   - Topingo!
[01:11:19.120 --> 01:11:21.600]   - And you can't use it if you're not a college kid.
[01:11:21.600 --> 01:11:23.800]   I remember some other company doing the same thing.
[01:11:23.800 --> 01:11:25.360]   - Yeah.
[01:11:25.360 --> 01:11:29.560]   So it's iPhone and Android, and then it's an app.
[01:11:29.560 --> 01:11:30.400]   - Yeah.
[01:11:30.400 --> 01:11:32.000]   - And so it just knows you're in line.
[01:11:32.000 --> 01:11:32.840]   Never wait in line.
[01:11:32.840 --> 01:11:35.400]   You place an order delivery orders appear at your door.
[01:11:35.400 --> 01:11:38.840]   So is it just ordering remotely?
[01:11:38.840 --> 01:11:41.560]   - Well, it's remote ordering, you pick it up.
[01:11:41.560 --> 01:11:44.760]   It's also a contextualizer, and that's why I got interested
[01:11:44.760 --> 01:11:49.000]   because after buying ice lattes at 9 a.m. every morning,
[01:11:49.000 --> 01:11:51.080]   it'll say, "Would you just like your normal ice
[01:11:51.080 --> 01:11:52.280]   "lottie today?"
[01:11:52.280 --> 01:11:53.440]   - Oh, wow.
[01:11:53.440 --> 01:11:56.160]   - And it saves you on scrolling.
[01:11:56.160 --> 01:11:58.880]   - If Google did that, there'd be protests.
[01:11:58.880 --> 01:12:01.560]   - Oh, there'll be protests for this company as well.
[01:12:01.560 --> 01:12:03.040]   It's just nobody knows about it yet.
[01:12:03.040 --> 01:12:04.200]   - Yeah.
[01:12:04.200 --> 01:12:06.960]   - That's 'cause they're pronouncing their name wrong.
[01:12:06.960 --> 01:12:08.480]   - Tapingo.
[01:12:08.480 --> 01:12:11.680]   - Tap, it looks like Tapingo.
[01:12:11.680 --> 01:12:12.520]   To be fair.
[01:12:12.520 --> 01:12:15.720]   We're gonna take a break, come back with more.
[01:12:15.720 --> 01:12:17.360]   - Scobles here, the scobolizer.
[01:12:17.360 --> 01:12:20.120]   Will you do that?
[01:12:20.120 --> 01:12:20.960]   Will you come up here?
[01:12:20.960 --> 01:12:23.560]   Can I book you and have you come up for an hour?
[01:12:23.560 --> 01:12:24.680]   - I'm up in a little--
[01:12:24.680 --> 01:12:26.200]   - And we can trade.
[01:12:26.200 --> 01:12:27.600]   You can teach me about other things.
[01:12:27.600 --> 01:12:28.960]   - I don't know anything.
[01:12:28.960 --> 01:12:29.800]   - I want to--
[01:12:29.800 --> 01:12:31.720]   - Actually, for people who don't know
[01:12:31.720 --> 01:12:34.880]   why you're Leo LaPort, I am Leo LaPort.
[01:12:34.880 --> 01:12:37.120]   - Why are you famous and a big deal
[01:12:37.120 --> 01:12:39.160]   because you would help people on the radio
[01:12:39.160 --> 01:12:41.280]   and you would know the most bizarre fish
[01:12:41.280 --> 01:12:44.800]   about OS2 and Windows and the Macintosh.
[01:12:44.800 --> 01:12:45.640]   - I still do.
[01:12:45.640 --> 01:12:47.120]   - But it's not really much use anymore.
[01:12:47.120 --> 01:12:47.960]   That's the sad thing.
[01:12:47.960 --> 01:12:51.160]   - That's true, but that's why you're sitting on the ball.
[01:12:51.160 --> 01:12:52.840]   - But when I get questions about OS2,
[01:12:52.840 --> 01:12:56.480]   I can really get in there and leap in there.
[01:12:56.480 --> 01:12:59.280]   - You know, for the 15 people who are still holding out.
[01:12:59.280 --> 01:13:04.600]   - Loop pay, is that something you used at Boston University?
[01:13:04.600 --> 01:13:06.880]   Or Northeastern, wherever the hell you went to school?
[01:13:06.880 --> 01:13:08.680]   Everywhere, loop pay.
[01:13:08.680 --> 01:13:11.000]   That's the similar idea is to--
[01:13:11.000 --> 01:13:12.400]   It's a fob.
[01:13:12.400 --> 01:13:13.760]   NFC, probably then.
[01:13:13.760 --> 01:13:14.600]   No?
[01:13:14.600 --> 01:13:17.920]   It sends a magnetic pulse.
[01:13:17.920 --> 01:13:21.680]   - The problem is the thing that Topingo actually solves
[01:13:21.680 --> 01:13:23.640]   is integrating into the restaurant
[01:13:23.640 --> 01:13:26.640]   and having the restaurant pay attention to your order
[01:13:26.640 --> 01:13:28.680]   so that it's ready when you come in.
[01:13:28.680 --> 01:13:31.960]   - Yeah, but it also solves Costanza Waliditis.
[01:13:31.960 --> 01:13:33.320]   - Yeah, that's right.
[01:13:33.320 --> 01:13:35.120]   - I think that's really--
[01:13:35.120 --> 01:13:36.920]   - Where do I come up with these?
[01:13:36.920 --> 01:13:38.360]   It's my job to feed the startup.
[01:13:38.360 --> 01:13:39.720]   - That's what he does for Rex, please.
[01:13:39.720 --> 01:13:41.520]   - I go around the world and study the future.
[01:13:41.520 --> 01:13:45.320]   I'm just seeing stuff before most other people.
[01:13:45.320 --> 01:13:48.320]   - Robert Scobel never met a technology he didn't like.
[01:13:48.320 --> 01:13:49.480]   - I wanna see it all.
[01:13:49.480 --> 01:13:52.120]   - Tim Stevens is also here.
[01:13:52.120 --> 01:13:55.000]   He is, among other things at SCN,
[01:13:55.000 --> 01:13:57.960]   doing a lot of automotive stuff, which is cool.
[01:13:57.960 --> 01:13:58.800]   - It is cool.
[01:13:58.800 --> 01:13:59.960]   It's a lot of fun.
[01:13:59.960 --> 01:14:03.520]   - Anything you knew and exciting you want to plug or promote or?
[01:14:04.520 --> 01:14:06.480]   - Well, we just had Pebble Beach last weekend,
[01:14:06.480 --> 01:14:08.160]   which I said we didn't get to go out to,
[01:14:08.160 --> 01:14:10.400]   but we did have our X-Car team was there
[01:14:10.400 --> 01:14:12.240]   and they did some amazing videos.
[01:14:12.240 --> 01:14:15.760]   - That new Mercedes concept car, that's what I want.
[01:14:15.760 --> 01:14:18.440]   - Yes, yeah, and there's the new Aston Martin concept car
[01:14:18.440 --> 01:14:20.440]   which there's, well, I think the DP100 is called.
[01:14:20.440 --> 01:14:22.040]   So a lot of great video footage out of there,
[01:14:22.040 --> 01:14:23.800]   some great galleries as well.
[01:14:23.800 --> 01:14:26.000]   And I'm on a ray, hopefully we'll be able to go next year,
[01:14:26.000 --> 01:14:28.640]   but then we're not too far away from the Paris Auto Show.
[01:14:28.640 --> 01:14:32.400]   That's early October, which is always amazing,
[01:14:32.400 --> 01:14:33.800]   beautiful concept cars out of Paris.
[01:14:33.800 --> 01:14:35.840]   So I'm looking forward to that as well.
[01:14:35.840 --> 01:14:38.840]   - I don't remember the Carmel car show used to be
[01:14:38.840 --> 01:14:41.360]   the, what the Concord De Le Gons.
[01:14:41.360 --> 01:14:43.320]   It used to be all about, you know,
[01:14:43.320 --> 01:14:46.600]   beautifully fixed up cars and Lamborghinis.
[01:14:46.600 --> 01:14:48.240]   I know this new concept,
[01:14:48.240 --> 01:14:50.080]   this was always at the auto shows you
[01:14:50.080 --> 01:14:51.120]   to get the concept cars.
[01:14:51.120 --> 01:14:55.680]   They're now, I guess, 'cause they didn't want to drive them around.
[01:14:55.680 --> 01:14:58.840]   - But they still do the, the Concord is still there.
[01:14:58.840 --> 01:15:00.640]   That's still the highlight of the week.
[01:15:00.640 --> 01:15:01.880]   But now it's become, you know,
[01:15:01.880 --> 01:15:03.920]   it's much more a commercial thing these days.
[01:15:03.920 --> 01:15:05.240]   So a lot of manufacturers,
[01:15:05.240 --> 01:15:07.520]   they know that a lot of the car journalists
[01:15:07.520 --> 01:15:08.520]   are going to be there.
[01:15:08.520 --> 01:15:09.960]   So they've kind of used the account audience
[01:15:09.960 --> 01:15:11.760]   to start to launch concept cars
[01:15:11.760 --> 01:15:12.840]   and that kind of thing as well.
[01:15:12.840 --> 01:15:14.440]   So that's part of the reason why that's happening.
[01:15:14.440 --> 01:15:17.160]   But still, you know, the focus is by and large still
[01:15:17.160 --> 01:15:18.720]   on the Concord and the beautiful old cars.
[01:15:18.720 --> 01:15:20.840]   I think it was a Ferrari, a post-war Ferrari,
[01:15:20.840 --> 01:15:22.960]   the first post-war Ferrari to win,
[01:15:22.960 --> 01:15:24.480]   I think in a very long time.
[01:15:24.480 --> 01:15:28.160]   - This to me, the numerous cities looks very much like
[01:15:28.160 --> 01:15:30.520]   the Naboo Starship.
[01:15:31.360 --> 01:15:33.920]   (laughs)
[01:15:33.920 --> 01:15:35.520]   - Episode one, does it not?
[01:15:35.520 --> 01:15:36.600]   Am I wrong? - Does?
[01:15:36.600 --> 01:15:37.440]   Yeah. - You can drive it
[01:15:37.440 --> 01:15:39.160]   and grant you a 6.2 if you want to take it
[01:15:39.160 --> 01:15:40.840]   for a spin. - Can you?
[01:15:40.840 --> 01:15:43.120]   - Yeah, I was actually there at the launch of that car
[01:15:43.120 --> 01:15:45.200]   and it was kind of funny, there was a guy standing off
[01:15:45.200 --> 01:15:47.840]   on the side of the stage that they drove it out on
[01:15:47.840 --> 01:15:49.080]   with an RC car controller.
[01:15:49.080 --> 01:15:51.160]   And that was how he controlled this concept car
[01:15:51.160 --> 01:15:53.520]   with a giant RC car controller.
[01:15:53.520 --> 01:15:54.520]   There's actually nobody in the car.
[01:15:54.520 --> 01:15:56.360]   It was him driving off the side of the stage.
[01:15:56.360 --> 01:15:57.680]   - Is this chrome?
[01:15:57.680 --> 01:16:00.200]   - It is chrome, yeah, okay.
[01:16:00.200 --> 01:16:03.040]   So it's gonna look like a DeLorean in a few years.
[01:16:03.040 --> 01:16:08.200]   You have to have a full-time shiner.
[01:16:08.200 --> 01:16:09.560]   - I don't know if it's raw aluminum or not.
[01:16:09.560 --> 01:16:12.000]   - And it doesn't look like it has wheels.
[01:16:12.000 --> 01:16:14.320]   I mean, it has wheels, doesn't look like it has tires.
[01:16:14.320 --> 01:16:16.160]   - Yeah, it's a car from the future for sure.
[01:16:16.160 --> 01:16:17.920]   But that will never go into production,
[01:16:17.920 --> 01:16:18.920]   but there is a-- - Is the future
[01:16:18.920 --> 01:16:20.600]   they'll have no tires?
[01:16:20.600 --> 01:16:22.960]   - Absolutely, well, very skinny tires.
[01:16:22.960 --> 01:16:24.360]   They're working on a-- - Is that the Chamfer
[01:16:24.360 --> 01:16:25.920]   11 competitor? - It's a Chamfer
[01:16:25.920 --> 01:16:27.280]   that's right there.
[01:16:27.280 --> 01:16:28.960]   You're seeing it in person.
[01:16:29.960 --> 01:16:30.960]   - Thank you, Johnny Eyed.
[01:16:30.960 --> 01:16:33.360]   - Johnny Eyed would love.
[01:16:33.360 --> 01:16:35.960]   This is the best Mercedes we've ever made.
[01:16:35.960 --> 01:16:39.880]   - Our show today brought to you by our friends at Citrix
[01:16:39.880 --> 01:16:41.360]   who do go to meeting.
[01:16:41.360 --> 01:16:44.760]   I've told you so many times how important go to meeting is.
[01:16:44.760 --> 01:16:47.400]   It's fact the only way we meet at the Twit Brick House
[01:16:47.400 --> 01:16:49.920]   because nowadays, many of the people we meet with
[01:16:49.920 --> 01:16:52.320]   are not here, just like this show.
[01:16:52.320 --> 01:16:53.960]   They're spread out all over the world.
[01:16:53.960 --> 01:16:55.960]   That shouldn't stop you. Thanks to the internet.
[01:16:55.960 --> 01:16:58.520]   We can meet practically face-to-face with people.
[01:16:58.520 --> 01:17:00.960]   You should go to meeting their HD video conferencing.
[01:17:00.960 --> 01:17:03.640]   Crystal clear, everybody's got a camera now.
[01:17:03.640 --> 01:17:06.160]   You see people just like you're in the same room with them.
[01:17:06.160 --> 01:17:07.440]   And because you're using go to meeting,
[01:17:07.440 --> 01:17:09.600]   you also see their screens or they see your screens.
[01:17:09.600 --> 01:17:13.240]   It's as if you're showing them your PowerPoint presentation
[01:17:13.240 --> 01:17:15.400]   or collaborating together on a document,
[01:17:15.400 --> 01:17:17.920]   eliminate the expensive and time consuming travel.
[01:17:17.920 --> 01:17:21.160]   It makes those meetings more effective.
[01:17:21.160 --> 01:17:24.960]   Everybody knows meetings are kind of the backbone of business,
[01:17:24.960 --> 01:17:26.520]   but you don't want to spend more time
[01:17:26.520 --> 01:17:29.520]   than you have to. Citrix go to meeting makes it easy.
[01:17:29.520 --> 01:17:32.520]   Hold this and by the way, one low flat rate per month
[01:17:32.520 --> 01:17:35.840]   makes it easy to have as many meetings as you need.
[01:17:35.840 --> 01:17:38.800]   As long as you want any time anywhere,
[01:17:38.800 --> 01:17:40.440]   it is a fabulous system.
[01:17:40.440 --> 01:17:43.280]   And I want you to try it free for 30 days.
[01:17:43.280 --> 01:17:45.880]   If you visit go to meeting.com,
[01:17:45.880 --> 01:17:48.200]   you click the try a free button, the big orange button there,
[01:17:48.200 --> 01:17:50.360]   and use a promo code Twit. You got 30 days free.
[01:17:50.360 --> 01:17:53.760]   They don't, I don't think they even ask you for a credit card.
[01:17:53.760 --> 01:17:55.040]   It's just really is simple.
[01:17:55.040 --> 01:17:59.040]   Go to meeting.com promo code Twit 30 days free from Citrix.
[01:17:59.040 --> 01:18:03.760]   It is definitely the way to meet in modern times.
[01:18:03.760 --> 01:18:08.320]   It is in effect the Mercedes concept car of online meeting.
[01:18:08.320 --> 01:18:12.920]   It's funny. This is this is just I just saw this and I said,
[01:18:12.920 --> 01:18:15.080]   I'm not even a car guy and I said, I want that.
[01:18:15.080 --> 01:18:17.640]   Vic Condortre was there.
[01:18:17.640 --> 01:18:21.240]   We now know what Vic is doing since he left Google and Google
[01:18:21.240 --> 01:18:23.600]   plus he's going to car shows.
[01:18:23.600 --> 01:18:26.480]   Pretty much whatever he wants to, I think. Yeah, he's retired.
[01:18:26.480 --> 01:18:33.000]   What else?
[01:18:33.000 --> 01:18:36.560]   It's been such a week week for news for tech news.
[01:18:36.560 --> 01:18:38.760]   You know what I found interesting?
[01:18:38.760 --> 01:18:41.000]   Well, not that you care, but I care.
[01:18:41.000 --> 01:18:43.080]   No, Clayton, please. I beg of you.
[01:18:43.080 --> 01:18:45.360]   I care deeply. I was I was struck.
[01:18:45.360 --> 01:18:48.680]   No, I find interesting Natalie's new profile picture on Facebook.
[01:18:48.680 --> 01:18:51.600]   Oh, I just saw that. Yeah, just popped up.
[01:18:51.600 --> 01:18:53.600]   You know, I took that of her in Portugal.
[01:18:53.600 --> 01:18:58.800]   We were in Portugal for a week last last fall right around the
[01:18:58.800 --> 01:19:00.720]   time he's getting more and more beautiful.
[01:19:00.720 --> 01:19:03.560]   If you don't mind me saying, she's like a fine wine.
[01:19:03.560 --> 01:19:06.680]   She just gets better with a better and better or or a fine cheese.
[01:19:06.680 --> 01:19:08.960]   Like an like an age.
[01:19:08.960 --> 01:19:10.000]   OK, just a little tip.
[01:19:10.000 --> 01:19:12.440]   Never compare your wife to a fine cheese.
[01:19:12.440 --> 01:19:14.400]   She likes an aged good at two.
[01:19:14.400 --> 01:19:18.600]   Anyway, what do you find interesting?
[01:19:18.600 --> 01:19:20.840]   I'm sorry. No, this Microsoft story.
[01:19:20.840 --> 01:19:24.120]   And I, you know, I'd love scobles take on it too, which is that,
[01:19:24.120 --> 01:19:29.840]   you know, Microsoft really ought to release Windows 9 sooner rather than later because
[01:19:29.840 --> 01:19:36.440]   and I, you know, many large enterprise organizations have simply not updated to
[01:19:36.440 --> 01:19:38.720]   Windows 8. I don't know how to get any sooner.
[01:19:38.720 --> 01:19:42.480]   I think September 30th, the beta comes out and it'll be
[01:19:42.480 --> 01:19:44.920]   spring which for the next version of Windows.
[01:19:44.920 --> 01:19:49.440]   Well, and I thought the piece was an interesting article at this afternoon.
[01:19:49.440 --> 01:19:53.640]   I forget who wrote it, but it struck me because really the point of the piece was
[01:19:53.640 --> 01:19:58.800]   around Windows 7 being the issue that you're going to have to pry Windows 7
[01:19:58.800 --> 01:20:00.120]   from my cold dead hand.
[01:20:00.120 --> 01:20:01.880]   You know, Windows 2000 was like that.
[01:20:01.880 --> 01:20:03.520]   Exactly.
[01:20:03.520 --> 01:20:04.720]   For a long time, I just.
[01:20:04.720 --> 01:20:06.560]   Yeah, I wouldn't upgrade.
[01:20:06.560 --> 01:20:07.480]   Yeah. Yeah.
[01:20:07.480 --> 01:20:10.280]   And I mean, you look around at all the computers at, you know, a news
[01:20:10.280 --> 01:20:13.640]   court building and other, you know, I pop into different offices, you know, across
[01:20:13.640 --> 01:20:18.120]   the city, Windows 7 or earlier, none of them are upgrading to Windows 8.
[01:20:18.840 --> 01:20:23.640]   So I, you know, it's, um, Robert, you worked at Scoble.
[01:20:23.640 --> 01:20:26.160]   You were their kind of their blogger and Microsoft.
[01:20:26.160 --> 01:20:27.520]   I mean, what did I say?
[01:20:27.520 --> 01:20:28.440]   Scoble.
[01:20:28.440 --> 01:20:29.520]   You worked at Scoble.
[01:20:29.520 --> 01:20:31.440]   Scoble enterprises.
[01:20:31.440 --> 01:20:32.240]   Yeah.
[01:20:32.240 --> 01:20:35.960]   OK, I really am officially now too old to do this show.
[01:20:35.960 --> 01:20:37.360]   I'm going to retire.
[01:20:37.360 --> 01:20:38.920]   Robert, you worked at Microsoft.
[01:20:38.920 --> 01:20:40.800]   What would you do now?
[01:20:40.800 --> 01:20:46.880]   I mean, uh, this, you know, Windows 8 clearly was a time bomb.
[01:20:47.280 --> 01:20:50.400]   Uh, Steven Sonofsky, the man who designed it gone.
[01:20:50.400 --> 01:20:56.360]   Steven, uh, bomber, the guy who was running the company at the time gone, not only gone as CEO,
[01:20:56.360 --> 01:20:59.480]   but bomber is now out at the on the board.
[01:20:59.480 --> 01:21:01.720]   He's going to go down and run a basketball team.
[01:21:01.720 --> 01:21:08.800]   Uh, I don't know because, uh, uh, Windows is not where my interests are anymore.
[01:21:08.800 --> 01:21:09.600]   Well, guess what?
[01:21:09.600 --> 01:21:10.520]   You're not alone.
