;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Leo is Awful
language=English
artist=Leo Laporte, Dan Patterson, Daniel Rubino, Abrar Al-Heeti
album_artist=TWiT
publisher=TWiT
track=936
date=2023
TRDA=2023-07-17
comment=<p>Microsoft Activision victory, Amazon Prime Day, writer&\#039\;s strike, Taylor Swift</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:05.080]   It's time for Twit this week in tech. I have I love this panel damn Patterson's back
[01:19:17.840 --> 01:19:23.200]   Without again without getting in the way of productivity duo enables high productivity
[01:19:23.680 --> 01:19:27.440]   By intelligently sensing when authentication is needed
[01:19:27.440 --> 01:19:34.160]   And when it's not enabling swift easy secure access doesn't get in the way of your users
[01:19:34.160 --> 01:19:39.920]   But does protect your network duo provides an all-in-one solution for strong mfa
[01:19:39.920 --> 01:19:47.920]   Passwordless single sign-on and trusted endpoint verification duo helps you implement zero trust principles
[01:19:47.920 --> 01:19:52.640]   Throughout your network by verifying users and their devices. It really works
[01:19:52.640 --> 01:19:57.040]   Start your free trial today sign up at cs.co/twit
[01:19:57.040 --> 01:20:00.000]   cs.co/twit
[01:20:00.000 --> 01:20:06.160]   So secure user access without breaking the bank
[01:20:06.160 --> 01:20:10.640]   With sisco duo. It's a great solution. Thank you sisco and duo
[01:20:10.640 --> 01:20:15.040]   They've been great supporters of all of our shows and we really appreciate your help
[01:20:15.040 --> 01:20:17.680]   keeping the lights on
[01:20:17.680 --> 01:20:19.840]   at this weekend tech
[01:20:20.160 --> 01:20:24.160]   It's been a AI AI AI for the last couple of months. I mean really is the
[01:20:24.160 --> 01:20:27.200]   The topic of the hour so interesting to watch companies
[01:20:27.200 --> 01:20:31.520]   You know, metas says oh the metaverse forget that we're not interested in that or
[01:20:31.520 --> 01:20:38.240]   You know google and microsoft and all these guys. Yeah. Yeah, we were just kidding about that stuff. It's AI
[01:20:38.240 --> 01:20:43.200]   AI is the hot the hot ticket you think AI can solve this
[01:20:44.640 --> 01:20:51.680]   this social problem uh by being better and more proactive at protecting social networks
[01:20:51.680 --> 01:20:54.640]   See i worry about this daniel. I think that
[01:20:54.640 --> 01:21:01.120]   I don't want to trust the machine to do this work. I know humans should have to either. I understand
[01:21:01.120 --> 01:21:08.960]   Yeah, uh, so solve is doing a lot of heavy lifting. I wouldn't say solve but definitely aid in right so there's um
[01:21:08.960 --> 01:21:14.320]   There's already this stuff out there right twitter sentiment analysis has been known for a long time
[01:21:14.480 --> 01:21:23.200]   Right, so this looks at your word structure and the types of words you're using in science ratings to those words based on negative positive or neutral
[01:21:23.200 --> 01:21:26.320]   And like you can actually analyze your entire account
[01:21:26.320 --> 01:21:32.720]   It'll go through all your tweets and it'll give you like a rating like whether or not like on average you're a pretty angry person
[01:21:32.720 --> 01:21:36.240]   Or you're a pretty positive person or you write neutral stuff
[01:21:36.240 --> 01:21:41.760]   Um, there's no reason why then you couldn't have your own personalized algorithm based on
[01:21:42.480 --> 01:21:44.480]   Positive or neutral
[01:21:44.480 --> 01:21:50.640]   Uh information coming in well, that's I mean one of our sponsors grammarly does sentiment analysis on your writing
[01:21:50.640 --> 01:21:53.440]   Right and we'll even say i've seen it happen to my wife
[01:21:53.440 --> 01:21:56.080]   You know, you should really tone that
[01:21:56.080 --> 01:22:00.160]   Tom that down. Yep, you might want to put please and thank you in there that kind of thing
[01:22:00.160 --> 01:22:02.960]   She's busy. Yeah, so she doesn't have time to do
[01:22:02.960 --> 01:22:11.360]   That's one way for viewing information is to have it apply to your algorithm and just have that as an option to choose
[01:22:12.160 --> 01:22:14.160]   Or you know, uh
[01:22:14.160 --> 01:22:19.280]   Threads they want to implement this could basically try to block the most negative stuff and just say
[01:22:19.280 --> 01:22:25.840]   You know kind of like I don't like a lot of stuff that uh musk said, but uh, what was his phrase?
[01:22:25.840 --> 01:22:28.000]   Uh
[01:22:28.000 --> 01:22:32.560]   It was free speech without reach, you know, this idea that like if you post negative stuff
[01:22:32.560 --> 01:22:36.240]   Because they're real free to do it, but we're not going to like promote it, right?
[01:22:36.640 --> 01:22:41.920]   I actually agree with that and I think again sentiment analysis can play a part in analyzing those
[01:22:41.920 --> 01:22:47.280]   Uh messages and making sure that they don't get uh, they don't show up in people's timelines as much
[01:22:47.280 --> 01:22:52.720]   Uh, and then you can also have it on your end you mentioned grammarly, but and twitter kind of does this already, right?
[01:22:52.720 --> 01:22:56.480]   I don't know if you've ever tried. Yeah, if you see someone with a lot of swears
[01:22:56.480 --> 01:22:59.040]   Something mean it's like really mean or
[01:22:59.040 --> 01:23:00.880]   Obviously doesn't really like that, you know
[01:23:00.880 --> 01:23:06.000]   So they're already kind of using that already right so you can kind of do it on that and as well
[01:23:06.400 --> 01:23:08.080]   So that is
[01:23:08.080 --> 01:23:14.640]   One way, you know and we already have bot sentinel which is another twitter tool that goes through and analyzes
[01:23:14.640 --> 01:23:20.160]   Accounts based on whether they're trolling or not and it's a really interesting thing and you see i see people using it
[01:23:20.160 --> 01:23:24.640]   They'll be like they'll see someone they'll do an analysis and they give the bot sentinel
[01:23:24.640 --> 01:23:28.720]   Score and it's like oh this person because you'll see it'll be like red hot, you know, they're trolling right?
[01:23:28.720 --> 01:23:31.440]   Um, and it just looks at their history. So that's where I think like
[01:23:32.000 --> 01:23:37.840]   Uh, AI machine learning sentiment sentiment analysis can play a role. I don't think it's going to solve problems
[01:23:37.840 --> 01:23:43.440]   Um, I still would like to get people just to stop posting and necessarily everything that they comes in their head
[01:23:43.440 --> 01:23:50.560]   I don't think they'll need to share an opinion on every single thing in their life. Um, but that's a separate issue. Oh my god
[01:23:50.560 --> 01:23:52.560]   I got to talk about that forever too. Yeah
[01:23:52.560 --> 01:23:53.520]   Yeah
[01:23:53.520 --> 01:23:55.040]   So I I think
[01:23:55.040 --> 01:23:59.600]   This stuff can at least start to play a role in moderation because you're right. You don't want humans doing it
[01:24:00.320 --> 01:24:05.440]   Capital intensive right it's super expensive. It's just hard on you do that. You get to all the countries. Yeah
[01:24:05.440 --> 01:24:08.000]   Yeah, especially with the image analysis, right?
[01:24:08.000 --> 01:24:14.400]   It's been famous articles written about that and the problems there, but first you have to train the AI from humans, you know
[01:24:14.400 --> 01:24:15.920]   To get to that level
[01:24:15.920 --> 01:24:21.200]   Um, so that's where I'm hoping you know, uh, especially stuff for violence and things that we don't want to see
[01:24:21.200 --> 01:24:25.200]   Really, you know, AI I think does have a potential there to filter all things
[01:24:25.280 --> 01:24:31.600]   The problem of course is there will be controversies, right? Some good stuff will get caught up in the bad and then there'll be you know charges
[01:24:31.600 --> 01:24:35.280]   And this is where transparency and algorithms. I think you know really does
[01:24:35.280 --> 01:24:38.000]   Uh, play a role in all things, right?
[01:24:38.000 --> 01:24:41.040]   Sometimes sometimes you sometimes you have to see the bad stuff
[01:24:41.040 --> 01:24:47.440]   Look blue sky is going through this controversy right now where they are making tools that allow you to not see things like
[01:24:47.440 --> 01:24:50.160]   racial slurs and in user and user
[01:24:50.160 --> 01:24:54.480]   Names that doesn't mean they're not being used and not being used to target people
[01:24:54.800 --> 01:24:58.880]   I mean, this that's one reason I never turn these the filters on because I
[01:24:58.880 --> 01:25:03.360]   You want to know it's there. Yeah. Yeah, I I think that like just pretending
[01:25:03.360 --> 01:25:07.120]   It's not there doesn't make the problem go away. It just puts you into a different filter bubble
[01:25:07.120 --> 01:25:10.960]   That was twitter's response for a long time when we were being abused. They said, well, just mute them
[01:25:10.960 --> 01:25:16.320]   Is it yeah, but still everybody else sees it. What is that? What does that help? How does that help me?
[01:25:16.320 --> 01:25:21.840]   Um, there's definitely some truth to you don't want to filter out everything necessarily
[01:25:21.840 --> 01:25:28.880]   But on the other hand, I think it's been proven over time and this is gets into the um, you know regulation stuff people like
[01:25:28.880 --> 01:25:33.520]   Uh moderated communities. Yeah, that's you know, this is always an issue on four
[01:25:33.520 --> 01:25:35.760]   You know like on forums
[01:25:35.760 --> 01:25:40.400]   You know when people go off topic or gets to politics the moderator comes in bands people
[01:25:40.400 --> 01:25:43.840]   Some people don't like that decision being made no you have to do it. Like no, it's good
[01:25:43.840 --> 01:25:49.200]   Otherwise you get fortunate. You know, it doesn't yeah, you have yeah, exactly. Yeah, right and a lot of people just don't want that
[01:25:49.200 --> 01:25:54.080]   So this idea of like having sort of a machine learning act as a moderation tool
[01:25:54.080 --> 01:25:58.800]   I think is you know something that and that's why again threads. It's kind of proving this point, right
[01:25:58.800 --> 01:26:03.200]   A lot of people say like well, why is thread so much better than twitter a lot of us are like it's not elan
[01:26:03.200 --> 01:26:08.800]   That's almost enough, you know, which is kind of sad, but the bar is pretty low for threads right now. Yeah
[01:26:08.800 --> 01:26:12.320]   This is interesting because
[01:26:12.320 --> 01:26:17.360]   When a when chat gbt came out actually dolly before it and then stable diffusion
[01:26:18.240 --> 01:26:20.240]   uh people were kind of
[01:26:20.240 --> 01:26:27.200]   Acting as if a guy could solve every problem and I think one of the things that's happened over the last few months, which is good
[01:26:27.200 --> 01:26:32.240]   Is people are starting to say well it can't but there are some
[01:26:32.240 --> 01:26:38.320]   Uses of ai in a kind of uh directed manner that do make sense
[01:26:38.320 --> 01:26:42.800]   you know using uh, I saw I saw a uh a farm
[01:26:44.720 --> 01:26:46.720]   machine that goes through the
[01:26:46.720 --> 01:26:50.400]   Fields and zaps weeds without because it recognizes weeds
[01:26:50.400 --> 01:26:55.040]   Without zapping the plants now they're doing that with pests as well because it's using ai
[01:26:55.040 --> 01:27:00.400]   To recognize that's a pest that's a plant zap the using lasers to zap the uh pests
[01:27:00.400 --> 01:27:02.880]   So there are some kind of more restrictive
[01:27:02.880 --> 01:27:08.160]   good uses of uh ai than just kind of generally just throwing ai
[01:27:08.160 --> 01:27:09.600]   uh
[01:27:09.600 --> 01:27:11.600]   everything
[01:27:13.360 --> 01:27:15.360]   I think that's a good
[01:27:15.360 --> 01:27:19.200]   Tenancy because we've been really over-selling. I feel like over-hyping
[01:27:19.200 --> 01:27:23.600]   Ai you agree a bar. What how do you come down on this one?
[01:27:23.600 --> 01:27:28.080]   Yeah, it's really all we've been talking about but I think you bring up a good point with any new technology
[01:27:28.080 --> 01:27:34.320]   With any platform and dirt. I do see a lot of parallels between you know, it's not it's not it's kind of comparing apples to oranges
[01:27:34.320 --> 01:27:36.160]   But there are a lot of parallels between
[01:27:36.160 --> 01:27:41.040]   You know social media existing and how we choose to use it and ai existing and how we choose to use it and I think
[01:27:41.440 --> 01:27:46.320]   Um, I think there is a combination of fear and hope when it comes to ai
[01:27:46.320 --> 01:27:51.280]   Um a little bit more fear probably it's not a 50-50 split here, but um, is the fear justified?
[01:27:51.280 --> 01:27:53.280]   Do you think I mean are you do you share the?
[01:27:53.280 --> 01:28:00.320]   The existential terror that ai is going to become skynet and we're going to have to fight the machines
[01:28:00.320 --> 01:28:06.000]   Every time I call myself down. I see an article where someone is like, oh my god. This looks really bad
[01:28:06.000 --> 01:28:09.920]   And I'm like, oh no, and so it's like an up and down for me. It's not a constant level of
[01:28:10.400 --> 01:28:16.800]   Um being at peace with it or being fearful of it. It's it's very much this this uh, there's spikes and then it it drops but
[01:28:16.800 --> 01:28:24.160]   Um, but you know, I think it's really really great to see people in in various sectors and professions speaking up about it
[01:28:24.160 --> 01:28:28.560]   And saying we need to figure this out now we need like before it's too late. We need to
[01:28:28.560 --> 01:28:32.000]   Um put up those guardrails. So I think it's great that people are
[01:28:32.000 --> 01:28:38.240]   Are terrified and outraged and speaking up about it because you know, it's it we could potentially reduce any harm
[01:28:38.640 --> 01:28:40.640]   That that will come out of it
[01:28:40.640 --> 01:28:45.680]   There is there seems to be two groups. There's the one group and and actually amelie bender had a great
[01:28:45.680 --> 01:28:48.560]   uh post on this uh last week
[01:28:48.560 --> 01:28:49.840]   Uh
[01:28:49.840 --> 01:28:56.000]   That the ai safety group that's saying oh my god. It's an existential threat to human kind
[01:28:56.000 --> 01:28:59.840]   Their machines are good and then there's the ai ethics group
[01:28:59.840 --> 01:29:06.160]   Uh of of which timna gebru and margaret mitchell with her stochastic parrots and others
[01:29:07.120 --> 01:29:11.760]   Who are I think a little bit more sensible or saying look don't ai's not gonna
[01:29:11.760 --> 01:29:17.840]   Eat humans, but we should be very concerned about the ethical problems with ai
[01:29:17.840 --> 01:29:20.560]   ai, you know face recognition
[01:29:20.560 --> 01:29:21.920]   Uh, uh
[01:29:21.920 --> 01:29:25.040]   Being less reliable with people of color things like that
[01:29:25.040 --> 01:29:28.320]   Those are the things we should be paying attention to do today
[01:29:28.320 --> 01:29:33.520]   You interviewed dan last month on your uh, uh, substac kathy backster who was
[01:29:34.160 --> 01:29:38.000]   the uh, uh in charge of ethical ai practice at sales force
[01:29:38.000 --> 01:29:40.880]   Tell me about that
[01:29:40.880 --> 01:29:44.800]   So this is actually what i've been doing for jason hiner at cd net. Um, I I
[01:29:44.800 --> 01:29:49.760]   Write a column about ai and it has become about ai ethics
[01:29:49.760 --> 01:29:54.560]   Uh once a week, although we took a little uh break in the early summer once a week i interview
[01:29:54.560 --> 01:29:57.920]   somebody like cat the backster, uh, uh, uh,
[01:29:57.920 --> 01:30:03.520]   In fact a couple of years ago i spoke with nick bostrom i just interviewed him ago. Oh, he's he's one of the uh,
[01:30:03.760 --> 01:30:08.480]   The ai is going to eat our faces. Yeah, although he told me several years ago
[01:30:08.480 --> 01:30:11.520]   I think I interviewed him for tech republic. I find it fascinating
[01:30:11.520 --> 01:30:15.040]   It is he wrote the book it is 10 years old now
[01:30:15.040 --> 01:30:21.440]   But if you haven't read it super intelligence past danger strategies great book super intelligence path danger strategies
[01:30:21.440 --> 01:30:24.480]   He told me i'm paraphrasing, but he told me the great
[01:30:24.480 --> 01:30:31.920]   Danger of artificial intelligence is that we will we will anthropomorphize it and we will overestimate its capabilities
[01:30:32.160 --> 01:30:38.880]   Which puts us at risk of underestimating the potential problems and harms and I think that's exactly right
[01:30:38.880 --> 01:30:42.800]   That's exactly what I was saying, isn't it that we worry
[01:30:42.800 --> 01:30:49.680]   Yeah, being this kind of uh, you know iron giant gray goo and like great. Yeah, and he was a guy
[01:30:49.680 --> 01:30:55.520]   Right and that's great goo though. Wasn't he right? Yeah, bostrom came up with what's called the paper clip maximizer
[01:30:55.520 --> 01:31:01.840]   Which is that you know if we if we don't tune the values of artificial intelligence to be in line with human
[01:31:01.840 --> 01:31:05.520]   Values and we give it a problem to solve and we say like make paper clips
[01:31:05.520 --> 01:31:09.520]   We don't say make paper clips for 10 minutes and then stop
[01:31:09.520 --> 01:31:13.920]   Ais is going to make paper clips until the universe is going to be very good paper clips
[01:31:13.920 --> 01:31:17.920]   By the way, right if you're looking for a game. This is the game for you a bra
[01:31:17.920 --> 01:31:20.400]   It's called universal paper clips
[01:31:20.400 --> 01:31:25.360]   You get to make paper clips and then you get into the AI involved and pretty soon
[01:31:26.080 --> 01:31:32.000]   At the the game ends when you consume the entire every bit of matter in the entire universe to make paper clips
[01:31:32.000 --> 01:31:36.080]   This sounds like a blast. I think I think you would like this
[01:31:36.080 --> 01:31:41.600]   Um, this is one of those games. I keep coming back to it's a simple game. It's not graphical
[01:31:41.600 --> 01:31:46.640]   But it's based on the snicker nick bostrom thesis that yeah, you gotta give the
[01:31:46.640 --> 01:31:51.520]   Really the problem with AI is not the AI the problem of the AI is the humans
[01:31:52.240 --> 01:31:56.320]   You gotta give it the right rules. It's just gonna do what you tell it to do
[01:31:56.320 --> 01:32:02.240]   And so kathy is one of the smartest people in the business right now and she you know, she's connected to this whole
[01:32:02.240 --> 01:32:03.840]   um
[01:32:03.840 --> 01:32:08.800]   network of people who are academics and people like very smart people who are probably not like
[01:32:08.800 --> 01:32:10.160]   a
[01:32:10.160 --> 01:32:17.120]   Camera trained and not loud voices but very smart and really paying attention to the issues of AI ethics
[01:32:17.360 --> 01:32:24.000]   AI bias because you know like we've already noted here, you know, if you train AI on a corpus of data that happens to be bias
[01:32:24.000 --> 01:32:28.640]   Not that we're all racist, but you know if you take a corpus of data that is just from one source
[01:32:28.640 --> 01:32:31.760]   It is going to inherently be biased towards that source
[01:32:31.760 --> 01:32:37.360]   So you will have on the output you will have ends that aren't for the good of all humanity
[01:32:37.360 --> 01:32:40.560]   They will only serve that one particular group of people kathy
[01:32:40.560 --> 01:32:46.080]   Lists the potential real world harms that we could experience right now
[01:32:46.240 --> 01:32:52.080]   And I think that's really important to pay attention to so we don't get distracted by the existential potential problems
[01:32:52.080 --> 01:32:57.680]   Uh, there's one other challenge. I sometimes feel like no one's talking about. I sometimes climate change
[01:32:57.680 --> 01:33:01.040]   Hold on just a but I sometimes feel like yeah, sorry people like sam altman
[01:33:01.040 --> 01:33:10.640]   Uh have a vested interest in us. Yes, ignoring AI ethics and worrying about the existential threat to human kind
[01:33:10.640 --> 01:33:13.760]   They want us to worry about this pay no attention
[01:33:14.400 --> 01:33:17.280]   To the ethical concerns or the immediate concerns
[01:33:17.280 --> 01:33:21.600]   Let's really think about what AI is going to be like when it turns the world into a bunch of paper clips
[01:33:21.600 --> 01:33:27.200]   And I think that's a little self-serving. I've been wondering why these people who seem to be really
[01:33:27.200 --> 01:33:33.120]   Nogible about AI are so worried about AI, you know taking over the world. I don't think that's the
[01:33:33.120 --> 01:33:35.440]   Problem
[01:33:35.440 --> 01:33:42.000]   In any near-term future. All right. Let's take a break before we talk about climate change, but but I that's no no that that's i'm all done
[01:33:42.160 --> 01:33:46.800]   Yeah, I think I will watch this because it sounds like kathy Baxter gets it she works at salesforce
[01:33:46.800 --> 01:33:55.040]   But sounds like that's exactly what she's saying. Right. Am I right? Am I paraphrasing her correctly? Yeah, that's it. You're exactly right. That's what she's saying
[01:33:55.040 --> 01:33:57.120]   Yeah, don't don't worry about these
[01:33:57.120 --> 01:34:00.000]   more
[01:34:00.000 --> 01:34:01.760]   approximate issues
[01:34:01.760 --> 01:34:06.240]   No, you don't have to worry about uh, you know the 23rd century in AI taken over
[01:34:06.240 --> 01:34:11.440]   Uh, let's break though. We got a great panel lots more to talk about. Let's get into AI in a second
[01:34:12.400 --> 01:34:15.200]   That's uh, that's our next topic of discussion
[01:34:15.200 --> 01:34:19.520]   Uh, but first a word from zip recruiter. I know
[01:34:19.520 --> 01:34:24.000]   I know all about how hard it is to hire people
[01:34:24.000 --> 01:34:26.800]   as the owner of a small business
[01:34:26.800 --> 01:34:33.760]   Uh plus as the owner of a small business. I know that you're not just dealing with hiring you're dealing with economic uncertainty
[01:34:33.760 --> 01:34:36.560]   An economy that's up and down
[01:34:37.120 --> 01:34:41.360]   We've all got the challenges, but at least when it comes to getting the right people
[01:34:41.360 --> 01:34:46.240]   You've got a hiring partner who's focused on you and your needs. It's the one we use
[01:34:46.240 --> 01:34:49.520]   And the one I highly recommend zip recruiter
[01:34:49.520 --> 01:34:52.560]   If you're hiring
[01:34:52.560 --> 01:34:57.040]   You got to hire the right people faster more efficiently. You got to keep costs down
[01:34:57.040 --> 01:35:02.720]   zip recruiter helps you do all that from pricing to technology everything that zip recruiter does
[01:35:03.680 --> 01:35:10.640]   Is to help you and to and what works best for you and I want you to try i'm free right now zip recruiter.com
[01:35:10.640 --> 01:35:15.920]   Slash to it. I can go on and on I have gone on I'm at all the things zip recruiter does for us
[01:35:15.920 --> 01:35:17.840]   But let me give you in a nutshell
[01:35:17.840 --> 01:35:20.800]   Some of the things zip recruiter does to make to take care of you
[01:35:20.800 --> 01:35:26.320]   The pricing completely straightforward. You're going to know exactly what it costs before you post your job
[01:35:26.320 --> 01:35:30.560]   No surprises. You can stick to your budget. You know, you're in charge of that
[01:35:31.360 --> 01:35:36.320]   You'll also reach more people than anywhere else because zip recruiter sends your job post to more than 100
[01:35:36.320 --> 01:35:39.600]   Job sites. You're casting the widest possible net
[01:35:39.600 --> 01:35:46.720]   One thing I've really learned is hiring is is what makes your company your company's made of people hiring the right person
[01:35:46.720 --> 01:35:50.240]   Makes a huge difference that you're company. Hiding the wrong person
[01:35:50.240 --> 01:35:53.200]   Also makes a huge difference the wrong kind of difference
[01:35:53.200 --> 01:35:58.320]   You'll want to hire the right person zip recruiter really helps with this because once you post your job
[01:35:59.280 --> 01:36:01.280]   Their smart technology will pinpoint
[01:36:01.280 --> 01:36:03.920]   candidates to qualify
[01:36:03.920 --> 01:36:07.680]   And send you their names. They'll find great candidates for you
[01:36:07.680 --> 01:36:13.600]   Give you the opportunity to invite them to apply for your job. So you look at the resume zip recruiter says
[01:36:13.600 --> 01:36:16.480]   And this you know when we post in zip recruiter
[01:36:16.480 --> 01:36:19.360]   You know, it's breakfast at least it says oh
[01:36:19.360 --> 01:36:21.760]   You know, we just got you know
[01:36:21.760 --> 01:36:25.760]   Ashley just gave us notice. We got to find somebody in the continuity apartment
[01:36:26.800 --> 01:36:31.520]   So she'll post it at breakfast right job opening now immediately that's going out to 100
[01:36:31.520 --> 01:36:34.160]   Job sites so it's going to a lot of people
[01:36:34.160 --> 01:36:38.000]   But then zip recruiter goes through the million resumes current resumes they have on file
[01:36:38.000 --> 01:36:43.440]   Because people come to zip recruiter looking for work and they say well, look here's five people that fit the qualifications
[01:36:43.440 --> 01:36:47.680]   You just posted at least it looks a dozen. Oh, that's good. Oh, that one's great
[01:36:47.680 --> 01:36:52.560]   No, I don't want that one and then invites the people she likes to the to apply to the next step
[01:36:52.560 --> 01:36:55.600]   I gotta tell you when you invite somebody to apply for your job
[01:36:56.240 --> 01:37:00.240]   They apply it's like it's very it's an honor. It's a they're thrilled right?
[01:37:00.240 --> 01:37:03.200]   So it's a great way to start your conversation with a candidate
[01:37:03.200 --> 01:37:10.240]   And then of course you're going to beat the other businesses to the punch because you're going to get those people they're going to apply
[01:37:10.240 --> 01:37:15.600]   You're going to hire them and by lunch we started breakfast by lunch. We always have two or three great candidates
[01:37:15.600 --> 01:37:17.200]   That's a nice feeling
[01:37:17.200 --> 01:37:22.960]   Especially when you're scrambling to fill a position hire the best people with the help of a partner who's all about you
[01:37:23.680 --> 01:37:30.320]   Making your life easier zip recruiter four out of five employers who post on zip recruiter get a quality candidate within the first
[01:37:30.320 --> 01:37:38.400]   Day you want to try and free go to our special address zip recruiter.com slash twit. Please use that address so they know you saw it here zip recruiter
[01:37:38.400 --> 01:37:48.240]   Dot com slash t w i t I can tell you for a fact zip recruiter. It's the smartest way to hire
[01:37:48.240 --> 01:37:51.840]   All right back to ai
[01:37:51.840 --> 01:37:53.840]   I
[01:37:53.840 --> 01:38:01.920]   Sarah Silverman is suing open ai. This isn't actually an interesting case and while i'm a huge fan
[01:38:01.920 --> 01:38:06.080]   I'm i'm not sure I agree with the case
[01:38:06.080 --> 01:38:09.840]   She says you can go to chat gpt
[01:38:09.840 --> 01:38:12.640]   She's suing open ai and meta
[01:38:12.640 --> 01:38:15.440]   Along with others
[01:38:15.440 --> 01:38:18.880]   She's a comedian of course author of a book called bed wetter
[01:38:19.520 --> 01:38:24.240]   She says you can go to chat gpt and say summarize bed wetter
[01:38:24.240 --> 01:38:27.600]   And chat gpt will summarize it
[01:38:27.600 --> 01:38:30.960]   Which she says proves
[01:38:30.960 --> 01:38:36.240]   That it's read my book that it's somewhere
[01:38:36.240 --> 01:38:40.320]   Seen my book and absorbed it into its corpus
[01:38:40.320 --> 01:38:47.440]   Uh, she says the reason is because even though her book is copyrighted
[01:38:47.920 --> 01:38:52.320]   There are a number of sites, uh, which will illicitly
[01:38:52.320 --> 01:38:56.160]   You know torrent sites and so forth put
[01:38:56.160 --> 01:38:59.600]   shadow libraries of copyrighted material online
[01:38:59.600 --> 01:39:06.080]   And that chat gpt would then has then scanned those and that's how it knows what her book is
[01:39:06.080 --> 01:39:16.960]   What does is there merit in this case? I love Sarah Silverman, but I don't think there's any merit to this case
[01:39:17.760 --> 01:39:19.760]   at all
[01:39:19.760 --> 01:39:22.960]   It also feels like there's no precedent yet
[01:39:22.960 --> 01:39:29.040]   So this could be the determinant here where what what becomes of copyright law with something like a yeah
[01:39:29.040 --> 01:39:33.920]   I don't know the answer to that either, but I think this will be really interesting in terms of of setting that precedent seeing
[01:39:33.920 --> 01:39:41.520]   What what happens from here? Uh, yeah, it's the same as the artists suing stable diffusion because
[01:39:41.520 --> 01:39:46.400]   Uh, you know, well you must have looked at my art to be able to draw something that looks like me or
[01:39:46.960 --> 01:39:50.160]   Getty saying we can see kind of a fragments of our
[01:39:50.160 --> 01:39:51.920]   uh
[01:39:51.920 --> 01:39:56.160]   Of our watermark on some of the images that you're putting up so that you must have
[01:39:56.160 --> 01:39:58.560]   looked at our stuff, but
[01:39:58.560 --> 01:40:02.720]   Here's why I think there's no merit in this at all if you ask me to summarize bedwetter
[01:40:02.720 --> 01:40:04.880]   I have read it and I can summarize it
[01:40:04.880 --> 01:40:08.880]   Is that violating Sarah Silverman's copyright? Absolutely not
[01:40:08.880 --> 01:40:14.880]   Isn't there a transformative? Yes, transforming it into something. It's not publishing her book
[01:40:15.680 --> 01:40:20.720]   It's summarizing it which I can do you can do completely legally
[01:40:20.720 --> 01:40:27.280]   And I think the burden of proof here is gonna be difficult because you need to then prove that yes
[01:40:27.280 --> 01:40:32.000]   They did have access to illicit copies of the book. Maybe they bought a copy. I don't know
[01:40:32.000 --> 01:40:35.120]   Yeah
[01:40:35.120 --> 01:40:37.120]   library
[01:40:37.120 --> 01:40:39.920]   Or I mean they could have just summarized
[01:40:39.920 --> 01:40:45.520]   What the dozen two dozen reviews of the book. Yeah, which yeah
[01:40:45.600 --> 01:40:47.520]   What a reviews summarize right a lot of ash
[01:40:47.520 --> 01:40:50.400]   Suing
[01:40:50.400 --> 01:40:52.800]   Yeah
[01:40:52.800 --> 01:40:56.640]   I mean this is I think I understand look I'm sympathetic I understand
[01:40:56.640 --> 01:40:59.600]   um
[01:40:59.600 --> 01:41:02.080]   But when stuff okay, so
[01:41:02.080 --> 01:41:08.240]   I just don't see I don't see them winning these cases because this is
[01:41:08.240 --> 01:41:10.960]   Every artist who ever created a painting
[01:41:11.760 --> 01:41:17.040]   Uh looked at a lot of other art before they did that and maybe even copied some styles first
[01:41:17.040 --> 01:41:21.440]   They hold on to Leo. This is me. No, by the way everybody Benino was our technical director. Hello, Benito
[01:41:21.440 --> 01:41:24.000]   Um, but now you're treating you're an artist you're a creator
[01:41:24.000 --> 01:41:29.120]   So you have a now treating the AI like a person though saying that I can do it, but then why can't the AI?
[01:41:29.120 --> 01:41:33.200]   So because it's an AI it's it's a computer program. This is not a person you're talking about
[01:41:33.200 --> 01:41:36.320]   So why would we treat the first why would we treat the AI to say most people?
[01:41:36.320 --> 01:41:39.520]   Well, we have to treat copyright law. I mean
[01:41:40.240 --> 01:41:43.840]   You're right. I mean uh good luck getting any money out of the machine
[01:41:43.840 --> 01:41:51.200]   When they sue they're not suing the machine. They're suing the people who run the business the company and machines make copies
[01:41:51.200 --> 01:41:55.280]   Like all the time. Yeah, you don't you don't sue a Xerox machine
[01:41:55.280 --> 01:41:59.200]   For copyright infringement. You sue the human who did it
[01:41:59.200 --> 01:42:01.440]   so
[01:42:01.440 --> 01:42:04.800]   Yeah, it's a machine, but they're suing uh sam altman at all
[01:42:04.800 --> 01:42:09.680]   But it's I don't I I don't know is uh, so one thing
[01:42:09.680 --> 01:42:14.320]   Like a bar said this is a precedent setting it is precedent setting, but I don't think they're gonna win this one
[01:42:14.320 --> 01:42:22.320]   Yeah, the ais can do it. I mean adobe adobe is saying very clearly to avoid this. No, we're only gonna license
[01:42:22.320 --> 01:42:24.400]   We're gonna absorb licensed material
[01:42:24.400 --> 01:42:28.880]   Um, we're not gonna but if you put something public on the internet
[01:42:28.880 --> 01:42:33.840]   You're putting it in public
[01:42:33.840 --> 01:42:37.680]   Right
[01:42:38.320 --> 01:42:39.760]   I
[01:42:39.760 --> 01:42:43.120]   Don't I think we'll see of course it will be a precedent
