;FFMETADATA1
title=All the President's Phones
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=690
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2018
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.400]   It's time for Twit.
[01:03:48.320 --> 01:03:50.400]   I mean, the reason they used to take the other phones away
[01:03:50.400 --> 01:03:52.840]   in Blackberry was super secure back in the same--
[01:03:52.840 --> 01:03:53.840]   Maybe it's a presence.
[01:03:53.840 --> 01:03:56.760]   But Obama's Blackberry was immediately taken from him
[01:03:56.760 --> 01:03:59.680]   and he was given a kind of crappy Windows CE phone.
[01:03:59.680 --> 01:04:01.640]   Yeah, it's because once you're using a normal phone,
[01:04:01.640 --> 01:04:02.760]   there's all sorts of ways--
[01:04:02.760 --> 01:04:03.840]   you don't have to get on the phone.
[01:04:03.840 --> 01:04:06.560]   There's all sorts of radios being beamed out of that phone.
[01:04:06.560 --> 01:04:08.000]   All through the air, there's lines
[01:04:08.000 --> 01:04:10.360]   that are going out and through the carriers.
[01:04:10.360 --> 01:04:12.400]   US government does that all the time.
[01:04:12.400 --> 01:04:14.400]   It is rife for exfiltration.
[01:04:14.400 --> 01:04:17.760]   And you just don't want anybody using a non-hardened, non-NSA,
[01:04:17.760 --> 01:04:21.600]   non-completely-cryptoed phone for any means,
[01:04:21.600 --> 01:04:22.520]   any government thing.
[01:04:22.520 --> 01:04:25.880]   So Wired, Lilly, Hay Newman, and Wired had an article on,
[01:04:25.880 --> 01:04:27.880]   well, how would this work?
[01:04:27.880 --> 01:04:30.960]   One thing we know is there's stingrays all over Washington.
[01:04:30.960 --> 01:04:35.720]   Some of them run by national intelligence agencies.
[01:04:35.720 --> 01:04:37.560]   Some of them, we don't know who they're run by.
[01:04:37.560 --> 01:04:40.480]   Those are fake cell towers that can
[01:04:40.480 --> 01:04:44.280]   intercept phone calls and impersonate cell towers.
[01:04:44.280 --> 01:04:46.760]   They're like man in the middle attacks, but for cell phones.
[01:04:46.760 --> 01:04:50.400]   There's also the issue of SS7.
[01:04:50.400 --> 01:04:53.240]   She goes into this great detail.
[01:04:53.240 --> 01:04:59.240]   SS7 is the broadband software that's basically in all phones.
[01:04:59.240 --> 01:05:03.920]   And it was invented in 1975 and is laden with issues
[01:05:03.920 --> 01:05:06.120]   and has been hacked multiple times.
[01:05:06.120 --> 01:05:08.720]   And that would be another venue, another avenue.
[01:05:08.720 --> 01:05:11.400]   In fact, probably what you'd do is do both.
[01:05:11.400 --> 01:05:12.000]   Right?
[01:05:12.000 --> 01:05:14.560]   So I think you have to think, you know,
[01:05:14.560 --> 01:05:17.680]   I'm going to give the security community the benefit
[01:05:17.680 --> 01:05:21.800]   of the doubt here because there are a lot of really smart people
[01:05:21.800 --> 01:05:24.600]   that have served on multiple administrations that have
[01:05:24.600 --> 01:05:26.840]   been working on this stuff for a long time.
[01:05:26.840 --> 01:05:30.840]   And if this is the case, if this report's right,
[01:05:30.840 --> 01:05:35.080]   I have to believe that the moment he came in that they,
[01:05:35.080 --> 01:05:39.480]   for example, maybe swapped out that SIM card with some super
[01:05:39.480 --> 01:05:44.120]   encrypted, different kind of SIM cards.
[01:05:44.120 --> 01:05:46.280]   Like, yeah, yeah, you're not using that anymore.
[01:05:46.280 --> 01:05:49.080]   Maybe they even swapped out the iPhones themselves, right?
[01:05:49.080 --> 01:05:51.480]   And have, you know, versions that they've--
[01:05:51.480 --> 01:05:54.240]   Yeah, it's sure this looks like it felt,
[01:05:54.240 --> 01:05:58.000]   but they've swapped out the radios in it or something, right?
[01:05:58.000 --> 01:06:01.080]   So for all that he knows, he's using this on an iPhone,
[01:06:01.080 --> 01:06:05.680]   but it's a different device, you know, a bit on the inside.
[01:06:05.680 --> 01:06:08.280]   I just think they've been working on this problem.
[01:06:08.280 --> 01:06:11.680]   And for a long time, I'm sure that when Obama walked in,
[01:06:11.680 --> 01:06:13.480]   they told him and they showed him, like, look,
[01:06:13.480 --> 01:06:15.160]   we've got everything you've been doing.
[01:06:15.160 --> 01:06:16.760]   And when you think you're secure,
[01:06:16.760 --> 01:06:20.280]   we can show you that we've gotten all of your messages.
[01:06:20.280 --> 01:06:22.760]   There have been some sort of reports to that effect
[01:06:22.760 --> 01:06:25.160]   that showed how insecure it was.
[01:06:25.160 --> 01:06:28.320]   And that was, at the time, the most secure phone
[01:06:28.320 --> 01:06:32.560]   you could get straight off of the streets.
[01:06:32.560 --> 01:06:35.240]   So if this is the case, I don't think
[01:06:35.240 --> 01:06:39.800]   it's a case of utter incompetence on the part
[01:06:39.800 --> 01:06:41.000]   of the security community.
[01:06:41.000 --> 01:06:45.480]   I think that they likely have that thing locked down one way.
[01:06:45.480 --> 01:06:47.480]   Oh, God, I hope so.
[01:06:47.480 --> 01:06:49.840]   In 2016, President Obama--
[01:06:49.840 --> 01:06:51.600]   Couldn't be a target, though.
[01:06:51.600 --> 01:06:53.160]   Yeah, well, that's the other problem.
[01:06:53.160 --> 01:06:54.160]   He knows what he's--
[01:06:54.160 --> 01:06:56.480]   [LAUGHTER]
[01:06:56.480 --> 01:06:58.000]   I doubt it.
[01:06:58.000 --> 01:07:00.600]   I doubt he has that phone in his hands very often.
[01:07:00.600 --> 01:07:02.080]   I think that a lot--
[01:07:02.080 --> 01:07:04.800]   I think he's probably dictating a lot of those tweets
[01:07:04.800 --> 01:07:06.000]   to other people.
[01:07:06.000 --> 01:07:07.160]   I mean, I mean, I mean--
[01:07:07.160 --> 01:07:10.840]   2016, Obama got the first presidential smartphone,
[01:07:10.840 --> 01:07:15.840]   but he told Jimmy Fallon, it's more like a toddler phone.
[01:07:15.840 --> 01:07:17.640]   Weren't there-- because of it, it was like a suit.
[01:07:17.640 --> 01:07:19.720]   It was like, was running Windows embedded or something.
[01:07:19.720 --> 01:07:21.560]   It was like, completely hardened.
[01:07:21.560 --> 01:07:22.560]   Yeah.
[01:07:22.560 --> 01:07:23.560]   Yeah.
[01:07:23.560 --> 01:07:25.520]   You know, most of those people in Washington,
[01:07:25.520 --> 01:07:29.120]   like the DOJ and Secret Service and all of that,
[01:07:29.120 --> 01:07:32.320]   99% of the people that work in those agencies
[01:07:32.320 --> 01:07:34.920]   are professionals that work there
[01:07:34.920 --> 01:07:36.840]   and have worked there for a long time.
[01:07:36.840 --> 01:07:38.760]   They tend to have people tend to be in those jobs
[01:07:38.760 --> 01:07:40.120]   for a long, long time.
[01:07:40.120 --> 01:07:41.720]   And such a small percentage of them
[01:07:41.720 --> 01:07:43.440]   are political appointees.
[01:07:43.440 --> 01:07:45.800]   And they're a bit firewalled from the rest
[01:07:45.800 --> 01:07:47.240]   of what really happens, right?
[01:07:47.240 --> 01:07:48.880]   They're more public spokespeople.
[01:07:48.880 --> 01:07:49.840]   Yes.
[01:07:49.840 --> 01:07:53.320]   I think, thank you for speaking, calming us all down
[01:07:53.320 --> 01:07:57.160]   a little bit, Jason, because I think you're absolutely right.
[01:07:57.160 --> 01:07:58.360]   I mean, who knows what he's doing,
[01:07:58.360 --> 01:08:01.840]   but I'm sure that there are trained professionals.
[01:08:01.840 --> 01:08:03.280]   The minute that phone is put on the desk,
[01:08:03.280 --> 01:08:04.720]   it is swept on your night off today.
[01:08:04.720 --> 01:08:07.480]   Off-sec professionals who are doing something.
[01:08:07.480 --> 01:08:08.760]   Yeah.
[01:08:08.760 --> 01:08:11.000]   Meanwhile, according to Vox,
[01:08:11.000 --> 01:08:12.280]   the midterms are already hacked.
[01:08:12.280 --> 01:08:14.480]   You just don't know it yet.
[01:08:14.480 --> 01:08:16.200]   We had last week Dan Patterson on,
[01:08:16.200 --> 01:08:19.800]   who's done a really great thing for CBS on election hacking
[01:08:19.800 --> 01:08:23.160]   or 10-piece thing for CBS Radio News,
[01:08:23.160 --> 01:08:26.960]   a similar article quoting an investigation
[01:08:26.960 --> 01:08:29.720]   into the US election system
[01:08:29.720 --> 01:08:33.400]   showing, according to Vox, frightening vulnerabilities
[01:08:33.400 --> 01:08:35.520]   at almost every level.
[01:08:36.640 --> 01:08:39.280]   The good news is, and Dan referred to this,
[01:08:39.280 --> 01:08:43.240]   is that we have such a heterogeneous voting system
[01:08:43.240 --> 01:08:45.480]   that it's really county by county,
[01:08:45.480 --> 01:08:48.360]   and so it'd be very hard to do kind of a mass hack.
[01:08:48.360 --> 01:08:50.400]   The other side of that equation is
[01:08:50.400 --> 01:08:54.520]   the nature of electoral politics in this country
[01:08:54.520 --> 01:08:57.800]   is that it doesn't take that many votes to sway
[01:08:57.800 --> 01:08:59.320]   an election one way or the other.
[01:08:59.320 --> 01:09:00.720]   And in the right place.
[01:09:00.720 --> 01:09:01.880]   In the right place.
[01:09:01.880 --> 01:09:03.920]   That's what really matters.
[01:09:03.920 --> 01:09:07.680]   The 2016 election was pretty much came down
[01:09:07.680 --> 01:09:10.280]   to roughly 80,000 votes
[01:09:10.280 --> 01:09:15.280]   in a handful of small regions in four states,
[01:09:15.280 --> 01:09:17.840]   sort of clustered around the Great Lakes.
[01:09:17.840 --> 01:09:26.040]   You don't need to bus in people to pull the lever
[01:09:26.040 --> 01:09:29.720]   using fake IDs.
[01:09:29.720 --> 01:09:32.720]   All you need to do is either change a few votes
[01:09:32.720 --> 01:09:37.720]   or suppress a few votes in a few key areas.
[01:09:37.720 --> 01:09:41.640]   - So we did a seven part series on Tech Republic
[01:09:41.640 --> 01:09:44.360]   where we went to states and we talked to them
[01:09:44.360 --> 01:09:46.800]   'cause a lot of this is handled not at the federal level,
[01:09:46.800 --> 01:09:48.000]   at the state level.
[01:09:48.000 --> 01:09:51.880]   There's a big federal grant that was given out
[01:09:51.880 --> 01:09:54.400]   and the states could apply for that money.
[01:09:54.400 --> 01:09:57.600]   And then, so our series looked at what the states
[01:09:57.600 --> 01:10:02.160]   have actually been doing to secure the 2018 midterms
[01:10:02.160 --> 01:10:03.160]   over the past two years.
[01:10:03.160 --> 01:10:05.280]   So we've got Illinois, we've got Florida,
[01:10:05.280 --> 01:10:08.440]   we've got Ohio, West Virginia, which is using blockchain
[01:10:08.440 --> 01:10:09.720]   and experiment with blockchain.
[01:10:09.720 --> 01:10:11.240]   As probably many people have heard about,
[01:10:11.240 --> 01:10:14.680]   Washington and a couple others, Pennsylvania,
[01:10:14.680 --> 01:10:16.240]   which is going back to paper.
[01:10:16.240 --> 01:10:18.560]   And we talk about in this series,
[01:10:18.560 --> 01:10:20.960]   the steps that are being done,
[01:10:20.960 --> 01:10:23.480]   the ways that they're changing auditing,
[01:10:23.480 --> 01:10:27.720]   the ways that paper is being used to back up votes
[01:10:27.720 --> 01:10:30.720]   and the ways that they're using resources
[01:10:30.720 --> 01:10:32.400]   that they have at their disposal,
[01:10:32.400 --> 01:10:34.640]   like in many cases, universities,
[01:10:34.640 --> 01:10:37.680]   where they have university experts in cybersecurity,
[01:10:37.680 --> 01:10:40.880]   or in some cases, even their military,
[01:10:40.880 --> 01:10:44.400]   like their national guard and folks like that,
[01:10:44.400 --> 01:10:46.160]   where they have cybersecurity experts
[01:10:46.160 --> 01:10:48.680]   and they're bringing them in to consult
[01:10:48.680 --> 01:10:50.320]   and make sure the elections are locked down.
[01:10:50.320 --> 01:10:52.200]   So I think if you read that seven part series
[01:10:52.200 --> 01:10:54.660]   on Tech Republic, you'll feel a little bit better
[01:10:54.660 --> 01:10:56.880]   about the people that are trying to do this
[01:10:56.880 --> 01:10:57.840]   in really smart ways.
[01:10:57.840 --> 01:11:02.760]   Actually, the one that's been using some really smart ways
[01:11:02.760 --> 01:11:04.960]   to attack this for a long time is Colorado.
[01:11:04.960 --> 01:11:08.640]   And we also have them in the series as well.
[01:11:08.640 --> 01:11:13.640]   So be confident that there are smart people
[01:11:13.640 --> 01:11:16.320]   working on this problem.
[01:11:16.320 --> 01:11:18.280]   It doesn't mean that it's gonna be foolproof,
[01:11:18.280 --> 01:11:21.560]   but they are serious and they have been seriously working
[01:11:21.560 --> 01:11:22.800]   on this for a couple of years.
[01:11:22.800 --> 01:11:27.280]   And it's not perfect, but they have made a lot of progress
[01:11:27.280 --> 01:11:28.400]   since 2016.
[01:11:28.400 --> 01:11:31.440]   - And of course, it's not just the US.
[01:11:31.440 --> 01:11:34.000]   In fact, the Brazilian election is over now.
[01:11:34.000 --> 01:11:36.600]   As of today, the far right evangelical,
[01:11:36.600 --> 01:11:40.520]   Haribo Sonaro is now president of Brazil.
[01:11:40.520 --> 01:11:43.040]   And there is definitely an internet component
[01:11:43.040 --> 01:11:47.720]   and interesting article on BuzzFeed News today about that.
[01:11:47.720 --> 01:11:49.040]   So, but that's politics.
[01:11:49.040 --> 01:11:52.280]   I won't get too far into politics.
[01:11:52.280 --> 01:11:54.160]   However, let's talk about this one.
[01:11:54.160 --> 01:11:56.240]   And this is the story that just keeps on giving.
[01:11:56.240 --> 01:12:00.280]   We're talking about the Bloomberg Super Micro Chinese Hack Story.
[01:12:00.280 --> 01:12:03.280]   Now Amazon has pulled its ads from Bloomberg
[01:12:03.280 --> 01:12:08.000]   and sources say according to Joseph Bernstein at BuzzFeed,
[01:12:08.000 --> 01:12:10.880]   both Amazon and Apple are taking retributive measures
[01:12:10.880 --> 01:12:12.280]   against Bloomberg.
[01:12:12.280 --> 01:12:14.840]   Apple did not invite Bloomberg to its event.
[01:12:14.840 --> 01:12:17.320]   - Oh no, shock is Mark Herman, right?
[01:12:17.320 --> 01:12:19.560]   I mean, he's not the one who reported that,
[01:12:19.560 --> 01:12:20.880]   but he wasn't gonna get it uploaded.
[01:12:20.880 --> 01:12:22.000]   - He wasn't gonna get invited anyway, I suspect.
[01:12:22.000 --> 01:12:24.120]   - No, he's been to all the most recent Apple events.
[01:12:24.120 --> 01:12:25.240]   Yeah, he's been to every one of them
[01:12:25.240 --> 01:12:26.200]   since he went to Bloomberg.
[01:12:26.200 --> 01:12:28.720]   - Well, I wonder if he's not going
[01:12:28.720 --> 01:12:32.400]   and pulling ads, Amazon pulling ads from Bloomberg.
[01:12:32.400 --> 01:12:35.480]   This is, well, you've dealt with this ad bottom, sure.
[01:12:35.480 --> 01:12:38.120]   And I remember the Ziff Davis had a very good
[01:12:38.120 --> 01:12:41.480]   and admirable policy for years not to give in
[01:12:41.480 --> 01:12:44.800]   to this kind of blackmail from companies over advertising.
[01:12:44.800 --> 01:12:46.800]   - Yeah, access journalism, you know?
[01:12:46.800 --> 01:12:48.480]   - Yeah, yeah, yeah.
[01:12:48.480 --> 01:12:52.440]   I mean, the firewall between advertising
[01:12:52.440 --> 01:12:55.760]   and editorial is there.
[01:12:55.760 --> 01:13:00.760]   And so advertisers are free to pull their ads
[01:13:00.760 --> 01:13:04.360]   and they did, I mean, I remember that they did.
[01:13:04.360 --> 01:13:07.280]   And I cannot remember a single time
[01:13:07.280 --> 01:13:09.960]   that we were ever told to change our coverage.
[01:13:09.960 --> 01:13:14.960]   That being said, this story is so far off the rails
[01:13:14.960 --> 01:13:18.800]   of anything I have ever seen.
[01:13:18.800 --> 01:13:22.760]   There's, I've never seen a story
[01:13:22.760 --> 01:13:26.920]   where all of the primary subjects of it
[01:13:26.920 --> 01:13:31.920]   are denying in the most unequivocal terms.
[01:13:31.920 --> 01:13:36.360]   There's no weasel words, there's no,
[01:13:36.360 --> 01:13:39.280]   oh, well, they left out this thing there
[01:13:39.280 --> 01:13:40.720]   so that leaves the possibility
[01:13:40.720 --> 01:13:43.600]   that maybe they're hiding this thing in there.
[01:13:43.600 --> 01:13:45.440]   I mean, unequivocal denials,
[01:13:46.840 --> 01:13:51.840]   sources who are backing down from the gist of the story
[01:13:51.840 --> 01:13:56.400]   and saying we don't support the gist of the story.
[01:13:56.400 --> 01:13:59.200]   And even people in the government who are saying,
[01:13:59.200 --> 01:14:02.640]   we've looked at this and we can't find any evidence of this.
[01:14:02.640 --> 01:14:07.320]   And Bloomberg is, the thing that I find just baffling about
[01:14:07.320 --> 01:14:09.360]   this is that Bloomberg is simply saying,
[01:14:09.360 --> 01:14:11.440]   well, we stand behind our story.
[01:14:11.440 --> 01:14:14.440]   Rather than saying, okay,
[01:14:15.760 --> 01:14:18.040]   we didn't wanna have to do this, but here,
[01:14:18.040 --> 01:14:22.320]   this is where if you're really good investigative reporters,
[01:14:22.320 --> 01:14:25.360]   you have a suitcase full of documents
[01:14:25.360 --> 01:14:27.800]   and you bring the suitcase in and you open it up
[01:14:27.800 --> 01:14:31.320]   and you pull these things out and they land on the table
[01:14:31.320 --> 01:14:34.400]   with a satisfying thunk.
[01:14:34.400 --> 01:14:37.440]   And then you start,
[01:14:37.440 --> 01:14:39.840]   and then you start going through them
[01:14:39.840 --> 01:14:42.360]   and explaining why you wrote the story you did.
[01:14:42.360 --> 01:14:46.600]   And the fact that Bloomberg has not mounted
[01:14:46.600 --> 01:14:51.600]   a defense of this story just confounds me.
[01:14:51.600 --> 01:14:53.120]   I don't--
[01:14:53.120 --> 01:14:54.520]   - It doesn't pass the smell test.
[01:14:54.520 --> 01:14:56.640]   This was a starting to get to where it doesn't pass
[01:14:56.640 --> 01:14:58.360]   the smell test.
[01:14:58.360 --> 01:14:59.520]   I agree with Ed.
[01:14:59.520 --> 01:15:03.320]   It's, it feels like they should be more vigorously
[01:15:03.320 --> 01:15:07.520]   defending it or saying, look, we're gonna go back
[01:15:07.520 --> 01:15:10.640]   and look, we wanna make sure the truth comes out, right?
[01:15:10.640 --> 01:15:12.120]   We're about telling the truth.
[01:15:12.120 --> 01:15:15.320]   And that's our job and we're gonna make sure we do it right.
[01:15:15.320 --> 01:15:16.960]   And so we're gonna go back to,
[01:15:16.960 --> 01:15:19.760]   and look at these sources again and dig deeper
[01:15:19.760 --> 01:15:22.800]   and we'll let you know what we find out kind of thing.
[01:15:22.800 --> 01:15:24.960]   - It just baffles me.
[01:15:24.960 --> 01:15:28.560]   They really, I mean, this is a prestigious publication
[01:15:28.560 --> 01:15:31.360]   that put its reputation on the line.
[01:15:31.360 --> 01:15:33.400]   - Although this writer seems to be not the first time
[01:15:33.400 --> 01:15:36.080]   this has happened with his particular stories.
[01:15:36.080 --> 01:15:37.240]   - Well, there's two writers on them.
[01:15:37.240 --> 01:15:41.000]   One of them is a very technical and understands a lot.
[01:15:41.000 --> 01:15:46.000]   The other, there was a story that he said that the NSA,
[01:15:46.000 --> 01:15:49.080]   I'm trying to remember what the details of it were,
[01:15:49.080 --> 01:15:50.680]   but the NSA had done something
[01:15:50.680 --> 01:15:51.880]   and no one else could confirm it,
[01:15:51.880 --> 01:15:54.600]   but it was never proven wrong either.
[01:15:54.600 --> 01:15:57.240]   So I doubt that,
[01:15:57.240 --> 01:16:01.640]   I doubt that Bloomberg management,
[01:16:01.640 --> 01:16:03.760]   their editor in chief was very respected
[01:16:03.760 --> 01:16:06.480]   and they'd worked on this for two years.
[01:16:06.480 --> 01:16:09.080]   I doubt that they would, you know,
[01:16:09.080 --> 01:16:12.800]   let this guy make a big mistake or lie.
[01:16:12.800 --> 01:16:14.360]   I just don't understand the deal.
[01:16:14.360 --> 01:16:16.760]   - The story that I've heard and it's like sort of making
[01:16:16.760 --> 01:16:19.440]   the rounds is that this, it really is Red Team Three
[01:16:19.440 --> 01:16:21.520]   from the newsroom, which is absurd,
[01:16:21.520 --> 01:16:24.760]   but there was a story sort of given that was so compelling
[01:16:24.760 --> 01:16:26.360]   that everything else that he looked at
[01:16:26.360 --> 01:16:27.520]   was through the lens of that story.
[01:16:27.520 --> 01:16:29.600]   It wasn't, does this make,
[01:16:29.600 --> 01:16:31.240]   like he didn't go out and interview people
[01:16:31.240 --> 01:16:32.280]   and say what is happening.
[01:16:32.280 --> 01:16:34.320]   He's like, does everything he heard was,
[01:16:34.320 --> 01:16:37.240]   can I use this to corroborate this really compelling story
[01:16:37.240 --> 01:16:38.800]   that I wanna get published?
[01:16:38.800 --> 01:16:42.200]   And when you hear bits of report it.
[01:16:42.200 --> 01:16:43.560]   - He'd been working on it for two years.
[01:16:43.560 --> 01:16:45.200]   They had 17 sources.
[01:16:45.200 --> 01:16:46.560]   - Wouldn't, at some point--
[01:16:46.560 --> 01:16:48.280]   - But doesn't tell any of what they say.
[01:16:48.280 --> 01:16:50.160]   Like those sources could be corroborating--
[01:16:50.160 --> 01:16:51.000]   - He could make a mistake.
[01:16:51.000 --> 01:16:51.840]   - He could make a mistake.
[01:16:51.840 --> 01:16:52.680]   - Yeah, yeah.
[01:16:52.680 --> 01:16:55.280]   - It's still China, it's still a black box, you know.
[01:16:55.280 --> 01:16:59.360]   - So does it make sense that if this did happen
[01:16:59.360 --> 01:17:02.760]   that eventually sometime in the near future,
[01:17:02.760 --> 01:17:04.080]   somebody would come forward and say,
[01:17:04.080 --> 01:17:05.880]   "Yeah, here's a super micro motherboard here."
[01:17:05.880 --> 01:17:07.200]   - Get them some information
[01:17:07.200 --> 01:17:09.880]   on the FBI investigation at some point, right?
[01:17:09.880 --> 01:17:11.960]   - Well, but if you say national security
[01:17:11.960 --> 01:17:15.040]   you could probably keep all that information secret.
[01:17:15.040 --> 01:17:16.400]   - Sometimes you can.
[01:17:16.400 --> 01:17:17.240]   - Sometimes you can.
[01:17:17.240 --> 01:17:18.560]   - Yeah.
[01:17:18.560 --> 01:17:20.840]   - I think we'll know one way or another on this story.
[01:17:20.840 --> 01:17:25.840]   It will go down as one of the biggest blunder investigations
[01:17:25.840 --> 01:17:32.480]   of all time or it will come out that actually they were right
[01:17:32.480 --> 01:17:35.800]   and this has been hidden and even all of these companies
[01:17:35.800 --> 01:17:36.720]   that are denying it.
[01:17:36.720 --> 01:17:39.680]   - Even that, that would be the worst shocking.
[01:17:39.680 --> 01:17:44.680]   - Right, and so the one possible explanation that I've heard
[01:17:44.680 --> 01:17:49.480]   and it's pure speculation, there's no evidence for this
[01:17:49.480 --> 01:17:53.400]   but then again, there's no evidence for the story itself
[01:17:53.400 --> 01:17:57.360]   is that this was a disinform,
[01:17:57.360 --> 01:18:02.360]   is that the possibility that this is a disinformation campaign
[01:18:02.360 --> 01:18:04.040]   from the US government.
[01:18:04.040 --> 01:18:08.840]   And that somebody, yeah, that somebody planted this story
[01:18:08.840 --> 01:18:12.920]   as a way to, you know, reduce confidence,
[01:18:12.920 --> 01:18:13.920]   - And confidence,
[01:18:13.920 --> 01:18:15.680]   - And change. - Reduce confidence.
[01:18:15.680 --> 01:18:19.720]   - Yeah, I mean, look, our administration
[01:18:19.720 --> 01:18:23.040]   doesn't want us buying stuff made in China, period.
[01:18:23.040 --> 01:18:26.120]   That you don't need to go too far to find a motive for that.
[01:18:26.120 --> 01:18:29.720]   I'm increasingly of the opinion that this must be
[01:18:29.720 --> 01:18:32.000]   what happened, that it was planted.
[01:18:32.000 --> 01:18:33.720]   - It's sort of like what Andy said on Macbreak,
[01:18:33.720 --> 01:18:36.040]   where like you'd think by now, someone else would have talked,
[01:18:36.040 --> 01:18:37.400]   like someone in the investigation,
[01:18:37.400 --> 01:18:38.840]   someone else who'd heard this,
[01:18:38.840 --> 01:18:41.120]   some other like the New York Times is investing huge,
[01:18:41.120 --> 01:18:43.920]   other outlets are spending a fortune trying to find
[01:18:43.920 --> 01:18:45.480]   whether they can prove or disprove this
[01:18:45.480 --> 01:18:46.400]   and there's been nothing.
[01:18:46.400 --> 01:18:47.880]   - Nothing, but there's a silence.
[01:18:47.880 --> 01:18:49.320]   There's been nothing with silence.
[01:18:49.320 --> 01:18:50.840]   One way or another.
[01:18:50.840 --> 01:18:52.080]   - Well, but you can't disprove a negative.
[01:18:52.080 --> 01:18:54.160]   So like they can, the New York Times can't say,
[01:18:54.160 --> 01:18:55.840]   we've proven it didn't happen, but you know,
[01:18:55.840 --> 01:18:57.720]   if they could, they would absolutely say,
[01:18:57.720 --> 01:18:59.520]   we found these other five sources
[01:18:59.520 --> 01:19:01.200]   who corroborate the Bloomberg story.
[01:19:01.200 --> 01:19:02.200]   - Right, right, right.
[01:19:02.200 --> 01:19:03.880]   That's a good point too.
[01:19:03.880 --> 01:19:06.800]   Amazon's fourth quarter results came out.
[01:19:06.800 --> 01:19:11.680]   Amazon's stock plunged 10% costing Jeff Bezos
[01:19:11.680 --> 01:19:14.240]   of $14 billion.
[01:19:14.240 --> 01:19:16.280]   He's no longer, I think, the richest man in the world.
[01:19:16.280 --> 01:19:18.200]   He's only number two, but that's okay.
[01:19:18.200 --> 01:19:19.520]   - He had to have it to lose it, Leo,
[01:19:19.520 --> 01:19:21.360]   and that's not a good chance.
[01:19:21.360 --> 01:19:22.200]   (laughing)
[01:19:22.200 --> 01:19:25.160]   - And you know what, it'll probably go right back up.
[01:19:25.160 --> 01:19:26.880]   One of the things I learned from this though,
[01:19:26.880 --> 01:19:30.120]   is how much money Amazon's making on advertising,
[01:19:30.120 --> 01:19:34.440]   online advertising, that is a huge business for Amazon.
[01:19:34.440 --> 01:19:36.120]   One you wouldn't really expect.
[01:19:36.120 --> 01:19:43.360]   And by the way, they are kind of profitable.
[01:19:43.360 --> 01:19:46.520]   So whether they met the street expectations.
[01:19:46.520 --> 01:19:49.760]   - This is now seven, eight, nine quarters in a row
[01:19:49.760 --> 01:19:52.360]   of profitability.
[01:19:52.360 --> 01:19:55.520]   After years and years and years of being criticized
[01:19:55.520 --> 01:19:59.720]   as a company that was just always plowing
[01:19:59.720 --> 01:20:02.680]   whatever profits it made back into the business,
[01:20:02.680 --> 01:20:05.440]   investing in infrastructure, and investing
[01:20:05.440 --> 01:20:09.760]   in what turned out to become AWS.
[01:20:09.760 --> 01:20:13.880]   But nobody really sort of grocked that at the time.
[01:20:13.880 --> 01:20:17.600]   But after all those years, they're now delivering
[01:20:17.600 --> 01:20:20.600]   a steady profit every single quarter.
[01:20:20.600 --> 01:20:25.600]   - AWS 46% sales increase, total revenue up 29%.
[01:20:27.000 --> 01:20:32.000]   Net income up 10 times 1,000% year over year,
[01:20:32.000 --> 01:20:36.600]   a record high $2.8 billion.
[01:20:36.600 --> 01:20:39.120]   But the market said you didn't meet expectations.
[01:20:39.120 --> 01:20:41.320]   - They managed profitability so carefully.
[01:20:41.320 --> 01:20:43.440]   - Yeah, anyway, interesting.
[01:20:43.440 --> 01:20:47.240]   - And remember 10% of the cloud of enterprises
[01:20:47.240 --> 01:20:48.880]   are all cloud today.
[01:20:48.880 --> 01:20:51.280]   It's gonna be 80% by 2025.
[01:20:51.280 --> 01:20:52.520]   - It's probably gonna grow.
[01:20:52.520 --> 01:20:54.400]   - Where's Amazon gonna be by then, right?
[01:20:54.400 --> 01:20:57.800]   It's gonna be the biggest company in the world by far.
[01:20:57.800 --> 01:21:02.560]   - Let's take a little break at Bot.
[01:21:02.560 --> 01:21:05.680]   Jason Heiner, Renee Ritchie,
[01:21:05.680 --> 01:21:07.000]   always a pleasure to have you guys.
[01:21:07.000 --> 01:21:11.040]   Bot Heiner and Ritchie sounds like a murderous row
[01:21:11.040 --> 01:21:13.440]   from the 1927 Yankees.
[01:21:13.440 --> 01:21:14.920]   Bot to Heiner to Ritchie.
[01:21:14.920 --> 01:21:19.320]   We had a great week this week
[01:21:19.320 --> 01:21:21.080]   and we have made a little video for your--
[01:21:21.080 --> 01:21:21.920]   - Seriously, enjoy it.
[01:21:21.920 --> 01:21:22.880]   - On Twitch.
[01:21:22.880 --> 01:21:25.440]   - How about a new course to teach people
[01:21:25.440 --> 01:21:27.520]   about fairness and machine learning?
[01:21:27.520 --> 01:21:28.840]   So what do you see?
[01:21:28.840 --> 01:21:33.240]   Bananas, stickers, or bananas on shelves.
[01:21:33.240 --> 01:21:35.080]   Students who complete this training will learn
[01:21:35.080 --> 01:21:37.040]   how biases might affect this,
[01:21:37.040 --> 01:21:38.800]   but in many parts of the world,
