;FFMETADATA1
title=TWiT Episode 23
comment=http://twit.tv/23
album=TWiT September 2005
TYER=2005-09-18
genre=Podcast
artist=Leo Laporte
encoder=Lavf58.76.100
;FFMETADATA1
title=TWiT Episode 23
comment=http://twit.tv/23
album=TWiT September 2005
TYER=2005-09-18
genre=Podcast
artist=Leo Laporte
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:06.420]   This is Twitch this week in tech episode 23 for September 18 2005
[00:42:05.920 --> 00:42:08.640]   I don't want to suddenly all this create a big hack community
[00:42:08.640 --> 00:42:11.320]   I stayed away from my Tivo for ten days and suddenly half of my content
[00:42:11.320 --> 00:42:14.040]   You know can keep it for only a week is gone. Yeah
[00:42:14.040 --> 00:42:17.600]   Well and it's gonna until I say delete no longer work
[00:42:17.600 --> 00:42:20.200]   What's the point of having a Tivo if you deletes itself?
[00:42:20.200 --> 00:42:23.360]   Well, it's great business for the the PC DVRs
[00:42:23.360 --> 00:42:26.200]   I mean we haven't we have both the digital and the analog
[00:42:26.200 --> 00:42:30.880]   Elgato for the Mac that we we have at the office and and those things there's nothing
[00:42:30.880 --> 00:42:34.000]   I mean, you know it you know we can get digital broadcasts
[00:42:34.000 --> 00:42:38.920]   You know or we can get the analog stuff off the cable and it's not maybe quite as refined as Tivo
[00:42:38.920 --> 00:42:42.920]   But it records to MPEG to straight to the drive as it's capturing
[00:42:42.920 --> 00:42:47.080]   You know I can schedule it I can do all those things and I don't have to deal with you know
[00:42:47.080 --> 00:42:49.320]   I always look at it like I don't have to deal with any of the Tivo stuff
[00:42:49.320 --> 00:42:53.640]   You know what about the recorders that you get from the cable companies and the satellite companies that are not Tivo
[00:42:53.640 --> 00:42:55.640]   Do they have that same?
[00:42:55.640 --> 00:42:58.080]   feature they could very well enable it as well and
[00:42:58.080 --> 00:43:02.400]   I imagine from their end they have they have more incentive to do it than Tivo does
[00:43:02.400 --> 00:43:08.200]   I would think so. Yeah, why is Tivo doing this like willingly like why I think there's a lot of pressure on Tivo
[00:43:08.200 --> 00:43:13.720]   Don't you I mean legal pressure is they just turn they just have their first I mean they're in the world of hurt right now
[00:43:13.720 --> 00:43:15.520]   Well, they're looking at replay
[00:43:15.520 --> 00:43:21.440]   They're saying there we do not want to go. Yeah, and I'm sure that there's a who knows what's going on behind the scenes
[00:43:21.440 --> 00:43:27.080]   But I mean for instance as soon as people started hacking the Tivo enough so they could extract video from it
[00:43:27.080 --> 00:43:30.720]   They started scrambling the video so that you couldn't do it all along. They've been doing this
[00:43:30.720 --> 00:43:33.160]   You think Tivo's dead?
[00:43:33.160 --> 00:43:37.000]   Yeah, you're from now. Yeah, I don't know about a year from now, but I think it's a shame
[00:43:37.000 --> 00:43:44.160]   The broadcasters start enabling this flag on all the and they're gonna standard. It's a shame because yeah, I really
[00:43:44.160 --> 00:43:49.840]   Yeah, absolutely if they can they'll flip it which means you can't go on a vacation longer than seven days that will kill Tivo
[00:43:49.840 --> 00:43:52.320]   Yeah, I think I think they did
[00:43:52.320 --> 00:43:56.640]   I mean here's a great product to go world's greatest word of mouth
[00:43:56.640 --> 00:43:59.280]   What happened?
[00:43:59.280 --> 00:44:06.880]   Well, what happened is that you have all sudden, you know, HD content and digital content and there was no clean way to interface
[00:44:06.880 --> 00:44:10.880]   You had to do that stupid little serial cable that stupid IR switcher
[00:44:11.240 --> 00:44:18.920]   Everybody wants one single unified box and when Comcast started launching their their HD boxes with the DVR built in and they had all these
[00:44:18.920 --> 00:44:23.720]   Cable providers that are launching DVRs. I mean as ten bucks a month. Yeah, it's cool
[00:44:23.720 --> 00:44:29.560]   How Tivo can kind of suggest things for you, but not that cool to where you'd want to go through all the pains of having that conversion
[00:44:29.560 --> 00:44:32.440]   Tivo is the season pass that's something very few other software
[00:44:32.440 --> 00:44:36.920]   Tivo does it better than anyone else everybody hates their cable company PVR
[00:44:37.400 --> 00:44:41.320]   But they still do it because it's all in and I mean we'll think about right now
[00:44:41.320 --> 00:44:44.120]   I want to record an HD show on my Tivo
[00:44:44.120 --> 00:44:48.760]   I can't do it unless I have that HD one from direct TV and that sucks
[00:44:48.760 --> 00:44:49.200]   I don't know
[00:44:49.200 --> 00:44:52.640]   I mean they've been promising one with a cable card slot and you know obviously cable cards
[00:44:52.640 --> 00:44:55.360]   We're not seeing them quite yet when it when a cable car is coming out Robert
[00:44:55.360 --> 00:45:02.160]   So you can buy one from you can get one from Comcast right now. Yes, really so that they're making that mandatory market
[00:45:02.160 --> 00:45:05.680]   No, it's a TV's will that be mandatory? I don't know. What's the cable?
[00:45:05.680 --> 00:45:11.160]   It's it gets rid of the box all together I slot on the back of your TV and it'll instead of having a separate set top
[00:45:11.160 --> 00:45:12.400]   I'm your cable tuner
[00:45:12.400 --> 00:45:17.280]   But that's cool because then you can have a HD Tivo and then just plug in that cable card right in the back
[00:45:17.280 --> 00:45:19.600]   And then you don't have to have that extra box in theory, right?
[00:45:19.600 --> 00:45:21.480]   Yeah, it just eliminates that hardware
[00:45:21.480 --> 00:45:26.480]   But the problem is right now the current devices are only one way where so you couldn't see information
[00:45:26.480 --> 00:45:29.480]   But you couldn't do like a pay-per-view event and yes, I want to see that
[00:45:29.480 --> 00:45:34.680]   Second generation will but that's not out. Yeah, it's just a bad time to
[00:45:34.680 --> 00:45:39.840]   requires the TV to also have an integrated electronic programming guy because that wouldn't be part right
[00:45:39.840 --> 00:45:42.280]   There's some issues to it
[00:45:42.280 --> 00:45:49.240]   But a lot of people like it simply because the visual quality is better than an external box having that tuner actually stuck into the TV with that kind of
[00:45:49.240 --> 00:45:50.320]   direction
[00:45:50.320 --> 00:45:52.640]   Just makes the picture quality itself better, but
[00:45:52.640 --> 00:45:58.440]   It's really not until direct TVs launched in their MPEG-4 stuff now and so is dish network
[00:45:58.440 --> 00:46:04.640]   They're actually starting the transition as well when that's really good when that really gets going you're gonna see the set top record
[00:46:04.640 --> 00:46:07.960]   That are MPEG-4 capable that is where I think it really
[00:46:07.960 --> 00:46:13.280]   No serious challenges to see that anybody else doing direct TV dump TV all right. Yeah
[00:46:13.280 --> 00:46:19.240]   Yeah, they they were gonna so if I have a direct TV box, it still says Tiva you can still buy it. Yeah, they're still out there
[00:46:19.240 --> 00:46:22.080]   But going forward lifetime service will never go away
[00:46:22.080 --> 00:46:29.720]   Well, so that box dies and then you have to buy a new box. Yeah, so our our partners at AOL
[00:46:29.720 --> 00:46:33.160]   Finally launched their podcasting page. We're right there up on front
[00:46:33.160 --> 00:46:35.080]   So they've been providing us bandwidth for two months
[00:46:35.080 --> 00:46:37.120]   For this day
[00:46:37.120 --> 00:46:40.360]   Now they can now we're on the so they have a number of different podcasts
[00:46:40.360 --> 00:46:44.000]   Do you have today some of your podcasts a dog on the I have a one podcast channel?
[00:46:44.000 --> 00:46:48.520]   Well, they have to actually I should go little though. No, they have to ask you it's not like Adam Curry where they could just take it
[00:46:48.520 --> 00:46:57.760]   Just replay you without permission you got replayed right I keep the dial up users who can download these huge shows
[00:46:57.760 --> 00:47:00.200]   Yeah, right exactly you got replayed he played you on
[00:47:00.800 --> 00:47:05.400]   Apparently and I sent him a note saying Adam. I heard that Twitter was on serious. You know, we have a non commercial right
[00:47:05.400 --> 00:47:08.120]   You can't use it for commercial purposes and he says oh
[00:47:08.120 --> 00:47:11.440]   sent me a note back saying
[00:47:11.440 --> 00:47:16.480]   Didn't anybody ask you I'm pretty sure we asked you really and I said what he said
[00:47:16.480 --> 00:47:19.960]   We said a note to somebody I said well, I'm the only person you would ask and I didn't get any note. Yeah
[00:47:19.960 --> 00:47:25.200]   Same thing with dignity. He did he just did it and we had no note or anything. So what happened?
[00:47:25.200 --> 00:47:27.200]   So apparently that's what he's doing. He's just running stuff
[00:47:27.200 --> 00:47:30.680]   I didn't I didn't say anything. I was like I don't care the only reason I care it
[00:47:30.680 --> 00:47:32.040]   I don't really care because it's good promotion
[00:47:32.040 --> 00:47:35.560]   I think that's what he's assuming is everybody's gonna want the promotion except that AOL specifically said
[00:47:35.560 --> 00:47:38.800]   Because I asked him I said well where else would play it and they said anywhere, but serious
[00:47:38.800 --> 00:47:43.280]   And the reason is they have a deal with XM, right? So
[00:47:43.280 --> 00:47:50.880]   You know, I just said yes, stop and he stopped. They said by the way, you want to be part of spot show and I didn't answer
[00:47:50.880 --> 00:47:54.680]   So maybe now that he's got eight and a half million. I'll I'll be part of pot show
[00:47:54.680 --> 00:47:58.000]   I don't want to be part of it. You know, I don't want us to be a part of a big network
[00:47:58.000 --> 00:48:01.520]   I like yeah, we just do what we want to do. Yeah, if you're part of big network
[00:48:01.520 --> 00:48:08.080]   We like it's fun to be independent for that. Yeah, it's got the most popular podcast probably of all so we don't have to worry about anybody
[00:48:08.080 --> 00:48:13.520]   They did also and I'm really pleased you you were the one Doug who told me about
[00:48:13.520 --> 00:48:19.000]   Potscope they incorporated pot scope which is incredible podcast search of you play with me. I don't have it
[00:48:19.000 --> 00:48:22.000]   Potscope is wonderful. They're apparently they're oh
[00:48:22.000 --> 00:48:24.520]   They're they're doing
[00:48:24.520 --> 00:48:27.120]   Turning the they're they're listening to the what do you call that?
[00:48:27.120 --> 00:48:31.840]   Did character recognition what the voice right? Yeah, that would be the other side of that
[00:48:31.840 --> 00:48:39.080]   So that they can index the audio and the main company is called TV eyes and their business has been doing
[00:48:39.080 --> 00:48:41.320]   voice recognition on
[00:48:41.320 --> 00:48:44.520]   Broadcast channels for a fee for their customer
[00:48:44.520 --> 00:48:50.760]   So if you're a Microsoft and you want to know every time your company's mentioned or IBM every time your company's mentioned you pay them
[00:48:51.000 --> 00:48:55.920]   To to let you know and to listen to all the streams that makes sense because they came out of nowhere so quickly
[00:48:55.920 --> 00:49:00.440]   They've been doing it for a long time. All the technology turns out it comes from just one or two places
[00:49:00.440 --> 00:49:04.360]   So you've got pod scope. You've got a company called blinks
[00:49:04.360 --> 00:49:07.000]   and a couple of others
[00:49:07.000 --> 00:49:10.200]   the old companies were Vooraj and autonomy and
[00:49:10.200 --> 00:49:15.320]   There was all that all that old technology which is now just being reused, you know
[00:49:15.320 --> 00:49:20.720]   They've been doing it works well do us do a search for Kevin Rose on that and what's neat about it is that
[00:49:20.720 --> 00:49:25.200]   It will not only pull up the references, but you can play it from that point
[00:49:25.200 --> 00:49:28.960]   You can do the audio from that really so if you want to just hear who's talking about
[00:49:28.960 --> 00:49:31.760]   Kevin Rose you just press play and you can hear it
[00:49:31.760 --> 00:49:36.480]   I've got a nice new feature too, which you'll be able to add to the Twitter podcast which is
[00:49:36.480 --> 00:49:43.440]   Not just is it their site where you look at all podcasts, but you'll be able to have a private search for a twit
[00:49:43.440 --> 00:49:48.640]   So you can just put it on the site that says search twit for that's right. That's right. That's gonna be very zestar
[00:49:48.640 --> 00:49:52.960]   I don't I've seen it on a couple of sites. I think it's in beta whatever that means. I'd love to try that
[00:49:52.960 --> 00:49:55.600]   It's gonna be out in beta. That's the real problem
[00:49:55.600 --> 00:49:59.280]   Then people have said that right from the beginning with podcasts is I'm like a written word
[00:49:59.280 --> 00:50:04.640]   They're not random access you're right that excerpt features marvelous now the key about it is it's dictionary based
[00:50:04.640 --> 00:50:08.400]   So they can only find words that they know ahead about ahead of time, right?
[00:50:08.400 --> 00:50:12.320]   So if they search for some proper names that aren't in the dictionary does work
[00:50:12.320 --> 00:50:16.560]   But the interesting thing is they have been adding stuff because I can search for my name and it finds it
[00:50:16.560 --> 00:50:19.280]   So and I'm not in the dictionary so but you're a very important person
[00:50:19.280 --> 00:50:23.440]   I guess so they are adding words to the searches. Oh, that's really interesting
[00:50:23.440 --> 00:50:28.560]   Well, I I think that was smart of AOL to to incorporate that because that'll make it much more usable
[00:50:28.560 --> 00:50:34.720]   For AOL subscribers. That was their big announcement. They've been they put things together very very quickly
[00:50:34.720 --> 00:50:36.480]   I think the podcast thing
[00:50:36.480 --> 00:50:43.600]   Was done in about four weeks. That's all I took them put that together the AOL thing or the Podskope from the time they said let's do it
[00:50:43.600 --> 00:50:48.880]   It just boom. Yeah, and you showed it to me and I it was that was a month or two ago and
[00:50:48.880 --> 00:50:54.160]   I just it's gotten better every every day to by the way. I'm noticed. Have you ever you're playing with it?
[00:50:54.160 --> 00:50:58.880]   Yeah, I just did some searches. Did I find it? Yeah find stuff from the report boom. Do you find stuff from dignity?
[00:50:58.880 --> 00:51:02.720]   I didn't do a search for the nation because I don't know that if they do every podcast yet
[00:51:02.720 --> 00:51:05.920]   I mean, I'm sure that they do the top ones you're and you're certainly on the top there
[00:51:05.920 --> 00:51:11.760]   You flew to LA to do dignity this yeah, we're flying back and forth every because Alex is down there
[00:51:11.760 --> 00:51:18.800]   Yeah, Alex is coming up actually he must have frequent flyer miles like crazy. I do the southwest like 99 bucks done deal man
[00:51:18.800 --> 00:51:23.440]   It is pretty easy. It's 45 minutes in the air. It's like you're there, but uh, it's a lot of fun
[00:51:23.440 --> 00:51:26.160]   We go back and forth. He's coming up here for the next three weeks. That'll be good
[00:51:26.160 --> 00:51:31.920]   You excited about nasa going to the moon, david? Oh, that's a big. I mean, there's just too much
[00:51:31.920 --> 00:51:35.680]   It's too much. Yeah, they gotta they got a deal between now and 2011
[00:51:35.680 --> 00:51:40.720]   They're retiring the shuttle in 2010. They want to have their next vehicle up by 2011
[00:51:40.720 --> 00:51:44.960]   But they're gonna have several vehicles because they're gonna go on crew exploration vehicle
[00:51:44.960 --> 00:51:49.600]   And then they're gonna have a separate vehicle for taking cargo up and they're gonna spend 11 billion dollars on this and
[00:51:49.600 --> 00:51:52.800]   Six billion dollars on that they will not launch that ever again
[00:51:52.800 --> 00:51:55.200]   The reason they're going to the moon is because they want to prove
[00:51:55.200 --> 00:51:58.480]   Because they want to prove that they can go there and be resource efficient
[00:51:58.480 --> 00:52:01.440]   They want to prove that they can go there and live off the land
[00:52:01.440 --> 00:52:04.320]   Land it's rocks
[00:52:04.320 --> 00:52:07.680]   There's there's in the southern pole of the moon. There is more hydrogen
[00:52:07.760 --> 00:52:10.960]   There's possibly some water ice, you know, that's that's there
[00:52:10.960 --> 00:52:15.280]   Is this part of the Mars program or is this just its own thing?
[00:52:15.280 --> 00:52:17.600]   It's a precursor to it. It's all part of Mars
[00:52:17.600 --> 00:52:24.160]   Yeah, I think it's funny that it's gonna take us longer after 35 years. It's gonna take us longer to get there again
[00:52:24.160 --> 00:52:26.400]   Yeah, that's okay
[00:52:26.400 --> 00:52:31.280]   I honestly think it adds fuel in the fire. There's a huge community says we didn't go to the moon
[00:52:31.280 --> 00:52:35.040]   We didn't go to the moon and sometimes you think I mean you got to do this development spend these
[00:52:35.360 --> 00:52:39.840]   You know a decade of development spend billions and billions of dollars here. We are in 2005
[00:52:39.840 --> 00:52:43.440]   There in 19. Oh, yeah, there's lots of people. I think there's a tv studio
[00:52:43.440 --> 00:52:44.960]   Yeah, you gave me a hundred billion dollars
[00:52:44.960 --> 00:52:49.280]   And i'm i'm making a very convincing film that makes everyone think that we went back and we'll just call it a bit
[00:52:49.280 --> 00:52:51.360]   Put the money into Lucas film
[00:52:51.360 --> 00:52:53.120]   Yeah, exactly. You know, we'll make it work
[00:52:53.120 --> 00:52:55.600]   The stories did point out though that they're looking at using
[00:52:55.600 --> 00:53:00.000]   Repurposing like the main shuttle engine as well as the song. Yeah, I think five of them
[00:53:00.000 --> 00:53:05.200]   I think they were using it to take that they want to use that to do devices to reduce the development time
[00:53:05.280 --> 00:53:10.640]   You know if they're using the the the same srb's and they're using the same external fuel tank design
[00:53:10.640 --> 00:53:14.640]   They're using the same shuttle main engines. I think it's great. I mean this is inspiring
[00:53:14.640 --> 00:53:17.680]   It made it a point. I mean you don't really need to do manned exploration
[00:53:17.680 --> 00:53:22.880]   You don't learn anything more in manned exploration, but boy, it's sure it's it's great. It's cool. It's just cool. It's sexy
[00:53:22.880 --> 00:53:25.280]   Yeah, it's sexy. That's why you do it, right?
[00:53:25.280 --> 00:53:27.280]   Well, they they've
[00:53:27.280 --> 00:53:30.560]   Where were you in july of 19. I don't know exactly where I was
[00:53:30.560 --> 00:53:34.240]   Were you watching it? Doug and I are the only guys in this from old enough to remember you bet I was
[00:53:34.240 --> 00:53:38.640]   You're watching a you can't stop. I was I was 12 years old watching these guys in the moon and you walk out
[00:53:38.640 --> 00:53:41.360]   It was a full moon never forget it you walk out and you look up you say
[00:53:41.360 --> 00:53:48.320]   Wow, you didn't believe it. No, I believe that's amazing. It's so overwhelming mind-blowing to see that
[00:53:48.320 --> 00:53:53.840]   Florida to view the Saturn 5 in the museum and I've seen a landing at the Edwards
[00:53:53.840 --> 00:53:58.560]   I mean I have the restored Saturn 5 so it's so cool. Quality hanging above your those things are huge
[00:53:58.560 --> 00:54:03.600]   Massive three stage, but then it's like they have they let you relive that entire day of
[00:54:03.920 --> 00:54:06.080]   The moon landing with the news clips and everything
[00:54:06.080 --> 00:54:08.960]   For those of you who are too young to remember it
[00:54:08.960 --> 00:54:12.720]   I mean really that's all another argument for both
[00:54:12.720 --> 00:54:20.320]   You know when you're dealing with launching from either the space station or the moon is that getting it to somewhere else takes a lot less fuel
[00:54:20.320 --> 00:54:22.640]   When you do it from space
[00:54:22.640 --> 00:54:23.680]   You know gravity
[00:54:23.680 --> 00:54:27.280]   I mean almost all the fuel we use is to get us out of the earth's atmosphere
[00:54:27.280 --> 00:54:32.800]   So so the thing is is if we can get if we can build something that's much larger on the moon or on a space station or whatever
[00:54:33.120 --> 00:54:36.560]   There's a lot more stability as far as being able to it's much easier to get
[00:54:36.560 --> 00:54:40.160]   I just think we need somewhere to go with a hurricane start to get really bad space elevator
[00:54:40.160 --> 00:54:44.000]   Well, you know they've said I think there was an announcement that that were passed the point in no return on global warning
[00:54:44.000 --> 00:54:49.120]   Oh, it's someone said that it was like that was the story. The momentum is here. That was the story in USA today
[00:54:49.120 --> 00:54:54.560]   It's uh that that's why we're having all these big hurricanes is it's too late. It's the what was that movie?
[00:54:54.560 --> 00:54:56.560]   It's the it's the day after tomorrow
[00:54:56.560 --> 00:55:01.680]   Why were we able to take off on that is it that that's what's left?
[00:55:01.680 --> 00:55:05.680]   That was what was supposed to have happened there all the polar ice caps melted and you know, there's no land
[00:55:05.680 --> 00:55:08.320]   We would be underwater here
[00:55:08.320 --> 00:55:10.480]   We have some great lake front property. Yeah, exactly
[00:55:10.480 --> 00:55:15.040]   Just start what you have to do is make calculations and then start building your just start buying up lots of land
[00:55:15.040 --> 00:55:20.080]   You know right along the right along the new shore. So well luckily here. There's still a low sea level
[00:55:20.080 --> 00:55:26.560]   Let's get some questions from the audience if you have a question for the twits you could run up to the red microphone there and
[00:55:27.040 --> 00:55:32.240]   Ask and they're all looking like I didn't mean to wake you up. You probably didn't hear anything. We said did you?
[00:55:32.240 --> 00:55:35.200]   Okay, well, let's put a
[00:55:35.200 --> 00:55:38.640]   Next week to speaker
[00:55:38.640 --> 00:55:45.120]   Before someone runs up there. I want to I'm want to ask quite what does everyone think of the new and nintendo revolution controller?
[00:55:45.120 --> 00:55:52.240]   Robert Harris cousin Ted rigglesky is a big big big fan of it. It's a they just released it looks like a tv remote
[00:55:52.240 --> 00:55:55.120]   It's a remote control. I don't get it sideways and it's got a motion sensor
[00:55:55.120 --> 00:55:59.520]   It sounds like it's a gyro you know the gyration mice that allow you to just use it in the air and it has a very good
[00:55:59.520 --> 00:56:04.320]   Very good. Uh, how was that thing? You thought nintendo thumb was bad now
[00:56:04.320 --> 00:56:07.040]   You're gonna have nintendo wrist by holding your hand out the whole time
[00:56:07.040 --> 00:56:10.000]   It's got a horde separate from that so you have the analog stick and one hand and the base
[00:56:10.000 --> 00:56:14.480]   Is nintendo a player in this market at all for the kids
[00:56:14.480 --> 00:56:17.840]   You know they're going after this they have mario. Well, they gotta do something
[00:56:17.840 --> 00:56:22.160]   They gotta do something different because they gotta distinguish some some you got playstation 3
[00:56:22.160 --> 00:56:27.920]   And xbox 360 what I mean, but if they price it low enough everyone's gonna buy I bought it just resilda the old gamecube
[00:56:27.920 --> 00:56:35.120]   I think they sell the family way back way 500 bucks for the latest generation console. Oh the xbox comes out what next month next month
[00:56:35.120 --> 00:56:41.200]   Yeah, yeah, no vamper in time for christmas. Are you gonna give them for your kids? Oh, yeah, but I have to hack it
[00:56:41.200 --> 00:56:45.600]   Yeah, right because I already I mean, I you know my xbox is the thing of beauty
[00:56:45.600 --> 00:56:51.280]   Thanks to thanks to somebody. I won't name in this room. That's it. But uh, I mean that's a media center
[00:56:51.760 --> 00:56:55.040]   Uh, no, I just use it for games, but it's loaded with games. I mean, it's it's full of games
[00:56:55.040 --> 00:56:56.640]   I probably have a hundred games on that. All right
[00:56:56.640 --> 00:57:00.880]   Well nintendo said I think that they said that they were going to include you're gonna be able to download and play
[00:57:00.880 --> 00:57:03.440]   all the previous
[00:57:03.440 --> 00:57:08.800]   Games that they made but that's that's that's one thing that nobody's done. Well, we just backward compatibility
[00:57:08.800 --> 00:57:11.840]   Nintendo Nintendo
[00:57:11.840 --> 00:57:18.000]   I'm not sure if it's that's that is very nice and then yeah, that's what it looks like five seconds
[00:57:18.240 --> 00:57:21.040]   Yes, a small it's 37k my job
[00:57:21.040 --> 00:57:24.880]   Every every down little uh
[00:57:24.880 --> 00:57:31.840]   Roms with no just like a visit calc is online. You can download visit kek the first spreadsheet program. It's it's 37k
[00:57:31.840 --> 00:57:35.760]   It's like they embed them in web pages. Yeah, yeah
[00:57:35.760 --> 00:57:42.240]   Utilize classic apps. This stuff is not particularly sexy. Yeah, visit. Yeah. I still those slash commands
[00:57:42.240 --> 00:57:45.280]   I got them built into my fingers. Go ahead and ask a question. What's your name first? Hey guys
[00:57:45.280 --> 00:57:48.960]   My name's Neil. I'm from Ottawa, Canada. Hi Neil. We'll bring you down here
[00:57:48.960 --> 00:57:54.720]   Meeting Larry at Oracle conference. Oh cool. All right. So, um, here's a situation
[00:57:54.720 --> 00:57:57.760]   I love my tech toys and I love my wife. I want to keep both
[00:57:57.760 --> 00:58:01.840]   How are you guys doing? How do you guys get from here? Let me give you a twit pocket protector
[00:58:01.840 --> 00:58:09.440]   This every woman wants one of these. I'll tell you right now. I'll give you two. That's my arms. So, uh, how long you been married
[00:58:09.440 --> 00:58:12.880]   Well, I know Doug K solution is
[00:58:13.840 --> 00:58:20.000]   Is what you moved everything into the into the, uh, you work out of the house studio to my wife and I share studio too
[00:58:20.000 --> 00:58:24.720]   Two desks facing one another so you and we're working the same room
[00:58:24.720 --> 00:58:26.320]   She has nothing to do is what I do
[00:58:26.320 --> 00:58:31.440]   But the best thing was when she went away for a week. I covered my side of the office with acoustic foam
[00:58:31.440 --> 00:58:35.360]   So your marriage isn't too good either
[00:58:35.360 --> 00:58:40.800]   It's only been 34 years. She's doing all right. You know, my wife is not a geek at all. She's not as no interesting this
[00:58:40.800 --> 00:58:45.440]   She's never heard twit. She's never she's seen very little of any of my tv shows
[00:58:45.440 --> 00:58:48.480]   Uh same with my kids. It's just a different life
[00:58:48.480 --> 00:58:51.440]   You know and I just try to you know pretend I'm going to work
[00:58:51.440 --> 00:58:57.520]   And then that you when you buy the new laptops and then you scream and say oh, it's work for work. It's all for work. It's all for work
[00:58:57.520 --> 00:59:02.720]   Isn't it? Yeah, it's all for work. Hey, when I go to I work on movies I when I go to a movie. It's all for work
[00:59:02.720 --> 00:59:07.520]   Everything good cover stories what you're saying good cover story. Can't we just change us girlfriends every
[00:59:10.000 --> 00:59:12.000]   Oh
[00:59:12.000 --> 00:59:20.000]   Amber's gonna be here next night for today. She'll be here. I'm very excited about that. Yeah, see it said thanks for coming
[00:59:20.000 --> 00:59:21.440]   Yeah, the uh
[00:59:21.440 --> 00:59:27.680]   My head took the ferry anybody who took the ferry here. You should probably get going because the ferry leaves at at 5 30
[00:59:27.680 --> 00:59:30.720]   So uh, please please leave that's a good question though
[00:59:30.720 --> 00:59:33.280]   How do you keep your how do you keep your spouses from you?
[00:59:33.280 --> 00:59:35.520]   You've got to make sure that your spouse has
[00:59:36.240 --> 00:59:40.720]   the same kind of passion that you don't share and let their spouse go and do their thing too
[00:59:40.720 --> 00:59:42.240]   And that's it now it is your wife
[00:59:42.240 --> 00:59:44.160]   It's a tech and my wife is in the martial arts
[00:59:44.160 --> 00:59:49.840]   Right, so she'll also go off and do her martial art stuff and I'll do my tech stuff and uh, well same thing with my wife
[00:59:49.840 --> 00:59:54.240]   No interesting tech, but she has her own passion. Yeah, and uh, and then we meet for dinner. Yeah
[00:59:54.240 --> 00:59:57.120]   Mike fiance works at the
[00:59:57.120 --> 01:00:00.640]   He works. Yeah, she's a CFO. Yeah, she tells me what I'm allowed to spend and what I'm not
[01:00:01.200 --> 01:00:05.840]   Her have some sense of uh some sense of control what she does and I have to ask permission for everything
[01:00:05.840 --> 01:00:08.400]   And roberge estate strippers and they don't
[01:00:08.400 --> 01:00:12.720]   We're really wrong. I have good looking neighbors
[01:00:12.720 --> 01:00:16.480]   You go ahead
[01:00:16.480 --> 01:00:18.960]   My name is hirston. I'm here from san francisco. Hi hirston
[01:00:18.960 --> 01:00:25.680]   Hello, uh, my question is do you guys listen to podcasts other than ones you're involved in and if so, what are some of your favorites?
[01:00:25.680 --> 01:00:29.680]   Great question. My favorite podcast is uh, I reflect on science friday actually
[01:00:29.760 --> 01:00:34.960]   That's really I hear a lot of people listen to that and they put out a lot of them and they and they separate like sometimes
[01:00:34.960 --> 01:00:38.960]   They'll have three or four topics on the radio, but they'll separate them into individual subjects
[01:00:38.960 --> 01:00:43.200]   So you can download the ones that you're almost all the input here shows now are starting to be a podcast
[01:00:43.200 --> 01:00:45.520]   I think it's very smart except for all things considered
[01:00:45.520 --> 01:00:49.840]   Which is yeah, I'm the one that I want they do their music and they do like headlines
[01:00:49.840 --> 01:00:51.920]   I know I wish they do all things be crazy
[01:00:51.920 --> 01:00:54.320]   Uh fresh air needs to be a podcast so I'm
[01:00:54.320 --> 01:00:59.520]   Morning edition and all things because those are the only two that I really you know like if they just handled that
[01:00:59.520 --> 01:01:03.440]   I would I would have no need for a radio wouldn't you if you're public radio? What do you got to lose right?
[01:01:03.440 --> 01:01:08.640]   It's not like you're gonna undercut your I don't know what maybe they don't want a big fight going on in public radio between
[01:01:08.640 --> 01:01:11.360]   The people who produce the content and npr
[01:01:11.360 --> 01:01:17.360]   Uh, you know npr is sort of the evil empire. I see and so they don't like it that they're well
[01:01:17.360 --> 01:01:22.320]   You know the npr just launched their official podcast what about two weeks ago was that I think npr.org
[01:01:22.320 --> 01:01:25.760]   And I think most of the stations who contribute content
[01:01:26.080 --> 01:01:31.280]   contributed their second tier content to that and put their best of that's right and things like fresh air
[01:01:31.280 --> 01:01:36.000]   Uh are privately produced. I mean they're not produced by a station right that's uh
[01:01:36.000 --> 01:01:39.760]   That's terry grocery. What do you listen to you probably don't have a whole lot of time?
[01:01:39.760 --> 01:01:41.760]   Douglas I don't even listen to everything we produce
[01:01:41.760 --> 01:01:46.720]   12 12 a now on 12 hours a week. Couldn't do it when I want to take a break. I've got two music podcasts
[01:01:46.720 --> 01:01:53.120]   I like one is um roadhouse which is blues and uh coverville is still pretty good with a lot of actual covers
[01:01:53.120 --> 01:01:54.960]   I love coverville
[01:01:54.960 --> 01:01:56.960]   I've yet just too much for me
[01:01:56.960 --> 01:01:59.360]   That's probably the biggest problem with podcasting right now
[01:01:59.360 --> 01:02:02.400]   There are too many of them and it's almost overwhelming
[01:02:02.400 --> 01:02:05.760]   You feel like I can't keep up and you kind of give up because there's just too much
[01:02:05.760 --> 01:02:08.000]   I think that there really there is a big market
[01:02:08.000 --> 01:02:11.520]   I think people are working on it being able to sort through like what people really like
[01:02:11.520 --> 01:02:16.080]   I mean obviously the top the top 20 at an iTunes helps because you get to see with stuff
[01:02:16.080 --> 01:02:18.640]   But but like I dig like one of my favorite, you know, I uh, you know
