;FFMETADATA1
title=Bring in the Privacy Pod
artist=Leo Laporte, Brianna Wu, Nate Lanxon, Tim Stevens
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-05-03
track=821
language=English
genre=Podcast
comment=Big quarter for big tech, AirTags and privacy, Resident Evil 3 speedrun		
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.000]   It's time for Twit!
[01:17:58.160 --> 01:18:03.440]   This is, you ready the rocket launcher as you go downstairs because it saves you a couple
[01:18:03.440 --> 01:18:04.440]   of frames.
[01:18:04.440 --> 01:18:06.080]   Oh yeah, it's things like that, isn't it?
[01:18:06.080 --> 01:18:08.040]   It's the little things.
[01:18:08.040 --> 01:18:09.200]   It's much like ice racing.
[01:18:09.200 --> 01:18:11.640]   So you have to be very careful.
[01:18:11.640 --> 01:18:13.120]   Yeah, I always have my rocket launcher.
[01:18:13.120 --> 01:18:14.120]   You have the rocket launcher.
[01:18:14.120 --> 01:18:15.120]   Okay, no.
[01:18:15.120 --> 01:18:16.120]   And my turtle shield shield.
[01:18:16.120 --> 01:18:17.600]   How do you know who to shoot?
[01:18:17.600 --> 01:18:18.600]   You roll through it.
[01:18:18.600 --> 01:18:20.100]   Oh, error.
[01:18:20.100 --> 01:18:21.680]   You shoot all the zombies, right?
[01:18:21.680 --> 01:18:24.720]   No, you don't want to shoot them because that takes time.
[01:18:24.720 --> 01:18:25.720]   Ah!
[01:18:25.720 --> 01:18:30.560]   Your goal is to get to all of the points, but not necessarily.
[01:18:30.560 --> 01:18:33.720]   What are you trying to hit every locale?
[01:18:33.720 --> 01:18:36.680]   You're trying to get from start to finish as quickly as possible.
[01:18:36.680 --> 01:18:39.680]   So killing zombies is really a side track.
[01:18:39.680 --> 01:18:41.240]   Watch how fast you do this puzzle.
[01:18:41.240 --> 01:18:42.240]   This is ridiculous.
[01:18:42.240 --> 01:18:45.880]   You have to memorize everything like this through the whole game.
[01:18:45.880 --> 01:18:50.560]   I only have enough time through this radio conversation to enter all of this in.
[01:18:50.560 --> 01:18:52.400]   Is this always the same?
[01:18:52.400 --> 01:18:53.400]   Wow.
[01:18:53.400 --> 01:18:54.400]   Did it?
[01:18:54.400 --> 01:18:55.400]   Oh, subway.
[01:18:55.400 --> 01:18:56.400]   Look at you.
[01:18:56.400 --> 01:18:57.400]   You go, girl.
[01:18:57.400 --> 01:18:59.880]   Do you have to do is it the same every time or?
[01:18:59.880 --> 01:19:00.880]   Yeah.
[01:19:00.880 --> 01:19:03.720]   So you're basically memorizing the steps.
[01:19:03.720 --> 01:19:04.720]   Yes.
[01:19:04.720 --> 01:19:05.720]   Yes.
[01:19:05.720 --> 01:19:07.880]   Quick turn out the stairs.
[01:19:07.880 --> 01:19:10.080]   I like it that this character looks like you.
[01:19:10.080 --> 01:19:11.160]   I think that's hysterical.
[01:19:11.160 --> 01:19:12.920]   Is that just a chance?
[01:19:12.920 --> 01:19:13.920]   I would have enough like Jill.
[01:19:13.920 --> 01:19:14.920]   No, I love Jill.
[01:19:14.920 --> 01:19:15.920]   She's an icon.
[01:19:15.920 --> 01:19:16.920]   Jill's iconic.
[01:19:16.920 --> 01:19:19.160]   Can we stop for donuts?
[01:19:19.160 --> 01:19:20.160]   Do we have time?
[01:19:20.160 --> 01:19:21.160]   No donuts.
[01:19:21.160 --> 01:19:22.160]   Oh, man.
[01:19:22.160 --> 01:19:23.160]   Oh, you.
[01:19:23.160 --> 01:19:24.160]   Ah!
[01:19:24.160 --> 01:19:29.680]   If you get hit for this part, it puts you in a health state where you actually run faster.
[01:19:29.680 --> 01:19:32.120]   So I'm going to come for you.
[01:19:32.120 --> 01:19:34.240]   So you wanted to get bit.
[01:19:34.240 --> 01:19:35.240]   Right.
[01:19:35.240 --> 01:19:36.240]   So you do that.
[01:19:36.240 --> 01:19:37.240]   You run for Nemesis.
[01:19:37.240 --> 01:19:38.240]   Oh, my God.
[01:19:38.240 --> 01:19:40.440]   And now I'm going to go up and avoid all these people.
[01:19:40.440 --> 01:19:41.440]   It's great, great.
[01:19:41.440 --> 01:19:44.600]   And I thought it was crazy digging a troll trench.
[01:19:44.600 --> 01:19:45.600]   This is great, Greg.
[01:19:45.600 --> 01:19:47.280]   Do you stay up late doing this?
[01:19:47.280 --> 01:19:48.880]   Yeah, I love this game.
[01:19:48.880 --> 01:19:49.880]   This is great.
[01:19:49.880 --> 01:19:50.880]   Yeah.
[01:19:50.880 --> 01:19:54.000]   Lisa says, you can only play your game after I go to bed.
[01:19:54.000 --> 01:19:55.000]   Oh!
[01:19:55.000 --> 01:19:56.000]   Ew!
[01:19:56.000 --> 01:19:57.000]   Ew!
[01:19:57.000 --> 01:19:58.000]   Ew!
[01:19:58.000 --> 01:19:59.720]   So it's like EDM you're saying.
[01:19:59.720 --> 01:20:01.640]   It's just like soothing, like you're calm.
[01:20:01.640 --> 01:20:07.560]   And this is not, you're not like nervous or it's like, I'm just doing it.
[01:20:07.560 --> 01:20:09.760]   You're scared you're going to mess your run up, right?
[01:20:09.760 --> 01:20:10.760]   Right.
[01:20:10.760 --> 01:20:11.760]   But you know what's coming next.
[01:20:11.760 --> 01:20:12.760]   So you don't.
[01:20:12.760 --> 01:20:13.760]   Yeah, you know what's going to happen.
[01:20:13.760 --> 01:20:15.160]   Like it's not scary.
[01:20:15.160 --> 01:20:16.160]   Yeah.
[01:20:16.160 --> 01:20:17.160]   Wow.
[01:20:17.160 --> 01:20:23.840]   Do you ever think, gosh, if I put this much effort into my real life, I don't know what.
[01:20:23.840 --> 01:20:24.840]   Yeah, definitely.
[01:20:24.840 --> 01:20:29.520]   There have been times I've been like, I should stop speedrunning and do something else.
[01:20:29.520 --> 01:20:32.800]   No, never stop speedrunning, Brianna.
[01:20:32.800 --> 01:20:35.800]   I should mention, you mentioned, you posted this in the Discord.
[01:20:35.800 --> 01:20:38.560]   We do have a Discord now, but it's for Club Twitch members.
[01:20:38.560 --> 01:20:39.560]   Sorry.
[01:20:39.560 --> 01:20:42.600]   Club Twitch is our new paid tier for Twitch.
[01:20:42.600 --> 01:20:48.440]   Now let me tell you, the whole point of Club Twitch is the ad free versions.
[01:20:48.440 --> 01:20:52.680]   All of our shows, we have people were saying, "Leo, why don't you have ad free versions?"
[01:20:52.680 --> 01:20:59.600]   All of our shows are ad free on Club Twitch, including this ad that you're hearing right
[01:20:59.600 --> 01:21:00.600]   now.
[01:21:00.600 --> 01:21:03.480]   There'll be no ad for Club Twitch in your ad free feed.
[01:21:03.480 --> 01:21:05.320]   I realized why should I advertise?
[01:21:05.320 --> 01:21:06.320]   You're already a member.
[01:21:06.320 --> 01:21:07.880]   So you get all the shows ad free.
[01:21:07.880 --> 01:21:08.880]   That's audio and video versions.
[01:21:08.880 --> 01:21:11.240]   And you get a special feed dedicated to you.
[01:21:11.240 --> 01:21:15.640]   You get access to a special feed called Twitch Plus, which is kind of the stuff that normally
[01:21:15.640 --> 01:21:19.560]   hits the cutting room floor, beginning and ending of shows, special events.
[01:21:19.560 --> 01:21:20.840]   How did Poker Night go, Anthony?
[01:21:20.840 --> 01:21:22.080]   Was that fun on Friday night?
[01:21:22.080 --> 01:21:23.680]   They had a Poker Night.
[01:21:23.680 --> 01:21:28.520]   We're doing a Linux show in the Discord every Saturday afternoon, things like that.
[01:21:28.520 --> 01:21:32.800]   And then of course, there's this fabulous Discord, which frankly, we thought the ad free
[01:21:32.800 --> 01:21:35.840]   version of the shows would be the selling point.
[01:21:35.840 --> 01:21:38.160]   But the Discord is this great community.
[01:21:38.160 --> 01:21:39.600]   We're having so much fun in here.
[01:21:39.600 --> 01:21:42.520]   All the shows have a chat section.
[01:21:42.520 --> 01:21:49.160]   There's also conversations about cars, books, coding, comics, data science, hacking hardware,
[01:21:49.160 --> 01:21:50.960]   IoT and on and on.
[01:21:50.960 --> 01:21:55.240]   We just added food and travel because I realized we didn't have food and travel.
[01:21:55.240 --> 01:21:56.240]   You could play games.
[01:21:56.240 --> 01:21:58.080]   We have a trivia game in here, chess game.
[01:21:58.080 --> 01:22:00.280]   But what's really good about this is the community.
[01:22:00.280 --> 01:22:03.200]   There's some really great people in here.
[01:22:03.200 --> 01:22:06.720]   We also do live streams of our shows in the club to it.
[01:22:06.720 --> 01:22:08.280]   And I'm doing this on a stage.
[01:22:08.280 --> 01:22:09.880]   It looks a lot like Clubhouse.
[01:22:09.880 --> 01:22:14.560]   If you want to speak in one of our shows, you can raise your hand and we get people on
[01:22:14.560 --> 01:22:16.640]   many of our shows via audio.
[01:22:16.640 --> 01:22:17.840]   So it's a lot of fun.
[01:22:17.840 --> 01:22:18.840]   All of that.
[01:22:18.840 --> 01:22:19.840]   All of that.
[01:22:19.840 --> 01:22:22.240]   You pay seven bucks a month.
[01:22:22.240 --> 01:22:23.240]   That's all.
[01:22:23.240 --> 01:22:27.760]   Just the cost of a frappuccino.
[01:22:27.760 --> 01:22:29.560]   Seven bucks a month.
[01:22:29.560 --> 01:22:30.560]   Club to it.
[01:22:30.560 --> 01:22:32.600]   If you want to know more, there's no trial version.
[01:22:32.600 --> 01:22:34.040]   But you can try it for a month.
[01:22:34.040 --> 01:22:36.360]   It's month to month you can cancel.
[01:22:36.360 --> 01:22:39.640]   Is that Club, Twit.tv/club.
[01:22:39.640 --> 01:22:41.840]   Twit.tv/club.
[01:22:41.840 --> 01:22:42.840]   Twit.
[01:22:42.840 --> 01:22:47.800]   It's really, it turns out that I've always loved the Twit community and having one more
[01:22:47.800 --> 01:22:48.800]   place we can gather.
[01:22:48.800 --> 01:22:50.120]   Still do all the free stuff, by the way.
[01:22:50.120 --> 01:22:52.240]   This didn't change any of the free tier.
[01:22:52.240 --> 01:22:55.400]   We still offer all the shows as we always have ad supported.
[01:22:55.400 --> 01:22:57.120]   We still have the Twit.community forums.
[01:22:57.120 --> 01:22:59.200]   The Twit.socialmastedon.
[01:22:59.200 --> 01:23:01.840]   We still have the IRC at IRC.Twit.tv.
[01:23:01.840 --> 01:23:03.520]   That's all free.
[01:23:03.520 --> 01:23:06.200]   And it's going to stay that way.
[01:23:06.200 --> 01:23:10.760]   Thanks to ad support and of course Club Twit.
[01:23:10.760 --> 01:23:17.640]   And my speed running, my Valheim speed running, which is going to be really, really great.
[01:23:17.640 --> 01:23:19.440]   Google's plan for the future of work.
[01:23:19.440 --> 01:23:20.440]   Did you?
[01:23:20.440 --> 01:23:21.840]   This, by the way.
[01:23:21.840 --> 01:23:26.320]   This is a New York Times, Sunday Times story, but you shouldn't read it in the paper because
[01:23:26.320 --> 01:23:32.600]   the article online has all these hysterical, I guess they're animated, gifts.
[01:23:32.600 --> 01:23:37.600]   So Google knows people are coming back, but they're redesigning how their campuses are
[01:23:37.600 --> 01:23:38.960]   going to work.
[01:23:38.960 --> 01:23:42.120]   Keep showing this because there's some fun stuff in different ways.
[01:23:42.120 --> 01:23:51.080]   For instance, when you go back, you might be in a new team pod where your team gets together
[01:23:51.080 --> 01:23:52.640]   in a blank canvas.
[01:23:52.640 --> 01:23:56.880]   There are chairs, desks, whiteboards, and storage units, but everything's on casters.
[01:23:56.880 --> 01:23:59.960]   So you arrange it as you wish.
[01:23:59.960 --> 01:24:03.040]   There are also these meeting room concepts.
[01:24:03.040 --> 01:24:05.080]   Here's one called Campfire.
[01:24:05.080 --> 01:24:06.240]   Camera in the middle.
[01:24:06.240 --> 01:24:07.840]   Some employees are still remote.
[01:24:07.840 --> 01:24:11.000]   So they're on avatars, kind of like we do Twit.
[01:24:11.000 --> 01:24:12.000]   Some people are in Stu.
[01:24:12.000 --> 01:24:13.000]   We should do Twit like this.
[01:24:13.000 --> 01:24:14.000]   This looks cool.
[01:24:14.000 --> 01:24:17.400]   We could all sit around and apply wood chairs.
[01:24:17.400 --> 01:24:23.120]   Then they've also built on the Google campus because it's in Northern California where
[01:24:23.120 --> 01:24:25.840]   the weather's nice pretty much year round.
[01:24:25.840 --> 01:24:28.600]   They've built basically nature retreats.
[01:24:28.600 --> 01:24:31.640]   They took over a couple of parking lots.
[01:24:31.640 --> 01:24:38.240]   Each tent has a camp theme name, kindling, s'mores, canoe.
[01:24:38.240 --> 01:24:42.040]   If Charleston has been open since March, look at this.
[01:24:42.040 --> 01:24:44.480]   They've got Adirondack chairs.
[01:24:44.480 --> 01:24:45.480]   California living.
[01:24:45.480 --> 01:24:47.120]   Living is easy.
[01:24:47.120 --> 01:24:52.160]   Look at this little log coffee table.
[01:24:52.160 --> 01:24:53.160]   Just sit around.
[01:24:53.160 --> 01:24:55.640]   They're all socially distanced.
[01:24:55.640 --> 01:24:58.280]   Employees can return to their permanent desks in a rotation schedule.
[01:24:58.280 --> 01:25:00.960]   So they make sure nobody's sitting near you.
[01:25:00.960 --> 01:25:05.320]   Here's somebody pretending to work in kindling.
[01:25:05.320 --> 01:25:07.800]   Camp, Camp Charleston.
[01:25:07.800 --> 01:25:09.400]   I love Google.
[01:25:09.400 --> 01:25:11.120]   There's Wi-Fi throughout, of course.
[01:25:11.120 --> 01:25:13.280]   I'm sure it's very high speed.
[01:25:13.280 --> 01:25:15.280]   I think my favorite one is the inflatable walls.
[01:25:15.280 --> 01:25:18.720]   Oh, let's look at the inflatable wall.
[01:25:18.720 --> 01:25:19.720]   This is spherical.
[01:25:19.720 --> 01:25:22.040]   But it's so incredibly slow.
[01:25:22.040 --> 01:25:24.600]   It's like if you need some privacy, you wait for an inflatable wall.
[01:25:24.600 --> 01:25:25.680]   You can see how quickly it's moving.
[01:25:25.680 --> 01:25:29.320]   The walls are slowly creeping across to fill this wall.
[01:25:29.320 --> 01:25:30.320]   So there's a robot.
[01:25:30.320 --> 01:25:31.320]   And slowly inflating.
[01:25:31.320 --> 01:25:32.320]   There's a robot.
[01:25:32.320 --> 01:25:35.160]   I guess there's a button you press that says, "I want privacy.
[01:25:35.160 --> 01:25:37.680]   The robot comes to you."
[01:25:37.680 --> 01:25:40.680]   I should go to the very beginning because it spreads itself out.
[01:25:40.680 --> 01:25:42.160]   And then it's slowly-- you're right.
[01:25:42.160 --> 01:25:44.160]   I mean, this is sped up.
[01:25:44.160 --> 01:25:45.160]   Slowly--
[01:25:45.160 --> 01:25:47.200]   I like privacy 30 minutes from now.
[01:25:47.200 --> 01:25:48.880]   This is like the pod people.
[01:25:48.880 --> 01:25:51.200]   This is like it's enveloping you.
[01:25:51.200 --> 01:25:56.760]   These milar kind of rainbow balloons are slowly, slowly.
[01:25:56.760 --> 01:25:57.760]   Here it is.
[01:25:57.760 --> 01:25:58.760]   There's the robot.
[01:25:58.760 --> 01:25:59.760]   Look at this.
[01:25:59.760 --> 01:26:00.760]   Isn't that creepy?
[01:26:00.760 --> 01:26:01.760]   This is invasion of the body snatchers.
[01:26:01.760 --> 01:26:04.760]   This is what they're using all the old loon hardware for.
[01:26:04.760 --> 01:26:07.640]   Oh, maybe these are old loon balloons.
[01:26:07.640 --> 01:26:09.960]   That is so weird.
[01:26:09.960 --> 01:26:11.680]   So weird.
[01:26:11.680 --> 01:26:14.080]   I think there are definitely some interesting concepts here,
[01:26:14.080 --> 01:26:16.880]   other than the incredibly slow and deflatable wall.
[01:26:16.880 --> 01:26:20.360]   But I mean, it's a little bit unfortunate for me
[01:26:20.360 --> 01:26:22.560]   to see so many companies making these major investments,
[01:26:22.560 --> 01:26:26.600]   trying to make their offices this kind of hybrid work
[01:26:26.600 --> 01:26:27.400]   environment work.
[01:26:27.400 --> 01:26:29.800]   When so many people just want to stay home.
[01:26:29.800 --> 01:26:31.080]   Let them stay home.
[01:26:31.080 --> 01:26:32.080]   Yeah.
[01:26:32.080 --> 01:26:33.320]   There are all these huge investments
[01:26:33.320 --> 01:26:35.200]   being made to develop these systems that ultimately,
[01:26:35.200 --> 01:26:36.440]   I don't think a lot of employees want.
[01:26:36.440 --> 01:26:39.080]   I think if these companies would just spend a little bit of money
[01:26:39.080 --> 01:26:41.280]   to let people get a nice office chair at home,
[01:26:41.280 --> 01:26:44.000]   if they would pay for them to upgrade to the gigabit
[01:26:44.000 --> 01:26:46.120]   ethernet at home, then these people
[01:26:46.120 --> 01:26:47.560]   would be much happier just to stay there.
[01:26:47.560 --> 01:26:49.720]   Companies can save so much money on real estate.
[01:26:49.720 --> 01:26:50.760]   Their employees would be happy.
[01:26:50.760 --> 01:26:52.960]   There's study after study shows that people who get to work
[01:26:52.960 --> 01:26:54.520]   from home are more productive.
[01:26:54.520 --> 01:26:55.160]   They're more happy.
[01:26:55.160 --> 01:26:56.800]   They're much more likely to stay at their current jobs.
[01:26:56.800 --> 01:26:57.800]   Thank you.
[01:26:57.800 --> 01:26:59.040]   So why do they get away?
[01:26:59.040 --> 01:27:00.840]   Just keep trying to make this work.
[01:27:00.840 --> 01:27:03.160]   Yeah, but is that a problem too?
[01:27:03.160 --> 01:27:05.120]   So it seems like a simple solution.
[01:27:05.120 --> 01:27:07.200]   And they're instead of coming up with all these incredibly
[01:27:07.200 --> 01:27:11.200]   complicated solutions to the wrong problem, might be new.
[01:27:11.200 --> 01:27:12.280]   It's hysterical.
[01:27:12.280 --> 01:27:14.040]   But this is so Google, isn't it?
[01:27:14.040 --> 01:27:15.640]   But these are experiments, though, right?
[01:27:15.640 --> 01:27:18.120]   This isn't them saying we built a new office,
[01:27:18.120 --> 01:27:19.200]   and this is how it's going to be.
[01:27:19.200 --> 01:27:21.800]   These are all experiments to see,
[01:27:21.800 --> 01:27:24.200]   will any of these gel with people?
[01:27:24.200 --> 01:27:25.360]   Like, is this resonating?
[01:27:25.360 --> 01:27:25.800]   And then if they--
[01:27:25.800 --> 01:27:29.280]   I guess, I mean, this is the new Google campus
[01:27:29.280 --> 01:27:30.360]   they're building in Mountain View.
[01:27:30.360 --> 01:27:31.920]   This is no experiment.
[01:27:31.920 --> 01:27:34.280]   This is the real thing.
[01:27:34.280 --> 01:27:39.160]   They're building this indoor park in Mountain View.
[01:27:39.160 --> 01:27:43.800]   They've taken over many hundreds of acres to do this.
[01:27:43.800 --> 01:27:46.320]   Some of it's experimental, but I think it's very Googly.
[01:27:46.320 --> 01:27:48.960]   This is-- these are the team pods.
[01:27:48.960 --> 01:27:51.680]   It doesn't actually look that much different than the campus
[01:27:51.680 --> 01:27:52.160]   does already.
[01:27:52.160 --> 01:27:55.320]   It's always been Kuku with rainbow bicycles.
[01:27:55.320 --> 01:27:55.760]   And yeah.
[01:27:55.760 --> 01:27:58.400]   I would for an usher in the free food
[01:27:58.400 --> 01:28:00.160]   cafeterias and the bikes, of course.
[01:28:00.160 --> 01:28:03.720]   Remember Facebook when they built their new campus marks
[01:28:03.720 --> 01:28:06.280]   that don't finish painting, just kind of half paint it.
[01:28:06.280 --> 01:28:07.640]   There's a lot of exposed cement.
[01:28:07.640 --> 01:28:09.200]   It looks like it's like--
[01:28:09.200 --> 01:28:11.080]   I guess, do you think it's--
[01:28:11.080 --> 01:28:12.560]   the young people don't want to work
[01:28:12.560 --> 01:28:14.360]   in a corporate environment.
[01:28:14.360 --> 01:28:16.360]   They want to work in something that looks like maybe
[01:28:16.360 --> 01:28:19.000]   downtown back alley.
[01:28:19.000 --> 01:28:21.360]   I don't really understand, but--
[01:28:21.360 --> 01:28:22.120]   I don't need it.
[01:28:22.120 --> 01:28:24.240]   I think you're big too, Seneca Leo.
[01:28:24.240 --> 01:28:27.080]   When my husband creates a giant mess in the living room,
[01:28:27.080 --> 01:28:28.720]   I'm like dial up a robot.
[01:28:28.720 --> 01:28:29.720]   That's true.
[01:28:29.720 --> 01:28:32.680]   I would like some privacy for this room.
[01:28:32.680 --> 01:28:34.240]   Bring in the pod.
[01:28:34.240 --> 01:28:35.320]   Don't even see it.
[01:28:35.320 --> 01:28:36.960]   That's hysterical.
[01:28:36.960 --> 01:28:39.280]   Speaking of YouTube Roku and YouTube
[01:28:39.280 --> 01:28:42.120]   in a little tussle, Roku does this all the time.
[01:28:42.120 --> 01:28:44.440]   Now, starting their lose credibility.
[01:28:44.440 --> 01:28:48.600]   They've removed YouTube TV from their channel store.
[01:28:48.600 --> 01:28:50.800]   So if you have just a little public service warning,
[01:28:50.800 --> 01:28:55.160]   if you have YouTube TV and you use a Roku, don't delete it.
[01:28:55.160 --> 01:28:59.200]   It'll still work, but you won't be able to get it.
[01:28:59.200 --> 01:29:02.440]   Again, Roku's accused Google of--
[01:29:02.440 --> 01:29:04.560]   it's so much like--
[01:29:04.560 --> 01:29:06.320]   I don't know when you're at home.
[01:29:06.320 --> 01:29:08.760]   If you have a satellite provider,
[01:29:08.760 --> 01:29:12.160]   they put up a thing saying CW is trying
[01:29:12.160 --> 01:29:14.600]   to get double the amount of money we pay.
[01:29:14.600 --> 01:29:16.160]   So we're not going to-- five weeks,
[01:29:16.160 --> 01:29:17.640]   we're not going to carry CW.
[01:29:17.640 --> 01:29:18.920]   And people write letters.
[01:29:18.920 --> 01:29:21.160]   It's just BS negotiations.
[01:29:21.160 --> 01:29:23.960]   Roku is accused Google of seeking unfair terms.
[01:29:23.960 --> 01:29:26.400]   Unfair, I say, that would adversely
[01:29:26.400 --> 01:29:28.200]   affect streaming competitors and benefit
[01:29:28.200 --> 01:29:32.200]   the YouTube suite of apps.
[01:29:32.200 --> 01:29:33.880]   It's negotiations.
[01:29:33.880 --> 01:29:38.520]   It's all just negotiating.
[01:29:38.520 --> 01:29:41.120]   If this happened with Amazon a while back,
[01:29:41.120 --> 01:29:42.120]   it'll all--
[01:29:42.120 --> 01:29:43.120]   I'm sure--
[01:29:43.120 --> 01:29:44.560]   It happens all the time.
[01:29:44.560 --> 01:29:45.280]   Yeah.
[01:29:45.280 --> 01:29:51.080]   More often, it happens with cable channels, ESPN, CW.
[01:29:51.080 --> 01:29:52.120]   You don't have any of this.
[01:29:52.120 --> 01:29:55.400]   You've got the BBC 1, 2, 3, 4, 5, 6, 7, 8, 9, and 10.
[01:29:55.400 --> 01:29:58.240]   So you don't have to worry about this in the UK.
[01:29:58.240 --> 01:30:05.560]   But here in America, in America, we've got TV.
[01:30:05.560 --> 01:30:07.480]   I'm just teasing you.
[01:30:07.480 --> 01:30:10.760]   I'm just teasing you.
[01:30:10.760 --> 01:30:12.640]   All right, let's start picking on Amazon.
[01:30:12.640 --> 01:30:13.160]   You said it.
[01:30:13.160 --> 01:30:14.320]   Let's start picking on them.
[01:30:14.320 --> 01:30:20.240]   Profit sores, 220% in quarantine.
[01:30:20.240 --> 01:30:21.480]   I'm sure I contributed--
[01:30:21.480 --> 01:30:22.200]   All thanks to me.
[01:30:22.200 --> 01:30:23.280]   Yeah, yeah.
[01:30:23.280 --> 01:30:24.040]   Between Tim and me.
[01:30:24.040 --> 01:30:25.040]   You really do.
[01:30:25.040 --> 01:30:27.000]   Yep, yep.
[01:30:27.000 --> 01:30:29.080]   You know, my Amazon Echo--
[01:30:29.080 --> 01:30:30.960]   I have to turn this off.
[01:30:30.960 --> 01:30:34.200]   It gives me a notification when a package is on its way.
[01:30:34.200 --> 01:30:35.720]   But it's like, that's every day.
[01:30:35.720 --> 01:30:38.920]   So I don't really need to be--
[01:30:38.920 --> 01:30:41.760]   I turned off the new email notification years ago,
[01:30:41.760 --> 01:30:44.040]   because of course there's new email.
[01:30:44.040 --> 01:30:46.680]   Of course, there's a package today.
[01:30:46.680 --> 01:30:52.520]   $8.5 billion in sales in the quarter,
[01:30:52.520 --> 01:30:56.400]   $8 billion in profit in the quarter.
[01:30:56.400 --> 01:30:59.840]   Not quite Google money, but OK.
[01:30:59.840 --> 01:31:04.120]   Amazon's profit, of course, is completely--
[01:31:04.120 --> 01:31:06.720]   I always joke, Jeff Bezos has a dial in his office.
[01:31:06.720 --> 01:31:10.680]   And you know, let's turn the profit up a little bit here.
[01:31:10.680 --> 01:31:13.600]   But a very exceeded Wall Street's expectations.
[01:31:13.600 --> 01:31:15.600]   Actually, they've been profitable ever since Bezos
[01:31:15.600 --> 01:31:18.880]   announced he was going to retire.
[01:31:18.880 --> 01:31:22.080]   Of course, the big bucks for Amazon is AWS.
[01:31:22.080 --> 01:31:25.680]   Amazon Web Service is a juggernaut, $13.5 billion
[01:31:25.680 --> 01:31:27.040]   in sales.
[01:31:27.040 --> 01:31:29.800]   Microsoft's cloud business up, but it's still
[01:31:29.800 --> 01:31:33.680]   a fraction of what Amazon makes.
[01:31:33.680 --> 01:31:36.200]   $50 billion in capital expenditures here.
[01:31:36.200 --> 01:31:38.240]   This is what we were talking about, Breonna, in the last 12
[01:31:38.240 --> 01:31:39.600]   months.
[01:31:39.600 --> 01:31:42.080]   So they're not just buying back stock.
[01:31:42.080 --> 01:31:43.960]   I don't even know if Amazon does buy back stock.
[01:31:43.960 --> 01:31:46.720]   That seems like something Bezos would never do.
[01:31:46.720 --> 01:31:48.560]   I think it's going to be really interesting
[01:31:48.560 --> 01:31:50.960]   to see if their profits stay where they are.
[01:31:50.960 --> 01:31:53.480]   I mean, I never thought I'd be going, wow,
[01:31:53.480 --> 01:31:56.800]   I can't wait to go shopping for groceries.
[01:31:56.800 --> 01:31:58.520]   That's exactly where I am.
[01:31:58.520 --> 01:32:01.200]   I've had everything delivered for over a year.
[01:32:01.200 --> 01:32:05.240]   And I'm curious if this is going to be like a permanent change
[01:32:05.240 --> 01:32:08.720]   for consumers or if it's not.
[01:32:08.720 --> 01:32:09.480]   I think it's going to be the one.
[01:32:09.480 --> 01:32:09.800]   I'm curious too.
[01:32:09.800 --> 01:32:12.200]   You might say, oh, I got to go shopping.
[01:32:12.200 --> 01:32:14.080]   Go say, that's nice.
[01:32:14.080 --> 01:32:16.160]   Now I'm going to order from now on.
[01:32:16.160 --> 01:32:17.360]   Because right?
[01:32:17.360 --> 01:32:18.080]   Because you missed it.
[01:32:18.080 --> 01:32:20.800]   But then you realize, you know, it's kind of a pain in the ass.
[01:32:20.800 --> 01:32:21.480]   Yeah.
[01:32:21.480 --> 01:32:24.200]   I mean, Amazon just opened a hair salon in London.
[01:32:24.200 --> 01:32:26.520]   So it's got some pretty--
[01:32:26.520 --> 01:32:28.000]   Take off that hat, Nate.
[01:32:28.000 --> 01:32:29.800]   Let's see what they did to you.
[01:32:29.800 --> 01:32:32.480]   Are you hiding the Amazon hair?
[01:32:32.480 --> 01:32:33.480]   I tell you what.
[01:32:33.480 --> 01:32:35.040]   Let me just see exactly.
[01:32:35.040 --> 01:32:38.760]   No, so my wife was cutting my hair for the dust.
[01:32:38.760 --> 01:32:41.800]   That's why you were in the hat.
[01:32:41.800 --> 01:32:43.280]   That looks good.
[01:32:43.280 --> 01:32:43.680]   It's all right.
[01:32:43.680 --> 01:32:44.560]   My wife didn't do this.
[01:32:44.560 --> 01:32:48.200]   This one I had done because I was back on set professionally.
[01:32:48.200 --> 01:32:49.320]   Professionally cut here.
[01:32:49.320 --> 01:32:53.280]   And I needed to look a little bit better on that set.
[01:32:53.280 --> 01:32:58.560]   But yeah, no, they opened a salon late April.
[01:32:58.560 --> 01:33:03.560]   I think it's predominantly maybe for employees.
[01:33:03.560 --> 01:33:06.160]   But I think it's opening up a bit more widely.
[01:33:06.160 --> 01:33:07.000]   It's in East London.
[01:33:07.000 --> 01:33:08.720]   Anytime Amazon does something like that,
[01:33:08.720 --> 01:33:13.840]   you have to say, well, OK, is this a new field they want to get into?
[01:33:13.840 --> 01:33:18.880]   Remember those Amazon ghost stores that they launched employee only at first?
[01:33:18.880 --> 01:33:19.760]   Now they're spreading.
[01:33:19.760 --> 01:33:24.120]   And Amazon's saying they're going to sell that technology to regular grocery stores.
[01:33:24.120 --> 01:33:29.160]   Lisa and I were actually shopping at a grocery store the other day.
[01:33:29.160 --> 01:33:33.200]   And it's one of those grocery stores, Brianna, that has the self-checkout.
[01:33:33.200 --> 01:33:34.960]   And I said, oh, let's go to the self-checkout.
