;FFMETADATA1
title=Do You Even Rocket, Bro?
artist=Leo Laporte, Christina Warren, Larry Magid, Devindra Hardawar
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-07-12
track=831
language=English
genre=Podcast
comment=Branson in Space, Amazon, Kaseya Hack
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.740]   It's time for Twit this week in Tech. What a show we've got for you. Christina Warren is back
[01:11:39.300 --> 01:11:42.580]   Exactly
[01:11:42.580 --> 01:11:44.580]   It's all great. They are
[01:11:44.580 --> 01:11:51.300]   Uh, what else is happening to apple tv plus they are getting foundation people are very is that foundation?
[01:11:51.300 --> 01:11:57.300]   Yeah, yeah, the trailers look good people like foundation, but the trailers look you know, I thought that too
[01:11:57.300 --> 01:12:03.060]   I thought it looks more like star wars than foundation then somebody said well star wars was inspired by foundation so
[01:12:03.300 --> 01:12:05.780]   Elements of it are basically star wars. Yeah, yeah
[01:12:05.780 --> 01:12:08.660]   But the problem is people know star wars. They don't
[01:12:08.660 --> 01:12:14.660]   Except for sci-fi. We'll see I don't uh, I believe david goyer is behind this one and that guy
[01:12:14.660 --> 01:12:21.700]   I'm always iffy when we're on it Jared, harris as uh harry seldon great casting great casting
[01:12:21.700 --> 01:12:24.260]   What did what is this goyer guy? What did he do?
[01:12:24.260 --> 01:12:28.260]   I mean, he's he's the guy who basically started doing comic book movies
[01:12:28.260 --> 01:12:31.780]   So like what uh the blade movies which you know hit her miss
[01:12:31.780 --> 01:12:37.860]   But then there's been like a lot of messy stuff throughout the 2000s with him and yeah, not a fan. Okay, okay
[01:12:37.860 --> 01:12:40.820]   Well, that's our streaming tv update
[01:12:40.820 --> 01:12:43.300]   Yeah
[01:12:43.300 --> 01:12:48.660]   Whenever film girl and divinda are on they both are you know very much cover this space
[01:12:48.660 --> 01:12:51.060]   slash film and
[01:12:51.060 --> 01:12:57.060]   She's film girl for crying out loud. So uh, yes username. Yeah. Yeah, um you should
[01:12:57.860 --> 01:13:03.540]   Rocket doesn't really cover uh content or does it maybe you do we do sometimes we do sometimes like you should do get back
[01:13:03.540 --> 01:13:05.540]   Into doing some more of that stuff
[01:13:05.540 --> 01:13:10.100]   Content about it actually yeah, because it's fun. Yeah, and you're passionate about it
[01:13:10.100 --> 01:13:13.220]   You could just do a gossip girl show and leave it at that
[01:13:13.220 --> 01:13:18.580]   Uh, I don't want to talk about it. I'm so angry at the new gossip girl. I don't want to talk about it. Oh, right
[01:13:18.580 --> 01:13:21.220]   I just started watching that last night
[01:13:21.220 --> 01:13:25.620]   Larry you're watching the new gossip girl. I just started watching it nothing to be
[01:13:26.820 --> 01:13:29.940]   Larry Larry. I love that. I love that you watched it. It's great. It's great
[01:13:29.940 --> 01:13:35.220]   Yeah, I I tweeted something about how like it didn't need to be made and
[01:13:35.220 --> 01:13:37.140]   a number of like
[01:13:37.140 --> 01:13:39.140]   well respected like
[01:13:39.140 --> 01:13:45.220]   Like people in tech like liked the tweet and I was like very like both amused and kind of
[01:13:45.220 --> 01:13:51.460]   Watch everyone watched gossip girl. I used to DM with john lager the old ceo of t mobile right?
[01:13:51.460 --> 01:13:53.700]   And I used to be a girl
[01:13:55.220 --> 01:13:57.220]   What's he doing now by the way?
[01:13:57.220 --> 01:13:59.220]   Do you see this challenge you lately?
[01:13:59.220 --> 01:14:02.900]   He's just enjoying the
[01:14:02.900 --> 01:14:08.260]   Tink house. Yeah, he's he's much into life and in his villain like living his bed
[01:14:08.260 --> 01:14:10.900]   That's life you go john. He did a great job running team over
[01:14:10.900 --> 01:14:15.460]   He did he was my favorite ceo. He was so entertaining. He was everybody's favorite ceo
[01:14:15.460 --> 01:14:17.540]   Everybody else all the other ceos are
[01:14:17.540 --> 01:14:23.540]   Too constrained to carefully who else is gonna just deal with some rando about gossip girl like no kidding
[01:14:24.100 --> 01:14:27.220]   Well in a way, I thought a little bit of john lager
[01:14:27.220 --> 01:14:30.020]   Mystique was created manufactured
[01:14:30.020 --> 01:14:35.060]   But now that I know that he DMed you about guys of girl. I feel like maybe it was authentic
[01:14:35.060 --> 01:14:39.380]   Maybe that really was like he and like he reached out to me like it wasn't one of those things where like I like
[01:14:39.380 --> 01:14:44.900]   So then his team ends up like yes, let's talk about gossip girl like he like and you don't think he had like a social media person saying
[01:14:44.900 --> 01:14:47.940]   Okay. Now here's what we do. Yeah, you're gonna. No, no
[01:14:47.940 --> 01:14:52.660]   He's flying into christina's dms and he's attuned in my parescope sometimes
[01:14:52.900 --> 01:14:54.020]   like
[01:14:54.020 --> 01:14:57.300]   It was you know, he was just he's very online nice guy and
[01:14:57.300 --> 01:15:03.700]   I was always impressed. Yeah, those best events were always weird things where he would be like rock star events and like he would
[01:15:03.700 --> 01:15:08.020]   Stress down the main things like old old days. Those were the old days
[01:15:08.020 --> 01:15:10.980]   Is he just buying his time waiting for a startup that he can
[01:15:10.980 --> 01:15:18.660]   Launch or a rocket or is he gonna he's he's like he's been in business for a while. I think he just wants to rest right
[01:15:19.380 --> 01:15:25.060]   Yeah, I mean like if I were him like I would just like live in my best life. I'd be like I have more than enough money
[01:15:25.060 --> 01:15:26.740]   I can buy the way
[01:15:26.740 --> 01:15:31.860]   This is why we are not flying rockets into space or building half billion dollar yachts
[01:15:31.860 --> 01:15:36.500]   You give me 10 million dollars. I'm gonna go. Thanks. See you later. Bye. Bye. I'm going to the beach
[01:15:36.500 --> 01:15:42.660]   The difference between us and all of these mega guys is they're never satisfied. They never get it
[01:15:42.660 --> 01:15:46.980]   They're never satisfied ledger got 137 million dollars sevens
[01:15:48.420 --> 01:15:53.620]   If that's me, you're right. I ain't doing another day's work. I don't believe you
[01:15:53.620 --> 01:15:56.020]   You think I'd be doing this in a minute?
[01:15:56.020 --> 01:16:01.700]   Already could retire if you really wanted. I actually could love you
[01:16:01.700 --> 01:16:06.900]   Take more vacation and you would maybe have like a more of like a roving like like mobile
[01:16:06.900 --> 01:16:11.060]   Oh, like I think you'd have like a yacht like with this. Do you want to?
[01:16:11.060 --> 01:16:18.260]   Exactly. Give me 100 million. Yeah. Yeah, is Joe Rogan gonna keep working or is he I mean give me 100 million
[01:16:18.260 --> 01:16:20.260]   I would I would build a
[01:16:20.260 --> 01:16:24.580]   beautiful 50 million dollar air stream and drive around the country
[01:16:24.580 --> 01:16:29.380]   Here we go. It'll be super cool or record right from the beach, you know
[01:16:29.380 --> 01:16:31.300]   Just like the waves that's part of the background noise
[01:16:31.300 --> 01:16:34.340]   I could afford to retire if I wanted to and
[01:16:34.340 --> 01:16:38.660]   It's actually kind of fun. You know working is fun if you don't have to work
[01:16:38.660 --> 01:16:43.540]   If you had to pick grapes, I would you know, yeah, no, but I this isn't picking grapes. This isn't even working
[01:16:43.540 --> 01:16:46.260]   Um, don't tell any
[01:16:47.060 --> 01:16:50.740]   Don't tell Leo he might stop paying. Oh wait a minute
[01:16:50.740 --> 01:16:56.260]   It's a little different when you when you own the company, right?
[01:16:56.260 --> 01:17:00.500]   Speaking of which we're going to talk about cassia in just a second. Oh
[01:17:00.500 --> 01:17:02.340]   ow
[01:17:02.340 --> 01:17:03.460]   ow
[01:17:03.460 --> 01:17:06.580]   Because that's the big ransomware story of the week, but first a word
[01:17:06.580 --> 01:17:11.540]   And this will not be by an automated machine by about my mattress Casper
[01:17:11.540 --> 01:17:15.540]   I love my Casper. I sleep on it every day
[01:17:16.340 --> 01:17:17.940]   Casper
[01:17:17.940 --> 01:17:21.940]   I woke up on a Casper today. I should check my sleep score. I feel like it was very high
[01:17:21.940 --> 01:17:24.500]   Casper is
[01:17:24.500 --> 01:17:27.460]   the best mattress i've ever had in fact
[01:17:27.460 --> 01:17:32.900]   I confess foolishly we went out. We got a fancy mattress some years ago
[01:17:32.900 --> 01:17:37.300]   It's not oh, you know, this thing's costen thousands. It must be really great
[01:17:37.300 --> 01:17:41.140]   Lisa and I looked at each other about a year later
[01:17:42.820 --> 01:17:47.140]   So this let's get a Casper. Let's get a good. Let's get a we want a new Casper
[01:17:47.140 --> 01:17:53.140]   But Casper has a new collection and I'm tempted the Casper cooling collection. Here. I am opening our right
[01:17:53.140 --> 01:17:55.860]   King Casper way
[01:17:55.860 --> 01:17:57.140]   in your teeth
[01:17:57.140 --> 01:18:03.700]   Uh, and by the way in this video I I admit I'm opening this Casper and by the way, they come in an amazingly compact box
[01:18:03.700 --> 01:18:06.820]   You open them up and they they expand
[01:18:06.820 --> 01:18:11.060]   They they're ready to go that you don't have to air them out or anything they smell fantastic
[01:18:11.460 --> 01:18:14.900]   But I did realize that after doing this I had opened it in my foyer
[01:18:14.900 --> 01:18:24.100]   Now what I gotta get the mattress into the bedroom, but it is oh look at that
[01:18:24.100 --> 01:18:32.500]   The Casper's new cooling collection is even cooler Casper's wave hybrid snow mattress keeps you cool for 12 plus hours
[01:18:32.500 --> 01:18:36.660]   Pulling the heat away from your body for sustained temperature regulation
[01:18:36.980 --> 01:18:42.100]   A cool to the touch feeling and a much improved tomorrow if you live in the hot zone
[01:18:42.100 --> 01:18:44.660]   Like say Seattle
[01:18:44.660 --> 01:18:50.660]   You're gonna really want bedding that lets you be cool at night better bedding makes for a better tomorrow
[01:18:50.660 --> 01:18:52.980]   Casper's hyper light sheets
[01:18:52.980 --> 01:18:58.020]   Design with an innovative grid weave that lets the air flow through for maximum breathability
[01:18:58.020 --> 01:19:00.660]   I don't know about you. I can't sleep with justice sheet
[01:19:00.660 --> 01:19:04.980]   I need a kind of a blanket so the lightweight duvet is perfect
[01:19:05.300 --> 01:19:11.780]   It provides optimal temperature control without sacrificing plus comfort and between you and the mattress
[01:19:11.780 --> 01:19:14.740]   Casper's breathable mattress protector
[01:19:14.740 --> 01:19:18.580]   It improves the coolness of the bed even further by allowing air to flow
[01:19:18.580 --> 01:19:22.660]   Between your body and mattress Casper really works
[01:19:22.660 --> 01:19:27.780]   To design an ecosystem for a better night's sleep and we know
[01:19:27.780 --> 01:19:32.260]   Sleeping cool is how to sleep better all of Casper's
[01:19:32.900 --> 01:19:39.860]   New cooling collection are designed to prevent overheating all night long cooler sleep means better sleep better sleep
[01:19:39.860 --> 01:19:41.620]   Means better
[01:19:41.620 --> 01:19:46.900]   Tomorrow's Casper's got something for everybody when abby moved into her new apartment. I celebrated
[01:19:46.900 --> 01:19:50.820]   I sent her the basically a Casper collection on my own. I said her the frame
[01:19:50.820 --> 01:19:54.980]   This foundation the mattress the sheets the pillows the whole works
[01:19:54.980 --> 01:19:59.860]   She loves them when it comes to a better night's sleep Casper's new cooling collection as you covered
[01:20:00.500 --> 01:20:06.900]   Focus on tomorrow let Casper handle the rest explore Casper's products mattresses sheets pillows and more
[01:20:06.900 --> 01:20:12.260]   At Casper calm slash twit one you might want to get a Casper for your doggy too
[01:20:12.260 --> 01:20:16.020]   They've got great dog beds use the code twit one for a hundred dollars off
[01:20:16.020 --> 01:20:18.260]   Select mattresses
[01:20:18.260 --> 01:20:24.980]   TW it one is the offer code for one hundred dollars off select mattresses at Casper calm
[01:20:25.540 --> 01:20:29.780]   slash twit one exclusion supply see Casper calm for more details
[01:20:29.780 --> 01:20:32.580]   Casper
[01:20:32.580 --> 01:20:36.820]   Love have a great night's sleep. It was kind of funny because
[01:20:36.820 --> 01:20:44.660]   I looked at Lisa. I said you really like this mattress. She said no, I got what got it because you like it. I said, I don't like this mattress
[01:20:44.660 --> 01:20:49.700]   Let's get a Casper. Okay, you mentioned sleep. I checked my my Fitbit sleep score every night
[01:20:49.700 --> 01:20:55.140]   And it doesn't always correlate to how I felt that night right like I got you're feeling wrong
[01:20:55.220 --> 01:20:58.740]   You should really I know it's like I got a little sleep score left that and I thought I slept great
[01:20:58.740 --> 01:21:02.500]   Lisa my wife Lisa is so competitive
[01:21:02.500 --> 01:21:08.900]   Say what was sleep score? I'll say um 64 not good. I got an 88
[01:21:08.900 --> 01:21:12.500]   She competes on sleep score. Right
[01:21:12.500 --> 01:21:20.180]   Actually, I want to check because I know she's gonna do this. I'm just gonna check. All right. We have a sleep tracker in the bed
[01:21:20.180 --> 01:21:24.900]   Uh, which one do you have? Oh, I only got a 51 last night. Oh, yeah, sleep check. Okay
[01:21:24.900 --> 01:21:32.100]   You sleep product. Yeah, that's a leap con. That's why I got it. Yeah, Philippe con remember him from borland international and then I had dinner with him
[01:21:32.100 --> 01:21:36.500]   Saturday night. Oh, I love Philippe. You're a great guy. Yeah, well, he's great. Yeah, so he um
[01:21:36.500 --> 01:21:39.380]   He invented the camera phone. Right?
[01:21:39.380 --> 01:21:44.740]   Which is a wild story. We talked about this on triangulation. He was his wife was having a baby
[01:21:44.740 --> 01:21:48.820]   And I can't understand this as a geek. Maybe you did this too, Devindra
[01:21:48.820 --> 01:21:54.820]   I beat you. We tried it. You got a 61 you beat me. Yeah, that's not good. Hey, see he's competitive
[01:21:54.980 --> 01:21:56.820]   too. See see
[01:21:56.820 --> 01:22:01.860]   So uh, Philippe says there ought to be some way to send pictures out of this baby
[01:22:01.860 --> 01:22:06.180]   As it goes out. This is I know this is to handle the anxiety, right?
[01:22:06.180 --> 01:22:11.860]   But but he goes to his car. He gets some tools get some electronics cobbles together
[01:22:11.860 --> 01:22:17.940]   A wireless radio for his smartphone takes the first camera phone picture of this baby
[01:22:17.940 --> 01:22:20.340]   Sophia Sophia
[01:22:20.340 --> 01:22:21.780]   22 now
[01:22:21.860 --> 01:22:29.300]   But Philippe is a brilliant guy. He's Frenchman. He plays a saxophone created borland and the clarinet brilliant brilliant guy
[01:22:29.300 --> 01:22:31.060]   He said, you know
[01:22:31.060 --> 01:22:37.380]   This might be a business. He patented the whole thing and pretty much any camera phone you use is is patented
[01:22:37.380 --> 01:22:39.620]   by a Philippe con
[01:22:39.620 --> 01:22:44.100]   And then later he created a company motion x right is that what it's called? Yeah, that
[01:22:44.100 --> 01:22:48.580]   Monter's the accelerometers in these phones and that's we're sleep track the sleep now
[01:22:48.580 --> 01:22:52.900]   He's got full power which the sleep trucker and he's full power. He's got a complete sleep lab in Santa Cruz
[01:22:52.900 --> 01:22:56.340]   I mean, he's like I mean he also races yachts. Yeah
[01:22:56.340 --> 01:22:59.540]   I was in the uh, we were in the bay a few years ago
[01:22:59.540 --> 01:23:02.340]   And uh, we're on a sailboat, not mine
[01:23:02.340 --> 01:23:05.940]   A friend's and uh, he says see that that's Philippe
[01:23:05.940 --> 01:23:10.980]   And and they are they're all the boat is like this the healed way over
[01:23:10.980 --> 01:23:14.820]   There's a bunch of people wearing foul weather gear
[01:23:15.540 --> 01:23:18.900]   Hanging out of the boat. They're 20 feet in the air as the boat is almost on the
[01:23:18.900 --> 01:23:23.460]   Sales almost touching the ground. They're whizzing along and you can see Philippe in the background
[01:23:23.460 --> 01:23:26.260]   cracking the width
[01:23:26.260 --> 01:23:29.460]   He is quite a guy. Well, give him my regards
[01:23:29.460 --> 01:23:31.460]   I will and he also has a foundation
[01:23:31.460 --> 01:23:34.180]   That he and Sonya his wife
[01:23:34.180 --> 01:23:38.820]   Do and I have to be careful what I say whether this is something i'm allowed to talk about but
[01:23:38.820 --> 01:23:41.460]   um, let's just say that
[01:23:41.460 --> 01:23:46.180]   The picture of I don't know if you can bring this up picture of the baby of uh, uh, uh,
[01:23:46.180 --> 01:23:51.620]   Yeah, this is the first camera phone picture that picture may become an nft
[01:23:51.620 --> 01:23:57.300]   Oh, that's interesting. Yeah, this was the first cell phone picture ever ever taken
[01:23:57.300 --> 01:24:02.100]   So you can buy the rights to that picture and the money would go to charity. Oh good for him
[01:24:02.100 --> 01:24:03.460]   Yeah
[01:24:03.460 --> 01:24:08.900]   The first cell phone picture in 1997 of his now 22 year old and she did she's student in New York
[01:24:09.060 --> 01:24:13.700]   Yeah, doing great. So that was a digression, but a good one. Yeah. Yeah
[01:24:13.700 --> 01:24:17.220]   Uh, casea a name that will live in infamy
[01:24:17.220 --> 01:24:22.740]   Software used by it guys managed service providers small guys who
[01:24:22.740 --> 01:24:30.020]   On we use a managed service provider. That's what Russell is. He's they they contract out to small companies to do it services
[01:24:30.020 --> 01:24:34.900]   Uh, and they uh, it turns out many of them use a product called casea
[01:24:35.940 --> 01:24:42.900]   Which be in the nature of the thing. It's a monitoring tool. I think they put it on their client's computers. Well, of course casea got hacked
[01:24:42.900 --> 01:24:44.980]   and um
[01:24:44.980 --> 01:24:50.340]   At last count somewhere between 800 and 1500 small businesses have been hit by ransomware
[01:24:50.340 --> 01:24:52.740]   Because of this flaw
[01:24:52.740 --> 01:24:59.060]   And casea's software it is literally quite literally the worst ransomware attack in history
[01:24:59.060 --> 01:25:01.620]   The are evil guys
[01:25:02.020 --> 01:25:08.740]   Who perpetrated this have said give us 70 million dollars will give you a decryption key that will work for all of you
[01:25:08.740 --> 01:25:12.180]   70 million dollars they may get it who knows
[01:25:12.180 --> 01:25:17.940]   Uh, in fact president biden actually called poutin this week and said knock it off
[01:25:17.940 --> 01:25:24.740]   I don't know if he said knock it off exactly maybe he said here's the deal knock it off
[01:25:24.740 --> 01:25:28.500]   But what knock off the malarkey knock off the malarkey. Here's the deal
[01:25:28.500 --> 01:25:30.580]   uh
[01:25:30.580 --> 01:25:33.300]   Actually, the problem is you know our evil
[01:25:33.300 --> 01:25:35.780]   Who knows?
[01:25:35.780 --> 01:25:41.300]   Probably biden and our and our intelligence services have some idea. Are these guys
[01:25:41.300 --> 01:25:47.220]   tolerated by the russian government funded by the russian government actually employed by the russian government
[01:25:47.220 --> 01:25:52.100]   It's hard to say or are they just failing to enforce the law which would or the most against the law
[01:25:52.100 --> 01:25:54.820]   Yeah, and and I think that's probably the latter
[01:25:54.820 --> 01:25:58.100]   I think it's probably they're they're a ransomware gang they're crooks
[01:25:58.580 --> 01:26:02.340]   But they're you know, they're the russian authorities are looking the other way
[01:26:02.340 --> 01:26:06.260]   Anyway biden kind of said, oh, yeah, we don't we don't know if they're
[01:26:06.260 --> 01:26:11.140]   You know if you guys are supporting them, but you need to enforce the law. You need to get this to stop
[01:26:11.140 --> 01:26:19.060]   Uh, I doubt that poutin maybe you can I don't know if they ever hooked up with a little tony in their t and yeah, exactly
[01:26:19.060 --> 01:26:24.260]   Um, anyway, this is the worst news apparently. This is from bloomberg
[01:26:24.260 --> 01:26:27.060]   Uh, they've got a number of sources of former
[01:26:27.780 --> 01:26:31.220]   Casa employees in software engineering and development
[01:26:31.220 --> 01:26:38.820]   They asked not to be identified for fear of professional retribution said they've been warning casa since 2017
[01:26:38.820 --> 01:26:42.820]   Yes that they were massive security problems
[01:26:42.820 --> 01:26:46.260]   This is from the bloomberg story of cloud day
[01:26:46.260 --> 01:26:49.860]   Is this data sitting on casa of cloud server or that sitting in the client's?
[01:26:49.860 --> 01:26:57.700]   Local storage. Yeah, I wish I don't know and maybe we I know in our chats. We have it folks who might
[01:26:57.700 --> 01:26:59.700]   be using casa. So
[01:26:59.700 --> 01:27:04.100]   Uh
[01:27:04.100 --> 01:27:08.020]   Recan, do you know if casa how do is my senses? It's a it's a
[01:27:08.020 --> 01:27:12.260]   performance monitoring tool that you put on clients so that you can
[01:27:12.260 --> 01:27:15.460]   Maybe do remote access, but maybe see how they're doing
[01:27:15.460 --> 01:27:17.220]   Um
[01:27:17.220 --> 01:27:19.220]   I don't know if it goes back to a cloud
[01:27:19.220 --> 01:27:24.900]   Among the most glaring problems of clearing bloomberg software underpinned by outdated code
[01:27:25.300 --> 01:27:28.980]   The use of weak encryption and passwords and casa as products and servers
[01:27:28.980 --> 01:27:32.740]   A failure to adhere to basic cyber security practices
[01:27:32.740 --> 01:27:36.020]   most importantly regularly patching software
[01:27:36.020 --> 01:27:42.660]   And a focus on sales at the expense of other priorities. Where have we heard this before? This is very similar to the solar ones
[01:27:42.660 --> 01:27:46.980]   story a casa spoke person declined to address the accusations
[01:27:46.980 --> 01:27:53.380]   Saying we will not comment on matters involving personnel or the ongoing criminal investigation
[01:27:53.380 --> 01:27:58.100]   If a car company was as negligent with its safety features, you know with its brakes and airbags
[01:27:58.100 --> 01:28:01.220]   As these guys are allegedly with their security
[01:28:01.220 --> 01:28:03.940]   They would be in very serious
[01:28:03.940 --> 01:28:10.100]   Legal trouble at least in terms of litigation. They this there you know, maybe they will be one of the former employees
[01:28:10.100 --> 01:28:13.140]   told bloomberg in early 2019 he sent the company
[01:28:13.140 --> 01:28:20.740]   Uh leaders a 40 page memo deleting secure detailing security concerns and he was fired two weeks later
[01:28:22.260 --> 01:28:30.020]   Another employee said casa rarely patched its software servers and stored customer passwords in clear text on third party platforms
[01:28:30.020 --> 01:28:33.620]   Oh lord
[01:28:33.620 --> 01:28:40.580]   The employee and others said executives were told that casa as virtual system administrator software
[01:28:40.580 --> 01:28:48.660]   Was so antiquated and riddled with problems. It should be replaced. Of course. That's what revil use our revil used is an revil or revil
[01:28:49.700 --> 01:28:52.740]   I guess it's our call it our evil our evil. I like revil
[01:28:52.740 --> 01:28:56.980]   Um that's they are evil used they are evil are evil
[01:28:56.980 --> 01:29:00.820]   Uh anyway, yeah, just
[01:29:00.820 --> 01:29:04.820]   This is not the first time we've heard of you know these companies
[01:29:04.820 --> 01:29:10.500]   Not taking security seriously and what's sad is the small businesses were affected by this probably
[01:29:10.500 --> 01:29:14.500]   We're taking security seriously and the msp is probably well, you know
[01:29:14.500 --> 01:29:19.300]   We were constantly being lectured at by people including ilecture people, you know, make sure you got back
[01:29:19.940 --> 01:29:24.260]   All this and that but the fact is that we are passengers on the bus
[01:29:24.260 --> 01:29:29.460]   And if the bus company doesn't fix their tire than you get hurt in a crash
[01:29:29.460 --> 01:29:35.860]   It's not your fault and and that's the problem right now with so much of these these hacks and security breaches
[01:29:35.860 --> 01:29:41.060]   They're affecting businesses and individuals who didn't do anything wrong. Yeah, you know, yeah
[01:29:41.060 --> 01:29:44.340]   It's it's it's bad out there
[01:29:45.460 --> 01:29:50.420]   And uh these ransomware companies are making I mean 70 million dollars, right?
[01:29:50.420 --> 01:29:53.140]   They're making so much money
[01:29:53.140 --> 01:29:57.940]   Um, maybe they can sponsor space probes
[01:29:57.940 --> 01:30:02.020]   According eventually they will yeah according to
[01:30:02.020 --> 01:30:08.340]   A crowd sourced ransomware payment company they monitor ransomware payments
[01:30:08.340 --> 01:30:10.980]   Uh cribs stamos group
[01:30:11.940 --> 01:30:13.540]   Uh 30
[01:30:13.540 --> 01:30:17.700]   So far this year 32 million dollars in ransomware payments so far
[01:30:17.700 --> 01:30:21.460]   This year most of them to are evil
[01:30:21.460 --> 01:30:24.660]   It's like the old airplane hijacking thing
[01:30:24.660 --> 01:30:29.140]   Yeah, except now it's just like yeah, yeah, it's ransomware everywhere. It's safer
[01:30:29.140 --> 01:30:32.180]   I was watching um, you know
[01:30:32.180 --> 01:30:38.260]   A movie about robin armored vehicles say seems to be a very popular subject for movies, right?
[01:30:38.260 --> 01:30:39.060]   Yep, yep
[01:30:39.060 --> 01:30:40.500]   And i'm looking at him and go
[01:30:40.500 --> 01:30:44.580]   Does anybody do that in one yes as a matter of fact, yeah
[01:30:44.580 --> 01:30:47.780]   Is anybody do that anymore?
[01:30:47.780 --> 01:30:51.060]   Why bother why bother? Yeah, why risk your life?
[01:30:51.060 --> 01:30:57.220]   When you can make so much more just you know a little ransomware here a little heck in there don't have to leave home
[01:30:57.220 --> 01:31:02.420]   Let's see the cinematic you know it makes a lousy movie. I completely agree with
[01:31:02.420 --> 01:31:09.380]   Yes, we're not going to see in 10 years. Oh, you know boston's famous for their ransomware gangs. You're not going to see that now
[01:31:10.340 --> 01:31:14.500]   Actually actually thought actually that'd be some movies that was a good that was I like Jason statham
[01:31:14.500 --> 01:31:16.980]   I'm trying to remember Alex. That's a that's a fun movie
[01:31:16.980 --> 01:31:19.700]   I wish like half the dialogue was not in that movie
[01:31:19.700 --> 01:31:22.260]   Yeah, I wish people weren't speaking because the words are bad
[01:31:22.260 --> 01:31:25.540]   So words are bad the premise was good and statham is always great
[01:31:25.540 --> 01:31:33.300]   No, what you could have though is a movie would be somebody has the ransomware attack and then you know statham or someone goes after them and kills
[01:31:33.300 --> 01:31:40.180]   Exactly exactly that would be the thing is like okay now i'm going to track you down to whatever, you know island or or
[01:31:40.900 --> 01:31:43.060]   You know, by the way, I think that was black hat
[01:31:43.060 --> 01:31:45.620]   Black hat was a ransomware, but it was a hat
[01:31:45.620 --> 01:31:48.580]   It wasn't a ransomware, but it was a smart the plot of startup
[01:31:48.580 --> 01:31:54.580]   Because basically startup is a boring show about cryptocurrency except that everybody gets killed
[01:31:54.580 --> 01:32:01.140]   So it keeps it interesting. There's there's gangs. There's murders, but it's about crypto
[01:32:01.140 --> 01:32:06.260]   Um actually was kind of interesting. I we finally finished it last night. We binged the final
[01:32:07.380 --> 01:32:10.740]   But if it's bad, why are you watching it Leo? I have to ask this to everybody
[01:32:10.740 --> 01:32:16.100]   Uh why it was somebody could show you know what's interesting about that show it was bad
[01:32:16.100 --> 01:32:18.820]   The acting was horrific
[01:32:18.820 --> 01:32:25.220]   Um except that help weighs in it. So that's pretty good. Uh, I love around problem. I love around problem, but uh
[01:32:25.220 --> 01:32:31.220]   It it's funny even though it was the terrible acting and scripting
[01:32:31.220 --> 01:32:37.140]   It somehow you got engaged in it in the sense that you want to know what happened next and so I screaming bare minimum
[01:32:37.220 --> 01:32:40.580]   Yeah, it's like I watched manifest and the first two seasons are on Netflix
[01:32:40.580 --> 01:32:43.220]   Is it a good idea?
[01:32:43.220 --> 01:32:45.620]   I just downloaded it for a trip to Hawaii
[01:32:45.620 --> 01:32:48.980]   Do not watch the 13th
[01:32:48.980 --> 01:32:52.180]   It's kind of like the it's the lost problem, right?
[01:32:52.180 --> 01:32:57.940]   You set up this whole supernatural premise, but you don't really know what's going on and you can't finish
[01:32:57.940 --> 01:33:00.420]   It makes no sense even within their crazy
[01:33:00.420 --> 01:33:04.180]   Matrix of so here's a tip if you're gonna do this
[01:33:05.060 --> 01:33:07.060]   Pot the whole thing out first, right? Yes
[01:33:07.060 --> 01:33:12.420]   And here are the other things and don't lie about it and don't get canceled before you wrap it up
[01:33:12.420 --> 01:33:15.780]   Yeah, because they were watching the third season. We said oh, it's gonna wrap up great
[01:33:15.780 --> 01:33:19.460]   No, they canceled it. They were planning on wrapping it up in the middle. It got so bad
[01:33:19.460 --> 01:33:24.260]   Yeah, that they just will never find out how it ends. Just start up ends in the middle too actually
[01:33:24.260 --> 01:33:30.180]   Yeah, that happened with the um the worst one for me personally that I still will never get over all these years later
[01:33:30.180 --> 01:33:32.260]   It was models ink which was
[01:33:32.660 --> 01:33:39.220]   Place which was a spin off of Beverly Hills. I was who know and I was like 11 and it was a terrible show, but it was great
[01:33:39.220 --> 01:33:45.220]   It was totally soapy. It was like, you know, like they brought in um, what's her face from um from Dallas
[01:33:45.220 --> 01:33:47.780]   um who
[01:33:47.780 --> 01:33:53.700]   Briefly appeared on more of those places Heather Locklear's mom and that was like the connection and it was a bad show
[01:33:53.700 --> 01:33:58.340]   But it ended on this cliffhanger where one of the characters carry on
[01:33:58.340 --> 01:34:01.780]   Moss who later went on to be you know in the Matrix of course was like
[01:34:02.340 --> 01:34:07.300]   Stuck in some sort of like prostitute hell and a gun went off at a wedding
[01:34:07.300 --> 01:34:11.780]   And there were like all these other things like up in the air and and and then the show was canceled
[01:34:11.780 --> 01:34:12.500]   Oh no
[01:34:12.500 --> 01:34:17.060]   They they air it on they aired on e. This is the hilarious thing. They aired on e
[01:34:17.060 --> 01:34:19.460]   um briefly and
[01:34:19.460 --> 01:34:22.020]   For the final episode they had like
[01:34:22.020 --> 01:34:27.380]   One scene that had clearly been shot like in a weird sound stage or whatever where you just see um linda
[01:34:27.380 --> 01:34:32.820]   What's her face from Dallas just being like that's it. I'm closing the agency and like nothing is for souls
