
[00:00:00.000 --> 00:00:04.580]   It's time for Twit this week in tech. What a great panel this week Christina Warren's here
[01:26:38.120 --> 01:26:43.080]   That keyboard yeah, all this stuff feels like rather than them sort of imposing a we know
[01:26:43.800 --> 01:26:48.840]   How we want to do this and it's gonna be great. You're gonna love it trust us big escape key
[01:26:48.840 --> 01:26:51.560]   listening developers
[01:26:51.560 --> 01:26:54.360]   I mean, but like the studio is a great example of like
[01:26:54.360 --> 01:26:59.000]   Putting ports on the front right yeah an apple an apple machine that it's not
[01:26:59.000 --> 01:27:04.920]   Let's be honest. It's not the best looking mac that's ever been made right? It's not that it's totally unattractive
[01:27:04.920 --> 01:27:09.880]   But it's it's functional right it's functional. It's not form over function. It looked really tubby
[01:27:10.760 --> 01:27:14.920]   And i've kind of come it's cute. It's like a little fat little chubby teddy bear
[01:27:14.920 --> 01:27:18.600]   I don't it's chubby, but it's cute chubby
[01:27:18.600 --> 01:27:23.640]   I mean if you if you throw it out there and compare it to something like the trashcan mac pro right
[01:27:23.640 --> 01:27:27.880]   Which was all about form it was all about we're gonna make this
[01:27:27.880 --> 01:27:30.520]   Very much circular piece of crap
[01:27:30.520 --> 01:27:33.960]   Right and the in the end of day it didn't do the job it needed to get done
[01:27:33.960 --> 01:27:36.680]   So I think it's refreshing to have a situation where they're like
[01:27:37.160 --> 01:27:41.400]   We understand this is a machine that you want to get your work done and we're going to make it as easy as possible
[01:27:41.400 --> 01:27:44.040]   And I accommodate what you're trying to do with it. I think that's that's good
[01:27:44.040 --> 01:27:45.640]   It speaks well
[01:27:45.640 --> 01:27:47.880]   To where they're going with these product lines
[01:27:47.880 --> 01:27:49.560]   And yet
[01:27:49.560 --> 01:27:52.600]   Uh, the studio display i'm really starting to think
[01:27:52.600 --> 01:27:55.560]   Was a misfire?
[01:27:55.560 --> 01:27:57.160]   I don't know I
[01:27:57.160 --> 01:28:01.720]   There's a lot of debate about it and I can't tell how much of that is sort of
[01:28:02.760 --> 01:28:10.840]   Created versus how much of it is actually impacting people because people wanted like, you know after the pro display xer came out with it's humongous price tag
[01:28:10.840 --> 01:28:15.480]   People were like, oh just put the 27 inch iMac panel in a monitor
[01:28:15.480 --> 01:28:21.080]   And let me buy it and that's what they did, you know, and it's you know, it's 1600 bucks
[01:28:21.080 --> 01:28:24.600]   It's not cheap, but for an apple product. It's pretty cheap
[01:28:24.600 --> 01:28:27.880]   You know, I don't think it's a bad quality monitor
[01:28:27.880 --> 01:28:31.640]   I think a lot of people who are used to having an iMac on their desk would be very happy with this
[01:28:32.200 --> 01:28:35.960]   There's been a lot of complaints about this and that and how it matches up to other things
[01:28:35.960 --> 01:28:38.920]   But I think one of the things is there's not there's not really a super
[01:28:38.920 --> 01:28:46.360]   Like comparable product to this right everybody who was using a mac mini or wanted to hook up an external display to their macbook pro
[01:28:46.360 --> 01:28:48.760]   A lot of them were using the lg the ultra fines
[01:28:48.760 --> 01:28:53.000]   I am a scepter. Yeah a lot of people I complaints about those too
[01:28:53.000 --> 01:28:55.640]   There were a lot of shielded
[01:28:55.640 --> 01:28:59.240]   They're probably shielded. Yeah, this the built-in stand
[01:28:59.400 --> 01:29:03.800]   Isn't great. Although it at least comes with the so yeah, you know
[01:29:03.800 --> 01:29:07.720]   Because I have one of those that I'm gonna be selling and I I should be getting
[01:29:07.720 --> 01:29:10.440]   Getting the studio display. I'm getting I am
[01:29:10.440 --> 01:29:15.320]   I got the one with the the vase option because I'm not dumb put your fingers in your ears
[01:29:15.320 --> 01:29:22.200]   I think it's basically a bunch of parts from 2018 and 2019 apple had left over. Oh, yeah
[01:29:22.200 --> 01:29:28.680]   Slapped together into a $1,500 product. Oh, it's it's look. I I have
[01:29:29.480 --> 01:29:33.960]   Many complaints that I spent the money that I spent on it like I'm not happy to buy it to be very clear
[01:29:33.960 --> 01:29:40.920]   But but there are no other 5k displays and that actually does matter to me does 5k make that much of a difference
[01:29:40.920 --> 01:29:42.680]   There's lots of 4k
[01:29:42.680 --> 01:29:43.480]   Yeah, for me
[01:29:43.480 --> 01:29:47.720]   I really do I have to say because like for for pc stuff for gaming whatnot 4k is fine
[01:29:47.720 --> 01:29:52.200]   I can use like a tv as a monitor for that but I've been using a 5k iMac
[01:29:52.200 --> 01:29:56.040]   For god like like 10 years at this point and
[01:29:56.920 --> 01:29:58.440]   And it's hard to go back
[01:29:58.440 --> 01:30:04.520]   So the reason I ultimately ended up getting the lg was because I was like I just wasn't happy with any other display that I got
[01:30:04.520 --> 01:30:10.920]   Like having them side by side it really bothered me even hooking my Mac up to I just didn't like the the way that you know
[01:30:10.920 --> 01:30:13.400]   the the display scaling happens so
[01:30:13.400 --> 01:30:19.560]   I I think I think it's stupid that I spent this much money on something that doesn't have local domain zones, but
[01:30:19.560 --> 01:30:22.360]   That honestly, you know like I
[01:30:22.360 --> 01:30:25.640]   Would ole it have been nice. Yes, but did I expect it? No
[01:30:26.200 --> 01:30:28.440]   um, higher refresh rate. I don't think that's
[01:30:28.440 --> 01:30:34.520]   Was ever going to happen anyway that that matters to me less, but I feel like that's another thing that bugs the hell out of me
[01:30:34.520 --> 01:30:39.560]   Apple put an hdmi 2.0 port on its yes studio display so it can't do high
[01:30:39.560 --> 01:30:43.400]   frame rate I would love 120 I have 120
[01:30:43.400 --> 01:30:48.520]   Hurts monitors that I can't you know get that speed on right right?
[01:30:48.520 --> 01:30:52.440]   I mean that's you can if you depending on like if you have a display
[01:30:52.440 --> 01:30:57.880]   I'm going to use the play port although I've had trouble getting display port working, which is another issue
[01:30:57.880 --> 01:30:59.400]   um
[01:30:59.400 --> 01:31:02.120]   This is by the way samsung said oh
[01:31:02.120 --> 01:31:10.440]   Hold my beer and they announced the ma which is in its only 4k, but doesn't that look a little familiar like maybe like
[01:31:10.440 --> 01:31:12.920]   Kind of like an iMac
[01:31:12.920 --> 01:31:18.200]   Yeah with the colors with the colors and making a product that looks like an apple product
[01:31:18.200 --> 01:31:22.520]   That's unheard of unheard of although they didn't put the camera in the display
[01:31:22.520 --> 01:31:25.400]   They put it on top of course that way you could put a better camera
[01:31:25.400 --> 01:31:31.080]   Uh in there, um where you can take it off which you know, I know people who can't have cameras. Yeah, don't want a camera places
[01:31:31.080 --> 01:31:33.720]   I'm sure and it's 700 bucks
[01:31:33.720 --> 01:31:36.840]   So it's less than half as expensive
[01:31:36.840 --> 01:31:40.920]   I think there's something to christina's point about for whatever reason
[01:31:40.920 --> 01:31:44.520]   I think especially if you get used to something like the 5k display on the iMac
[01:31:45.240 --> 01:31:51.240]   The I think the resolution issue hits people harder than a lot of those other bullet point features
[01:31:51.240 --> 01:31:53.240]   So you'd rather have 5k than hdr
[01:31:53.240 --> 01:31:56.840]   As someone who is used in iMac 5k for five years
[01:31:56.840 --> 01:32:01.960]   Yeah, I don't I don't know what i'm missing. Maybe it's probably part of it like if I saw that and we're like
[01:32:01.960 --> 01:32:03.720]   Oh, yeah, that would be nice to have on there
[01:32:03.720 --> 01:32:08.680]   But it's hard to have a sort of apples to apples comparison pardon the expression because they're
[01:32:08.680 --> 01:32:11.960]   There isn't another monitor that chooses to
[01:32:12.280 --> 01:32:18.520]   Emphasize the things that apple is choosing to emphasize in its in its displays. By the way, I think this is hysterical in the product
[01:32:18.520 --> 01:32:20.280]   Uh
[01:32:20.280 --> 01:32:23.320]   Photographs for the samsung m8 they show apple tv
[01:32:23.320 --> 01:32:30.760]   Playing on the m8 just in case you didn't really get the connection right away
[01:32:30.760 --> 01:32:33.000]   um
[01:32:33.000 --> 01:32:35.000]   yeah
[01:32:35.000 --> 01:32:41.560]   I'm an apple fanboy and look I bought four studios for various
[01:32:42.200 --> 01:32:44.840]   People I didn't have a studio display on order which I canceled
[01:32:44.840 --> 01:32:47.800]   uh, but
[01:32:47.800 --> 01:32:49.800]   I I'm starting to feel like
[01:32:49.800 --> 01:32:53.080]   Apples really just selling us an iphone with a big fan
[01:32:53.080 --> 01:32:55.880]   Can I spit ball something? Yes, please
[01:32:55.880 --> 01:33:01.160]   Like this has been debunked. I think but i'm gonna just put it out there. Do you remember?
[01:33:01.160 --> 01:33:04.280]   in 2014, I think
[01:33:04.280 --> 01:33:09.480]   There were rumors that apple was gonna come out with a television. Yes. Yes
[01:33:10.200 --> 01:33:13.880]   This is the closest they've come it's an apple tv in a tv
[01:33:13.880 --> 01:33:18.040]   And I feel like like old chips
[01:33:18.040 --> 01:33:25.320]   The hmm. I somewhere somewhere gene monster is very happy. I'm sure exactly. I was a gene monster is very happy with this
[01:33:25.320 --> 01:33:29.240]   And and and I don't think he ever gave up by the way
[01:33:29.240 --> 01:33:34.920]   Why not just keep doubling down on that one? No, it's just coming still it's coming. I know it is
[01:33:35.240 --> 01:33:40.840]   Going to come well, that's the weird thing with this is and the teardown. I mean, we're not really sure how the storage is is connected
[01:33:40.840 --> 01:33:43.480]   64 gigs of storage. It only uses two
[01:33:43.480 --> 01:33:48.520]   Exactly and so it's like okay, you could and i'm not sure like what the you know
[01:33:48.520 --> 01:33:52.360]   They would need to have some sort of UI on it because of course there's no input selection
[01:33:52.360 --> 01:33:54.760]   But it's like would it be great if they just made this
[01:33:54.760 --> 01:33:58.440]   Well, there's not but well, but you could you could use network?
[01:33:58.440 --> 01:34:01.560]   Yeah, you would have to run it through the ball for the yeah
[01:34:01.560 --> 01:34:03.960]   Yeah, there are bolts in that work
[01:34:03.960 --> 01:34:05.960]   Yeah, there's no so
[01:34:05.960 --> 01:34:11.880]   I mean to me what would be great is if you were able to have this and use the network of its host device or whatever
[01:34:11.880 --> 01:34:15.880]   They're never gonna do that. You know, they won't do that. They're never absolutely not of course not
[01:34:15.880 --> 01:34:21.320]   I'm just saying it would be nice if I could like have an apple tv built into my $1,600 monitor
[01:34:21.320 --> 01:34:23.560]   It's all i'm saying sure it would be
[01:34:23.560 --> 01:34:27.480]   And in fact, it's a better processor than the apple fork ultra
[01:34:27.480 --> 01:34:31.640]   but the fork apple tv but
[01:34:32.440 --> 01:34:36.440]   No, it's just because they had some chips left of the chips
[01:34:36.440 --> 01:34:39.880]   They make a big scale
[01:34:39.880 --> 01:34:46.680]   Like we have a bunch of ipads laying around we're gonna grab the the camera out of that. Okay, this is a chip
[01:34:46.680 --> 01:34:53.960]   Fine. This is the only stores that it'll work with so we'll just throw these in and and this will also give us maybe
[01:34:53.960 --> 01:34:56.040]   I mean, this is just me extrapolating
[01:34:56.280 --> 01:35:02.920]   This will give us a test run for the bigger iMac that we said that we're not doing but we are absolutely going
[01:35:02.920 --> 01:35:07.320]   So yeah, that's some point. So initially the rumor was oh, this is what we're doing instead of an iMac
[01:35:07.320 --> 01:35:10.680]   We're it's an iMac deconstructed. We're gonna sell it separately
[01:35:10.680 --> 01:35:15.240]   And then now there's rumors. Oh, no, they're gonna do a 32 inch iMac. That's still on the
[01:35:15.240 --> 01:35:20.600]   Drawing board. I think a half. Do you think they do? I think there is a there's a gap there
[01:35:20.600 --> 01:35:22.520]   I mean, I mean, there's I wrote about this a little bit too
[01:35:22.520 --> 01:35:28.280]   But there's a performance gap too because I was in the market to replace this 27 inch iMac because it's still an intel model
[01:35:28.280 --> 01:35:34.360]   And I can't get anything that's between the studio which starts at two two thousand dollars
[01:35:34.360 --> 01:35:37.240]   Exactly and an m1 and it's like I already have an m1 air
[01:35:37.240 --> 01:35:40.760]   I don't want to take a lateral move of like having this is my workhorse machine
[01:35:40.760 --> 01:35:44.120]   I do podcast editing on this I do stuff that actually requires some more power
[01:35:44.120 --> 01:35:46.520]   I do things that require more than like two thunderbolt ports
[01:35:46.520 --> 01:35:51.080]   And so I wanted to buy something like there's really nothing in that price range between
[01:35:51.720 --> 01:35:57.960]   Roughly, you know the the iMac and the the Mac studio and it feels like there should be something there because the m1 bro
[01:35:57.960 --> 01:36:02.120]   Chip which they've used in the macbook pro doesn't exist on the desktop
[01:36:02.120 --> 01:36:07.640]   There is no configuration of a desktop machine that uses that one chip that's between the m1 and the m1 macs and you're like
[01:36:07.640 --> 01:36:13.480]   That's weird, right? You have a chip it can do this stuff you could stick it in iMac or in a or in a mac mini
[01:36:13.480 --> 01:36:15.560]   But remember to be fair
[01:36:15.560 --> 01:36:21.640]   Single-core performance is identical on all m1 devices from the right road down to the m1 mac
[01:36:21.640 --> 01:36:27.320]   Book Air. It's the same enough. It's not the chip isn't that different you get some more cheap u cores
[01:36:27.320 --> 01:36:30.040]   You get a get more ram too. We get more ram
[01:36:30.040 --> 01:36:37.480]   Yeah, which is the big thing. Yeah, but that's because apples decided to put the ram on this soc
[01:36:37.480 --> 01:36:45.480]   Um, I think apple made some mistakes honestly and i've been a big like proponent of the m1 and people are going see
[01:36:45.480 --> 01:36:48.520]   I told you leo but I honestly feel like
[01:36:49.480 --> 01:36:54.280]   They they really bought into this whole like like you look at the studio motherboard eventually
[01:36:54.280 --> 01:36:59.640]   It's going to be just a chip right the whole the fact that they had have any legacy nodes on there at all
[01:36:59.640 --> 01:37:04.360]   Probably bothers the hell out of them johnny saruji is saying one chip it should be one chip
[01:37:04.360 --> 01:37:07.240]   And they're just going to eventually just make one giant
[01:37:07.240 --> 01:37:10.360]   Chip
[01:37:10.360 --> 01:37:12.840]   Talk about no upgradability
[01:37:12.840 --> 01:37:18.520]   You'll have zero it is what it is. It's their dream. Yeah, it's apples dream honestly, right?
[01:37:18.520 --> 01:37:23.560]   I mean, which which is I have to say like that becomes what it'll be interesting about uh, the the mac pro
[01:37:23.560 --> 01:37:26.760]   Yes, you know update is is okay
[01:37:26.760 --> 01:37:35.000]   If they went all in on the redesign that they started, you know five years after that the failure of the trashcan and then finally in
[01:37:35.000 --> 01:37:39.240]   2017 they finally were like, okay, well now we'll do a listening tour
[01:37:39.240 --> 01:37:42.520]   And we'll start on this earnestly in 2018 and they come out with it
[01:37:42.520 --> 01:37:46.440]   You know a year and a half later like they finally were like look we brought back upgradability and you can
[01:37:47.320 --> 01:37:50.760]   Add stuff and and make changes and touch your own ram. Oh my god, you know
[01:37:50.760 --> 01:37:57.080]   Um for them. They can't get rid of that like it is how it feels, but I don't know how they're going to handle that
[01:37:57.080 --> 01:38:01.160]   given the design clearly of all of this being, you know
[01:38:01.160 --> 01:38:08.600]   Connected their gpu's are turning out to be woefully inadequate compared to nvidia and radion
[01:38:08.600 --> 01:38:14.200]   A set, you know, let's not forget that they call an m1, but it's an a14
[01:38:14.920 --> 01:38:17.640]   It's the same chip as in your iphone 12
[01:38:17.640 --> 01:38:22.840]   It is an a14 with a bunch of different extra little side things
[01:38:22.840 --> 01:38:25.720]   um, i'm not convinced
[01:38:25.720 --> 01:38:32.040]   I'm wondering honestly if they might be running out of runway that the problem with the mac pro is
[01:38:32.040 --> 01:38:37.960]   You can't we're having trouble getting it be a lot faster and all of the speed comparisons
[01:38:37.960 --> 01:38:42.920]   They compare power to power which is important on a laptop and a phone
[01:38:43.480 --> 01:38:48.280]   Much less important on a desktop and if you want real power you're going to turn your
[01:38:48.280 --> 01:38:52.520]   Nvidia 3090 ti up to 400 watts
[01:38:52.520 --> 01:38:56.760]   You're gonna you're gonna you're gonna have an airplane taken off in your on your desk
[01:38:56.760 --> 01:38:59.320]   But you're going to get the job done twice as fast
[01:38:59.320 --> 01:39:05.160]   And I think on a desktop power is not as much of a consideration and apple's big selling point
[01:39:05.160 --> 01:39:10.040]   Is kind of built in because they're basically using an iphone
[01:39:11.800 --> 01:39:17.240]   Or is the iphone basically using a desktop chip? I mean it depends how you look at it doesn't know because the iphone came first
[01:39:17.240 --> 01:39:21.800]   It's an a14. It's not even as fast as the iphone 13 chip
[01:39:21.800 --> 01:39:24.680]   The m2 is the a15
[01:39:24.680 --> 01:39:27.960]   Uh, anyway, I know i'm
[01:39:27.960 --> 01:39:32.040]   This is i'm summing upstream on this. In fact, Neil cyborg had a big article
[01:39:32.040 --> 01:39:37.880]   Yesterday in above Avalon a couple of days ago apple is in a league of its own
[01:39:38.840 --> 01:39:41.640]   And uh, and it is true if you look at numbers wow
[01:39:41.640 --> 01:39:48.440]   Uh new iphone users 60 million a year apple watch new users 30 million a year
[01:39:48.440 --> 01:39:51.320]   iPad new users 30 million a year
[01:39:51.320 --> 01:39:55.080]   Mac users new users 15 million
[01:39:55.080 --> 01:40:00.840]   A year and he says it's all because they changed their strategy where it used to be
[01:40:00.840 --> 01:40:04.840]   The up what what he called a pull strategy
[01:40:05.720 --> 01:40:08.600]   where apple would take a product
[01:40:08.600 --> 01:40:11.320]   and
[01:40:11.320 --> 01:40:18.520]   Be aggressive with that product the products that we're going to sell the best or he says capable of making technology more relevant and personal
[01:40:18.520 --> 01:40:23.160]   And then have that pull all the other product lines along
[01:40:23.160 --> 01:40:29.400]   So here your air pods watch phones then ipads then laptops and desktops pulling them through
[01:40:29.400 --> 01:40:34.440]   Which meant that the stuff on the right hand side the iMac the laptops
[01:40:34.920 --> 01:40:37.080]   They're and even the ipads are kind of lagging
[01:40:37.080 --> 01:40:39.720]   He says now they have a new strategy the
[01:40:39.720 --> 01:40:45.720]   Push strategy in which every major product category is told go for it
[01:40:45.720 --> 01:40:48.600]   Just go for it
[01:40:48.600 --> 01:40:53.320]   I'm not sure I agree with niel because I I have to point out they're all using the same chips
[01:40:53.320 --> 01:40:56.360]   Which really has a lot to do with the overall speed
[01:40:56.360 --> 01:41:00.600]   Uh capable. I mean you follow them dan you follow them closely. What do you think of niel?
[01:41:00.600 --> 01:41:04.600]   Nils, I mean, I think nils analysis is always very good. What do you think of this?
[01:41:04.600 --> 01:41:13.960]   I mean, I think it makes a certain degree of sense in terms of despite the fact that the hardware and the chips are consistent across the line
[01:41:13.960 --> 01:41:20.200]   I think apples often try to differentiate it by use cases, right? I mean the devices they're pushing
[01:41:20.200 --> 01:41:25.400]   Are not like hey, you know, let's try to like sell somebody
[01:41:25.880 --> 01:41:31.400]   This product when they could be using any other product right like you know try to get everybody into an ipad
[01:41:31.400 --> 01:41:36.120]   Right instead of an iphone or a mac or something like that and rather having an opportunity
[01:41:36.120 --> 01:41:40.440]   Not only to be able to say let's pitch the device that works best
[01:41:40.440 --> 01:41:44.680]   For whatever you're trying to do but also, you know to be fair
[01:41:44.680 --> 01:41:47.080]   Try to sell you on multiple devices, right?
[01:41:47.080 --> 01:41:51.560]   If they can sell you an iphone and a mac and an ipad then that's great business for them
[01:41:51.560 --> 01:41:58.200]   That helps them jump up all those users and it helps them broaden their user base and you know deepen their product lines as well
[01:41:58.200 --> 01:42:01.240]   So, I mean, I I think he's not wrong that it's
[01:42:01.240 --> 01:42:07.000]   Having all of those those product lines sort of push individually as opposed to sort of
[01:42:07.000 --> 01:42:10.680]   Prioritizing the ones that are the like the the hot sellers
[01:42:10.680 --> 01:42:14.680]   I think it probably helps them just end up with a deeper bench
[01:42:14.680 --> 01:42:19.720]   Well, and it is true and mark german predicted this that they announced they are this year
[01:42:19.800 --> 01:42:21.800]   They're gonna announce a ton of new products
[01:42:21.800 --> 01:42:26.440]   And they're gonna announce everything all at once and it is going to be kind of an overwhelming avalanche
[01:42:26.440 --> 01:42:32.120]   Of stuff on the other side of the aisle. I'm really happy to see arse technica andrew cunningham
[01:42:32.120 --> 01:42:35.640]   Had a benchmark some of the new alder lake
[01:42:35.640 --> 01:42:40.840]   chips the i3 12 100 and the i5 12 400 and
[01:42:40.840 --> 01:42:43.640]   Intel is starting to
[01:42:43.640 --> 01:42:47.240]   Speed up become a little bit better. They're finally doing
[01:42:47.880 --> 01:42:55.720]   something apple pioneered which is these uh actually maybe qualcom did or armed it but these efficiency cores and and power cores combined
[01:42:55.720 --> 01:42:57.480]   and
[01:42:57.480 --> 01:43:02.520]   I've always made fun of the i3s, but actually the i3s are starting to benchmark
[01:43:02.520 --> 01:43:07.080]   Fairly well the i5 is really starting to benchmark pretty well
[01:43:07.080 --> 01:43:14.600]   Uh and being very compatible competitive and one of the things that was interesting in this article by the way is among all these benchmarks
[01:43:14.600 --> 01:43:20.120]   He started to include some m1 chips and apple honestly didn't look all that good
[01:43:20.120 --> 01:43:30.360]   Compared to some of these intel chips these alder lake chips and you know some people have called it scalder lake because these chips are not exactly
[01:43:30.360 --> 01:43:33.400]   Skimpy on power consumption
[01:43:33.400 --> 01:43:36.440]   Look at this. This is handbrake energy use
[01:43:36.440 --> 01:43:41.400]   for 10 ap and code apple easily beats everybody else
[01:43:41.400 --> 01:43:43.400]   with
[01:43:43.400 --> 01:43:45.880]   24.95 kilojoules
[01:43:45.880 --> 01:43:54.040]   uh compared to say, um, you know the max which was an i3 127 almost under 28 kilojoules, but
[01:43:54.040 --> 01:43:59.080]   If you give them more power they perform pretty well in the mp4 and code
[01:43:59.080 --> 01:44:03.880]   The i3 was as fast as the m1 the i3
[01:44:03.880 --> 01:44:07.480]   And an i7
[01:44:07.480 --> 01:44:11.560]   12 700 was better than twice as fast
[01:44:13.240 --> 01:44:20.920]   That you know that really puts these apple graphs into perspective. Yeah, if you only look at power consumption apple is amazing
[01:44:20.920 --> 01:44:26.360]   But if you just want to get work done, maybe an i3 is as fast as an m1
[01:44:26.360 --> 01:44:30.760]   That's scary numbers
[01:44:30.760 --> 01:44:37.320]   I think last time I was on the show we talked about this specifically and I said that this lead is great
[01:44:37.320 --> 01:44:39.800]   It's temporary you were right
[01:44:40.360 --> 01:44:43.160]   uh, the reason why I said this specifically
[01:44:43.160 --> 01:44:47.960]   related to AMD is I think they just acquired xylinks I think
[01:44:47.960 --> 01:44:50.040]   um where
[01:44:50.040 --> 01:44:56.840]   Some of this acceleration is done by some special t accelerators that are on the chip
[01:44:56.840 --> 01:45:02.360]   And so they move the memory of course closer for the m1 and the m1 family
[01:45:02.360 --> 01:45:07.320]   but there are there's also um an accelerator for
[01:45:08.920 --> 01:45:12.600]   Uh, javascript, I think also on the m1 chip, which is really great
[01:45:12.600 --> 01:45:17.800]   Yeah, and they have playback units for pro res videos so you get right much better performance
[01:45:17.800 --> 01:45:20.360]   for a k-4k video
[01:45:20.360 --> 01:45:26.920]   And when you see this emphasis on accelerators for specialty applications
[01:45:26.920 --> 01:45:31.240]   That is something that you can absolutely do on other processors
[01:45:31.240 --> 01:45:38.600]   Uh just to make sure that things run quicker and um, I I see that happening in the somewhat near future
[01:45:39.080 --> 01:45:42.680]   Where you know apple will still be competitive they they're all they will
[01:45:42.680 --> 01:45:47.000]   um each like best each other in different categories
[01:45:47.000 --> 01:45:52.760]   But I could say it's it's not a panacea. Um, so this is
[01:45:52.760 --> 01:45:54.920]   Uh
[01:45:54.920 --> 01:46:01.400]   Yes m1 is great. There are also some other consequences when you move over to your own type of architecture
[01:46:01.400 --> 01:46:06.360]   We mentioned earlier about breaches and security concerns. Um when you're
[01:46:06.840 --> 01:46:08.040]   uh
[01:46:08.040 --> 01:46:13.320]   When you're now going to be or moving into the majority of some of the install bases of some of these
[01:46:13.320 --> 01:46:17.720]   Apple products that this is also a vector for
[01:46:17.720 --> 01:46:20.120]   Yeah, you get a milk downer specter
[01:46:20.120 --> 01:46:22.920]   Happening in the m1 you got a problem
[01:46:22.920 --> 01:46:28.280]   Uh, yeah, that's an interesting point right now that problem is on x86
[01:46:28.280 --> 01:46:35.400]   Not on apple silicon, but uh, who knows, you know, it's probably there. It just probably isn't yeah. I'm just nothing's perfect
[01:46:36.040 --> 01:46:37.720]   uh
[01:46:37.720 --> 01:46:43.320]   Apple does have a slight advantage because they make the operating system they control the whole stack so intel or
[01:46:43.320 --> 01:46:47.400]   AMD if they do add additional, you know capabilities
[01:46:47.400 --> 01:46:52.440]   They start making a general purpose off the shelf chip for a variety of situations
[01:46:52.440 --> 01:46:57.080]   So they can't be quite, you know as as tightly integrated as look at the xbox
[01:46:57.080 --> 01:47:00.120]   Look at look at even the playstation. Look at AMD is
[01:47:00.120 --> 01:47:04.600]   Running those that's true and they make specially processors already
[01:47:05.080 --> 01:47:11.720]   Theoretically low end, but they're great. Yeah, yeah, no, they definitely do but it's a different sort of thing where if you're, you know
[01:47:11.720 --> 01:47:15.800]   Well, because they know what the application is going to be right. They know exactly. Yeah
[01:47:15.800 --> 01:47:22.360]   Like I imagine that there will be I mean we've already seen this like a like amazon is doing their own, um, you know, uh arm
[01:47:22.360 --> 01:47:28.120]   64 chips in the server room and um, you know, invidia is getting um into that space
[01:47:28.120 --> 01:47:30.200]   Uh, the the data center space too
[01:47:30.200 --> 01:47:36.760]   And so I think we'll see a lot of these more specialty use chips similar to kind of how the and one has been developed, you know
[01:47:36.760 --> 01:47:39.400]   on, you know, the the arm architecture
[01:47:39.400 --> 01:47:42.280]   going at after different things, but
[01:47:42.280 --> 01:47:49.480]   You know x86 is this great kind of general purpose thing that can be used in a variety of different ways and apple
[01:47:49.480 --> 01:47:53.080]   Even though they're selling way more than a lot of other individual
[01:47:53.080 --> 01:47:59.240]   Companies is still just a small fraction of the of the number of you know, like computing devices sold
[01:47:59.720 --> 01:48:07.080]   Um, so they don't have to have the same amount of like yield that like, you know, intel does or even AMD does
[01:48:07.080 --> 01:48:13.640]   Um in terms of how well, I actually i'm not sure I I'd have I'd be curious to know who ships more chips am B or apple
[01:48:13.640 --> 01:48:16.360]   But I certainly you know intel chips more chips
[01:48:16.360 --> 01:48:21.160]   So because they have to be used and in so many different things that apple just doesn't have to carry about
[01:48:21.160 --> 01:48:27.960]   Fundamentally different business models too, right? They're job is to sell chips right intel and a that's their business apple is about selling devices
[01:48:27.960 --> 01:48:32.600]   They're making the chips exactly. I would even argue apple selling lifestyles more than anything
[01:48:32.600 --> 01:48:35.320]   Right. Well, I mean
[01:48:35.320 --> 01:48:38.360]   You could argue that's always been the case. I mean and people
[01:48:38.360 --> 01:48:44.280]   People have been quick to point that out, but it's it's you know, it's something that people are buying right if
[01:48:44.280 --> 01:48:50.440]   If they are it's working it works. Let me just ask this question. So if
[01:48:50.440 --> 01:48:54.200]   Uh if we're talking about volume for microsoft and the xbox
[01:48:54.600 --> 01:48:59.000]   What if a company like hp or del saying we would like our own processor, please
[01:48:59.000 --> 01:49:02.760]   Um, and what kind of volume difference do you think they could push?
[01:49:02.760 --> 01:49:09.960]   I think it'd be at least competitive with the xbox and so they could be a different it could be differentiated to the point where
[01:49:09.960 --> 01:49:15.800]   Del has their own processor to differentiate themselves from yeah, hp has a different processor
[01:49:15.800 --> 01:49:18.920]   I think they can push enough units to make it that's really interesting
[01:49:18.920 --> 01:49:22.040]   You could I think the challenge there you could definitely do that
[01:49:22.040 --> 01:49:25.080]   I think the challenge there is then around always around on the software side, right?
[01:49:25.080 --> 01:49:30.440]   Like like what differences are are you going to make and what sort of performance things are you going to do to make sure that
[01:49:30.440 --> 01:49:32.840]   The software that is running is going to run well
[01:49:32.840 --> 01:49:38.520]   Like apple has the advantage there and an xbox to to a certain degree and that like they're controlling the full thing
[01:49:38.520 --> 01:49:46.360]   So they're you know determining what software can be written and um, you know with with the processes there same thing with um, you know
[01:49:46.760 --> 01:49:54.200]   Like the custom ships inside of an xbox whereas I feel like unless it's at a very specific thing
[01:49:54.200 --> 01:49:57.800]   like does does a del or an hp do they
[01:49:57.800 --> 01:50:04.840]   Have the resources to dedicate towards having their own software stack to run on these dedicated machines
[01:50:04.840 --> 01:50:10.280]   And the marketing side of it as well. I mean if you're hb or del you've made your business with we sell computers to
[01:50:10.280 --> 01:50:13.720]   Everybody for every possible purpose. What is you know?
[01:50:14.040 --> 01:50:17.640]   I think a lot of people will be hard pressed to say like hp as a brand is like
[01:50:17.640 --> 01:50:23.960]   Well, I'll buy you know, especially stuff to rake my excel functions run better in my office environment
[01:50:23.960 --> 01:50:29.880]   I mean, I don't I don't think they have a strong a brand to enable them to specify that deeply
[01:50:29.880 --> 01:50:32.360]   In what they're doing. They're not a company even like
[01:50:32.360 --> 01:50:39.080]   You throw something like alienware or something like that, right? Which is again has a very clear market sort of niche. They're going for right
