
[00:00:00.000 --> 00:00:03.080]   It's time for pizza also twitch
[00:48:21.480 --> 00:48:27.040]   But you know the chatroom saying HP is an ink company certainly the margins are huge in ink
[00:48:27.040 --> 00:48:31.000]   But do people print as much as they used to and is the future for printing bright
[00:48:31.000 --> 00:48:36.360]   I'll tell you right now people have got to get a clue and realize that those clone inks that are being made in China are
[00:48:36.360 --> 00:48:39.120]   Probably being made by the exact same factories
[00:48:39.120 --> 00:48:45.480]   I mean I have moved completely over and I've got some professional printers to these inks good G&G is a good example
[00:48:45.480 --> 00:48:53.760]   The inks work great. They look the same. They last as long. I think the ink businesses on shaky ground. That's interesting
[00:48:53.760 --> 00:48:55.760]   But now don't they
[00:48:55.760 --> 00:49:00.040]   Build chips in I know epsin did this the chips are all cloned out. I mean really
[00:49:00.040 --> 00:49:03.600]   And people you said a lot of people send their stuff back the chips are removed and recycled
[00:49:03.600 --> 00:49:05.600]   I mean the chip thing is
[00:49:05.600 --> 00:49:10.920]   Prevent you from doing that the bigger issue is over time people will print loss
[00:49:10.920 --> 00:49:14.160]   And I use my iPad 80% of the time
[00:49:14.160 --> 00:49:19.840]   I have never once needed to print from my iPad so the fact I don't have a printer well
[00:49:19.840 --> 00:49:24.520]   Exactly my iPad has not been a big deal. So this is the G&G ink and by the way
[00:49:24.520 --> 00:49:29.800]   Can I say one more thing about this ink? I'm actually suspicious that epsin
[00:49:29.840 --> 00:49:32.960]   Or one of these companies doesn't own the cloning company
[00:49:32.960 --> 00:49:39.160]   They're dominating the market. They have the right little chip on there and when you stick it into a like a professional printer
[00:49:39.160 --> 00:49:43.800]   It says you've got a genuine epsin Wow, and it's like and it works
[00:49:43.800 --> 00:49:48.040]   Huh, so the ink business is not I don't think the it's really
[00:49:48.040 --> 00:49:53.520]   Risky to that business. So maybe that's another issue for look at this for eight bucks
[00:49:53.520 --> 00:49:58.520]   I can get a ten pack of G&G. It's unbelievable Wow for the pixima. Yeah
[00:49:58.520 --> 00:50:05.720]   It's I mean this I had a cannon picks my this thing eats ink for breakfast. I mean you're like crazy. That's what I have yeah
[00:50:05.720 --> 00:50:11.440]   Great print prints well. It's a nice printer. I liked it was a Wi-Fi printer actually new get it
[00:50:11.440 --> 00:50:15.000]   I said it find one of your printers and get a set of this G&G ink
[00:50:15.000 --> 00:50:16.480]   let me just Sam is on and
[00:50:16.480 --> 00:50:21.840]   And start using it and then you'll go oh what an idiot I was to be spending 30 bucks for ink
[00:50:21.840 --> 00:50:27.960]   I know these printer companies hate me for doing this and I think they planted stories in the media saying
[00:50:27.960 --> 00:50:32.240]   Oh, you use one of these things and your printer never works again. Yeah, they do logs
[00:50:32.240 --> 00:50:37.200]   It clogs yeah, and then you go to a professional shop where the guy has to print a lot of stuff
[00:50:37.200 --> 00:50:42.360]   He's using it. He's doing it. They got buckets of some generic you don't do ink refills, right?
[00:50:42.360 --> 00:50:44.360]   I mean that's a mess. They're kind of scary
[00:50:44.360 --> 00:50:46.400]   so
[00:50:46.400 --> 00:50:51.520]   I'm looking so a a single cartridge for the epsin workforce and these are big cartridges is
[00:50:51.520 --> 00:50:56.880]   Is 47 bucks for one cartridge or a 12 pack for 33 bucks?
[00:50:57.640 --> 00:51:01.720]   There's a big difference. Yeah, that's it. That's kind of a big difference
[00:51:01.720 --> 00:51:08.680]   Actually, this is not the same time using I'm using the I've got an epsin 4,000. It's a big big
[00:51:08.680 --> 00:51:10.880]   That's a that's a roll photo printer, right? Yeah
[00:51:10.880 --> 00:51:17.160]   What's a big and it prints on canvas and so I couldn't have the guy sold it to me for a song because he couldn't afford keeping
[00:51:17.160 --> 00:51:22.240]   Anything in ink so I mean I literally got the thing for like three in a bus like the guy across the street
[00:51:22.240 --> 00:51:25.400]   There was a store before Halley's which is our breakfast place across the street
[00:51:25.400 --> 00:51:31.120]   It was an ice cream store and he and he couldn't stay in business because it was too expensive to keep the ice cream frozen
[00:51:31.120 --> 00:51:37.120]   You might have looked at that before you started an ice cream store that there is gonna be a cost kind of built in
[00:51:37.120 --> 00:51:39.280]   So I said well screw it
[00:51:39.280 --> 00:51:41.720]   I'm gonna you and first look and he hadn't used the thing for a year
[00:51:41.720 --> 00:51:47.720]   So it was clogged and so I went through every thing I could do to declog the I find like a $10,000 printer
[00:51:47.720 --> 00:51:50.480]   Right? I mean it's a very expensive there about four grand for grandma
[00:51:50.480 --> 00:51:55.900]   Anyway, they I got the thing completely declogged. It took I had to use every trick
[00:51:55.900 --> 00:51:59.120]   I had all kinds of crazy things out the soak it and finally
[00:51:59.120 --> 00:52:06.220]   What was I seriously I was at that almost and then when it got unclogged and I started using this cheap ink and set
[00:52:06.220 --> 00:52:10.320]   Of pink you have to pay a hundred and twenty bucks for a big cartridge. I'm getting it for 10
[00:52:10.320 --> 00:52:15.800]   Wow, I'm cutting my cost by one tenth and I can print what the hell you printing that big you're printing
[00:52:16.640 --> 00:52:21.400]   Postures and things John leaves on a hillside. I bet she's printing things like go away
[00:52:21.400 --> 00:52:25.520]   So anyway, I
[00:52:25.520 --> 00:52:30.960]   I'm now I'm completely convinced that these inks are the same and I'm sure epsis wouldn't like hearing this at all
[00:52:30.960 --> 00:52:34.800]   I'm pretty the 12-foot sign that says don't go away angry. Just go away
[00:52:34.800 --> 00:52:39.400]   Get off my lawn. Yeah, I think that's what I just what I do
[00:52:39.400 --> 00:52:46.480]   So anyway, I'm sure that epsis gng is the best or is it just that's a random gng seems to be the one that keeps showing up
[00:52:46.480 --> 00:52:51.480]   And and that's the one that seems to work and says it's epsin and does all the stuff
[00:52:51.480 --> 00:52:54.040]   And I'm sure epsin is gonna give me a call if they hear the show
[00:52:54.040 --> 00:52:56.960]   Yeah, there's sponsor actually, but I don't you know what I'm
[00:52:56.960 --> 00:53:02.120]   By the way your sponsor is the projectors though, right? No, no epsin
[00:53:02.120 --> 00:53:12.640]   They're very relaxed yeah, not about to think but but over time. I've been convinced now that they own this ink company
[00:53:12.640 --> 00:53:15.680]   That would be devious
[00:53:16.040 --> 00:53:21.720]   Why would that be devious in fact if I'm epsin or Canon or any any HP
[00:53:21.720 --> 00:53:26.240]   What I do is I try to sell my branded ink but I notice that customers are going to these
[00:53:26.240 --> 00:53:32.400]   Sir Chinese companies how much could it cost by the company at least I'll get something yeah, you get you and they're making money
[00:53:32.400 --> 00:53:34.320]   It's not like they're going broke these little ink companies
[00:53:34.320 --> 00:53:39.000]   I mean you just make you're gouging the customer with the other stuff and epsin to their credit
[00:53:39.000 --> 00:53:41.760]   They they're they're high-end inks that they use in these big printers
[00:53:41.760 --> 00:53:46.800]   They do have some formulations that on a way you can't get clones of this now wait open crap
[00:53:46.800 --> 00:53:54.520]   Here's one web 99 21 in our chatroom says he due to ITC rulings. That's the international trade commission
[00:53:54.520 --> 00:54:00.320]   That's the world body that rules this stuff print con country stopped shipping out epsin compatible cartridges
[00:54:00.320 --> 00:54:05.200]   Currently GNG brand epsin compatible cartridges are not available for sale. They were sued
[00:54:05.200 --> 00:54:10.480]   Print country replaces the date on that. What's the date web 99 21?
[00:54:11.360 --> 00:54:15.760]   It's interesting. I just got a batch. Well, this is print country. I mean maybe that's a year
[00:54:15.760 --> 00:54:17.760]   It sounds like that might not be a US
[00:54:17.760 --> 00:54:21.600]   Company I know if you can find out by just by going to
[00:54:21.600 --> 00:54:24.320]   Amazon selling it Amazon selling them
[00:54:24.320 --> 00:54:27.480]   Print country is your premier online store
[00:54:27.480 --> 00:54:31.200]   Your happy tech store ink and more
[00:54:31.200 --> 00:54:40.240]   Let's see this chemical inks for less which I think Amazon's fronting for yeah, there's a bunch of other interest cartridge world which has stores
[00:54:40.880 --> 00:54:45.800]   Huh, there's but it's interesting that that companies like epsin HP
[00:54:45.800 --> 00:54:48.200]   Canada probably going to the ITC
[00:54:48.200 --> 00:54:55.240]   I'm complaining hey, this is a this is a counterfeit if you call them counterfeit, right?
[00:54:55.240 --> 00:54:57.840]   They're counter but they're not labeled. It's it's not
[00:54:57.840 --> 00:55:01.640]   You know if they have the chip in there now they've got them on
[00:55:01.640 --> 00:55:06.640]   There's some there's been a bunch of cases about that chip and I don't know
[00:55:06.640 --> 00:55:10.480]   I'm not sure this has been going on forever by the way this just debate for at least
[00:55:11.200 --> 00:55:19.520]   20 years well the ITC's added again with the Xbox as well an ITC judge says the Xbox should be banned from the US
[00:55:19.520 --> 00:55:23.040]   Due to Motorola patent violations
[00:55:23.040 --> 00:55:25.960]   Yeah, this is killing tech
[00:55:25.960 --> 00:55:33.840]   They've ruled that Microsoft's Xbox video game consoles should face a US important sales ban over four patents
[00:55:37.040 --> 00:55:41.800]   Now I don't know remember Motorola's own by Google. This is actually Google now
[00:55:41.800 --> 00:55:50.360]   But suing Microsoft by proxy. Yeah, well because Microsoft is doing Google. Yeah, so this is all this is the whole game nowadays
[00:55:50.360 --> 00:55:58.120]   Wow the action this action began before the acquisition so it has a you know Google can carry it over
[00:55:58.120 --> 00:56:04.340]   But you know the the judge there's some other thing that has to happen before the expo
[00:56:04.340 --> 00:56:08.900]   There's a lot more from the shelves right so now it goes to the ITC's six member board of commissioners
[00:56:08.900 --> 00:56:13.820]   They have a deadline of August 23rd to make any changes to the ruling or throw it out if they approve it
[00:56:13.820 --> 00:56:18.180]   Then it goes to the Obama administration for a 60-day review period
[00:56:18.180 --> 00:56:24.160]   At which point Obama either signs off now see that could cost them the election right there. Oh
[00:56:24.160 --> 00:56:26.740]   Yeah, sure
[00:56:26.740 --> 00:56:33.820]   ban the Xbox and Ron Paul is in gonna be in charge I don't think anyone would complain I
[00:56:34.620 --> 00:56:38.540]   Get no one to complain about Ron Paul no one at all
[00:56:38.540 --> 00:56:42.540]   And another anti Ron Paul bigot
[00:56:42.540 --> 00:56:45.660]   Are you a Ron Paul supporter? Oh, yeah
[00:56:45.660 --> 00:56:48.860]   We'll talk about it off there. I
[00:56:48.860 --> 00:56:52.420]   Don't want to get in a political discussion here
[00:56:52.420 --> 00:56:55.780]   But I do think that this could cost an election
[00:56:55.780 --> 00:56:58.500]   Right
[00:56:58.500 --> 00:57:00.860]   These got a nice trigger on it. I like it
[00:57:00.860 --> 00:57:04.980]   You know I have it set for silence so you can sneak up at people and take pictures and they don't know see
[00:57:04.980 --> 00:57:09.300]   I don't know if you took a picture and I did all right the photos. They're very good. That's not an APS see the
[00:57:09.300 --> 00:57:13.900]   The the sensors a little smaller. It's an EXR size. We're talking about the Fujitsu
[00:57:13.900 --> 00:57:16.460]   Fujifilm Fujitsu
[00:57:16.460 --> 00:57:23.320]   The Fujifilm X10 the X10 which is their low cost only $600 version of their $1,200 X1
[00:57:23.320 --> 00:57:25.320]   And the lens is probably sold zero
[00:57:25.320 --> 00:57:30.340]   It's not interchangeable nor is the X100 but it is a zoom lens the X100 is just a fixed prime lens
[00:57:30.340 --> 00:57:34.900]   Yeah, that's not an SLR. I know no no no this isn't even a micro four-thirds
[00:57:34.900 --> 00:57:40.820]   This is just you know, it's pointing shoot basically expensive. So these cameras these cameras are endangered really
[00:57:40.820 --> 00:57:45.020]   Why I think your eyes are dead. I think mirrorless
[00:57:45.020 --> 00:57:52.620]   Interchangeable lenses are actually yeah, that's the winner. Yeah, although I gotta say I was just looking at the Nikon D3200
[00:57:52.620 --> 00:57:54.620]   Which is their new entry level?
[00:57:54.620 --> 00:57:59.660]   Camera six or seven hundred bucks and a very nice. Oh, you got DSLR
[00:58:00.500 --> 00:58:06.300]   When do you see an old? Oh, that's that's that's pretty fancy. Yeah, let's go is that the one these old is not old
[00:58:06.300 --> 00:58:09.900]   That's the top of the line. That's the top of the line. That's the professional Canon
[00:58:09.900 --> 00:58:18.980]   Right this guy's a pro photographer. This is no amateur here. He's got an L lens on here. He's shooting. This is this top of the line
[00:58:18.980 --> 00:58:23.120]   Are you your professional obviously you could be a hobby
[00:58:23.120 --> 00:58:25.540]   No, that's
[00:58:25.540 --> 00:58:27.820]   That's nice. You look good behind the glass there
[00:58:28.260 --> 00:58:30.260]   Look at that John is a camera buff
[00:58:30.260 --> 00:58:34.140]   You got a bunch of crappy photos now on your camera. I'm gonna tell you that
[00:58:34.140 --> 00:58:41.380]   Probably we're gonna take a break so John could play with the camera and then we will I promise we're gonna talk about the Facebook IPO failed
[00:58:41.380 --> 00:58:43.740]   Or not. That's the question
[00:58:43.740 --> 00:58:51.540]   What's that what's that lens is nice? It's pretty wide 1635. I have them ones F2A. Yeah. Yeah, that's nice. I like that
[00:58:51.540 --> 00:58:56.620]   Well, it cost Leo a thousand of dollars John. That's the money. I'm making on these commercials right here
[00:58:56.820 --> 00:58:59.220]   So please don't skip this Ford commercial
[00:58:59.220 --> 00:59:02.100]   Please
[00:59:02.100 --> 00:59:07.740]   Whatever you do, please don't skip this actually I'm very excited about the 20 you were talking about the 2012 focus
[00:59:07.740 --> 00:59:13.140]   You didn't see the electric though. You were in Madrid and you saw the the gas powered focus. It's got radar
[00:59:13.140 --> 00:59:17.340]   I know it's amazing what they're doing. It's the stuff parking - the bliss the bliss radar
[00:59:17.340 --> 00:59:22.300]   Which tells you in the mirror whether you've got oncoming traffic so you you know you should still look
[00:59:22.620 --> 00:59:28.220]   But it will warn you it does pre tensioning of the seat belts if you drift out of the lane and then and then yeah
[00:59:28.220 --> 00:59:30.780]   It has the self parking but a little tip on
[00:59:30.780 --> 00:59:37.500]   The some of these laughing because they know because I got in a fall. Yeah, because you rammed a thing in this
[00:59:37.500 --> 00:59:39.500]   No, you got to use the brake
[00:59:39.500 --> 00:59:45.140]   When you're done the car is still running and an idle and you don't just like sit there like an idiot
[00:59:45.140 --> 00:59:50.140]   So the car was perfectly parked and then I'm sitting and I ran into it. Sorry. There were a bunch of engineers in the back
[00:59:50.140 --> 00:59:54.740]   I think they knew it was gonna happen. You know, I didn't realize sitting in a fiesta in the back and they were laughing
[00:59:54.740 --> 00:59:59.140]   You were in a fiesta or focus. I was in a flex, which is a big giant. You love the okay
[00:59:59.140 --> 01:00:04.060]   So I do reason I got either way not a scratch in the fiesta not a scratch the reason
[01:00:04.060 --> 01:00:09.180]   I kind of got jacked up about the focus recently is because I had had taken my Lexus in for a repair
[01:00:09.180 --> 01:00:16.020]   And they gave me that little Lexus which looks like a focus that little bit bitty one whatever it's called and I drove it around
[01:00:16.020 --> 01:00:20.660]   It was okay. It was a nice car as well made, but I thought it's the focus is the $10,000 more
[01:00:20.660 --> 01:00:27.140]   I know there's your plug for it. I know I'm telling you and now they've got the electric focus is it at your
[01:00:27.140 --> 01:00:31.020]   Available now at your Ford EV certified Ford dealer
[01:00:31.020 --> 01:00:39.020]   This is in every respect. It's the best in class. It's got the most fuel efficient five passenger vehicle in America
[01:00:39.020 --> 01:00:43.820]   Most fuel efficient with 110 miles per gallon. E. That's the best city rating in its class
[01:00:43.940 --> 01:00:48.180]   That's the new thing the new EPA ratings if it's an electric or a hybrid they have E
[01:00:48.180 --> 01:00:55.340]   After it I guess it's equivalent. Yes, there's no gas. No, you know how much money you spent 110 MP Ge
[01:00:55.340 --> 01:01:01.380]   It's rated the most fuel efficient car the best city rating in its class the best in class driving range 76 miles
[01:01:01.380 --> 01:01:03.460]   and
[01:01:03.460 --> 01:01:07.140]   240 volt charge time from from empty to full three to four hours
[01:01:07.140 --> 01:01:11.820]   That's the best in fact, it's half within the sun leaf is now you do have to get that home charging station
[01:01:11.820 --> 01:01:15.020]   You don't have to it'll you could use 120 it just takes longer takes all night
[01:01:15.020 --> 01:01:20.620]   Yeah, well if it's three to four hours for 240 would it be just twice that's all night? That's eight hours do it overnight
[01:01:20.620 --> 01:01:22.860]   Yeah, I had a leaf and I had a
[01:01:22.860 --> 01:01:27.260]   Volt so you've driven all of these yeah, except this one
[01:01:27.260 --> 01:01:31.420]   You know what I love on electric vehicles is the torque the pickup and the electric engine is a happy
[01:01:31.420 --> 01:01:36.340]   They're peppy. You don't feel like you're driving a mushy car. This is a nice vehicle. Well, here's the thing it gets me
[01:01:36.340 --> 01:01:40.020]   It's actually have gotten up, but I'm not I'm involved in this commercial
[01:01:41.340 --> 01:01:45.980]   You can park at the Oakland airport now and there's a charging station at not only is there charges
[01:01:45.980 --> 01:01:51.500]   It's the best parking spots right in front. It's the number and then you know, it's always empty so go there with your new
[01:01:51.500 --> 01:01:53.220]   empty
[01:01:53.220 --> 01:01:54.660]   Yeah
[01:01:54.660 --> 01:01:56.660]   This is just a fantastic vehicle
[01:01:56.660 --> 01:01:59.620]   But you've got to go to a certified EV dealer
[01:01:59.620 --> 01:02:02.420]   There's gonna be a limited number so don't delay
[01:02:02.420 --> 01:02:08.580]   And by the way, you may be eligible for a federal tax credit for this too because this is zero emissions
[01:02:08.780 --> 01:02:12.700]   They've got the greatest and you know, they're using the latest battery technology
[01:02:12.700 --> 01:02:16.620]   I think it's seventy five hundred bucks. It says here. Oh, maybe that's not bad
[01:02:16.620 --> 01:02:24.740]   And the cell phone they have the right apps the my Ford mobile app lets you monitor the charging scheduled the charging
[01:02:24.740 --> 01:02:27.380]   on off peak hours
[01:02:27.380 --> 01:02:31.460]   You'll know exactly you can even start your car remotely. It's really cool
[01:02:31.460 --> 01:02:35.700]   The image stabilization on this camera stinks I
[01:02:37.380 --> 01:02:42.580]   Don't know nothing. I don't even know if it has image stabilization. Really not yeah
[01:02:42.580 --> 01:02:47.060]   That's kind of modern. This is an old-fashioned camera
[01:02:47.060 --> 01:02:54.860]   No, actually so conscious interior now. This is cool the the fabric on the seats is made from
[01:02:54.860 --> 01:02:59.300]   100% recycled materials. This is actually kind of cool old bags and the
[01:02:59.300 --> 01:03:05.660]   Cushions are made of a foam derived from plant seed oils. It's really neat what they're doing
[01:03:05.660 --> 01:03:10.700]   I'm just I'm kind of really proud to be associated with for they're really doing something very cool next year
[01:03:10.700 --> 01:03:18.020]   And this was one I think I might want is a 2013 plug-in hybrid and that one you use the electric unless you're going farther than the gas engine kicks in
[01:03:18.020 --> 01:03:22.220]   That's gonna be called the energy. It's the Ford Fusion energy for 2013
[01:03:22.220 --> 01:03:26.620]   Whatever you do before you buy a new car go to your four-dealer and drive one
[01:03:26.620 --> 01:03:32.020]   Check this out. You'll be very very happy you did it or visit the website. They've got a lot of information at
[01:03:32.020 --> 01:03:34.780]   Ford comm
[01:03:34.980 --> 01:03:36.980]   dash technology
[01:03:36.980 --> 01:03:39.340]   For oh, did you know that the tire?
[01:03:39.340 --> 01:03:47.980]   Actually will seal itself if it gets a flat and there's an air compressor in the car they save one of the ways they save battery
[01:03:47.980 --> 01:03:49.980]   There's no spare, but the tire can repair itself
[01:03:49.980 --> 01:03:56.140]   You could drive 120 miles at a maximum speed of 50 miles an hour left of things blown to smithereen by a shotgun shell
[01:03:56.140 --> 01:04:02.380]   That's only in Texas maybe then you could you could strap a tire to your roof
[01:04:04.140 --> 01:04:07.900]   so so Leo if you if you drive this car and
[01:04:07.900 --> 01:04:16.300]   And the all electric one you said that the gas engine does kick in after if you know no no no no
[01:04:16.300 --> 01:04:22.580]   That's the all that's the hybrid right the all electric is all electric that was one of the things people said about the voltage
[01:04:22.580 --> 01:04:24.580]   Like there's a gas engine in this right?
[01:04:24.580 --> 01:04:27.060]   There's a little weird. This is all electric
[01:04:27.060 --> 01:04:30.820]   So so what is the range on the 76 miles?
[01:04:32.020 --> 01:04:36.420]   That's pretty good city right that's but that's about a city you know if you lived in the country you go
[01:04:36.420 --> 01:04:43.740]   I can't forget it right right the main in America's that the way made it the Wayne the Ford assembly plant in Wayne, Michigan
[01:04:43.740 --> 01:04:47.780]   batteries made in Troy, Michigan. They're from compact power
[01:04:47.780 --> 01:04:53.420]   The battery pack is in the in the back under the rear passenger seat
[01:04:53.420 --> 01:05:00.580]   But you got you they've got a good cargo management system to give you more space. It's actually really cool take a look
[01:05:01.220 --> 01:05:03.220]   Ford
[01:05:03.220 --> 01:05:07.540]   Dot-com slash technology and if you want to know more about the federal
[01:05:07.540 --> 01:05:14.780]   Tax break you can go to the fuel economy dot-gov and they've got all that information and how much you can save up to
[01:05:14.780 --> 01:05:16.980]   $7,500. It's pretty cool
[01:05:16.980 --> 01:05:21.020]   And your state may offer tax break as well
[01:05:21.020 --> 01:05:26.500]   So the Facebook IPO now we're seeing the class action lawsuits
[01:05:27.300 --> 01:05:30.860]   Everybody's saying NASDAQ broke, but they didn't want to admit it
[01:05:30.860 --> 01:05:37.620]   There's this whole insider trading thing too, you know because
[01:05:37.620 --> 01:05:40.580]   apparently
[01:05:40.580 --> 01:05:46.700]   The company told some investors that their second quarter results would fall short of analyst estimates
[01:05:46.700 --> 01:05:53.700]   But they only told the underwriter analysts. They didn't tell institutional and some of the institutional investors
[01:05:53.700 --> 01:05:56.260]   They didn't tell smaller investors at all
[01:05:56.260 --> 01:05:58.260]   and this is not illegal
[01:05:58.260 --> 01:06:01.660]   selective disclosure of
[01:06:01.660 --> 01:06:09.020]   Negative information well as long as they told enough people that it could be disseminated. I think it's okay technically. Oh, maybe that's it
[01:06:09.020 --> 01:06:13.860]   Maybe they said well, you can't use like news. Let nobody's gonna tell anybody because it's that's an advantage
[01:06:13.860 --> 01:06:18.420]   You now have right you could short the stock. Yeah, but there when you tell a lot of people
[01:06:18.420 --> 01:06:23.420]   I mean it's like people who read market watch and there's a stock tip in there everybody now knows so it's built in
[01:06:23.420 --> 01:06:28.280]   They don't unless they read market watch. They don't know that minute right price now
[01:06:28.280 --> 01:06:35.180]   $31.91 off of its peak at 45 bucks on the opening day. There was no pop
[01:06:35.180 --> 01:06:43.160]   And now Facebook has weirdly enough released a camera app that looks better than Instagram
[01:06:43.160 --> 01:06:51.500]   On the iPhone. I'm very confused. They they spent a billion dollars on Instagram and this camera app is fantastic
[01:06:51.500 --> 01:06:53.180]   It's better than Instagram
[01:06:53.180 --> 01:06:59.260]   It's nicely done. I mean maybe they'll drop the Instagram deal. It's not finalized. I haven't signed off. It might not be too late, huh?
[01:06:59.260 --> 01:07:01.740]   You think that's it maybe
[01:07:01.740 --> 01:07:03.980]   these guys down
[01:07:03.980 --> 01:07:06.300]   the Instagram deal was defensive and
[01:07:06.300 --> 01:07:09.460]   And I think it was a whim on Zuckerberg's part
[01:07:09.460 --> 01:07:13.100]   This was already in the in the world must have been it was in the works
[01:07:13.100 --> 01:07:15.220]   what I wish they would do is
[01:07:15.380 --> 01:07:22.140]   Not mess with these side apps and make the iPhone app for Facebook actually usable because it's so slow
[01:07:22.140 --> 01:07:26.420]   Yes, and so awful. It's a terrible app. I might not use well
[01:07:26.420 --> 01:07:30.260]   I think what they're doing with this app is they're saying you know what maybe people don't use the Facebook app
[01:07:30.260 --> 01:07:36.580]   Maybe they just use Instagram for instance. These are pictures Shira Lazar posted from Instagram. Oh, I love that
[01:07:36.580 --> 01:07:41.580]   It's a Metro interface it slides left and right if you have multiple pictures
[01:07:42.220 --> 01:07:47.900]   You could I mean this is this is a beautiful app. This is a better app that Instagram has filters
[01:07:47.900 --> 01:07:51.020]   It has everything I don't think they're really buying Instagram to get an app though
[01:07:51.020 --> 01:07:53.540]   I think they're buying it to get that social network of
[01:07:53.540 --> 01:07:56.220]   Facebook users well
[01:07:56.220 --> 01:07:57.180]   they're
[01:07:57.180 --> 01:08:00.500]   Instagram is an app that a huge social network has been built around and
[01:08:00.500 --> 01:08:05.620]   The social network that is Instagram might be worth a billion dollars the app is not right
[01:08:05.620 --> 01:08:08.580]   And there is a basic nice photo
[01:08:08.580 --> 01:08:11.020]   there is a
[01:08:11.260 --> 01:08:17.860]   There is fortunately there's a magic wand that I could use to to add a filter that should make it beautiful
[01:08:17.860 --> 01:08:22.380]   Where's the there is this basic difference between Facebook and Instagram Facebook is for communicating with people you know
[01:08:22.380 --> 01:08:26.900]   And one of the cool things about Instagram is you can see those from people you don't know
[01:08:26.900 --> 01:08:29.580]   Right and in fact people you might not share a language with I
[01:08:29.580 --> 01:08:35.900]   Can also crop and look at this and by the way one of the things people hate about Instagram is there's always a square crop
[01:08:35.900 --> 01:08:39.340]   I can choose any crop. I want it's not getting any better is it Harry
[01:08:40.060 --> 01:08:44.620]   That is that is still a terrible picture of you. I'm sweating. That's just better than blinking
[01:08:44.620 --> 01:08:52.220]   And now I can see it in the sepia. Yeah, say something about this photo. I can add a person
[01:08:52.220 --> 01:08:56.820]   I could say you know that's Harry I put you in here more time of the public is wasted
[01:08:56.820 --> 01:09:02.100]   I don't you're not actually my Facebook friend. Are you on Facebook?
[01:09:02.100 --> 01:09:06.780]   Of course, I'm just something horrible. I said it to me. I will add you no
[01:09:06.780 --> 01:09:11.340]   I don't it's sent to everybody on Facebook. You know how Facebook works John. I don't use it. Yeah, I
[01:09:11.340 --> 01:09:17.900]   Can even I can even do location like addicted to it. They're always on Facebook addictive
[01:09:17.900 --> 01:09:23.780]   In fact, I want to be addicted to it is that people who are Facebook users tend to not only check every day
[01:09:23.780 --> 01:09:30.100]   But they spend many many hours a day on the yeah, and that between that and Diablo 3 I'm surprised you do any of these podcasts at all
[01:09:30.100 --> 01:09:36.060]   I don't let alone the tech guy. I'm actually playing Diablo 3 right now. All right. We had a lot of opinions today
[01:09:36.060 --> 01:09:39.500]   Here in Harry's adding me on Facebook right now. Is that your
[01:09:39.500 --> 01:09:43.340]   That is some other Leo report
[01:09:43.340 --> 01:09:49.420]   That's funny by the way, I notice you're using that new logic logic tech ultra thin keyboard case and I like it
[01:09:49.420 --> 01:09:53.220]   Do you like it? I do I've been playing with this and also the solar one. Oh
[01:09:53.220 --> 01:10:00.060]   Does it get enough juice to actually do anything well in theory you can use the solar one in the dark for two years
[01:10:00.060 --> 01:10:02.260]   without ever having to recharge the keyboard
[01:10:02.780 --> 01:10:06.740]   This one is kind of nicer and cooler and thinner and it uses a smart
[01:10:06.740 --> 01:10:08.340]   But it doesn't I heard about it
[01:10:08.340 --> 01:10:12.020]   I expect I to be able to fold the keyboard back like this. No, and when you do that it falls off
[01:10:12.020 --> 01:10:16.140]   Yeah, why would you want to do that so that you can use the tablet like a tablet?
[01:10:16.140 --> 01:10:19.900]   I see you if you want to go into tablet mode you sort of you have to it's not a convertible
[01:10:19.900 --> 01:10:25.100]   It's a big pocket big pockets. I think the solar one may be the one that I settle on
[01:10:25.100 --> 01:10:27.860]   So get ready really so who makes a solar one?
[01:10:27.860 --> 01:10:28.940]   That's also a large attack
[01:10:28.940 --> 01:10:34.420]   Design is kind of totally different and it's this one's ninety nine dollars available now as the solar one out
[01:10:34.420 --> 01:10:40.220]   That one's 130 and as far as I can tell they're both available. It's somewhat tough to find that's USB charging
[01:10:40.220 --> 01:10:43.740]   So it's not and it does get a long time they claim that you only have to do it every six months
[01:10:43.740 --> 01:10:50.220]   So right that's not too bad. So some Facebook rumors one that Facebook is about to buy opera
[01:10:50.220 --> 01:10:55.660]   The browser so that it can create a Facebook browser. That's an interesting idea
[01:10:55.660 --> 01:11:00.820]   I mean if you want people to live in Facebook have your own browser. Yeah, no, I've done that they haven't done this already
[01:11:00.820 --> 01:11:09.300]   Yeah, Yahoo. Yeah, who just I need to they want to take over the place. That's why they want to control
[01:11:09.300 --> 01:11:17.500]   Control the browser one reason control the browser. I'll tell you do I control the world one reason that browser knows everywhere you go and
[01:11:17.500 --> 01:11:21.860]   Could tell so does Facebook Facebook does already does to yeah, but it
[01:11:22.860 --> 01:11:29.420]   Don't have like buttons on it. So this is the same thing as the as as as a Facebook building a phone, right?
[01:11:29.420 --> 01:11:31.420]   You know people that's the other one Facebook
[01:11:31.420 --> 01:11:36.580]   That's the other one I don't see them buying that opera though because opera is so invested in its own
[01:11:36.580 --> 01:11:39.180]   web technologies and
[01:11:39.180 --> 01:11:45.220]   I mean the world is basically a web kit world especially in mobile and if you buy opera you're sort of betting against
[01:11:45.220 --> 01:11:49.180]   Webcat which does not sound like a Facebook kind of thing to do actually. Yeah, that's a good point
