
[00:00:00.000 --> 00:00:01.180]   (upbeat music)
[01:08:36.080 --> 01:08:38.400]   White men employed by Google.
[01:08:38.400 --> 01:08:40.360]   And probably many of them Republicans.
[01:08:40.360 --> 01:08:42.400]   I mean, I have no idea what their political stance is.
[01:08:42.400 --> 01:08:45.160]   And I don't think they actually really care.
[01:08:45.160 --> 01:08:46.680]   They're not-- I'm sure they're not--
[01:08:46.680 --> 01:08:48.720]   I mean, Google can track anything they want.
[01:08:48.720 --> 01:08:50.480]   But I'm sure they're not really tracking that.
[01:08:50.480 --> 01:08:54.720]   If you look statistically at the employment roles at Google,
[01:08:54.720 --> 01:08:58.520]   I cannot believe the claim that white men are being discriminated.
[01:08:58.520 --> 01:08:59.520]   Yeah, that's--
[01:08:59.520 --> 01:09:01.520]   I might have a few white men at Google.
[01:09:01.520 --> 01:09:02.520]   There's a few.
[01:09:02.520 --> 01:09:03.520]   That's a good point.
[01:09:03.520 --> 01:09:04.520]   That's actually a good point.
[01:09:04.520 --> 01:09:08.520]   And I don't even think that he fired him because of the fact
[01:09:08.520 --> 01:09:09.480]   that it was political.
[01:09:09.480 --> 01:09:11.160]   I think that it was just really bad press
[01:09:11.160 --> 01:09:12.240]   and made Google look bad.
[01:09:12.240 --> 01:09:14.400]   And because of that, they lost a whole bunch of money
[01:09:14.400 --> 01:09:17.200]   and got-- again, it's all about branding.
[01:09:17.200 --> 01:09:19.440]   And so he costs them a whole bunch of money.
[01:09:19.440 --> 01:09:21.280]   And if you cost your company a whole bunch of money,
[01:09:21.280 --> 01:09:22.720]   you're probably going to get fired.
[01:09:22.720 --> 01:09:25.000]   Susan Wojcicki did say it personally
[01:09:25.000 --> 01:09:26.560]   heard her feelings what they more wrote.
[01:09:26.560 --> 01:09:28.360]   She was insulted by it.
[01:09:28.360 --> 01:09:29.040]   It is insulting.
[01:09:29.040 --> 01:09:31.000]   And the other thing that Sundar is saying
[01:09:31.000 --> 01:09:35.360]   is it makes it harder for us to hire women if it seems
[01:09:35.360 --> 01:09:39.140]   that we are discriminating against women
[01:09:39.140 --> 01:09:40.480]   or that we are full of employees who
[01:09:40.480 --> 01:09:43.280]   are going to create a hostile work environment for them.
[01:09:43.280 --> 01:09:45.920]   And Google has, like many Silicon Valley companies, been
[01:09:45.920 --> 01:09:48.960]   actually working very hard to create a more inclusive
[01:09:48.960 --> 01:09:49.480]   environment.
[01:09:49.480 --> 01:09:51.440]   And if you think about it from a business standpoint,
[01:09:51.440 --> 01:09:52.360]   that makes a lot of sense.
[01:09:52.360 --> 01:09:55.120]   Women spend more money in the United States than men.
[01:09:55.120 --> 01:09:59.200]   So if you have a diverse staff, you're
[01:09:59.200 --> 01:10:02.560]   more likely to create a product that people will buy
[01:10:02.560 --> 01:10:03.520]   and spend money on.
[01:10:03.520 --> 01:10:06.680]   And it's just from a business standpoint, it makes sense.
[01:10:06.680 --> 01:10:08.400]   I mean, I think you can make a really strong case
[01:10:08.400 --> 01:10:10.400]   that Silicon Valley would make better products if it had
[01:10:10.400 --> 01:10:11.760]   a more diverse workforce.
[01:10:11.760 --> 01:10:13.480]   Or a diverse in all ways.
[01:10:13.480 --> 01:10:16.000]   The more you represent the public,
[01:10:16.000 --> 01:10:18.200]   the better you can make products that the public will use.
[01:10:18.200 --> 01:10:19.240]   We've said that for years.
[01:10:19.240 --> 01:10:22.240]   One of the reasons computing technology technology
[01:10:22.240 --> 01:10:25.520]   is so hard to use is because it's designed by engineers.
[01:10:25.520 --> 01:10:27.840]   Be sure-- it'd be nice if you had a few normal people
[01:10:27.840 --> 01:10:28.680]   in the doors as well.
[01:10:28.680 --> 01:10:30.480]   I mean, obviously, engineers have to design it,
[01:10:30.480 --> 01:10:32.960]   but they don't have a really good grasp of what normal people
[01:10:32.960 --> 01:10:35.520]   go through to try to figure out how to use this stuff.
[01:10:35.520 --> 01:10:37.120]   They go, well, it's obvious.
[01:10:37.120 --> 01:10:40.000]   You just click the mouse, you do the thing, and the--
[01:10:40.000 --> 01:10:41.640]   and people go, huh?
[01:10:41.640 --> 01:10:44.800]   So obviously, a little bit of diversity wouldn't hurt.
[01:10:44.800 --> 01:10:47.560]   Hey, we may be getting a HomePod pretty soon.
[01:10:47.560 --> 01:10:51.720]   FCC approval for the Apple device
[01:10:51.720 --> 01:10:55.240]   that was supposed to come out at Christmas and didn't.
[01:10:55.240 --> 01:10:59.120]   Supplier in Ventech is it has apparently
[01:10:59.120 --> 01:11:01.880]   shipped the first million HomePods.
[01:11:01.880 --> 01:11:05.120]   They expect to ship as many as a dozen--
[01:11:05.120 --> 01:11:06.200]   10 to 12 million more.
[01:11:06.200 --> 01:11:09.400]   This is according to the Taipei Times.
[01:11:09.400 --> 01:11:13.280]   And that would make sense since it's about four to six weeks
[01:11:13.280 --> 01:11:14.800]   into the--
[01:11:14.800 --> 01:11:17.160]   it's going to be about four to six weeks into the year.
[01:11:17.160 --> 01:11:19.120]   That's about when they would hit the store shelf.
[01:11:19.120 --> 01:11:20.760]   So if you've been waiting--
[01:11:20.760 --> 01:11:24.880]   did it seem like it's CES that Apple and Microsoft
[01:11:24.880 --> 01:11:27.240]   were kind of in the backseat for voice assistance,
[01:11:27.240 --> 01:11:29.640]   and that was really Google and Amazon's show?
[01:11:29.640 --> 01:11:31.240]   Sure, for sure.
[01:11:31.240 --> 01:11:35.080]   I mean, well, Microsoft is essentially off.
[01:11:35.080 --> 01:11:36.080]   Their off-the-tape.
[01:11:36.080 --> 01:11:37.320]   That chip has sailed.
[01:11:37.320 --> 01:11:38.960]   A few people really like Cortana, but it's just--
[01:11:38.960 --> 01:11:43.320]   I think I heard one headline at CES that Cortana showed up
[01:11:43.320 --> 01:11:45.840]   in one thermostat.
[01:11:45.840 --> 01:11:46.560]   That was it.
[01:11:46.560 --> 01:11:49.280]   And that was the gas, the glass, you know what it is?
[01:11:49.280 --> 01:11:51.200]   I really want to meet somebody who's like,
[01:11:51.200 --> 01:11:52.480]   I'm going to go buy the Cortana thermostat.
[01:11:52.480 --> 01:11:54.840]   I need that Cortana thermostat.
[01:11:54.840 --> 01:11:56.520]   So even the glass people said, we're
[01:11:56.520 --> 01:11:58.280]   going to put Google Assistant in it later.
[01:11:58.280 --> 01:11:59.280]   Sure, yeah.
[01:11:59.280 --> 01:12:00.280]   Don't worry.
[01:12:00.280 --> 01:12:00.680]   Don't worry.
[01:12:00.680 --> 01:12:02.280]   They did get them a headline.
[01:12:02.280 --> 01:12:05.680]   It was-- what's crazy about this story to me
[01:12:05.680 --> 01:12:11.760]   is that the plans to ship 10 to 12 million units
[01:12:11.760 --> 01:12:14.840]   seems really optimistic to me, because that
[01:12:14.840 --> 01:12:17.280]   is going to be an expensive piece of hardware.
[01:12:17.280 --> 01:12:20.880]   And the reason that so many people own digital assistant
[01:12:20.880 --> 01:12:23.520]   speakers now is because the price point came so far down.
[01:12:23.520 --> 01:12:25.680]   You're going to echo dot for essentially 40 bucks.
[01:12:25.680 --> 01:12:26.200]   40 bucks.
[01:12:26.200 --> 01:12:28.560]   And the Google little mini is the same price.
[01:12:28.560 --> 01:12:30.640]   Same price, or it was during the holidays.
[01:12:30.640 --> 01:12:33.120]   And Apple is going to come out with a premium product.
[01:12:33.120 --> 01:12:34.360]   I bought a Google Home Max.
[01:12:34.360 --> 01:12:36.920]   They gave me a small, a medium Google Home.
[01:12:36.920 --> 01:12:38.640]   They're so anxious to get out in the market.
[01:12:38.640 --> 01:12:39.680]   Yeah, they just want those numbers.
[01:12:39.680 --> 01:12:41.080]   It's like magazine subscriptions.
[01:12:41.080 --> 01:12:41.800]   Where do you get them?
[01:12:41.800 --> 01:12:43.760]   And you don't want them because they
[01:12:43.760 --> 01:12:46.880]   need to say that there are a lot of power there.
[01:12:46.880 --> 01:12:49.760]   I think Apple's probably not going to ship as many of these
[01:12:49.760 --> 01:12:50.280]   as they want.
[01:12:50.280 --> 01:12:53.600]   However, I don't think they're as far behind as everybody else
[01:12:53.600 --> 01:12:56.480]   says they are, because people use Siri.
[01:12:56.480 --> 01:12:57.880]   They're already using it on their phone.
[01:12:57.880 --> 01:12:58.600]   They're already using it.
[01:12:58.600 --> 01:12:59.840]   It's already baked into there.
[01:12:59.840 --> 01:13:02.440]   In fact, because so many people use iPhones,
[01:13:02.440 --> 01:13:05.520]   I actually think that Siri is way more a part of people's lives
[01:13:05.520 --> 01:13:06.760]   than we all give it credit for.
[01:13:06.760 --> 01:13:08.440]   That may be true.
[01:13:08.440 --> 01:13:10.760]   In mobile, probably people mostly use Siri.
[01:13:10.760 --> 01:13:12.840]   At home, they're using Amazon.
[01:13:12.840 --> 01:13:15.080]   Google is, of course, well positioned,
[01:13:15.080 --> 01:13:17.440]   but not yet taking the market.
[01:13:17.440 --> 01:13:20.440]   The Google claims 60 million activations over Christmas.
[01:13:20.440 --> 01:13:21.280]   Yeah, and I think they are.
[01:13:21.280 --> 01:13:22.200]   They are putting it.
[01:13:22.200 --> 01:13:24.520]   So Google showed up at CES in a very big way
[01:13:24.520 --> 01:13:26.400]   that they haven't for many, many years.
[01:13:26.400 --> 01:13:28.600]   And it was all their entire installation
[01:13:28.600 --> 01:13:30.440]   was about getting you to use the Google Assistant.
[01:13:30.440 --> 01:13:31.400]   Right.
[01:13:31.400 --> 01:13:35.720]   It's going to be hard, even if Apple has this hub.
[01:13:35.720 --> 01:13:38.080]   It's going to be, I think, a tough pitch, though,
[01:13:38.080 --> 01:13:39.840]   even to Apple fanatics.
[01:13:39.840 --> 01:13:42.440]   And I'm an Apple fanatic because we already
[01:13:42.440 --> 01:13:45.680]   picked an Amazon Echo, right?
[01:13:45.680 --> 01:13:47.480]   We already have something.
[01:13:47.480 --> 01:13:51.160]   And we don't know yet exactly how Apple is going to position
[01:13:51.160 --> 01:13:53.400]   this, but I would put a lot of money
[01:13:53.400 --> 01:13:55.400]   against the idea that Apple is going
[01:13:55.400 --> 01:13:58.360]   to say this is the best speaker you can get.
[01:13:58.360 --> 01:13:59.960]   It sounds better than anything else.
[01:13:59.960 --> 01:14:02.520]   It looks more beautiful.
[01:14:02.520 --> 01:14:04.280]   And it's better than Sonos.
[01:14:04.280 --> 01:14:06.720]   But I think Sonos itself has proven
[01:14:06.720 --> 01:14:08.000]   that that's a narrow market.
[01:14:08.000 --> 01:14:08.960]   Yeah.
[01:14:08.960 --> 01:14:10.080]   It's over for Sonos.
[01:14:10.080 --> 01:14:11.400]   It's got to be over for Sonos.
[01:14:11.400 --> 01:14:11.840]   I'm sorry.
[01:14:11.840 --> 01:14:13.280]   I love Sonos.
[01:14:13.280 --> 01:14:17.480]   I have highly invested in Sonos in every room here
[01:14:17.480 --> 01:14:19.280]   and everywhere but home.
[01:14:19.280 --> 01:14:21.160]   But it's just got to be over for Sonos.
[01:14:21.160 --> 01:14:23.720]   They came too late to the game and they didn't add enough
[01:14:23.720 --> 01:14:24.480]   capability.
[01:14:24.480 --> 01:14:27.000]   I wouldn't be surprised if Sonos sold itself at some point.
[01:14:27.000 --> 01:14:28.520]   They're privately on company, right?
[01:14:28.520 --> 01:14:29.840]   Yeah, Apple should buy it.
[01:14:29.840 --> 01:14:33.080]   Well, or Amazon should buy them.
[01:14:33.080 --> 01:14:36.840]   Because Amazon actually doesn't really have a premium play.
[01:14:36.840 --> 01:14:40.000]   I have the Sonos 1, which is a little Sonos speaker
[01:14:40.000 --> 01:14:42.160]   that they put Amazon's echo in.
[01:14:42.160 --> 01:14:43.400]   But it's not a complete echo.
[01:14:43.400 --> 01:14:44.680]   Amazon won't let them do--
[01:14:44.680 --> 01:14:48.080]   I presume it's Amazon that won't let them do a full echo
[01:14:48.080 --> 01:14:48.560]   capability.
[01:14:48.560 --> 01:14:50.600]   For instance, I can't listen to my audiobooks on it.
[01:14:50.600 --> 01:14:52.200]   So I'm not going to buy it.
[01:14:52.200 --> 01:14:53.480]   I'm not going to buy the other one.
[01:14:53.480 --> 01:14:55.400]   Look at Amazon bots, Sonos.
[01:14:55.400 --> 01:14:58.720]   They're nearly what I could.
[01:14:58.720 --> 01:15:00.320]   But really, do you need--
[01:15:00.320 --> 01:15:02.680]   speakers are a commodity now.
[01:15:02.680 --> 01:15:05.480]   Anybody can make a good speaker system.
[01:15:05.480 --> 01:15:06.720]   It's off the shelf.
[01:15:06.720 --> 01:15:09.160]   It's not hard to do, is it?
[01:15:09.160 --> 01:15:12.080]   And people aren't saying, well, I have to have that finely tuned
[01:15:12.080 --> 01:15:13.080]   B&O speaker.
[01:15:13.080 --> 01:15:15.200]   I mean, you're not competing at that level.
[01:15:15.200 --> 01:15:17.720]   You're just competing with all the other guys.
[01:15:17.720 --> 01:15:20.480]   It feels like that's-- what is Sonos selling
[01:15:20.480 --> 01:15:22.920]   that isn't generic at this point?
[01:15:22.920 --> 01:15:24.360]   At this point, it's just sound quality.
[01:15:24.360 --> 01:15:24.880]   That's it.
[01:15:24.880 --> 01:15:25.440]   Yeah, that's so nice.
[01:15:25.440 --> 01:15:26.840]   And Apple's going to try to compete against that.
[01:15:26.840 --> 01:15:28.640]   But again, like you're saying, it's not enough.
[01:15:28.640 --> 01:15:29.320]   It's not enough.
[01:15:29.320 --> 01:15:30.240]   Probably not enough for Apple.
[01:15:30.240 --> 01:15:31.920]   Even Amazon doesn't really need it.
[01:15:31.920 --> 01:15:32.880]   Why would you buy Sonos?
[01:15:32.880 --> 01:15:33.600]   You just make one.
[01:15:33.600 --> 01:15:35.400]   This is good as a Sonos.
[01:15:35.400 --> 01:15:38.000]   That's not so hard to do.
[01:15:38.000 --> 01:15:40.040]   All right.
[01:15:40.040 --> 01:15:42.480]   And by the way, first alert, put Amazon's echo
[01:15:42.480 --> 01:15:44.400]   into your smoke alarm.
[01:15:44.400 --> 01:15:44.900]   Sure.
[01:15:44.900 --> 01:15:46.080]   So you put a smoke alarm.
[01:15:46.080 --> 01:15:47.520]   If you're building a new house, you
[01:15:47.520 --> 01:15:48.560]   have to put in a smoke alarm.
[01:15:48.560 --> 01:15:49.760]   And at least you do in California.
[01:15:49.760 --> 01:15:50.840]   I presume in most places.
[01:15:50.840 --> 01:15:52.560]   You have to put a smoke alarm in every room.
[01:15:52.560 --> 01:15:53.960]   Might as well have a B echo enabled.
[01:15:53.960 --> 01:15:54.960]   And now, echo's in every room.
[01:15:54.960 --> 01:15:55.240]   Boom.
[01:15:55.240 --> 01:15:55.600]   Sure.
[01:15:55.600 --> 01:15:56.840]   The price point's pretty high.
[01:15:56.840 --> 01:15:57.800]   Oh, is it?
[01:15:57.800 --> 01:15:58.560]   Yeah.
[01:15:58.560 --> 01:16:00.960]   Considering that you can buy a decent smoke alarm
[01:16:00.960 --> 01:16:02.160]   for $5.
[01:16:02.160 --> 01:16:02.720]   $2.
[01:16:02.720 --> 01:16:04.800]   Basically, that's a little bit of a hard sell.
[01:16:04.800 --> 01:16:06.320]   But it's really interesting, especially
[01:16:06.320 --> 01:16:08.640]   if you want to strategically place it.
[01:16:08.640 --> 01:16:10.720]   And we also saw Phillips with Alexa
[01:16:10.720 --> 01:16:12.840]   and light bulbs at the show.
[01:16:12.840 --> 01:16:15.240]   So then they have Hughes with Alexa built in.
[01:16:15.240 --> 01:16:15.560]   Yeah.
[01:16:15.560 --> 01:16:16.960]   So you can actually just talk to your ceiling
[01:16:16.960 --> 01:16:18.240]   in all kinds of ways.
[01:16:18.240 --> 01:16:21.480]   I think you're just going to cease these devices everywhere.
[01:16:21.480 --> 01:16:24.400]   What is-- we talked earlier about privacy with the cars.
[01:16:24.400 --> 01:16:26.080]   What is the privacy?
[01:16:26.080 --> 01:16:28.920]   What do you think, Georgia, people?
[01:16:28.920 --> 01:16:31.560]   I can't get my finger on this one,
[01:16:31.560 --> 01:16:33.360]   because we have a lot of viewers who
[01:16:33.360 --> 01:16:35.120]   are very concerned about privacy.
[01:16:35.120 --> 01:16:40.440]   In fact, a lot of hosts that are tin foil hat wearers.
[01:16:40.440 --> 01:16:41.800]   I, on the other hand, am completely
[01:16:41.800 --> 01:16:43.200]   in the other end of the spectrum,
[01:16:43.200 --> 01:16:45.920]   because I want all the convenience and functionality
[01:16:45.920 --> 01:16:50.720]   that giving up privacy, like walking into that store--
[01:16:50.720 --> 01:16:52.160]   it doesn't bother me.
[01:16:52.160 --> 01:16:56.720]   So Georgia, I'm going to assume you know some normal people.
[01:16:56.720 --> 01:17:00.640]   Or at least have your finger on the pulse of normals.
[01:17:00.640 --> 01:17:03.320]   Are normal people concerned about this?
[01:17:03.320 --> 01:17:06.000]   I think that a lot of people are concerned about their privacy,
[01:17:06.000 --> 01:17:07.840]   but I don't think people are concerned enough.
[01:17:07.840 --> 01:17:09.400]   I think that people will usually
[01:17:09.400 --> 01:17:11.960]   pick convenience over privacy.
[01:17:11.960 --> 01:17:14.960]   And I think that most people go by the thought of, well,
[01:17:14.960 --> 01:17:16.240]   if I'm not doing anything wrong, what
[01:17:16.240 --> 01:17:18.160]   does it really matter if they're harvesting whatever
[01:17:18.160 --> 01:17:20.800]   information that they want from us?
[01:17:20.800 --> 01:17:23.840]   In the end, we get so used to doing something
[01:17:23.840 --> 01:17:26.560]   that it doesn't just create any of our threat levels to that.
[01:17:26.560 --> 01:17:31.480]   But what we do is the most important set of information
[01:17:31.480 --> 01:17:34.720]   that we have, and to have that being sold off to anyone,
[01:17:34.720 --> 01:17:38.560]   in the end, they can find out all of our pattern recognition
[01:17:38.560 --> 01:17:39.720]   and figure out where you're going to be
[01:17:39.720 --> 01:17:42.320]   where and who you're seeing and what you're doing because of that.
[01:17:42.320 --> 01:17:44.960]   So I might be one of those tin foil hat.
[01:17:44.960 --> 01:17:45.920]   I think you are.
[01:17:45.920 --> 01:17:47.000]   Congratulations.
[01:17:47.000 --> 01:17:48.640]   But I think it's really--
[01:17:48.640 --> 01:17:50.360]   I think that it's something that's really important.
[01:17:50.360 --> 01:17:52.440]   I think that that is something that we are selling off
[01:17:52.440 --> 01:17:53.200]   for convenience.
[01:17:53.200 --> 01:17:54.480]   And I don't believe that we should.
[01:17:54.480 --> 01:17:57.080]   I think that if you choose to send that off,
[01:17:57.080 --> 01:18:00.960]   at least get something of value for it, not just convenience,
[01:18:00.960 --> 01:18:04.680]   which ends up being us saying complacency and laziness,
[01:18:04.680 --> 01:18:06.200]   which I get something of value.
[01:18:06.200 --> 01:18:08.920]   I get a lot of value for this.
[01:18:08.920 --> 01:18:12.160]   But most of the things that this can offer you,
[01:18:12.160 --> 01:18:14.960]   you could have a little bit less offer to you.
[01:18:14.960 --> 01:18:17.640]   And I think that that's what I'm excited about the HomePod,
[01:18:17.640 --> 01:18:19.960]   is that I'm going to be able to have something
[01:18:19.960 --> 01:18:22.480]   that I feel right now with Apple as it's set, who
[01:18:22.480 --> 01:18:23.800]   knows if it gets sold.
[01:18:23.800 --> 01:18:26.280]   But that my information is least secure.
[01:18:26.280 --> 01:18:28.360]   And so maybe I'm not going to be able to do as many things
[01:18:28.360 --> 01:18:31.680]   as I can with it, but that I don't have to worry about someone
[01:18:31.680 --> 01:18:34.640]   harvesting all of my information of what I do.
[01:18:34.640 --> 01:18:36.160]   And I think that that's really important.
[01:18:36.160 --> 01:18:38.880]   And we know that there's no way that they
[01:18:38.880 --> 01:18:42.000]   can keep this safe and secure from all of the data breaches
[01:18:42.000 --> 01:18:43.360]   that we've already seen.
[01:18:43.360 --> 01:18:46.240]   So it makes me feel a little bit more comfortable.
[01:18:46.240 --> 01:18:48.920]   I see very little evidence that people who use Apple products
[01:18:48.920 --> 01:18:52.440]   are somehow magically more protected than others.
[01:18:52.440 --> 01:18:55.800]   I think that most people I've talked to and a lot of people
[01:18:55.800 --> 01:19:00.360]   do bring up frequently, oh, don't those speakers freak you out?
[01:19:00.360 --> 01:19:01.920]   They're listening to you all the time.
[01:19:01.920 --> 01:19:04.240]   And I say, do you think that your phone is not?
[01:19:04.240 --> 01:19:06.080]   You carry a smartphone.
[01:19:06.080 --> 01:19:06.880]   It's done.
[01:19:06.880 --> 01:19:07.080]   Right.
[01:19:07.080 --> 01:19:08.640]   You're already carrying that technology around on you.
[01:19:08.640 --> 01:19:09.840]   I've got a microphone on you.
[01:19:09.840 --> 01:19:13.040]   GPS always on, always connected camera.
[01:19:13.040 --> 01:19:16.800]   What I think should happen is that whenever you turn on a service
[01:19:16.800 --> 01:19:20.280]   that is going to be passively collecting data on what you do,
[01:19:20.280 --> 01:19:24.000]   where you go any time you opt into that service,
[01:19:24.000 --> 01:19:29.640]   you should get a very bluntly, very short worded warning
[01:19:29.640 --> 01:19:34.400]   that says once you plug in this Alexa,
[01:19:34.400 --> 01:19:38.120]   there will be a record of your voice at all times.
[01:19:38.120 --> 01:19:38.800]   Warning.
[01:19:38.800 --> 01:19:40.400]   Kind of like a cigarette warning.
[01:19:40.400 --> 01:19:42.120]   I think that that should be-- but that
[01:19:42.120 --> 01:19:43.920]   is going to have to be legislated.
[01:19:43.920 --> 01:19:46.600]   And people probably will choose that convenience
[01:19:46.600 --> 01:19:47.960]   because they're used to it.
[01:19:47.960 --> 01:19:50.360]   But at least they know.
[01:19:50.360 --> 01:19:52.680]   And very clearly, because right now it's just so hard
[01:19:52.680 --> 01:19:54.280]   to understand what's happening.
[01:19:54.280 --> 01:19:56.080]   It's kind of like how everybody says back to Facebook
[01:19:56.080 --> 01:19:57.560]   is listening to you.
[01:19:57.560 --> 01:19:59.800]   Like listening to your actual conversations.
[01:19:59.800 --> 01:20:01.600]   But nobody has actually been able to prove it.
[01:20:01.600 --> 01:20:03.760]   See, well, one of the convene, I drive a Tesla.
[01:20:03.760 --> 01:20:05.960]   And so that means Elon Musk knows everywhere I go,
[01:20:05.960 --> 01:20:06.680]   everything I do.
[01:20:06.680 --> 01:20:08.080]   He knows when I put my foot on the brake.
[01:20:08.080 --> 01:20:09.720]   He knows when I put my foot on the accelerator.
[01:20:09.720 --> 01:20:11.200]   And they don't even hide it.
[01:20:11.200 --> 01:20:13.120]   I even know this because we called and said,
[01:20:13.120 --> 01:20:16.240]   I think the call went backwards when I put my foot on the accelerator.
[01:20:16.240 --> 01:20:18.240]   And they said, well, let's check.
[01:20:18.240 --> 01:20:18.720]   Let me see.
[01:20:18.720 --> 01:20:19.920]   What was the time?
[01:20:19.920 --> 01:20:21.400]   No, no, I went forwards.
[01:20:21.400 --> 01:20:27.280]   I mean, so I've given up all privacy, all privacy.
[01:20:27.280 --> 01:20:29.120]   You also do this for a living, though.
[01:20:29.120 --> 01:20:32.760]   You're on screen almost all moments as well.
[01:20:32.760 --> 01:20:34.720]   So probably for you, it's a little bit more harmful to that.
[01:20:34.720 --> 01:20:35.240]   I don't mind.
[01:20:35.240 --> 01:20:36.160]   Yeah, yeah.
[01:20:36.160 --> 01:20:38.360]   But I'm just wondering what the harm--
[01:20:38.360 --> 01:20:40.240]   I'm trying to find out what the harm.
[01:20:40.240 --> 01:20:41.920]   I say this every time.
[01:20:41.920 --> 01:20:44.840]   I understand conceptually, oh, yeah,
[01:20:44.840 --> 01:20:46.120]   you shouldn't give up privacy.
[01:20:46.120 --> 01:20:48.160]   But what is the actual harm we're talking?
[01:20:48.160 --> 01:20:49.880]   What's going to happen to you?
[01:20:49.880 --> 01:20:53.360]   The actual harm is that if you choose to go for office
[01:20:53.360 --> 01:20:55.640]   or you're going to be someone that's
[01:20:55.640 --> 01:20:58.560]   going to be going against whatever
[01:20:58.560 --> 01:21:00.680]   is the government of the time to that,
[01:21:00.680 --> 01:21:02.200]   that they can use all of the information
[01:21:02.200 --> 01:21:04.800]   that they have against you or control that.
[01:21:04.800 --> 01:21:05.680]   And they do.
[01:21:05.680 --> 01:21:08.480]   We've already seen that leaks of information come out,
[01:21:08.480 --> 01:21:11.160]   and it can destroy people's careers, what they're doing,
[01:21:11.160 --> 01:21:12.480]   where they're going to that.
[01:21:12.480 --> 01:21:14.360]   And so in the end, you end up being
[01:21:14.360 --> 01:21:16.360]   able to be much more easily manipulated
[01:21:16.360 --> 01:21:18.400]   because your information is going out there.
[01:21:18.400 --> 01:21:20.800]   And often you aren't unaware of that.
[01:21:20.800 --> 01:21:22.160]   I think it's the opposite.
[01:21:22.160 --> 01:21:23.560]   I think it's the end of embarrassment,
[01:21:23.560 --> 01:21:25.200]   as I was saying earlier.
[01:21:25.200 --> 01:21:27.440]   If everybody knows everything about everybody,
[01:21:27.440 --> 01:21:29.720]   then you can't be embarrassed by it.
[01:21:29.720 --> 01:21:30.160]   It hasn't.
[01:21:30.160 --> 01:21:32.160]   That's not the truth, though, right now, right?
[01:21:32.160 --> 01:21:34.160]   People's political careers and people that
[01:21:34.160 --> 01:21:37.280]   are opposition to thing have been destroyed because of this.
[01:21:37.280 --> 01:21:39.160]   So it's not right yet, right?
[01:21:39.160 --> 01:21:41.040]   I don't worry if I trip, and that's on video,
[01:21:41.040 --> 01:21:44.200]   because if I trip really to get that to be interesting at all,
[01:21:44.200 --> 01:21:44.720]   I have to like--
[01:21:44.720 --> 01:21:46.080]   Should their career be destroyed?
[01:21:46.080 --> 01:21:48.320]   --be paid on to make it be interesting.
[01:21:48.320 --> 01:21:50.640]   I mean, all you're saying is that the public learns
[01:21:50.640 --> 01:21:54.160]   about bad behavior and decides not to vote for that person.
[01:21:54.160 --> 01:21:55.760]   But it might not even be bad behavior.
[01:21:55.760 --> 01:21:58.000]   Often it can be political suicide, something
[01:21:58.000 --> 01:22:02.840]   that's embarrassing or ridiculous or effeminate or--
[01:22:02.840 --> 01:22:04.080]   But that's up to the voters.
[01:22:04.080 --> 01:22:05.440]   --to the mainstream.
[01:22:05.440 --> 01:22:06.600]   That's up to the voters.
[01:22:06.600 --> 01:22:09.760]   I think the voters get to decide whether that's
[01:22:09.760 --> 01:22:10.840]   suitable or not.
[01:22:10.840 --> 01:22:12.920]   That seems like there also be some sort of exposed fact,
[01:22:12.920 --> 01:22:17.080]   though, like persecution or prosecution, especially
[01:22:17.080 --> 01:22:20.720]   in countries where there is a little bit of a thought
[01:22:20.720 --> 01:22:21.960]   police kind of world.
[01:22:21.960 --> 01:22:23.840]   And if you are saying things that you
[01:22:23.840 --> 01:22:25.520]   think are private behind closed doors,
[01:22:25.520 --> 01:22:29.200]   and then later they are misinterpreted, or for instance,
[01:22:29.200 --> 01:22:31.960]   imagine you're having a conversation in your home
[01:22:31.960 --> 01:22:35.920]   and you are sarcastically or jokingly talking about like,
[01:22:35.920 --> 01:22:37.560]   well, we should murder that person.
[01:22:37.560 --> 01:22:39.160]   You're joking.
[01:22:39.160 --> 01:22:42.920]   But a jury may not know that if that's out of context later.
[01:22:42.920 --> 01:22:45.440]   It's somebody-- there are all kinds of scenarios
[01:22:45.440 --> 01:22:46.920]   we can't foresee.
[01:22:46.920 --> 01:22:49.800]   But when we're essentially being electively surveilled,
[01:22:49.800 --> 01:22:51.040]   it is a little--
[01:22:51.040 --> 01:22:51.880]   it's unnerving.
[01:22:51.880 --> 01:22:52.960]   We haven't seen where this is going.
[01:22:52.960 --> 01:22:55.480]   I feel like a lot of this is speculative, though.
[01:22:55.480 --> 01:22:56.520]   That occurs a lot of--
[01:22:56.520 --> 01:22:59.760]   Do you think that we shouldn't have a right to privacy, Ben?
[01:22:59.760 --> 01:23:00.960]   Oh, you have a right to privacy.
[01:23:00.960 --> 01:23:02.800]   You have the right to pursue privacy anyway you want to.
[01:23:02.800 --> 01:23:04.320]   But do we give that up to use?
[01:23:04.320 --> 01:23:05.240]   You don't get to tell--
[01:23:05.240 --> 01:23:07.240]   Should we give that up to use technology?
[01:23:07.240 --> 01:23:08.440]   Should that be the cause?
[01:23:08.440 --> 01:23:09.720]   No, no.
[01:23:09.720 --> 01:23:12.480]   If you choose not to get on the internet, not to use a cell
[01:23:12.480 --> 01:23:14.400]   phone, not to have microphones in your home,
