
[00:00:00.000 --> 00:00:05.600]   It's time for Twit this weekend taking all in studio panel Nathan Olaveras, Giles, Rob Reed and
[01:06:17.360 --> 01:06:19.360]   Oh
[01:06:19.360 --> 01:06:22.160]   Because of course john deere won't let you modify
[01:06:22.160 --> 01:06:28.960]   Your effect you if you get your john deere tract repaired by a third party you then have to
[01:06:28.960 --> 01:06:35.200]   A this is from a license agreement that john deere required farmers to sign last year you then have to
[01:06:35.200 --> 01:06:37.200]   uh
[01:06:37.200 --> 01:06:40.080]   Go to john deere and get it authorized
[01:06:40.080 --> 01:06:43.840]   So that you can continue to do it continue to use it
[01:06:44.560 --> 01:06:50.720]   Uh, and you continue to use it. Yeah, you don't because you license the software. Yes, you may no longer use the
[01:06:50.720 --> 01:06:56.480]   So the third party technicians because they control the software john deere charges $230 an hour
[01:06:56.480 --> 01:06:58.240]   Uh
[01:06:58.240 --> 01:07:04.640]   $230 plus $130 an hour for the technician to drive out and plug a connector into the usb port to authorize the new part
[01:07:04.640 --> 01:07:09.200]   Yeah, so you have you get the new part you get somebody to put it in doesn't have to be a john deere
[01:07:09.200 --> 01:07:11.920]   But then you then you have to have a john deere guy come out
[01:07:12.640 --> 01:07:18.880]   And charge you a minimum of 360 bucks to say yeah, okay, you can use it these guys are basically jail breaking their tractors
[01:07:18.880 --> 01:07:25.360]   Yeah, actually right so he says when you've got his technicians running around with cracked ukranian john deere software
[01:07:25.360 --> 01:07:29.200]   They bought off the black market live it here. It is car tech systems
[01:07:29.200 --> 01:07:31.920]   And you just uh you check the box
[01:07:31.920 --> 01:07:35.280]   And you generate the key
[01:07:35.280 --> 01:07:37.520]   99 bucks so the guy doesn't have to come out
[01:07:37.520 --> 01:07:41.680]   And then you can sell your tractor for more because you're like mine's a hack tractor
[01:07:42.400 --> 01:07:44.400]   Wow, that's better a hacker Wow
[01:07:44.400 --> 01:07:46.000]   Hacker
[01:07:46.000 --> 01:07:46.640]   That
[01:07:46.640 --> 01:07:48.640]   Hactor vests are big and
[01:07:48.640 --> 01:07:54.640]   Activists hacker vests are very big in Nebraska right now. It's a big it's a similar thing that elan musk said though
[01:07:54.640 --> 01:07:58.160]   That if you're driving my cars you can't be using that to be able to like you know
[01:07:58.160 --> 01:08:02.880]   A free uber car that's going to be driving itself because they want to go into business to be able to have their own
[01:08:02.880 --> 01:08:05.840]   Self-driving cars to be like a taxi service to that
[01:08:05.840 --> 01:08:09.360]   So they're also trying to control how you use something
[01:08:09.920 --> 01:08:15.120]   And not really yours like you're signed on to buy it then you have to not drive it and you know
[01:08:15.120 --> 01:08:20.880]   Never drive left or something else now. I heard that also was going to be forbidden to listen to untasteful music
[01:08:20.880 --> 01:08:25.520]   Only an alien society. Yes
[01:08:25.520 --> 01:08:31.200]   But we don't know what those aliens like the list. Oh, we do that one person does we do one man does
[01:08:31.200 --> 01:08:33.520]   And uh, it's like I said
[01:08:33.520 --> 01:08:35.520]   on a truce
[01:08:35.520 --> 01:08:38.640]   It's kind of a shame all this stuff because you know
[01:08:39.760 --> 01:08:44.880]   You you you want technology to be like a beautiful thing that pushes us all forward like opens up new possibilities
[01:08:44.880 --> 01:08:47.360]   You know expands the capabilities of what we have
[01:08:47.360 --> 01:08:51.440]   Allows us to have a better life, but at the same time there's this old school idea
[01:08:51.440 --> 01:08:56.560]   Which I really love which is like hot rotting and tuning and like, you know messing with what you got
[01:08:56.560 --> 01:09:02.400]   Customizing things and you know, we're getting this point where uh tech is so ubiquitous
[01:09:02.400 --> 01:09:06.320]   There's so much software in the cars nowadays that you I mean, you know
[01:09:06.800 --> 01:09:10.720]   You buy a new car you pop the hood and it's covered in plastic you can't even work on it yourself, you know
[01:09:10.720 --> 01:09:16.880]   Uh, and and I come from a background of doing that sort of thing really? Yeah with with my dad
[01:09:16.880 --> 01:09:20.880]   I thought you would have grown up in the era of no serviceable parts in these things
[01:09:20.880 --> 01:09:28.400]   No, I mean the first car I had was a five-liter Mustang that my dad and I bought together and it had no door panels no center console
[01:09:28.400 --> 01:09:32.960]   It had a roll cage and four-point racing harnesses, but you know, it was that sort of thing
[01:09:32.960 --> 01:09:35.440]   It's like, you know, you can get in and turn ranch and do some stuff now
[01:09:35.440 --> 01:09:41.040]   I used to I used to change the oil tune the car up. You'd have a little volt meter and you can check the timing and no
[01:09:41.040 --> 01:09:44.880]   No, that stuff was a vocal old school Volkswagen. Yeah, so that stuff was fun
[01:09:44.880 --> 01:09:48.880]   But there were also technological advancements that came from that right?
[01:09:48.880 --> 01:09:51.680]   I mean one of the things that like racing has done
[01:09:51.680 --> 01:09:58.640]   Uh is resulted in safer vehicles, right and and better efficiency. I wouldn't want to try to change the oil on my Tesla
[01:09:58.640 --> 01:10:01.360]   Yeah, I don't think there is oil there is these sorts of things
[01:10:02.000 --> 01:10:08.880]   These sorts of things like they where's the oil? They block that yeah, they block that like outside of your company ingenuity
[01:10:08.880 --> 01:10:14.480]   They block that kind of creativity well, then they killed shay three mechanics. I mean unless you work on an old car
[01:10:14.480 --> 01:10:18.480]   There are no shade three mechanics. Yeah, there's there's nothing like that anymore, right? So and and
[01:10:18.480 --> 01:10:22.880]   I find it offensive and kind of sad in just our daily lives
[01:10:22.880 --> 01:10:28.000]   But damn man, you know, there's there's not even that many farmers left and you're scrolling with those guys
[01:10:28.480 --> 01:10:33.600]   You know and you you know, it's just the the whole the whole idea and like I I get why john
[01:10:33.600 --> 01:10:37.440]   Dear would want to control some things but make it as simple as hey you've avoided the warranty
[01:10:37.440 --> 01:10:40.160]   But if you come back and you pay us, we'll still fix it for you
[01:10:40.160 --> 01:10:43.920]   Like why do you got to screw us over in you know in every possible?
[01:10:43.920 --> 01:10:47.840]   These things are more than just you know, you think you say tractor you think of a guy sitting on a thing
[01:10:47.840 --> 01:10:50.320]   about them down the road, but these are these are
[01:10:50.320 --> 01:10:53.840]   We have a real machine. They're machinery. Yeah, we have a listening
[01:10:54.240 --> 01:11:00.400]   Factory who has owns a farm in western, Australia. He was here a couple of months ago
[01:11:00.400 --> 01:11:02.960]   And he says I listened to you
[01:11:02.960 --> 01:11:04.640]   While i'm
[01:11:04.640 --> 01:11:06.400]   Working on the farm
[01:11:06.400 --> 01:11:11.920]   And he literally spends his whole day sitting in what is like an office on a giant combine
[01:11:11.920 --> 01:11:17.360]   Yeah, and he's not he doesn't have much to do. Yeah, the thing is a huge, you know
[01:11:17.360 --> 01:11:23.920]   Giant machine and he's not steering it. He says, yeah, no, he said well, don't you have to do it
[01:11:23.920 --> 01:11:26.640]   He said when we get to the end of the row, I have to tell it go to the next row
[01:11:26.640 --> 01:11:29.200]   But uh, so he can listen to podcast
[01:11:29.200 --> 01:11:34.400]   He's there kind of keeping an eye on it, but so you understand this is not but there's a lot of software in these things
[01:11:34.400 --> 01:11:38.880]   Yeah, and I and I get why john dear would want to say listen or any company
[01:11:38.880 --> 01:11:42.240]   Uh, would want to say we've built a complicated product
[01:11:42.240 --> 01:11:46.000]   It's built to work a specific way if you mess with it. It might be dangerous
[01:11:46.000 --> 01:11:53.120]   It might not be it be not good or whatever, right? Yeah, I get that but but but some things feel kind of petty
[01:11:53.520 --> 01:11:58.000]   When it's when a guy is driving out to plug in a usb port and you got to pay him a few
[01:11:58.000 --> 01:12:01.360]   There's a difference between trying to make sure that it's safe
[01:12:01.360 --> 01:12:04.240]   And we're not going to take warranty of like if something bad happens
[01:12:04.240 --> 01:12:05.760]   We're not going to be the ones that are
[01:12:05.760 --> 01:12:07.680]   Yeah, this feels like the people drive the worst
[01:12:07.680 --> 01:12:12.240]   This is trying to squeeze out of people as much as you can so that you're kind of stuck
[01:12:12.240 --> 01:12:16.080]   Exactly. There's nothing else that you can do unless you have a certain amount of technical knowledge
[01:12:16.080 --> 01:12:20.960]   To be able to go around that so a lot of people have been talking about their first cars in the chat room
[01:12:21.040 --> 01:12:23.840]   Just to bring this first circle mine was a pinto
[01:12:23.840 --> 01:12:34.640]   It never did blow up. No, no, it never did detonate. Yeah. Gosh. Wow. Well two fords here. All right. Yeah
[01:12:34.640 --> 01:12:37.120]   Mine mine was a fort as well. Oh, for what?
[01:12:37.120 --> 01:12:40.240]   I don't I think it was a
[01:12:40.240 --> 01:12:45.040]   I don't remember. Was it a tempo? Oh, Anthony knows
[01:12:45.680 --> 01:12:50.240]   I would tell you what mine is, but it's the answer to one of my secret questions. So
[01:12:50.240 --> 01:12:57.520]   Oh, it's the answer to one of my secret questions too, but I lied on the answer
[01:12:57.520 --> 01:13:02.320]   I didn't want to get it was a penta. I even want when they go searching for your day
[01:13:02.320 --> 01:13:04.480]   Like you don't want them to know this like Ferrari
[01:13:04.480 --> 01:13:07.680]   If I do get hacked to be so humiliating
[01:13:07.680 --> 01:13:10.560]   For the world to know that I had a penta, but now of course I've now
[01:13:10.560 --> 01:13:12.400]   We'll talk about it on a podcast admitted it on
[01:13:12.400 --> 01:13:18.000]   No, it's nothing wrong with humble beginnings. I'm proud of the penta. There you go. There you go. There you go. There you go.
[01:13:18.000 --> 01:13:20.560]   Um
[01:13:20.560 --> 01:13:24.000]   Did you by the way speaking of I'm just looking at some of the big harvesters
[01:13:24.000 --> 01:13:28.240]   This is probably something like the the thing our listener that was what my kid looked like
[01:13:28.240 --> 01:13:29.760]   That's just like that
[01:13:29.760 --> 01:13:32.480]   Did you see the picture of the president driving the mac truck?
[01:13:32.480 --> 01:13:34.640]   Oh god
[01:13:34.640 --> 01:13:38.160]   I am amazed that we didn't see more meme action around him going like this
[01:13:40.320 --> 01:13:44.160]   It was a decent amount. There was one where he was looking a little play school pedal car
[01:13:44.160 --> 01:13:48.160]   Which was pretty good. I don't know if you guess it was this like decockus on the tank again. Yeah
[01:13:48.160 --> 01:13:50.960]   Except it works for you
[01:13:50.960 --> 01:13:52.960]   It's a meme, right? Yeah
[01:13:52.960 --> 01:13:56.080]   Yeah, yeah, there's actually a whole series of pictures
[01:13:56.080 --> 01:13:59.440]   Um, I suppose I he was meeting with truck manufacturers
[01:13:59.440 --> 01:14:05.600]   Um, he looked really happy though. He was he was having a he got to play he got to pull the horn
[01:14:05.600 --> 01:14:09.120]   And all the videos not available too bad, but there he is
[01:14:09.760 --> 01:14:12.080]   There he is like little tarantosauric
[01:14:12.080 --> 01:14:18.320]   Having a good time
[01:14:18.320 --> 01:14:21.520]   These are not photoshopped kids. These are real
[01:14:21.520 --> 01:14:26.000]   Uh, let's uh, you know, we had a fun week didn't we have a fun week?
[01:14:26.000 --> 01:14:30.480]   You were great on the new screen savers. I was so excited loved having you on name. It's great on the new
[01:14:30.480 --> 01:14:31.520]   I
[01:14:31.520 --> 01:14:36.080]   Let's let's take a little look at some of the fun things that happened this week on tWIS previously on tWIS
[01:14:36.320 --> 01:14:41.360]   If you can't afford a red phone you can't at least get the new product red case
[01:14:41.360 --> 01:14:44.000]   I don't use cases
[01:14:44.000 --> 01:14:47.200]   I don't use cases at all. I stick it in in here and
[01:14:47.200 --> 01:14:55.760]   All about android like christmas coming early, uh google released the android o developer preview
[01:14:55.760 --> 01:15:03.440]   Uh the developer preview version hit and it is now available for download and install on and everyone has been scrambling to check it out
[01:15:04.400 --> 01:15:07.920]   Tech news today. Nate was talking about a game called everything
[01:15:07.920 --> 01:15:11.280]   Where you can play as anything a blade of grass
[01:15:11.280 --> 01:15:16.800]   Everything is a strange experience in which you don't really have an ending
[01:15:16.800 --> 01:15:20.720]   And then you just start to really ask yourself what am I who am I?
[01:15:20.720 --> 01:15:28.160]   Where are you? What is twit? You know, it's just a lot of important questions. This is your brain. This is your brain on twit
[01:15:28.160 --> 01:15:30.400]   Any questions?
[01:15:30.880 --> 01:15:35.840]   I mean, I'm beautiful the way I am. There's no need to put me no need to put Jim in the case. That's for sure
[01:15:35.840 --> 01:15:43.040]   Jim dowerimbo he keeps his phone in his piece. I think he's capable of that mega moroni. What's coming up this week?
[01:15:43.040 --> 01:15:47.120]   Here's just a few of the stories that we'll be looking at in the week ahead
[01:15:47.120 --> 01:15:53.120]   Samsung will hold an event to unveil their latest flagship phone the galaxy s8
[01:15:53.120 --> 01:15:59.520]   The company is hoping for the latest galaxy to make a big splash to finally put the note seven debacle behind them
[01:16:00.160 --> 01:16:02.160]   RIP club penguin
[01:16:02.160 --> 01:16:08.000]   One of the first social networks for kids is finally shutting down on the desktop and mobile devices on march 29th
[01:16:08.000 --> 01:16:11.200]   It started nearly 12 years ago in 2005
[01:16:11.200 --> 01:16:15.680]   Brian mclendon vice president of maps and business platform at uber
[01:16:15.680 --> 01:16:20.240]   Also plans to leave the company this week probably someone else will leave uber this week too
[01:16:20.240 --> 01:16:27.280]   If I had to bet on it bluetooth world and sanaklara black hat in asia and april fools day are all happening this week plus march 31st
[01:16:27.440 --> 01:16:30.640]   Is world backup days who backup your stuff my friends?
[01:16:30.640 --> 01:16:36.160]   That's just a few of the stories will be following this week on tech news today every week day at four pm pacific
[01:16:36.160 --> 01:16:39.680]   And seven pm eastern on twit.tv
[01:16:39.680 --> 01:16:44.160]   Thank you megan moroni and you had some fun that you were filling in for Jason this week
[01:16:44.160 --> 01:16:47.520]   Yeah, i've been filling in for Jason hell all last week and monday and tuesday
[01:16:47.520 --> 01:16:50.720]   Um, I think the audience for suffering with me
[01:16:50.720 --> 01:16:54.400]   But uh, but no, it's it's been a lot of fun for me and um
[01:16:54.880 --> 01:16:58.480]   I guess i'll be kind of filling every once in a while when they take vacation or something like that
[01:16:58.480 --> 01:17:04.240]   But I think you'd be doing more than that. Oh, well. Yeah and and well and creating hopefully developing
[01:17:04.240 --> 01:17:05.760]   So
[01:17:05.760 --> 01:17:09.680]   Samsung by the way is offering a app you can install on your android device called unpacked
[01:17:09.680 --> 01:17:13.920]   2017 if you're lucky enough to have an invitation to the event this week in new york city
[01:17:13.920 --> 01:17:18.640]   You can use it to get in with a qr code, but if you're not going it will stream video and so forth
[01:17:18.640 --> 01:17:20.880]   We'll do our live stream
[01:17:20.880 --> 01:17:23.840]   Things well with the you know the mystery science it'll be more fun than that
[01:17:23.840 --> 01:17:25.920]   Cometer. I think it'll be a lot more fun
[01:17:25.920 --> 01:17:28.960]   a lot more fun fun is like
[01:17:28.960 --> 01:17:37.440]   I really enjoy sam's songs press events because they're kind of so bad. Yeah, yeah, I mean, I don't know if anybody else feels no
[01:17:37.440 --> 01:17:41.200]   They're terrible. That's the best part of watch you just get to see it loud
[01:17:41.200 --> 01:17:45.600]   Yes, you go cool tech and you get to see when things don't really happen the way that they
[01:17:45.600 --> 01:17:51.840]   Yeah, smoothly they have a lot of tech like like errors and flubs and then you know they had that like overproduced like
[01:17:51.840 --> 01:17:55.680]   Broadway show in New York that one time that was horrible where the where women
[01:17:55.680 --> 01:18:00.960]   Oh, I can't touch the phone because my fingernails are drying. Yeah, so I can just wave
[01:18:00.960 --> 01:18:04.640]   Offensive. Yeah, so I always look for
[01:18:04.640 --> 01:18:08.320]   You never know
[01:18:08.320 --> 01:18:15.040]   Trainwreck is what your hope is every time. Yeah, I am gonna be in New York City next week. I don't know how it's
[01:18:15.600 --> 01:18:18.480]   Oh, I can get you and you want to go I got to invite you to do now
[01:18:18.480 --> 01:18:24.080]   You could be our reporter for on the scene. That'd be kind of and now we go to the reporter on the scene rob reade has the latest
[01:18:24.080 --> 01:18:27.120]   Oh my god. It was the worst thing I ever saw
[01:18:27.120 --> 01:18:32.480]   I'll get a fedora. Yes. Yeah, if you still for some reason
[01:18:32.480 --> 01:18:34.800]   Unexplicable reason have a note seven by the way
[01:18:34.800 --> 01:18:38.960]   This is the month sam's song is going to kill it literally remotely
[01:18:38.960 --> 01:18:41.600]   Turn it into a brick
[01:18:41.600 --> 01:18:43.680]   good
[01:18:43.680 --> 01:18:46.640]   If you're if you're still using one just
[01:18:46.640 --> 01:18:49.920]   If it hasn't
[01:18:49.920 --> 01:18:55.200]   It's probably okay, right? No, it's not okay. It's never okay
[01:18:55.200 --> 01:18:57.680]   No
[01:18:57.680 --> 01:19:05.200]   Things he's talking to his elderly father. Yeah, grandfather. Maybe great grandfather dad get rid of the notes. Yeah, well if it hasn't blown up
[01:19:05.200 --> 01:19:07.200]   Yeah
[01:19:12.640 --> 01:19:17.520]   Books it's time to buy a new car. You can afford a new car. I'll cosign for you
[01:19:17.520 --> 01:19:23.760]   What are you before the show? You know Jason mentioned on the all about and I guess I was wrong mentioning android o is
[01:19:23.760 --> 01:19:29.040]   Yeah, this is the beta version. It'll be this fall before we see the next version of android
[01:19:29.040 --> 01:19:33.280]   I hope you see some new features because all you're talking about was like snoozing notifications and battery life
[01:19:33.280 --> 01:19:36.960]   They're trying to now, but that's a big issue. I mean, this is so well
[01:19:36.960 --> 01:19:41.520]   Nice and you know cutting off all of the things that are running in the background
[01:19:41.520 --> 01:19:44.800]   That's great, but it's not something that's really gonna drive a lot of press exactly
[01:19:44.800 --> 01:19:48.160]   Those are the things they should be doing. Give me some like cool flashy
[01:19:48.160 --> 01:19:55.280]   Automatically every phone reset from time immemorial promise better batteries. Oh, yeah, it's like yeah
[01:19:55.280 --> 01:20:02.000]   Like it's fair. It was gonna deliver that it's probably not gonna be the headline better battery life. Yeah, right?
[01:20:02.000 --> 01:20:06.240]   These ones don't aren't gonna melt in your pocket better battery life
[01:20:07.520 --> 01:20:11.680]   No, it's gonna be it's really gonna be about what dessert are we naming that's what i'm wondering?
[01:20:11.680 --> 01:20:16.720]   Now we know what do we do with this? We spent some time on this and in fact, I think because of us
[01:20:16.720 --> 01:20:23.040]   If you do a google search for you start. Oh, it'll it'll auto complete to o dessert names
[01:20:23.040 --> 01:20:29.920]   Apparently many people searching for desserts that begin with oh, well. Do we know that's the whole internet or just or just like your searches?
[01:20:29.920 --> 01:20:32.800]   I think it's the whole internet
[01:20:32.800 --> 01:20:35.280]   Oh, sorry. Yeah
[01:20:35.840 --> 01:20:37.840]   The whole internet
[01:20:37.840 --> 01:20:40.880]   I love you
[01:20:40.880 --> 01:20:44.800]   Oh
[01:20:44.800 --> 01:20:47.120]   Isp was tracking the data so they knew yeah, right?
[01:20:47.120 --> 01:20:52.880]   It turns out if you go to wikipedia and look at desserts, there are very few o desserts
[01:20:52.880 --> 01:20:57.360]   Android centrals put together a few uh ox tongue pastry
[01:20:57.360 --> 01:21:01.680]   That doesn't roll off the tongue in a nice way. It's a chinese tree and this is one of the problems of course
[01:21:01.680 --> 01:21:10.000]   They need a they need a name that is not specifically american. They need an international right nougat was really it's very international
[01:21:10.000 --> 01:21:12.000]   Ozark is a foreign country, right?
[01:21:12.000 --> 01:21:15.760]   Ah, well that was my favorite. It's my favorite
[01:21:15.760 --> 01:21:21.840]   You don't like yep point bake cook which is a dutch cookie love spiced and sweet and served with butter at breakfast time
[01:21:21.840 --> 01:21:26.400]   That's my second favorite the Ozarks are in arkansas, mazurian, oklahoma
[01:21:26.480 --> 01:21:31.600]   Yeah, oh oh la boy. Oh la boy, which is actually literally
[01:21:31.600 --> 01:21:38.240]   oil balls a touch type of dutch donut made by dunking dough into a deep fat fryer
[01:21:38.240 --> 01:21:40.560]   I don't think android oh
[01:21:40.560 --> 01:21:43.840]   Oli ball is going anywhere and here's your favorite
[01:21:43.840 --> 01:21:50.240]   Or you Ozark pudding. I never I never heard of this. Yeah, I had it done in florida once
[01:21:50.240 --> 01:21:55.840]   Which is not far from the Ozarks as it turns out. Yeah. Yeah, it's a dried fruit nut custard
[01:21:55.840 --> 01:22:02.880]   Atlanta so disgusting and dry that they usually put a scoop of ice cream on it to sweeten it up that android Ozark pudding
[01:22:02.880 --> 01:22:09.280]   It's like is it's like eating the the composite wood inside of an ikea dresser. Oh, that sounds horrible
[01:22:09.280 --> 01:22:15.200]   So you really need that ice cream. It was yeah, it was the favorite dessert of president harry truman. Mm-hmm
[01:22:15.200 --> 01:22:17.280]   There was only so much choice then
[01:22:17.280 --> 01:22:19.760]   Well oatmeal cookie. I like it
[01:22:19.760 --> 01:22:25.040]   That's a two-order. I don't think you're gonna have a two-order. Oh, yeah. What? Yeah
[01:22:25.280 --> 01:22:28.880]   Stream it on twin peaks. I believe was fond of Ozark pudding not just making that up
[01:22:28.880 --> 01:22:30.480]   But his name was harry a stream in the show
[01:22:30.480 --> 01:22:33.440]   They were they did go to that diner and they would form a president
[01:22:33.440 --> 01:22:35.920]   Fine stuff. Yeah, this is where pies go to die
[01:22:35.920 --> 01:22:41.280]   Oriets which is a catalog pastry that looks like
[01:22:41.280 --> 01:22:48.160]   Years because looks like yours or like a pyrus. Yeah fried crispy kind of thing
[01:22:48.160 --> 01:22:52.000]   But everybody seems to agree oreo is the one it should be
[01:22:52.880 --> 01:22:56.160]   Oreo is what I'd like to see but I would be thrilled if it was Ozark
[01:22:56.160 --> 01:22:58.880]   Always like really would make me so happy and I really hope you write Rob
[01:22:58.880 --> 01:23:03.760]   Yeah, I really do the problem also is I think google got burned with kit cat where they were used a brand name
[01:23:03.760 --> 01:23:07.760]   And I think people journalist particularly I resent and having to say kit cat all the time
[01:23:07.760 --> 01:23:12.720]   Like that was sounding like an ad for nestling doesn't make me a bad journalist that I thought it was cool
[01:23:12.720 --> 01:23:15.920]   Okay
[01:23:15.920 --> 01:23:17.920]   If you say it's okay
[01:23:17.920 --> 01:23:20.800]   You do so many shows though leo you had to say it a lot more often
[01:23:21.520 --> 01:23:25.520]   Well, the only good news is whenever we do finally get the new
[01:23:25.520 --> 01:23:31.600]   You know phone and the new android people pile onto our table here whatever dessert
[01:23:31.600 --> 01:23:38.880]   So we've had nougat we've had lollipops. We've had jelly beans and yes, we've had kit cat bars
[01:23:38.880 --> 01:23:41.840]   So now you're hoping it's not Ozark because you'd have to eat it on
[01:23:41.840 --> 01:23:44.000]   Ozark
[01:23:44.000 --> 01:23:50.320]   Pudding on the table. No, no, it's gotta be oreo. They gotta make a deal. There's rarely a g included in that. Yeah. Oh, sorry
[01:23:50.320 --> 01:23:52.320]   Pudding
[01:23:52.320 --> 01:23:54.080]   Uh
[01:23:54.080 --> 01:23:56.080]   so why
[01:23:56.080 --> 01:23:58.560]   So karstin at the same reaction I did
[01:23:58.560 --> 01:23:59.920]   Uh google
[01:23:59.920 --> 01:24:02.080]   Their messaging strategy is so confusing
[01:24:02.080 --> 01:24:09.200]   I as a hangout as a google voice user and google file user have been using hangouts because it's the only messaging platform you can use
[01:24:09.200 --> 01:24:16.000]   On google that works on iphone that works on the desktop. It works everywhere. Yep, and that's why i use messages
[01:24:16.000 --> 01:24:19.680]   Yeah, it's ugly. It's not a great message, but you use it too. I guess yeah
[01:24:19.680 --> 01:24:22.480]   And and I hate the iOS app because it's so slow
[01:24:22.480 --> 01:24:25.680]   But but because it's so useful
[01:24:25.680 --> 01:24:28.720]   And because so many of my friends use it I stick with it
[01:24:28.720 --> 01:24:33.920]   I have it on every phone and I have it on every desktop. I haven't you could see on my uh my chrome
[01:24:33.920 --> 01:24:42.080]   I have a chrome extension for it. It's the closest thing google has androids has to apple messages. Yeah where it's cross platform
[01:24:42.080 --> 01:24:43.840]   Um
[01:24:43.840 --> 01:24:45.920]   And it's got the desktop. I think having it desktop
[01:24:45.920 --> 01:24:52.640]   Well was because they're gonna take sms support out. I made the mistake of porting my phone number that everybody in the world has over to
[01:24:52.640 --> 01:24:57.680]   Uh google voice, right which it just was has just been a catastrophe. Oh really?
[01:24:57.680 --> 01:25:01.360]   Yeah, and they came out with a new app and literally the new app on the iphone
[01:25:01.360 --> 01:25:08.880]   What it does is when you hit the button that summons the the uh, you know, like basically the dial pad that is a crash the app button
[01:25:08.880 --> 01:25:12.560]   Uninstalled and uninstalled
[01:25:12.960 --> 01:25:16.160]   Probably 20 times. So I'm literally getting a new phone
[01:25:16.160 --> 01:25:24.480]   Which I'm due for and switching providers in order to finally claw my my phone number back from google voice
[01:25:24.480 --> 01:25:28.000]   And you know, they got hangouts. Is they still have google talk?
[01:25:28.000 --> 01:25:36.000]   They have this will this is part of the phase out of google talk got it. Okay. Um, they did say that if you use google voice or google
[01:25:36.000 --> 01:25:42.640]   file which I do uh that you will still have sms support, but you gotta think that the days are numbered
[01:25:42.640 --> 01:25:46.400]   Why do they move everybody the android messenger? I don't know products
[01:25:46.400 --> 01:25:50.080]   That's what the problem is right? They're trying to do a little bit of a calling
[01:25:50.080 --> 01:25:52.560]   It's just might not have been the one that they should have given the act
[01:25:52.560 --> 01:25:56.720]   Aloe has google assistant built in make aloe your sms choice
[01:25:56.720 --> 01:26:00.160]   Well, that's that's where this is going. They're trying to turn aloe into the consumer
[01:26:00.160 --> 01:26:03.360]   But it doesn't do sms yet well, not yet, but it will someday
[01:26:03.920 --> 01:26:10.960]   And hangouts which is what consumers were using and people were fairly happy with which was a decent product and one of their most popular
[01:26:10.960 --> 01:26:14.720]   investing I think options outside of gmail because you could use it everywhere
[01:26:14.720 --> 01:26:19.840]   They're trying to pivot that into an enterprise product. Right. It's part of g suite exactly
[01:26:19.840 --> 01:26:26.720]   So then they're they're sun setting google talk and now what you're going to have in gmail is going to be rebranded as hangouts
[01:26:26.720 --> 01:26:30.560]   Which is kind of silly because it's always worked with the hangouts app anyways
[01:26:30.880 --> 01:26:34.960]   So no one will even be able to pick that up. So they're literally like sun setting talk
[01:26:34.960 --> 01:26:37.760]   Sun setting parts of hangouts to pivot you into enterprise
[01:26:37.760 --> 01:26:41.920]   Trying to build up aloe and then there's messaging inside of google voice too
[01:26:41.920 --> 01:26:49.040]   So it's a total cluster and this is one of the smartest companies in the world that allowed this to happen by launching
[01:26:49.040 --> 01:26:52.880]   Products and then I love the fact that we're talking again. This is google
[01:26:52.880 --> 01:26:56.960]   They are the smartest company in the world and they said well, they haven't gone to around sms yet
[01:26:57.120 --> 01:27:03.200]   It's like that's 1993 technology. Yeah, that's right. They're like, oh, we can't quite do that
[01:27:03.200 --> 01:27:05.840]   Yeah, it's some nine of our telephony products
[01:27:05.840 --> 01:27:06.960]   Just not the tenth one
[01:27:06.960 --> 01:27:10.320]   This is one of the things that I both love and hate about google is like
[01:27:10.320 --> 01:27:14.960]   They're so willing to just do this out in the open and just say let's see if it works
[01:27:14.960 --> 01:27:20.000]   Like let's just build this crazy thing like I don't know like people are you know, next is cute google class
[01:27:20.000 --> 01:27:21.840]   Like let's just mess around messaging
[01:27:21.840 --> 01:27:26.560]   And they just don't think things all the way through and it's fun because you get to see these decisions and these mistakes
[01:27:26.640 --> 01:27:29.440]   And we all get to learn together, but at the same time if you use
[01:27:29.440 --> 01:27:32.000]   It's not fun when you can't totally see you over
[01:27:32.000 --> 01:27:35.760]   And google google glass they're giving you something that you've already used
[01:27:35.760 --> 01:27:39.520]   They're not taking away your eyes and giving you google glass and you're forced to have to use them
[01:27:39.520 --> 01:27:41.520]   Yeah, that would be a bad thing
[01:27:41.520 --> 01:27:43.520]   That would be
[01:27:43.520 --> 01:27:45.520]   That would be a bad thing
[01:27:45.520 --> 01:27:47.520]   Can we take people's eyes?
[01:27:47.520 --> 01:27:49.520]   Yeah, just take this and particularly if they survive
[01:27:49.520 --> 01:27:52.640]   Well, they are working on the wrong way. They are working on the contact lens
[01:27:52.640 --> 01:27:54.480]   Which you know, we'll probably fryer
[01:27:54.480 --> 01:27:57.200]   But with this, I think part of what the issue is
[01:27:57.200 --> 01:28:02.800]   Just from speaking with people who work on messaging products, you know over the years and reporting on these sorts of things
[01:28:02.800 --> 01:28:04.640]   Is that
[01:28:04.640 --> 01:28:11.840]   I think they really see that there is this important thing happening in messaging that they weren't able to key into and that's that's really
[01:28:11.840 --> 01:28:15.920]   Um, you know, a lot of apps like line like building an operating system
[01:28:15.920 --> 01:28:20.080]   But that's what our the rich communication services rcs is all about
[01:28:20.560 --> 01:28:26.640]   Google's trying google bought a company called jibe which had this technology and they're trying to convince the carriers
[01:28:26.640 --> 01:28:33.200]   Yeah, and all the users to and by the way, android messenger supports rcs to move to this rcs standard
