
[00:00:00.000 --> 00:00:02.500]   It's time for Twitch.
[01:01:25.880 --> 01:01:28.040]   I tried to install it on my iMac Pro.
[01:01:28.040 --> 01:01:30.400]   And I had to re-inst, I had to format and reinstall them.
[01:01:30.400 --> 01:01:32.400]   So I'm going to stick with it.
[01:01:32.400 --> 01:01:34.200]   Yeah, I put it in a partition.
[01:01:34.200 --> 01:01:35.800]   So I had it running on.
[01:01:35.800 --> 01:01:36.800]   Yeah.
[01:01:36.800 --> 01:01:38.680]   That's what I was like, again, same thing.
[01:01:38.680 --> 01:01:44.260]   I was like, okay, I can't, my work MacBook can't mess that up.
[01:01:44.260 --> 01:01:45.260]   So I just created a partition.
[01:01:45.260 --> 01:01:48.780]   I really want dark mode, but it was a silly reason to do that.
[01:01:48.780 --> 01:01:49.780]   And I regret it.
[01:01:49.780 --> 01:01:50.780]   Dark mode is awesome.
[01:01:50.780 --> 01:01:51.780]   Oh, you like it?
[01:01:51.780 --> 01:01:52.780]   I do.
[01:01:52.780 --> 01:01:55.780]   I have it on my Mac mini, which is my secondary machine.
[01:01:55.780 --> 01:02:01.660]   And it's been a couple of times when it wouldn't boot and I, you know, press the power button
[01:02:01.660 --> 01:02:03.460]   a few times and finally got it going.
[01:02:03.460 --> 01:02:06.460]   But dark mode is definitely very cool.
[01:02:06.460 --> 01:02:11.880]   Apple has capitulated in the keyboard war and finally admitted there's a problem with
[01:02:11.880 --> 01:02:13.480]   the MacBook Pro keyboards.
[01:02:13.480 --> 01:02:16.000]   Anybody here have a problem with those new butterfly keys?
[01:02:16.000 --> 01:02:17.480]   I have not.
[01:02:17.480 --> 01:02:20.400]   However, three of my coworkers have.
[01:02:20.400 --> 01:02:21.400]   Wow.
[01:02:21.400 --> 01:02:22.400]   Yeah.
[01:02:22.400 --> 01:02:26.240]   I think it's safe to say there is an issue, right?
[01:02:26.240 --> 01:02:28.000]   Oh, yeah, without a doubt.
[01:02:28.000 --> 01:02:29.000]   No, definitely.
[01:02:29.000 --> 01:02:30.000]   Without a doubt.
[01:02:30.000 --> 01:02:33.920]   Like anybody who I think tries to claim otherwise, I mean, look, they would not do
[01:02:33.920 --> 01:02:37.220]   what they've done, which is to base up the acknowledge the issue, even though I have
[01:02:37.220 --> 01:02:41.940]   some problems with, you know, some of the, I guess, terms and conditions of getting
[01:02:41.940 --> 01:02:46.500]   repair, but they wouldn't be doing that going all the way back to the 2015 MacBook
[01:02:46.500 --> 01:02:48.380]   if there was not something.
[01:02:48.380 --> 01:02:50.460]   But yeah, no, I mean, I haven't experienced it myself.
[01:02:50.460 --> 01:02:57.140]   I did manage to get cookie crumbs from an air from an exploded airline cookie in the
[01:02:57.140 --> 01:02:58.140]   lighting courts.
[01:02:58.140 --> 01:03:02.420]   I mean, that doesn't sound good at all.
[01:03:02.420 --> 01:03:03.420]   Yeah.
[01:03:03.420 --> 01:03:08.320]   I find it sweetened and send it, put it on Twitter because it was funny.
[01:03:08.320 --> 01:03:09.320]   Compressed air.
[01:03:09.320 --> 01:03:10.320]   It was fine.
[01:03:10.320 --> 01:03:11.320]   But I was then very concerned.
[01:03:11.320 --> 01:03:14.400]   It was like, oh my God, I'm going to have like crumbs all underneath this keyboard and
[01:03:14.400 --> 01:03:16.560]   it's going to be ruined.
[01:03:16.560 --> 01:03:21.360]   But no, I have three different coworkers who have had to get theirs repaired.
[01:03:21.360 --> 01:03:23.440]   And these weren't like even 2016 touch bars.
[01:03:23.440 --> 01:03:24.880]   These were like 2017 models.
[01:03:24.880 --> 01:03:25.880]   So there's something.
[01:03:25.880 --> 01:03:29.880]   Well, Wesley, you're going to like this and Dwight, you're going to be old enough to appreciate
[01:03:29.880 --> 01:03:30.880]   it.
[01:03:30.880 --> 01:03:36.860]   So I'm going to be looking at this for a ridiculous amount of money, a 1990 IBM model.
[01:03:36.860 --> 01:03:37.860]   Oh my God.
[01:03:37.860 --> 01:03:38.860]   Oh man.
[01:03:38.860 --> 01:03:39.860]   Recondition.
[01:03:39.860 --> 01:03:40.860]   I want to extra microphone.
[01:03:40.860 --> 01:03:43.460]   No, it's the noisiest keyboard alive.
[01:03:43.460 --> 01:03:45.460]   It's a buckling spring keyboard.
[01:03:45.460 --> 01:03:51.660]   Yeah, I have an Apple extended too, which is like the same type of thing.
[01:03:51.660 --> 01:03:53.020]   This guy restores these.
[01:03:53.020 --> 01:03:55.940]   It's clickykeyboards.com.
[01:03:55.940 --> 01:04:02.240]   He finds them on eBay and stuff, takes them apart, reassembles them, cleans them.
[01:04:02.240 --> 01:04:03.840]   I'll let you know when it comes.
[01:04:03.840 --> 01:04:05.840]   I just had to.
[01:04:05.840 --> 01:04:07.840]   Not that it'll charge for it.
[01:04:07.840 --> 01:04:10.120]   Oh, you don't even want to know.
[01:04:10.120 --> 01:04:11.120]   You don't even.
[01:04:11.120 --> 01:04:12.120]   It depends.
[01:04:12.120 --> 01:04:14.440]   For one thing, it's getting harder to find them.
[01:04:14.440 --> 01:04:16.200]   So the price is starting to go up.
[01:04:16.200 --> 01:04:22.120]   The one I got was, I don't even want to admit it, $200.
[01:04:22.120 --> 01:04:25.280]   But it's not, it will never wear out, right?
[01:04:25.280 --> 01:04:26.280]   I mean, this keyboard is.
[01:04:26.280 --> 01:04:28.880]   Does he give you a dongle?
[01:04:28.880 --> 01:04:29.880]   No, yeah.
[01:04:29.880 --> 01:04:31.200]   No, because it's a PS2 keyboard.
[01:04:31.200 --> 01:04:33.860]   So you have to buy a PS2 to USB.
[01:04:33.860 --> 01:04:35.580]   He sells them, $16.
[01:04:35.580 --> 01:04:36.580]   Yeah.
[01:04:36.580 --> 01:04:42.180]   He does go as low as he's having a sale on some modelms from 91.
[01:04:42.180 --> 01:04:43.180]   But they don't have a cable.
[01:04:43.180 --> 01:04:44.740]   So that's kind of not good.
[01:04:44.740 --> 01:04:45.740]   That's $165.
[01:04:45.740 --> 01:04:49.360]   But I mean, the guy, actually, I feel like it's a good price because he's got to buy the
[01:04:49.360 --> 01:04:50.360]   keyboard.
[01:04:50.360 --> 01:04:53.420]   He literally takes it apart, cleans it.
[01:04:53.420 --> 01:04:54.620]   He replaced screws.
[01:04:54.620 --> 01:04:55.620]   Amazing.
[01:04:55.620 --> 01:04:58.460]   I mean, there were rivets he put screws in instead.
[01:04:58.460 --> 01:05:00.980]   He puts a lot of work into this.
[01:05:00.980 --> 01:05:03.080]   So it's kind of a labor of love.
[01:05:03.080 --> 01:05:04.080]   This is the one I got.
[01:05:04.080 --> 01:05:05.080]   That's awesome.
[01:05:05.080 --> 01:05:06.080]   Yeah, this is the one I got.
[01:05:06.080 --> 01:05:07.080]   And honestly, $200 is a lot.
[01:05:07.080 --> 01:05:10.900]   But if you look at the market for mechanical keyboards right now, which is so hot.
[01:05:10.900 --> 01:05:11.900]   Yeah.
[01:05:11.900 --> 01:05:13.620]   That's not a brand new one, 165 bucks.
[01:05:13.620 --> 01:05:15.260]   And it's not the buckling key, right?
[01:05:15.260 --> 01:05:16.900]   Yeah, I was going to say exactly.
[01:05:16.900 --> 01:05:18.340]   Usually they aren't the buckling ones.
[01:05:18.340 --> 01:05:21.900]   And but yeah, I have a number of friends and coworkers who are really into mechanical
[01:05:21.900 --> 01:05:22.900]   keyboards.
[01:05:22.900 --> 01:05:24.140]   And it is an expensive hobby.
[01:05:24.140 --> 01:05:25.140]   You'll see me coming.
[01:05:25.140 --> 01:05:27.700]   You'll hear me coming.
[01:05:27.700 --> 01:05:32.660]   So I didn't realize this, but I always knew the name buckling key, buckling spring, but
[01:05:32.660 --> 01:05:35.220]   there is actually like a regular spring.
[01:05:35.220 --> 01:05:38.300]   And when you press the thing down, you know how the spring goes like this, this, this,
[01:05:38.300 --> 01:05:40.220]   and then it deforms.
[01:05:40.220 --> 01:05:43.340]   And that's when it clicks and makes the contact.
[01:05:43.340 --> 01:05:48.780]   So you're deforming a spring every time you're typing a key.
[01:05:48.780 --> 01:05:50.080]   Kind of crazy.
[01:05:50.080 --> 01:05:53.960]   But this is how this is why I can't use some MacBook Pro.
[01:05:53.960 --> 01:05:58.440]   No, because you're like, you're like, ah, this is this is not enough travel.
[01:05:58.440 --> 01:06:00.760]   I don't mind the keys to be honest.
[01:06:00.760 --> 01:06:05.040]   I just, obviously there's some sort of design issue.
[01:06:05.040 --> 01:06:07.560]   I feel like it's stubbing my fingers.
[01:06:07.560 --> 01:06:09.240]   So many people hate the keyboard.
[01:06:09.240 --> 01:06:10.240]   Oh, yeah.
[01:06:10.240 --> 01:06:11.240]   No, no, so many people hate them.
[01:06:11.240 --> 01:06:16.640]   I mean, like when I was first reviewing the Mac book within 2015 and 2016, I thought
[01:06:16.640 --> 01:06:19.360]   it was a little shallow and I didn't love it on the Mac book pro with the touch bar.
[01:06:19.360 --> 01:06:24.200]   I actually, because it felt like it anyway, I think it's just a, you know, an illusion,
[01:06:24.200 --> 01:06:26.080]   but it feels like you have a little more travel.
[01:06:26.080 --> 01:06:27.600]   And I like that fine.
[01:06:27.600 --> 01:06:30.880]   Do I prefer the, you know, older, chiclet, MacBook keyboards?
[01:06:30.880 --> 01:06:33.680]   Yes, but I didn't have an issue with it.
[01:06:33.680 --> 01:06:38.760]   What I have an issue with is, you know, than not working and a piece of dust being able
[01:06:38.760 --> 01:06:43.840]   to force someone to have to be without the computer for a week because the entire bottom
[01:06:43.840 --> 01:06:49.160]   portion has to be replaced, which is just insane.
[01:06:49.160 --> 01:06:52.200]   Here's a, here's a, a GIF.
[01:06:52.200 --> 01:06:53.200]   Let's see.
[01:06:53.200 --> 01:06:54.840]   This is where I found out about these keys.
[01:06:54.840 --> 01:06:55.840]   Here's a GIF of a buckle.
[01:06:55.840 --> 01:06:56.840]   Oh my God.
[01:06:56.840 --> 01:06:59.960]   It literally, the spring actually buckles.
[01:06:59.960 --> 01:07:01.400]   That's amazing.
[01:07:01.400 --> 01:07:02.400]   Yeah.
[01:07:02.400 --> 01:07:05.840]   No wonder it's loud.
[01:07:05.840 --> 01:07:07.240]   It looks loud.
[01:07:07.240 --> 01:07:08.240]   Just chum.
[01:07:08.240 --> 01:07:09.720]   Sounds like a newsroom.
[01:07:09.720 --> 01:07:10.720]   Yeah.
[01:07:10.720 --> 01:07:11.720]   Click the cloud.
[01:07:11.720 --> 01:07:15.560]   I was going to say, I was going to say that's like, remember when I took a typing class when
[01:07:15.560 --> 01:07:17.600]   I was like 10 years old?
[01:07:17.600 --> 01:07:21.040]   Those were the types of keys, keyboards that we all typed on.
[01:07:21.040 --> 01:07:25.280]   Wesley, when you get your, I presume you go in and you're going to have a desk and they're
[01:07:25.280 --> 01:07:29.400]   going to have like a brand new laptop on the desk and all that stuff, right?
[01:07:29.400 --> 01:07:33.680]   They kind of, when you start a headroom to see if they have any of these keyboards,
[01:07:33.680 --> 01:07:35.360]   I would say some backroom somewhere.
[01:07:35.360 --> 01:07:39.600]   Look, I don't mind this MacBook, but can you get me a model M keyboard?
[01:07:39.600 --> 01:07:40.960]   You must have one somewhere.
[01:07:40.960 --> 01:07:41.960]   Right?
[01:07:41.960 --> 01:07:42.960]   Yeah.
[01:07:42.960 --> 01:07:46.240]   Well, I haven't started yet, but I bet I knew a guy a week from now.
[01:07:46.240 --> 01:07:47.240]   Yeah.
[01:07:47.240 --> 01:07:48.240]   Make friends.
[01:07:48.240 --> 01:07:49.240]   Make friends, Wesley.
[01:07:49.240 --> 01:07:51.240]   That's the most important thing.
[01:07:51.240 --> 01:07:52.240]   Find friends.
[01:07:52.240 --> 01:07:54.640]   And make sure you have, make sure you have all of our email address.
[01:07:54.640 --> 01:07:55.720]   Yes, seriously.
[01:07:55.720 --> 01:08:01.440]   So Dwight, you remember, I mean, these were 1991.
[01:08:01.440 --> 01:08:04.760]   It would have been, you know, the PC came out in '84.
[01:08:04.760 --> 01:08:09.800]   It would have been, you know, I don't know, an AT or something.
[01:08:09.800 --> 01:08:10.800]   Oh, yeah.
[01:08:10.800 --> 01:08:11.800]   I remember these.
[01:08:11.800 --> 01:08:12.800]   Yeah.
[01:08:12.800 --> 01:08:18.480]   You know, who used to make a really good loud clicky keyboard was Compaq here in Houston.
[01:08:18.480 --> 01:08:20.480]   And I had been to their factory.
[01:08:20.480 --> 01:08:24.400]   They showed me how they did the testing on it.
[01:08:24.400 --> 01:08:30.280]   And I like theirs because theirs was actually like a little louder than the IBM.
[01:08:30.280 --> 01:08:31.280]   I like that a lot.
[01:08:31.280 --> 01:08:32.280]   It's serious.
[01:08:32.280 --> 01:08:37.840]   I don't, you know, my wife has, I have the previous generation design, MacBook Pro,
[01:08:37.840 --> 01:08:38.840]   and I love it.
[01:08:38.840 --> 01:08:45.320]   My wife has the newest one, and she likes the keyboard, but I think there's this constant
[01:08:45.320 --> 01:08:48.240]   anxiety because is it going to happen now?
[01:08:48.240 --> 01:08:49.240]   Right.
[01:08:49.240 --> 01:08:50.600]   You know, is it going to go out now?
[01:08:50.600 --> 01:08:55.720]   We have some friend who lives in Mexico who bought the, one of the first versions of the
[01:08:55.720 --> 01:09:02.960]   MacBook that had it, and almost immediately her space bar had this problem.
[01:09:02.960 --> 01:09:04.160]   Well, and the issue is...
[01:09:04.160 --> 01:09:05.560]   In Mexico was a problem.
[01:09:05.560 --> 01:09:09.240]   Yeah, and the issue is like on the model, you could pry off the key caps, you could blow
[01:09:09.240 --> 01:09:11.000]   air into it and all that stuff.
[01:09:11.000 --> 01:09:14.160]   These keyboards were not really designed to be repaired at all.
[01:09:14.160 --> 01:09:19.400]   In many cases, Apple just actually swaps out the whole top part of the computer.
[01:09:19.400 --> 01:09:20.400]   That's why it's a set $100.
[01:09:20.400 --> 01:09:21.400]   They did with hers.
[01:09:21.400 --> 01:09:22.400]   Yeah.
[01:09:22.400 --> 01:09:24.360]   But she had to come back to the States to get it done.
[01:09:24.360 --> 01:09:25.360]   That's poor design.
[01:09:25.360 --> 01:09:26.920]   I placed it to it in Mexico.
[01:09:26.920 --> 01:09:28.720]   I just feel like that's bad design.
[01:09:28.720 --> 01:09:31.400]   To design something that really can't be fixed.
[01:09:31.400 --> 01:09:37.080]   Well, especially something like the keyboard, and to be clear, the earlier models were not
[01:09:37.080 --> 01:09:38.480]   the easiest to repair.
[01:09:38.480 --> 01:09:45.200]   So if you go back, I guess, to the 2010 MacBook Pros and the ones earlier than that, those
[01:09:45.200 --> 01:09:48.880]   you could remove the keys from if you needed to, although it was very easy to break.
[01:09:48.880 --> 01:09:55.760]   But the ones from the 2013, 2012 onward, you can definitely like the MacBook Airs.
[01:09:55.760 --> 01:10:00.400]   You can definitely break that if you are trying to replace a key cap yourself.
[01:10:00.400 --> 01:10:04.160]   But it's not going to require what the new ones do.
[01:10:04.160 --> 01:10:10.520]   And to me, I get the aesthetic for thinnest and wanting to have the solid piece of aluminium
[01:10:10.520 --> 01:10:11.520]   and all that.
[01:10:11.520 --> 01:10:17.640]   But as you say, Leo, you do have to question the design because this isn't something that
[01:10:17.640 --> 01:10:19.080]   is never going to need repairing.
[01:10:19.080 --> 01:10:20.160]   This is a keyboard.
[01:10:20.160 --> 01:10:27.560]   It's one of the most probably, I would think, that in the screen and maybe some of the internal
[01:10:27.560 --> 01:10:33.920]   components are probably the top three things that get repaired on a MacBook.
[01:10:33.920 --> 01:10:37.520]   Most people who are bringing it in, I would say the keyboard, regardless of what year
[01:10:37.520 --> 01:10:42.160]   you have, is probably one of the more common issues that people have with any laptop.
[01:10:42.160 --> 01:10:46.440]   And so to make it so that you can't even do it in store, you literally have to ship it
[01:10:46.440 --> 01:10:49.800]   off, that's what's ridiculous to me.
[01:10:49.800 --> 01:10:55.400]   And all companies, all PC manufacturers, they do this durability testing where if you're
[01:10:55.400 --> 01:11:00.680]   making chairs, you have this artificial butt that just mashes down on the same thing with
[01:11:00.680 --> 01:11:06.200]   the keyboards, they do these to see how long it'll go before, meantime, the failure.
[01:11:06.200 --> 01:11:07.720]   They test all this.
[01:11:07.720 --> 01:11:14.200]   And so I don't see how they did not pick this up in testing way before the public did.
[01:11:14.200 --> 01:11:17.960]   Yeah, the only thing I can gather is that they just, you know, when they were doing their
[01:11:17.960 --> 01:11:20.800]   testing in their labs or whatever, you know, they don't have dust.
[01:11:20.800 --> 01:11:22.760]   They don't have real old time debris.
[01:11:22.760 --> 01:11:23.760]   Right.
[01:11:23.760 --> 01:11:24.760]   That's right.
[01:11:24.760 --> 01:11:28.920]   So if it's not cookies, you know, which, like, even if it's just regular stuff, I mean,
[01:11:28.920 --> 01:11:32.920]   just in the course of using it, that it can happen.
[01:11:32.920 --> 01:11:37.520]   And it's one of those things that I've talked to people who are ridiculously anal, retentive
[01:11:37.520 --> 01:11:39.760]   with their devices, who have had the issue.
[01:11:39.760 --> 01:11:42.920]   I've talked to people who, you know, don't care and haven't had the issue.
[01:11:42.920 --> 01:11:47.040]   I mean, so it seems to kind of be willy-nilly, but the fact that, you know, a speck of dust
[01:11:47.040 --> 01:11:50.840]   can do it, the fact that, I mean, what was so funny to me, and it was Casey Johnson who
[01:11:50.840 --> 01:11:54.480]   really, you know, made this story, what it is, and the outline, when she pointed to that
[01:11:54.480 --> 01:11:58.560]   help document that Apple has, where they, like, show how you can take a can of compressed
[01:11:58.560 --> 01:12:01.640]   air and, like, spray and, like, you know, like a z-formation.
[01:12:01.640 --> 01:12:04.360]   It's a special angle and a special movement.
[01:12:04.360 --> 01:12:05.360]   Yeah.
[01:12:05.360 --> 01:12:07.760]   And when I saw that, I was like, okay, I'm an Apple stand.
[01:12:07.760 --> 01:12:11.440]   I'm somebody who will carry water and, like, will defend the company a lot, even though
[01:12:11.440 --> 01:12:13.880]   I obviously don't work for the money or any of that.
[01:12:13.880 --> 01:12:14.880]   But I'm looking at that.
[01:12:14.880 --> 01:12:15.880]   I'm like, rolling my eyes.
[01:12:15.880 --> 01:12:16.880]   I'm like, are you serious?
[01:12:16.880 --> 01:12:21.080]   If that's in your help, Doc, that's something you actually have to put in your documentation.
[01:12:21.080 --> 01:12:22.080]   That's a problem.
[01:12:22.080 --> 01:12:27.080]   To me, is acknowledgement of a design problem if you've got to actually create a graphic.
[01:12:27.080 --> 01:12:28.400]   Well, and Wesley, you're right.
[01:12:28.400 --> 01:12:33.120]   I mean, we may actually learn that Apple knew because there's three class action lawsuits,
[01:12:33.120 --> 01:12:37.640]   and really the kind of the critical key to the suits is did Apple know about this before
[01:12:37.640 --> 01:12:38.640]   they released it?
[01:12:38.640 --> 01:12:43.480]   Because that's when they really could be, there could be some serious damages if they
[01:12:43.480 --> 01:12:45.320]   knew about this ahead of time.
[01:12:45.320 --> 01:12:48.880]   So I'm sure that's one of the things that's going to be a big issue in discovery.
[01:12:48.880 --> 01:12:49.880]   Yeah.
[01:12:49.880 --> 01:12:54.120]   I guess as they did, but they figured it was too late to change the design.
[01:12:54.120 --> 01:12:58.280]   And so they're like, we can't miss the ship date, so we have to go.
[01:12:58.280 --> 01:13:02.600]   Someone, someone's higher up said, let's ship it, just ship it.
[01:13:02.600 --> 01:13:07.320]   Although, although, as Christina said, that's not how they test keyboards.
[01:13:07.320 --> 01:13:09.240]   They don't test keyboards with dirt and grit.
[01:13:09.240 --> 01:13:10.240]   But I'm on an airplane.
[01:13:10.240 --> 01:13:15.000]   They test them with a little robot that goes up and down, up and down, up and down, and
[01:13:15.000 --> 01:13:17.080]   that's their test for it.
[01:13:17.080 --> 01:13:19.400]   And one of their posts is cobbled.
[01:13:19.400 --> 01:13:23.880]   Cookies in a bag crumpled up and see what happens.
[01:13:23.880 --> 01:13:26.120]   Kyle, we need to know what other code is.
[01:13:26.120 --> 01:13:27.120]   Yeah.
[01:13:27.120 --> 01:13:28.120]   Yeah.
[01:13:28.120 --> 01:13:32.640]   There's enough transitioning from I worked at this company, then I worked it this way,
[01:13:32.640 --> 01:13:36.280]   now into Apple, that someone would change those practices.
[01:13:36.280 --> 01:13:44.440]   I'm guessing they have enough of that cross-polarization that they would know what would be the best
[01:13:44.440 --> 01:13:46.440]   practices for testing this thing.
[01:13:46.440 --> 01:13:47.440]   Yeah.
[01:13:47.440 --> 01:13:48.440]   I fix it.
[01:13:48.440 --> 01:13:53.920]   Kyle Wiens, the founder of I Fix It, who also sponsor Vars, and we love Kyle, says
[01:13:53.920 --> 01:13:56.280]   it's design anorexia.
[01:13:56.280 --> 01:14:00.840]   He said, making a product slimmer and slimmer at the cost of usefulness, functionalality,
[01:14:00.840 --> 01:14:04.560]   serviceability, and the environment is just not right.
[01:14:04.560 --> 01:14:06.560]   They did, they really did some stuff.
[01:14:06.560 --> 01:14:12.360]   They took a keycap, they injected a grain of sand, and they showed how even the tiny
[01:14:12.360 --> 01:14:17.800]   little grain of sand can block the action of the key, how it's impossible even with
[01:14:17.800 --> 01:14:20.480]   compressed air to get it out.
[01:14:20.480 --> 01:14:24.400]   It wedges under the butterfly lever, preventing it from depressing.
[01:14:24.400 --> 01:14:29.040]   And with the space bar, particularly, there's no way to remove the keycap without breaking
[01:14:29.040 --> 01:14:30.040]   it.
[01:14:30.040 --> 01:14:33.000]   You have, well, the space bar will break.
[01:14:33.000 --> 01:14:35.080]   And oh, and here's the worst part.
[01:14:35.080 --> 01:14:41.040]   When they designed it this way, they glued the battery to the keyboard that when they
[01:14:41.040 --> 01:14:45.840]   designed the retina MacBook Pro, the, I mean, sorry, the MacBook, the battery is glued
[01:14:45.840 --> 01:14:46.840]   to the keyboard.
[01:14:46.840 --> 01:14:48.720]   So you can't just replace the keyboard.
[01:14:48.720 --> 01:14:51.160]   You have to replace a big chunk of that.
[01:14:51.160 --> 01:14:54.400]   That's why it's so expensive.
[01:14:54.400 --> 01:14:55.760]   And they knew about it.
[01:14:55.760 --> 01:14:58.880]   He says, you know, we knew us immediately.
[01:14:58.880 --> 01:15:03.840]   When we tested it, we downgraded Apple from a seven out of 10 repairability score to a
[01:15:03.840 --> 01:15:09.040]   two, which is, in fact, the subsequent update went down to a one out of 10.
[01:15:09.040 --> 01:15:11.640]   The lowest notebook had ever earned at that point.
[01:15:11.640 --> 01:15:15.080]   Finally, at the end, he says, you know, you should really look at some Dell or HP laptops.
[01:15:15.080 --> 01:15:19.920]   They're making some very good stuff that's repairable.
[01:15:19.920 --> 01:15:23.920]   Kyle's always been, you know, an advocate for consumers and the ability to repair stuff.
[01:15:23.920 --> 01:15:24.920]   Oh, yeah.
[01:15:24.920 --> 01:15:25.920]   No, no, he has.
[01:15:25.920 --> 01:15:28.040]   And he's been really kind of leading the whole, you know, right to repair act stuff and all
[01:15:28.040 --> 01:15:29.040]   of those things.
[01:15:29.040 --> 01:15:30.040]   And obviously they're, they're guides.
[01:15:30.040 --> 01:15:35.160]   I mean, I think we all love them from the gadget porn perspective of seeing, you know,
[01:15:35.160 --> 01:15:37.160]   that how they're taken apart when it's made up.
[01:15:37.160 --> 01:15:40.080]   It is also really good for consumers.
[01:15:40.080 --> 01:15:46.680]   And as, you know, you're pointing out earlier, you're friend in Mexico, you know, who makes
[01:15:46.680 --> 01:15:49.000]   it very difficult to get to an official Apple repair place.
[01:15:49.000 --> 01:15:52.000]   Like it's not just people wanting to be cheaper doing it themselves.
[01:15:52.000 --> 01:15:55.360]   It's that Apple doesn't have service centers that are accessible everywhere.
[01:15:55.360 --> 01:15:59.520]   And if you've got something like a keyboard, that's a real problem.
[01:15:59.520 --> 01:16:05.280]   A jury on Wednesday found that Dr. Dre, Jimmy Iovine, both of whom became Apple employees
[01:16:05.280 --> 01:16:08.520]   when Apple bought Beats and Beats Electronics.
[01:16:08.520 --> 01:16:14.960]   Oh, a former partner, $25.2 million in royalties.
[01:16:14.960 --> 01:16:21.120]   Stephen Lamar and his company, Jibe Audio, the suit said that Lamar came to Dr. Dre in
[01:16:21.120 --> 01:16:27.080]   2006 with the idea for celebrity endorsed headphones.
[01:16:27.080 --> 01:16:31.880]   He got royalties, but only for the first Beats headphone.
[01:16:31.880 --> 01:16:35.240]   But now the jury says, no, no, you owe him a little more.
[01:16:35.240 --> 01:16:38.680]   You owe, he said, I want $130 million.
[01:16:38.680 --> 01:16:45.400]   But the jury said, well, $25 million now, and as sales continue, you'll get some of that
[01:16:45.400 --> 01:16:46.880]   as well.
[01:16:46.880 --> 01:16:51.680]   So Apple did not respond, but you know, Apple can afford $25 million.
[01:16:51.680 --> 01:16:55.800]   What's interesting about this is that when I first saw the headline, I'd assume that
[01:16:55.800 --> 01:16:58.200]   it was with the monster guys.
[01:16:58.200 --> 01:16:59.200]   Oh, yeah.
[01:16:59.200 --> 01:17:01.480]   You know, who also sued them, didn't they?
[01:17:01.480 --> 01:17:02.480]   Yes.
[01:17:02.480 --> 01:17:04.960]   And I think they tried to or something like that, although I think what happened there
[01:17:04.960 --> 01:17:08.600]   was it was just really bad businesses, decisions all the way around.
[01:17:08.600 --> 01:17:14.040]   But that's what I'd assume it was with the, you know, monster made the first Beats headphones.
[01:17:14.040 --> 01:17:15.040]   Yes.
[01:17:15.040 --> 01:17:16.040]   Yeah.
[01:17:16.040 --> 01:17:19.440]   Well, yeah, no, they, they, you know, did a lot of the design and some of the other things,
[01:17:19.440 --> 01:17:23.880]   somebody that they hired, I guess, anyway, did the design and then Dre and Beats or
[01:17:23.880 --> 01:17:28.720]   Dre and I, you know, had an ownership stake, then HTC bought an ownership stake, then
[01:17:28.720 --> 01:17:33.720]   I being bought it back and then they ended up buying all of monster out, basically.
[01:17:33.720 --> 01:17:40.360]   And so then when the company sold to Apple, you know, obviously, no Lee was very, very
[01:17:40.360 --> 01:17:41.360]   upset.
[01:17:41.360 --> 01:17:48.760]   There was a, there's like a great classic gizmodo story from Sam, I can't think of that.
[01:17:48.760 --> 01:17:49.760]   Little bit, yeah.
[01:17:49.760 --> 01:17:55.440]   Sam Biddle wrote like before the Apple thing happened about the whole saga, which is fascinating.
[01:17:55.440 --> 01:17:56.720]   But that's what I'd assumed it was about.
[01:17:56.720 --> 01:18:00.200]   So I, I'd forgotten that there was another company before they approached the monster.
[01:18:00.200 --> 01:18:01.200]   Yeah.
[01:18:01.200 --> 01:18:02.200]   Even with a form monster.
[01:18:02.200 --> 01:18:03.200]   Yeah.
[01:18:03.200 --> 01:18:05.680]   The monster's lawsuit failed, by the way, against Beats.
[01:18:05.680 --> 01:18:06.680]   Yeah, yeah, yeah.
[01:18:06.680 --> 01:18:10.120]   Again, again, I think that that was because I think what happened is it was just like there
[01:18:10.120 --> 01:18:11.120]   was, it was bad contract.
[01:18:11.120 --> 01:18:14.760]   All of us, whoever the monsters lawyers were just, you know, it was just bad business.
[01:18:14.760 --> 01:18:20.800]   Apple is a baby headline too, because it's not Dr. Dre specifically is the, the previous
[01:18:20.800 --> 01:18:23.000]   entity is not specifically.
[01:18:23.000 --> 01:18:24.000]   Yeah.
[01:18:24.000 --> 01:18:25.640]   Dre was the celebrity endorser.
[01:18:25.640 --> 01:18:27.800]   Well, she is also an owner.
[01:18:27.800 --> 01:18:31.520]   So I think the reason he and I being money because they got money from Apple.
[01:18:31.520 --> 01:18:34.360]   And he was the first rap billionaire, I think.
[01:18:34.360 --> 01:18:36.120]   I think he tweeted that, right?
[01:18:36.120 --> 01:18:38.560]   Oh, he says, yeah, I mean, yeah, and that's probably accurate.
[01:18:38.560 --> 01:18:42.120]   I mean, I don't know if, you know, if you look at all of Jay Z's stuff, if that would
[01:18:42.120 --> 01:18:45.560]   have, you know, with, with, with a Deaf Jam and whatnot.
[01:18:45.560 --> 01:18:49.360]   But yeah, definitely.
[01:18:49.360 --> 01:18:55.160]   I never thought we'd be debating who was the first rap billionaire on Twitter, but it's
[01:18:55.160 --> 01:18:56.160]   tech.
[01:18:56.160 --> 01:18:57.160]   It's tech.
[01:18:57.160 --> 01:18:58.160]   Apple breaking ground.
[01:18:58.160 --> 01:19:02.040]   Foxconn, rather breaking ground on a plant in Wisconsin.
