
[00:00:00.000 --> 00:00:01.000]   Let's do the twit.
[00:43:43.800 --> 00:43:44.800]   and stuff like that.
[00:43:44.800 --> 00:43:46.440]   It really makes it a more useful product.
[00:43:46.440 --> 00:43:49.040]   So you just sold, though, the company to who?
[00:43:49.040 --> 00:43:50.040]   To Yahoo.
[00:43:50.040 --> 00:43:51.040]   Yahoo.
[00:43:51.040 --> 00:43:53.600]   So did you say when they called?
[00:43:53.600 --> 00:43:56.400]   Did you go Yahoo?
[00:43:56.400 --> 00:44:00.880]   It's actually kind of a long story that began with Microsoft and ended with Yahoo.
[00:44:00.880 --> 00:44:05.520]   I can't really tell the story, but let's just say that we'd much rather work at Yahoo
[00:44:05.520 --> 00:44:06.520]   than Microsoft.
[00:44:06.520 --> 00:44:07.520]   Yeah, yeah.
[00:44:07.520 --> 00:44:09.720]   Because you do offer it for Windows and Macintosh.
[00:44:09.720 --> 00:44:10.720]   Yeah, yeah.
[00:44:10.720 --> 00:44:15.840]   We've been doing a cross-platform version, which the whole reason was because we love
[00:44:15.840 --> 00:44:19.800]   the Mac platform dearly and we wanted to make sure that as many people could get their
[00:44:19.800 --> 00:44:22.520]   hands on it as possible to create really cool widgets.
[00:44:22.520 --> 00:44:23.520]   That would be cross-platform?
[00:44:23.520 --> 00:44:24.520]   That would be cross-platform.
[00:44:24.520 --> 00:44:27.600]   The more people that made it for Windows, the more people got to use it on the Mac.
[00:44:27.600 --> 00:44:30.600]   And it was a real amazing success.
[00:44:30.600 --> 00:44:33.360]   And now with the whole Yahoo involvement, it's crazy.
[00:44:33.360 --> 00:44:39.560]   We get hundreds of submissions a day to the gallery and we're just making our way through
[00:44:39.560 --> 00:44:40.560]   them.
[00:44:40.560 --> 00:44:41.560]   Wow.
[00:44:41.560 --> 00:44:43.760]   And we get millions and millions of downloads a week of these guys.
[00:44:43.760 --> 00:44:45.440]   It's very similar to Dashboard.
[00:44:45.440 --> 00:44:48.680]   You write in JavaScript, you create resources that are images and so forth.
[00:44:48.680 --> 00:44:51.040]   It's very similar to the Dashboard development model.
[00:44:51.040 --> 00:44:52.040]   Yep.
[00:44:52.040 --> 00:44:57.360]   It's actually pretty much identical minus the fact that we use XML and they use DHTML
[00:44:57.360 --> 00:44:58.960]   as a base.
[00:44:58.960 --> 00:45:02.600]   But with our next version, we can do some really cool stuff that actually makes them
[00:45:02.600 --> 00:45:05.960]   more Dashboard-like with the embedded views.
[00:45:05.960 --> 00:45:11.320]   And we're doing some stuff with Yahoo login technology so that if you're a Yahoo user,
[00:45:11.320 --> 00:45:14.920]   you can have persistent preferences if you log into your machine.
[00:45:14.920 --> 00:45:18.160]   So you have all sorts of cool widgets up on your desktop at work.
[00:45:18.160 --> 00:45:22.120]   You can have them up on your same ones at home with the same information, same positions
[00:45:22.120 --> 00:45:23.120]   and everything.
[00:45:23.120 --> 00:45:24.120]   Oh, I really like it.
[00:45:24.120 --> 00:45:25.120]   It's going to be really cool.
[00:45:25.120 --> 00:45:29.040]   We've got a really great developer who just came on board who does really neat game widgets.
[00:45:29.040 --> 00:45:33.680]   He's on the audience over there and named Rob Mark-Wort and he's hopefully going to
[00:45:33.680 --> 00:45:35.400]   do some really cool stuff with us too.
[00:45:35.400 --> 00:45:37.840]   A great widget developer, really great guy.
[00:45:37.840 --> 00:45:40.000]   The thing I like the best is Yahoo's giving it away now.
[00:45:40.000 --> 00:45:41.200]   Yeah, totally free.
[00:45:41.200 --> 00:45:43.440]   Download it, do whatever you want to with it.
[00:45:43.440 --> 00:45:46.320]   Make cool widgets, give it to your friends, put it on CDs.
[00:45:46.320 --> 00:45:47.320]   Wait.
[00:45:47.320 --> 00:45:48.320]   I'm like, you can do that, right?
[00:45:48.320 --> 00:45:49.320]   That's a lot.
[00:45:49.320 --> 00:45:50.320]   Yeah.
[00:45:50.320 --> 00:45:52.600]   K-O-N-F-A-B-U-L-A-T-O-R dot com.
[00:45:52.600 --> 00:45:56.400]   Yeah, I've always been one of my favorites and I like it that it's free now.
[00:45:56.400 --> 00:45:57.480]   Yeah, and we love you for that.
[00:45:57.480 --> 00:46:01.160]   If it wasn't for the screen savers, our Windows beta program, I don't know what would have
[00:46:01.160 --> 00:46:02.160]   happened.
[00:46:02.160 --> 00:46:06.000]   That day that you talked about it, we had thousands and thousands of people within minutes
[00:46:06.000 --> 00:46:07.000]   signing up for our program.
[00:46:07.000 --> 00:46:09.760]   Was that the day you made the widget of me, the looking leader?
[00:46:09.760 --> 00:46:10.760]   No, no, no.
[00:46:10.760 --> 00:46:11.760]   That was another time.
[00:46:11.760 --> 00:46:12.760]   About a year after that.
[00:46:12.760 --> 00:46:13.760]   Okay, I still use that widget.
[00:46:13.760 --> 00:46:15.480]   We've got to update it because it puts the tech TV search.
[00:46:15.480 --> 00:46:16.480]   Oh, you're right.
[00:46:16.480 --> 00:46:17.480]   That's no good.
[00:46:17.480 --> 00:46:19.720]   I'll do an update of it this weekend.
[00:46:19.720 --> 00:46:21.920]   That's all right.
[00:46:21.920 --> 00:46:22.920]   Thank you.
[00:46:22.920 --> 00:46:23.920]   It's great to see you.
[00:46:23.920 --> 00:46:24.920]   I'm glad you're here.
[00:46:24.920 --> 00:46:25.920]   You're here.
[00:46:25.920 --> 00:46:26.920]   You're here too, Patrick.
[00:46:26.920 --> 00:46:27.920]   Congratulations on the success of the confederate leader.
[00:46:27.920 --> 00:46:28.920]   I'm glad.
[00:46:28.920 --> 00:46:29.920]   Good things sometimes happen.
[00:46:29.920 --> 00:46:30.920]   Yeah.
[00:46:30.920 --> 00:46:32.920]   It might have been a little bit of a curve, but no road, but that's...
[00:46:32.920 --> 00:46:33.920]   But it was worth it.
[00:46:33.920 --> 00:46:34.920]   It was worth it.
[00:46:34.920 --> 00:46:36.920]   Oh, are you putting the show notes today, Patrick?
[00:46:36.920 --> 00:46:37.920]   I hope you are.
[00:46:37.920 --> 00:46:38.920]   Does it still be a paid version?
[00:46:38.920 --> 00:46:39.920]   No, no, no.
[00:46:39.920 --> 00:46:40.920]   It's going to be...
[00:46:40.920 --> 00:46:43.000]   Well, something I probably shouldn't say, but I will.
[00:46:43.000 --> 00:46:45.200]   There will never be a paid version again.
[00:46:45.200 --> 00:46:49.400]   There will never be Yahoo advertising built into the product or the widgets.
[00:46:49.400 --> 00:46:50.400]   Yes.
[00:46:50.400 --> 00:46:53.640]   And we hopefully, and I can't promise this, but there will hopefully never be Yahoo advertising
[00:46:53.640 --> 00:46:58.280]   on any of our websites because we're in a business section that is not slated to make
[00:46:58.280 --> 00:46:59.280]   money.
[00:46:59.280 --> 00:47:03.040]   We will be making widgets that are like the Spider-Man 3 widget probably, but that's not
[00:47:03.040 --> 00:47:04.760]   something you need to download if you don't want to.
[00:47:04.760 --> 00:47:06.760]   And you don't have to be a Yahoo member to download it?
[00:47:06.760 --> 00:47:07.760]   No, definitely not.
[00:47:07.760 --> 00:47:11.200]   But I like the additional functionality of if you are a Yahoo member, your widgets are
[00:47:11.200 --> 00:47:12.200]   on all your machines.
[00:47:12.200 --> 00:47:15.040]   Do I have to then download the widget on each machine or does it automatically kind of
[00:47:15.040 --> 00:47:16.040]   kind of...
[00:47:16.040 --> 00:47:17.760]   I'm not actually sure how that part of it is going to work just yet.
[00:47:17.760 --> 00:47:22.280]   It might actually be something we keep on the server and then spread around if it's something
[00:47:22.280 --> 00:47:23.280]   you have installed.
[00:47:23.280 --> 00:47:25.280]   That's kind of neat because then you're really customizing your desktop.
[00:47:25.280 --> 00:47:26.280]   Yeah, it'll be great.
[00:47:26.280 --> 00:47:31.160]   And you'll be able to do cool stuff with your actual Yahoo finance stuff will show up in
[00:47:31.160 --> 00:47:36.280]   your stock ticker, your regular Yahoo weather stuff will show up in your weather widget.
[00:47:36.280 --> 00:47:38.600]   And again, don't have to be a Yahoo member to use it.
[00:47:38.600 --> 00:47:43.160]   Basically, the business model from Yahoo's perspective is to do the things like the Spider-Man gimmick
[00:47:43.160 --> 00:47:44.720]   so they can like pre-
[00:47:44.720 --> 00:47:48.400]   And actually, that's not the business model for Yahoo for this is that we're doing...
[00:47:48.400 --> 00:47:52.360]   We're opening up all sorts of web XML APIs right now.
[00:47:52.360 --> 00:47:56.760]   And what we want to do is use this as the starting point for getting people hooked on
[00:47:56.760 --> 00:47:58.920]   them and doing really cool projects with them.
[00:47:58.920 --> 00:48:05.000]   So you download Confabulator, you learn how to do the Y photo stuff with the XML APIs
[00:48:05.000 --> 00:48:09.400]   for Y photo and then you go and add it to your application and then suddenly a lot of
[00:48:09.400 --> 00:48:13.920]   people are using Y photo that didn't necessarily know about it before and now we've got more
[00:48:13.920 --> 00:48:15.360]   customers going to Y photo.
[00:48:15.360 --> 00:48:17.440]   So they're using it as a conduit for other services.
[00:48:17.440 --> 00:48:18.440]   Exactly.
[00:48:18.440 --> 00:48:23.360]   There was a little bit and I'm kind of sensitive to this complaint among Flickr users, that's
[00:48:23.360 --> 00:48:24.360]   Y photo that in order...
[00:48:24.360 --> 00:48:26.560]   No, no, no, no, it's actually totally separate.
[00:48:26.560 --> 00:48:27.560]   Oh, it is separate.
[00:48:27.560 --> 00:48:28.560]   They're not going to merge it too.
[00:48:28.560 --> 00:48:29.560]   They might...
[00:48:29.560 --> 00:48:30.560]   The here was my issue.
[00:48:30.560 --> 00:48:34.040]   I'm a Flickr user and all of a sudden I have to sign up for it to have a Yahoo account to
[00:48:34.040 --> 00:48:35.040]   keep using that.
[00:48:35.040 --> 00:48:36.040]   No, you don't.
[00:48:36.040 --> 00:48:37.040]   Well, they were trying to get people to sign up to Yahoo some...
[00:48:37.040 --> 00:48:39.040]   Eventually, but you don't have to.
[00:48:39.040 --> 00:48:40.040]   I really don't.
[00:48:40.040 --> 00:48:41.040]   Because I don't want to.
[00:48:41.040 --> 00:48:42.040]   I'm a Flickr pro user.
[00:48:42.040 --> 00:48:43.040]   I don't want to kind of merge.
[00:48:43.040 --> 00:48:45.880]   I mean, I'm a Yahoo account too, but I just don't...
[00:48:45.880 --> 00:48:46.880]   Flickr...
[00:48:46.880 --> 00:48:51.520]   I think the problem really was that there isn't really any disadvantage to Flickr users.
[00:48:51.520 --> 00:48:54.600]   It's just Flickr users are kind of anti-corporate.
[00:48:54.600 --> 00:48:56.880]   We don't want it to be part of a bigger company.
[00:48:56.880 --> 00:48:57.880]   Right.
[00:48:57.880 --> 00:48:58.880]   Right.
[00:48:58.880 --> 00:48:59.880]   So it's not...
[00:48:59.880 --> 00:49:00.880]   It's not...
[00:49:00.880 --> 00:49:03.040]   I'll have to do with your code name on Flickr, Big Daddy.
[00:49:03.040 --> 00:49:04.040]   Shh.
[00:49:04.040 --> 00:49:07.280]   That's my private Flickr account.
[00:49:07.280 --> 00:49:10.000]   Now somebody with Big Daddy is going to be getting a lot of the...
[00:49:10.000 --> 00:49:11.000]   That's actually mine.
[00:49:11.000 --> 00:49:12.000]   That's actually mine.
[00:49:12.000 --> 00:49:15.680]   I believe there's a Twit widget, but I may be wrong.
[00:49:15.680 --> 00:49:18.120]   Is there a confabulator widget for Twit?
[00:49:18.120 --> 00:49:19.480]   I believe there is, but maybe not.
[00:49:19.480 --> 00:49:20.480]   It will be shortly.
[00:49:20.480 --> 00:49:21.480]   There...
[00:49:21.480 --> 00:49:22.480]   Yes.
[00:49:22.480 --> 00:49:23.480]   Before this show comes out.
[00:49:23.480 --> 00:49:24.480]   Hey, let's thank you, Arlo.
[00:49:24.480 --> 00:49:25.480]   It's nice to see you.
[00:49:25.480 --> 00:49:26.480]   Let's bring Alex Lindsey up here too.
[00:49:26.480 --> 00:49:28.920]   Can we make an announcement, Alex?
[00:49:28.920 --> 00:49:31.320]   Would it be premature to make an announcement?
[00:49:31.320 --> 00:49:32.960]   Go over to the microphone.
[00:49:32.960 --> 00:49:35.920]   Would it be premature to make an announcement, Alex, about what we're doing together or
[00:49:35.920 --> 00:49:36.920]   no?
[00:49:36.920 --> 00:49:37.920]   No, it's fine.
[00:49:37.920 --> 00:49:38.920]   Can we say that?
[00:49:38.920 --> 00:49:39.920]   Yeah.
[00:49:39.920 --> 00:49:40.920]   Alex Lindsey, you may remember from Call for Help.
[00:49:40.920 --> 00:49:45.040]   Call on Call for Help, the Canadian version, which is now back on G4.
[00:49:45.040 --> 00:49:47.240]   We just noticed because of the emails that I get.
[00:49:47.240 --> 00:49:48.240]   All of a sudden.
[00:49:48.240 --> 00:49:49.240]   Mmm.
[00:49:49.240 --> 00:49:50.240]   Yeah.
[00:49:50.240 --> 00:49:51.240]   It's on a weird time.
[00:49:51.240 --> 00:49:52.240]   It's 11 a.m.
[00:49:52.240 --> 00:49:53.240]   Eastern AAM.
[00:49:53.240 --> 00:49:54.400]   Seems to be effective on their way.
[00:49:54.400 --> 00:49:56.400]   But it's, hey, at least it's back in the United States.
[00:49:56.400 --> 00:49:57.400]   We're happy about that.
[00:49:57.400 --> 00:50:03.280]   Alex is our Photoshop guy and he does Pixel Core, which is an amazing idea, which is
[00:50:03.280 --> 00:50:09.240]   getting people all over the world involved in 2 and 3D graphics design and learning how
[00:50:09.240 --> 00:50:10.240]   to do it.
[00:50:10.240 --> 00:50:14.640]   And once they become skilled, they become part of the Pixel Core.
[00:50:14.640 --> 00:50:15.640]   Getting jobs more than more.
[00:50:15.640 --> 00:50:16.840]   It's a guild, right.
[00:50:16.840 --> 00:50:17.840]   Yeah.
[00:50:17.840 --> 00:50:22.160]   So, I mean, the idea was that, you know, 500 years ago when you wanted to build a castle,
[00:50:22.160 --> 00:50:25.480]   there are a handful of guilds that you would, that you'd go find.
[00:50:25.480 --> 00:50:26.480]   You know, so you'd try to.
[00:50:26.480 --> 00:50:28.920]   The Mason's Guild and the painters and yeah.
[00:50:28.920 --> 00:50:29.920]   All of those different things.
[00:50:29.920 --> 00:50:32.360]   And right now for our industry, there isn't anything like that.
[00:50:32.360 --> 00:50:35.560]   There's no way to find any, sure you can find one or two great ones.
[00:50:35.560 --> 00:50:39.000]   You just can't find 500 of them, which is what we're interested in.
[00:50:39.000 --> 00:50:40.000]   So we kind of.
[00:50:40.000 --> 00:50:41.000]   And they're all over the world.
[00:50:41.000 --> 00:50:42.480]   I mean, you've got Africa, you've got 8 people.
[00:50:42.480 --> 00:50:43.480]   Yeah, we have.
[00:50:43.480 --> 00:50:44.480]   We're in 36 countries.
[00:50:44.480 --> 00:50:45.480]   Wow.
[00:50:45.480 --> 00:50:46.480]   Yeah.
[00:50:46.480 --> 00:50:48.760]   So Alex and I are going to start something in a couple of weeks.
[00:50:48.760 --> 00:50:49.760]   Mac Break.
[00:50:49.760 --> 00:50:53.080]   It's a new half hour Internet only television show.
[00:50:53.080 --> 00:50:54.080]   Yes.
[00:50:54.080 --> 00:50:55.080]   Yeah.
[00:50:55.080 --> 00:50:56.080]   On Macintosh.
[00:50:56.080 --> 00:50:57.080]   Oh.
[00:50:57.080 --> 00:50:58.080]   So we're really excited about that.
[00:50:58.080 --> 00:51:01.320]   We'll be, we'll be, we'll be, we'll be in Roger whenever you're in town.
[00:51:01.320 --> 00:51:02.320]   We'd love to have you on the show, by the way.
[00:51:02.320 --> 00:51:03.320]   Thank you.
[00:51:03.320 --> 00:51:04.320]   Thank you.
[00:51:04.320 --> 00:51:05.320]   We're going to videotape it across the street.
[00:51:05.320 --> 00:51:06.920]   I think over across multiple.
[00:51:06.920 --> 00:51:09.720]   Yeah, our offices are like 100 feet from here.
[00:51:09.720 --> 00:51:12.360]   So, and we're going to do the first one in a couple of weeks, I think.
[00:51:12.360 --> 00:51:13.360]   Yeah.
[00:51:13.360 --> 00:51:15.920]   At the end of September, then it should come up in October.
[00:51:15.920 --> 00:51:17.320]   So that's the first one.
[00:51:17.320 --> 00:51:18.600]   Is there going to be a website?
[00:51:18.600 --> 00:51:21.600]   How will people find out when it's available?
[00:51:21.600 --> 00:51:26.000]   Well we're going to put out announcements, but it'll be MacBreak.com is the website.
[00:51:26.000 --> 00:51:27.000]   Not up yet.
[00:51:27.000 --> 00:51:28.000]   It's not up yet.
[00:51:28.000 --> 00:51:29.000]   But it'll be going up.
[00:51:29.000 --> 00:51:31.400]   There'll actually be some short daily stuff that starts coming out.
[00:51:31.400 --> 00:51:36.680]   So you'll start seeing stuff, hopefully on the iTunes, you know, on iTunes, podcast
[00:51:36.680 --> 00:51:37.680]   and so on and so forth.
[00:51:37.680 --> 00:51:42.720]   There are little videos that kind of get people prepped for it, and then that'll kind of build
[00:51:42.720 --> 00:51:44.080]   towards the full show.
[00:51:44.080 --> 00:51:47.200]   I'm really excited about that.
[00:51:47.200 --> 00:51:52.640]   All of us, as Twits, that's really what we're excited about is the idea of IP content delivery.
[00:51:52.640 --> 00:51:55.320]   I've been doing audio and Kevin's been doing video.
[00:51:55.320 --> 00:51:57.680]   And you know, I just really think this is the future.
[00:51:57.680 --> 00:52:01.640]   Well the more you research it, the big thing is you have to question whether there is any
[00:52:01.640 --> 00:52:02.640]   future in TV.
[00:52:02.640 --> 00:52:03.640]   At all?
[00:52:03.640 --> 00:52:04.880]   You know, there's why bother.
[00:52:04.880 --> 00:52:10.920]   You know, it was what I kind of start seeing more and more of because you're, you know,
[00:52:10.920 --> 00:52:12.200]   I don't have a TV.
[00:52:12.200 --> 00:52:14.560]   I mean, everything I get is IP.
[00:52:14.560 --> 00:52:19.360]   So you know, everything I watch on my laptop, whenever I watch it, and you know, I got,
[00:52:19.360 --> 00:52:22.000]   we're just testing the little Elgato thing, which seems to work pretty well.
[00:52:22.000 --> 00:52:25.240]   You know, you can take your cable and record it and turn your Mac into a DVR.
[00:52:25.240 --> 00:52:26.240]   That's the ITV.
[00:52:26.240 --> 00:52:27.240]   Right.
[00:52:27.240 --> 00:52:29.040]   Are you using the HD version or just the R1 500?
[00:52:29.040 --> 00:52:30.040]   We got the HD version.
[00:52:30.040 --> 00:52:31.040]   So yeah.
[00:52:31.040 --> 00:52:32.040]   So it's...
[00:52:32.040 --> 00:52:34.920]   Roger, do you watch IP TV at all?
[00:52:34.920 --> 00:52:35.920]   Yes, I do.
[00:52:35.920 --> 00:52:41.560]   In fact, I watch it all the time and I download Kevin's stuff and you know, I watch it in
[00:52:41.560 --> 00:52:42.560]   the van.
[00:52:42.560 --> 00:52:45.040]   I burn it to video CDs and play it on a 20-inch LCD.
[00:52:45.040 --> 00:52:46.040]   I think that's the future.
[00:52:46.040 --> 00:52:47.040]   That's what I do.
[00:52:47.040 --> 00:52:50.440]   And the thing is that before there was a constrained distribution.
[00:52:50.440 --> 00:52:55.400]   So you had broadcast stations or you had cable networks and the issue now though is with
[00:52:55.400 --> 00:52:58.880]   BitTorrent, I mean, most people think of BitTorrent as this way to pass pirated stuff
[00:52:58.880 --> 00:52:59.880]   around.
[00:52:59.880 --> 00:53:03.440]   But really, when you look at what BitTorrent does is it lets any of us, you know, it breaks
[00:53:03.440 --> 00:53:06.360]   that entire distribution wall down to instead of...
[00:53:06.360 --> 00:53:11.400]   If I had a show that was say 500 megs and I put it out to 500,000 people, that's $100,000
[00:53:11.400 --> 00:53:16.200]   of distribution that it would just to upload it with BitTorrent, it's 500 bucks.
[00:53:16.200 --> 00:53:17.200]   You know, and it's...
[00:53:17.200 --> 00:53:20.880]   And that's an entirely different reality and that means any of us could make shows and
[00:53:20.880 --> 00:53:21.880]   that's what we're going to do.
[00:53:21.880 --> 00:53:22.880]   Well, we'll see.
[00:53:22.880 --> 00:53:25.640]   Macbreak.com and that's coming up later in September.
[00:53:25.640 --> 00:53:27.320]   I'm not competing with you, Kevin.
[00:53:27.320 --> 00:53:29.320]   It's all of us in there together.
[00:53:29.320 --> 00:53:30.320]   Right.
[00:53:30.320 --> 00:53:31.320]   In there.
[00:53:31.320 --> 00:53:32.320]   More the better, I think.
[00:53:32.320 --> 00:53:33.320]   Oh, I agree.
[00:53:33.320 --> 00:53:34.320]   I love Command-In.
[00:53:34.320 --> 00:53:35.320]   Command-In.
[00:53:35.320 --> 00:53:36.320]   Great stuff.
[00:53:36.320 --> 00:53:37.320]   Mike and Amber do that.
[00:53:37.320 --> 00:53:38.320]   And of course, Dignation has video, which is very popular.
[00:53:38.320 --> 00:53:39.320]   We're in a video of Twitter.
[00:53:39.320 --> 00:53:40.320]   Now, is this going to be...
[00:53:40.320 --> 00:53:42.320]   Kevin, you're going to do this on a regular basis.
[00:53:42.320 --> 00:53:43.320]   This is the trial.
[00:53:43.320 --> 00:53:46.960]   Yeah, we're going to try and do it probably one month just to start and then it depends
[00:53:46.960 --> 00:53:47.960]   on how much time Keith has.
[00:53:47.960 --> 00:53:48.960]   He's so busy.
[00:53:48.960 --> 00:53:49.960]   It all comes down to Keith.
[00:53:49.960 --> 00:53:50.960]   Yeah.
[00:53:50.960 --> 00:53:51.960]   He's the kind of the bottleneck.
[00:53:51.960 --> 00:53:53.960]   He's got a video, and he's got to edit it, and he's got to produce it, and he's got to
[00:53:53.960 --> 00:53:54.960]   get it out, right?
[00:53:54.960 --> 00:53:57.360]   You get another Keith, or is there only one?
[00:53:57.360 --> 00:53:58.360]   There's only one Keith.
[00:53:58.360 --> 00:53:59.360]   There's only one Keith.
[00:53:59.360 --> 00:54:00.560]   What do you use to edit?
[00:54:00.560 --> 00:54:02.560]   I don't want to say because this is an app store.
[00:54:02.560 --> 00:54:03.560]   Premier.
[00:54:03.560 --> 00:54:05.080]   They use for your Premier Pro, but we're trying to get it back.
[00:54:05.080 --> 00:54:06.080]   We're going to get a G5.
[00:54:06.080 --> 00:54:08.000]   Keith wants to get on a G5 as soon as possible.
[00:54:08.000 --> 00:54:09.000]   Yeah.
[00:54:09.000 --> 00:54:10.000]   And use like Final Cut.
[00:54:10.000 --> 00:54:11.000]   Final Cut.
[00:54:11.000 --> 00:54:12.000]   Final Cut.
[00:54:12.000 --> 00:54:13.000]   All the way, right?
[00:54:13.000 --> 00:54:14.000]   Yeah.
[00:54:14.000 --> 00:54:15.000]   Is that what you would use, Keith's Final Cut?
[00:54:15.000 --> 00:54:16.000]   Yeah.
[00:54:16.000 --> 00:54:17.000]   You think so?
[00:54:17.000 --> 00:54:18.000]   Yeah.
[00:54:18.000 --> 00:54:19.000]   We should...
[00:54:19.000 --> 00:54:20.000]   Keith should turn the camera around.
[00:54:20.000 --> 00:54:21.000]   I'm going to interview.
[00:54:21.000 --> 00:54:22.000]   Yes.
[00:54:22.000 --> 00:54:24.000]   I wanted to say one more thing about IPTV.
[00:54:24.000 --> 00:54:28.880]   I used to really want like a direct TV satellite thing for our moving vehicle.
[00:54:28.880 --> 00:54:29.880]   Yeah.
[00:54:29.880 --> 00:54:30.880]   And now I...
[00:54:30.880 --> 00:54:31.880]   You don't know.
[00:54:31.880 --> 00:54:36.040]   All I used to do was I'd record the screensavers and you know, like I would watch it.
[00:54:36.040 --> 00:54:38.880]   If I had that, I would watch it and it's not there.
[00:54:38.880 --> 00:54:39.880]   Right.
[00:54:39.880 --> 00:54:40.880]   So, why bother?
[00:54:40.880 --> 00:54:43.320]   Well, if we do the screensavers again, it's very likely we'll do it on IPTV.
[00:54:43.320 --> 00:54:44.320]   Yeah.
[00:54:44.320 --> 00:54:46.160]   I mean, that would be the logical way to do it.
[00:54:46.160 --> 00:54:47.160]   Patrick's doing video.
[00:54:47.160 --> 00:54:51.800]   In fact, I've watched a few of them now, and you've got the audio working, and it's actually...
[00:54:51.800 --> 00:54:52.800]   I'm now liking it a lot.
[00:54:52.800 --> 00:54:53.800]   I mean, you really got a great job.
[00:54:53.800 --> 00:54:56.040]   Can I have a Devorak moment here?
[00:54:56.040 --> 00:54:57.040]   Please.
[00:54:57.040 --> 00:54:58.040]   Digitallifetv.com.
[00:54:58.040 --> 00:55:02.120]   Episode 4, we do live on Tuesday, available for download Tuesday night.
[00:55:02.120 --> 00:55:05.120]   And Patrick was not at work in the last Twitter.
[00:55:05.120 --> 00:55:07.760]   You did a masterful editing job.
[00:55:07.760 --> 00:55:08.760]   You would never know.
[00:55:08.760 --> 00:55:09.760]   No.
[00:55:09.760 --> 00:55:10.760]   You would never know, would you?
[00:55:10.760 --> 00:55:13.520]   By the way, the mic that you love so much for Skype?
[00:55:13.520 --> 00:55:14.520]   Yeah.
[00:55:14.520 --> 00:55:15.520]   $3.
[00:55:15.520 --> 00:55:16.520]   Great for China.
[00:55:16.520 --> 00:55:22.280]   You can use $75 headset for a $3 one, and Leo will like the $3 one better.
[00:55:22.280 --> 00:55:23.280]   It sounded really good.
[00:55:23.280 --> 00:55:24.280]   It's not scary.
[00:55:24.280 --> 00:55:25.280]   And it wasn't USB or anything.
[00:55:25.280 --> 00:55:26.280]   You just plugged it in.
[00:55:26.280 --> 00:55:27.280]   You plug straight into the notebook.
[00:55:27.280 --> 00:55:31.040]   You know what I would like to do is give the people in the audience a chance to ask questions.
[00:55:31.040 --> 00:55:35.040]   So why don't we put that mic in the stand, and if people...
[00:55:35.040 --> 00:55:38.000]   Or actually, hold on to it, Matt, and you can actually get to them, maybe.
[00:55:38.000 --> 00:55:39.000]   It'd be easier.
[00:55:39.000 --> 00:55:40.680]   Yeah, it'd be a lot easier, because they're all over the place.
[00:55:40.680 --> 00:55:43.000]   So if you've got a wireless for now, thanks for that.
[00:55:43.000 --> 00:55:46.280]   Yeah, that's the next step, is wireless, and I also need a phone interface, and I need
[00:55:46.280 --> 00:55:48.240]   a microphone for the guitars and the saxophones.
[00:55:48.240 --> 00:55:50.640]   Do you want to play a little bit for us a little bit?
[00:55:50.640 --> 00:55:53.600]   Yeah, I'll play just a little bit, you know, like, let's see what...
[00:55:53.600 --> 00:55:58.640]   Can you play that wild riff, the 8-melz-high on the 7-stream?
[00:55:58.640 --> 00:56:01.280]   Yeah, I can do that, but I'll tell you what...
[00:56:01.280 --> 00:56:02.800]   You weren't here, John, when I was saying that...
[00:56:02.800 --> 00:56:05.040]   Hold your mic up to the guitar.
[00:56:05.040 --> 00:56:06.640]   Yeah, we got to have a mic on the...
[00:56:06.640 --> 00:56:12.480]   Give me the little red mic, and I'll be your mic stand.
[00:56:12.480 --> 00:56:18.880]   That sounds beautiful.
[00:56:18.880 --> 00:56:23.520]   That really should be... I should put my leg up here, because it's hard in this position.
[00:56:23.520 --> 00:56:26.520]   I was telling you weren't here, John, but I was saying that the last time I saw Roger
[00:56:26.520 --> 00:56:30.520]   McGwin was 1975, with a rolling thunder review with Bob Dylan, Joe Beaz, and Mick
[00:56:30.520 --> 00:56:42.360]   Ronson, who played 8-melz-high, and I was, in fact, 8-melz-high.
[00:56:42.360 --> 00:56:50.880]   I think I saw God that night actually.
[00:56:50.880 --> 00:57:00.880]   [Music]
[00:57:00.880 --> 00:57:10.880]   [Music]
[00:57:10.880 --> 00:57:20.880]   [Music]
[00:57:20.880 --> 00:57:35.880]   Yeah, Roger McGwin.
[00:57:35.880 --> 00:57:38.880]   I should ask, is that podcast safe?
[00:57:38.880 --> 00:57:40.880]   Yeah, that was cool.
[00:57:40.880 --> 00:57:42.880]   You own that, and you give me the rights to...
[00:57:42.880 --> 00:57:44.880]   Yeah, you got the rights.
[00:57:44.880 --> 00:57:46.880]   [Applause]
[00:57:46.880 --> 00:57:48.880]   Hey, thank you Ben Williamson and Apple.
[00:57:48.880 --> 00:57:55.880]   We really thank Apple stores for allowing us to use their facility for our very first
[00:57:55.880 --> 00:57:57.880]   GWT recorded in front of a live audience.
[00:57:57.880 --> 00:57:59.880]   We thank all of you for being here.
[00:57:59.880 --> 00:58:00.880]   This is really great.
[00:58:00.880 --> 00:58:05.600]   Now, we just gave away an iPod, and we also thanks to Apple, but we also gave away a bunch
[00:58:05.600 --> 00:58:08.880]   of these GWT hoodies.
[00:58:08.880 --> 00:58:12.880]   And I'll be honest, Ben called me and said, "Well, your sweatshirts have arrived."
[00:58:12.880 --> 00:58:13.880]   I said, "What?
