
[00:00:00.000 --> 00:00:02.640]   (whistling)
[00:26:48.860 --> 00:26:49.980]   So they are women.
[00:26:49.980 --> 00:26:51.980]   - I think what you probably also see is that
[00:26:51.980 --> 00:26:54.060]   if, and I think this is what the porn industry's worried about,
[00:26:54.060 --> 00:26:56.060]   is that if you really were able to effectively get
[00:26:56.060 --> 00:27:01.100]   not all of it, but 90, 95% of the sites into XX,
[00:27:01.100 --> 00:27:03.620]   there would be ISPs whose entire business model
[00:27:03.620 --> 00:27:06.060]   was based on, we block it at the server.
[00:27:06.060 --> 00:27:06.900]   - Right.
[00:27:06.900 --> 00:27:07.740]   - You know, we-- - You don't have to worry
[00:27:07.740 --> 00:27:08.580]   about it at home.
[00:27:08.580 --> 00:27:09.420]   - Great.
[00:27:09.420 --> 00:27:10.580]   I won't be buying it from them.
[00:27:10.580 --> 00:27:11.420]   (laughing)
[00:27:11.420 --> 00:27:13.060]   - I'm people who get their access.
[00:27:13.060 --> 00:27:14.580]   - I wouldn't bother you.
[00:27:14.580 --> 00:27:15.420]   - Well, yeah, I don't have any--
[00:27:15.420 --> 00:27:17.340]   - Yeah, they could probably filter.
[00:27:17.340 --> 00:27:18.820]   - And you still gotta get a broadcast
[00:27:18.820 --> 00:27:19.660]   that's only a little bit of a chill--
[00:27:19.660 --> 00:27:20.500]   - I've used to be a little bit of a chilli--
[00:27:20.500 --> 00:27:21.820]   - That is, any prior--
[00:27:21.820 --> 00:27:24.780]   - The house of Stevie and-- - No, but you Patrick,
[00:27:24.780 --> 00:27:26.380]   even thanks to that.
[00:27:26.380 --> 00:27:27.380]   - For some reason.
[00:27:27.380 --> 00:27:29.500]   (laughing)
[00:27:29.500 --> 00:27:31.380]   - Whether any of us would or not,
[00:27:31.380 --> 00:27:34.700]   there's a lot of, you know, if I had kids at home
[00:27:34.700 --> 00:27:37.660]   that are, you know, I would definitely--
[00:27:37.660 --> 00:27:39.300]   - No, I don't know.
[00:27:39.300 --> 00:27:40.140]   - I don't know.
[00:27:40.140 --> 00:27:43.580]   The last time I checked, any 13 year old
[00:27:43.580 --> 00:27:46.380]   and the rabid throws of all those 13 year olds.
[00:27:46.380 --> 00:27:47.740]   - Well, who happened to be confronted
[00:27:47.740 --> 00:27:49.540]   with something that they didn't ask a lot of--
[00:27:49.540 --> 00:27:50.380]   - Well, great.
[00:27:50.380 --> 00:27:51.380]   Did all we gotta do is shut down email,
[00:27:51.380 --> 00:27:53.100]   'cause think of all the crap that comes over email.
[00:27:53.100 --> 00:27:54.740]   - Not on my, well, not on yours.
[00:27:54.740 --> 00:27:55.740]   - I don't get spam.
[00:27:55.740 --> 00:27:56.820]   (laughing)
[00:27:56.820 --> 00:27:58.780]   - The party just being gonna make the same amount of money
[00:27:58.780 --> 00:28:00.860]   the same supply and demand is gonna be there
[00:28:00.860 --> 00:28:01.860]   is not gonna change.
[00:28:01.860 --> 00:28:04.140]   - I'm not even saying that, but I'm saying it's like,
[00:28:04.140 --> 00:28:05.900]   okay, that would be one said,
[00:28:05.900 --> 00:28:06.940]   if there's a child at home,
[00:28:06.940 --> 00:28:08.620]   if they're forcing into a triple X domain
[00:28:08.620 --> 00:28:11.300]   and you can filter that out, that's okay.
[00:28:11.300 --> 00:28:14.980]   So that's, okay, then you have to basically push everybody else
[00:28:14.980 --> 00:28:17.540]   on the planet off of the dot coms and the dot nets.
[00:28:17.540 --> 00:28:19.140]   And assuming if you can figure out a legal way
[00:28:19.140 --> 00:28:19.980]   to do that without--
[00:28:19.980 --> 00:28:20.820]   - Yeah, I was not even--
[00:28:20.820 --> 00:28:23.140]   - I'm not gonna get back and forth this spring forward.
[00:28:23.140 --> 00:28:23.980]   - No, this is the next thing.
[00:28:23.980 --> 00:28:24.820]   - And the next thing is to figure out
[00:28:24.820 --> 00:28:26.340]   how to clean out all the email spam.
[00:28:26.340 --> 00:28:27.780]   And then the next thing we gotta do--
[00:28:27.780 --> 00:28:28.620]   - I'm not saying it's gonna be easy.
[00:28:28.620 --> 00:28:30.020]   - Is we go after the double on Tondras.
[00:28:30.020 --> 00:28:32.100]   And the next thing we do is we go over cable television
[00:28:32.100 --> 00:28:32.940]   broadcast television.
[00:28:32.940 --> 00:28:33.780]   - On television.
[00:28:33.780 --> 00:28:34.700]   - Well, am I not?
[00:28:34.700 --> 00:28:36.540]   At what point, Emia, what point is it?
[00:28:36.540 --> 00:28:38.220]   Softcore porn is a hardcore porn?
[00:28:38.220 --> 00:28:40.180]   Is it all Korean sexual context?
[00:28:40.180 --> 00:28:41.020]   - So you just think should be,
[00:28:41.020 --> 00:28:41.860]   everything should be pulled.
[00:28:41.860 --> 00:28:43.380]   - I think we should go back to 1950.
[00:28:43.380 --> 00:28:44.620]   Oh yeah, that's me.
[00:28:44.620 --> 00:28:46.540]   - They gotta take David, I'm gonna lose me.
[00:28:46.540 --> 00:28:48.180]   - But if you're watching cable television after--
[00:28:48.180 --> 00:28:50.180]   - I'm talking cable television after--
[00:28:50.180 --> 00:28:51.180]   - Hey, we're not talking about double on Tondras.
[00:28:51.180 --> 00:28:53.180]   We're talking about triple X websites
[00:28:53.180 --> 00:28:55.460]   and maybe pushing these people over there over time.
[00:28:55.460 --> 00:28:57.260]   - But no, they're not gonna rush over there.
[00:28:57.260 --> 00:28:58.100]   - But I think it would be--
[00:28:58.100 --> 00:28:59.660]   - And they'd be crazy if they did.
[00:28:59.660 --> 00:29:00.860]   - Yeah, just, I don't know.
[00:29:00.860 --> 00:29:02.580]   Is it a nice idea, sure.
[00:29:02.580 --> 00:29:03.820]   Should we have a triple X domain?
[00:29:03.820 --> 00:29:04.660]   Absolutely.
[00:29:04.660 --> 00:29:08.060]   Is anybody gonna give up their large profitable business
[00:29:08.060 --> 00:29:09.780]   on a dot-com domain to get forced in the--
[00:29:09.780 --> 00:29:11.580]   - Hey, you know what to start, that's the way I see it.
[00:29:11.580 --> 00:29:14.180]   It's better than sitting on your ass doing nothing.
[00:29:14.180 --> 00:29:16.180]   Which is essentially what's been going on.
[00:29:17.500 --> 00:29:18.340]   - What?
[00:29:18.340 --> 00:29:19.180]   - What is that?
[00:29:19.180 --> 00:29:20.660]   - That's your better credit, the other state.
[00:29:20.660 --> 00:29:21.940]   - It's in the can.
[00:29:21.940 --> 00:29:24.620]   - Ah, whatever.
[00:29:24.620 --> 00:29:25.980]   - We're talking about PlayStation 3.
[00:29:25.980 --> 00:29:27.260]   - Yeah.
[00:29:27.260 --> 00:29:29.380]   - No PlayStation 3, until at least,
[00:29:29.380 --> 00:29:31.260]   until at least November.
[00:29:31.260 --> 00:29:33.860]   - But when it comes, it's gonna come with a 60 gig hard drive.
[00:29:33.860 --> 00:29:34.700]   - So when it comes--
[00:29:34.700 --> 00:29:36.820]   - Xbox, everyone says it's gonna be,
[00:29:36.820 --> 00:29:37.940]   a lot of people say it's supposed to,
[00:29:37.940 --> 00:29:39.340]   it's gonna be better than PlayStation.
[00:29:39.340 --> 00:29:41.140]   I mean, then Xbox, it's gonna outsell Xbox.
[00:29:41.140 --> 00:29:42.620]   Xbox is getting one hell of a headstock.
[00:29:42.620 --> 00:29:44.420]   - Three letters, fair.
[00:29:44.420 --> 00:29:46.900]   - And a lot of people say the Xbox is really well designed
[00:29:46.900 --> 00:29:48.220]   and then, you know--
[00:29:48.220 --> 00:29:50.380]   - Nobody seemed to actually program games for it
[00:29:50.380 --> 00:29:51.220]   as the room.
[00:29:51.220 --> 00:29:52.060]   - I like the Xbox.
[00:29:52.060 --> 00:29:52.900]   - For the PS3 or the--
[00:29:52.900 --> 00:29:56.460]   - So the story is they're holding off on the release
[00:29:56.460 --> 00:29:59.220]   because they're not ready with Blu-ray yet.
[00:29:59.220 --> 00:30:00.060]   - It's that way.
[00:30:00.060 --> 00:30:01.060]   - That's not the story I heard.
[00:30:01.060 --> 00:30:02.820]   - I heard, I heard.
[00:30:02.820 --> 00:30:04.260]   - I hear that they're dealing with--
[00:30:04.260 --> 00:30:05.820]   - The Blu-ray is the lack of,
[00:30:05.820 --> 00:30:09.020]   the Blu-ray issues are convenient smoke screen
[00:30:09.020 --> 00:30:11.180]   for the incredible problems people are having.
[00:30:11.180 --> 00:30:13.020]   Writing for the cell processor.
[00:30:13.020 --> 00:30:14.500]   That Sony learned absolutely nothing
[00:30:14.500 --> 00:30:16.940]   about the programming debacle for the PS2
[00:30:16.940 --> 00:30:18.380]   and they did the same exact things
[00:30:18.380 --> 00:30:20.220]   that are developer based with the PS3.
[00:30:20.220 --> 00:30:23.940]   - I'm not flabbergasted by any means.
[00:30:23.940 --> 00:30:24.780]   - I don't know, I mean--
[00:30:24.780 --> 00:30:27.540]   - But there's also rumors that they're trying to push it back
[00:30:27.540 --> 00:30:31.940]   until they can kind of reduce the amount of cost per unit
[00:30:31.940 --> 00:30:34.420]   to an acceptable level so that people can--
[00:30:34.420 --> 00:30:35.420]   - Well, it's interesting, they're saying
[00:30:35.420 --> 00:30:38.220]   the Blu-ray drives are gonna be out what June or July,
[00:30:38.220 --> 00:30:39.660]   Blu-ray drives for computers.
[00:30:39.660 --> 00:30:40.500]   - Is this later than the cheapest?
[00:30:40.500 --> 00:30:41.500]   - It's supposed to be the first one I forget.
[00:30:41.500 --> 00:30:42.900]   - I hear that Sony's gonna be releasing
[00:30:42.900 --> 00:30:44.900]   the same as HD DVD.
[00:30:44.900 --> 00:30:46.340]   - We're talking about consumer electronics,
[00:30:46.340 --> 00:30:47.900]   standalone players, I'm talking about
[00:30:47.900 --> 00:30:49.340]   in like, brightable, burnable--
[00:30:49.340 --> 00:30:51.340]   - The meetings.
[00:30:51.340 --> 00:30:53.780]   - The rate this are gonna be available.
[00:30:53.780 --> 00:30:55.500]   Not too far, what is it, hold on.
[00:30:55.500 --> 00:30:58.060]   - I think I have this story so much.
[00:30:58.060 --> 00:30:59.420]   - Dret, where is it, July?
[00:30:59.420 --> 00:31:02.620]   $1,000 for the next generation DVD drives for computers
[00:31:02.620 --> 00:31:04.620]   for be about $1,000.
[00:31:04.620 --> 00:31:07.980]   The Sony Vio PC with a Blu-ray drive for about 2,300.
[00:31:07.980 --> 00:31:10.820]   So, and that's pretty cool actually,
[00:31:10.820 --> 00:31:12.060]   they'll have 25 gigabytes.
[00:31:12.060 --> 00:31:13.660]   - So, what do we think, does anybody, who wanted to,
[00:31:13.660 --> 00:31:15.620]   let's take a poll, how many people think Blu-ray
[00:31:15.620 --> 00:31:17.500]   is gonna be HD DVD?
[00:31:17.500 --> 00:31:18.380]   - I have no idea.
[00:31:18.380 --> 00:31:20.180]   I think they're gonna be battling still a bit longer.
[00:31:20.180 --> 00:31:22.980]   There's movie titles coming out from Sony for Blu-ray
[00:31:22.980 --> 00:31:24.700]   and there are movie titles coming out by,
[00:31:24.700 --> 00:31:25.700]   who's the company that's having HD DVD?
[00:31:25.700 --> 00:31:28.980]   - Warner Brothers delayed, is delayed indefinitely,
[00:31:28.980 --> 00:31:30.220]   it's launched from the HD.
[00:31:30.220 --> 00:31:33.180]   Two-sheba's gonna deliver HD DVD consumer electronics
[00:31:33.180 --> 00:31:34.660]   players with no movies in the channel.
[00:31:34.660 --> 00:31:37.340]   - 'Cause I hear rumors that there will be movies on Blu-ray,
[00:31:37.340 --> 00:31:38.660]   maybe there's common knowledge.
[00:31:38.660 --> 00:31:41.460]   - I mean, starting in May, they're releasing titles.
[00:31:41.460 --> 00:31:44.540]   - So, that's what, May 23rd is the launch date for Blu-ray
[00:31:44.540 --> 00:31:46.420]   and they've got like eight titles,
[00:31:46.420 --> 00:31:49.260]   most of them are Sony titles coming out on Blu-ray.
[00:31:49.260 --> 00:31:51.820]   They were supposed to, I guess to the end of March,
[00:31:51.820 --> 00:31:54.260]   was supposed to be the launch date for HD DVD
[00:31:54.260 --> 00:31:55.580]   consumer electronics players.
[00:31:55.580 --> 00:31:59.580]   Warner Brothers is pulled out indefinitely on the launch date.
[00:31:59.580 --> 00:32:01.940]   The Warner's was supposed to have the disc for HD DVD
[00:32:01.940 --> 00:32:04.420]   and they have been delayed indefinitely.
[00:32:04.420 --> 00:32:06.700]   At least that was the word last week.
[00:32:06.700 --> 00:32:09.420]   - I still think all of this is gonna build up to the fact
[00:32:09.420 --> 00:32:11.180]   that by the time they, one of them wins,
[00:32:11.180 --> 00:32:13.380]   all we're gonna be doing is downloading them anyway.
[00:32:13.380 --> 00:32:16.460]   - You know, it's, well, it's pretty big files.
[00:32:16.460 --> 00:32:18.820]   - Yeah, and they're big files in there and we--
[00:32:18.820 --> 00:32:20.500]   - And USA with our crappy bandwidth,
[00:32:20.500 --> 00:32:22.100]   I don't see that happening anytime soon.
[00:32:22.100 --> 00:32:24.140]   - Well, but you have Verizon starting to experiment
[00:32:24.140 --> 00:32:25.900]   with small towns doing fiber where you're getting
[00:32:25.900 --> 00:32:27.340]   a thousand times the speed of DSL.
[00:32:27.340 --> 00:32:28.980]   - Yeah, they do a lot of experimenting
[00:32:28.980 --> 00:32:30.300]   and nothing comes of it.
[00:32:30.300 --> 00:32:32.980]   - Well, they have, I think they have a vested interest
[00:32:32.980 --> 00:32:34.740]   in having those high speed lines go
[00:32:34.740 --> 00:32:36.660]   because what they wanna do is deliver those movies.
[00:32:36.660 --> 00:32:39.180]   They wanna bypass the HD market.
[00:32:39.180 --> 00:32:40.420]   They wanna do all those things
[00:32:40.420 --> 00:32:42.340]   and there's a lot of money there for them to do it
[00:32:42.340 --> 00:32:44.700]   and they're trying to find a way to get beyond just
[00:32:44.700 --> 00:32:45.740]   you paying for the connection.
[00:32:45.740 --> 00:32:47.140]   They gotta have you start buying stuff
[00:32:47.140 --> 00:32:48.540]   or they're not gonna survive.
[00:32:48.540 --> 00:32:50.580]   And so, and the way to get you start buying it,
[00:32:50.580 --> 00:32:52.740]   if you look at Seoul, Korea, you know, I mean,
[00:32:52.740 --> 00:32:55.780]   you know, South Korea, you're seeing people buy out,
[00:32:55.780 --> 00:32:57.660]   spend a lot of money on a lot of stuff online
[00:32:57.660 --> 00:32:59.520]   because it is screaming fast.
[00:32:59.520 --> 00:33:02.540]   - Well, Kuduragi, the guy,
[00:33:02.540 --> 00:33:05.420]   the big guy in charge of PS3 or one of them,
[00:33:05.420 --> 00:33:07.700]   he specifically said that it's being delayed,
[00:33:07.700 --> 00:33:09.180]   pushed back because of delays in developing
[00:33:09.180 --> 00:33:11.100]   copyright protection technology for Blu-ray,
[00:33:11.100 --> 00:33:13.540]   which has an additional layer of copy protection
[00:33:13.540 --> 00:33:15.780]   and that and other technical problems
[00:33:15.780 --> 00:33:16.620]   for the reason.
[00:33:16.620 --> 00:33:18.980]   - Well, actually, if you think about the timeline here,
[00:33:18.980 --> 00:33:20.500]   Patrick's argument makes more sense
[00:33:20.500 --> 00:33:23.460]   because if they're gonna bring out the DVD consumer player,
[00:33:23.460 --> 00:33:26.580]   they should have these issues resolved already.
[00:33:26.580 --> 00:33:27.860]   They're not gonna be resolved, I mean,
[00:33:27.860 --> 00:33:29.660]   if they're not resolved by the time they roll out
[00:33:29.660 --> 00:33:31.780]   the commercial product, they're not gonna be further
[00:33:31.780 --> 00:33:33.460]   resolved in November.
[00:33:33.460 --> 00:33:34.300]   - I don't know.
[00:33:34.300 --> 00:33:35.140]   - I think there's something--
[00:33:35.140 --> 00:33:37.500]   - I think those things are coming.
[00:33:37.500 --> 00:33:41.780]   - I've heard this through a second person,
[00:33:41.780 --> 00:33:43.540]   but when the original PlayStation launched,
[00:33:43.540 --> 00:33:46.020]   I guess the original unit cost for those things
[00:33:46.020 --> 00:33:50.340]   was close to $900 each unit.
[00:33:50.340 --> 00:33:52.020]   That was, they were suddenly, I think,
[00:33:52.020 --> 00:33:54.300]   at the time retail 300, so I mean, they were taking--
[00:33:54.300 --> 00:33:56.780]   - Well, this New York Times article says and thinks
[00:33:56.780 --> 00:33:59.300]   that Sony might be buying time to bring down
[00:33:59.300 --> 00:34:02.340]   the production of half of these components
[00:34:02.340 --> 00:34:05.260]   and that they, analysts say Sony would probably try
[00:34:05.260 --> 00:34:08.460]   to sell the PS3 for about 500 bucks,
[00:34:08.460 --> 00:34:10.380]   which is, and then when the PS2 came out,
[00:34:10.380 --> 00:34:11.220]   it was $300.
[00:34:11.220 --> 00:34:12.060]   - And they're also--
[00:34:12.060 --> 00:34:14.420]   - Which is still what, $100 more than the Xbox 360?
[00:34:14.420 --> 00:34:15.540]   - They're also the PIM's on IBM
[00:34:15.540 --> 00:34:18.620]   on delivering enough processors.
[00:34:18.620 --> 00:34:20.420]   - A large complicated processor.
[00:34:20.420 --> 00:34:21.260]   - Yes.
[00:34:21.260 --> 00:34:24.660]   And who else, I think, costs of the Rambus, right?
[00:34:24.660 --> 00:34:27.260]   They don't build that in-house, they buy it
[00:34:27.260 --> 00:34:29.700]   from a third-party source.
[00:34:29.700 --> 00:34:31.300]   - This is a strange story in the register
[00:34:31.300 --> 00:34:35.060]   about HD DVD coming out with a region-free version
[00:34:35.060 --> 00:34:35.900]   in Europe.
[00:34:35.900 --> 00:34:37.180]   Did anybody see that?
[00:34:37.180 --> 00:34:39.540]   - Yes, because all the movies that you do want to watch
[00:34:39.540 --> 00:34:41.140]   and don't come from there.
[00:34:41.140 --> 00:34:44.380]   (laughing)
[00:34:44.380 --> 00:34:47.100]   - That's not--
[00:34:47.100 --> 00:34:48.580]   - Oh, I know, something's gonna send me a--
[00:34:48.580 --> 00:34:49.420]   - I don't know, I don't know.
[00:34:49.420 --> 00:34:50.260]   - I don't wanna send you anything.
[00:34:50.260 --> 00:34:53.140]   - So this PS3's now gonna include a 60 gigabyte drive,
[00:34:53.140 --> 00:34:55.180]   which apparently they announced last week.
[00:34:55.180 --> 00:34:56.020]   - Woo-hoo!
[00:34:56.020 --> 00:34:57.660]   - Should be plenty.
[00:34:57.660 --> 00:34:58.900]   - Yeah, well, good.
[00:34:58.900 --> 00:35:00.060]   - So we can play gradually.
[00:35:00.060 --> 00:35:01.060]   - I think Linux as well, right?
[00:35:01.060 --> 00:35:04.220]   - Yeah, Linux operating software and the ability
[00:35:04.220 --> 00:35:06.620]   to handle high-speed internet, well, duh, of course.
[00:35:06.620 --> 00:35:08.420]   - Yeah, it's supposed to also be a broad-side router.
[00:35:08.420 --> 00:35:09.260]   - I'm just reading the thing, of course.
[00:35:09.260 --> 00:35:10.100]   - Hold on, hold on.
[00:35:10.100 --> 00:35:11.300]   It's not Warner Brothers has delayed,
[00:35:11.300 --> 00:35:13.500]   and so they've only delayed the HD DVD releases
[00:35:13.500 --> 00:35:14.740]   to mid to April.
[00:35:14.740 --> 00:35:18.380]   Three films in HD DVD format, April 18,
[00:35:18.380 --> 00:35:20.540]   and additional 17 that are following weeks
[00:35:20.540 --> 00:35:22.500]   instead of releasing 50.
[00:35:22.500 --> 00:35:23.340]   - Why are the HD--
[00:35:23.340 --> 00:35:25.020]   - One of the first three.
[00:35:25.020 --> 00:35:25.860]   - Doesn't say.
[00:35:25.860 --> 00:35:28.940]   - Why are the HD DVD players less expensive,
[00:35:28.940 --> 00:35:29.940]   it seems like when they come out,
[00:35:29.940 --> 00:35:31.460]   they're gonna be retailing for less money
[00:35:31.460 --> 00:35:32.300]   than the Blu-ray.
[00:35:32.300 --> 00:35:33.340]   - They're gonna lose money, that's why.
[00:35:33.340 --> 00:35:34.180]   - They're just a marketing scheme.
[00:35:34.180 --> 00:35:35.020]   - Oh, really?
[00:35:35.020 --> 00:35:37.900]   And then of course, if this PS3 is out,
[00:35:37.900 --> 00:35:39.820]   that Blu-ray player that it has in it
[00:35:39.820 --> 00:35:41.860]   is only less than, it's $500 then,
[00:35:41.860 --> 00:35:43.620]   and you get the rest of the computer
[00:35:43.620 --> 00:35:45.260]   that comes in the PS3.
[00:35:45.260 --> 00:35:46.100]   - Right?
[00:35:46.100 --> 00:35:47.540]   - I guess that's what their Sony's hedging their bet on.
[00:35:47.540 --> 00:35:48.980]   - I mean, if there were a lot of movie titles
[00:35:48.980 --> 00:35:49.980]   and I don't care about playing games,
[00:35:49.980 --> 00:35:52.660]   I'd still buy the PS3 if there were a lot of Blu-ray titles
[00:35:52.660 --> 00:35:53.660]   and I could watch them on that thing.
[00:35:53.660 --> 00:35:56.500]   I'd buy it, independent of it being a video game player.
[00:35:56.500 --> 00:35:59.540]   - Well, it also depends on how much they street for.
[00:35:59.540 --> 00:36:02.540]   It's street for $600, you're still gonna be so hot to buy one.
[00:36:02.540 --> 00:36:04.660]   - Yeah, because if I wanted a Blu-ray player
[00:36:04.660 --> 00:36:06.140]   is he halfway interested in the Blu-ray.
[00:36:06.140 --> 00:36:07.460]   - They'll be on the second--
[00:36:07.460 --> 00:36:08.300]   - They'll be on the second--
[00:36:08.300 --> 00:36:10.220]   - One year and the Blu-ray players will be $399.
[00:36:10.220 --> 00:36:12.140]   - They'll be $399 by Christmas.
[00:36:12.140 --> 00:36:13.500]   - Yeah, that's probably, they're maybe--
[00:36:13.500 --> 00:36:14.860]   - There's gonna be more, there's gonna be more--
[00:36:14.860 --> 00:36:16.580]   - Okay, you're right, I'm not gonna buy it
[00:36:16.580 --> 00:36:17.420]   on the first time soon.
[00:36:17.420 --> 00:36:18.260]   - By Black Friday.
[00:36:18.260 --> 00:36:19.100]   - I'll be excited to have Blu-ray players.
[00:36:19.100 --> 00:36:21.220]   - Well, because when DVDs came out,
[00:36:21.220 --> 00:36:24.620]   how much cooler were DVDs than renting a DVD movie
[00:36:24.620 --> 00:36:25.460]   than a VHS?
[00:36:25.460 --> 00:36:26.380]   - That's because you're looking
[00:36:26.380 --> 00:36:27.780]   at a part of the country where they actually had
[00:36:27.780 --> 00:36:28.620]   these for rent. - And I think this is
[00:36:28.620 --> 00:36:31.620]   gonna be bigger, I don't care if it's HD DVD or Blu-ray,
[00:36:31.620 --> 00:36:32.980]   it's gonna be a bigger difference
[00:36:32.980 --> 00:36:34.420]   watching these high-definition--
[00:36:34.420 --> 00:36:35.780]   - Do you have an HD TV that was--
[00:36:35.780 --> 00:36:36.620]   - Do you have an HD TV?
[00:36:36.620 --> 00:36:37.540]   - Do you have an HD TV?
[00:36:37.540 --> 00:36:38.420]   - Depends on more story.
[00:36:38.420 --> 00:36:40.860]   - Right now, I don't, but I'm saying like, yeah,
[00:36:40.860 --> 00:36:42.780]   it takes more components to do it,
[00:36:42.780 --> 00:36:44.780]   but I think the difference in watching--
[00:36:44.780 --> 00:36:47.860]   - Honestly, I think most of this country
[00:36:47.860 --> 00:36:49.620]   is probably gonna sit on their ass
[00:36:49.620 --> 00:36:50.620]   when that stuff comes out,
[00:36:50.620 --> 00:36:51.860]   'cause people don't wanna, I mean,
[00:36:51.860 --> 00:36:55.300]   that's a large chunk of change to upgrade
[00:36:55.300 --> 00:36:56.700]   your home theater, especially if you know--
[00:36:56.700 --> 00:36:58.260]   - We got a couple thousand for a TV,
[00:36:58.260 --> 00:37:01.300]   we got 500 to a thousand for an HD DVD.
[00:37:01.300 --> 00:37:02.820]   - I mean, it's just expensive, I mean, you know,
[00:37:02.820 --> 00:37:04.460]   I think people would rather spend their money
[00:37:04.460 --> 00:37:06.940]   on things like that count, like electricity--
[00:37:06.940 --> 00:37:07.940]   - God, you really get to spend--
[00:37:07.940 --> 00:37:09.140]   - How are you doing? - To food, to food,
[00:37:09.140 --> 00:37:10.500]   to boot like these movies.
[00:37:10.500 --> 00:37:11.700]   - Car, with enough guys--
[00:37:11.700 --> 00:37:12.780]   - Mortgage payments.
[00:37:12.780 --> 00:37:14.820]   - Mortgage payments, alimony, you know.
[00:37:14.820 --> 00:37:16.660]   - Oh, it's amazing, they're selling a huge number of--
[00:37:16.660 --> 00:37:17.500]   - Alimony?
[00:37:17.500 --> 00:37:18.340]   - Huge number of--
[00:37:18.340 --> 00:37:19.180]   - Alimony.
[00:37:19.180 --> 00:37:20.740]   - Of HD televisions are being sold.
[00:37:20.740 --> 00:37:23.020]   - I think anybody wants to spend their money on alimony.
[00:37:23.020 --> 00:37:25.220]   - No one wants to, but the good source is you.
[00:37:25.220 --> 00:37:27.460]   - Roger's still dealing with all those child support payments.
[00:37:27.460 --> 00:37:29.380]   - Ah, so long ago.
[00:37:29.380 --> 00:37:31.740]   (laughing)
[00:37:31.740 --> 00:37:35.940]   - In depressing news, the team that built Katamari Damasi,
[00:37:35.940 --> 00:37:40.940]   the heart Katamari, and my, my, Katamari has dissolved.
[00:37:40.940 --> 00:37:42.060]   - You know, I never--
[00:37:42.060 --> 00:37:43.660]   - There will be no sequels to the games.
[00:37:43.660 --> 00:37:45.980]   - I never realized this until I went to Chicago
[00:37:45.980 --> 00:37:48.740]   to do a thing for a game spot at the,
[00:37:48.740 --> 00:37:52.980]   you know, it was at the Museum of Science and Industry,
[00:37:52.980 --> 00:37:55.060]   they had a little traveling video game exhibit,
[00:37:55.060 --> 00:37:57.820]   that Katamari Damasi was actually created
[00:37:57.820 --> 00:37:59.260]   as kind of a college project.
[00:37:59.260 --> 00:38:00.820]   It wasn't, you know, initially designed
[00:38:00.820 --> 00:38:04.060]   as a commercial product, but it became such a hit
[00:38:04.060 --> 00:38:07.180]   that they published it as such and made a couple of sequels.
[00:38:07.180 --> 00:38:08.700]   - That's how Apple started, you know.
[00:38:08.700 --> 00:38:11.500]   - Yeah, it was just a couple of guys screwing around.
[00:38:11.500 --> 00:38:13.660]   One guy screwing on another guy, going to other people.
[00:38:13.660 --> 00:38:15.180]   - Hey, you want to buy this, right?
[00:38:15.180 --> 00:38:16.620]   - That's how Microsoft started.
[00:38:16.620 --> 00:38:18.880]   (laughing)
[00:38:18.880 --> 00:38:23.180]   - That's how the podcast started.
[00:38:23.180 --> 00:38:25.100]   - Okay. (laughing)
[00:38:25.100 --> 00:38:27.460]   Yahoo launches local news.
[00:38:27.460 --> 00:38:28.300]   - What?
[00:38:28.300 --> 00:38:29.620]   - Yep, cool.
[00:38:29.620 --> 00:38:31.540]   - Where are they gonna get their feeds from?
[00:38:31.540 --> 00:38:33.700]   - That's a really good question.
[00:38:33.700 --> 00:38:34.540]   - Where'd that start?
[00:38:34.540 --> 00:38:35.340]   I didn't see that story.
[00:38:35.340 --> 00:38:36.180]   - That's good.
[00:38:36.180 --> 00:38:37.100]   - Ooh, I wonder if the Guardian.
[00:38:37.100 --> 00:38:39.020]   Location specific URLs.
[00:38:39.020 --> 00:38:41.180]   - So you could go anywhere
[00:38:41.180 --> 00:38:42.620]   and just look at the local news group.
[00:38:42.620 --> 00:38:43.860]   - Unfortunately, for some reason,
[00:38:43.860 --> 00:38:46.020]   I'm getting Madison area news.
[00:38:46.020 --> 00:38:46.860]   Let me change my location.
[00:38:46.860 --> 00:38:48.380]   - Madison, Wisconsin.
[00:38:48.380 --> 00:38:50.660]   - Apparently, hold on, I'm changing my location now.
[00:38:50.660 --> 00:38:51.500]   - Where did you take us out?
[00:38:51.500 --> 00:38:53.220]   - I'm here with this little kid that quote unquote,
[00:38:53.220 --> 00:38:55.700]   hacked the news.google.com
[00:38:55.700 --> 00:38:59.100]   by figuring out how they tried to aggregate press releases
[00:38:59.100 --> 00:39:00.940]   and he created a press release that said,
[00:39:00.940 --> 00:39:02.860]   I'm the youngest employee hired by Google
[00:39:02.860 --> 00:39:04.420]   and he made it very official speak
[00:39:04.420 --> 00:39:05.780]   and made quotes by--
[00:39:05.780 --> 00:39:06.900]   - The official speak.
[00:39:06.900 --> 00:39:07.740]   - You know.
[00:39:07.740 --> 00:39:08.580]   - It's like new speech.
[00:39:08.580 --> 00:39:09.700]   - Then you gotta leave quotes from the CEO
[00:39:09.700 --> 00:39:10.860]   and the CTO and someone.
[00:39:10.860 --> 00:39:11.700]   - Right, it's all standard.
[00:39:11.700 --> 00:39:13.380]   - And all of a sudden it gets picked up by Google News
[00:39:13.380 --> 00:39:15.540]   as a press release and they start feeling stuff
