
[00:00:00.000 --> 00:00:02.000]   It's time for Twit.
[00:54:28.240 --> 00:54:29.240]   We're done.
[00:54:29.240 --> 00:54:30.240]   We're done.
[00:54:30.240 --> 00:54:31.240]   We're done.
[00:54:31.240 --> 00:54:32.240]   We're done.
[00:54:32.240 --> 00:54:33.240]   We're done.
[00:54:33.240 --> 00:54:34.240]   We're done.
[00:54:34.240 --> 00:54:35.240]   We're done.
[00:54:35.240 --> 00:54:36.240]   We're done.
[00:54:36.240 --> 00:54:37.240]   We're done.
[00:54:37.240 --> 00:54:38.240]   We're done.
[00:54:38.240 --> 00:54:39.240]   We're done.
[00:54:39.240 --> 00:54:40.240]   We're done.
[00:54:40.240 --> 00:54:41.240]   We're done.
[00:54:41.240 --> 00:54:42.240]   We're done.
[00:54:42.240 --> 00:54:43.240]   We're done.
[00:54:43.240 --> 00:54:44.240]   We're done.
[00:54:44.240 --> 00:54:45.240]   We're done.
[00:54:45.240 --> 00:54:46.240]   We're done.
[00:54:46.240 --> 00:54:47.240]   We're done.
[00:54:47.240 --> 00:54:48.240]   We're done.
[00:54:48.240 --> 00:54:49.240]   We're done.
[00:54:49.240 --> 00:54:50.240]   We're done.
[00:54:50.240 --> 00:54:51.240]   We're done.
[00:54:51.240 --> 00:54:52.240]   We're done.
[00:54:52.240 --> 00:54:53.240]   We're done.
[00:54:53.240 --> 00:54:54.240]   We're done.
[00:54:54.240 --> 00:54:55.240]   We're done.
[00:54:55.240 --> 00:54:56.240]   We're done.
[00:54:56.240 --> 00:54:57.240]   We're done.
[00:54:57.240 --> 00:54:58.240]   We're done.
[00:54:58.240 --> 00:54:59.240]   We're done.
[00:54:59.240 --> 00:55:00.240]   We're done.
[00:55:00.240 --> 00:55:01.240]   We're done.
[00:55:01.240 --> 00:55:02.240]   We're done.
[00:55:02.240 --> 00:55:03.240]   We're done.
[00:55:03.240 --> 00:55:04.240]   We're done.
[00:55:04.240 --> 00:55:05.240]   We're done.
[00:55:05.240 --> 00:55:06.240]   We're done.
[00:55:06.240 --> 00:55:07.240]   We're done.
[00:55:07.240 --> 00:55:08.240]   We're done.
[00:55:08.240 --> 00:55:09.240]   We're done.
[00:55:09.240 --> 00:55:10.240]   We're done.
[00:55:10.240 --> 00:55:11.240]   We're done.
[00:55:11.240 --> 00:55:12.240]   We're done.
[00:55:12.240 --> 00:55:13.240]   We're done.
[00:55:13.240 --> 00:55:14.240]   We're done.
[00:55:14.240 --> 00:55:15.240]   We're done.
[00:55:15.240 --> 00:55:16.240]   We're done.
[00:55:16.240 --> 00:55:17.240]   We're done.
[00:55:17.240 --> 00:55:18.240]   We're done.
[00:55:18.240 --> 00:55:19.240]   We're done.
[00:55:19.240 --> 00:55:20.240]   We're done.
[00:55:20.240 --> 00:55:21.240]   We're done.
[00:55:21.240 --> 00:55:22.240]   We're done.
[00:55:22.240 --> 00:55:23.240]   We're done.
[00:55:23.240 --> 00:55:24.240]   We're done.
[00:55:24.240 --> 00:55:25.240]   We're done.
[00:55:25.240 --> 00:55:26.240]   We're done.
[00:55:26.240 --> 00:55:27.240]   We're done.
[00:55:27.240 --> 00:55:28.240]   We're done.
[00:55:28.240 --> 00:55:29.240]   We're done.
[00:55:29.240 --> 00:55:30.240]   We're done.
[00:55:30.240 --> 00:55:31.240]   We're done.
[00:55:31.240 --> 00:55:32.240]   We're done.
[00:55:32.240 --> 00:55:33.240]   We're done.
[00:55:33.240 --> 00:55:34.240]   We're done.
[00:55:34.240 --> 00:55:35.240]   We're done.
[00:55:35.240 --> 00:55:36.240]   We're done.
[00:55:36.240 --> 00:55:37.240]   We're done.
[00:55:37.240 --> 00:55:38.240]   We're done.
[00:55:38.240 --> 00:55:39.240]   We're done.
[00:55:39.240 --> 00:55:40.240]   We're done.
[00:55:40.240 --> 00:55:41.240]   We're done.
[00:55:41.240 --> 00:55:42.240]   We're done.
[00:55:42.240 --> 00:55:43.240]   We're done.
[00:55:43.240 --> 00:55:44.240]   We're done.
[00:55:44.240 --> 00:55:45.240]   We're done.
[00:55:45.240 --> 00:55:46.240]   We're done.
[00:55:46.240 --> 00:55:47.240]   We're done.
[00:55:47.240 --> 00:55:48.240]   We're done.
[00:55:48.240 --> 00:55:49.240]   We're done.
[00:55:49.240 --> 00:55:50.240]   We're done.
[00:55:50.240 --> 00:55:51.240]   We're done.
[00:55:51.240 --> 00:55:52.240]   We're done.
[00:55:52.240 --> 00:55:53.240]   We're done.
[00:55:53.240 --> 00:55:54.240]   We're done.
[00:55:54.240 --> 00:55:55.240]   We're done.
[00:55:55.240 --> 00:55:56.240]   We're done.
[00:55:56.240 --> 00:55:57.240]   We're done.
[00:55:57.240 --> 00:55:58.240]   We're done.
[00:55:58.240 --> 00:55:59.240]   We're done.
[00:55:59.240 --> 00:56:00.240]   We're done.
[00:56:00.240 --> 00:56:01.240]   We're done.
[00:56:01.240 --> 00:56:02.240]   We're done.
[00:56:02.240 --> 00:56:03.240]   We're done.
[00:56:03.240 --> 00:56:04.240]   We're done.
[00:56:04.240 --> 00:56:05.240]   We're done.
[00:56:05.240 --> 00:56:06.240]   We're done.
[00:56:06.240 --> 00:56:07.240]   We're done.
[00:56:07.240 --> 00:56:08.240]   We're done.
[00:56:08.240 --> 00:56:09.240]   We're done.
[00:56:09.240 --> 00:56:10.240]   We're done.
[00:56:10.240 --> 00:56:11.240]   We're done.
[00:56:11.240 --> 00:56:12.240]   We're done.
[00:56:12.240 --> 00:56:13.240]   We're done.
[00:56:13.240 --> 00:56:14.240]   We're done.
[00:56:14.240 --> 00:56:15.240]   We're done.
[00:56:15.240 --> 00:56:16.240]   We're done.
[00:56:16.240 --> 00:56:17.240]   We're done.
[00:56:17.240 --> 00:56:18.240]   We're done.
[00:56:18.240 --> 00:56:19.240]   We're done.
[00:56:19.240 --> 00:56:20.240]   We're done.
[00:56:20.240 --> 00:56:21.240]   We're done.
[00:56:21.240 --> 00:56:22.240]   We're done.
[00:56:22.240 --> 00:56:23.240]   We're done.
[00:56:23.240 --> 00:56:24.240]   We're done.
[00:56:24.240 --> 00:56:25.240]   We're done.
[00:56:25.240 --> 00:56:26.240]   We're done.
[00:56:26.240 --> 00:56:27.240]   We're done.
[00:56:27.240 --> 00:56:28.240]   We're done.
[00:56:28.240 --> 00:56:29.240]   We're done.
[00:56:29.240 --> 00:56:30.240]   We're done.
[00:56:30.240 --> 00:56:31.240]   We're done.
[00:56:31.240 --> 00:56:32.240]   We're done.
[00:56:32.240 --> 00:56:33.240]   We're done.
[00:56:33.240 --> 00:56:34.240]   We're done.
[00:56:34.240 --> 00:56:35.240]   We're done.
[00:56:35.240 --> 00:56:36.240]   We're done.
[00:56:36.240 --> 00:56:37.240]   We're done.
[00:56:37.240 --> 00:56:38.240]   We're done.
[00:56:38.240 --> 00:56:39.240]   We're done.
[00:56:39.240 --> 00:56:40.240]   We're done.
[00:56:40.240 --> 00:56:41.240]   We're done.
[00:56:41.240 --> 00:56:42.240]   We're done.
[00:56:42.240 --> 00:56:43.240]   We're done.
[00:56:43.240 --> 00:56:44.240]   We're done.
[00:56:44.240 --> 00:56:45.240]   We're done.
[00:56:45.240 --> 00:56:46.240]   We're done.
[00:56:46.240 --> 00:56:47.240]   We're done.
[00:56:47.240 --> 00:56:48.240]   We're done.
[00:56:48.240 --> 00:56:49.240]   We're done.
[00:56:49.240 --> 00:56:50.240]   We're done.
[00:56:50.240 --> 00:56:51.240]   We're done.
[00:56:51.240 --> 00:56:52.240]   We're done.
[00:56:52.240 --> 00:56:53.240]   We're done.
[00:56:53.240 --> 00:56:54.240]   We're done.
[00:56:54.240 --> 00:56:55.240]   We're done.
[00:56:55.240 --> 00:56:56.240]   We're done.
[00:56:56.240 --> 00:56:57.240]   We're done.
[00:56:57.240 --> 00:56:58.240]   We're done.
[00:56:58.240 --> 00:56:59.240]   We're done.
[00:56:59.240 --> 00:57:00.240]   We're done.
[00:57:00.240 --> 00:57:01.240]   We're done.
[00:57:01.240 --> 00:57:02.240]   We're done.
[00:57:02.240 --> 00:57:03.240]   We're done.
[00:57:03.240 --> 00:57:04.240]   We're done.
[00:57:04.240 --> 00:57:05.240]   We're done.
[00:57:05.240 --> 00:57:06.240]   We're done.
[00:57:06.240 --> 00:57:07.240]   We're done.
[00:57:07.240 --> 00:57:08.240]   We're done.
[00:57:08.240 --> 00:57:09.240]   We're done.
[00:57:09.240 --> 00:57:10.240]   We're done.
[00:57:10.240 --> 00:57:11.240]   We're done.
[00:57:11.240 --> 00:57:12.240]   We're done.
[00:57:12.240 --> 00:57:13.240]   We're done.
[00:57:13.240 --> 00:57:14.240]   We're done.
[00:57:14.240 --> 00:57:15.240]   We're done.
[00:57:15.240 --> 00:57:16.240]   We're done.
[00:57:16.240 --> 00:57:17.240]   We're done.
[00:57:17.240 --> 00:57:18.240]   We're done.
[00:57:18.240 --> 00:57:19.240]   We're done.
[00:57:19.240 --> 00:57:20.240]   We're done.
[00:57:20.240 --> 00:57:21.240]   We're done.
[00:57:21.240 --> 00:57:22.240]   We're done.
[00:57:22.240 --> 00:57:23.240]   We're done.
[00:57:23.240 --> 00:57:24.240]   We're done.
[00:57:24.240 --> 00:57:25.240]   We're done.
[00:57:25.240 --> 00:57:26.240]   We're done.
[00:57:26.240 --> 00:57:27.240]   We're done.
[00:57:27.240 --> 00:57:28.240]   We're done.
[00:57:28.240 --> 00:57:29.240]   We're done.
[00:57:29.240 --> 00:57:30.240]   We're done.
[00:57:30.240 --> 00:57:31.240]   We're done.
[00:57:31.240 --> 00:57:32.240]   We're done.
[00:57:32.240 --> 00:57:33.240]   We're done.
[00:57:33.240 --> 00:57:34.240]   We're done.
[00:57:34.240 --> 00:57:35.240]   We're done.
[00:57:35.240 --> 00:57:36.240]   We're done.
[00:57:36.240 --> 00:57:37.240]   We're done.
[00:57:37.240 --> 00:57:38.240]   We're done.
[00:57:38.240 --> 00:57:39.240]   We're done.
[00:57:39.240 --> 00:57:40.240]   We're done.
[00:57:40.240 --> 00:57:41.240]   We're done.
[00:57:41.240 --> 00:57:42.240]   We're done.
[00:57:42.240 --> 00:57:43.240]   We're done.
[00:57:43.240 --> 00:57:44.240]   We're done.
[00:57:44.240 --> 00:57:45.240]   We're done.
[00:57:45.240 --> 00:57:46.240]   We're done.
[00:57:46.240 --> 00:57:47.240]   We're done.
[00:57:47.240 --> 00:57:48.240]   We're done.
[00:57:48.240 --> 00:57:49.240]   We're done.
[00:57:49.240 --> 00:57:50.240]   We're done.
[00:57:50.240 --> 00:57:51.240]   We're done.
[00:57:51.240 --> 00:57:52.240]   We're done.
[00:57:52.240 --> 00:57:53.240]   We're done.
[00:57:53.240 --> 00:57:54.240]   We're done.
[00:57:54.240 --> 00:57:55.240]   We're done.
[00:57:55.240 --> 00:57:56.240]   We're done.
[00:57:56.240 --> 00:57:57.240]   We're done.
[00:57:57.240 --> 00:57:58.240]   We're done.
[00:57:58.240 --> 00:57:59.240]   We're done.
[00:57:59.240 --> 00:58:00.240]   We're done.
[00:58:00.240 --> 00:58:01.240]   We're done.
[00:58:01.240 --> 00:58:02.240]   We're done.
[00:58:02.240 --> 00:58:03.240]   We're done.
[00:58:03.240 --> 00:58:04.240]   We're done.
[00:58:04.240 --> 00:58:05.240]   We're done.
[00:58:05.240 --> 00:58:06.240]   We're done.
[00:58:06.240 --> 00:58:07.240]   We're done.
[00:58:07.240 --> 00:58:08.240]   We're done.
[00:58:08.240 --> 00:58:09.240]   We're done.
[00:58:09.240 --> 00:58:10.240]   We're done.
[00:58:10.240 --> 00:58:11.240]   We're done.
[00:58:11.240 --> 00:58:12.240]   We're done.
[00:58:12.240 --> 00:58:13.240]   We're done.
[00:58:13.240 --> 00:58:14.240]   We're done.
[00:58:14.240 --> 00:58:15.240]   We're done.
[00:58:15.240 --> 00:58:16.240]   We're done.
[00:58:16.240 --> 00:58:17.240]   We're done.
[00:58:17.240 --> 00:58:18.240]   We're done.
[00:58:18.240 --> 00:58:19.240]   We're done.
[00:58:19.240 --> 00:58:20.240]   We're done.
[00:58:20.240 --> 00:58:21.240]   We're done.
[00:58:21.240 --> 00:58:22.240]   We're done.
[00:58:22.240 --> 00:58:23.240]   We're done.
[00:58:23.240 --> 00:58:24.240]   We're done.
[00:58:24.240 --> 00:58:25.240]   We're done.
[00:58:25.240 --> 00:58:26.240]   We're done.
[00:58:26.240 --> 00:58:27.240]   We're done.
[00:58:27.240 --> 00:58:28.240]   We're done.
[00:58:28.240 --> 00:58:29.240]   We're done.
[00:58:29.240 --> 00:58:30.240]   We're done.
[00:58:30.240 --> 00:58:31.240]   We're done.
[00:58:31.240 --> 00:58:32.240]   We're done.
[00:58:32.240 --> 00:58:33.240]   We're done.
[00:58:33.240 --> 00:58:34.240]   We're done.
[00:58:34.240 --> 00:58:35.240]   We're done.
[00:58:35.240 --> 00:58:36.240]   We're done.
[00:58:36.240 --> 00:58:37.240]   We're done.
[00:58:37.240 --> 00:58:38.240]   We're done.
[00:58:38.240 --> 00:58:39.240]   We're done.
[00:58:39.240 --> 00:58:40.240]   We're done.
[00:58:40.240 --> 00:58:41.240]   We're done.
[00:58:41.240 --> 00:58:42.240]   We're done.
[00:58:42.240 --> 00:58:43.240]   We're done.
[00:58:43.240 --> 00:58:44.240]   We're done.
[00:58:44.240 --> 00:58:45.240]   We're done.
[00:58:45.240 --> 00:58:46.240]   We're done.
[00:58:46.240 --> 00:58:47.240]   We're done.
[00:58:47.240 --> 00:58:48.240]   We're done.
[00:58:48.240 --> 00:58:49.240]   We're done.
[00:58:49.240 --> 00:58:50.240]   We're done.
[00:58:50.240 --> 00:58:51.240]   We're done.
[00:58:51.240 --> 00:58:52.240]   We're done.
[00:58:52.240 --> 00:58:53.240]   We're done.
[00:58:53.240 --> 00:58:54.240]   We're done.
[00:58:54.240 --> 00:58:55.240]   We're done.
[00:58:55.240 --> 00:58:56.240]   We're done.
[00:58:56.240 --> 00:58:57.240]   We're done.
[00:58:57.240 --> 00:58:58.240]   We're done.
[00:58:58.240 --> 00:58:59.240]   We're done.
[00:58:59.240 --> 00:59:00.240]   We're done.
[00:59:00.240 --> 00:59:01.240]   We're done.
[00:59:01.240 --> 00:59:02.240]   We're done.
[00:59:02.240 --> 00:59:03.240]   We're done.
[00:59:03.240 --> 00:59:04.240]   We're done.
[00:59:04.240 --> 00:59:05.240]   We're done.
[00:59:05.240 --> 00:59:06.240]   We're done.
[00:59:06.240 --> 00:59:07.240]   We're done.
[00:59:07.240 --> 00:59:08.240]   We're done.
[00:59:08.240 --> 00:59:09.240]   We're done.
[00:59:09.240 --> 00:59:10.240]   We're done.
[00:59:10.240 --> 00:59:11.240]   We're done.
[00:59:11.240 --> 00:59:12.240]   We're done.
[00:59:12.240 --> 00:59:13.240]   We're done.
[00:59:13.240 --> 00:59:14.240]   We're done.
[00:59:14.240 --> 00:59:15.240]   We're done.
[00:59:15.240 --> 00:59:16.240]   We're done.
[00:59:16.240 --> 00:59:17.240]   We're done.
[00:59:17.240 --> 00:59:18.240]   We're done.
[00:59:18.240 --> 00:59:19.240]   We're done.
[00:59:19.240 --> 00:59:20.240]   We're done.
[00:59:20.240 --> 00:59:21.240]   We're done.
[00:59:21.240 --> 00:59:22.240]   We're done.
[00:59:22.240 --> 00:59:23.240]   We're done.
[00:59:23.240 --> 00:59:24.240]   We're done.
[00:59:24.240 --> 00:59:25.240]   We're done.
[00:59:25.240 --> 00:59:26.240]   We're done.
[00:59:26.240 --> 00:59:27.240]   We're done.
[00:59:27.240 --> 00:59:28.240]   We're done.
[00:59:28.240 --> 00:59:29.240]   We're done.
[00:59:29.240 --> 00:59:30.240]   We're done.
[00:59:30.240 --> 00:59:31.240]   We're done.
[00:59:31.240 --> 00:59:32.240]   We're done.
[00:59:32.240 --> 00:59:33.240]   We're done.
[00:59:33.240 --> 00:59:34.240]   We're done.
[00:59:34.240 --> 00:59:35.240]   We're done.
[00:59:35.240 --> 00:59:36.240]   We're done.
[00:59:36.240 --> 00:59:37.240]   We're done.
[00:59:37.240 --> 00:59:38.240]   We're done.
[00:59:38.240 --> 00:59:39.240]   We're done.
[00:59:39.240 --> 00:59:40.240]   We're done.
[00:59:40.240 --> 00:59:41.240]   We're done.
[00:59:41.240 --> 00:59:42.240]   We're done.
[00:59:42.240 --> 00:59:43.240]   We're done.
[00:59:43.240 --> 00:59:44.240]   We're done.
[00:59:44.240 --> 00:59:45.240]   We're done.
[00:59:45.240 --> 00:59:46.240]   We're done.
[00:59:46.240 --> 00:59:47.240]   We're done.
[00:59:47.240 --> 00:59:48.240]   We're done.
[00:59:48.240 --> 00:59:49.240]   We're done.
[00:59:49.240 --> 00:59:50.240]   We're done.
[00:59:50.240 --> 00:59:51.240]   We're done.
[00:59:51.240 --> 00:59:52.240]   We're done.
[00:59:52.240 --> 00:59:53.240]   We're done.
[00:59:53.240 --> 00:59:54.240]   We're done.
[00:59:54.240 --> 00:59:55.240]   We're done.
[00:59:55.240 --> 00:59:56.240]   We're done.
[00:59:56.240 --> 00:59:57.240]   We're done.
[00:59:57.240 --> 00:59:58.240]   We're done.
[00:59:58.240 --> 00:59:59.240]   We're done.
[00:59:59.240 --> 01:00:00.240]   We're done.
[01:00:00.240 --> 01:00:01.240]   We're done.
[01:00:01.240 --> 01:00:02.240]   We're done.
[01:00:02.240 --> 01:00:03.240]   We're done.
[01:00:03.240 --> 01:00:04.240]   We're done.
[01:00:04.240 --> 01:00:05.240]   We're done.
[01:00:05.240 --> 01:00:06.240]   We're done.
[01:00:06.240 --> 01:00:07.240]   We're done.
[01:00:07.240 --> 01:00:08.240]   We're done.
[01:00:08.240 --> 01:00:09.240]   We're done.
[01:00:09.240 --> 01:00:10.240]   We're done.
[01:00:10.240 --> 01:00:11.240]   We're done.
[01:00:11.240 --> 01:00:12.240]   We're done.
[01:00:12.240 --> 01:00:13.240]   We're done.
[01:00:13.240 --> 01:00:14.240]   We're done.
[01:00:14.240 --> 01:00:15.240]   We're done.
[01:00:15.240 --> 01:00:16.240]   We're done.
[01:00:16.240 --> 01:00:17.240]   We're done.
[01:00:17.240 --> 01:00:18.240]   We're done.
[01:00:18.240 --> 01:00:20.240]   We're done.
[01:00:20.240 --> 01:00:21.240]   We're done.
[01:00:21.240 --> 01:00:22.240]   We're done.
[01:00:22.240 --> 01:00:23.240]   We're done.
[01:00:23.240 --> 01:00:24.240]   We're done.
[01:00:24.240 --> 01:00:25.240]   We're done.
[01:00:25.240 --> 01:00:26.240]   We're done.
[01:00:26.240 --> 01:00:27.240]   We're done.
[01:00:27.240 --> 01:00:28.240]   We're done.
[01:00:28.240 --> 01:00:29.240]   We're done.
[01:00:29.240 --> 01:00:30.240]   We're done.
[01:00:30.240 --> 01:00:31.240]   We're done.
[01:00:31.240 --> 01:00:32.240]   We're done.
[01:00:32.240 --> 01:00:33.240]   We're done.
[01:00:33.240 --> 01:00:34.240]   We're done.
[01:00:34.240 --> 01:00:35.240]   We're done.
[01:00:35.240 --> 01:00:36.240]   We're done.
[01:00:36.240 --> 01:00:37.240]   We're done.
[01:00:37.240 --> 01:00:38.240]   We're done.
[01:00:38.240 --> 01:00:39.240]   We're done.
[01:00:39.240 --> 01:00:40.240]   We're done.
[01:00:40.240 --> 01:00:41.240]   We're done.
[01:00:41.240 --> 01:00:42.240]   We're done.
[01:00:42.240 --> 01:00:43.240]   We're done.
[01:00:43.240 --> 01:00:44.240]   We're done.
[01:00:44.240 --> 01:00:45.240]   We're done.
[01:00:45.240 --> 01:00:46.240]   We're done.
[01:00:46.240 --> 01:00:47.240]   We're done.
[01:00:47.240 --> 01:00:48.240]   We're done.
[01:00:48.240 --> 01:00:49.240]   We're done.
[01:00:49.240 --> 01:00:50.240]   We're done.
[01:00:50.240 --> 01:00:51.240]   We're done.
[01:00:51.240 --> 01:00:52.240]   We're done.
[01:00:52.240 --> 01:00:53.240]   We're done.
[01:00:53.240 --> 01:00:54.240]   We're done.
[01:00:54.240 --> 01:00:55.240]   We're done.
[01:00:55.240 --> 01:00:56.240]   We're done.
[01:00:56.240 --> 01:00:57.240]   We're done.
[01:00:57.240 --> 01:00:58.240]   We're done.
[01:00:58.240 --> 01:00:59.240]   We're done.
[01:00:59.240 --> 01:01:00.240]   We're done.
[01:01:00.240 --> 01:01:01.240]   We're done.
[01:01:01.240 --> 01:01:02.240]   We're done.
[01:01:02.240 --> 01:01:03.240]   We're done.
[01:01:03.240 --> 01:01:04.240]   We're done.
[01:01:04.240 --> 01:01:05.240]   We're done.
[01:01:05.240 --> 01:01:06.240]   We're done.
[01:01:06.240 --> 01:01:07.240]   We're done.
[01:01:07.240 --> 01:01:08.240]   We're done.
[01:01:08.240 --> 01:01:09.240]   We're done.
[01:01:09.240 --> 01:01:10.240]   We're done.
[01:01:10.240 --> 01:01:11.240]   We're done.
[01:01:11.240 --> 01:01:12.240]   We're done.
[01:01:12.240 --> 01:01:13.240]   We're done.
[01:01:13.240 --> 01:01:14.240]   We're done.
[01:01:14.240 --> 01:01:15.240]   We're done.
[01:01:15.240 --> 01:01:16.240]   We're done.
[01:01:16.240 --> 01:01:17.240]   We're done.
[01:01:17.240 --> 01:01:18.240]   We're done.
[01:01:18.240 --> 01:01:19.240]   We're done.
[01:01:19.240 --> 01:01:20.240]   We're done.
[01:01:20.240 --> 01:01:21.240]   We're done.
[01:01:21.240 --> 01:01:22.240]   We're done.
[01:01:22.240 --> 01:01:23.240]   We're done.
[01:01:23.240 --> 01:01:24.240]   We're done.
[01:01:24.240 --> 01:01:25.240]   We're done.
[01:01:25.240 --> 01:01:26.240]   We're done.
[01:01:26.240 --> 01:01:27.240]   We're done.
[01:01:27.240 --> 01:01:28.240]   We're done.
[01:01:28.240 --> 01:01:29.240]   We're done.
[01:01:29.240 --> 01:01:30.240]   We're done.
[01:01:30.240 --> 01:01:31.240]   We're done.
[01:01:31.240 --> 01:01:32.240]   We're done.
[01:01:32.240 --> 01:01:33.240]   We're done.
[01:01:33.240 --> 01:01:34.240]   We're done.
[01:01:34.240 --> 01:01:35.240]   We're done.
[01:01:35.240 --> 01:01:36.240]   We're done.
[01:01:36.240 --> 01:01:37.240]   We're done.
[01:01:37.240 --> 01:01:38.240]   We're done.
[01:01:38.240 --> 01:01:39.240]   We're done.
[01:01:39.240 --> 01:01:40.240]   We're done.
[01:01:40.240 --> 01:01:41.240]   We're done.
[01:01:41.240 --> 01:01:42.240]   We're done.
[01:01:42.240 --> 01:01:43.240]   We're done.
[01:01:43.240 --> 01:01:44.240]   We're done.
[01:01:44.240 --> 01:01:45.240]   We're done.
[01:01:45.240 --> 01:01:46.240]   We're done.
[01:01:46.240 --> 01:01:47.240]   We're done.
[01:01:47.240 --> 01:01:48.240]   We're done.
[01:01:48.240 --> 01:01:49.240]   We're done.
[01:01:49.240 --> 01:01:50.240]   We're done.
[01:01:50.240 --> 01:01:51.240]   We're done.
[01:01:51.240 --> 01:01:52.240]   We're done.
[01:01:52.240 --> 01:01:53.240]   We're done.
[01:01:53.240 --> 01:01:54.240]   We're done.
[01:01:54.240 --> 01:01:55.240]   We're done.
[01:01:55.240 --> 01:01:56.240]   We're done.
[01:01:56.240 --> 01:01:57.240]   We're done.
[01:01:57.240 --> 01:01:58.240]   We're done.
[01:01:58.240 --> 01:01:59.240]   We're done.
[01:01:59.240 --> 01:02:00.240]   We're done.
[01:02:00.240 --> 01:02:01.240]   We're done.
[01:02:01.240 --> 01:02:02.240]   We're done.
[01:02:02.240 --> 01:02:03.240]   We're done.
[01:02:03.240 --> 01:02:04.240]   We're done.
[01:02:04.240 --> 01:02:05.240]   We're done.
[01:02:05.240 --> 01:02:06.240]   We're done.
[01:02:06.240 --> 01:02:07.240]   We're done.
[01:02:07.240 --> 01:02:08.240]   We're done.
[01:02:08.240 --> 01:02:09.240]   We're done.
[01:02:09.240 --> 01:02:10.240]   We're done.
[01:02:10.240 --> 01:02:11.240]   We're done.
[01:02:11.240 --> 01:02:12.240]   We're done.
[01:02:12.240 --> 01:02:13.240]   We're done.
[01:02:13.240 --> 01:02:14.240]   We're done.
[01:02:14.240 --> 01:02:15.240]   We're done.
[01:02:15.240 --> 01:02:16.240]   We're done.
[01:02:16.240 --> 01:02:17.240]   We're done.
[01:02:17.240 --> 01:02:18.240]   We're done.
[01:02:18.240 --> 01:02:19.240]   We're done.
[01:02:19.240 --> 01:02:20.240]   We're done.
[01:02:20.240 --> 01:02:21.240]   We're done.
[01:02:21.240 --> 01:02:22.240]   We're done.
[01:02:22.240 --> 01:02:23.240]   We're done.
[01:02:23.240 --> 01:02:24.240]   We're done.
[01:02:24.240 --> 01:02:25.240]   We're done.
[01:02:25.240 --> 01:02:26.240]   We're done.
[01:02:26.240 --> 01:02:27.240]   We're done.
[01:02:27.240 --> 01:02:28.240]   We're done.
[01:02:28.240 --> 01:02:29.240]   We're done.
[01:02:29.240 --> 01:02:30.240]   We're done.
[01:02:30.240 --> 01:02:31.240]   We're done.
[01:02:31.240 --> 01:02:32.240]   We're done.
[01:02:32.240 --> 01:02:33.240]   We're done.
[01:02:33.240 --> 01:02:34.240]   We're done.
[01:02:34.240 --> 01:02:35.240]   We're done.
[01:02:35.240 --> 01:02:36.240]   We're done.
[01:02:36.240 --> 01:02:37.240]   We're done.
[01:02:37.240 --> 01:02:38.240]   We're done.
[01:02:38.240 --> 01:02:39.240]   We're done.
[01:02:39.240 --> 01:02:40.240]   We're done.
[01:02:40.240 --> 01:02:41.240]   We're done.
[01:02:41.240 --> 01:02:42.240]   We're done.
[01:02:42.240 --> 01:02:43.240]   We're done.
[01:02:43.240 --> 01:02:44.240]   We're done.
[01:02:44.240 --> 01:02:45.240]   We're done.
[01:02:45.240 --> 01:02:46.240]   We're done.
[01:02:46.240 --> 01:02:47.240]   We're done.
[01:02:47.240 --> 01:02:48.240]   We're done.
[01:02:48.240 --> 01:02:49.240]   We're done.
[01:02:49.240 --> 01:02:50.240]   We're done.
[01:02:50.240 --> 01:02:51.240]   We're done.
[01:02:51.240 --> 01:02:52.240]   We're done.
[01:02:52.240 --> 01:02:53.240]   We're done.
[01:02:53.240 --> 01:02:54.240]   We're done.
[01:02:54.240 --> 01:02:55.240]   We're done.
[01:02:55.240 --> 01:02:56.240]   We're done.
[01:02:56.240 --> 01:02:57.240]   We're done.
[01:02:57.240 --> 01:02:58.240]   We're done.
[01:02:58.240 --> 01:02:59.240]   We're done.
[01:02:59.240 --> 01:03:00.240]   We're done.
[01:03:00.240 --> 01:03:01.240]   We're done.
[01:03:01.240 --> 01:03:02.240]   We're done.
[01:03:02.240 --> 01:03:03.240]   We're done.
[01:03:03.240 --> 01:03:04.240]   We're done.
[01:03:04.240 --> 01:03:05.240]   We're done.
[01:03:05.240 --> 01:03:06.240]   We're done.
[01:03:06.240 --> 01:03:07.240]   We're done.
[01:03:07.240 --> 01:03:08.240]   We're done.
[01:03:08.240 --> 01:03:09.240]   We're done.
[01:03:09.240 --> 01:03:10.240]   We're done.
[01:03:10.240 --> 01:03:11.240]   We're done.
[01:03:11.240 --> 01:03:12.240]   We're done.
[01:03:12.240 --> 01:03:19.520]   What I was really curious about is I think it's inevitable that Oracle has done its share
[01:03:19.520 --> 01:03:22.240]   of what it has sued Google about.
[01:03:22.240 --> 01:03:24.480]   That's a good point.
[01:03:24.480 --> 01:03:32.080]   I'd kind of like to see a list of the APIs that Oracle by its standard has been stealing
[01:03:32.080 --> 01:03:33.080]   over the years.
[01:03:33.080 --> 01:03:37.160]   I bet there are quite a few.
[01:03:37.160 --> 01:03:39.240]   Of course, Google says it will appeal.
[01:03:39.240 --> 01:03:44.120]   The first thing it'll do is go back to the lower court and see if they can rewrite it
[01:03:44.120 --> 01:03:48.120]   and get the lower court to -- you get the higher court to approve it.
