
[00:00:00.000 --> 00:00:07.000]   This is Twit, this week in Tech, episode 35 for December 18, 2005.
[00:39:14.000 --> 00:39:20.000]   Yeah, it's one of those things where you also have to plan the site to scale that way from the beginning. Otherwise, you're going to have to rewrite all the code.
[00:39:20.000 --> 00:39:23.000]   Did you find that to be, I think we talked about that, didn't you?
[00:39:23.000 --> 00:39:25.000]   That digging almost had to be rewritten because of that.
[00:39:25.000 --> 00:39:34.000]   Parts of it did, because it was just a side project at first, you know, and then all of a sudden you get hit with a huge mass amount of users, and you have to rewrite certain queries and things that are slowing it down.
[00:39:34.000 --> 00:39:43.000]   But I think Google's going to do the right thing, you know, they're planning this whole online office initiative that hopefully we'll see sometime in '06, I don't know.
[00:39:43.000 --> 00:39:52.000]   They're going to have some tough competition from this Yahoo mail beta. I really like, I mean, you got to try it. It's basically outlook, except it's online.
[00:39:52.000 --> 00:39:53.000]   It's your Yahoo mail.
[00:39:53.000 --> 00:40:01.000]   I've heard you tell you about Google Calendar. I have a buddy of mine that has played with it, and it's supposed to be really good and be out in the next couple of weeks.
[00:40:01.000 --> 00:40:09.000]   Well, and you're right, Leo. All of this has to just be scaring Gates to death, because it's what he's been worried about from the beginning.
[00:40:09.000 --> 00:40:20.000]   It's the reason he was so fanatical about Netscape in the start as he recognizes that the Internet can move the value from his OS over to the net and...
[00:40:20.000 --> 00:40:23.000]   And his apps? Machine independent, yes.
[00:40:23.000 --> 00:40:26.000]   Who needs office if you can do it online?
[00:40:26.000 --> 00:40:33.000]   But I'll tell you, you know, speaking of mail though, I get on Gmail and they made it work with your pop system if you want. And I wanted to.
[00:40:33.000 --> 00:40:39.000]   Boy, would they make it hard. Boy, would they hide the secret little part you have to put in to make it work.
[00:40:39.000 --> 00:40:47.000]   I haven't tried it. Wait a minute, let me think. Now, I can get my Yahoo mail, my Google mail on my Blackberry, but I think it might have done auto-discover.
[00:40:47.000 --> 00:40:53.000]   Yes, you can do it on your Blackberry, but they give you instructions of how to do it. You follow all those instructions and it doesn't work.
[00:40:53.000 --> 00:41:00.000]   And you have to look up some third party web pages to tell you. You have to set your port to such and such for SMTP and for pop.
[00:41:00.000 --> 00:41:05.000]   It doesn't use standard ports. Right. Yeah. It uses very unstandard.
[00:41:05.000 --> 00:41:10.000]   That, which is a problem because that'll be blocked in a lot of places that you go if they don't use standard ports.
[00:41:10.000 --> 00:41:13.000]   If they use SSL ports, that'd be all right.
[00:41:13.000 --> 00:41:19.000]   No, no, no, no, where places I go, what I do is for my own server, I use a nonstandard SMTP port.
[00:41:19.000 --> 00:41:26.000]   And because when I traveled and used port 25, they blocked it. They blocked it. Yeah, they use it in the nonstandard. They don't catch it.
[00:41:26.000 --> 00:41:32.000]   Right. You know, I kind of like the combination approach that I think these guys are going to have to figure out how to do.
[00:41:32.000 --> 00:41:42.000]   And I think rightly maybe has a few ways that you can do this. But for example, I used the mail servers that computer time has where I get no spam.
[00:41:42.000 --> 00:41:52.000]   But he also, but I can use it with any client, but then when I'm on the road, if I'd say I just want to, you know, my machine, break my machine, I'm traveling, that can happen.
[00:41:52.000 --> 00:41:56.000]   You know, but he also has squirrel mail because everything's I'm. Right.
[00:41:56.000 --> 00:42:05.000]   Right. This idea of having like, you know, this redundant approach to everything so you don't have to rely on just online seems to be have an appeal to me.
[00:42:05.000 --> 00:42:14.000]   Well, it does because for me too, because I use iMap, but if their server is down or I can't get online, I can't even get, I don't access my mail. I'd have to, you know, it's gone.
[00:42:14.000 --> 00:42:23.000]   And that's everything I need is in my email. Email has become the database. How is it true for you guys to? I mean, I basically assume that I can search my email almost instantly.
[00:42:23.000 --> 00:42:29.000]   And I just leave everything in there. I don't add stuff to my contract book because my address book because I know it's in the email.
[00:42:29.000 --> 00:42:36.000]   I do the same thing. And that's Google's whole concept with Gmail, of course, and giving us two gigs of never delete your email.
[00:42:36.000 --> 00:42:45.000]   Two gigs isn't nearly enough. I want to keep 20 years of email. Why? Because it's all in there. My life story is in there.
[00:42:45.000 --> 00:42:52.000]   You don't want to hear it. I can start at the beginning. I started a small 5,000 watt radio station.
[00:42:52.000 --> 00:42:56.000]   You know, you can always use pop and keep it on your own hard disk.
[00:42:56.000 --> 00:43:05.000]   Well, and that's kind of, I guess what I'll do is keep an iMac server but download it to the pop, you know, because then I can use spotlight or something like that to search.
[00:43:05.000 --> 00:43:08.000]   But you also don't, you're sent mail in there.
[00:43:08.000 --> 00:43:16.000]   Right. Well, and that's the advantage of having iMac is that when I send the message, no matter what system I've sent it from, it shows up in the sent mail on the iMac server.
[00:43:16.000 --> 00:43:24.000]   So I can see my old messages. And that was kind of part of the problem. I was using pop mail on four different computers, but they'd get out of sync.
[00:43:24.000 --> 00:43:28.000]   Right. So what do you do Mr. Gibson for your email?
[00:43:28.000 --> 00:43:31.000]   I'm just using Eudora from the old days.
[00:43:31.000 --> 00:43:35.000]   Oh, he's an old timer. Yeah. I use Eudora. One computer. One program.
[00:43:35.000 --> 00:43:40.000]   Yeah. You know, I was using Eudora for a long time and it would blow up a box every once in a while. I got tired of it.
[00:43:40.000 --> 00:43:45.000]   And I found out, did some research on the web and I found other people, some, some, a couple of colleges.
[00:43:45.000 --> 00:43:50.000]   In fact, where they found the same problem and I've talked to the Eudora folks about it and they've never mailed a solve this.
[00:43:50.000 --> 00:43:56.000]   Now I assume possibly that maybe with an upgrade or two that, you know, that's whatever this bug was, it went away.
[00:43:56.000 --> 00:44:02.000]   But I did blow up a box and the box was completely gone. And it was all, and it wasn't, it was pop mail.
[00:44:02.000 --> 00:44:05.000]   So I mean, I don't get it personally. You mean a mailbox or your computer, the mailbox?
[00:44:05.000 --> 00:44:09.000]   It was on the computer. I mean, and it was just before pre-i-map.
[00:44:09.000 --> 00:44:12.000]   Because it uses the Unix inbox format, I think.
[00:44:12.000 --> 00:44:15.000]   Well, it was a database of some sort. It's like debase.
[00:44:15.000 --> 00:44:19.000]   Well, I never trust a database. That's true. If it's using it.
[00:44:19.000 --> 00:44:28.000]   I like you. I know Eudora stores everything in a lot of text files and now it's got a good built-in indexing search so you can find things.
[00:44:28.000 --> 00:44:33.000]   And I use it the way you do Leo, when I'm trying to find something that I know happened a few years ago.
[00:44:33.000 --> 00:44:39.000]   I'll just, I'll tell you Dora to find it for me and give it as many keywords and a compound search and it does the job.
[00:44:39.000 --> 00:44:42.000]   Has anybody tried Thunderbird? Yeah, Thunderbird's awesome.
[00:44:42.000 --> 00:44:43.000]   You like it?
[00:44:43.000 --> 00:44:50.000]   I like the extensions. They have like, tabbed, different tabs you can add to it now. It's really turning out to be a nice product.
[00:44:50.000 --> 00:44:54.000]   Do you use it as an RSS reader, Kevin? No, I use Sage within Firefox.
[00:44:54.000 --> 00:44:58.000]   Yeah, I think I'm going to switch to Thunderbird for a while. Maybe I can go back to Eudora one of these days.
[00:44:58.000 --> 00:45:06.000]   I have all these old systems. And you're talking about the 25 years Leo. I don't think it's possible because I have like, you know, five years of mail and some old Eudora boxes.
[00:45:06.000 --> 00:45:10.000]   And I got a couple years of mail and a Mozilla system.
[00:45:10.000 --> 00:45:14.000]   And then I got, you know, a new computer. You can't keep copying it over, I guess.
[00:45:14.000 --> 00:45:17.000]   Isn't Apple's mail supposed to be pretty good too? Built in OS 10?
[00:45:17.000 --> 00:45:21.000]   Apple mail is very good. I don't actually use it because it's IMAP support isn't as good as it's I'd like.
[00:45:21.000 --> 00:45:30.000]   And I'll tell you why. I don't use it. Eudora gives me the ability to make buttons for anything that's in a menu, including transferring to different mailboxes and whatever.
[00:45:30.000 --> 00:45:34.000]   Line up a ton of these little one quick dozen instead of a drag.
[00:45:34.000 --> 00:45:40.000]   But it also allows me to do Apple scripts, for example, I can forward an email to my assistant and I cannot do that with Apple's mail.
[00:45:40.000 --> 00:45:47.000]   It has a ton and a ton and a ton of Apple script commands, but not enough to send a mail only the text, not the attachment.
[00:45:47.000 --> 00:45:50.000]   You'd think it would. Yeah, you'd think it would. Oh, that's brain dead.
[00:45:50.000 --> 00:45:53.000]   And a few of the other things that I use scripts for, I couldn't do in it.
[00:45:53.000 --> 00:45:57.000]   You could just make a call though, right? Wasn't that just happens, right? In the next version?
[00:45:57.000 --> 00:45:59.000]   [Laughter]
[00:45:59.000 --> 00:46:01.000]   Yeah.
[00:46:01.000 --> 00:46:03.000]   [Laughter]
[00:46:03.000 --> 00:46:05.000]   That would be cool.
[00:46:05.000 --> 00:46:10.000]   I get involved in more important things like making sure my razor phone is going to work with all of us, Tim.
[00:46:10.000 --> 00:46:13.000]   Do you do a lot of Apple scripting?
[00:46:13.000 --> 00:46:16.000]   I do a little now. I used to do a lot.
[00:46:16.000 --> 00:46:21.000]   It's fun. It's really fun. It's really nice to have that scriptability in the... Have you tried Automator at all?
[00:46:21.000 --> 00:46:28.000]   No, not yet. I actually just brought it up and played with it and didn't think, "Oh, no, this doesn't seem to do as much as I'd want."
[00:46:28.000 --> 00:46:33.000]   Right. Well, you're probably like more powerful programming languages anyway.
[00:46:33.000 --> 00:46:36.000]   No. No, really. I'm not supposed.
[00:46:36.000 --> 00:46:44.000]   I was going to say that Waz and I both came from an assembly language land, and I'm still coding everything Waz in assembly language.
[00:46:44.000 --> 00:46:47.000]   Yeah, that's the thing that way.
[00:46:47.000 --> 00:46:50.000]   Yeah, really? You're thinking assembly language? I'm going to watch what I'm saying.
[00:46:50.000 --> 00:47:00.000]   You think about registers and moves and you never multiply. You just add over and over again. Things like that?
[00:47:00.000 --> 00:47:06.000]   No, I like simple... Actually, simple, easy to use for anybody languages.
[00:47:06.000 --> 00:47:09.000]   Like Fortran basic where one time ago.
[00:47:09.000 --> 00:47:16.000]   What Waz probably means is that when he's coding in a higher-level language, he's thinking about what the compiler has to do.
[00:47:16.000 --> 00:47:19.000]   So he writes in a way that is probably compiler-friendly.
[00:47:19.000 --> 00:47:25.000]   Well, that's old school. I doubt very many people think about the compiler or the assembler anymore.
[00:47:25.000 --> 00:47:31.000]   Nobody cares. And that's why software is 800 megabytes and can't fit on a CD.
[00:47:31.000 --> 00:47:39.000]   The irony of software to me has always been the following, which is that if you have an idea to present this, sometimes when I give talks,
[00:47:39.000 --> 00:47:47.000]   I said, "Let's say you want to sell something." And you have two DVDs that for sale with software that say the program is exactly the same.
[00:47:47.000 --> 00:47:50.000]   Both discs do exactly the same thing, no difference whatsoever.
[00:47:50.000 --> 00:47:57.000]   And one of them is tight assembly language code and the whole thing runs in 50k. The other one is 500 megabytes.
[00:47:57.000 --> 00:48:00.000]   Which one will outsell the other?
[00:48:00.000 --> 00:48:04.000]   Always, you get more... You obviously buy more. It's bigger. It must be better.
[00:48:04.000 --> 00:48:09.000]   Same reason the computer book publishers want thicker books, not thinner books.
[00:48:09.000 --> 00:48:14.000]   I'll tell you though, John, my web server has been up for 14,000 hours now.
[00:48:14.000 --> 00:48:24.000]   And it's running at about 0.7% CPU utilization, just doing nothing, because all the code that I wrote for my site is an assembler.
[00:48:24.000 --> 00:48:27.000]   And it just sits there and it never dies.
[00:48:27.000 --> 00:48:29.000]   I thought you used IIS?
[00:48:29.000 --> 00:48:34.000]   I do have IIS and I have a custom DLL that I glued to it that does all the work.
[00:48:34.000 --> 00:48:36.000]   So IIS is just kind of sitting there.
[00:48:36.000 --> 00:48:43.000]   It's just sort of does the protocol front end stuff. And all of the shields up and e-commerce and everything is an assembler.
[00:48:43.000 --> 00:48:46.000]   And just takes up no time and it just rocks all up.
[00:48:46.000 --> 00:48:49.000]   And that's why all your URLs are so goofy.
[00:48:49.000 --> 00:48:55.000]   Well, now you need to get an artist or something steamed so that doesn't look so crummy.
[00:48:55.000 --> 00:48:58.000]   I really do.
[00:48:58.000 --> 00:49:00.000]   No, he's so dishonest.
[00:49:00.000 --> 00:49:05.000]   He's absolutely right. He's absolutely right. It's really looking like, you know, 10 years ago.
[00:49:05.000 --> 00:49:07.000]   So, you know, I have a subject to toss out.
[00:49:07.000 --> 00:49:08.000]   Yes, Steve.
[00:49:08.000 --> 00:49:14.000]   Well, as we know, Kelly Reclinton is opposing, burning the American flag, but she's also for a law curbing game sales to minors.
[00:49:14.000 --> 00:49:16.000]   I don't think we have to comment too much on it.
[00:49:16.000 --> 00:49:23.000]   I don't know. I mean, I don't think it should be a law that you can't sell games to minors, but I don't, as a parent, I don't mind it.
[00:49:23.000 --> 00:49:26.000]   Did you let your kids, when they were younger, did you let them play violent games?
[00:49:26.000 --> 00:49:33.000]   Absolutely. I just believe that everything, that any fiction, books, any TV shows, any movies, why the fiction?
[00:49:33.000 --> 00:49:36.000]   I feel the same way. We did the same thing here.
[00:49:36.000 --> 00:49:37.000]   Yeah.
[00:49:37.000 --> 00:49:38.000]   Kids are fine.
[00:49:38.000 --> 00:49:41.000]   And my kids are mass murderers. So there you go.
[00:49:41.000 --> 00:49:47.000]   Some of the weirdest kids never, you know, you keep this stuff away from kids.
[00:49:47.000 --> 00:49:49.000]   You know, most of the time they reject it on their own.
[00:49:49.000 --> 00:49:50.000]   Times have changed, though.
[00:49:50.000 --> 00:49:54.000]   I mean, the video games, I mean, look at Grand Theft Auto, San Andreas.
[00:49:54.000 --> 00:49:59.000]   It's not only very realistic, but the things that you're doing to people are heinous.
[00:49:59.000 --> 00:50:03.000]   And I think it's a little different than it was even a few years ago.
[00:50:03.000 --> 00:50:07.000]   You know, it's disgusting, but it seems to me that the kids just get some sort of perverse thrill out of playing it.
[00:50:07.000 --> 00:50:10.000]   And they, I don't know that this is increasing the crime rate. It's probably lower.
[00:50:10.000 --> 00:50:11.000]   It's getting it.
[00:50:11.000 --> 00:50:12.000]   It is.
[00:50:12.000 --> 00:50:19.000]   You know, it's like those Japanese offices that have all those punching bags, and you can go to a punching bag room where there's pictures of the bosses and you can punch away at them.
[00:50:19.000 --> 00:50:21.000]   It gets it out of your system.
[00:50:21.000 --> 00:50:24.000]   I always said, I see it, but I know it's a movie.
[00:50:24.000 --> 00:50:25.000]   Right.
[00:50:25.000 --> 00:50:26.000]   Right. You know the difference.
[00:50:26.000 --> 00:50:29.000]   Well, I'll tell you the, I agree with you guys.
[00:50:29.000 --> 00:50:34.000]   And my tone, my tune only changed when my son, 11 year old son said, "Come here. Look what I can do."
[00:50:34.000 --> 00:50:37.000]   And he, this is in Vice City.
[00:50:37.000 --> 00:50:42.000]   He blows some guys head off and the blood spurts straight up, and then he kicks the head down the street.
[00:50:42.000 --> 00:50:47.000]   And I said, "You're 11 years old. I think you shouldn't be playing that game anymore."
[00:50:47.000 --> 00:50:51.000]   But it's also a little bit like jokes and political correctness.
[00:50:51.000 --> 00:50:57.000]   It's like they have that Japanese prime minister riding the Segway the other day, and some of my friends were commenting, "Well, he can't drive anyway."
[00:50:57.000 --> 00:50:58.000]   Oh, geez.
[00:50:58.000 --> 00:51:00.000]   [laughter]
[00:51:00.000 --> 00:51:02.000]   You send your email to...
[00:51:02.000 --> 00:51:04.000]   Yeah, it's just, it's just...
[00:51:04.000 --> 00:51:06.000]   [laughter]
[00:51:06.000 --> 00:51:07.000]   But us.
[00:51:07.000 --> 00:51:08.000]   Yeah, anybody but us.
[00:51:08.000 --> 00:51:13.000]   Well, I understand that, yeah, but I mean, most 11 years, I don't know how many 11 years I want to play that game, but...
[00:51:13.000 --> 00:51:14.000]   They all do.
[00:51:14.000 --> 00:51:15.000]   My son did.
[00:51:15.000 --> 00:51:16.000]   Well, they didn't let him play.
[00:51:16.000 --> 00:51:19.000]   I don't know. I have mixed feelings about the adverse effect.
[00:51:19.000 --> 00:51:26.000]   I have strong feelings about the simulator aspects of a lot of these games, because simulators are known to be the way you can learn things.
[00:51:26.000 --> 00:51:32.000]   Well, they can't have it both ways. If you're saying the simulator aspect works, this kid's got a simulator for beating the hell out of people.
[00:51:32.000 --> 00:51:37.000]   I agree. My comments always been when somebody asked me about, "Well, I let my kids play Grand Theft Auto."
[00:51:37.000 --> 00:51:45.000]   I said, "Well, I don't think these kids are gonna ever steal a car, but if they ever take it up, they're gonna be really good at it."
[00:51:45.000 --> 00:51:47.000]   Lots of practice on that car, too.
[00:51:47.000 --> 00:51:49.000]   I mean, you know, he's giving him a break there.
[00:51:49.000 --> 00:51:53.000]   At least your kid won't be a network administrator in that case he's out of the house.
[00:51:53.000 --> 00:51:54.000]   [laughter]
[00:51:54.000 --> 00:51:57.000]   That's seriously one of them became just that.
[00:51:57.000 --> 00:51:58.000]   [laughter]
[00:51:58.000 --> 00:52:00.000]   Oh, well, now we know why.
[00:52:00.000 --> 00:52:05.000]   One last story I kind of want to get into is this Wikipedia story. It kind of never dies.
[00:52:05.000 --> 00:52:10.000]   Of course, we talked about John Segan-Thawler and his whining and moaning about Wikipedia.
[00:52:10.000 --> 00:52:15.000]   Now, unfortunately, with all the attention it's been getting, Wikipedia has been getting vandalized.
[00:52:15.000 --> 00:52:20.000]   Somebody changed Jimmy Wales article in Wikipedia. Jimmy Wales, the creator of Wikipedia,
[00:52:20.000 --> 00:52:26.000]   to say that a hit squad from the Segan-Thawler family had assassinated him, which I think is actually pretty funny.
[00:52:26.000 --> 00:52:28.000]   I'm sure that got fixed right away.
[00:52:28.000 --> 00:52:35.000]   Ironically, nature did a study that just came out of articles.
[00:52:35.000 --> 00:52:39.000]   They took 42 articles from Wikipedia and the Encyclopedia Britannica.
[00:52:39.000 --> 00:52:45.000]   And found that vandalism aside, Wikipedia was very nearly as accurate as Britannica.
[00:52:45.000 --> 00:52:52.000]   On average, there were four mistakes per article in Wikipedia and three mistakes per article in Encyclopedia Britannica.
[00:52:52.000 --> 00:52:54.000]   That's pretty darn good.
[00:52:54.000 --> 00:53:04.000]   The follow-up to that, Leo, is the fact that some people came out of the woodworking and admitted that they wrote both for the Encyclopedia Britannica and Wikipedia.
[00:53:04.000 --> 00:53:05.000]   There you go.
[00:53:05.000 --> 00:53:12.000]   The same people putting the stuff up. There's people out there that really like to get accurate information out to the public in any way they can and they do it.
[00:53:12.000 --> 00:53:15.000]   They do it some obviously, mostly anonymously for Wikipedia.
[00:53:15.000 --> 00:53:19.000]   I think I'm very sad if Wikipedia goes by the way.
[00:53:19.000 --> 00:53:23.000]   Jimmy Wales has implemented a number of administrative changes.
[00:53:23.000 --> 00:53:25.000]   He says, "It's not news."
[00:53:25.000 --> 00:53:26.000]   But I think it's news.
[00:53:26.000 --> 00:53:30.000]   For instance, now they're requiring registration before you can post.
[00:53:30.000 --> 00:53:38.000]   They're thinking about sandboxing people who are brand new and not letting their posts maybe have some sort of validation on their posts before they appear.
[00:53:38.000 --> 00:53:44.000]   I hate to see it modified in any way. I think Wikipedia is really great.
[00:53:44.000 --> 00:53:49.000]   But I guess if these modifications need to happen to make Wikipedia survive, it's worth it.
[00:53:49.000 --> 00:53:55.000]   Well, you know the other possibilities. Maybe it's already gotten to the point where it has enough critical mass and enough information.
[00:53:55.000 --> 00:53:57.000]   We don't really need that more stuff to it.
[00:53:57.000 --> 00:53:58.000]   Shut it down.
[00:53:58.000 --> 00:53:59.000]   Well, there's always going to be new stories.
[00:53:59.000 --> 00:54:03.000]   Somebody should spider it by the way as we speak so we don't have to worry about losing this data.
[00:54:03.000 --> 00:54:05.000]   But save it. That's a very good point.
[00:54:05.000 --> 00:54:10.000]   But the point is, you know, do we really, I mean how much more stuff needs to be put on Wikipedia?
[00:54:10.000 --> 00:54:12.000]   I mean, it's already a great resource.
[00:54:12.000 --> 00:54:15.000]   I mean, if they just frozen in time right now and started over, it would be okay with me.
[00:54:15.000 --> 00:54:17.000]   You sound like one of those guys.
[00:54:17.000 --> 00:54:19.000]   Nothing new will ever be invented.
[00:54:19.000 --> 00:54:22.000]   This is the way, this is the, everything good's been invented already.
[00:54:22.000 --> 00:54:28.000]   And to say that, that's the point I'm saying, I'm saying is that, you know, if they frozen in time right now, as opposed to shutting it down,
[00:54:28.000 --> 00:54:30.000]   well, that, all right, I agree there.
[00:54:30.000 --> 00:54:31.000]   I wouldn't complain about it.
[00:54:31.000 --> 00:54:32.000]   It's a good news source too though.
[00:54:32.000 --> 00:54:35.000]   I mean, Wikipedia's news is actually very up to date and very good.
[00:54:35.000 --> 00:54:37.000]   I'm big stories anyway.
[00:54:37.000 --> 00:54:42.000]   Do you, was, have you ever looked up your article on Wikipedia?
[00:54:42.000 --> 00:54:44.000]   I don't look up my article anywhere.
[00:54:44.000 --> 00:54:47.000]   I think I did. Somebody did send me the link to it in Wikipedia.
[00:54:47.000 --> 00:54:52.000]   So you haven't looked at it to see if it's all right or make any changes to make it accurate?
[00:54:52.000 --> 00:54:54.000]   No, none of them are all right.
[00:54:54.000 --> 00:54:55.000]   I don't ever make changes.
[00:54:55.000 --> 00:54:56.000]   It'd take too much time.
[00:54:56.000 --> 00:54:58.000]   They've all got mistakes.
[00:54:58.000 --> 00:54:59.000]   Huge mistakes.
[00:54:59.000 --> 00:55:02.000]   What I do is I read the mistakes and then I say, that's who I have to be because that's who I am.
[00:55:02.000 --> 00:55:03.000]   That's history.
[00:55:03.000 --> 00:55:05.000]   That's your public persona.
[00:55:05.000 --> 00:55:10.000]   It doesn't take, it doesn't take more than five minutes to fix a Wikipedia post.
[00:55:10.000 --> 00:55:12.000]   Depress the edit button and fix it.
[00:55:12.000 --> 00:55:15.000]   Yeah, Woz is reverse engineering himself to be accurate.
[00:55:15.000 --> 00:55:21.000]   Do you feel that that's an interesting, getting back kind of full circle to our original questions about celebrity?
[00:55:21.000 --> 00:55:26.000]   I guess you must feel some of the pressure or the weight of history on your shoulders.
[00:55:26.000 --> 00:55:29.000]   That you are kind of what history says you are.
[00:55:29.000 --> 00:55:31.000]   You've given that up, huh?
[00:55:31.000 --> 00:55:35.000]   No, I never felt that for ages and ages and now I feel it a little bit.
[00:55:35.000 --> 00:55:36.000]   You just give it up?
[00:55:36.000 --> 00:55:37.000]   Well, what do you mean?
[00:55:37.000 --> 00:55:38.000]   I am with history.
[00:55:38.000 --> 00:55:41.000]   Well, yeah, a lot of the mistakes that are written into history into books.
[00:55:41.000 --> 00:55:44.000]   Yeah, yeah, just becomes, yeah, it's not worth fighting.
[00:55:44.000 --> 00:55:45.000]   You've got to give it up.
[00:55:45.000 --> 00:55:46.000]   Interesting.
[00:55:46.000 --> 00:55:50.000]   You are with people who want to see you more than you are yourself.
[00:55:50.000 --> 00:55:53.000]   Yeah, but you know who you are inside.
[00:55:53.000 --> 00:55:55.000]   I mean, that's not going to change.
[00:55:55.000 --> 00:55:56.000]   I guess there's two, there's two Woz's.
[00:55:56.000 --> 00:55:58.000]   There's the public Woz and the real Woz.
[00:55:58.000 --> 00:55:59.000]   Sure.
[00:55:59.000 --> 00:56:00.000]   Oh, I never think about anything else.
[00:56:00.000 --> 00:56:01.000]   There's only one more.
[00:56:01.000 --> 00:56:03.000]   There's only one me.
[00:56:03.000 --> 00:56:06.000]   I am what you, I am what I am.
[00:56:06.000 --> 00:56:08.000]   We are a clone.
[00:56:08.000 --> 00:56:11.000]   Check under your eyelids for two more gods.
[00:56:11.000 --> 00:56:12.000]   You're right.
[00:56:12.000 --> 00:56:16.000]   Oh, anyway, this has been a lot of fun.
[00:56:16.000 --> 00:56:17.000]   I think we have to do this again.
[00:56:17.000 --> 00:56:23.000]   In fact, Woz, we're going to be doing the show from Macworld Expo on the Tuesday after the keynote.
[00:56:23.000 --> 00:56:27.000]   I imagine there will be some big stories and if you knew, of course, you couldn't tell us now,
[00:56:27.000 --> 00:56:30.000]   but maybe after the fact you could come by and say hi.
[00:56:30.000 --> 00:56:34.000]   Talk a little bit about what Apple's got coming out in 2006.
[00:56:34.000 --> 00:56:38.000]   Woz, how connected are you to what goes on at Apple corporate?
[00:56:38.000 --> 00:56:40.000]   Are you still in the loop?
[00:56:40.000 --> 00:56:44.000]   I do not try to stay in the loop like what is Apple working on in the future.
[00:56:44.000 --> 00:56:51.000]   Try to be one of the people that might be privy to some of the knowledge that used to get leaked as rumors.
[00:56:51.000 --> 00:56:54.000]   I think it messed up the company and it's not in high regard.
[00:56:54.000 --> 00:57:00.000]   I think if I tried to know the rumors of what's really going on, the secrets, I would know.
[00:57:00.000 --> 00:57:03.000]   It'd be suspicious, even in my trustable.
[00:57:03.000 --> 00:57:04.000]   Interesting.
[00:57:04.000 --> 00:57:05.000]   I don't try to know that.
[00:57:05.000 --> 00:57:11.000]   I try to keep up with the latest announced products and software hardware how it works.
[00:57:11.000 --> 00:57:15.000]   I just download a lot of it and play with it as much as I have time.
[00:57:15.000 --> 00:57:18.000]   What is your business relationship with Apple?
[00:57:18.000 --> 00:57:21.000]   Are you on the board? Do you have any relationships?
[00:57:21.000 --> 00:57:25.000]   I have a small salary. I report to Steve Jobs.
[00:57:25.000 --> 00:57:30.000]   I talked to him on the phone once in a while and tell him what I think is not working with some product usually.
[00:57:30.000 --> 00:57:31.000]   Very cool.
[00:57:31.000 --> 00:57:33.000]   First, we'll talk.
[00:57:33.000 --> 00:57:37.000]   Knowing Apple is probably one step away from being sued.
[00:57:37.000 --> 00:57:39.000]   No, come on.
[00:57:39.000 --> 00:57:42.000]   I had to have my one Apple joke in there.
[00:57:42.000 --> 00:57:47.000]   You think the rumors and all the leaks were actually a very bad thing for Apple at that time?
[00:57:47.000 --> 00:57:57.000]   I think the element of secrecy works better for the company in selling its products and having a lot of excitement when they come out and sort of got to have this one mentality.
[00:57:57.000 --> 00:58:04.000]   Everything from Apple is only brought out if you've got to have it and then also the company doesn't overbuild.
[00:58:04.000 --> 00:58:06.000]   They build it way too much.
[00:58:06.000 --> 00:58:07.000]   They have to junk some.
[00:58:07.000 --> 00:58:13.000]   It sure would be nice to know when the next iPod is going to come out so you could decide whether you want to have it for one week or not.
[00:58:13.000 --> 00:58:14.000]   The Bikinio?
[00:58:14.000 --> 00:58:17.000]   Did you see that? I'm sure you all did see that.
[00:58:17.000 --> 00:58:18.000]   The Micro, yeah.
[00:58:18.000 --> 00:58:20.000]   The Enviso.
[00:58:20.000 --> 00:58:21.000]   The Enviso.
[00:58:21.000 --> 00:58:25.000]   That's the Saturday Night Live bit that was so very funny.
[00:58:25.000 --> 00:58:29.000]   So many funny bits came from the Switch campaign too.
[00:58:29.000 --> 00:58:31.000]   Did they? Oh yeah.
[00:58:31.000 --> 00:58:32.000]   Yeah, that's right.
[00:58:32.000 --> 00:58:36.000]   My favorite one, if you can look it up, you can probably find it besides the actual real one with that stoner girl.
[00:58:36.000 --> 00:58:45.000]   My favorite one is the guy who's the Canadian who switched from being American and he talks about the smelly money.
[00:58:45.000 --> 00:58:51.000]   Try to find anyone out there and just get just a guy that says Canadian guy switch ad.
[00:58:51.000 --> 00:58:53.000]   I'll put a link in the show notes.
[00:58:53.000 --> 00:58:54.000]   I'll find it.
[00:58:54.000 --> 00:58:55.000]   Our money is smelly.
[00:58:55.000 --> 00:58:56.000]   I never thought about that.
[00:58:56.000 --> 00:58:57.000]   You know, that's right.
[00:58:57.000 --> 00:58:58.000]   Steve comes up to Toronto every month.
[00:58:58.000 --> 00:58:59.000]   It's nice clean money up there, isn't it?
[00:58:59.000 --> 00:59:00.000]   It really is.
[00:59:00.000 --> 00:59:01.000]   Always crisp and fresh.
[00:59:01.000 --> 00:59:03.000]   Fragrant, almost.
[00:59:03.000 --> 00:59:06.000]   A lot of it is because they don't use dollar bills.
[00:59:06.000 --> 00:59:09.000]   They have loonies, one dollar coins and two dollar coins.
[00:59:09.000 --> 00:59:10.000]   They don't have coins.
[00:59:10.000 --> 00:59:13.000]   Steve wouldn't have his favorite prank to play anymore.
[00:59:13.000 --> 00:59:14.000]   He goes and buys those.
[00:59:14.000 --> 00:59:16.000]   Do you still get the two dollar bills in a big deal?
[00:59:16.000 --> 00:59:17.000]   I sure do.
[00:59:17.000 --> 00:59:18.000]   I sure do.
[00:59:18.000 --> 00:59:22.000]   One of my favorite lines is you can still smell the ink and that starts them thinking they were just printed.
