
[00:00:00.000 --> 00:00:07.600]   This is Twit this week in tech episode 9 recorded Sunday June 12th delivered Sunday June 19th
[00:44:56.840 --> 00:45:01.820]   No, no, it could be smaller than that. I just want a nice screen. I want a 1080 42. Yeah, 42 is fine
[00:45:01.820 --> 00:45:05.480]   I just want 1080p is what I really want and a screen that you can see in the living room
[00:45:05.480 --> 00:45:08.280]   I mean so people can you know, I don't have to sit right next to it
[00:45:08.280 --> 00:45:14.920]   That's one nice advantage of LCD at least for that sharp in normal viewing light bright brightly lit rooms
[00:45:14.920 --> 00:45:17.080]   Oh my goodness. I think is awesome
[00:45:17.080 --> 00:45:21.400]   It actually I think it looks a little bit better because sometimes with most LCD technology
[00:45:21.400 --> 00:45:25.640]   You don't get the really really dark blacks and when if you're sitting in a dimly lit room
[00:45:25.640 --> 00:45:30.360]   But is the bride the bread or the ambient lighting becomes right the the by contrast
[00:45:30.360 --> 00:45:33.160]   Something looks gray on the screen. It'll get darker and darker looking
[00:45:33.160 --> 00:45:37.320]   So your eyes tend to see things darker the brighter it is within with the ambient lighting itself
[00:45:37.320 --> 00:45:43.160]   So for brightness. Yes for you know all the bells and whistles of a of a seven eight thousand dollar display
[00:45:43.240 --> 00:45:48.440]   It is I'm pretty impressed. I gotta say I'm writing up a good review of it. Yeah, Robert when I move back up there
[00:45:48.440 --> 00:45:50.440]   Can we do a movie night in your lab?
[00:45:50.440 --> 00:45:56.280]   That sounds great. I was currently the size of a closet. We're building out a new facility
[00:45:56.280 --> 00:45:59.400]   So as soon as that's done definitely movie night at my house
[00:45:59.400 --> 00:46:04.760]   It was either that or or get one of those super stable turntables, you know, that's got this special
[00:46:04.760 --> 00:46:11.480]   Liquid hydraulic balancing in there that was about 20 grand so I could either do that or a full home theater system
[00:46:11.480 --> 00:46:15.080]   I don't know. What do you think I'm buying a fifteen thousand dollar turntable
[00:46:15.080 --> 00:46:18.840]   You can
[00:46:18.840 --> 00:46:26.680]   You really can oh no. Yeah, I listened to I listened to an original like 1947 lui Armstrong lp on and like a
[00:46:26.680 --> 00:46:33.080]   $15,000 crazy looking turntable with probably like $40,000 for the speakers and at the home theater expo last year
[00:46:33.080 --> 00:46:35.160]   And that was just uh it sounds better
[00:46:35.160 --> 00:46:38.360]   But you know what I just in vinyl just sounds neat and
[00:46:39.240 --> 00:46:44.600]   It sounded it sounded as good as you could make that vinyl. It's pretty warm. It sounded perfect. Yeah. Oh, it was beautiful
[00:46:44.600 --> 00:46:46.680]   Meji cry
[00:46:46.680 --> 00:46:48.680]   But please
[00:46:48.680 --> 00:46:54.360]   I don't I don't need an $8,000 tweeter sitting in my my you know front param monitors
[00:46:54.360 --> 00:46:59.560]   A diamond we know this tweeter from a block of diamond. It's like great
[00:46:59.560 --> 00:47:02.760]   Yes, it sounds amazing
[00:47:04.200 --> 00:47:07.960]   I don't know. I'm having a hard time really thinking about getting a tv
[00:47:07.960 --> 00:47:11.400]   I just I mean it's been fine without a tv for this time and I you know
[00:47:11.400 --> 00:47:14.200]   I'm not sure I want to buy another tv it'd be nice to have a really good stereo
[00:47:14.200 --> 00:47:18.120]   Well, you know what it least hold off in the tv decision until the end of the year
[00:47:18.120 --> 00:47:21.320]   You think starting from this month till throughout the end of the year
[00:47:21.320 --> 00:47:26.040]   Right now is when the smallest of the new displays come out progressively or as it follows throughout the rest of the year
[00:47:26.040 --> 00:47:31.480]   You'll see larger and larger displays and by uh say october november the biggest of the new displays will be out
[00:47:31.880 --> 00:47:35.960]   And then prices fall accordingly. So that's good to know. Okay. So the end of the year
[00:47:35.960 --> 00:47:40.600]   This is the stuff we saw at seet yes at the beginning of the year and it is some of the best techniques
[00:47:40.600 --> 00:47:44.920]   The best display technology ever and it's now just starting to finally make it out into the market
[00:47:44.920 --> 00:47:51.960]   So i'm never in a hurry to buy anything when it comes to new displays, which is you know, i'm sure the manufacturers love hearing that commentary
[00:47:51.960 --> 00:47:57.240]   What's that cut off date for buying a new but we're really in the transition phase of the television right now
[00:47:57.240 --> 00:48:01.400]   And so it it would be good to put it off as long as you can definitely but for the
[00:48:01.800 --> 00:48:07.000]   A lot of people i know they're looking or they're looking for displays that are sub two grand and or they want something in that price range too
[00:48:07.000 --> 00:48:11.640]   And that's that's that's that's just challenging to find a good product in that category as it is
[00:48:11.640 --> 00:48:17.480]   Any category it's just the value stuff finding for people i find is probably the most challenging part of what i do
[00:48:17.480 --> 00:48:23.640]   Because but like i said this those uh 37 inch lcd's are coming up from then q and
[00:48:23.640 --> 00:48:29.000]   Westinghouse and they'll offer 1080p resolutions and they're going to be priced at around, you know
[00:48:29.480 --> 00:48:33.400]   99 and i'm really curious to see those those are starting to trickle out right now
[00:48:33.400 --> 00:48:39.080]   So patrick sent me a link is this a tech tv on this date photo blog? What is the deal on this patrick?
[00:48:39.080 --> 00:48:44.440]   Oh somebody it's a collection of stills from the site. Wow. This is awesome. Who put this together?
[00:48:44.440 --> 00:48:45.720]   I have no idea
[00:48:45.720 --> 00:48:52.200]   It's a lot of it's off of fatty maddies jib cab and then the and then the jib camp shots and the spy cam too. I see it
[00:48:52.200 --> 00:48:56.680]   With the url it's a text america photo blog text tv tech tv dash
[00:48:57.240 --> 00:49:04.200]   otd.textamerica.com it's tech tv on this date.textamerica.com and uh, it's kind of cool
[00:49:04.200 --> 00:49:07.800]   It's like you know what's going on what happened on this day in tech tv history
[00:49:07.800 --> 00:49:11.240]   It's kind of sad really i have a quick question
[00:49:11.240 --> 00:49:16.440]   What's so how how how long should i wait before buying a new uh a new television?
[00:49:16.440 --> 00:49:22.200]   Should i just wait till christmas season for the first of the year january of 2006 because then you'll see all the new displays
[00:49:22.200 --> 00:49:26.920]   They come out by christmas and you'll want those so bad that it'll put you off another six months
[00:49:27.560 --> 00:49:31.560]   See i need a i'm gonna have i need a tv in like july dude
[00:49:31.560 --> 00:49:37.000]   Okay, i hear you in time for the in time for the start of sport season so what what do we get?
[00:49:37.000 --> 00:49:42.520]   Uh, what size are you looking for? You know what kind of space do you have like in terms of do you need a flat panel or do you need a rear projection?
[00:49:42.520 --> 00:49:47.720]   Uh, i i still okay i'm still think crt's are the best deal for the money right now
[00:49:47.720 --> 00:49:54.440]   Especially for the right room i'm tempted to buy a projector because the place i'm moving to a lab space on a wall for a
[00:49:54.440 --> 00:50:00.200]   To use a projector i don't like the angle issues with with most of the projection rear projections i've seen
[00:50:00.200 --> 00:50:03.960]   Uh, i don't want to pay i want to keep it like under two thousand dollars
[00:50:03.960 --> 00:50:10.360]   You know i i reviewed a 32 inch lcd panel this week or last week that was uh pretty damn good
[00:50:10.360 --> 00:50:16.600]   Overall i had some definite issues but image quality and detail even in a brightly lit room was amazing and it was
[00:50:16.600 --> 00:50:19.560]   1099 $1,100 so
[00:50:20.280 --> 00:50:24.760]   I mean it was from a win book actually it had some significant it had some
[00:50:24.760 --> 00:50:29.960]   Very specific issues that i kind of railed it on but as as a display for hd content
[00:50:29.960 --> 00:50:33.560]   I was I was very impressed and you consider that price point though
[00:50:33.560 --> 00:50:37.720]   Oh, is that the one that had the shutter and the when it was doing the ntsc stuff?
[00:50:37.720 --> 00:50:38.920]   Uh
[00:50:38.920 --> 00:50:44.440]   This actually had a stretching problem or scaling issue when it came to standard definition content
[00:50:44.440 --> 00:50:50.200]   But it you know if that really really bothers you that would that i think would be a major turn off for getting that particular display
[00:50:50.920 --> 00:50:55.160]   But for hd content it was spot on for most component and dvi based content
[00:50:55.160 --> 00:50:59.080]   It was spot on and the detail i found it was just phenomenal
[00:50:59.080 --> 00:51:04.200]   But again that price at 1100 bucks say you're really good crt based tv's you know
[00:51:04.200 --> 00:51:10.840]   We're gonna weigh about 100 pounds more a couple hundred pounds more and they're right about that same size for not much
[00:51:10.840 --> 00:51:13.720]   You're not gonna save a whole lot less by going crt at that point
[00:51:13.720 --> 00:51:20.040]   So if it's we're really getting to that interesting time where flat panels are gonna really i think of of one technology or another take over
[00:51:20.040 --> 00:51:25.160]   The crt finally in rear projection technologies. It's just uh, they're too big and not sexy enough
[00:51:25.160 --> 00:51:27.720]   You are not sexy enough you must leave now
[00:51:27.720 --> 00:51:35.000]   You know what though the when i left ces at the beginning of the year i was still convinced that crt's in the in the 30 inch range
[00:51:35.000 --> 00:51:37.240]   30 to say 36 at the max i guess
[00:51:37.240 --> 00:51:41.000]   Were your best value in hd tv because you get them for around 800 bucks or so
[00:51:41.000 --> 00:51:48.040]   But now that we're seeing lcd's of increasingly better quality and improved quality coming in at prices under a thousand now or right around a thousand
[00:51:48.040 --> 00:51:53.960]   Dollars, yeah, I just don't see it being very much longer before a flat panel technology of some kind will satisfy you
[00:51:53.960 --> 00:51:58.840]   At a price you can afford and you know within a few years that'll just mean bigger and better for everyone but
[00:51:58.840 --> 00:52:06.600]   Years down the road, right? But if like I pointed out what was it that toshiba that toshiba crt was awesome. I don't know what the hell i'm saying anymore
[00:52:06.600 --> 00:52:09.480]   I'm drawing out i'm parched
[00:52:09.480 --> 00:52:13.320]   It's a head cold. Hey, what is this what is this about my cold medicine?
[00:52:13.560 --> 00:52:19.400]   What is this about dvd decrypted what did it go out of business? What happened the website's down right they got a cesan desist
[00:52:19.400 --> 00:52:25.640]   You're kidding. Yeah, they did. I want to know who it was they gave him the cesan desist because it just sounded like a okay?
[00:52:25.640 --> 00:52:29.240]   We're done. We're really done this time. It's like three two one studios. They're gone
[00:52:29.240 --> 00:52:33.480]   I think they gave it to the wrong guys though. Did you guys i never used decrypted i was always a shrink guy
[00:52:33.480 --> 00:52:38.760]   What about dvd shrink now that's and they were based out of the uk that's still there i downloaded it today
[00:52:39.000 --> 00:52:43.560]   And that's free right oh yeah, so was that the problem was that dvd decrypted was a company?
[00:52:43.560 --> 00:52:49.080]   They were what was it a lightning uk? I mean he was you try to do the shrink and let's see
[00:52:49.080 --> 00:52:54.040]   Basically, they were given the cesan desist and anyone hosting the file was told to take it down
[00:52:54.040 --> 00:52:59.400]   And the person who was the author of the application said that you know what they don't have the time or the resources
[00:52:59.400 --> 00:53:03.640]   Resources are the big one to put up any kind of defense against this so yeah the cd free
[00:53:04.440 --> 00:53:12.280]   He the cd freaks posted a letter he wrote he's like if if uh, you know three two one studios can do can't do with millions
[00:53:12.280 --> 00:53:14.360]   What am i gonna you know what chance i have to fight?
[00:53:14.360 --> 00:53:23.000]   Although the the rumor is that uh the rumor is that sony served him the notice
[00:53:23.000 --> 00:53:29.640]   Cause and the slash tide is the best quote as it is rumored that he broke their new copyright protection within 72 hours
[00:53:30.200 --> 00:53:34.280]   That was my favorite thing about that app didn't matter what dvd had old if you could just
[00:53:34.280 --> 00:53:37.160]   Strip it get it on your hard drive and you don't have to worry about
[00:53:37.160 --> 00:53:43.960]   Region codes or you know do I need the disc or am i gonna scratch the disc sure can be a pirate tool everything can be a pirate tool
[00:53:43.960 --> 00:53:46.600]   Is this the part where we remind our listeners that this is a
[00:53:46.600 --> 00:53:48.680]   Violating
[00:53:48.680 --> 00:53:53.240]   Copy protection is a violation of the dmca very use though for personal backup
[00:53:53.240 --> 00:53:57.400]   You know what's sad is that canada which is up to now and not had that
[00:53:57.800 --> 00:54:01.720]   Copy right rule that you can't reverse engineer encryption is about to pass
[00:54:01.720 --> 00:54:07.320]   A law next week that will make it the same and you know where this all comes from is is uh,
[00:54:07.320 --> 00:54:13.960]   WIPO the world intellectual property organization, which is a united nations a united nations group
[00:54:13.960 --> 00:54:21.000]   And wipo essentially is setting the patent and trademark law for the world and encouraging all
[00:54:21.800 --> 00:54:24.920]   Nations to go along with I was talking to cori doctor. Oh this week
[00:54:24.920 --> 00:54:28.600]   He's a you know, we always used to have money from the electronic frontier foundation
[00:54:28.600 --> 00:54:33.160]   He actually is is an observer at wipo at the united nations
[00:54:33.160 --> 00:54:39.320]   He says the problem with wipo is even though it was a un chartered organization and their charter was
[00:54:39.320 --> 00:54:41.240]   to promote
[00:54:41.240 --> 00:54:43.000]   uh, you know the sharing of
[00:54:43.000 --> 00:54:50.520]   Of information it was pretty much controlled by intellectual property companies like the motion picture association of america
[00:54:50.920 --> 00:54:54.200]   They're supposed to be non-governmental organizations ngos nonprofits
[00:54:54.200 --> 00:54:58.520]   But it's the mpaa and the ria a that's on wipo and they got their agenda pushed forward
[00:54:58.520 --> 00:55:03.080]   Which was you can't backward, you know, you can't reverse engineer copy protection
[00:55:03.080 --> 00:55:07.480]   So now canada is going along for the right? It's really sad. I think it's uh because there is a fair you
[00:55:07.480 --> 00:55:12.360]   There's a legitimate fair use purpose to making backup copies of your dvd's totally
[00:55:12.360 --> 00:55:17.960]   I don't think roberts pirating dvd's to sell them on the streets. He wants to make backup copies
[00:55:17.960 --> 00:55:22.520]   See i don't think it's it's not selling it on the streets that they care about so much is you know
[00:55:22.520 --> 00:55:26.920]   Bit torrent and peer-to-peer but you're not doing that robert are you no no never
[00:55:26.920 --> 00:55:32.360]   Robert isn't and if he was he never admitted i wouldn't do that period. It's just it
[00:55:32.360 --> 00:55:36.680]   I'm a quality whore. It's like i have to have things in pristine quality
[00:55:36.680 --> 00:55:41.800]   And i'm not gonna put up with any shaky camcrap nor am i gonna give away something i paid good money for
[00:55:41.800 --> 00:55:47.640]   You know i i buy seasons of of shows i like because i like having it in that good quality
[00:55:47.640 --> 00:55:49.640]   That's commercial free it happens to be as well
[00:55:49.640 --> 00:55:55.480]   It's another reason i like watching dvd's and there are good legitimate reasons to make backups that yes one
[00:55:55.480 --> 00:55:59.880]   Sometimes i run into region code problems where i get a disc from overseas and i want to watch it and
[00:55:59.880 --> 00:56:02.120]   I either have to give up on my pc
[00:56:02.120 --> 00:56:07.320]   I have to change the drive where you only get five times you can do this before the drive becomes
[00:56:07.320 --> 00:56:10.760]   Unchangeable again or i have to use some piece of software to get around a region code
[00:56:10.760 --> 00:56:15.320]   Or i want to watch it say on my psp or i want to watch it on a portable format
[00:56:15.720 --> 00:56:21.880]   Or i simply don't want to have the disc with me hollywood and the in the in the people who own the content give me a no other
[00:56:21.880 --> 00:56:25.160]   Option and i'm i'm tech savvy enough to be able to get around that and
[00:56:25.160 --> 00:56:28.520]   You know i don't think twice about it personally and you're not alone
[00:56:28.520 --> 00:56:32.280]   There's a lot of other people like you yeah, but there's also a lot of people that are
[00:56:32.280 --> 00:56:37.480]   It's like if they gave it to me at a fair price i can't even buy the original star wars anymore
[00:56:37.480 --> 00:56:42.120]   Yeah, so how is it stealing if they're not even selling it i yeah, but leo you're saying you know
[00:56:42.120 --> 00:56:46.200]   We're the well-behaved people that are disciplined and only back up copies for our own use
[00:56:46.200 --> 00:56:52.760]   You're not the people that try me you get regulated by default, but you know i mean how many how many millions of people i mean
[00:56:52.760 --> 00:57:00.760]   Look there's no way to there's no way to establish the relationship between you know file trading and piracy and lost sales
[00:57:00.760 --> 00:57:05.640]   Right however, you know i you know how many people you know and you can get into the whole well
[00:57:05.640 --> 00:57:10.440]   I'm just sampling i buy a cd if i like it, but if you think about it, there's an entire generation
[00:57:10.600 --> 00:57:13.640]   You know of teenagers that look at you like you're on crack
[00:57:13.640 --> 00:57:19.560]   If you talk about buying music, you know because they download it all i mean it's it's going to be interesting to see
[00:57:19.560 --> 00:57:21.960]   You know is there are there legitimate issues yet?
[00:57:21.960 --> 00:57:29.720]   You know do i think broadcast you know television going after people for for doing file trading on broadcast episodes is kind of ridiculous
[00:57:29.720 --> 00:57:33.400]   Yeah, you know do i understand why cable companies are wigging out
[00:57:33.400 --> 00:57:40.280]   You know hbo or somebody would they be upset if deadwoods being traded online i can see why they'd be upset because they want to sell the dvd
[00:57:40.280 --> 00:57:45.560]   Box set well the music industry got smacked with it first and that drove them to immediately start well
[00:57:45.560 --> 00:57:51.720]   At least nowadays you can for a fairly low price buy music online and it's an increasingly competitive
[00:57:51.720 --> 00:57:54.920]   Space as well, which i think is going to be good for everyone and i
[00:57:54.920 --> 00:58:02.280]   I hope that hope that is over the video the online music sales most of it stinks most of the online music sales horrible
[00:58:02.280 --> 00:58:06.680]   But i mean is the selection bad rights the access the qualities atrocious compared to a cv
[00:58:06.760 --> 00:58:12.200]   You know we get around that though too pat and i mean i've been using uh him to decrypt all of the music that i buy
[00:58:12.200 --> 00:58:17.320]   Just so that i can you know do what i want with it yep i do too i just hit j him but if the quality is not there
[00:58:17.320 --> 00:58:22.680]   Yeah, i'm using the higher quality i bought i've bought eight or nine hundred songs on the itunes music store
[00:58:22.680 --> 00:58:26.280]   It's not like i'm not giving them my money believe me they're getting my money
[00:58:26.280 --> 00:58:31.720]   But i don't want any copy protection on it so i j him at all right, you know say isn't j him amazing
[00:58:31.800 --> 00:58:36.520]   It's a great little app now by the way there is no guarantee that once we've j him this stuff
[00:58:36.520 --> 00:58:43.240]   Apple won't make some change to their drm that makes it all unusable and and frankly i know it's ripped it all out though
[00:58:43.240 --> 00:58:47.880]   Right, it's just it's just a uh, what is it a mp or mp right now?
[00:58:47.880 --> 00:58:51.000]   It's a completely i mean you can never tell that it was ever there to be em
[00:58:51.000 --> 00:58:54.840]   That's not true because we don't know exactly what stuff apple's putting in there
[00:58:54.840 --> 00:58:57.800]   So there could be other things that aren't being stripped out
[00:58:57.880 --> 00:59:04.040]   The only really safe thing to do at this point would be to convert it to an mp3 and then you wouldn't and which by the way j him will do
[00:59:04.040 --> 00:59:08.440]   Automatically and then you're safe because it's no longer an aac of any stripe, you know
[00:59:08.440 --> 00:59:10.440]   Yeah, i'm not too worried about it
[00:59:10.440 --> 00:59:14.520]   I'm just gonna keep it you can always bet you know the j him does a backup before you have you seen that where it can
[00:59:14.520 --> 00:59:19.080]   Write it to a different directory you can take it off side if you want the safe thing to do is make a backup copy of the original
[00:59:19.080 --> 00:59:24.920]   Unmodified aac so that you if apple does flip a switch you can get back to where you were
[00:59:25.000 --> 00:59:28.440]   I love how you can deauthorize without actually deauthorizing have you seen that?
[00:59:28.440 --> 00:59:34.360]   Well, this is you know i started using j him and one of the things that scare me a little bit is uh, you know
[00:59:34.360 --> 00:59:39.320]   In order for it to decrypt you have to get the keys in order to get the keys you have to authorize a computer
[00:59:39.320 --> 00:59:45.320]   Right so instead of actually authorizing your real and computer it makes up a fake guid that's random
[00:59:45.320 --> 00:59:51.400]   You authorize that guid and then it's an additional computer and you can you know get the keys
[00:59:51.400 --> 00:59:53.880]   The problem is you know
[00:59:53.880 --> 00:59:58.760]   You can either do it temporarily or a long term all of a sudden you've authorized five systems
[00:59:58.760 --> 01:00:05.400]   You know instantly and and they even warn you don't do this a lot because it might track attention from apple
[01:00:05.400 --> 01:00:07.640]   That you're authorizing deauthorizing authorizing
[01:00:07.640 --> 01:00:11.480]   So i think it's one of those things you want to you want to do
[01:00:11.480 --> 01:00:18.840]   Once and then you know decrypt everything at once and get it done with because and then and then by the way unauthorize because you've got a
[01:00:19.240 --> 01:00:25.480]   Bogus computer that's authorized. It's fun. It really works great. I think it's a great solution the man trying to keep us down
[01:00:25.480 --> 01:00:27.880]   Mr. LaPorte
[01:00:27.880 --> 01:00:29.880]   Mr. LaPorte
[01:00:29.880 --> 01:00:33.640]   Again, i'm not selling this i'm not trading it. I'm not paying
[01:00:33.640 --> 01:00:37.000]   Steve jobs. It's just because I want to put it you know why i'm doing it
[01:00:37.000 --> 01:00:39.560]   I want to put it on that file server that piece of crap boss
[01:00:39.560 --> 01:00:43.560]   And I don't want any copy protection on it because and and that's all
[01:00:43.560 --> 01:00:47.640]   That's the only reason
[01:00:47.640 --> 01:00:49.720]   Leo went to prison for our sins
[01:00:49.720 --> 01:00:56.760]   I'd like to be a martyr. I want to see some free leo t-shirts. I'll print the free leo bumper stickers
[01:00:56.760 --> 01:00:59.880]   Oh
[01:00:59.880 --> 01:01:03.960]   Gentlemen, i'm gonna be late for dinner time to wrap up this piece of clip
[01:01:03.960 --> 01:01:07.080]   Back in the web
[01:01:07.080 --> 01:01:12.760]   Hey, i'm gonna go play the new battlefield to demo. Oh, yeah, what are you gonna? Hey just remember something my wife
[01:01:12.760 --> 01:01:16.600]   You
[01:01:16.600 --> 01:01:18.280]   What are you going off to do?
[01:01:18.280 --> 01:01:23.480]   Uh, i'm tracking though. I just launched a new version of system by the way. Oh, yeah, let's let's give it a little plug
[01:01:23.480 --> 01:01:29.800]   What are you doing on this one? Yeah, s y s tm. Dot org. Yeah, it's uh, this one is uh, how to create myth tv box
[01:01:29.800 --> 01:01:35.160]   So we start from scratch show you the about the different cards that you can purchase and then walk you all the way through
[01:01:35.160 --> 01:01:41.000]   Uh, how to set up your own, uh open source pvr. This is the system even john c de vorac liked yay
[01:01:41.000 --> 01:01:45.000]   Yeah, I saw that that was crazy does myth work with a dtv card as well
[01:01:45.160 --> 01:01:51.240]   So you can pull in digital broadcast like even hd stuff. Yeah, i've actually there's a card from a pc hd tv called the hd
[01:01:51.240 --> 01:01:56.040]   3000, uh, it's a lemmest base card it works great with, uh, uh, high def content nice
[01:01:56.040 --> 01:01:57.640]   Yeah, it's pretty cool. It's a nice box
[01:01:57.640 --> 01:02:02.520]   I mean it does so many so much more than just capture video that how actually has a bunch of different add-ins
[01:02:02.520 --> 01:02:07.080]   You can do rss readers your uh, you can play main games from within myth
[01:02:07.080 --> 01:02:13.080]   It's it's a very cool open source and you don't have to pay the the monthly subscription fee like you would at tvo or replay tv
[01:02:13.160 --> 01:02:18.280]   Which is also really nice that is cool and you were able to get it running pretty reliably because I know that
[01:02:18.280 --> 01:02:22.440]   Was always a problem in the past. We never really was able to get any of this stuff to work reliably
[01:02:22.440 --> 01:02:28.360]   Yeah, you know, it was actually really hard to set up initially, but there's a great distribution of uh, nopics called konop myth
[01:02:28.360 --> 01:02:34.600]   That does it all for you. That's me and uh, you run that you install it formats the hard drive it installs everything you need
[01:02:34.600 --> 01:02:39.480]   It has all the you know, you don't have to go and download additional packages or anything and uh, you just configure it
[01:02:39.560 --> 01:02:42.760]   It's good to go perfect use for nopics. You know, my favorite nopics
[01:02:42.760 --> 01:02:47.080]   Distro is is the nopics maim that will turn any machine into an arcade machine
[01:02:47.080 --> 01:02:48.840]   You can add all the way it doesn't come with any ROMs
[01:02:48.840 --> 01:02:53.560]   But you can easily rebuild the iso to have all the ROMs and then all you do is you go around any pc
[01:02:53.560 --> 01:02:56.760]   You put it in your boot and you've got you've got this massive arcade machine
[01:02:56.760 --> 01:03:01.960]   That's awesome didn't roger Chang build that set top two player look like a set top arcade machine
[01:03:01.960 --> 01:03:06.360]   Yeah, it wasn't that cool our tabletop arcade machine. Excuse me. Yeah, well the our table
[01:03:06.600 --> 01:03:10.360]   Minds me like those old tron or miss pacman tabletop versions
[01:03:10.360 --> 01:03:13.960]   So great. Oh you take like a box case cabinet like that with the maim system
[01:03:13.960 --> 01:03:16.040]   That'd be just oh that'd be heaven. That was a kit
[01:03:16.040 --> 01:03:20.200]   I'd like to set something like that up if you make it look really good. I wonder what happened to that
[01:03:20.200 --> 01:03:21.960]   I mean probably still has it. Do you think he has it?
[01:03:21.960 --> 01:03:27.240]   Sure, I hope he I hope he can't i thought I went home with them. It was really cool. It certainly hopes so too
[01:03:27.240 --> 01:03:30.520]   Uh, so there's the plug any other plugs anybody else wants to do
[01:03:30.520 --> 01:03:35.960]   Hey, go to extreme ipod.com and uh send this your ipod picture get a chance to win
[01:03:36.520 --> 01:03:40.040]   A whole bunch of free downloaded songs from emusic.com
[01:03:40.040 --> 01:03:44.120]   Which has like the entire huge and not the entire huge chunk of the epitaph catalog
[01:03:44.120 --> 01:03:47.720]   If you're into the whole punk rock thing they've got an access on there a bunch of other good stuff
[01:03:47.720 --> 01:03:49.320]   But send us your
[01:03:49.320 --> 01:03:51.960]   Strange and you have to do a new up. It's another poll soon
[01:03:51.960 --> 01:03:52.520]   I know well
[01:03:52.520 --> 01:03:57.240]   I haven't had access to the poll because that every time i've gone on the system has been throttled down
[01:03:57.240 --> 01:04:03.000]   Too many people visiting our damn site. Uh, i haven't been able to all right. I'm gonna be in there. It's all for you
[01:04:03.000 --> 01:04:05.080]   Yeah, comments have been shut off for a while
[01:04:05.080 --> 01:04:08.520]   Yeah, that's the throttling because as soon as we get more than i increased the number
[01:04:08.520 --> 01:04:11.160]   Uh, you know it has to be like 2 000 people or something on the site
[01:04:11.160 --> 01:04:16.600]   This is simultaneously and you know if anything more than that it really does bog so
[01:04:16.600 --> 01:04:21.240]   I don't know what i'm gonna do. I'm moving it. I've moved it to a new server. Maybe that'll help
[01:04:21.240 --> 01:04:27.480]   I don't know it's a skitter server. It's well, it's just you know, ladies and gentlemen if you contribute to twit.tv
[01:04:27.480 --> 01:04:31.160]   There's a good chance we'll be able to get a faster server you'll get all of the twit features
[01:04:31.160 --> 01:04:36.840]   You know in love on the website and of course you'll keep advertising off of twit.tv and out of the twit
[01:04:36.840 --> 01:04:40.680]   Nicely done. Yes, ladies gentlemen, you can donate just
[01:04:40.680 --> 01:04:47.960]   We uh, we actually we really actually if you can get us some money
[01:04:47.960 --> 01:04:54.920]   We'll do our best to get a faster server and better connection so the the website won't throttle down the websites twit tv.com
[01:04:54.920 --> 01:04:59.800]   You'll get the bar on the right side. There's opportunities to make you twit.tv
[01:05:00.440 --> 01:05:05.160]   Continuing donation which is promises I can't keep $20 a year for single donation
[01:05:05.160 --> 01:05:09.160]   Well, we're gonna make a promise. We're gonna try to keep
[01:05:09.160 --> 01:05:12.440]   And uh, you can do one time donation of any amount
[01:05:12.440 --> 01:05:16.760]   We know that a lot of you have asked for non paypal options
[01:05:16.760 --> 01:05:23.320]   We are working on that leo's working on getting a secure. Yeah, oh yeah, that's yes. We can send me checks
[01:05:23.320 --> 01:05:25.320]   Why can't
[01:05:25.320 --> 01:05:30.280]   You remember that I did I forgot about that now that I'm in the office. We actually have a twit office now
[01:05:30.360 --> 01:05:32.040]   Well, it's kind of you're sharing an office with me
[01:05:32.040 --> 01:05:37.240]   But uh, but now that we have this I can now I can get an LLC and we can actually be able to get that all working
[01:05:37.240 --> 01:05:42.280]   Yeah, you're right. I forgot all about that. We're podcasting to you from the beautiful offices of twit
[01:05:42.280 --> 01:05:46.760]   in petaluma california home of the butter and egg festival
[01:05:46.760 --> 01:05:49.960]   In a darn fine place to raise a family
[01:05:49.960 --> 01:05:57.240]   Quit laughing. We're serious about the butter and egg festival. Yeah, and I and I've got a dr. Pepper waiting in the fridge for you pepper
[01:05:57.640 --> 01:06:03.080]   Oh, it's actually this week is when I go up and learn how to make the podcast happen the magic
[01:06:03.080 --> 01:06:06.040]   The podcast magic
[01:06:06.040 --> 01:06:08.040]   The little magic alf. Well, I have good news
[01:06:08.040 --> 01:06:11.960]   Well, this has been such a long broadcast that i've actually been able to get the
[01:06:11.960 --> 01:06:15.320]   Uh service pack to installed reimage my hard drive
[01:06:15.320 --> 01:06:20.520]   Repartitioning and putting audition on it. So good news. I will be able to edit this twit
[01:06:20.520 --> 01:06:26.280]   Oh lord, excellent. Hey, how about one of us builds a myth box during the next pod nice
[01:06:27.320 --> 01:06:28.840]   live
[01:06:28.840 --> 01:06:32.120]   Live and in person done. I'll do it. It's uh, yeah, it's really scary
[01:06:32.120 --> 01:06:36.440]   By the way, if anybody needs an old Pentium class or syrex pentium system
[01:06:36.440 --> 01:06:39.560]   You let me know because i'm getting rid of one of them's going in Patrick's class of crap
[01:06:39.560 --> 01:06:45.560]   I hate to bring up that painful subject. It won't fit actually the just stick not picks discs and all
[01:06:45.560 --> 01:06:50.280]   The boxing crap is looking pretty good. We've got a wireless, uh, children's video camera in there
[01:06:50.280 --> 01:06:55.000]   We've got a ces mag full of goodies from 2005 the enhanced keyboard
[01:06:55.640 --> 01:07:01.960]   Yeah, there's all sorts of good stuff in there somebody's going to be awfully happy and and my uh, my beloved wife says that leo
[01:07:01.960 --> 01:07:05.160]   You can give away as many boxes of minecrafts you want
