;FFMETADATA1
title=Just Lean Forward
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=232
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2014
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.240]   It's time for Twig this week at Google. We will watch live Gina Trappani launch her new enterprise
[00:48:22.840 --> 00:48:25.400]   non-california
[00:48:25.400 --> 00:48:27.800]   No, in fact
[00:48:27.800 --> 00:48:30.040]   It's gonna be us
[00:48:30.040 --> 00:48:36.440]   Baby boomers who are gonna continue to say man dude far out well into our 90s
[00:48:37.320 --> 00:48:39.320]   Far out
[00:48:39.320 --> 00:48:43.960]   I'm growing a ponytail
[00:48:43.960 --> 00:48:47.560]   Get over it dude
[00:48:47.560 --> 00:48:51.160]   Um, okay my friend. Sorry
[00:48:51.160 --> 00:48:53.880]   3.2 billion is not a lot to google
[00:48:53.880 --> 00:48:56.920]   But it is i beg your differ, but it's a lot for nest
[00:48:56.920 --> 00:49:01.080]   It's uh, it's a lot for google even if you're talking 5.8 percent of their cash position
[00:49:01.080 --> 00:49:04.600]   Yeah, that's a lot of money
[00:49:04.600 --> 00:49:08.520]   Okay, but they'll have that much like by the end of the week, right? Don't they? Yeah, I don't
[00:49:08.520 --> 00:49:09.800]   I mean
[00:49:09.800 --> 00:49:15.000]   I think produce like 40 billion dollars in cash like I don't know I just
[00:49:15.000 --> 00:49:17.960]   When you talk about it in percentage, it's non-trivial
[00:49:17.960 --> 00:49:21.000]   Yeah, I know you're absolutely right. I've got a lot of money
[00:49:21.000 --> 00:49:24.120]   There's two developments and there's patents and there's talent
[00:49:24.120 --> 00:49:29.080]   I think part of it is the design they picked up a whole team
[00:49:29.080 --> 00:49:32.440]   Of of really leading apple designers, right?
[00:49:32.440 --> 00:49:36.520]   I mean, yeah, this is nothing that they have. I mean, they do google does some hardware, but uh
[00:49:36.520 --> 00:49:39.800]   Uh, they're not that good at it. They're not that good at it. Let's be
[00:49:39.800 --> 00:49:42.040]   Let's just let's be honest, right?
[00:49:42.040 --> 00:49:48.040]   Google promised android at home to google ios ago and they never shipped nest shipped android at home
[00:49:48.040 --> 00:49:51.800]   So google wanted them period like that's they couldn't do it and nest did
[00:49:51.800 --> 00:49:57.400]   Uh, so you know so or you know that that was the android at home was the first thing I thought of when when I heard about this
[00:49:57.400 --> 00:50:00.920]   News the other thing I thought of was my friend uh, my good friend paul Ford
[00:50:01.320 --> 00:50:05.560]   Wrote a piece on his website in 2002. I don't know if you guys have seen this piece
[00:50:05.560 --> 00:50:10.440]   It's called robot exclusion protocol. You should google it. It's really funny. It's really good. It was 2002
[00:50:10.440 --> 00:50:15.640]   So it was you know a long time ago 12 years ago and it's about how google
[00:50:15.640 --> 00:50:19.800]   It's it's just kind of a short story about how google sent these little bots
[00:50:19.800 --> 00:50:22.040]   I imagined it to be kind of rumba-ish
[00:50:22.040 --> 00:50:23.640]   Into his apartment
[00:50:23.640 --> 00:50:29.800]   To index all his space and he has this conversation with this little google bot about it's you know indexing his space and so
[00:50:30.040 --> 00:50:35.960]   Hi, i'm from google. I'm a google bot. I will not kill you. I know what you are. I'm indexing your apartment
[00:50:35.960 --> 00:50:41.000]   I don't want you here who let you in. I am google. I find many good things
[00:50:41.000 --> 00:50:44.120]   I find that pair of underwear with little dice printed all over them
[00:50:44.120 --> 00:50:47.480]   And I watch the tape of you with the life-size stallman puppet
[00:50:47.480 --> 00:50:53.320]   These are good unique things many keywords many links my master will say much good job little robot
[00:50:53.320 --> 00:50:57.720]   Wow, I put the robot exclusion protocol on my door. That's my favorite
[00:50:58.520 --> 00:51:01.800]   Didn't you see it? I put robot.txt on my door, please
[00:51:01.800 --> 00:51:05.800]   You understand google person I index many things and if I am very good
[00:51:05.800 --> 00:51:09.720]   I get to go to bot park and have more processes and an oil job
[00:51:09.720 --> 00:51:13.480]   Thank you google must come inside apartment and index must
[00:51:13.480 --> 00:51:16.200]   I know my rights. I'm giving you 10 seconds to leave
[00:51:16.200 --> 00:51:21.160]   Yes, I will leave first I index everything everything. I am google
[00:51:21.160 --> 00:51:24.840]   I like it and that was 2002
[00:51:25.480 --> 00:51:27.480]   With a folding chair
[00:51:27.480 --> 00:51:33.960]   We also have that German thing we showed once where where google street view had google home view and they went into your home and took pictures
[00:51:33.960 --> 00:51:36.280]   Remember that yeah, um, yeah
[00:51:36.280 --> 00:51:38.520]   I don't really first of all I had a nest
[00:51:38.520 --> 00:51:45.000]   I installed the nest I got rid of the nest I have two nests and when we moved I didn't install it
[00:51:45.000 --> 00:51:47.800]   Because it kept turning on the heat at in-opportun moments
[00:51:47.800 --> 00:51:54.360]   Really? It's well, it's supposed to know it learns, right? What the what the hell does it learn?
[00:51:55.240 --> 00:51:58.680]   Well on Fridays at 3 p.m. Leo turned up the heat
[00:51:58.680 --> 00:52:01.960]   I'm not apparently consistent enough for it to deduce anything
[00:52:01.960 --> 00:52:09.240]   So it was randomly turning on the heat and I'd come upstairs to be 80 degrees and I turned off the heat say bad google bot
[00:52:09.240 --> 00:52:15.640]   Bad nest it didn't it didn't you know what this was a solution to a problem that frankly didn't exist
[00:52:15.640 --> 00:52:23.880]   I don't know. I think that those I mean, I maybe not the nest. I haven't used one. Oh, though. I do know trust me
[00:52:24.840 --> 00:52:28.680]   You know that no they don't they think it's a love it
[00:52:28.680 --> 00:52:31.160]   It's an in first of all requires a Wi-Fi connection
[00:52:31.160 --> 00:52:34.760]   And does not work without Wi-Fi period
[00:52:34.760 --> 00:52:40.600]   It checks the weather outside and says in doing some kind it's not the promise. It's not smart enough
[00:52:40.600 --> 00:52:45.080]   And maybe that is the problem. Maybe it needs more controllability
[00:52:45.080 --> 00:52:47.960]   I I personally think
[00:52:47.960 --> 00:52:53.880]   That it doesn't do as well as my thermostat that is stupid that I say at 6 a.m
[00:52:54.600 --> 00:52:59.160]   Turn on at 8 a.m. Turn off at 5 p.m. Turn on at 9 p.m. Turn off
[00:52:59.160 --> 00:53:01.800]   That's what it should do
[00:53:01.800 --> 00:53:06.600]   Right. Although I think the potential of the nest is that if it if you do have regular habits
[00:53:06.600 --> 00:53:10.680]   And it learns it can actually help you save money. Yes
[00:53:10.680 --> 00:53:15.160]   By reducing your your heating record and I got an email every month from that
[00:53:15.160 --> 00:53:19.720]   I personally think nest is a really classic example of
[00:53:19.720 --> 00:53:22.200]   A brilliant marketing
[00:53:22.200 --> 00:53:25.240]   That people go oh, this has got to be good. It's Wi-Fi enabled
[00:53:25.240 --> 00:53:27.480]   It's got a color led
[00:53:27.480 --> 00:53:31.240]   Expicture on the front and it's smart
[00:53:31.240 --> 00:53:35.000]   And I get an email every month telling me how much money I've saved
[00:53:35.000 --> 00:53:40.760]   And and none of this really is meaningful. It's just magical
[00:53:40.760 --> 00:53:43.560]   So maybe it's just not smart enough like you said
[00:53:43.560 --> 00:53:47.400]   Yeah, the money I mean the money saving thing is the so
[00:53:47.400 --> 00:53:51.560]   This is interesting. I mean you live in California Leo. I don't know how regular your hours are
[00:53:51.560 --> 00:53:54.440]   They seem to be pretty regular. I mean is it possible that it's
[00:53:54.440 --> 00:53:57.800]   I don't know. I mean I haven't tried it either. Here's the problem
[00:53:57.800 --> 00:54:00.360]   It can't be smart enough unless
[00:54:00.360 --> 00:54:03.720]   So, okay, maybe I'm really if you're really rigid then the nest could learn ever
[00:54:03.720 --> 00:54:05.800]   He comes home every night at five o'clock
[00:54:05.800 --> 00:54:08.360]   But what if you don't the nest there's nothing for the nest to learn
[00:54:08.360 --> 00:54:15.000]   Wait, wait, wait, wait, wait. Okay. All right. All right. So you tie the nest to your android device
[00:54:15.000 --> 00:54:21.320]   And that really knows what it doesn't do away home. Yes. Yes, but it could be better. It will it could be better
[00:54:21.400 --> 00:54:25.720]   Yeah, I mean my friend me heaven has a thermostat he can control remotely
[00:54:25.720 --> 00:54:29.960]   He was telling me a story about how he accidentally was showing off the app to someone
[00:54:29.960 --> 00:54:33.000]   And he was thousands of miles away and he turned the heat up
[00:54:33.000 --> 00:54:39.480]   To you know 150 or something and his wife phoned him and said why did you why did you turn the heat up or roast me here?
[00:54:39.480 --> 00:54:41.480]   Right and he had forgotten to turn it down
[00:54:41.480 --> 00:54:46.440]   That's actually one the only thing I found very useful in this is I could turn my thermostat up and down when i'm not there
[00:54:47.480 --> 00:54:52.920]   That is useful, especially if you know if you have pets or something or so maybe maybe version two
[00:54:52.920 --> 00:54:56.680]   Well, actually we've already had I had version two any version three
[00:54:56.680 --> 00:55:00.680]   We'll get smarter. It's also refreshing to hear critique
[00:55:00.680 --> 00:55:05.720]   From someone who used it not liked it because I feel like i've just heard everybody's talk about how great it is
[00:55:05.720 --> 00:55:08.920]   I've heard people and whatever the whole thing so that's i'm glad i mean
[00:55:08.920 --> 00:55:12.680]   It's good to hear like this that doesn't work for everybody. Yeah, I heard it
[00:55:12.680 --> 00:55:16.360]   I got what I have installed I got it for my life for christmas kind of because
[00:55:16.360 --> 00:55:23.480]   Something but but uh but yeah read read the uh read the article in the economist called the folly of solutionism
[00:55:23.480 --> 00:55:27.000]   Oh, no, no, no, no
[00:55:27.000 --> 00:55:29.000]   Yeah, if guinea mora
[00:55:29.000 --> 00:55:31.560]   It's just phoning us safe for god
[00:55:31.560 --> 00:55:38.440]   Come on, but he's not wrong that the notion that somehow technology is going to magically
[00:55:39.000 --> 00:55:43.080]   solve our problems because it's Wi-Fi enabled is is is
[00:55:43.080 --> 00:55:45.480]   Is not wrong. I mean there is
[00:55:45.480 --> 00:55:51.640]   You said it was a lot of red freaking hair. All right. All right. All right. All right. Oh, I said it solved everything
[00:55:51.640 --> 00:55:53.960]   Well a lot of people they're buying no, no, no
[00:55:53.960 --> 00:55:58.760]   It's very germane people are spending 250 dollars for this thermostat
[00:55:58.760 --> 00:56:03.480]   And because they spent 250 dollars and they get a full color chart every month in the email
[00:56:03.480 --> 00:56:06.440]   They've decided this is solving a problem that it isn't
[00:56:07.160 --> 00:56:10.840]   Well, if you have a family with if you do has geniuses have a regular schedule
[00:56:10.840 --> 00:56:13.160]   There are things that you can do that will make it
[00:56:13.160 --> 00:56:17.640]   Will move along and and maybe be worth it for you or maybe not be worth it for you
[00:56:17.640 --> 00:56:23.080]   I'm not sure either. It's worth playing. I don't get the the one that I don't understand is a smoke alarm
[00:56:23.080 --> 00:56:28.440]   Don't call me call the freaking fire department. Well, I do like to smoke. Okay. Here's where the smoke alarm might be and I don't own it
[00:56:28.440 --> 00:56:32.120]   So I mean this might be all supposition. It does say where it is
[00:56:32.920 --> 00:56:38.840]   So there's a fire in the living room or more more to the point my the battery is dead in the living room
[00:56:38.840 --> 00:56:42.040]   Because that battle that alone is worth it
[00:56:42.040 --> 00:56:46.280]   That is worth money by the way. They're being sued by both honeywell and first alert
[00:56:46.280 --> 00:56:51.000]   Who also make three billion dollars. Yeah, I also make talking smoke alarms
[00:56:51.000 --> 00:56:56.600]   I wasn't gonna say that I heard the next version your google plus contacts will be able to turn
[00:57:00.200 --> 00:57:05.000]   What I don't I did see a lot of coverage worried about the privacy implications of the nest acquisition
[00:57:05.000 --> 00:57:10.120]   I don't really see that well, but maybe but just think a little bit further think about you've got a thermostat
[00:57:10.120 --> 00:57:15.000]   You've got your smoke alarm. You've got who knows window blinds that go up and down
[00:57:15.000 --> 00:57:20.360]   You've got your toast or your your home phone all of that stuff is connected to things your fridge your stove
[00:57:20.360 --> 00:57:22.920]   Um, there are privacy issues there
[00:57:22.920 --> 00:57:27.880]   Depending on where that information goes and there were a lot of people concerned about nest
[00:57:28.280 --> 00:57:30.440]   Was it gonna share the information with google right?
[00:57:30.440 --> 00:57:36.760]   Gonna google gonna add that to this sort of you know corpus of information that that it has about you and all your browsing habits
[00:57:36.760 --> 00:57:39.160]   At this time nest
[00:57:39.160 --> 00:57:43.000]   Sittoni said and the nest blog said we're gonna continue to honor our privacy agreement
[00:57:43.000 --> 00:57:47.320]   Which is that we will only use information from your nest to make nest a better product
[00:57:47.320 --> 00:57:49.160]   We're not gonna share it with third parties or good
[00:57:49.160 --> 00:57:55.000]   But at some point you're gonna put a voluntarily choose to share it because you're gonna get value out of it because when you connect it with your
[00:57:55.000 --> 00:57:57.640]   Travel plans or something like that. So so you know
[00:57:58.280 --> 00:58:02.600]   If it knows you're going you're leaving town and it asks you do you want me to turn the heat down for the week?
[00:58:02.600 --> 00:58:05.000]   Right, you know that kind of stuff
[00:58:05.000 --> 00:58:09.160]   Uh could make it more valuable and I think people will choose to connect them
[00:58:09.160 --> 00:58:13.000]   And I do know i've gone away on trips and forgotten to turn the heat down
[00:58:13.000 --> 00:58:18.040]   I'm sure other people have and this is nice because if even if you do you go online and turn it down later. Yeah
[00:58:18.040 --> 00:58:20.200]   So
[00:58:20.200 --> 00:58:23.720]   I'm saying that they're not gonna share data with google
[00:58:23.800 --> 00:58:30.520]   But they're being acquired by google and google like expressly change their privacy policy to say that products could share data between them
[00:58:30.520 --> 00:58:31.640]   Can nest
[00:58:31.640 --> 00:58:33.800]   Did mojorro i mean that's interesting
[00:58:33.800 --> 00:58:35.880]   That doesn't
[00:58:35.880 --> 00:58:37.400]   They said it's interesting
[00:58:37.400 --> 00:58:43.000]   Google says they're gonna run it like uh, you know, like mojorro as a separate unit like mojorro. Yeah
[00:58:43.000 --> 00:58:48.520]   Um, I I you know what I here's okay. I'll say what I actually think now
[00:58:50.760 --> 00:58:56.360]   Which is that you're absolutely right that the connected home that google had that promise of the connected home never delivered
[00:58:56.360 --> 00:58:59.160]   Uh, if you're looking every company
[00:58:59.160 --> 00:59:04.040]   Any big company and even small in this space is trying to figure out what's the next big thing?
[00:59:04.040 --> 00:59:08.120]   What is the what is one area that really has not been well addressed is connected home
[00:59:08.120 --> 00:59:11.160]   Everybody's talking about the internet of things wearables
[00:59:11.160 --> 00:59:12.760]   uh the
[00:59:12.760 --> 00:59:15.480]   Removing of cpu power to the periphery
[00:59:17.480 --> 00:59:22.840]   Better way to get into this than a company that is two successful products and a lot of smart people
[00:59:22.840 --> 00:59:26.040]   Including programmers
[00:59:26.040 --> 00:59:31.720]   Um, I think this is this is google's announcement that the connected home is the next big thing
[00:59:31.720 --> 00:59:35.960]   And think about even just having those designers whether they're worth three billion or not
[00:59:35.960 --> 00:59:40.680]   I don't know but it's one thing they come up with ideas like that and you could there's probably
[00:59:40.680 --> 00:59:46.840]   People already coming up with humorous versions of what google's version of that thermostat would look like but
[00:59:47.480 --> 00:59:52.680]   People who can design those things in a way that makes them appealing makes them simple
[00:59:52.680 --> 00:59:55.560]   Easy to use that is not
[00:59:55.560 --> 00:59:59.960]   You know that is a hard problem in many cases and so to be able to have that
[00:59:59.960 --> 01:00:06.520]   Right something google hasn't typically been that good at we have a diversity of standards. Uh, you know, it's a tower of bable
[01:00:06.520 --> 01:00:14.200]   Um, nobody's figured this out. Uh, you know, we've all seen the video of the guy using his android phone to unlock the door and set everything
[01:00:14.600 --> 01:00:18.440]   That was somebody who spent hours and hours cobbling this together
[01:00:18.440 --> 01:00:22.360]   What if google could just offer this as this is a full solution? That'd be fabulous
[01:00:22.360 --> 01:00:30.840]   So I think it's actually I mean, I don't know if it's worth 3.2 billion, but I understand what I think you've got a point there
[01:00:30.840 --> 01:00:35.400]   Absolutely. I understand why google acquired. I mean I think it's a very clear signal from google
[01:00:35.400 --> 01:00:39.880]   It's a shot across the bow. We're gonna do this connected home is big
[01:00:40.360 --> 01:00:46.600]   And microsoft has been talking about connected home for a while doesn't I've actually I did a tour through microsoft's like home of the feature
[01:00:46.600 --> 01:00:51.400]   Which is one of the kind of thing that they have set up. You know and redman and it was amazing
[01:00:51.400 --> 01:00:56.200]   Uh, that was years ago and i've never seen i haven't seen anything actually come out of it. Yeah
[01:00:56.200 --> 01:01:01.240]   No, everybody knows it's the thing apple does too. Everybody knows it's the next big thing
[01:01:01.240 --> 01:01:04.520]   But it's all about shipping right not very few people have shipped in that
[01:01:04.520 --> 01:01:05.720]   Somebody's ship
[01:01:05.720 --> 01:01:12.600]   Those are the guys ships listen it may not be the next big thing right the paperless office was the next big thing and it still is
[01:01:12.600 --> 01:01:17.800]   Um, you know, maybe we get drubs and drabs and it stops. I have now finally for the first time
[01:01:17.800 --> 01:01:23.400]   We make we used to make the joke the paper. Yeah the paperless office. That'll be here as soon as you get the paperless
[01:01:23.400 --> 01:01:26.920]   Bathroom that's right. Yeah, I have now a paperless bathroom
[01:01:26.920 --> 01:01:30.040]   Do I want to know this
[01:01:30.040 --> 01:01:33.080]   I have really want to know this the japanese toilet
[01:01:33.800 --> 01:01:35.800]   Get out of here it works
[01:01:35.800 --> 01:01:41.960]   So maybe it is time for the paperless office visuals. Oh, I know I shouldn't bring it up. Okay, can we
[01:01:41.960 --> 01:01:48.520]   Changing the subject changing the subject somebody in the chat room said I next thing google buys if this than that
[01:01:48.520 --> 01:01:52.520]   Yeah, we can see that
[01:01:52.520 --> 01:01:54.280]   Totally right and then
[01:01:54.280 --> 01:01:55.320]   connecting things
[01:01:55.320 --> 01:01:57.320]   hue lights
[01:01:57.320 --> 01:01:59.000]   and then
[01:01:59.000 --> 01:02:02.760]   Hue lights I don't get it all. Oh, I love the hue lights better than my nest
[01:02:02.760 --> 01:02:06.600]   Hughes are pretty cool. Okay. So here's an application Jeff
[01:02:06.600 --> 01:02:11.000]   There's an application on the ipad and iphone called exoplanet that
[01:02:11.000 --> 01:02:14.680]   Notifies you whenever another planet outside our solar system is discovered
[01:02:14.680 --> 01:02:19.400]   You set it up it has a little button that the hue light then changes to the color
[01:02:19.400 --> 01:02:24.360]   That it looks like on the surface of that planet depending on the sun that the planet's in the solar system. Oh man
[01:02:24.360 --> 01:02:27.400]   That that's off the
[01:02:27.400 --> 01:02:29.400]   Nerd
[01:02:29.400 --> 01:02:33.640]   Sorry Matthew. Yeah, no, that's
[01:02:33.640 --> 01:02:36.920]   That's the geekiest thing i've ever heard
[01:02:36.920 --> 01:02:41.480]   Off their nerd
[01:02:41.480 --> 01:02:44.040]   Herdometer needle is like spiking in the red
[01:02:44.040 --> 01:02:48.440]   Hue hue lights are very nerdometer very very big on the
[01:02:48.440 --> 01:02:51.320]   Nometer i don't think i've heard of these these are just smart lights
[01:02:51.880 --> 01:02:55.800]   Phillips Phillips makes them they're not that expensive huge amount of money out of you
[01:02:55.800 --> 01:02:58.840]   That one's big smart about them is that they rip you off for how much money?
[01:02:58.840 --> 01:03:01.080]   60 bucks in a bulb
[01:03:01.080 --> 01:03:06.520]   Well, what no way they're led lights now admittedly leds have gone down you can get them it for 10 bucks now
[01:03:06.520 --> 01:03:11.880]   But and i'm sure these will go down at the same time. Phillips is is rapidly reducing the price of leds
[01:03:11.880 --> 01:03:16.200]   But leds are expensive, but they're 10,000 on our bulbs. These are RGB leds
[01:03:16.200 --> 01:03:19.080]   Which means they can make any color at all
[01:03:19.880 --> 01:03:23.960]   From this light so much so that you could take a picture with your smartphone
[01:03:23.960 --> 01:03:30.040]   Put it in the hue app. Click a part of that picture and say light bulb you go to that color
[01:03:30.040 --> 01:03:33.400]   It can literally wait a second. What is it?
[01:03:33.400 --> 01:03:37.240]   All right, maybe you'll see me for one thing can it stop me from looking pink? Yes
[01:03:37.240 --> 01:03:40.920]   I guarantee you
[01:03:40.920 --> 01:03:44.440]   For instance, for instance, I have a picture of a moonlit night
[01:03:44.440 --> 01:03:47.240]   I I put it in my hue thing and I said, okay bulbs
[01:03:47.640 --> 01:03:49.800]   I want to be a moonlit night and you feel like you're literally
[01:03:49.800 --> 01:03:51.960]   in the moonlit night
[01:03:51.960 --> 01:03:56.760]   Um, you can also use if this and that with it you can set alarms you can say for instance
[01:03:56.760 --> 01:04:00.840]   I want to slowly wake up. I want the bulbs to ramp up starting at 6 a.m
[01:04:00.840 --> 01:04:04.440]   To give me a sunset or a sunrise in my bedroom
[01:04:04.440 --> 01:04:11.800]   Uh, you can have daylight you can have nightlight now admittedly there's no this isn't that practical
[01:04:11.800 --> 01:04:15.400]   And there are some strong negatives for instance as I discovered
[01:04:15.880 --> 01:04:19.560]   If the power goes out and then comes back on the hue lights turn on full bright
[01:04:19.560 --> 01:04:24.760]   And so in the middle of the night, I'm lying in bed and suddenly
[01:04:24.760 --> 01:04:28.120]   Good morning
[01:04:28.120 --> 01:04:30.520]   Because I have a lot of them
[01:04:30.520 --> 01:04:33.560]   And i'm
[01:04:33.560 --> 01:04:34.680]   Nine
[01:04:34.680 --> 01:04:36.280]   and then um
[01:04:36.280 --> 01:04:41.160]   Uh, I reached for my phone because I know what's happened all the god damn it the hue lights came on
[01:04:41.640 --> 01:04:45.400]   And i'm and i'm starting to open the app at least it just reaches over flips the switch
[01:04:45.400 --> 01:04:47.400]   Which was actually the right thing to do
[01:04:47.400 --> 01:04:50.600]   I feel like you live in the kingdom of modern marvels
[01:04:50.600 --> 01:04:53.640]   Between your toilet and the light
[01:04:53.640 --> 01:04:58.040]   Okay, so okay the toilet now don't listen cover your ears. Yes
[01:04:58.040 --> 01:05:02.680]   You gotta do it cover your ears. So you you get up you go in the bathroom
[01:05:02.680 --> 01:05:05.080]   The toilet the toilet goes
[01:05:05.080 --> 01:05:07.080]   to welcome you
[01:05:07.960 --> 01:05:11.800]   Does it play a song or no? This one does not there's the creepy line
[01:05:11.800 --> 01:05:15.000]   We have found the creepy line
[01:05:15.000 --> 01:05:21.160]   And then and then it's the seed is warm. It's heated warm very nice never sit on a quote called toilet seat again
[01:05:21.160 --> 01:05:23.960]   And there also the water is heated
[01:05:23.960 --> 01:05:30.440]   Stop there what I said on the warm toilet seat is because somebody I know I know this is clean was on this is a clean warm
[01:05:30.440 --> 01:05:33.320]   A clean warm
[01:05:35.160 --> 01:05:41.000]   59 years of a visceral response to sit down the fan goes on because it has a carbon filtered
[01:05:41.000 --> 01:05:44.440]   exhaust fan in the bowl so that
[01:05:44.440 --> 01:05:47.720]   Everything is exhausted out and then
[01:05:47.720 --> 01:05:51.320]   When you're done
[01:05:51.320 --> 01:05:56.440]   There's front and back washers they oscillator pulse or any combination thereof. It's warm. You set the temperature
[01:05:56.440 --> 01:06:02.680]   It's a wiper blade of any kind. No, there's no it's a bidet. There's no touch no touch
[01:06:03.160 --> 01:06:05.160]   And then it has a nice little blow dryer
[01:06:05.160 --> 01:06:08.040]   So after you're done washing you press the blow dryer goes
[01:06:08.040 --> 01:06:14.760]   And it dries you off and then you stand up and then you walk out because the seat automatically the toilet automatically flushes
[01:06:14.760 --> 01:06:18.200]   The seat automatically goes down it sanitizes and it's ready for the next person
[01:06:18.200 --> 01:06:21.640]   All right, all right, we're gonna have a Howard Stern moment here
[01:06:21.640 --> 01:06:28.600]   No, uh, oh no, it's okay. It's okay. Does it does it deal with dingleberries? Yes
[01:06:30.840 --> 01:06:33.320]   All right, it's a very it's a very powerful the thruster
[01:06:33.320 --> 01:06:36.920]   Oh
[01:06:36.920 --> 01:06:41.320]   I don't want to go too far. So tight. All right. It's very pleasure. It's very pleasant
[01:06:41.320 --> 01:06:44.680]   So on the
[01:06:44.680 --> 01:06:51.080]   There's no brushes though, right? No, there's no physical
[01:06:51.080 --> 01:06:55.960]   So I realized what it is. I realized I suddenly understood this after doing this see you have to use the nest
[01:06:55.960 --> 01:06:59.960]   You have to use these things to get it right and to get the pros and the cons
[01:06:59.960 --> 01:07:04.040]   And one of the things and you I mean you can't just and this is why reviewers sometimes miss the boat
[01:07:04.040 --> 01:07:07.560]   They try it for a week. Okay. I get it and then go you gotta live with it
[01:07:07.560 --> 01:07:14.760]   So what I realized is the japanese don't care so much about butt cleanliness as they do about not touching anything
[01:07:14.760 --> 01:07:20.200]   So what this really is is a toilet where you could you could walk in like this and not touch anything
[01:07:20.200 --> 01:07:24.280]   Right, that's the point of it. Well, because we've gotten the point you know, you don't touch
[01:07:24.760 --> 01:07:28.760]   In public restrooms, you don't longer touch the water floss. You don't longer touch the paper
[01:07:28.760 --> 01:07:32.280]   Prowels, that's what this is but of course you use your hand on the damn door
[01:07:32.280 --> 01:07:37.320]   Right. So the idea and I think that they're probably right is it doesn't really matter how clean your butt is it matters
[01:07:37.320 --> 01:07:39.080]   How clean your hands are
[01:07:39.080 --> 01:07:44.280]   Is the blower like the ones in the airport where it's like 8000, you know, no, no, it's not a dyson
[01:07:44.280 --> 01:07:50.440]   You know what I want. I want a dyson in my shower. I just want to go
[01:07:51.160 --> 01:07:57.320]   To run me dry. Yeah, I hate get now and being cold while I dry off good idea actually they have those actually
[01:07:57.320 --> 01:08:01.560]   I don't think I can stand the side of the flapping flash though. Like I always freaks me out
[01:08:01.560 --> 01:08:05.000]   Yeah, I think it's gonna come off
[01:08:05.000 --> 01:08:07.800]   So
[01:08:07.800 --> 01:08:12.920]   Yes or no, this is an acceptable level of cleanliness for you when you're done. Yeah. Yes. It's acceptable
[01:08:12.920 --> 01:08:14.920]   You don't while you don't go god. I wish I
[01:08:14.920 --> 01:08:20.760]   And of course while we're while we're on separate technologies to from the hard stern show one is
[01:08:21.160 --> 01:08:26.280]   Poopory, would you I have poopery. It's oh really?
[01:08:26.280 --> 01:08:29.000]   Do not buy
[01:08:29.000 --> 01:08:33.400]   Okay, how about how about the school? This is sounding like I am so
[01:08:33.400 --> 01:08:36.280]   Anally fixated. I am not
[01:08:36.280 --> 01:08:41.160]   What about the squatty? Oh, no, you're just describing a normal. I am normal
[01:08:41.160 --> 01:08:46.840]   Japanese toilet. Yeah, it's squatty potty. Yeah, I've heard about that. No poopery doesn't work
[01:08:46.840 --> 01:08:52.920]   So the whole theory is that it creates a barrier in the surface of the way
[01:08:52.920 --> 01:08:56.040]   It's just fragrance very very very strong fragrance
[01:08:56.040 --> 01:09:01.320]   And I it does not have any magical properties. I've been quibber. So she carries it with her
[01:09:01.320 --> 01:09:04.120]   Yeah, because she smells like flowers everywhere she goes
[01:09:04.120 --> 01:09:10.600]   All right, so that's that one. I did the theory of it sealing out the the order
[01:09:10.600 --> 01:09:11.640]   That's me
[01:09:11.640 --> 01:09:17.800]   But it does it's a very strong deodorant because it smells like whatever flavor you got and it's very very strong
[01:09:17.800 --> 01:09:24.840]   So there's the squatty potty which Howard now swears by oh I so this is an image. I don't want
[01:09:24.840 --> 01:09:28.280]   I reviewed it on gizwiz
[01:09:28.280 --> 01:09:33.720]   I reviewed the squatty potty on gizwiz. Oh, is that the one that were your so it's not that your leg
[01:09:33.720 --> 01:09:37.080]   It's not a uh, it's not a hole in the ground that you squat over no
[01:09:37.080 --> 01:09:40.680]   Now raises your legs up so your angle is better, right?
[01:09:40.680 --> 01:09:42.680]   Stepstool for the can
[01:09:42.680 --> 01:09:44.840]   Which is supposed when you're sitting
[01:09:44.840 --> 01:09:47.560]   Which is ridiculous because
[01:09:47.560 --> 01:09:53.160]   All it's doing is bringing your knees to your chest to make your organs all fit together
[01:09:53.160 --> 01:09:56.920]   Yeah, all you have to do instead of spinning 30 bucks on a plastic
[01:09:56.920 --> 01:10:04.120]   Staying toilet seat. No lean forward. Oh if you put your chest towards your knees it works
[01:10:04.120 --> 01:10:06.920]   Just lean forward. Don't buy a squatty potty
[01:10:06.920 --> 01:10:09.640]   What have we done?
[01:10:10.600 --> 01:10:12.600]   I really got a
[01:10:12.600 --> 01:10:17.080]   I did say at the beginning of the show. It's that we talked about google and whatever the hell else we wanted to talk about
[01:10:17.080 --> 01:10:23.800]   That's a workover. We're talking about a cloud of of poop odor. Oh god
[01:10:23.800 --> 01:10:28.600]   This is smart homes. Smart homes got to smell good. Yeah, anyway nests. Thank you very much
[01:10:28.600 --> 01:10:32.920]   Um, maybe they'll do toilets. Yeah
[01:10:32.920 --> 01:10:37.480]   Is there any might well, yes
