;FFMETADATA1
title=Jiggery Pokery
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=229
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.300]   It's time for Twig.
[00:52:24.300 --> 00:52:26.380]   There are governments and then there are governments.
[00:52:26.380 --> 00:52:30.020]   There's the government that can't put together a healthcare website, completely inept, and
[00:52:30.020 --> 00:52:32.740]   which cannot keep secrets, especially over the long term.
[00:52:32.740 --> 00:52:35.580]   And then there's the NSA, which can keep secrets and does.
[00:52:35.580 --> 00:52:37.940]   And, you know, that's an entirely different thing.
[00:52:37.940 --> 00:52:42.500]   That's why we can't trust the NSA because they are a secret organization and they do
[00:52:42.500 --> 00:52:45.340]   stuff and they expect to get away with stealing.
[00:52:45.340 --> 00:52:47.540]   I mean, they're in the stealing information business.
[00:52:47.540 --> 00:52:49.420]   That's what they do.
[00:52:49.420 --> 00:52:53.300]   And so without oversight, who knows what they're doing?
[00:52:53.300 --> 00:52:54.300]   Rest of the government.
[00:52:54.300 --> 00:52:55.300]   Yeah, I mean, all the facts are going to happen.
[00:52:55.300 --> 00:52:57.260]   There's no oversight on private industry at all.
[00:52:57.260 --> 00:52:59.380]   Oh, yes, there is the world.
[00:52:59.380 --> 00:53:00.380]   Who watches Google?
[00:53:00.380 --> 00:53:03.020]   Well, they'll depend on the market.
[00:53:03.020 --> 00:53:04.020]   The market?
[00:53:04.020 --> 00:53:07.620]   There is legal oversight in different countries.
[00:53:07.620 --> 00:53:10.220]   It varies a bit as well.
[00:53:10.220 --> 00:53:12.460]   There are privacy laws in Europe that are strict to them.
[00:53:12.460 --> 00:53:15.940]   They are here, but here there are data breach laws that are different from Europe.
[00:53:15.940 --> 00:53:19.100]   So you can integrate between them and get something out of it.
[00:53:19.100 --> 00:53:23.060]   And then there's the SEC and the European Union and everybody's always trying to go
[00:53:23.060 --> 00:53:26.460]   after them to reveal what they're doing and all that kind of stuff.
[00:53:26.460 --> 00:53:27.460]   Right.
[00:53:27.460 --> 00:53:32.500]   And media, you know, the idiocy, I still think it was idiotic, that Google getting accused
[00:53:32.500 --> 00:53:37.580]   of stealing data that was on open airway, that's what happened to bride by certain houses.
[00:53:37.580 --> 00:53:42.580]   Look at the who-how about that that certainly acted as a check on Google.
[00:53:42.580 --> 00:53:46.140]   I think it was a stupid check, but it was a check that less.
[00:53:46.140 --> 00:53:47.140]   I agree.
[00:53:47.140 --> 00:53:54.340]   If people are broadcasting passwords into the public, you know, unencrypted passwords into
[00:53:54.340 --> 00:53:59.220]   the street, it's not up to, you know, it's not up to, it's like putting a billboard in
[00:53:59.220 --> 00:54:03.180]   front of your house and then blaming people for reading it.
[00:54:03.180 --> 00:54:05.300]   That's really an important point, Mike.
[00:54:05.300 --> 00:54:06.300]   Important point, Mike, I think.
[00:54:06.300 --> 00:54:11.260]   I think that in this entire discussion, again and again and again, I see efforts to say,
[00:54:11.260 --> 00:54:12.500]   you can't know that.
[00:54:12.500 --> 00:54:13.900]   You can't have that knowledge.
[00:54:13.900 --> 00:54:17.580]   That is a very dangerous thing for society to ever say.
[00:54:17.580 --> 00:54:23.500]   Whether it's you can't know about your prostate or you can't know some information that passes
[00:54:23.500 --> 00:54:24.500]   in the public airway.
[00:54:24.500 --> 00:54:26.180]   You're not allowed to know that.
[00:54:26.180 --> 00:54:27.180]   That's dangerous.
[00:54:27.180 --> 00:54:30.620]   You're not allowed to use it in this way or that.
[00:54:30.620 --> 00:54:31.620]   That's appropriate.
[00:54:31.620 --> 00:54:36.580]   And it is part of what we should be talking about in legislation and regulation and more
[00:54:36.580 --> 00:54:43.460]   ways and norms, but not knowing something, never tell me what I can't know, never.
[00:54:43.460 --> 00:54:46.620]   And somebody in the chat room did point out and a good point that of course, if Google
[00:54:46.620 --> 00:54:50.660]   and Facebook collect data, there's nothing as we can, as far as we can tell, that keeps
[00:54:50.660 --> 00:54:52.020]   them from giving it to the government.
[00:54:52.020 --> 00:54:55.580]   So anybody's collecting data on you is collecting data on you.
[00:54:55.580 --> 00:54:57.180]   Well, what stops you?
[00:54:57.180 --> 00:54:58.660]   Is the market the pressure?
[00:54:58.660 --> 00:54:59.660]   Yeah.
[00:54:59.660 --> 00:55:00.660]   Well, so they keep it secret.
[00:55:00.660 --> 00:55:04.340]   Market pressure only works if we know it.
[00:55:04.340 --> 00:55:05.660]   Yeah, we don't know.
[00:55:05.660 --> 00:55:10.580]   That's why that's why the companies in the third of their five principles demand transparency.
[00:55:10.580 --> 00:55:15.180]   Yeah, but do they really want to experience or they just want to demand it?
[00:55:15.180 --> 00:55:16.420]   No, I think they want it.
[00:55:16.420 --> 00:55:17.420]   I think they want it.
[00:55:17.420 --> 00:55:20.300]   When it comes to government demanding things, yeah, they want it.
[00:55:20.300 --> 00:55:22.580]   They cost themselves less so, yeah.
[00:55:22.580 --> 00:55:23.580]   Yeah.
[00:55:23.580 --> 00:55:27.300]   Well, yeah, but I always go back to the example of Amazon and I'm criticizing Amazon for
[00:55:27.300 --> 00:55:29.220]   not showing up to this party.
[00:55:29.220 --> 00:55:35.220]   But I think the transactional value of I'm recommending this to you because you bought
[00:55:35.220 --> 00:55:38.380]   that and you can see it and you can change it.
[00:55:38.380 --> 00:55:40.260]   That is the model for where the data goes.
[00:55:40.260 --> 00:55:44.100]   I was dealing with a startup today that's going to get a lot of neat data on people.
[00:55:44.100 --> 00:55:48.620]   And I said the thing to do is to go is to think from day one to be aggressively open
[00:55:48.620 --> 00:55:54.340]   about that to give people the value value from that, give them control over it, and
[00:55:54.340 --> 00:55:57.860]   they'll give you more data in return as long as they trust you and see that there's value
[00:55:57.860 --> 00:55:58.860]   in it.
[00:55:58.860 --> 00:56:00.700]   That's exactly, exactly right.
[00:56:00.700 --> 00:56:07.100]   We have to remember that the alternative to contextual advertising is mass advertising
[00:56:07.100 --> 00:56:11.580]   where they have to essentially program your brain to want certain things because they
[00:56:11.580 --> 00:56:13.940]   want everybody to want the same things on television, for example.
[00:56:13.940 --> 00:56:14.940]   Right.
[00:56:14.940 --> 00:56:15.940]   Makes it easier.
[00:56:15.940 --> 00:56:20.340]   In a world in which they are trying to figure out what you really want to determine your
[00:56:20.340 --> 00:56:21.740]   desires.
[00:56:21.740 --> 00:56:24.460]   That's a much better world and that's worth having.
[00:56:24.460 --> 00:56:27.580]   But again, as Jeff said, as long as they're transparent about it and give you control
[00:56:27.580 --> 00:56:28.580]   over it.
[00:56:28.580 --> 00:56:30.660]   I said you and me, Mike on Google plus said an interesting thing.
[00:56:30.660 --> 00:56:33.540]   He said he'd been working in web advertising for 15 years.
[00:56:33.540 --> 00:56:36.980]   And really the most valuable signal was not what people wanted, but what people didn't
[00:56:36.980 --> 00:56:37.980]   want.
[00:56:37.980 --> 00:56:41.660]   That knowing that they were wasting money on an ad to somebody who was not interested
[00:56:41.660 --> 00:56:43.940]   in that product was actually the most valuable kind of target.
[00:56:43.940 --> 00:56:46.180]   Really, really important.
[00:56:46.180 --> 00:56:50.340]   That's why you see dig pioneered, but a lot of companies, Facebook does this, have a
[00:56:50.340 --> 00:56:52.020]   thumbs down in the ad.
[00:56:52.020 --> 00:56:53.020]   Is this ad useful?
[00:56:53.020 --> 00:56:54.020]   Do you know?
[00:56:54.020 --> 00:56:55.020]   You won't see that again.
[00:56:55.020 --> 00:56:57.260]   Not because they want to be nice to you, but because the company that bought the ad
[00:56:57.260 --> 00:56:59.260]   doesn't want to waste its money.
[00:56:59.260 --> 00:57:05.940]   Google may be designing its own server processors, maybe not designing, just building.
[00:57:05.940 --> 00:57:08.140]   This Google just gets more and more.
[00:57:08.140 --> 00:57:11.820]   Apparently they have plenty of their Intel's fifth largest customer.
[00:57:11.820 --> 00:57:16.180]   They spend hundreds of millions of dollars on server processors every year.
[00:57:16.180 --> 00:57:19.460]   And they've got the manpower and the brain power to design their own server processors.
[00:57:19.460 --> 00:57:22.140]   They'd be based on ARM designs.
[00:57:22.140 --> 00:57:27.380]   So they wouldn't be completely their own thing, but they'd probably be some sort of large-scale
[00:57:27.380 --> 00:57:32.500]   integration based on ARM cores.
[00:57:32.500 --> 00:57:33.900]   They're building their own servers.
[00:57:33.900 --> 00:57:34.900]   Why not?
[00:57:34.900 --> 00:57:39.100]   They've been building their own networks, which is as well for quite a long time.
[00:57:39.100 --> 00:57:40.100]   Really?
[00:57:40.100 --> 00:57:42.540]   Because they wanted throughput that nobody else could do.
[00:57:42.540 --> 00:57:46.460]   So they had to do their own chip design and switch design for that.
[00:57:46.460 --> 00:57:52.100]   Google has always been very smart and very innovative when it comes to building servers
[00:57:52.100 --> 00:57:58.020]   and dealing with servers in the very early years, at least as I learned from In The Plex,
[00:57:58.020 --> 00:57:59.820]   which is a great book.
[00:57:59.820 --> 00:58:00.820]   Stephen Levy's.
[00:58:00.820 --> 00:58:01.820]   Exactly.
[00:58:01.820 --> 00:58:03.580]   And they bought cheap.
[00:58:03.580 --> 00:58:06.020]   They were scrounging together the cheapest computers.
[00:58:06.020 --> 00:58:11.900]   Instead of having the fail-proof servers, they went after the go ahead and let it fail
[00:58:11.900 --> 00:58:13.900]   servers, which were much cheaper.
[00:58:13.900 --> 00:58:18.660]   And then they did a good job with failover technology.
[00:58:18.660 --> 00:58:24.660]   And they were able to build data centers for pennies on the dollar, meaning that they could
[00:58:24.660 --> 00:58:27.460]   be much more powerful for the same amount of money.
[00:58:27.460 --> 00:58:32.100]   They've always been super innovative and super out of the box thinking about this kind
[00:58:32.100 --> 00:58:33.100]   of thing.
[00:58:33.100 --> 00:58:34.900]   And so I'm not surprised at all that they want to do this.
[00:58:34.900 --> 00:58:38.660]   They probably like to build every aspect of their data centers, because that's after
[00:58:38.660 --> 00:58:40.380]   all what Google is.
[00:58:40.380 --> 00:58:46.340]   Is there any PR damage to that that you can't rely on Google to make business?
[00:58:46.340 --> 00:58:48.860]   They're going to ruin companies that they should be more open.
[00:58:48.860 --> 00:58:50.620]   Or is this, yeah, it's understandable business.
[00:58:50.620 --> 00:58:51.620]   Surely.
[00:58:51.620 --> 00:58:52.940]   Well, as long as they just do it in-house, right?
[00:58:52.940 --> 00:58:54.100]   It's only for their own personal use.
[00:58:54.100 --> 00:58:57.660]   If they started selling chips, that might be an issue, right?
[00:58:57.660 --> 00:58:58.660]   But Apple sells chips.
[00:58:58.660 --> 00:59:01.780]   You know, Apple makes their own eight certain chips and chips and their products.
[00:59:01.780 --> 00:59:02.780]   That's not.
[00:59:02.780 --> 00:59:04.980]   But they don't sell chips to write or a lot.
[00:59:04.980 --> 00:59:06.460]   They don't sell chips to write, right?
[00:59:06.460 --> 00:59:07.460]   Google.
[00:59:07.460 --> 00:59:09.460]   Just the point about the arm design.
[00:59:09.460 --> 00:59:13.860]   The arm design is you buy a specification for it and build your own chips the way you
[00:59:13.860 --> 00:59:14.860]   want to do it.
[00:59:14.860 --> 00:59:16.740]   They're not even that great of an asset.
[00:59:16.740 --> 00:59:18.540]   Yeah, they're not even that big of an Intel customer.
[00:59:18.540 --> 00:59:23.260]   They're the fifth biggest customer that they account for only 4.3% of that company's revenue.
[00:59:23.260 --> 00:59:25.860]   So it's even interesting at all went away immediately.
[00:59:25.860 --> 00:59:29.180]   It would be kind of a bad quarter for Intel, but not the end of it.
[00:59:29.180 --> 00:59:30.980]   Who's the number one customer right now?
[00:59:30.980 --> 00:59:31.980]   I don't know.
[00:59:31.980 --> 00:59:32.980]   I don't know.
[00:59:32.980 --> 00:59:38.740]   Who would be the number one customer for Intel processors?
[00:59:38.740 --> 00:59:39.740]   Chatram.
[00:59:39.740 --> 00:59:41.580]   That's your assignment.
[00:59:41.580 --> 00:59:42.580]   We let you go.
[00:59:42.580 --> 00:59:45.180]   Go ahead and be back to us.
[00:59:45.180 --> 00:59:47.180]   Chatram is smarter than Watson.
[00:59:47.180 --> 00:59:49.060]   Forget Watson.
[00:59:49.060 --> 00:59:53.540]   If you've tried to play Jeopardy against the chatroom, you would lose.
[00:59:53.540 --> 00:59:55.620]   You should patent the chatroom.
[00:59:55.620 --> 00:59:59.780]   Well, in a sense, have you heard of local motors?
[00:59:59.780 --> 01:00:01.340]   Local motors have essentially done that.
[01:00:01.340 --> 01:00:04.980]   They have big car companies now coming to them to ask them to take their smarts to use
[01:00:04.980 --> 01:00:07.460]   their chatroom to redesign cars.
[01:00:07.460 --> 01:00:08.460]   Wow.
[01:00:08.460 --> 01:00:09.460]   Wow.
[01:00:09.460 --> 01:00:10.460]   Chatroom.
[01:00:10.460 --> 01:00:13.260]   If it doesn't have knowledge, it gives us a punchline.
[01:00:13.260 --> 01:00:14.660]   Who's the number one customer?
[01:00:14.660 --> 01:00:15.660]   The NSA.
[01:00:15.660 --> 01:00:18.940]   Or guesses, they're doing a lot of that right now, too.
[01:00:18.940 --> 01:00:23.500]   We thought you might want to actually research that, but that's okay.
[01:00:23.500 --> 01:00:26.820]   Google give us and Google take us away.
[01:00:26.820 --> 01:00:35.220]   In a 4.3, Android 4.3, really nice feature that allowed you to install apps on Android,
[01:00:35.220 --> 01:00:39.660]   but switch little switches that said the app doesn't get to collect this data or that
[01:00:39.660 --> 01:00:41.500]   data.
[01:00:41.500 --> 01:00:47.660]   The feature removed in Android 4.4.2, Google says it was put in by accident.
[01:00:47.660 --> 01:00:53.460]   The apps, apps, privacy feature is now gone.
[01:00:53.460 --> 01:00:57.580]   So the idea of you putting in an apps but saying, hey, you can't have that app can't
[01:00:57.580 --> 01:01:02.460]   have location information or it can't look at my contacts or so forth.
[01:01:02.460 --> 01:01:04.020]   Now, obviously, that's going to break apps.
[01:01:04.020 --> 01:01:06.380]   If the app expects that information, it could.
[01:01:06.380 --> 01:01:12.500]   No, you can fake them out and give them like always say, yes, I'm going to do it.
[01:01:12.500 --> 01:01:14.780]   You can give them dummy data.
[01:01:14.780 --> 01:01:18.020]   And then they could learn to recognize that only data, I suppose.
[01:01:18.020 --> 01:01:19.020]   This is cool.
[01:01:19.020 --> 01:01:20.020]   I never saw this.
[01:01:20.020 --> 01:01:21.020]   The apps, the apps, they're this.
[01:01:21.020 --> 01:01:23.420]   It's a way of doing the idea.
[01:01:23.420 --> 01:01:26.580]   It's usually all or nothing.
[01:01:26.580 --> 01:01:31.900]   You either accept the apps requests for all, or you just don't install the app, but the
[01:01:31.900 --> 01:01:35.740]   idea that you could give it granular permissions is just great.
[01:01:35.740 --> 01:01:36.740]   Yeah.
[01:01:36.740 --> 01:01:40.700]   And this is one of these trade-offs that we've been training on for a while.
[01:01:40.700 --> 01:01:45.340]   So Facebook now gives you more granular choice for admissions for apps than it used to.
[01:01:45.340 --> 01:01:48.420]   And this is like an education process for users too.
[01:01:48.420 --> 01:01:52.180]   When we first started doing these kinds of auth things, you had to make them all or nothing.
[01:01:52.180 --> 01:01:53.660]   Otherwise, people would just ignore them.
[01:01:53.660 --> 01:01:55.900]   Or if they were giving too many choices, they just click away.
[01:01:55.900 --> 01:01:57.740]   So I don't want to do that.
[01:01:57.740 --> 01:02:01.420]   Now, people want used to it understand the principle, then that's good.
[01:02:01.420 --> 01:02:05.700]   But the challenge is still, how do you understand this contextually?
[01:02:05.700 --> 01:02:11.980]   What's better is with certain kinds of these APIs, if at the point where the app makes
[01:02:11.980 --> 01:02:16.140]   the request and you can understand the context for making the request, you can then give
[01:02:16.140 --> 01:02:18.340]   permission with and understanding what it's trying to do.
[01:02:18.340 --> 01:02:19.340]   iOS does that.
[01:02:19.340 --> 01:02:23.420]   So if you install an app that needs location information, the first time it asks for location
[01:02:23.420 --> 01:02:28.420]   information on iOS, it will pop up things saying, "Do you want this app to be able to do that?"
[01:02:28.420 --> 01:02:30.020]   And you can say no.
[01:02:30.020 --> 01:02:31.180]   Right.
[01:02:31.180 --> 01:02:33.820]   So iOS does have sort of this kind of granularity.
[01:02:33.820 --> 01:02:36.940]   And there are bits and pieces that are a bit like that.
[01:02:36.940 --> 01:02:40.260]   But the challenge is always explaining to the user what it is and not putting too many
[01:02:40.260 --> 01:02:41.260]   of them.
[01:02:41.260 --> 01:02:45.460]   That was the Windows, which was it, Vista, that did this where every time you drive you
[01:02:45.460 --> 01:02:46.460]   anything you can pick up on.
[01:02:46.460 --> 01:02:47.460]   Yeah, use your access control.
[01:02:47.460 --> 01:02:48.460]   Yeah.
[01:02:48.460 --> 01:02:49.460]   We're going to pop up every 30 seconds.
[01:02:49.460 --> 01:02:50.460]   Yeah.
[01:02:50.460 --> 01:02:51.460]   Are you sure you want to do that?
[01:02:51.460 --> 01:02:56.420]   So the balance is, you've got to understand what it's trying to do and say, "This thing
[01:02:56.420 --> 01:02:57.860]   is asking to read your address book."
[01:02:57.860 --> 01:03:00.580]   You're like, "Okay, why is it asking me to read my address book?
[01:03:00.580 --> 01:03:01.580]   What's going on there?"
[01:03:01.580 --> 01:03:04.900]   Or, "This is asking to send a message as you.
[01:03:04.900 --> 01:03:07.220]   It's like, "Show me the message it's going to send.
[01:03:07.220 --> 01:03:10.140]   Show me the messages other people have sent with this app."
[01:03:10.140 --> 01:03:11.940]   Wait a minute, they're all the same.
[01:03:11.940 --> 01:03:13.460]   This app is playing me.
[01:03:13.460 --> 01:03:17.100]   So there are situations like that where it starts getting interesting.
[01:03:17.100 --> 01:03:23.220]   But to say we can't do this in principle is just, that's wrong.
[01:03:23.220 --> 01:03:24.220]   You can do this.
[01:03:24.220 --> 01:03:25.500]   There's lots of ways of doing it.
[01:03:25.500 --> 01:03:30.900]   You can either make the APIs return errors or we can make the APIs return, null data or
[01:03:30.900 --> 01:03:39.420]   minimal data that doesn't mean they can impersonate you or track where you are.
[01:03:39.420 --> 01:03:42.100]   That's very doable and to say it's not, it's kind of silly.
[01:03:42.100 --> 01:03:45.820]   And there are third party ROMs that do this.
[01:03:45.820 --> 01:03:47.300]   Yeah.
[01:03:47.300 --> 01:03:50.740]   And by the way, speaking of ads, Google now only charged for ads that people actually
[01:03:50.740 --> 01:03:51.740]   see.
[01:03:51.740 --> 01:03:52.740]   What?
[01:03:52.740 --> 01:03:54.460]   They were charging for ads that you couldn't see?
[01:03:54.460 --> 01:03:56.340]   Well, almost every media site was.
[01:03:56.340 --> 01:04:00.860]   Actually, I'm going to see this above two years ago where they were alone in the industry
[01:04:00.860 --> 01:04:03.060]   where only if the ads scroll up to your eyesight.
[01:04:03.060 --> 01:04:04.060]   Oh, I see.
[01:04:04.060 --> 01:04:06.260]   So if it's below the fold, that's the goal.
[01:04:06.260 --> 01:04:07.260]   Right, you still pay.
[01:04:07.260 --> 01:04:08.260]   You still pay for it.
[01:04:08.260 --> 01:04:09.260]   That's a page load.
[01:04:09.260 --> 01:04:10.260]   Oh.
[01:04:10.260 --> 01:04:14.180]   And Chartbeat did some very interesting work about three months ago.
[01:04:14.180 --> 01:04:21.940]   A beta works company started where they track your use of a page pixel by pixel.
[01:04:21.940 --> 01:04:25.820]   And so what they found was very interestingly, so advertisers for just that reason would
[01:04:25.820 --> 01:04:28.140]   presume that the ads that were down the page were less valuable.
[01:04:28.140 --> 01:04:30.980]   The most valuable thing you wanted, of course, was the banner across the top.
[01:04:30.980 --> 01:04:34.460]   What Chartbeat found was basically that's a bunch of lettuce that people just scroll
[01:04:34.460 --> 01:04:36.900]   right by because they know it's always junk.
[01:04:36.900 --> 01:04:38.700]   And they then get to the text and start reading down.
[01:04:38.700 --> 01:04:42.380]   And so the ad that gets the most exposure is the ad that's in the middle of the text
[01:04:42.380 --> 01:04:46.540]   of a long story, not a slideshow business insider.
[01:04:46.540 --> 01:04:49.460]   Hey, Reagan, those slides shows.
[01:04:49.460 --> 01:04:50.460]   Yeah.
[01:04:50.460 --> 01:04:51.460]   Don't look too slow.
[01:04:51.460 --> 01:04:55.300]   And down here and an ad even at the bottom, if you've gotten there and read it and been
[01:04:55.300 --> 01:05:00.980]   engaged in the story is more valuable than they had at the top.
[01:05:00.980 --> 01:05:03.620]   Because it's at the point where you want to know what to do next.
[01:05:03.620 --> 01:05:04.620]   Yes.
[01:05:04.620 --> 01:05:07.060]   So what you've got with these sites, these sites now have this.
[01:05:07.060 --> 01:05:09.620]   Now you've finished reading that article, which of these six things you want to go to?
[01:05:09.620 --> 01:05:12.140]   And there's a services that inject those in there.
[01:05:12.140 --> 01:05:15.700]   Well, and that's, that's fairly yucky stuff often.
[01:05:15.700 --> 01:05:18.060]   I regret clicking on those links usually.
[01:05:18.060 --> 01:05:19.060]   Yes.
[01:05:19.060 --> 01:05:20.780]   With the outside, the outbrain stuff.
[01:05:20.780 --> 01:05:24.580]   The outbrain stuff particularly because it's like, go to this, go to this click bait link.
[01:05:24.580 --> 01:05:28.860]   The ones that are actually more stories from the same site are actually, if those are
[01:05:28.860 --> 01:05:30.620]   done sensibly or often very useful.
[01:05:30.620 --> 01:05:34.340]   Yeah, the outbrain stuff is like, oh, God, did I really mean to click on that?
[01:05:34.340 --> 01:05:36.260]   I'm so sorry.
[01:05:36.260 --> 01:05:41.620]   I just met a fascinating company called Mythum Today, an impact called Infinite Analytics,
[01:05:41.620 --> 01:05:43.820]   recommended to be by Tim Berners Lee.
[01:05:43.820 --> 01:05:47.540]   You know, if he'd said, listen, I found an olive oil company I'll talk to.
[01:05:47.540 --> 01:05:48.700]   I talked to them.
[01:05:48.700 --> 01:05:50.700]   Yeah, right.
[01:05:50.700 --> 01:05:55.740]   And so very smart guys where they're looking at your social activity to use that as the
[01:05:55.740 --> 01:05:59.060]   basis for making recommendations to you in smart ways.
[01:05:59.060 --> 01:06:02.500]   Recommendations and relevance are great.
[01:06:02.500 --> 01:06:09.700]   But you know, the outbrain, upworthy, which we talked about last week, obviously Buzzfeed,
[01:06:09.700 --> 01:06:15.140]   the cynicism of them all, the click bait cynicism is just really gotten disgusting and depressing
[01:06:15.140 --> 01:06:16.140]   and fiery.
[01:06:16.140 --> 01:06:20.180]   You know, it's also bad because it incents people to use ad blockers and that kind of
[01:06:20.180 --> 01:06:25.420]   technology just as you know, punch the monkey ads did the same thing.
[01:06:25.420 --> 01:06:27.300]   And that's really bad for everybody.
[01:06:27.300 --> 01:06:33.420]   It's bad for people who rely on advertising for revenue because you know, if you're obnoxious
[01:06:33.420 --> 01:06:37.620]   enough and you piss people off enough, then people will end around it and then nobody
[01:06:37.620 --> 01:06:39.180]   gets paid.
[01:06:39.180 --> 01:06:45.020]   And that means a lot of journals and blogs and services won't no longer monetize and
[01:06:45.020 --> 01:06:46.380]   then they're gone.
[01:06:46.380 --> 01:06:47.380]   Yeah.
[01:06:47.380 --> 01:06:48.940]   Hey, thanks to Linton in our chatroom.
[01:06:48.940 --> 01:06:54.260]   Linton looked at the SEC documents for Intel and that's that's the best.
[01:06:54.260 --> 01:06:58.860]   He looked at the 10Q and said that HP is 18% of Intel's revenue.
[01:06:58.860 --> 01:07:02.700]   Dell 14% Lenovo 11% lots more than the five.
[01:07:02.700 --> 01:07:06.260]   They are still stuck in the PC world.
[01:07:06.260 --> 01:07:07.260]   Yes.
[01:07:07.260 --> 01:07:10.100]   Yeah, because no tablet uses an Intel chip or very few.
[01:07:10.100 --> 01:07:11.540]   Oh, scale over to us.
[01:07:11.540 --> 01:07:13.900]   Well, the big old services do, don't they?
[01:07:13.900 --> 01:07:17.100]   The which say the surface is do the biggest surface does.
[01:07:17.100 --> 01:07:18.100]   Yes.
[01:07:18.100 --> 01:07:20.580]   And of course, that's a laptop by any other name.
[01:07:20.580 --> 01:07:23.100]   A laptop with an attachable keyboard is still a laptop.
[01:07:23.100 --> 01:07:26.100]   And these companies, especially HP make a lot of servers.
[01:07:26.100 --> 01:07:27.100]   Yeah.
[01:07:27.100 --> 01:07:28.100]   Yeah.
[01:07:28.100 --> 01:07:29.100]   Yeah.
[01:07:29.100 --> 01:07:30.100]   Yeah.
[01:07:30.100 --> 01:07:31.100]   Yeah.
[01:07:31.100 --> 01:07:32.100]   Yeah.
[01:07:32.100 --> 01:07:39.420]   Well, we're on Google Leo to be a favor, pick up your Android phone.
[01:07:39.420 --> 01:07:40.420]   Yes.
[01:07:40.420 --> 01:07:41.420]   My.
[01:07:41.420 --> 01:07:43.100]   Moto X, which I can talk to.
[01:07:43.100 --> 01:07:45.820]   I say, okay, Google, let's go.
[01:07:45.820 --> 01:07:46.820]   Caroling.
[01:07:46.820 --> 01:07:50.820]   Google now, let's go caroling.
[01:07:50.820 --> 01:07:53.540]   Well, work.
[01:07:53.540 --> 01:07:54.540]   Will it work?
[01:07:54.540 --> 01:07:55.540]   It's searching.
[01:07:55.540 --> 01:07:58.100]   It takes a while sometimes.
[01:07:58.100 --> 01:07:59.100]   No.
[01:07:59.100 --> 01:08:00.100]   Okay.
[01:08:00.100 --> 01:08:01.100]   Well, here's what we got.
[01:08:01.100 --> 01:08:02.100]   Wait a minute.
[01:08:02.100 --> 01:08:03.100]   No, no, wait a minute.
[01:08:03.100 --> 01:08:04.100]   No, no, no, no, wait.
[01:08:04.100 --> 01:08:05.100]   It says, which carol would you like to say?
[01:08:05.100 --> 01:08:06.100]   There you go.
[01:08:06.100 --> 01:08:07.100]   That's what you want.
[01:08:07.100 --> 01:08:08.100]   Yep.
[01:08:08.100 --> 01:08:09.100]   Okay.
[01:08:09.100 --> 01:08:10.100]   So, so which would you like?
[01:08:10.100 --> 01:08:11.100]   Jingle Bells up on the house top deck, the halls, oh, Christmas tree.
[01:08:11.100 --> 01:08:12.100]   Oh, there's one that's out of copyright.
[01:08:12.100 --> 01:08:13.100]   Yeah.
[01:08:13.100 --> 01:08:14.100]   Yeah.
[01:08:14.100 --> 01:08:15.100]   Which one's out of copyright?
[01:08:15.100 --> 01:08:16.100]   Oh, here we go.
[01:08:16.100 --> 01:08:17.100]   Cariote.
[01:08:17.100 --> 01:08:18.100]   Ready?
[01:08:18.100 --> 01:08:19.100]   Everybody now.
[01:08:19.100 --> 01:08:20.100]   Oh, Christmas tree.
[01:08:20.100 --> 01:08:21.100]   Oh, Christmas tree.
[01:08:21.100 --> 01:08:24.100]   That leaves us all on.
[01:08:24.100 --> 01:08:26.100]   In German, Jeff.
[01:08:26.100 --> 01:08:36.060]   That is just a weirdest Google search ever.
[01:08:36.060 --> 01:08:39.100]   And I want to know why they didn't do that for Ramadan.
[01:08:39.100 --> 01:08:41.100]   Or, Hanukkah.
[01:08:41.100 --> 01:08:43.100]   Where's your Dratle song?
[01:08:43.100 --> 01:08:45.100]   Yeah, because they don't like Christmas carols.
[01:08:45.100 --> 01:08:46.100]   That's right.
[01:08:46.100 --> 01:08:50.620]   If anybody thinks this is pro-Christian, they don't think they're coming.
[01:08:50.620 --> 01:08:53.860]   So if you say, okay, Google now, let's go carol.
[01:08:53.860 --> 01:08:54.860]   Let's go caroling.
[01:08:54.860 --> 01:08:56.620]   It'll do that for you.
[01:08:56.620 --> 01:09:01.020]   They should have a Ramadan Google app that watches you and make sure you don't eat during
[01:09:01.020 --> 01:09:02.020]   the day.
[01:09:02.020 --> 01:09:03.020]   Yeah.
[01:09:03.020 --> 01:09:04.020]   Yeah.
[01:09:04.020 --> 01:09:05.020]   Stop eating.
[01:09:05.020 --> 01:09:06.020]   Yes.
[01:09:06.020 --> 01:09:07.020]   You're eating.
[01:09:07.020 --> 01:09:08.020]   Put down that cheeseburger.
[01:09:08.020 --> 01:09:09.020]   Ramadan.
[01:09:09.020 --> 01:09:10.020]   I'm sorry.
[01:09:10.020 --> 01:09:11.020]   We should have the cookies.
[01:09:11.020 --> 01:09:12.020]   We should have the cookies.
[01:09:12.020 --> 01:09:13.020]   We should have the cookies.
[01:09:13.020 --> 01:09:15.320]   dark cartoon a mom and then
