;FFMETADATA1
title=Weiner, Weiner, Pizza Dinner
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=304
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.800]   It's time for Twig this week in Google Jeff Jarvis is here Mike Elgin
[00:47:31.480 --> 00:47:37.320]   Well, because there won't even be anything for them to buy because that that will have fallen apart before there's even an opportunity
[00:47:37.320 --> 00:47:42.680]   To spend on that so this whole idea that we should just shift away from advertising advertising is what I want to say it again
[00:47:43.000 --> 00:47:46.680]   Is what freed us allen rusper drew the now departed editor of the guardian
[00:47:46.680 --> 00:47:52.200]   So the advertising freed journalism from ownership and control by political parties
[00:47:52.200 --> 00:48:00.760]   Advertising is not a bad thing. It gives us free stuff. I just went to the rob report and there's an ad takeover by mcclaren
[00:48:00.760 --> 00:48:03.400]   Uh, yeah
[00:48:03.400 --> 00:48:08.040]   Those guys know where to advertise and it ain't on it's way I can tell you I can tell you that right now
[00:48:08.440 --> 00:48:13.880]   Be spoke tailoring at vestious new fifth avenue student. You don't even care if this is native content, right?
[00:48:13.880 --> 00:48:20.120]   Uh, it probably is who knows who cares finally a luxury super tank you can call your own
[00:48:20.120 --> 00:48:22.920]   The ripsaw ev2
[00:48:22.920 --> 00:48:29.800]   The world's fastest dual tracked all terrain vehicle. Oh, come on. We got to get them as an advertiser. Lee. I'd love I'd love to read that ad on
[00:48:29.800 --> 00:48:33.800]   fellas, you know you want a tank
[00:48:33.800 --> 00:48:36.840]   Perhaps you thought you couldn't afford one
[00:48:37.480 --> 00:48:46.120]   Maybe that used abram's m1 and your driveways all you'd ever want. Oh now ralph laurin. I wear just covered the the tank tank tank takeovers
[00:48:46.120 --> 00:48:49.640]   Well, you know just you know, I won one parting shot
[00:48:49.640 --> 00:48:56.120]   Against the old model of advertising and in favor of the new if we ever get to the point where we have great contextual advertising
[00:48:56.120 --> 00:48:58.600]   And if it's really great
[00:48:58.600 --> 00:49:04.440]   Ads will tell me what I want before I know I want it and I'll generally want it and I would just buy it directly
[00:49:04.520 --> 00:49:08.280]   And I won't have to go to amazon.com just buy it from the ad and you know, we're getting there slowly
[00:49:08.280 --> 00:49:13.800]   That's google that is good. That is nirvana. Exactly and the opposite of that if we learn nothing from madmen
[00:49:13.800 --> 00:49:19.720]   We should have learned about the manufacturing of desire when you have a mass media that's going out to the whole world of every
[00:49:19.720 --> 00:49:21.960]   Type the person male female young old
[00:49:21.960 --> 00:49:25.560]   No matter what they're interested in in other words the old television model
[00:49:25.560 --> 00:49:32.040]   The way you advertise is you tell you convince people to want things they wouldn't otherwise want that's a manufacturing desire
[00:49:32.040 --> 00:49:35.880]   That's the old tv advertising all said and the future is when they
[00:49:35.880 --> 00:49:39.160]   I tell them what what I want
[00:49:39.160 --> 00:49:44.040]   Through my actions through my interest through what I do and then they give me what I want
[00:49:44.040 --> 00:49:47.560]   That's that's how it should work. I just hope that they figure out how to make it work
[00:49:47.560 --> 00:49:52.040]   Yeah, it's what I've said for years. We just want to tell people features and benefits of products
[00:49:52.040 --> 00:49:53.080]   Yeah
[00:49:53.080 --> 00:49:58.040]   Hopefully and by being niche broadcasting we have an advantage because we don't need to gather information on our audience
[00:49:58.120 --> 00:50:04.200]   Weird niche same kind of like the rob report the rob report knows they should advertise, you know tanks personal tanks
[00:50:04.200 --> 00:50:10.520]   Yeah, by the way, this this really looks good. Yeah, this luxury super tank. You can own it's a half track look at that
[00:50:10.520 --> 00:50:13.080]   There's nowhere I couldn't go
[00:50:13.080 --> 00:50:15.720]   I see one coming to petal loomer now
[00:50:15.720 --> 00:50:18.040]   These sons I can't believe you could buy this
[00:50:18.040 --> 00:50:21.800]   Moving on from the segue already
[00:50:21.800 --> 00:50:24.360]   Oh my god, I want it
[00:50:24.360 --> 00:50:28.760]   A tackle crush your second. Oh, by the way, it has doors that open like this
[00:50:28.760 --> 00:50:32.760]   Not doors that open like the doors that open like this for the two comma club
[00:50:32.760 --> 00:50:40.760]   Is is silicon is the tv show silicon valley gonna change our vocabulary? I think it is at least among a certain group
[00:50:40.760 --> 00:50:43.400]   Yeah doors that go like I want doors to go like this
[00:50:43.400 --> 00:50:49.080]   All right, we're gonna take a break. I wish I could sell you doors that go like this the new by the way the new uh tesla
[00:50:49.080 --> 00:50:51.320]   Yeah doors doors that go like that
[00:50:51.960 --> 00:50:53.000]   Nice
[00:50:53.000 --> 00:50:55.160]   They know what rich people want. That's right
[00:50:55.160 --> 00:50:58.520]   Our show today brought to you by a zip recruiter if you're in business
[00:50:58.520 --> 00:51:02.600]   You know that getting the right talent the right I call him talent
[00:51:02.600 --> 00:51:10.520]   The people who work for you. That's your talent. That's what makes your company sing and you get in the right person in there is so important that person
[00:51:10.520 --> 00:51:15.560]   Does it makes your company work? It makes your company
[00:51:15.560 --> 00:51:21.160]   Succeed, but where do you find the right candidates now? Thanks to the internet of course. There's a ton of jobs sites
[00:51:21.160 --> 00:51:23.160]   So that's a lot easier
[00:51:23.160 --> 00:51:29.000]   But the problem is there's a ton of jobs sites so which one you want? I mean everyone has a different kind of slant and so forth
[00:51:29.000 --> 00:51:30.680]   Here's the key
[00:51:30.680 --> 00:51:36.280]   Zipper recruiter.com with one zip recruiter post you go to a hundred plus job boards one click
[00:51:36.280 --> 00:51:41.080]   And you're and by the way, they also have a database of up-to-date resumes that people have supplied to them
[00:51:41.080 --> 00:51:47.880]   They will also with that same click match you to candidates for from more than four million resumes
[00:51:49.000 --> 00:51:52.440]   If you're saying well, I don't but what that means I'm gonna have a lot of applicants
[00:51:52.440 --> 00:51:59.160]   Don't worry. You don't get emails. You don't get calls it all goes into the zipper recruiter interface so you could quickly rank rate and hire
[00:51:59.160 --> 00:52:02.760]   400,000 businesses now use zipper recruiter
[00:52:02.760 --> 00:52:07.480]   And it's so sweet we used it and I was so pleased you can try enough for free
[00:52:07.480 --> 00:52:13.320]   Four days free that really four days believe it or not that could be enough to get that right person right now
[00:52:13.320 --> 00:52:17.720]   They're waiting for you to go to zipper recruiter.com/twig
[00:52:18.840 --> 00:52:22.040]   Screen rate and hire the right candidate fast
[00:52:22.040 --> 00:52:26.200]   Zipper recruiter.com/twig you didn't have such a great thing
[00:52:26.200 --> 00:52:29.880]   You know, I think you you've such a great thing you invented a new slogan for zipper recruiter
[00:52:29.880 --> 00:52:34.040]   Make sure your talent has talent talent you want talented talent you want on talent talent?
[00:52:34.040 --> 00:52:35.880]   Mm-hmm
[00:52:35.880 --> 00:52:40.360]   We get called talent, you know show hosts are called talent, but I think really anybody who's working in your company
[00:52:40.360 --> 00:52:45.880]   You should think of them that way. They're the talent right they're the brains. They're the the the people who make the difference in your company
[00:52:46.760 --> 00:52:53.480]   I've really liked that that was a line in the latest book about Steve Jobs becoming Steve Jobs
[00:52:53.480 --> 00:52:56.600]   uh the author
[00:52:56.600 --> 00:53:04.200]   Said that Steve Jobs understood that the company was one of the greatest inventions of the 20th century or maybe the
[00:53:04.200 --> 00:53:08.600]   I guess companies started in in Holland in the 17th century
[00:53:08.600 --> 00:53:13.880]   But the idea that a group of people would band together with a central purpose. Yeah
[00:53:15.160 --> 00:53:16.120]   uh
[00:53:16.120 --> 00:53:23.960]   Is so powerful and and instead of seeing apple as a hierarchy of the boss the managers the employees the grunts
[00:53:23.960 --> 00:53:26.360]   He saw it as a group of people
[00:53:26.360 --> 00:53:35.800]   With a united goal a united purpose and that's really you could see that in apples DNA can't you you can and and this is uh that that notion is
[00:53:35.800 --> 00:53:38.520]   you know is uh something that uh
[00:53:38.520 --> 00:53:41.000]   is you know
[00:53:41.000 --> 00:53:46.920]   People who are against unionization like the CEO of uh of Whole Foods for example is anti union
[00:53:46.920 --> 00:53:50.360]   Would would argue that that it's in fact unions that disrupt
[00:53:50.360 --> 00:53:57.400]   Uh the the sing singleness of purpose it pits management against well then the union becomes the purpose instead of the company
[00:53:57.400 --> 00:54:04.600]   Exactly now we have gawk gawkers unionized and now we have a whole bunch of writers from sites are trying to get together and and have a big
[00:54:04.600 --> 00:54:09.400]   meeting all get unionized and I just started turtling on twitter so fine so they all go on strike
[00:54:10.520 --> 00:54:13.320]   See i'm kind of a union guy. I know maybe i'm an old progress
[00:54:13.320 --> 00:54:20.120]   I'm an old line progressive. I just feel is there's no doubt that in the beginning of the 20th century union saved a working person
[00:54:20.120 --> 00:54:27.160]   Absolutely that was then they became their own their own. Yeah, maybe i'm not i'm not sure that there aren't
[00:54:27.160 --> 00:54:28.280]   um
[00:54:28.280 --> 00:54:30.280]   Industries who that need them
[00:54:30.280 --> 00:54:36.200]   Um, but I I do believe that many of the industries that did need them don't anymore and that they're kind of productive now
[00:54:36.280 --> 00:54:38.840]   So I think it's kind of an industry by industry thing
[00:54:38.840 --> 00:54:44.520]   But I think the the idea of of gawker employees like, you know screaming scab at the people who still want to
[00:54:44.520 --> 00:54:49.480]   Do blog posts is hilarious to me as well the giant inflatable rat. That's the one I like
[00:54:49.480 --> 00:54:53.160]   They put have you seen those jeff there out for some reason they're all over in new york
[00:54:53.160 --> 00:54:57.400]   I guess because there's a lot of hotel strikes and stuff going on in the york
[00:54:57.400 --> 00:54:59.240]   um
[00:54:59.240 --> 00:55:02.120]   Have you seen the darpa challenge blooper reel
[00:55:03.560 --> 00:55:06.840]   So the darpa challenge is so cool that it whoa
[00:55:06.840 --> 00:55:14.120]   This is almost identical to the russian police officer drunk
[00:55:14.120 --> 00:55:21.080]   Loopery, so what's cool is the darpa challenge which has been around for some years was originally about autonomous vehicles
[00:55:21.080 --> 00:55:26.120]   That's been solved. Yeah, I went to the first one. They were driving off the road. Just like this
[00:55:26.120 --> 00:55:30.040]   So now they've changed the challenge and it's kind of cool. They give you
[00:55:30.440 --> 00:55:33.960]   They give these these robots are not remote controlled. They're
[00:55:33.960 --> 00:55:38.600]   Autonomous they have to solve a real world problem and some of the problems are supplied at the
[00:55:38.600 --> 00:55:42.920]   You know right before the competition begins. Yeah, so you can't like write a lot of cool
[00:55:42.920 --> 00:55:45.480]   I'm getting empathy for machines here
[00:55:45.480 --> 00:55:50.840]   The sky apparently the skynet takeover is a little ways off
[00:55:50.840 --> 00:55:54.440]   I'm sorry it shouldn't laugh
[00:55:55.160 --> 00:56:00.520]   You you're right you shouldn't leo because when they realize that you're laughing at them
[00:56:00.520 --> 00:56:03.240]   And they can do something in 2015
[00:56:03.240 --> 00:56:11.240]   We noticed that you were mocking us. Yes. We're now will take you back behind the studio remember our our memory is forever
[00:56:11.240 --> 00:56:16.120]   Show you what we can do now. We never forget the if you want
[00:56:16.120 --> 00:56:21.880]   Yeah, yeah, yeah, yeah, if you want to know more about the darpa robotic challenge, I think it's still going on
[00:56:22.280 --> 00:56:24.280]   It's the robotics challenge
[00:56:24.280 --> 00:56:28.440]   Dot org and what I love about this is the progress that they've made
[00:56:28.440 --> 00:56:31.560]   So you went to the first one. I went to the first one and the starting line was
[00:56:31.560 --> 00:56:39.400]   Unbelievable just you know 90 percent of the field just failed immediately. There was even they even had a motorcycle
[00:56:39.400 --> 00:56:42.040]   Uh, all they were trying to do is drive a road
[00:56:42.040 --> 00:56:47.560]   right they were trying to drive in a dirt road, you know, it's like is like 10 miles or something like that and
[00:56:48.760 --> 00:56:52.840]   Vast majority were just driving up on the edges and falling over and doing all this kind of stuff
[00:56:52.840 --> 00:56:58.600]   It was just it was such a difficult problem that now we take it for granted that is totally solvable and it's not a mate
[00:56:58.600 --> 00:57:02.680]   Not so long. What is it 10 years 15? It's not so so actually it is over
[00:57:02.680 --> 00:57:07.000]   Robots from the republic of korea and the united states won three and a half
[00:57:07.000 --> 00:57:09.560]   million dollars in prizes
[00:57:09.560 --> 00:57:11.240]   um
[00:57:11.240 --> 00:57:18.200]   The first place the two million dollar prize goes to team kai east of uh day john in the republic of korea
[00:57:18.600 --> 00:57:20.600]   Its robot was dr. C hubo
[00:57:20.600 --> 00:57:26.040]   Second place three a million dollars from penceacola, florida the robot running man
[00:57:26.040 --> 00:57:32.440]   We really should have been there. Yeah next year. Can we cover this? Yes, let's do that. Oh third prize. It's a hash challenge
[00:57:32.440 --> 00:57:38.440]   Uh, um, so pitzburg got the third place half million dollar prize with its robot chimp
[00:57:38.440 --> 00:57:43.800]   23 teams you saw the robots they're big they're scary there they look human
[00:57:44.440 --> 00:57:50.520]   I mean put an honor sword snigger exoskeleton on them and you've got you know terminator the the idea on this one was
[00:57:50.520 --> 00:57:53.640]   Kind of inspired by the fukishima fukishima
[00:57:53.640 --> 00:57:59.960]   earthquake in japan the disaster in the nuclear plant that they actually had to send human sad human beings into
[00:57:59.960 --> 00:58:04.200]   Basically fatal situations that the the former should be human
[00:58:04.200 --> 00:58:08.440]   What's over there? You show there's a good reason to lakes and to worms the atlas people
[00:58:08.920 --> 00:58:13.240]   Now owned by google, uh had a good reason for that and that is that the world
[00:58:13.240 --> 00:58:17.960]   The human world is built for humans. So you know if you have a human shaped robot
[00:58:17.960 --> 00:58:23.480]   It can get into a car it can it can walk through a door it can go upstairs it can do all the things that are built for human beings
[00:58:23.480 --> 00:58:28.600]   You don't have an answer. So you want to hear the challenges? I don't know if I could do these there were eight tasks all related to
[00:58:28.600 --> 00:58:32.680]   Disaster response. Oh, it's fizzed. Does that one's gonna sound like to me? Well?
[00:58:33.400 --> 00:58:38.920]   If a car alone forget this autonomous vehicle, they're gonna have the robot get in the car now
[00:58:38.920 --> 00:58:40.920]   You know why they're human and drive it
[00:58:40.920 --> 00:58:43.480]   Walking through rubble
[00:58:43.480 --> 00:58:46.760]   We saw some robots not do that well tripping circuit breakers
[00:58:46.760 --> 00:58:54.120]   So going up to a circuit breaker opening the box and flipping the switch turning valves climbing stairs covering a press conference
[00:58:54.120 --> 00:59:00.440]   Hosting a podcast. Yes, what that shouldn't be odd. No, hopefully they're falling over
[00:59:00.600 --> 00:59:05.640]   So that's you're asking a good question because I'd like to I'd like to do the next one and I don't know when the next one
[00:59:05.640 --> 00:59:09.160]   I'll find out. We'll make sure we cover it. It'd be so great to cover that
[00:59:09.160 --> 00:59:11.400]   Um
[00:59:11.400 --> 00:59:14.040]   Really fun. I want to see you. I want to see you interview a robot
[00:59:14.040 --> 00:59:18.600]   I think that's you know, well, okay. Well, that's the interesting question. So
[00:59:18.600 --> 00:59:24.760]   In the original DARPA challenge it was just driving a car autonomously which we solved
[00:59:25.400 --> 00:59:31.080]   In fact soon we'll be in them. Right. Uh this year it was robots flipping switches driving cars themselves
[00:59:31.080 --> 00:59:34.680]   What will it be in 10 15 years? What will we be asking those robots to do?
[00:59:34.680 --> 00:59:37.480]   Very human like tasks. I would guess
[00:59:37.480 --> 00:59:43.080]   Nanny robot nannies nannies maybe yeah, there's no reason for them to host talk shows. Thank god
[00:59:43.080 --> 00:59:47.800]   No, uh, they wouldn't waste their precious time. Yeah, they've got better things to do
[00:59:47.800 --> 00:59:50.520]   That'll be the challenge come up with the reason to host a talk show
[00:59:53.400 --> 01:00:01.000]   Good lord. Um, I just so by the way that video is uh on the discovery magazine's website
[01:00:01.000 --> 01:00:03.480]   And let me see if I could find it for you so I can uh
[01:00:03.480 --> 01:00:07.240]   So because I know you want to share this with all your families and friends
[01:00:07.240 --> 01:00:13.560]   This this is the mark hand greasy line too is is the first half of the of the
[01:00:13.560 --> 01:00:19.960]   dialectic is robots or that hasn't worked it's never gonna work. It's just awful and the next one is robots work too well
[01:00:19.960 --> 01:00:22.760]   It's gonna get a little wrong. I think we're getting close to that frankly
[01:00:23.080 --> 01:00:30.280]   Yeah, uh, this is a very good story today, which I put up about about how self-driving trucks are going to hit the auto industry
[01:00:30.280 --> 01:00:33.720]   Really? I mean the truck in trucking industry. Yeah, really
[01:00:33.720 --> 01:00:40.280]   1 and a half percent of the workforce works at driving whether it's driving a taxi or driving a truck
[01:00:40.280 --> 01:00:47.400]   Those people I think are threatened in the next decade. Yeah, those jobs. That's a lot of jobs. Yep
[01:00:48.440 --> 01:00:55.640]   Uh, this is discover magazine not discovery the tv network. Uh, the most epic robot fails of the DARPA robotics
[01:00:55.640 --> 01:01:04.360]   Uh challenge. This is my favorite one somebody made an anime to give robots standing in the door and just says I don't know
[01:01:04.360 --> 01:01:10.360]   I know i'm sorry. I shouldn't laugh i'm in deep trouble
[01:01:10.360 --> 01:01:12.840]   Even that uh
[01:01:12.840 --> 01:01:15.000]   Do you want to see the some of the winners?
[01:01:15.160 --> 01:01:20.040]   Yeah, here is uh, this is the uh case to the the um korean robot
[01:01:20.040 --> 01:01:25.480]   The challenge again getting in a car and driving it. I mean that's kind of mind-boggling
[01:01:25.480 --> 01:01:28.520]   Yeah, that a robot could get in a car
[01:01:28.520 --> 01:01:31.720]   And successfully drive it right?
[01:01:31.720 --> 01:01:34.600]   Um, there's the robot. I guess
[01:01:34.600 --> 01:01:37.720]   He's already in the car
[01:01:37.720 --> 01:01:41.960]   Look, he's holding his hat for some reason. He's got a hand on his hat
[01:01:43.000 --> 01:01:46.760]   I was such a headache. That's really I don't want to my hat to fall off
[01:01:46.760 --> 01:01:52.680]   Look at this. Uh, oh, is he gonna hit that? He's got to go. Oh, see that's to really pilot it. Holy cow
[01:01:52.680 --> 01:01:54.600]   Wow
[01:01:54.600 --> 01:01:57.640]   So here's here's something scary that's also google related
[01:01:57.640 --> 01:02:00.840]   We're talking about how I went to the original grand challenge. It was in 2004
[01:02:00.840 --> 01:02:03.960]   2004 Jason I put it in the rundown. I colored it pink
[01:02:03.960 --> 01:02:11.960]   But I searched for DARPA in google photos and it found them. Yeah, how did your pictures? How did it recognize?
[01:02:12.680 --> 01:02:13.160]   Uh
[01:02:13.160 --> 01:02:17.480]   The DARPA grand challenge using the word DARPA's robots are smarter than us already. That's incredible
[01:02:17.480 --> 01:02:21.640]   So these are some of my my robot ride side saddle. Is he gonna get out? Look at that
[01:02:21.640 --> 01:02:27.320]   He does exactly what he's supposed to do again. I want to emphasize this there's nobody human remote controlling this robot
[01:02:27.320 --> 01:02:28.200]   Yeah
[01:02:28.200 --> 01:02:30.920]   That robot did it by himself or itself
[01:02:30.920 --> 01:02:34.120]   Do you want to see him getting out of the vehicle? This is fun
[01:02:34.120 --> 01:02:40.440]   This is the winner one one a big prize to two million dollars. I'm sure most of that money
[01:02:41.240 --> 01:02:43.320]   Was well spent already spent. Yeah
[01:02:43.320 --> 01:02:48.920]   Before they won it. So now he has to get out of his roo raises his hand off the wheel
[01:02:48.920 --> 01:02:54.840]   Turns very careful by the way. Notice he rode side saddle. Why bother getting your legs in there?
[01:02:54.840 --> 01:02:57.880]   Uh, I guess except for the accelerator pedal
[01:02:57.880 --> 01:03:03.480]   It's not like they're running but remember this is 11 years ago cars were driving off the road. Yeah
[01:03:03.480 --> 01:03:06.840]   It's amazing. It's only 11 years. Yeah
[01:03:08.040 --> 01:03:10.040]   This is why I want to live forever
[01:03:10.040 --> 01:03:13.880]   If if self-driving cars had robots and then we probably feel more comfortable
[01:03:13.880 --> 01:03:19.960]   Oh, yeah, right and you know son of phyme johnny cab. Yeah, exactly. You're in a johnny cab
[01:03:19.960 --> 01:03:23.240]   Wow, he's grasping the frame. Yeah
[01:03:23.240 --> 01:03:30.120]   Remember this huge computation going on at this point. There's no they have to figure out where they are what they're doing
[01:03:30.120 --> 01:03:32.200]   what they need
[01:03:32.200 --> 01:03:34.200]   they were not um
[01:03:34.200 --> 01:03:39.480]   They were not given a road map of the vehicle or where they were going to go ahead of time
[01:03:39.480 --> 01:03:44.200]   This is all in response to the environmental stimulus. Of course otherwise it's useless
[01:03:44.200 --> 01:03:47.000]   They have to make sure they don't flash their underwear to the paparazzi
[01:03:47.000 --> 01:03:52.680]   Very complicated computationally. So this is an antidote. Wow. Look at this an antidote to
[01:03:52.680 --> 01:04:00.440]   The robots we saw for yeah, and you can see why they fell over. This is not easy. Right. Look at this. He's good
[01:04:00.440 --> 01:04:02.840]   Yeah, he bends his knees. Always want to shift
[01:04:03.960 --> 01:04:05.960]   Oh my god
[01:04:05.960 --> 01:04:09.080]   It's not exactly going to chase you like the terminator, but
[01:04:09.080 --> 01:04:14.600]   Uh, but you you can see just those of us who are
[01:04:14.600 --> 01:04:21.320]   Intuitively familiar with more is law that this will just get faster and accurate and point where they'll be able to get out of the car and like
[01:04:21.320 --> 01:04:23.960]   Faster than actually yeah
[01:04:23.960 --> 01:04:29.000]   In other words perfect actually we only have a little bit right uh, there's only a little window of opportunity for us
[01:04:29.320 --> 01:04:32.600]   Meet meet sex. Well, I mean we can have our brains transplanted
[01:04:32.600 --> 01:04:37.320]   Transplant it into a jar that sits on top of the robots body. I feel like that's a separate track
[01:04:37.320 --> 01:04:42.760]   I kind of want those tracks maybe get when we do that in parallel because I feel like
[01:04:42.760 --> 01:04:46.040]   One's getting a little bit ahead of the other at this point and uh
[01:04:46.040 --> 01:04:50.360]   I don't feel like that the the brain container is going to be here in time
[01:04:50.360 --> 01:04:55.720]   Look at that. I want my brain container to have like oculus rift like lash to the outside of the jar
[01:04:55.960 --> 01:05:00.120]   So that I can just live live in virtual reality. Look how stable that is. Yeah, it's amazing
[01:05:00.120 --> 01:05:06.280]   All right, DARPA grand challenge. It's over. There's the winner. There's your winner right there
[01:05:06.280 --> 01:05:09.240]   His name is hubo
[01:05:09.240 --> 01:05:11.800]   And he'll be knocking on your door in 15 minutes
[01:05:11.800 --> 01:05:16.680]   We're 11 years. So it was only 11 years ago. These cars are driving off the road
[01:05:16.680 --> 01:05:22.440]   You know, I I've been using a new uh service that uh is being tested in san francisco called lux l u x e
[01:05:22.440 --> 01:05:24.840]   I can't wait. It's fantastic. It's fantastic
[01:05:24.840 --> 01:05:28.760]   Wait, look at hubo got on his knees. I don't know what's going on. He's a he's a muslim
[01:05:28.760 --> 01:05:30.120]   He's
[01:05:30.120 --> 01:05:34.360]   He knows which way he's mac i could get built in why is huba? Oh, he's got wheels
[01:05:34.360 --> 01:05:38.760]   Oh, it's son of a gun. We're in deep trouble folks
[01:05:38.760 --> 01:05:42.440]   We are in deep deep trouble. That's really cool
[01:05:42.440 --> 01:05:45.160]   But anyway, luck's for those of you unfamiliar with the services
[01:05:45.160 --> 01:05:48.680]   It's kind of like uber except they use your car instead of theirs
[01:05:48.680 --> 01:05:51.960]   Basically, what you do is you go to you go to san francisco
[01:05:52.120 --> 01:05:55.160]   Uh, I'll drive in there. We're parking is hugely expensive
[01:05:55.160 --> 01:05:59.400]   It's really difficult to park it's expensive and you know, and so you just go wherever you want
[01:05:59.400 --> 01:06:03.720]   You you say i'm going to be at this place in about five minutes. They meet you there
[01:06:03.720 --> 01:06:06.360]   They are either on a scooter or a skateboard. They have a little blue
[01:06:06.360 --> 01:06:09.800]   Jackets, i saw a guy hanging out with a blue jacket
[01:06:09.800 --> 01:06:13.240]   Yes, they're just hopping the they just hop in the car and drive your car away
[01:06:13.240 --> 01:06:16.520]   And you do whatever you're going to do and then when you want you summon it just like uber
[01:06:16.520 --> 01:06:19.000]   And they come and you they get out
[01:06:19.000 --> 01:06:21.640]   But mike, you know that one. I don't know something kind of
[01:06:21.640 --> 01:06:28.120]   That's you kind of trust the guy in the blue jacket. Well, that's one part of it and almost seemed like this is
[01:06:28.120 --> 01:06:34.360]   I don't know there's some progressive part of me that says this is like taking a homeless guy and saying
[01:06:34.360 --> 01:06:39.400]   They just drive my car around till I need it again. I hope that that's not but that's what people think about
[01:06:39.400 --> 01:06:44.680]   Not criticizing i'm not criticizing you like i'm trying to imagine myself using this and it makes sense
[01:06:45.080 --> 01:06:49.800]   But then i'm thinking what is there's i can't figure out what it is. There's something a little off about the concept
[01:06:49.800 --> 01:06:56.120]   It feels elitist because basically what you're doing is you're turning the whole city into into a into a
[01:06:56.120 --> 01:07:00.600]   Valet parking service. Well, they have their own lots. Yeah, they will wash your car
[01:07:00.600 --> 01:07:04.680]   If you ask them to you pay them, of course, I should have asked them to get my cars filthy
[01:07:04.680 --> 01:07:12.280]   And uh, they are insured. So if they do run off with your car, you have it or crash it. Yeah, you know what it is
[01:07:13.320 --> 01:07:17.080]   See I despise valet parking when I go to california make fun of it
[01:07:17.080 --> 01:07:21.480]   I ridicule it. I park around the but I despise it. It's very california thing to have
[01:07:21.480 --> 01:07:24.840]   valet parking but here's the best part of lukes
[01:07:24.840 --> 01:07:29.960]   But it's but it but it's it makes material sense. So if you go to new york city and you want to park your cars
[01:07:29.960 --> 01:07:34.520]   With any of that right there's a there's a so here's how you get on the valet team
[01:07:34.520 --> 01:07:40.520]   They say 15 to 25 dollars an hour. You keep everything you've earned and that doesn't include tips. I bet you tipped them
[01:07:41.000 --> 01:07:45.400]   Uh, no insurance gas or hidden fees for you have to jog scooter or skate
[01:07:45.400 --> 01:07:50.280]   Skateboard around san francisco to meet customers stay in shape as you explore the city
[01:07:50.280 --> 01:07:57.160]   Well, see but see the cool thing is the hourly rate on lukes is less than any parking garage in san francisco
[01:07:57.160 --> 01:07:59.960]   In fact, you can keep it overnight for an extra 10 bucks. So for 25
[01:07:59.960 --> 01:08:05.960]   They they'll keep your car for 24 hours, which is like 60 or 70 bucks in any hotel in san francisco
[01:08:05.960 --> 01:08:08.760]   But but the point the reason I brought it up is that this service
[01:08:08.760 --> 01:08:11.560]   Obviously these guys are going to be replaced by robots in five years
[01:08:11.560 --> 01:08:16.920]   The robots are going to come in across you know why because autonomous cars are going to eliminate the need for these guys
[01:08:16.920 --> 01:08:20.440]   That's right. We won't even own vehicles. It's right now in san francisco, la
[01:08:20.440 --> 01:08:26.520]   Chicago, seattle and boston I found out about it because our travel guy johnny jet told me and I haven't had a
[01:08:26.520 --> 01:08:32.120]   Occasion to use it yet, but I I plan on it. This is the uberfication of everything. Yep. Yep
[01:08:32.120 --> 01:08:34.840]   But I'll tell you
[01:08:34.840 --> 01:08:40.680]   This model is going to succeed and the reason is it feels so damn good to use it like we you know
[01:08:40.680 --> 01:08:44.760]   We I've been to the city in places where you just you can't park
[01:08:44.760 --> 01:08:47.720]   And it's crowded in this rush hour and it says a hassle
[01:08:47.720 --> 01:08:49.960]   We just want to go to a restaurant have a nice meal and then leave
[01:08:49.960 --> 01:08:55.800]   And you just go pull up right in front of the door of the restaurant get out and just walk into the restaurant
[01:08:55.800 --> 01:08:58.600]   It's so well now here. All right. Here's my question like so
[01:08:58.600 --> 01:09:03.080]   Is there gonna be a war between valets? Well, we actually had a war
[01:09:03.800 --> 01:09:06.920]   My son and I he came from silicon valley. I came down from petaluma
[01:09:06.920 --> 01:09:12.840]   We we all had dinner in san francisco and we set it up to where he put it in and we pushed the button at the same time
[01:09:12.840 --> 01:09:15.960]   The race my guy blew his away by about 10 minutes
[01:09:15.960 --> 01:09:20.200]   But uh, yeah, your guy was on a same thing. Well, no, you're gonna you're gonna pull up for a rest
[01:09:20.200 --> 01:09:24.120]   That has its own valet parking and instead you're gonna have your valet
[01:09:24.120 --> 01:09:26.360]   Exactly. It's who of them. We're gonna get into a fight
[01:09:26.360 --> 01:09:31.240]   Yes, and and then that's why we have a smartphone so we can video that
[01:09:31.960 --> 01:09:38.360]   On youtube it's part of the circle of life google announced on friday that they will start putting accident reports on their
[01:09:38.360 --> 01:09:40.760]   self-driving car blog
[01:09:40.760 --> 01:09:44.920]   Yeah, they've been you know, they've been kind of harassed into this. I think uh,
[01:09:44.920 --> 01:09:47.720]   the
[01:09:47.720 --> 01:09:51.080]   Originally at a shareholders meeting on wednesday, sir gay brin said
[01:09:51.080 --> 01:09:56.760]   We don't need to reveal accident details. Nothing can be perfect. Our goal is to just be better than humans
[01:09:56.760 --> 01:10:01.800]   Um on the other hand, uh, they've been getting a lot of pressure for consumer watchdog and others
