;FFMETADATA1
title=93 Million Selfies
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=255
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2014
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.120]   It's time for Twig is Weekend Google and we are just back from the Google I/O keynote.
[00:45:48.320 --> 00:45:51.120]   Right it creates context in the sense that when I when I
[00:45:51.120 --> 00:45:56.400]   I'm worried by watching I'm holding my phone my phone says i'm okay to be unlocked now. Mm-hmm hallelujah
[00:45:56.400 --> 00:45:58.720]   um
[00:45:58.720 --> 00:46:02.960]   I did like that. That's a nice. Yeah, I just take it from the motor. Nice which senses bluetooth
[00:46:03.360 --> 00:46:05.920]   bearings and will unlock if you're on a secure bluetooth
[00:46:05.920 --> 00:46:10.480]   And I sense there's a there's a whole list of of contexts that work both ways right my watch will know where I am
[00:46:10.480 --> 00:46:15.280]   Nearport. I've got to tell you to go to the flight. I'll prioritize that that card or
[00:46:15.280 --> 00:46:19.280]   I watch creates the context of saying jeff's near here because it's his watch
[00:46:19.280 --> 00:46:20.880]   This is great and
[00:46:20.880 --> 00:46:25.440]   This is something we've already seen nibbling the edges around moto x knows when you're home knows when you're at work
[00:46:25.440 --> 00:46:30.240]   Uh, there's a program we've recommended called agent does the same thing on any android device
[00:46:30.800 --> 00:46:35.200]   It makes sense when you're at the store reminders have always popped up saying don't forget to buy milk
[00:46:35.200 --> 00:46:41.520]   But it makes sense to watch this is a better place to put it is on your wrist. Yeah, so this becomes your authentication in the future
[00:46:41.520 --> 00:46:44.240]   I think which is which is important. Uh, that's very interesting
[00:46:44.240 --> 00:46:48.160]   That's so that for what for for all these kinds of things we're walking into your house for
[00:46:48.160 --> 00:46:53.840]   We're getting to your lock the devices for for um billing things
[00:46:53.840 --> 00:46:56.400]   if you're wearing it
[00:46:56.400 --> 00:46:59.040]   Presumptly you're gonna less likely to lose it
[00:47:00.400 --> 00:47:02.400]   And by the way, if you lose this
[00:47:02.400 --> 00:47:09.280]   If these two things aren't near each other you're for watching your phone to watch that each is going to say, oh, I'm really
[00:47:09.280 --> 00:47:11.920]   I'm not going to work right here. The gear 2 does that as well
[00:47:11.920 --> 00:47:15.680]   It not only notifies your relief, but you can search for your phone by pressing a button on your watch
[00:47:15.680 --> 00:47:20.000]   And the phone will be or pressing a button on the phone and the watch will be so so
[00:47:20.000 --> 00:47:23.360]   Again, I feel like as sam sung has is kind of
[00:47:23.360 --> 00:47:30.320]   With his second generation watch kind of seeing the opportunities and these are obvious opportunities to anybody's making these devices
[00:47:30.480 --> 00:47:34.000]   It makes sense that it should be in an API for android wear
[00:47:34.000 --> 00:47:35.760]   Um
[00:47:35.760 --> 00:47:38.160]   We still have an answer to the question of which you should get the gear
[00:47:38.160 --> 00:47:40.240]   No, I was like, where did she?
[00:47:40.240 --> 00:47:42.880]   So this ham sung what's it called the gear line?
[00:47:42.880 --> 00:47:44.560]   Gear line. So you're live. I mean
[00:47:44.560 --> 00:47:50.240]   My take on it was I want the one that's more stylish because maybe i'm just vain and to me that's the that the g watch
[00:47:50.240 --> 00:47:50.720]   I don't know
[00:47:50.720 --> 00:47:54.080]   Look at people's risks carefully as they were on stage because I think every one of those watches
[00:47:54.080 --> 00:47:55.520]   Was was well?
[00:47:55.520 --> 00:47:58.240]   Suh-dong was wearing the stage. He was wearing the round when it looked a lot better
[00:47:58.400 --> 00:47:59.440]   I agree
[00:47:59.440 --> 00:48:02.800]   Actually, they looked big on him. I mean it looked like a chunky watch on him
[00:48:02.800 --> 00:48:07.840]   I don't mind chunky watches so much. Um, it definitely made me want the the moto the most
[00:48:07.840 --> 00:48:12.560]   But between the g-watch and the and the gear live I I like the way the g-watch looks a little better
[00:48:12.560 --> 00:48:16.160]   But I also like that sam-sung has some has some experience with watches
[00:48:16.160 --> 00:48:19.920]   So see that has a live preview as a preview up of the gear live
[00:48:19.920 --> 00:48:24.320]   Uh, okay. Let me find that because we you know, sam-sung doesn't have any information up
[00:48:24.320 --> 00:48:27.200]   Um, this looks a little bit nicer frankly
[00:48:28.080 --> 00:48:31.520]   Um, this is the heart rate monitor the cooling about this one is the heart rate monitor
[00:48:31.520 --> 00:48:35.280]   No, I gotta tell you don't get overexcited because these heart rate monitors on wrist watches
[00:48:35.280 --> 00:48:39.600]   I've have a of a basis in the gear to sorry a best buy ad before we get to the
[00:48:39.600 --> 00:48:44.560]   Uh, review, but they don't work. They don't work when you're moving for one thing
[00:48:44.560 --> 00:48:48.560]   So they're not really ideal for x-u-s
[00:48:48.560 --> 00:48:51.440]   Well for me because i'm stationary most. Oh, that's good if you're sitting around they're the best
[00:48:51.440 --> 00:48:57.920]   Uh, um, so yeah, the gear 2 does it and so does the basis watch and they're they're accurate in the right circumstances
[00:48:58.160 --> 00:49:02.240]   Don't get too sweaty. Don't move around too much. Uh, they don't work very well in
[00:49:02.240 --> 00:49:08.720]   Um, but I do think these replace the fitbit and the fuel band and all of these simply simple pedometers
[00:49:08.720 --> 00:49:14.320]   Yeah, so here here is the scott stein and a senior editor and that is the sam-sung gear live
[00:49:14.320 --> 00:49:18.480]   Looks very I have to say almost identical minus the camera
[00:49:18.480 --> 00:49:25.360]   Uh and the button to the gear gear 2 it does read messages respond by voice. You can do that in the gear 2
[00:49:26.320 --> 00:49:30.720]   Um, they're big, but you want a big screen because you want to be able to read that's true too. Um
[00:49:30.720 --> 00:49:33.680]   Also the charging situation on these things
[00:49:33.680 --> 00:49:37.200]   Uh, I can tell you on the gear 2 that you have to dock it
[00:49:37.200 --> 00:49:41.280]   Uh, and I think it's going to be the same here. This looks on the back identical
[00:49:41.280 --> 00:49:44.880]   Well, how do you dock it? Well, I'll show you see what look at when he shows you the back
[00:49:44.880 --> 00:49:48.640]   Yeah, you see um, you see there's contacts here. There's four contacts
[00:49:48.640 --> 00:49:53.040]   This is just like the gear 2. It has a little it's not too big little dock that slips onto it
[00:49:53.040 --> 00:49:57.920]   And then that has the usb port just put a usb port in it. They did say wireless charging
[00:49:57.920 --> 00:50:03.440]   Should be wireless. It should be wireless. I don't I don't think it should make a watch of the dock or usb
[00:50:03.440 --> 00:50:07.840]   I mean, I just think what I wear my watch at night so I can see what time it is because I'm blind
[00:50:07.840 --> 00:50:10.480]   If I have to take my watch off every night to charge it
[00:50:10.480 --> 00:50:15.040]   Yeah, I think you're gonna have to and if you want to use it as an alarm
[00:50:15.040 --> 00:50:20.320]   All right, let's look at all you know you tell your phone to be right the phone. It has to be alarm, right?
[00:50:20.400 --> 00:50:23.280]   All right, I dock my phone right next to my bed
[00:50:23.280 --> 00:50:29.520]   All right, the the g I think the lg is the one I would get really yeah, you're gonna get the moto, right? So
[00:50:29.520 --> 00:50:38.080]   Just because lg at least has a page up. Let's see if we can uh, find out more about the g watch choice of colors in black
[00:50:38.080 --> 00:50:43.040]   Titan or white gold you can customize the strap boy. That's a big
[00:50:43.040 --> 00:50:48.000]   I mean, I think from a distance they look identical 400 milliamp hour battery
[00:50:48.560 --> 00:50:52.880]   Uh, it says it'll go all day in a single turn this is this is a luigi moment here. Um
[00:50:52.880 --> 00:50:56.480]   It's like the flop. It's a computer on your wrist
[00:50:56.480 --> 00:51:01.440]   And it's going six hundred miles an hour. Yeah, exactly and there's a toilet
[00:51:01.440 --> 00:51:06.000]   Right. So that's all you need to know. It really is. It's this come on. This is pretty damn
[00:51:06.000 --> 00:51:10.000]   Here you go. It is. It's pretty amazing. This will work the g watch and I'm sure this is true of the sam sum
[00:51:10.000 --> 00:51:15.200]   But I can't promise you but the lg will work with any smartphone running android 4.3 or better
[00:51:15.200 --> 00:51:17.600]   By the way 4.3 is a recent
[00:51:18.000 --> 00:51:24.560]   4.4 is the current right? Yeah, 4.4 just came down on ours. Yeah, kickettes current before three jelly beans jelly beans
[00:51:24.560 --> 00:51:28.640]   Okay, that's that's not the most recent. Yeah, you're right. I was doing having a luigi out
[00:51:28.640 --> 00:51:30.640]   Well, it doesn't have boys charging it's crap
[00:51:30.640 --> 00:51:34.080]   What do you mean? I have to plug it in
[00:51:34.080 --> 00:51:38.320]   If you go to um gee that we had to wind them
[00:51:38.320 --> 00:51:42.720]   Get a change the date in them and the little tiny thing there
[00:51:42.720 --> 00:51:45.520]   I knew somebody used to have
[00:51:46.240 --> 00:51:50.160]   In fact, I have quite a few these what this are called automatic watches that wine is you walk us
[00:51:50.160 --> 00:51:51.760]   And he had a device
[00:51:51.760 --> 00:51:57.360]   Because if you didn't walk enough he'd had device you put the watch on it spins it around in a weird way and winds it up
[00:51:57.360 --> 00:51:59.760]   Because if it were your gates, yeah, yeah
[00:51:59.760 --> 00:52:05.840]   That's lazy. Wow. I think I think the rational just is that if you're a collector
[00:52:05.840 --> 00:52:08.800]   Okay
[00:52:08.800 --> 00:52:11.360]   So here this is a little this is a little
[00:52:11.360 --> 00:52:15.440]   Recursive I went to g.co/warecheck to see if
[00:52:16.080 --> 00:52:20.000]   My phone is compatible with android where and it refers me to g.co/warecheck
[00:52:20.000 --> 00:52:24.160]   So maybe the phone the page isn't done yet. I don't know
[00:52:24.160 --> 00:52:26.960]   um
[00:52:26.960 --> 00:52:29.200]   Anyway
[00:52:29.200 --> 00:52:30.800]   Um
[00:52:30.800 --> 00:52:34.320]   This is this basically combines the features of
[00:52:34.320 --> 00:52:36.480]   um
[00:52:36.480 --> 00:52:37.840]   the pebble
[00:52:37.840 --> 00:52:41.120]   With a with a you know fitness band of some kind
[00:52:41.840 --> 00:52:46.800]   Uh google now notifications. I think this is do they all have the fitness stuff? They all have the same sense or imagine
[00:52:46.800 --> 00:52:48.800]   I mean those those are easy to implement. Yeah
[00:52:48.800 --> 00:52:51.520]   So
[00:52:51.520 --> 00:52:56.320]   Little star heart rate only available on watches with heart rate monitor. So really
[00:52:56.320 --> 00:52:59.520]   Interesting. I wonder what that means
[00:52:59.520 --> 00:53:01.920]   Uh
[00:53:01.920 --> 00:53:05.600]   All right now they're also gonna then but this is a good actually you know
[00:53:05.600 --> 00:53:11.520]   This is a good page if you go to android.com because it really demonstrates what the future vandored is powering screens of
[00:53:11.920 --> 00:53:16.160]   All sizes right it was android on every screen. We felt like the thesis today
[00:53:16.160 --> 00:53:21.840]   Android where on your watch and everywhere in the world android tv android honor
[00:53:21.840 --> 00:53:28.960]   Yeah, so android is the future and that makes sense when uh, andy rubin left to go run robots
[00:53:28.960 --> 00:53:35.600]   At google and soon dark pachai took over he's the chrome guy the crumles guy all of a sudden we suspect
[00:53:35.600 --> 00:53:40.560]   Maybe this means there's going to be some sort of unification and I think that's what that's what's happened
[00:53:41.120 --> 00:53:45.600]   Everywhere and and that makes sense from a google's point of view. They've they've got a great product
[00:53:45.600 --> 00:53:51.600]   They do and they want the next billion people and I think that they have a shot to get in the next billion people online with this
[00:53:51.600 --> 00:53:57.280]   Especially the phone that costs less than $100 auto. I don't know. Well, how much there is to say about auto. It's a casting
[00:53:57.280 --> 00:54:01.760]   Thing which is also what uh apple's car play is the
[00:54:01.760 --> 00:54:08.160]   Auto does not have android built into the auto anymore that has iOS built which i prefer because I don't want to have to say
[00:54:08.160 --> 00:54:13.120]   I don't want to buy this car because literally if if a car came only with iOS, I wouldn't buy it
[00:54:13.120 --> 00:54:18.480]   Well in five years you don't want to be looking at your car saying gee you're still kit cat. I wish you were the L word
[00:54:18.480 --> 00:54:20.880]   Um
[00:54:20.880 --> 00:54:25.360]   I say that all it's a w word at that way w right who knows what dessert will be at by then
[00:54:25.360 --> 00:54:30.320]   Um, so but it the way they demoed it with that cut down soul kia soul
[00:54:30.320 --> 00:54:36.480]   Uh was cable and I think that makes sense. You cannot get a full screen like this fast enough with bluetooth
[00:54:36.480 --> 00:54:40.400]   So you're gonna have to connect a special cable so your car will have to have it
[00:54:40.400 --> 00:54:45.840]   They did say that there are a lot of cars in this alliance a lot of manufacturers. There's a word no, taiota
[00:54:45.840 --> 00:54:50.800]   Yeah, I thought that was odd. Did you see honda? I didn't see honda if you go throw on the page
[00:54:50.800 --> 00:54:54.880]   So yes, honda's there honda's there i think that here's the list. Let's wait wait a barth
[00:54:54.880 --> 00:55:01.200]   A barth. I love the a barth. It has a scorpion for the logo. So that's gotta be good
[00:55:01.200 --> 00:55:03.920]   Uh Bentley too, so you gotta be happy about that
[00:55:05.280 --> 00:55:07.280]   Acura outy
[00:55:07.280 --> 00:55:13.600]   Ford honda honday infinity jeep kia
[00:55:13.600 --> 00:55:18.880]   Mazda mitzubishi nissan opel
[00:55:18.880 --> 00:55:26.000]   There's still opus you're filmed with gm and your first car was an opel cadet. Oh, no, really you're a dork
[00:55:26.000 --> 00:55:32.160]   ram rino seat seyat i'm sorry seyat
[00:55:34.160 --> 00:55:35.520]   Skoda
[00:55:35.520 --> 00:55:38.480]   Subaru Suzuki vox vagan and vo
[00:55:38.480 --> 00:55:43.040]   Vaux so what's missing from that? Uh, well as you said toyota is the big one tesla's not so
[00:55:43.040 --> 00:55:45.040]   Tesla's not there
[00:55:45.040 --> 00:55:50.960]   Yeah, but gm in the in the in the guys of chevra le but not other well i guess there's christmas all right
[00:55:50.960 --> 00:55:57.040]   So gm and four they got the big auto big three us auto makers. They've got vaux swag and outy. That's good
[00:55:57.040 --> 00:56:02.000]   So these in other words big. I don't see i don't see puzhou or rino. Well, there's rino
[00:56:03.360 --> 00:56:05.360]   See tran
[00:56:05.360 --> 00:56:09.360]   I want to do chavur with android vaux auto
[00:56:09.360 --> 00:56:12.080]   um
[00:56:12.080 --> 00:56:15.520]   But I like I think I like the idea now kevin marks was unhappy with
[00:56:15.520 --> 00:56:20.400]   The screen he said why would they waste space at the bottom of the screen for those icons?
[00:56:20.400 --> 00:56:22.960]   On a 16 9 screen. They should put them on the left
[00:56:22.960 --> 00:56:30.720]   I think that's pretty standard. I think that's what people expect in a car and remember you're listening to the directions not watching them on the screen
[00:56:30.720 --> 00:56:32.800]   Right
[00:56:32.800 --> 00:56:37.600]   Touching than I would on the music there was far more touching. That's gonna. That's gonna get a lot of torture
[00:56:37.600 --> 00:56:44.240]   Out there because there's there's you know now we have the feds wanting to regulate phone gps
[00:56:44.240 --> 00:56:50.480]   So they're gonna come into this too and they're gonna regulate anything you do in a car that but I have to say I at least on my phones
[00:56:50.480 --> 00:56:52.480]   I'm able to use google
[00:56:52.480 --> 00:56:56.560]   Uh speech to say listen to lana del rea and it will play music
[00:56:57.040 --> 00:57:03.440]   I could say launch audible. It will launch the audible app. I think most of what we do can be done by a voice
[00:57:03.440 --> 00:57:05.120]   Yeah
[00:57:05.120 --> 00:57:07.120]   I think until you're in the app
[00:57:07.120 --> 00:57:12.240]   Yeah, once you're in the app you can't navigate you have to yeah, but they but they have written you know the directions app
[00:57:12.240 --> 00:57:19.360]   Uh and messaging apps to be able to work. So that'll be the next phase. I think it's a big app partner spotify stitcher umano
[00:57:19.360 --> 00:57:24.560]   Uh pandora iHeart radio songs a major league baseball
[00:57:25.120 --> 00:57:30.320]   Um, so that they've got app partners. Um and in the demo, you know, he did the okay google
[00:57:30.320 --> 00:57:35.680]   What time is the museum open till and then google responded and then he said what can you take me there navigate to there?
[00:57:35.680 --> 00:57:37.680]   And so you have that a conversational google
[00:57:37.680 --> 00:57:43.040]   Um search voice search going on which I was like, okay that was impressed by that
[00:57:43.040 --> 00:57:48.640]   They also showed that on the watch by the way. So yes, you could actually lose the watch to a steer around
[00:57:48.640 --> 00:57:51.680]   Um, anyway, this makes sense and that's is I guess what?
[00:57:52.400 --> 00:57:55.840]   Google saying is we're agnostic you you could have android everywhere
[00:57:55.840 --> 00:57:59.200]   Yes, you can wear it. You can put it on your tv. Let's talk a little bit about the tv
[00:57:59.200 --> 00:58:02.320]   I wasn't exactly sure how this worked. I'm not either
[00:58:02.320 --> 00:58:10.080]   Uh, the I gathered that sony and sharp will announce 4k tv's later this year that will have android tv built in
[00:58:10.080 --> 00:58:14.080]   But more importantly this I got the sense will work with crumb cast
[00:58:14.080 --> 00:58:19.840]   Yes, well, but you can cast from your anything that's that's cast compatible
[00:58:19.840 --> 00:58:24.160]   So any tab on your computer or any app on your phone that has the cast button will cast to android
[00:58:24.160 --> 00:58:29.600]   It separated google cast from chrome cast where I could even cast my entire android interface. Yes
[00:58:29.600 --> 00:58:33.840]   Yes, you can cast your street right you can cast your screen, but that's to chrome cast
[00:58:33.840 --> 00:58:40.880]   There's a separation here between android tv and chrome. I think google cast is the is the casting technology
[00:58:40.880 --> 00:58:45.600]   Right the google cast is the is right is the is the technology right but but to say that something's a google
[00:58:45.600 --> 00:58:48.160]   I think they're using the term cast ready apps
[00:58:49.120 --> 00:58:54.560]   I think just means that you can stream out the media to either chrome cast but also android tv
[00:58:54.560 --> 00:58:59.200]   It also looked like they were going to have a lean or we're going to encourage a lean back
[00:58:59.200 --> 00:59:05.760]   Experience for apps so that if I cast the app to a 10 foot screen a screen 10 feet away
[00:59:05.760 --> 00:59:07.920]   It would have a lean back interface
[00:59:07.920 --> 00:59:12.160]   Right so right now the way chrome cast works the interface is always on the phone on the tablet
[00:59:12.160 --> 00:59:15.040]   And not on the screen the screen just hits the content
[00:59:15.360 --> 00:59:20.000]   It looks like I will be able to control the screen from the phone and have an interface
[00:59:20.000 --> 00:59:25.040]   So I could search Netflix on the screen, but use the phone. I'm not sure but exactly how that's going to work
[00:59:25.040 --> 00:59:28.960]   It's not clear. Yeah, tell me if i'm wrong, but this is important. They did not make a box
[00:59:28.960 --> 00:59:31.120]   They did not make a brown globe
[00:59:31.120 --> 00:59:36.640]   So that means they have a very limited installed pool of two manufacturers both japanese not
[00:59:36.640 --> 00:59:41.840]   korean's by the way who are the big ones? Well, you're not gonna see samson because they have their own platform exactly
[00:59:42.080 --> 00:59:45.200]   So ah this this is the one that underwells me most
[00:59:45.200 --> 00:59:52.480]   I've google struggled in tv, you know, they did the google tv which was arguably a flop even though lg adopted it
[00:59:52.480 --> 00:59:56.320]   A korean company now they're going to do the same thing now. They have to do the manufacturers
[00:59:56.320 --> 01:00:00.720]   And so if I wanted tomorrow across all my tbs in my house and I have many I don't think that's that play
[01:00:00.720 --> 01:00:04.800]   I think that's a possible one, but I think chrome cast is the play and if they can use chrome
[01:00:04.800 --> 01:00:09.040]   But all that functionality leon, not so sure all that functionality they showed you I don't think came with chrome cast
[01:00:09.920 --> 01:00:14.480]   All that lean back and control the tv and do the search the search interface and the
[01:00:14.480 --> 01:00:20.800]   No, no, that's not. I felt like that was unclear. No, but you were sitting in the room and you
[01:00:20.800 --> 01:00:23.440]   It was unclear. No, you're right this they kind of breezed over
[01:00:23.440 --> 01:00:28.080]   Chromecast was a whole separate thing. This was for for a google tv at android tv rather
[01:00:28.080 --> 01:00:34.240]   Yeah, this is yeah, that was my question mark. I didn't understand exactly what did what but I think that's the case
[01:00:34.560 --> 01:00:40.480]   So they they hope obviously to get manufacturers to adopt this build it in the set-top boxes
[01:00:40.480 --> 01:00:43.760]   Build it into tv's but that's a big get
[01:00:43.760 --> 01:00:48.320]   And and and now once you're there the interface was fascinating too because it really brought search
[01:00:48.320 --> 01:00:51.680]   And I don't want to necessarily look for just you know, give me the
[01:00:51.680 --> 01:00:56.560]   Academy award-winning movies in 2012 I could care less but
[01:00:56.560 --> 01:00:57.600]   um
[01:00:57.600 --> 01:01:03.920]   The fact that I can browse through choices rather than through schedules that I can ask for a show and get a show
[01:01:04.320 --> 01:01:09.360]   Right, that's a search motif brought to entertainment. That's important, but not if you don't have an installed base. It's not
[01:01:09.360 --> 01:01:13.200]   Right. Well and furthermore when he did the search
[01:01:13.200 --> 01:01:18.640]   He searched for Breaking Bad, which I know is available on Netflix. Yeah, Amazon
[01:01:18.640 --> 01:01:25.600]   Uh, and it only showed google play store. Right. I do hope that that search will not be cross
[01:01:25.600 --> 01:01:29.440]   Provider well, I mean, I hope it fires is not by the way
[01:01:29.440 --> 01:01:34.880]   They fire tv when you do a search it shows it on amazon and it's not anywhere else
[01:01:34.880 --> 01:01:37.040]   And that's really what we want isn't it is across
[01:01:37.040 --> 01:01:43.040]   Right content. I think they said there would show anything you have installed. Okay, that would be good
[01:01:43.040 --> 01:01:46.800]   So if you had Netflix installed and it was available there, I think they said does that sound
[01:01:46.800 --> 01:01:51.840]   When nephlics have to expose that to them like that. Yes, it's possible that nephlics would have to expose their
[01:01:51.840 --> 01:01:54.400]   Right. How would you search it?
[01:01:54.400 --> 01:01:57.280]   Right. Yeah, I'm confusing a couple of different things
[01:01:57.280 --> 01:02:02.080]   Because the research the tivo does that so when I search on my tivo it does it cross
[01:02:02.080 --> 01:02:05.200]   Uh hulu plus amazon Netflix
[01:02:05.200 --> 01:02:11.760]   Yeah, and it will show and my infinity on demand as a matter of fact and it will show where those shows are live on all of those platforms
[01:02:11.760 --> 01:02:18.080]   It seems like that's the only reason we'll answer that's what you want. Yeah, so I'm looking at the developers page designing for tv smart tv's
[01:02:18.080 --> 01:02:20.560]   powered by android
[01:02:20.560 --> 01:02:25.200]   Okay, so that tells you that that is some something you're gonna build in bring your favorite android apps
[01:02:25.760 --> 01:02:27.760]   To the best screen in your house
[01:02:27.760 --> 01:02:35.120]   Thousands of apps are already optimized for tv's. This is how google tv worked you'd install an app on that was for google tv on the tv
[01:02:35.120 --> 01:02:41.040]   Um, and then for developers had optimize your layouts for tv screen
[01:02:41.040 --> 01:02:46.480]   I did love it that when he was showing the android device. It showed it in portrait mode
[01:02:46.480 --> 01:02:48.880]   And then he's turned the phone
[01:02:48.880 --> 01:02:55.600]   To show a dark sky or whatever and it went to widescreen and what's a landscape? Yeah, that's what it should do
[01:02:55.600 --> 01:03:01.360]   And that's nice. Yeah, so the sdk provides fragments, which is android speak developer speak for
[01:03:01.360 --> 01:03:06.560]   ui elements that would that that make your app sort of tv compatible
[01:03:06.560 --> 01:03:14.640]   So it sounds like this this preview sdk sdk let's you provide layouts for the tv if someone puts your app on the tv and also
[01:03:14.640 --> 01:03:21.360]   Expose your content to the search results as well. Okay, you've got you got media in your app
[01:03:21.360 --> 01:03:21.840]   Yeah, yeah
[01:03:21.840 --> 01:03:25.600]   So yeah help users find your content quickly with in app searching great in app searching
[01:03:25.600 --> 01:03:32.720]   That's nice and he was using a game controller on the tv. That's also built into android tv is a sport for game controllers. That's nice
[01:03:32.720 --> 01:03:38.400]   in twitter ben's one says that aces and raiser are making android tv set top boxes
[01:03:38.400 --> 01:03:40.960]   Yeah, he did mention
[01:03:40.960 --> 01:03:42.960]   Raiser aces is something
[01:03:42.960 --> 01:03:47.680]   So um the api comes out to or the sdk comes out tomorrow if you want to uh
[01:03:48.320 --> 01:03:52.960]   You want to start developing for tv and i would i would hope we get some clarification maybe
[01:03:52.960 --> 01:03:59.360]   At this point i google's have developers have to feel sort of burned by the original google tv
[01:03:59.360 --> 01:04:03.280]   By well, I mean the q q we never really had a chance to develop for
[01:04:03.280 --> 01:04:04.400]   um
[01:04:04.400 --> 01:04:10.320]   Chromecast has been a success and that's you know, but it's been a slow, you know apps have been have been adding chromecast support slowly
[01:04:10.320 --> 01:04:14.240]   You know, this is the kind of thing i'd love to see this capability through the chromecast
[01:04:14.800 --> 01:04:18.000]   Because that would basically enable any tv to do it. It's a better way to do it
[01:04:18.000 --> 01:04:22.560]   I don't know right like if all this functionality was built into existing chromecast devices and yeah, now it's true
[01:04:22.560 --> 01:04:26.640]   It's true. I'd love to see that too. Um it is a sarah prez writing
[01:04:26.640 --> 01:04:29.840]   at tech crunch says that this will
[01:04:29.840 --> 01:04:36.160]   Uh update the chrome to the chromecast will introduce an airplay like android mirroring feature photo backdrops. I liked those
[01:04:36.160 --> 01:04:39.520]   Yeah, that was really nice. You can have your weather now. You can have a variety of photos
[01:04:39.520 --> 01:04:41.680]   Right. So this is chromecast specific update
[01:04:42.400 --> 01:04:48.000]   The the the nice thing about the about the marriage between android tv and chromecast and they made this point like as cast
[01:04:48.000 --> 01:04:52.720]   Chromecast gets better as that as casting gets better as they get better at memory and and speeding it up
[01:04:52.720 --> 01:04:55.600]   That will also improve android tv, which is nice
[01:04:55.600 --> 01:04:57.520]   Um, the chromecast updates were awesome
[01:04:57.520 --> 01:05:02.000]   So you can put your own pictures as the backdrop is really nice so you can mirror your screen
[01:05:02.000 --> 01:05:03.680]   Which is also really cool
[01:05:03.680 --> 01:05:06.720]   I the fact that you don't have to be on the same wi-fi network
[01:05:06.720 --> 01:05:08.880]   Yeah, google is going to mediate that which is kind of cool
[01:05:08.880 --> 01:05:14.480]   That's very cool. My my dream route to bat is is every hotel room in america should in the world should have a chromecast
[01:05:14.480 --> 01:05:17.360]   Right, so you walk in the room and you just send
[01:05:17.360 --> 01:05:23.360]   You know that was one of the reasons you didn't bring your chromecast do it because life is the wi-fi would be all
[01:05:23.360 --> 01:05:27.520]   But you don't need to anymore bring your chromecast with you if you can plug in at any hdmi port
[01:05:27.520 --> 01:05:31.680]   You can now use it but google would be very smart to do a deal with a hotel chain
[01:05:31.680 --> 01:05:35.440]   They don't need to because it's so progress is so big bring your chromecast
[01:05:36.720 --> 01:05:38.720]   Oh, japan saying that each every tv should have it
[01:05:38.720 --> 01:05:50.160]   What does this remind you of I this immediately I made me think about that axis q this felt like echoes of the q
[01:05:50.160 --> 01:05:53.920]   I remember that feature with q where you know if your friends came over the android devices
[01:05:53.920 --> 01:05:58.000]   They also could send their playlists to the q which is idea of like social flinging
[01:05:58.000 --> 01:06:02.240]   Social flinging
[01:06:02.720 --> 01:06:07.600]   Digital flinging. Yeah, um and i was like, oh, right? Okay. The q kind of lives on a little bit and
[01:06:07.600 --> 01:06:12.400]   Well, that was a really good point you made in twitter jina that you you see the
[01:06:12.400 --> 01:06:16.640]   Aniseedence the absence the descendants of the dead
[01:06:16.640 --> 01:06:22.160]   Yes, yes come back alive and the best ideas and they really do use things from wave things from q
[01:06:22.160 --> 01:06:26.480]   Yeah drive and so many wave things right you see that see that the social thing from q
[01:06:26.480 --> 01:06:31.360]   You know you saw so many of the things that failed in buzz have showed up in google plus although I
[01:06:31.920 --> 01:06:35.440]   Admit that google plus hasn't been the most successful or it certainly didn't have the spotlight
[01:06:35.440 --> 01:06:41.680]   Yeah, but yeah, I mean google's google's failures are public, but they obviously inform the next generation
[01:06:41.680 --> 01:06:45.520]   Um, it's a lot of folks kind of snarking on twitter was like, oh, what about this?
[01:06:45.520 --> 01:06:49.600]   You know, what about glass what about google plus and everything they talked about last year doesn't exist this year
[01:06:49.600 --> 01:06:54.800]   And I think that sort of the ghosts of the of the of the old stuff that didn't work. I think really inform the new work
[01:06:54.800 --> 01:06:56.080]   I like that
[01:06:56.080 --> 01:06:58.560]   Um, it's just it's a it's messy. It's evolution
[01:06:59.120 --> 01:07:02.160]   Versus, you know the big reveal of the perfectly polished product
[01:07:02.160 --> 01:07:03.840]   But this is how the real world works
[01:07:03.840 --> 01:07:07.840]   Yes, and you're gonna get a better product if you try it in a variety of ways and
[01:07:07.840 --> 01:07:15.200]   I'm at least google continues to try it and that and it's a startup world startups fail things fail
[01:07:15.200 --> 01:07:18.560]   It's a company of many startups and they're not embarrassed to say hey that you know
[01:07:18.560 --> 01:07:22.480]   We're never gonna sell the queue, you know, and I think it's all forgiven when you have cardboard
[01:07:22.480 --> 01:07:25.200]   I love cardboard
[01:07:25.200 --> 01:07:29.520]   You think this is a little bit of a knock on the oculus rift. The fact that hey, we're gonna give you some cardboard
[01:07:29.520 --> 01:07:34.160]   Yeah, and it does exactly the same thing only better not only that
[01:07:34.160 --> 01:07:39.840]   I mean also a knock on amazon because who needs 3d in your phone? We get you know, they're right there is a little bit of both
[01:07:39.840 --> 01:07:43.920]   It contains magnets
