;FFMETADATA1
title=Name Your Child Fester
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=500
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.240]   It's time for twig this week in Google. We've got a great show for your Stacey Higginbotham is here
[00:48:49.840 --> 00:48:52.560]   An inbox is not great
[00:48:52.560 --> 00:48:54.560]   And but it could be it should be
[00:48:54.560 --> 00:48:58.800]   It should be something that is fixable in the client
[00:48:59.280 --> 00:49:04.240]   But it's it's a it's a it's a it's a great social network because you can't
[00:49:04.240 --> 00:49:10.240]   Uh, there's no algorithmic filtering. This is it and then the truth is this is one of the reasons people hate it
[00:49:10.240 --> 00:49:16.080]   Because somebody like facebook there's not some corporation monitoring your relationships and deciding who's important who isn't it?
[00:49:16.080 --> 00:49:20.320]   Anybody actually on me. Yeah, people people say they don't like that
[00:49:20.320 --> 00:49:23.920]   But actually people love that fact that that facebook is simply
[00:49:23.920 --> 00:49:26.720]   Uh, not showing you what people are posting
[00:49:27.280 --> 00:49:31.520]   Uh, I mean everyone there's too much information if there's no algorithm
[00:49:31.520 --> 00:49:36.240]   I mean, I have 17 000 unread emails in my inbox. This does not stress me out
[00:49:36.240 --> 00:49:39.600]   Yeah, but again, but again, that's handable in the browser
[00:49:39.600 --> 00:49:43.680]   I mean you there's no reason why you couldn't algorithmically sort
[00:49:43.680 --> 00:49:45.840]   emails
[00:49:45.840 --> 00:49:50.560]   Other than the fact that you also have mission critical business. That's kind of the same box
[00:49:50.560 --> 00:49:56.800]   Exactly, and that's that's my that's the dog again or dog. That's the mark against email
[00:49:57.120 --> 00:50:01.360]   I guess well this is one of the interesting things that happened when I got off facebook
[00:50:01.360 --> 00:50:05.280]   I mean I haven't gotten off yet fourth of july's when i'm officially getting off in the meantime
[00:50:05.280 --> 00:50:10.400]   I'm sort of criticizing them like every day and also trying to get people to sign up for my newsletter and go to my
[00:50:10.400 --> 00:50:12.880]   Nice book. My nice book is a
[00:50:12.880 --> 00:50:20.240]   folder on google photos where I post personal photos and where people can comment and like those photos and it's a kind of
[00:50:20.240 --> 00:50:26.880]   Replacement for facebook, but what i've noticed is there were I already have lots of family and friends who were not on
[00:50:26.960 --> 00:50:30.800]   facebook before and so they never saw my personal photos
[00:50:30.800 --> 00:50:33.840]   now that i'm on
[00:50:33.840 --> 00:50:36.240]   Google photos they see it because
[00:50:36.240 --> 00:50:42.880]   They get a notification in their email inbox and so they use in email, but they didn't use facebook
[00:50:42.880 --> 00:50:45.040]   And so now for the first time there were several
[00:50:45.040 --> 00:50:50.400]   Older relatives of mine who are seeing my personal photos for the first time
[00:50:50.400 --> 00:50:53.040]   Uh, but again that this is a way
[00:50:53.360 --> 00:50:58.800]   This is back to the promise of google plus google plus promise to integrate gmail and google plus so email
[00:50:58.800 --> 00:51:02.160]   Social networking was all kind of the same thing and photos by the way
[00:51:02.160 --> 00:51:11.040]   Yeah, exactly exactly and so now now i'm sort of email and photos is the same thing unless you choose to get notifications on your phone or whatever
[00:51:11.040 --> 00:51:18.000]   Uh, some people do both but lots and lots of a lot more people are seeing my personal photos on google photos
[00:51:18.080 --> 00:51:24.720]   Then we're seeing them on on facebook. It's smart developers should just reverse engineer
[00:51:24.720 --> 00:51:29.120]   all the best features of google plus google photos and email
[00:51:29.120 --> 00:51:35.520]   And make something there's an opportunity here. I think a lot of people are going to be leaving facebook
[00:51:35.520 --> 00:51:40.960]   Uh, there's p. I here's why I think it's sad stacey because I think
[00:51:40.960 --> 00:51:44.800]   We need a good social network. We clearly
[00:51:45.840 --> 00:51:49.920]   Like social networks, but we also see the downsides to social networks
[00:51:49.920 --> 00:51:54.800]   Is it impossible to design a social network that really works
[00:51:54.800 --> 00:51:59.280]   Maybe maybe we just haven't tried enough times
[00:51:59.280 --> 00:52:07.600]   I think I think the problem is there's not one social network that's going to work for everyone right and that the challenge then becomes
[00:52:07.600 --> 00:52:14.480]   Oh, well if everyone's not on it, then I can't reach everyone. Thus people are like, oh, this is not the right social network
[00:52:14.560 --> 00:52:21.280]   And then we get frustrated. I mean the things I want a social network are probably very different than the things mike wants in a social network
[00:52:21.280 --> 00:52:26.640]   I would guess since he is having a well designed app could probably handle both
[00:52:26.640 --> 00:52:32.800]   Maybe it could handle the difference between mike and me but could it do mike me plus my mom
[00:52:32.800 --> 00:52:36.560]   And my daughter. I'm sure it could. Why not?
[00:52:36.560 --> 00:52:43.040]   I think look at where that I don't think it would be as essential like I think at different points of your life
[00:52:43.120 --> 00:52:50.400]   You want different things. I think you communicate different ways with people depending on the type of person you are the type of interaction you're seeking
[00:52:50.400 --> 00:52:53.120]   I mean
[00:52:53.120 --> 00:52:55.200]   I just
[00:52:55.200 --> 00:52:59.040]   I don't think there's one for everyone in even every stage of your life
[00:52:59.040 --> 00:53:04.960]   I do think that there's a general idea that most people would love in a social network
[00:53:04.960 --> 00:53:11.200]   So the problem I think most of the problems with social networking especially facebook is
[00:53:12.160 --> 00:53:17.280]   Intensity so I would and I mean that very broadly so for example when
[00:53:17.280 --> 00:53:24.800]   When my uncle fester posts some meaning found I have no interest in that. I don't see why
[00:53:24.800 --> 00:53:27.840]   Uncle fester
[00:53:27.840 --> 00:53:31.840]   Yeah, I wish I
[00:53:31.840 --> 00:53:35.600]   Somebody needs to start naming kids fester so that down the road
[00:53:35.600 --> 00:53:41.600]   They'll be a future world in which people will have an uncle fester. Yes, please you young parents out there
[00:53:41.600 --> 00:53:47.280]   Please name your investor. You're not doing it for him. You're doing it for the future generation
[00:53:47.280 --> 00:53:49.040]   That's right. I think of the future
[00:53:49.040 --> 00:53:54.560]   but I but I I think that and so that ranges from people passing around memes or other people's thoughts to
[00:53:54.560 --> 00:53:59.600]   Russian interference to you know disinformation campaigns to
[00:53:59.600 --> 00:54:04.240]   That was the beauty of go with you could you could filter that stuff out?
[00:54:04.240 --> 00:54:07.040]   Well to a over time it
[00:54:07.760 --> 00:54:14.560]   People were sharing stuff that's not their own thoughts, but I would love a social network that had basically two rules one is
[00:54:14.560 --> 00:54:21.840]   No, no algorithmic sorting or filtering when I follow somebody I want everything they they post yeah second thing is
[00:54:21.840 --> 00:54:29.440]   Nobody I don't want to get any content that isn't the actual words or photos taken by the person
[00:54:29.440 --> 00:54:32.000]   No, no share. No resharing. No retweeting
[00:54:32.000 --> 00:54:35.520]   Yes
[00:54:35.520 --> 00:54:40.640]   Absolutely. I mean I don't mind retweeting but if but that I do that with tweet deck
[00:54:40.640 --> 00:54:46.560]   I turn off retweets and it really cleans the Twitter stream considerably because you don't get this amplification effect
[00:54:46.560 --> 00:54:51.440]   Yeah, but but you know that even with back when before social network
[00:54:51.440 --> 00:54:57.200]   Working one of the big problems we had on email was everybody sending these like you know these forwards
[00:54:57.200 --> 00:55:04.240]   Yeah chain letters and like you know and they were all that was fake news of the you know 2005 or whatever but um
[00:55:05.120 --> 00:55:11.120]   It doesn't I see it continues to this day by the way. There's plenty of yeah older relatives who continue to send those
[00:55:11.120 --> 00:55:15.680]   And another thing that this social this fantasy social network should have
[00:55:15.680 --> 00:55:19.600]   Is the ability to bring in content that follows the rules from other social networks?
[00:55:19.600 --> 00:55:26.880]   So somebody wants to be on twitter and and and I can just plug in twitter and have their tweets coming to this social network
[00:55:26.880 --> 00:55:29.120]   And then my comments go back out to twitter
[00:55:29.120 --> 00:55:34.000]   Uh, but again companies like twitter are gonna throw you know, they're gonna strangle that and it's cradle if kevin
[00:55:34.000 --> 00:55:37.760]   Marks were here. He would say this is the kind of thing the open web is you know
[00:55:37.760 --> 00:55:42.160]   Indie web is constantly working on and there are a lot of initiatives
[00:55:42.160 --> 00:55:46.000]   And a lot of attempts to kind of solve these technical challenges
[00:55:46.000 --> 00:55:49.680]   But I and I've tried a lot of them I play with them all because I want to
[00:55:49.680 --> 00:55:56.240]   You know, I'm looking for this this one thing there is one tool i'm going to mention because uh a big part of the
[00:55:56.240 --> 00:56:01.680]   Social networking that is email is newsletters mike. You've got a great one
[00:56:02.160 --> 00:56:08.640]   Um, the problem I have with newsletters is that I get too many because it's not just mike sending me newsletters
[00:56:08.640 --> 00:56:12.800]   It's also wayfare you got what I need and I don't want that
[00:56:12.800 --> 00:56:19.840]   So, uh, and they're all intermingled so megan moroni on ios today found a really nice app
[00:56:19.840 --> 00:56:22.320]   That's basic. It's called stoop
[00:56:22.320 --> 00:56:26.320]   That's basically you subscribe to newsletters with a stoop email address
[00:56:26.320 --> 00:56:29.040]   If you sub sign up for stoop you'll get an email address
[00:56:29.360 --> 00:56:32.880]   And then all the newsletters you actually want go into an app
[00:56:32.880 --> 00:56:35.760]   That you can read
[00:56:35.760 --> 00:56:42.880]   And this really works. Well, this is it's a it's a news read a news reader for email newsletters
[00:56:42.880 --> 00:56:51.200]   If it would be the elevator pitch. I I think that's I think that's cool. You know, it's basically this is what I I roll my own
[00:56:51.200 --> 00:56:56.240]   Uh for that exact same concept what I do is I have a full a newsletter folder
[00:56:56.240 --> 00:57:01.280]   I have a rule that basically grabs every email newsletter and puts it in that folder
[00:57:01.280 --> 00:57:03.760]   And then when I ready to go read newsletters
[00:57:03.760 --> 00:57:09.760]   I just go through them in reverse chronological order and it's very nice to not have newsletters in my inbox next to I do this
[00:57:09.760 --> 00:57:12.080]   emails from my kids or whatever and so
[00:57:12.080 --> 00:57:18.800]   Um, it really really works for me and as part of how I achieve zero inbox like several times a day
[00:57:18.800 --> 00:57:23.440]   Um, but again, this this is kind of a nerdy thing that most people don't want to do
[00:57:23.440 --> 00:57:27.280]   So an app like this is a great idea because it kind of kind of does it for you
[00:57:27.280 --> 00:57:30.400]   We need the opposite of a google change log
[00:57:30.400 --> 00:57:33.840]   Maybe the google dead list or something
[00:57:33.840 --> 00:57:36.480]   Yeah, the google graveyard
[00:57:36.480 --> 00:57:38.720]   Uh spring cleaning
[00:57:38.720 --> 00:57:45.360]   So april second and I actually there's a there's some details to this april second inbox is going away
[00:57:45.360 --> 00:57:48.720]   Uh and google plus are going away
[00:57:49.280 --> 00:57:54.400]   Here is how it works. Uh the timeline google's released this february 4th
[00:57:54.400 --> 00:57:57.440]   Which is past you can't create a new profile
[00:57:57.440 --> 00:57:59.520]   um
[00:57:59.520 --> 00:58:01.520]   All your web comments will be deleted
[00:58:01.520 --> 00:58:04.320]   On april second that's coming up
[00:58:04.320 --> 00:58:10.800]   In fact all consumer google plus content will be deleted that google has said they're going to keep a business version of google plus around
[00:58:10.800 --> 00:58:12.880]   I don't know what that means
[00:58:12.880 --> 00:58:17.200]   Other than google notes content that it's required to keep for legal reasons
[00:58:17.840 --> 00:58:19.840]   So photos videos
[00:58:19.840 --> 00:58:26.240]   Your album archive everything is going to go away. You need to go to google takeout and get it all
[00:58:26.240 --> 00:58:28.800]   There's also google support page for that
[00:58:28.800 --> 00:58:33.360]   But that's not all they're going to be inbox and google plus are going away, but so is goog
[00:58:33.360 --> 00:58:38.160]   Dot gl there's url shortener is going away
[00:58:38.160 --> 00:58:42.160]   Yeah, yay. Uh also aloe
[00:58:42.160 --> 00:58:46.800]   Yeah, I believe the links that exist for that will continue to work
[00:58:46.960 --> 00:58:49.440]   But you can't make new links. Yeah, right?
[00:58:49.440 --> 00:58:53.760]   Um, so google is really doing some house cleaning
[00:58:53.760 --> 00:58:57.600]   Um, I can't say i'm unhappy about
[00:58:57.600 --> 00:59:04.880]   Inbox because I mean it was good and I feel bad for google relied on it, but I think there are other choices out there
[00:59:04.880 --> 00:59:10.480]   Um, and the url shortener. There's certainly plenty of choices there. I use bit. Leave for that
[00:59:10.480 --> 00:59:15.280]   Google plus was long has been dead for a long time. They're just pulling the cord
[00:59:16.080 --> 00:59:18.880]   Um, but i'm sad. I'm actually most sad about that
[00:59:18.880 --> 00:59:21.040]   Yeah
[00:59:21.040 --> 00:59:27.840]   Well, the the good news is that internet archives and the archive and archive team are working to preserve public posts
[00:59:27.840 --> 00:59:33.760]   Thank you, and uh, they they posted this on a reddit and essentially what they're doing is they're they're going to
[00:59:33.760 --> 00:59:38.080]   Um, compress the photos so you're not going to have the high quality photos
[00:59:38.080 --> 00:59:40.960]   They're probably not going to preserve all the comments
[00:59:40.960 --> 00:59:45.760]   Like I mentioned that the the glory days of google plus between 2011 2014
[00:59:46.160 --> 00:59:53.040]   The google plus messages had a maximum of 500 comments and for many many users
[00:59:53.040 --> 01:00:01.200]   Their comments were maxed out every time on every single post so for uh posts that have
[01:00:01.200 --> 01:00:06.560]   More than pro they didn't say specifically, but I would guess a few dozen comments
[01:00:06.560 --> 01:00:13.920]   You're not going to retain all those comments, but they'll try to retain a screenshot essentially of the comment of most of the comments or some of the comments
[01:00:13.920 --> 01:00:15.520]   um
[01:00:15.520 --> 01:00:20.000]   For posts, but again the most the important thing are the posts and the photos and they're trying to
[01:00:20.000 --> 01:00:25.600]   Uh retain them all and that this is the reason this is interesting is because if you thought
[01:00:25.600 --> 01:00:27.840]   That
[01:00:27.840 --> 01:00:31.600]   If you were wanting to delete your posts and figure well, I was just like google do it for me
[01:00:31.600 --> 01:00:34.880]   Um, you really should delete them asap
[01:00:34.880 --> 01:00:42.480]   Before they're archived by these guys because they this archive may live forever actually let's hope it does it should yeah
[01:00:42.480 --> 01:00:44.960]   Yeah
[01:00:44.960 --> 01:00:46.960]   And then there's devin newness
[01:00:46.960 --> 01:00:54.480]   Hard not to uh to be amused uh by this
[01:00:54.480 --> 01:00:56.480]   Um
[01:00:56.480 --> 01:01:02.960]   He's a representative from california former chairman of the house intelligence committee now ranking member
[01:01:02.960 --> 01:01:06.160]   He's sewing twitter
[01:01:06.160 --> 01:01:09.440]   And a number of twitter users including his mom
[01:01:10.240 --> 01:01:14.640]   His fake mom devin newness mom and his cow devin cow
[01:01:14.640 --> 01:01:19.440]   To parody accounts for 250 million dollars
[01:01:19.440 --> 01:01:24.320]   Nunez is accusing twitter of facilitating defamation on its platform
[01:01:24.320 --> 01:01:31.040]   By ignoring lawful complaints about offensive content and by allowing that content to remain accessible to the public
[01:01:31.040 --> 01:01:35.760]   Saying that it violated terms and services of terms of service
[01:01:36.720 --> 01:01:41.120]   Uh on the other hand, it's not illegal to parody or mock people
[01:01:41.120 --> 01:01:44.320]   Uh and ironically
[01:01:44.320 --> 01:01:46.320]   Devin cow
[01:01:46.320 --> 01:01:52.160]   Which had fewer than a thousand followers when this lawsuit was announced. I should just go quickly check
[01:01:52.160 --> 01:01:54.560]   But has gained a lot of traction
[01:01:54.560 --> 01:02:00.640]   Mr. Ice and effect let me just see devin cow now has
[01:02:00.640 --> 01:02:03.440]   472 000 followers
[01:02:04.880 --> 01:02:06.880]   So it's frustrating
[01:02:06.880 --> 01:02:09.120]   Here is that people have actually
[01:02:09.120 --> 01:02:16.000]   Beat twitter up for having terrible terrible like reactions to people saying
[01:02:16.000 --> 01:02:17.680]   Hey
[01:02:17.680 --> 01:02:22.080]   Take this down. It's offensive. It bothers me and twitter's constantly like uh
[01:02:22.080 --> 01:02:24.960]   Like women who have been you know
[01:02:24.960 --> 01:02:31.360]   Yelled at on twitter that that's a big problem. They have they see all kinds of offensive content and twitter does nothing
[01:02:31.360 --> 01:02:33.120]   um
[01:02:33.120 --> 01:02:35.120]   so I
[01:02:35.120 --> 01:02:40.000]   Mean do I wish twitter had better standards? Yes. Do I want to get behind Devin Nunez and his
[01:02:40.000 --> 01:02:46.480]   Obvious attack on a parody account? No, well, that's gonna be really curious what jeff would say given his yeah jeff said
[01:02:46.480 --> 01:02:49.120]   The problems i have i uh with parody accounts
[01:02:49.120 --> 01:02:53.840]   Um, i've never sued twitter over that and i've and i've you know, I mean
[01:02:53.840 --> 01:02:57.440]   A if you're a public figure, especially if you're a member of congress
[01:02:57.440 --> 01:03:02.640]   Yeah, you you really kind of have to accept the fact that people are going to have something to say to you and twitter's
[01:03:02.640 --> 01:03:04.640]   A good place to do it
[01:03:04.640 --> 01:03:08.400]   Who told him he should sue? I mean what it was obviously bad advice
[01:03:08.400 --> 01:03:11.520]   He's grown the size of the
[01:03:11.520 --> 01:03:14.160]   Devin cow following
[01:03:14.160 --> 01:03:16.160]   By 471
[01:03:16.160 --> 01:03:19.840]   It's the best thing that ever happened to his cow. Oh man. Devin cow is so happy
[01:03:19.840 --> 01:03:25.040]   But but the my favorite part about this is that he is specifically talking about
[01:03:25.040 --> 01:03:27.440]   uh
[01:03:27.440 --> 01:03:28.640]   met about
[01:03:28.640 --> 01:03:31.280]   you know libel and defamation coming up to the
[01:03:32.240 --> 01:03:34.240]   18 midterms and
[01:03:34.240 --> 01:03:42.400]   The lawsuit is 250 million dollars for compensation and 300 and an additional 350 000 in punitive damages
[01:03:42.400 --> 01:03:47.920]   But like it's like wait a minute back up there 250 million dollars in compensatory damages
[01:03:47.920 --> 01:03:50.800]   He's saying that he's going to lose
[01:03:50.800 --> 01:03:54.960]   250 million dollars because of these parody accounts
[01:03:54.960 --> 01:04:00.960]   Well, I imagine uh that twitter will seek a surprise judgment and get it thrown out immediately
[01:04:01.680 --> 01:04:05.920]   I can't imagine this will proceed and even if it does there's no way he's getting a penny
[01:04:05.920 --> 01:04:08.000]   But where was this money coming from?
[01:04:08.000 --> 01:04:10.720]   Where is the court of a billion dollars you lost Devin?
[01:04:10.720 --> 01:04:17.760]   I mean yeah, was it from from bribes from from campaign finance turns out Devin newness is as bad a lawyer as he is a member of congress
[01:04:17.760 --> 01:04:21.360]   uh and and a bad
[01:04:21.360 --> 01:04:24.960]   strategic as well because or strategistian
[01:04:24.960 --> 01:04:29.120]   Because he Devin cow now has a hundred thousand more followers
[01:04:29.600 --> 01:04:32.880]   100 000 more followers than Devin newness is officially cow
[01:04:32.880 --> 01:04:37.120]   I think that seriously I think what he's actually doing is that I
[01:04:37.120 --> 01:04:41.520]   I personally have to assume that this is a publicity stunt
[01:04:41.520 --> 01:04:45.040]   and the whole it's it's basically um
[01:04:45.040 --> 01:04:53.120]   Trying to feed the republican narrative that social networks have a that's what's really conservative bias
[01:04:53.120 --> 01:04:54.160]   That's exactly what's going
[01:04:54.160 --> 01:04:59.280]   President's jumping on this everybody's jumping on this and in interviews with uh various people
[01:05:00.240 --> 01:05:02.240]   Jack Dorsey has pointed out that
[01:05:02.240 --> 01:05:08.560]   Most of the time much of the time when people say oh this conservative person posted some
[01:05:08.560 --> 01:05:14.080]   Conservative opinion and you block them he says well, that's what you think is happening
[01:05:14.080 --> 01:05:19.040]   But actually we see all the behind the scenes what they're really doing is they're in the part of this coordinated campaign
[01:05:19.040 --> 01:05:23.120]   Of this information with multiple fake accounts and bots doing all this xyz
[01:05:23.120 --> 01:05:29.120]   And the sum total of all these things that this particular instance is doing is getting them boot booted off
[01:05:29.600 --> 01:05:34.640]   What what is chilling and and nauseating about all this is that?
[01:05:34.640 --> 01:05:41.040]   There's a lot of dirty tricks in politics and you know, you can't blame just the
[01:05:41.040 --> 01:05:46.800]   Conservative but and so let's not let's just basically point out that disinformation works
[01:05:46.800 --> 01:05:49.360]   and that false narratives work and the
[01:05:49.360 --> 01:05:53.840]   The conversations are getting so extreme and it's all being amplified by
[01:05:54.640 --> 01:05:57.840]   By so by social media everybody's got a voice
[01:05:57.840 --> 01:06:02.880]   even uh noon has his cow has a voice everybody's got a voice and so
[01:06:02.880 --> 01:06:12.320]   There's a legitimate mainstream politicians are essentially trying to make the world safer for disinformation because
[01:06:12.320 --> 01:06:19.040]   That's the strategy. That's those are the tactics that everybody's glomming on to if we can basically shame
[01:06:19.040 --> 01:06:21.600]   social networks into allowing
[01:06:21.600 --> 01:06:23.520]   uh
[01:06:23.520 --> 01:06:27.120]   disinformation campaigns or you know any of this other stuff
[01:06:27.120 --> 01:06:33.440]   Um by saying that they have a conservative bias. I mean they've seen facebook actually reverse course on things
[01:06:33.440 --> 01:06:37.920]   When they were accused of having a conservative bias we've seen all kinds of hay being made
[01:06:37.920 --> 01:06:41.760]   When this particular person or that particular
[01:06:41.760 --> 01:06:49.440]   Account has been shut down or suspended or whatever and they they just immediately just apologize and reverse course on it
[01:06:49.600 --> 01:06:55.280]   So you can you know, it's just a strategy. They're trying to make they're trying to increase the size of the window
[01:06:55.280 --> 01:06:59.680]   Uh, that's allowed for any kind of speech that harms
[01:06:59.680 --> 01:07:06.960]   Political opponents. I think that's the problem if twitter were doing what newness's lawsuit says
[01:07:06.960 --> 01:07:11.440]   If it was actively censoring in shadow banning conservatives
[01:07:11.440 --> 01:07:17.200]   Thereby eliminating newness's voice while amplifying the voice of his democratic detractors
[01:07:19.440 --> 01:07:22.800]   So what I mean, I don't think they are but what if they were so what?
[01:07:22.800 --> 01:07:30.960]   I'm sure you could accuse fox news or msnbc of having a bias and not giving a voice to people it disagrees with
[01:07:30.960 --> 01:07:34.240]   If it's a media company, it's allowed to do that
[01:07:34.240 --> 01:07:40.240]   What what makes twitter special that that it's not allowed to have a point of view if it does which it?
[01:07:40.240 --> 01:07:43.120]   I don't think it does but even if it did that's not illegal
[01:07:43.120 --> 01:07:45.920]   Again, I don't think this lawsuit is being
[01:07:46.480 --> 01:07:50.080]   Uh filed in good faith. It's not serious. It's all it's all it's all
[01:07:50.080 --> 01:07:54.400]   Exactly. It's a tactic. I'm sure any judge will just say we'll come on
[01:07:54.400 --> 01:07:58.800]   Uh, here's one of the tweets from devin newness mom that was mentioned in the complaint
[01:07:58.800 --> 01:08:03.600]   Devin newness your district is looking for you are you trying to obstruct a federal investigation again?
[01:08:03.600 --> 01:08:06.480]   You come home right this instant or no more minecraft
[01:08:06.480 --> 01:08:10.960]   See that's gold. That's pretty funny. That's comedy gold. Yes
[01:08:10.960 --> 01:08:15.920]   Uh, and even if you were a devin newness fan, I think you would say well
[01:08:15.920 --> 01:08:17.920]   That's funny. It's not harmful
[01:08:17.920 --> 01:08:24.000]   Right. It's not you know advocating harm to another person like some tweets and lots of tweets
[01:08:24.000 --> 01:08:25.440]   Do that
[01:08:25.440 --> 01:08:28.720]   Yeah, we did yeah, we've seen a lot of that
[01:08:28.720 --> 01:08:33.920]   Yeah, and uh, I don't see that blocked. I wish it were but we don't see that blocked
[01:08:33.920 --> 01:08:38.240]   Can't bother you can't block the president of the united states. Come on. I know
[01:08:38.240 --> 01:08:41.360]   Um
[01:08:41.360 --> 01:08:43.360]   by the way, uh
[01:08:43.760 --> 01:08:48.640]   Finally finally a bill has been signed into law banning fake news
[01:08:48.640 --> 01:08:53.040]   And uh internet insults completely illegal
[01:08:53.040 --> 01:08:56.080]   Uh in russia
[01:08:56.080 --> 01:09:00.480]   Yeah, I'm so glad that somebody is standing up against fake news
[01:09:00.480 --> 01:09:04.640]   It's uh, it's about time. It's about time
[01:09:04.640 --> 01:09:08.560]   the bills, uh say you can't criticize
[01:09:08.560 --> 01:09:11.760]   The government let's see here's the exact quote
[01:09:12.720 --> 01:09:17.520]   There's punishment for spreading information that quote exhibits blatant disrespect for
[01:09:17.520 --> 01:09:19.680]   the society
[01:09:19.680 --> 01:09:22.080]   government official government symbols
[01:09:22.080 --> 01:09:27.360]   Constitution or governmental bodies of russia see devin newness would love russia
[01:09:27.360 --> 01:09:32.320]   You know the us did have laws like this what we had the treason and sedition law way back in the
[01:09:32.320 --> 01:09:36.720]   It was right after the first amendment became the part of the constitution
[01:09:36.720 --> 01:09:42.320]   We passed a bill that's that said oh and by the way, don't say anything bad about the government
[01:09:43.280 --> 01:09:49.040]   So, I mean we we came back from that. Thank goodness. Yes. Thank goodness. We're yeah, actually. It's really remarkable
[01:09:49.040 --> 01:09:54.640]   Uh how much the first amendment has become uh almost a state religion
[01:09:54.640 --> 01:09:58.000]   And I'm and I think that's a very good thing. But as you point out
[01:09:58.000 --> 01:10:04.960]   Historically stacy it was not it was uh, it was not particularly even honored by congress
[01:10:04.960 --> 01:10:07.520]   But thank goodness. It's kind of is these days
[01:10:08.560 --> 01:10:14.080]   And I think that's the right thing clearly in russia. There is no first amendment insulting state symbols
[01:10:14.080 --> 01:10:19.600]   And pouton will carry a fine of 300 000 rubles and 15 days in jail for repeat offenses
[01:10:19.600 --> 01:10:25.680]   I you know that this is California. You can flick off a police officer and it's considered a first amendment right now
[01:10:25.680 --> 01:10:30.560]   Yeah, that was an interesting case wasn't it? It's like oh, but I wouldn't recommend it
[01:10:30.560 --> 01:10:35.280]   I'm not saying as a policy. It's a good policy
[01:10:36.240 --> 01:10:40.560]   But uh, you know sometimes having the right to do it and actually doing it
[01:10:40.560 --> 01:10:43.760]   Are different things
[01:10:43.760 --> 01:10:45.760]   well one of the one of the fun things about
[01:10:45.760 --> 01:10:50.800]   President trump and I don't want to talk about his politics or this isn't a left right thing
[01:10:50.800 --> 01:10:51.440]   but
[01:10:51.440 --> 01:10:58.880]   uh whether you're conservative or liberal you have to acknowledge the obvious fact that he tends to call fake news
[01:10:58.880 --> 01:11:01.200]   News that does not
[01:11:01.200 --> 01:11:08.080]   praise or that's critical of him. That's his definition of fake news and good news is news that is praise
[01:11:08.080 --> 01:11:14.720]   That praises him. Um, and this is essentially the law that they've enacted in russia. Yeah to a large extent
[01:11:14.720 --> 01:11:18.400]   They're saying no fake news what is fake news? Well anything that criticizes the government is
[01:11:18.400 --> 01:11:26.880]   Right definition fake news. And so it's it's absolutely ridiculous. It's also ridiculous because of course it has to be said that russia
[01:11:26.880 --> 01:11:28.880]   is the
[01:11:28.880 --> 01:11:30.880]   probably the world's largest, um
[01:11:30.880 --> 01:11:34.400]   purveyor of
[01:11:34.400 --> 01:11:37.760]   There's a world so that's actually a very good point. I hadn't really
[01:11:37.760 --> 01:11:43.040]   I really thought about that. It's it's illegal in russia, but you could do it against anybody outside of russia
[01:11:43.040 --> 01:11:51.520]   It's it's something that russia has been on the forefront of for a hundred years. I mean they during the cold war this they're um
[01:11:51.520 --> 01:11:54.240]   You know, they they they they soviet union
[01:11:55.280 --> 01:12:00.080]   Governed to a very large extent by using disinformation within the country
[01:12:00.080 --> 01:12:05.360]   Uh, this is before globalization all that kind of stuff, but that the kgb was masterful
[01:12:05.360 --> 01:12:11.920]   At disinformation and just go look at the archives you see different versions of every photo where they before photoshop
[01:12:11.920 --> 01:12:13.920]   They were you know hand painting
[01:12:13.920 --> 01:12:19.440]   Uh people out of photos as if they never existed and so on so they've been at this for a long long time
[01:12:19.440 --> 01:12:22.000]   Stalin was a master
[01:12:22.240 --> 01:12:30.400]   Uh, actually the president is already campaigning for 2020 and his way out spending the his democratic
[01:12:30.400 --> 01:12:32.960]   opponents in ad spending on google in fact
[01:12:32.960 --> 01:12:37.920]   Most of his ad spending i'm not google most of his ad spending is on facebook
[01:12:37.920 --> 01:12:42.560]   He has already spent three and a half million dollars from the beginning of the year
[01:12:42.560 --> 01:12:46.480]   Uh on facebook ads a million on google
[01:12:46.480 --> 01:12:49.920]   That's more than all the other candidates combined
[01:12:51.200 --> 01:12:54.880]   Uh, and you know what it worked for him. It's uh, I think
[01:12:54.880 --> 01:12:59.760]   In a way this shows that these other candidates haven't learned the lesson of the 2020 election
[01:12:59.760 --> 01:13:03.760]   Facebook is really where the battle ground is going to be isn't it?
[01:13:03.760 --> 01:13:09.520]   I I think I think that of what's happening to very large extent is people don't want to throw a whole lot of money behind
[01:13:09.520 --> 01:13:15.760]   A candidate when that candidates chances of being the nominee are very so as soon as we have a front runner
[01:13:15.760 --> 01:13:18.240]   Then we'll see it ramp up
[01:13:18.240 --> 01:13:24.320]   Trump is absolutely going to be the you know the nominee the oh well that not necessarily actually after
[01:13:24.320 --> 01:13:30.240]   Uh, you know, there could be lots of news that comes out that could harm him and the republican party may may want to go with somebody else
[01:13:30.240 --> 01:13:34.080]   But mid-romantic are saying they're running so there may be some challenge
