;FFMETADATA1
title=Uber for Metaphors
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=291
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.500]   It's time for Twig this week in Google Gina Terpattie's back her monthly visit
[00:48:12.160 --> 00:48:15.700]   believe she's there for something yeah, but I was asked to
[00:48:15.700 --> 00:48:21.520]   Moderate a panel and I said no there you go. I said nah. I gotta do my shows
[00:48:21.520 --> 00:48:23.240]   Yeah
[00:48:23.240 --> 00:48:31.480]   Because I was at the I may I ask you at the hike what did it cost you to do the mondo great stuff?
[00:48:31.480 --> 00:48:37.920]   You did the mondo stuff we did like it's CES where we had a booth and it's crew and we brought that was
[00:48:37.920 --> 00:48:45.240]   20 people we never did South by like that, but well actually we did a live broadcast from South by one
[00:48:45.240 --> 00:48:49.800]   Where South where we had a good president in the low six figures oh?
[00:48:49.800 --> 00:48:52.600]   Yeah, a hundred thousand plus
[00:48:52.960 --> 00:48:59.640]   Wow most of that's like flying people there and feeding them and I'm clothing them. Well you feed them well, too
[00:48:59.640 --> 00:49:02.800]   It's like it's like I have a great statement on my back
[00:49:02.800 --> 00:49:11.080]   No, we did we had that remember we had that lovely dinner at the Brazilian sword. Yeah sword meat place. Yeah. Yeah. That was fun
[00:49:11.080 --> 00:49:14.960]   If I had meerkat then I would a mere cat at it
[00:49:14.960 --> 00:49:16.960]   I did I
[00:49:16.960 --> 00:49:27.640]   Was right before the crowdsource I turned on the live view showed them the bill
[00:49:27.640 --> 00:49:34.040]   Was like and then I and then we went over to stubs barbecue. I walked to stubs barbecue from there
[00:49:34.040 --> 00:49:39.640]   Thank God otherwise it was casting along the way podcasting or streaming on the video along the way and then did the crowd surf
[00:49:39.640 --> 00:49:42.120]   Yeah, those were the days weren't they?
[00:49:42.240 --> 00:49:49.920]   Yeah, so there we go. It wasn't just Twitter. So Twitter was 2007, but was it 2008 that four square broke out at?
[00:49:49.920 --> 00:49:52.200]   South by
[00:49:52.200 --> 00:49:56.560]   By the time I got there there were yeah there I am by the way being lifted
[00:49:56.560 --> 00:50:01.520]   That's great by the and so your reason you can see me is because I've got a camera on my face
[00:50:01.520 --> 00:50:04.420]   That I'm holding on a staff like Gandalf
[00:50:04.420 --> 00:50:09.440]   Aiming at the selfie stick selfie it was the original there before everybody else
[00:50:10.760 --> 00:50:17.240]   All that hair I had hair and look at the backpack which is the streaming unit is like a 30 pound
[00:50:17.240 --> 00:50:22.880]   Yeah, I feel like Dan rather at the 1968 democratic convention
[00:50:22.880 --> 00:50:27.080]   fact that you know or that Dunesbury guy with a satellite dish on his head
[00:50:27.080 --> 00:50:34.320]   That was a lot of fun, but but what we realized quickly was it's just a party. Yeah, there's no news
[00:50:34.320 --> 00:50:37.040]   no, and
[00:50:37.040 --> 00:50:39.040]   I think for sure was 2009
[00:50:40.080 --> 00:50:45.520]   Was it 2009 okay, so there was nothing of 2008 oh maybe there was something in 2008
[00:50:45.520 --> 00:50:55.360]   Was an Austin company copy for Square all the day those were the days
[00:50:55.360 --> 00:51:00.760]   All right, I
[00:51:00.760 --> 00:51:04.720]   Think this would be a good time to take a break come back and do the the change log
[00:51:04.720 --> 00:51:06.520]   What do you say? There's still a ton of news?
[00:51:06.520 --> 00:51:12.600]   We've got the Google CFO is moving on wants to spend time climbing mountains with his lovely wife
[00:51:12.600 --> 00:51:17.880]   Did that do you read money as he has people can carry him up the mountain did you?
[00:51:17.880 --> 00:51:24.240]   Did you read Pishette's goodbye letter to make you want to quit made me want to quit yes?
[00:51:24.240 --> 00:51:27.800]   And you're your boss I can't quit
[00:51:27.800 --> 00:51:33.040]   But it made me want it. I'll read it out loud. We'll do a dramatic read
[00:51:34.840 --> 00:51:38.800]   It'll make you all want to quit your jobs and go travel the world
[00:51:38.800 --> 00:51:45.080]   Nest is looking for ahead of audio. What could that mean and
[00:51:45.080 --> 00:51:51.480]   Google compare finally launches. We've heard it was going to but it's here. There's a lot of new stuff
[00:51:51.480 --> 00:51:55.200]   It's a good week if you're a Google watcher. Oh
[00:51:55.200 --> 00:51:58.360]   And then I want to talk a little bit about Giga oh
[00:51:59.560 --> 00:52:05.240]   Think we have yeah, I want to hear yeah, I got good. It's good stuff first. Let's talk about my mattress
[00:52:05.240 --> 00:52:14.000]   Somebody said I could tell Twitter's jump the chart the shark you're doing ads for mattresses now when you find a great mattress
[00:52:14.000 --> 00:52:20.360]   even geeks have to sleep my friends and this is you know all of the advertisers we have are
[00:52:20.360 --> 00:52:27.360]   Tied in some way to the new economy and that's really I think if there's a common thread they may not be tech companies
[00:52:27.360 --> 00:52:34.400]   Casper isn't exactly a tech company, but it wouldn't exist if you couldn't if the internet didn't exist Casper is one of those companies that is
[00:52:34.400 --> 00:52:40.400]   Redefining what commerce looks like and it's an it's an interesting one it's a challenging one because people say well
[00:52:40.400 --> 00:52:44.000]   I need to lie on the bed before I buy the bed, but I got to tell you
[00:52:44.000 --> 00:52:49.720]   Five minutes on a bed I could tell you from personal experience five minutes on a bed in a showroom
[00:52:49.720 --> 00:52:54.520]   Where there's sales girls looking at you and your wife and waiting for you to do something bad
[00:52:55.000 --> 00:52:59.120]   Is not a great way to figure out if that mattress is comfortable. We bought a mattress and we didn't like it
[00:52:59.120 --> 00:53:01.440]   It was too firm
[00:53:01.440 --> 00:53:07.120]   Fortunately, we love our Casper and here's how Casper gets around that showroom problem
[00:53:07.120 --> 00:53:12.320]   You get the mattress you try the mattress for as long as a hundred days
[00:53:12.320 --> 00:53:19.600]   Free delivery and painless returns within that hundred day period so you can literally sleep on it for three months and say
[00:53:19.600 --> 00:53:23.860]   Yeah, no, it's not right for me, and they'll take it back. They'll come get it and say thank you very much
[00:53:24.280 --> 00:53:28.300]   We appreciate the opportunity to take to that you gave us a shot
[00:53:28.300 --> 00:53:31.760]   Not returning my Casper in fact. I've bought more caspers
[00:53:31.760 --> 00:53:38.520]   Casper's in our guest room caspers in my son's dorm room. Well, he's in a house. So not a dorm, but
[00:53:38.520 --> 00:53:45.240]   He loves his Casper Casper mattresses combined latex on top and memory foam on the bottom
[00:53:45.240 --> 00:53:50.000]   To give you just the right sink and bounce. They are so comfy
[00:53:50.640 --> 00:53:56.240]   So comfy and yeah, they come in a box. That was a queen size mattress easily easily fit through the door
[00:53:56.240 --> 00:54:00.920]   Simple to do it. I I just love it. That's one of the reasons we got it for my son
[00:54:00.920 --> 00:54:05.680]   He's up three flights and he couldn't have had a big mattress upstairs. He wanted a king
[00:54:05.680 --> 00:54:13.160]   Mattresses started $500 for a twin 950 for a king. That's a lot less than that showroom mattress, but it's a lot more comfortable
[00:54:13.160 --> 00:54:17.440]   It breathes. It's cool. It feels great. They're made in the USA
[00:54:17.840 --> 00:54:22.680]   Even Aussie the wonder dog loves Casper. You will too. In fact, you'll save an additional 50 bucks
[00:54:22.680 --> 00:54:28.000]   Because you're watching this show if you go to Casper C A S P E R
[00:54:28.000 --> 00:54:31.280]   Dot com slash twig T W I G
[00:54:31.280 --> 00:54:34.040]   $50 off any mattress
[00:54:34.040 --> 00:54:38.880]   This is an example of the this is the uber of mattresses an
[00:54:38.880 --> 00:54:44.560]   Example of how the internet can revolution. I well it's kind of true. Oh
[00:54:45.520 --> 00:54:52.800]   You have a Casper. I'll come home with you. Yes, exactly make my friends fast. Yes with Casper
[00:54:52.800 --> 00:54:56.940]   It's not how we're selling it. Jeff sorry
[00:54:56.940 --> 00:55:03.240]   But I think that's probably how my son is I think it would be actually they are no actually on on on mysterious on hard stern
[00:55:03.240 --> 00:55:07.480]   It is how they sell it. No. Oh, oh well. Yes
[00:55:07.480 --> 00:55:10.360]   Well, let me put it this way
[00:55:11.600 --> 00:55:16.320]   Henry's very happy with his new mattress and I think it's getting a lot of use
[00:55:16.320 --> 00:55:19.200]   But you know college kids sleep a lot
[00:55:19.200 --> 00:55:21.760]   Casper comm slash twig
[00:55:21.760 --> 00:55:26.880]   Love it love it. It was so much fun. We opened the box in the mattress
[00:55:26.880 --> 00:55:33.120]   It looks fun. I want to get way. I want to get one just to see it's so much fun
[00:55:33.120 --> 00:55:36.720]   I didn't open the box for a long time because I wanted to make sure we had all the
[00:55:37.120 --> 00:55:42.360]   Camera set up so we could because I knew it was gonna be exciting and I told Henry I said please make a vine of your mattress
[00:55:42.360 --> 00:55:44.920]   Unboxing it, but he never did I was disappointed
[00:55:44.920 --> 00:55:47.680]   Anything I tell my son to do
[00:55:47.680 --> 00:55:50.480]   darn kids does the opposite
[00:55:50.480 --> 00:55:57.520]   But that's gonna change Casper daca my daughter's in the big apple right now. She went out to visit friends and
[00:55:57.520 --> 00:56:02.480]   You know, it's neat. I'm getting pictures back. She's she's got so many friends in New York
[00:56:02.480 --> 00:56:05.200]   It's really the place for people. She's 23 people her age really
[00:56:05.920 --> 00:56:10.880]   Flocked to Manhattan, don't they yeah, you should do it when you're young. It's a wonderful place to be
[00:56:10.880 --> 00:56:19.600]   And so she's there's tons of friends there. She's her uncle James who's the dean at Yale drama school took her to a Broadway show went backstage
[00:56:19.600 --> 00:56:21.600]   I mean, it's she's having a full
[00:56:21.600 --> 00:56:27.760]   I hear that it's freezing white. She says I know I got a coat actually got pretty good weather this weekend
[00:56:27.760 --> 00:56:33.600]   It's kind of the cold melting isn't it? Yeah, yeah, it's melting. It's melting. It's disgusting. That's the worst time
[00:56:33.600 --> 00:56:35.600]   I
[00:56:35.600 --> 00:56:42.640]   Say all right, let's uh do we still can we dust off dust off the changelog? Yeah, let's do it theme
[00:56:42.640 --> 00:56:55.840]   Time for the latest the new stuff from google. Here's jina trapeani gotta shake off my ringraust here. Okay, what we got
[00:56:55.840 --> 00:56:59.520]   Thank you to Jason for putting this together
[00:57:01.680 --> 00:57:07.040]   I've been so out of touch with iOS. I had no idea there was not a native google calendar app for
[00:57:07.040 --> 00:57:10.080]   I was I just it's been a while
[00:57:10.080 --> 00:57:11.120]   I'm
[00:57:11.120 --> 00:57:16.080]   But that that wrong has been righted google launched google calendar for iphone a native app
[00:57:16.080 --> 00:57:22.240]   On iOS and this of course you used to be able to get google calendar because I knew I had my google calendar on ios
[00:57:22.240 --> 00:57:25.760]   When I did when I was using it, but it used to be available. Maybe a google sync
[00:57:25.760 --> 00:57:29.760]   This is the full tilt android experience google calendar app
[00:57:30.240 --> 00:57:37.440]   Uh, it's got google it's got events from gmail support which automatically converts emails and calendar events that have places and times and dates
[00:57:37.440 --> 00:57:42.960]   Uh assists that make suggestions for things like places and contacts and the schedule view
[00:57:42.960 --> 00:57:48.240]   Uh that we I say we all i'm sure that not everyone that listens to the shows is as on android
[00:57:48.240 --> 00:57:52.960]   Uh, but it really really nice experience has all the sort of up-to-date newest calendar stuff
[00:57:52.960 --> 00:57:54.960]   So that's that's and that's available in the app store now
[00:57:54.960 --> 00:57:58.560]   And it has a widget or whatever apple calls them a notification
[00:57:58.800 --> 00:58:00.800]   Has an item for the notification
[00:58:00.800 --> 00:58:04.480]   Oh very nice. Yeah, what does apple call those rich notification fingers?
[00:58:04.480 --> 00:58:07.440]   Are they widgets? They're calling them widgets, right do hikis
[00:58:07.440 --> 00:58:13.040]   Jimmy jams. I don't know, but that's good. That's good. You don't have to call it on the watch a complication
[00:58:13.040 --> 00:58:16.240]   A what a complication
[00:58:16.240 --> 00:58:19.360]   On the apple watch when you you have a watch face, but you can add
[00:58:19.360 --> 00:58:23.200]   Like weather and and it's called a complication
[00:58:23.200 --> 00:58:26.320]   That is it's interesting
[00:58:26.320 --> 00:58:28.320]   Funny I mean as a job
[00:58:28.320 --> 00:58:31.520]   No, I think it's a horror it might be a horological term
[00:58:31.520 --> 00:58:34.480]   They're using a lot of watch terms in this thing
[00:58:34.480 --> 00:58:39.600]   Interesting a complication. I that's what I want. I want more complicated. Don't you? Yeah
[00:58:39.600 --> 00:58:45.600]   By the way, you can't get the google calendar for iOS right now because the app store has been down all day
[00:58:45.600 --> 00:58:51.200]   Oh, really all their services have been down up and down and it's been a mess and
[00:58:51.200 --> 00:58:55.680]   I haven't checked lately, but that the apple has like google does the status thing
[00:58:56.320 --> 00:58:59.040]   And it hasn't been indicating any problems. Maybe it is now
[00:58:59.040 --> 00:59:02.960]   But uh, yeah, they've been having all sorts of problems even the status is down
[00:59:02.960 --> 00:59:07.680]   Uh, that's not a good sign. Well, let me see. Let's let's look apple support system status
[00:59:07.680 --> 00:59:14.240]   Yes, you'll look green. Oh, well, then the app stores down. I tuned stores down mac app stores down. So it does show
[00:59:14.240 --> 00:59:19.920]   I feel for multiple store services all users are affected been going on since six this morning
[00:59:20.880 --> 00:59:26.320]   Ah, that's a long time. That's a long time and it's the stores. I'm not sure what that's all about
[00:59:26.320 --> 00:59:33.600]   Oof. Yeah. Well, good luck apple engineers. The app store comes back. You can get the google calendar on it
[00:59:33.600 --> 00:59:36.960]   Good luck
[00:59:36.960 --> 00:59:41.120]   Android 5.1 we talked about this at length actually last night at
[00:59:41.120 --> 00:59:46.880]   Oh, I want to hear about it. I missed that. Yeah, uh, google announced at android 4 5.1
[00:59:46.880 --> 00:59:52.240]   This is a minor update to uh point release to lollipop is rolling out to next devices now
[00:59:52.240 --> 00:59:59.200]   It's been posted to the android open source project, which means that people who flash it'll be it's available to flashing parties everywhere
[00:59:59.200 --> 01:00:03.680]   Uh, and the new new features are pretty good multi sim card support
[01:00:03.680 --> 01:00:10.320]   Multi sim card support device protection for loss of stolen devices now of course android had this before but this
[01:00:10.320 --> 01:00:14.240]   This is this is a new way to do it. It requires google sign-in. So you lose your device
[01:00:14.640 --> 01:00:18.640]   You sign into google uh ton locket, but it works even after someone has
[01:00:18.640 --> 01:00:21.280]   reboot and factory reset the device
[01:00:21.280 --> 01:00:24.160]   Uh, which is pretty pretty pretty cool. Yeah
[01:00:24.160 --> 01:00:26.160]   And hd
[01:00:26.160 --> 01:00:28.160]   Thugs you
[01:00:28.160 --> 01:00:30.640]   Yeah, just try to wipe my phone. Just try a wipe it
[01:00:30.640 --> 01:00:35.680]   Places where kill switches like that have uh been implemented show really good results
[01:00:35.680 --> 01:00:42.640]   Right, even like I think I saw some in hat and statistics for iPhones and it really drops the number of uh, thefts and uh, so that's good
[01:00:43.120 --> 01:00:48.560]   Yeah, it's good. That's good. And then hd voice calling uh for compatible devices and carrier
[01:00:48.560 --> 01:00:51.120]   So, uh, I think you you both would have to have
[01:00:51.120 --> 01:00:58.800]   Nexus six on the right carriers in order to in order to enjoy this hd voice calling but voice calling but it's there
[01:00:58.800 --> 01:01:03.360]   And then there's just a bunch of little just minor lots of lots of icons got animated
[01:01:03.360 --> 01:01:08.640]   There's some volume settings updates. I mean this was kind of just a you know polish and um, you know
[01:01:09.200 --> 01:01:13.360]   Minor minor update that kind of I think make the whole lollipop experience better
[01:01:13.360 --> 01:01:16.320]   I of course had don't have lollipop in my one plus one yet
[01:01:16.320 --> 01:01:20.400]   And no one on all but android last night had gotten five point one yet over the air
[01:01:20.400 --> 01:01:23.360]   So that but that should just check my six. No
[01:01:23.360 --> 01:01:26.480]   Let me run into my next seven while you keep talking and i'll
[01:01:26.480 --> 01:01:31.840]   Okay, Jason. Did you just have you seen it on your phone? No, I keep checking
[01:01:31.840 --> 01:01:36.560]   Which you know, we already know really does not a whole a lot of good
[01:01:37.200 --> 01:01:44.320]   Right. Um, as I said last night. I was tempted to flash it, but I knew once I did that I would then be authorizing another
[01:01:44.320 --> 01:01:51.040]   Uh device on my google play music all access account and because google's so limiting on that now
[01:01:51.040 --> 01:01:52.960]   I didn't want to run up against the limit
[01:01:52.960 --> 01:01:57.760]   So I decided not to do that because those authorizations are precious to me at the moment
[01:01:57.760 --> 01:02:00.480]   right
[01:02:00.480 --> 01:02:01.920]   And then uh
[01:02:01.920 --> 01:02:03.760]   finally google released
[01:02:03.760 --> 01:02:08.800]   released a standalone pdf viewer for uh folks who aren't using google drive
[01:02:08.800 --> 01:02:16.320]   Um, yeah, it's released standalone to the to the play store that makes it easier to open pdf
[01:02:16.320 --> 01:02:20.080]   So you've probably got a few different options. I yeah, we tried to last on the show and it's like, you know
[01:02:20.080 --> 01:02:22.800]   a quick office pdf viewer and then the drive viewer
[01:02:22.800 --> 01:02:26.480]   Uh, but um, I think this is targeted toward android for work
[01:02:26.480 --> 01:02:30.000]   Folks, but it's open and available to everyone in the play store now
[01:02:30.080 --> 01:02:33.600]   I just I you know, it's for years, especially on windows
[01:02:33.600 --> 01:02:40.160]   Viewing pdfs has meant downloading an additional program in the case of a doe reater program full of bugs and holes
[01:02:40.160 --> 01:02:43.920]   It was such a blessing that google drive just we can read it now
[01:02:43.920 --> 01:02:46.480]   Just you can't change form life
[01:02:46.480 --> 01:02:52.880]   Yeah, it should be treated like a text file. It should be a system utility a pdf at this point is such a ubiquitous format
[01:02:52.880 --> 01:02:57.840]   You know apple does it that way they offer, you know, they come with a program called preview preview, right?
[01:02:58.160 --> 01:03:03.040]   Right, but google had to do it for a chrome OS. I think you know that that was a necessary
[01:03:03.040 --> 01:03:08.480]   Uh, and it what a great feature. So let's see about tablet. This is my nexus seven, which is currently running
[01:03:08.480 --> 01:03:11.040]   I think 502
[01:03:11.040 --> 01:03:16.880]   Gosh, don't you hate that. Let me check it's not you'd lie. My system is not up to date
[01:03:16.880 --> 01:03:22.000]   Like saw the google changelog. No, well, yeah, it's not available in the seven either
[01:03:22.000 --> 01:03:24.320]   so
[01:03:24.320 --> 01:03:30.400]   Well, it's on its way the next time you see that little robot. You'll know it's 5.1
[01:03:30.400 --> 01:03:38.400]   And I should just show you but one more thing leo has now written his first android application
[01:03:38.400 --> 01:03:45.120]   It's very stupid and simple because it's uh, it's the app of better though, but I you know I wanted a little
[01:03:45.120 --> 01:03:52.160]   Account down timer for the radio show and and um so app inventor may I took you know
[01:03:52.160 --> 01:03:55.360]   The hardest thing was getting used to the idea of like I had
[01:03:55.360 --> 01:03:59.920]   You know, I couldn't do a case statement. I had to do multiple if the analysis things like that, you know
[01:03:59.920 --> 01:04:05.440]   Real programmers will go. Oh, this is you know, you're fighting app inventor, but for a non programmer
[01:04:05.440 --> 01:04:08.960]   It's great. You can actually make a APK you can give to people
[01:04:08.960 --> 01:04:13.040]   I just uh download the APK put it on my google drive and I could put it on an android device
[01:04:13.040 --> 01:04:16.640]   And it's a very stupid little simple thing. It just counts down how many seconds left
[01:04:17.360 --> 01:04:21.760]   If we were on the radio show right now, I'd have you know, like three minutes of talking left
[01:04:21.760 --> 01:04:26.800]   Then when it gets down to two minutes, it gets yellow when it gets to 30 seconds. It gets red when it gets to zero
[01:04:26.800 --> 01:04:29.120]   Then it goes to the commercial. It's goes blue
[01:04:29.120 --> 01:04:33.280]   It's very simple, but but it's really handy and I used it this weekend
[01:04:33.280 --> 01:04:37.680]   So the bill so that's the app inventor from uh, it was from google. It's from mit now
[01:04:37.680 --> 01:04:42.000]   If you search for app inventor too, it's very easy to write and create new
[01:04:42.000 --> 01:04:46.880]   Uh, new APK so you can install on yours or anybody's
[01:04:47.200 --> 01:04:50.480]   You have to be able to install third-party APKs, but that's easy to do
[01:04:50.480 --> 01:04:52.880]   So he says he's counting down the number of viewers
[01:04:52.880 --> 01:04:55.760]   I hope not
[01:04:55.760 --> 01:04:58.720]   Can you go the other way?
[01:04:58.720 --> 01:05:01.040]   About Leo stupid app
[01:05:01.040 --> 01:05:03.520]   And that is the google change
[01:05:03.520 --> 01:05:07.440]   Bum, bum, bum, bum, bum
[01:05:07.440 --> 01:05:09.440]   It's so nice to have Gina here
[01:05:09.440 --> 01:05:13.120]   I feel the greatest everything going well for you
[01:05:13.120 --> 01:05:17.040]   Yeah, things are good. Things are good. Now that spring is starting to happen
[01:05:17.040 --> 01:05:19.040]   I'm feeling a little bit more human
[01:05:19.040 --> 01:05:22.160]   In a little less like what did I do the reason for winter
[01:05:22.160 --> 01:05:26.800]   It's just you know, it's just you can't enjoy anything less. You know suffering
[01:05:26.800 --> 01:05:29.600]   It's so that you can enjoy spring
[01:05:29.600 --> 01:05:34.480]   I've been trying I was discussing this at length of the friend like like is spring better because we earned it
[01:05:34.480 --> 01:05:40.480]   You know what I mean? Like is this I think I think so. I think this is on telling myself anyway. No absolutely
[01:05:40.480 --> 01:05:42.640]   Absolutely
[01:05:42.640 --> 01:05:46.160]   Spring is coming march comes in like a lion and goes out like a lamb
[01:05:47.040 --> 01:05:49.040]   That's what they say have you heard that before?
[01:05:49.040 --> 01:05:52.000]   Okay
[01:05:52.000 --> 01:05:53.840]   Let's take
[01:05:53.840 --> 01:05:57.680]   Let's take a break lots more to talk about our show today brought to you by hip chat.com
[01:05:57.680 --> 01:06:04.480]   This is I'm on hip chat all the time on my android device on my iPhone on my desktop. There's a web app for
[01:06:04.480 --> 01:06:07.200]   uh, apap, you know, Linux
[01:06:07.200 --> 01:06:12.480]   Uh, I actually there may be a dedicated app for Linux. What is hip chat? Well, it's designed for teams
[01:06:12.480 --> 01:06:14.960]   To keep them on the same page
[01:06:15.200 --> 01:06:19.600]   It's like instant messenger. So you'll immediately be able to use it and understand what hip chat is
[01:06:19.600 --> 01:06:22.880]   But it adds video chat document sharing screen sharing
[01:06:22.880 --> 01:06:27.840]   Code sharing it's really great for develop a lot of developers use a hip chat
[01:06:27.840 --> 01:06:32.000]   We're using it with our development team in austin. That's doing the new website
[01:06:32.000 --> 01:06:38.880]   Uh, and it's just it's it's like having a permanent record of everything that went on. It's real time. So it's not asynchronous like
[01:06:38.880 --> 01:06:41.600]   email it's ssl
[01:06:42.240 --> 01:06:46.640]   So it's fully encrypted it integrates with 57 other services
[01:06:46.640 --> 01:06:51.040]   That developers like like github and jira and zendesk
[01:06:51.040 --> 01:06:53.680]   So, uh, you're you're really
[01:06:53.680 --> 01:06:59.840]   Very productive with hip chat. It's easy to set up fun to use and i'm telling you by the way fun is part of this
[01:06:59.840 --> 01:07:05.280]   They have emojis and there's a little uh plugin called linky that when you paste a link in it
[01:07:05.280 --> 01:07:07.440]   It does a little preview of the page and the hip chat thing
[01:07:07.440 --> 01:07:11.200]   Just just little things like that make it make it really a pleasure to use
[01:07:11.760 --> 01:07:16.960]   We liked it so much, uh using it with four kitchens. We started to use it with our engineering team and our sales team
[01:07:16.960 --> 01:07:21.200]   Um, I just love it hip chat. So here's the deal. It's free
[01:07:21.200 --> 01:07:24.640]   You know, there's a freemium version anyway that you can use free forever
[01:07:24.640 --> 01:07:30.480]   But there's also a full version and you're going to get that for the next 30 days if you go to hip chat.com/twig
[01:07:30.480 --> 01:07:35.600]   That includes additional features like video and screen sharing hip chat.com/twig
[01:07:35.600 --> 01:07:41.360]   No credit card needed just to sign up click on start chatting and invite your team members
[01:07:41.760 --> 01:07:45.520]   And you'll have it free for 30 days actually for the first hundred people who respond right now
[01:07:45.520 --> 01:07:51.040]   Uh, you'll have it free for 90 days. So don't wait do it right now before the other guy gets to it
[01:07:51.040 --> 01:07:53.440]   Three months free for you and your team
[01:07:53.440 --> 01:07:56.080]   Of the full hip chat at hip chat.com
[01:07:56.080 --> 01:07:59.120]   Slash twig hip chat.com
[01:07:59.120 --> 01:08:03.280]   Slash twig. We're a hip chat house. I think I could say that now
[01:08:03.280 --> 01:08:06.880]   Um, I have at home my hip chat's always running
[01:08:07.680 --> 01:08:12.960]   We scrum every day. We have the hip chat going. I feel so agile
[01:08:12.960 --> 01:08:19.120]   It's kind of fun. You know, it's fun. It's like a mountain goat your agile. I'm climbing the hill
[01:08:19.120 --> 01:08:26.080]   Have you done like full-on agile development, Gina? I have I have not I have not I definitely have used
[01:08:26.080 --> 01:08:33.040]   You know parts of it. I'm a cafeteria agile practitioner. I guess you say like you're a cafeteria catholic. I understand
[01:08:33.040 --> 01:08:36.800]   Exactly exactly. Uh, and I think for most people that's the right way to go
[01:08:36.800 --> 01:08:41.600]   But if you have a big complicated project with a lot of moving parts and a lot of moving people
[01:08:41.600 --> 01:08:47.920]   And this is a perfect example where you have a various stakeholders and you know lots of different developers
[01:08:47.920 --> 01:08:52.960]   There's a developer for Drupal actually there's several there's developer for no js
[01:08:52.960 --> 01:08:57.200]   There's developers for the dust templates. There's a designer and the only way to do that I think
[01:08:57.200 --> 01:09:01.360]   Is with some real structure and agile's very interesting very process heavy
[01:09:02.000 --> 01:09:04.880]   But I found it to be really fun. We're having a good way. It's it's
[01:09:04.880 --> 01:09:09.920]   Really interesting and I think we're getting a much now that the product that the bridge is almost built
[01:09:09.920 --> 01:09:12.320]   I feel like wow, this has really worked
[01:09:12.320 --> 01:09:17.920]   At first it's like very process heavy and you go nothing's happening. Yeah, I like uh, uh, we're spending a bunch of time
[01:09:17.920 --> 01:09:21.840]   Yeah, deciding how we're gonna do things. Yeah designing programs, right?
[01:09:21.840 --> 01:09:25.600]   You know who know what he wants to spend time writing tests
[01:09:25.600 --> 01:09:28.960]   Writing a design writing a spec you want to get in there a code
[01:09:29.440 --> 01:09:33.920]   Yeah, it's true. It's the hard part is the front up front work, but it makes a big difference
[01:09:33.920 --> 01:09:38.880]   It's true. Yeah, you should write. I hope you'll write up or do a show or you know, maybe on an insights word
[01:09:38.880 --> 01:09:43.200]   I would love to hear about about your impressions because this is your first time full on agile. Oh, yeah
[01:09:43.200 --> 01:09:45.680]   We did a little scrumming with lullaby
[01:09:45.680 --> 01:09:49.360]   Uh, but it was really like you say just a little here and there
[01:09:49.360 --> 01:09:54.880]   They may have been fully agile internally, but we weren't exposed to it. This time we're fully exposed to it
[01:09:54.880 --> 01:09:57.120]   You know, it's really good. It's really interesting
[01:09:58.000 --> 01:10:00.240]   um, I understand why
[01:10:00.240 --> 01:10:06.240]   It's a way of managing complexity and that you and software so complex you really need this
[01:10:06.240 --> 01:10:12.800]   Yes, especially when you're plugging together different things the way that you are. Oh my god. We're doing what we're doing. It's insane
[01:10:12.800 --> 01:10:15.920]   Can't wait to see it
[01:10:15.920 --> 01:10:19.120]   I should bring you in a little bit and bring you into one of some of our meetings and show you
[01:10:19.120 --> 01:10:22.720]   We'll be doing a beta. So there's gonna be three phases of development
[01:10:22.720 --> 01:10:27.920]   But we're gonna be doing a private beta soon and when when we do that we'll certainly invite you guys all along
[01:10:27.920 --> 01:10:29.920]   I'm a global host
[01:10:29.920 --> 01:10:36.880]   And those of you in chat will probably be part of it as well. I want the the the users to get a chance to bang on it a little bit
[01:10:36.880 --> 01:10:39.440]   Great. Can't wait. Yeah, yeah
[01:10:39.440 --> 01:10:47.520]   But all the programmers understand that huh? Do you feel pregnant? Yeah, I feel like i'm in week 38
[01:10:47.520 --> 01:10:52.640]   Oh, it's it's like this such delicious agony when you're building something
[01:10:52.640 --> 01:10:56.080]   I'm in this space right now. We're like you're building something you're really excited about it
[01:10:56.080 --> 01:10:59.440]   You know exactly what has to be done. It's not quite done yet. You can't wait to show people
[01:10:59.440 --> 01:11:04.080]   Yeah, yeah, and then and then there's the postpartum after it launches and all you have is a list of bugs
[01:11:04.080 --> 01:11:08.640]   So get ready for that really looks pretty though. Oh, and I know we're gonna have but you know, I think
[01:11:08.640 --> 01:11:16.800]   In a way though this process this agile process does make the bug squat. You're really squashing as you go. I think
[01:11:16.800 --> 01:11:20.480]   So a very good way to do it. I don't know. We'll see
[01:11:20.480 --> 01:11:25.200]   We shall see the new android where street art pack is out
[01:11:26.160 --> 01:11:30.160]   Thank you scooter x in the chat room. I don't even know what i'm gonna look at here
[01:11:30.160 --> 01:11:33.600]   You got it. Yeah, I just got it. It's like
[01:11:33.600 --> 01:11:36.240]   It's just a bunch of
[01:11:36.240 --> 01:11:41.120]   Funky watch faces exactly street art and this is from google education of all people is it?
[01:11:41.120 --> 01:11:43.360]   Yeah, I didn't realize that yeah
