;FFMETADATA1
album=This Week In Google
artist=Leo Laporte, Jeff Jarvis and Gina Trapani
iTunPGAP=0
comment=http://twit.tv/twig136
encoded_by=iTunes v7.0
genre=Tech News
TGID=http://www.podtrac.com/pts/redirect.mp3/twit.cachefly.net/twig0115.mp3
TDES=Hosts: Leo Laporte, Jeff Jarvis, and Gina Trapani\
\
Apple's iPhone 4S keynote, what is PhoneGap, \# on Google +, Google won't screw up Android, and more cloud news.\
\
Download or subscribe to this show at twit.tv/twig.\
\
We invite you to read, add to, and amend our show notes.\
\
Friendfeed links for this episode.\
\
Thanks to Cachefly for the bandwidth for this show.\
\
Running time: 1:29:14
track=136
title=This Week In Google 136: It's A Polar Bear
date=2012
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.140]   It's time for Twig this week in Google. We're gonna talk about cookies
[00:45:21.140 --> 00:45:26.340]   Right and and so it's fairly evil because they're trying to convince you. Oh, this just makes it free
[00:45:26.340 --> 00:45:28.580]   Now you don't have to worry when you're using that app
[00:45:28.580 --> 00:45:34.420]   You're not worrying about your cap that we don't really admit to you that we have but isn't that good for consumers
[00:45:34.420 --> 00:45:40.580]   No, because what it says is now. This is this is the exact violation of neutrality
[00:45:40.580 --> 00:45:44.580]   That means that only apps that have the money to pay for this privilege
[00:45:44.580 --> 00:45:48.820]   Will get this kind of coverage and the rest of the apps will more and more and more
[00:45:49.300 --> 00:45:51.300]   Will be discriminated against
[00:45:51.300 --> 00:45:54.900]   As they say oh, sorry, you're not using one of the special apps
[00:45:54.900 --> 00:45:58.180]   You're using one of the crappy apps so for instance, we couldn't afford to do this
[00:45:58.180 --> 00:46:01.700]   So right and we wouldn't want to do this is stupid. So, uh
[00:46:01.700 --> 00:46:09.700]   Toy will be distributed sorry if you watch twit, it's going to go against your you know, 100 kilobyte bandwidth cap or whatever it is
[00:46:09.700 --> 00:46:14.660]   Right, but you could watch you could watch if you'd prefer AOL
[00:46:14.660 --> 00:46:17.380]   They they wouldn't charge you
[00:46:17.620 --> 00:46:24.180]   That's horrible. Isn't it horrible. I'm telling you the world's going to hell and I got there was a fight with somebody
[00:46:24.180 --> 00:46:31.060]   One
[00:46:31.060 --> 00:46:39.140]   You know what if you had one I would take it all right. I'll go buy one that would cheer me up
[00:46:39.140 --> 00:46:41.780]   Eat one leo need one
[00:46:41.780 --> 00:46:44.500]   I have those at google. Oh
[00:46:45.780 --> 00:46:51.220]   Uh, yeah, maybe they will and and what else were they gonna have all those glasses that we can wear and see what's going on for?
[00:46:51.220 --> 00:46:53.540]   Yes, they might have some jelly beans
[00:46:53.540 --> 00:46:56.740]   Android glasses and ice cream sandwiches. I am so there
[00:46:56.740 --> 00:47:03.860]   I would love to see some research on how much this iOS debacle has hurt google's reputation and I wonder if
[00:47:03.860 --> 00:47:07.300]   Do you know google has been historically a very good brand?
[00:47:07.300 --> 00:47:12.260]   But I wonder if that brand is being tarnished by all of this information, you know
[00:47:14.100 --> 00:47:16.740]   Do you think real people in other words are paying attention?
[00:47:16.740 --> 00:47:22.660]   I don't think real people know about this. They don't care about the third party cookie thing about the the i-frame. Yeah
[00:47:22.660 --> 00:47:28.900]   Yeah, I think it's starting to spread. I think you see it on tv. I see I see these supposed tech reports on
[00:47:28.900 --> 00:47:33.300]   Supposed at tv news and you know, well, watch out. They're tracking you
[00:47:33.300 --> 00:47:38.740]   Um, and and then you know the anchor comes back and says well, that's mighty creepy. Uh, sally. Yes
[00:47:38.740 --> 00:47:43.700]   You know, it's it's happy. It's at the level of happy talk now and this becomes the accepted
[00:47:44.100 --> 00:47:47.460]   narrative and you have a place like the wall street effing journal
[00:47:47.460 --> 00:47:49.940]   Um doing this and you know, I
[00:47:49.940 --> 00:47:54.340]   Listen the actual reporters were doing this. I'm not I'm not
[00:47:54.340 --> 00:48:02.340]   The smurching their ethics in this whatsoever, but I think that they're falling into a company line here where rupert maroc hates google
[00:48:02.340 --> 00:48:08.740]   And it comes out with his arguments that google is a pirate as kara swisher pointed out
[00:48:09.300 --> 00:48:11.300]   Julia angwin is not
[00:48:11.300 --> 00:48:15.780]   Doing rupert marocs bidding. That's what i'm saying. No, she's not but but but
[00:48:15.780 --> 00:48:21.380]   The higher ups are happy to promote this. I watched a scene in davos. I wrote about it
[00:48:21.380 --> 00:48:22.660]   I didn't put it up
[00:48:22.660 --> 00:48:29.620]   But because it just seemed kind of old and and inside baseball, but but it's relevant where uh the top digital editor from
[00:48:29.620 --> 00:48:34.260]   Wall Street journal was at the google briefing at davos
[00:48:34.820 --> 00:48:39.140]   And he just started channeling mordock about piracy
[00:48:39.140 --> 00:48:43.780]   Well go look up a movie and and eric smith just went into it. So well what yeah, why don't we look up
[00:48:43.780 --> 00:48:49.300]   mission impossible since that's what rupert had complained about and it was just parotying
[00:48:49.300 --> 00:48:56.740]   Exactly what mordock was saying in twitter and elsewhere and it was a top editor of the paper doing it. So yes, the attitude does
[00:48:56.740 --> 00:49:00.420]   Seep through now. I'm not even questioning that he doesn't actually believe it
[00:49:00.420 --> 00:49:04.100]   But it there is a company line there and it's a company that
[00:49:04.900 --> 00:49:07.540]   There's the report is out today that we're chase kerry
[00:49:07.540 --> 00:49:09.540]   See
[00:49:09.540 --> 00:49:17.220]   Oh, oh, I think it is of a news corp floated the idea today. I've been saying this since last july of news corp spinning off its newspapers
[00:49:17.220 --> 00:49:21.940]   Only 20 percent of their I think it's profit
[00:49:21.940 --> 00:49:26.100]   Maybe it's revenue is revenue. I think is newspaper oriented
[00:49:26.100 --> 00:49:30.500]   Uh, it is an entertainment company. It is a paid content company
[00:49:30.900 --> 00:49:34.900]   That's what news corp is and so he doesn't really care about the ad business anymore
[00:49:34.900 --> 00:49:39.300]   And that's part of the reason these shooting spitballs at it. Sorry. I absolutely agree
[00:49:39.300 --> 00:49:44.660]   I I joy is a wonderful person. I respect her. She's smart. She's not by any means doing this
[00:49:44.660 --> 00:49:47.700]   But I think it's falling into you know out of out of
[00:49:47.700 --> 00:49:53.140]   Orders from on top it's too subtle for that it does seem happening instead somewhat self-serving
[00:49:53.140 --> 00:49:57.540]   Oh very very and and the path here is
[00:49:58.020 --> 00:50:02.420]   Murdock himself trying to slam google in every opportunity. So back to your question Leo
[00:50:02.420 --> 00:50:05.380]   You get enough of that happening from companies like this
[00:50:05.380 --> 00:50:10.500]   Being read and repeated by happy talk bozos at tv and newspapers
[00:50:10.500 --> 00:50:18.420]   Then it does have an impact right on the brand and on discourse around large technology companies being after you
[00:50:18.420 --> 00:50:21.060]   Right and that's going to affect all of us geeks
[00:50:21.060 --> 00:50:27.940]   Well already has because uh the wall street journal no longer lets you read the entire story from google
[00:50:28.900 --> 00:50:31.620]   The first click free program has moved on
[00:50:31.620 --> 00:50:39.700]   I noticed this too. This is an article by danny sellevin in search engine land that when you look up or try to read that wall street journal
[00:50:39.700 --> 00:50:41.300]   story about the
[00:50:41.300 --> 00:50:44.900]   Google workaround on the safari privacy settings you didn't get the whole story
[00:50:44.900 --> 00:50:49.140]   And uh it used to be if you get it through google news you click and we get the whole story no
[00:50:49.140 --> 00:50:52.820]   You have to you have to pay for it. You have to log in and pay for it
[00:50:52.820 --> 00:50:55.460]   um and apparently
[00:50:56.420 --> 00:51:01.460]   Uh, this is something that's been going on for a while vice president corporate communications for the wall street journal says
[00:51:01.460 --> 00:51:04.100]   As a strategy
[00:51:04.100 --> 00:51:07.780]   We hold back a few of our top stories by not having the full story crawled
[00:51:07.780 --> 00:51:12.740]   Which limits selected articles from being available via first click free?
[00:51:12.740 --> 00:51:18.020]   We've been doing this since last summer. I did kind of notice it as a strategy to encourage subscriptions
[00:51:18.020 --> 00:51:20.340]   I couldn't figure it out because sometimes it would work
[00:51:20.340 --> 00:51:23.460]   sometimes not now I have a wall street journal subscription so
[00:51:24.100 --> 00:51:26.420]   I was forced to remember my password and log in
[00:51:26.420 --> 00:51:28.660]   but um
[00:51:28.660 --> 00:51:30.500]   I just click away
[00:51:30.500 --> 00:51:31.460]   What do you do?
[00:51:31.460 --> 00:51:36.500]   I just click away. Michael. Oh, I guess I won't read that. I'll read somebody else's paraphrase of it
[00:51:36.500 --> 00:51:38.820]   Yep. I mean
[00:51:38.820 --> 00:51:40.340]   Yeah
[00:51:40.340 --> 00:51:42.980]   I think the london sunday time still has my two pounds
[00:51:42.980 --> 00:51:45.540]   Oh
[00:51:45.540 --> 00:51:52.340]   I was such a it was such a nightmare process to buy because I was trying to read the story that they wrote that really now you you want to
[00:51:52.500 --> 00:51:54.500]   You want a good example of this
[00:51:54.500 --> 00:51:59.380]   Uh, jeff the London sending times was just owned by rupert murdock published a story on sunday
[00:51:59.380 --> 00:52:05.860]   Which made me very suspicious saying that uh, everybody facebook google
[00:52:05.860 --> 00:52:08.820]   Uh twitter everybody
[00:52:08.820 --> 00:52:16.180]   All the apps on your on your android phone were uploading everything that you knew to their servers
[00:52:16.180 --> 00:52:18.820]   Or your texts all your texts
[00:52:18.820 --> 00:52:22.820]   Texts they were listening to your youtube was turning the camera on and watching you
[00:52:22.820 --> 00:52:25.860]   Uh
[00:52:25.860 --> 00:52:30.420]   Yeah, and face boobius about leo your right is that it got quoted but you couldn't read the story
[00:52:30.420 --> 00:52:34.340]   Couldn't read and I tried to pay the two pounds and I couldn't figure out I had a feeling
[00:52:34.340 --> 00:52:40.740]   When I read it. Oh, you know what? This is not any research or this is them looking at the permissions
[00:52:40.740 --> 00:52:44.260]   Yes in the app saying well they ask for permission youtube
[00:52:44.260 --> 00:52:47.540]   Ask for permission to use your camera so they must be using your camera
[00:52:48.500 --> 00:52:54.820]   And that's the story I think but I couldn't fight and I tried to pay the two pounds and they I couldn't and I never
[00:52:54.820 --> 00:52:58.500]   If so finally facebook send these people the oatmeal comic
[00:52:58.500 --> 00:53:02.900]   Uh the game of throw if you use game of thrones as the example, but it works for everything
[00:53:02.900 --> 00:53:06.900]   Someone in the chat room asked if I click away from the new york time after the first 20 freebies
[00:53:06.900 --> 00:53:11.540]   I actually pay for the times I have a subscription of the time so uh, I don't have a subscription to the journal
[00:53:11.540 --> 00:53:16.260]   So I I not only pay for the times in the journal apparently I now pay for the london sunday times
[00:53:17.540 --> 00:53:20.100]   I don't know how long this two pound charge is going to continue
[00:53:20.100 --> 00:53:24.420]   um facebook had a response which essentially confirmed what I thought
[00:53:24.420 --> 00:53:27.300]   Which is no
[00:53:27.300 --> 00:53:34.340]   We were we were doing a test with some people, but we do ask for these permissions the facebook andra dapp does not
[00:53:34.340 --> 00:53:41.860]   Read your text messages except in in a very limited case where the people were informed ahead of time
[00:53:41.860 --> 00:53:45.860]   This is a beta test of some software. We were trying in the messenger
[00:53:45.860 --> 00:53:50.020]   Was news corp again, and it was and that one was really uh
[00:53:50.020 --> 00:53:54.820]   Well the the best case you could say well that was just trawling for clicks
[00:53:54.820 --> 00:53:57.700]   Yeah, uh
[00:53:57.700 --> 00:54:00.740]   Worst case it was part of the city here's here's how I know this happens
[00:54:00.740 --> 00:54:02.740]   The city is part about a mobile company
[00:54:02.740 --> 00:54:08.580]   Is not that the mogul ever tells anyone what to do he doesn't have to the underlings try to please the local
[00:54:08.580 --> 00:54:10.660]   We always knew what ball allen wanted
[00:54:10.660 --> 00:54:14.180]   I mean the only time when I when I worked in his core tom marrot knows
[00:54:15.060 --> 00:54:17.220]   Oh where his bread is buttered let me tell you
[00:54:17.220 --> 00:54:24.340]   I was you know here a kind word about apple in this show. I'm sorry
[00:54:24.340 --> 00:54:30.980]   See now people believe that they are there. Yes and tom is going to confirm it because you can't say that
[00:54:30.980 --> 00:54:36.020]   Now tom will say
[00:54:36.020 --> 00:54:40.100]   Intentionally say the opposite of what I think just to get my boat which is good
[00:54:40.100 --> 00:54:43.140]   Yeah, when I was tv critic a tv guide owned by news corp
[00:54:43.700 --> 00:54:47.460]   Uh, I actually was never told anything. I was I was given far more interference at timing
[00:54:47.460 --> 00:54:53.300]   And I actually used this as an anecdote to defend him or not when he bought the wall's returnl and defend his lack of editorial control
[00:54:53.300 --> 00:54:59.540]   The one time I was told anything was that uh leah that um, or rupert was a big fan of mowie shot
[00:54:59.540 --> 00:55:06.740]   Honest to god and and if you don't like mowie shajef, it's okay, but you better be prepared to defend that decision
[00:55:06.740 --> 00:55:10.100]   Really?
[00:55:10.100 --> 00:55:11.780]   I'm serious really
[00:55:11.780 --> 00:55:19.860]   That is the best story. I that makes me really happy and jeff if there's anyone who could defend his his dislike for mowieisha
[00:55:19.860 --> 00:55:22.260]   You are the guy. I think you
[00:55:22.260 --> 00:55:26.660]   Was fine. It was when I shoot mowieisha's okay
[00:55:26.660 --> 00:55:30.100]   Wow
[00:55:30.100 --> 00:55:33.460]   Well, I can't log into the new york times so i'm just gonna skip this next story
[00:55:33.460 --> 00:55:36.340]   They use cookies they use cookies
[00:55:36.340 --> 00:55:41.380]   Apparently forgotten my password. I was gonna read a story from the new york times about googles
[00:55:41.780 --> 00:55:46.740]   New privacy policy, which is you mentioned jina goes into effect tomorrow and maybe a violation of vu rules, but
[00:55:46.740 --> 00:55:52.820]   Apparently, I don't have my password. I must have exceeded the number of clicks because i've never had this before they won't let me in
[00:55:52.820 --> 00:55:58.740]   I hate paywalls, but kids get ready because that's all you're gonna get. That's all you're gonna get soon
[00:55:58.740 --> 00:56:01.300]   You brought it on yourselves people
[00:56:01.300 --> 00:56:06.020]   Let me let me take a break and make some money because god knows we're not we only have a limited amount of time to do that
[00:56:06.020 --> 00:56:08.020]   And then it's gonna be all over
[00:56:08.260 --> 00:56:10.260]   I
[00:56:10.260 --> 00:56:18.420]   Go ahead skip this ad I don't care damn kids if you skip this ad you might miss the baby polar bear later
[00:56:18.420 --> 00:56:22.660]   Just want to lighten things up here we go
[00:56:22.660 --> 00:56:28.180]   Do not skip this ad there's baby polar bears ahead
[00:56:28.180 --> 00:56:35.540]   They actually did this on live with kelly today they did they they said stay tuned coming up leaping animals
[00:56:36.100 --> 00:56:38.580]   Stay tuned coming up baby polar bear digging
[00:56:38.580 --> 00:56:42.660]   Where'd you get that that's good? Well, you got to think Veronica Belmont for the
[00:56:42.660 --> 00:56:47.780]   Now it gets even better later on right after this ad
[00:56:47.780 --> 00:56:55.700]   Actually, we talk we pitch all the time about how cell phone companies work
[00:56:55.700 --> 00:56:58.900]   And uh, and you know
[00:56:58.900 --> 00:57:01.620]   There i keep saying if somebody would do it right
[00:57:01.620 --> 00:57:04.260]   They would they would kill
[00:57:04.580 --> 00:57:08.740]   Well, it makes sense the folks from two cows same folks at do hover and uh
[00:57:08.740 --> 00:57:15.620]   Elliott nasa great guy had the same thought he thought we could do a new mobile service what we're going to do it's based on sprint
[00:57:15.620 --> 00:57:21.140]   They offer 4g phones android phones through sprints called ting
[00:57:21.140 --> 00:57:26.340]   This sounds like i'm joking, but i'm not ting.com/twig
[00:57:26.340 --> 00:57:28.900]   ting.com/twig
[00:57:28.900 --> 00:57:29.860]   twig
[00:57:29.860 --> 00:57:30.900]   uh uh uh
[00:57:30.900 --> 00:57:32.500]   Bing bang willowana ting ting
[00:57:33.300 --> 00:57:39.700]   This is an amazing new way to get your cell phone service because it's sprint now of course
[00:57:39.700 --> 00:57:42.580]   You're gonna have the same coverage map as sprint does same 4g
[00:57:42.580 --> 00:57:45.940]   But they have a pricing model that is unique
[00:57:45.940 --> 00:57:49.060]   so uh
[00:57:49.060 --> 00:57:52.020]   What they've got is they've got let me show you the the whole thing here
[00:57:52.020 --> 00:57:54.100]   They've got this account dashboard
[00:57:54.100 --> 00:58:00.100]   That at any time you log into your ting account and you could see exactly how much data
[00:58:00.740 --> 00:58:06.340]   How many minutes and how many texts you're using they bill megabytes minutes and texts separately
[00:58:06.340 --> 00:58:10.900]   You when you sign up you say i want this plan i'm gonna have this many phones
[00:58:10.900 --> 00:58:15.700]   Actually, I could show you this let me let me go here you can say i could say i want this many phones
[00:58:15.700 --> 00:58:21.780]   So i'm gonna say let's say i have a family plan for phones. That's the base price of $24 a month
[00:58:21.780 --> 00:58:27.620]   And then um, oh this is for you to enter in your own. Um, let me let me go to the plans here
[00:58:28.180 --> 00:58:30.500]   This you could this is also a nice pricing um
[00:58:30.500 --> 00:58:35.300]   Pricing thing where you enter in your current price so then you say how many phones you want
[00:58:35.300 --> 00:58:41.300]   And you say do you want extra small small medium or large or extra large xxl plan
[00:58:41.300 --> 00:58:44.340]   Choose whatever plan you think you're gonna use for minutes
[00:58:44.340 --> 00:58:47.620]   for messages and for megabytes, you know any just
[00:58:47.620 --> 00:58:50.340]   But here's the beauty part
[00:58:50.340 --> 00:58:52.580]   If you don't use it all
[00:58:52.580 --> 00:58:54.580]   They give you a refund
[00:58:55.540 --> 00:58:59.460]   Yeah, they don't give you rollover minutes. They give you your money back
[00:58:59.460 --> 00:59:02.180]   every month
[00:59:02.180 --> 00:59:05.620]   You're automatically credited the difference at the end of the month
[00:59:05.620 --> 00:59:10.180]   If you use more you're billed at this rate not some inflated crazy rate
[00:59:10.180 --> 00:59:16.500]   So really this is just a suggestion, you know pick what you think you're gonna use because that way you can figure out what it's gonna cost
[00:59:16.500 --> 00:59:19.700]   This would be $69 for a thousand minutes a hundred messages
[00:59:19.700 --> 00:59:23.860]   Uh, uh, gigabyte is but let's say oh no i'm gonna use a gigabyte
[00:59:24.180 --> 00:59:26.980]   And i'm gonna do a thousand messages, but i'm not gonna do that many minutes
[00:59:26.980 --> 00:59:29.860]   There you go $92 a month for four phones
[00:59:29.860 --> 00:59:31.940]   Four phones
[00:59:31.940 --> 00:59:35.380]   Oh, and if i use less i i get a credit back
[00:59:35.380 --> 00:59:38.340]   That's pretty crazy
[00:59:38.340 --> 00:59:40.820]   It's crazy
[00:59:40.820 --> 00:59:42.660]   They're canadian does that help do this?
[00:59:42.660 --> 00:59:47.460]   This is a us this is a us company, but they're from canada and i think that's the issue there
[00:59:47.460 --> 00:59:50.340]   They're just don't get that profit thing
[00:59:52.260 --> 00:59:54.100]   There are no penalties
[00:59:54.100 --> 00:59:56.500]   There are no premium prices for extra data
[00:59:56.500 --> 01:00:00.180]   Forg phones. This is the ting phone i'm using as a nice htc phone
[01:00:00.180 --> 01:00:03.460]   Slider this is a slider, but you don't have to they have all kinds of phones
[01:00:03.460 --> 01:00:09.940]   Um, they're there this if you've been looking for a better data plan a better plan on your phone
[01:00:09.940 --> 01:00:11.860]   um
[01:00:11.860 --> 01:00:15.780]   In fact, this is so cool. Like here's a tweet from somebody a couple of days ago my ting
[01:00:15.780 --> 01:00:21.860]   Phone bill was $22 last month. That's a hundred dollars less than 18 t was
[01:00:22.580 --> 01:00:24.420]   a new a new customer
[01:00:24.420 --> 01:00:29.140]   Family of four actual usage across the four phones 2,387 minutes
[01:00:29.140 --> 01:00:31.860]   Wow, we must have teenagers 400
[01:00:31.860 --> 01:00:34.340]   2,000 227 messages and
[01:00:34.340 --> 01:00:39.380]   429 megabytes of data. That's a lot all of that 244 on ting
[01:00:39.380 --> 01:00:45.700]   I'm sorry that was on atnt was 244 on tingles 103 a month
[01:00:45.700 --> 01:00:49.300]   Business too, by the way, you get as many you know
[01:00:49.460 --> 01:00:54.020]   This could be for your whole business a marketing firm in boston says we plugged in six of us together
[01:00:54.020 --> 01:00:56.900]   We got $12,000 to savings a year
[01:00:56.900 --> 01:01:02.820]   So there's a no weight customer support line. Same as hover 8 a.m. To 8 p.m. Eastern standard time
[01:01:02.820 --> 01:01:09.300]   Email support, uh, they've got blogging that got to where they're really you know, they're a bunch of geeks very social media focus
[01:01:09.300 --> 01:01:11.460]   Look at this is a really nice phone by the way
[01:01:11.460 --> 01:01:19.220]   And then they have data access. They have like um data devices as well. Yeah, so this is a data device. This is uh android
[01:01:19.540 --> 01:01:24.580]   2,3 on a on a htc phone. Yep. They've got an overtell my fight 2200
[01:01:24.580 --> 01:01:29.460]   They don't have like the oh, well, you mean like the my fight cards. Yeah. Yeah, they got two of them
[01:01:29.460 --> 01:01:32.660]   They don't have the latest greatest phones like they don't have the note
[01:01:32.660 --> 01:01:37.540]   And that's you know what that's not their fault. That's that's a carrier lock in unfortunately
[01:01:37.540 --> 01:01:43.140]   Um, but they have the sanio zio the lg optimus the samson transform now when you get the form of the phone
[01:01:43.140 --> 01:01:45.940]   Uh, this is the htc detail
[01:01:45.940 --> 01:01:50.020]   It's a little more expensive because you because you're not getting the subsidy, but it's less than a full price
[01:01:50.020 --> 01:01:53.620]   Uh, phone. I just get a sim from them if I have the phone
[01:01:53.620 --> 01:02:02.420]   Crisis range from $104 to $544 to purchase a phone you buy it right on the website. So just go to ting.com/twig
[01:02:02.420 --> 01:02:06.420]   Well, they're not sim. They're they're sprint. They're sprint. That's right. Yeah
[01:02:06.420 --> 01:02:11.300]   Ting.com/twig you'll say $50 on your device right off the front. So we do have a special deal for you
[01:02:11.300 --> 01:02:13.860]   ting.com
[01:02:13.860 --> 01:02:19.060]   Slash twig tell your friends. I think these guys deserve to be reward when when lei it showed me this
[01:02:19.060 --> 01:02:21.620]   I I've known about this for six months when he showed to me I said
[01:02:21.620 --> 01:02:27.380]   Get your ass kicked by 18 t and everybody else. We're gonna try to run you out of town
[01:02:27.380 --> 01:02:32.660]   He said no, we're all we're already up and running. This is this is awesome. Great. Um, this
[01:02:32.660 --> 01:02:39.460]   Support them. It support them for doing it right. Right. Well, what this does you know, what's what any model
[01:02:39.460 --> 01:02:43.540]   If you worry about what big corporations are gonna do with the internet and we should worry about that
[01:02:43.540 --> 01:02:45.540]   You shouldn't there's a few answers. Yes
[01:02:45.540 --> 01:02:50.660]   To have open source competitors, right? So so the fact that firefox exists
[01:02:50.660 --> 01:02:53.700]   Is what enables chrome to resist by pressure?
[01:02:53.700 --> 01:02:56.020]   But also means that ie didn't take over the world
[01:02:56.020 --> 01:03:01.700]   And the fact that ting can come along and say, you know, you can do a phone company right bozos
[01:03:01.700 --> 01:03:08.900]   That puts the pressure on otherwise and that's what we have to do the entrepreneurial technologists have to create this counterbailing pressure to the idiots
[01:03:08.900 --> 01:03:13.460]   By the way, yeah, agreed no early termination fee or month to month
[01:03:13.620 --> 01:03:19.300]   You cancel at any time. Wow no additional charge for tethering or hot spotting all the phones do it
[01:03:19.300 --> 01:03:26.660]   So that's great three way calling free call her id free tethering picture and visual video messaging free voicemail free
[01:03:26.660 --> 01:03:32.580]   So this is a really this is a remarkable server and for businesses would be a really good choice to have multiple
[01:03:32.580 --> 01:03:37.860]   phones ting.com/twig and just you know, look at the plans to the savings calculator. You get an idea
[01:03:37.860 --> 01:03:40.820]   You know, Ellie. It's a great guy. He's he's one of those
[01:03:41.700 --> 01:03:46.420]   Guys that you meet that you go you he wants to change the world, you know, just really exciting
[01:03:46.420 --> 01:03:53.780]   I just love it and um, yeah, just uh back on the polar bear watch. Oh, is that live?
[01:03:53.780 --> 01:03:59.140]   I it's they said it was live. I'm not quite sure. I just kind of explore
[01:03:59.140 --> 01:04:01.460]   Somebody come along and club it over the head
[01:04:01.460 --> 01:04:05.460]   Chef
[01:04:05.460 --> 01:04:08.820]   I promised to bring it back
[01:04:09.140 --> 01:04:13.860]   So way things have gone in this show so far. I wouldn't be surprised by saw polar bear clubbing
[01:04:13.860 --> 01:04:19.060]   That is no this is explore.org. These are live webcams
[01:04:19.060 --> 01:04:21.780]   polar bears
[01:04:21.780 --> 01:04:23.780]   Pan-oh wait a minute. They got pandas
[01:04:23.780 --> 01:04:26.580]   Giant pandas baby
[01:04:26.580 --> 01:04:30.500]   Look at the look at the live cams on the panda reserve. These are all live cams
[01:04:30.500 --> 01:04:32.020]   Wow
[01:04:32.020 --> 01:04:36.820]   I don't know what's better the polar bears or the pay only what you use phone plans. I know
[01:04:37.700 --> 01:04:42.740]   I know I hope you didn't skip the ad because you might have missed something really good. Oh, the panda bears are sleeping
[01:04:42.740 --> 01:04:49.060]   No, there's one eating right look at little little oh this this looks like the san diego's. Yeah eats shoots and leaves
[01:04:49.060 --> 01:04:52.100]   happy yauchin and lulin
[01:04:52.100 --> 01:04:55.780]   I was that was so cool to see those up close
[01:04:55.780 --> 01:05:00.180]   And they're so cute with their little pot bellies, but don't get close because they'll eat your face off
[01:05:00.180 --> 01:05:07.220]   Okay, thank you for this little uh break. I feel much much better. Yeah
[01:05:07.300 --> 01:05:11.460]   Well, if you know if you ever feel down, I will I will go back to our friendly polar bear
[01:05:11.460 --> 01:05:14.740]   You're welcome
[01:05:14.740 --> 01:05:18.740]   Baby polar bear just say polar bear. Okay. Okay. I'll bring every polar bear
[01:05:18.740 --> 01:05:28.020]   You wish you were in kansas city everything's up to date in kansas city. They've got fiber running a gig a bit speeds
[01:05:28.020 --> 01:05:29.620]   um
[01:05:29.620 --> 01:05:31.620]   Here is a depressing video
[01:05:31.620 --> 01:05:34.180]   Of google installing high speed
[01:05:35.060 --> 01:05:38.820]   Fiber optic actually this is an ad skip that how we skipping ad
[01:05:38.820 --> 01:05:41.780]   You know, there's too many ads on the internet
[01:05:41.780 --> 01:05:52.500]   Do as I say not as I do okay
[01:05:52.500 --> 01:05:58.420]   See the face now. Oh it's cute. Oh pull up
[01:06:01.060 --> 01:06:06.500]   It's gonna turn around. We're gonna see a coke ad on the side of the service will offer download speeds up to 100 times faster than those
[01:06:06.500 --> 01:06:10.500]   This is from the bbc news. That's why there was a little ad because they really got to monetize
[01:06:10.500 --> 01:06:14.580]   Living online in kansas city
[01:06:14.580 --> 01:06:19.540]   Gigabit per second anyway, you can go to watch this at bbc.co.uk
[01:06:19.540 --> 01:06:23.620]   Wouldn't that be nice to have something like that? I don't know why they're making modem sounds
[01:06:23.620 --> 01:06:28.980]   That's crazy. I wondered that too
[01:06:29.860 --> 01:06:32.100]   What the what modem no
[01:06:32.100 --> 01:06:34.980]   No, this is the big maybe that's it
[01:06:34.980 --> 01:06:39.060]   Don't you
[01:06:39.060 --> 01:06:44.660]   All right, we're not gonna watch this because we didn't watch the ad and we don't want to be pirates
[01:06:44.660 --> 01:06:51.540]   Eric smith said the people people have actually kind of them say they want to move to kansas city just because of this and somebody in the audience said
[01:06:51.540 --> 01:06:53.540]   I want to of course
[01:06:53.540 --> 01:06:56.260]   This is the best thing that we've tried you know
[01:06:56.260 --> 01:07:01.700]   We lobbied to peddle him a lobby to every town in in the country try to get this because they knew if you get it
[01:07:01.700 --> 01:07:03.700]   You suddenly like the place to live
[01:07:03.700 --> 01:07:10.260]   All right, so what do you think this has been a little little battle going on on the internet over google plus
[01:07:10.260 --> 01:07:16.980]   Commscore and others say that google plus visitors are
[01:07:16.980 --> 01:07:23.780]   It's not it's been calm score said an average of three minutes a month on the site
[01:07:24.580 --> 01:07:30.100]   That's isn't that bogus statistically because that's that's all the lucky you lose who came in the proper statistical should be how many
[01:07:30.100 --> 01:07:34.340]   It may be a bad number how many people come back regularly and for those
[01:07:34.340 --> 01:07:41.140]   How many how much time do they spend well their averaging in is dead accounts who came in and said i'll try this leo said to
[01:07:41.140 --> 01:07:43.700]   A lot of them. I'm sure yeah
[01:07:43.700 --> 01:07:47.620]   Facebook has the on the average about seven hours
[01:07:47.620 --> 01:07:50.980]   Six to seven hours every month
[01:07:51.860 --> 01:07:57.940]   But it was another wall free journal story going after all right i'm just saying there's there been a lot of them haven't there
[01:07:57.940 --> 01:08:00.420]   tons tons
[01:08:00.420 --> 01:08:07.780]   Now when you sign up for a google account now as a fresh brand new user you automatically get a google plus account
[01:08:07.780 --> 01:08:11.940]   No, sort of you do not the first thing they do is they push you to google plus
[01:08:11.940 --> 01:08:16.900]   They push you google plus i'd say make a profile be a plus or it's very it's a very hard sell
[01:08:17.860 --> 01:08:26.020]   It's a very hard sell so okay. So it's so these numbers are cut could be bad just because they're pushing you know if i want a gmail account
[01:08:26.020 --> 01:08:31.540]   Uh, and but i wind up with a google plus account, but i just use gmail i mean i'm you know essentially considered
