;FFMETADATA1
title=Stop Spocking My Bills!
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=290
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.580]   It's time for Twig this week in Google. Aaron Nukem joins Jeff Jarvis and me
[00:43:56.160 --> 00:44:00.320]   Now the video we should point out only a 16, but it does have the ability to expand storage
[00:44:00.320 --> 00:44:06.000]   Right. It has an external SD card. Yeah, so um, all right. Maybe I'll go maybe I'll wait till may
[00:44:06.480 --> 00:44:12.080]   Yeah, yeah, Mars worm in the chat room. That's right. Razor has another one. That's the same cost $100
[00:44:12.080 --> 00:44:17.520]   Uh, that is definitely from a specs perspective better than the nexus for
[00:44:17.520 --> 00:44:20.720]   tv
[00:44:20.720 --> 00:44:24.320]   And google cast is the underlying technology for all of this right that i'm able to use uh
[00:44:24.320 --> 00:44:27.200]   cast
[00:44:27.200 --> 00:44:33.040]   To interface with this so this looks like a good one too. Razor is a gaming company. Yep. They even make a controller who who
[00:44:34.240 --> 00:44:39.200]   I like razor products. I still use my razor. Razor booms legs remember the booms lying the booms lying
[00:44:39.200 --> 00:44:41.840]   I still have a razor booms lying. Yeah
[00:44:41.840 --> 00:44:45.120]   I mean good stuff. I mean it's pricey, but it works. Yeah, so
[00:44:45.120 --> 00:44:49.360]   All right. Well, I think we have to what do you have which one do you have?
[00:44:49.360 --> 00:44:52.080]   Jason
[00:44:52.080 --> 00:44:53.440]   Oh, you got it working?
[00:44:53.440 --> 00:44:57.040]   Oh, he's got the grid stuff working on his shield. All right. Oh, this is the lego
[00:44:57.040 --> 00:45:00.880]   So this is streaming from grid
[00:45:02.000 --> 00:45:05.760]   Uh, well actually start this is a cutscene right now, but it's going to stream the game
[00:45:05.760 --> 00:45:12.320]   And that's the supercomputer in the tagline. This is a computer is not this. It's the thing it's connected to which is the server
[00:45:12.320 --> 00:45:17.040]   Right, uh, but it's going to stream down lego harry potter and you're gonna be able to play it
[00:45:17.040 --> 00:45:20.560]   I don't know if i'm gonna be able to play it because I paired this with mine. This isn't mine. Yeah, I did already
[00:45:20.560 --> 00:45:28.000]   So now I have to we have to do a review on all of these we got to buy all these new
[00:45:28.960 --> 00:45:35.040]   Android tv things so not the nexus you have that already Jason you say that's too clunky next player
[00:45:35.040 --> 00:45:39.440]   Yeah, I'm not a I'm not a huge fan of the player. Maybe the forged tv or maybe the in video
[00:45:39.440 --> 00:45:44.160]   I have to say in videos got the inside track because uh, they make chips
[00:45:44.160 --> 00:45:47.600]   It's a little more expensive, but I'd say it's probably worth that extra price
[00:45:47.600 --> 00:45:50.480]   Is the forged tv available yet? No
[00:45:50.480 --> 00:45:53.520]   So and nothing you want is available now
[00:45:55.520 --> 00:45:58.480]   All right, and apparently she's coming soon also from sharp
[00:45:58.480 --> 00:46:01.520]   TP vision
[00:46:01.520 --> 00:46:05.520]   And even sony's getting into this game sony who made the original
[00:46:05.520 --> 00:46:09.520]   Google tv remember is going to make a brovia
[00:46:09.520 --> 00:46:12.880]   television set with android tv built into it
[00:46:12.880 --> 00:46:21.120]   I don't know. We'll see what's the way it's network interference our calm cast our calm cast has been
[00:46:22.240 --> 00:46:26.560]   So you're not playing this on the shield you're playing this on the server right she'll just
[00:46:26.560 --> 00:46:29.200]   streaming it down to you
[00:46:29.200 --> 00:46:32.880]   On live when out of business nobody acquired those assets, right? This is not on live
[00:46:32.880 --> 00:46:42.320]   That's a good question. I'm not sure whatever happened on rids been around for a year or two. Yeah, they I think they just yeah network's not going to help us
[00:46:42.320 --> 00:46:44.720]   That's the problem there there you have it
[00:46:44.720 --> 00:46:48.560]   Illustrated
[00:46:48.560 --> 00:46:50.320]   Problem with that idea
[00:46:50.320 --> 00:46:57.040]   GDC is going on right now the game developers conference. It's a fun event. I think next year we should go down and do a gdc
[00:46:57.040 --> 00:46:59.680]   That'd be a lot of fun
[00:46:59.680 --> 00:47:06.960]   Interesting one of the complaints about the nexus six. I don't know if you've noticed this jeff or or if you've noticed it
[00:47:06.960 --> 00:47:11.520]   um Jason, but the nexus six was encrypted by default
[00:47:11.520 --> 00:47:18.640]   So when you got it it was encrypted and a lot of people complained that that's really slowed down file access on the device
[00:47:19.040 --> 00:47:21.040]   Google has
[00:47:21.040 --> 00:47:27.040]   Decided not to do that anymore. Google is not going to encrypt new lollipop pop devices by default
[00:47:27.040 --> 00:47:32.240]   But it may be required in future versions of android so get ready
[00:47:32.240 --> 00:47:37.360]   Um, they very quietly have backed down. I think that they acknowledged in fact
[00:47:37.360 --> 00:47:44.240]   They saw we saw the benchmarks as a huge differential speed. Yeah on the nexus six because of that encryption
[00:47:44.480 --> 00:47:48.800]   It's because there is an encryption hardware built into it. Right. You know what I never really noticed it
[00:47:48.800 --> 00:47:53.600]   You notice it in a benchmark. It wasn't like I was sitting there running. Yeah. Oh my gosh. This is slow
[00:47:53.600 --> 00:47:57.200]   But it does well, I should have been a choice anyway from the beginning, right?
[00:47:57.200 --> 00:47:59.680]   I mean, it's okay to pop up and say would you like to encrypt your device?
[00:47:59.680 --> 00:48:04.000]   You know, you may notice a small you can't and that's and it's always allowed you to do that
[00:48:04.000 --> 00:48:09.120]   Um, you go into the settings you can't use uh, you have to have a passcode
[00:48:09.120 --> 00:48:14.400]   You know, either a longer number or a password, but then you can encrypt which I recommend
[00:48:14.400 --> 00:48:18.080]   because um, you know, otherwise that data is all visible
[00:48:18.080 --> 00:48:22.960]   Uh, it's unencrypted when the phone is on though. So remember you have to turn it off for best
[00:48:22.960 --> 00:48:25.600]   Stolen or something like that. You're you're protected
[00:48:25.600 --> 00:48:30.080]   But ours technica notes that that new moto e we're talking about which is one of the first
[00:48:30.080 --> 00:48:33.440]   Non google lollipop devices is unencrypted
[00:48:33.440 --> 00:48:39.760]   Uh, the new galaxy s6 demo units at the mobile world congress not encrypted according to ours
[00:48:40.400 --> 00:48:42.400]   Review editor ron amadeo
[00:48:42.400 --> 00:48:46.640]   It appears I cannot turn off encryption. No on the six you have to root it
[00:48:46.640 --> 00:48:51.040]   And modify it and it's a little shaky on that
[00:48:51.040 --> 00:48:55.200]   So, um google has backed down a little bit
[00:48:55.200 --> 00:49:01.520]   It needs to support full description, but it doesn't have to have it turned right on. That's the key
[00:49:01.520 --> 00:49:03.920]   It should be enabled
[00:49:03.920 --> 00:49:06.160]   Should be but doesn't have to be
[00:49:06.560 --> 00:49:12.720]   It is very strongly recommended that you do it according to google as we expect this to change to must
[00:49:12.720 --> 00:49:20.400]   In future versions of and right but that's fine as long as future hardware supports it with hardware decryption. Yep
[00:49:20.400 --> 00:49:24.720]   And you have fast mmc or something faster in the storage
[00:49:24.720 --> 00:49:27.760]   Um
[00:49:27.760 --> 00:49:30.960]   Yeah, and it's important to note too that encryption affects compression
[00:49:30.960 --> 00:49:34.160]   Uh, once you encrypt something
[00:49:34.160 --> 00:49:38.800]   You can't compress it random you can't compress it really at all because yeah, the data's basically been scrambled
[00:49:38.800 --> 00:49:42.000]   Yeah, so there's no duplicate data to compress. Yeah, um
[00:49:42.000 --> 00:49:46.080]   Uh
[00:49:46.080 --> 00:49:50.320]   Okay, we're gonna take a break and then it'll be change log time
[00:49:50.320 --> 00:49:54.400]   Yes, we're bringing back the change log
[00:49:54.400 --> 00:49:59.440]   Just a moment. Actually, there's a couple more things from gdc. We'll talk about too
[00:49:59.440 --> 00:50:02.080]   Just looking down the run man run down
[00:50:02.400 --> 00:50:04.400]   John carmax is samsung
[00:50:04.400 --> 00:50:07.840]   He's gonna put all of its might behind the gear vr
[00:50:07.840 --> 00:50:10.880]   All of its might all of its might
[00:50:10.880 --> 00:50:14.800]   I don't know about I don't know if I'd recommend that didn't carmack go to work
[00:50:14.800 --> 00:50:18.080]   Oh, yeah, he's working for oculus rift and oculus rift powers gear vr
[00:50:18.080 --> 00:50:22.880]   So that would that's why he's talking about this our show today brought to you by linda.com
[00:50:22.880 --> 00:50:26.880]   We love linda.com a great place to learn linda.com is for
[00:50:26.880 --> 00:50:30.320]   Problem solvers for the curious for people
[00:50:30.880 --> 00:50:37.920]   Want to make things happen. It's for you. Maybe you want to master excel or learn uh negotiation tactics build a better resume
[00:50:37.920 --> 00:50:44.800]   Build a better website boost your photoshopped skills boost your photography skills linda has something for you everything you need
[00:50:44.800 --> 00:50:47.200]   to feed your curious mind
[00:50:47.200 --> 00:50:51.840]   How about google tag manager essential training? I don't even know what that is
[00:50:51.840 --> 00:50:54.400]   Maybe you use that at work. You need it
[00:50:54.400 --> 00:51:00.560]   Google analytics and central training that I know and would be really great to learn about how to use analytics better
[00:51:01.120 --> 00:51:07.840]   Localization for developers growth hacking fundamentals you hear people talking about gross hacking all the time. What is it?
[00:51:07.840 --> 00:51:13.120]   Find out. They'll teach you how to quickly expand your customer base with low cost
[00:51:13.120 --> 00:51:17.360]   Innovative marketing techniques ryan hoover was here talking about that
[00:51:17.360 --> 00:51:20.720]   Gross hacking and I think we've got uh
[00:51:20.720 --> 00:51:25.520]   The the the king of uh gross hacking coming up on a triangulation
[00:51:25.520 --> 00:51:28.320]   uh, I all near I all
[00:51:29.280 --> 00:51:33.680]   Linda l y n d a dot com learn from top experts who are passionate about teaching
[00:51:33.680 --> 00:51:38.560]   Stream of thousands of video courses on demand learn on your own schedule at your own pace
[00:51:38.560 --> 00:51:42.400]   In fact, I love the uh transcriptions beautifully written
[00:51:42.400 --> 00:51:47.520]   Transcriptions of every course that you can search find what you want jump right to the answer you need
[00:51:47.520 --> 00:51:53.440]   Because each course is kind of chunked up in a way that makes it very easy to just watch a little bit of the time
[00:51:53.520 --> 00:51:55.520]   But you'll be amazed how quickly you'll learn
[00:51:55.520 --> 00:52:01.360]   It's fantastic. You can even download tutorials and watch them on the go with iOS or android
[00:52:01.360 --> 00:52:08.320]   Create and save playlists of courses you want to watch customize your learning path share your path with friends colleagues and team members
[00:52:08.320 --> 00:52:14.160]   And of course linda.com keep you up to date because they work with software companies ahead of time
[00:52:14.160 --> 00:52:20.800]   So they've got classes the minute the new logic pro 10 came out classes available same thing with the new
[00:52:21.200 --> 00:52:23.200]   A final cut classes immediately
[00:52:23.200 --> 00:52:28.400]   Get up and running on these new courses and these new versions immediately linda
[00:52:28.400 --> 00:52:31.200]   L y n d a dot com
[00:52:31.200 --> 00:52:36.160]   I got a membership for you right now. You're gonna love a free 10 day trial when you go to linda.com
[00:52:36.160 --> 00:52:38.880]   slash twig
[00:52:38.880 --> 00:52:42.880]   10 days the run of the place you every single course available to you
[00:52:42.880 --> 00:52:48.720]   Whether you're looking to become an expert you just passionately care about a hobby or you want to learn something new
[00:52:48.880 --> 00:52:53.840]   It's great keeps your brain expanding linda is a great place to go a great
[00:52:53.840 --> 00:52:56.720]   subscription to have
[00:52:56.720 --> 00:52:58.720]   linda.com/twig
[00:52:58.720 --> 00:53:02.080]   L y n d a.com/twig we love them
[00:53:02.080 --> 00:53:09.120]   We even have uh in a lot of businesses do the subscriptions for employees. It's a good way to get them up to speed. Absolutely
[00:53:09.120 --> 00:53:11.440]   um
[00:53:11.440 --> 00:53:13.440]   Time for all the googoo change log
[00:53:15.200 --> 00:53:18.640]   I uh was shocked when I went to contacts dot google.com
[00:53:18.640 --> 00:53:21.600]   And I said, what is this?
[00:53:21.600 --> 00:53:26.320]   I don't know we should don't show. Yeah, I won't show it. I was gonna show all my phone numbers and everything
[00:53:26.320 --> 00:53:31.840]   But if you are a google contacts user, you might want to go there and take a look at it. It's pretty sweet
[00:53:31.840 --> 00:53:33.920]   What do you guys think?
[00:53:33.920 --> 00:53:38.880]   Yeah, I just brought it up today. It does look pretty nice. It's a lot nicer than the old one. Uh right away you notice that the
[00:53:38.880 --> 00:53:40.880]   um
[00:53:40.880 --> 00:53:46.800]   The they've separated. I don't know whether this is virtual or in reality, but you know contacts used to be under gmail
[00:53:46.800 --> 00:53:50.160]   You click on contacts and would still be in gmail, but you contacts would show
[00:53:50.160 --> 00:53:55.600]   Well, it looks like they're perhaps separating contacts out a little bit as a separate app because now it's under context
[00:53:55.600 --> 00:54:00.400]   On google.com. Well, it's always been there, but it but it so I know that's always goes back to gmail though, right?
[00:54:00.400 --> 00:54:03.280]   Yeah, well, it's the same one as in gmail when I like about this
[00:54:03.280 --> 00:54:07.680]   Uh, they've separated into stard and frequently contacted, which is nice
[00:54:07.680 --> 00:54:12.160]   I think that some of the phones did that and the first thing I say you have 86 duplicate contact
[00:54:12.160 --> 00:54:16.560]   Right would you like to merge them? That's new. Yep. Yep. Someone pops right up
[00:54:16.560 --> 00:54:19.600]   Which is great. Yeah, this has been a problem people have complained about for a long time
[00:54:19.600 --> 00:54:24.720]   The fact that you know your contacts come from all these different sources and you end up with five versions of your contacts
[00:54:24.720 --> 00:54:30.320]   It's such a nice. Yeah, it really does it very nicely and it did it instantly. Oh my god. I've been waiting for this
[00:54:30.320 --> 00:54:33.360]   So again, this is something some like
[00:54:34.000 --> 00:54:38.480]   Some phone operating systems offered you. I think a samsung might have but boy it did that a night
[00:54:38.480 --> 00:54:45.520]   It did that nicely. It did it beautifully. Mm-hmm. Um, so I don't got it. It's been how many how long since they've updated contacts
[00:54:45.520 --> 00:54:48.960]   I use it like crazy. So highly recommended
[00:54:48.960 --> 00:54:51.200]   Also
[00:54:51.200 --> 00:54:56.400]   Yes, the preview. I just just gonna say that the preview if you go to contacts. I google.com/preview
[00:54:56.400 --> 00:55:01.200]   You should be able to check it out. Ah and and it doesn't work with apps accounts. I believe yet
[00:55:01.200 --> 00:55:03.840]   That's why I was moaning. Yeah, all right. Yeah
[00:55:04.320 --> 00:55:08.400]   So sorry sorry for your life. Sorry for your losses. If you have a gmail account, it should work
[00:55:08.400 --> 00:55:13.360]   So jim, you just don't use your regular gmail account
[00:55:13.360 --> 00:55:18.400]   No, I use my apps account which and for god's sake those are the professionals and that's work and all that
[00:55:18.400 --> 00:55:21.840]   I just can't I do not understand how they make a second class citizens
[00:55:21.840 --> 00:55:28.000]   I don't I don't understand it a and b. I'm sorry. I've complained about this before but even when I'm not signed in
[00:55:28.000 --> 00:55:31.280]   To my gmail account anywhere. I'm signed into my apps account
[00:55:31.280 --> 00:55:37.600]   It is my account when I open a new window for various things it switches to my gmail
[00:55:37.600 --> 00:55:40.960]   Yeah, I'm not signed in at all. It's which is to my gmail
[00:55:40.960 --> 00:55:43.840]   So sometimes when I try to open a document somebody sent me a document
[00:55:43.840 --> 00:55:49.680]   I can't open it because it keeps on insisting no Jarvis. You're gonna open this in the account where you can't open it
[00:55:49.680 --> 00:55:51.760]   You're gonna open it in gmail
[00:55:51.760 --> 00:55:58.320]   Yeah, that is annoying and I what I found is that I get really good at changing the URLs to go to my second third or fourth user
[00:55:58.880 --> 00:56:04.480]   Um that's signed in just so that I can get back to the feature that I wanted that I wanted to do originally because it always defaults
[00:56:04.480 --> 00:56:06.480]   So that you zero user
[00:56:06.480 --> 00:56:11.440]   Um, and so yeah, I find myself getting really good at hacking the URLs just to get to the right would you do it?
[00:56:11.440 --> 00:56:17.120]   Seriously, would you do a little tutorial on that? Oh, yeah plus thing and I I'd killed to have that
[00:56:17.120 --> 00:56:23.440]   Yeah, absolutely. And you know the thing about this is that's on and soon-dars in charge of both on android
[00:56:24.080 --> 00:56:30.160]   It's easy as pie to go back and forth from accounts. It doesn't doesn't confuse the phone. It doesn't confuse the OS. It works really well
[00:56:30.160 --> 00:56:33.280]   Uh within the applications you can easily switch
[00:56:33.280 --> 00:56:39.360]   Uh, I'm stuck. I would just kill my my gmail account entirely and and switch my google plus
[00:56:39.360 --> 00:56:44.000]   To my apps, but I have grandfather and stuff all of my
[00:56:44.000 --> 00:56:46.160]   um
[00:56:46.160 --> 00:56:49.760]   Play store stuff is on my gmail account. Yep
[00:56:50.560 --> 00:56:55.200]   And if you switch it over you lose all your stuff. So I'm stuck. I can't do it. I'm sorry for the rant
[00:56:55.200 --> 00:57:00.000]   But uh, no, it's a big problem. I completely agree with you and I wish that
[00:57:00.000 --> 00:57:04.640]   You know, I was hoping that when they brought out inbox that that would be the the mer
[00:57:04.640 --> 00:57:05.760]   I wasn't so
[00:57:05.760 --> 00:57:10.640]   Thrilled with the features of inbox, but I was really thrilled because I thought it was going to merge all of my apps and my
[00:57:10.640 --> 00:57:13.120]   All of my mail accounts, you know
[00:57:13.120 --> 00:57:18.720]   Five six seven different mail accounts that I have I thought oh now I have one place to go to read all my mail from all my accounts
[00:57:18.800 --> 00:57:24.880]   Nope. Sorry. You're an apps user. You can't use the inbox yet. So you know, oh, oh, you know what Aaron now
[00:57:24.880 --> 00:57:27.520]   I'm really stuck. So now when I go to contacts
[00:57:27.520 --> 00:57:31.920]   Yeah, it insists on taking me to the preview in my gmail account. I can't get
[00:57:31.920 --> 00:57:37.920]   To the contacts in my apps account at all now. That's not good. Yep. I cannot switch you're not allowed to switch accounts
[00:57:37.920 --> 00:57:43.840]   I'm stuck. I now can't get to contacts in apps. Hello google. Did anybody there listening? Hello?
[00:57:45.680 --> 00:57:49.120]   Oh boy. Yep. Oh, there there there. No, okay. Now it came up now
[00:57:49.120 --> 00:57:51.680]   See they fixed it already
[00:57:51.680 --> 00:57:55.360]   And that's quick and I tried it and then it says 404 error
[00:57:55.360 --> 00:58:00.240]   Because it's assisting on now stuck in with the preview because it won't show in the preview
[00:58:00.240 --> 00:58:03.600]   Google
[00:58:03.600 --> 00:58:08.240]   So here's another one that's I guess uh, maybe a way to get you to upgrade you're a smartphone
[00:58:08.240 --> 00:58:13.520]   Uh, remember there's an issue with early versions of the google browser not chrome
[00:58:13.520 --> 00:58:17.360]   But the google browser that came in andro the aos aosp browser
[00:58:17.360 --> 00:58:21.200]   Uh, it's not secure and google says we're not fixing it. Mm-hmm
[00:58:21.200 --> 00:58:26.160]   Uh, and that's that's been the case for some time if you're using when did that when
[00:58:26.160 --> 00:58:32.720]   When did they eliminate that browser? I think it was in kitcat or maybe even must have been kitcat
[00:58:32.720 --> 00:58:39.120]   Yeah, pretty sure easy to count. Mm-hmm, but the fix for a long time for pre kitcat phones was to get
[00:58:40.320 --> 00:58:44.800]   Uh chrome you just download chrome and just don't use the built-in browser use chrome
[00:58:44.800 --> 00:58:51.040]   Chrome 42 will be the last version to support ice cream sandwich or earlier
[00:58:51.040 --> 00:58:57.120]   So you'll still have chrome, but no more fixes after chrome 42. I think we're at version
[00:58:57.120 --> 00:59:00.000]   40 right now
[00:59:00.000 --> 00:59:02.480]   So there'll be a an update or two
[00:59:02.480 --> 00:59:07.920]   Let me see uh the last version for ics is currently slated to arrive
[00:59:08.400 --> 00:59:10.400]   In mid-April you will not get
[00:59:10.400 --> 00:59:13.040]   Anymore releases after that
[00:59:13.040 --> 00:59:17.840]   43 and above will not work on ice cream sandwich of course the version you have
[00:59:17.840 --> 00:59:23.200]   Will continue to work, but it may not be secure and don't go back to the the browser built in
[00:59:23.200 --> 00:59:27.520]   To uh earlier on earlier version of android because it's really not secure
[00:59:27.520 --> 00:59:34.720]   So uh go to jelly bean at least kitcat lollipop all of them will continue to have support for chrome
[00:59:34.800 --> 00:59:40.000]   This is something kind of new in the google space. You know microsoft and apple have always done that
[00:59:40.000 --> 00:59:41.920]   um
[00:59:41.920 --> 00:59:44.720]   You know after a certain amount of time an operating system dies
[00:59:44.720 --> 00:59:50.400]   Google's problem with operating systems with android is there's too many versions in use all the time
[00:59:50.400 --> 00:59:54.000]   Um, maybe this is one way they can push that along
[00:59:54.000 --> 01:00:00.160]   But i'm assuming that you know, that's only i'm looking at the graph here that uh shows the the usage
[01:00:00.160 --> 01:00:04.560]   It looks like there's only 5.9 maybe maybe a total of 13 percent of the
[01:00:04.560 --> 01:00:09.600]   Of the user base is using ice cream sandwich and below but that's tens of millions of people
[01:00:09.600 --> 01:00:12.800]   It's a lot of people but i thought it was going to be a lot higher than i so
[01:00:12.800 --> 01:00:14.800]   I'm surprised it's that low that's good
[01:00:14.800 --> 01:00:18.960]   And maybe those people will finally get a new phone well or just switch to dolphin or
[01:00:18.960 --> 01:00:21.600]   One of the other right you could use another browser
[01:00:21.600 --> 01:00:23.040]   You don't have to use chrome right?
[01:00:23.040 --> 01:00:25.200]   Problem is they don't they're not going to know that right? Yeah
[01:00:25.200 --> 01:00:29.520]   uh by the way htc is making a
[01:00:30.480 --> 01:00:52.400]   Virtual reality head so we talked about the g
[01:00:52.400 --> 01:00:57.680]   With this this is a true standalone it's like the oculus rift and stone screens and all that stuff
[01:00:57.680 --> 01:01:00.240]   You know it makes it more expensive
[01:01:00.240 --> 01:01:02.240]   You're the gamers i'm not
[01:01:02.240 --> 01:01:04.800]   Is is this stuff going to be a big market? No
[01:01:04.800 --> 01:01:08.000]   But i'm i'm alone in saying that
[01:01:08.000 --> 01:01:10.480]   Look, what do you think you're no i mean i i
[01:01:10.480 --> 01:01:16.800]   There's potential here and i think that's why everybody's into it right and there's potential facebook spent billions to acquire
[01:01:17.360 --> 01:01:20.720]   This rift yeah sam's doing it htc's doing it
[01:01:20.720 --> 01:01:28.400]   Here's my take on it it is for gaming i guess because it's immersive and in games you do want to mark you want to when you're playing call do you
[01:01:28.400 --> 01:01:30.400]   Want to be on the battlefield
[01:01:30.400 --> 01:01:37.200]   But we talked about this one with us weekly i'm so much more excited about hollow lens and augmented reality and google by the way has a solution for that
[01:01:37.200 --> 01:01:45.120]   Um they've acquired companies and they're developing very rapidly an augmented reality solution augmented reality means you still see the world around you
[01:01:45.440 --> 01:01:52.400]   But superimposed upon it in the glasses right are things whether they're menu items controls a game you're playing
[01:01:52.400 --> 01:01:58.240]   Um and i like that more like a heads-up display and also able to see infinitely right i mean you can see
[01:01:58.240 --> 01:02:05.600]   Infinitely i was just talking to some friends of mine from our local makerspace and they're actually uh their company designs
[01:02:05.600 --> 01:02:10.480]   They've they've worked on the james web telescope and and some other things so they're they're into
[01:02:11.600 --> 01:02:14.240]   ocular technology right and they were saying that the
[01:02:14.240 --> 01:02:20.480]   You know the true the benefit here is more in the heads-up display and the in the ability to look out infinitely
[01:02:20.480 --> 01:02:26.320]   I think so um as opposed to these you know oculus rift type things that are a little bit limited and make you sick
[01:02:26.320 --> 01:02:32.480]   Make you sick and they seal you in a room where you just you know you go to another place and you're sitting there a sitting duck
[01:02:32.480 --> 01:02:37.280]   For burglars. Mm-hmm. I don't like that. I don't know why i'm so proud
[01:02:39.520 --> 01:02:43.600]   This is a deal with valve that they're doing and these are 1080 dual 1080p screens
[01:02:43.600 --> 01:02:45.600]   Which are more than we've seen so far
[01:02:45.600 --> 01:02:51.840]   And yeah, nicholia didn't gadget actually had a pretty great review of it today and just explained her entire experience with it
[01:02:51.840 --> 01:02:54.320]   And you read that get sick?
[01:02:54.320 --> 01:02:59.840]   No, she didn't get sick in fact she walked away from it and basically said this device has convinced me on vr
[01:02:59.840 --> 01:03:04.240]   I was very skeptical going in and this particular experience is vr done right
[01:03:04.240 --> 01:03:07.680]   Which is so much just that when they saw the oculus rift right?
[01:03:08.000 --> 01:03:12.960]   But but you know the oculus rift also, I mean from what I understand kind of a lower res
[01:03:12.960 --> 01:03:17.120]   Display and I think as far as vr is concerned
[01:03:17.120 --> 01:03:21.840]   It's all about immersion and being able to escape your reality right or something else
[01:03:21.840 --> 01:03:27.040]   If you can get that view to be as clear and crisp as it sounds like we're kind of heading
[01:03:27.040 --> 01:03:32.720]   Then it becomes a pretty revolutionary step I think in in the success of this type of technology
[01:03:32.720 --> 01:03:35.920]   I think it says something too that the fact that valve has bought into this right
[01:03:36.000 --> 01:03:38.720]   I mean because they've been investigating this type of technology for years
[01:03:38.720 --> 01:03:43.920]   And the fact that they've chosen to maybe you know put the with their skin in the game with this device
[01:03:43.920 --> 01:03:47.040]   I obviously interesting is valve
[01:03:47.040 --> 01:03:53.120]   Jerry Ellsworth was working for valve when she created their cast AR which is an augmented reality
[01:03:53.120 --> 01:03:59.200]   Yeah, gaming solution and when she was fired from valve along with lots of other people
[01:03:59.200 --> 01:04:03.440]   She went to gave no one said can I keep cast AR and she and he said yeah
[01:04:04.000 --> 01:04:05.360]   We don't want it
[01:04:05.360 --> 01:04:09.920]   So valve probably at that point had made the decision. We're not going to go for augmented reality
[01:04:09.920 --> 01:04:11.280]   We're going to go for virtually
[01:04:11.280 --> 01:04:16.960]   And I think vr makes sense in gaming. I do think it's makes sense in it because it's an immersive thing although
[01:04:16.960 --> 01:04:21.360]   Minecraft in the holland's looked pretty dang awesome
[01:04:21.360 --> 01:04:25.760]   Um, so htc and valve are making the vibe
[01:04:25.760 --> 01:04:29.120]   Be interesting to play. I mean, I'd be fun to play portal
[01:04:29.120 --> 01:04:33.600]   Yeah, uh in this thing. We're going to skip the xfinity ad here real quickly
[01:04:34.320 --> 01:04:37.360]   Given that the Comcast is killing our bandwidth today
[01:04:37.360 --> 01:04:40.960]   Uh, let's see
[01:04:40.960 --> 01:04:43.520]   I mean vr could be as big of a
[01:04:43.520 --> 01:04:49.360]   As big of a deal as gaming kind of has been right gaming has always been for the for the longest time
[01:04:49.360 --> 01:04:51.920]   It's been this kind of passion passionate
[01:04:51.920 --> 01:04:56.800]   Uh, you know, a section of technology that a good number of people are into but you know
[01:04:56.800 --> 01:05:01.840]   It's just the kids they're into the gaming and blah blah and now it's it's overwhelmingly mainstream
[01:05:02.480 --> 01:05:05.360]   vr has be more too like you could go to paris
[01:05:05.360 --> 01:05:11.520]   You could yeah, yeah, and that would be neat. I just huge gaming a peripheral
[01:05:11.520 --> 01:05:14.720]   Well, it's also going to be expensive right now
[01:05:14.720 --> 01:05:17.680]   I've broken the stream
[01:05:17.680 --> 01:05:22.960]   Somehow broke. I mean ultimately we all want the holodeck right. I mean that's not how that would be vr
[01:05:22.960 --> 01:05:26.160]   Yeah, except wait a minute. Well, no way it could be a are well
[01:05:26.160 --> 01:05:29.360]   Well, would it because the holodeck you're in it you're in it
[01:05:30.000 --> 01:05:36.000]   And you're moving around in it and it was a room right it wasn't a you weren't you weren't lying in a chair with a helmet on
[01:05:36.000 --> 01:05:41.680]   Right, right. You were physically moving through space. Right. So it's the technology doesn't exist is what it just doesn't exist yet
[01:05:41.680 --> 01:05:43.680]   But I think ar is closer though, right?
[01:05:43.680 --> 01:05:47.600]   Because ar can take those lines on the wall and then paint over those with something
[01:05:47.600 --> 01:05:53.440]   Different, right? I think the really ultimately vr isn't gonna work until you jack in
[01:05:53.440 --> 01:05:56.000]   Yeah, if I can jack into the meta
[01:05:56.880 --> 01:06:00.240]   Then maybe I'll play your silly little game
[01:06:00.240 --> 01:06:05.520]   This is pretty interesting though also to see htc kind of spreading its wings a little bit
[01:06:05.520 --> 01:06:07.840]   Right being like, you know, we've we've kind of struggled
[01:06:07.840 --> 01:06:12.560]   We've made great hardware people love us for our hardware, but we've still ended up struggling in the smartphone
[01:06:12.560 --> 01:06:14.720]   Tablet space
[01:06:14.720 --> 01:06:21.120]   Let's try this new kind of emerging trend right now and just make it specta you know partner with uh valve, which they've done
[01:06:21.120 --> 01:06:23.600]   um interesting stuff
[01:06:23.600 --> 01:06:25.600]   What do you guys think of the new google campus?
[01:06:26.640 --> 01:06:29.600]   Are you excited about it or I want to go there?
[01:06:29.600 --> 01:06:38.880]   Isn't jeff isn't there kind of an axiom in the business that when you start building the massive corporate headquarters
[01:06:38.880 --> 01:06:42.400]   That's the sign that it's the beginning of the end well apple too
[01:06:42.400 --> 01:06:47.040]   Um, you know what what you know what kind of bothered me though leo
[01:06:47.040 --> 01:06:50.480]   Is that i've been in the buildings there are absolutely fine buildings
[01:06:50.480 --> 01:06:54.160]   Those buildings they work many years the waste of creating
