;FFMETADATA1
title=Gelato in Perugia With Craig
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=504
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.200]   It's time for Twig!
[01:02:38.440 --> 01:02:41.840]   where I said, you know, we keep on going to you guys and saying, clean up the content
[01:02:41.840 --> 01:02:42.840]   world.
[01:02:42.840 --> 01:02:44.240]   We won't clean it up ourselves.
[01:02:44.240 --> 01:02:45.240]   Right?
[01:02:45.240 --> 01:02:49.240]   There's a big standards effort in journalism and who's in the room.
[01:02:49.240 --> 01:02:52.320]   RT, European broadcasters union, who's on stage?
[01:02:52.320 --> 01:02:54.400]   RT digital content.
[01:02:54.400 --> 01:02:55.920]   Next, who's a member?
[01:02:55.920 --> 01:02:57.400]   Fox News.
[01:02:57.400 --> 01:03:03.600]   And and forgetting trying to smash Fox News because they do good things and bad things.
[01:03:03.600 --> 01:03:04.760]   So does the New York Times.
[01:03:04.760 --> 01:03:06.520]   So does every organization.
[01:03:06.520 --> 01:03:09.680]   We don't criticize our own field.
[01:03:09.680 --> 01:03:12.920]   We don't hold ourselves to account in our own field anyway.
[01:03:12.920 --> 01:03:15.640]   And we and we're expecting the platforms to know best.
[01:03:15.640 --> 01:03:17.200]   They don't know what quality is.
[01:03:17.200 --> 01:03:18.200]   They don't know what journalism is.
[01:03:18.200 --> 01:03:19.200]   They have no idea.
[01:03:19.200 --> 01:03:20.840]   But we will do it ourselves.
[01:03:20.840 --> 01:03:26.960]   You know, and I'm starting to think that it's time for the anti Pulitzer.
[01:03:26.960 --> 01:03:32.760]   By the way, congratulations to the Pulitzer Pulitzer's.
[01:03:32.760 --> 01:03:37.200]   Some really good work done in the Pulitzer's rewarded yesterday.
[01:03:37.200 --> 01:03:40.400]   I did not get one.
[01:03:40.400 --> 01:03:41.400]   You did not.
[01:03:41.400 --> 01:03:42.400]   Oh, yeah.
[01:03:42.400 --> 01:03:43.400]   South Florida, South Sentinel.
[01:03:43.400 --> 01:03:44.400]   Another year.
[01:03:44.400 --> 01:03:48.680]   Got one for their coverage of the Marjorie Stoneman Douglas High School shooting.
[01:03:48.680 --> 01:03:52.400]   Pittsburgh Post Gazette.
[01:03:52.400 --> 01:03:53.840]   We know what happened in Pittsburgh.
[01:03:53.840 --> 01:03:59.640]   It's a shame that seems like the best way to get a Pulitzer is to cover a mass shooting.
[01:03:59.640 --> 01:04:00.640]   Yeah.
[01:04:00.640 --> 01:04:06.840]   University of Southern California gynecologist George Tindall, who sexually abused hundreds
[01:04:06.840 --> 01:04:10.920]   of students at the campus clinic, the coverage in the LA Times of that.
[01:04:10.920 --> 01:04:12.680]   That definitely deserved an award.
[01:04:12.680 --> 01:04:18.120]   I really liked the New York Times investigation of Trump's finances.
[01:04:18.120 --> 01:04:20.520]   That was a really great piece that the Times.
[01:04:20.520 --> 01:04:22.080]   I worked with Suzanne Craig.
[01:04:22.080 --> 01:04:23.080]   Did you?
[01:04:23.080 --> 01:04:24.080]   At the Globe and Mail, yeah.
[01:04:24.080 --> 01:04:25.080]   Nice.
[01:04:25.080 --> 01:04:27.880]   David Barstow, Suzanne Craig, and Russ Buttoner, Butner.
[01:04:27.880 --> 01:04:30.080]   18 months.
[01:04:30.080 --> 01:04:34.720]   This is why journalism is expensive and hard to do well.
[01:04:34.720 --> 01:04:38.760]   And I don't think the Pulitzer pays you back, but I'm sure the Times is glad to celebrate.
[01:04:38.760 --> 01:04:42.120]   18 months, they worked on that.
[01:04:42.120 --> 01:04:44.080]   So.
[01:04:44.080 --> 01:04:48.840]   It's for fun. I looked into how you're supposed to pronounce it.
[01:04:48.840 --> 01:04:49.840]   Pulitzer.
[01:04:49.840 --> 01:04:50.840]   Pulitzer.
[01:04:50.840 --> 01:04:51.840]   Yeah.
[01:04:51.840 --> 01:04:52.840]   Lots of people say Pulitzer.
[01:04:52.840 --> 01:04:53.840]   Yeah.
[01:04:53.840 --> 01:04:54.840]   It's not Pew.
[01:04:54.840 --> 01:04:55.840]   The Pulitzer's never liked it when people said Pulitzer.
[01:04:55.840 --> 01:04:56.840]   Right.
[01:04:56.840 --> 01:04:59.320]   Is it is it ProPublica or?
[01:04:59.320 --> 01:05:00.320]   Good question.
[01:05:00.320 --> 01:05:01.320]   That I don't know.
[01:05:01.320 --> 01:05:03.400]   I that's a good I say ProPublica.
[01:05:03.400 --> 01:05:04.400]   Yeah.
[01:05:04.400 --> 01:05:05.400]   Yeah.
[01:05:05.400 --> 01:05:06.400]   Publica who says Publica.
[01:05:06.400 --> 01:05:07.400]   Publica.
[01:05:07.400 --> 01:05:08.400]   How about Publica?
[01:05:08.400 --> 01:05:09.400]   Definitely.
[01:05:09.400 --> 01:05:16.400]   Definitely wrong.
[01:05:16.400 --> 01:05:21.640]   And we're Pulitzer's Pulitzer.
[01:05:21.640 --> 01:05:22.640]   Pulitzer.
[01:05:22.640 --> 01:05:24.400]   Because Lily, Pulitzer, Puts.
[01:05:24.400 --> 01:05:25.400]   Puts.
[01:05:25.400 --> 01:05:27.240]   It's more like Paul, I think.
[01:05:27.240 --> 01:05:29.240]   Pulitzer Pulitzer Pulitzer.
[01:05:29.240 --> 01:05:30.240]   Pulitzer.
[01:05:30.240 --> 01:05:31.240]   Publica.
[01:05:31.240 --> 01:05:32.240]   That's maybe a matter of accident.
[01:05:32.240 --> 01:05:33.240]   Yeah.
[01:05:33.240 --> 01:05:34.240]   For Boston.
[01:05:34.240 --> 01:05:35.640]   If I ever get one, I'll know how to pronounce it.
[01:05:35.640 --> 01:05:37.680]   Yeah, you'll learn.
[01:05:37.680 --> 01:05:40.760]   Let's pronounce the Nobel Prize.
[01:05:40.760 --> 01:05:45.840]   Actually, I was looking at the YouTube metrics.
[01:05:45.840 --> 01:05:47.160]   They do have a lot of signals.
[01:05:47.160 --> 01:05:50.600]   Of course, they have the like buttons and they have the, you know, they have a lot, but
[01:05:50.600 --> 01:05:52.160]   they do do surveys as well.
[01:05:52.160 --> 01:05:53.160]   They do.
[01:05:53.160 --> 01:05:54.160]   They do.
[01:05:54.160 --> 01:05:55.160]   Yeah.
[01:05:55.160 --> 01:06:03.760]   Well, as long as we're talking about Facebook, we kind of mentioned this piece in Wired.
[01:06:03.760 --> 01:06:09.040]   Scandals, backstabbing, resignations, reboots, record profits and time bombs.
[01:06:09.040 --> 01:06:10.040]   Mm-hmm.
[01:06:10.040 --> 01:06:11.040]   15 months of--
[01:06:11.040 --> 01:06:12.040]   I didn't get through it all yet.
[01:06:12.040 --> 01:06:13.040]   No, it's very long.
[01:06:13.040 --> 01:06:18.560]   It's as long as the 15 months of fresh, shell inside Facebook.
[01:06:18.560 --> 01:06:19.560]   It is a good piece.
[01:06:19.560 --> 01:06:23.400]   Nicholas Thompson and Fred Vogelstein writing in the business section of Wired.
[01:06:23.400 --> 01:06:27.520]   I was there really interesting reportage in Davos last year.
[01:06:27.520 --> 01:06:28.520]   Oh, yeah.
[01:06:28.520 --> 01:06:33.280]   I was at an event where he cornered Cheryl for quite a long time.
[01:06:33.280 --> 01:06:34.280]   Interesting.
[01:06:34.280 --> 01:06:40.800]   It is kind of interesting how, think about how Wired was covering Facebook and Google,
[01:06:40.800 --> 01:06:45.200]   not that long ago, you know, a few years ago, maybe.
[01:06:45.200 --> 01:06:47.200]   It's been quite a turnaround.
[01:06:47.200 --> 01:06:50.400]   No, but Nick's been, Nick has been reasonable.
[01:06:50.400 --> 01:06:52.400]   Yeah, no, I'm not talking about Nick.
[01:06:52.400 --> 01:06:53.400]   He means, yeah.
[01:06:53.400 --> 01:06:54.400]   That's cool.
[01:06:54.400 --> 01:06:55.400]   Right.
[01:06:55.400 --> 01:06:56.400]   I mean, he's been--
[01:06:56.400 --> 01:06:57.400]   He's been a good streak quality.
[01:06:57.400 --> 01:07:01.920]   Well, I have to say though, I'm going to reiterate something I started to kind of say earlier,
[01:07:01.920 --> 01:07:06.680]   which is if you'd want to defend the internet, you need to also not only defend it against
[01:07:06.680 --> 01:07:10.240]   moral panic and bad governments, but you need to also defend it against bad actors on
[01:07:10.240 --> 01:07:11.240]   the internet.
[01:07:11.240 --> 01:07:12.240]   Yeah.
[01:07:12.240 --> 01:07:14.560]   They do more damage than anybody.
[01:07:14.560 --> 01:07:19.280]   And I would argue that Mark Zuckerberg's primary motivating goal is to become the internet.
[01:07:19.280 --> 01:07:20.280]   Yeah.
[01:07:20.280 --> 01:07:25.560]   And in some countries like Myanmar and Cambodia and the Philippines, Facebook is the internet.
[01:07:25.560 --> 01:07:29.000]   And that's not good, I would argue.
[01:07:29.000 --> 01:07:32.160]   And countries like China, the government is the internet.
[01:07:32.160 --> 01:07:33.240]   Yeah, also not good.
[01:07:33.240 --> 01:07:37.320]   It's not hard to hear the choice, you might say.
[01:07:37.320 --> 01:07:39.600]   Yes, literally.
[01:07:39.600 --> 01:07:42.880]   So why won't be part of the internet resistance?
[01:07:42.880 --> 01:07:45.280]   I can't even scroll through the whole article, let alone read it.
[01:07:45.280 --> 01:07:47.520]   I want to be part of the planetary internet.
[01:07:47.520 --> 01:07:48.520]   Wherever John--
[01:07:48.520 --> 01:07:52.560]   Wherever John will live on Google Island, let's be honest.
[01:07:52.560 --> 01:07:56.200]   Wherever John Perry Barlow is, that's where I want to be.
[01:07:56.200 --> 01:07:57.200]   Yeah.
[01:07:57.200 --> 01:07:58.560]   It's good music, that's for sure.
[01:07:58.560 --> 01:07:59.560]   Yeah.
[01:07:59.560 --> 01:08:03.440]   There was some interesting stuff in that piece though, the wired one.
[01:08:03.440 --> 01:08:04.440]   In particular--
[01:08:04.440 --> 01:08:06.480]   It wasn't a rehash of everything we already know.
[01:08:06.480 --> 01:08:10.000]   Well, there was some, but there was more detail about different things.
[01:08:10.000 --> 01:08:15.160]   So there was a lot more detail about why the guys at Instagram left.
[01:08:15.160 --> 01:08:19.160]   There was-- and we've read a little bit about that, but there was more detail about kind
[01:08:19.160 --> 01:08:21.120]   of how things worked out.
[01:08:21.120 --> 01:08:28.160]   Basically, from the sounds of it, Mark decided to-- that Instagram was effectively
[01:08:28.160 --> 01:08:29.680]   competing with Facebook.
[01:08:29.680 --> 01:08:36.720]   And so he removed a lot of the growth drivers and connections that were helping Instagram.
[01:08:36.720 --> 01:08:42.240]   And then he introduced things that the Instagram guys had always resisted, like hamburger menus
[01:08:42.240 --> 01:08:44.600]   and stuff like that.
[01:08:44.600 --> 01:08:48.560]   Did they imply that he put in hamburger menus to reduce the growth?
[01:08:48.560 --> 01:08:52.320]   Because that would be an interesting use of hamburger menus.
[01:08:52.320 --> 01:08:57.800]   No, they did imply though they suggested that Kevin's system thought some of these changes
[01:08:57.800 --> 01:09:00.040]   were made deliberately to try and believe--
[01:09:00.040 --> 01:09:01.040]   Oh.
[01:09:01.040 --> 01:09:03.280]   --just to get him mad so that he would quit.
[01:09:03.280 --> 01:09:08.840]   But you can't fault Mark for looking at the overall health of the company instead of just
[01:09:08.840 --> 01:09:09.840]   one division.
[01:09:09.840 --> 01:09:10.840]   Of course not.
[01:09:10.840 --> 01:09:11.840]   That's kind of his job.
[01:09:11.840 --> 01:09:15.160]   And it's very similar to what happened with the WhatsApp guys.
[01:09:15.160 --> 01:09:16.160]   Right.
[01:09:16.160 --> 01:09:17.160]   They almost did that.
[01:09:17.160 --> 01:09:18.160]   Great.
[01:09:18.160 --> 01:09:19.160]   Yeah.
[01:09:19.160 --> 01:09:21.560]   Facebook said, look, we're going to do a bunch of stuff.
[01:09:21.560 --> 01:09:24.480]   And I know we said we weren't going to do that, but now we are.
[01:09:24.480 --> 01:09:25.480]   Right.
[01:09:25.480 --> 01:09:26.480]   So long.
[01:09:26.480 --> 01:09:27.480]   Mark's a brick spill.
[01:09:27.480 --> 01:09:28.480]   Mark's a brick spill.
[01:09:28.480 --> 01:09:30.480]   Mark's a very famous leaf for years.
[01:09:30.480 --> 01:09:32.800]   Does it still say I'm CEO, bitch?
[01:09:32.800 --> 01:09:33.800]   No.
[01:09:33.800 --> 01:09:34.800]   He got rid of it.
[01:09:34.800 --> 01:09:35.800]   Oh.
[01:09:35.800 --> 01:09:36.800]   Yeah.
[01:09:36.800 --> 01:09:37.800]   Somebody suggested in the chatroom his card should read.
[01:09:37.800 --> 01:09:40.840]   I'm the internet now, bitch.
[01:09:40.840 --> 01:09:43.240]   Those cards are in a locker along with his flip-flops.
[01:09:43.240 --> 01:09:44.240]   Yeah.
[01:09:44.240 --> 01:09:45.240]   And his hoodies.
[01:09:45.240 --> 01:09:46.240]   No.
[01:09:46.240 --> 01:09:47.240]   Mm-hmm.
[01:09:47.240 --> 01:09:48.640]   Should I play the--
[01:09:48.640 --> 01:09:49.640]   What?
[01:09:49.640 --> 01:09:50.640]   The movie?
[01:09:50.640 --> 01:09:53.240]   The current sweatshirt interview?
[01:09:53.240 --> 01:09:54.240]   No.
[01:09:54.240 --> 01:09:55.240]   This is--
[01:09:55.240 --> 01:09:56.240]   This is--
[01:09:56.240 --> 01:09:57.240]   Hey, everyone.
[01:09:57.240 --> 01:10:00.360]   This is a song we are live from my backyard.
[01:10:00.360 --> 01:10:01.960]   Song of why this.
[01:10:01.960 --> 01:10:03.880]   [MUSIC PLAYING]
[01:10:03.880 --> 01:10:24.520]   This song is from the live stream.
[01:10:24.520 --> 01:10:28.240]   It's from his backyard when Saturday afternoon.
[01:10:28.240 --> 01:10:30.360]   Molly was smoking meat.
[01:10:30.360 --> 01:10:35.480]   Totally realistic looking backyard, right?
[01:10:35.480 --> 01:10:37.120]   I think it's a set.
[01:10:37.120 --> 01:10:38.120]   I think it's a set.
[01:10:38.120 --> 01:10:39.120]   Totally a set.
[01:10:39.120 --> 01:10:40.120]   Totally a set.
[01:10:40.120 --> 01:10:41.640]   There's the extra coming in.
[01:10:41.640 --> 01:10:46.320]   Someone's going to push the fence over the boom mic.
[01:10:46.320 --> 01:10:49.960]   I think they did this song off by this case.
[01:10:49.960 --> 01:10:50.960]   Oh, no.
[01:10:50.960 --> 01:10:52.880]   My face was someone--
[01:10:52.880 --> 01:10:53.880]   I am a human being.
[01:10:53.880 --> 01:10:54.880]   Enjoy.
[01:10:54.880 --> 01:10:55.880]   This is actually a good part.
[01:10:55.880 --> 01:10:56.880]   Show this part.
[01:10:56.880 --> 01:10:57.880]   This is pretty funny.
[01:10:57.880 --> 01:10:58.880]   Oh, no.
[01:10:58.880 --> 01:10:59.880]   It seems I was daydreaming again.
[01:10:59.880 --> 01:11:02.880]   That's why I made clear that you have had subpoenas.
[01:11:02.880 --> 01:11:04.720]   Is that correct?
[01:11:04.720 --> 01:11:12.520]   Mr. Zuckerberg, what is Facebook doing to prevent foreign actors from interfering in
[01:11:12.520 --> 01:11:13.520]   US elections?
[01:11:13.520 --> 01:11:17.120]   We are smoking meat, meat like a brisket.
[01:11:17.120 --> 01:11:18.720]   I'm making meat now.
[01:11:18.720 --> 01:11:19.720]   I'm sorry.
[01:11:19.720 --> 01:11:21.520]   There's no reason to play it.
[01:11:21.520 --> 01:11:22.520]   We're going to be delicious.
[01:11:22.520 --> 01:11:23.520]   Yeah, fuck me.
[01:11:23.520 --> 01:11:28.120]   That's a little time to go out.
[01:11:28.120 --> 01:11:29.960]   But I do enjoy it.
[01:11:29.960 --> 01:11:30.960]   I do enjoy it.
[01:11:30.960 --> 01:11:35.160]   It always seems like a sort of poorly programmed Android show.
[01:11:35.160 --> 01:11:38.120]   I'm frittin' out a little bit.
[01:11:38.120 --> 01:11:42.720]   The reason I thought of that is because in the song he says, "I'm wearing my weekend
[01:11:42.720 --> 01:11:44.600]   purple t-shirt.
[01:11:44.600 --> 01:11:46.440]   At work I wear my green t-."
[01:11:46.440 --> 01:11:48.080]   Oh.
[01:11:48.080 --> 01:11:50.000]   That's what made me think of it.
[01:11:50.000 --> 01:11:51.600]   I think that's old anyway.
[01:11:51.600 --> 01:11:52.680]   Sorry, I even brought it up.
[01:11:52.680 --> 01:11:55.280]   It has no news benefit whatsoever.
[01:11:55.280 --> 01:11:56.280]   Yeah, it's fine.
[01:11:56.280 --> 01:11:57.280]   Sorry.
[01:11:57.280 --> 01:11:58.280]   Yeah.
[01:11:58.280 --> 01:11:59.280]   You're not sorry.
[01:11:59.280 --> 01:12:00.280]   I'm not sorry.
[01:12:00.280 --> 01:12:01.440]   Sorry, not sorry.
[01:12:01.440 --> 01:12:03.280]   What else?
[01:12:03.280 --> 01:12:05.360]   Are we still talking about the word thing?
[01:12:05.360 --> 01:12:06.920]   Yeah, if you want.
[01:12:06.920 --> 01:12:10.280]   Well, the other thing that I thought was interesting, at least, I don't know if anybody
[01:12:10.280 --> 01:12:18.600]   else would be interested, was the sort of drama involving Chris Cox, who was at one time
[01:12:18.600 --> 01:12:21.800]   kind of Mark's right-hand man and effectively man.
[01:12:21.800 --> 01:12:22.800]   Fair hand point.
[01:12:22.800 --> 01:12:24.280]   Most of Facebook, yeah.
[01:12:24.280 --> 01:12:30.920]   And it sounded like there was a pretty significant falling out, in part, because of what Mark
[01:12:30.920 --> 01:12:34.880]   wanted to do with news.
[01:12:34.880 --> 01:12:36.520]   There's a bunch of stuff in there.
[01:12:36.520 --> 01:12:41.720]   And obviously it's a lot of it is hearsay, but it's interesting.
[01:12:41.720 --> 01:12:42.720]   Yeah.
[01:12:42.720 --> 01:12:43.720]   Because that was a pretty big departure.
[01:12:43.720 --> 01:12:46.080]   Yeah, it was a shock when he left.
[01:12:46.080 --> 01:12:47.080]   Mm-hmm.
[01:12:47.080 --> 01:12:51.680]   A lot of people thought he would take over at some point.
[01:12:51.680 --> 01:12:52.680]   Right.
[01:12:52.680 --> 01:12:57.280]   And actually Cox is one of the people who helped Mark get rid of Instagram's system
[01:12:57.280 --> 01:13:03.200]   and slow Instagrams go down south.
[01:13:03.200 --> 01:13:09.280]   The Wired article implies that it was a shift in the power.
[01:13:09.280 --> 01:13:13.640]   Some of the company's most senior executives, notably Chris Cox, thought Facebook needed
[01:13:13.640 --> 01:13:16.920]   to give serious publishers a leg up.
[01:13:16.920 --> 01:13:21.160]   Others pushed back, including Joel Kaplan, a former deputy chief of staff to George W.
[01:13:21.160 --> 01:13:22.160]   Bush.
[01:13:22.160 --> 01:13:23.160]   Facebook's good.
[01:13:23.160 --> 01:13:24.160]   That's the other interesting thing.
[01:13:24.160 --> 01:13:30.720]   So Kaplan's argument apparently was, if we introduce quality rankings, everyone will assume
[01:13:30.720 --> 01:13:31.960]   we're against conservatives.
[01:13:31.960 --> 01:13:36.480]   It says, "Supporting high quality outlets would inevitably make it look like the platform
[01:13:36.480 --> 01:13:38.520]   is supporting liberals."
[01:13:38.520 --> 01:13:40.320]   Which could lead to trouble in Washington and that town.
[01:13:40.320 --> 01:13:41.920]   The member was the guy who sat behind.
[01:13:41.920 --> 01:13:42.920]   He's behind conservatives.
[01:13:42.920 --> 01:13:44.920]   We're right behind Kavanaugh, yeah.
[01:13:44.920 --> 01:13:45.920]   It mentions that too.
[01:13:45.920 --> 01:13:47.800]   It's a reporting form.
[01:13:47.800 --> 01:13:53.240]   But apparently at the end of the climactic meeting on July 9th, Zuckerberg sided with
[01:13:53.240 --> 01:14:00.440]   Kaplan and he tabled the decision about boosting publishers effectively killing the plan to
[01:14:00.440 --> 01:14:01.800]   one person involved in the meeting.
[01:14:01.800 --> 01:14:04.440]   It seemed like a sign of shifting power.
[01:14:04.440 --> 01:14:05.440]   Cox had lost.
[01:14:05.440 --> 01:14:06.440]   Kaplan had won.
[01:14:06.440 --> 01:14:07.440]   And of course the other thing.
[01:14:07.440 --> 01:14:12.000]   The other thing was that news organizations lost big times.
[01:14:12.000 --> 01:14:16.280]   But the other thing they mentioned and I had forgotten about this part was that Chris Cox
[01:14:16.280 --> 01:14:23.960]   apparently was not a fan of the new move towards private encrypted ephemeral messaging.
[01:14:23.960 --> 01:14:26.880]   So he was resisting that.
[01:14:26.880 --> 01:14:28.080]   That was the story we had seen.
[01:14:28.080 --> 01:14:33.240]   Because it came right after Zuckerberg's manifesto about going to Christ in charge of
[01:14:33.240 --> 01:14:36.320]   the Facebook product and all that are represented.
[01:14:36.320 --> 01:14:38.360]   What is that leave?
[01:14:38.360 --> 01:14:40.600]   And by the way, I was all excited about that.
[01:14:40.600 --> 01:14:47.960]   Remember I even reactivated my Facebook account and it's absolutely nothing in that direction.
[01:14:47.960 --> 01:14:52.760]   I now see it as a ruse effectively and I have deactivated.
[01:14:52.760 --> 01:14:55.200]   In fact, deleted my Facebook account.
[01:14:55.200 --> 01:14:57.360]   But I did something the other day.
[01:14:57.360 --> 01:15:01.480]   Remember that when they said they were going to implement some switch where you could clear
[01:15:01.480 --> 01:15:04.960]   your and what was that like it was a year and a half ago?
[01:15:04.960 --> 01:15:07.800]   Tell me once shame on you.
[01:15:07.800 --> 01:15:10.160]   For me twice, I'm leaving Facebook.
[01:15:10.160 --> 01:15:11.600]   For me seven times.
[01:15:11.600 --> 01:15:14.760]   For me every single freaking day.
[01:15:14.760 --> 01:15:16.680]   So maybe I've been fooled again.
[01:15:16.680 --> 01:15:21.000]   Well, they said it was going to take a long time.
[01:15:21.000 --> 01:15:22.520]   Don't leave the.
[01:15:22.520 --> 01:15:24.520]   This is going to take a long time.
[01:15:24.520 --> 01:15:25.520]   We're working on it.
[01:15:25.520 --> 01:15:27.280]   I'll create a new account when we're working on it.
[01:15:27.280 --> 01:15:33.440]   But I did believe this blog post on the Twitter blog when they said we want to make people
[01:15:33.440 --> 01:15:37.840]   feel more safe on Twitter.
[01:15:37.840 --> 01:15:40.400]   Saying that they are going to be more proactive.
[01:15:40.400 --> 01:15:45.360]   In fact, taking action without reports, people who don't feel safe on Twitter shouldn't be
[01:15:45.360 --> 01:15:49.760]   burdened to report abuse to us.
[01:15:49.760 --> 01:15:51.960]   Previously we only reviewed potentially abusive tweets.
[01:15:51.960 --> 01:15:54.440]   If they were reported to us, we know that's not acceptable.
[01:15:54.440 --> 01:15:56.480]   Wow, that's a big change.
[01:15:56.480 --> 01:15:58.080]   So we are making a priority.
[01:15:58.080 --> 01:16:02.520]   We did that earlier this year to take a proactive approach to abuse in addition to relying on
[01:16:02.520 --> 01:16:03.520]   people's.
[01:16:03.520 --> 01:16:05.400]   But is that actually going to change that much?
[01:16:05.400 --> 01:16:10.320]   I mean, lots of the people who've complained about abuse when they flag a tweet.
[01:16:10.320 --> 01:16:13.960]   The response is almost always that doesn't breach our terms and conditions.
[01:16:13.960 --> 01:16:15.960]   Yeah, I saw a shocking one yesterday.
[01:16:15.960 --> 01:16:17.960]   Yeah, I'm some of them are horrible.
[01:16:17.960 --> 01:16:21.080]   And Twitter said, well, it doesn't doesn't violate it.
[01:16:21.080 --> 01:16:26.720]   I mean, that's the problem, not their ability to kind of do it in advance or wait for you
[01:16:26.720 --> 01:16:27.720]   to flag.
[01:16:27.720 --> 01:16:29.920]   It's the criteria they're using.
[01:16:29.920 --> 01:16:33.840]   They say this time last year, zero percent of potentially abusive content was flagged
[01:16:33.840 --> 01:16:34.840]   to our teams.
[01:16:34.840 --> 01:16:37.240]   I think that's too low a number.
[01:16:37.240 --> 01:16:42.600]   Today by using technology, 38 percent of abusive content that's enforced is surfaced
[01:16:42.600 --> 01:16:44.480]   proactively for human technology.
[01:16:44.480 --> 01:16:45.960]   Technology.
[01:16:45.960 --> 01:16:49.960]   We're using technology to keep people safe.
[01:16:49.960 --> 01:16:53.720]   So I reactivate my Twitter account because if that's true, if they if they.
[01:16:53.720 --> 01:16:56.520]   Well, I thought, you know, here's one way to find out.
[01:16:56.520 --> 01:16:57.520]   All right.
[01:16:57.520 --> 01:17:02.120]   I'm going to put my big fat butt on Twitter and see what happens.
[01:17:02.120 --> 01:17:06.600]   Yeah, because you actually I was shocked that you retweeted the Dean's tweet.
[01:17:06.600 --> 01:17:12.240]   Yeah, I thought, well, let's see if they if they're serious about reducing abuse.
[01:17:12.240 --> 01:17:13.240]   Hmm.
[01:17:13.240 --> 01:17:18.080]   Because you know, and somewhere somewhere there's an algorithm that says it's like the old
[01:17:18.080 --> 01:17:22.560]   debtor Canadian is Leo here is Leo not Leo here is Leo not.
[01:17:22.560 --> 01:17:23.560]   Yeah.
[01:17:23.560 --> 01:17:27.000]   Even my wife was shocked to see me tweeting.
[01:17:27.000 --> 01:17:30.320]   Jack Dorsey suggests his big change for Twitter.
[01:17:30.320 --> 01:17:32.320]   Oh, this piss people off.
[01:17:32.320 --> 01:17:36.080]   This is people off in a switch so you can follow topics.
[01:17:36.080 --> 01:17:37.080]   Yeah.
[01:17:37.080 --> 01:17:38.560]   None of those individuals.
[01:17:38.560 --> 01:17:42.920]   He suggests a fundamental change to the social network in which users would follow topics
[01:17:42.920 --> 01:17:44.520]   instead of individuals.
[01:17:44.520 --> 01:17:47.040]   They are an interest based network.
[01:17:47.040 --> 01:17:52.720]   So you'll see content from anyone sharing the same interest as opposed to and by the
[01:17:52.720 --> 01:17:53.920]   way, this just.
[01:17:53.920 --> 01:17:57.360]   This is just the discover tab, right?
[01:17:57.360 --> 01:18:01.400]   Basically, which I never use, which no one ever uses.
[01:18:01.400 --> 01:18:02.400]   Yeah.
[01:18:02.400 --> 01:18:03.400]   Yeah.
[01:18:03.400 --> 01:18:08.120]   So what amazes me is whenever Jack talks, like forget about the wardrobe and all that
[01:18:08.120 --> 01:18:10.280]   forget about the meditating and we're dying.
[01:18:10.280 --> 01:18:11.280]   Yeah, right.
[01:18:11.280 --> 01:18:17.920]   I mean, the thing that always strikes me is it's like a guy who has never used his own
[01:18:17.920 --> 01:18:23.800]   product product is talking like it's like the guy off the street and asked him about
[01:18:23.800 --> 01:18:25.720]   what they should do about Twitter.
[01:18:25.720 --> 01:18:27.120]   It's mind boggling.
[01:18:27.120 --> 01:18:28.960]   I have a lot of respect for Jack Dorsey.
[01:18:28.960 --> 01:18:36.120]   I think he's created some very amazing things, including Square.
[01:18:36.120 --> 01:18:37.120]   Maybe he doesn't use Twitter.
[01:18:37.120 --> 01:18:38.120]   I don't know.
[01:18:38.120 --> 01:18:39.120]   Maybe he doesn't.
[01:18:39.120 --> 01:18:40.120]   Maybe he shouldn't.
[01:18:40.120 --> 01:18:44.760]   He's experienced Twitter is inevitably different from any other person's experience.
[01:18:44.760 --> 01:18:47.000]   There's experience of everything is different.
[01:18:47.000 --> 01:18:48.000]   Yes.
[01:18:48.000 --> 01:18:49.000]   Life.
[01:18:49.000 --> 01:18:50.000]   And his life is diet.
[01:18:50.000 --> 01:18:51.000]   Isn't that weird?
[01:18:51.000 --> 01:18:52.000]   It's normal to fast.
[01:18:52.000 --> 01:18:53.000]   That's normal.
[01:18:53.000 --> 01:18:55.000]   Anyway, that's you saying that.
[01:18:55.000 --> 01:18:57.880]   You are not the judge of weird diets.
[01:18:57.880 --> 01:19:00.680]   Would you like a cupcake, Jeff?
[01:19:00.680 --> 01:19:01.800]   I'm only all cupcake.
[01:19:01.800 --> 01:19:06.640]   By the way, I have been handed a pocket protector.
[01:19:06.640 --> 01:19:12.360]   Apparently I offended my staff that I might get my pen on my nice shirt.
[01:19:12.360 --> 01:19:13.800]   So I have my ZD TV.
[01:19:13.800 --> 01:19:14.800]   ZD.
[01:19:14.800 --> 01:19:15.800]   Yeah.
[01:19:15.800 --> 01:19:16.800]   Or ZD as we call it.
[01:19:16.800 --> 01:19:18.240]   A fed D TV.
[01:19:18.240 --> 01:19:22.400]   And by the way, as soon as we found that out, we changed the name.
[01:19:22.400 --> 01:19:29.280]   Things call it what?
[01:19:29.280 --> 01:19:30.280]   Anything else?
[01:19:30.280 --> 01:19:31.280]   What else should we talk about?
