;FFMETADATA1
title=Google Forked Itself
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=285
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.200]   It's time for Twig this week in Google Danny Sullivan and Jeff Jarvis are here
[00:47:45.800 --> 00:47:48.680]   We don't know exactly how much but something like half
[00:47:49.560 --> 00:47:53.000]   And and in this case they're leveraging content id
[00:47:53.000 --> 00:47:57.240]   To strong arm somebody into assigning rights over to you
[00:47:57.240 --> 00:48:01.560]   I mean the issue is if if google wanted to offer an exclusive deal with with with
[00:48:01.560 --> 00:48:06.040]   improved shares and better benefits fine offer that
[00:48:06.040 --> 00:48:12.200]   but but to to strong arm from position of strength and say
[00:48:12.200 --> 00:48:17.400]   It's exclusive or nothing. That's like an old hollywood studio. That's not what we want in this world
[00:48:18.040 --> 00:48:20.040]   So I don't know what's true here
[00:48:20.040 --> 00:48:25.320]   Uh at the end of the day. I think i'm sensing from the guardian articles that
[00:48:25.320 --> 00:48:33.080]   No matter what happened in the negotiations prior to this youtube is starting to see that they're not necessarily in the best position
[00:48:33.080 --> 00:48:35.560]   So maybe the good will come out of this. I think it will
[00:48:35.560 --> 00:48:39.800]   Because i'm plus le for for being open about this. It's wildly complex
[00:48:39.800 --> 00:48:45.560]   Uh, you can't figure this out and there's no reason to end up at war with artists here
[00:48:45.800 --> 00:48:50.360]   Their desire in the end is is the contrary their desire is to have tons of artists come on youtube
[00:48:50.360 --> 00:48:52.520]   And succeed
[00:48:52.520 --> 00:48:57.480]   You nail it with the old media because the old media really sees content creators as uh
[00:48:57.480 --> 00:49:02.920]   A gold mine to be mine, you know as a as a field to be plowed
[00:49:02.920 --> 00:49:08.600]   Uh not as partners in any sense of the word. They're just you know, they're good for making us money until they're not
[00:49:08.600 --> 00:49:11.080]   There's always been and i'm has a long time
[00:49:11.800 --> 00:49:16.360]   Player and old media. I know this there's always been this antipathy between
[00:49:16.360 --> 00:49:19.640]   The owners and the content creators
[00:49:19.640 --> 00:49:22.200]   And if you know they don't like you
[00:49:22.200 --> 00:49:26.680]   And they're they're like you just long enough for you to make a money and after that they get rid of you as quick as they can
[00:49:26.680 --> 00:49:29.560]   And I would hate for youtube to be the uh to treat
[00:49:29.560 --> 00:49:32.040]   Creators that way
[00:49:32.040 --> 00:49:35.560]   They've certainly made noises in the opposite direction, but then now it looks like they're not
[00:49:36.600 --> 00:49:43.640]   At dld I interviewed samir aurora who's the ceo of of what is now called mode media, which part of which is glam
[00:49:43.640 --> 00:49:50.760]   And and i'll make this as short as I can glam is has become a seventh largest web property out there in full disclosure
[00:49:50.760 --> 00:49:52.760]   i've over the time
[00:49:52.760 --> 00:49:54.360]   advised glam
[00:49:54.360 --> 00:49:55.240]   And
[00:49:55.240 --> 00:50:00.520]   Who samir did this really neat chart? It's not my blog, but it's really hard to see and hard to get it's too complex
[00:50:00.520 --> 00:50:02.600]   But just to summarize it very simply
[00:50:03.320 --> 00:50:07.480]   If you add people to content if you add social to content
[00:50:07.480 --> 00:50:12.360]   Networks to content you scale in ways that were never possible with old media
[00:50:12.360 --> 00:50:20.520]   So the upper right quadrant highest media margin of his chart that he draws is companies that do not pay for
[00:50:20.520 --> 00:50:21.880]   um
[00:50:21.880 --> 00:50:23.880]   Content and do not pay for traffic
[00:50:23.880 --> 00:50:28.120]   Then below that a slight bit is companies that don't pay for traffic
[00:50:28.120 --> 00:50:30.520]   But do pay for content on a revenue share basis
[00:50:30.520 --> 00:50:34.600]   Which is to say when it makes money and in that he puts youtube and glam
[00:50:34.600 --> 00:50:36.680]   They share revenue when it makes money
[00:50:36.680 --> 00:50:40.840]   Then if you start going down the chart and go to the lower left you get to old time
[00:50:40.840 --> 00:50:43.640]   Media, that's that's the bad chart. That's a very old chart
[00:50:43.640 --> 00:50:48.600]   Uh, you get to a very old media companies. I think it's the third one down because that looks like cancer
[00:50:48.600 --> 00:50:55.080]   I don't like that chart at all. It did exactly this. Just one so then on the left you see places like time ink and
[00:50:55.080 --> 00:51:00.280]   Uh, you know old media companies where they pay for audience they market
[00:51:00.520 --> 00:51:03.880]   They also pay for content whether or not it makes money because that's what they have to do
[00:51:03.880 --> 00:51:10.040]   And so the margins on the upper right are are far better than old media the lower left
[00:51:10.040 --> 00:51:16.760]   So youtube is up there trying to invent right new models where you enable huge amounts of content
[00:51:16.760 --> 00:51:19.800]   You don't pay for it except when it makes money
[00:51:19.800 --> 00:51:26.360]   The the social nature and the viral nature of things you don't pay for marketing it markets itself. The audience does that
[00:51:26.600 --> 00:51:31.880]   It's a very high margin business extremely high margin. It's a good business. It's a platform business
[00:51:31.880 --> 00:51:36.760]   We like that. So then you've got to operate like a platform. You've got to be open enough
[00:51:36.760 --> 00:51:41.080]   Otherwise, if you start shutting down the platform, you're just turning yourself into
[00:51:41.080 --> 00:51:46.840]   You know a wall garden and aol a time ink, you know pick who it is funny. They used to be together
[00:51:46.840 --> 00:51:52.760]   So I've never been sold on the youtube model. I've always felt like that this was really more of an old
[00:51:53.000 --> 00:51:56.040]   Media model in sheep's clothing. That's where we disagree
[00:51:56.040 --> 00:52:02.040]   I think I think youtube can it has been can be and can remain a platform. I would love that where
[00:52:02.040 --> 00:52:05.720]   And it doesn't have to be blockbuster blockbuster
[00:52:05.720 --> 00:52:10.280]   Uh people can make money, but where there is is there a long tail on youtube
[00:52:10.280 --> 00:52:13.560]   Yes, okay, sure sure
[00:52:13.560 --> 00:52:15.880]   So so smaller
[00:52:15.880 --> 00:52:19.240]   Titles can well our guys can make something and the other part of this is
[00:52:20.120 --> 00:52:25.560]   Again, this goes back to the copyright work I've been doing with with role economic forum, which we now expanding to other industries
[00:52:25.560 --> 00:52:30.120]   It's not just selling content. It's always a great example of this right?
[00:52:30.120 --> 00:52:36.360]   Zoe says I want to sell concert tickets. I want data about my users so I can have a great relationship with them and they'll be loyal to me
[00:52:36.360 --> 00:52:43.320]   I want to uh allow other people to use my my music and thank you youtube. You'll help me identify that and make money from that
[00:52:43.320 --> 00:52:48.200]   Uh, what what youtube and google should and and facebook at all should want
[00:52:48.920 --> 00:52:53.960]   Is content creators who do explore and can exploit new business models
[00:52:53.960 --> 00:53:00.680]   Uh because if they find themselves supporting only the old business model of owning and controlling content
[00:53:00.680 --> 00:53:05.240]   Well, then they're back into the clutches of the old media companies that especially in europer giving them help
[00:53:05.240 --> 00:53:08.840]   Yeah, so the more you encourage and enable multiple business models
[00:53:08.840 --> 00:53:14.200]   Uh more flexible legal and technical frameworks the better off you are so youtube in the long run
[00:53:14.200 --> 00:53:19.240]   I think it's smart enough to see that they what zoey key to succeed they want many zoey key things
[00:53:19.240 --> 00:53:24.680]   It's better off if they have a bunch of zoey key things in addition to some warner musics
[00:53:24.680 --> 00:53:28.520]   Well, I would hope they're smart enough. They don't seem to be actually
[00:53:28.520 --> 00:53:31.960]   Their actions don't seem to be living up to that, but I would hope so and
[00:53:31.960 --> 00:53:35.880]   It's you know, we should we should you know the way this resolves will tell us a lot, won't it?
[00:53:35.880 --> 00:53:41.080]   I used to have an old city editor who had a tickle file as he called it and he put something in a file and say
[00:53:41.080 --> 00:53:45.800]   Six months I'm gonna look this up in three months. I'm gonna look this up. Yeah, this is a story where we should we should val
[00:53:45.800 --> 00:53:49.240]   Jason if you've got a calendar to put this in here. We should come back in
[00:53:49.240 --> 00:53:56.600]   Two months and see what's happened with this one. I would hope this is not a similar case to the android conversation
[00:53:56.600 --> 00:54:04.040]   We had earlier or youtube goes oh, it's open. It's free. It's wonderful and as soon as they get you in their web boom
[00:54:04.040 --> 00:54:07.960]   We got you. I would hope that this isn't a trend
[00:54:08.680 --> 00:54:14.360]   Other dip that's all right Facebook just posted that they had three billion views per day a video as part of their
[00:54:14.360 --> 00:54:17.880]   That's the thing. I mean there aren't isn't aren't there not that Facebook wouldn't be any better
[00:54:17.880 --> 00:54:21.480]   But I do think there are other choices. There's vimeo. There's other places
[00:54:21.480 --> 00:54:25.080]   And that I would hope to be enough competition
[00:54:25.080 --> 00:54:31.480]   I'm sure that's if google is being evil. That's the calculus. Well, how long do we have to appear open before?
[00:54:31.480 --> 00:54:34.440]   to close down the other guys and then
[00:54:35.560 --> 00:54:42.840]   Well, but that's where daddy's point is right facebook coming looming there with video plays right what youtube that youtube has a monetization structure
[00:54:42.840 --> 00:54:47.240]   It goes to the then it goes to the broader issue of you know
[00:54:47.240 --> 00:54:50.200]   If you're zoey keating you want to be on facebook
[00:54:50.200 --> 00:54:55.400]   But you know google was a search company that was both the point you towards content
[00:54:55.400 --> 00:54:58.760]   Now google is a media company that wants to own and control its own content
[00:54:58.760 --> 00:55:03.480]   And then it gets it is and it has we have this fight danny
[00:55:04.520 --> 00:55:08.600]   Jeff and I have this fight all the time because I agree with you. They don't really own the content
[00:55:08.600 --> 00:55:16.040]   They they own pages that they drive people to where they want to have people land
[00:55:16.040 --> 00:55:18.680]   And so, you know, that's
[00:55:18.680 --> 00:55:26.920]   That's that that they are in competition with other people in their own search engine and i'm not talking they're in competition with yelp
[00:55:26.920 --> 00:55:30.920]   I'm not talking the absurd argument. Oh, well, they're fighting with other search engines
[00:55:30.920 --> 00:55:34.600]   I'm meaning like if I do a search for watch game of thrones
[00:55:34.600 --> 00:55:39.320]   I'm gonna just do it right now and I get my ad that comes up. I get an ad and google plays
[00:55:39.320 --> 00:55:42.360]   They're not making danny. Here's the difference. They're not making
[00:55:42.360 --> 00:55:46.680]   Uh war of thrones to compete with game of thrones whereas amazon
[00:55:46.680 --> 00:55:52.600]   Yeah, no, but they're listing themselves before itunes and they're lifting themselves before amazon
[00:55:52.600 --> 00:55:55.480]   And they're in fact they're listing themselves before hbo
[00:55:57.000 --> 00:56:02.920]   You know or they want to have a music service and a video service that competes with these other services and uh
[00:56:02.920 --> 00:56:10.600]   And it probably makes sense and probably inevitable that they had to go that way, but it's difficult when you're also supposedly running a search
[00:56:10.600 --> 00:56:17.320]   Still search for game of thrones search for game of thrones. What's the first thing that comes up google play 299 an episode
[00:56:17.320 --> 00:56:24.760]   No, I searched for google google game of thrones and hbo.com log out of your log out of your customization. I see hbo too, but
[00:56:24.760 --> 00:56:26.920]   Watch game of thrones
[00:56:27.640 --> 00:56:31.560]   You're right if I search for game of thrones. I'm getting just game of thrones the site that's coming up
[00:56:31.560 --> 00:56:36.280]   Yeah, I get hbo. Yeah, they offer a service. I don't have any problem with them saying hey
[00:56:36.280 --> 00:56:40.200]   You can watch it on play, but if i'm searching for game of thrones hbo comes up first
[00:56:40.200 --> 00:56:42.600]   Well, yeah, because that's the game of thrones website
[00:56:42.600 --> 00:56:48.440]   Yeah, but if we're talking about somebody how about try buy game of thrones. That might be a really good one
[00:56:48.440 --> 00:56:52.840]   Let's see where I I can buy game of thrones at number one amazon
[00:56:53.960 --> 00:56:56.360]   Okay, then best buy then forbs
[00:56:56.360 --> 00:57:03.080]   With an article then stored out hbo effect. I it's way down on actually number one go back up
[00:57:03.080 --> 00:57:07.080]   Isn't that is there's the ad but then this is the first result
[00:57:07.080 --> 00:57:12.280]   Out you see over on your right hand side the shop for buy a game of thrones. Yeah, there's all the google play stuff
[00:57:12.280 --> 00:57:15.160]   Yeah, those from me, but that's an ad from google play. It says sponsor
[00:57:15.160 --> 00:57:19.960]   I it doesn't matter that it's an ad for game of thrones. You know, it's still them. Look at it
[00:57:19.960 --> 00:57:22.040]   It's google plays coming up. It's also prettier
[00:57:22.120 --> 00:57:24.120]   By the way
[00:57:24.120 --> 00:57:29.560]   Danny go that's a conflict of interest Jeff land up there. That's a classic conflict of interest
[00:57:29.560 --> 00:57:32.520]   What why if we always not gonna put a whole land up
[00:57:32.520 --> 00:57:38.520]   They're the they're a company they do what companies know because show time makes it. That's all again
[00:57:38.520 --> 00:57:40.520]   I know i'm coming off like a fan boy
[00:57:40.520 --> 00:57:45.800]   But it's not because their business which they make most of their money off of still
[00:57:45.800 --> 00:57:51.960]   Is providing people the ability to locate information across the web in a manner that's supposed to be
[00:57:51.960 --> 00:57:59.240]   untrusted and it's supposed to be trusted and biased and not skewed and the listings are but they've always had ads
[00:57:59.240 --> 00:58:05.800]   They have ads but they also have their own content that competes with other people and it's like not really google
[00:58:05.800 --> 00:58:11.400]   No, I'm just gonna still it's not really content. They don't have war of thrones. They don't have their own show
[00:58:11.400 --> 00:58:16.520]   What if they don't own show and I would imagine this is just around the corner does as Netflix amazon and others have done
[00:58:16.520 --> 00:58:19.160]   And starts making its own content with that changer too
[00:58:19.800 --> 00:58:22.520]   Because then then danny's gonna come back to me and say nyan
[00:58:22.520 --> 00:58:26.040]   He would be right
[00:58:26.040 --> 00:58:28.040]   I'm right because they haven't done it yet
[00:58:28.040 --> 00:58:33.480]   Okay, I don't see a difference between them. We don't make the content and
[00:58:33.480 --> 00:58:37.480]   We sell it the content right they they have destinations
[00:58:37.480 --> 00:58:42.920]   That's the thing to me do they have a place where they're trying to send you that's back within the google network
[00:58:42.920 --> 00:58:48.360]   As opposed to sending you outside of google and when they started it would be cleaner have things
[00:58:48.440 --> 00:58:52.760]   It really would be you can't disagree with this jeff it would be cleaner if google were just a search engine
[00:58:52.760 --> 00:58:56.840]   That they do muddy the waters a little bit by having well
[00:58:56.840 --> 00:59:02.840]   But we get into that leo right off the bat when I ask for an airline and they give me the airline data
[00:59:02.840 --> 00:59:07.560]   Then the airline industry says, you know saber and people like that say what you're screwing me
[00:59:07.560 --> 00:59:13.560]   But google says we're getting it right to the information you want not forcing you to go through five other pages with five other ways
[00:59:13.560 --> 00:59:15.880]   As a consumer i'll take
[00:59:16.440 --> 00:59:19.880]   The difference and the difference is if you do a search
[00:59:19.880 --> 00:59:26.120]   And this is what I mean about the absurdity of search engines complaining about google beating with them as opposed to
[00:59:26.120 --> 00:59:30.760]   Content destinations or brands or owners or people who own and operate stuff
[00:59:30.760 --> 00:59:33.480]   If I do a search and i'm trying to find a flight
[00:59:33.480 --> 00:59:39.160]   Presenting me with search results is not necessarily good for expedia
[00:59:39.160 --> 00:59:46.120]   But it's not taking away the ability for me to then still book the flight through the people who really matter the airlines
[00:59:46.680 --> 00:59:48.920]   Google's job is to connect me with
[00:59:48.920 --> 00:59:55.240]   What I want and if and and to connect me to publishers and brands and people who have the services that I need
[00:59:55.240 --> 01:00:02.280]   So the fact that if I do a search on google and I don't have to go then to expedia and then have to go through another step to get to the things
[01:00:02.280 --> 01:00:05.800]   Is much different than if I do a search on google and
[01:00:05.800 --> 01:00:12.840]   They send me off to google play where they make their own money as opposed to pointing me over to itunes or amazon
[01:00:13.080 --> 01:00:17.640]   With the same exact service to do point me to amazon danny they do point me to amazon
[01:00:17.640 --> 01:00:21.320]   Yes, the search is right there. They point me to amazon first thing
[01:00:21.320 --> 01:00:28.360]   For some things not all things all right. This is an argument that will never end so i'm gonna put it on pause
[01:00:28.360 --> 01:00:30.680]   We have this all the time and I love this argument
[01:00:30.680 --> 01:00:34.920]   Uh facebook's revenue is coming in. Well, that's what danny was referring to
[01:00:34.920 --> 01:00:40.680]   Some information from facebook huge just huge engagement
[01:00:41.480 --> 01:00:47.000]   Uh, what what revenue look like uh, let's see revenue and billion dollars
[01:00:47.000 --> 01:00:54.440]   But and how about profit net income a little bit less profit profit profit schmuffet
[01:00:54.440 --> 01:00:59.720]   Who cares about profit and then here from facebook
[01:00:59.720 --> 01:01:08.040]   And uh the uh utengo your tango folks just a little uh promotional announcement on responsible relationships
[01:01:08.680 --> 01:01:13.080]   And you five billion comes with five billion alice
[01:01:13.080 --> 01:01:15.960]   She's putting five actually computing machine
[01:01:15.960 --> 01:01:22.840]   And looks to see what her friends have been up to on facebook the electric friendship generator
[01:01:22.840 --> 01:01:29.240]   She checks in to see what timmy's been up to asks and timmy have been going steady for six months
[01:01:29.240 --> 01:01:31.400]   That's funny
[01:01:31.400 --> 01:01:33.880]   Timmy changed his relationship status from
[01:01:33.880 --> 01:01:36.440]   in a relationship
[01:01:36.440 --> 01:01:41.960]   Too single even more curious. He became friends with dana white house
[01:01:41.960 --> 01:01:43.160]   at
[01:01:43.160 --> 01:01:45.160]   207 a.m
[01:01:45.160 --> 01:01:51.960]   Came in just bungled rule number one of facebook relationship etiquette
[01:01:51.960 --> 01:01:54.520]   Don't change your relationships
[01:01:54.520 --> 01:02:01.560]   I'll uh leave the rest as an exercise to the viewer poor timmy. He just he just doesn't get it. Does he?
[01:02:01.560 --> 01:02:04.200]   this episode of
[01:02:05.000 --> 01:02:10.520]   69 of ad revenue in the fourth quarter parse that stuff i'm gonna do an ad while you read the facebook results
[01:02:10.520 --> 01:02:13.000]   Okay, and uh we'll let timmy just hang
[01:02:13.000 --> 01:02:20.520]   Shame on you timmy
[01:02:20.520 --> 01:02:25.800]   This episode of twig brought to you by personal capital. I love personal capital
[01:02:25.800 --> 01:02:29.080]   In fact, I know somebody who uh is finally
[01:02:29.880 --> 01:02:34.600]   Like fed up with their investment advisor. She was saying I didn't I lost money this year
[01:02:34.600 --> 01:02:39.080]   This is like one of the biggest years in the stock market. I lost money. I'm moving at all the personal capital
[01:02:39.080 --> 01:02:42.600]   Keeping track of your investments is so important
[01:02:42.600 --> 01:02:49.080]   Personal capital's financial software makes it easy their one-click analyzers will let you discover your net worth
[01:02:49.080 --> 01:02:54.280]   They'll uh let you analyze your cash flow. It'll take it uh make it easy to budget
[01:02:55.640 --> 01:03:02.920]   Really important forecast the value of your retirement portfolio to see if you're saving and investing enough for your for your retirement plan
[01:03:02.920 --> 01:03:07.800]   Detect 401k and mutual fund fees that are sucking your retirement away
[01:03:07.800 --> 01:03:12.280]   Look, this is a problem everybody has we've got all of our accounts online
[01:03:12.280 --> 01:03:14.680]   But they're each on a different website with a different password
[01:03:14.680 --> 01:03:19.720]   There's no one place to look personal capital brings it all together in a single page dashboard
[01:03:19.720 --> 01:03:21.960]   It tells you exactly what your money's doing
[01:03:22.600 --> 01:03:29.080]   And make sure that you're doing it right. It's your money make more of it signing up as just quick and easy and you know what
[01:03:29.080 --> 01:03:31.880]   It's free
[01:03:31.880 --> 01:03:38.760]   It's free. You'll see the benefits immediately personal capital gives you total clarity and transparency to help make better investment decisions right away
[01:03:38.760 --> 01:03:43.320]   I love this i've been using it for almost three years now. Set up your free account at personal capital.com
[01:03:43.320 --> 01:03:45.640]   slash twig
[01:03:45.640 --> 01:03:51.320]   Personal capital free and the smart way to grow your money and we thank them for their support in this week and google really great company
[01:03:52.200 --> 01:03:54.760]   Personal capital.com slash twig
[01:03:54.760 --> 01:04:00.360]   Poor timmy poor timmy
[01:04:00.360 --> 01:04:11.480]   Alice wait, I love her computing machine. I do love that. Yeah, Alice is tired of waiting. So she decides to stick it to timmy
[01:04:11.480 --> 01:04:16.440]   And tags a few embarrassing photographs. Oh dear
[01:04:17.240 --> 01:04:20.920]   I just broke facebook relationship etiquette rule number two
[01:04:20.920 --> 01:04:33.320]   Oh my my so much to learn from this video so much to learn
[01:04:33.320 --> 01:04:41.800]   All right facebook's results are in what was the rev the profit was 10 billion for the quarter
[01:04:41.800 --> 01:04:45.720]   revenue grew of 49 percent in the fourth quarter
[01:04:46.840 --> 01:04:48.840]   um
[01:04:48.840 --> 01:04:58.040]   Ended when's the ended 2004 with 1.39 billion monthly users what wait let's get that one let's get that one out right at front
[01:04:58.040 --> 01:05:01.000]   This is their new
[01:05:01.000 --> 01:05:03.880]   Active monthly active user number remember when
[01:05:03.880 --> 01:05:09.800]   Six percent of them remember i'm assessing on smartphones and other mobile devices remember when it was like oh facebook
[01:05:09.800 --> 01:05:12.440]   100 million users. Oh facebook
[01:05:12.440 --> 01:05:14.920]   300 million years oh facebook a billion
[01:05:15.400 --> 01:05:20.520]   1.39 billion active users every month
[01:05:20.520 --> 01:05:24.360]   86 mobile and almost all of a mobile
[01:05:24.360 --> 01:05:30.760]   Mobile adds a conference 39 percent of ad remember that was the other thing when facebook went public oh they haven't cracked mobile
[01:05:30.760 --> 01:05:34.680]   They'll never figure out how to make money and mobile. Oh, they can't make money. Wow
[01:05:34.680 --> 01:05:38.920]   Uh, wow
[01:05:38.920 --> 01:05:40.600]   That's pretty impressive
[01:05:40.600 --> 01:05:45.320]   86 percent mode growth was exceeded by its operating expenses which grew roughly
[01:05:45.320 --> 01:05:51.960]   87 percent as a result of sharp increases in research and development costs and marketing and sales spending and mark doesn't care at all
[01:05:51.960 --> 01:05:54.600]   Nope, that's fine
[01:05:54.600 --> 01:05:57.480]   We're in investment mode
[01:05:57.480 --> 01:06:05.080]   Facebook's uh overall revenue rose to 3.85 billion from 2.59 billion in the year ago period
[01:06:05.400 --> 01:06:10.040]   Wow, uh, that's 54 cents a share versus the analyst estimate of 49
[01:06:10.040 --> 01:06:14.520]   So they're not making a huge amount of money. Um, you know a billion a quarter
[01:06:14.520 --> 01:06:16.760]   but
[01:06:16.760 --> 01:06:17.800]   They're growing
[01:06:17.800 --> 01:06:23.400]   They're growing it's the amazon world. Yeah, hey, but it's better than amazon because amazon had many many many quarters where they made no money
[01:06:23.400 --> 01:06:26.120]   Facebook's taken a little off the top each month
[01:06:26.120 --> 01:06:29.160]   Yeah, just to pay the rent
[01:06:31.560 --> 01:06:35.320]   Wow, by the way, they have 11.2 billion dollars in cash
[01:06:35.320 --> 01:06:41.640]   So their position is good for and nothing like apple, but their position is good for acquisitions. What's what's apples cash? No?
[01:06:41.640 --> 01:06:48.200]   Oh, it's well over 130 billion something like that. It's it's a big number. I don't remember apple by the way just
[01:06:48.200 --> 01:06:56.360]   They announced their revenue last last yesterday and they uh, they are now they've made more money less quarter than any company in the history of human
[01:06:58.520 --> 01:07:01.640]   That's a license to steal. Wow
[01:07:01.640 --> 01:07:07.000]   Jesus more money than they're they beat these russian
[01:07:07.000 --> 01:07:13.400]   Gazprom the natural gas conglomerate from russia and for quarterly profits
[01:07:13.400 --> 01:07:16.840]   They made more money than any
[01:07:16.840 --> 01:07:24.360]   Company in the history of the world last quarter. I see this now. They made more than god dot com made more than god dot com
[01:07:28.040 --> 01:07:32.680]   And I you know facebook isn't that kind of uh, you know profitability, but that's okay
[01:07:32.680 --> 01:07:38.600]   Because they're making a you know billion of quarters ain't not not bad and they're and they're growing like crazy
[01:07:38.600 --> 01:07:43.800]   Very interesting and they but the main thing to me is they licked that mobile thing
[01:07:43.800 --> 01:07:50.200]   Which was which was really just and I think more impressive than than where google is on that with the advertising end
[01:07:50.200 --> 01:07:53.480]   Yep, nobody thought they could monetize mobile
[01:07:54.200 --> 01:07:57.560]   This is a matter of what what samira at glam said that mode says to
[01:07:57.560 --> 01:08:01.400]   What the the next thing he argues is streams
[01:08:01.400 --> 01:08:05.160]   So facebook understands streams twitter understands streams
[01:08:05.160 --> 01:08:10.280]   Google doesn't really have streams they tried to google plus and I still like google plus laugh at me if you will
[01:08:10.280 --> 01:08:12.440]   But that's the closest thing they have to stream
[01:08:12.440 --> 01:08:18.520]   uh, whereas facebook is in streams or mobile and and streams with ads inserted
[01:08:18.520 --> 01:08:23.400]   Uh, that's what's working for now. I don't know how long that's gonna go, but that's working for now
[01:08:23.400 --> 01:08:27.000]   You think facebook will ever have a revenue sharing system like youtube does
[01:08:27.000 --> 01:08:29.480]   I mean, here's an opportunity for you were talking about this danny
[01:08:29.480 --> 01:08:32.680]   There's an opportunity for facebook here for people like zoy keating if they offer them
[01:08:32.680 --> 01:08:37.080]   Uh monetization could facebook do that would facebook do that?
[01:08:37.080 --> 01:08:41.640]   Uh, I think they they could you know, order could drive people back to their pages
[01:08:41.640 --> 01:08:46.520]   I mean the the difficulty is that facebook doesn't have like a kind of music service in the way that
[01:08:46.520 --> 01:08:52.760]   You know google does and I think one of the things that kind of saves facebook from the issues that google has had with youtube is that
[01:08:53.320 --> 01:08:54.920]   You don't typically go to facebook
[01:08:54.920 --> 01:09:00.280]   I think and do your searching for videos in fact I can't even I have to go back and see if video works
[01:09:00.280 --> 01:09:03.880]   Right, you know people go to youtube because they think I want to hear this song
[01:09:03.880 --> 01:09:09.880]   You search for it you find the song and you play it and facebook is much more about video discovery and
[01:09:09.880 --> 01:09:14.680]   Pushing out the videos that they want so they could make zoe a star
[01:09:14.680 --> 01:09:17.720]   You know if they decide they wanted to make her a star by saying, right?
[01:09:17.720 --> 01:09:20.760]   Let's let's make sure we're pushing more of her her things that are out there
[01:09:21.240 --> 01:09:27.160]   But it's certainly giving you know people who are doing videos a new area to to be exposed
[01:09:27.160 --> 01:09:30.920]   But I still think it's a bit different than the way people sometimes find things on youtube
[01:09:30.920 --> 01:09:35.640]   And of course you have people who tune into youtube channels just because I want to hear this from a particular thing
[01:09:35.640 --> 01:09:41.960]   And of course so eating does have a facebook page and you can like her, but there's no rev share back to her
[01:09:41.960 --> 01:09:46.360]   It's purely promotion there is an opportunity there Danny and I were at a conference called newsgeist
[01:09:46.760 --> 01:09:54.040]   A few months ago where where danny was brilliant and one of the things we talked about there was putting content in containers so that you can embed it
[01:09:54.040 --> 01:10:01.000]   And if you could embed something onto facebook and onto twitter and onto google plus and keep your business model
[01:10:01.000 --> 01:10:03.800]   At some level with that
[01:10:03.800 --> 01:10:09.720]   Then I think that opens up a tremendous amount for content creators across these services now world of services do it
[01:10:09.720 --> 01:10:13.240]   One thing we talked to google about that me was saying well, you know google plus
[01:10:13.880 --> 01:10:17.720]   You know, so it's not taking the world over so you couldn't you could sorry my lights went on
[01:10:17.720 --> 01:10:22.120]   You know you could use google plus as a way to kind of push
[01:10:22.120 --> 01:10:27.080]   Facebook and twitter a bit and and and do best practice with content creators
[01:10:27.080 --> 01:10:31.400]   I like given the discussion. We just had about youtube youtube being an embeddable
[01:10:31.400 --> 01:10:35.160]   Content container with a business model attached
[01:10:35.160 --> 01:10:38.920]   It kind of is the model for that and what I would hope is it could be used elsewhere
[01:10:38.920 --> 01:10:42.840]   Including even at facebook what is this thing that you said they would use
[01:10:43.800 --> 01:10:48.600]   Well you and I talked about that we were when we were at that session about what could google do that google guys
[01:10:48.600 --> 01:10:51.160]   There was talking about basically embeddable content
[01:10:51.160 --> 01:10:58.200]   Plus you just invented google plus my god you're a genius
[01:10:58.200 --> 01:11:03.560]   But yes, yes, so that you're a nice guy
[01:11:03.560 --> 01:11:09.400]   I just want to say google plus eight for a while. It's really trouble because uh
[01:11:09.960 --> 01:11:16.280]   Video just doesn't express sarcasm. Well, no, no, it's not your fault. Oh american doesn't express sarcasm
[01:11:16.280 --> 01:11:25.560]   Um, you know it's interesting when when I go to zoeykeating's facebook page and it's and her about it says her web page is twitter.com
[01:11:25.560 --> 01:11:28.280]   slash zoeykeating
[01:11:28.280 --> 01:11:30.280]   So or is i mean zoey cello so
[01:11:30.280 --> 01:11:37.000]   Maybe maybe this is a blessing that we all should learn you need a website. Is that really old school old-fashioned?
[01:11:37.080 --> 01:11:43.160]   No, no, no for for goodness sakes everyone should have a website with your own domain name
[01:11:43.160 --> 01:11:47.160]   It's like do you want to have your own own number that you control? I it's
[01:11:47.160 --> 01:11:52.680]   Actually, she does her her blog posts are all on zoeykeating.com so I take
[01:11:52.680 --> 01:11:58.600]   She doesn't list it but you know, it's tumblr is tumblr like having your own website
[01:11:58.600 --> 01:12:02.280]   Not if it says tumblr.com. It does your own name
[01:12:02.520 --> 01:12:08.920]   So see so then like here's what happens in like five years tumblr crashes somebody buys it
[01:12:08.920 --> 01:12:12.120]   It goes all geo city and your your your home is gone
[01:12:12.120 --> 01:12:19.160]   You need to have it on tumblr you could be zoeykeating.com and you should be right because then you could redirect
[01:12:19.160 --> 01:12:21.640]   You could redirect wherever you want to go. Yeah
[01:12:21.640 --> 01:12:23.960]   I think that's also
