;FFMETADATA1
title=Honey, I Livestreamed the Kid
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=353
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2016
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.760]   It's time for a twig this week in Google and of course it's our post I/O keynote show
[00:46:40.660 --> 00:46:44.820]   Complications yeah, that's a horala. Okay. Get ready for that
[00:46:44.820 --> 00:46:49.860]   You know when you you enter the Apple world you enter a whole new world the world of horology. That's what horologists
[00:46:49.860 --> 00:46:52.340]   Call them watchmakers call them
[00:46:52.340 --> 00:46:59.080]   Complications. Oh, I see okay. You Google people wouldn't know about that, but I think which widgets is fine
[00:46:59.080 --> 00:47:03.580]   It is just seems like it would a thing to develop like something a developer needs to do like
[00:47:03.580 --> 00:47:07.620]   Complications. Yeah. Oh, that's just what I want. That's what they do all the time. Yeah
[00:47:07.620 --> 00:47:17.740]   So they didn't they did mention it when the things they did not mention is a Chrome OS and Chromebook
[00:47:18.780 --> 00:47:26.060]   However Hiroshi Lockheimer tweeted will have lots more to say about that at 11 tomorrow. So there is gonna be
[00:47:26.060 --> 00:47:30.980]   It's not unfortunately a keynote and it's not gonna be streamed live, but there will be more information
[00:47:30.980 --> 00:47:33.580]   So Matt you could tell us more about that, right?
[00:47:33.580 --> 00:47:40.300]   Well, I'm sure I'll maybe end up tweeting out, you know, I've got my Chromebook pixel - I still I love my Chromebook
[00:47:40.300 --> 00:47:47.580]   So I do to more and more Jeff Jarvis is a full-time Chromebook user. I plan to go and hug Hiroshi like I'm where tomorrow
[00:47:47.580 --> 00:47:53.740]   Yeah, well, but isn't Hiroshi the Android guy. So why is he tweeting about Chromebooks? What is that all about?
[00:47:53.740 --> 00:47:59.660]   And our intrepid producers found an interesting listing in
[00:47:59.660 --> 00:48:03.740]   The Google I/O schedule. Let me see if I can find it
[00:48:03.740 --> 00:48:12.320]   That in that says as we announced this is for tomorrow. It's at 4 p.m. Tomorrow as we announced earlier today
[00:48:12.320 --> 00:48:16.620]   Android developers can now put their apps in Chrome OS
[00:48:17.620 --> 00:48:19.620]   So there's a little hint
[00:48:19.620 --> 00:48:29.980]   The rumors fear has been pointing to the possibility of the play store opening up to include Chrome
[00:48:29.980 --> 00:48:36.340]   Chrome web apps number one and then number two some sort of cross compatibility of Android apps
[00:48:36.340 --> 00:48:41.460]   That's why they're expanding Android app compatibility inside Chrome OS. So we'll see
[00:48:41.900 --> 00:48:45.660]   Sounds like maybe they meant to do some sort of announcement today and they had to push it
[00:48:45.660 --> 00:48:49.940]   There was a there was a rumor floating around. I was told that
[00:48:49.940 --> 00:48:56.100]   That they had planned something today and they ran out of time or they didn't they had to cut some things
[00:48:56.100 --> 00:49:01.300]   Well, you know a PR person told me that they did intend to say something about Chrome
[00:49:01.300 --> 00:49:03.300]   This whatever they're gonna say at 11 o'clock tomorrow
[00:49:03.300 --> 00:49:07.380]   Was gonna be part of the of the keynote today, but they ran out of time
[00:49:07.380 --> 00:49:09.980]   literally, yeah
[00:49:09.980 --> 00:49:11.980]   Two days
[00:49:11.980 --> 00:49:16.140]   Our keynotes to cover everything we got sick. Yeah, cuz I looked I thought oh great
[00:49:16.140 --> 00:49:19.660]   There's gonna be another keynote everybody got ready tomorrow 11 a.m. And no
[00:49:19.660 --> 00:49:21.580]   So they ran out of time
[00:49:21.580 --> 00:49:26.700]   They just you know what this Google has its fingers and a lot of pies and by the way, we also had to mention
[00:49:26.700 --> 00:49:29.440]   This is not an alphabet keynote. So there's nothing about
[00:49:29.440 --> 00:49:33.740]   Autonomous vehicles because that's not a Google product. There's nothing about Nest
[00:49:33.740 --> 00:49:39.940]   There was a little mention of Nest, but I would expect that actually and that the home product
[00:49:39.940 --> 00:49:43.740]   Will be will it be in the Nest division? That's actually kind of interesting
[00:49:43.740 --> 00:49:50.520]   It's in the hard the new hardware division that is nest part of their hardware division
[00:49:50.520 --> 00:49:55.180]   Rick Osterlows coming back from motor memory was a guy motor
[00:49:55.180 --> 00:49:59.960]   Hardware is a separate except you from nest is it Google?
[00:49:59.960 --> 00:50:04.540]   I'm not 100% sure, but I believe it is. Yeah
[00:50:04.540 --> 00:50:08.340]   Alphabet and Google hardware is Google, but I'm not positive that I mean
[00:50:08.580 --> 00:50:11.300]   You can close your ears map, but that breeding the tea leaves
[00:50:11.300 --> 00:50:16.460]   Shows once again that I think the nest divisions and Tony Fidell's division a little bit on the outs
[00:50:16.460 --> 00:50:24.140]   At this point if they didn't get Google home Google got that but it is a search a search appliance. So maybe that makes sense I
[00:50:24.140 --> 00:50:26.780]   Would love to see
[00:50:26.780 --> 00:50:32.180]   What I want I love Chrome OS. I want to see Chrome OS continue yes
[00:50:32.180 --> 00:50:35.820]   Yes
[00:50:36.260 --> 00:50:42.420]   The interesting thing to me was now you've got these four hundred ninety nine dollar Chromebooks, but you talked about all the mid-range
[00:50:42.420 --> 00:50:48.580]   one the higher mid-range one and you can get them up to a thousand bucks by the time you max out all the ram and everything and
[00:50:48.580 --> 00:50:53.700]   Well, I hear that and on one hand that's great and on the other hand. I'm like I love my pixel
[00:50:53.700 --> 00:50:58.980]   I gotta have my pixel keep coming out with you know, we're in pixel three. Yeah 12 months 18 months
[00:50:58.980 --> 00:51:03.100]   I don't you know, but I just that is such a nice machine. How old is the pixel - I
[00:51:03.100 --> 00:51:05.340]   Think it came out last summer
[00:51:05.340 --> 00:51:07.980]   Was it at Google I/O last summer? So it's exactly a year old
[00:51:07.980 --> 00:51:12.980]   Yeah, I didn't say a word today. So this is this is concerning me greatly because I am addicted to it
[00:51:12.980 --> 00:51:16.100]   HVG is not gonna be the same
[00:51:16.100 --> 00:51:20.580]   Well, and to be fair. I think the the HP Chromebook will be really really good
[00:51:20.580 --> 00:51:27.660]   It's just I love the cleanness of the colors, you know, you know the lines and so maybe I should get over myself and go for that
[00:51:27.660 --> 00:51:31.300]   Yeah, but there's things they could do, you know, they could put you know
[00:51:31.700 --> 00:51:34.900]   Thunderbolt 3 on the USB-C they could put newer chips in there
[00:51:34.900 --> 00:51:40.620]   They could put I'd like to see more storage believe it or not because I'm actually running crouton and Linux on there
[00:51:40.620 --> 00:51:42.620]   I could use a little bit more storage
[00:51:42.620 --> 00:51:49.260]   It's a very powerful device we have in the studio with us four educators for teachers who are all about
[00:51:49.260 --> 00:51:53.100]   Chromebooks you they all use Chromebooks they're from Sacramento area
[00:51:53.100 --> 00:52:01.220]   And they came for the Google keynote and they've stayed for a twig but they're there they're they're sold on Google for education
[00:52:01.220 --> 00:52:03.540]   We heard nothing about Google for education. So I
[00:52:03.540 --> 00:52:07.660]   Well, I the keynote was still two hours
[00:52:07.660 --> 00:52:09.660]   I know
[00:52:09.660 --> 00:52:13.980]   There's a finite amount of stuff you can fit in there and the whole rest of the three days is you know
[00:52:13.980 --> 00:52:17.580]   Plenty of time to tell people about the latest with Google for education and Chromebooks and Chrome OS
[00:52:17.580 --> 00:52:19.740]   I don't think that it's you know
[00:52:19.740 --> 00:52:25.740]   Oh, should we worry about Chrome OS because you know that that is a real winner in the education market and with you know
[00:52:25.740 --> 00:52:28.340]   People who don't want to do a lot of management maintenance configuration
[00:52:28.340 --> 00:52:31.860]   So, you know, I'm not worried about that at all. I just I just want my pixel
[00:52:31.860 --> 00:52:35.300]   I know that I am I and I love it but I love it
[00:52:35.300 --> 00:52:39.460]   I would I wouldn't take the lack of a mention of some of something in this keynote as like oh
[00:52:39.460 --> 00:52:45.380]   It's on death snell. There's there's a there's a lot of other stuff going on during the IO does putting Android apps
[00:52:45.380 --> 00:52:48.620]   There's some challenges to putting Android apps just putting them on
[00:52:48.620 --> 00:52:50.260]   Chrome OS
[00:52:50.260 --> 00:52:52.860]   I mean, there's the gene others the developer issue
[00:52:52.860 --> 00:52:56.620]   But there's also the issue of from users point of use is a touch we don't have touch what it
[00:52:57.620 --> 00:53:01.600]   Yeah, I'm still still unclear how that's gonna happen
[00:53:01.600 --> 00:53:08.500]   Yeah, interested to hear more about that. What about you Jason how do you think?
[00:53:08.500 --> 00:53:13.500]   Have you thought a little bit about what that would look like to put Android on that Chrome?
[00:53:13.500 --> 00:53:16.580]   Well, I mean we saw a little bit of this last year, right?
[00:53:16.580 --> 00:53:17.900]   They they rolled this out
[00:53:17.900 --> 00:53:23.820]   I think to a limited number of Android apps there were a certain small group of partners that they were they were doing this with and I
[00:53:23.820 --> 00:53:28.700]   Think you know is very much kind of like the windowed experience of an Android app beyond that
[00:53:28.700 --> 00:53:30.140]   I don't know personally
[00:53:30.140 --> 00:53:37.820]   I think it gets a little confusing if you have you know an app for one thing that's Android running in Chrome OS versus the web
[00:53:37.820 --> 00:53:43.840]   Hey, you know the web app and a web page and why you choose one over the other whether an Android app is
[00:53:43.840 --> 00:53:48.020]   Ideal for let's say the laptop kind of environment, you know
[00:53:48.020 --> 00:53:53.180]   And what form factor that's being brought in on is it the tablet version or is it the phone version or whatever?
[00:53:53.180 --> 00:53:55.100]   So I think there's a little bit of questions in there
[00:53:55.100 --> 00:53:58.340]   But if you've got access to all these things that we don't mind you
[00:53:58.340 --> 00:54:01.220]   We don't necessarily know if this is their announcement from tomorrow
[00:54:01.220 --> 00:54:06.540]   But if you've got access to that that kind of you know however many what is it a million?
[00:54:06.540 --> 00:54:11.540]   Plus apps from Android inside Chrome OS. I mean certainly wouldn't hurt
[00:54:11.540 --> 00:54:15.940]   It certainly feels fills a lot of gaps and it's a nice nice addition
[00:54:15.940 --> 00:54:19.660]   I really want to kind of see how it how it responds
[00:54:19.660 --> 00:54:22.820]   You know how to do it the same way you do it with Android Studio as an em
[00:54:22.820 --> 00:54:26.300]   You know it has an emulator window with it looks like a pixel
[00:54:26.300 --> 00:54:27.300]   I mean a
[00:54:27.300 --> 00:54:34.580]   Nexus device as just you know on the screen is a window and you could do your Android apps and if you had that be basic but
[00:54:34.580 --> 00:54:37.020]   Yeah
[00:54:37.020 --> 00:54:43.380]   I haven't used the new the new Android studio and it's supposed to be way faster, but man those emulators are slow
[00:54:43.380 --> 00:54:47.540]   Are they slow? Yes, and again, I know it's supposed to get faster
[00:54:47.540 --> 00:54:50.700]   I was very excited about all the Android studio particularly speed
[00:54:50.700 --> 00:54:56.380]   Announcements and I need to get into the into the I think it's the beta channel and get the new one
[00:54:56.380 --> 00:54:58.820]   But yeah, no those emulators are generally really slow
[00:54:58.820 --> 00:55:06.900]   They even said during the Android studio talk that it was even faster than if you were running it on your phone
[00:55:06.900 --> 00:55:10.660]   So would that be a change from what you've been experiencing?
[00:55:10.660 --> 00:55:13.220]   Experiencing in Android Studio today. Oh
[00:55:14.060 --> 00:55:17.920]   Heck yeah, I mean the common knowledge amongst Android developers
[00:55:17.920 --> 00:55:23.140]   You hook up a physical device to your to your computer and you run you just skip the emulator
[00:55:23.140 --> 00:55:25.740]   entire
[00:55:25.740 --> 00:55:31.600]   Just get the emulator you attach an Android device and you test and run on that even that you know takes some time look
[00:55:31.600 --> 00:55:36.020]   It's you know, it's a process. It's a process and so I'm very excited
[00:55:36.020 --> 00:55:40.540]   I mean, you know this stuff just takes time so I'm very excited to see the speed improvements
[00:55:41.020 --> 00:55:45.140]   And I'm especially excited if the emulator has become you know useful that would be good too
[00:55:45.140 --> 00:55:49.220]   They're fast enough to be useful. That would be great. So I want to see that. I want to see that in person
[00:55:49.220 --> 00:55:54.860]   Well, we'll find out tomorrow. What's gonna happen with Android on Chrome OS and what's gonna happen with the Chromebooks in general
[00:55:54.860 --> 00:55:59.820]   I thought because there are all these nice mid-range Chromebooks do out any moment now
[00:55:59.820 --> 00:56:04.660]   I thought there would be a big announcement that that would coincide with the release of the HP in the Dell and the Acer and
[00:56:04.660 --> 00:56:10.940]   Or at least a free one under every chair. I thought that too. What did you get for free? You got a do rag and some sunglasses
[00:56:11.140 --> 00:56:16.180]   Nothing which I think we've talked about this the past and we know no nothing promised at the session
[00:56:16.180 --> 00:56:21.940]   Nothing no email afterwards saying oh and you have a you know a key to a self-driving car waiting you
[00:56:21.940 --> 00:56:27.900]   And I think that's fine. I think it's they had more developers here this year because they had the bigger venue
[00:56:27.900 --> 00:56:30.900]   This is for developers. That's the business benefit to Google
[00:56:30.900 --> 00:56:34.580]   It's the benefit all around and yeah, there were probably some disappointed geeks
[00:56:34.580 --> 00:56:38.380]   But but more important candy is a fast emulator, right?
[00:56:38.380 --> 00:56:42.580]   You know what they gave you Jeff you specifically ways on Android Auto
[00:56:42.580 --> 00:56:46.260]   Yeah, that's that yep
[00:56:46.260 --> 00:56:48.740]   Now if I can only get a car
[00:56:48.740 --> 00:56:55.820]   He's buying a car that's an accessory for his Android auto. I just passed it's true
[00:56:55.820 --> 00:57:02.940]   I just passed 200,000 miles on my beast because I can't find the right car. I need four-wheel drive
[00:57:02.940 --> 00:57:07.140]   I want a small little kind of minor SUV thing. I want Android Auto
[00:57:07.140 --> 00:57:10.580]   I think a Honda CRX let's get him a Honda CRX
[00:57:10.580 --> 00:57:13.140]   Honda has Android Auto
[00:57:13.140 --> 00:57:17.980]   Matt do you have Android Auto in your car? I don't and I am like Jeff. I'm kind of holding off
[00:57:17.980 --> 00:57:22.020]   I'm like, okay. I need one more car like my car is 12 years old ready to go
[00:57:22.020 --> 00:57:26.500]   I'm like if I have one more car then I can maybe make it through to self-driving cars after that
[00:57:26.500 --> 00:57:32.740]   So what's the one more car to get before I think this is the last petrol car either guy if you guys is gonna buy right?
[00:57:33.300 --> 00:57:36.820]   Well, and I'm sorry, but like you know besides Volkswagen
[00:57:36.820 --> 00:57:40.180]   It sounds like there's a lot of other car manufacturers that are suddenly like yeah
[00:57:40.180 --> 00:57:46.260]   We cheated on a missions test too, and so yeah an electric car quicker, you know, that's great for everybody
[00:57:46.260 --> 00:57:52.260]   So I you know, I'm I'm kind of waiting for the the Android Auto and and see what sort of stuff they've got available
[00:57:52.260 --> 00:57:56.220]   I think that'll be a lot of fun. I already bought my last gas car
[00:57:56.220 --> 00:58:03.140]   I'm not that's the end of it. You got your Tesla company feels good. Yeah, you know who else got has a Tesla X?
[00:58:03.540 --> 00:58:05.540]   Model X Bill Gates
[00:58:05.540 --> 00:58:10.700]   He posted a video of him interviewing Neil Stevenson about seven eaves
[00:58:10.700 --> 00:58:13.220]   Bill Gates did a book review of
[00:58:13.220 --> 00:58:20.740]   Neil Stevenson's latest seven eaves, which is hysterical and it's very Bill Gatesy and
[00:58:20.740 --> 00:58:24.900]   And he and then he posted it a video of him
[00:58:24.900 --> 00:58:30.020]   driving in cars basically stealing the Seinfeld idea
[00:58:30.740 --> 00:58:35.060]   But he did it but okay he did it one better because he does it in 360 degrees
[00:58:35.060 --> 00:58:37.640]   So there's the most awkward moment ever
[00:58:37.640 --> 00:58:43.980]   Let me see if I can play this because it's just the most awkward moment ever is when they're dancing that was pretty awkward
[00:58:43.980 --> 00:58:49.140]   Here's here's Bill Gates meeting Neil Stevenson Bill sitting on a bench
[00:58:49.140 --> 00:58:57.220]   Waiting to meet Bill ready to meet Neil. Can you get the audio? You're not hearing my audio. Oh
[00:58:58.300 --> 00:59:03.060]   It's the most awkward moment ever but a little later on they get in Bill's car and
[00:59:03.060 --> 00:59:07.620]   Fiction is so it's a model X that I I
[00:59:07.620 --> 00:59:11.020]   Know a few times you're I say no no I gotta preach
[00:59:11.020 --> 00:59:18.340]   Fiction stuff and friends mentioned that this be all I could say he's no Jerry sign
[00:59:18.340 --> 00:59:26.060]   Look as they're going by how do I zoom in on this? There's some people larping oh
[00:59:26.940 --> 00:59:28.940]   in the background
[00:59:28.940 --> 00:59:38.860]   What he'll Stevenson is into swordcraft stuff. Oh that was for Neil
[00:59:38.860 --> 00:59:46.100]   I thought by the way 70s is an awesome hard sci-fi book power. I just shipped a couple nights ago a
[00:59:46.100 --> 00:59:51.980]   Is this the strangest experience you've ever had that's this apparently on the roof
[00:59:55.860 --> 00:59:59.380]   Okay, now that you can hear me. I gotta go back to the the introduction
[00:59:59.380 --> 01:00:01.780]   of with the
[01:00:01.780 --> 01:00:03.780]   Bill Gates sitting on a bench
[01:00:03.780 --> 01:00:09.060]   Yeah, if you outfit your Tesla with some cameras then I could do this too
[01:00:09.060 --> 01:00:12.060]   Write that sucker off
[01:00:12.060 --> 01:00:16.980]   Good to see you. How's it going? Hey, I loved your book. This is fantastic
[01:00:16.980 --> 01:00:23.220]   Like this is like a bad Scientology video. Are you clear?
[01:00:24.140 --> 01:00:33.540]   Anyway, we're gonna take a break great panel you guys are in the Google Plex well some of you are anyway
[01:00:33.540 --> 01:00:40.420]   Gina Trepeney's not she's in New York City joining us from her brand new job is there some way we can
[01:00:40.420 --> 01:00:44.780]   patronize or become clients of your new employers
[01:00:44.780 --> 01:00:52.740]   Amazing new product out amazing what what is it we do we just we shit I ship my first product here post like today
[01:00:52.740 --> 01:00:58.500]   It's called mercury pro slight mercury mercury mercury dot post light calm. It's a tool for publishers
[01:00:58.500 --> 01:01:03.060]   And it converts your web pages to amp on the fly
[01:01:03.060 --> 01:01:15.060]   I made sure that it worked on the on the twit blog you made it for us
[01:01:15.060 --> 01:01:18.940]   Son of a gun
[01:01:18.940 --> 01:01:24.540]   That's really cool. You're right yet isn't it what and it's free
[01:01:24.540 --> 01:01:31.660]   Yeah, you just sign up you put in you it's one line of code you put your URL then in and it converts
[01:01:31.660 --> 01:01:37.980]   converts your web page to amp apart to the page and and outputs the amp results then you can add a link to the
[01:01:37.980 --> 01:01:42.380]   version inside your your markup and then you'll be ready for
[01:01:42.380 --> 01:01:44.780]   you know mobile
[01:01:44.780 --> 01:01:47.180]   CDN Gina
[01:01:47.180 --> 01:01:49.780]   Is the page that served for the Google CDN? I
[01:01:49.780 --> 01:01:53.140]   Don't believe so. I think it's her from our side
[01:01:53.140 --> 01:01:57.700]   On this project really late a couple days ago. I got some code pushed in there, but
[01:01:57.700 --> 01:02:00.900]   Wow
[01:02:00.900 --> 01:02:02.900]   What's it written in?
[01:02:02.900 --> 01:02:04.540]   It is a well
[01:02:04.540 --> 01:02:10.260]   There's a few layers to it the front end is a Django app and it uses actually the readability API to do some of the nice
[01:02:10.260 --> 01:02:12.740]   Are you back using Python?
[01:02:12.740 --> 01:02:16.420]   Yes, how nice that's awesome good for you
[01:02:17.420 --> 01:02:23.220]   And this is just a freebie like to introduce people to post light is that the idea or are you gonna charge for it at some point?
[01:02:23.220 --> 01:02:28.980]   Or you know, we have a lot of our clients are dealing with issues that publishers have publishing is big here in New York and Paul's a
[01:02:28.980 --> 01:02:33.200]   Lot of connections of the publishing community and we found that you know, this is just what you know
[01:02:33.200 --> 01:02:36.900]   Amplifying your pages was just a problem people were you know
[01:02:36.900 --> 01:02:42.500]   Small publishers didn't didn't have developers to get the work done and bigger publishers were taking time out of their schedule
[01:02:42.500 --> 01:02:47.060]   I was like, you know, this is this is a really pretty simple problem to solve. Let's just you know
[01:02:47.060 --> 01:02:49.900]   Yeah, let's provide a tool that can save you some dev time
[01:02:49.900 --> 01:02:55.180]   Particularly for smaller publishing clients, so and yeah, it's free for anybody use
[01:02:55.180 --> 01:03:00.660]   We've already gotten quite a few signups today and lots of good feedback. So yeah, try it out if you're if you're publishing webpages
[01:03:00.660 --> 01:03:02.660]   It's mercury dot post light calm
[01:03:02.660 --> 01:03:04.780]   What the what that's so awesome
[01:03:04.780 --> 01:03:09.540]   And we hope to extend it to I don't know if I'm supposed to say this I'm gonna say it anyway
[01:03:09.540 --> 01:03:11.540]   We
[01:03:11.540 --> 01:03:14.540]   To support other formats
[01:03:14.540 --> 01:03:22.140]   In the future depending on on you know how people take up what we did we took on AMP first because it was the easiest
[01:03:22.140 --> 01:03:25.380]   Emo straightforward thing that we could we could do
[01:03:25.380 --> 01:03:32.340]   What other formats could those be like instant art instant articles? Yeah, like Facebook and start of those are apples
[01:03:32.340 --> 01:03:34.740]   Yeah
[01:03:34.740 --> 01:03:39.340]   Cool Wow Gina, that's great really is right nice to have you also
[01:03:39.340 --> 01:03:44.860]   Jason howl from all about Android and tech news today. He's gonna be at Google I/O all week
[01:03:44.860 --> 01:03:46.860]   So we'll be getting reports all week long
[01:03:46.860 --> 01:03:52.620]   So you'll be the first probably to break the news whatever Google announces tomorrow. I'll be there tomorrow morning absolutely
[01:03:52.620 --> 01:03:56.780]   So I guess stay tuned to my Twitter stream for that good because I you know
[01:03:56.780 --> 01:04:02.300]   I guess we don't really know whether it's going to be streamed in any sort of view or not or not and it says no
[01:04:02.300 --> 01:04:06.780]   There's no real camera on it. Yeah be there good solid you guys know you stream it
[01:04:07.700 --> 01:04:14.340]   And also Jeff Jarvis from the City University of New York CUNY where he is now the host of a fabulous show called
[01:04:14.340 --> 01:04:17.320]   NYC look he's got his own customized
[01:04:17.320 --> 01:04:19.980]   cardboard 3.0, right?
[01:04:19.980 --> 01:04:23.900]   Yeah, don't NYC we're very proud we're working on it
[01:04:23.900 --> 01:04:28.660]   We're figuring it out, but but but please do watch is on YouTube now. Yeah, we're putting it up on YouTube
[01:04:28.660 --> 01:04:35.900]   We're in beta streaming live on the Twitter network and soon to be a regular podcast. You can subscribe to
[01:04:36.620 --> 01:04:38.620]   And of course the mat cuts so
[01:04:38.620 --> 01:04:46.380]   Actual Googler and a pixel user
[01:04:46.380 --> 01:04:51.220]   Our show today brought to you by our friends at Casper.com
[01:04:51.220 --> 01:04:57.820]   Casper is best known of course for making mattresses and changing the way you buy mattresses because you have a hundred nights to try it out
[01:04:57.820 --> 01:05:03.340]   Casper combines springy latex foam with supportive memory foam
[01:05:03.780 --> 01:05:06.620]   To give you the most amazing mattress designed
[01:05:06.620 --> 01:05:13.500]   obsessively designed by engine, you know the toughest engineers in the mattress business made in America
[01:05:13.500 --> 01:05:21.380]   long lasting comfort and support it breathes so it sleeps cool so and I think that's really important
[01:05:21.380 --> 01:05:27.020]   But it gives you firmness and support and comfort it gives but it's hard to describe
[01:05:27.020 --> 01:05:29.340]   That's why you want to try it free for a hundred nights
[01:05:29.740 --> 01:05:34.300]   free return and pickup if for any reason you don't like it in the first hundred days you just call them up that we're fun
[01:05:34.300 --> 01:05:38.600]   You every penny and by the way very affordable because they don't have to pay for the showrooms
[01:05:38.600 --> 01:05:45.020]   There's no middleman. You're getting it directly from Casper made in the USA free shipping and returns to the US at Canada
[01:05:45.020 --> 01:05:47.540]   Go right now to Casper.com
[01:05:47.540 --> 01:05:55.860]   Slash twig use a promo code twig you'll say $50 off your mattress purchase of any size some terms and condition supply
[01:05:55.860 --> 01:05:58.780]   Casper dot com slash twig promo code
[01:05:59.780 --> 01:06:01.780]   twig
[01:06:01.780 --> 01:06:06.060]   Alright, they did not tell us the name of nutroll
[01:06:06.060 --> 01:06:11.140]   Android
[01:06:11.140 --> 01:06:15.640]   And they did talk a lot about Android and or she lockheimer came on the stage
[01:06:15.640 --> 01:06:20.780]   But they said we're gonna let you name it come on Matt. What happened? They couldn't get the rice to Nutella
[01:06:20.780 --> 01:06:24.980]   Well, my favorite conspiracy theory is that
[01:06:25.780 --> 01:06:30.360]   Sundar Pachai visited India and someone was like, why don't you name it after this, you know
[01:06:30.360 --> 01:06:34.780]   Dish that starts with an end and he's like well. This was like a year ago
[01:06:34.780 --> 01:06:36.980]   He's like maybe we'll open it up to an online poll
[01:06:36.980 --> 01:06:40.900]   Maybe everyone in India will vote for it the next day or something like that
[01:06:40.900 --> 01:06:45.700]   And and so you know who knows but I think at the very bottom in the fine print
[01:06:45.700 --> 01:06:48.340]   It says we reserve the right to pick whatever we want
[01:06:48.340 --> 01:06:50.820]   This is for entertainment purposes only it won't be judged
[01:06:50.820 --> 01:06:56.020]   And I think they mean you won't get feedback when you say it ought to be called Nutella or not rule or whatever
[01:06:56.020 --> 01:07:02.620]   Specifically said it will not be maybe name face name a nickname face. They brought that right up smart
[01:07:02.620 --> 01:07:06.100]   Nope the
[01:07:06.100 --> 01:07:10.100]   Deadline is 11 59 p.m. Pacific time June 8th
[01:07:10.100 --> 01:07:16.500]   So I presume that by you know the next couple of weeks will learn you go to Android comm slash n and
[01:07:17.020 --> 01:07:22.020]   You name Android and I love I guess this is the Indian dish nay up nay up home
[01:07:22.020 --> 01:07:24.300]   Napalm
[01:07:24.300 --> 01:07:26.300]   Yeah
[01:07:26.300 --> 01:07:31.700]   Android napalm really I don't know if they name palm is really the name we should get
[01:07:31.700 --> 01:07:41.020]   Here's noodles and nectarines nutmeg. Oh, I like this one. It had a post-it note. It's Narshemelow
[01:07:42.020 --> 01:07:48.580]   Post the post-it note fell off. We only see they took marshmallow crossed off the M and put the N on there
[01:07:48.580 --> 01:07:50.580]   And then posted no fell off
[01:07:50.580 --> 01:07:55.460]   Navy bean I that's not a dessert nuts and not shows
[01:07:55.460 --> 01:07:58.260]   If only not shows were dessert
[01:07:58.260 --> 01:08:06.940]   Not sure what they're saying is it doesn't have to be a dessert anymore nut shows anymore. What about nut shows
[01:08:09.220 --> 01:08:12.340]   Nuts and not shows together two great treats
[01:08:12.340 --> 01:08:19.380]   Together at last and then there's a video about of the naming. I wish it were like this
[01:08:19.380 --> 01:08:21.540]   This is straight out of Silicon Valley, right?
[01:08:21.540 --> 01:08:26.740]   John Smith. I'm CEO of PNI professional naming
[01:08:26.740 --> 01:08:34.820]   Big the latest version of Android needs a name they want people everywhere to share their ideas
[01:08:34.820 --> 01:08:41.140]   But I think it's a job for PNI they had Kit Kat a while ago jelly bean lollipop marshmallow
[01:08:41.140 --> 01:08:46.660]   I was thinking maybe since we had marshmallow last time maybe now we were gonna have Narshemelow
[01:08:46.660 --> 01:08:54.660]   I don't hate it. Maybe like toasted Narshemelow if you show me you you want to make sure his name is chum is inspired
[01:08:54.660 --> 01:08:58.900]   People on the streets. They wouldn't understand a lot of what we're doing. There's a lot of mathematics and
[01:08:59.300 --> 01:09:04.100]   Matrix in it, but it's it's half science and half art. It's but it's math and art
[01:09:04.100 --> 01:09:08.820]   It's like a baby when you give birth to a baby. It's science, but it's a baby and that is a soul
[01:09:08.820 --> 01:09:11.540]   And then you have to name it. Not show. That's
[01:09:11.540 --> 01:09:14.820]   It's a nut show
[01:09:14.820 --> 01:09:20.980]   Everything is changing constantly. It's a global world. If you don't do it right away
[01:09:20.980 --> 01:09:24.340]   It's pretty good on a t-shirt nashi pear
[01:09:24.340 --> 01:09:27.540]   Naval orange
[01:09:27.540 --> 01:09:32.900]   Direct distinct. You know exactly what it is. I feel really close to Narshemelow. I love
[01:09:32.900 --> 01:09:38.900]   Because it's got a length to it. They say if a shark stops swimming, it's it's dying
[01:09:38.900 --> 01:09:42.900]   I don't know if it's dying if it stops swimming or if you're not out there
[01:09:42.900 --> 01:09:45.940]   Like a shark naming things
[01:09:45.940 --> 01:09:50.660]   I'm not sure if that's okay
[01:09:55.300 --> 01:10:01.940]   We don't need these guys reads the text. We just need you. What would you name hashtag andra and
[01:10:01.940 --> 01:10:07.300]   I think that's actually it's a lot of fun. It's not gonna get bogey mcboe face. It's gonna get uh, something
[01:10:07.300 --> 01:10:10.260]   You know, uh, land or associates. Yeah, that's what they do, right?
[01:10:10.260 --> 01:10:15.620]   That's what they do. Yeah, they I think they created verizon. They call it branding
[01:10:15.620 --> 01:10:19.220]   Or nanding
[01:10:25.220 --> 01:10:30.340]   I did see a couple of sharp worded tweets about how it was a little bit
[01:10:30.340 --> 01:10:36.180]   Maybe of a bad idea to ask people to come up with why they don't have to tell anybody what they heard. Is there a prize?
[01:10:36.180 --> 01:10:37.780]   Well
[01:10:37.780 --> 01:10:42.580]   You don't want to ask for an explicit n-word. Yeah. Oh, I see what you're saying. But nobody
[01:10:42.580 --> 01:10:45.940]   Well, there's nowhere. No one's seeing seeing it, right?
