;FFMETADATA1
title=More Burritoshot than Moonshot
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=378
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2016
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.400]   It's time for Twig this week in Google Jeff Jarvis is here Mike Elgin is in studio with us
[00:45:38.860 --> 00:45:45.260]   Google facebook and others are responsible for creating an environment which we can just hear what we want to hear
[00:45:45.260 --> 00:45:49.900]   Not hear anything that we don't want to hear and that is just and boy you
[00:45:50.700 --> 00:45:53.020]   I don't know if there is a culprit, but you certainly
[00:45:53.020 --> 00:45:57.420]   Can see that the country is kind of dividing into
[00:45:57.420 --> 00:46:03.900]   Camps right that don't really listen to voices from the other side, right? There's no doubt about that
[00:46:03.900 --> 00:46:06.380]   um, is this evidence?
[00:46:06.380 --> 00:46:08.780]   Of a filter bubble. I know
[00:46:08.780 --> 00:46:14.460]   You've denied that there's a filter bubble jeff. No, i'm not fully denied it, but I think it's I think it's not the fact
[00:46:14.460 --> 00:46:20.620]   Everyone concentrates on the negative expose you also have more right exactly exactly
[00:46:20.780 --> 00:46:25.500]   We're exposed to so much more we have more opportunity to get facts and new opinions and some sense of other sides
[00:46:25.500 --> 00:46:29.580]   And we have all of that, but of course, uh, you know the nattery and napobs of negativism here
[00:46:29.580 --> 00:46:35.900]   Concentrate just on the negative and the negative that that that justifies our existence
[00:46:35.900 --> 00:46:39.580]   Either there's no greater fill of us just quoted spiro agnew with an idea
[00:46:39.580 --> 00:46:47.500]   And but that reminds me spiro agnew did fall because his tax returns and his connections with nefarious folks
[00:46:47.500 --> 00:46:50.140]   Revealed while he was in office. Yeah, so
[00:46:50.940 --> 00:46:52.940]   There you go. There's a
[00:46:52.940 --> 00:46:58.780]   Wave with a helicopter. Yeah, um, but one one thing. I'm sorry. Go ahead. I
[00:46:58.780 --> 00:47:02.540]   Lost it. So go ahead. I'm sorry. I'm sorry about that
[00:47:02.540 --> 00:47:06.460]   So it's okay one one key difference that people need to understand whenever you talk about
[00:47:06.460 --> 00:47:13.500]   Facebook and google and filter bubbles and google would be quick to point this out is that in fact google's search doesn't filter
[00:47:13.500 --> 00:47:18.220]   It's technically not a fickle filter. They rank they give you all the results
[00:47:18.860 --> 00:47:23.580]   And they choose the order now that that may be splitting hairs, but facebook on the one hand
[00:47:23.580 --> 00:47:30.300]   Literally filters what they they never delivered to your newsfeed the majority of the things that people you follow have posted
[00:47:30.300 --> 00:47:34.060]   Well, you wouldn't want that you can see that on the right of the page you can see it all
[00:47:34.060 --> 00:47:36.060]   I understand what exactly
[00:47:36.060 --> 00:47:40.860]   But again again 50 percent of milleniums don't even know it's happening so they're not going to go in and tweak their settings
[00:47:40.860 --> 00:47:43.180]   but by default they
[00:47:43.180 --> 00:47:45.340]   Actually never deliver the majority
[00:47:46.060 --> 00:47:49.820]   Okay, let me rephrase that delivers all of it every time you know what?
[00:47:49.820 --> 00:47:52.460]   Amazon never gives you every book
[00:47:52.460 --> 00:47:57.180]   Amazon only gives you books that Amazon thinks you're gonna like you're in a book filter bubble
[00:47:57.180 --> 00:48:02.060]   No, I'm in a recommendation system that gives me greater relevance and saves me effort
[00:48:02.060 --> 00:48:06.460]   And that's that's what facebook is doing. They say we we know from your behavior what you enjoy most
[00:48:06.460 --> 00:48:10.940]   Will give you more of that. I don't see any problem with that amazon does give you every book
[00:48:10.940 --> 00:48:15.580]   Um, no, no, not not in the recommendations. They give you not the motions
[00:48:15.900 --> 00:48:19.500]   Not ever this I could hey I can search for a friend and see everything you said mike
[00:48:19.500 --> 00:48:25.660]   I can see but there is a real reason a filter bubble search is worthless the real reason if you're probably you're absolutely right
[00:48:25.660 --> 00:48:28.380]   That's another issue the real reason a filter bubble exists is because we
[00:48:28.380 --> 00:48:37.500]   In wanna filter we respond. We like the filter bubble. I confirm I for instance followed every republican candidate in the primary
[00:48:37.500 --> 00:48:39.980]   Uh the libertarian the green
[00:48:40.700 --> 00:48:45.820]   Uh every democratic candidate on facebook. I wanted all of that feed and I keep seeing ben karsens
[00:48:45.820 --> 00:48:51.820]   Feed in there by the way, that's how I know for instance that of all of his opponents in the primaries ben karsen
[00:48:51.820 --> 00:48:57.980]   Was the one that stayed the truest to donald trump had carried a lot of water on facebook for donald trump almost every day
[00:48:57.980 --> 00:49:03.900]   Carson posted karsen posted no surprise then the karsens on stage during trump's acceptance
[00:49:03.900 --> 00:49:09.100]   Speech trump trump's team was very aware of the power of social media
[00:49:09.420 --> 00:49:15.420]   And used it masterfully and hand and we like filters novels clip cleanness was clearly not
[00:49:15.420 --> 00:49:20.780]   Oh, not at all and that spreads not just a social media per se one of my criticisms of the clinton campaign
[00:49:20.780 --> 00:49:23.420]   Was there was no sense of a grassroots effort there?
[00:49:23.420 --> 00:49:26.060]   I was an old style top-down campaign
[00:49:26.060 --> 00:49:30.940]   Uh, they didn't even enable this is my pet peeve but they didn't even enable people to get the damn yard signs
[00:49:30.940 --> 00:49:34.300]   So the trump won the yarn side battle and the perception that was there
[00:49:34.700 --> 00:49:40.460]   Amazing it was hard to volunteer for the campaign. There was no sense of that whereas in trump there was no organization
[00:49:40.460 --> 00:49:43.340]   So you could hey i'm part of the trump campaign. I can be whatever i want to be
[00:49:43.340 --> 00:49:46.140]   I love by the way
[00:49:46.140 --> 00:49:49.020]   karas and keeler writing in the san francisco chronicle
[00:49:49.020 --> 00:49:55.020]   Uh, we are we liberal elitists are now completely in the clear the government is in republican hands
[00:49:55.020 --> 00:50:00.060]   Let them deal with trump democrats can spend four years raising heirloom tomatoes meditating
[00:50:00.060 --> 00:50:04.140]   Reading jane austin traveling around the country tasting art is in beers
[00:50:04.620 --> 00:50:09.980]   Let the republicans build the wall and carry on the trade war with china and deport the undocumented and deal with opioids
[00:50:09.980 --> 00:50:16.780]   And we democrats can go for a long brisk walk and smell i'm literally going to do all of those things. Thank thank you karasan
[00:50:16.780 --> 00:50:19.820]   karasan keeler
[00:50:19.820 --> 00:50:25.580]   Uh, let's take a break. Um, I I didn't want to get political, but you know, it's the day after an election
[00:50:25.580 --> 00:50:27.980]   You kept it pretty real then you kept it real then
[00:50:27.980 --> 00:50:32.940]   Uh, yeah, well, we didn't go too far. There may be some dis- there may be disputes some that dispute that
[00:50:32.940 --> 00:50:38.460]   They're well, they're always are with me. That's all right. When we come back. Let's talk about uh adam bane
[00:50:38.460 --> 00:50:44.540]   What a shocker? Yeah, that is and then you can all go smell the roses our show today brought to you by the ring
[00:50:44.540 --> 00:50:47.340]   video doorbell i'm sorry stacey's not here she's
[00:50:47.340 --> 00:50:52.780]   Had an event right some sort of internet of things event she's become our internet of things
[00:50:52.780 --> 00:50:58.780]   Uh guru and boy there's a lot of internet things news in the news these days
[00:50:59.180 --> 00:51:04.620]   But there's one internet of things device. I don't even think of as an internet of things device because it's so darn useful
[00:51:04.620 --> 00:51:12.940]   You don't need a hub to control it. It's secure. They do firmware updates and it serves a fantastic purpose
[00:51:12.940 --> 00:51:17.100]   It's the ring video doorbell and you know it doesn't unlock your door
[00:51:17.100 --> 00:51:21.900]   Uh, in fact, i'm nervous. I don't have a door lock that unlocks my door when I walk up to it
[00:51:21.900 --> 00:51:25.900]   That makes me nervous especially voice controlled one. Yeah. Hey door open. No
[00:51:26.460 --> 00:51:31.740]   This all this does is you put this you replace your regular ding donger with this and you don't by the way have to have a wired one
[00:51:31.740 --> 00:51:34.700]   Because the ring video doorbell there's several models
[00:51:34.700 --> 00:51:39.980]   But the model i have in my hands right now has a big old lithium ion battery good for a year and you can recharge it
[00:51:39.980 --> 00:51:42.780]   So it can add a doorbell to any door
[00:51:42.780 --> 00:51:47.820]   Uh, I use it on my wired doorbell though. It was very easy to install and has a complete kit
[00:51:47.820 --> 00:51:50.220]   Everything you need to do
[00:51:50.220 --> 00:51:54.940]   The only thing that really kind of makes it an internet of things device is then you pair it to your wifi
[00:51:55.740 --> 00:51:59.180]   And now when the doorbell rings not only does the chime ring in your house
[00:51:59.180 --> 00:52:06.540]   But it rings on your phone no matter where you are on your tablet on your windows or mac pc
[00:52:06.540 --> 00:52:13.580]   And you can answer it because there's a speaker in a microphone built in you can see who's there there's a high def camera built in
[00:52:13.580 --> 00:52:16.300]   So so it's like your home
[00:52:16.300 --> 00:52:21.020]   Which is really great for security because if some bad guy comes up to your door thinking
[00:52:21.340 --> 00:52:25.900]   I wonder if their home rings your doorbell. You could say we're home go go away
[00:52:25.900 --> 00:52:31.820]   And by the way almost every week. I just saw another story about a ring video doorbell caturing a thief
[00:52:31.820 --> 00:52:35.500]   On camera and getting the guy arrested so it really does work that way
[00:52:35.500 --> 00:52:38.700]   But I you know what we live in a safe neighborhood that's never happened to me
[00:52:38.700 --> 00:52:41.740]   But I like knowing when the kids come up to ring the doorbell and run away
[00:52:41.740 --> 00:52:47.500]   I like seeing when the uh ups or fedex guy comes and I can say hey leave the package on the porch
[00:52:47.820 --> 00:52:49.900]   And I can even keep an eye on it. He's got you know
[00:52:49.900 --> 00:52:53.260]   It's never happened to you because you have evidence that it's never happened to you because if it had
[00:52:53.260 --> 00:52:58.380]   Have happened to you you would have a video of it. So isn't that I mean I love that
[00:52:58.380 --> 00:53:03.420]   Now if you know something Leo, I knocked on a lot of doors the last four months in Pennsylvania
[00:53:03.420 --> 00:53:07.820]   And even though I didn't see you know rings on every doorbell lord knows that you saw a lot it changes
[00:53:07.820 --> 00:53:13.340]   It changes the but but but it's already had an impact I think on your behavior at someone's front door
[00:53:13.340 --> 00:53:16.780]   Yeah, yeah, because they're looking at you. You're not picking those
[00:53:17.500 --> 00:53:23.980]   Yeah, and and I can see if it's one of them darn clinton canvassers and I hope that's exactly true
[00:53:23.980 --> 00:53:26.620]   Here go away
[00:53:26.620 --> 00:53:32.780]   People often shocked when I tell them that I bring my ring video doorbell with me around the world and everywhere I stay at an air bmb
[00:53:32.780 --> 00:53:37.660]   I install it. Yes. Yes. Yes. Yes. Sometimes with duct tape. Sometimes without
[00:53:37.660 --> 00:53:42.140]   Yes, I I would you're hooked never leave home without yeah, I
[00:53:43.340 --> 00:53:47.740]   It's even better. It's even more important when you're living abroad because when I come that's a good boy
[00:53:47.740 --> 00:53:52.060]   I'm staying in an air bmb all the neighbors know that whoever staying there is a foreigner probably has a lot of money
[00:53:52.060 --> 00:53:56.700]   And it's a good one. I come back from being out in the town
[00:53:56.700 --> 00:54:01.260]   I can just check my phone before I even go in the house and know if anybody's inside
[00:54:01.260 --> 00:54:05.900]   It's very it's very reassuring from a from a piece of mine point of view
[00:54:05.900 --> 00:54:07.100]   I completely agree
[00:54:07.100 --> 00:54:11.100]   They have a variety of other products too if you want to observe the sides of the back of your house
[00:54:11.100 --> 00:54:15.020]   They have the stick up cam, which is a ring video doorbell minus a doorbell
[00:54:15.020 --> 00:54:18.460]   So it's got the camera the microphone the speaker you can go. Hey, what are you doing back there?
[00:54:18.460 --> 00:54:20.780]   It's fun to scare the cats too
[00:54:20.780 --> 00:54:24.860]   Yeah, you can see the video on your phone on your tablet on your computer
[00:54:24.860 --> 00:54:28.540]   They even have a little solar panel you can connect so it has no wires at all
[00:54:28.540 --> 00:54:34.140]   It's powered by the solar panel has a battery so the panel charges it up at during the day and it works all night
[00:54:34.140 --> 00:54:40.060]   All the ring doorbells and the stick up cam have motion sensors and they will alert you
[00:54:40.620 --> 00:54:43.820]   Um, and they're you know, they're really affordable you in fact
[00:54:43.820 --> 00:54:49.340]   We've got these kits a hundred up to 150 dollars off a ring a security kit that includes a variety of different ring products
[00:54:49.340 --> 00:54:55.580]   Every kit comes with the solar powered ring security sign to let the world know that you are protected
[00:54:55.580 --> 00:54:57.660]   Yes, you can pack that in your suitcase too
[00:54:57.660 --> 00:55:01.980]   Uh, they also offer a chime which can be a doorbell when there is no doorbell
[00:55:01.980 --> 00:55:06.620]   So you can extend the range of your doorbell. There's some some great stuff on there just go to ring.com slash
[00:55:07.180 --> 00:55:11.740]   Twig and save up to 150 bucks off ring ring.com
[00:55:11.740 --> 00:55:14.540]   slash twig
[00:55:14.540 --> 00:55:16.620]   Your ring video doorbell
[00:55:16.620 --> 00:55:23.980]   That is one good thing about the election being over robo calls. Yes are done right. I hope
[00:55:23.980 --> 00:55:26.780]   Wow, that was out of control
[00:55:26.780 --> 00:55:30.460]   Not so much in california where we were kind of giving up
[00:55:30.460 --> 00:55:35.820]   Nobody nobody thought we but there were a few I kept I was getting three or four calls a day
[00:55:35.900 --> 00:55:41.660]   I couldn't stop the bernie sanders spam. It just kept coming even after he dropped out
[00:55:41.660 --> 00:55:46.060]   Even after he jumped dropped out and I kept unsubscribing and it just nothing could stop it
[00:55:46.060 --> 00:55:48.780]   I did get a lot you know, I gave money to clet the clinton campaign
[00:55:48.780 --> 00:55:53.740]   I did get a lot of calls once you give money I gave money to abama last time and once you give money
[00:55:53.740 --> 00:55:56.220]   They're gonna keep calling you. Yeah, it was fun
[00:55:56.220 --> 00:55:59.580]   You got a hook in your mouth because at least it was getting all the Donald Trump mail
[00:55:59.580 --> 00:56:04.940]   So we really had it covered so so can we can we talk a bit about mail mailing list because I said I think this is another tech
[00:56:05.020 --> 00:56:07.020]   angle one of the
[00:56:07.020 --> 00:56:14.220]   Terrifying things for trump opponents out of this whole election and this is a minor detail that slipped the attention of lots of people
[00:56:14.220 --> 00:56:16.940]   But but for for a variety of reasons
[00:56:16.940 --> 00:56:22.460]   Trump was the trump campaign and donald trump personally was given full access
[00:56:22.460 --> 00:56:24.940]   uh to the entire gop
[00:56:24.940 --> 00:56:26.620]   mailing list
[00:56:26.620 --> 00:56:32.860]   Inperpetuity which he can use in the future for any purpose he wants he also had his own separate mailing list
[00:56:33.420 --> 00:56:37.740]   Um that was that he did not give the republican party access to right?
[00:56:37.740 --> 00:56:43.580]   Donald trump now has the world's largest political mailing list that he personally can control
[00:56:43.580 --> 00:56:51.020]   Uh, it's the definition every year. I'm sure i've had there the democrats. No, no, I believe that on the democratic side that the candidate
[00:56:51.020 --> 00:56:56.060]   Uh for double hillary plinton doesn't get to keep that and use it and and and email people
[00:56:56.060 --> 00:56:59.100]   Uh, it was it's uh the result of a variety of things
[00:56:59.100 --> 00:57:03.740]   But I was shocked to discover that and I back when I thought trump would lose
[00:57:03.740 --> 00:57:06.700]   I thought well, this is going to be the foundation of his media empire
[00:57:06.700 --> 00:57:11.660]   He's gonna he and and rod roger ails are going to launch a fox competitor
[00:57:11.660 --> 00:57:17.260]   And and they're going to clobber them because they have that they have the gop and the donald trump mailing list away
[00:57:17.260 --> 00:57:22.780]   That rumor is another great example of the bubble that the media was in yeah
[00:57:22.780 --> 00:57:26.860]   Well a trump's gonna lose right and b when he does it he's gonna do what we do
[00:57:27.100 --> 00:57:30.540]   Right. It was like completely confabulated around
[00:57:30.540 --> 00:57:34.780]   The media's sense of what's going on in the work, but there was some evidence
[00:57:34.780 --> 00:57:38.860]   The empire kind of started on facebook live. Oh, yeah, right?
[00:57:38.860 --> 00:57:43.340]   Uh editor on leave. Yeah, steve bannon would probably have likes too. I think both
[00:57:43.340 --> 00:57:47.500]   I wonder what bannon's role will he be press secretary in the oh, he's gonna have to shave
[00:57:47.500 --> 00:57:55.340]   No, no, no, he's a suit. He's a he's a callea conway. You think she'll have a role in the administration. Oh, yeah, typically campaign
[00:57:56.140 --> 00:57:58.140]   Uh
[00:57:58.140 --> 00:58:02.220]   Chairs yeah, you're right. She can she can maybe make more money just going on to the campaign
[00:58:02.220 --> 00:58:09.660]   Professional political consultant. Yeah. Yes. So typically people like james carville don't take a position in the administration. Yes
[00:58:09.660 --> 00:58:13.340]   They're hired guns that move on right. Although one wonders
[00:58:13.340 --> 00:58:20.620]   Whether she and david axle rod became head of staff. He did that's that's absolutely right. He was an advisor though to clinton
[00:58:20.620 --> 00:58:22.700]   But left pretty quickly
[00:58:22.700 --> 00:58:25.020]   if i um
[00:58:25.020 --> 00:58:30.620]   Conway though, will she get any credit for trump's victory really? Yes, I think she will. Oh, oh, yes
[00:58:30.620 --> 00:58:33.980]   She put up with a lot of crash. Well, she put up with okay. She has to defend a lot of
[00:58:33.980 --> 00:58:39.740]   Apparently it seemed as if uh, trump was running his own campaign single handedly, right?
[00:58:39.740 --> 00:58:46.940]   Um, you know lewanda ski was fired and uh conway took over with the and and bannon with no
[00:58:46.940 --> 00:58:51.900]   Seeming change in strategy. I wonder i guess we'll someday somebody will write the book
[00:58:52.220 --> 00:58:55.020]   I can I look forward to reading it. Yeah, jess
[00:58:55.020 --> 00:58:59.580]   Well, no, somebody was somebody with insider access the whole time. I would hope
[00:58:59.580 --> 00:59:02.860]   This is a surprise. Um
[00:59:02.860 --> 00:59:07.020]   Adam bane is widely considered the most likable guy at twitter
[00:59:07.020 --> 00:59:13.900]   He ran sales right jeff before he was moved to coo get over to twitter in 2010 from um murdock
[00:59:13.900 --> 00:59:19.500]   Yeah, I usually used to work with him at advancement years ago. Oh, you know it comes from me. Yeah. Yeah, great guy
[00:59:19.660 --> 00:59:26.060]   Really, really wonderful executive. Uh, yeah, when they were talking about who's going to be the next ceo before they
[00:59:26.060 --> 00:59:28.780]   made jack dorsey the ceo
[00:59:28.780 --> 00:59:33.580]   Uh, his name was most widely touted. He uh wrote in a statement
[00:59:33.580 --> 00:59:38.060]   Uh, the past six years have been incredible. I'm inspired by what twitter has become
[00:59:38.060 --> 00:59:40.700]   And what it will be in the future
[00:59:40.700 --> 00:59:47.420]   Anthony and I have worked side by side since he joined twitter in 2014. Anthony is his successor by the way, Anthony natto
[00:59:48.220 --> 00:59:52.140]   The cfo he's gonna take the least temporary successor like the coo
[00:59:52.140 --> 00:59:55.020]   Uh wall twitter searches for a new cfo
[00:59:55.020 --> 00:59:59.180]   So I guess no no natto is going to be the coo and they're going to replace him. Yeah, anthony
[00:59:59.180 --> 01:00:01.180]   I've worked side by side since he joined twitter
[01:00:01.180 --> 01:00:04.460]   2014 I have full faith in what he and the team will accomplish in the future
[01:00:04.460 --> 01:00:07.260]   Why is adam bane leaving?
[01:00:07.260 --> 01:00:14.300]   That's the question everybody's going to be asking is this an ouster is jack dorsey trying to consolidate
[01:00:15.420 --> 01:00:21.020]   Um, certainly nobody dislikes adam bane spent more time with family. They always say that
[01:00:21.020 --> 01:00:24.700]   Uh, i'm looking in the new york times story
[01:00:24.700 --> 01:00:30.140]   Um people work with bane requested anonymity
[01:00:30.140 --> 01:00:34.620]   Said he would not join a major twitter competitor like facebook
[01:00:34.620 --> 01:00:38.540]   Instead he'll more likely pursue something outside the advertising
[01:00:38.540 --> 01:00:42.300]   industry, but I don't think there's anything in here that says
[01:00:44.380 --> 01:00:47.340]   Whether he's leaving on his own. I think he's been poached
[01:00:47.340 --> 01:00:55.420]   Whether he's been poached or whether twitter's forcing him out. He'll be working first. Just gonna have to read the tea leaves
[01:00:55.420 --> 01:01:02.620]   Don't know what it means. Uh jeff you uh, where do you stand on the pixel now you keeping it
[01:01:02.620 --> 01:01:11.100]   So here's here's my here's my bad to worst story. It should have been this is an omen
[01:01:11.820 --> 01:01:14.300]   So I go to the philadelphia rally for hillary clinton
[01:01:14.300 --> 01:01:17.980]   and uh, you know wonderful
[01:01:17.980 --> 01:01:20.940]   event, you know huggy with my fellow liberals
[01:01:20.940 --> 01:01:25.580]   Um, that's the one john bonjovas was that right? Yeah, so I see bah
[01:01:25.580 --> 01:01:29.260]   I see the back of bonjovie and then the back of the boss. It was a weird setup
[01:01:29.260 --> 01:01:34.220]   So but I was in the crowd of loving me. Steve was there too. That's right. He was there too. Yeah. Yeah, it's under road
[01:01:34.220 --> 01:01:36.780]   In fact, I saw your picture from behind
[01:01:36.780 --> 01:01:41.100]   I remember seeing the picture a little tiny a little tiny boss
[01:01:41.900 --> 01:01:43.500]   The other horizon
[01:01:43.500 --> 01:01:47.260]   Uh, and I was actually pretty close actually I thought yeah, it looks pretty good like a good
[01:01:47.260 --> 01:01:53.340]   I was close, but it was but it was but it was the guy went far back from me. Anyway, all those people are shouldn't be voting but anyway
[01:01:53.340 --> 01:01:55.100]   um
[01:01:55.100 --> 01:01:56.700]   So I come home
[01:01:56.700 --> 01:01:58.700]   and I have my
[01:01:58.700 --> 01:02:00.220]   Old
[01:02:00.220 --> 01:02:01.740]   6p in my pocket
[01:02:01.740 --> 01:02:05.980]   And I'm I wrote a piece about how I always grumpy and i'm thinking okay fine. I'm gonna get the real this thing
[01:02:05.980 --> 01:02:09.580]   I'm probably no i'm not gonna do it. I'm not gonna spend a month before fortunate i'm probably about this
[01:02:10.220 --> 01:02:15.420]   And I'm luckily I hadn't done anything yet, but I better with a toilet and boom in goes no
[01:02:15.420 --> 01:02:18.540]   So god chose
[01:02:18.540 --> 01:02:21.580]   Well, yes or no, I mean I dried it off and it seems to be okay
[01:02:21.580 --> 01:02:28.380]   6p, do you remember if it was I don't think it was uh, no, I don't think it was
[01:02:28.380 --> 01:02:32.700]   So I hope it's kind of but I think that may be god telling me yes to go ahead
[01:02:32.700 --> 01:02:36.780]   I think you're gonna like the pixel. I have the little one now. I'm using the excel
[01:02:36.780 --> 01:02:41.980]   Oh, yeah, yeah, you like you know and I really like did you take this picture with the pixel or with a 6p the
[01:02:41.980 --> 01:02:49.100]   O6b okay, okay the camera. I think you're gonna really like the camera. Yeah, so so the eyes are what appear
[01:02:49.100 --> 01:02:53.660]   I I know it's become a joke on this show and that's fine because it's shtick
[01:02:53.660 --> 01:03:01.100]   But it's really really honest to god true. I have just frigging frigging had it with google and and and and the
[01:03:01.660 --> 01:03:09.980]   Treating g spot. Oh, I'm sorry g suite. Yeah, I count users formerly known as apps users as second class citizens when we are the paying customers
[01:03:09.980 --> 01:03:17.820]   What other companies disadvantaged they're paying customers. This is not hard to solve just give me the option of saying
[01:03:17.820 --> 01:03:23.100]   I want this calendar related with that activity. I want those photos related that activity
[01:03:23.100 --> 01:03:27.980]   Just gonna give me the customer the option it is shameful and I was just reading through the comments on medium after I wrote this
[01:03:28.140 --> 01:03:32.780]   People saying yeah, I've had it the same thing with the home that arrived
[01:03:32.780 --> 01:03:35.580]   Right
[01:03:35.580 --> 01:03:38.940]   Complain about that because it doesn't work with the calendar
[01:03:38.940 --> 01:03:44.620]   Exactly because I'm a g spot. Excuse me g suite customer and actually you know
[01:03:44.620 --> 01:03:48.780]   What's amazing the Amazon echo does a better job of the google calendar in the google home. Yes
[01:03:48.780 --> 01:03:52.220]   So google dammit
[01:03:52.220 --> 01:03:54.540]   Good google
[01:03:54.540 --> 01:03:57.020]   Neuban go go
[01:03:57.820 --> 01:04:02.540]   I'm not joking. I'm really I'm really just pissed off. I hear I am a google fan boy. I talk about you
[01:04:02.540 --> 01:04:07.580]   I say one of the things I defend you in europe. I do all these great things, but jesus freaking google
[01:04:07.580 --> 01:04:10.700]   This is your shortest company on earth
[01:04:10.700 --> 01:04:13.020]   Solve it
[01:04:13.020 --> 01:04:14.380]   It's not hard
[01:04:14.380 --> 01:04:21.820]   Give your customers the option of how to use their own damn stuff and their own damn identity with the activities that you get
[01:04:21.820 --> 01:04:24.220]   and do not
[01:04:24.220 --> 01:04:28.620]   Disadvantage your pain customers. So not just it just pissed me off all over again
[01:04:28.620 --> 01:04:33.340]   There are things that I can't do because I'm in a sweets application that number one number two
[01:04:33.340 --> 01:04:35.740]   It is wildly expensive to my view and yes
[01:04:35.740 --> 01:04:39.820]   Others have pointed out to me on medium that it's overpriced like other phones are overpriced
[01:04:39.820 --> 01:04:43.980]   Um, but I think it's a rich person's pricing and number three
[01:04:43.980 --> 01:04:48.140]   I do resent the idea that they limit assistant because it's BS that
[01:04:48.140 --> 01:04:52.460]   Assistant is limited to the pixels absolute BS. There's no reason for it
[01:04:52.460 --> 01:04:55.820]   So so what they've done is they've they've forked their own android
[01:04:55.820 --> 01:05:02.940]   And those who spend too much money on their phone get a function that the rest of android users who've made google huge
[01:05:02.940 --> 01:05:09.180]   Should be nine out of ten phones with android won't let them use that's BS google
[01:05:09.180 --> 01:05:16.860]   So i'm grumpy about all those things around the phone. I'm and and I got the rma. I have 14 days to decide
[01:05:16.860 --> 01:05:19.500]   From when I got it two days ago
[01:05:19.500 --> 01:05:23.180]   Um, and the other thing I've done so I've tried three times now three times
[01:05:23.180 --> 01:05:27.660]   I've tried to go ahead and say all right. Let me go ahead and put the two wires in and i'll move everything over
[01:05:27.660 --> 01:05:31.740]   Hours it's spent and this stuff never arrives. It never finishes
[01:05:31.740 --> 01:05:35.500]   So I don't know if that's just because there's a lot
[01:05:35.500 --> 01:05:39.580]   I don't know. Yeah, so that was I by the way, I thought a nice feature
[01:05:39.580 --> 01:05:44.780]   Powered by the type c connector. I guess although I could do it with a regular usb
[01:05:45.420 --> 01:05:49.020]   As well, but I was able to connect the six p to the pixel
[01:05:49.020 --> 01:05:52.940]   And just say copy and it copies all the how long did it take?
[01:05:52.940 --> 01:05:58.140]   You're not going three hours. No, no, no, it was like an hour and I and I had a lot of stuff
[01:05:58.140 --> 01:06:04.140]   I don't I think there's something going on there. I don't know how to because it's it's it's autumn as I can't figure out how to do that
[01:06:04.140 --> 01:06:08.620]   So so you know you're spending a fortune on this thing and they're pissing me off
[01:06:08.620 --> 01:06:11.420]   And they're playing a game with us
[01:06:12.300 --> 01:06:17.660]   And so here I am we're on this week in google and i've been i'm the google fanboy been there all along but but google
[01:06:17.660 --> 01:06:19.740]   You've made me grumpy. You really made me grumpy
[01:06:19.740 --> 01:06:23.100]   I don't yeah, so there's another casualty of
[01:06:23.100 --> 01:06:25.820]   roost porets
[01:06:25.820 --> 01:06:28.540]   Belt tightening at alphabet
[01:06:28.540 --> 01:06:32.700]   Uh the drone project. I remember we were talking about project. I'm in august. Yeah
[01:06:32.700 --> 01:06:36.140]   Uh, that was that was the one that was delivering chipotle
[01:06:36.860 --> 01:06:43.180]   uh burritos to students of Virginia tech remember we had positive that you'd have to have a burrito umbrella to
[01:06:43.180 --> 01:06:47.100]   Keep from the burrito hitting you clomering you in the head as they dropped it off
[01:06:47.100 --> 01:06:54.460]   Um, it won approval for test flights in august as part of a white house effort to encourage unmanned vehicle delivery
[01:06:54.460 --> 01:06:59.340]   Uh, they were considering and then next a partnership with starbucks
[01:06:59.340 --> 01:07:02.620]   Uh, this is according to bloomberg technology
[01:07:03.420 --> 01:07:08.460]   Uh, the project leader left in october dave, uh, devos and the unit froze hiring
[01:07:08.460 --> 01:07:11.500]   And began asking staff to seek jobs elsewhere
[01:07:11.500 --> 01:07:15.660]   In the company so the drone project
[01:07:15.660 --> 01:07:20.780]   Uh, not exactly a moonshot more like a burrito shot right?
[01:07:20.780 --> 01:07:22.860]   but
[01:07:22.860 --> 01:07:25.820]   I didn't care about the burrito one but the latte one that latte
[01:07:25.820 --> 01:07:32.540]   I really wanted so you you'd have uh heirloom tomatoes. Uh, yes gently dropped from hell from
[01:07:33.100 --> 01:07:35.980]   parachutes to you. Yes, that would be nice
[01:07:35.980 --> 01:07:38.860]   That would be nice
[01:07:38.860 --> 01:07:40.860]   Uh, deep mind
[01:07:40.860 --> 01:07:43.980]   The google uh ai that won, uh, the go
[01:07:43.980 --> 01:07:51.500]   Competition against one of the top go players in the world is now going to take on something even harder than chess or go
[01:07:51.500 --> 01:07:53.820]   starcraft 2
[01:07:53.820 --> 01:07:55.100]   Yeah
[01:07:55.100 --> 01:07:59.340]   Actually if it's playing those, you know, I stopped playing games like this online
[01:08:00.140 --> 01:08:03.500]   Because there are kids in korean, uh, cyber cafes
[01:08:03.500 --> 01:08:09.580]   Who have the reflexes of you know, and now those kids are going to see what it's like when deep mind is out there
