;FFMETADATA1
album=This Week In Google
artist=Leo Laporte, Jeff Jarvis and Gina Trapani
iTunPGAP=0
comment=http://twit.tv/twig150
encoded_by=iTunes v7.0
genre=Tech News
TGID=http://www.podtrac.com/pts/redirect.mp3/twit.cachefly.net/twig0115.mp3
TDES=Hosts: Leo Laporte, Jeff Jarvis, and Gina Trapani\
\
Apple's iPhone 4S keynote, what is PhoneGap, \# on Google +, Google won't screw up Android, and more cloud news.\
\
Download or subscribe to this show at twit.tv/twig.\
\
We invite you to read, add to, and amend our show notes.\
\
Friendfeed links for this episode.\
\
Thanks to Cachefly for the bandwidth for this show.\
\
Running time: 1:29:14
track=150
title=This Week In Google 150: SIM surgery
date=2012
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.220]   Coming up, it's Twig.
[00:30:55.360 --> 00:30:57.520]   And this isn't, obviously, this isn't for users.
[00:30:57.520 --> 00:30:59.440]   This is like Google is paying people to--
[00:30:59.440 --> 00:31:01.200]   But they'll have indoor street views now.
[00:31:01.200 --> 00:31:04.920]   Right, well, hiking through national parks and that kind of thing and getting Street View
[00:31:04.920 --> 00:31:05.920]   for those places.
[00:31:05.920 --> 00:31:08.280]   Oh, Leo, you've got to get used to one of those.
[00:31:08.280 --> 00:31:09.280]   I want one of those.
[00:31:09.280 --> 00:31:10.280]   I don't--
[00:31:10.280 --> 00:31:12.280]   Do you want to talk to those also, Ben?
[00:31:12.280 --> 00:31:14.040]   It looks a little top heavy.
[00:31:14.040 --> 00:31:16.640]   Leo, I want that for the studio.
[00:31:16.640 --> 00:31:18.520]   OK, I want to wear one.
[00:31:18.520 --> 00:31:19.520]   Google--
[00:31:19.520 --> 00:31:20.520]   It looks enormous.
[00:31:20.520 --> 00:31:21.520]   Google, come please.
[00:31:21.520 --> 00:31:24.320]   Oh, look, there's Rafe Needleman trying to strap it in.
[00:31:24.320 --> 00:31:25.800]   Wow, Rafe.
[00:31:25.800 --> 00:31:27.200]   You've got to do it for him.
[00:31:27.200 --> 00:31:28.520]   Rafe, come over here, Rafe.
[00:31:28.520 --> 00:31:29.800]   He was on Twitter this Sunday.
[00:31:29.800 --> 00:31:31.360]   He said he was going to this event.
[00:31:31.360 --> 00:31:36.800]   Look at that, CNET's Rafe Needleman looking very sharp in a Google backpack with a Street
[00:31:36.800 --> 00:31:38.640]   View thing on it.
[00:31:38.640 --> 00:31:42.640]   It looks like a soccer ball with cameras or something.
[00:31:42.640 --> 00:31:50.080]   So Google basically has an army of pilots flying contracted planes around big cities,
[00:31:50.080 --> 00:31:51.080]   getting 3D imagery.
[00:31:51.080 --> 00:31:52.080]   Yes, it is.
[00:31:52.080 --> 00:31:55.880]   And now they've got an army of foot soldiers walking around with these backpacks on through
[00:31:55.880 --> 00:31:58.560]   national parks and places to get Street View images.
[00:31:58.560 --> 00:31:59.560]   It's pretty crazy.
[00:31:59.560 --> 00:32:01.200]   It really is.
[00:32:01.200 --> 00:32:04.560]   It's really crazy when you think about it.
[00:32:04.560 --> 00:32:05.560]   Wow.
[00:32:05.560 --> 00:32:06.560]   So I did get it.
[00:32:06.560 --> 00:32:09.640]   I did get an update to Maps, but this is not the one.
[00:32:09.640 --> 00:32:12.800]   I got an update this morning, but that's not the one.
[00:32:12.800 --> 00:32:13.800]   It's coming, right?
[00:32:13.800 --> 00:32:15.720]   Yeah, it's coming in the next few weeks.
[00:32:15.720 --> 00:32:18.440]   It'll be Android only at first.
[00:32:18.440 --> 00:32:20.480]   They're working on getting it to iOS, they said.
[00:32:20.480 --> 00:32:21.480]   Yeah, good luck.
[00:32:21.480 --> 00:32:22.480]   Yeah, good luck.
[00:32:22.480 --> 00:32:23.480]   Exactly.
[00:32:23.480 --> 00:32:24.480]   What is going to happen there?
[00:32:24.480 --> 00:32:25.480]   Apple just cut them off.
[00:32:25.480 --> 00:32:26.480]   No.
[00:32:26.480 --> 00:32:27.480]   No, okay.
[00:32:27.480 --> 00:32:28.480]   No, you get.
[00:32:28.480 --> 00:32:31.680]   In fact, that's probably what Google's thinking is, well, Apple plans to cut us off
[00:32:31.680 --> 00:32:36.160]   in September because they'll update everybody to iOS 6 and suddenly Apple Maps will replace
[00:32:36.160 --> 00:32:37.160]   Google Maps.
[00:32:37.160 --> 00:32:41.520]   So we've got a few months to show them what we can do so that people switch, right?
[00:32:41.520 --> 00:32:42.520]   What would be that?
[00:32:42.520 --> 00:32:45.640]   What would be the, they're not going to convince Apple to leave Google Maps and what they want
[00:32:45.640 --> 00:32:47.400]   to do is convince people to go to Android.
[00:32:47.400 --> 00:32:50.280]   Well, let me, let me cause trouble for a second.
[00:32:50.280 --> 00:32:54.000]   If Google gets in trouble for promoting its own products, then why shouldn't Apple get
[00:32:54.000 --> 00:32:57.920]   in trouble for promoting its own product if it's now a platform?
[00:32:57.920 --> 00:33:00.680]   You mean by putting as a restorative trade against Google?
[00:33:00.680 --> 00:33:01.680]   Well, so is Apple.
[00:33:01.680 --> 00:33:03.360]   I'll tell you why it doesn't bother.
[00:33:03.360 --> 00:33:07.560]   I know the answer, but, but, but, you know, there's just some kind of, if we all, if everybody
[00:33:07.560 --> 00:33:11.240]   goes after Google promoting your own stuff.
[00:33:11.240 --> 00:33:13.360]   Because Google is not a normal company, Jeff.
[00:33:13.360 --> 00:33:17.520]   Google has a higher responsibility as a search engine.
[00:33:17.520 --> 00:33:18.720]   Apple is a normal company.
[00:33:18.720 --> 00:33:20.720]   They sell a hardware product.
[00:33:20.720 --> 00:33:22.200]   They make their own software.
[00:33:22.200 --> 00:33:24.080]   They're not an agnostic search engine.
[00:33:24.080 --> 00:33:25.480]   Well, they're way to say.
[00:33:25.480 --> 00:33:26.480]   So what's the difference?
[00:33:26.480 --> 00:33:29.280]   So whether it's a hardware product or whether it's, shall we say, an operating system with
[00:33:29.280 --> 00:33:30.920]   a browser in it?
[00:33:30.920 --> 00:33:35.840]   You know, the difference between Apple and Microsoft, I'm just trying to, you know, I
[00:33:35.840 --> 00:33:36.840]   make it.
[00:33:36.840 --> 00:33:40.000]   Well, that's the, that's a legitimate case where you could say, look, Apple has a huge,
[00:33:40.000 --> 00:33:41.000]   do they have a monopoly?
[00:33:41.000 --> 00:33:43.000]   Cause that was the only reason it made a difference from Michael's Shaft.
[00:33:43.000 --> 00:33:44.000]   Right.
[00:33:44.000 --> 00:33:45.000]   They had a monopoly.
[00:33:45.000 --> 00:33:46.000]   Neither.
[00:33:46.000 --> 00:33:47.000]   Microsoft neither does Google.
[00:33:47.000 --> 00:33:48.000]   No, no, Microsoft, they did have a monopoly.
[00:33:48.000 --> 00:33:49.840]   That's why the browser thing was an issue.
[00:33:49.840 --> 00:33:51.520]   Because they had a monopoly.
[00:33:51.520 --> 00:33:53.080]   They had a monopoly.
[00:33:53.080 --> 00:33:55.080]   But, but Apple has a huge market share.
[00:33:55.080 --> 00:33:56.320]   I mean, what's Apple's market share?
[00:33:56.320 --> 00:33:59.280]   The difference between big, it's less than 50%.
[00:33:59.280 --> 00:34:02.720]   There's a difference between big market share and monopoly, huge difference.
[00:34:02.720 --> 00:34:03.720]   Same for Google.
[00:34:03.720 --> 00:34:04.720]   Same goes for Google.
[00:34:04.720 --> 00:34:06.640]   Google has 65% or 63% in the US.
[00:34:06.640 --> 00:34:07.640]   It's not a monopoly.
[00:34:07.640 --> 00:34:08.640]   Not a monopoly.
[00:34:08.640 --> 00:34:10.640]   Not a monopoly of search.
[00:34:10.640 --> 00:34:13.040]   So I don't think they have a legal responsibility.
[00:34:13.040 --> 00:34:15.040]   I'm not, I'm not, I'm not asserting that.
[00:34:15.040 --> 00:34:16.040]   I'm not arguing in this.
[00:34:16.040 --> 00:34:19.600]   I'm saying they have a moral responsibility not to promote their products on search, which
[00:34:19.600 --> 00:34:21.360]   is supposed to be agnostic.
[00:34:21.360 --> 00:34:23.800]   But the same with, you know, also I'm, I'm captive to this phone.
[00:34:23.800 --> 00:34:25.920]   I'm captive for two years.
[00:34:25.920 --> 00:34:29.160]   And now suddenly they're just going to change on me and say, no, no, no, Jeff, we're going
[00:34:29.160 --> 00:34:30.760]   to give you these maps instead.
[00:34:30.760 --> 00:34:34.120]   And they're using that, that, that stranglehold to do that.
[00:34:34.120 --> 00:34:37.640]   All I'm trying to say is I'm not, I'm not believing what I'm saying right now.
[00:34:37.640 --> 00:34:38.640]   Just be clear.
[00:34:38.640 --> 00:34:39.640]   I'm, I'm trying to play that.
[00:34:39.640 --> 00:34:40.640]   Well, good.
[00:34:40.640 --> 00:34:42.640]   That makes it easier to argue against you.
[00:34:42.640 --> 00:34:45.040]   You know, you don't really believe that.
[00:34:45.040 --> 00:34:46.040]   Do you?
[00:34:46.040 --> 00:34:49.120]   No, I know, I, I get what you're saying.
[00:34:49.120 --> 00:34:54.680]   And, but, but, but look at really, Apple's, this should come as no surprise.
[00:34:54.680 --> 00:34:58.720]   In fact, the surprise was that Apple was even allowing Google's maps on its phone.
[00:34:58.720 --> 00:35:02.040]   Apple wants to control the entire user experience.
[00:35:02.040 --> 00:35:07.240]   And the only reason they don't 100% control, look at you, you know, is because they, they
[00:35:07.240 --> 00:35:10.280]   don't have the resources to now they have the maps.
[00:35:10.280 --> 00:35:11.600]   They're going to push Google out.
[00:35:11.600 --> 00:35:12.600]   I'm sure.
[00:35:12.600 --> 00:35:13.600]   Right.
[00:35:13.600 --> 00:35:20.400]   So, so what's the harm of Google promoting its own stuff then using its own service?
[00:35:20.400 --> 00:35:24.440]   Because so, so if, so if, yeah, what if, what if Google decided, I don't care if Google
[00:35:24.440 --> 00:35:26.600]   buys a billboard promoting its own services.
[00:35:26.600 --> 00:35:29.600]   I don't want them to take search results.
[00:35:29.600 --> 00:35:32.440]   And the only risk to Google, there's no legal risk to Google.
[00:35:32.440 --> 00:35:36.200]   It's merely that people will leave Google saying, I can't trust the results.
[00:35:36.200 --> 00:35:38.600]   The problem is you, Bing is even worse.
[00:35:38.600 --> 00:35:39.600]   Yeah.
[00:35:39.600 --> 00:35:44.320]   And Google said, do no evil, which was a response to paid search results.
[00:35:44.320 --> 00:35:50.120]   Google implied that they would be above this.
[00:35:50.120 --> 00:35:51.120]   Right.
[00:35:51.120 --> 00:35:52.120]   I mean, I paid that argument myself a few weeks ago.
[00:35:52.120 --> 00:35:53.120]   Yeah, I know.
[00:35:53.120 --> 00:35:56.080]   But I'm just saying I think we get that everybody gets.
[00:35:56.080 --> 00:35:58.960]   So paranoid about Google and.
[00:35:58.960 --> 00:36:03.240]   Well, everybody's paranoid about Apple, but it's just kind of no, it's a known thing.
[00:36:03.240 --> 00:36:08.880]   It's like, of course, apples, you know, oh, you're surprised that Apple's predacious.
[00:36:08.880 --> 00:36:11.920]   You're surprised Apple wants to win it all costs.
[00:36:11.920 --> 00:36:12.920]   Really.
[00:36:12.920 --> 00:36:16.960]   And I know, I think it's been a long time since people have, and people did used to think
[00:36:16.960 --> 00:36:20.360]   of Apple this way, but it's been a long time since people thought of Apple as the nice
[00:36:20.360 --> 00:36:24.440]   company, the do no evil company, the company that cares more about you than profits.
[00:36:24.440 --> 00:36:26.680]   Nobody's thought that about Apple in a long time.
[00:36:26.680 --> 00:36:27.680]   Have they?
[00:36:27.680 --> 00:36:32.680]   No, no, no, no, no, we still like their stuff.
[00:36:32.680 --> 00:36:33.680]   Yeah.
[00:36:33.680 --> 00:36:36.480]   But we know that they're out to get us.
[00:36:36.480 --> 00:36:38.160]   Yeah.
[00:36:38.160 --> 00:36:45.280]   By the way, Google is not the only company bypassing Apple's privacy in an I ads.
[00:36:45.280 --> 00:36:49.880]   This is apparently, I don't know if I have that story here.
[00:36:49.880 --> 00:36:53.040]   I'll tell you what, I'll save it because I do want to talk about this.
[00:36:53.040 --> 00:36:54.040]   There's other.
[00:36:54.040 --> 00:36:55.040]   I think it's in there.
[00:36:55.040 --> 00:36:56.040]   Is it in here?
[00:36:56.040 --> 00:36:57.040]   Dank.
[00:36:57.040 --> 00:37:02.280]   I do want to talk a little bit about this because this was with Google got in a lot of trouble.
[00:37:02.280 --> 00:37:05.680]   It turns out there's everybody's doing it apparently.
[00:37:05.680 --> 00:37:13.600]   But first, let's talk about stamps.com.
[00:37:13.600 --> 00:37:14.600]   How about that?
[00:37:14.600 --> 00:37:15.600]   And then we'll come back.
[00:37:15.600 --> 00:37:16.600]   Jeff and Gina are here.
[00:37:16.600 --> 00:37:17.600]   We're talking about Google.
[00:37:17.600 --> 00:37:19.160]   Jeff, I know you got about a half an hour left.
[00:37:19.160 --> 00:37:20.160]   No, no, we're fine.
[00:37:20.160 --> 00:37:21.160]   We're five, half an hour, 45 minutes.
[00:37:21.160 --> 00:37:24.600]   Don't make it soft because I'll take every minute you give me.
[00:37:24.600 --> 00:37:27.400]   You see, I'm very aw, I'm making planes.
[00:37:27.400 --> 00:37:29.400]   I'm extremely ironic.
[00:37:29.400 --> 00:37:31.040]   It's two hours early.
[00:37:31.040 --> 00:37:32.040]   Oh, don't do it.
[00:37:32.040 --> 00:37:33.040]   Don't be like Bill Gates.
[00:37:33.040 --> 00:37:34.040]   You know what Bill Gates would do?
[00:37:34.040 --> 00:37:35.040]   He would...
[00:37:35.040 --> 00:37:36.040]   It's a freaking plane.
[00:37:36.040 --> 00:37:40.240]   No, no, before he, but when he used to fly economy, this is when he used to fly economy,
[00:37:40.240 --> 00:37:43.600]   he would wait to the very last minute to exactly how long it take to get from Microsoft's
[00:37:43.600 --> 00:37:45.960]   Redman headquarters to the Sea-Tac.
[00:37:45.960 --> 00:37:47.680]   He would time it to the minute he would arrive.
[00:37:47.680 --> 00:37:50.680]   His goal was to arrive as the door was closing.
[00:37:50.680 --> 00:37:51.680]   He would do it every time.
[00:37:51.680 --> 00:37:53.880]   No, that's way too stressful.
[00:37:53.880 --> 00:37:57.280]   And then he'd get in the plane and he'd cover his head with a jacket.
[00:37:57.280 --> 00:37:58.280]   Go to sleep.
[00:37:58.280 --> 00:37:59.280]   And that was it.
[00:37:59.280 --> 00:38:00.280]   That's the last.
[00:38:00.280 --> 00:38:01.280]   He's famous.
[00:38:01.280 --> 00:38:04.320]   Now those will all be the signs for being a terrorist.
[00:38:04.320 --> 00:38:05.320]   Exactly.
[00:38:05.320 --> 00:38:06.920]   I'm sorry, Mr. Gates.
[00:38:06.920 --> 00:38:09.640]   Take your shoes off now.
[00:38:09.640 --> 00:38:11.640]   We're brought to you today by the fines.
[00:38:11.640 --> 00:38:13.600]   Anyway, we'll get you out of here at a reasonable...
[00:38:13.600 --> 00:38:15.240]   When's your flight?
[00:38:15.240 --> 00:38:16.240]   830.
[00:38:16.240 --> 00:38:21.240]   Do you have a 530 flight?
[00:38:21.240 --> 00:38:22.240]   No, no, no, no.
[00:38:22.240 --> 00:38:25.080]   A car picking me up here, 540.
[00:38:25.080 --> 00:38:26.080]   Wait, okay.
[00:38:26.080 --> 00:38:28.040]   So it's five, your time now.
[00:38:28.040 --> 00:38:30.240]   I'm at Don Mills Road.
[00:38:30.240 --> 00:38:32.640]   Oh, I know where you are.
[00:38:32.640 --> 00:38:33.640]   No, it's wrong.
[00:38:33.640 --> 00:38:34.640]   It's easy to get to run on airport.
[00:38:34.640 --> 00:38:37.040]   It won't take you any time.
[00:38:37.040 --> 00:38:39.320]   Especially on a Wednesday night.
[00:38:39.320 --> 00:38:42.080]   How many flights have you ever missed, Leo?
[00:38:42.080 --> 00:38:43.560]   I've only missed one.
[00:38:43.560 --> 00:38:45.960]   I'm actually famous for doing exactly what you do.
[00:38:45.960 --> 00:38:46.960]   Okay, all right.
[00:38:46.960 --> 00:38:49.040]   I am late for everything.
[00:38:49.040 --> 00:38:50.400]   I mean, everybody knows this.
[00:38:50.400 --> 00:38:51.400]   It's Leo time, right?
[00:38:51.400 --> 00:38:52.960]   I'm always late for this show.
[00:38:52.960 --> 00:38:56.000]   But I'm always early for flights because there's a big difference.
[00:38:56.000 --> 00:38:57.640]   I'm late for Twig, not a big deal.
[00:38:57.640 --> 00:39:03.080]   If I'm late for a flight, your whole life gets a mess.
[00:39:03.080 --> 00:39:06.880]   Rush hour in Toronto, it's not bad.
[00:39:06.880 --> 00:39:09.560]   I shouldn't say that.
[00:39:09.560 --> 00:39:10.560]   We'll get you out of there at 530.
[00:39:10.560 --> 00:39:12.320]   In fact, I don't know if you're going to make it.
[00:39:12.320 --> 00:39:15.520]   I used to do the same thing because at the end of every week, I would go up to Toronto
[00:39:15.520 --> 00:39:17.960]   and shoot 15 shows in four days.
[00:39:17.960 --> 00:39:21.160]   The last show would be the last thing on Friday.
[00:39:21.160 --> 00:39:22.480]   I would make 730 flights.
[00:39:22.480 --> 00:39:26.960]   I would leave at 530 from downtown.
[00:39:26.960 --> 00:39:30.800]   I would always rush it.
[00:39:30.800 --> 00:39:36.560]   This show brought to you by Stamps.com.
[00:39:36.560 --> 00:39:38.680]   You can't use it in Canada, sorry.
[00:39:38.680 --> 00:39:41.040]   It's only for us Americans.
[00:39:41.040 --> 00:39:42.040]   Stamps.com.
[00:39:42.040 --> 00:39:43.040]   Yeah, you know what?
[00:39:43.040 --> 00:39:44.040]   It's funny.
[00:39:44.040 --> 00:39:47.240]   I thought we would get complaints from our Internet because 30 of our audience is international
[00:39:47.240 --> 00:39:49.680]   saying, "Why can't we use Stamps.com in our country?"
[00:39:49.680 --> 00:39:54.240]   Well, because it's United States postage, I guess you could, but it wouldn't be much
[00:39:54.240 --> 00:39:55.240]   used to you.
[00:39:55.240 --> 00:39:56.560]   Here's the idea.
[00:39:56.560 --> 00:39:57.560]   You can print.
[00:39:57.560 --> 00:39:59.960]   Other countries, I think, are doing this.
[00:39:59.960 --> 00:40:02.680]   The technical term is indicia.
[00:40:02.680 --> 00:40:07.040]   You can print legal postage, legal US postage from your computer and your printer.
[00:40:07.040 --> 00:40:09.160]   You don't need a postage meter anymore.
[00:40:09.160 --> 00:40:10.160]   You don't need special links.
[00:40:10.160 --> 00:40:12.760]   You just need Stamps.com.
[00:40:12.760 --> 00:40:15.440]   It means you will never go to the post office again.
[00:40:15.440 --> 00:40:19.800]   You get the USB scale so you always have exactly the right postage for any letter or
[00:40:19.800 --> 00:40:21.000]   package.
[00:40:21.000 --> 00:40:23.480]   It prints right on the envelope if you want, which is so cool.
[00:40:23.480 --> 00:40:26.840]   You can print stickies just like a regular stamp.
[00:40:26.840 --> 00:40:29.840]   In fact, it even fills out forms for international mailing.
[00:40:29.840 --> 00:40:35.000]   If you're an Amazon or eBay seller, it gets the data from the site and populates the mailing
[00:40:35.000 --> 00:40:36.000]   label.
[00:40:36.000 --> 00:40:37.000]   It's just fantastic.
[00:40:37.000 --> 00:40:38.200]   But wait, we have a special offer.
[00:40:38.200 --> 00:40:39.200]   Now, see right there?
[00:40:39.200 --> 00:40:40.200]   A special $80 value.
[00:40:40.200 --> 00:40:41.680]   That is a good deal.
[00:40:41.680 --> 00:40:43.800]   Wait, no, I got a better deal.
[00:40:43.800 --> 00:40:45.300]   We're going to add $30 to it right now.
[00:40:45.300 --> 00:40:53.000]   Just click that microphone in the upper right hand corner and use the offer code TWIG-T-W-I-G.
[00:40:53.000 --> 00:40:59.560]   And now, at that $80 offer, suddenly $110, $55 in postage coupons, the free digital scale
[00:40:59.560 --> 00:41:05.960]   you just pay shipping and handling, $5 a black hit and four-week trial offer of Stamps.com.
[00:41:05.960 --> 00:41:06.960]   You can get discounts.
[00:41:06.960 --> 00:41:08.280]   You can't get it at the post office.
[00:41:08.280 --> 00:41:10.360]   Post office wants you to use Stamps.com.
[00:41:10.360 --> 00:41:15.240]   That's why they offer up to 21% off Express Mail, up to 15% off Priority Mail when you
[00:41:15.240 --> 00:41:16.720]   use Stamps.com.
[00:41:16.720 --> 00:41:22.280]   In fact, if you use it a lot, it can basically be free.
[00:41:22.280 --> 00:41:23.520]   It's more professional.
[00:41:23.520 --> 00:41:24.520]   It's easier to use.
[00:41:24.520 --> 00:41:26.440]   You'll never make another trip to the post office.
[00:41:26.440 --> 00:41:30.000]   You just use Stamps.com and then the mail carrier comes and gets it.
[00:41:30.000 --> 00:41:32.320]   You can even get a schedule free pickup.
[00:41:32.320 --> 00:41:34.680]   The post office loves Stamps.com, so will you.
[00:41:34.680 --> 00:41:35.960]   I want you to try it right now.
[00:41:35.960 --> 00:41:38.400]   Stamps.com offer code TWIG.
[00:41:38.400 --> 00:41:41.960]   It says $55 offer on our page right there on the front.
[00:41:41.960 --> 00:41:42.960]   That's wrong too.
[00:41:42.960 --> 00:41:43.960]   It's $110.
[00:41:43.960 --> 00:41:46.880]   $110 bonus offer.
[00:41:46.880 --> 00:41:51.960]   You see offer code TWIG, Stamps.com.
[00:41:51.960 --> 00:41:53.320]   Did you find the story?
[00:41:53.320 --> 00:41:57.960]   Yes, under privacy, it's the last one.
[00:41:57.960 --> 00:41:59.760]   Add networks bypass.
[00:41:59.760 --> 00:42:02.560]   Now, we should qualify this.
[00:42:02.560 --> 00:42:06.160]   The one who's bringing up on TWIG is because you and I have both been very critical of
[00:42:06.160 --> 00:42:12.520]   the journal for their privacy stories saying they often are a crying wolf.
[00:42:12.520 --> 00:42:18.440]   In this case, Jessica Vasquez, Ressarello and Joel Sheckman writing that mobile ad networks
[00:42:18.440 --> 00:42:24.520]   are doing something similar to what Google did to target iPhone users by circumventing
[00:42:24.520 --> 00:42:28.640]   Apple's privacy protections.
[00:42:28.640 --> 00:42:35.400]   Apple said after the Google brew-ha-ha that it wouldn't allow app makers to use the unique
[00:42:35.400 --> 00:42:40.200]   ID and phones and pads to track users.
[00:42:40.200 --> 00:42:44.680]   Add networks to serve advertisements within mobile apps started using new unique identifiers,
[00:42:44.680 --> 00:42:49.680]   cookies in effect that collect information like location and preferences as the user
[00:42:49.680 --> 00:42:52.120]   moves across apps.
[00:42:52.120 --> 00:42:53.200]   This isn't with iads.
[00:42:53.200 --> 00:42:57.320]   This is with other ad networks.
[00:42:57.320 --> 00:42:59.040]   iads hasn't really gotten much traction.
[00:42:59.040 --> 00:43:03.480]   There are a lot of other ad networks on the iPhone.
[00:43:03.480 --> 00:43:06.440]   The networks, now this is the argument that we were having about tracking.
[00:43:06.440 --> 00:43:12.880]   The networks claim it will cost millions of dollars a week in lost revenue if they can't
[00:43:12.880 --> 00:43:15.200]   target you.
[00:43:15.200 --> 00:43:19.240]   Personal data is needed.
[00:43:19.240 --> 00:43:25.960]   Mazda, Nikon and E-Harmony according to the Wall Street Journal are all employing tracking
[00:43:25.960 --> 00:43:30.080]   systems in their ads.
[00:43:30.080 --> 00:43:34.480]   The brands aren't doing it directly but they don't even know about it because they're using
[00:43:34.480 --> 00:43:37.480]   ad agencies and these ad platforms.
[00:43:37.480 --> 00:43:38.880]   The ad platforms aren't doing it.
[00:43:38.880 --> 00:43:43.800]   In fact, the journal talked to Mazda and the director of digital marketing said she wasn't
[00:43:43.800 --> 00:43:48.200]   aware that ad networks were doing this.
[00:43:48.200 --> 00:43:51.720]   But she said, "Hey, if this becomes more widely adopted, we would like to use the anonymous
[00:43:51.720 --> 00:43:55.680]   identifiers to target customers with campaigns based on geography and lifestyle.
[00:43:55.680 --> 00:43:57.440]   The advertisers would love this."
[00:43:57.440 --> 00:44:03.920]   The issue is that mobile Safari, by default, only accepts cookies from the site that you
[00:44:03.920 --> 00:44:04.920]   visited.
[00:44:04.920 --> 00:44:06.520]   If I go to twit.tv, I'll make you quit that.
[00:44:06.520 --> 00:44:08.480]   And that's what Google ended around.
[00:44:08.480 --> 00:44:09.480]   Right.
[00:44:09.480 --> 00:44:13.840]   Google and these ad networks are working around that because they want their pages.
[00:44:13.840 --> 00:44:17.320]   They want users to be able to accept cookies from say double click or some ad network.
[00:44:17.320 --> 00:44:19.680]   Which would then allow them to track.
[00:44:19.680 --> 00:44:22.400]   What double click would do is every time you went to a site with a double click ad, it
[00:44:22.400 --> 00:44:23.880]   would say, "Who are you?
[00:44:23.880 --> 00:44:24.880]   Where are you?
[00:44:24.880 --> 00:44:25.880]   What are you doing?"
[00:44:25.880 --> 00:44:27.880]   And aggregating that data.
[00:44:27.880 --> 00:44:28.880]   Right.
[00:44:28.880 --> 00:44:32.520]   And by default, mobile Safari disallows that.
[00:44:32.520 --> 00:44:36.200]   So now these ad networks want access to the UDID of the device.
[00:44:36.200 --> 00:44:37.360]   Well, they're not allowed to.
[00:44:37.360 --> 00:44:40.920]   Apple says no, so they're creating their own in effect.
[00:44:40.920 --> 00:44:42.800]   Or they're using other IDs.
[00:44:42.800 --> 00:44:44.280]   Yeah, let's be clear here.
[00:44:44.280 --> 00:44:48.520]   Basically, there is no first site ad serving.
[00:44:48.520 --> 00:44:51.720]   Everyone uses third part of your ad serving either because it is a lot more efficient
[00:44:51.720 --> 00:44:55.400]   and inexpensive to use a double click or such.
[00:44:55.400 --> 00:45:00.880]   Or because the ad agencies and other clients insist upon it, as I've said in the show before,
[00:45:00.880 --> 00:45:05.960]   the GM was the first GM and Proctor and Gamble, the first two gigantic advertisers to insist
[00:45:05.960 --> 00:45:09.000]   on serving their own ad so they could verify what they had.
[00:45:09.000 --> 00:45:13.440]   So this idea that, "Oh my God, they're setting to third party," well, that's always been
[00:45:13.440 --> 00:45:16.360]   the case and will be the case when it comes to advertising.
[00:45:16.360 --> 00:45:22.320]   And if that were to turn around, then you're putting a huge burden onto sites.
[00:45:22.320 --> 00:45:24.720]   Ad serving is expensive and it's difficult.
[00:45:24.720 --> 00:45:25.880]   I know because we used to run on.
[00:45:25.880 --> 00:45:26.880]   So is ad sales.
[00:45:26.880 --> 00:45:27.960]   You don't want to do any of that.
[00:45:27.960 --> 00:45:29.720]   You want a third party to do that.
[00:45:29.720 --> 00:45:30.720]   Yeah.
[00:45:30.720 --> 00:45:31.720]   Yeah.
[00:45:31.720 --> 00:45:33.600]   So it's not, you know, that's become, it's like the word tracking is demonized.
[00:45:33.600 --> 00:45:35.280]   So it's third parties.
[00:45:35.280 --> 00:45:36.280]   We have three people here.
[00:45:36.280 --> 00:45:38.360]   One of us is a third party.
[00:45:38.360 --> 00:45:42.200]   Well, to you, both of us are third parties.
[00:45:42.200 --> 00:45:43.200]   Wow.
[00:45:43.200 --> 00:45:44.200]   Wow.
[00:45:44.200 --> 00:45:45.200]   You see.
[00:45:45.200 --> 00:45:47.040]   And I see you, you're watching me.
[00:45:47.040 --> 00:45:48.040]   I can see it.
[00:45:48.040 --> 00:45:49.040]   You're tracking me.
[00:45:49.040 --> 00:45:50.040]   Sorry.
[00:45:50.040 --> 00:45:51.040]   But okay.
[00:45:51.040 --> 00:45:54.120]   So for the sake of argument though, you see the three of us, right?
[00:45:54.120 --> 00:45:56.760]   But for people don't understand how the web works.
[00:45:56.760 --> 00:45:59.240]   And I agree that this is a standard way that web works.
[00:45:59.240 --> 00:46:05.120]   If you visit a site with .tv, you know, as a user, you see to it.tv in the URL bar,
[00:46:05.120 --> 00:46:08.160]   you expect this is an interaction that you're having with Twitter.
[00:46:08.160 --> 00:46:09.160]   With only Twitter, right.
[00:46:09.160 --> 00:46:14.960]   No, no, generally when you load a page, when you load a page and you look at the load,
[00:46:14.960 --> 00:46:19.240]   don't you see everything popping up there from sites all over, including by the way,
[00:46:19.240 --> 00:46:23.280]   you know, Facebook and Google Analytics and whatever.
[00:46:23.280 --> 00:46:25.680]   And stamps.com or AdSans or whatever.
[00:46:25.680 --> 00:46:26.680]   Yeah.
[00:46:26.680 --> 00:46:27.680]   I mean, this is the thing.
[00:46:27.680 --> 00:46:31.280]   I mean, I trust that Leo is going to do ads from companies that he's vetted and chosen
[00:46:31.280 --> 00:46:32.440]   to do business with them.
[00:46:32.440 --> 00:46:34.240]   We don't do targeted advertising.
[00:46:34.240 --> 00:46:38.320]   All our advertising is targeted by de facto because they assume that there's a tech audience,
[00:46:38.320 --> 00:46:40.240]   but we don't know anything about our audience.
