;FFMETADATA1
title=Flying Cellphones
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=326
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.620]   It's time for Twig this week in Google. Oh, I'm so excited Jeff Jarvis has the day off
[00:47:39.040 --> 00:47:41.040]   Have to say though
[00:47:41.040 --> 00:47:44.680]   What a what a great business you're selling an addictive
[00:47:44.680 --> 00:47:47.040]   drug
[00:47:47.040 --> 00:47:49.840]   Looking for them to be a sponsor. This is working
[00:47:50.680 --> 00:47:52.800]   More people drink the more they need
[00:47:52.800 --> 00:47:58.040]   And they love and you make everybody happy doing it. It's not illegal
[00:47:58.040 --> 00:48:01.520]   It seems like just that's like that's like
[00:48:01.520 --> 00:48:04.800]   How could you not make money selling coffee?
[00:48:04.800 --> 00:48:10.160]   It's a and even people yeah, I talk to people all the time say Duncan donuts coffee, man
[00:48:10.160 --> 00:48:12.680]   That's the greatest coffee in the world, right?
[00:48:12.680 --> 00:48:16.720]   Yeah, you're right you're right, but I mean to me, you know some people are like I need the coffee and the New York
[00:48:16.720 --> 00:48:18.960]   New York is a little bit like this where the people get their coffee and go
[00:48:18.960 --> 00:48:23.360]   I need the coffee. Yeah, but in my experience. It's sort of like it's in how we're chill to this
[00:48:23.360 --> 00:48:28.520]   It's the third place you go there. It's cool people in a cool space. Yeah, you feel like you're part of something neat
[00:48:28.520 --> 00:48:33.600]   You know yeah, and it's addictive which is nice and it's a this is nice little side benefit
[00:48:33.600 --> 00:48:40.600]   Watch out because here comes bulletproof coffee. You know about yeah, right? What's this guy's name? He's he invented this
[00:48:40.600 --> 00:48:45.040]   He's all right. It's coffee mixed with grass fed butter
[00:48:46.480 --> 00:48:50.480]   You're not regular butter grass fed butter and a
[00:48:50.480 --> 00:48:56.480]   Oil that is made Dave Asprey. That's his name. It's an oil that's made out of coconut oil and
[00:48:56.480 --> 00:49:00.240]   Asprey I just read a long article about him
[00:49:00.240 --> 00:49:07.280]   He he was hiking into bet and was woozy because of course of the altitude and they gave him yak butter tea
[00:49:07.280 --> 00:49:12.560]   Which is my favorite is it any good? It's actually not as bad as it sounds. It sounds kind of riffs
[00:49:12.560 --> 00:49:17.800]   It's sort of soupy salty. Yeah, doesn't smell like yak though. Everything smells a little like that
[00:49:17.800 --> 00:49:20.280]   You're immune to it by then right?
[00:49:20.280 --> 00:49:26.560]   So he felt apparently amazing after this yak butter tea, you know his altitude sickness went away
[00:49:26.560 --> 00:49:28.560]   I had the same experience in
[00:49:28.560 --> 00:49:34.200]   Cusco with coca coca leaf. Yeah, yeah makes you feel fine
[00:49:34.200 --> 00:49:37.360]   That would be a good business to stay
[00:49:39.360 --> 00:49:43.400]   Anyway, Dave who is kind of a leader of the quantified health movement
[00:49:43.400 --> 00:49:50.720]   Apparently he's gonna do a chain of bulletproof coffee. So watch out. It's great name here. It comes great name. It is a good name
[00:49:50.720 --> 00:49:52.720]   Um, I had some
[00:49:52.720 --> 00:49:55.920]   Ayersats bulletproof coffee in Boulder this week
[00:49:55.920 --> 00:49:59.960]   It's interesting when you have fat in your coffee
[00:49:59.960 --> 00:50:06.280]   It's interesting. Yeah, I've been people been doing that for a long time with cream and yeah
[00:50:06.280 --> 00:50:11.800]   I like I put it have you been to fills. It's basically that's their secret. It's a secret heavy cream sugar and sugar
[00:50:11.800 --> 00:50:15.040]   And that's what we love. Yeah, really. That's what fills with the
[00:50:15.040 --> 00:50:21.520]   You're just anti-competitive. No, I love those guys. Fudge you're spreading. I love them. I love cyclas
[00:50:21.520 --> 00:50:28.680]   For barrel, I know I'm going to blue bottle tomorrow. This one on Dean Street on there. Oh, yeah, no. Oh, you didn't know I
[00:50:28.680 --> 00:50:35.040]   Didn't realize we've been wanting to do a coffee show actually I want to expand it beyond coffee
[00:50:35.040 --> 00:50:38.560]   I want to do a vice show so coffee chocolate
[00:50:38.560 --> 00:50:42.560]   It's funny what you're including advice. Do you need me to send you an email with some guards?
[00:50:42.560 --> 00:50:43.840]   suggestions
[00:50:43.840 --> 00:50:45.840]   It has to be legal vices
[00:50:45.840 --> 00:50:51.160]   Vice not vice isn't the wrong leisure time. What are video games vice? Yeah
[00:50:51.160 --> 00:50:55.720]   Do you play video games I do a little bit I'm I'm surprised
[00:50:55.720 --> 00:50:59.120]   I you know you've kind of lived the life that the video game is emulating
[00:50:59.120 --> 00:51:03.520]   You don't really need to do the video game. Yeah, I'm on the board of a video game company
[00:51:03.520 --> 00:51:07.160]   So they sometimes expect you to use the product games and they have amazing products
[00:51:07.160 --> 00:51:10.640]   What what company kicks I I don't know kicks I
[00:51:10.640 --> 00:51:16.520]   Tell me about yeah, take a look. Yeah, they're games do your duty as a board member K. I K. I X
[00:51:16.520 --> 00:51:21.160]   UIE, but you know some of their maybe some of their games like battle pirates or work man
[00:51:21.160 --> 00:51:22.960]   So these are these are well
[00:51:22.960 --> 00:51:27.200]   They started as Facebook games and then they evolved into mobile games battle pirates sounds good
[00:51:27.200 --> 00:51:32.160]   But you know the thing I really love about the company is just all these artists creating incredible things
[00:51:32.160 --> 00:51:35.160]   You know, I mean in a way that maybe that's what I love about blue bottle and
[00:51:35.160 --> 00:51:40.880]   Entrepreneurship in general is just people who are into it like your staff that were showing me how your control room
[00:51:40.880 --> 00:51:46.400]   Where they're into it, you know, and like when you can like help people that are do the thing that they're into it feels good
[00:51:46.400 --> 00:51:49.720]   I'd be kind of I'd be kind of interested in
[00:51:49.720 --> 00:51:53.360]   I
[00:51:53.360 --> 00:52:00.440]   Don't know I feel like we should cover more of this kind of create because I think I think what a lot of people
[00:52:00.920 --> 00:52:04.360]   That's at least outside of the area probably in the area to
[00:52:04.360 --> 00:52:10.600]   Think of entrepreneurs is really just more about trying to get rich trying to become a billionaire, right trying to make a unicorn and
[00:52:10.600 --> 00:52:17.280]   The entrepreneurs I know Gina include Gina and anneal are really not about that at all
[00:52:17.280 --> 00:52:20.600]   Right, you're about making stuff
[00:52:20.600 --> 00:52:26.120]   Is that right? Yeah, like well the idea it sounds like you're getting out like being passionate about
[00:52:26.600 --> 00:52:33.160]   Either a hobby or a cause or a set of values, you know that you're trying that you're trying to kind of express
[00:52:33.160 --> 00:52:39.240]   Yeah, you know, it's when I watch these stupid reality shows like the bachelor and the bachelor at whenever they have like on the lower third
[00:52:39.240 --> 00:52:41.240]   Like this person's an entrepreneur
[00:52:41.240 --> 00:52:46.760]   It's the new consultant, right?
[00:52:46.760 --> 00:52:53.840]   I guess that's a word that's a word that I've never felt our title that I've never felt
[00:52:54.000 --> 00:52:57.440]   Comfort with because I don't consider myself that I consider myself someone who makes software
[00:52:57.440 --> 00:53:02.360]   And I'm trusting taking a risk with a business in that process
[00:53:02.360 --> 00:53:06.200]   Which I guess is really the definition of entrepreneurs somebody takes a financial risk
[00:53:06.200 --> 00:53:10.680]   I guess is the literal meaning with the business so
[00:53:10.680 --> 00:53:14.360]   And I'm not an entrepreneur because this isn't a
[00:53:14.360 --> 00:53:20.880]   Financial risk we need to look this up you guys are both entrepreneurs. Oh, right? It's good here. We're denying it. Yeah
[00:53:20.880 --> 00:53:22.880]   You're like
[00:53:22.880 --> 00:53:28.160]   You're deniers
[00:53:28.160 --> 00:53:38.120]   I feel like I feel weird identifying with even though my definition
[00:53:38.120 --> 00:53:42.360]   According to Wikipedia anybody who starts a business is an entrepreneur
[00:53:42.360 --> 00:53:50.720]   Anyone who starts a business? It's the process of starting a business typically a startup company offering an innovative product process or service
[00:53:51.200 --> 00:53:55.040]   And I think nowadays we think of them mostly as tech entrepreneurs, right?
[00:53:55.040 --> 00:53:57.600]   Just because the people we hang out with right maybe that's us
[00:53:57.600 --> 00:54:03.200]   Yeah, I mean, I'm sure Aspiri thinks of himself as an entrepreneur even though he's selling fat and coffee
[00:54:03.200 --> 00:54:06.960]   Right, so that's an entrepreneur. It's funny. I just wrote about
[00:54:06.960 --> 00:54:10.920]   You know what what's the objective of entrepreneurship and you're right?
[00:54:10.920 --> 00:54:12.920]   I think probably a lot of people think it's money
[00:54:12.920 --> 00:54:15.600]   Some people have something to prove like when I was doing military.com
[00:54:15.600 --> 00:54:18.800]   I mean I came from a really non-traditional background and felt like I needed something to prove
[00:54:18.800 --> 00:54:24.560]   But I did you know I did another company after military called affinity labs. Oh, yeah, and I think I think back to
[00:54:24.560 --> 00:54:27.420]   What was the purpose for me and to me it was?
[00:54:27.420 --> 00:54:32.920]   Kind of the adventure of going on a mission with people you admire, you know at the end of you know
[00:54:32.920 --> 00:54:36.600]   We talk about the screensavers all of these people that were really inspired
[00:54:36.600 --> 00:54:41.360]   By that experience and they're all still friends and they're all still doing cool stuff and to me
[00:54:41.360 --> 00:54:44.240]   That's the big thing. It's like can you work with cool people on stuff?
[00:54:44.240 --> 00:54:49.560]   You love right and like the other stuff comes out of that and that's the thing that I love and that's the thing in a way
[00:54:49.560 --> 00:54:53.300]   That I miss the most about the company. Why did you start military.com?
[00:54:53.300 --> 00:54:55.720]   You had you just gotten out of the Navy when you started?
[00:54:55.720 --> 00:54:57.880]   I had so I was in the Navy and then I worked in the Pentagon
[00:54:57.880 --> 00:55:00.440]   I went to business school and I was kind of a computer nerd programming
[00:55:00.440 --> 00:55:03.880]   You know at my first computers Sinclair ZX 80 Wow to date myself
[00:55:03.880 --> 00:55:06.280]   All right, and I came out and I was at a reason
[00:55:06.280 --> 00:55:13.040]   And I really wanted to start a company in 1999 it was the thing to do and and it's a good timing one of those people that was like
[00:55:13.040 --> 00:55:16.160]   If you want to be before the bubble burst if you exactly if you want to be in it
[00:55:16.160 --> 00:55:19.640]   Well, you know, I got fired. Do you know this whole story? I got fired and my from military?
[00:55:19.640 --> 00:55:20.120]   Oh, yeah
[00:55:20.120 --> 00:55:22.600]   I got we raised a lot of we raised like thirty million dollars
[00:55:22.600 --> 00:55:25.520]   I got fired and the idea of the site was a
[00:55:25.520 --> 00:55:32.760]   Destination for military well, you know the idea of the site was Facebook for the military my small mistake was just keeping it focused on the military
[00:55:32.760 --> 00:55:36.320]   I was this close. Yeah, you could have done face. I mean was that close anyway?
[00:55:36.320 --> 00:55:38.320]   I got to come back to shut up to Zuckerberg
[00:55:38.560 --> 00:55:44.120]   You should have all right, but I I got to come back and we come back to shut the company down
[00:55:44.120 --> 00:55:51.720]   To the board party so this in 2000 well in 2001. We were out of money people were unhappy. It was a great site
[00:55:51.720 --> 00:55:56.480]   Well, you were doing great, but you know, there's a lot of well think about what happened in March of 2000
[00:55:56.480 --> 00:55:57.720]   Yeah, I mean bubble burst well
[00:55:57.720 --> 00:56:02.080]   We had a million dollar a month burn rate. Oh, so there was no more capital and you know
[00:56:02.080 --> 00:56:04.880]   This is what you know, we think that that was a unique period in time
[00:56:04.880 --> 00:56:11.480]   This is happening again companies incredible burn rates and so they're reliant on outside financing and when stuff started to fall apart
[00:56:11.480 --> 00:56:14.960]   It really fell apart advertisers didn't want to advertise they were done with the internet, right?
[00:56:14.960 --> 00:56:20.200]   And basically they hired a gray-haired CEO to take my place. You're too young you can't possibly
[00:56:20.200 --> 00:56:23.360]   I was 30 which is vision. Yeah, and it's funny
[00:56:23.360 --> 00:56:27.120]   I remember sitting in my office and he's sitting across from me and he says he's in my seat
[00:56:27.120 --> 00:56:33.120]   He says hey, be better if you didn't come by the office anymore. Oh Lord. Oh, it was really oh Lord
[00:56:33.120 --> 00:56:38.280]   And then I but then he then it got worse and worse and they're about to shut the company down
[00:56:38.280 --> 00:56:41.600]   We're talking about concealers. I came back to shut it down and we turned it around good
[00:56:41.600 --> 00:56:46.960]   So is nice we took the 747 and scraped the tail against the ground and yeah learned a lot. Yeah
[00:56:46.960 --> 00:56:51.920]   So these say that explains because I keep looking at like companies like uber which
[00:56:51.920 --> 00:56:55.280]   valued it more than 50 billion dollars now, right?
[00:56:55.280 --> 00:57:00.600]   But they keep going back to the well and sink and we have some work and we have some more they're not profitable, right?
[00:57:00.600 --> 00:57:05.640]   They're running through this money, right, right? The theory being that if you keep pumping money into it at some point
[00:57:05.640 --> 00:57:11.040]   They take off and make money. Well, they probably like Amazon they could probably get profitable very quickly
[00:57:11.040 --> 00:57:15.360]   But they're using the capital for expansion globally. That's probably a pretty safe
[00:57:15.360 --> 00:57:19.120]   And Amazon proved that worked right by building distribution centers
[00:57:19.120 --> 00:57:24.560]   Reinvesting instead of taking the the profit out of it. They built a pretty powerful company, right?
[00:57:24.560 --> 00:57:27.640]   But some of these other companies, you know, they're gonna find themselves in a really big
[00:57:29.240 --> 00:57:33.520]   problematic situation a lot of it has to do with ratchets early investors aren't gonna be able to make money
[00:57:33.520 --> 00:57:38.080]   You know, there's like only one possible outcome for these companies with billion dollar valuations
[00:57:38.080 --> 00:57:44.680]   It raises a lot and that is an incredibly successful public offering or a big acquisition and that won't play out for at least
[00:57:44.680 --> 00:57:47.520]   So when you look at company like Square for instance
[00:57:47.520 --> 00:57:50.840]   Jack Dorsey's one of his two companies
[00:57:50.840 --> 00:57:53.320]   He's got the Twitter thing as well
[00:57:53.320 --> 00:57:57.760]   So he's got something to fall back on but you look at Square where they're planning an IPO
[00:57:57.760 --> 00:58:03.800]   But it's below the value that they were valued at the last time they went to borrow money. Is that a bad thing?
[00:58:03.800 --> 00:58:06.640]   Well, how would you feel if well depends on the
[00:58:06.640 --> 00:58:10.840]   Investor it's a bad thing. It'd be interesting to lie. I don't know the nature of the investment
[00:58:10.840 --> 00:58:15.520]   So one element is what's the valuation because if you if it's gone down you might not make money
[00:58:15.520 --> 00:58:20.760]   But sometimes they have protection in the investment so they might have a kind of protection so that they get covered no matter
[00:58:20.760 --> 00:58:27.240]   What right which is really problematic for other investors, but I don't know that I don't know. Yeah, we I learned about that on Silicon Valley
[00:58:27.360 --> 00:58:33.240]   Right the one where that it was Silicon Valley. I learned that on I can't remember
[00:58:33.240 --> 00:58:41.640]   Where it's where the I guess maybe it wasn't Silicon Valley, but where the investors have a guarantee against the first dollar so
[00:58:41.640 --> 00:58:49.760]   They get they get made whole no matter what or almost no matter what unless you go later investors oftentimes have something in there to protect themselves as well
[00:58:49.760 --> 00:58:55.960]   Yeah, Gina did you raise money for your companies? We did we did kind of maybe I can get in next time
[00:58:56.920 --> 00:59:03.660]   I would invest in I would too. I would absolutely I love all of our companies. I would absolutely do that company
[00:59:03.660 --> 00:59:08.380]   Very small a relatively small amount with the coolest people right
[00:59:08.380 --> 00:59:15.480]   Well, yeah, we actually someone from Bloomberg beta rote Roy Baja. Oh, yeah Roy is incredible. Yeah, Roy is fantastic
[00:59:15.480 --> 00:59:20.200]   Um, yeah, we had some we have some really great investors. We absolutely love them. We very much don't want to disappoint them
[00:59:20.200 --> 00:59:25.480]   Perfect answer she's gonna keep her job. I think forever. That's hard though, isn't it?
[00:59:25.480 --> 00:59:31.080]   I mean, that's one of the I have a friend of it a startup and tanked and then all those people do get disappointed
[00:59:31.080 --> 00:59:36.880]   But on the other hand, they're big boys right and big girls. They know what they're doing there. This is a high-risk game
[00:59:36.880 --> 00:59:40.680]   I think it was Jason Calicana's told me, you know, you can count on
[00:59:40.680 --> 00:59:44.200]   Something like 80% of your investments to lose money
[00:59:44.200 --> 00:59:49.560]   If you get one in five make money and if they make enough money, you're you're all right
[00:59:49.560 --> 00:59:52.080]   So it's a risky it's a risky business
[00:59:52.600 --> 00:59:57.520]   It is it is but it's you know, it's something like as a founder. I take it extremely seriously
[00:59:57.520 --> 01:00:00.320]   And you know and it's something that I'm you know
[01:00:00.320 --> 01:00:03.000]   working really hard
[01:00:03.000 --> 01:00:06.400]   Make sure that they're that they're glad in the end that they invested in me
[01:00:06.400 --> 01:00:10.800]   I mean, there's different kind of philosophies right there's some people are like trying to find that uber, right?
[01:00:10.800 --> 01:00:14.760]   They want the unicorn company to return the fund and you know the data would say that that works
[01:00:14.760 --> 01:00:18.160]   So maybe like Ron Conway investing in a million companies is great
[01:00:18.160 --> 01:00:20.160]   but I would rather work with somebody like Gina and
[01:00:21.200 --> 01:00:25.080]   You know really work on a small number of companies that you really feel great about that your part of the journey
[01:00:25.080 --> 01:00:28.320]   It isn't just a financial investment. It's a you know, it
[01:00:28.320 --> 01:00:31.160]   You know, you're part of a team doing something that matters
[01:00:31.160 --> 01:00:37.520]   How do you feel about bills like the Jobs Act that change the requirements for investors?
[01:00:37.520 --> 01:00:44.200]   You know, thanks to Dodd-Frank and others there are laws about how what income level you have to have you have to be
[01:00:44.200 --> 01:00:47.800]   presumption is you have to be savvy you have to be able to
[01:00:48.240 --> 01:00:51.920]   You presume to be able to lose the money and to know what you're doing
[01:00:51.920 --> 01:00:57.560]   And so as a result a lot of people are kept out of the investment market and the Jobs Act has kind of changed that it started to change
[01:00:57.560 --> 01:01:01.600]   Well Angelist has changed all these syndicates you doing this indicate you're in yeah
[01:01:01.600 --> 01:01:06.440]   I mean, I feel like people are gonna get taken advantage of by things like that that those
[01:01:06.440 --> 01:01:09.200]   Seems to me those protections are not a bad idea
[01:01:09.200 --> 01:01:12.200]   Well, do the protections really protect people?
[01:01:12.200 --> 01:01:15.680]   I mean you can invest in a lot of public equities and lose a lot of money you can find a way to lose money
[01:01:15.680 --> 01:01:17.680]   I mean, I do think that
[01:01:17.680 --> 01:01:24.560]   We're gonna find that the venture business is difficult right now it looks like everybody's a winner and
[01:01:24.560 --> 01:01:28.320]   That doesn't it that will that will change yeah
[01:01:28.320 --> 01:01:29.520]   Yeah, and you know
[01:01:29.520 --> 01:01:35.560]   It'll be interesting how people feel and react when they lose a lot of money in a syndicate or on Angelist or like we
[01:01:35.560 --> 01:01:41.200]   Seen we kick starter and some other things or even public some of these these venture companies the companies aren't what they appear to be
[01:01:41.200 --> 01:01:43.200]   And that's usually when regulators get involved
[01:01:44.480 --> 01:01:49.600]   We're gonna take a break Christopher Michael is here for formerly a military comm. He's now an investor with Nautilus
[01:01:49.600 --> 01:01:56.600]   And is a great photographer as you'll find if you go to his website Christopher Michael M. I C H E L
[01:01:56.600 --> 01:02:03.400]   Dot com also Gina, Japan II here from think up dot com. How are things going at maker base?
[01:02:03.400 --> 01:02:06.080]   Good good things are really good
[01:02:06.080 --> 01:02:08.200]   We just thought we also do feature called inspiration
[01:02:08.200 --> 01:02:14.120]   So you can you go on to make her base and you can find a maker like Leo for example that you who you love and who you admire
[01:02:14.120 --> 01:02:16.120]   And you can say that they inspire you
[01:02:16.120 --> 01:02:24.320]   Yeah, which is really cool. It's really neat to see people say you know this person, you know really influenced me and and
[01:02:24.320 --> 01:02:30.840]   You know change my thinking or inspired me to to make something so that that's really that's really fun
[01:02:30.840 --> 01:02:36.920]   And I recognize there's an inspiration right there. Yeah, Marcus Sheridan inspires David G Johnson
[01:02:36.920 --> 01:02:42.960]   I recognize that gorgeous Gina Tarpani design. I love your stuff. I really do
[01:02:43.960 --> 01:02:47.000]   Not my design. We have an incredible designer that would that we
[01:02:47.000 --> 01:02:55.280]   Stuff though, I just feel like I know that that I could would look at that and say oh, yeah, that's a Gina company
[01:02:55.280 --> 01:02:58.480]   I think it's a Gina company
[01:02:58.480 --> 01:03:05.160]   We're take a break when we come back Apple has finally released Apple music for Android is it enough?
[01:03:05.160 --> 01:03:12.200]   We'll find out just a little bit but first a word from Blue Apron. I love this company. This is a great idea not blue bottle
[01:03:13.040 --> 01:03:20.280]   Blue Apron the blue Apron is what the apprentices were at the Cordon blue cooking school in Paris
[01:03:20.280 --> 01:03:22.380]   That's a sign that they're learning
[01:03:22.380 --> 01:03:29.480]   The the techniques of the masters and I think this is a really appropriate name for a company that does
[01:03:29.480 --> 01:03:35.720]   Something very special they deliver meals to you, but unlike other companies. They're not cooked
[01:03:35.720 --> 01:03:40.120]   They just give you all the ingredients you need to make an amazing dinner
[01:03:40.760 --> 01:03:45.640]   For just you in a loved one or for your whole family you get to pick for less than ten dollars a meal
[01:03:45.640 --> 01:03:51.800]   You don't have to do any shopping and you never have any waste because they give you exactly what you need and what's great is these amazing
[01:03:51.800 --> 01:03:54.280]   Recipes you get this nice recipe card with pictures
[01:03:54.280 --> 01:04:01.480]   There's videos on the site too if you need some instructions on how different techniques how to do things and then you have made an
[01:04:01.480 --> 01:04:04.720]   Incredible dish. This is a shawarma dish that Jason Howell made
[01:04:04.720 --> 01:04:10.120]   I think last month from his blue apron box and once you've made that meal
[01:04:10.520 --> 01:04:13.880]   Your family's gonna love you. It's a very impressive thing to make for date night
[01:04:13.880 --> 01:04:16.200]   But you'll also know how to make it again
[01:04:16.200 --> 01:04:17.960]   And I think it really broadens your repertoire
[01:04:17.960 --> 01:04:20.720]   They don't they don't say it's a cooking class in the box
[01:04:20.720 --> 01:04:25.720]   But I feel like it's both a great meal and a cooking class in the box every meal can be prepared in 40 minutes or less
[01:04:25.720 --> 01:04:29.480]   You don't have to worry about the grocery store. No more sad takeout
[01:04:29.480 --> 01:04:35.320]   No more fast food and they can make it easy no matter what your dietary preferences are
[01:04:35.480 --> 01:04:41.560]   You'll get dishes like Treteria style cheeseburgers with crispy rosemary garlic potatoes and aioli
[01:04:41.560 --> 01:04:48.640]   Or coconut curry braised cauliflower with aromatic basmati rice and cilantro chutney right in your own kitchen
[01:04:48.640 --> 01:04:50.800]   You'll be using new ingredients
[01:04:50.800 --> 01:04:56.960]   By the way those both were from this week's menu. That's what's neat the menu changes every week you pick the recipes you want
[01:04:56.960 --> 01:05:01.480]   You can arrange the delivery so they match your your your schedule
[01:05:01.560 --> 01:05:06.840]   They come in a nice refrigerated box all fresh never frozen and the produce comes from local farms
[01:05:06.840 --> 01:05:10.640]   peaked picked at the peak of perfection
[01:05:10.640 --> 01:05:18.360]   Just delicious stuff and you'll use ingredients. I learned I've been learning some really nice new ingredients that you'll want to use again
[01:05:18.360 --> 01:05:22.280]   Like watermelon radishes and pharaoh and purple potatoes
[01:05:22.280 --> 01:05:27.500]   Right now get your first two meals free go to blue apron calm slash twit. That's blue apron
[01:05:27.500 --> 01:05:30.480]   calm slash twit
[01:05:30.520 --> 01:05:33.280]   Check out this week's menu and get your first two meals
[01:05:33.280 --> 01:05:36.280]   free blue apron calm
[01:05:36.280 --> 01:05:38.520]   slash
[01:05:38.520 --> 01:05:46.240]   Twits this week in Google this week is it's kind of wide ranging anything you want to talk about because we got two great people here
[01:05:46.240 --> 01:05:52.480]   And I always want to give our our panelists the free reign Christopher Michael and the Gina Trapani
[01:05:52.480 --> 01:05:58.280]   Finally took them a while Apple finally released Apple music for Android and Gina. I think have you looked at it yet?
[01:05:58.280 --> 01:05:59.280]   I
[01:05:59.280 --> 01:06:02.920]   Haven't looked at it. I actually now that it's on Android. I have a reason
[01:06:02.920 --> 01:06:05.720]   I have a device and a reason that to really look at it
[01:06:05.720 --> 01:06:10.760]   I you know I read a little bit about it when Apple music first came out people seemed to like it
[01:06:10.760 --> 01:06:15.800]   But you know with Spotify and play music. I don't feel like I have a need for it
[01:06:15.800 --> 01:06:20.680]   I don't I don't either I can I continue to subscribe to both Spotify and play music
[01:06:20.680 --> 01:06:25.940]   What I find interesting is Apple making what is clearly like a nice Android app, right?
[01:06:25.940 --> 01:06:28.360]   I mean, this is Android II isn't it yeah?
[01:06:28.360 --> 01:06:34.800]   Is it called beats music or is it different? This is it's asked called Apple music. It's not anything like the original beats app
[01:06:34.800 --> 01:06:36.800]   They did have a beats app for
[01:06:36.800 --> 01:06:40.300]   Android, but I think they went back to the drawing board it actually
[01:06:40.300 --> 01:06:48.680]   If you use Apple music on an Apple device well, you'll immediately recognize where you are the onboarding process is the same with the
[01:06:48.680 --> 01:06:55.160]   Red bubbles and stuff, but it's also native. I mean this hamburger menu. That's not on the Apple. That's a very Android
[01:06:55.680 --> 01:07:01.240]   Yeah, look and I think they I think this is nice. It's it's really Apple's first app
[01:07:01.240 --> 01:07:05.580]   They had another one called what it was it switched to iOS, which I don't think that counts
[01:07:05.580 --> 01:07:10.440]   But clearly they hired some good Android developers, and I think did a nice job of
[01:07:10.440 --> 01:07:12.900]   I have to take a moment to kavech about
[01:07:12.900 --> 01:07:19.340]   About the play stores search capabilities if you type in Apple music right now into this into the in play store
[01:07:19.340 --> 01:07:25.660]   Yeah, don't get the Apple music app. It's very weird. I think just search for I think what I did is I just search for Apple
[01:07:25.660 --> 01:07:28.940]   And and then you get the two Apple apps
[01:07:28.940 --> 01:07:33.800]   Yeah, Apple move to iOS forget beats pill plus
[01:07:33.800 --> 01:07:36.740]   Unless you have a beats pill
[01:07:36.740 --> 01:07:41.960]   And then they're okay Apple. I know but I agree with you. I mean it's really weird
[01:07:41.960 --> 01:07:47.660]   I think so are Google you're in the search business. I know this is their core competency. It's it's really strange
[01:07:47.660 --> 01:07:51.540]   But yeah, I'm down. I'm down letting it now
[01:07:51.540 --> 01:07:53.460]   I
[01:07:53.460 --> 01:07:55.060]   Apple music on
[01:07:55.060 --> 01:07:59.980]   On iOS devices and on on OS 10 that it works through iTunes, right?
[01:07:59.980 --> 01:08:06.900]   I've been avoiding iTunes like the play. Yeah, yeah, I think we should talk about iTunes iTunes is the canary in the coal mine
[01:08:06.900 --> 01:08:12.100]   Those Apple people have some problems. I know where is my music. Tell me where my music is. I can't find it
[01:08:12.100 --> 01:08:16.700]   Yeah, is it in the cloud is it in my me? Is it an Apple music?
[01:08:16.700 --> 01:08:19.660]   What do you where do you want it to be?
[01:08:19.660 --> 01:08:25.100]   Forever I need anywhere you want to be I'm with you on that. Um,
[01:08:25.100 --> 01:08:30.500]   Don't give me started on I see even even Apple rabbit Apple fans hate iTunes
[01:08:30.500 --> 01:08:38.100]   Right, it's no, it's true even the Apple vlogosphere. Yeah, you know, it's a blog. It's a we'll we'll rag on it. No excuse
[01:08:38.100 --> 01:08:42.980]   But yeah, no, this is an impressive somebody at Apple definitely read the the Android design
[01:08:43.860 --> 01:08:49.580]   Guidelines, so that's nice, but of course because it's an Apple product on the Android store. You've got
[01:08:49.580 --> 01:08:52.660]   2,831 star
[01:08:52.660 --> 01:08:56.460]   from just you know, I probably people who never even tried it just
[01:08:56.460 --> 01:09:01.100]   Garbage more garbage for Apple. Why would you ever use Apple?
[01:09:01.100 --> 01:09:06.060]   Lots of bugs buggy. I don't know. I've worked fine on my hey
[01:09:06.060 --> 01:09:10.340]   This is the 6p a geno would you have you did you decide what to do with your phone of you?
[01:09:10.620 --> 01:09:16.460]   Yeah, I got the the 5x I can't put my 6b order and I did the 5x. Yeah, I just want a smaller phone
[01:09:16.460 --> 01:09:20.300]   It's like he was a little too big for me. I know a lot of people are very happy with 5x
[01:09:20.300 --> 01:09:27.180]   I like it. I like a lot it feels it feels a little it felt a little flimsy at first because it's light. It's lighter than the
[01:09:27.180 --> 01:09:35.220]   Mt. It feels like the empty plastic shell. Yeah, it does it does but it's a nice phone. I've been really enjoying it good
[01:09:35.220 --> 01:09:39.940]   I'm glad you're happy with six be bin for you. You know at first. I was having problems effect
[01:09:39.940 --> 01:09:44.960]   I think people who watch regularly saw me just struggle with this thing because the camera was
[01:09:44.960 --> 01:09:52.080]   Unresponsive, but I think I was running an app that was was causing problems because once once now it's now
[01:09:52.080 --> 01:09:54.080]   It's just fine. So
[01:09:54.080 --> 01:09:57.220]   What ideas I rebuilt it. I don't know if that was necessary
[01:09:57.220 --> 01:10:02.340]   But but it makes me want to rush out and buy one right now. No, it's good. It's good
[01:10:02.340 --> 01:10:07.100]   I just really don't think I just got a good face. No, no, I just
[01:10:07.100 --> 01:10:12.020]   I just refreshed it, but I don't think that that actually was necessary
[01:10:12.020 --> 01:10:17.620]   I think I had an app on here that was just notifying all the time and it was keeping everything else busy
[01:10:17.620 --> 01:10:21.860]   But I know I I am it's a beautiful screen
