;FFMETADATA1
title=The Alpha Bet
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=313
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:03.660]   It's time for Twig this weekend Google a big show today in fact
[01:18:01.760 --> 01:18:07.280]   She wrote in the we used to have her on the screensavers all the time because she got started in this writing books on web design
[01:18:07.280 --> 01:18:12.800]   She was an expert in web design wrote these you know those remember the days where the books were that thick were like three
[01:18:12.800 --> 01:18:17.680]   For inches thick. She'd read those big thick books on web design. I always I always set the world at her
[01:18:18.000 --> 01:18:23.760]   Yeah, she's another. I think she's retired or she's she's she's the Larry page. Yeah, Larry paging learning
[01:18:23.760 --> 01:18:30.560]   So they she sold to a LinkedIn not so long ago and I think is enjoying the good life good for you
[01:18:30.560 --> 01:18:35.040]   There was just a great feature about 12 men who were lucky to be married to powerful
[01:18:35.040 --> 01:18:39.600]   Companies in Silicon Valley. I should be in that and I should be in there for sure. Well, yes
[01:18:39.600 --> 01:18:43.040]   But linda and her husband were one of the 12. Yeah
[01:18:43.040 --> 01:18:46.480]   Um his last name is dot com I think
[01:18:46.880 --> 01:18:48.880]   Oh
[01:18:48.880 --> 01:18:51.600]   Very well nice. Very nice
[01:18:51.600 --> 01:18:53.600]   Um
[01:18:53.600 --> 01:18:57.120]   So yeah, if you're choosing a phone this is an interesting time a year, isn't it?
[01:18:57.120 --> 01:19:01.520]   Because efas coming up in september we know the apple iphone will be now september ninth
[01:19:01.520 --> 01:19:06.480]   I think the apple iphone is going to be such an incremental upgrade this year. Yeah, yeah
[01:19:06.480 --> 01:19:09.120]   That I don't know if that's going to be something that's going to stimulate
[01:19:09.120 --> 01:19:12.240]   And we all paid so much for the first one
[01:19:12.720 --> 01:19:18.880]   Right, it's got to be just amazing to to justify an upgrade force touch better camera better processor
[01:19:18.880 --> 01:19:22.000]   That's it force touches of difficult thing to get excited about
[01:19:22.000 --> 01:19:26.320]   So I ordered the uh one plus two which has some not it's not it's got some
[01:19:26.320 --> 01:19:28.880]   question marks too
[01:19:28.880 --> 01:19:34.960]   Uh, but it is type c which I kind of like yeah, um the camera is becoming more and more important to me. Yeah
[01:19:34.960 --> 01:19:38.480]   Um, and the two new nexus is next I
[01:19:39.760 --> 01:19:42.800]   Will be interested because they're probably will have figure print. They probably will have
[01:19:42.800 --> 01:19:44.720]   I feel like yeah
[01:19:44.720 --> 01:19:47.520]   The one plus and the motos of a chewed
[01:19:47.520 --> 01:19:51.360]   fingerprint readers where no no the one plus does have a very good fingerprint
[01:19:51.360 --> 01:19:55.920]   I take it back the one plus two has supposedly the best of the bunch. Yeah, the fastest
[01:19:55.920 --> 01:19:58.960]   fingerprint reader of them all. Yeah, I feel like I
[01:19:58.960 --> 01:20:01.760]   I could live with that NFC, but I got to have fingerprint
[01:20:01.760 --> 01:20:05.280]   Just because of the convenience you got with their track record
[01:20:05.280 --> 01:20:09.040]   You you have to wonder whether people are going to trust them with the fingerprint data
[01:20:09.040 --> 01:20:12.320]   Of course a lot of the android based including samsung's fingerprint
[01:20:12.320 --> 01:20:14.640]   Really has been a hackable etc
[01:20:14.640 --> 01:20:19.360]   And so that's something uh, I'm not sure that they've demonstrated that they're a reliable company
[01:20:19.360 --> 01:20:27.680]   They certainly make high quality low-cost phones, but they they've had some questionable judgment there was a presentation of black hat
[01:20:27.680 --> 01:20:34.560]   Uh researchers showing how hackers can attack your smartphone and steal your fingerprint on a large scale. That's not onesie-tooe-ze
[01:20:35.360 --> 01:20:36.480]   um
[01:20:36.480 --> 01:20:44.240]   fire eye demonstrated ways to extract fingerprints from the sensors and samsung wallway and htc devices
[01:20:44.240 --> 01:20:50.960]   Um one in particular there were four attacks dubbed the fingerprint sensors spying attack
[01:20:50.960 --> 01:20:57.680]   Can harvest fingerprints on a large scale. Here's what's here's what's really really scary about that
[01:20:57.680 --> 01:21:02.480]   Your fingerprint is permanent. It's not like a password that they're stealing like it's more like you're social
[01:21:02.560 --> 01:21:07.280]   Right, I mean, you can't even change your social, but you can't change your exactly this goes on the market and becomes out there
[01:21:07.280 --> 01:21:11.440]   You know, somebody do with my fingerprint unlock my phone in the 10 years from now
[01:21:11.440 --> 01:21:12.240]   Who knows?
[01:21:12.240 --> 01:21:16.720]   Somebody showed no there was a demo of that of taking your fingerprint putting it on tape and you know, I saw that at the time
[01:21:16.720 --> 01:21:18.960]   We came out with apple. Yeah, what he managed to do it
[01:21:18.960 --> 01:21:22.560]   Yeah, but jeez, you know again the sky could fall down tomorrow
[01:21:22.560 --> 01:21:25.360]   apple stores your fingerprint in a
[01:21:25.360 --> 01:21:28.400]   In a first of all, they don't store the fingerprint they store
[01:21:28.400 --> 01:21:32.000]   Right data points about your fingerprint a hash and then second
[01:21:32.080 --> 01:21:35.600]   They also store in a secure store, which apparently Samsung doesn't do. Yeah
[01:21:35.600 --> 01:21:39.440]   Um, I don't know we'll have to find out what one plus does yeah, we'll see
[01:21:39.440 --> 01:21:41.920]   I mean that this is the those are two
[01:21:41.920 --> 01:21:47.600]   Facts that we got away for one is what are that pictures actually look like they can talk all day about the camera
[01:21:47.600 --> 01:21:50.960]   No, I'm gonna see the pictures and then the second thing is whoa, you know
[01:21:50.960 --> 01:21:56.880]   Let let's get the big security companies and hackers banging on their fingerprint reader and see what i'm Thursday
[01:21:56.880 --> 01:22:00.880]   We're gonna do the samsung unveiled event. That's gonna be presumably
[01:22:01.280 --> 01:22:07.760]   We're not sure just the rumor mill has been very active the the new uh galaxy s6 edge plus
[01:22:07.760 --> 01:22:13.600]   Which is an oversized version of the s6 edge, which I like a lot. There's a great camera
[01:22:13.600 --> 01:22:17.760]   Good looking phone. I don't know if I want a bigger screen one of the things that's intriguing to me
[01:22:17.760 --> 01:22:18.800]   This uh
[01:22:18.800 --> 01:22:22.400]   This g is a five inch screen and I kind of like it a little bit better
[01:22:22.400 --> 01:22:25.840]   I wish we were a little higher res screen, but yeah the battery life. I think
[01:22:25.840 --> 01:22:31.120]   Benefits from a low res screen. Yeah, um, the mo-do x is going to be the new mo-do x pure is going to be
[01:22:31.360 --> 01:22:33.360]   5.7 inches
[01:22:33.360 --> 01:22:38.880]   They're all samsung will also announce its note five is that going to be six inches or they're going to stay with the five points
[01:22:38.880 --> 01:22:41.200]   whatever it is
[01:22:41.200 --> 01:22:42.800]   giant
[01:22:42.800 --> 01:22:46.480]   Giant phones are the uh, or the wave of the future apparently
[01:22:46.480 --> 01:22:52.560]   So let's talk about messaging because I think this is a really interesting uh area. There was a good article in wired
[01:22:52.560 --> 01:22:59.120]   Uh, was it david pierce? I think who wrote the article in which he said can we just all agree on one messaging program?
[01:22:59.680 --> 01:23:02.640]   Yeah, like they do in china like in china where they get great
[01:23:02.640 --> 01:23:07.920]   Benefits of this of scale for a we chat you can buy not only can you chat?
[01:23:07.920 --> 01:23:14.560]   You can buy train tickets get your laundry done. You can do all sorts of stuff. Mm-hmm gaming
[01:23:14.560 --> 01:23:16.400]   um
[01:23:16.400 --> 01:23:20.480]   Facebook messengers the closest to becoming that in the us. I think right
[01:23:20.480 --> 01:23:26.480]   Mm. I don't know maybe facebook they've already got they've already got payments. Yeah
[01:23:27.120 --> 01:23:31.280]   Everybody's on facebook almost everybody but do people use the payments?
[01:23:31.280 --> 01:23:38.160]   No, I've never seen anybody use it. They say they've got a new a new feature called money penny that will be a digital assistant
[01:23:38.160 --> 01:23:45.280]   Yeah, now that third party versions of that exist right you can say please get my laundry and money penny will be human assistance
[01:23:45.280 --> 01:23:51.360]   Right. Yeah that you use facebook messenger. Yes to conjure up. Yeah. Well, that's the only way to do it
[01:23:51.360 --> 01:23:54.080]   You can't really bring my dry cleaning in is if you're a robot
[01:23:54.400 --> 01:23:58.240]   I don't think they'll take your dry cleaning in I think I think they're gonna function like serie
[01:23:58.240 --> 01:24:03.440]   They'll go out in a way. I'll ask them more questions. Right. They will be like the amazon mechanical Turk kind of exactly. I think that's
[01:24:03.440 --> 01:24:08.000]   Interesting your dry cleaning is gonna have to wait for another technology
[01:24:08.000 --> 01:24:15.120]   There are even according to Pearson this article there are even we chat stars much like they're vine stars
[01:24:15.120 --> 01:24:18.080]   People who use we chat as a broadcast medium
[01:24:19.440 --> 01:24:24.880]   I find kind of we gotta get in front of that. Yeah, I think this point is point as we can reach out
[01:24:24.880 --> 01:24:29.280]   Every you've got all these apps that focus on sort of one thing so you've got
[01:24:29.280 --> 01:24:33.920]   kick does something you know, what's app is for certain users and
[01:24:33.920 --> 01:24:38.880]   Facebook messenger is popular with some and then other people use this one or that one
[01:24:38.880 --> 01:24:43.840]   I'm trying to keep in touch with just a handful of friends let alone my kids
[01:24:43.840 --> 01:24:48.880]   There's like five different apps that I have to use and I can't I'm not sure which one to use
[01:24:49.440 --> 01:24:51.760]   Is the wrong one the person never sees it because they're not
[01:24:51.760 --> 01:24:58.640]   I'm we're kind of like the days where you couldn't text message somebody who wasn't on your carrier or if your friends used
[01:24:58.640 --> 01:25:03.200]   Cue then you had to use I said msn there and can't well
[01:25:03.200 --> 01:25:06.320]   Cue was so great because it well really
[01:25:06.320 --> 01:25:12.960]   Some we had trillion did that yeah, yeah, um and adi and pigeon there were a few of these
[01:25:12.960 --> 01:25:17.440]   Yeah, um in Canada everybody used msn messenger
[01:25:18.400 --> 01:25:24.320]   And here in the states, I think aim was the big one right what happened with msn messenger went away
[01:25:24.320 --> 01:25:28.160]   Did they did people stop what do they people just stop communicating? They just stop talking to each other
[01:25:28.160 --> 01:25:33.280]   They went to their cabins. That's right. No, I can use
[01:25:33.280 --> 01:25:36.640]   Blackberry
[01:25:36.640 --> 01:25:40.560]   Moose calls here here in the states bm like very bbm bbm
[01:25:40.560 --> 01:25:44.480]   But here in the states what happened is everybody just started using texts messaging sms
[01:25:45.280 --> 01:25:50.640]   You remember how we were how very late we were to that. That's right. We didn't close this
[01:25:50.640 --> 01:25:56.400]   I would say bbm came the closest in the last like recently to sort of owning
[01:25:56.400 --> 01:26:03.680]   Messaging and and I think it there were a couple things so they I remember when my daughter said she wanted a blackberry
[01:26:03.680 --> 01:26:06.240]   And I said, what are you talking about nobody wants a blackberry?
[01:26:06.240 --> 01:26:09.280]   Government what are you the president?
[01:26:09.280 --> 01:26:12.480]   Yeah, everyone wants iPhones and stuff like that and she said no no no
[01:26:13.120 --> 01:26:15.120]   A I like the physical keyboard for bbm
[01:26:15.120 --> 01:26:21.520]   But I have to have bbm because all my friends use it and the main reason she told me they wanted it was read receipts
[01:26:21.520 --> 01:26:25.600]   So bm was one of the first ones to have read receipts
[01:26:25.600 --> 01:26:30.240]   in a sort of mainstream app and she said if you text somebody
[01:26:30.240 --> 01:26:37.520]   You know, I did a pregnancy test last night and it's positive or whatever something related to your romantic encounter
[01:26:37.840 --> 01:26:44.320]   You want to know that they saw that thing right away and you want to know when they sort of saw it and when they replied
[01:26:44.320 --> 01:26:46.800]   so read receipts was a huge deal and
[01:26:46.800 --> 01:26:54.880]   For a variety of reasons that we can't go into because that's a whole program blackberry basically screwed the pooch and bbm became
[01:26:54.880 --> 01:27:01.760]   You know didn't become what it could have become yeah, but it was close very close. Well speaking of close. I feel like google had
[01:27:01.760 --> 01:27:06.960]   Or has an opportunity with hangouts, but doesn't seem to get he just can't get it
[01:27:07.520 --> 01:27:10.640]   It's just not working. Yeah, I think they're trying to do too much
[01:27:10.640 --> 01:27:13.520]   You know messaging if you think about the apps that really
[01:27:13.520 --> 01:27:20.320]   Have worked whether it's kick or line or we chat or or even snapchat when it first started
[01:27:20.320 --> 01:27:25.920]   They are so simple like snapchat has now started adding a whole bunch of stuff and it's trying to become
[01:27:25.920 --> 01:27:30.960]   So it started with a simple that's a mistake and it's trying to become a much bigger full featured thing
[01:27:30.960 --> 01:27:34.240]   I don't know if that's gonna work, but but so they started with something
[01:27:35.360 --> 01:27:39.680]   Kids found a symbol I could it took me half an hour to even figure out how to do it. I agree with you
[01:27:39.680 --> 01:27:46.080]   You know, so but I had this conversation with my 21 year old yesterday at breakfast. I said what apps do you use?
[01:27:46.080 --> 01:27:49.200]   I always ask the kids and he said the holy trinity
[01:27:49.200 --> 01:27:52.480]   Facebook instagram snapchat
[01:27:52.480 --> 01:27:58.080]   And I said but I find snapchat a little opaque. He said, I don't know you just do this. I open it up
[01:27:58.080 --> 01:28:02.560]   I said well, he said I said I can't he said well swipe right. Oh swipe left. Oh, yeah
[01:28:03.360 --> 01:28:05.680]   It's and I said how did you understand how to use that?
[01:28:05.680 --> 01:28:12.640]   Uh did some somebody must have shown them right but because there's no it's not intuitive. Those are anti-dad features
[01:28:12.640 --> 01:28:17.600]   Well, he loves it
[01:28:17.600 --> 01:28:22.640]   Came from tender. I don't know that no well tender does that but I think snapchat pre
[01:28:22.640 --> 01:28:29.520]   Predated them, but then he does not do the snapchat if you swipe right. He says, oh no swipe right. That's just crap
[01:28:30.080 --> 01:28:35.280]   That's people who are doing this is the new stuff snap the stories and then the official stories
[01:28:35.280 --> 01:28:37.840]   He says no, no, you always swipe left never swipe right. Yeah
[01:28:37.840 --> 01:28:42.400]   And so snap you're you making an excellent point Matthew
[01:28:42.400 --> 01:28:46.160]   Which is snapchat is trying to become main more mainstream when they're really
[01:28:46.160 --> 01:28:49.840]   It's the kids like it because it's very simple you swipe left
[01:28:49.840 --> 01:28:55.840]   You you know, you make a joke you do something. I said you type say sometimes because they make it really easy
[01:28:56.480 --> 01:29:01.680]   But mostly it's just that and then you and then you want to see what you got you swipe you swipe left and that's where all your stuff
[01:29:01.680 --> 01:29:07.040]   You know, it's interesting the reason why I think snapchat's valuation is a 20 billion or whatever is
[01:29:07.040 --> 01:29:09.680]   Some of what they've been doing has been working
[01:29:09.680 --> 01:29:14.240]   So the weather right discover is working or whether it's sort of becoming a more full-featured
[01:29:14.240 --> 01:29:17.200]   Media app is working. I don't know but snapchat stories
[01:29:17.200 --> 01:29:22.560]   My teenage daughter started talking about oh, I'm I'm making this snapchat story
[01:29:23.280 --> 01:29:29.040]   So she is using like interesting you're talking about I don't even know what it is. Right. She is creating stories
[01:29:29.040 --> 01:29:36.160]   Which then people look at multiple photos video clips and I think it was earlier this year
[01:29:36.160 --> 01:29:37.360]   um
[01:29:37.360 --> 01:29:38.480]   One of our
[01:29:38.480 --> 01:29:46.400]   Writers looked at the kind of traffic those things get some individual snapchat stories. We're getting 20 million views
[01:29:46.400 --> 01:29:49.680]   I think was during a blizzard in in the winter
[01:29:50.240 --> 01:29:56.240]   Well, you know, I think I think about like some of these make sense. I mentioned this before but ESPN would just be sports highlights, right?
[01:29:56.240 --> 01:29:57.440]   That makes sense
[01:29:57.440 --> 01:30:01.200]   So this is so when you launch snapchat it launches like this that you're in the camera
[01:30:01.200 --> 01:30:05.600]   And I can immediately send a message is very straightforward if I swipe this way
[01:30:05.600 --> 01:30:11.680]   He says swipe swipe swipe to the right. Oh, that's people sending you snapchat's. I said what yeah people have been sending you messages
[01:30:11.680 --> 01:30:15.520]   Oh, I don't have anything. Oh, and then you swipe this way. These are the stories
[01:30:16.160 --> 01:30:19.760]   And yeah, and then like I have this this person
[01:30:19.760 --> 01:30:27.760]   The other thing I thought I had to hold it down. You just tap it. Yeah, that's one of the so they made it so you don't have to hold it down
[01:30:27.760 --> 01:30:29.760]   They changed that so um
[01:30:29.760 --> 01:30:34.720]   And then here's snap at tunde bear tunde does the stories. He doesn't fun stuff
[01:30:34.720 --> 01:30:42.720]   Um, but my problem with this is it's gone after a day. So like why I spent a lot of energy making stuff. Okay, I upload forever
[01:30:43.440 --> 01:30:48.240]   And then these are the big brands and so you're saying 20 million views in a day
[01:30:48.240 --> 01:30:52.880]   In yeah of a single snapchat story. It's amazing
[01:30:52.880 --> 01:30:59.680]   This was somebody taking video of a blizzard or something during the during the New York away. I'm in a yahoo's gone. Yahoo
[01:30:59.680 --> 01:31:07.040]   Oh, kitty kirk stopped doing her news, huh? They were there for 24 hours and they vanished foot buzzfeed in I think
[01:31:07.040 --> 01:31:12.960]   Interesting, but what's interesting to me is there they clearly started with it's a little like twitter
[01:31:12.960 --> 01:31:17.040]   They started with something incredibly simple and they're trying to add more features
[01:31:17.040 --> 01:31:23.600]   So the question becomes can they do that or will their sort of core users think i'm not going to use that snapchat thing anymore
[01:31:23.600 --> 01:31:29.120]   There's too many features or there's too much crafter. There's too much, you know, it doesn't do what I want it to do anymore
[01:31:29.120 --> 01:31:33.360]   It's interesting to watch messaging
[01:31:33.360 --> 01:31:35.520]   Messaging you can see sort of
[01:31:35.920 --> 01:31:41.920]   emergent behavior like I always like you I asked my daughters what they're using my my
[01:31:41.920 --> 01:31:47.360]   Middle daughter uses aim and I said what you does that even exist anymore?
[01:31:47.360 --> 01:31:53.440]   And she says oh, yeah, oh my friends and I ought to use it and I was like, why why on earth would you do that?
[01:31:53.440 --> 01:31:55.440]   Haven't you tried prodigy?
[01:31:55.440 --> 01:32:00.960]   What's that? Why don't you use that? Oh, well, what's some some my friends don't want to pay
[01:32:00.960 --> 01:32:04.800]   I said, but you don't have to pay do you? Will you have to pay a dollar a year you pay and then
[01:32:05.760 --> 01:32:09.920]   After and so this is actually I wouldn't have thought that would stop anyone
[01:32:09.920 --> 01:32:15.760]   But aim is the only is the closest thing they found to a cross platform app. They all have it
[01:32:15.760 --> 01:32:20.720]   It's it's super cheap. You know, it doesn't cost anything. You can install it on everything
[01:32:20.720 --> 01:32:23.920]   The only problem is I think there's no she was telling me there's no
[01:32:23.920 --> 01:32:29.840]   Why don't they use facebook or feels like facebook would be the right? They don't want to use facebook
[01:32:29.840 --> 01:32:34.240]   Why not they've got stickers. They've got she doesn't want to be on facebook
[01:32:34.960 --> 01:32:43.040]   Youngest oh that's interesting. He did her facebook account. She doesn't have one people our age are looking for messaging services where we can message
[01:32:43.040 --> 01:32:49.200]   Everybody and people your daughter's age are looking for the opposite for places where they can't be reached by
[01:32:49.200 --> 01:32:54.720]   Most people other than their tiny group or they can have select groups that they message about specific things
[01:32:54.720 --> 01:32:57.920]   So maybe this this point that we should have a universal
[01:32:57.920 --> 01:33:02.240]   I brought this up on twit and the people everybody said the same thing. No, no, we don't want that
[01:33:02.400 --> 01:33:07.760]   Yeah, you don't want that you want your own little niche, but aren't most of these universal through sms
[01:33:07.760 --> 01:33:13.760]   Snapchat supports it hang out supports it. Yep. I mean you can just you could just you know if somebody isn't on the the messaging
[01:33:13.760 --> 01:33:20.000]   Right, but let's go back to the problem of email right because email is universal because it is center controlled
[01:33:20.000 --> 01:33:21.840]   That's what ruins email
[01:33:21.840 --> 01:33:27.680]   So this this is a form of recipient control is that I go where I know I am my friends are nobody else can find me there
[01:33:27.680 --> 01:33:30.000]   And I don't get spam there
[01:33:30.160 --> 01:33:32.880]   Actually speaking of messaging Twitter just changed the length of
[01:33:32.880 --> 01:33:41.840]   Dms now you can send limitless dm. There's no 140 character length. Yeah, so now dms can become effectively service in base email
[01:33:41.840 --> 01:33:47.200]   Yeah, so here's what we discussed last week. This is really interesting
[01:33:47.200 --> 01:33:51.920]   So facebook is introducing this direct message to companies thing
[01:33:51.920 --> 01:33:53.280]   Right and to me
[01:33:53.280 --> 01:33:55.520]   This is the guy who did del hell is interesting
[01:33:55.520 --> 01:34:01.440]   What the way that customer service now works through facebook and companies being able to direct message you back and actually deal with things
[01:34:01.440 --> 01:34:03.760]   Is there afraid of public humiliation?
[01:34:03.760 --> 01:34:05.680]   Right. Yeah
[01:34:05.680 --> 01:34:12.880]   Michael larrynton says my cable's not working and they jump on it and and frank who went from Comcast and just announced he's quitting in city
[01:34:12.880 --> 01:34:14.480]   We don't know what's next for him
[01:34:14.480 --> 01:34:17.840]   Basically created that structure of being able to deal with that right
[01:34:17.840 --> 01:34:24.240]   Now facebook turns around and says no no no you can you can directly message a company through facebook
[01:34:24.560 --> 01:34:27.120]   And we will rate them on whether or not they respond within
[01:34:27.120 --> 01:34:28.480]   Seconds
[01:34:28.480 --> 01:34:35.520]   Right and so what's facebook? I think really sells then is the opportunity to avoid public humiliation if you behave well
[01:34:35.520 --> 01:34:41.120]   Right, uh, which I find just fascinating and I don't know if it's gonna work. It's just everywhere
[01:34:41.120 --> 01:34:44.240]   Coppies not on
[01:34:44.240 --> 01:34:47.920]   The three public humiliation on on twitter is what gets resolved
[01:34:47.920 --> 01:34:54.160]   Right public. Yeah, if you say hey, or can it screwing me or can is like holy? We better respond
[01:34:54.240 --> 01:34:59.280]   But this is but this is the genius of facebook's this is the genius of facebook's plan you get results with their
[01:34:59.280 --> 01:35:06.080]   System too because they have a they have a metric for earning a badge that says highly responsive company avoid humiliation
[01:35:06.080 --> 01:35:12.400]   Exactly the company certainly don't want to be forced to give results. There's less direct humiliation, right? Yeah
[01:35:12.400 --> 01:35:18.800]   Yes, and actually I've noticed that on twitter for a long time companies responded now what they do is call you and say can you stop tweeting?
[01:35:18.800 --> 01:35:22.640]   Yeah, they don't they I've had this with Comcast at first it worked
[01:35:23.040 --> 01:35:27.440]   Now they just have somebody from the executive office call and say would you mind not tweeting?
[01:35:27.440 --> 01:35:33.360]   And then of course you tweet hey, they just called me and said don't immediately what I tweeted that always started
[01:35:33.360 --> 01:35:40.880]   Yeah, so so facebook's do its interesting things around this. They're also our our our unconfirmed reports that they're starting a news
[01:35:40.880 --> 01:35:47.200]   Application yeah the law have you guys been watching rich richy surveys on facebook? No, I can't bear it
[01:35:47.200 --> 01:35:51.360]   And you know why i'll tell you I can't bear it. He's making a mistake. He's too close to his face, which is ugly
[01:35:52.880 --> 01:35:55.280]   See this is the tv pure ever bill you're rarely
[01:35:55.280 --> 01:35:58.640]   Just an irritating person
[01:35:58.640 --> 01:36:00.960]   I know but it's irritating
[01:36:00.960 --> 01:36:05.600]   He's vlogging on facebook, right? This is important. This is important. We're your base
[01:36:05.600 --> 01:36:10.480]   Set the tone of podcast like crazy for media companies not for you guys but for media companies
[01:36:10.480 --> 01:36:12.640]   But he did the original podcast where a media company
[01:36:12.640 --> 01:36:16.880]   No, no old media companies. Oh, okay at the guardian watch this
[01:36:16.880 --> 01:36:21.440]   It's original thing. Do you think this is something you want to have in your life in your feed?
[01:36:21.520 --> 01:36:25.280]   I don't want to have a close-up of his bad teeth in my feed. I'm sorry
[01:36:25.280 --> 01:36:29.840]   I love Ricky's your vase. I love the office. He's experimenting
[01:36:29.840 --> 01:36:35.600]   Okay, it's hilarious. It's hilarious. It's hilarious. Not bad. No, they're not that bad
[01:36:35.600 --> 01:36:41.440]   They're pretty good. He's no it scares me because he's got sharpened like cuspids
[01:36:41.440 --> 01:36:46.480]   He does have he does a little scary. It's like if he might you know if he had an appealing personality
[01:36:46.480 --> 01:36:49.200]   I don't think this would be so bad, but he's just he's just irritating
[01:36:49.200 --> 01:36:53.520]   This works if you're a beautiful woman. I'm afraid it does not work if you're a gentleman of certain
[01:36:53.520 --> 01:36:59.360]   Debulities if you ever thought that Ricky's your vase and Nick Denton are separated at birth. Oh god
[01:36:59.360 --> 01:37:02.400]   No now that you've said it though
[01:37:02.400 --> 01:37:06.560]   But what he is doing is Facebook native, which is interesting
[01:37:06.560 --> 01:37:10.640]   He's not getting the engagement that you would one would hope like this
[01:37:10.640 --> 01:37:17.120]   Is a discovery issue. I never have seen him live. Yeah. Oh, this is live
[01:37:17.840 --> 01:37:22.640]   Well, that's but that is recorded. Yes, but this is this is experimenting with facebook live. How would you see it live?
[01:37:22.640 --> 01:37:28.960]   You'd get a little bit of show up in your stream. Oh, Ricky's live. But do I have to like him first? Yes
[01:37:28.960 --> 01:37:32.640]   Yes, all right. I'm gonna like him and then we'll know when he's live
[01:37:32.640 --> 01:37:35.680]   But I still haven't seen another sign up mean
[01:37:35.680 --> 01:37:40.320]   That's weird. You click on that and it goes off to a separate thing sign up
[01:37:40.320 --> 01:37:45.360]   I know I've never seen that link in the other celebrity and it's totally this youtube. How did he get that link in there?
[01:37:45.680 --> 01:37:49.360]   Oh, man. They're giving special treatment. Oh, yeah. Oh, yeah
[01:37:49.360 --> 01:37:53.840]   This is youtube. This must be an ad. This is part of it a new trend
[01:37:53.840 --> 01:37:58.000]   Where where facebook apple and twitter are creating elitist?
[01:37:58.000 --> 01:38:04.000]   Mechanisms and separate in there. They're destroying the the egalitarianism of the social web
[01:38:04.000 --> 01:38:08.080]   They got special to is this social network that you can't fully use
[01:38:08.080 --> 01:38:12.640]   They were experimenting at this level with a small population that's going to push it
[01:38:13.040 --> 01:38:16.400]   And then you know because there have been others who've been going after them saying what do I get it?
[01:38:16.400 --> 01:38:18.480]   What do I get it? They said we're just starting we're just starting
[01:38:18.480 --> 01:38:23.760]   I have to judge them on what they're doing rather than what they're saying and what they're doing right now is they have
[01:38:23.760 --> 01:38:28.480]   Just like apple has connect just like twitter has special features for verified users
[01:38:28.480 --> 01:38:34.080]   they're they're they're creating different tools different powers different resources for
[01:38:34.080 --> 01:38:39.840]   famous people for powerful people for leads, okay, and the rest of us sign up takes me to
[01:38:40.720 --> 01:38:46.560]   A youtube page where I'd subscribe to more about this Netflix originally he's doing
[01:38:46.560 --> 01:38:49.760]   So look at that now. I notice on his facebook page
[01:38:49.760 --> 01:38:52.160]   There's also a videos link
[01:38:52.160 --> 01:38:56.720]   And it if I click it it takes me to this is that a youtube page or a facebook page?
[01:38:56.720 --> 01:39:01.120]   That's a facebook page. It is a facebook page. It looks like a youtube page
[01:39:01.120 --> 01:39:04.400]   Oh man does that look like a youtube page
[01:39:04.400 --> 01:39:08.960]   So go back to that other link that really was youtube that really was youtube. Yeah
[01:39:09.760 --> 01:39:11.760]   unclear
[01:39:11.760 --> 01:39:14.400]   Gina tripple me. Why would facebook have a sign up?
[01:39:14.400 --> 01:39:16.400]   I should tell you
[01:39:16.400 --> 01:39:22.480]   Um, I bet you I'm thinking netflix paid for that that that's an ad netflix ad
[01:39:22.480 --> 01:39:26.160]   That that sign up button right there. That's an ad is an ad
[01:39:26.160 --> 01:39:31.600]   No, no, no, we we have that too like if you go to if you go to tech news today tv
[01:39:31.600 --> 01:39:35.920]   Okay, facebook facebook.com slash tech news today tv go away
[01:39:36.400 --> 01:39:40.080]   I don't know when they rolled this out, but they said you can put a button on your on your page
[01:39:40.080 --> 01:39:42.640]   And it goes to youtube
[01:39:42.640 --> 01:39:46.080]   There goes wherever you want tech. Oh, it goes where it goes. What is it tech news?
[01:39:46.080 --> 01:39:49.040]   Today tv tv
[01:39:49.040 --> 01:39:52.000]   And so
[01:39:52.000 --> 01:39:54.000]   I got the wrong spell
[01:39:54.000 --> 01:39:56.320]   Yeah, I know this by the way
[01:39:56.320 --> 01:40:00.320]   It's kind of like what you can put on the video itself, which is a different feature
[01:40:00.320 --> 01:40:03.680]   And so I don't see a subscribe button here
[01:40:04.480 --> 01:40:06.480]   Wait a minute. No, that's the wrong. I'm on the wrong
[01:40:06.480 --> 01:40:09.680]   How do I get there tech news today tv?
[01:40:09.680 --> 01:40:15.200]   Did I type it wrong? Oh, you know what I have to do facebook.com. Yeah slash right?
[01:40:15.200 --> 01:40:20.000]   Okay, I was doing this in the search and this this actually for pages
[01:40:20.000 --> 01:40:25.520]   This is and for media pages. This is one of the rings. That's really great about but you don't have a subscribe right there
[01:40:25.520 --> 01:40:29.440]   Oh, you do sign up and you click on it now. What do I get?
[01:40:29.440 --> 01:40:33.280]   What the heck how did that happen?
[01:40:33.760 --> 01:40:37.040]   It's a paid ad. I've been I stole your credit card and I've been paying for this
[01:40:37.040 --> 01:40:39.600]   Okay, so this is a feature
[01:40:39.600 --> 01:40:44.800]   Have you guys tried the new facebook author tag very very familiar from the old google author?
