
[00:00:00.000 --> 00:00:04.000]   Hi Jason Snell sitting in for Leo Laporte this week on Macbreak Weekly. There's so much going on
[00:45:04.200 --> 00:45:06.040]   That is totally not fair to the reader
[00:45:06.040 --> 00:45:08.520]   And I think at that point is when you actually broken faith and
[00:45:08.520 --> 00:45:12.840]   It's it's better to sort of frame this story in in its actual context
[00:45:12.840 --> 00:45:15.160]   Rather than just using it as a way to collect attention
[00:45:15.160 --> 00:45:20.840]   So I got another story here. This is a talking about apple's bread and butter
[00:45:20.840 --> 00:45:23.560]   Which is rapid
[00:45:23.560 --> 00:45:27.480]   Operating system updates. We talked about the sierra updater and making that easier
[00:45:27.880 --> 00:45:32.760]   Uh, this is story posted on apple insider. It's information from mix panel research firm
[00:45:32.760 --> 00:45:35.560]   tracking ios 10 adoption
[00:45:35.560 --> 00:45:38.280]   And one of the things that it says is
[00:45:38.280 --> 00:45:41.240]   Uh, we've crossed over we've reached the crossover point already
[00:45:41.240 --> 00:45:42.760]   It's been
[00:45:42.760 --> 00:45:48.600]   Uh only a few weeks two weeks of availability and there are now more devices running ios 10
[00:45:48.600 --> 00:45:51.400]   Than ios 9
[00:45:51.400 --> 00:45:54.120]   You know apple does this fast. This is one of their trademarks
[00:45:54.200 --> 00:46:00.040]   But it's also a huge benefit for the platform, right that that you can have confidence if you're a third-party developer
[00:46:00.040 --> 00:46:04.520]   For example that people are going to be on if not the latest version, but you know
[00:46:04.520 --> 00:46:09.880]   The latest version and maybe one version back that the uptake is so incredibly fast with apple products
[00:46:09.880 --> 00:46:14.200]   Yeah, and that's part of that is due to the consistency of the platform
[00:46:14.200 --> 00:46:20.200]   Uh, where you don't have uh, you have one kind of smartphone and it's the ultra sophisticated ultra high-end smartphone
[00:46:20.600 --> 00:46:26.920]   They're not selling iPhones and bubble packs to parts of the country where they parts of the world where they don't have a lot of money for phones
[00:46:26.920 --> 00:46:32.200]   So it's easy to really get everybody on the same page and that's why the the level of software is so consistently high
[00:46:32.200 --> 00:46:35.400]   Yeah, and I think it's that it goes both ways too that
[00:46:35.400 --> 00:46:41.880]   Apple is doing two things with the updates one is when they push these out it goes to every person and every carrier in every region of the world
[00:46:41.880 --> 00:46:49.480]   Uh, which is not the case with a lot of platforms because they have that non-integrated model and they have to negotiate carriers and device manufacturers and
[00:46:49.480 --> 00:46:53.400]   And you know, sometimes laws and individual states, uh, and all that stuff can vary
[00:46:53.400 --> 00:46:57.240]   But it also means that when you buy an apple device, you're not just buying the device you have now
[00:46:57.240 --> 00:47:01.720]   And we just spoke about it with ios 10 last year ios 9.3 was a really good update
[00:47:01.720 --> 00:47:05.400]   Especially for ipad, you know, it had had a bunch of interesting new features in it
[00:47:05.400 --> 00:47:11.400]   iOS 10.3 could be the same thing and you'll just get it and you'll be almost certain to get it if you're running anything approaching
[00:47:11.400 --> 00:47:15.720]   Apple supporting devices going back to 2012, I think the iflon 5 right now
[00:47:15.720 --> 00:47:19.160]   Which is not the case even with the nexus made in the same year
[00:47:19.320 --> 00:47:24.200]   And you have both have advantages advantages, but when it comes to updates it's a huge advantage and a huge added value
[00:47:24.200 --> 00:47:30.280]   And it's especially prevalent in security updates and if you listen to security now, which follows this show steve gibson high
[00:47:30.280 --> 00:47:33.560]   Uh, you'll you'll hear every week there's there's ios
[00:47:33.560 --> 00:47:34.600]   um
[00:47:34.600 --> 00:47:36.040]   There's ios
[00:47:36.040 --> 00:47:42.680]   Problems and there's android problems and the ios problems apple has been much better than the past they'll push out a point update in
[00:47:42.680 --> 00:47:47.000]   Within two weeks hundreds of millions of people have that update and that's again
[00:47:47.000 --> 00:47:50.200]   It's not going to matter to everybody but for the people for whom, you know
[00:47:50.200 --> 00:47:55.320]   Updates and security fixes are important. It's it's something that you really have to factor into your decision-making
[00:47:55.320 --> 00:47:58.680]   Let's uh, let's talk about some
[00:47:58.680 --> 00:48:04.680]   Levity i want to bring some levity that this we've been talking about security holes and things like that. It's really depressing
[00:48:04.680 --> 00:48:11.880]   Um, number one top paid sticker pack app. I love the message messages stickers. I love them
[00:48:11.880 --> 00:48:14.200]   I made one sticker gate sticker gate
[00:48:14.200 --> 00:48:21.240]   Wait, we already had a sticker gate. It was why apple puts doesn't put intel inside stickers on its laptops. That was sticker gate
[00:48:21.240 --> 00:48:23.640]   This is like sticker gate two
[00:48:23.640 --> 00:48:30.760]   electric boogaloo electric sticker anyway, uh, we'll come up with an answer proven to have a consistent problem against stickers
[00:48:30.760 --> 00:48:33.720]   I promise to investigate
[00:48:33.720 --> 00:48:39.320]   The story here is that there is a an app that makes uh
[00:48:40.040 --> 00:48:45.160]   It's a such a great idea. It's it's stickers that look like iMessage responses
[00:48:45.160 --> 00:48:48.760]   And the idea is that when you get phonies
[00:48:48.760 --> 00:48:55.880]   As it's called you can take a sticker and basically put words in the mouth of the person that you're talking to
[00:48:55.880 --> 00:48:59.320]   Uh, and it's a it's a pretty fun joke. So somebody says
[00:48:59.320 --> 00:49:03.560]   Uh, I don't know what you're talking about and you put on the sticker that says you're so smart
[00:49:03.560 --> 00:49:08.440]   And it looks now to that person like they responded with something totally different
[00:49:09.000 --> 00:49:12.200]   Than what they actually responded to now. This is playful and adorable
[00:49:12.200 --> 00:49:16.040]   But it also is using apple system font and apple's designed for the bubbles
[00:49:16.040 --> 00:49:20.840]   And apparently apple has warned the makers of this sticker pack that they need to change
[00:49:20.840 --> 00:49:25.720]   Their stickers to not exactly resemble iMessage stickers
[00:49:25.720 --> 00:49:31.480]   You just know that eddy q is doing this to fill uh shiller and all his community all the group messages with tim cook and jeff william
[00:49:31.480 --> 00:49:35.560]   Is like phil would make a point and he would just put the bubble on top of it phil would put an angry face
[00:49:35.640 --> 00:49:40.600]   And he would stick the happy face emoji sticker on top and just they were getting angry and angry and something had to be done about it
[00:49:40.600 --> 00:49:43.240]   Duke stinks
[00:49:43.240 --> 00:49:46.120]   How dare you that that that is an interesting theory
[00:49:46.120 --> 00:49:50.280]   See all the theories of that app store rejections and other things that we've had over the years from one now
[00:49:50.280 --> 00:49:54.760]   I really I really enjoy the idea that app store rejections may happen because
[00:49:54.760 --> 00:49:57.960]   Uh, one apple executive is just using apps to annoy
[00:49:57.960 --> 00:50:00.520]   Another apple executive and they won't have anything
[00:50:00.520 --> 00:50:02.600]   Uh, come on phil it's just good fun take it down
[00:50:03.640 --> 00:50:10.360]   The only way to get phil's shiller to stop using that fart app during meetings is to destroy all fart apps
[00:50:10.360 --> 00:50:16.200]   So you made laser's now take this rene. I know there's an i'm more sticker pack. I did an incomparable sticker pack
[00:50:16.200 --> 00:50:21.640]   I think the real question here is andi when is the andi and not co sticker pack coming to the messages app store
[00:50:21.640 --> 00:50:26.120]   Please jason i'm glad you asked um here at an outcorp
[00:50:26.120 --> 00:50:30.840]   Every time we say no, it's as important as every time we say yes
[00:50:30.920 --> 00:50:34.280]   We feel as though this is an interesting space and an immersing technology
[00:50:34.280 --> 00:50:40.440]   But we're not going to produce a sticker pack just to simply say that we have the same thing that other platforms have
[00:50:40.440 --> 00:50:41.800]   Here in an outcorp
[00:50:41.800 --> 00:50:46.200]   We will be sure to address this when we feel as though we can bring something to this technology
[00:50:46.200 --> 00:50:51.240]   So that we can honestly say it's the best sticker pack ever made
[00:50:51.240 --> 00:50:55.320]   And now i have a video here. Is there a release date? That's the question
[00:50:56.440 --> 00:51:01.720]   We don't comment on our non stickers. Oh later this all interesting interesting. Well, I look forward to the in not co
[00:51:01.720 --> 00:51:08.040]   Sticker pack whenever it arrives any thoughts about the story? I think it's funny and ridiculous and I get why
[00:51:08.040 --> 00:51:14.280]   Apparently the the statement that was made to the developer was no pranks in the app store
[00:51:14.280 --> 00:51:17.080]   It's like like the dean came in and said now now
[00:51:17.080 --> 00:51:23.480]   I'm gonna i'm gonna send you to detention if you don't stop it with your prank your wacky pranks, but
[00:51:24.040 --> 00:51:27.560]   I don't know it seems it seems all in fun and goofy to me and
[00:51:27.560 --> 00:51:32.760]   lawsuits they see someone doing this someone else they get any hit with a can of beer and then they get sued
[00:51:32.760 --> 00:51:39.000]   That's again. This is what the dean warned us about in in every college party movie ever made
[00:51:39.000 --> 00:51:41.560]   It's a real genius episode should have been filmed
[00:51:41.560 --> 00:51:43.240]   Interesting
[00:51:43.240 --> 00:51:47.080]   Interesting, but it's good but it's good that it made it to the app store to begin with apple tends to
[00:51:47.080 --> 00:51:51.400]   Apple gets some flak for saying hey wait a minute. How come you let it into the app store to begin with?
[00:51:51.400 --> 00:51:53.400]   I do think they have the the policy of
[00:51:53.880 --> 00:51:55.880]   We will make sure that our
[00:51:55.880 --> 00:52:00.440]   Our validation process is inclined towards letting apps in
[00:52:00.440 --> 00:52:05.800]   But then that means that when we take a closer look at something or once again, it turns out that
[00:52:05.800 --> 00:52:11.400]   It's it's only tim cook and one other senior employee at a meeting because everybody else got oh, i'm sorry
[00:52:11.400 --> 00:52:16.280]   I can't make that i'm canceling nobody show up. Nobody show up at the restaurant stickers inside apple
[00:52:16.280 --> 00:52:21.800]   It's it's it's you know, I'd like to see them not actually say no pranks
[00:52:22.280 --> 00:52:25.160]   Remember this is this is the no fun platform
[00:52:25.160 --> 00:52:28.840]   We we let you have an off shade of green in the user interface
[00:52:28.840 --> 00:52:32.760]   Don't make us sorry that we entrusted you with with frivolity
[00:52:32.760 --> 00:52:33.880]   It's funny though
[00:52:33.880 --> 00:52:40.040]   Because they have an unforeseen category which is supposed to cover everything that they're not predicting and they they have fairly good guidelines
[00:52:40.040 --> 00:52:44.360]   in their head, but they always know that something will happen that they never accounted for and
[00:52:44.360 --> 00:52:49.720]   Especially during launch time when everyone is trying to get like their iOS 8 or iOS 9 or iOS 10 app
[00:52:49.880 --> 00:52:53.960]   Approving to the store. It's all hands on deck and they're running things through and basically if they don't
[00:52:53.960 --> 00:52:56.760]   Crash and they're not obviously like porn or something
[00:52:56.760 --> 00:53:03.080]   They'll have a high likelihood of making it through just because there's such a deluge of apps and then over time, especially if they become super popular
[00:53:03.080 --> 00:53:07.080]   Uh, the people who are actually are running the review teams will stop and look and say wait a minute
[00:53:07.080 --> 00:53:12.040]   We know this got in but you know, it really doesn't follow our rules and then the people who run the store will say
[00:53:12.040 --> 00:53:17.240]   Hey, we're making money off this leave us alone and there'll be a huge argument and eventually somebody will win
[00:53:17.560 --> 00:53:21.240]   And in some cases, you know friend of the show james tomsen gets caught in the middle and apple
[00:53:21.240 --> 00:53:24.120]   Sincerely believes that there's no coder in the world who can make
[00:53:24.120 --> 00:53:27.400]   A widget robust enough to have a whole app inside it
[00:53:27.400 --> 00:53:31.240]   So they just say don't do it and then hey, I made the doc I can do this and it works
[00:53:31.240 --> 00:53:37.000]   And there's a huge bruaha, but we get we get actual apps and widgets faster than if we had to wait a year for iOS
[00:53:37.000 --> 00:53:40.200]   You know tend to make them official so it's a terrible horrible process
[00:53:40.200 --> 00:53:44.120]   But sometimes it produces faster results and I'd like to thank the twitch chat room
[00:53:44.120 --> 00:53:50.520]   They're brilliant. They just pointed out that what the dean would do is put that app developer on double sticker probate probation. So yeah, yes
[00:53:50.520 --> 00:53:56.680]   Oh my the jokes they happen. So one more news item I wanted to share with you guys and andi
[00:53:56.680 --> 00:54:02.120]   I'm really curious about this because I know that you are not a stranger to android wear smartwatches and there was a report
[00:54:02.120 --> 00:54:11.240]   on uh android police dot com that's a that's a fine mobile related site about uh android wear smartwatches not pairing with the iphone
[00:54:11.240 --> 00:54:14.920]   And that google is apparently aware of the issue, but
[00:54:14.920 --> 00:54:20.360]   Awareness is not enough. We also need to know what's going on here. What do you what do you think do you uh?
[00:54:20.360 --> 00:54:25.960]   Do you use an android wear smartwatch with an iphone or do you keep those sort of dogs and cats separate?
[00:54:25.960 --> 00:54:31.960]   I only have it paired with my uh with my android phone because unfortunately uh they
[00:54:31.960 --> 00:54:39.800]   Oh, so it's only last year that android wear got opened up to ios and even there you don't really get an android wear or an apple watch type
[00:54:39.800 --> 00:54:45.400]   Experience you get notifications of course from all apps you get you you'll find out who's calling and what your text messages
[00:54:45.400 --> 00:54:51.640]   But the only apps that directly supported are google apps because really it's the only platform they can they can control
[00:54:51.640 --> 00:54:56.520]   And now we're seeing the the bang on effects where you have something that has to be intimate with a watch
[00:54:56.520 --> 00:55:01.320]   Excuse me with a phone, but you don't have an intimate correspondence with the makers of that phone
[00:55:01.320 --> 00:55:04.680]   It is a big deal for people who are using these watches because
[00:55:05.240 --> 00:55:08.760]   You look at the list of incompatible watches and it's basically any
[00:55:08.760 --> 00:55:11.640]   Any android bird watch that is sold more than eight
[00:55:11.640 --> 00:55:14.920]   Including my favorite including what I think is the best
[00:55:14.920 --> 00:55:19.400]   I would say the best smartwatch made which is the mode of 360 second generation one
[00:55:19.400 --> 00:55:26.360]   Uh, so essentially that means that it's the door is closed now. It's a basically a rechargeable timepiece and that's it
[00:55:26.360 --> 00:55:31.560]   It's too bad. I'm sure that it's it's nothing more than what it seems. It's just an incompatibility
[00:55:31.960 --> 00:55:37.560]   Uh with uh with the new software, I'm sure that uh, I don't know if google is going to be really rushing to fix this because
[00:55:37.560 --> 00:55:41.080]   Once again, they have better numbers than we do and the numbers we have are that
[00:55:41.080 --> 00:55:46.200]   They're very very few people are actually running android where on i was but it does show that it's it's a
[00:55:46.200 --> 00:55:52.200]   It's a one of the nasty things about smart watches these days is that you really are connected to it has to be the maker of the watch
[00:55:52.200 --> 00:55:54.280]   Makes your phone, uh if it doesn't then
[00:55:54.280 --> 00:55:57.320]   You're either stuck with something like a fitness watch
[00:55:57.320 --> 00:56:00.920]   Uh, and or it's something else that has a very limited functionality
[00:56:01.400 --> 00:56:05.160]   It's like those early episodes in the original star trek when the enterprise disappeared in the shuttle
[00:56:05.160 --> 00:56:09.480]   It was just stuck out there in space hoping and praying that the enterprise would come back and find it
[00:56:09.480 --> 00:56:11.560]   Uh and android where I mean google
[00:56:11.560 --> 00:56:15.560]   Famously last week also delayed android where the next version until next year
[00:56:15.560 --> 00:56:19.160]   Yeah android where too and it just goes to show watches are not easy
[00:56:19.160 --> 00:56:23.320]   I mean it's easier to sit here and criticize and say they're not selling that many where the software is not perfect yet
[00:56:23.320 --> 00:56:27.640]   But the risk computers is a whole new thing and we're all sort of discovering it together
[00:56:28.280 --> 00:56:32.600]   Yeah, exactly right and uh and you're right. This is a little bit the star trek analogy. I rene
[00:56:32.600 --> 00:56:36.280]   I think might be that if you're in a uh like a cling on shuttlecraft
[00:56:36.280 --> 00:56:38.280]   You may not be
[00:56:38.280 --> 00:56:42.760]   Expecting a federation ship to pick you up and that's sort of like this match here makes it that much
[00:56:42.760 --> 00:56:46.520]   Weird the other way around yeah, or the other way around that's right fair play fair play
[00:56:46.520 --> 00:56:47.640]   It's just a seed
[00:56:47.640 --> 00:56:51.400]   It's it's great that android where the google made the effort to get android where to work with ios at all
[00:56:51.400 --> 00:56:56.120]   But it is so limited and there the the experience isn't nearly as rich as it is on android
[00:56:56.280 --> 00:57:01.320]   And so it feels like I love that they are they are making it compact as compatible as they can
[00:57:01.320 --> 00:57:04.120]   But it's still gotta be a tiny fraction of the actual use
[00:57:04.120 --> 00:57:08.600]   The good news is that your custom one the nicest features of android where compared to apple watch
[00:57:08.600 --> 00:57:13.160]   The custom watch faces those will again will still work as a wristwatch
[00:57:13.160 --> 00:57:19.240]   So if you still have your rocket ship watch or the watch in which the kitty goes to sleep at night and we accept in the morning
[00:57:19.240 --> 00:57:23.960]   You'll still you'll still have your kitty. That's right. The number one feature of any smartwatch
[00:57:23.960 --> 00:57:25.960]   And I will fight somebody who says different is
[00:57:25.960 --> 00:57:28.040]   Uh, it needs to tell the time right?
[00:57:28.040 --> 00:57:31.800]   I mean number one please tell the time otherwise, you know what you're not you're not a watch
[00:57:31.800 --> 00:57:36.760]   If you can tell the time so because like we all the iPhone was originally seriously a phone and all the smart
[00:57:36.760 --> 00:57:39.880]   More like the trio and blackberry blackberry had a hardware hang up and answer buttons
[00:57:39.880 --> 00:57:44.760]   Because it was such a phone and now the phone is sort of an app that annoys us as often as it pleases us
[00:57:44.760 --> 00:57:48.680]   And I wonder if like five years from now are we gonna say oh, it's you know, it's it's yes
[00:57:48.680 --> 00:57:52.840]   It's a risk computer that happens to have a watch app but who looks at time anymore my implant wow
[00:57:52.840 --> 00:57:58.600]   That who looks at time anymore you're frightening me Renee you're with your with your bleak vision of a timeless future
[00:57:58.600 --> 00:58:01.480]   How would it even be the future if there's no time anymore?
[00:58:01.480 --> 00:58:06.360]   I don't know. I think the the difference here is that they called it a watch. I don't I don't feel like a fitness
[00:58:06.360 --> 00:58:08.600]   Phone I don't you call the iPhone a phone
[00:58:08.600 --> 00:58:14.040]   Well, maybe maybe bands and fitness bands are the right way to go then because then then there's no implied timekeeping
[00:58:14.040 --> 00:58:16.440]   Where's the band I should play music then? I mean like this whole
[00:58:16.440 --> 00:58:22.680]   Branding things. I thought it was I thought it was an automatic garage door opener at the at the release event interesting
[00:58:22.840 --> 00:58:28.760]   Interesting idea. Well, okay. I hear something in the distance speaking of not recognizing what time is or what space is
[00:58:28.760 --> 00:58:34.680]   What would it what would it be like if leela port who's not even here suddenly appeared to tell us about one of our fine sponsors?
[00:58:34.680 --> 00:58:37.480]   Well, I think it would look a little bit like this
[00:58:37.480 --> 00:58:42.920]   More Mac break weekly coming up in just a little bit. Thank you for filling in for me
[00:58:42.920 --> 00:58:47.320]   By the way as I am on vacation, but I couldn't leave without telling you about square space
[00:58:47.880 --> 00:58:55.480]   They've had such a great supporter of twit since practically the beginning. I mean practically went square space when dang got out of college
[00:58:55.480 --> 00:59:00.360]   and Anthony got out of college and they started square space and
[00:59:00.360 --> 00:59:04.840]   And they created you know Anthony created it because he wanted a blogging platform
[00:59:04.840 --> 00:59:09.320]   But he's also a brilliant like brilliant programmer and he thought I'm gonna do
[00:59:09.320 --> 00:59:13.640]   And I've talked to him a lot about this. I'm just really impressed with what he's done
[00:59:13.880 --> 00:59:20.360]   The server and the software the content management system kind of linked so that way you get some real benefits
[00:59:20.360 --> 00:59:22.520]   um
[00:59:22.520 --> 00:59:24.120]   for instance
[00:59:24.120 --> 00:59:30.120]   Whenever you have a square space site as traffic if traffic starts to mount or mount suddenly because you know somebody mentions you
[00:59:30.120 --> 00:59:32.600]   on a radio show or something
[00:59:32.600 --> 00:59:33.400]   Um
[00:59:33.400 --> 00:59:40.200]   Squarespace has the ability because they're so tightly integrated to ramp up very quickly to load balance and it's all handled without any
[00:59:40.200 --> 00:59:43.160]   You know effort on your part security updates too
[00:59:43.800 --> 00:59:46.760]   You know because they manage the software they're making sure it's always secure
[00:59:46.760 --> 00:59:52.280]   It's it's really the best stuff out there. I'm really happy to use it for my blog. It's leo loport.com
[00:59:52.280 --> 00:59:59.320]   Uh lisa wanted it when we created the uh our ad agency artisanal lisa wanted to have a website
[00:59:59.320 --> 01:00:05.160]   She didn't want to spend time designing and and and kind of remembers the pain that we went through a twit
[01:00:05.160 --> 01:00:07.640]   Designing creating around website and the cost
[01:00:08.200 --> 01:00:11.640]   The nice thing about squarespace they have lots of really good
[01:00:11.640 --> 01:00:18.360]   Independent developers who work on the squarespace platform. We found one that was very affordable is maintaining your site
[01:00:18.360 --> 01:00:24.120]   Made a beautiful site at artisanal agency.com. You can check it out and you know what? I don't mind giving out those URLs
[01:00:24.120 --> 01:00:27.480]   Even though there's tens of thousands of you might hit it all at once
[01:00:27.480 --> 01:00:31.160]   Squarespace never goes down. It's the best hosting plus the best
[01:00:31.160 --> 01:00:33.720]   Software sites look great
[01:00:33.960 --> 01:00:40.120]   Both, you know, it's both design and engineering in every template has the top of the line the best design out there and the best engineering
[01:00:40.120 --> 01:00:42.600]   And you don't have to do any coding
[01:00:42.600 --> 01:00:49.960]   You know if you it's really kind of you could just frankly take a template put content in and stop
[01:00:49.960 --> 01:00:55.080]   And it's going to look great, but there are lots of customizable settings so you could tweak it
[01:00:55.080 --> 01:00:58.520]   They offer you hundreds of fonts hundreds of fonts
[01:00:58.520 --> 01:01:01.400]   um colors page configurations
[01:01:02.040 --> 01:01:05.000]   And what's nice is your content separate from the template
[01:01:05.000 --> 01:01:10.440]   So if you get tired one day or and you should do this every every year or so for fresh your website
[01:01:10.440 --> 01:01:13.880]   It's just a click of a mouse. It's easy. Now if you want to get really geeky
[01:01:13.880 --> 01:01:18.200]   They have a squarespace developer platform, which gives you total control
[01:01:18.200 --> 01:01:20.760]   But you start with the great engineering as a base
[01:01:20.760 --> 01:01:25.960]   You could they have actually a blank template you can use that gives you the mobile responsive design and the e-commerce and all the hooks
[01:01:25.960 --> 01:01:31.560]   You need and then you get full control over html css javascript. You get a jcid api
[01:01:32.200 --> 01:01:36.360]   So that you actually have your cms as an api adjacent api
[01:01:36.360 --> 01:01:41.400]   You could start with a beautiful template or you can use the basic template
[01:01:41.400 --> 01:01:48.040]   Once your register is developer and you turn on the developer toggle you can use sftp you can use git
[01:01:48.040 --> 01:01:51.400]   They have yes, they support git, which is right
[01:01:51.400 --> 01:01:55.800]   And just start coding that means you can put something up in development
[01:01:55.800 --> 01:01:58.600]   Test it move it to production
[01:01:59.560 --> 01:02:01.640]   I mean, it's all the stuff that a developer wants
[01:02:01.640 --> 01:02:05.480]   Every every site has mobile built-in mobile responsive
[01:02:05.480 --> 01:02:08.920]   You get a free custom domain name with an annual purchase
[01:02:08.920 --> 01:02:13.400]   You've got squarespace comer. I mean I can go on and on look. Why don't you try it? You can try it for free
[01:02:13.400 --> 01:02:16.200]   Just go to squarespace.com
[01:02:16.200 --> 01:02:20.120]   Only thing I ask if you decide you want to buy and you will
[01:02:20.120 --> 01:02:25.880]   Use the mac break off or code that way you get 10% off and then they know you heard this on mac break quickly
[01:02:26.120 --> 01:02:31.160]   squarespace the place to make your website i'm really loving my squarespace site
[01:02:31.160 --> 01:02:39.400]   And check my site out too for updates as we travel leola port.com. I have a port a photo portfolio there and everything in a blog
[01:02:39.400 --> 01:02:46.120]   squarespace.com and the offer code mac break for 10% off now back to mac break weekly
[01:02:46.120 --> 01:02:52.760]   Thank you leo important words from the past i like that he doesn't pretend that he's like in another room here
[01:02:52.760 --> 01:02:54.760]   He's on vacation right now
[01:02:54.760 --> 01:03:01.880]   I mean, so the planetary is just amazing conundrum. He's unleashing it's it's uh there could be a vast rip in the space time continuum
[01:03:01.880 --> 01:03:04.760]   If you were to walk i think i think i think it's everywhere
[01:03:04.760 --> 01:03:10.360]   I think an act four will find out that he actually like has been in stasis for 41 years
[01:03:10.360 --> 01:03:15.880]   And we've been using these promos to basically to usurp his power while keeping him helpless interesting
[01:03:15.880 --> 01:03:18.440]   Well, there is one more uh sponsor in this episode
[01:03:18.440 --> 01:03:22.280]   So people need to stay tuned for that because that might be the big twist big reveal
[01:03:22.360 --> 01:03:24.360]   If his hair party in the same side every head
[01:03:24.360 --> 01:03:28.360]   That's right. That's right leo will be back soon. He'll be back. I believe for next week's mac
[01:03:28.360 --> 01:03:33.000]   Mac work weekly. I think he'll even be back this weekend. So he's coming back. He's coming back. Just wait
[01:03:33.000 --> 01:03:36.440]   He's he'll be rptan and rested and ready after three weeks in europe
[01:03:36.440 --> 01:03:42.200]   But what's the over under on the amount of weight he's gained? I'm guessing no no less than three pounds
[01:03:42.200 --> 01:03:47.000]   Well, I mean, he's all the wine is he's doing good on his diet, but that's that's all
[01:03:47.000 --> 01:03:50.200]   All all bets are off if you're going for her entire
[01:03:50.520 --> 01:03:54.440]   Enjoy yourself. I mean for Pete's sake. Go for Pete's sake. You're in europe
[01:03:54.440 --> 01:04:01.400]   Every mouthful of kale when you get home will taste that much better knowing that I paid for this kale by having every cannoli
[01:04:01.400 --> 01:04:03.400]   I wanted when I was an Italy
[01:04:03.400 --> 01:04:09.000]   France is gonna hurt him, but it's even odd what happens in russia because he could just come back going every day borscht borscht borscht
[01:04:09.000 --> 01:04:13.080]   And then it'll be all different. Oh, I had borscht in russia. It wasn't that bad. Um
[01:04:13.080 --> 01:04:16.280]   We're roughly a new sponsor this week the beat huts
[01:04:17.800 --> 01:04:21.560]   400 beat hut locations in most major cities that's suspicious
[01:04:21.560 --> 01:04:24.120]   Eat a bush beat you hmm
[01:04:24.120 --> 01:04:31.000]   So a guy writing for a website uh this random website called six colors dot com
[01:04:31.000 --> 01:04:36.360]   Uh, oh, that's that's me. That's my website. I wrote this for about to say that i'm interested
[01:04:36.360 --> 01:04:39.320]   What you guys think about it, which is I love messages
[01:04:39.320 --> 01:04:44.520]   I love what apple's doing with messages on ios 10 the idea that they dumped in all of these new features to make it more fun
[01:04:45.480 --> 01:04:50.440]   uh chat programs are incredibly popular on mobile. It's like the killer app of mobile and uh
[01:04:50.440 --> 01:04:56.680]   My message was kind of boring and they they know that people like to have fun in their message conversations
[01:04:56.680 --> 01:05:01.800]   So they added all these features in ios 10 some of them got added to the mac although not very many
[01:05:01.800 --> 01:05:08.920]   The the issue I have is that it does feel very much like a bunch of features got backed up in a truck and dumped into the app
[01:05:08.920 --> 01:05:14.920]   And they're kind of all over the place the the blue arrow is a little less clear about whether you're sending and do you know that you can
[01:05:15.160 --> 01:05:18.760]   Force touch or wait, isn't that the shift key? They finally fixed the shift key, right?
[01:05:18.760 --> 01:05:21.320]   That's what that blue arrow is the the the 3d touch
[01:05:21.320 --> 01:05:26.120]   And if you don't have 3d touch you can you can long press on that arrow and then you get some effects
[01:05:26.120 --> 01:05:27.240]   But they're also
[01:05:27.240 --> 01:05:29.240]   effects on a on a gray
[01:05:29.240 --> 01:05:34.120]   There's this gray carrot icon that you can tap and you get three other icons there
[01:05:34.120 --> 01:05:39.640]   And if you turn your phone sideways, you can write with ink and there's just there's stuff and there's apps deep down in there
[01:05:39.640 --> 01:05:42.520]   But you have to tap like four or five times to get to the messages app store
[01:05:43.000 --> 01:05:45.560]   I just that's my Scott forest all is never opening
[01:05:45.560 --> 01:05:49.560]   Why why why the call for help the sometimes that I feel when I'm using this
[01:05:49.560 --> 01:05:53.480]   So I'm curious what you guys think about messages in general and if you if you
[01:05:53.480 --> 01:05:58.840]   Agree or disagree with me that that even even though the features are kind of fun and cool
[01:05:58.840 --> 01:06:03.000]   There are a lot of them and they're all kind of in a in a jumble. What do you think?
[01:06:03.000 --> 01:06:09.560]   I'll just say that I really really wish it were a multi platform
[01:06:10.280 --> 01:06:17.560]   That's a complaint I have it's I don't fully understand why Apple's putting why a company is going to be putting that much effort into
[01:06:17.560 --> 01:06:20.280]   Basically creating a copy of
[01:06:20.280 --> 01:06:22.920]   bringing some of the WhatsApp and some of the
[01:06:22.920 --> 01:06:28.840]   Some of the snapchat features into their stock app knowing that one of the reasons why we have
[01:06:28.840 --> 01:06:33.000]   Snapchat and WhatsApp is that not all of our friends have the same phone
[01:06:33.000 --> 01:06:36.440]   So it's really difficult. I hate the fact that I've got on my own phone
[01:06:36.440 --> 01:06:43.240]   I've got four or five different chat apps only because I don't need I can't convince everybody to use the same
[01:06:43.240 --> 01:06:45.560]   the same standard
[01:06:45.560 --> 01:06:47.560]   As and I'm glad to see
[01:06:47.560 --> 01:06:52.520]   An app in which apple is along themselves to to have some whimsy and to have a bit of fun
[01:06:52.520 --> 01:06:56.600]   But once again, it's like are you doing it better than anybody else can so
[01:06:56.600 --> 01:07:04.680]   I mean my big problem with messages has always been will I get the message? That's really all I care about and it's like telling time on a smartwatch
[01:07:04.760 --> 01:07:11.400]   It's kind of a feature. Exactly. I mean that was my first big letdown with apple watch was when I had a I was having breakfast
[01:07:11.400 --> 01:07:16.680]   Breakfast with somebody and there was that kind of detour where they turn off that one road
[01:07:16.680 --> 01:07:21.800]   You need to get that if you're gonna get someplace in an orderly fashion and no joke
[01:07:21.800 --> 01:07:23.240]   It was like a five mile drive
[01:07:23.240 --> 01:07:29.080]   But because of this one thing being turned off it turned into a 30 mile ride and so well no problem
