
[00:00:00.000 --> 00:00:05.120]   Coming up next, I'm Philian for vacationing Leo Laporte and we're talking about Apple music and
[00:45:41.520 --> 00:45:45.040]   I think i'm gonna be listening to right take my walk and then nope, sorry
[00:45:45.040 --> 00:45:50.400]   18 of these 23 tracks are actually in the clouds. Sorry. I guess we should have told you that before you were before you left the house
[00:45:50.400 --> 00:45:57.840]   I mean, i'm just totally yeah, i mean i was breaking news and the uh, Ian has announced that that they've handed off to julia nuga live from london
[00:45:57.840 --> 00:46:03.440]   Yes
[00:46:03.440 --> 00:46:05.440]   It's like it's like falling in an animal torch
[00:46:05.840 --> 00:46:08.000]   It's like it's like falling the limping torch around the planet
[00:46:08.000 --> 00:46:11.760]   We are going like time zone to time zone to time zone and actually now that
[00:46:11.760 --> 00:46:18.720]   Uh, we laugh but that actually makes that actually makes me wonder if you're gonna be if you like one dj
[00:46:18.720 --> 00:46:21.840]   But not necessarily another like if you're a big fan of zane low
[00:46:21.840 --> 00:46:26.560]   But you don't know two of these other people and maybe they don't you don't like their taste in music
[00:46:26.560 --> 00:46:30.800]   Does that mean that this the this service only lasts for like three hours a day for you?
[00:46:30.800 --> 00:46:33.840]   Yeah
[00:46:33.840 --> 00:46:35.840]   That means
[00:46:35.840 --> 00:46:39.200]   We know there's gonna be any replays, uh, like i know they're playing the same songs again
[00:46:39.200 --> 00:46:43.120]   But is it actually going to be people 24 hours a day where they're going to be replays of the shows
[00:46:43.120 --> 00:46:48.160]   They will do some content some of the content will be reused for the weekends from what i understand
[00:46:48.160 --> 00:46:50.720]   And they'll be doing some of the interview sections and other things so some
[00:46:50.720 --> 00:46:52.880]   M&M
[00:46:52.880 --> 00:46:54.880]   M&M
[00:46:54.880 --> 00:47:00.480]   Well, like they'll be replaying that m&m, um, you know like like interview at other times
[00:47:00.480 --> 00:47:05.120]   They'll be able to repurpose that but no, it's live. I mean, um, uh, when when I talked to them at WWDC
[00:47:05.120 --> 00:47:08.960]   They said that the playlist they might make playlists available of what sets were on for a certain day
[00:47:08.960 --> 00:47:15.440]   But you would miss any of the live stuff that happens. So I mean they're kind of treating this like a live show, you know, I mean and and kind of you know
[00:47:15.440 --> 00:47:18.640]   similar to just um, you know the the case of your W's and um
[00:47:18.640 --> 00:47:23.440]   K exp of the world I guess where you know like if you miss it you miss it um and and you know
[00:47:23.440 --> 00:47:28.480]   Case of your W and some of those stations have done a good job of creating podcasts of the live experience
[00:47:29.040 --> 00:47:34.400]   From what I understand apple is not interested in doing that. I would be interested to see if maybe down the line that changes
[00:47:34.400 --> 00:47:38.880]   I think right now they're really trying to build the appeal and the novelty of people tuning in live
[00:47:38.880 --> 00:47:41.520]   Yeah, they they also have a presence on tumblr
[00:47:41.520 --> 00:47:44.960]   They have a presence outside of this service and a lot of different places you can experience it
[00:47:44.960 --> 00:47:46.960]   We do know we do do need to go to a break
[00:47:46.960 --> 00:47:50.320]   But a couple of last things about uh, apple music before we go
[00:47:50.320 --> 00:47:54.080]   Uh, we didn't mention that one of the cool things about beats one is that you like a song
[00:47:54.080 --> 00:47:58.320]   Go inside the app and simply add it to your collection and if you're a subscriber, you've got it in your collection
[00:47:58.800 --> 00:48:02.080]   Uh, they have some exclusives now. Uh, farra williams broke a new track
[00:48:02.080 --> 00:48:06.320]   Interestingly enough you could not add that track to your collection as it was playing
[00:48:06.320 --> 00:48:10.080]   So maybe there's some some are in that in that house and some are not
[00:48:10.080 --> 00:48:16.480]   Uh, you cannot add uh, beetles tracks as part of this apparently, uh, it's still uh sold to the store
[00:48:16.480 --> 00:48:21.600]   You can still get through iCloud match, but you your subscription apparently does not include access to the beals catalog
[00:48:21.600 --> 00:48:25.120]   That's uh according to ac dc and dray andy
[00:48:25.120 --> 00:48:27.840]   Well, yeah, it's gonna stay the chronic is there
[00:48:27.840 --> 00:48:32.640]   You got the dc, uh, also also, uh, the 1989 album
[00:48:32.640 --> 00:48:37.360]   Also part of the part of the collection so we managed to solve that crisis, uh, nice and quickly
[00:48:37.360 --> 00:48:39.680]   Um, our long national nightmares over
[00:48:39.680 --> 00:48:46.560]   Do not do not pull the tail of that particular drag and she is lights. She has talented
[00:48:46.560 --> 00:48:49.760]   She is entertaining, but she is also quite quite powerful
[00:48:49.760 --> 00:48:56.720]   Um one question that still hasn't been answered. Um, rene do you have any news about whether saunas is going to be working with this new system
[00:48:56.960 --> 00:48:58.960]   I've heard conflicting information
[00:48:58.960 --> 00:49:01.120]   One what includes licensing agreements
[00:49:01.120 --> 00:49:06.000]   Sonos marketing said that they would have it by the end of the year and Ian roger said that it would be their a sap
[00:49:06.000 --> 00:49:10.160]   Which is pretty much when I think everyone expected it to be there because it can't be there sooner than it could possibly be there
[00:49:10.160 --> 00:49:13.040]   So yeah, we just have to wait and hold and um
[00:49:13.040 --> 00:49:15.280]   Yeah, I mean sonos is interesting
[00:49:15.280 --> 00:49:19.920]   There was this whole thing but they don't support airplay and then maybe they don't have multi-room rights and all these stuff is just so unbelievably
[00:49:19.920 --> 00:49:25.840]   Hard to negotiate especially internationally that I don't even want to think about having a job that's anything like theirs
[00:49:26.240 --> 00:49:28.640]   But uh, hopefully we'll get it sooner rather than later
[00:49:28.640 --> 00:49:34.080]   Yeah, the air airplay we we talk about uh, we we talk about technical limitations
[00:49:34.080 --> 00:49:37.520]   But oftentimes the reason why there isn't a feature on a device that makes absolute
[00:49:37.520 --> 00:49:43.200]   Ironclad sense is because somewhere there is some line in some deal that says you are not allowed to do something
[00:49:43.200 --> 00:49:47.280]   That's called that that amounts to rebroadcasting or allows the same content to be broadcast
[00:49:47.280 --> 00:49:50.000]   And explains it to me very patiently
[00:49:50.000 --> 00:49:52.080]   Yep, and that's and that's how that works. So
[00:49:52.480 --> 00:49:56.400]   Uh, we will be right back with after this message. We've got uh, ranny richy
[00:49:56.400 --> 00:50:00.000]   Of course we've got chrisina warren from mashable and we have got kelly gynont
[00:50:00.000 --> 00:50:03.520]   Uh, we have a murderous row of uh of commentators
[00:50:03.520 --> 00:50:07.680]   We come back. We'll be talking about apple social consciousness consciousness
[00:50:07.680 --> 00:50:14.800]   And their desire of late to make sure they flex those muscles but after the after this message from our vacationing leola port
[00:50:14.800 --> 00:50:17.680]   I am really thrilled to welcome
[00:50:17.680 --> 00:50:22.240]   Uh, this new advertiser to mac break weekly, but I have oh, hi leo here
[00:50:23.120 --> 00:50:25.120]   I'm just jumping in you know, you don't mind
[00:50:25.120 --> 00:50:31.200]   Um, I have I have to say one thing about this normally when we do uh an advertiser
[00:50:31.200 --> 00:50:37.600]   On the show. It's because I use them and recommend them. I don't use wealth front. I can't
[00:50:37.600 --> 00:50:44.480]   I want to use one front. I'm dying to use the wealth front, but security regulations prevent me
[00:50:44.480 --> 00:50:46.720]   because
[00:50:46.720 --> 00:50:50.880]   Companies that do what wealth front does which is invest your money to make you money
[00:50:51.440 --> 00:50:53.440]   Are not allowed to use
[00:50:53.440 --> 00:50:56.880]   client testimonials and this would be considered a client testimonial so
[00:50:56.880 --> 00:51:02.320]   I was I was so ready to sign up for this and they said well leo you can't
[00:51:02.320 --> 00:51:04.560]   because
[00:51:04.560 --> 00:51:06.560]   Then it would be a client testimonial
[00:51:06.560 --> 00:51:12.880]   Uh, but let me tell you about wealth front because this is something you ought to know about and i've done a lot of reading over time
[00:51:12.880 --> 00:51:20.320]   Uh about investing about the best ways to invest i've read some really powerful books that have highly influenced
[00:51:20.720 --> 00:51:22.160]   my investment
[00:51:22.160 --> 00:51:26.480]   theory and policy and it put this is particularly important when you're investing for the long haul for your retirement
[00:51:26.480 --> 00:51:28.880]   uh for the long-term investment
[00:51:28.880 --> 00:51:34.240]   And for years, I've been you know trying to do this sometimes better sometimes not
[00:51:34.240 --> 00:51:40.320]   Uh, you know index funds very carefully managing the amount of money that's spent to manage it even doing some
[00:51:40.320 --> 00:51:46.160]   Uh selling and buying for tax benefit and then I found about wealth front and they do this all automatically
[00:51:46.160 --> 00:51:48.640]   They do it beautifully
[00:51:49.280 --> 00:51:56.160]   And they do it for the lowest fee i've ever seen a traditional advisor's human advisors these guys are not human i'll explain what I mean in a second
[00:51:56.160 --> 00:52:01.920]   Traditional advisors charge giant fees. I mean we're talking 1% 2% as much as 3%
[00:52:01.920 --> 00:52:05.360]   Of the money you have on our management if you go to somebody to manage your money
[00:52:05.360 --> 00:52:10.560]   And then there's also that's just what they charge you there's hidden fees and charges for the transactions
[00:52:10.560 --> 00:52:14.800]   Uh and changes and so forth wealth front makes it so easy
[00:52:14.800 --> 00:52:18.720]   For you for me for anyone to access world class
[00:52:19.440 --> 00:52:22.320]   I mean the kind of long-term investment management
[00:52:22.320 --> 00:52:25.920]   The big guys have the millionaires the billionaires have
[00:52:25.920 --> 00:52:33.040]   It's an online service. It's completely automated invest your money for you you sign up for an account if you can actually do this
[00:52:33.040 --> 00:52:39.600]   Uh easily with no cost and in fact, uh just find out what they would do by going to wealthfront.com
[00:52:39.600 --> 00:52:44.160]   Uh and in in in just minutes you can get right to work
[00:52:44.400 --> 00:52:48.160]   It will monitor your portfolio around the clock taking action as an opportunity arises
[00:52:48.160 --> 00:52:52.560]   Automatically doing some very interesting stuff to manage taxes
[00:52:52.560 --> 00:52:58.800]   Whether you're investing for retirement or some other long-term goal. You want to buy a house. You want to buy a boat
[00:52:58.800 --> 00:53:05.040]   Uh wealthfront automatically rebalances your portfolio. This is absolutely critical and one of the things I always forget to do
[00:53:05.040 --> 00:53:09.200]   Reinvest your dividends and this is commission free
[00:53:09.200 --> 00:53:11.760]   Commission
[00:53:11.760 --> 00:53:15.440]   Free that it is software based it is brilliant
[00:53:15.440 --> 00:53:18.960]   Um, as we as we keep doing these ads
[00:53:18.960 --> 00:53:26.000]   I don't want to take up too much time here, but I'll tell you a little bit more about the people behind this and why I totally trust them
[00:53:26.000 --> 00:53:28.000]   And I want so badly to do this
[00:53:28.000 --> 00:53:31.200]   It's transparent. It's accessible. You can look at your accounts in one place
[00:53:31.200 --> 00:53:34.080]   You can see exactly what's happening what your trends are
[00:53:34.080 --> 00:53:36.640]   What your what your gains have been?
[00:53:37.040 --> 00:53:42.320]   You see every trade they make on your behalf right there on the dashboard either on the desktop or on their mobile app
[00:53:42.320 --> 00:53:44.800]   And they're doing things
[00:53:44.800 --> 00:53:48.400]   That are fairly sophisticated taxed something called tax loss harvesting
[00:53:48.400 --> 00:53:51.200]   and direct indexing
[00:53:51.200 --> 00:53:54.400]   And that's going to optimize your after tax returns
[00:53:54.400 --> 00:53:58.160]   And lower your tax bill and this is all really good stuff
[00:53:58.160 --> 00:54:03.760]   Now you remember I said that sometimes an investor advisor could charge one two even up to 3%
[00:54:04.720 --> 00:54:06.720]   the cost for wealth front
[00:54:06.720 --> 00:54:11.120]   And this is the only cost ever one quarter of one percent a year
[00:54:11.120 --> 00:54:16.240]   25 basis points. There's no commission. There are no hidden fees
[00:54:16.240 --> 00:54:21.360]   That's less than five dollars a month if you're managing on account worth thirty thousand dollars
[00:54:21.360 --> 00:54:24.480]   And there are no additional charges. That's it
[00:54:24.480 --> 00:54:28.160]   one quarter of one percent per year
[00:54:28.160 --> 00:54:33.680]   That's why uh, they have now two point four billion dollars in client assets
[00:54:34.560 --> 00:54:36.560]   Uh, and they have grown
[00:54:36.560 --> 00:54:38.800]   20 times
[00:54:38.800 --> 00:54:47.040]   20 times growth over the past two years for compliance purposes. I have to tell you wealth front incorporated is an scc registered investment advisor
[00:54:47.040 --> 00:54:53.600]   brokerage services are offered through wealth front brokerage corporation member fin ra and sipc
[00:54:53.600 --> 00:54:57.040]   This is not a solicitation to buy or sell securities
[00:54:57.040 --> 00:55:04.400]   Investing in securities involves risks and there is the possibility of losing money past performance is no guarantee of future results
[00:55:04.720 --> 00:55:10.000]   Please visit wealthfront.com to read their full disclosure. I want to do this so badly
[00:55:10.000 --> 00:55:15.760]   It's driving me crazy, but you can do it right now join wealth front start investing your money the right way wealth front
[00:55:15.760 --> 00:55:22.000]   Wealthfront w e a l t h f r o n t dot com slash mac break
[00:55:22.000 --> 00:55:27.680]   Sign up you can get your free personalized investment portfolio. Just see what they would do on your behalf
[00:55:27.680 --> 00:55:32.160]   You'll see the customized allocation. Everybody's a little different that they recommend
[00:55:32.800 --> 00:55:38.080]   And here's a special deal because you're a twit viewer or listener if you sign up to invest
[00:55:38.080 --> 00:55:42.720]   You're going to get your first 15 000 entirely free of charge for life
[00:55:42.720 --> 00:55:48.000]   There's no cost for the first 15 000 if you heard about it on mac break
[00:55:48.000 --> 00:55:52.880]   Uh, I think this is a really good solution for anybody, but you can invest a small amount
[00:55:52.880 --> 00:55:55.200]   Uh and see how they do for you
[00:55:55.200 --> 00:55:59.600]   I I think what will happen is you'll after a year you'll go. Oh gosh. I wish I put it all in there
[00:56:00.400 --> 00:56:07.040]   Wealthfront dot com slash mac break your first 15 000 entirely free of charge for life
[00:56:07.040 --> 00:56:13.680]   That is nice wealthfront dot com slash mac break now back to mac break weekly nanny
[00:56:13.680 --> 00:56:18.560]   Thank you leo he pre tape that but he already looks like he's more tan and rested
[00:56:18.560 --> 00:56:19.520]   Does he not?
[00:56:19.520 --> 00:56:24.720]   You can almost smell the cocoa butter coming in through the skype connection or at least I could maybe it's just because I
[00:56:24.720 --> 00:56:28.960]   Had a almond joy bar just before the show anyway, that's neither here nor there
[00:56:29.200 --> 00:56:35.440]   Uh big week last year last week here in the united states as as the supreme court handed down a couple of pretty big decisions
[00:56:35.440 --> 00:56:40.640]   Uh, one of them was to affirm marriage rights to all americans yay, hey
[00:56:40.640 --> 00:56:43.840]   and also in response to
[00:56:43.840 --> 00:56:46.880]   Some rather ratchet ratchet ragic events
[00:56:46.880 --> 00:56:53.520]   We have finally realized that perhaps it is about darn time to stop flying the confederate battle flag
[00:56:53.520 --> 00:56:58.080]   Above state capitals and maybe it's even time for amazon and other stores like that
[00:56:58.640 --> 00:57:00.800]   To even stop selling those things
[00:57:00.800 --> 00:57:06.880]   Tim cook has been on twitter in response to a lot of these different lot of these different things
[00:57:06.880 --> 00:57:08.480]   he
[00:57:08.480 --> 00:57:10.240]   After the supreme court decision he
[00:57:10.240 --> 00:57:14.880]   tweeted out the famous apple line the people who are crazy enough to think they could change the world are the ones that do
[00:57:14.880 --> 00:57:19.360]   And followed by state marks of victory for equality perseverance and love
[00:57:19.360 --> 00:57:22.720]   And then in response to the south carolina shootings
[00:57:22.720 --> 00:57:25.840]   He said my thoughts are with the victims family in south carolina
[00:57:26.000 --> 00:57:30.720]   Less honor their lives by eradicating racism and removing the symbols and words that feed it
[00:57:30.720 --> 00:57:37.040]   Which weren't just idle words on twitter because uh apple soon thereafter
[00:57:37.040 --> 00:57:44.240]   Started taking down any ios apps that featured the confederate battle flag and its icons and its
[00:57:44.240 --> 00:57:47.040]   In its screenshots and other things
[00:57:47.040 --> 00:57:51.840]   Which caused a little bit of a kerfuffle because it wasn't just people who were just using it the way they
[00:57:52.160 --> 00:57:57.360]   Sticking on the hood of the general lee car on dukes a hazard, but also there are a lot of educational
[00:57:57.360 --> 00:58:01.840]   Games and educational programs teaching people about the civil war that got pulled down
[00:58:01.840 --> 00:58:05.680]   uh rene is that a bit of a tempest in a teapot when do we agree
[00:58:05.680 --> 00:58:08.000]   Yeah, I mean
[00:58:08.000 --> 00:58:13.280]   First it's really the way that you phrase that was so perfect because it does show the difference in the modern era of apple where tim
[00:58:13.280 --> 00:58:18.320]   Sorry, steve jobs was really it just works and he believed it was inelegant to talk about social things
[00:58:18.320 --> 00:58:21.920]   You would do that privately and he was a big supporter of all these causes privately
[00:58:21.920 --> 00:58:24.400]   But he didn't want apple to get credit for doing it
[00:58:24.400 --> 00:58:31.600]   He thought you should just do this stuff where tim cook really is we believe and he believes that using apple as a moral entity as being part
[00:58:31.600 --> 00:58:33.920]   Of equality movements and civil rights
[00:58:33.920 --> 00:58:38.960]   Is almost like a duty it's something that they've been gifted with all this power and wealth and if they can help
[00:58:38.960 --> 00:58:45.280]   Bring collect a few manity into the light then they have a moral imperative to do it and the confederate flag thing
[00:58:45.440 --> 00:58:49.840]   I'm a Canadian. So I don't know if that means it's easier or harder for me to speak about the confederate flag
[00:58:49.840 --> 00:58:52.240]   And I do realize that i'm ignorant about a lot of it
[00:58:52.240 --> 00:58:55.520]   I have seen the explainers saying that the history is not what people think it is
[00:58:55.520 --> 00:59:00.800]   Uh, but what stood out for me was john steward when he was unable to give his monologue a few
[00:59:00.800 --> 00:59:02.480]   I think it was like about a week ago
[00:59:02.480 --> 00:59:06.320]   And he said that people in the us are forced to drive on streets named
[00:59:06.320 --> 00:59:12.560]   After people who wanted to keep them slaves and look up and and see flags for people who wanted to keep them slaves
[00:59:12.960 --> 00:59:17.760]   And I think we've all in our lives regardless of who we are had moments where we've felt less than or
[00:59:17.760 --> 00:59:22.560]   Singled out or not chosen or abused or disadvantaged
[00:59:22.560 --> 00:59:27.760]   Or discriminated against in some way and if you it's the same thing with with with feminism
[00:59:27.760 --> 00:59:32.000]   You expand that into the scope of large swaths of humanity the weight of it
[00:59:32.000 --> 00:59:36.000]   Sort of becomes crushing and you get this moment of empathy and enlightenment
[00:59:36.000 --> 00:59:42.400]   And there is some criticism about how apple goes about these things they tend to take an axe to it and not a scalpel
[00:59:42.480 --> 00:59:44.640]   And I forget who wrote that line, but it was a really good line
[00:59:44.640 --> 00:59:50.160]   But there's a very sound psychological principle called decluttering where in order to affect change
[00:59:50.160 --> 00:59:53.760]   If you want to get rid of all the old clothes in your wardrobe if you want to clean out your kitchen
[00:59:53.760 --> 01:00:00.000]   It doesn't work to just start looking through it and trying to evaluate it and throw things out piece by piece because you never really finish
[01:00:00.000 --> 01:00:03.280]   What works is you take everything out and you put it in a big pile
[01:00:03.280 --> 01:00:07.840]   And then you carefully put back the things that are of great value or importance or our exceptions
[01:00:07.840 --> 01:00:10.800]   To the cleansing that you're doing and that's traditionally been
[01:00:11.360 --> 01:00:16.160]   Given all the legacy technology and the way that itunes works and things that we don't need to go into now
[01:00:16.160 --> 01:00:21.920]   But there's a lot of technical and and good reasons for doing things the way that they do them and they are galling
[01:00:21.920 --> 01:00:24.400]   And they do affect some people who have legitimate apps
[01:00:24.400 --> 01:00:28.000]   But you know what those people can be affected for a little while i'm hugely sympathetic
[01:00:28.000 --> 01:00:32.080]   To the cost incurred on developers and the stress and anxiety
[01:00:32.080 --> 01:00:35.360]   But it's fairly insignificant compared to the long historic
[01:00:35.360 --> 01:00:41.200]   Damage that this kind of material has been doing and some people thought that it devalues games that apple doesn't treat games
[01:00:41.440 --> 01:00:45.440]   With the same sort of seriousness that they treat documentaries or films or tv shows
[01:00:45.440 --> 01:00:50.480]   But they're actually treating them with much more importance because they're interactive and you're not watching a documentary
[01:00:50.480 --> 01:00:52.720]   You're choosing to play as a confederate soldier
[01:00:52.720 --> 01:00:57.600]   Which is sort of different than a world war two game when you're sort of marching people into incinerators
[01:00:57.600 --> 01:01:02.880]   There's there's a much more visceral connection to that stuff and if they are going to air they're going to air on the side of removing
[01:01:02.880 --> 01:01:09.440]   Absolutely everything and then super carefully putting it back. So tempos in the teapot. Yes, I understand people are going to react that way
[01:01:09.440 --> 01:01:13.920]   Especially people who have made really great historical content and and value it
[01:01:13.920 --> 01:01:15.280]   but
[01:01:15.280 --> 01:01:19.680]   The way you place on that just has to be weighed against the the the history and the culture
[01:01:19.680 --> 01:01:24.800]   And I think anyone with an ounce of compassion will see that this is a this is a very small
[01:01:24.800 --> 01:01:29.200]   Drop in the bucket of what's been happening. Yeah, you kind of hope that apple is
[01:01:29.200 --> 01:01:35.040]   That apple is going to be a little bit cautious with this because it's very easy to be very to be repulsed by
[01:01:35.680 --> 01:01:41.920]   surface actions there was remember that there was a game a few years ago a first person shooter that was set in the
[01:01:41.920 --> 01:01:44.960]   Dallas schoolbook depository building that
[01:01:44.960 --> 01:01:50.560]   On the surface was you get to be lee harvey auss wall and you get to fire a gun at the present in the united states
[01:01:50.560 --> 01:01:57.840]   But it was actually highly educational and in many ways highly important because they decided they tried to duplicate the game
[01:01:57.840 --> 01:02:03.040]   The physics the physics as well as they could they duplicated the terrain as well as they could they deck
[01:02:03.040 --> 01:02:09.040]   They duplicated the performance of the gun as well as they could and given that there's so many people these days who still believe that lee harvey auss wall
[01:02:09.040 --> 01:02:11.040]   It could not have possibly been the lone gunman
[01:02:11.040 --> 01:02:18.080]   It took only about a day for lots of lots of people report that I was not only able to shoot the president in the time allotted
[01:02:18.080 --> 01:02:20.640]   I was also able to take out the other two people in that car
[01:02:20.640 --> 01:02:23.920]   But on the surfaces of quite an offensive game
[01:02:23.920 --> 01:02:28.480]   Kelly and I apologize I have I want to I have I had the wrong note
[01:02:28.480 --> 01:02:32.160]   Do you ever mispronouncing your name like all through the show because I wrote it down like this
[01:02:32.160 --> 01:02:34.560]   Uh, and it's kelly gamant
[01:02:34.560 --> 01:02:37.840]   Yeah, and I'm so maybe maybe it's just that I grew up with a name like an oddco
[01:02:37.840 --> 01:02:42.960]   So I'm just I just don't believe that the default position is for anybody to ever pronounce a name correctly. I thought it was we mow
[01:02:42.960 --> 01:02:45.040]   I was all
[01:02:45.040 --> 01:02:49.280]   You're hiding your frenchness. Don't flip don't put your light under a ballot barrel kelly
[01:02:49.280 --> 01:02:51.840]   But what do you think?
[01:02:51.840 --> 01:02:55.520]   All the frenchness so so it's really mr. kelly that that you want to talk to
[01:02:57.360 --> 01:02:59.360]   But what do you think about this decision?
[01:02:59.360 --> 01:03:01.360]   Was this the right thing for rappled between?
[01:03:01.360 --> 01:03:03.440]   Well, it's really kind of a
[01:03:03.440 --> 01:03:09.040]   Damned if they do and damned if they don't when it comes to this because there are people who are going to be mad that they removed it
[01:03:09.040 --> 01:03:14.320]   Particularly because like Renee said, um, they basically yanked everything and put it in a pile
[01:03:14.320 --> 01:03:20.160]   and started walking back the stuff that was maybe the the historical things or the
[01:03:20.160 --> 01:03:25.200]   educational tools that people were using and that's not the same as
[01:03:26.480 --> 01:03:32.640]   Having it be a game like you were talking about where you're shooting the president. That's not quite the same situation
[01:03:32.640 --> 01:03:33.920]   so
[01:03:33.920 --> 01:03:35.920]   I'm really hoping that um
[01:03:35.920 --> 01:03:41.520]   This is one of those things where when people realize it's just time to draw a line in the sand that maybe the line is drawn
[01:03:41.520 --> 01:03:44.960]   And and we can all just move on from that. Um, I
[01:03:44.960 --> 01:03:52.080]   I was really also struck by the same thing that Renee was struck by in john stewart talking about the the shootings at the church
[01:03:52.640 --> 01:03:59.520]   Where black people have to drive on these roads that are named after people who wanted to oppress them and own them
[01:03:59.520 --> 01:04:01.120]   and I
[01:04:01.120 --> 01:04:04.640]   I was very it was it was very striking to me that that would be a thing
[01:04:04.640 --> 01:04:10.880]   so, um, because I don't live in the south and I have not spent a lot of a significant amount of time in the southern us so
[01:04:10.880 --> 01:04:14.000]   I don't see a whole lot of that that it was a very
[01:04:14.000 --> 01:04:16.720]   vivid example of
[01:04:16.720 --> 01:04:19.040]   some of the the
[01:04:19.040 --> 01:04:21.600]   Unbelievable lack of awareness. I think on some people's part
[01:04:22.080 --> 01:04:24.640]   um, how this might feel to someone else
[01:04:24.640 --> 01:04:31.120]   and I feel like uh, the the compassion is there and this is apple trying to do the right thing and I actually sort of prefer
[01:04:31.120 --> 01:04:33.760]   the new apple coming out and
[01:04:33.760 --> 01:04:37.600]   Taking these sort of stances and saying these sorts of things. Um
[01:04:37.600 --> 01:04:40.640]   like when uh, tim cook was at the
[01:04:40.640 --> 01:04:45.040]   Wdc scholarship perception and one of the girls that was there
[01:04:45.040 --> 01:04:49.520]   Uh, thank him for doing this and he said, oh, I'm gonna do this till my toes point up
[01:04:49.680 --> 01:04:53.040]   It was in the video that I saw and I I thought it was really great that
[01:04:53.040 --> 01:04:57.920]   This is something that apple is doing because I feel like this is an example they can lead by
[01:04:57.920 --> 01:05:03.120]   and um, and this is just another way that apple can sort of prove that they're
[01:05:03.120 --> 01:05:10.960]   They're a company with a very specific vision and doing things to execute on that and I don't think there's anything at all wrong
[01:05:10.960 --> 01:05:13.120]   with uh
[01:05:13.120 --> 01:05:16.400]   Tim making these kind of statements and and being someone who
[01:05:17.040 --> 01:05:23.520]   Has a comment whatever it may be on some of these issues and even if I did not necessarily agree with him on whatever it was
[01:05:23.520 --> 01:05:30.640]   I still really appreciate that he's coming out and saying these things that he that he has been saying and making these statements and taking these actions
[01:05:30.640 --> 01:05:33.120]   And I really appreciate it
[01:05:33.120 --> 01:05:35.440]   Yeah, I've always thought that some
[01:05:35.440 --> 01:05:43.520]   For a long time apple had one sort of message they wanted to say when they were producing an ad and trying to sell something
[01:05:44.000 --> 01:05:49.840]   But so when they're trying to sell people ipads they're going to talk about freedom and spirit and creativity and how we're all
[01:05:49.840 --> 01:05:56.080]   One planet of people but then when it comes to well, that would be great if you could back this legislation would be great
[01:05:56.080 --> 01:06:02.320]   If you'd be show create come up with a statement on this issue that reflects society and they would always be very very quiet about that sort of stuff
[01:06:02.320 --> 01:06:07.120]   And apple senior executives were never the sort of people who would ever speak on anything
[01:06:07.680 --> 01:06:12.880]   In public that was not directly related to ape to apple and not so carefully curated
[01:06:12.880 --> 01:06:16.560]   So it's great to see this human side of apple leaking out
[01:06:16.560 --> 01:06:25.440]   That realizing that's not just something that they do when their desire for social justice intersects with their company interests
[01:06:25.440 --> 01:06:28.480]   They can just simply put out a simple message that will
[01:06:28.480 --> 01:06:32.720]   Be so empowering to so many different people
[01:06:32.880 --> 01:06:38.800]   There was a wonderful picture that was tweeted out that I saw over the weekend that the san francisco pride march where you see of course
[01:06:38.800 --> 01:06:41.040]   Huge huge huge parade and you see this
[01:06:41.040 --> 01:06:46.160]   Wave of white shirts that goes on for like two three four blocks
[01:06:46.160 --> 01:06:51.840]   And the caption explained that these are all apple employees wearing an apple t-shirt for san francisco pride
[01:06:51.840 --> 01:06:57.120]   And I don't I certainly don't think apple was ever a company that discouraged their employees from
[01:06:57.120 --> 01:06:59.040]   from
[01:06:59.040 --> 01:07:01.920]   Living the lives that that they should be leading
[01:07:01.920 --> 01:07:06.000]   But I could see a while back where they would not be as
[01:07:06.000 --> 01:07:12.000]   As interested in making sure that look we are we are part of this community our people are everybody's people
[01:07:12.000 --> 01:07:18.960]   And one of the things I've always loved about the apple store is that you just to the level of the people that are simply working in these mall stores
[01:07:18.960 --> 01:07:23.120]   That you do see a great range of diversity. I love the fact that you see these
[01:07:23.120 --> 01:07:27.600]   Apple geniuses and other people on the floor who are wearing their apple t-shirts
[01:07:27.600 --> 01:07:31.760]   But they've got like full sleeves tattoos. They've got tattoos their hands and on their necks
[01:07:31.760 --> 01:07:39.360]   And this is something that would remove them from consideration from a store that sells $10,000 gold watches, but with apple
[01:07:39.360 --> 01:07:46.000]   It's like nope. It's we are too smart to be distracted by idiocy like judging people for
[01:07:46.000 --> 01:07:51.200]   For how they dress for the for their parents or anything like that
[01:07:51.200 --> 01:07:56.640]   So I think I think it's a I think it's a really great thing and it makes you happier with the amount of money that you're spending at apple
[01:07:57.280 --> 01:08:00.000]   There's another interesting thing though speaking of games though
[01:08:00.000 --> 01:08:10.320]   They're also asking developers game developers when they're preparing artwork screenshots for for the app store to blur out or pixelate shot images of guns or any
[01:08:10.320 --> 01:08:12.640]   Person-on-person violence
[01:08:12.640 --> 01:08:14.960]   Which is an interesting move
[01:08:14.960 --> 01:08:17.440]   Because when you're talking about
[01:08:17.440 --> 01:08:21.440]   Getting rid of the confederate battle flag, which is again a
[01:08:21.440 --> 01:08:23.760]   It's really like a Nazi flag
[01:08:23.760 --> 01:08:30.800]   There is no way to spin this in a way that you're not saying that this flag is in support of man's brutality humanities brutality against humanity
[01:08:30.800 --> 01:08:32.800]   Whereas
[01:08:32.800 --> 01:08:39.120]   There are book covers that feature guns and there are movie posters that feature acts of violence against people celebrate them
