
[00:00:00.000 --> 00:00:03.480]   It's time for Mac Break Weekly. Oh boy. Oh boy. Oh boy. Oh boy
[00:46:18.840 --> 00:46:23.720]   That's I I use that on my amazon echo all the time. I really like
[00:46:23.720 --> 00:46:27.480]   Having uh kind of you can you say good morning echo. It'll tell you your
[00:46:27.480 --> 00:46:30.760]   The day the the weather forecast
[00:46:30.760 --> 00:46:35.800]   It'll tell you what appointments you have and then it'll give you your in flash briefing and by the way we offer
[00:46:36.680 --> 00:46:40.760]   uh, twitter offers uh content for flash briefings from all of our shows so
[00:46:40.760 --> 00:46:47.320]   Uh, if you do use the amazon flash briefing, make sure you go into the settings and and look up twit because we have some good content
[00:46:47.320 --> 00:46:49.880]   This show
[00:46:49.880 --> 00:46:51.800]   Andy
[00:46:51.800 --> 00:46:53.800]   I I just really hope that
[00:46:53.800 --> 00:46:59.320]   2018 becomes the year of seria. I hope that they make seria as important to
[00:46:59.320 --> 00:47:04.120]   They're messaging as important to their tech lineup as anything else that they're doing right now
[00:47:04.520 --> 00:47:09.080]   Because they're really in danger of getting lapped by by their two competitors here
[00:47:09.080 --> 00:47:11.400]   um google which doesn't
[00:47:11.400 --> 00:47:18.040]   Usually the the huge huge companies like like google don't have a huge presence at ces
[00:47:18.040 --> 00:47:22.600]   Because they tend to use the use their own events to announce and show off really cool things
[00:47:22.600 --> 00:47:31.880]   But they are using ces to show off google assistant and not only to announce partnerships with a whole bunch of new hardware manufacturers to do more
[00:47:32.440 --> 00:47:36.200]   uh, more amazon more amazon echo type
[00:47:36.200 --> 00:47:40.760]   Devices that have built-in screens and can show youtube videos and stuff like that
[00:47:40.760 --> 00:47:44.920]   But also launching an entirely new like marketing site that says here is exit
[00:47:44.920 --> 00:47:47.080]   Here is everything you can do with google assistant right now
[00:47:47.080 --> 00:47:54.280]   Um, and also putting a button in the google assistant app on uh on the google search app that will just give you a rundown of here
[00:47:54.280 --> 00:48:00.120]   If you have no idea what google assistant can do for you here it is topic by topic purpose by purpose
[00:48:00.360 --> 00:48:03.800]   Things you can say things that we'll work with and i not
[00:48:03.800 --> 00:48:06.600]   It's hard to know what the real
[00:48:06.600 --> 00:48:13.480]   Uh, what the real functionality gap is between syri and the competitors i know i do believe it's there and i do believe it's substantial
[00:48:13.480 --> 00:48:14.360]   But
[00:48:14.360 --> 00:48:19.320]   Unless apple really gets on their horse right now and starts saying here are things that syri can do
[00:48:19.320 --> 00:48:25.880]   And no, it's not just that we added a simple read a news podcast feature that's been in all of our competitors for a couple of years now
[00:48:26.040 --> 00:48:30.680]   They really do get the they're i think they're creating the impression that syri is just the
[00:48:30.680 --> 00:48:34.280]   Is just what you get when you have all apple products?
[00:48:34.280 --> 00:48:39.000]   It's not the good stuff you could get if you were not using apple products. Yeah, i mean
[00:48:39.000 --> 00:48:47.560]   At a real apple can't sit back much longer they're both you're right google is going coming on real strong they said they activated
[00:48:47.560 --> 00:48:52.760]   Uh six million new google assistant devices, uh at the holidays
[00:48:53.400 --> 00:48:57.240]   Which means they're catching up rapidly to echo echo is not sitting still though
[00:48:57.240 --> 00:49:03.800]   One of the other things we see at sees this year is echo everywhere in fact i just ordered this from anchor
[00:49:03.800 --> 00:49:10.600]   This is the roav viva. Yes, uh, which puts echo in your car
[00:49:10.600 --> 00:49:16.200]   In a really interesting way as a cigarette lighter adapter it offers two usb ports, but it also
[00:49:16.200 --> 00:49:22.600]   Has a microphone and an echo and you could pair it to your if your car supports a 2dp
[00:49:23.000 --> 00:49:26.280]   Bluetooth streaming which almost all modern cars do you pair it to your
[00:49:26.280 --> 00:49:29.480]   Bluetooth streaming and now you've got you've echo enabled your car
[00:49:29.480 --> 00:49:33.800]   These guys are you know these are mature products that are getting
[00:49:33.800 --> 00:49:39.800]   Ubiquitous and apple's just kind of waiting not it's not it's not just that it's not that people
[00:49:39.800 --> 00:49:44.440]   associate these assistance with the google home product or the amazon Alexa like
[00:49:44.440 --> 00:49:52.360]   You know a cylinder product it really is like that time when phones moved from clicky keyboards to multi touch
[00:49:52.840 --> 00:49:57.640]   And there were a couple of companies notably that don't really exist anymore except for a sticker
[00:49:57.640 --> 00:50:04.760]   You can license to put on your on your selfie stick that we're really really late in figuring that out and how important this is
[00:50:04.760 --> 00:50:09.800]   A voice assistant is an app platform. It's a services platform
[00:50:09.800 --> 00:50:14.600]   It is an entirely new mode of computing that can translate to watches to phones to
[00:50:14.600 --> 00:50:19.560]   In car devices to audio devices to kitchen devices to pretty much everything that's out there
[00:50:19.960 --> 00:50:25.880]   And the longer apple takes to really land that point that we want you want to start investing
[00:50:25.880 --> 00:50:31.960]   In siri the more the hardest can be from the catch up. It's not just the idea that
[00:50:31.960 --> 00:50:38.040]   I've spent a few hundred dollars now on google home devices or a few hundred dollars on echo devices
[00:50:38.040 --> 00:50:42.360]   It's that the more you use these things the more you sort of program yourself to save
[00:50:42.360 --> 00:50:45.400]   Before I want magic voice to do something. What do I say?
[00:50:45.800 --> 00:50:48.120]   Is it is it slo mo is it alio?
[00:50:48.120 --> 00:50:52.360]   Is it giermo and it's more and more as I moved into this new place
[00:50:52.360 --> 00:50:57.640]   It's giermo and you really it's remind me again, which one's giermo?
[00:50:57.640 --> 00:51:00.920]   That's the google one
[00:51:00.920 --> 00:51:05.400]   I'm doing I get I'm doing a solid for all of our listeners
[00:51:05.400 --> 00:51:12.200]   Alleo she gear. It's the first initial alleo show giermo and slo mo. Okay. I got it. Okay
[00:51:13.640 --> 00:51:18.440]   There was I think it's not your mo. It's alleo she to be honest with you. That's fine
[00:51:18.440 --> 00:51:20.520]   It's you know, I will say that
[00:51:20.520 --> 00:51:22.200]   Okay, it used to be slo mo
[00:51:22.200 --> 00:51:27.960]   It used to be yeah, exactly. It's uh, it used to be that I had a I had a house with like
[00:51:27.960 --> 00:51:29.640]   Uh much too big house for me
[00:51:29.640 --> 00:51:32.440]   So I had like a big I had a big first four and a big second floor
[00:51:32.440 --> 00:51:35.160]   And so it was like having two cats that fight
[00:51:35.160 --> 00:51:41.560]   So I had I had the the the the amazon devices on the first floor and the google devices on the on the second floor
[00:51:42.040 --> 00:51:49.400]   And now that it's like a smaller space where it's a little bit more compact and actually the first place I've moved into since this
[00:51:49.400 --> 00:51:53.560]   Since I really had an opportunity to choose between one or the other
[00:51:53.560 --> 00:51:56.760]   Really when it comes head to head for me, it becomes google
[00:51:56.760 --> 00:51:59.640]   Uh, it could have been amazon, but it really comes down to google
[00:51:59.640 --> 00:52:04.760]   I'm not going to I can't imagine what apple could ship at this point that would get me to switch
[00:52:04.760 --> 00:52:06.200]   uh
[00:52:06.200 --> 00:52:07.960]   And so I hope that apple is again
[00:52:07.960 --> 00:52:14.360]   I it would have to it would be something that says that not only have they really updated siri to be a powerhouse
[00:52:14.360 --> 00:52:19.160]   But also that they're there they have a whole they have a whole future plan for it
[00:52:19.160 --> 00:52:23.560]   That's more than making my other apple devices more useful
[00:52:23.560 --> 00:52:29.400]   To me it's super interesting because I think there's a lot of there's series still is this problem where like nigh out of ten
[00:52:29.400 --> 00:52:33.000]   I only use siri I try to use google assistant and I hit this brick wall where it says
[00:52:33.000 --> 00:52:37.000]   You have to enable us to monitor your web and app activity and I just say no and it says well
[00:52:37.000 --> 00:52:39.160]   You can't use us and we agree to try again next year
[00:52:39.160 --> 00:52:43.320]   Um, but so I mostly use siri but like nine out of nine out of ten times is fine
[00:52:43.320 --> 00:52:50.120]   One time it just acts like I found that one server in the back of the closet that nobody's patched and has no idea how to answer any query
[00:52:50.120 --> 00:52:53.720]   And I think until you get over that that's really hard and these are you really
[00:52:53.720 --> 00:52:59.000]   Taught us that and I didn't realize that the the different surfers on this siri
[00:52:59.000 --> 00:53:05.880]   Server farm of different capabilities and the effectiveness of siri can very much depend on which server randomly you get
[00:53:06.200 --> 00:53:10.120]   And also the vice I mean there's a whole there's a whole like the different devices can do different things like
[00:53:10.120 --> 00:53:14.840]   Siri and apple tv is one of the most advanced assistants in the world because it can actually do multilingual
[00:53:14.840 --> 00:53:20.440]   It can understand when you're switching languages, but it's only in a few countries and there's you don't know like there's no home kit on the mac
[00:53:20.440 --> 00:53:24.520]   You can't use home kit on your mac was eerie for no reason like just because apple hasn't done it yet
[00:53:24.520 --> 00:53:30.280]   And that's all frustrating if you hit it and these like we saw messaging becoming a an actual operating system
[00:53:30.280 --> 00:53:34.760]   Especially with we chat in china and voice is going to be the operating system of cloud-based
[00:53:35.000 --> 00:53:41.320]   Computing because it's just the easiest way to interface with abstracted networks in the sky and there's a huge battle for it
[00:53:41.320 --> 00:53:45.960]   Um in microsoft ad cortana and google has assistant and amazon has alexa
[00:53:45.960 --> 00:53:53.240]   I still i'm using siri, but I saw this fascinating study from ben baharen in carolina millenese of creative strategies
[00:53:53.240 --> 00:53:56.520]   They do great work because they have huge sample sizes of real users
[00:53:56.520 --> 00:54:00.520]   And there's a sort of discussion about how embedded in this is apple far behind
[00:54:00.520 --> 00:54:03.560]   I have people made their choices are a lot of people using these
[00:54:03.880 --> 00:54:08.440]   Um, and I had a bunch of different analysts on to talk to and some of them think like this is just open
[00:54:08.440 --> 00:54:13.400]   It's like open season right now. Nothing is settled everything is wide open and others think that people are making choices
[00:54:13.400 --> 00:54:19.320]   But what I loved about their study is like the vast majority of people who have either a google or an amazon product
[00:54:19.320 --> 00:54:21.880]   uh the top three for um
[00:54:21.880 --> 00:54:25.240]   For amazon was set a timer check the weather play a song
[00:54:25.240 --> 00:54:28.680]   Yeah, top three for google where play a song check the weather set a timer
[00:54:28.680 --> 00:54:31.720]   And this is like the only one that even approached 60 percent of people
[00:54:31.880 --> 00:54:35.480]   When you get to anything advanced like even a sports score barely hits 10 percent
[00:54:35.480 --> 00:54:38.680]   Uh add an item to your to-do list is like 5 percent
[00:54:38.680 --> 00:54:44.280]   Yeah, so in some ways it still is really nascent technology for us where it's going to be where the rubber is going to hit the road is
[00:54:44.280 --> 00:54:46.440]   I believe home automation
[00:54:46.440 --> 00:54:50.840]   And uh apple which really had a plan there with home kit
[00:54:50.840 --> 00:54:56.040]   This is where it's going to really come down because it turns out talking to your lights and your
[00:54:56.760 --> 00:55:02.520]   Garage door and your tv is really I think is going to end up being the kind of the thing
[00:55:02.520 --> 00:55:08.040]   That's to me you're right those first three skills a better interface for those but it's a much better interface
[00:55:08.040 --> 00:55:12.760]   And so I feel like that's really where the rubber is going to hit the road and and I think the analysts who say it's not
[00:55:12.760 --> 00:55:16.920]   That's not yet over is probably right. There's a still a
[00:55:16.920 --> 00:55:20.360]   Opportunity for apple with home kit, but they think about this going
[00:55:20.360 --> 00:55:25.960]   We saw at ces for example cola and moan are putting out home kit controlled showers and baths
[00:55:26.360 --> 00:55:32.600]   And amazon Alexa controlled, but these are all still responsive technologies. They're still like, you know, I wake up in the morning and I say
[00:55:32.600 --> 00:55:37.960]   Um syri or or do dad start the shower for me, but we're gonna get to a point
[00:55:37.960 --> 00:55:45.720]   And but maybe like I think google might have the advantage here because despite amazon's wife
[00:55:45.720 --> 00:55:48.520]   But it's like they might you might get up and it'll say hey
[00:55:48.520 --> 00:55:50.680]   I just noticed you got up do you want us to start your shower?
[00:55:50.680 --> 00:55:55.560]   We started your shower for you and when you start rolling the prescience in and the machine learning and starts figuring out
[00:55:55.800 --> 00:55:57.960]   How to do things preemptively to make your life easier
[00:55:57.960 --> 00:56:03.000]   We haven't really seen any of that yet and also mostly these are single tat like do this do that
[00:56:03.000 --> 00:56:08.040]   Which is not how you it should be like um, we have chains and things, but you still can't get chaining
[00:56:08.040 --> 00:56:10.520]   But but stream of consciousness training chaining
[00:56:10.520 --> 00:56:13.560]   And there's a whole bunch of stuff and also the multi personal assistant
[00:56:13.560 --> 00:56:18.600]   Which google is beginning to unlock but I don't want like if andy and i were roommates and I want to say read my messages
[00:56:18.600 --> 00:56:21.880]   I shouldn't get and these messages. No, so like it and that's advanced voice record
[00:56:21.880 --> 00:56:27.080]   It's just so much that we still have to do a lot google's ahead in those particular realms. I think yeah
[00:56:27.080 --> 00:56:30.200]   Yeah, and i do i don't think the the race is over yet
[00:56:30.200 --> 00:56:35.480]   But it's and this is and this is one of the difficulties that apple has culturally
[00:56:35.480 --> 00:56:38.760]   That sometimes you do really have to talk about here's what we're researching
[00:56:38.760 --> 00:56:40.040]   Here's what we're working on
[00:56:40.040 --> 00:56:46.760]   I don't think they should be as foolish as all the stuff we're seeing is ce s which here is a magical self-driving bus that will serve churros
[00:56:47.160 --> 00:56:52.280]   That you will never see anywhere outside of this this keynote event right here right now
[00:56:52.280 --> 00:56:56.280]   but when google google knows that they really have to
[00:56:56.280 --> 00:57:05.480]   Make sure that their assistant looks like a platform that's worth investing in both as developers and as users and as hardware manufacturers
[00:57:05.480 --> 00:57:12.360]   They they spend a lot of time explaining about changes their improvements that they're making just a simple simply to their voice system
[00:57:13.160 --> 00:57:19.960]   And how they're showing you here is actual human recorded voice here is the synthetic voice we built based on that professional
[00:57:19.960 --> 00:57:24.360]   Voice artist's voice here is how well it does inflections on its own
[00:57:24.360 --> 00:57:27.000]   I was using it just the other day where
[00:57:27.000 --> 00:57:30.360]   There's little inflections where it understands
[00:57:30.360 --> 00:57:37.320]   All the different ways that you said a human being says the word okay, which is to say that I acknowledge that okay
[00:57:37.320 --> 00:57:42.920]   This is this is the end of our vocal transaction. I hope I hope I've pleased you
[00:57:42.920 --> 00:57:46.840]   I will not be talking to you about this in the future or
[00:57:46.840 --> 00:57:52.520]   Okay, meaning that I've heard your request. I mean more information from you on and on and on and on
[00:57:52.520 --> 00:57:56.920]   It's it's stuff like that that really that is the part of the secret sauce that makes all this work
[00:57:56.920 --> 00:57:59.560]   it's just kind of frustrating when
[00:57:59.560 --> 00:58:05.560]   Google is making sure you know that now you can chain commands together and there are ways that you can
[00:58:05.560 --> 00:58:09.160]   Make a command like, you know, put the house to sleep
[00:58:09.160 --> 00:58:12.840]   I'm going to bed right now and make things work and apple
[00:58:12.840 --> 00:58:16.280]   They're willing to let you know that gosh when they have their their own four hundred
[00:58:16.280 --> 00:58:20.040]   Dollar smart speaker that competes with the other four hundred dollar smart speakers
[00:58:20.040 --> 00:58:22.040]   I've been around for the past year and a half
[00:58:22.040 --> 00:58:25.400]   You'll be able to pick music in a much better way
[00:58:25.400 --> 00:58:31.880]   Like okay, that's nice. It's that's a step forward, but that's not that's treating it like a feature and not like a platform
[00:58:31.880 --> 00:58:34.920]   They should make sure that they're treating Siri like a platform
[00:58:35.640 --> 00:58:41.000]   Don't know who they need to send to what the conference to give what kind of keynote, but they're
[00:58:41.000 --> 00:58:43.480]   Lut they're not creating the emotion that they're doing
[00:58:43.480 --> 00:58:48.760]   Yeah, I have to say there was one in marriage slo mo has and that's the apple watch
[00:58:48.760 --> 00:58:53.160]   I was just thinking the one time I use Siri all the time is when I have my watch
[00:58:53.160 --> 00:58:59.960]   Challenges and other stuff get over like i've been married a really good point to that apple like again
[00:58:59.960 --> 00:59:04.520]   I won't use google because I believe that they should be paying I believe my data is valuable enough
[00:59:04.680 --> 00:59:07.080]   That it's not worth them. Just give me free services. They should pay me for it
[00:59:07.080 --> 00:59:08.360]   And that might be a crazy view
[00:59:08.360 --> 00:59:11.480]   But it's mine, but apple like my choice is not to use google
[00:59:11.480 --> 00:59:16.360]   But to use apple but I would like a hybrid where maybe apple does take a lot more of my personal data
[00:59:16.360 --> 00:59:21.480]   But gives me a lot more personal assistance and doesn't store it and doesn't use it for marketing and doesn't use it
[00:59:21.480 --> 00:59:23.480]   For you know to power adsense or anything
[00:59:23.480 --> 00:59:25.160]   But just it takes the data
[00:59:25.160 --> 00:59:29.080]   Collects it does a bunch of stuff on it and then disperses it when it wants to like right now
[00:59:29.080 --> 00:59:30.200]   I feel like I have to choose all or nothing
[00:59:30.200 --> 00:59:34.280]   I have to give everything to google or I have to go with apple who doesn't want to take anything
[00:59:34.600 --> 00:59:37.400]   And I don't sort of get the ideal that I want from either of them
[00:59:37.400 --> 00:59:40.920]   And the challenge on the google side is they seem philosophically insistent that they're
[00:59:40.920 --> 00:59:44.200]   Insistent that they're assistant have no personality that it be computer
[00:59:44.200 --> 00:59:47.000]   And there's a lot of people um carolina was talking about this too
[00:59:47.000 --> 00:59:52.840]   They just feel off put they would much rather speak to an amazon or apple assistant that has a name and feels like a character
[00:59:52.840 --> 00:59:55.080]   Like a like a funny robot
[00:59:55.080 --> 00:59:58.040]   And not something cold like yeah, they called like google
[00:59:58.040 --> 01:00:00.680]   So they all have these false awful things that I wish they'd get passed
[01:00:01.080 --> 01:00:05.240]   I think if if you take the long view it is early days for all of these
[01:00:05.240 --> 01:00:07.960]   They're only slightly useful now
[01:00:07.960 --> 01:00:11.720]   And there's still plenty of opportunity for apple to get in the game
[01:00:11.720 --> 01:00:16.440]   But i put zero on their own hardware and that's always a bit like you when the new version comes out
[01:00:16.440 --> 01:00:18.920]   You will try the new feature so you always have another chance
[01:00:18.920 --> 01:00:21.800]   Right to introduce yourself to people but you've got to take those chances
[01:00:21.800 --> 01:00:23.880]   You've got to take those chances
[01:00:23.880 --> 01:00:27.560]   I'll say this it is the one of the things that kind of put me off initially
[01:00:28.040 --> 01:00:29.320]   uh
[01:00:29.320 --> 01:00:34.360]   Selecting the google assistant as my default home speaker system was that it's
[01:00:34.360 --> 01:00:38.440]   Bum bum bum bum okay giermo
[01:00:38.440 --> 01:00:41.880]   That's four syllables
[01:00:41.880 --> 01:00:44.760]   It's it's it's less personable to say
[01:00:44.760 --> 01:00:49.480]   Okay name of software product by corporation name
[01:00:49.480 --> 01:00:51.960]   uh link to it
[01:00:51.960 --> 01:00:55.080]   however, isn't it interesting that that uh
[01:00:55.960 --> 01:00:57.960]   both shlomo and
[01:00:57.960 --> 01:01:00.920]   Alliosham sorry to regret those choices, but
[01:01:00.920 --> 01:01:03.160]   That uh
[01:01:03.160 --> 01:01:07.880]   But the thing is uh, it's gender non-specific that it is yes
[01:01:07.880 --> 01:01:11.720]   It's a female voice because it's a female voice, but you could very trivially
[01:01:11.720 --> 01:01:17.000]   You don't have to recast the character by saying oh by the way, here's a male voice or here is a here is a
[01:01:17.000 --> 01:01:19.000]   English
[01:01:19.000 --> 01:01:25.320]   In english, excuse me a british sounding voice that nonetheless uses american idioms and
[01:01:25.800 --> 01:01:27.240]   american language
[01:01:27.240 --> 01:01:28.680]   it's
[01:01:28.680 --> 01:01:31.800]   I wouldn't say that's a transformative and a hugely positive thing
[01:01:31.800 --> 01:01:36.200]   I do think it's a positive thing that we don't have all of our servants be women
[01:01:36.200 --> 01:01:39.080]   That makes sense
[01:01:39.080 --> 01:01:41.560]   But i slow mo my slo mo's a guy
[01:01:41.560 --> 01:01:46.200]   Yeah in england it defaults to a guy different different geographies tested differently for
[01:01:46.200 --> 01:01:49.640]   I use i use that male schlomo. Alexa doesn't
[01:01:49.640 --> 01:01:52.600]   Allioshia doesn't have a male kind of practice
[01:01:53.240 --> 01:01:55.240]   Uh, no allioshia is always a woman
[01:01:55.240 --> 01:01:58.280]   Alexei
[01:01:58.280 --> 01:02:00.520]   That's all about be brilliant
[01:02:00.520 --> 01:02:05.480]   Actually, that's a really good idea. Yeah, the pixel core has an Alex just not amazon. Yeah. Yeah
[01:02:05.480 --> 01:02:08.280]   Um, let's take a break
[01:02:08.280 --> 01:02:12.520]   Lots more to talk about coming up in just a little bit, but first
[01:02:12.520 --> 01:02:19.640]   A word from texture. It's like so nice to have it on your ipad or your iphone or any tablet or android device
[01:02:19.640 --> 01:02:22.680]   And and have great reading always available
[01:02:23.160 --> 01:02:25.560]   For you. I'm looking at the highlights section right now
[01:02:25.560 --> 01:02:29.800]   Which is the first thing that pops up on texture and that there's some really great curated
[01:02:29.800 --> 01:02:31.240]   uh
[01:02:31.240 --> 01:02:37.000]   Articles stories just for me include things that are unique to me like an insider's guide to the bay area
[01:02:37.000 --> 01:02:39.720]   Um new and noteworthy stories
[01:02:39.720 --> 01:02:44.920]   If you like politics, man the best coverage anywhere if you're curious about gossip
[01:02:44.920 --> 01:02:48.040]   Did you know gwyneth paltrow is going to give marriage a second shot?
[01:02:48.520 --> 01:02:57.160]   What and you get what and you get and you get by the way every page that's in the magazines on the new stand plus back issues
[01:02:57.160 --> 01:03:02.280]   Plus bonus features. Oh consumer reports ranking the tastiest pizzas
[01:03:02.280 --> 01:03:09.400]   Now i now i've got to read this and the user interface is great what it's it's really good for
[01:03:09.400 --> 01:03:10.680]   um
[01:03:10.680 --> 01:03:14.760]   photography magazines like national geographic or shutterfly because you can you know
[01:03:15.240 --> 01:03:19.160]   Pictures on an ipad look 10 times better than the printed versions of the pictures
[01:03:19.160 --> 01:03:23.320]   So you can really if you like pixel peeping you can really get it with that pizza look
[01:03:23.320 --> 01:03:30.440]   You can really get into it. I am just a huge fan of texture. Yes, you get consumer reports
[01:03:30.440 --> 01:03:36.760]   The national geographic vanity fair the new yorker. Yes, you get wired in pc magazine all the magazines
[01:03:36.760 --> 01:03:39.320]   Huge huge
[01:03:39.320 --> 01:03:45.080]   Uh, there's always an article, you know, there's i have a go to maybe five or six magazines that i look at every month
[01:03:45.480 --> 01:03:48.040]   Uh, some of them are weekly like the new yorker look at every week
[01:03:48.040 --> 01:03:49.400]   but
[01:03:49.400 --> 01:03:50.280]   then
[01:03:50.280 --> 01:03:57.240]   Because you have 200 magazines you discover new stuff you find more magazines and the things like the cooking magazines like bon appetit
[01:03:57.240 --> 01:03:59.880]   I I wouldn't probably subscribe to them
[01:03:59.880 --> 01:04:05.880]   But the fact that if I need a recipe I can go there see images get great recipes that are tried out by really good chefs
[01:04:05.880 --> 01:04:12.840]   Look at all recipes better homes and gardens. What is that chatellene? I love that clean eating cooking light
[01:04:13.640 --> 01:04:15.880]   Diabetic living eating well
[01:04:15.880 --> 01:04:18.680]   Food and wine
[01:04:18.680 --> 01:04:26.680]   Draft if you're a beer lover food magazine from the food network living. I mean there's plenty of recipes alone
[01:04:26.680 --> 01:04:29.800]   I mean this is wine enthusiast weight watchers
[01:04:29.800 --> 01:04:32.360]   And and it doesn't stop there
[01:04:32.360 --> 01:04:37.800]   There's stuff in my industry like ad age and billboard that I would never I couldn't afford to subscribe to all these magazines
[01:04:37.800 --> 01:04:40.360]   But the fact that I could say check the billboard charts
[01:04:40.840 --> 01:04:44.280]   Just as kind of part of my texture subscription that makes it fantastic
[01:04:44.280 --> 01:04:49.960]   I look I start your free texture trial right now a texture t ex t u r e
[01:04:49.960 --> 01:04:52.680]   texture.com/twit
[01:04:52.680 --> 01:04:58.680]   We have a special price and that you really want to use this if you choose to continue you're going to get a 30
[01:04:58.680 --> 01:05:01.720]   Reduction on their listed price 999 a month
[01:05:01.720 --> 01:05:09.000]   So don't go anywhere else texture.com/twit to start your free trial today and if you like it
[01:05:09.720 --> 01:05:15.080]   10 bucks a month gives you more than 200 of the best magazines in the world texture.com/twit
[01:05:15.080 --> 01:05:19.880]   They have foreign language magazines to you can learn Spanish or French. That's a great way to learn
[01:05:19.880 --> 01:05:24.200]   Oh a language is to read magazines in the in the language
[01:05:24.200 --> 01:05:28.840]   texture.com/twit I ordered I mentioned I ordered this rove
[01:05:28.840 --> 01:05:31.000]   Viva
[01:05:31.000 --> 01:05:38.040]   Which is puts amazon's echo in your car. I will get have it early february that comes and I will give you for sure review of it
[01:05:38.920 --> 01:05:45.800]   But uh, so many automobiles now are going to have and there are a few places where voice makes sense home automation
[01:05:45.800 --> 01:05:47.640]   In the car
[01:05:47.640 --> 01:05:53.160]   And I have to say I use seria my apple shlomo on my apple watch all the time
[01:05:53.160 --> 01:06:00.680]   So it's clear that a lot of what makes or breaks these voice activated devices is uh the in the environment
[01:06:00.680 --> 01:06:02.760]   Maybe
[01:06:02.760 --> 01:06:07.400]   I want that I want that system to be where I yes available to me whenever I want to use it
[01:06:07.400 --> 01:06:12.360]   And I agree when I even on my android rear watch that's probably one of the most useful things to do
[01:06:12.360 --> 01:06:14.520]   Also, I feel like you feel like dick Tracy
[01:06:14.520 --> 01:06:19.640]   Well, but yeah, you have you really don't that's the problem with watches is the user interface is too small a screen
[01:06:19.640 --> 01:06:22.200]   There's no you good user interface voice is
[01:06:22.200 --> 01:06:25.720]   The best user interface and certain I don't know if I should say this or not
[01:06:25.720 --> 01:06:30.760]   But I was I was driving to another city over the holidays and in the middle of the drive
[01:06:30.760 --> 01:06:34.680]   I got a comment on a story and I was sitting there and I was bringing my mom with me
[01:06:34.680 --> 01:06:37.080]   And as we're driving
[01:06:37.080 --> 01:06:40.280]   I just saw the thing come up and I said, you know, read the message and I got the message
[01:06:40.280 --> 01:06:45.560]   And then I told uh seria to open up the app and my mom can can help me with some of this stuff
[01:06:45.560 --> 01:06:48.600]   But we basically cut and pasted it I kept telling seria to open different apps
[01:06:48.600 --> 01:06:53.000]   We would paste the thing in and actually got it up and weed it out and into the story
[01:06:53.000 --> 01:06:57.160]   Well, I would try with the city using a series and a tapping assistant
[01:06:57.400 --> 01:07:00.520]   Uh, and I like again, I dictate whole into drafts
[01:07:00.520 --> 01:07:02.760]   I dictate whole article ideas and it's not perfect
[01:07:02.760 --> 01:07:06.440]   But it's enough that I don't forget what I want to say and it's it's not trivial
[01:07:06.440 --> 01:07:09.480]   But it's easy to take that and then turn into a finished product when I get home
[01:07:09.480 --> 01:07:14.040]   Otherwise, I think nine I ten times I'd forget what I wanted to say or not, you know, not be able to work on it
[01:07:14.040 --> 01:07:17.240]   If you have an apple watch and an iOS device
[01:07:17.240 --> 01:07:23.800]   Uh, I got to give you guys a plug you had merlin man on in the creator agile tortoise the creator of drafts on
[01:07:24.360 --> 01:07:29.160]   And this is it's not immediately obvious how you might use this
[01:07:29.160 --> 01:07:32.440]   Just get it and trust me
[01:07:32.440 --> 01:07:36.440]   Because basically I dump everything i'm trying to remember
[01:07:36.440 --> 01:07:38.600]   Into my watch
[01:07:38.600 --> 01:07:41.560]   If somebody asked me to do something if I make an appointment if i'm trying to
[01:07:41.560 --> 01:07:44.520]   Remember a tv show or a book. I just tell my watch
[01:07:44.520 --> 01:07:49.480]   It then ends up in drafts on ios and then I process it at the end of the day
[01:07:49.480 --> 01:07:51.960]   It's time shift for text
[01:07:51.960 --> 01:07:56.040]   It's and it's a really good example of voice and the watch being
[01:07:56.040 --> 01:07:58.840]   I think I I mean
[01:07:58.840 --> 01:08:03.160]   It's it's incredibly useful and I'd almost entirely use it on my watch
[01:08:03.160 --> 01:08:05.720]   At least as the input device
[01:08:05.720 --> 01:08:09.480]   I use it on my phone when i'm driving. I got what that car mount i mentioned last week
[01:08:09.480 --> 01:08:12.520]   I just have it in there and I can just say yo shlomo
[01:08:12.520 --> 01:08:17.000]   And then it just does things for me and some of the times it makes amazingly comedic errors
[01:08:17.000 --> 01:08:19.240]   But most of the time people don't even know that i'm using it
[01:08:19.240 --> 01:08:23.240]   I'll tell you if somebody is watching who works with gregorovich or
[01:08:23.240 --> 01:08:26.200]   alayosha
[01:08:26.200 --> 01:08:29.080]   We might as well make it all russian right
[01:08:29.080 --> 01:08:33.960]   Then you should consider the car mount subs you should consider
[01:08:33.960 --> 01:08:41.320]   Adding a drafts like capability to those devices because that's that would to me be incredible
[01:08:41.320 --> 01:08:44.680]   I mean you kind of do it with shlomo where you say remind me too
[01:08:45.000 --> 01:08:48.840]   But I don't but the point of drafts is it doesn't just do remind it does everything
[01:08:48.840 --> 01:08:54.440]   You later decide where it goes. What do you want is somewhere you just dump snippets of voice
[01:08:54.440 --> 01:09:01.480]   Well, they become texts snippets of voice to text in a in a thing that you can then process later
[01:09:01.480 --> 01:09:03.720]   You know it's like l3 cash for your brain. Yeah
[01:09:03.720 --> 01:09:10.200]   He actually uh, what's his name greg pierce. Yep greg pierce should really uh do an echo
[01:09:10.200 --> 01:09:12.360]   skill
[01:09:12.360 --> 01:09:13.560]   For drafts
