
[00:00:00.000 --> 00:00:05.160]   It's time for Mac break weekly Renee's here and he's here. We're gonna ask Renee about that picture
[01:04:50.720 --> 01:04:56.320]   They have a time and hours button right there in the website or on the app. They've great by the way iOS apps and uh android apps
[01:04:56.320 --> 01:05:00.320]   You could build by client. You could build by project have different rates for every service
[01:05:00.320 --> 01:05:04.800]   Put your business on autopilot from payment reminders to late fees
[01:05:04.800 --> 01:05:10.160]   Automate as much or a little as you'd like and get back to doing what you love fresh books
[01:05:10.160 --> 01:05:15.680]   He is awesome make 2018 your most productive year yet and never fear tax time again
[01:05:15.680 --> 01:05:20.160]   Try fresh books free for 30 days at fresh books.com slash mac break
[01:05:21.040 --> 01:05:26.160]   Do us a favor when they ask how did you hear about us? Just say I heard on a mac break weekly fresh books
[01:05:26.160 --> 01:05:28.960]   that com
[01:05:28.960 --> 01:05:31.200]   slash mac break
[01:05:31.200 --> 01:05:36.800]   This is very exciting news. I don't know if it's true or not
[01:05:36.800 --> 01:05:39.840]   Jeremy. Uh-oh
[01:05:39.840 --> 01:05:42.400]   Jeremy Horwitz writing adventure beat apple
[01:05:42.400 --> 01:05:46.960]   This is actually he's re-reporting from digit times
[01:05:48.080 --> 01:05:53.680]   Are you less excited now leo no they sometimes get it wrong but reportedly ordering
[01:05:53.680 --> 01:05:56.480]   touch panels
[01:05:56.480 --> 01:05:59.280]   For a new 13 inch entry level mac book
[01:05:59.280 --> 01:06:02.160]   Be still my beating heart
[01:06:02.160 --> 01:06:05.440]   You think this is incredible digit time says
[01:06:05.440 --> 01:06:11.920]   Taiwan's general interface solutions gis already supplies iphone 10 3d touch panels
[01:06:11.920 --> 01:06:16.560]   And became an lcd module supplier for the mac book laptop late last year
[01:06:17.360 --> 01:06:23.120]   They already shipped 300,000 laptop panels a month expect to double that number by the end of the year
[01:06:23.120 --> 01:06:26.800]   And thanks in part to new mac book orders
[01:06:26.800 --> 01:06:34.560]   It's a touch panel manufacturer. It doesn't mean that mac os will be a touchpad
[01:06:34.560 --> 01:06:40.000]   Uh, doesn't mean they ordered touch panels either. Yeah. I mean they ordered non touch already from them, right? Yeah
[01:06:40.000 --> 01:06:46.720]   Yeah, it's it's it's so many things. It's like I fell for it. Well, I mean, it's
[01:06:47.360 --> 01:06:52.160]   If if it renews the conversation about putting touch on mac os, that's interesting
[01:06:52.160 --> 01:06:55.360]   Me but it's it's so far in the future
[01:06:55.360 --> 01:07:03.920]   Today from anything that I can only speak for myself of anything that i'm aware of and I will so I will also protect that by saying that
[01:07:03.920 --> 01:07:05.840]   It's not as though i'm
[01:07:05.840 --> 01:07:09.760]   I'm you know attending hockey games for the ceo my my sources are not that good
[01:07:09.760 --> 01:07:14.320]   But if a project were far along that they're actually ordering in quantity
[01:07:14.880 --> 01:07:21.840]   I mean, this is the sort of thing where uh, where the next ww dc would all be about mac multi touch
[01:07:21.840 --> 01:07:28.080]   That's what the entire show would be about we would we would see that we would see the preview of the schedule
[01:07:28.080 --> 01:07:32.240]   And every single box would be like empty purple on the schedule
[01:07:32.240 --> 01:07:38.240]   To be topping to be announced to be announced. Yeah, that's when you that's when you know that multi touch is coming to the mac
[01:07:38.240 --> 01:07:39.680]   before then
[01:07:39.680 --> 01:07:41.680]   I mean, it would be it would be a
[01:07:41.840 --> 01:07:45.760]   If we if we play the game of assuming that this is actually good intel
[01:07:45.760 --> 01:07:51.760]   It would be an interesting move because I really don't think that the the touch bar has
[01:07:51.760 --> 01:07:59.200]   Made any kind of a cultural impact on the mac community to make sure that the the basic toyota turssel level
[01:07:59.200 --> 01:08:03.200]   Macbook has the touch bar would really would certainly
[01:08:03.200 --> 01:08:10.000]   Compel a lot of developers to think about ways to support it if only to make the mac book more fun and make their apps more interesting
[01:08:10.240 --> 01:08:13.280]   So I don't think that would be a silly idea for apple to pursue but I'll
[01:08:13.280 --> 01:08:16.160]   Even that I will believe it when I see it
[01:08:16.160 --> 01:08:17.440]   I love the conversation though
[01:08:17.440 --> 01:08:24.080]   I mean because there's so many possibilities here one like the the boring ackams razor ones that they still haven't managed to get the 12 inch macbook
[01:08:24.080 --> 01:08:28.400]   Price down to where they need it to be which is $99 apple has to have a $99 computer
[01:08:28.400 --> 01:08:32.560]   So this could just be the next $99 computer because macbook air 199
[01:08:32.560 --> 01:08:35.520]   Yes confusing 999
[01:08:37.280 --> 01:08:40.640]   I'm not talking about this special priceless for people who are friends with Tim
[01:08:40.640 --> 01:08:44.640]   Can we please stop talking about your relationship with Tim coat for one minute
[01:08:44.640 --> 01:08:50.880]   And no totally and I mean at the other opposite ends you have a macbook that could conceivably have
[01:08:50.880 --> 01:08:54.400]   Touch although how that would be implemented be interesting given how long it took
[01:08:54.400 --> 01:08:59.440]   Microsoft to retrofit touch onto windows and also apple as far as I know it's had macbook like
[01:08:59.440 --> 01:09:03.760]   We got the mac we got the ipad probe it could have just have easily been a clamshell
[01:09:03.760 --> 01:09:09.040]   So is it more interesting to add multi touch to the mac or to add trackpad support to iOS and have a clamshell
[01:09:09.040 --> 01:09:13.920]   iOS device is only like that's what I love about right now is that it's so it's far more easy that we can just
[01:09:13.920 --> 01:09:15.760]   Imagine yeah
[01:09:15.760 --> 01:09:21.760]   Well, I would love to see a new macbook. I don't know if it adding a touch bar would make a macbook more compelling for me
[01:09:21.760 --> 01:09:22.800]   but
[01:09:22.800 --> 01:09:24.800]   Okay
[01:09:24.800 --> 01:09:29.600]   A touch screen I do have touch ID or this face. Oh this face ID touch. I'd even be good or face ID
[01:09:29.600 --> 01:09:30.640]   Yeah
[01:09:30.640 --> 01:09:33.840]   I would like to see an updated macbook. I'd like to see a better keyboard
[01:09:33.840 --> 01:09:36.800]   The macbook is an is a really great product
[01:09:36.800 --> 01:09:42.240]   But we're never I don't think we're ever going to see a touch mac or
[01:09:42.240 --> 01:09:44.240]   That's that's that's
[01:09:44.240 --> 01:09:46.960]   I think
[01:09:46.960 --> 01:09:48.160]   Yeah
[01:09:48.160 --> 01:09:48.480]   I
[01:09:48.480 --> 01:09:50.480]   I find a lot easier to
[01:09:50.480 --> 01:09:52.720]   I to imagine apple
[01:09:52.720 --> 01:09:59.760]   Evolving the ipad into something that's more like a notebook with a touch with a with a trackpad with a clamshell design
[01:09:59.760 --> 01:10:03.120]   Like like Renee said then I imagine apple wanting to
[01:10:03.120 --> 01:10:10.960]   Reengineer the mac OS for for a multi touch when app when when Microsoft added multi touch to windows
[01:10:10.960 --> 01:10:16.000]   They did it brilliantly they did they they stumbled for maybe with the first iteration
[01:10:16.000 --> 01:10:19.200]   But they came out finally with a model that was wonderful
[01:10:19.200 --> 01:10:22.640]   And I think that is kind of an example of how well you can have a
[01:10:22.640 --> 01:10:28.400]   Single screen that will adapt to whatever use case that you personally want to want to do with it
[01:10:28.480 --> 01:10:33.680]   But that took so much time and so much money and that's the sort of thing you would do when your business is micro
[01:10:33.680 --> 01:10:35.600]   Is is a desktop operating system?
[01:10:35.600 --> 01:10:39.760]   I don't think apple sees himself in the desktop operating system business
[01:10:39.760 --> 01:10:43.360]   I think they would see it as here we found this way to make our
[01:10:43.360 --> 01:10:48.240]   Our steam trains run so much faster requires so much less coal
[01:10:48.240 --> 01:10:54.400]   I think they would see that as a dead end. I think they were more they would put they want to put more of their money into developing
[01:10:55.120 --> 01:10:58.160]   Their aircraft then into their steam trends right now
[01:10:58.160 --> 01:11:05.120]   And so that's why I see them evolving the iPad as opposed to bringing the mac into 2016
[01:11:05.120 --> 01:11:07.760]   I'm also interested before go ahead
[01:11:07.760 --> 01:11:12.800]   Was what we talked about before where like apple has these resources and they can move them around but it comes at a cost
[01:11:12.800 --> 01:11:17.920]   And if you were to task engineers to make mac OS touch friendly those engineers would come from somewhere
[01:11:17.920 --> 01:11:24.000]   You can't just there's the limit to how many engineers are willing to work in kupertino for what apple pays and like in that environment
[01:11:24.000 --> 01:11:27.600]   And all those things will have the technology the ability to do this kind of stuff well
[01:11:27.600 --> 01:11:32.160]   And quickly and apple like microsoft didn't really have a super successful mobile operating system
[01:11:32.160 --> 01:11:38.480]   Or maybe there would have been a very different game. Maybe they would have scaled that up too apple has a super successful touch first operating system
[01:11:38.480 --> 01:11:43.840]   So spending the the time and the money to make a second touch operating system
[01:11:43.840 --> 01:11:47.920]   It's probably not the best use of those resources, but exactly what Andy said instead of
[01:11:48.400 --> 01:11:54.080]   Like on the on the on the smaller end at least at first is really interesting to think about what an ipad pro would be
[01:11:54.080 --> 01:11:57.760]   If it wasn't a clamshell with a trackpad. I think and I think that would answer
[01:11:57.760 --> 01:12:00.480]   That would solve a lot of problems for a lot of people
[01:12:00.480 --> 01:12:02.800]   They've gotta be working on it. I'm sorry
[01:12:02.800 --> 01:12:11.440]   I'm sorry just quickly more more to the point. I think that apple can really strongly compete with windows notebooks if they make ipads that compete with them
[01:12:11.440 --> 01:12:16.320]   I don't think they can compete with windows notebooks the way that people buy windows notebooks
[01:12:16.960 --> 01:12:19.440]   By trying to make macbooks
[01:12:19.440 --> 01:12:23.200]   By that I by that I mean here's a thousand dollars. What can I buy?
[01:12:23.200 --> 01:12:25.840]   Can I buy a really well-built?
[01:12:25.840 --> 01:12:28.160]   practical functional
[01:12:28.160 --> 01:12:29.440]   durable
[01:12:29.440 --> 01:12:32.960]   And useful notebook with a lot of memory and a lot of storage for that well
[01:12:32.960 --> 01:12:39.280]   No, you can buy this you can buy the version without air conditioning or a or an mfm radio
[01:12:39.280 --> 01:12:41.840]   You and it will but it will run max software
[01:12:42.240 --> 01:12:47.600]   About but if you say here's a thousand dollars, it doesn't necessarily have to be a laptop computer. Oh my god
[01:12:47.600 --> 01:12:49.680]   Here is a really incredible
[01:12:49.680 --> 01:12:54.960]   Midsized ipad here is a wonderful keyboard cover plus an amazing bluetooth keyboard
[01:12:54.960 --> 01:12:59.600]   You can have for it and you can have a stylus with it and then it but it doesn't run windows
[01:12:59.600 --> 01:13:03.920]   Yes, but it will run many of your windows apps as iOS apps and they look lovely
[01:13:03.920 --> 01:13:08.480]   They'll maybe maybe there's something better than windows and then after a week people say well
[01:13:08.480 --> 01:13:10.880]   I guess there is something better than windows. It's called iOS
[01:13:11.600 --> 01:13:16.480]   And god it could run an ar it could run an apple a 12 processor instead of a core m processor, which I'm so over
[01:13:16.480 --> 01:13:20.000]   What uh, what do you think the new i
[01:13:20.000 --> 01:13:23.520]   Pat they'll be a new i they got to be working on a new ipad for this year, right?
[01:13:23.520 --> 01:13:27.280]   The ipad schedule is I mean like they did six months between the ipad 3 and the ipad 4
[01:13:27.280 --> 01:13:30.400]   Which granted I don't think that ever do again. That was just needed to replace that chip
[01:13:30.400 --> 01:13:35.840]   But they've also gone not you know 18 months between refreshes instead of 12 months. So
[01:13:35.840 --> 01:13:41.440]   I'm glad I'm glad to see that I think the I think the annual iphone refresh is kind of killing them
[01:13:42.240 --> 01:13:44.640]   Um, okay, that's that's obviously going too far
[01:13:44.640 --> 01:13:49.040]   I mean, I think that I think that it puts a lot of pressure on them that they don't need
[01:13:49.040 --> 01:13:53.040]   Uh, and I don't think it necessarily results in bad products
[01:13:53.040 --> 01:13:59.440]   But I think that it means that uh it results in things like a conversation I had with somebody just two days ago
[01:13:59.440 --> 01:14:02.560]   Uh, even the he she had bought an iphone
[01:14:02.560 --> 01:14:07.520]   iPhone x and she returned it within a week because she loved the face id
[01:14:08.080 --> 01:14:11.840]   But other than that she didn't feel as though it was such a big upgrade over there
[01:14:11.840 --> 01:14:16.000]   His her iphone 7 plus to justify a thousand bucks
[01:14:16.000 --> 01:14:21.440]   Whereas if you weren't if they weren't putting out something every single year every september like clockwork
[01:14:21.440 --> 01:14:24.080]   And if they weren't in this horrible toxic culture
[01:14:24.080 --> 01:14:28.320]   Where as soon as they announce that they're not coming out with a new iphone this year
[01:14:28.320 --> 01:14:30.080]   Everybody
[01:14:30.080 --> 01:14:31.840]   Okay, including me
[01:14:31.840 --> 01:14:35.280]   We'd be like, oh my god. What does this mean? They're not doing an iphone this year
[01:14:35.600 --> 01:14:40.400]   I think that if they were allowed to do this on an ipad schedule where they know exactly the
[01:14:40.400 --> 01:14:44.080]   What they they basically have a list of here's what the next level for each
[01:14:44.080 --> 01:14:46.800]   Each level of progress is going to be
[01:14:46.800 --> 01:14:50.080]   We think we can ship the next level of progress in 16 months
[01:14:50.080 --> 01:14:55.200]   As opposed to 12 months take 16 months and do it that way. I would love to see that happen
[01:14:55.200 --> 01:15:01.680]   I want a new i'm at i pad pro. I want one with
[01:15:02.560 --> 01:15:09.200]   Face recognition. I want to be the bezel this almost well. I guess you can't have it. Well, yeah, I got I got to tell you
[01:15:09.200 --> 01:15:13.840]   So this you know the thousand bucks I spent for my ipad pro at release
[01:15:13.840 --> 01:15:19.200]   The first generation that is one of the best investments i've ever made in terms of
[01:15:19.200 --> 01:15:24.560]   Using it every I still use it every single day and it still feels like a
[01:15:24.560 --> 01:15:29.360]   As fast and as wonderful as it did when I first bought it and it still does
[01:15:29.840 --> 01:15:34.320]   Really everything that anytime I come across a new piece of software that I want to use
[01:15:34.320 --> 01:15:39.200]   It does everything that that new piece of software could do. It's it's a really good
[01:15:39.200 --> 01:15:45.280]   Practical investment. It doesn't need I've never felt an incredible amount of envy over
[01:15:45.280 --> 01:15:50.800]   Over a ipad that came out two years after the one that i've bought
[01:15:50.800 --> 01:15:58.240]   Were asked that number of times where i've thought oh i'm really sorry about a phone this year because the new one has two cameras and they've oh good
[01:15:58.240 --> 01:16:02.160]   Oh, look at that. Oh, dammit. Why didn't i wait for those to do yeah
[01:16:02.160 --> 01:16:08.400]   Yeah, no, I think I said the whole the nfl by the sorry the nhl by the way the bench was using ipad pro
[01:16:08.400 --> 01:16:10.480]   I think the 12.91 blast by you
[01:16:10.480 --> 01:16:17.520]   Not hobbled by the nfl's deal to only use crappy microsoft surface tablets a
[01:16:17.520 --> 01:16:22.560]   Uh, yeah, I would rather have an ipad pro on my bench
[01:16:23.440 --> 01:16:30.480]   And some tin Hortons you buy the iMac pro the gift that keeps on giving robert morgan mad scientist at bear feets
[01:16:30.480 --> 01:16:33.600]   Has determined that
[01:16:33.600 --> 01:16:36.560]   it is first of all
[01:16:36.560 --> 01:16:40.880]   That it is possible to get an external thunderbolt three storage device
[01:16:40.880 --> 01:16:44.640]   That is as fast as the amazingly fast internal
[01:16:44.640 --> 01:16:50.240]   T3 he got roughly the same uh read and write speeds i was able to get on my iMac
[01:16:50.240 --> 01:16:54.720]   It's amazing three gigabit little more than three gigabytes per second
[01:16:54.720 --> 01:16:56.720]   write
[01:16:56.720 --> 01:17:01.840]   And same problem i had which is that the reads were two and a half gigabytes have we ever figured out why
[01:17:01.840 --> 01:17:07.440]   No, I don't understand. This is the only system i've ever heard of where
[01:17:07.440 --> 01:17:11.280]   As writing to their ssd is actually faster than reading it
[01:17:11.280 --> 01:17:15.280]   But at apple and significantly faster, but somehow apple's done it
[01:17:15.280 --> 01:17:18.960]   But one of the things that they determined trying to set this up
[01:17:19.440 --> 01:17:24.960]   Was that the uh the new iMac pro has dual thunderbolt control controllers for the four thunderbolt ports
[01:17:24.960 --> 01:17:27.600]   So you can this is crazy talk
[01:17:27.600 --> 01:17:31.680]   Use two of the ports each on a different controller to stripe
[01:17:31.680 --> 01:17:34.400]   different
[01:17:34.400 --> 01:17:36.400]   boxes
[01:17:36.400 --> 01:17:40.000]   And break the speed barrier to get to get this
[01:17:40.000 --> 01:17:47.040]   4.781 gigabyte per second reads
[01:17:47.600 --> 01:17:49.600]   How you like that lepott?
[01:17:49.600 --> 01:17:55.280]   What the what now it's gonna cost you but if you bought an iMac pro you don't care about yes, exactly
[01:17:55.280 --> 01:18:02.000]   Uh, there are a number only it's only a few alixes a number of units though. They were able to do this with a kiddio
[01:18:02.000 --> 01:18:05.840]   Makes uh these external thunderbolt three devices nodes
[01:18:05.840 --> 01:18:09.280]   They have but you have to buy two of them right and stripe them
[01:18:09.280 --> 01:18:13.520]   Or the other world computing's thunderblade v4s
[01:18:14.080 --> 01:18:18.800]   And again, you have to put them two of them on two different thunderbolt three boards
[01:18:18.800 --> 01:18:24.160]   How do they stripe? I don't I guess that's an apf s feature where you can have multiple discs striped
[01:18:24.160 --> 01:18:28.480]   On different. I don't know. I saw the numbers and my jaw drop. I didn't have time to read the article
[01:18:28.480 --> 01:18:29.520]   Yep
[01:18:29.520 --> 01:18:32.320]   Don't you love what these these benchmarks were you?
[01:18:32.320 --> 01:18:37.920]   You really I really do have to get out the spreadsheet and do the math and convert it to something I know about
[01:18:37.920 --> 01:18:42.720]   Figure out that numbers this big. I just look at the death of like am I really is a deathful point really where I think it is
[01:18:43.600 --> 01:18:45.600]   Right
[01:18:45.600 --> 01:18:53.280]   191 megabytes per second. That's four point and then try to translate that into like how many k video could that handle
[01:18:53.280 --> 01:19:00.560]   As a durable rights all of it all of it exactly. It's like it's like sun the the the street
[01:19:00.560 --> 01:19:03.120]   The view
[01:19:03.120 --> 01:19:05.120]   I just wanted to put that big
[01:19:05.120 --> 01:19:07.440]   on that
[01:19:07.440 --> 01:19:08.800]   See the throughput
[01:19:08.880 --> 01:19:15.600]   Okay, yeah, I believe what the performance of a machine like this will mark his brown league does it down and tries to make it cry
[01:19:15.600 --> 01:19:18.720]   If she puts the weapon with the red weapon on it
[01:19:18.720 --> 01:19:22.160]   Facebook live with
[01:19:22.160 --> 01:19:30.640]   We filled a room with popcorn with with styrofoam packaging peanuts and took put fans on it and shot 12k video of that
[01:19:30.640 --> 01:19:33.600]   And tried to compress it here's here's what happened
[01:19:34.160 --> 01:19:38.560]   The good news is the enclosure itself isn't that expensive the Akidio node
[01:19:38.560 --> 01:19:46.880]   Light is $269, but then you have to put you have to buy more stuff because you have to put fast drives in it, etc, etc
[01:19:46.880 --> 01:19:51.200]   But you know, I might I might pick one of these up. That's nice pc. I
[01:19:51.200 --> 01:19:53.680]   Yeah
[01:19:53.680 --> 01:19:55.680]   Couple of Alex's not so bad
[01:19:55.680 --> 01:20:00.080]   I have to say
[01:20:00.080 --> 01:20:03.840]   You know, I I just the internal drive is so damn fast
[01:20:04.320 --> 01:20:10.000]   Yeah, it's mind-boggling the fact that you could get something faster even faster externally on a thunderbolt three is
[01:20:10.000 --> 01:20:13.120]   Well, just crazy
[01:20:13.120 --> 01:20:14.080]   Yep
[01:20:14.080 --> 01:20:18.080]   Yeah, I can't I really I actually can't wait for WWDC
[01:20:18.080 --> 01:20:24.160]   I hope that the first 10 minute slot in the keynote is just going to be here's how people are using the iMac Pro
[01:20:24.160 --> 01:20:31.360]   And I they need it. I really want them to come up with tactical examples of here is exactly how people are you?
[01:20:31.680 --> 01:20:37.040]   We thought in the engineers thought there's no way people are ever going to be able to max out these processors
[01:20:37.040 --> 01:20:44.640]   Here's how people are maxing out these processors and I really want to see practical demos of that because I imagine it's going to be jaw dropping
[01:20:44.640 --> 01:20:48.240]   It would be a 10 minute segment that they finish in one minute because it's so fast
[01:20:48.240 --> 01:20:55.840]   Uh, just just incredible just incredible hair force one done done done. I mean
[01:20:55.840 --> 01:21:03.040]   It's I mean the the more I the more I learn about the iMac Pro week after week as people who have specific knowledge in
[01:21:03.040 --> 01:21:07.280]   Memory channels infrastructure and in data path infrastructure
[01:21:07.280 --> 01:21:13.680]   As more as these people have have now had a few weeks of really tear it apart and see what it can do and explain it to people like me
[01:21:13.680 --> 01:21:15.680]   Who are not experts in that kind of engineering?
[01:21:15.680 --> 01:21:19.040]   The more you learn about the iMac Pro the more impressed you get with it
[01:21:19.040 --> 01:21:21.040]   This is one hell of a machine
[01:21:21.520 --> 01:21:29.520]   And I'm kind of left wondering what happens when they build a boring metal box where they don't have to constrain things for air flow around a crt
[01:21:29.520 --> 01:21:32.880]   Crt, sorry a video panel and other things like that
[01:21:32.880 --> 01:21:38.400]   What if it just when it what if it just becomes here is a here is the box that my new pair of like timbre
[01:21:38.400 --> 01:21:43.680]   Of a timbre line boots boots came in you are to fill this with as much
[01:21:43.680 --> 01:21:50.240]   Hammer of god processing power as you can I want I want to be able to shift this thing
[01:21:50.720 --> 01:21:56.560]   10 seconds back in time with the amount of processing power in this and money is no object
[01:21:56.560 --> 01:22:01.360]   Our our users have proven money is no object when it comes to really fast max go to it
[01:22:01.360 --> 01:22:07.040]   I feel as though we are going to bring in the destruction of the human race. This is going to be so good
[01:22:07.040 --> 01:22:11.920]   I love john groobers takedown of the news week article
[01:22:11.920 --> 01:22:20.400]   Announcing that iphone x such a poor seller that apple's about to cancel it
[01:22:20.880 --> 01:22:28.000]   So we said half a day on that as well. Oh, it's such a great thank you john groober for the line
[01:22:28.000 --> 01:22:33.040]   Throw in some poor reading comprehension skills and sensationalist
[01:22:33.040 --> 01:22:40.720]   Mandacity and you get Anthony kuthpersons report for the publication that today operates under the once respected name news week
[01:22:40.720 --> 01:22:44.240]   Saying that the iphone tens of flop. It's not
[01:22:44.240 --> 01:22:47.200]   It started with a report from
[01:22:47.920 --> 01:22:55.280]   Ming qo at kji securities that apple and again rumor rumor rumor that apple will probably not
[01:22:55.280 --> 01:22:58.320]   Keep the iphone 10 around after this year
[01:22:58.320 --> 01:23:03.440]   We'll be there was an example that we could look at have they ever done that before yeah
[01:23:03.440 --> 01:23:10.160]   Yeah, I mean if only like maybe the iphone five that was retired after a year because the five s came out and the five c was
[01:23:10.160 --> 01:23:15.760]   So much easier to manufacture and targeted a very specific market that apple wanted to test out
[01:23:16.000 --> 01:23:22.320]   Could it be that the iphone 10 is is expensive to manufacture and use a scarce oled resources
[01:23:22.320 --> 01:23:27.840]   And apple's going to save the oled for their their flagship devices and they're going to go to led
[01:23:27.840 --> 01:23:29.920]   For this and maybe make it a little bit bigger
[01:23:29.920 --> 01:23:34.960]   So it's more appealing to the chinese market and it'll be like an iphone five c but like not really but I mean
[01:23:34.960 --> 01:23:39.040]   It'll be sort of that mentality. I mean if all the only past could ever be prologue. We will
[01:23:39.040 --> 01:23:41.600]   Also, we forget that
[01:23:41.600 --> 01:23:42.720]   Another
[01:23:42.720 --> 01:23:46.720]   So many of things that a company can do that are really brilliant have nothing to do with engineering
[01:23:46.720 --> 01:23:50.640]   They just simply have an idea of putting something a product in the proper context
[01:23:50.640 --> 01:23:57.600]   Like with the iphone 10 they did not make that the iphone 8 they said here's something extra iphone 8
[01:23:57.600 --> 01:24:00.240]   This is something above the iphone 8. This is something special
[01:24:00.240 --> 01:24:06.320]   We are not pretending that the best that we're not pretending that a mainstream phone from us is going to cost a thousand dollars
[01:24:06.320 --> 01:24:07.920]   We are going
[01:24:07.920 --> 01:24:13.360]   Design riffic with this one. We're putting so many really cool ideas. We wanted to put into phones into this thing
[01:24:13.360 --> 01:24:17.680]   This is not this is not the phone of 2017. This is the phone of 2020
[01:24:17.680 --> 01:24:22.240]   And so if you think that it's a silly thing that's fine. You still have the iphone 8
[01:24:22.240 --> 01:24:24.960]   Which is a wonderful incremental upgrade over the iphone 7
[01:24:24.960 --> 01:24:29.280]   It also gives them the ability to if someone is silly enough to call the iphone
[01:24:29.280 --> 01:24:32.000]   Assuming they take they stop making the iphone 10
[01:24:32.800 --> 01:24:38.640]   In september they also gives them the very credible way to say look we didn't this is not necessarily going to be
[01:24:38.640 --> 01:24:44.000]   The new upgrade path for the iphone and guess what we have the iphone 9 which has face recognition
[01:24:44.000 --> 01:24:50.000]   Which has ole ole d that doesn't have the ears on it and now costs only 800 dollars and it cost a thousand dollars
[01:24:50.000 --> 01:24:52.320]   Plus they've already sold what a how many
[01:24:52.320 --> 01:24:54.960]   18 million was it the
[01:24:54.960 --> 01:25:00.960]   Quarter yes, right. Yeah, it's like so tell me tell me how this can in any way be explained to be a failure
[01:25:01.360 --> 01:25:04.720]   Unless it's i've i've been there. It's monday
[01:25:04.720 --> 01:25:08.800]   You're you'd all you all you got to do is file something at the end of the day
[01:25:08.800 --> 01:25:14.480]   You got the thing the brilliant thing you're spending three weeks of three weeks on has has totally failed to pan out
[01:25:14.480 --> 01:25:18.640]   You got to file something or else you're going to miss dinner with your kids. I get it
[01:25:18.640 --> 01:25:25.200]   And I think we uh have all agreed that this iphone 10 is the best iphone ever, right?
[01:25:25.200 --> 01:25:28.080]   Yeah, it's one of those other samples ever made
[01:25:28.240 --> 01:25:32.160]   I I well okay rene and I love the iphone 10
[01:25:32.160 --> 01:25:36.400]   Andy, what do you think the best iphone is you prefer an eight maybe or
[01:25:36.400 --> 01:25:42.880]   Um, I don't the only way the only reason why I don't think it's necessarily the best thing they've ever made is because
[01:25:42.880 --> 01:25:49.120]   Of the price. I don't think the price is criminal. I just think that well that's a good point. Yeah, one of the what it's it's
[01:25:49.120 --> 01:25:56.160]   My again. This is just my opinion and my opinion is biased and uh in flawed just like everybody else's is
[01:25:56.640 --> 01:26:02.160]   Um, my when I think about technology I think of the one the one of the ways you remove the level of difficulty
[01:26:02.160 --> 01:26:04.800]   Is to say well screw it. We're going to charge 200 bucks more
[01:26:04.800 --> 01:26:09.600]   We're going to charge 25 more for this product than they did we did for our previous top product
[01:26:09.600 --> 01:26:13.920]   That doesn't mean that product is bad. It just means that you made things easier for yourself
[01:26:13.920 --> 01:26:17.840]   I'm more I'm more impressed with uh, loresbury pie where they said
[01:26:17.840 --> 01:26:23.520]   Here is a brilliant 35 dollar computer that has changed the world in ways that
[01:26:24.080 --> 01:26:28.320]   You we have to compare it to the iphone the way it's can change the world and for their follow up
[01:26:28.320 --> 01:26:32.960]   They said we've decided that 35 dollars is too much to disbend
[01:26:32.960 --> 01:26:38.800]   On a on a computer that runs a desktop operating system that could run a microsoft office compatible suite
[01:26:38.800 --> 01:26:44.320]   We come up with a six dollar version of it. That is incredible. That blows my mind
[01:26:44.320 --> 01:26:47.680]   So I I really love the iphone 10. It's kind of made me
[01:26:48.320 --> 01:26:54.320]   As much as I might have said about how I react to a thousand dollar iphone in the lead up to the iphone 10
[01:26:54.320 --> 01:26:57.760]   I kind of would like to see if they would say let's we're going to make a 14
[01:26:57.760 --> 01:26:59.920]   We're going to always have
[01:26:59.920 --> 01:27:05.040]   Again an iphone edition just like the apple watch edition where we are not even pretending
[01:27:05.040 --> 01:27:08.960]   This is a practical phone for most people. We are just simply saying here's what we could
[01:27:08.960 --> 01:27:12.400]   We're just saying to ourselves as we we are a design company first
[01:27:12.400 --> 01:27:18.000]   We love the idea of if we could all the times we said we can't put this component in or we can't put in this feature
[01:27:18.080 --> 01:27:23.200]   Or we can't use this style of manufacturing or this style of or this this material for the case
[01:27:23.200 --> 01:27:28.640]   Because it would drive the price up to $4,200. Well, we've discovered that we can sell 18 million units if we
[01:27:28.640 --> 01:27:34.640]   $4,000 can we sell 12 million units of something that is absolutely the most gobs
[01:27:34.640 --> 01:27:39.680]   Smackingly beautiful object you have ever put it in your hands inside a shopping mall in your life
[01:27:39.680 --> 01:27:42.800]   I'm interested to see how what apple would do that. There are very few companies
[01:27:42.800 --> 01:27:44.960]   I would be interested to see what they would do with it
[01:27:45.040 --> 01:27:48.880]   But apple is such an amazing design firm that I would love to see what they would do
[01:27:48.880 --> 01:27:51.280]   I would never be able to afford it, but I'd love to see what they would do with it
[01:27:51.280 --> 01:27:53.760]   Well, it's just a daily user of the iphone
[01:27:53.760 --> 01:27:56.160]   10 I have to say I
[01:27:56.160 --> 01:28:01.360]   I couldn't be happier with it. They're there are not it's not perfect if face ID doesn't work every time
[01:28:01.360 --> 01:28:05.360]   I wish it did but I can always enter a six digit code. It's aspirational though
[01:28:05.360 --> 01:28:09.200]   That's the thing I like about why I like the nexus one so much that it felt like it was the future
[01:28:09.200 --> 01:28:10.800]   Yeah of phones
[01:28:10.800 --> 01:28:15.200]   And I think this is like the palm pre was like that for the first time I saw it and then the nexus one
[01:28:15.200 --> 01:28:18.800]   And then there've been a few phones since then, but this is one of those phones where like I look at and I go
