
[00:00:00.000 --> 00:00:05.520]   It's diver Mac break weekly Renee Richie's here Andy Nachos here big big big news story
[00:47:23.680 --> 00:47:29.120]   It could just i mean it's there's a lot there's a lot to be said for simply having a network of local
[00:47:29.600 --> 00:47:33.680]   Things local places for data. So yeah, yeah, well for for data
[00:47:33.680 --> 00:47:37.360]   But also if you if your ambitions are to go beyond uh, uh,
[00:47:37.360 --> 00:47:39.360]   Or are to go beyond uh,
[00:47:39.360 --> 00:47:43.760]   Simply being a gadget that tells you what your heart rate is
[00:47:43.760 --> 00:47:48.800]   I mean if they could do a version of the apple store only for health
[00:47:48.800 --> 00:47:56.240]   So that this all these all these uh, care locations are still good people who are existing customers would still be existing customers
[00:47:56.480 --> 00:48:05.280]   They would see no change in care. But if you have an iphone if you have an apple watch that device could then interact with your your real
[00:48:05.280 --> 00:48:07.040]   uh
[00:48:07.040 --> 00:48:10.880]   Real world care in a much more intimate way because they can build the entire
[00:48:10.880 --> 00:48:18.160]   Uh legal infrastructure for how to contain this information how to deploy this information how to share this information between locations
[00:48:18.160 --> 00:48:22.960]   So again, if they were it depends on how big their ambitions are right this could be it could be
[00:48:23.920 --> 00:48:28.800]   Remember we keep have to go back to the idea of how silly it seemed that they would have an apple store in every single mall
[00:48:28.800 --> 00:48:32.560]   If it does seem kind of silly that they would get into health care
[00:48:32.560 --> 00:48:38.960]   Not you wouldn't but if you think of it less as a apple store for health on the marquee and more of a oh by the way
[00:48:38.960 --> 00:48:41.040]   Here is a here is a way that we can
[00:48:41.040 --> 00:48:44.640]   Test out a larger more ambitious health program
[00:48:44.640 --> 00:48:51.120]   Uh without having to again own doctors or own medical people just simply say here is how we would build a
[00:48:51.440 --> 00:48:58.160]   Digital health care system if we had the opportunity to do so and then you could then use that example to sell it to larger health care organizations
[00:48:58.160 --> 00:49:03.600]   Once you have data seeing here's how it affected patient health care here's how it affected cost of treatment
[00:49:03.600 --> 00:49:07.760]   Then that's an interesting way to do it particularly if you have 230 billion dollars sitting around
[00:49:07.760 --> 00:49:14.160]   Well, but they didn't acquire them. So it shows what they were thinking but doesn't show what they actually are planning
[00:49:14.160 --> 00:49:20.800]   They also by the way are working with the fda to fast to create ways to fast track digital health software
[00:49:21.280 --> 00:49:22.800]   uh through their approval process
[00:49:22.800 --> 00:49:25.840]   This one thing holding apple back is fda approval is hard to get
[00:49:25.840 --> 00:49:29.920]   And uh to date nothing that apple does has fda approval am I right?
[00:49:29.920 --> 00:49:35.040]   There are devices for the apple watch an apple phone, but not made by apple
[00:49:35.040 --> 00:49:38.720]   And they commented before that you know jeff williams runs watch at apple
[00:49:38.720 --> 00:49:46.080]   But he technically runs health and health is going to be a wide much bigger range of products and services than watch one day
[00:49:46.080 --> 00:49:51.200]   And one of the reasons for that for that decoupling is that they could make devices that would have to go through fda
[00:49:51.200 --> 00:49:54.880]   approval that might be too long for a process for consumer wearables
[00:49:54.880 --> 00:49:59.200]   But there might be a version of apple watch that is far more tuned to health than the current version
[00:49:59.200 --> 00:50:03.600]   And maybe it takes a little longer to come to market, but it'll be specifically for people who need that product
[00:50:03.600 --> 00:50:08.240]   Uh, and it sounds like if apple is exploring this it could it could be apple retail for health
[00:50:08.240 --> 00:50:11.840]   Which would give them a huge footprint at least in the united states to begin with
[00:50:11.840 --> 00:50:15.200]   But it also could be a place for apple to do research kit and care kit
[00:50:15.200 --> 00:50:20.720]   And to have products on the shelves and do you know to interface with customers around primary caregivers
[00:50:20.720 --> 00:50:25.520]   You know, it's sort of just to have feet on the pavement, you know everywhere that because health
[00:50:25.520 --> 00:50:30.400]   Tim pug has commented several times that health is a hugely important and hugely valuable business for apple
[00:50:30.400 --> 00:50:37.360]   Well potentially very very valuable if they came up with something like a non-invasive glucose blood glucose meter. Yeah
[00:50:37.360 --> 00:50:42.240]   Yeah, I mean particularly in the united states where it's not it's not the government
[00:50:42.240 --> 00:50:45.680]   Deciding how much people are going to be paid for certain health services
[00:50:45.680 --> 00:50:47.040]   Uh, there's a lot of money in it
[00:50:47.040 --> 00:50:51.600]   Which means there could be a lot of money in providing those services to people who make money off these things
[00:50:51.600 --> 00:50:55.040]   But imagine how interesting it would be to have a stock apple
[00:50:55.040 --> 00:50:59.280]   They would still have a stock apple watch, but there is software you can get access to
[00:50:59.280 --> 00:51:05.360]   Uh through, uh, you can get if you they can get access to via prescription if that makes sense
[00:51:05.360 --> 00:51:08.880]   Where there's a version of the health apples. There's a health apple store
[00:51:08.880 --> 00:51:14.560]   That once your primary caregiver has given you access authorized access to a specific app
[00:51:14.800 --> 00:51:16.960]   You can then download this app that will
[00:51:16.960 --> 00:51:22.240]   That will, uh, give you specific health advice based on your
[00:51:22.240 --> 00:51:27.440]   Heart rate readings that will as soon every time that your watch comes near
[00:51:27.440 --> 00:51:32.000]   Your wifi base station will send this information directly to your doctor particularly
[00:51:32.000 --> 00:51:35.920]   Giving him alerts as to here's an anomaly that we need to keep a keep an eye on
[00:51:35.920 --> 00:51:39.760]   Uh, it is a big deal to get certification even just for an experimental
[00:51:40.400 --> 00:51:45.200]   Technology something where you're saying we want to do a study with 1000 people here the 1000 case studies
[00:51:45.200 --> 00:51:48.560]   We want to do here's the risk that's going to happen to these people by
[00:51:48.560 --> 00:51:54.160]   Participating in the study and here are the benefits that's an enormous amount of money an enormous amount of bureaucracy
[00:51:54.160 --> 00:51:58.240]   They basically have to set up an entire health care company within apple just to run those studies
[00:51:58.240 --> 00:52:03.120]   I have I have family members that work in those industries where they work on developing technologies and
[00:52:03.120 --> 00:52:06.640]   I'm quite familiar with what they have to do to just to get an
[00:52:06.960 --> 00:52:10.560]   Simple experimental study done. So yeah, if that's if that's part of their ambition
[00:52:10.560 --> 00:52:13.200]   Uh, that's good. They're they're gonna have a
[00:52:13.200 --> 00:52:17.200]   Tough hill to climb and they're they seem determined to go try to climb it
[00:52:17.200 --> 00:52:20.400]   Steve jobs very famously with the uh
[00:52:20.400 --> 00:52:23.760]   introduction of the iphone said no one wants
[00:52:23.760 --> 00:52:27.600]   A stylus you see a stylus. Yeah, blue it
[00:52:27.600 --> 00:52:32.080]   We don't want to carry around a mouse, right? So what are we gonna do?
[00:52:32.080 --> 00:52:35.680]   Oh a stylus, right? We're gonna use a stylus
[00:52:36.800 --> 00:52:38.800]   No
[00:52:38.800 --> 00:52:41.280]   Who wants a stylus
[00:52:41.280 --> 00:52:44.480]   You have to get them and put them away and you lose them yuck
[00:52:44.480 --> 00:52:47.120]   Yuck
[00:52:47.120 --> 00:52:53.360]   Well, then it's like he's like he's demonstrating like a like a demonstrating like a kitchen appliance like who wants to mess with
[00:52:53.360 --> 00:52:56.160]   Both the floor cleaner and a sweeper
[00:52:56.160 --> 00:53:00.320]   But wait just two more there's no question the pencil is a is a
[00:53:00.320 --> 00:53:05.920]   Success although I suspect kind of a limited market is certain people use the pencil
[00:53:06.400 --> 00:53:12.000]   rumor, uh, is that apple according to the korean herald, which I don't know if this is a
[00:53:12.000 --> 00:53:14.240]   very valuable
[00:53:14.240 --> 00:53:21.120]   rumor source for apple stuff claims the apple engineers have been working on a new iphone device that comes with a digital pen for launch
[00:53:21.120 --> 00:53:23.680]   in 2019
[00:53:23.680 --> 00:53:25.600]   credible
[00:53:25.600 --> 00:53:27.600]   I mean, um, it's
[00:53:27.600 --> 00:53:33.360]   You like my understanding you use it. Oh, I love the pencil my understanding is that the i like out when apple was making the pencil
[00:53:33.520 --> 00:53:37.760]   They they could have made it work with the iphone year one if they wanted to I mean tim cook famously said
[00:53:37.760 --> 00:53:40.480]   Pencil is great with iphone and ipad and people picked up with that
[00:53:40.480 --> 00:53:43.360]   Because he likely has an iphone in his lab that does exactly that
[00:53:43.360 --> 00:53:45.440]   It's a question of are they gonna release it?
[00:53:45.440 --> 00:53:49.520]   The only thing for me is that that pencil looks really big next to an iphone
[00:53:49.520 --> 00:53:54.240]   And I don't want a tiny pencil because I like an art class through the last kit to get to the desk
[00:53:54.240 --> 00:53:57.200]   Can you get the tiny broken pencil and you're like, ah, I hate to draw with it
[00:53:57.200 --> 00:53:59.200]   So I don't want a tiny little stylus
[00:53:59.280 --> 00:54:03.680]   But I think there might be some middle ground for an apple pencil too that would better suit both the iphone
[00:54:03.680 --> 00:54:07.360]   I'd love it though. I mean my favorite thing about the galaxy note is that it's a small
[00:54:07.360 --> 00:54:12.080]   Little wacom tablet that I can hold in my hand and sketch on and I'd love that ability on an iphone
[00:54:12.080 --> 00:54:15.200]   Copy 386 is pointing out quite rightly that jobs
[00:54:15.200 --> 00:54:20.000]   Was arguing against the stylus being mandatory like that's how you have to use the device
[00:54:20.000 --> 00:54:24.240]   Steve he believes that nobody wanted video on there. Well, he didn't really he said nobody wanted video on there
[00:54:24.240 --> 00:54:27.840]   I had apple was not gonna sit on their ipad apple was never gonna make a phone
[00:54:28.080 --> 00:54:33.920]   They were never gonna make a tiny town. He might not he might not might fought against a stylus as an adjunct that the os is completely
[00:54:33.920 --> 00:54:35.920]   Touch completely functional with touch
[00:54:35.920 --> 00:54:40.400]   But it's nice to have sometimes a pointy thing that you can draw with or write on that same interview with
[00:54:40.400 --> 00:54:43.760]   Tim cook where he said that's do I think this thing he said Steve would change his mind famously
[00:54:43.760 --> 00:54:47.520]   He'd have a completely solid like never gonna do that right that someone give a compelling argument
[00:54:47.520 --> 00:54:51.280]   Then he'd act like he was never again. I was always in favor of styluses
[00:54:51.280 --> 00:54:54.800]   Small tab was there great at he shipped that a week a week later
[00:54:54.800 --> 00:54:58.960]   He'd be singing that he is going to let you down. He is going to take part and
[00:54:58.960 --> 00:55:07.440]   Right, yeah, have you just reverse Rick rolled as I think exactly there's a no I
[00:55:07.440 --> 00:55:11.200]   I think there's a given how old the apple pencil is at this point
[00:55:11.200 --> 00:55:16.880]   There's certainly a lot of room to do an apple pencil too that is perhaps the size of a regular pencil
[00:55:16.880 --> 00:55:22.160]   And so once you start to make it something that you could stick in a shirt pocket without
[00:55:22.960 --> 00:55:30.240]   Two of that third of it sticking out from the top once you master this amazing technology such as the cap that goes over the tip
[00:55:30.240 --> 00:55:34.480]   Again, I know that they've got at least at least three radians of the entire
[00:55:34.480 --> 00:55:39.600]   Ratio camp is now focused on trying to develop technology to have a cap that would put over the
[00:55:39.600 --> 00:55:43.520]   Point of the pencil explosions and then people
[00:55:43.520 --> 00:55:47.920]   Bodies being pulled out and covered up because they don't want to know that that's happening
[00:55:47.920 --> 00:55:51.360]   I mean if they if they made it like a more of the size of a regular pen
[00:55:51.680 --> 00:55:56.320]   It's not a deal breaker to simply say here is a really really nice pen that you will stick in your pocket
[00:55:56.320 --> 00:55:59.600]   No, it will not go inside a hole inside the inside the pencil
[00:55:59.600 --> 00:56:02.800]   No, it will not be mandatory to have it inside a charging case
[00:56:02.800 --> 00:56:07.200]   So it's on a loop like a like a like a little notebook on the side of the
[00:56:07.200 --> 00:56:13.120]   People carry around pens all the time. They will be happy to carry around this beautiful looking $100
[00:56:13.120 --> 00:56:20.800]   Or probably $130 pencil alongside it particularly once it starts to justify the expense of your thousand dollar
[00:56:20.960 --> 00:56:22.320]   iPhone 10
[00:56:22.320 --> 00:56:26.240]   I am I'm like Renee. I'm a huge fan of the of the galaxy note
[00:56:26.240 --> 00:56:29.440]   It's i'll be how have it for a month and then i'll
[00:56:29.440 --> 00:56:32.560]   Forget it exists for the first week, but then as soon as I'm reminded
[00:56:32.560 --> 00:56:37.040]   One day suddenly it's like now it's the day i have to pack it up and send it back
[00:56:37.040 --> 00:56:42.960]   Oh, but I I want to be able to like take quick notes on the screen without having to even unlock it and oh
[00:56:42.960 --> 00:56:45.680]   Oh, why can't my phone do that?
[00:56:45.680 --> 00:56:46.400]   Don't worry
[00:56:46.400 --> 00:56:52.400]   Then there'll be another phone although that's that is the nice thing about the notice really the only major phone with a stylus
[00:56:52.400 --> 00:56:55.200]   Yeah for now
[00:56:55.200 --> 00:56:59.840]   Uh just in magic leap has announced it has achieved its half billion dollar
[00:56:59.840 --> 00:57:05.280]   Dear series d funding round so more money pouring into
[00:57:05.280 --> 00:57:08.880]   magic leap an ar technology that
[00:57:08.880 --> 00:57:15.360]   Apparently is amazing, but no one has seen and those who have don't talk and
[00:57:16.240 --> 00:57:21.920]   I just I don't know if there's any to say about magic leap except that they keep getting more money
[00:57:21.920 --> 00:57:26.800]   Yeah, it's my my understanding is it's uh, it's a hell of a demo
[00:57:26.800 --> 00:57:34.320]   Yeah, I mean if you if you get the demo you will walk out sort of kind of shaking and vibrating on how good it was
[00:57:34.320 --> 00:57:41.040]   But it's my again. My understanding is that it's not the the ideal will be oh see this little bar
[00:57:41.600 --> 00:57:44.880]   Metal bar that's in here. Well, that's the entire projection system right now
[00:57:44.880 --> 00:57:51.600]   It's more like here is these thick wad of cables that go to the table full of machinery that makes it work right now
[00:57:51.600 --> 00:57:57.200]   Uh and that obviously the biggest deal is to try to figure out how to wait to make it so that you can actually walk around with it
[00:57:57.200 --> 00:58:05.760]   Uh, but yeah, every I have spoken to somebody who has tried it firsthand and that's how she described it
[00:58:05.760 --> 00:58:07.760]   Yeah, you just walk away
[00:58:07.760 --> 00:58:10.400]   You just walk away saying I want I want
[00:58:10.880 --> 00:58:15.840]   Must she uh she makes she makes it she makes it feel like she's just tried heroin for the first time
[00:58:15.840 --> 00:58:19.200]   And just all I want is to try it again. Yeah, yeah
[00:58:19.200 --> 00:58:25.120]   Well, I wish him luck. They've got plenty of money. That's for sure. Go. Yeah, you don't need profits
[00:58:25.120 --> 00:58:29.600]   You just need more and you just need stockholders that want in that's really all you need. Yeah
[00:58:29.600 --> 00:58:32.320]   Ask twitter. Yeah
[00:58:32.320 --> 00:58:37.120]   Uh a couple of court cases china has gone to court seeking a ban
[00:58:37.200 --> 00:58:42.240]   I'm sorry qualcom has gone to court seeking a ban in china for apple iphones
[00:58:42.240 --> 00:58:46.800]   Expanding the world's most vicious contract negotiations
[00:58:46.800 --> 00:58:49.680]   into into china now
[00:58:49.680 --> 00:58:54.240]   Um, we've talked infinitely about this uh about this story
[00:58:54.240 --> 00:58:58.640]   Did you see them trolling apple get last night on their hanqang? Uh, five g
[00:58:58.640 --> 00:59:04.240]   Presentation no what they say they had a slide up saying five g coming soon to these android phones
[00:59:04.240 --> 00:59:09.440]   Oh, yeah, we'd only hear something. Well, they actually we have ads for them and they are a sponsor of some of our shows
[00:59:09.440 --> 00:59:12.000]   So I think we've had ads on this show
[00:59:12.000 --> 00:59:12.800]   Uh
[00:59:12.800 --> 00:59:19.200]   touting their uh gigabit lte chip which is only on android apple uses you know apple won't use it so
[00:59:19.200 --> 00:59:21.920]   Um, if you're gonna, you know go that way
[00:59:21.920 --> 00:59:25.840]   Yeah apple is is not what's the right word apple takes
[00:59:25.840 --> 00:59:31.520]   Uh the radio slowly there usually like it took them a while to get lte after the
[00:59:31.920 --> 00:59:36.000]   HTC thunderbolt came out and if they you know they're they seem to stay they're conservative
[00:59:36.000 --> 00:59:39.360]   I mean that's a good word they seem to stay a step behind when it comes to radios
[00:59:39.360 --> 00:59:43.680]   So I have nothing to say about this suit only because it I don't really
[00:59:43.680 --> 00:59:49.920]   Know we talked about it on sunday and the consensus seemed to be it's just it's all just a very bitter
[00:59:49.920 --> 00:59:55.840]   Contracting negotiation that will be as lawyers. It's companies trading money so lawyers can get cars. Yeah nice
[00:59:55.840 --> 00:59:58.400]   Glad those lawyers are driving those nice
[00:59:58.960 --> 01:00:03.520]   Cars apple did lose in court in east texas
[01:00:03.520 --> 01:00:09.600]   Where it's not hard to lose in court if you're a big a big company the vernet x patent case
[01:00:09.600 --> 01:00:12.400]   Is over apple will have to pay
[01:00:12.400 --> 01:00:14.800]   440 million dollars
[01:00:14.800 --> 01:00:21.680]   Uh, this is I think the third or fourth decision. I believe they're appealing it again anyway. Oh no really wow
[01:00:21.680 --> 01:00:23.440]   Wow
[01:00:23.440 --> 01:00:25.360]   Well, this goes to vpn and to face time
[01:00:25.360 --> 01:00:29.680]   It's one of like when people wonder what's happening with face time is that apple had to rearchitect it following this
[01:00:29.680 --> 01:00:34.560]   Pat once I believe was for fax machines or something equally ludicrous the ironically is all four
[01:00:34.560 --> 01:00:40.800]   Of the vernet patent vernet x patents have been invalidated by the patent trademark office
[01:00:40.800 --> 01:00:47.680]   But they still can sue because the validations not legally binding until all appeals have been exhausted. So it's one of those
[01:00:47.680 --> 01:00:54.560]   I don't know. I just I thought we were going to see many more cases patent troll cases in east texas
[01:00:54.640 --> 01:00:55.840]   but
[01:00:55.840 --> 01:00:57.680]   uh, they continue
[01:00:57.680 --> 01:01:01.520]   And uh, it's going against apple. It's gone against apple all along in this one
[01:01:01.520 --> 01:01:07.040]   one of the reasons I'm told that patent trolls like the us district court for the eastern texas is
[01:01:07.040 --> 01:01:12.640]   uh, the judge there and the juries there are very much
[01:01:12.640 --> 01:01:15.600]   in favor of the little guy against big business
[01:01:15.600 --> 01:01:17.280]   so
[01:01:17.280 --> 01:01:24.080]   Uh, we'll see because the supreme court recently ruled that uh patent suits can only be brought now in districts where the company is based
[01:01:24.560 --> 01:01:26.560]   So I think it's kind of the beginning of the end
[01:01:26.560 --> 01:01:29.680]   for the district court in east texas
[01:01:29.680 --> 01:01:35.280]   Steve wozniak has a new project was you
[01:01:35.280 --> 01:01:39.920]   Not clear how much steve is involved in this
[01:01:39.920 --> 01:01:46.080]   It's an online learning platform focused on both students and companies that will eventually hire those students
[01:01:46.080 --> 01:01:48.960]   wazu based in arizona
[01:01:48.960 --> 01:01:52.960]   And they hope to launch physical locations in more than 30 cities around the globe
[01:01:53.760 --> 01:01:59.600]   Uh, woz in a prepared statement, which means probably somebody wrote it for him and ran it by him for approval
[01:01:59.600 --> 01:02:04.160]   Our goal is to educate and train people in employable digital skills without putting them in the years of debt
[01:02:04.160 --> 01:02:08.160]   People are often afraid to choose a technology based career because they think they can't do it
[01:02:08.160 --> 01:02:11.440]   I know they can and I want to show them how my entire life
[01:02:11.440 --> 01:02:14.160]   I've worked to build develop and create a better world through technology
[01:02:14.160 --> 01:02:18.880]   And i've always respected education now is the time for wozu and we're only getting started
[01:02:18.880 --> 01:02:25.120]   It is true that steve went back to college and got his teaching credential and taught high school for some time after
[01:02:25.120 --> 01:02:30.640]   He left apple yep, so the best equipped class rooms
[01:02:30.640 --> 01:02:39.520]   The entire country you can get the wozu app now on ios by coder for rent llc
[01:02:39.520 --> 01:02:43.840]   Uh, I don't know exactly what it does
[01:02:43.840 --> 01:02:47.360]   I'm always nervous about this kind of thing because
[01:02:47.680 --> 01:02:49.280]   Uh
[01:02:49.280 --> 01:02:51.040]   Well, we've seen a lot of these
[01:02:51.040 --> 01:02:54.320]   Schools kind of turned out to be somewhat scammy on the other hand moocs
[01:02:54.320 --> 01:02:57.200]   Like uh, you demi are just doing great
[01:02:57.200 --> 01:03:00.800]   So i'm not sure
[01:03:00.800 --> 01:03:02.000]   Not sure
[01:03:02.000 --> 01:03:04.000]   I'd have to i mean i don't talk to woz
[01:03:04.000 --> 01:03:08.240]   Exactly. I don't know anything more about this than what I do what I read in the release
[01:03:08.240 --> 01:03:10.720]   But it's an it's an interesting
[01:03:10.720 --> 01:03:14.400]   It would be interesting time to do something like that in a positive way
[01:03:14.880 --> 01:03:21.120]   Given that there's so many companies that are kind of scamming you know for profit organizations that are scamming really scamming people into
[01:03:21.120 --> 01:03:24.800]   Uh education that is absolutely of no use to anybody
[01:03:24.800 --> 01:03:28.720]   And just leaving them heavily in debt. They're really just you know federal loan mills
[01:03:28.720 --> 01:03:30.720]   That's really about it
[01:03:30.720 --> 01:03:37.040]   But if you were to given that technology is one of those areas where they don't care so much about
[01:03:37.040 --> 01:03:41.520]   The college degrees so much as the experience that you can bring to the job
[01:03:41.920 --> 01:03:45.600]   It's almost like being an artist. You show me what you've done and that's well
[01:03:45.600 --> 01:03:51.600]   Doesn't make me decide to hire you or not. It's a good opportunity to say we're not we're not in accreditation school
[01:03:51.600 --> 01:03:53.840]   We are just going to give you the skills and then
[01:03:53.840 --> 01:03:57.840]   Feed you into a job. We can get the experience to get the next job
[01:03:57.840 --> 01:04:00.320]   So if again, I don't know anything about this
[01:04:00.320 --> 01:04:04.960]   I I'd like to learn more about it and I would certainly hope that he wouldn't attach his name to something that wasn't
[01:04:04.960 --> 01:04:07.040]   Uh joyful and positive
[01:04:07.040 --> 01:04:09.040]   absolutely, although
[01:04:09.520 --> 01:04:13.360]   We know was has a hard time saying no sometimes too. So I don't
[01:04:13.360 --> 01:04:18.000]   That's that's the problem is I I just don't know how tightly integrated he is uh with this
[01:04:18.000 --> 01:04:24.080]   Well, here's his video. Amen. I maybe maybe he is here's here's uh, Steve was niac. I just downloaded the uh
[01:04:24.080 --> 01:04:26.720]   Was you app? Let me turn up the uh
[01:04:26.720 --> 01:04:29.440]   the sound here
[01:04:29.440 --> 01:04:31.600]   And uh see what Steve has to say here
[01:04:31.600 --> 01:04:34.320]   This is Steve
[01:04:34.320 --> 01:04:41.120]   Personally congratulate you for taking the first step to finding out what career path in the high tech world is best for you
[01:04:41.120 --> 01:04:43.680]   See you on the other side
[01:04:43.680 --> 01:04:49.680]   See he thought he thought talking about you know learn gun repair
[01:04:49.680 --> 01:04:52.640]   relation and cooling
[01:04:52.640 --> 01:04:56.160]   All right, I'm gonna I'm gonna take the assessment test here real quickly
[01:04:56.160 --> 01:05:00.160]   Just to see if I am an apple pencil if I am ready
[01:05:00.160 --> 01:05:02.080]   Yeah, exactly
[01:05:02.080 --> 01:05:04.080]   You applying Leo. I'm applying I need some
[01:05:04.080 --> 01:05:06.960]   Professor you should be a
[01:05:06.960 --> 01:05:08.960]   Anything about this crap
[01:05:08.960 --> 01:05:14.720]   Are you gonna learn how to punch basic out on a paper card and make it run right the first that I can do
[01:05:14.720 --> 01:05:20.080]   That I have a lot to make international long distance phone calls for just pennies
[01:05:20.080 --> 01:05:25.520]   It is an iPhone. Oh, yeah, they're
[01:05:25.520 --> 01:05:30.800]   I do like the fact there's so many places where you can get a basic tech education for
[01:05:31.280 --> 01:05:36.240]   Nothing or next to nothing. Yeah. Yeah. I mean it's it's it's if you really I mean honestly
[01:05:36.240 --> 01:05:37.600]   uh
[01:05:37.600 --> 01:05:39.920]   the number of people that I've talked to that says that
[01:05:39.920 --> 01:05:43.600]   In many places the definition of a great
[01:05:43.600 --> 01:05:51.040]   Great programmer is the ability to the knowledge of the url stack overflow.com and the ability to cut and paste
[01:05:51.040 --> 01:05:55.120]   Oh by the way, that has now turned out to be a real problem because a lot of that
[01:05:55.600 --> 01:06:02.000]   Code I just saw an assessment that a lot of that a lot of the best answers are the highest ranked answers have terrible code
[01:06:02.000 --> 01:06:06.720]   And it's propagating a whole generation of really bad security flaws
[01:06:06.720 --> 01:06:12.000]   All right. I'm ready for the assessment. Shall we take the assessment? You can help me with this start assessment
[01:06:12.000 --> 01:06:17.040]   How long have you been coding? I think I think the app is going to be really impressed that you were tied to the interview
[01:06:17.040 --> 01:06:23.120]   Not every not in all these like younger people understand the serious about the job you want to have so I've been coding as a hobby
[01:06:24.160 --> 01:06:27.680]   45 divided by nine equals 12 minus what
[01:06:27.680 --> 01:06:31.040]   Seven okay, I think I know that one all right
[01:06:31.040 --> 01:06:39.840]   So what mathematical symbol can be between put between five and nine to get a number bigger than five and smaller than nine?
[01:06:39.840 --> 01:06:42.640]   Well, that would be
[01:06:42.640 --> 01:06:46.080]   What to get a number bigger than plus
[01:06:46.080 --> 01:06:51.600]   No, no bigger than five but smaller than nine oh smaller than nine
[01:06:52.400 --> 01:06:56.080]   Uh five point nine. How about that? Wow, that was tricky
[01:06:56.080 --> 01:07:02.800]   Data structures like a binary tree and linked list are built using composition
[01:07:02.800 --> 01:07:07.200]   Okay, I don't know. I'm guessing that one one gigabyte is equal to
[01:07:07.200 --> 01:07:11.920]   Two to the 30 bits two to the 30 bytes
[01:07:11.920 --> 01:07:19.680]   Wow, this is a hard one. Andy come on. Tell me out here to the 20 bits. I feel like it's two to the 20 bits
[01:07:21.120 --> 01:07:23.120]   I don't know
[01:07:23.120 --> 01:07:25.840]   30 to the 30 bits
[01:07:25.840 --> 01:07:35.600]   Okay, I'm gonna go I'm gonna our studio audience agrees if new york can be encrypted as pgy
[01:07:35.600 --> 01:07:38.400]   qtm
[01:07:38.400 --> 01:07:43.760]   How can you code the world word charlotte? Well, I need pencil and paper for this, but it's a simple cipher obviously
[01:07:43.760 --> 01:07:46.400]   Uh, let's see
[01:07:46.400 --> 01:07:48.720]   I don't want to write this all down. No, they're all
[01:07:49.760 --> 01:07:51.760]   CD E
[01:07:51.760 --> 01:07:55.360]   C
[01:07:55.360 --> 01:07:59.120]   You're good, Andy you're good
[01:07:59.120 --> 01:08:00.480]   Oh
[01:08:00.480 --> 01:08:05.200]   T was enough. What about recursion is true in comparison with iteration
[01:08:05.200 --> 01:08:11.200]   It occurs two works that have never been in my kitchen
[01:08:11.200 --> 01:08:13.680]   Is that right?
[01:08:13.680 --> 01:08:18.400]   Yeah, right it incurs a function call every recursive program can beat man. Yeah, I'm gonna say yeah
[01:08:18.800 --> 01:08:20.800]   36 11 18
[01:08:20.800 --> 01:08:23.680]   What is the sixth term in the sequence?
[01:08:23.680 --> 01:08:27.120]   5 7 3 5 7 9
[01:08:27.120 --> 01:08:29.600]   27
[01:08:29.600 --> 01:08:32.080]   I'm gonna get 100 because good lord
[01:08:32.080 --> 01:08:37.840]   There's more in the final stretch of a marathon you quickly ran by the person in second place. What place are you in?
[01:08:37.840 --> 01:08:44.320]   Oh second I ran by oh because i'm now second
[01:08:44.960 --> 01:08:52.640]   Thank you if friend is coded as hum j tk, how is candle written using the code? How did you do that so fast? Andy?
[01:08:52.640 --> 01:09:01.200]   Uh, they're all two letters off. This one I think the first is two off the second is three off the third is I
[01:09:01.200 --> 01:09:05.520]   Yeah, you increase the index one. Yeah. Yeah. Yeah. That's a good way to do it
[01:09:05.520 --> 01:09:08.880]   I was gonna ran out the whole damn alphabet, but that's a lot that lot faster
[01:09:08.960 --> 01:09:15.920]   See I scared my school system because I was I don't know if I have a high IQ, but I was really really good at puzzles
[01:09:15.920 --> 01:09:20.880]   I would scare I would do scare so candle would be CD F right
[01:09:20.880 --> 01:09:24.080]   Oh, no, I guess e see de
[01:09:24.080 --> 01:09:29.360]   My friend is h fgh. Oh, yeah, ours. Oh no, this is our
[01:09:29.360 --> 01:09:33.200]   Rst you I is I jk
[01:09:33.200 --> 01:09:38.240]   There'd be skill testing question. You know today you increase you increase increase if I want you integrate
[01:09:38.560 --> 01:09:42.960]   Increasing it by one so the F G H so CD e
[01:09:42.960 --> 01:09:47.920]   And then a B C D so it's ed
[01:09:47.920 --> 01:09:50.800]   I think we have to say it's ed
[01:09:50.800 --> 01:09:52.560]   next
[01:09:52.560 --> 01:09:57.920]   Which design pattern ensures a shared instance? I'm an object that's created once and reused multiple times
[01:09:57.920 --> 01:10:05.600]   I'm gonna say that is a factory pattern. What do you think or is it a builder pattern or it is a singleton?
[01:10:06.640 --> 01:10:10.320]   Which it's a design pattern that ensures a shared instance of an object
[01:10:10.320 --> 01:10:14.160]   It's created once I'm gonna say a factory pattern
[01:10:14.160 --> 01:10:17.760]   Please enter your phone number so we may contact you
[01:10:17.760 --> 01:10:24.320]   Okay, so I have just drawn squiggie the squirrel in effect
[01:10:24.320 --> 01:10:28.480]   All right, do you think they're contacting me?
[01:10:28.480 --> 01:10:34.400]   See I don't like that right there. I don't like phone numbers. Uh, phone numbers are hard. No, that's why that's why I've got
[01:10:34.880 --> 01:10:39.760]   I let google give me a burner number for I have shown a strength in data and mathematics
[01:10:39.760 --> 01:10:44.320]   Based on these results we recommend you study software developer with was you
[01:10:44.320 --> 01:10:51.840]   Demand in your current location suggests a focus in Java a career counselor will be reaching out shortly to help you get started
