
[00:00:00.000 --> 00:00:05.400]   It's time for Mac break weekly Renee and Andy and Alex are all here and of course
[00:47:14.320 --> 00:47:19.920]   Yeah, I mean they announced it up front. It wasn't like they said oh, it's coming today and ooh, sorry, right
[00:47:19.920 --> 00:47:24.800]   Uh, there'll be the I think we all kind of know
[00:47:25.760 --> 00:47:28.320]   Roughly the outline of what apple will be talking about
[00:47:28.320 --> 00:47:32.160]   Probably september 12th. We've gone through that calendaring
[00:47:32.160 --> 00:47:38.640]   Thing and there's there are there continue to be data points bolstering that a german telecom that said you'll be able to order your iphone
[00:47:38.640 --> 00:47:42.720]   September 14th and another one that said deliveries begin september 21st
[00:47:42.720 --> 00:47:48.960]   And so I think there's you know corroborating evidence that it'll be september 12th for the announcement three phones
[00:47:48.960 --> 00:47:53.280]   The 6.1 inch lcd the less expensive phone basically an iphone eight
[00:47:54.000 --> 00:47:56.960]   Some rumors say iphone not they'll call it iphone nine. I don't know
[00:47:56.960 --> 00:48:03.360]   Uh, I think the latest from german is may hold on on that iphone 10s or excess
[00:48:03.360 --> 00:48:09.120]   Which is I mean it's easy. I mean it's it's hard to predict because apple literally has a name
[00:48:09.120 --> 00:48:12.080]   They think about they put it on a list and they think of 300 other names
[00:48:12.080 --> 00:48:16.000]   They try to see if any of those names are better if they're not they stick with the one they first thought if they are better
[00:48:16.000 --> 00:48:19.840]   They switch to them. There's a persistent rumor that the macbook was going to be called the macbook stealth
[00:48:19.840 --> 00:48:22.320]   And they decided no, that's just silly and went with macbook
[00:48:22.320 --> 00:48:24.320]   You can see it
[00:48:24.320 --> 00:48:30.480]   As long as you as long as you can make the box in time they can make anything. Yeah, I mean what does it matter what it's called
[00:48:30.480 --> 00:48:35.120]   But that's one mother of dragons partly because there's not a lot to be said about the rest of it
[00:48:35.120 --> 00:48:38.320]   We know two oleds 6.5 inches and 5.8 inches
[00:48:38.320 --> 00:48:40.560]   Basically an iphone eight
[00:48:40.560 --> 00:48:44.720]   Next generation that'll be an lcd an iphone 10 next generation
[00:48:44.720 --> 00:48:47.840]   Very similar to the iphone 10 and then a supersized
[00:48:48.320 --> 00:48:52.240]   10 plus that'll be 6.5 inches. What impresses me is like apple display
[00:48:52.240 --> 00:48:55.280]   They don't get enough credit like a lot of people just say oh, it's you know Samsung made the molyt panels
[00:48:55.280 --> 00:48:56.080]   But apple
[00:48:56.080 --> 00:49:00.080]   They went to all the work of bending it backwards and plugging it in so you'd get rid of the chin of the phone
[00:49:00.080 --> 00:49:02.640]   And most companies now are doing like these massive notches
[00:49:02.640 --> 00:49:06.400]   But still putting the chin on the phone and apple's about to release an led phone
[00:49:06.400 --> 00:49:12.160]   That now bends backwards and gets rid of the chin just like from a hardware engineering point of view
[00:49:12.160 --> 00:49:16.640]   Especially an apple display team point of view. They're doing fascinating work with all of these pixels
[00:49:18.000 --> 00:49:23.680]   Yeah, but that's uh, I'm I'm still kind of ambivalent about the the the the the the cheeks
[00:49:23.680 --> 00:49:25.680]   The the chins and the and all these other things
[00:49:25.680 --> 00:49:27.280]   some points
[00:49:27.280 --> 00:49:31.360]   I mean at at some point you need to you're not worried about
[00:49:31.360 --> 00:49:38.000]   finger tuffs finger touches interfering with the sides of the phone because they have rejection algorithms for that
[00:49:38.000 --> 00:49:40.800]   But at some point you have to how are you going to
[00:49:40.800 --> 00:49:43.200]   At sometimes you find yourself
[00:49:43.200 --> 00:49:48.400]   I find myself sort of like juggling this phone somewhere around my hand because my finger
[00:49:48.400 --> 00:49:54.480]   My the edge of the of the screen is invisible because my the pad of my thumb is a little bit too close to the edge of the screen
[00:49:54.480 --> 00:49:57.040]   It's kind of nice to have a little free space
[00:49:57.040 --> 00:50:04.560]   Uh, that doesn't belong to anybody. It's just therefore my comfort and not not to have to keep scrolling because there's one line of text
[00:50:04.560 --> 00:50:09.440]   Or one letter that I don't know where it is. So I I just think that it's a it's a design choice
[00:50:09.520 --> 00:50:12.640]   I don't think it's mandatory to have bezels as small as possible
[00:50:12.640 --> 00:50:17.760]   I think that you make a choice on what's going to work best for the user what's going to work best for that form factor
[00:50:17.760 --> 00:50:23.040]   And you just you don't go to bezel list displays simply because everybody else is doing it
[00:50:23.040 --> 00:50:28.880]   It's a notch that that kills me the notch and the chin andy like I can take a reason to have both the notch
[00:50:28.880 --> 00:50:32.480]   Not the chin it just seems like you're doing the notch because you want to
[00:50:32.480 --> 00:50:34.800]   Yeah, you don't need it. Just make the chin smaller
[00:50:34.800 --> 00:50:38.960]   Um, do it samseung does samseung is great. You got a you got a night brown and and a chin
[00:50:39.040 --> 00:50:41.040]   You're fine. That's fine
[00:50:41.040 --> 00:50:45.040]   Uh, let's see any I mean because we are so close to the release date
[00:50:45.040 --> 00:50:48.720]   It's reasonable that the supply chain leaks would be fairly accurate, right?
[00:50:48.720 --> 00:50:54.320]   Yeah, this is about the time where when I hear when I hear rumors, I'm more
[00:50:54.320 --> 00:50:58.160]   In cli- I'm not going to believe any rumor automatically
[00:50:58.160 --> 00:51:04.640]   But if you give me if someone shows me a picture of something that doesn't make any sense to be a picture of a
[00:51:05.120 --> 00:51:11.680]   Of an iphone. I will not dismiss it quite as quickly because this we are now in the zone where there are enough people in on the secret
[00:51:11.680 --> 00:51:14.720]   That it can no longer be termed a secret. This is the
[00:51:14.720 --> 00:51:18.320]   Is this Ming Chi Quo's uh chart?
[00:51:18.320 --> 00:51:27.360]   This is uh, I guess all the specs a 12 so even the smaller iphone will have the modern chip right a 12
[00:51:27.360 --> 00:51:32.880]   That's consistent with they've done in the past like the the apple the iphone 8 and the iphone 10 at the same processor
[00:51:33.520 --> 00:51:35.520]   three gigs of ram on the
[00:51:35.520 --> 00:51:40.480]   iPhone 9 I'll call it the iphone 9 four gigs in the in the two iphone 10s
[00:51:40.480 --> 00:51:44.160]   Benjamin mayo noted something really interesting on twitter today that you have basically
[00:51:44.160 --> 00:51:48.720]   A much lower resolution on the 6.1. That's essentially two two x which is apples
[00:51:48.720 --> 00:51:55.360]   No retina display resolution and the exact same thing for the 6.5 inch but at 3x so they're keeping the same point size
[00:51:55.360 --> 00:52:03.040]   But you get twice density on the 6.1 and thrice density on the 6.5. I'll let what is x what is x represent?
[00:52:03.520 --> 00:52:07.440]   So it's like the original iphone had one like one pixel equaled one point
[00:52:07.440 --> 00:52:11.760]   That's when they went to the retina display. There was two x which meant that four pixels made one point
[00:52:11.760 --> 00:52:13.760]   And then when you went to I think it was the iphone
[00:52:13.760 --> 00:52:18.160]   I forget which one went to 3x first might have been the iphone 10, but then you had uh nine pixels
[00:52:18.160 --> 00:52:21.440]   For every point and that's going to be the same thing on the OLED iphones
[00:52:21.440 --> 00:52:24.960]   But the lower price iphone because it's a lower priced iphone is only getting too
[00:52:24.960 --> 00:52:28.400]   You know you'll be able to visually slightly less distinguish the pixels
[00:52:29.040 --> 00:52:32.960]   Single uh single camera on the smaller one and dual camera on the
[00:52:32.960 --> 00:52:41.920]   Top two that makes sense aluminum instead of stainless steel frame for the lcd version and colors on the lcd version
[00:52:41.920 --> 00:52:44.080]   That's actually the newest rumor
[00:52:44.080 --> 00:52:46.240]   It's for the kit. It's problematic
[00:52:46.240 --> 00:52:51.920]   Well, does that colors does that include the aluminum frame like an anodized aluminum frame or does that just the back
[00:52:51.920 --> 00:52:56.080]   Uh, we'll have to see if they can't know an anodize aluminum. Yeah, I mean
[00:52:56.080 --> 00:53:00.480]   They've shown that they could do it with ipods and with other things. Is it a return to the five c
[00:53:00.480 --> 00:53:03.520]   The five c was interesting like apple
[00:53:03.520 --> 00:53:09.200]   The iphone was this blockbuster movie that they had once a year that everyone would rush to get and then it would taper off for the rest of the year
[00:53:09.200 --> 00:53:11.520]   But ipod wasn't like that they'd have a bit of a surge
[00:53:11.520 --> 00:53:15.520]   But people would buy ipod they were on the shelves in this clear packaging and they'd be fun
[00:53:15.520 --> 00:53:20.400]   And you could see them and you'd buy them whenever you want it to and I think the five c was they're almost like tv series
[00:53:20.400 --> 00:53:21.920]   Where you watch them throughout the year?
[00:53:21.920 --> 00:53:25.440]   I think the five c was an attempt to make the iphone more mainstream more
[00:53:25.440 --> 00:53:30.720]   Programmatic where it would even had packaging like an ipod and it just didn't work
[00:53:30.720 --> 00:53:36.960]   And now because they they're making this very specifically like it's a large phone. It's not smaller than the iphone 10
[00:53:36.960 --> 00:53:42.560]   It's bigger than the iphone 10 and that really sounds to me like a product destined for the asian markets
[00:53:42.560 --> 00:53:46.160]   Especially but also people who just want a primary computing device
[00:53:46.160 --> 00:53:50.000]   That's not that expensive and rumors are they this might be down like at 550
[00:53:50.240 --> 00:53:55.360]   Which sounds like a lot of money still but when you amortize that over a standard leasing a 0% leasing agreement
[00:53:55.360 --> 00:53:58.560]   Which is what a lot of the carriers in the us and you know other places do now
[00:53:58.560 --> 00:54:00.960]   So it's much lower than previous
[00:54:00.960 --> 00:54:03.280]   Quote unquote new iphones
[00:54:03.280 --> 00:54:07.440]   It becomes another attempt to sort of make that mainstream product that you could sell year round
[00:54:07.440 --> 00:54:11.280]   Um
[00:54:11.280 --> 00:54:13.840]   What else
[00:54:13.840 --> 00:54:19.520]   I think I feel like we this is like this is the camera the camera is like always one of the best
[00:54:20.160 --> 00:54:24.400]   I don't know if it's ready or not yet, but there's been rumors for while that apples working on a next generation AR camera
[00:54:24.400 --> 00:54:26.320]   Uh that has the bad
[00:54:26.320 --> 00:54:31.600]   Yeah for the because right now if you look at ios 12 the AR cameras on the front is in messages and it's in face time
[00:54:31.600 --> 00:54:37.600]   It's not in the camera app and that might be because the new camera is hasn't been announced yet and whether it's this year or next year
[00:54:37.600 --> 00:54:43.680]   I think they're really working towards a camera system that says fun on the back right like point my camera at leo and andy and alix
[00:54:43.680 --> 00:54:46.000]   And give them little hats and little animals and little
[00:54:46.640 --> 00:54:51.200]   Glossaraptor nips at your toes and does all the sorts. I'm going I'm going to be very upset
[00:54:51.200 --> 00:54:58.640]   If nobody can see my own selected little hat because you decided to impose your own little hat upon me
[00:54:58.640 --> 00:55:05.920]   I just don't think that's right. I can tell like the data like alix has talked about this before but the depth data you get off the iphone
[00:55:05.920 --> 00:55:10.000]   10 and 8 camera right now with ios 12 is remarkable and if it's better than that
[00:55:10.000 --> 00:55:12.400]   It opens up a lot of really interesting possibilities
[00:55:12.640 --> 00:55:17.200]   Yeah, it's also going to be really cool to see how much over engineering is
[00:55:17.200 --> 00:55:22.720]   Will will there be in this ar system because you got to figure that if apple is serious about
[00:55:22.720 --> 00:55:26.720]   Creating a wearable ar device and they certainly are they are good
[00:55:26.720 --> 00:55:30.240]   They they they're nowhere close to actually building the the glasses
[00:55:30.240 --> 00:55:36.640]   But they can start testing the software they intend to put into it by putting increasingly more and more beefy features into
[00:55:36.640 --> 00:55:41.440]   Into iphones and seeing exactly how these things work and see exactly where these things fail
[00:55:41.680 --> 00:55:46.480]   So I really think we're going to start to see reviews of wearables in iphone hardware
[00:55:46.480 --> 00:55:52.560]   Yeah, and I think you're absolutely right. I think that that that apple is got the right
[00:55:52.560 --> 00:55:57.920]   Solution now. I mean I think that the challenge that google had is they were trying to add everything all at one time
[00:55:57.920 --> 00:56:03.520]   And and I think apple has years as they as they work on the glasses and they work on those that experience
[00:56:03.520 --> 00:56:09.440]   They have years to to develop the ar develop it so that when and they have the advantage you know of
[00:56:10.160 --> 00:56:14.720]   This 75 million, you know or more people using their their newest phones
[00:56:14.720 --> 00:56:20.400]   That they're going to really be able to have all the software kind of lined up when they release a pair of glasses
[00:56:20.400 --> 00:56:23.760]   They're not trying to like recreate the wheel. They're just going to move that os
[00:56:23.760 --> 00:56:26.320]   largely to them to the glasses
[00:56:26.320 --> 00:56:32.080]   iOS 12 is pretty much done too, right? We got beta 9 in the public beta last night
[00:56:32.080 --> 00:56:35.520]   So many betas how many betas so many betas
[00:56:36.080 --> 00:56:40.160]   But that would make sense that that's going to come out September 12th
[00:56:40.160 --> 00:56:44.320]   They've got to put it on the phones as they're packaging them up. So they must be done now, right?
[00:56:44.320 --> 00:56:49.120]   Was that mean they can't ship those phones from the factory
[00:56:49.120 --> 00:56:53.520]   Until iOS 12 is done and then they put it on the phone. They can't image
[00:56:53.520 --> 00:56:57.360]   Go ahead. Oh, go ahead. We're gonna
[00:56:57.360 --> 00:57:02.720]   No, I was gonna say like worst case scenario. There's an update the minute you open the new phone, but not from 11 at 12 usually
[00:57:03.520 --> 00:57:06.880]   You get no phone would ship with whatever the most recent uh build is
[00:57:06.880 --> 00:57:09.040]   When they have to actually press them on the factory
[00:57:09.040 --> 00:57:12.720]   Yeah, and then if there are any substantive like if they're a last minute showstoppers you open that phone up
[00:57:12.720 --> 00:57:17.440]   Because it updates available you have to think that then in that case 12 is pretty much done and they're putting it on phone
[00:57:17.440 --> 00:57:20.240]   They better be putting phones on 747s now
[00:57:20.240 --> 00:57:25.840]   We'll see we'll see we'll see we'll hit the rumor mill the minute there are pallets of devices arriving
[00:57:25.840 --> 00:57:30.000]   That's usually after usually they don't do that till after the event because they don't want anything to leak and it's hard to secure
[00:57:30.400 --> 00:57:35.360]   Massive amounts of product being shipped. Oh, so there's stockpiling them in Shenzhen somewhere. Yeah
[00:57:35.360 --> 00:57:41.600]   Exactly exactly they got to make sure that people who show up in the first two or three weeks are going to get the phones that they want
[00:57:41.600 --> 00:57:46.480]   After that they can they can turn the taps down a little bit and start to go get back
[00:57:46.480 --> 00:57:51.360]   That's where to build on demand sort of thing when I trim remind me when I know when I buy a laptop from apple
[00:57:51.360 --> 00:57:53.360]   It's often shipped from china
[00:57:53.360 --> 00:57:58.800]   Do the phones come to us from china? They do don't they? Yeah, if we're the early order folk. Yep
[00:57:59.040 --> 00:58:02.640]   Okay, they almost always have been trying to regardless of regardless you go to the store to pick it up
[00:58:02.640 --> 00:58:09.520]   Yeah, oh so those days of like loading them onto a container to own a 747 those are for retail. That's for retail availability. Yeah, god. I got it
[00:58:09.520 --> 00:58:11.840]   Um
[00:58:11.840 --> 00:58:17.680]   Do a little sim who cares? Let's take a break because I want to uh, I mean seriously good. That's nice. That's nice
[00:58:17.680 --> 00:58:19.280]   Uh
[00:58:19.280 --> 00:58:24.640]   I want to talk about the apple watch and the ipad because I think we've given that apple watch short-trift and I want to know what you know
[00:58:25.600 --> 00:58:30.400]   About the apple watch coming up in just a second, but first I want to tell you about the toothbrush. I'm taking on my trip
[00:58:30.400 --> 00:58:32.720]   Whip
[00:58:32.720 --> 00:58:36.880]   I realized you know we were you know, we use uh, we used to use you know the big electric toothbrushes
[00:58:36.880 --> 00:58:40.480]   And I realize now as we traveled we'd have to pack not only the toothbrush and all that stuff
[00:58:40.480 --> 00:58:43.280]   We'd have to pack the charger. It was kind of a pain
[00:58:43.280 --> 00:58:50.400]   This year we're gonna just pack the quip because it's got a three month triple a battery
[00:58:50.400 --> 00:58:53.600]   So I won't need a charger. It's so much more compact
[00:58:54.400 --> 00:58:57.840]   And I love the adhesive strip. I could put it right on the mirror
[00:58:57.840 --> 00:59:01.200]   And and we're not gonna you know, we're gonna be in one place for three weeks
[00:59:01.200 --> 00:59:04.320]   We just put it right in the mirror and there's my toothbrush. We have his and her quips
[00:59:04.320 --> 00:59:10.320]   I have silver. No, no least I have silver. I have uh, I have copper or gold. I can't remember
[00:59:10.320 --> 00:59:19.360]   It's goldish. I guess it's gold silver and gold quip is the first subscription electric toothbrush accepted by the american dental association
[00:59:19.360 --> 00:59:21.600]   It is awesome
[00:59:21.600 --> 00:59:26.000]   Designed to make brushing your teeth more simple more affordable more even more enjoyable
[00:59:26.000 --> 00:59:31.760]   It is a better electric toothbrush created by dentists and I have to say designers too because it's beautiful
[00:59:31.760 --> 00:59:36.640]   Quips sensitive sonic vibrations are gentle on your sensitive gums
[00:59:36.640 --> 00:59:43.440]   People brush too hard some electric toothbrushes too abrasive. They can actually wear down enamel
[00:59:43.440 --> 00:59:46.880]   They can make your gums more sensitive quip. Mm-hmm
[00:59:47.520 --> 00:59:53.680]   It feels good. It's good for your teeth good for your gums and the built-in two-minute timer pulses every 30 seconds
[00:59:53.680 --> 00:59:58.080]   So you know when to switch sides helping you get a full and even clean
[00:59:58.080 --> 01:00:02.160]   You know 90 of us don't even brush for a full two minutes
[01:00:02.160 --> 01:00:04.880]   I do every time because my quip tells me
[01:00:04.880 --> 01:00:08.080]   I love the cover that goes right on the mirror there
[01:00:08.080 --> 01:00:13.680]   Uh or an unmounced to slide over your bristles as we travel. It's perfect. See that in the bottom
[01:00:13.840 --> 01:00:18.880]   Perfect travel brush brush heads are delivered automatically on a dentist recommended schedule
[01:00:18.880 --> 01:00:22.960]   Most people don't change their brush heads enough every three months. You'll get a new one for just $5
[01:00:22.960 --> 01:00:32.320]   Quip is one of the first electric toothbrushes accepted by the ADA and has thousands of verified five star reviews and best of all it starts at $25
[01:00:32.320 --> 01:00:39.360]   I bought my daughter equipped too. She said I want an electric toothbrush. I said, uh, I gotcha. I gotcha covered
[01:00:39.360 --> 01:00:43.280]   Quip is backed by over 20,000 dental professionals
[01:00:43.920 --> 01:00:48.160]   Starts at just $25 and if you go to get quip g-t-q-u-i-p
[01:00:48.160 --> 01:00:55.120]   Get quip.com/twit right now first refill pack is free when you purchase any equip electric toothbrush
[01:00:55.120 --> 01:01:00.240]   First refill pack free get quip.com/twit g-e-t-q-u-i-p.com/twit
[01:01:00.240 --> 01:01:06.880]   We they're so affordable. We actually have extras at the house for sleepovers and stuff like that. I just love our quips
[01:01:06.880 --> 01:01:09.760]   They're so pretty
[01:01:09.760 --> 01:01:11.760]   Get quip.com/twit
[01:01:11.920 --> 01:01:15.600]   All right, am I gonna be buying a new apple watch? This is gonna be very expensive september
[01:01:15.600 --> 01:01:19.040]   Or is it just like an incremental upgrade? Tell me that please
[01:01:19.040 --> 01:01:22.400]   Uh, I mean it depends what's important to you. It's gonna be
[01:01:22.400 --> 01:01:27.200]   As a big trend of the last three years. Yeah, it's deleting all the bezels. That's the thing we want to delete all the bezels
[01:01:27.200 --> 01:01:32.480]   Not big it's a giant. It's a giant black ring that you don't nobody can complete
[01:01:32.480 --> 01:01:39.520]   We want to complete our rings. Yeah, you want to just get rid of that. How will this be more edge to edge?
[01:01:39.600 --> 01:01:44.400]   We'll actually go over the edge of the aluminum. It'll go to the very edge of the like right now
[01:01:44.400 --> 01:01:49.520]   It's an illusion because the the interface is black and the glass is black and the casing is black
[01:01:49.520 --> 01:01:53.520]   Like it's green doesn't go to the edge. Yeah, the display
[01:01:53.520 --> 01:02:01.120]   So it might not look that much different from the outside, but the actual display inside the glass will go bigger
[01:02:01.120 --> 01:02:04.480]   Yeah, and it'll be banned. That's the important thing. It will be banned compatible
[01:02:04.480 --> 01:02:07.760]   Otherwise, I would be on the floor sobbing in a learned helplessness
[01:02:07.760 --> 01:02:12.000]   I was worried because I saw there that a lot of the bands are no longer available. I thought oh
[01:02:12.000 --> 01:02:16.320]   Yeah, no, that's the I'm taking heart and believing that that's the fall refresh
[01:02:16.320 --> 01:02:22.080]   That's that's doing that not the suddenly we have bands that are half the width. Sorry yikes
[01:02:22.080 --> 01:02:25.840]   Actually, this is good news for in that because he can now buy some new bands
[01:02:25.840 --> 01:02:31.200]   Yeah, I mean I guess I keep saying that this is the most effective way apples ever found to separate me from my money
[01:02:31.200 --> 01:02:35.120]   You've now given me the band disease. I know
[01:02:36.720 --> 01:02:40.320]   I saw i'm reading reddit and there's now ways people have so many bands
[01:02:40.320 --> 01:02:43.200]   They're coming up with interesting ways to store and display them
[01:02:43.200 --> 01:02:47.360]   And there's a whole band trading community. I think too. Oh, that's a good idea
[01:02:47.360 --> 01:02:52.480]   Only this band anymore. I'll send it to you. Oh, you can send me that one. That's great. I don't want to use somebody else's band though
[01:02:52.480 --> 01:02:55.280]   I guess it depends on
[01:02:55.280 --> 01:03:01.920]   I'm wearing the hook and looper right now the gray hook and looper. I like it. I put on the um the Nike
[01:03:01.920 --> 01:03:04.080]   Oh, I love that one. Yeah, phone
[01:03:04.720 --> 01:03:08.640]   Yeah, I I have the I have the one that it that it that it came with
[01:03:08.640 --> 01:03:13.600]   A lot of people do. I mean they just proud of it. It's plastic
[01:03:13.600 --> 01:03:16.880]   plural astimer
[01:03:16.880 --> 01:03:23.120]   Exactly plural astimer actually come to think of it hook and looper. It's also plastic. It's just different kind of plastic
[01:03:23.120 --> 01:03:24.720]   Yeah
[01:03:24.720 --> 01:03:26.720]   You brush your teeth with
[01:03:26.720 --> 01:03:30.960]   I experiment with a bunch of them and then I just I was like i'm just gonna stick with the one that I have
[01:03:31.040 --> 01:03:36.560]   I wasn't I didn't spend the kind of money that Renee did if I if I had I probably would be very happy with my
[01:03:36.560 --> 01:03:40.960]   With my but I tried a whole bunch of little ones that were anywhere from 30 to 50 or 80 dollars and
[01:03:40.960 --> 01:03:47.840]   I just went back to the plastic one. I was like, I'm apples bands are crazy overpriced, but I don't know they're nice
[01:03:47.840 --> 01:03:53.520]   I take I take some comfort in knowing that the apple hermez are actually cheaper than the hermez hermez. So that's why
[01:03:53.520 --> 01:03:59.280]   Well, they're saving money. There you go. Yeah, it's like half the bun like i'm getting her mez for half the price is ridiculous
[01:03:59.280 --> 01:04:04.640]   So they're calling this the series for but really that's just it. There's just the the screen will be bigger inside there
[01:04:04.640 --> 01:04:09.600]   I mean there's a lot of question marks and what what happened with the original apple watch is to get it out
[01:04:09.600 --> 01:04:12.320]   It's shipped with at the with the s1 the system and package
[01:04:12.320 --> 01:04:16.480]   Process are running basically at the thermal limits of the device. It had zero headroom
[01:04:16.480 --> 01:04:21.200]   And over time they've gotten better with a series two the processor was much more powerful
[01:04:21.200 --> 01:04:25.440]   And they were able to spend a little bit of that budget on things like always
[01:04:25.600 --> 01:04:31.840]   You know more readily available apps and there are a lot of things I'd like to see them do because they're going to get better battery efficiency again this year
[01:04:31.840 --> 01:04:34.240]   But the screen is going to be bigger and that takes more power
[01:04:34.240 --> 01:04:40.000]   And there's things that they need to spend it on like it's still a watch that most of the time is not functioning as a watch because it has no
[01:04:40.000 --> 01:04:42.640]   Persistent time display and I'd love to see them spend
[01:04:42.640 --> 01:04:46.720]   Some battery because everything in mobile is battery is a currency of mobile
[01:04:46.720 --> 01:04:51.360]   Every feature you get comes when you pay for it in battery and you can't pay for two things at the same time
[01:04:51.360 --> 01:04:55.840]   You got to make choices, but I'd like to see them start making choices that enable always on display and
[01:04:55.840 --> 01:04:59.520]   And a lot of people want you like it apps on apple watch for example
[01:04:59.520 --> 01:05:04.160]   I would love an always on display. I have to say it works fine when i'm upright
[01:05:04.160 --> 01:05:10.240]   But it's not subtle like if i'm talking to you leo like you see me checking the time i want to be able to glance down
[01:05:10.240 --> 01:05:12.320]   Oh, I know it's four o'clock
[01:05:12.320 --> 01:05:16.000]   It doesn't work when you're lying down or you know, there's you have to be in a certain
[01:05:17.360 --> 01:05:23.440]   position for it to work properly and the a lt is still slaved and there's this case to be made that more independent
[01:05:23.440 --> 01:05:28.400]   It's like it's like the original apple watch was the shuttlecraft on the original star trek series where I could barely go
[01:05:28.400 --> 01:05:32.240]   From the starship to the planet and then now we have the next generation subtle cleft
[01:05:32.240 --> 01:05:34.800]   Which can go into warp but not very good warp yet
[01:05:34.800 --> 01:05:40.160]   And we need to get to the point where you're in deep space line and the shuttlecraft can basically jump all over the universe on its own
[01:05:40.160 --> 01:05:44.480]   And you think i'd have learned my lesson and just do what Alex does by the least expensive apple watch
[01:05:44.720 --> 01:05:49.280]   Yep, because it's kind of there's going to be an update, but of course I always buy the most expensive apple
[01:05:49.280 --> 01:05:54.240]   Yeah, I I started I started with that in the very first one. I was like, I know this is just going to keep getting better
[01:05:54.240 --> 01:05:57.120]   I'm just gonna just ride this one. You know instead of
[01:05:57.120 --> 01:05:59.920]   Yeah, I just I just it was
[01:05:59.920 --> 01:06:06.240]   I'm not always smart, but I like ceramic and I like the gray ceramic because I just I like those
[01:06:06.240 --> 01:06:08.880]   I think that I think the ceramic is really pretty and I
[01:06:08.880 --> 01:06:13.040]   Really want it. It's over a thousand like i'm gonna buy another one next year. Yeah
[01:06:14.560 --> 01:06:15.920]   Uh
[01:06:15.920 --> 01:06:22.480]   Well, I'm not gonna buy another one this year. That's for sure in mr. Uh ming g says enhanced heart rate detection
[01:06:22.480 --> 01:06:29.040]   Yeah, they're getting better with those sensors a lot of the sensors that I think people expect things like blood sugar analysis
[01:06:29.040 --> 01:06:33.280]   Are still years away like there's always a new startup that announces hey, we're ready, but no, no
[01:06:33.280 --> 01:06:37.040]   You're not ready with accuracy or scale yet, but you're ready with the rest release
[01:06:37.040 --> 01:06:41.600]   So we'll see those over time, but I think the we're getting better with the ones we have for now
[01:06:41.600 --> 01:06:43.920]   Yeah
[01:06:43.920 --> 01:06:51.600]   Apple watches a totally different product than uh than the iPhone or or an iPad it really is you really can't I don't think you can get people in
[01:06:51.600 --> 01:06:56.400]   Based on performance and you can't really get them in necessarily based on a larger screen
[01:06:56.400 --> 01:07:00.080]   You really have to do two kind of polar opposite things
[01:07:00.080 --> 01:07:04.080]   You have to take the features that you're that they count on and make them even better
[01:07:04.080 --> 01:07:06.480]   So like things like heart rate and also give it
[01:07:06.480 --> 01:07:11.440]   The ability to record other kinds of metrics outside of uh outside a simple heart rate
[01:07:11.920 --> 01:07:16.480]   Uh, but also just give them fashion. They don't necessary it's it's one area in which
[01:07:16.480 --> 01:07:22.160]   If you suddenly come up with a red one and it's not just a special edition. There is now an official red watch
[01:07:22.160 --> 01:07:29.920]   At people are going to make fun of it that oh look look how new innovation for 2019 apple discovers the color red
[01:07:29.920 --> 01:07:31.920]   6000 angstroms. Oh my god
[01:07:31.920 --> 01:07:35.760]   Uh, but nonetheless for people who want a color watch that is a big deal
[01:07:35.760 --> 01:07:40.880]   That's the what that's what moves them finally to replace a series one watch with whatever is absolutely modern
[01:07:41.280 --> 01:07:43.280]   So and for
[01:07:43.280 --> 01:07:48.160]   I think one of the brilliant things that apple has done is given apple watch a sense of focus
[01:07:48.160 --> 01:07:53.120]   To know that we're not going to give you where we we had this we we we
[01:07:53.120 --> 01:08:02.480]   Poured out all this banana oil during the product introduction about how we were creating a brand new computing paradigm and brand new platform for software
[01:08:02.480 --> 01:08:04.960]   It turns out that people just want a really cool fitness watch
[01:08:04.960 --> 01:08:09.680]   They want a cool watch and they want a fitness watch and now they've got one that's kind of both in the same way
[01:08:10.080 --> 01:08:13.600]   So it's it's it's just as innovative for them to create a brand new
[01:08:13.600 --> 01:08:20.160]   Case design or case material as it is for them to figure out how to crack $200 on this device
[01:08:20.160 --> 01:08:26.080]   Can we also go ahead? Alex for me. It's it's a wrist a wrist available timer
[01:08:26.080 --> 01:08:30.800]   I I find that that is the thing that I use probably more on my watch than yeah anything else
[01:08:30.800 --> 01:08:36.160]   Yeah, I like to make tea and it's great or if you're doing a french french the thing is you put your phone down
[01:08:36.720 --> 01:08:39.920]   Especially now we have air pods you're you have no idea where your phone went
[01:08:39.920 --> 01:08:45.600]   Um, you know you're wandering around and you're listening to whatever you're listening to and just the fact that I can quick quick quick
[01:08:45.600 --> 01:08:47.360]   Boom boom boom and it is
[01:08:47.360 --> 01:08:51.280]   Transform my workout because it's you know, it's I like to have a few minute and a half sets
[01:08:51.280 --> 01:08:54.720]   And so the the issue is is that you you now get it exactly
[01:08:54.720 --> 01:08:59.120]   You're not like trying to remember what it was you just hit the hit the watch and you keep on working and and it's just
[01:08:59.120 --> 01:09:04.640]   It just makes it so much easier. So it's for me even if that's all it did it's still better than
[01:09:05.360 --> 01:09:11.360]   A really good watch that I had before a citizen it was it was nice. So so so long as I can say hay slo-mo
[01:09:11.360 --> 01:09:15.920]   And have it say and have it just simply bong when I went when I when my egg is done. I don't really
