;FFMETADATA1
title=One Nil to the Arsenal
artist=Leo Laporte, Alex Lindsay, Andy Ihnatko, Jason Snell
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-11-29
track=846
language=English
genre=Podcast
comment=Musk vs Apple, China, Manchester United
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.720]   It's time for Mac break weekly Jason Snell and Ian Oco Alex Lindsey are all here
[01:02:55.400 --> 01:02:59.480]   And then I went down to the bottom with the watch and it popped up and it showed me that it was 6.9 feet
[01:02:59.480 --> 01:03:03.160]   Deep. That's so cool. I was like the watch is off. You know, that's so cool
[01:03:03.160 --> 01:03:07.880]   I was like the watch is very accurate because this is nine feet deep and it says 6.9
[01:03:07.880 --> 01:03:14.120]   It's 6.9 or you know 6 and 9 inches or whatever and then I measured it and the watch was right the watch is right
[01:03:14.120 --> 01:03:15.800]   Okay, no idea what i'm talking about
[01:03:15.800 --> 01:03:16.360]   Basic
[01:03:16.360 --> 01:03:20.520]   A oceanic plus functionality is free, but you'll want to pay $10 a month
[01:03:20.520 --> 01:03:23.560]   Or $80 a year if you want to track decompression
[01:03:23.800 --> 01:03:29.800]   I always worry about the bins when uh when i'm swimming. So yeah location planning other more advanced features
[01:03:29.800 --> 01:03:36.840]   There's a family plan $129 bucks five people you do have to have watch iowa watch sos 9.1
[01:03:36.840 --> 01:03:40.920]   As well as an iphone eight or later using ios 16 one and of course
[01:03:40.920 --> 01:03:47.640]   You need an ultra apple is quick to caution that oceanic plus is not for professional scuba divers
[01:03:47.640 --> 01:03:51.080]   For instance, I won't tell you how much air you how many professional
[01:03:51.960 --> 01:03:57.160]   Fashion with divers does not support transmitters that connect to your tank although although there was a piece
[01:03:57.160 --> 01:04:01.000]   So there was a great piece on tech crunch about this by a scuba diaper and they
[01:04:01.000 --> 01:04:06.520]   They suggested they said it was really great by the way and that um makers of dedicated
[01:04:06.520 --> 01:04:12.920]   Dive computers should worry because this feels like one of those things that's just going to get subsumed into technology like apple watch
[01:04:12.920 --> 01:04:19.560]   But what they said is they went apparently on a like scuba thing that was kind of a demo that included people from apple and from the dive computer
[01:04:19.800 --> 01:04:23.560]   Software company and all of that and they suggested that the oxygen
[01:04:23.560 --> 01:04:32.440]   Monitoring thing like there they got the distinct impression even though nobody would say something on the record that they are working on a solution for that too
[01:04:32.440 --> 01:04:34.040]   It's just not out there
[01:04:34.040 --> 01:04:38.200]   So this it seems like that that was just not something that they had ready but that they're working on that too
[01:04:38.200 --> 01:04:43.720]   So it's interesting if you're i'm not a scuba diver, but it sounds like this is one of those things like um
[01:04:43.720 --> 01:04:49.160]   The tech crunch article likened it to standalone gps devices where like we used to have those and uh
[01:04:49.240 --> 01:04:53.800]   Now we don't really because everything's got a gps in it and that uh for dive computers for
[01:04:53.800 --> 01:04:59.080]   Divers and snorkelers and everything else that that's all going to get put in our watches instead
[01:04:59.080 --> 01:05:04.760]   There's a scuba diver observing the target 30 minute dive time alarm has been reached
[01:05:04.760 --> 01:05:09.880]   Yeah, it's a really great piece. It's it's akin to those like talking to a backcountry hiker about the
[01:05:09.880 --> 01:05:16.680]   Yeah, other features. We got a bunch of divers who and and that that's this is the person to listen to right like they actually know what they're talking about
[01:05:16.840 --> 01:05:21.480]   Yeah, not us. There's a dive computer. Uh the suntos zoop
[01:05:21.480 --> 01:05:24.280]   That's a big old thing. Yeah
[01:05:24.280 --> 01:05:25.880]   Um
[01:05:25.880 --> 01:05:29.160]   You want big letters, especially especially when it's sultan right? I think
[01:05:29.160 --> 01:05:31.320]   Yeah
[01:05:31.320 --> 01:05:39.160]   Uh, this is this is definitely a product where you appreciate it like Jason's Jason says people like us who've i've i have a grand total of like
[01:05:39.160 --> 01:05:44.920]   52 minutes of dive time. I should not be reviewing something like this. It's this person who has at some point
[01:05:45.400 --> 01:05:47.400]   You know almost said okay
[01:05:47.400 --> 01:05:51.960]   Has gone to the back of the surface of the water saying wow. I almost killed myself down there
[01:05:51.960 --> 01:05:55.560]   I'm not going to do that again. Those are the people with the knowledge that should be reviewing this stuff
[01:05:55.560 --> 01:06:00.680]   So we're going to claim the watch uh ultra is en 13319 compliant
[01:06:00.680 --> 01:06:04.200]   European standard covering functional safety and testing
[01:06:04.200 --> 01:06:10.040]   For depth and time measuring devices. So you can't trust it to measure your pool depth Alex
[01:06:10.040 --> 01:06:12.680]   Uh
[01:06:12.680 --> 01:06:14.680]   See see
[01:06:14.680 --> 01:06:17.560]   Oceanic plus is from hoish we shout doors
[01:06:17.560 --> 01:06:23.560]   Uh, they make other uh scuba stuff. So pretty cool
[01:06:23.560 --> 01:06:28.120]   So a lot of retired pool installers are about to get a lot of crap from a lot of people
[01:06:28.120 --> 01:06:30.840]   Who have money for a thousand dollar watch? Okay
[01:06:30.840 --> 01:06:33.800]   I uh
[01:06:33.800 --> 01:06:39.000]   I've gone scuba diving twice kind of recreationally once on the great barrier reef
[01:06:39.000 --> 01:06:43.960]   Uh and once in hawai just for fun. It would be nice to i mean obviously
[01:06:43.960 --> 01:06:49.160]   I I went with a dive instructor who's got probably a zoo right and they're no and they're paying attention
[01:06:49.160 --> 01:06:54.600]   They're only let me down there for 15 minutes anyway, but um still I would kind of be fun to have that on
[01:06:54.600 --> 01:06:57.960]   Oh, yeah. No, that's all right. I got mine. Uh, no problem. Yeah
[01:06:57.960 --> 01:07:01.160]   Especially since the gear is the gear is so expensive
[01:07:01.160 --> 01:07:03.560]   Yeah, and and like the idea of
[01:07:03.560 --> 01:07:07.400]   For certainly for a novice diver who's like, okay
[01:07:07.400 --> 01:07:12.920]   Now you need to dive now you need a dive computer and a dive watch like oh or you can get this really cool amazing
[01:07:13.080 --> 01:07:17.160]   Apple watch the best that they make the most expensive apple watch they make and you can wear it all the time
[01:07:17.160 --> 01:07:20.760]   And people would say wow. Do you are you diver? You can say well, I yes, I am a diver
[01:07:20.760 --> 01:07:22.840]   You see that's why I have this expensive dive watch
[01:07:22.840 --> 01:07:26.360]   Yeah, and then maybe then maybe as you get more experience like yeah
[01:07:26.360 --> 01:07:31.400]   I need more not going to kill my soul features than that a piece of that an app that runs on a phone
[01:07:31.400 --> 01:07:35.640]   I feel like over the next year you have to take if you have the ultra you do have to take pictures
[01:07:35.640 --> 01:07:40.280]   You have to take somehow take little pictures of your watch underneath the water your watch at the mountains your watch
[01:07:40.600 --> 01:07:45.080]   You're watching the desert like i'm actually doing something with this watch that made it worth buying it. Yeah
[01:07:45.080 --> 01:07:47.720]   Yes, well, I can look good. Well, but also
[01:07:47.720 --> 01:07:50.920]   Now that it's been shipping for so many people
[01:07:50.920 --> 01:07:55.160]   I love seeing so many pictures from people who are like no, I'm not I'm out near I'm in construction
[01:07:55.160 --> 01:07:59.240]   I am I am actually like moving rocks like 12 hours a day
[01:07:59.240 --> 01:08:03.240]   And this is the only thing that this is the first watch this is my first opportunity to have like a real
[01:08:03.240 --> 01:08:09.800]   Like digital real a computer wearable computer because they're all the ones all the other ones are not going to survive this
[01:08:09.800 --> 01:08:14.440]   And this is survive fine. If anything, it's got character. It's got it's got good honest wear now
[01:08:14.440 --> 01:08:16.920]   so when uh
[01:08:16.920 --> 01:08:18.920]   rob mackalini and
[01:08:18.920 --> 01:08:25.720]   And uh deadpool bought uh rexam. How much do they pay do we know to buy their own little personal football club
[01:08:25.720 --> 01:08:30.440]   I i'm guessing they didn't pay uh seven billion dollars
[01:08:30.440 --> 01:08:35.080]   But that's the uh the asking price for man united
[01:08:35.640 --> 01:08:39.960]   2 million pounds for rexam's rexam's a lot cheaper
[01:08:39.960 --> 01:08:43.880]   Why they are they are four levels down. Oh, okay
[01:08:43.880 --> 01:08:52.920]   It's and it's been honestly happy. Oh, it's of the other premier league honestly the uh the the rights to the uh the cable series probably paid for it
[01:08:52.920 --> 01:08:59.080]   Oh, yeah, absolutely just just you know, absolutely apple is currently not planning to purchase
[01:08:59.080 --> 01:09:04.440]   Man you congratulations. There's the story general lissimo frances africo
[01:09:05.080 --> 01:09:13.000]   Dead uh british tab like her the daily star claimed that apple had expressed an interest in the seven billion dollar purchase
[01:09:13.000 --> 01:09:15.240]   but uh
[01:09:15.240 --> 01:09:21.320]   according if i were if if i were selling trying to sell man united i would i would definitely spread that rumor spread that rumor
[01:09:21.320 --> 01:09:26.520]   According to rossen y'all writing writing for mac rumors our source of the direct knowledge of the situation
[01:09:26.520 --> 01:09:29.080]   Says the report is false
[01:09:29.080 --> 01:09:33.160]   However, the glacier family is planning to sell it
[01:09:34.280 --> 01:09:39.960]   So, um, and now we all and now we've all spread that information and christiano ronaldo is leaving
[01:09:39.960 --> 01:09:45.560]   So i think that should cut the price a little bit. Yeah, what why would apple but want to own a club?
[01:09:45.560 --> 01:09:51.720]   They wouldn't they wouldn't because what they want are the rights and the individual club doesn't really hold the rights there
[01:09:51.720 --> 01:09:58.680]   It's not the business that they are particularly in so the i mean, would they would they want to buy a like a league or something maybe
[01:09:58.680 --> 01:10:01.000]   like they
[01:10:01.000 --> 01:10:06.760]   Just buy the whole league. Yeah, buy it. But um an individual team like this doesn't really make any sense
[01:10:06.760 --> 01:10:14.360]   They are battling esp and according to apple insider for the rights to stream the dutch soccer league
[01:10:14.360 --> 01:10:18.600]   Is that a big one is that a big league is that a good one?
[01:10:18.600 --> 01:10:25.160]   It's available leo it's a right or available. Okay, soon you have apple apple is gonna corner the market on soccer
[01:10:26.040 --> 01:10:30.520]   They're just starting to actually it's not it's not a bad strategy, right?
[01:10:30.520 --> 01:10:32.760]   Like they get mls over here. They get the dutch league over here
[01:10:32.760 --> 01:10:35.400]   They they pick up some smaller leagues that are a little bit cheaper
[01:10:35.400 --> 01:10:41.160]   And then they sort of like build a home for soccer in their streaming app and and they just kind of like build it up from there
[01:10:41.160 --> 01:10:43.240]   It's not a well, not a terrible idea
[01:10:43.240 --> 01:10:48.840]   And there's a lot of efficiencies in doing it in multiple places because if especially if they're going to use new technology
[01:10:48.840 --> 01:10:53.240]   Um to do it doing it for one league is one thing but doing it for more more leagues
[01:10:53.240 --> 01:10:55.800]   You're going to use the same central technology for a lot of different ones
[01:10:55.800 --> 01:10:58.440]   So I could see them definitely trying to expand
[01:10:58.440 --> 01:11:02.200]   And i know jason you're a football soccer
[01:11:02.200 --> 01:11:06.360]   Slash football fans. I'm going to let you answer this question
[01:11:06.360 --> 01:11:08.120]   um
[01:11:08.120 --> 01:11:10.120]   I watched as uh
[01:11:10.120 --> 01:11:13.320]   England in the united states
[01:11:13.320 --> 01:11:15.480]   battled
[01:11:15.480 --> 01:11:17.720]   For an hour and a half to nothing
[01:11:18.360 --> 01:11:23.720]   It's true. They'll nil draw. Yeah, the most boring game i've ever received was not was not boring is very exciting
[01:11:23.720 --> 01:11:25.400]   Actually, but it was a very exciting game
[01:11:25.400 --> 01:11:27.400]   But scoring is not scoring
[01:11:27.400 --> 01:11:32.760]   In soccer most of the exciting things do not despite everything do not lead to scoring
[01:11:32.760 --> 01:11:38.200]   And then sometimes they score and then they say no actually a thing you couldn't see means that they didn't score
[01:11:38.200 --> 01:11:41.400]   There's a lot of that this is the kind of excitement jason's talking about
[01:11:41.400 --> 01:11:43.480]   He's getting close. He's getting close. Oh, he missed
[01:11:43.480 --> 01:11:45.560]   Well, I mean
[01:11:45.560 --> 01:11:49.880]   Oh, he missed I shot more at soccer than I do at football american football
[01:11:49.880 --> 01:11:55.400]   But there but yes the american football. It's like ah touchdown and in soccer. It's like oh
[01:11:55.400 --> 01:11:59.640]   A lot of high
[01:11:59.640 --> 01:12:01.640]   And they're like this ticket cost me $130
[01:12:01.640 --> 01:12:04.600]   You don't pretend you heard I don't care
[01:12:04.600 --> 01:12:09.320]   I will drop this knowledge on you the the Dutch the Dutch league seems so totally obscure
[01:12:09.320 --> 01:12:12.120]   It is the sixth highest ranked in terms of quality
[01:12:12.520 --> 01:12:17.000]   Uh soccer league in the world way more than major league soccer, which ranks 15th
[01:12:17.000 --> 01:12:19.880]   So it's actually it would be a step up for apple and there is
[01:12:19.880 --> 01:12:23.080]   That interest in that right so here in american it's not just in the netherlands
[01:12:23.080 --> 01:12:27.240]   We think oh this little Dutch thing compared to mls. It's bigger than mls by far
[01:12:27.240 --> 01:12:30.840]   espn says 1.2 million people subscribe
[01:12:30.840 --> 01:12:36.520]   Uh to the matches that they expect that the price will be 150 to 200 million
[01:12:36.520 --> 01:12:38.440]   euros
[01:12:38.440 --> 01:12:40.200]   next year
[01:12:40.200 --> 01:12:43.400]   Um, so yeah, so there is a market for this. Um, yeah
[01:12:43.400 --> 01:12:50.440]   And the players are so international that you're going to get appeal because they're going to be players from lots of different countries playing in the dutch league
[01:12:50.440 --> 01:12:57.080]   Okay, so that's another that'll be watched around the world. It seemed like like at least a third of the players on the american team
[01:12:57.080 --> 01:13:00.760]   Were actually played for england english soccer teams
[01:13:00.760 --> 01:13:05.800]   So it's very it's like what I don't understand what makes them an american soccer team
[01:13:05.800 --> 01:13:09.720]   They play for english soccer teams because they're from america, but that's the number one
[01:13:09.720 --> 01:13:14.440]   That's the goal is yeah the english english league is the number one league in the world if you can make it there
[01:13:14.440 --> 01:13:17.800]   You are among the best in the world and so that's that's why
[01:13:17.800 --> 01:13:25.080]   You know you sort of start in mls and then it's still the case that eventually you graduate to the boondace league in germany or
[01:13:25.080 --> 01:13:30.200]   Or seria in italy or the premier league in england, which is really number one so
[01:13:30.200 --> 01:13:33.480]   And it also seemed like a half the team was an american
[01:13:34.360 --> 01:13:41.000]   Um, and that's why nationality nationality is weird right like there's that one there's the one american player who's
[01:13:41.000 --> 01:13:44.760]   Has an american parent an english parent but grew up in england and the fact is
[01:13:44.760 --> 01:13:48.840]   You know he gets more playing time in america than he would have on the english team
[01:13:48.840 --> 01:13:53.720]   So he chose to do that. It's kind of like the olympics right where there is real story
[01:13:53.720 --> 01:13:58.920]   You know your nationality can be flexible a lot of people's nationality is flexible
[01:13:59.560 --> 01:14:04.840]   I know we can't just sock on right now because anybody who cares is not watching this show so
[01:14:04.840 --> 01:14:07.640]   Leo i'm not watching this show i
[01:14:07.640 --> 01:14:11.160]   I got the hockey i've got the soccer right here right i'm not gonna show it
[01:14:11.160 --> 01:14:13.880]   I had a feeling down but i got it it's right here
[01:14:13.880 --> 01:14:16.920]   I had a feeling but the the but i would say as a hot
[01:14:16.920 --> 01:14:22.040]   A lot of Canadians in the hockey in the american teams and you know in the internet it's true
[01:14:22.040 --> 01:14:25.320]   A lot a lot of long he's getting close he's getting close. Oh
[01:14:25.880 --> 01:14:32.200]   Well, so that's that's the funny thing about about americans talking about soccer is that we're so used to the leagues in our country being the best
[01:14:32.200 --> 01:14:35.800]   In the world and right it's just not the case for soccer and so where do we win?
[01:14:35.800 --> 01:14:40.680]   But it is like i said 15th best strongest league in the world but
[01:14:40.680 --> 01:14:45.960]   It is which is which is below the second league in england by the way the the championship
[01:14:45.960 --> 01:14:49.320]   That's the next one down but it is an international sport and apple strategy
[01:14:49.320 --> 01:14:51.880]   Which is why i think this is very interesting apple strategy
[01:14:52.040 --> 01:14:57.000]   They want to this is why they're having problems with the nfl right because the nfl wants to do like us rights
[01:14:57.000 --> 01:15:01.080]   That are very limited and apple really likes the idea of rolling this out everywhere
[01:15:01.080 --> 01:15:03.880]   MLS is going to be available everywhere
[01:15:03.880 --> 01:15:07.960]   And if they make this deal with the dutch league the dutch league will be available worldwide
[01:15:07.960 --> 01:15:12.520]   And so if you're a fan in indonesia who has an indonesian player playing in the dutch league
[01:15:12.520 --> 01:15:19.240]   You're going to be able to watch his games because apple's going to put it on everywhere with different multiple languages and the whole thing
[01:15:19.320 --> 01:15:24.040]   Like they're gonna they're gonna be able to do that and that is better than a league that only has
[01:15:24.040 --> 01:15:28.120]   Appeal in one little place and i'm going to again show my provincialism by saying
[01:15:28.120 --> 01:15:32.360]   It feels like after watching the u.s. england game
[01:15:32.360 --> 01:15:35.880]   There is a lot apple could do to make that a better
[01:15:35.880 --> 01:15:39.800]   Television show for instance. Oh, yeah, most of the game is shot
[01:15:39.800 --> 01:15:47.000]   At distance from one side. They never show it from the other side of the pitch. Why is that? That's weird. That's pretty
[01:15:47.240 --> 01:15:52.200]   That's actually pretty common. The problem really is if you start putting cameras on the other side of the field now we
[01:15:52.200 --> 01:15:56.920]   We even do a line problem, right across the line and oh, yeah
[01:15:56.920 --> 01:16:03.320]   We're going left to right. Do you remember the reverse angle replay that they used to have that was they had to actually call it
[01:16:03.320 --> 01:16:08.760]   They had to brand in the NFL with the reverse angle replay because it was like they're not going the other way people
[01:16:10.920 --> 01:16:15.080]   Makes sense and they can't do a lot of close-up shots because it's so much is happening so fast
[01:16:15.080 --> 01:16:17.720]   They tend to be to stay on the wide shot
[01:16:17.720 --> 01:16:21.000]   Whereas american football it feels like a football tv
[01:16:21.000 --> 01:16:24.120]   Uh, there's a lot of up close and personal
[01:16:24.120 --> 01:16:26.360]   stuff
[01:16:26.360 --> 01:16:30.200]   I don't know. They do some of that. It's just it's it's so much more chaotic, you know, like yeah
[01:16:30.200 --> 01:16:32.360]   I mean, I mean, you know
[01:16:32.360 --> 01:16:34.520]   Football in the rest of the world is got so much
[01:16:34.520 --> 01:16:38.200]   It's like hockey in the sense that it in basketball that it doesn't really stop
[01:16:38.200 --> 01:16:45.400]   It doesn't really slow down and it's moving around the field so much the the big thing that makes american football american football is they stop every play
[01:16:45.400 --> 01:16:47.480]   And they wish for advertising
[01:16:47.480 --> 01:16:52.680]   Well, but it also it's also perfect for every place and replays and and contacts
[01:16:52.680 --> 01:16:54.840]   You can't do this. You can't do this
[01:16:54.840 --> 01:16:57.480]   American football is is not as popular as
[01:16:57.480 --> 01:17:04.920]   Football around the world, but it is it's much more of a tv game than than than soccer is
[01:17:05.880 --> 01:17:09.320]   Other football because it's four years ago. I watched the world cup with great interest
[01:17:09.320 --> 01:17:12.120]   I'm a little less interested this time because it got dark, but
[01:17:12.120 --> 01:17:16.360]   That I but I thought oh, this is gonna. This is gonna take over the u.s
[01:17:16.360 --> 01:17:19.080]   And now tedd lasso. This is gonna take over the u.s
[01:17:19.080 --> 01:17:21.080]   And we are resistant
[01:17:21.080 --> 01:17:25.160]   There's not enough bars that serve a yards of beer. I mean, I really think of that
[01:17:25.160 --> 01:17:30.280]   I mean, I gotta tell you I watched I watched people when you're singing at games more
[01:17:30.280 --> 01:17:35.400]   Right. That's what we do. I watched it. I watched I watched some some matches in of fife
[01:17:35.480 --> 01:17:39.320]   in like 2005 or something in in Zimbabwe at a bar
[01:17:39.320 --> 01:17:44.600]   Drinking yards of beer and I gotta tell you it was great. It was it was really fun
[01:17:44.600 --> 01:17:49.400]   Like it was it was just a really great experience even better than going to a stealer bar which was a small
[01:17:49.400 --> 01:17:51.880]   Is it just a matter of
[01:17:51.880 --> 01:17:54.760]   Not enough drinking but also not a drinking none of yelling
[01:17:54.760 --> 01:17:59.560]   Knowledge of the game to Jason like we need to we just
[01:17:59.560 --> 01:18:01.240]   We need to grow up with it, right?
[01:18:01.320 --> 01:18:05.480]   It is it is something that yeah, you have to I mean when I started watching soccer
[01:18:05.480 --> 01:18:08.760]   It's like I don't even know what I'm looking at here and only now am I even vaguely aware
[01:18:08.760 --> 01:18:11.320]   I always say I'm like a fake american fake soccer fan
[01:18:11.320 --> 01:18:15.560]   But I understand it more now and I see the appeal of it and I think it is a lot of fun
[01:18:15.560 --> 01:18:19.720]   I know the rules I play soccer in high school. I mean I I know the rules
[01:18:19.720 --> 01:18:23.960]   I know my problem is is the off sides. I'm always like I don't understand
[01:18:23.960 --> 01:18:26.520]   I mean although there's a piece actually
[01:18:26.520 --> 01:18:30.600]   There's a piece I linked to 538 did a piece this week about the ball that our tech
[01:18:31.400 --> 01:18:33.400]   If anybody is still there
[01:18:33.400 --> 01:18:35.880]   Well, we're talking about sports that our tech nerd fans will like
[01:18:35.880 --> 01:18:40.200]   The ball has ultra wideband in it. It's got a an accelerometer in it
[01:18:40.200 --> 01:18:46.600]   Every single ball being used in the world cup and they have also like Hawkeye technology where they've got the cameras mounted everywhere
[01:18:46.600 --> 01:18:48.120]   So they've got a 3d
[01:18:48.120 --> 01:18:55.400]   instantaneous 3d view of the players and where they are on the field and they know up to like 500 Hertz like a 500 times a second
[01:18:55.400 --> 01:18:59.800]   They know where the ball is with precise positioning. They've got little this ultra wide band was
[01:19:00.200 --> 01:19:04.360]   Somewhat controversial right because the computers were going to make off sides calls
[01:19:04.360 --> 01:19:08.040]   Yeah, and that has been the case in fact during our recording in the us
[01:19:08.040 --> 01:19:10.600]   Iran game the
[01:19:10.600 --> 01:19:13.000]   us had a gold disallowed and they actually showed he's
[01:19:13.000 --> 01:19:16.760]   They showed it. Well, they had a gold disallowed so it doesn't count and it doesn't matter
[01:19:16.760 --> 01:19:21.800]   But they showed the off-side call and they actually were able to put up a 3d representation of the player
[01:19:21.800 --> 01:19:27.240]   And the plane that that he's broken in order to be offside and they know all of that because of this tech
[01:19:27.480 --> 01:19:32.680]   So they are making some very interesting strides to make the offside call at least a little more understandable
[01:19:32.680 --> 01:19:41.800]   But as we know as americans adding instant replay and technology to baseball or basketball or football does not reduce the frustration level at all
[01:19:41.800 --> 01:19:47.800]   Yeah, even if it gets the calls better and one of the interesting things with streaming that's going to happen with apple is that you could
[01:19:47.800 --> 01:19:49.880]   It's much easier to build
[01:19:49.880 --> 01:19:56.040]   Many different versions of the commentary so you can do different languages, but in hls you can just have another
[01:19:56.520 --> 01:20:03.160]   You can have not a selector that just said the beginner version of the show the advanced version of the show the super nerdy version of the show
[01:20:03.160 --> 01:20:08.520]   I just want the mass american and dancers to do it in english because they're the most interesting
[01:20:08.520 --> 01:20:12.040]   And I just love how they they're so excited
[01:20:12.040 --> 01:20:15.400]   It would be fun to
[01:20:15.400 --> 01:20:17.800]   I know that they did it in mexico city that they did it with the
[01:20:17.800 --> 01:20:25.240]   Great during the the nfl game in mexico city. They had the esp and de port guy come out and call a touchdown
[01:20:25.640 --> 01:20:27.640]   It was a whole different thing
[01:20:27.640 --> 01:20:35.560]   I have heard from a lot of people who especially if you if you have any spanish at all interestingly
[01:20:35.560 --> 01:20:41.080]   Uh fox has the english language rights in america to the world cup but p-cock cat and in telamundo
[01:20:41.080 --> 01:20:43.320]   Have the spanish language rights and
[01:20:43.320 --> 01:20:50.200]   And basically what i've heard is if you know elica spanish you should watch it on p-cock or telamundo because it's a much better broadcast than the fox broadcast
[01:20:50.200 --> 01:20:53.080]   so
[01:20:53.080 --> 01:20:56.760]   Apple's kind of betting. I think apple's betting that soccer is going to become
[01:20:56.760 --> 01:20:59.400]   Well, uh a
[01:20:59.400 --> 01:21:03.800]   Pure sport with the nfl. Yes in america in nba here here
[01:21:03.800 --> 01:21:07.560]   It's growing fast. It's cheap now and it is very popular
[01:21:07.560 --> 01:21:11.480]   Internationally and they want to have global reach there's a lot of school programs
[01:21:11.480 --> 01:21:13.560]   I mean almost every kid
[01:21:13.560 --> 01:21:16.040]   Especially girls grow up now playing soccer
[01:21:16.040 --> 01:21:18.760]   um, it's very very popular
[01:21:19.000 --> 01:21:24.440]   Well, I mean the the as a parent I can tell you that there was absolutely no pressure
[01:21:24.440 --> 01:21:28.280]   For my son. My son is becoming a lineman like he's taller than I am now
[01:21:28.280 --> 01:21:33.640]   So he's a big guy. Yeah. He's a big guy and in the first thing are you gonna last play pop Warner though?
[01:21:33.640 --> 01:21:36.120]   No, no
[01:21:36.120 --> 01:21:39.800]   No, no, no like like like there's no pressure on him in fact. I don't know
[01:21:39.800 --> 01:21:44.520]   No, he played pop one for a year and it was a scariest year of my life
[01:21:44.680 --> 01:21:49.080]   It was terrifying because you know, I had uh these kids play hard and people get injured that
[01:21:49.080 --> 01:21:53.640]   I didn't even play pop Warner and I had I don't I felt like I had a concussion probably almost every
[01:21:53.640 --> 01:21:58.040]   Yeah, you know like I like I had I had all the colors of all the other teams across the front of my
[01:21:58.040 --> 01:22:02.840]   But soccer. I mean it looks like it's dangerous. These guys are throwing themselves on the ground all the time
[01:22:02.840 --> 01:22:05.400]   Looks like they're in pain. Yeah
[01:22:05.400 --> 01:22:08.840]   You do have to take active classes to be really good at soccer. That is a thing
[01:22:08.840 --> 01:22:12.360]   That's the hardest part. That's the hardest part of it
[01:22:12.360 --> 01:22:14.360]   So that was it honestly
[01:22:14.360 --> 01:22:22.200]   Injury they're not injured. They're running around. They kicked somebody big deal. I want to see a concussion
[01:22:22.200 --> 01:22:24.600]   he touched me
[01:22:24.600 --> 01:22:27.240]   My leg
[01:22:27.240 --> 01:22:30.120]   I said that I said that I said that until I was like oh all these are
[01:22:30.120 --> 01:22:33.960]   Don't make any sense until I was playing soccer with someone. I'm not very good
[01:22:33.960 --> 01:22:39.640]   And but I was playing and we hit we hit thought our our our shins together
[01:22:41.000 --> 01:22:45.240]   A lot like I felt I felt very wimpy really quickly. Yes. That was like oh it's a super painful
[01:22:45.240 --> 01:22:47.560]   Yeah, well as as uh
[01:22:47.560 --> 01:22:53.880]   As we sat here one of the stars of the us team got it right between the legs. So sometimes the injuries are real
[01:22:53.880 --> 01:22:57.160]   Sometimes that one I believe you
[01:22:57.160 --> 01:22:59.240]   Listen to the dives
[01:22:59.240 --> 01:23:04.520]   The injuries happen when the ref is not looking that those are some remarkable pieces of video and photo
[01:23:04.520 --> 01:23:09.720]   Photographic evidence of oh my god. He actually had the guts to that is that is an arrestable offense
[01:23:09.720 --> 01:23:11.720]   What that person did
[01:23:11.720 --> 01:23:18.200]   And then that's with all those sports to keep on running like the with the cold dead eyes of a shark as though
[01:23:18.200 --> 01:23:20.440]   He has not just simply doing what do you mean?
[01:23:20.440 --> 01:23:22.760]   Altering I don't know
[01:23:22.760 --> 01:23:26.040]   Guess what no children no more children for that player for the
[01:23:26.040 --> 01:23:33.160]   Alright, so I I want soccer to become a popular sport. I really do
[01:23:33.160 --> 01:23:34.120]   I know and again
[01:23:34.120 --> 01:23:37.080]   What it what it allows apple to do is is prove what they can do over that
[01:23:37.080 --> 01:23:40.040]   They and they have it for a long period of time so they can invest over a long period of time
[01:23:40.040 --> 01:23:45.320]   Which is what apple likes to do and they're going to be able to over time as these contracts come up again
[01:23:45.320 --> 01:23:49.320]   Because they're gonna sign people are gonna sign contracts right now and apple's gonna fight for each one of these contracts
[01:23:49.320 --> 01:23:54.120]   And they're gonna have something they can point to like I know we haven't done broadcast before but but look at that
[01:23:54.120 --> 01:23:56.280]   MLS for a little decade and
[01:23:56.280 --> 01:24:00.440]   And in two or three years in the end of the future. I think that within within three years
[01:24:00.440 --> 01:24:03.080]   It's going to be 120 frame per second 4k
[01:24:03.880 --> 01:24:07.960]   HDR with you know immersive sound and it's going you know because apple can do that
[01:24:07.960 --> 01:24:10.600]   You know they can build that production pipeline and
[01:24:10.600 --> 01:24:14.440]   And everyone else is going to have a really hard time competing with that that pipeline
[01:24:14.440 --> 01:24:19.000]   You know and even if they do compete with it, it only means that the apple tv will be more utilized
[01:24:19.000 --> 01:24:25.880]   So it doesn't apple wins no matter how it turns out. Why uh, why does england why is england so good? Uh, Jason
[01:24:25.880 --> 01:24:30.040]   Why are they so good? I mean it's it's in there well one
[01:24:30.040 --> 01:24:35.800]   It's in their history and they're they're good at soccer in general and then they also have the money
[01:24:35.800 --> 01:24:42.360]   That's not like latin america is bigger than latin america like paella and brazil and sure sure
[01:24:42.360 --> 01:24:47.160]   I mean that I think europe is very strong and and south america is very very strong at soccer and turn
[01:24:47.160 --> 01:24:51.240]   Turned out the players the money is in europe and so you know england
[01:24:51.240 --> 01:24:52.360]   italy spain
[01:24:52.360 --> 01:24:58.680]   Germany is where the best players all around the world end up playing big big money. It's amazing huge money
[01:24:58.760 --> 01:25:01.640]   Yeah, and i mean there are some great teams in like there's a
