;FFMETADATA1
title=Poseidon's Laptop
artist=Leo Laporte, Andy Ihnatko, Rene Ritchie
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-06-15
track=770
language=English
genre=Podcast
comment=iOS 15, iPadOS 15, Spatial Audio, Apple Silicon M1X
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.360]   It's time for Mac break weekly Andy and Renee are here Alex has the day off
[01:11:40.380 --> 01:11:46.700]   Yeah, because they're they're doing all that understanding of where that 3d sound space understand like again
[01:11:46.700 --> 01:11:51.180]   Audio files will spend the money because no, I have real dobe atmos. I have the actual physical
[01:11:51.180 --> 01:11:56.060]   You know sound waves blasting off my ceiling. So now I have to get the whole pods where like the receiver. I guess
[01:11:58.780 --> 01:12:03.740]   If you care about it from your from all like you could put on headphones and listen to it on your iPhone. Yeah, I mean, it's
[01:12:03.740 --> 01:12:08.540]   Uh weird. It sounds good. I think it's good. It's it's more it's more open
[01:12:08.540 --> 01:12:14.300]   It sounds more open. It's the best way I can describe it. So uh, and what with the airpods pro
[01:12:14.300 --> 01:12:17.420]   It sounds like it's in your skull and then with the airpods max. It sounds like you're inside the
[01:12:17.420 --> 01:12:21.180]   Yes, exactly. That's a good way to describe it. And that's always been the problem
[01:12:21.180 --> 01:12:23.740]   With the headphones
[01:12:23.740 --> 01:12:27.100]   In general is you know the the very close nature of the sound
[01:12:27.660 --> 01:12:33.260]   Makes you feel like it's in your head and some people don't like that actually. I don't I don't mind the headphones and i've listened
[01:12:33.260 --> 01:12:35.420]   Yeah
[01:12:35.420 --> 01:12:43.740]   Restrictive so i'm gonna have to uh, okay. I'm gonna have to rethink about what dobe atmos is. It sounds like it's a new kind of encoding
[01:12:43.740 --> 01:12:48.380]   It's like hdr for audio like dobe, dobe, dobe, vision
[01:12:48.380 --> 01:12:51.180]   I'm I'm butchering this and everyone at dobe is gonna be super angry at me
[01:12:51.180 --> 01:12:55.980]   But like dobe vision just gives you rich your detail in your v in your video and dobe atmos because you rich are like
[01:12:56.700 --> 01:12:57.820]   more
[01:12:57.820 --> 01:12:59.820]   More 3d space in your audio
[01:12:59.820 --> 01:13:06.860]   So this is from what high fight calm atmos is a surround sound technology was originally developed in 2012
[01:13:06.860 --> 01:13:13.740]   It expands upon the existing 517 on surround sound setups with surround channels coming from overhead
[01:13:13.740 --> 01:13:17.100]   Um
[01:13:17.100 --> 01:13:24.380]   Which is was always my understanding, but what I missed was if you don't have speakers overhead it will simulate that in some form
[01:13:25.260 --> 01:13:29.180]   And that's what 9.1 just wasn't practical for like most humans. Yeah
[01:13:29.180 --> 01:13:33.340]   Um, okay
[01:13:33.340 --> 01:13:40.060]   Okay, so I think I think it like think about it as an abstraction layer instead of having like this is dobe atmos and here the
[01:13:40.060 --> 01:13:41.900]   9.1 speakers you need to play it
[01:13:41.900 --> 01:13:47.580]   It's like this is dobe atmos and we'll figure out how you get the 3d soundstage with whatever equipment you happen to have attached
[01:13:47.580 --> 01:13:53.020]   I just need to get a new receiver because I don't have anything that can decode that I do have the earpud
[01:13:53.900 --> 01:13:58.300]   Max pro max. They're not very good. So that's really why I
[01:13:58.300 --> 01:14:01.900]   You know I use it for which is great is like FaceTime calls is great
[01:14:01.900 --> 01:14:06.460]   But other than that voice is fine, but it's not good for music
[01:14:06.460 --> 01:14:09.180]   In my opinion, um, all right
[01:14:09.180 --> 01:14:13.820]   We're we're talking about and eddy q says you can't hear the difference
[01:14:13.820 --> 01:14:18.380]   You can't tell the difference in loss. You can't handle it. You can't handle it. Don't worry about it
[01:14:19.180 --> 01:14:24.140]   Don't worry about it. Let's take a little break more to come andi and ako rene richy
[01:14:24.140 --> 01:14:29.340]   Our show brought to you by udacity. I know you're smart and you want to learn. I know
[01:14:29.340 --> 01:14:34.540]   That's one of the reasons we do these shows I want to learn and you listen to them because you want to learn
[01:14:34.540 --> 01:14:39.660]   Well, here's a great way to learn to get the skills that the tech companies want
[01:14:39.660 --> 01:14:42.140]   Skills you might not have learned in school
[01:14:42.140 --> 01:14:44.700]   Udacity is
[01:14:44.700 --> 01:14:49.180]   Unique in this respect a part-time online educational program
[01:14:49.180 --> 01:14:55.660]   Geared for those who are looking to take their technology to the next level. They've got content. You can't get anywhere else
[01:14:55.660 --> 01:14:58.540]   They have the nano degree programs
[01:14:58.540 --> 01:15:05.100]   Those nano degrees are designed in conjunction with companies like microsoft and google and ibm and amazon
[01:15:05.100 --> 01:15:09.340]   And in fact the teachers our team leads at top companies
[01:15:09.340 --> 01:15:13.980]   Because they know these are the skills you need to get a job at my company
[01:15:14.860 --> 01:15:18.300]   It really makes a difference and that's why udacity graduates get great jobs
[01:15:18.300 --> 01:15:21.900]   You can get these are classes. You probably can't get anywhere else
[01:15:21.900 --> 01:15:29.740]   Flying car and autonomous flight engineer. I love that robotic software engineer. You can learn ai deep learning
[01:15:29.740 --> 01:15:33.020]   self-driving vehicles machine learning engineer
[01:15:33.020 --> 01:15:38.700]   Master the latest tech skills and techniques the courses are hands-on. That's really important
[01:15:38.700 --> 01:15:41.660]   Yes, you're going to watch the videos the lectures. They're great
[01:15:42.060 --> 01:15:45.580]   But then you're going to have to put the what you've learned to end to action
[01:15:45.580 --> 01:15:48.620]   hands-on project based active learning
[01:15:48.620 --> 01:15:51.260]   on cutting edge technology
[01:15:51.260 --> 01:15:57.420]   Projects and homework are always reviewed by qualified professionals. You'll get real human feedback code reviews
[01:15:57.420 --> 01:16:04.220]   Access to mentors too. So you're not on your own 24/7. There's somebody who could say you can say I don't get it. Show me this
[01:16:04.220 --> 01:16:06.220]   What is what's going wrong?
[01:16:06.220 --> 01:16:10.780]   Udacity's flexible schedules mean you could put in just five to ten hours a week
[01:16:11.180 --> 01:16:15.100]   Working at your own pace anytime because hey, maybe you got a day job, right?
[01:16:15.100 --> 01:16:18.780]   But you can graduate in as little as three months and then get a better job
[01:16:18.780 --> 01:16:26.460]   According to the world economic forum 75 million jobs will be replaced by automated processes in the next three years
[01:16:26.460 --> 01:16:31.820]   If that's you you need to go to udacity and prepare for the jobs of the future
[01:16:31.820 --> 01:16:39.100]   14 million people in over 240 countries check out their detailed course listings uda ci ty
[01:16:39.740 --> 01:16:41.340]   Dot-com
[01:16:41.340 --> 01:16:45.500]   I think the projects especially make a huge difference. I've taken some of their courses and
[01:16:45.500 --> 01:16:50.620]   Actually having to take what you've learned and put it into action. That's that's what makes the differences
[01:16:50.620 --> 01:16:57.020]   And of course the great instructors and the great mentors flexible payment options. You can learn at your own pace
[01:16:57.020 --> 01:16:59.980]   free courses available to
[01:16:59.980 --> 01:17:04.780]   And if you are a business if your team needs to master cutting edge technologies
[01:17:05.340 --> 01:17:13.340]   Lots of businesses want their team members to start learning about AI about data science certainly about cyber security check out udacity for enterprise
[01:17:13.340 --> 01:17:17.580]   You can upskill your entire workforce with real-world project based
[01:17:17.580 --> 01:17:24.220]   Learning be sure to check out the enterprise section of udacity's website today get the in-demand tech skills you need
[01:17:24.220 --> 01:17:30.380]   To advance your career visit udacity.com/twit you'll get 75 off any per- wait a minute what?
[01:17:30.380 --> 01:17:33.020]   75 off any program
[01:17:33.820 --> 01:17:40.140]   But this offer ends June 30th. You just get a little more time 2021 so the offer code for that is twit 75
[01:17:40.140 --> 01:17:42.380]   This is the best they've they've offered yet
[01:17:42.380 --> 01:17:46.860]   75% off any program the offer code is twit
[01:17:46.860 --> 01:17:50.220]   75 offer ends June 30th
[01:17:50.220 --> 01:17:52.860]   2021. Thank you udacity
[01:17:52.860 --> 01:17:56.540]   Thank you for supporting us by using that offer code in that address
[01:17:56.540 --> 01:18:01.020]   udacity.com/twit let them know you heard it here offer code twit
[01:18:01.740 --> 01:18:03.740]   75
[01:18:03.740 --> 01:18:07.660]   Okay
[01:18:07.660 --> 01:18:09.500]   Okay
[01:18:09.500 --> 01:18:12.620]   Apple design award winners we talked about the nominees
[01:18:12.620 --> 01:18:15.820]   We have the winners i'm not going to run through all of these because
[01:18:15.820 --> 01:18:22.780]   With great effort ros may orchard and mica sergeant did that on ios today you should watch that
[01:18:22.780 --> 01:18:26.380]   Because there are a lot of winners
[01:18:27.740 --> 01:18:31.580]   Any anything you guys want to highlight i use novo which is great. That's a mac
[01:18:31.580 --> 01:18:35.420]   Editor app that i really love i think panic software is so good
[01:18:35.420 --> 01:18:36.860]   Oh
[01:18:36.860 --> 01:18:38.860]   But this is so there go ahead
[01:18:38.860 --> 01:18:41.260]   I just wanted to praise panic that there i
[01:18:41.260 --> 01:18:49.500]   I spoke earlier about how certain developers individual developers are like the justice league some are some developments companies are like
[01:18:49.500 --> 01:18:52.060]   Tiffany's
[01:18:52.060 --> 01:18:53.500]   You know
[01:18:53.500 --> 01:19:00.460]   Myvoc whatever the whenever the the the companies that you always whatever they they produce even if it's not something you have any possible use for
[01:19:00.460 --> 01:19:01.980]   You're not necessarily going to buy it
[01:19:01.980 --> 01:19:07.980]   But you're going to take a look at the demo in the videos because they just understand the beauty and the specificity of a mac
[01:19:07.980 --> 01:19:14.380]   Or ios happen their definite panic is definitely on that list. Oh, amazing. Yeah, there by the way did they announce you're going to
[01:19:14.380 --> 01:19:18.540]   I was funny on I asked a couple of weeks ago. Whatever happened to that crank
[01:19:18.540 --> 01:19:21.180]   video game player that they were going to put out
[01:19:21.980 --> 01:19:25.900]   And uh, did they they apparently have an announcement video, huh? Yep
[01:19:25.900 --> 01:19:28.540]   Wasn't you lonely sandwich video out about it?
[01:19:28.540 --> 01:19:30.940]   so
[01:19:30.940 --> 01:19:37.980]   Is it coming out? I I think I played it played it. Yeah, they said that they said that the pre-order is going to be opening in july
[01:19:37.980 --> 01:19:40.300]   Oh, I thought I did and there's okay
[01:19:40.300 --> 01:19:45.820]   Don't know. I don't I don't think so but also they also i'm i've never been excited about a game platform
[01:19:45.820 --> 01:19:47.820]   But i'm really excited about this one
[01:19:48.060 --> 01:19:51.820]   Because they showed off just they showed off the video was a little bit more expansive
[01:19:51.820 --> 01:19:56.700]   There's also a new a new desktop or nightstand accessory that's a speaker and a pen holder
[01:19:56.700 --> 01:20:02.780]   And it does you get a free pen with it, which seems just as silly and ridiculous as i would expect from the playdate
[01:20:02.780 --> 01:20:09.180]   Uh, it's the idea of if it's the price has gone up. I think it used to be announced at 150
[01:20:09.180 --> 01:20:11.740]   I think it's gone for 179. That's fine
[01:20:11.740 --> 01:20:15.660]   But the idea of getting just having these a new game
[01:20:16.220 --> 01:20:22.780]   A season of games just like a season of ted lasso where a new game just simply wirelessly appears on this device once a week
[01:20:22.780 --> 01:20:29.580]   And the fact that these developers are designing for the specific and quirky piece of hardware and not the usual
[01:20:29.580 --> 01:20:36.380]   Hey, here is your usual like widescreen color touch screen that could be a compute could be a desktop could be a notebook
[01:20:36.380 --> 01:20:38.780]   Could be a handheld could be a phone. It's like no
[01:20:38.780 --> 01:20:45.900]   The the device the hardware is going to is going to define the experience. Uh, i'm really excited about this. It's very retro
[01:20:45.900 --> 01:20:48.860]   I mean black and white it's kind of pixelated
[01:20:48.860 --> 01:20:52.780]   You got a crank on the side, which I don't think anybody's ever done that before
[01:20:52.780 --> 01:20:59.100]   So that's that's what that's what gets me excited because it's I think that I think even didn't in the initial look
[01:20:59.100 --> 01:21:05.100]   announcement they specifically said no fishing games because that's the one thing that you definitely think don't worry
[01:21:05.100 --> 01:21:11.260]   They're just they're not even telling people developers how to use it. It's just like here is here is a handheld
[01:21:11.260 --> 01:21:16.380]   There is a fold-out crank on the side of it do with that what you will and you can develop your own apps for it
[01:21:16.380 --> 01:21:20.860]   Your own games for it. So I feel as though this is going to be a piece of relaxing fun for me
[01:21:20.860 --> 01:21:25.740]   Either as a completely like out of his element gamer or just as hey look
[01:21:25.740 --> 01:21:33.260]   I've got this cool handheld device with a battery Wi-Fi bluetooth and a screen and I probably am just smart enough to know how to program this
[01:21:33.260 --> 01:21:36.940]   Play dot date pre-orders next month. Okay
[01:21:37.980 --> 01:21:42.140]   Yeah, I've definitely I thought I pre-ordered it maybe I just thought I will pre-order it
[01:21:42.140 --> 01:21:44.940]   It's like who did I give that money to?
[01:21:44.940 --> 01:21:52.380]   I love there's a lot of little cameos in the video like you see morgan and you see just a lot of the people you recognize from panic twitter
[01:21:52.380 --> 01:21:54.620]   Oh nice. Oh, that's great
[01:21:54.620 --> 01:21:58.540]   See again. This is this is why they are just so such superstars
[01:21:58.540 --> 01:22:02.620]   They're they're you wouldn't think that panic would create the untitled goose game or firework
[01:22:02.620 --> 01:22:06.380]   But this but this is the mindset they're they're like they're a design house
[01:22:06.860 --> 01:22:10.700]   Like a great design house is that you don't you don't understand you think that they're okay
[01:22:10.700 --> 01:22:15.420]   Well, they make handbags. Well, no, they're a design house and one thing excuse me. I'm even better like apple
[01:22:15.420 --> 01:22:20.700]   They are design studio. They're not necessarily a technology company. It's just that they they
[01:22:20.700 --> 01:22:28.940]   Articulate their sense of design and their understanding of the interaction between humanity and the world around them by making these products
[01:22:28.940 --> 01:22:31.500]   And so I'm sorry. I'm going I'm getting a little bit
[01:22:31.500 --> 01:22:34.460]   It's fine
[01:22:35.260 --> 01:22:38.940]   Uncomfortable. They're kind of I want to send the money. That's what I'm saying. I know I do
[01:22:38.940 --> 01:22:41.580]   Shut up and take my money panic
[01:22:41.580 --> 01:22:47.500]   They uh, they're they're kind of a legacy like like rich seagull kind of a legacy Mac developer panics transmit was
[01:22:47.500 --> 01:22:51.580]   A very early FTP. I mean, I think the only thing older than that was phyto
[01:22:51.580 --> 01:22:54.140]   And uh, very and really good
[01:22:54.140 --> 01:22:56.700]   I too like client in there
[01:22:56.700 --> 01:22:59.420]   Uh, they did in fact, I think they did
[01:22:59.420 --> 01:23:02.700]   Somebody said they did
[01:23:04.620 --> 01:23:06.620]   Double twist. Is that right? Is that my
[01:23:06.620 --> 01:23:12.220]   No, I believe like they had a competitor to what apple ended up buying and turning into it. Oh, yeah
[01:23:12.220 --> 01:23:17.900]   Yeah, and of course, I've used as as we said, they they've done uh, they did coda, which was a great
[01:23:17.900 --> 01:23:20.460]   Which now they by the way sun said it
[01:23:20.460 --> 01:23:23.180]   Sound jam sound jam. That's right
[01:23:23.180 --> 01:23:29.020]   And um, and they've replaced that with the nova the unfortunately the ipad code
[01:23:29.020 --> 01:23:31.420]   Which I do use is going
[01:23:31.420 --> 01:23:34.620]   Sound jam is what apple bot and turned into iTunes. That's right. Oh, that's right
[01:23:34.620 --> 01:23:36.780]   Audion
[01:23:36.780 --> 01:23:38.780]   Oh, audion was great
[01:23:38.780 --> 01:23:44.940]   Yeah, was that damn audion. Yeah, and then apple bot sound jam. Yeah, they're gonna put audion out of business
[01:23:44.940 --> 01:23:47.180]   So anyway back to the design winners
[01:23:47.180 --> 01:23:48.860]   Sorry
[01:23:48.860 --> 01:23:53.980]   In the delight and fun category. I want a feeling without a sponsored announcement. Yeah, I'm really
[01:23:53.980 --> 01:23:55.740]   Except for really
[01:23:55.740 --> 01:24:01.180]   Well, they win they won something for nova so we'll get to that but in delight and fun little orpheus the chinese room
[01:24:01.180 --> 01:24:03.420]   Which I will definitely play. I don't know if that's arcade but
[01:24:03.420 --> 01:24:10.140]   Uh must be because it's iphone ipad and apple tv. That's I think it was one of the yeah one of the announced games in the big trailer for arcade
[01:24:10.140 --> 01:24:12.220]   Oh, okay, and then pock pock
[01:24:12.220 --> 01:24:14.460]   playroom
[01:24:14.460 --> 01:24:17.020]   Uh, interaction winners bird alone
[01:24:17.020 --> 01:24:20.300]   Um
[01:24:20.300 --> 01:24:26.540]   It's a game that has birds, I guess and of course the snarkiest weather fork progress program of all
[01:24:26.540 --> 01:24:28.540]   Carrot weather
[01:24:28.540 --> 01:24:30.540]   Uh carrots for it fantastic
[01:24:30.940 --> 01:24:31.980]   Um
[01:24:31.980 --> 01:24:34.220]   Social impact winners. I don't understand
[01:24:34.220 --> 01:24:41.260]   What i'm looking at here. Okay, so it's one of those apps that like when people complain about sure locking like them and fantastical
[01:24:41.260 --> 01:24:47.260]   They just show how you moriardi apple right back right like you just go so far beyond the built-in apps that right people adore you
[01:24:47.260 --> 01:24:53.740]   social impact winners alba a wildlife adventure and be my eyes, which is really amazing
[01:24:53.740 --> 01:24:54.860]   uh
[01:24:54.860 --> 01:24:58.940]   visuals and graphic winners genshin impact, which of course is very very big
[01:24:59.660 --> 01:25:01.660]   and lo loona
[01:25:01.660 --> 01:25:04.300]   a gracefully animated sleepscape
[01:25:04.300 --> 01:25:05.980]   session
[01:25:05.980 --> 01:25:07.100]   Okay
[01:25:07.100 --> 01:25:10.140]   Okay in innovation league of legends wild rift
[01:25:10.140 --> 01:25:13.020]   Really the only triple a title here
[01:25:13.020 --> 01:25:17.740]   Uh, nad sadana a studio quality music app
[01:25:17.740 --> 01:25:23.100]   So congratulations to all the winners. I guess nova was just a finalist
[01:25:23.100 --> 01:25:27.580]   What's I don't understand though because I don't see who won in that
[01:25:28.620 --> 01:25:30.620]   category, so i'm not sure i'm
[01:25:30.620 --> 01:25:32.940]   interpreting this properly
[01:25:32.940 --> 01:25:37.420]   Congratulations to all the apple design award winners that's got to be huge for
[01:25:37.420 --> 01:25:43.100]   Uh, an app to get that because that just people are going to pay attention to it
[01:25:43.100 --> 01:25:53.660]   Yeah, in fact one of the apps that got that some years ago, which is one of my favorite apps on mac and ios day one has just been sold
[01:25:53.660 --> 01:25:55.660]   Um
[01:25:55.660 --> 01:26:02.780]   Day one, which is a journaling program. Yeah, really beautiful journaling program apple design award winner apple dators choice app of the year
[01:26:02.780 --> 01:26:08.780]   It's it's secure. It works on the accolades. It works on the watch. It works on the mac
[01:26:08.780 --> 01:26:15.020]   It works on your iphone and ipad and uh automatic just bought them, which actually I think is great
[01:26:15.020 --> 01:26:19.660]   i'm a big fan of matt maulin weg the automatic, uh, of course is the
[01:26:19.660 --> 01:26:22.380]   commercial side of word press
[01:26:23.180 --> 01:26:29.660]   And matt wrote word press and he's turned automatic into a really great company. That's a very it's a very harmonious acquisition
[01:26:29.660 --> 01:26:34.060]   I think so it's like it's like there's sometimes sometimes there's an acquisition and you wonder okay
[01:26:34.060 --> 01:26:38.620]   I guess they just wanted to hire the people that work for there or I guess they just wanted to get this off the market
[01:26:38.620 --> 01:26:45.180]   There but there are those rare times where there was uh, there was a day one sized hole in automatic
[01:26:45.180 --> 01:26:48.140]   And that perfectly drops into it and makes it more complete
[01:26:48.140 --> 01:26:52.460]   So paul main who's really pretty much single-handedly been doing day one for
[01:26:53.020 --> 01:26:55.020]   a decade
[01:26:55.020 --> 01:27:01.340]   Um, uh, says he's going to continue the team is going to continue automatic is just going to give them money and autonomy
[01:27:01.340 --> 01:27:07.260]   And this is one case where I believe that word press dot com and tumblr are the other automatic
[01:27:07.260 --> 01:27:09.420]   um
[01:27:09.420 --> 01:27:12.060]   Enterprises and I think day one fits in quite nicely
[01:27:12.060 --> 01:27:17.020]   With that in fact a tumblr inter integration might be great where you could say hey this journal post
[01:27:17.020 --> 01:27:21.820]   I'd like to make public on tumblr or word press that would be great. Yeah, so good job
[01:27:22.540 --> 01:27:26.380]   Matt and uh good job paul. I'm glad uh, I'm glad you got acquired
[01:27:26.380 --> 01:27:29.980]   Yeah, don't know for how much but I hope it was a billion dollars
[01:27:29.980 --> 01:27:35.180]   Sitting on a beach running 20 percent. I certainly hope that's the case
[01:27:35.180 --> 01:27:38.780]   And I've been using day one probably for 10 years. I've been paying for it
[01:27:38.780 --> 01:27:41.420]   Since day one since day one
[01:27:41.420 --> 01:27:43.900]   Absolutely
[01:27:43.900 --> 01:27:48.380]   Anyway, that's uh, that's that's an example of an apple design winner going on to fame fortune
[01:27:48.860 --> 01:27:53.980]   Renee congratulations on still being so quick whitted after a full week of your schedule at ww dc
[01:27:53.980 --> 01:27:57.260]   I am impressed. You are the iron man of this industry
[01:27:57.260 --> 01:28:04.540]   Serenity did at grace being serenity did a great job summarizing each. I didn't realize she was like in charge of all content at apple
[01:28:04.540 --> 01:28:08.300]   She's like her and it called well. She's like the developer. Yeah the developer app. She's there
[01:28:08.300 --> 01:28:11.660]   She's our developer app evangelist. I probably got that wrong. She's gonna
[01:28:11.660 --> 01:28:14.860]   rollerblade roller skate chop me, but um
[01:28:15.500 --> 01:28:20.220]   She does all the stuff in the developer app and so she did the daily summaries like she did last year
[01:28:20.220 --> 01:28:25.100]   And actually her me moji did it. I don't know how much she had to do with it actually it might have been the me moji
[01:28:25.100 --> 01:28:31.420]   And and hairstyle game was so on point this year though. Like it changed every video
[01:28:31.420 --> 01:28:37.980]   Uh, all right, well, now we can now now we got a look at it. I'm wait a minute. I just gotta see here
[01:28:37.980 --> 01:28:41.740]   So this is monday apples youtube channel. You can see the whole row of
[01:28:41.740 --> 01:28:44.380]   Hey, everyone. I'm serenity call bullet apple. That's last year. I think
[01:28:44.940 --> 01:28:46.940]   Was this last year
[01:28:46.940 --> 01:28:48.940]   It is 2020
[01:28:48.940 --> 01:28:51.260]   So let's see the I want to see the more modern ones here it is
[01:28:51.260 --> 01:28:55.740]   I think she had a different hat mamochi hat every day. Did she oh yeah, here we go. Here's this
[01:28:55.740 --> 01:28:58.460]   This is a day two
[01:28:58.460 --> 01:29:02.460]   Buckle up your day two recap starts now. I think i've seen her wear that hat though. That's a real
[01:29:02.460 --> 01:29:04.940]   Surrender into helmet though. I mean, yeah
[01:29:04.940 --> 01:29:07.900]   Well, the last one is in all of your
[01:29:07.900 --> 01:29:12.380]   Let me let me go back to their uh, is the last one. Oh it is
[01:29:12.380 --> 01:29:14.860]   Day five
[01:29:14.860 --> 01:29:16.860]   Uh, let's see there she is
[01:29:16.860 --> 01:29:19.580]   Okay, a lot enough
[01:29:19.580 --> 01:29:26.940]   She's great good for you. God. I'm just thrilled to see you do so well. Nice hairstyle there. That's good
[01:29:26.940 --> 01:29:29.740]   two one
[01:29:29.740 --> 01:29:32.940]   I was definitely one of those hires where I
[01:29:32.940 --> 01:29:37.500]   Yeah, definitely one of those hires where not only it's it's I do say good for serenity
[01:29:37.500 --> 01:29:42.300]   But even more schwanncy. Oh good for apple. Oh, what a great hire. That is. Yeah, it's like yeah
[01:29:42.700 --> 01:29:45.500]   Does she appear on camera any of them or is it all mamochi?
[01:29:45.500 --> 01:29:49.020]   Um, emoji. I think it's all mamochi
[01:29:49.020 --> 01:29:52.220]   Here we go. So that's a good one top one
[01:29:52.220 --> 01:30:00.380]   Your day three recap here we go former i'm more app editor alik has muha has appeared in session videos both this year and last
[01:30:00.380 --> 01:30:04.060]   Here because she is the engineering program manager on game center now
[01:30:04.060 --> 01:30:09.660]   So these recaps are worth watching they're not very long or are they
[01:30:10.700 --> 01:30:16.620]   Um, they're great. I mean it's a minute. They're very quick. Did you miss day one at dub dub?
[01:30:16.620 --> 01:30:20.620]   Well, let's go back in time. So in a minute you can get you know
[01:30:20.620 --> 01:30:24.060]   Basics
[01:30:24.060 --> 01:30:27.660]   She has advanced access to the schedule as if she knew ahead of time
[01:30:27.660 --> 01:30:30.380]   What was gonna happen?
[01:30:30.380 --> 01:30:32.380]   These are snappy attack
[01:30:32.380 --> 01:30:35.660]   They put a lot of effort into these they move move move wow
[01:30:35.900 --> 01:30:40.780]   I also I also am very curious about that I would love to see the backstage tools that they use to create
[01:30:40.780 --> 01:30:44.940]   Not just like the the mamochi that we get access to with with live animation
[01:30:44.940 --> 01:30:49.660]   But when they need to burn like a high quality 4k mamochi for this kind of purpose
[01:30:49.660 --> 01:30:55.340]   What tools do they use do they actually start with uh like a live recording that they then
[01:30:55.340 --> 01:31:02.620]   Post process or there's that I bet there's a lot of really cool tools behind the there because they use that tool so many oftentimes so
[01:31:03.100 --> 01:31:05.100]   often sorry
[01:31:05.100 --> 01:31:11.500]   The audience Tim cook had a whole audience of mamochi's all animated at the same time that like a version of massive from
[01:31:11.500 --> 01:31:15.100]   From the hobbit, but purpose built from emoji
[01:31:15.100 --> 01:31:19.500]   No, I thought I was I was going for minions when I first saw him walk out on stage, but
[01:31:19.500 --> 01:31:22.380]   It's the same point. They do look like minions
[01:31:22.380 --> 01:31:30.940]   Is that technology? It lets you have a variety of different looking things all you doing like natural behavior instead of being like a bunch of robots
[01:31:31.180 --> 01:31:34.620]   Each one is doing something different but doing it at scale, which is always you know fun
[01:31:34.620 --> 01:31:39.580]   Uh june 15th of 2021 the first day
[01:31:39.580 --> 01:31:47.420]   That every single apple store in the world has been open simultaneously for over 75 weeks
[01:31:47.420 --> 01:31:50.860]   I think if you're gonna pick one
[01:31:50.860 --> 01:31:57.900]   News item that says covid is over that's it. Wow at least in the united states. Yeah. Well, this is worldwide though
[01:31:57.900 --> 01:32:02.860]   I mean, really well, there's an apple store is like in india and that's true some of the hot spots
[01:32:02.860 --> 01:32:08.540]   You can you can you can extend it for another month so really interesting graphic here showing
[01:32:08.540 --> 01:32:15.340]   Uh the number of apple stores that were open then suddenly as you can see with the with the
[01:32:15.340 --> 01:32:23.020]   This is uh in march of 2020 nothing and then going back up and down and up and down and up and down
[01:32:23.020 --> 01:32:25.820]   But we're back to 511
[01:32:26.860 --> 01:32:32.860]   Stores, uh, that's good. That's good. Oh, I think Sydney's not open because uh
[01:32:32.860 --> 01:32:36.700]   They're working on it or something
[01:32:36.700 --> 01:32:40.460]   Uh, let's see what else what other news? Um
[01:32:40.460 --> 01:32:45.500]   If you were hoping to get that apple tv plus trial
[01:32:45.500 --> 01:32:48.300]   For a year
[01:32:48.300 --> 01:32:52.220]   It's starting next month. They're going to reduce it to three months with hardware purchase
[01:32:52.940 --> 01:32:57.580]   I don't know if that indicates they're producing content again that that's time to you know, it's time to get it
[01:32:57.580 --> 01:33:03.020]   Yeah, because we were getting rebates every month. I guess that'll end. Yeah, because they couldn't make anything right
[01:33:03.020 --> 01:33:04.620]   Right
[01:33:04.620 --> 01:33:10.540]   The uh free year trial was extended twice for an additional nine months free, but that's going to all expire next month
[01:33:10.540 --> 01:33:15.580]   You're gonna have to start paying for apple tv plus I won't even notice because I buy apple one and so i won't even
[01:33:15.580 --> 01:33:22.380]   Yeah, just and now we get all the the iCloud plus stuff to you. I know i'm like, what is that rollout? Do we know yet?
[01:33:23.180 --> 01:33:29.260]   Uh, I got asked for to enable it when I put the beta on so I don't know what level of deployment it's at
[01:33:29.260 --> 01:33:31.980]   But if you they asked me and I said, yep, yep hide all that IP stuff
[01:33:31.980 --> 01:33:38.700]   So you're in a beta for uh, not just the operating system, but for iCloud plus that's interesting
[01:33:38.700 --> 01:33:44.540]   Yeah, you're gonna get that new like they're just that it's it's not not quite a vpn not quite tor
[01:33:44.540 --> 01:33:49.500]   Uh, but it is basically a privatizing browsing experience in safari
[01:33:49.660 --> 01:33:54.220]   It doesn't do tunneling and it doesn't do geo hopping the way of vpn does but what it does do is
[01:33:54.220 --> 01:34:00.460]   Uh on your side as you make a query it wraps that query in encryption and sends it to an apple-owned
[01:34:00.460 --> 01:34:07.020]   Relay and that relay removes your ip and gives you a temporary ip that you can choose whether it's loosely
[01:34:07.020 --> 01:34:09.580]   Geographically based like you could choose bay area for example
[01:34:09.580 --> 01:34:13.980]   So you still get relevant search results for your local area or you could choose like usa
[01:34:13.980 --> 01:34:16.060]   Like if you don't want any sort of information attached
[01:34:16.380 --> 01:34:21.660]   It sends that to a second relay, which is not owned by apple, which is like cloud flare or, um another
[01:34:21.660 --> 01:34:24.220]   big commercial
[01:34:24.220 --> 01:34:30.300]   internet junction and that unencrypts it and sends the request so apple doesn't know where you're going
[01:34:30.300 --> 01:34:32.540]   And that relay doesn't know where you were
[01:34:32.540 --> 01:34:37.900]   Uh, and the website only gets that obfuscated, um, that obfuscated, uh ip address
[01:34:37.900 --> 01:34:43.020]   And you you sort of have you can't be the whole point of this is that these profiles, you know
